Product code,Product label,India's imports from Australia-Value in 2012,India's imports from Australia-Value in 2013,India's imports from Australia-Value in 2014,India's imports from Australia-Value in 2015,India's imports from Australia-Value in 2016,India's imports from Australia-Value in 2017,India's imports from Australia-Value in 2018,India's imports from Australia-Value in 2019,India's imports from Australia-Value in 2020,India's imports from Australia-Value in 2021,Australia's exports to world- ,Australia's exports to world-Value in 2012,Australia's exports to world-Value in 2013,Australia's exports to world-Value in 2014,Australia's exports to world-Value in 2015,Australia's exports to world-Value in 2016,Australia's exports to world-Value in 2017,Australia's exports to world-Value in 2018,Australia's exports to world-Value in 2019,Australia's exports to world-Value in 2020,Australia's exports to world-Value in 2021,India's imports from world- ,India's imports from world-Value in 2012,India's imports from world-Value in 2013,India's imports from world-Value in 2014,India's imports from world-Value in 2015,India's imports from world-Value in 2016,India's imports from world-Value in 2017,India's imports from world-Value in 2018,India's imports from world-Value in 2019,India's imports from world-Value in 2020,India's imports from world-Value in 2021
71340,"Dried, shelled lentils, whether or not skinned or split",35588,36983,54158,29724,34155,182537,21705,33623,67478,105235,,212196,201278,198109,188421,220287,526415,174484,211295,372895,536150,,262548,435583,480504,931466,611188,723048,92196,346343,580893,525797
80211,Fresh or dried almonds in shell,46760,106862,103661,151352,83021,116570,101027,60099,54340,99086,,59815,104986,104716,160529,98269,143183,200327,247456,111081,218734,,344881,503121,566801,651300,617579,699435,769722,802881,874854,864001
260111,Non-agglomerated iron ores and concentrates (excluding roasted iron pyrites),19091,816,122311,33525,182,28198,372971,32799,8040,81789,,59192644,68522713,69260622,36622883,39226993,49108087,46529095,65588606,78020629,115981729,,144772,67756,632638,672129,212483,374581,915261,183359,40690,360382
261510,Zirconium ores and concentrates,54450,61328,46205,52816,48718,52770,56703,29702,26327,76566,,105739,81296,76850,69289,52527,52748,86145,58350,76834,120152,,67975,70217,50827,55746,67603,78556,123921,89547,78231,152179
510119,"Greasy wool, incl. fleece-washed wool, neither carded nor combed (excluding shorn wool)",143593,144770,159914,141638,138029,158170,181882,112805,50790,67697,,5076,3171,3584,2082,7043,12763,1497,14458,30343,12325,,247841,232790,239381,201613,181706,194771,215585,158612,80116,105692
520100,"Cotton, neither carded nor combed",25783,24092,57005,24006,286020,139299,58729,33277,6331,66251,,2723425,2511612,1810804,819538,1175908,1580300,1809247,1099575,310408,1500804,,470375,399780,504120,386729,878938,955693,623724,1320897,344649,519610
440321,"Pine """"Pinus spp."""" in the rough, of which the smallest cross-sectional dimension is =>15 ...""",0,0,0,0,0,0,0,30,493,55319,,0,0,0,0,0,282436,308703,259238,210489,57598,,0,0,0,0,0,35792,33633,53523,97535,240153
440322,"Pine """"Pinus spp."""" in the rough, of which the smallest cross-sectional dimension is <15 cm, ...""",0,0,0,0,0,0,0,0,76,53271,,0,0,0,0,0,118120,84833,133267,177256,75287,,0,0,0,0,0,2882,141012,180098,32820,122447
720421,"Waste and scrap of stainless steel (excluding radioactive, and waste and scrap of batteries ...",14908,38274,46214,20945,12704,27257,42833,30750,23672,46710,,89067,52018,66427,58053,40475,51199,63649,81149,69474,80671,,1016273,1005074,1165424,999030,784529,1098887,1440194,1629945,1323777,2233494
901920,"Ozone therapy, oxygen therapy, aerosol therapy, artificial respiration or other therapeutic ...",2634,3652,3940,6281,5802,5633,7006,7294,11739,45573,,498136,514572,577887,601850,643442,670865,600955,620908,514200,697923,,57954,64949,76709,77706,90962,110522,135305,139739,276928,1128270
720449,"Waste and scrap of iron or steel (excluding slag, scale and other waste of the production of ...",39717,46856,87154,101039,60312,62832,56557,60324,63404,37937,,262116,286902,269989,181804,228518,408376,423564,441718,351753,605409,,3189924,1948027,1838163,1872279,1277859,1263180,1867815,1820601,1230915,1568813
740400,"Waste and scrap, of copper (excluding ingots or other similar unwrought shapes, of remelted ...",7294,4470,6458,4831,2478,3239,25743,26716,22356,33254,,353695,400515,299278,235445,178289,247728,286184,252749,267791,494266,,1173900,819814,899632,780264,668963,792495,902141,966353,854300,1524490
251990,"Fused magnesia; dead-burned """"sintered"""" magnesia, whether or not containing small quantities ...""",3621,6482,13586,13209,8768,1608,22154,30394,13244,22766,,59619,0,0,0,0,0,0,0,0,0,,47256,39380,55376,45754,42059,65120,142888,140613,95409,155791
510111,"Greasy shorn wool, incl. fleece-washed wool, neither carded nor combed",0,899,0,0,0,2,0,0,10295,21884,,2406618,2320729,1944133,1991347,2057615,2653147,2738041,2081290,1471920,2421132,,2104,1230,2383,107,79,2,241,0,10724,24469
750210,"Nickel, not alloyed, unwrought",89145,226593,57730,105188,49491,93611,64351,17713,19688,18295,,0,0,0,0,0,0,631977,1081519,249116,0,,656635,794294,1066266,1002876,399993,401770,515095,447864,409182,694157
271113,"Butanes, liquefied (excluding of a purity of >= 95% of N-butane or isobutane)",0,0,0,0,0,0,0,0,0,16666,,688796,652080,631728,273962,236235,312011,375726,474610,475970,844046,,3249179,3046409,4061438,2516647,2113546,2824551,4113189,3945509,3876079,6376946
902190,"Articles and appliances, which are worn or carried, or implanted in the body, to compensate ...",289,597,12601,7906,13897,13446,19645,21942,10962,15083,,308650,339415,394874,377320,499821,595197,640390,147240,85064,117972,,139840,111796,117579,104980,116783,133291,135899,127575,106789,159812
271112,"Propane, liquefied",1211,0,0,0,0,0,0,0,0,14897,,429620,429145,469344,186935,172934,244379,299734,522886,539698,169406,,1851045,2037686,2802452,1766614,1299049,2005282,3406829,3299486,3422159,5525695
470790,"Recovered """"waste and scrap"""" paper or paperboard, incl. unsorted waste and scrap (excluding ...""",2886,8028,14478,12073,10616,15222,29176,28894,19158,14853,,52758,49925,46696,56010,58699,57842,51603,56863,74693,131150,,537870,596783,738375,667312,650821,794492,1323685,1197539,748187,1310244
100490,Oats (excluding seed for sowing),0,1749,4621,4469,4035,6216,5250,7271,9694,14568,,45356,3411,3866,3711,2609,4221,4075,4267,43851,126678,,0,1755,4652,5595,8033,6758,5867,9409,11697,16715
902610,Instruments and apparatus for measuring or checking the flow or level of liquids (excluding ...,259,148,229,110,187,227,231,1455,6168,14071,,21070,18842,23583,23241,18399,20340,31028,27684,22029,25275,,97334,76394,52930,51697,43540,50127,77034,82215,76340,115332
270400,"Coke and semi-coke of coal, of lignite or of peat, whether or not agglomerated; retort carbon",35601,20722,39350,41112,101966,137946,164139,50108,15708,14015,,304233,192383,214549,78553,0,0,0,1,1,0,,1144566,846980,851768,521710,695612,1169841,1797951,1051002,625036,896859
710420,"Precious and semi-precious stones, synthetic or reconstructed, unworked or simply sawn or roughly ...",0,0,0,0,3167,1419,6,2,9040,13417,,9,1352,2422,1523,2157,2054,1552,1600,581,4,,20221,58600,60958,90376,151755,49558,12166,5356,420821,1121650
230630,"Oilcake and other solid residues, whether or not ground or in the form of pellets, resulting ...",33,0,0,0,0,0,0,12428,16967,13208,,526,108,0,0,0,0,0,0,0,3,,12977,21356,13085,5059,68602,50113,27991,51954,71389,69926
281410,Anhydrous ammonia,28151,0,4360,7283,1909,3575,0,0,0,12300,,244902,344051,265625,215785,98258,85347,70622,74023,45627,165116,,1196815,986341,1121186,1043171,753261,706256,914984,775440,636993,1316086
790111,"Unwrought zinc, not alloyed, containing by weight >= 99,99% of zinc",7487,10630,17868,18572,16919,13972,21240,18987,7506,11853,,764169,829941,904501,793752,780539,1253462,1257286,1017757,916837,765866,,84261,71268,185349,177891,435157,321820,391083,277200,219840,278765
271019,"Medium oils and preparations, of petroleum or bituminous minerals, not containing biodiesel, ...",1681,2056,1987,1568,5524,18584,8144,8037,5830,10374,,2477132,2005445,1927252,1300465,1372687,1470569,1856943,1413859,1283906,1956440,,3448458,3097126,3272372,2065917,2233605,3109496,4602869,4936763,4772075,7920915
121190,"Plants, parts of plants, incl. seeds and fruits, used primarily in perfumery, in pharmacy or ...",5501,5631,5337,8333,16550,7369,8191,7610,3642,10031,,10274,11738,8841,12719,15224,14564,14374,15673,17079,28513,,44532,54805,68500,69192,69660,60748,79168,81283,102162,106563
110422,"Hulled, pearled, sliced, kibbled or otherwise worked oat grains (excluding rolled, flaked, ...",769,1521,2443,948,1911,6272,11755,5419,3593,9570,,12460,14611,12775,8517,11876,10439,15570,15426,19182,32246,,1143,1690,3133,2216,3456,7108,12734,10484,11269,15498
780200,"Lead waste and scrap (excluding ashes and residues from lead production heading No 2620"""", ...""",575,2812,4549,3363,2794,5558,8185,7855,5012,8053,,29946,15619,30578,27326,37640,56109,62312,60410,45341,48513,,96687,113279,113924,91924,97460,160884,211692,166516,128937,168847
71350,"Dried, shelled broad beans """"Vicia faba var. major"""" and horse beans """"Vicia faba var. equina ...""",0,0,1,0,1475,6048,1683,107,1658,7990,,160749,177012,185203,158948,120425,146850,132402,179470,213076,215798,,1730,0,1,0,2087,6417,1716,1259,6681,8779
854810,"Waste and scrap of primary cells, primary batteries and electric accumulators; spent primary ...",84,55,87,0,0,74,2144,2432,3934,7735,,0,1561,4427,2685,21,30,0,0,0,2,,22205,39416,33184,40083,44620,90368,143878,169406,106555,258872
220421,"Wine of fresh grapes, incl. fortified wines, and grape must whose fermentation has been arrested ...",423,1179,2333,2378,2660,2894,4549,4500,3222,7646,,1470366,1341690,1258672,1275392,1349991,1634003,1684267,1661766,1633763,1211388,,6506,6042,5889,6283,6233,8977,11695,11106,7196,13764
903289,"Regulating or controlling instruments and apparatus (excluding hydraulic or pneumatic, manostats, ...",253,683,303,608,502,308,1068,4290,7926,7255,,57093,56551,43653,33266,36694,46240,53183,43967,34012,41246,,349173,353781,396320,432806,477390,536364,599976,624635,553969,639599
283699,"Carbonates and peroxocarbonates """"percarbonates""""; commercial ammonium carbonate containing ...""",76,225,430,993,1462,6406,7666,6212,6695,7176,,13544,15250,11697,17808,15708,20099,25840,28895,30238,39055,,20452,18824,37431,24243,17030,27459,34106,31267,29439,39263
780199,Unwrought lead (excluding refined lead and lead containing by weight antimony as the principal ...,20502,26290,18982,9806,10506,17322,22918,13454,10531,6862,,504010,391273,177165,359985,359484,360649,300621,301196,348223,487695,,188611,179199,222262,189358,227104,283816,326514,254036,242787,298312
280469,"Silicon containing < 99,99% by weight of silicon",538,176,0,0,515,1770,1938,629,876,6216,,90500,117337,124153,123558,93528,93519,102678,93368,84353,100336,,6786,7523,1433,1284,44465,90644,132430,88668,93810,200571
330129,"Essential oils, whether or not terpeneless, incl. concretes and absolutes (excluding those ...",6891,7668,7329,2333,703,2275,1234,1006,2072,6180,,26810,29820,32214,40512,46388,56898,53147,46148,57899,60869,,61892,63706,81325,80051,106000,97489,109343,102747,100609,122309
261400,Titanium ores and concentrates,11688,12372,6504,4959,4514,4375,1757,8219,3768,6128,,135411,85640,67036,83598,63569,85006,77060,87219,80219,59059,,49968,30895,18441,19803,20334,36588,44223,60561,42185,70570
630790,"Made-up articles of textile materials, incl. dress patterns, n.e.s.",86,74,65,14,13,39,63,107,112,6128,,13870,13622,11497,9264,11630,15248,14484,14663,21970,46470,,17212,16628,22807,26370,28672,34812,34548,40478,187459,102509
720429,"Waste and scrap of alloy steel (excluding stainless steel, and waste and scrap, radioactive, ...",1108,1802,1727,2082,2185,3429,6091,4157,4266,5887,,366626,401736,411030,176008,36680,45382,48154,56717,38408,69266,,87147,67623,50635,26309,23095,40781,54692,70435,51216,74311
300290,"Human blood; animal blood prepared for therapeutic, prophylactic or diagnostic uses",699,788,782,1528,2111,4541,7653,4507,6483,5884,,23691,39038,66706,66106,63285,57326,67786,79521,97994,90898,,38992,47537,53754,55851,64100,82500,114843,118763,111432,138248
382499,"Chemical products and preparations of the chemical or allied industries, incl. those consisting ...",0,0,0,0,0,376,2205,1697,3989,5135,,0,0,0,0,0,28305,23496,27111,38242,37798,,0,0,0,0,0,473909,674567,580899,612358,886058
71331,"Dried, shelled beans of species """"Vigna mungo [L.] Hepper or Vigna radiata [L.] Wilczek"""", ...""",39543,24158,4364,43997,60392,16098,7770,3598,180,5100,,83049,65192,34645,132286,158453,101456,94629,27107,65509,129735,,390700,469768,585534,687604,711055,366344,274481,251070,323699,675728
300490,"Medicaments consisting of mixed or unmixed products for therapeutic or prophylactic purposes, ...""",4161,7021,8698,6882,5775,6658,5187,3713,2267,5019,,3378372,2403733,1821197,1098626,1398958,1337323,1403690,1535557,1184945,778112,,475297,489393,566247,517828,583499,707572,744419,955151,732440,1363334
392190,"Plates, sheets, film, foil and strip, of plastics, reinforced, laminated, supported or similarly ...",83,54,17,7,286,840,791,1209,5702,4226,,19996,16395,18490,20509,25315,25773,11808,11842,16313,17535,,128917,121297,145738,142047,149196,170079,193985,205632,202289,296952
780110,"Unwrought lead, refined",62950,78678,91829,84416,77907,92252,99967,10204,34697,4056,,419894,476089,495781,419131,436966,503799,436709,231150,258377,263785,,222773,231556,245014,207544,219009,287869,298050,202521,188689,149849
340290,"Surface-active preparations, washing preparations, incl. auxiliary washing preparations and ...",223,81,213,48,1563,3490,3236,3411,3462,3979,,17302,16915,26967,16638,14810,14539,10207,14480,22164,24531,,44368,47828,65346,57836,69779,76843,102011,101309,106601,132581
470730,"Recovered """"waste and scrap"""" paper or paperboard made mainly of mechanical pulp, e.g. newspapers, ...""",12,0,0,28,0,0,0,0,1804,3859,,53125,52035,55014,39080,30905,26508,14659,10987,3669,5800,,3301,993,121,736,0,96,309,3188,37201,52021
847410,"Sorting, screening, separating or washing machines for solid mineral substances, incl. those ...",1863,1865,3300,318,259,428,792,765,620,3683,,105425,64125,54707,31987,50986,23733,24488,18972,23350,38227,,75731,35849,20580,15359,16804,20591,27218,46564,27626,36444
890800,Vessels and other floating structures for breaking up,0,0,1075,0,0,0,808,0,0,3598,,0,0,36,202,268,20,293,0,12,16,,557999,1290544,838716,661006,747286,798741,933106,598462,619231,825339
400400,"Waste, parings and scrap of soft rubber and powders and granules obtained therefrom",22,30,15,465,1363,1716,1930,3359,1313,3586,,7254,7416,6853,3189,3035,1236,2396,2716,1983,2868,,1861,7282,15766,22604,26816,20653,39675,42089,14390,34652
110412,Rolled or flaked grains of oats,13277,14290,13304,13543,11485,2680,2942,1885,1580,3498,,55219,52530,58823,52597,54946,51447,54456,63041,78333,90380,,16068,17142,15761,16931,17711,10971,11589,13141,11776,15501
854110,Diodes (excluding photosensitive or light emitting diodes),4225,5101,5052,5082,2967,3483,5519,3050,2533,3355,,47169,49105,38414,35784,38677,41128,38957,26188,31853,38122,,157422,154598,155914,150421,146710,171008,221852,219749,195673,276103
853710,"Boards, cabinets and similar combinations of apparatus for electric control or the distribution ...",301,174,228,460,1062,294,3094,393,1022,3254,,143414,90125,99486,76119,75861,87068,92260,126219,96606,140347,,312121,333421,340641,299015,348682,420665,567431,590591,487415,715652
51000,"Ambergris, castoreum, civet and musk; cantharides; bile, whether or not dried; glands and other ...",0,0,2,0,272,0,1403,1206,2577,3204,,8432,10212,10323,10544,7966,5212,6654,8221,10324,7631,,1582,204,967,927,2139,53,1643,2219,3789,4819
732690,"Articles of iron or steel, n.e.s. (excluding cast articles or articles of iron or steel wire)",709,400,618,782,428,686,2065,2842,843,3151,,153862,122881,120521,96470,104035,86226,105620,95236,104333,119450,,405083,436792,492907,551389,523383,549503,719176,787054,568643,699529
390210,"Polypropylene, in primary forms",592,214,187,726,1548,1462,879,1972,255,3142,,59160,64887,74793,76291,41675,71909,48393,76668,31004,90992,,538774,578755,693897,647332,575399,701202,801428,785900,567698,1127056
300213,"Immunological products, unmixed, not put up in measured doses or in forms or packings for retail ...",0,0,0,0,0,0,1979,2509,2784,3021,,0,0,0,0,0,70,200,282,880,93,,0,0,0,0,0,5255,6898,8638,7655,9453
293911,"Concentrates of poppy straw; buprenorphine """"INN"""", codeine, dihydrocodeine """"INN"""", ethylmorphine, ...""",6294,9309,6378,6360,5045,7672,4366,2373,3151,2694,,1723,804,4251,6664,8908,9939,8289,11417,10500,4991,,42990,30044,27797,32031,20393,16386,15804,13143,18340,21464
280700,Sulphuric acid; oleum,4390,617,0,0,0,877,219,1961,2174,2638,,8816,2698,1075,344,906,457,5186,4700,7810,0,,91842,38805,30139,71339,41087,30256,81209,110787,59586,189604
790120,Unwrought zinc alloys,2275,3024,14231,16291,5193,7004,10523,2988,0,2497,,139587,1779,2373,24,558,635,4,0,61862,387500,,18576,32344,72873,66759,56413,88612,105935,74519,38994,70685
440399,"Wood in the rough, whether or not stripped of bark or sapwood, or roughly squared (excluding ...""",427,4329,12343,1451,608,766,1316,683,748,2471,,19732,28873,23980,44144,58521,16484,35140,25998,19517,8575,,1203372,1181926,1132867,958479,759703,634526,471535,333894,228328,182280
711319,"Articles of jewellery and parts thereof, of precious metal other than silver, whether or not ...",5769,4265,3393,3774,4922,3208,4519,4166,2162,2441,,416585,363886,286796,246780,265096,382068,320912,388161,351075,437939,,5088330,773805,734799,686503,300844,688513,599143,536923,301847,508288
720410,"Waste and scrap, of cast iron (excluding radioactive)",68,149,302,134,434,466,792,923,1080,2273,,74235,48201,67815,76336,76511,112994,205902,155179,148652,208729,,71135,39776,34693,27781,21596,24929,33528,42426,47360,60572
842191,"Parts of centrifuges, incl. centrifugal dryers, n.e.s.",10,0,14,0,5,1,1,0,2,2241,,3756,3720,3369,1934,2686,3734,1125,2187,4714,5846,,15499,14626,12166,9605,8112,11652,18729,13062,12150,17450
851810,Microphones and stands therefor (excluding cordless microphones with built-in transmitter),134,203,216,213,356,686,807,1149,1514,2220,,23096,25989,27616,38643,47527,47236,56085,77576,108081,163119,,16520,18983,18441,19441,28677,35993,56152,72069,59089,75825
80510,Fresh or dried oranges,2826,946,1951,1410,534,3537,1078,4961,2373,2199,,139087,137669,134643,148969,169599,223826,235256,221624,214542,204974,,21585,18538,27807,28312,31963,30439,47250,41374,27701,90075
854370,"Electrical machines and apparatus, having individual functions, n.e.s. in chapter 85",1503,1558,1412,1449,1567,1170,1272,1756,1286,2169,,78002,89867,77526,64230,71781,48950,60633,59538,77217,69814,,403605,335934,447084,437118,370565,414560,518386,538614,434975,471752
852560,"Transmission apparatus for radio-broadcasting or television, incorporating reception apparatus",1053,140,99,78,14,140,70,1214,1291,2163,,20470,16240,20728,30850,24459,11551,15856,12275,11517,10675,,40247,28881,51186,31807,32939,43673,38568,37568,26891,25300
262019,"Slag, ash and residues containing mainly zinc (excluding hard zinc spelter)",63,28,87,325,81,634,2219,530,1536,2139,,0,0,0,736,853,188,0,0,0,349,,41606,42738,44328,40545,39159,47671,49323,33442,75644,141140
71320,"Dried, shelled chickpeas """"garbanzos"""", whether or not skinned or split""""",195911,259716,97239,258924,519865,1172968,53812,1124,3209,2111,,599444,315249,306855,775953,948664,1386581,303164,243618,236608,505204,,355551,324199,200483,430367,688332,1310745,127869,203613,162239,164654
380210,"Activated carbon (excluding medicaments or deodorant products for fridges, vehicles etc., put ...",49,14,1013,1941,916,1417,1861,1537,1914,2062,,10374,0,0,21234,23350,29371,34961,35113,0,0,,24899,26781,28894,31549,31765,42062,49646,59404,48890,60272
851762,"Machines for the reception, conversion and transmission or regeneration of voice, images or ...",898,3810,2280,2462,1729,1968,3736,2579,2466,2047,,201524,243869,277718,284598,333847,400731,361114,384360,373396,439784,,1052223,1420245,2215590,2567716,2395682,3560150,5718568,3465704,3369367,3872730
710239,"Diamonds, worked, but not mounted or set (excluding industrial diamonds)",3612,1369,5253,1891,949,1871,7657,3570,1994,2036,,133746,174311,212792,208074,238895,215364,226552,265614,177536,174193,,6300566,7136329,4211932,2824254,2453509,7749452,9857779,8308820,6297469,8501189
847490,"Parts of machinery for working mineral substances of heading 8474, n.e.s.",1371,1058,745,4434,625,809,1455,1656,1579,1964,,232401,238165,150416,142787,132656,169730,169709,176805,138096,180596,,217844,176395,95204,99103,100154,88217,110491,120261,109326,150034
903300,"Parts and accessories for machines, appliances, instruments or other apparatus in chapter 90, ...",422,660,777,570,1632,1852,2453,968,1375,1964,,58940,47062,58305,44282,65166,10547,11451,553572,526773,680015,,331209,275680,202459,195259,226699,220605,164838,124328,101887,137992
843880,"Machinery for the industrial preparation or manufacture of food or drink, n.e.s.",5092,3100,2018,5799,7533,957,11539,1294,820,1920,,27257,35327,33154,23649,23811,25448,37887,23247,19088,21401,,50866,37248,55253,44767,68294,40805,81032,50886,39709,51976
391620,"Monofilament with any cross-sectional dimension of > 1 mm, rods, sticks and profile shapes, ...",2,0,1040,1,309,6,8438,5795,2362,1905,,3726,6006,4319,3649,2849,4359,6449,7839,4938,6409,,6275,9226,20217,25370,27585,31714,46200,44146,32142,52148
843149,"Parts of machinery of heading 8426, 8429 and 8430, n.e.s.",1502,2427,2572,2512,1532,2007,4225,5746,2226,1898,,421652,346215,248220,199992,174760,177433,192254,238045,210034,210759,,593012,436011,443098,492975,577446,625400,806418,676858,488304,835566
901580,"Instruments and appliances used in geodesy, topography, hydrography, oceanography, hydrology, ...""",441,277,322,1439,5845,957,1745,713,602,1845,,59002,56767,79947,58407,47689,72412,78239,78570,52156,61975,,75818,74922,111646,111314,101226,157597,146822,152850,124969,171852
200819,"Nuts and other seeds, incl. mixtures, prepared or preserved (excluding prepared or preserved ...",10,119,988,859,1075,1068,1793,1974,554,1801,,15471,11954,15773,22606,16614,35560,31431,16797,14664,21485,,1949,5266,11725,8070,9777,13793,21052,17878,14436,26868
843050,"Self-propelled earth-moving machinery, n.e.s.",322,1794,1000,0,352,342,0,0,41,1768,,72433,44767,48201,23400,35460,22417,13786,22507,13010,17527,,9863,16023,17616,14655,42793,56458,32263,18221,22863,25709
220429,"Wine of fresh grapes, incl. fortified wines, and grape must whose fermentation has been arrested ...",2063,1579,894,848,608,744,871,363,466,1684,,427988,388820,378505,325475,314065,314370,405729,340933,404265,389387,,10908,10002,7224,8606,7142,6428,6571,4114,3850,6596
901890,"Instruments and appliances used in medical, surgical or veterinary sciences, n.e.s.",910,1362,1433,1274,2553,2662,2102,3250,1112,1610,,312866,353942,348822,335180,350065,378095,369064,367162,399294,447866,,510427,546320,565962,529590,563216,613606,710069,762177,676409,948806
251200,"Siliceous fossil meals, e.g. kieselguhr, tripolite and diatomite, and similar siliceous earths, ...",14,0,8,3,11,0,0,709,0,1605,,48,210,114,448,82,826,372,1462,476,897,,2896,3541,3160,1789,1991,1560,2515,2619,1370,3044
80212,"Fresh or dried almonds, shelled",3887,1064,2029,2738,4553,10328,708,0,10,1544,,96838,224162,297070,406034,245901,206331,212259,297251,277849,275805,,44325,43215,62242,89576,75494,101094,54167,47839,52519,114419
722550,"Flat-rolled products of alloy steel other than stainless, of a width of >= 600 mm, not further ...""",0,0,0,337,994,1699,1359,1138,898,1530,,63,0,35,26,10,143,0,6,3,0,,76525,76692,112440,106203,81658,115751,109159,135625,101225,186970
401011,"Conveyor belts or belting, of vulcanised rubber, reinforced only with metal",92,0,5,1,848,4239,5056,896,192,1467,,4676,3407,5439,6001,4152,22566,16460,28716,17441,13940,,5974,13577,4613,4356,6991,10739,14779,14046,9024,10356
410411,"Full grains, unsplit and grain splits, in the wet state """"incl. wet-blue"""", of hides and skins ...""",72,125,217,208,194,0,9,138,774,1458,,79729,81281,87267,61497,43848,59911,78043,59467,40156,76614,,8659,6338,9411,12668,10046,9193,5572,8389,16780,19790
510129,"Degreased wool, non-carbonised, neither carded nor combed (excluding shorn wool)",29478,11486,13866,19168,24218,22218,22014,10285,3275,1362,,88,97,249,54,96,83,22,93,191,253,,77014,71967,87698,92687,101644,97429,91355,58742,47430,55683
870899,"Parts and accessories, for tractors, motor vehicles for the transport of ten or more persons, ...",2564,968,986,1724,3334,1608,288,1603,1260,1339,,317140,277918,292655,272426,262815,300882,274587,275049,262931,347506,,1868656,1655176,1687271,1646440,1472511,1696990,1789839,1486268,1208277,1883050
630900,"Worn clothing and clothing accessories, blankets and travelling rugs, household linen and articles ...",634,729,371,186,97,180,124,320,867,1297,,56791,64590,62509,53712,53550,58205,60940,59256,50820,65347,,106785,121494,122269,113450,87119,99122,93636,98930,72168,81896
392020,"Plates, sheets, film, foil and strip, of non-cellular polymers of ethylene, not reinforced, ...",822,1023,767,676,704,537,1136,1161,1216,1148,,89389,105143,106040,104985,117342,106803,102964,70020,0,34163,,70176,81953,71324,69931,83994,118305,120435,141464,120768,177701
