Product code,Product label,"Japan's imports from Taipei, Chinese-Value in 2012","Japan's imports from Taipei, Chinese-Value in 2013","Japan's imports from Taipei, Chinese-Value in 2014","Japan's imports from Taipei, Chinese-Value in 2015","Japan's imports from Taipei, Chinese-Value in 2016","Japan's imports from Taipei, Chinese-Value in 2017","Japan's imports from Taipei, Chinese-Value in 2018","Japan's imports from Taipei, Chinese-Value in 2019","Japan's imports from Taipei, Chinese-Value in 2020","Japan's imports from Taipei, Chinese-Value in 2021","Taipei, Chinese's exports to world- ","Taipei, Chinese's exports to world-Value in 2012","Taipei, Chinese's exports to world-Value in 2013","Taipei, Chinese's exports to world-Value in 2014","Taipei, Chinese's exports to world-Value in 2015","Taipei, Chinese's exports to world-Value in 2016","Taipei, Chinese's exports to world-Value in 2017","Taipei, Chinese's exports to world-Value in 2018","Taipei, Chinese's exports to world-Value in 2019","Taipei, Chinese's exports to world-Value in 2020","Taipei, Chinese's exports to world-Value in 2021",Japan's imports from world- ,Japan's imports from world-Value in 2012,Japan's imports from world-Value in 2013,Japan's imports from world-Value in 2014,Japan's imports from world-Value in 2015,Japan's imports from world-Value in 2016,Japan's imports from world-Value in 2017,Japan's imports from world-Value in 2018,Japan's imports from world-Value in 2019,Japan's imports from world-Value in 2020,Japan's imports from world-Value in 2021
711299,"Waste and scrap of silver, incl. metal clad with silver, and other waste and scrap containing ...",76182,65366,97295,54103,64694,97959,138922,118995,131366,201947,,21049,21439,26265,21365,16971,21594,19205,20372,27509,41173,,604637,626383,734835,695976,1448426,1814596,2232628,1828435,2041125,2378310
381800,"Chemical elements and compounds doped for use in electronics, in the form of discs, wafers, ...",258121,292405,298599,380393,292454,295955,317465,221329,198918,201871,,998783,1087341,1290700,1284055,1147897,1145357,1278153,1142348,1175146,1475320,,1014036,979426,926032,944523,886308,929853,1101955,1025820,979932,1168143
711292,"Waste and scrap of platinum, incl. metal clad with platinum, and other waste and scrap containing ...",106138,96798,59358,100731,65059,38032,54707,74342,117657,196105,,69171,87558,70019,59366,76175,27698,97728,62003,149161,206854,,544206,626934,585995,546780,541818,578607,797701,1364910,2314779,4261092
260300,Copper ores and concentrates,0,0,0,0,0,0,0,47040,124680,195538,,2080,859,1784,553,810302,596860,392148,807508,747084,1314632,,11493511,10646491,9886570,8264843,7444980,8338268,9834838,8292775,9301127,13046748
853400,Printed circuits,134473,172103,200208,230468,234785,222188,143117,110520,115836,187627,,5949267,5778853,5802522,5464763,4921072,5544428,5599101,5289025,5636487,6625577,,1165255,1223783,1339335,1414330,1451485,1443004,1268564,1227874,1219947,1477342
30344,"Frozen bigeye tunas """"Thunnus obesus""""""""",368587,235161,250824,215277,237053,260430,214442,199558,186847,171020,,393545,232136,261353,232167,233199,283414,244732,223916,213778,187002,,710397,472840,510160,423881,466952,473855,395527,359050,333100,304562
711230,Ash containing precious metal or precious-metal compounds,1441,606,3,0,0,0,275,48602,60820,166784,,1811,10045,1977,0,0,0,373,19,247,317,,37268,26308,13383,7331,6106,5547,5298,53028,73528,188362
848620,Machines and apparatus for the manufacture of semiconductor devices or of electronic integrated ...,3124,8615,12986,5209,13007,21013,32606,63179,92922,160446,,290562,430447,247515,269806,369808,921011,888122,1068687,1106574,1998520,,617681,977580,1585679,2347474,1593535,2784908,4199312,1917749,2735528,2385870
382499,"Chemical products and preparations of the chemical or allied industries, incl. those consisting ...",0,0,0,0,0,51269,61670,57257,84788,154806,,0,0,0,0,0,852052,913075,768975,760682,996590,,0,0,0,0,0,1085250,1266586,1244169,1203337,1600112
720839,"Flat-rolled products of iron or non-alloy steel, of a width of >= 600 mm, in coils, simply ...",220870,174400,176305,126443,106337,131461,138040,139979,112691,153082,,1258809,1352928,1253973,1054202,902341,1173334,1422704,1518404,1522444,1624655,,429770,316617,333888,221058,210889,258410,233894,253866,203310,293930
392690,"Articles of plastics and articles of other materials of heading 3901 to 3914, n.e.s (excluding ...",131227,119142,118184,105918,117396,129034,127314,119150,122552,139733,,1785749,1700538,1806996,1789111,1751079,1720636,1649266,1598660,1697659,1964061,,2254608,2177636,2259540,2113597,2267285,2371886,2570019,2538387,2639842,2908262
390799,"Saturated polyesters in primary forms (excluding polycarbonates, alkyd resins, poly""""ethylene ...""",59415,68240,65215,53948,55383,77858,84974,72742,64578,139126,,730507,757341,708651,569498,545532,702827,788968,662091,627872,1225572,,234661,262294,282078,273712,253116,332955,405914,376076,303010,546840
940320,"Metal furniture (excluding for offices, seats and medical, surgical, dental or veterinary  ...",110525,94315,84646,80201,82759,83834,88535,90925,117685,137354,,433558,405139,479130,494004,475013,478394,494559,612697,676570,718752,,487640,483835,487094,463706,456369,492862,536238,559157,654665,769203
710812,"Gold, incl. gold plated with platinum, unwrought, for non-monetary purposes (excluding gold ...",37313,4489,7489,8156,4230,11897,3364,3060,36589,111388,,1110131,564917,774341,1208246,536119,371092,394436,672553,1961618,643374,,321831,1038784,495099,163776,83787,97850,207552,64297,173797,166387
854129,Transistors with a dissipation rate >= 1 W (excluding photosensitive transistors),2974,9574,7592,7816,4755,12313,14412,29837,95264,109112,,678281,587778,557425,456122,517557,574098,732764,709532,826088,972120,,241016,237090,269725,239856,240025,296453,365791,406155,429112,634756
846693,"Parts and accessories for machine tools for working metal by removing material, n.e.s.",60020,55069,64890,75546,69311,74640,88921,79359,63066,101537,,514232,452044,532513,498791,493698,622634,660335,514525,480911,711251,,526742,358139,502553,522453,424965,521097,556248,453728,363301,485207
392062,"Plates, sheets, film, foil and strip, of non-cellular poly""""ethylene terephthalate"""", not ...""",81729,77089,78692,63515,63066,70488,83136,90253,83089,100980,,433942,466125,523745,472854,434563,413794,469301,450234,530638,651557,,535411,464119,433314,374864,407195,451016,501221,493313,465859,537206
853690,"Electrical apparatus for switching electrical circuits, or for making connections to or in ...",36158,38707,45016,45571,45341,57369,62454,54524,62049,94588,,1104126,1159443,1011837,860210,794455,850459,853745,760466,778119,1052646,,1396428,1273626,1249269,1076277,1147913,1279935,1328725,1221377,1233406,1565776
731815,"Threaded screws and bolts, of iron or steel, whether or not with their nuts and washers (excl. ...",95309,100191,93830,85842,84064,84308,90025,92763,87928,91998,,1993113,2015107,2204364,2114206,1918616,2195880,2481850,2290296,2017628,2610363,,414936,428752,429334,382742,364697,376532,419214,433229,352763,396367
850440,Static converters,68280,66169,72440,70630,74754,72458,71831,69306,78468,90156,,962241,967063,986908,923664,907896,938815,964531,1088818,1299650,1667392,,2135640,2175862,2195559,2027046,1973485,1987221,2067567,2100237,2225486,2609426
732690,"Articles of iron or steel, n.e.s. (excluding cast articles or articles of iron or steel wire)",84016,73302,79195,57751,58691,64996,73430,78759,69403,86282,,1234047,1192436,1192664,1152038,1122593,1209901,1262074,1172580,1066760,1292023,,1437041,1381266,1418670,1277753,1314115,1354087,1453391,1450096,1275415,1470911
740400,"Waste and scrap, of copper (excluding ingots or other similar unwrought shapes, of remelted ...",45828,39776,30002,29493,36878,54112,63604,55963,56616,85119,,228796,204116,206673,183478,176815,289144,364977,374996,409168,639946,,1031446,840972,1000352,889361,997484,1150657,1332221,1195647,955509,1575810
30342,"Frozen yellowfin tunas """"Thunnus albacares""""""""",80371,57878,83248,66672,82591,109884,99113,76798,61119,82120,,153517,106660,111975,99291,132455,190349,191987,170717,133221,131940,,211800,144318,188398,154151,192087,216180,218042,189481,166813,181036
280461,"Silicon containing >= 99,99% by weight of silicon",49821,102310,152202,193955,180416,117513,80582,75914,66374,80915,,397575,499604,600230,511907,615390,614762,551139,244648,172824,288509,,1208047,1166096,1363596,1133162,1398491,1156839,1099933,701709,598800,663896
900120,Sheets and plates of polarising material,9007,32892,53266,22586,17501,10566,9516,19812,79891,79925,,1674689,1651748,1542681,1189277,1050160,1069472,994311,979217,1135614,1368868,,254231,206999,234121,135610,200267,201404,132543,210829,266235,291243
852341,"Optical media for the recording of sound or of other phenomena, unrecorded (excluding goods ...",224905,162461,150790,122694,112453,101468,100536,84001,83473,79345,,0,52119,627072,489746,395846,323754,292231,226905,169821,168693,,295388,204049,169688,131346,127716,116161,114190,93558,93170,87661
852580,"Television cameras, digital cameras and video camera recorders",91894,166479,146438,115205,120738,123341,120983,118903,80336,79097,,1778120,1928112,1437715,1350992,1177300,1124577,1147273,1123967,1055785,1268773,,2081378,2069494,1808342,1625104,1542739,1893185,2191291,2427148,2266501,2449165
851220,Electrical lighting or visual signalling equipment for motor vehicles (excluding lamps of heading ...,69614,68507,75071,76789,91741,98119,88441,73892,62580,79071,,999295,1061326,1166554,1157799,1152194,1277317,1323967,1339802,1248469,1557398,,429798,511125,623913,659253,708650,609921,692818,730938,548615,629264
390810,"Polyamides-6, -11, -12, -6,6, -6,9, -6,10 or -6,12, in primary forms",30411,29689,45213,61388,49300,61541,85372,103908,59818,78453,,1082308,1146282,1014617,711312,576136,685290,776158,512919,353912,524630,,411740,392352,417413,389691,366672,412244,505676,500109,298452,517628
760120,Unwrought aluminium alloys,38495,26747,32375,18822,25559,44188,39836,40381,52679,77497,,287400,264944,269157,197137,167542,193074,189390,157068,201042,264559,,2444036,2193144,2450979,2156996,1907912,2459979,2708983,2046239,1493706,2728291
290723,"4,4'-Isopropylidenediphenol """"bisphenol A, diphenylolpropane"""" and its salts""""",86918,57297,46939,34406,29586,22667,53451,26329,27649,75352,,593033,491992,464776,349534,235294,229918,376906,295305,328888,677461,,104813,65258,59743,41339,47758,48934,102253,43979,44682,120666
390769,"Poly""""ethylene terephthalate"""", in primary forms, having a viscosity number of < 78 ml/g""""",0,0,0,0,0,44907,69584,59685,51737,74415,,0,0,0,0,0,90238,236361,173312,102783,152105,,0,0,0,0,0,190698,227370,200396,151091,207230
900211,"Objective lenses for cameras, projectors or photographic enlargers or reducers",342127,221927,170987,169813,138003,142466,114161,83194,69926,74134,,451306,314792,254892,232673,202997,222612,201752,186423,185631,217940,,504663,354258,263990,264734,234138,251334,218185,160919,150146,144655
854110,Diodes (excluding photosensitive or light emitting diodes),40974,34468,36281,31512,29447,34092,32133,36869,45724,71527,,1018627,1040065,1101594,1171704,1208012,1128489,1094323,939437,956400,1183139,,326009,336336,350711,309529,297375,348223,399546,380630,371128,504353
720917,"Flat-rolled products of iron or non-alloy steel, of a width of >= 600 mm, in coils, simply ...""",44849,47044,48504,38180,38605,57029,67620,69852,51141,71274,,360527,352187,324722,219339,185874,227865,254918,222117,226680,362264,,433123,316466,321398,211917,201730,288833,289437,301963,208053,329768
390730,"Epoxide resins, in primary forms",38929,33208,35702,34493,27578,28205,46955,45676,39952,70912,,596853,619474,632493,578825,464673,565145,677052,659126,681639,1141750,,153466,153118,155308,138302,137891,155660,190847,169310,149234,213412
701952,"Woven fabrics, incl. narrow fabrics, of glass filaments, of width of > 30 cm, plain weave, ...",60476,53204,59303,55862,60013,71262,74298,61649,61023,70630,,58467,65012,80077,71449,74428,91188,90171,75600,71502,88347,,92744,88126,96988,92143,103595,110108,102235,93173,89011,106173
700600,"Sheets or profiles of glass, whether or not having an absorbent, reflecting or non-reflecting ...",301237,239401,201214,109788,89310,70035,67859,44355,57653,70628,,1016074,722179,639250,645228,767384,659378,644862,525836,654837,677563,,580348,541211,618862,526960,463206,416338,426610,361602,413085,477775
721049,"Flat-rolled products of iron or non-alloy steel, of a width of >= 600 mm, hot-rolled or cold-rolled ...""",48074,42253,53079,44740,35314,45647,56158,52862,48955,69476,,990865,876172,850574,730120,692741,932898,905615,567440,473026,1070841,,485207,354816,570148,413297,400071,559519,597160,711722,551787,750455
848180,"Appliances for pipes, boiler shells, tanks, vats or the like (excluding pressure-reducing ...""",60459,57320,61262,56148,62433,68737,75484,70969,68092,68300,,619819,642772,692724,604955,581870,701415,796569,739363,758647,993001,,1311666,1191276,1310950,1165468,1234664,1273221,1362874,1316040,1218919,1264669
690919,"Ceramic wares for chemical or other technical uses (excluding of porcelain or china, articles ...",55117,112926,155979,112403,69335,70237,93135,62777,56284,68014,,7159,9505,12335,13781,19881,20919,36600,44617,46114,36960,,130420,187260,242826,186210,172441,244991,297320,252575,254541,321740
848690,Parts and accessories for machines and apparatus of a kind used solely or principally for the ...,57177,32315,34354,36157,59533,45324,57919,65128,62143,65912,,375306,430743,538692,515211,750482,949003,1268345,1265667,1526325,1837047,,760469,765163,802772,1036045,993405,1204983,1358418,1284499,1550185,1804078
71029,"Leguminous vegetables, shelled or unshelled, uncooked or cooked by steaming or by boiling in ...",65676,62398,63568,67791,66787,70127,69862,72536,71188,64791,,69127,66268,69853,74319,72944,78612,79323,83172,79610,77907,,153721,154240,150650,157865,159298,161800,165088,168699,157456,146532
851770,"Parts of telephone sets, telephones for cellular networks or for other wireless networks and ...",67453,109963,146906,101370,69266,72736,64519,52136,60067,63791,,3006708,3050632,2988827,2069868,1689764,1965414,1659108,1919649,2046042,2186394,,3790303,3061679,2963897,2695723,2710222,2947692,2174448,1841750,1972781,2037791
731816,Nuts of iron or steel,55850,61252,62046,55992,50684,56000,62413,61505,49749,62301,,750988,781073,884545,830315,788460,895411,995556,897104,731365,1044051,,198692,212782,213516,195605,182870,202707,223121,215095,166382,188477
320730,"Liquid lustres and similar preparations of the kind used in the ceramic, enamelling or glass ...",65978,38188,30473,20890,21597,18180,15798,14076,25277,60699,,505237,271750,364732,421618,490521,353858,285847,239535,407712,462078,,120130,93380,80648,82435,66587,64274,49472,43044,57339,84719
721933,"Flat-rolled products of stainless steel, of a width of >= 600 mm, not further worked than ...""",13088,11921,17081,19308,27178,29504,40307,32127,29223,60555,,749055,708956,828559,501733,502131,616373,616153,490308,389134,882179,,114530,122711,134168,98719,111082,148739,197316,140305,140611,219730
390720,"Polyethers, in primary forms (excluding polyacetals and goods of 3002 10)",21511,25700,31070,22400,20116,28529,31236,29921,25582,60158,,519602,554170,562955,409610,283842,404686,442245,343369,285483,763253,,282263,278773,282392,247719,258716,310511,358244,324663,317786,414575
902290,"X-ray generators other than X-ray tubes, high tension generators, control panels and desks, ...",7781,20933,16650,52189,64807,63274,67036,59788,52648,60063,,14747,5786,2978,6434,7154,8401,8507,6225,9598,8006,,571446,487112,554148,544487,604298,556677,532681,535913,530103,648444
870870,"Road wheels and parts and accessories thereof, for tractors, motor vehicles for the transport ...",69179,56111,58791,53439,44254,61393,58409,65576,51202,58433,,379477,391466,432353,417658,430772,447505,425752,366309,330403,423776,,1303586,1294082,1370578,1277738,1214628,1316429,1451342,1327383,1039261,1407812
854370,"Electrical machines and apparatus, having individual functions, n.e.s. in chapter 85",112530,68758,52721,54026,48130,35121,39588,52199,60524,58309,,379132,430150,260133,251274,240047,276778,249114,520913,649506,781105,,2401526,2030912,2222629,1977041,2075656,2282399,2197251,2296115,2172519,2206172
711019,"Platinum, in semi-manufactured forms",11456,16094,20331,14759,22201,43507,67114,77831,84076,57956,,225292,213681,249902,276310,111648,132880,120104,107626,123665,190130,,390526,248874,117909,130151,100799,120077,118159,113888,146390,148811
401110,"New pneumatic tyres, of rubber, of a kind used for motor cars, incl. station wagons and racing ...",110320,114294,93108,72146,68940,72147,73215,69730,51691,56202,,704201,690808,653761,609900,556459,612808,578436,618706,598002,479051,,914205,823725,862834,752073,728275,812668,876358,870244,738231,829750
848340,"Gears and gearing for machinery (excluding toothed wheels, chain sprockets and other transmission ...",33890,33389,37689,38370,39241,48873,67798,49394,38305,56193,,644886,658172,801859,745274,721008,995402,1368697,964232,1067195,1554675,,522761,452199,521790,491528,483656,491353,562642,503545,419309,570333
392330,"Carboys, bottles, flasks and similar articles for the conveyance or packaging of goods, of ...",31582,30872,30950,29186,31815,38158,50156,54596,57609,55936,,129512,125376,129200,123038,130819,130598,145869,142001,142548,153011,,205152,192627,179584,161202,166969,210029,245835,272984,300025,285044
847130,"Data-processing machines, automatic, portable, weighing <= 10 kg, consisting of at least a ...",49472,38624,50924,39807,45757,47376,41195,47285,41028,55326,,450084,535309,771434,604841,1002881,1599780,1490243,1743918,1980757,2192744,,8112151,8141275,8734593,6598812,6100784,6948578,7058312,8230897,11359563,9919444
940360,"Wooden furniture (excluding for offices, kitchens and bedrooms, and seats)",39291,42471,42202,37824,38394,40464,39987,42593,49879,54596,,105791,104157,114509,117017,100345,107568,101283,107328,126284,135138,,1427465,1317482,1310771,1130949,1098141,1115972,1138172,1154829,1136014,1195922
950639,Golf equipment (excluding balls and complete clubs),31893,31931,36177,32853,31564,30893,27808,30697,33739,54077,,231917,222961,219647,205852,202575,218462,229274,233457,198569,320929,,302606,303763,341840,316042,308556,343360,365430,367260,365028,482658
854233,Electronic integrated circuits as amplifiers,31098,23734,25144,57515,34685,128778,49457,42870,39397,53482,,18390,27267,33897,53224,139657,74392,95749,53158,68736,62659,,262865,254991,266693,298244,239165,393754,340530,290580,304220,418395
852691,Radio navigational aid apparatus,48323,43583,62135,65547,59920,35836,37476,89191,64794,53155,,977150,867512,831132,815610,712901,452222,400274,503430,427124,554730,,1146018,1171584,1221069,1222618,1032893,903084,933465,1017010,999532,1005567
850760,Lithium-ion accumulators (excluding spent),6989,9711,9699,10148,14587,15569,20212,33497,46257,53064,,0,1223,59179,138911,175073,206463,276337,314481,319638,424221,,522026,654837,536826,634092,751024,807893,1087622,1421109,1336407,1695556
560392,"Nonwovens, whether or not impregnated, coated, covered or laminated, n.e.s., weighing > 25 ...",30079,29416,28727,32063,30775,39452,39744,46135,55752,52876,,70396,84677,97761,108067,108511,123661,131665,124245,157980,147926,,114713,117521,127098,143011,154769,186940,207091,220444,251089,235397
720916,"Flat-rolled products of iron or non-alloy steel, of a width of >= 600 mm, in coils, simply ...""",59355,43894,56382,44467,37783,53961,58039,48850,31849,52549,,240010,202262,214566,140208,137219,187420,231535,167010,190511,340662,,301764,222099,279543,178907,164566,239709,249682,249705,162622,302318
950631,"Golf clubs, complete",1769,14648,11561,9070,12729,16994,11828,17999,25458,52337,,12621,38543,46724,41188,35031,42461,29190,47103,52459,75323,,366165,367685,275564,230633,192125,260428,248349,254605,197801,309621
720827,"Flat-rolled products of iron or non-alloy steel, of a width of >= 600 mm, in coils, simply ...",36341,37338,46548,39613,38152,52516,63054,62128,42777,49662,,153753,169017,247734,184541,184304,263717,309048,281497,179430,428817,,216174,173708,192412,152198,142523,197271,208465,216767,151262,220041
847990,"Parts of machines and mechanical appliances, n.e.s.",24425,19740,29552,21619,26465,33879,39387,36751,33343,49265,,199867,188875,209453,204281,197936,241580,276531,235419,191170,259594,,508735,505240,634630,607209,660805,790725,918469,911824,807794,1063839
290539,"Diols (excluding ethylene glycol """"ethanediol"""" and propylene glycol """"propane-1,2-diol"""")""""",11460,9881,25840,30257,19601,16098,25128,19948,11743,48819,,122817,115486,135145,96239,129776,291098,292684,220037,186793,641058,,116987,104383,117695,111509,96404,101287,133898,107544,80363,138134
901380,"Liquid crystal devices, n.e.s. and other optical appliances and instruments not elsewhere specified ...",33058,29275,27671,23008,23553,26153,31676,37808,28111,46874,,8731558,8208419,5722805,4457674,3922831,6764649,6320873,5752319,5991930,7300051,,1069343,725359,600921,512312,416609,413685,400124,407073,348804,384996
871120,"Motorcycles, incl. mopeds, with reciprocating internal combustion piston engine of a cylinder ...",64062,78389,57169,53217,42353,43134,46042,34604,30444,46561,,314206,294139,308187,265718,219304,173103,165870,162519,161256,117879,,286555,311742,269947,239566,235168,224233,277300,266486,325497,438218
841391,"Parts of pumps for liquids, n.e.s.",39942,36699,42983,39029,34743,37755,43944,46310,38637,46401,,130517,133832,155278,118632,105182,131868,144531,136364,120591,154106,,414002,378365,452654,416763,410131,392583,460299,464237,404723,467143
871200,"Bicycles and other cycles, incl. delivery tricycles, not motorised",142188,107504,110916,129606,104213,75096,82920,73040,54684,45774,,1884531,1744130,1746902,1914016,1501173,1349423,1499031,1365712,1125368,1340391,,912211,821310,816166,771410,705553,675021,669717,658952,647257,703098
391910,"Self-adhesive plates, sheets, film, foil, tape, strip and other flat shapes, of plastics, in ...",49847,46333,48104,44180,44431,48629,45022,43861,43460,45422,,154088,144442,140400,132887,138109,150182,200513,178341,170602,185297,,195542,196439,206393,196649,192165,201137,211118,204514,197059,227169
871499,"Parts and accessories, for bicycles, n.e.s.",14687,18371,19094,19111,23024,30249,32092,28991,36750,44996,,1014187,971645,1089504,1030111,968579,1134551,1196715,1260913,1377242,2183128,,94750,100554,104199,93842,91471,89143,92780,83912,93076,111595
870829,"Parts and accessories of bodies for tractors, motor vehicles for the transport of ten or more ...""",31536,31295,36355,37948,36662,43121,51313,50280,39364,44845,,720644,758417,801785,817373,857485,1000021,991660,959568,899743,1142917,,934081,1017658,1145819,1089348,1233183,1234263,1333380,1253508,1061287,1165813
731812,Wood screws of iron or steel (excluding coach screws),29846,32938,27484,23674,22360,36028,41290,45804,36693,44623,,163445,163823,197143,180493,173617,186590,225740,254128,295835,389238,,38243,40298,33256,28692,28381,42072,49061,57243,48163,58571
300490,"Medicaments consisting of mixed or unmixed products for therapeutic or prophylactic purposes, ...""",26780,25655,29015,31373,32339,29919,32413,37401,46707,43923,,199304,229668,259766,278320,329248,333554,318898,359081,407918,441803,,13816203,12239410,11125380,14915543,14384100,12297744,13738089,13945621,14117694,15406428
711011,"Platinum, unwrought or in powder form",2074,4040,3880,1923,17252,12098,9996,10323,11795,43648,,3577,5041,3035,2051,14713,8505,3251,4489,39025,83639,,2171987,2180362,1413135,1552384,1378824,1303424,1206443,931297,930086,1244720
871410,"Parts and accessories of motorcycles, incl. mopeds, n.e.s.",32063,37829,36641,34400,30324,30447,29912,30938,32171,43562,,0,38821,510869,441597,467596,491945,491889,521988,497698,681643,,246791,283880,284838,237849,236955,272631,281183,276967,279658,386975
853710,"Boards, cabinets and similar combinations of apparatus for electric control or the distribution ...",17247,19069,24341,36556,43587,44142,42072,40490,37453,42821,,298280,319418,395382,377346,382927,451170,497308,448487,531493,863044,,681438,741175,850830,855306,929148,1080629,1136792,1178975,1081381,1203806
940390,"Parts of furniture, n.e.s. (excluding of seats and medical, surgical, dental or veterinary ...",41013,43327,36598,33656,36287,39134,39216,38741,36251,42658,,208407,231839,243007,218969,221588,234924,278023,273601,290027,363731,,572609,600304,584931,504540,515811,505015,503575,516756,494599,583851
