Product code,Product label,"Australia's imports from Korea, Republic of-Value in 2012","Australia's imports from Korea, Republic of-Value in 2013","Australia's imports from Korea, Republic of-Value in 2014","Australia's imports from Korea, Republic of-Value in 2015","Australia's imports from Korea, Republic of-Value in 2016","Australia's imports from Korea, Republic of-Value in 2017","Australia's imports from Korea, Republic of-Value in 2018","Australia's imports from Korea, Republic of-Value in 2019","Australia's imports from Korea, Republic of-Value in 2020","Australia's imports from Korea, Republic of-Value in 2021","Korea, Republic of's exports to world- ","Korea, Republic of's exports to world-Value in 2012","Korea, Republic of's exports to world-Value in 2013","Korea, Republic of's exports to world-Value in 2014","Korea, Republic of's exports to world-Value in 2015","Korea, Republic of's exports to world-Value in 2016","Korea, Republic of's exports to world-Value in 2017","Korea, Republic of's exports to world-Value in 2018","Korea, Republic of's exports to world-Value in 2019","Korea, Republic of's exports to world-Value in 2020","Korea, Republic of's exports to world-Value in 2021",Australia's imports from world- ,Australia's imports from world-Value in 2012,Australia's imports from world-Value in 2013,Australia's imports from world-Value in 2014,Australia's imports from world-Value in 2015,Australia's imports from world-Value in 2016,Australia's imports from world-Value in 2017,Australia's imports from world-Value in 2018,Australia's imports from world-Value in 2019,Australia's imports from world-Value in 2020,Australia's imports from world-Value in 2021
870321,"Motor cars and other motor vehicles principally designed for the transport of persons, incl. ...",9,0,0,0,0,0,1912,16168,11804,32866,,885004,915067,773779,1042648,867201,1576505,2406340,2478119,1730813,2007666,,219067,146930,139077,156778,135234,163799,188212,140331,227292,382184
843149,"Parts of machinery of heading 8426, 8429 and 8430, n.e.s.",19472,17438,17062,16236,15436,20694,27549,25668,32058,30378,,1952554,1898654,1772824,1446687,1375704,1783597,2145463,1728189,1418992,1860518,,1034461,804278,623953,541078,471323,644629,857601,829105,932388,941738
854449,"Electric conductors, for a voltage <= 1.000 V, insulated, not fitted with connectors, n.e.s.",16979,18851,21609,12603,11104,16063,15816,18108,20352,29270,,835448,776216,819580,761683,807437,735153,863103,831505,888394,985886,,515659,536594,502045,393604,332086,412085,494758,419155,415231,623605
852580,"Television cameras, digital cameras and video camera recorders",16100,15959,12194,10331,10105,10260,15759,17838,23159,27978,,737977,635083,531680,1346823,2750793,1515526,763434,668081,674826,3448206,,731592,588100,576238,537141,501631,605791,726219,688206,630793,803323
281512,"Sodium hydroxide """"caustic soda"""" in aqueous solution """"soda lye or liquid soda""""""""",0,0,0,0,0,0,0,0,0,27933,,147502,153909,153183,152408,141051,180334,184588,118513,131058,166365,,1010988,733633,662723,613448,637964,990721,107801,0,0,155813
854140,"Photosensitive semiconductor devices, incl. photovoltaic cells whether or not assembled in ...",21547,11629,15293,12390,18321,41577,75227,71284,80108,25066,,3878801,3791162,3419963,3633217,4164387,4613563,4308266,3512325,3110876,3052481,,1014067,595557,643616,563170,466886,969348,1585756,1470018,1178581,1370466
852859,"Monitors, not incorporating television reception apparatus (excluding with cathode ray tube ...",33133,31575,33096,35430,39411,52175,48883,46596,23179,25023,,267526,321071,399191,308296,313681,366889,418511,441028,287741,310651,,141155,172174,164887,183416,201195,239743,224514,205275,160517,227995
720219,"Ferro-manganese, containing by weight <= 2% carbon",2007,3653,3988,1247,1951,4869,5048,2440,4704,24520,,196937,150806,182343,190439,125494,246578,264920,186768,109365,307225,,9215,4475,5026,2589,2639,5552,7028,4013,5493,25620
842139,Machinery and apparatus for filtering or purifying gases (excl. isotope separators and intake ...,74455,280935,477713,245097,2119,2769,2814,5434,5657,24482,,247151,348023,374031,428747,386162,450917,573905,719146,802582,963507,,288257,624817,782802,489886,316352,212049,222121,258045,309833,343668
190230,"Pasta, cooked or otherwise prepared (excluding stuffed)",6418,4726,3197,2222,5766,15316,18419,18792,23660,24029,,252919,256996,250210,262995,339307,443074,477080,528621,686126,769774,,60416,68630,74741,69763,84383,117642,134972,141744,170865,159919
401120,"New pneumatic tyres, of rubber, of a kind used for buses and lorries (excluding typres with ...",61278,41720,39475,24580,26501,18248,17728,18659,19839,23065,,1572176,1416517,1278119,975662,1003078,985315,975361,869635,807392,815802,,845648,702805,642296,516959,503949,526658,557445,521879,524494,634117
870193,"Tractors, of an engine power > 37 kW but <= 75 kW (excl. those of heading 8709, pedestrian-controlled ...",0,0,0,0,0,9208,12686,8159,14335,22984,,0,0,0,0,0,158959,177294,174966,138337,249033,,0,0,0,0,0,111819,112750,75037,94741,162990
961900,"Sanitary towels (pads) and tampons, napkins and napkin liners for babies, and similar articles, ...",15709,10648,9772,9728,8335,9327,9407,15911,23511,21916,,241166,212978,201075,225900,218814,148717,79597,71573,86539,99993,,221808,228372,226964,216852,212758,220362,233594,319664,357815,375470
841590,"Parts of air conditioning machines, comprising a motor-driven fan and elements for changing ...",22001,24812,25192,19579,20253,21683,17825,17180,15825,21888,,809338,892497,754892,714876,710026,722236,668594,701968,702911,722035,,531038,509428,471769,469849,474386,532403,641726,566853,640427,850578
854232,Electronic integrated circuits as memories,8263,8452,13637,11070,6265,13967,13559,22777,15895,21062,,16611973,21964136,28849532,28856912,31612095,60506974,83048246,53163163,52359154,69177215,,99518,97395,109389,89011,69891,106076,99767,94605,85704,103710
847170,Storage units for automatic data-processing machines,2729,1742,2427,1140,3519,4778,3957,2767,12569,19673,,1797549,2384379,2895324,3613241,3916109,5619460,5176310,396774,87481,104407,,1085792,970441,1009321,854690,755411,713774,706103,564673,602342,675856
842951,Self-propelled front-end shovel loaders,17006,17490,15114,10464,11047,9533,10172,9748,9767,19447,,478395,441156,470696,339113,265391,302969,323928,349535,255544,358109,,804816,390739,322915,278919,288083,468809,565864,471690,511144,775655
854239,"Electronic integrated circuits (excluding such as processors, controllers, memories and amplifiers)",15728,13483,26748,18640,30684,19192,35234,15576,21629,19161,,3275183,4194566,3873894,3173909,3342874,3926261,4294420,4901387,6622730,9101987,,105309,97517,123157,114131,139448,124493,179846,281534,204405,210604
390220,"Polyisobutylene, in primary forms",15349,16609,22421,15490,11406,19943,15071,16919,14060,18897,,243975,281169,287110,232033,223395,252709,298410,244727,199710,311319,,19278,17939,24612,19441,14754,21091,16204,18339,15976,21475
390690,"Acrylic polymers, in primary forms (excluding poly""""methyl methacrylate"""")""""",7032,8421,8035,7941,8040,17572,30746,26678,10027,18423,,764513,870300,941670,825936,884942,1122828,1319273,1376755,1366885,1727810,,151621,166043,155125,133609,147222,167471,171938,161985,146142,184988
400219,"Styrene-butadiene rubber """"SBR""""; carboxylated styrene-butadiene rubber """"XSBR"""", in primary ...""",17347,14246,10651,8888,8652,13311,16865,15633,11679,18363,,1593944,1305139,1149742,823648,816556,1092688,1073273,921805,701536,1119266,,47246,31861,26109,19833,20199,43646,39199,33431,27237,31858
870829,"Parts and accessories of bodies for tractors, motor vehicles for the transport of ten or more ...""",67542,56501,51121,38963,31921,17989,18680,17753,14441,17442,,2385971,2690380,3156626,3089487,3126722,2449816,2534142,2483725,2020393,2356796,,431270,411817,397157,384487,402916,411701,409605,392088,349927,477877
321410,"Glaziers' putty, grafting putty, resin cements, caulking compounds and other mastics; painters' ...",6618,7571,6916,7891,11617,11281,18140,15053,15681,17266,,145909,158368,170195,170749,184983,205754,233808,219076,184388,221274,,88101,88834,91836,100238,105276,109925,122826,118163,126642,141800
310520,"Mineral or chemical fertilisers containing the three fertilising elements nitrogen, phosphorus ...",40248,23808,25462,17337,12361,13526,11356,13492,9225,16688,,118745,68861,104491,89473,60406,79911,83894,84075,93280,122093,,80833,68564,64565,65247,58319,60588,61561,57424,54318,69636
950430,"Games with screens, flipper and other games, operated by coins, banknotes, bank cards, tokens ...",579,596,1606,1809,1127,2479,1399,6048,6197,16574,,37661,19023,18633,19944,27339,30187,30780,36846,14515,20795,,115889,126863,161629,148056,180575,155614,158504,148275,77812,130911
842129,Machinery and apparatus for filtering or purifying liquids (excluding such machinery and apparatus ...,1110,3361,167069,812,909,777,938,1895,3567,15921,,60532,88014,118589,125786,100389,80768,106392,121550,82458,79255,,214245,227649,407105,206828,184131,186614,204694,206086,225665,215334
870340,"Motor cars and other motor vehicles principally designed for the transport of <10 persons, ...",0,0,0,0,0,1729,2571,1763,1128,15799,,0,0,0,0,0,2697530,2472623,2690724,2529905,4674060,,0,0,0,0,0,137831,284489,564837,1144747,1687075
842720,"Self-propelled trucks fitted with lifting or handling equipment, non-powered by an electric ...",31259,25988,16140,19187,11130,21366,28041,15803,11173,15631,,542161,512990,404413,380682,358452,414808,558363,515053,352053,527466,,529465,395139,325447,274864,256277,338619,402904,378848,360698,495421
230910,"Dog or cat food, put up for retail sale",37,3,9,0,40,14,0,0,5168,15360,,15806,10478,13305,12937,13518,12702,14498,36817,67491,99942,,195218,232910,238974,218948,231295,231405,267268,290900,312922,392148
550320,"Staple fibres of polyesters, not carded, combed or otherwise processed for spinning",18054,17417,14969,12287,10755,10847,13695,11773,11139,15229,,1034941,1048989,992579,848134,789778,935236,1131089,881483,742368,875376,,42247,42290,37906,33565,28504,28659,34519,34281,30854,38585
270750,"Aromatic hydrocarbon mixtures of which >= 65% by volume, incl. losses, distils at 250¡ÆC by ...",15152,11725,22958,11447,13104,12589,14708,11069,11814,14512,,414970,494628,575686,339949,333169,486687,475078,403306,344316,432923,,33492,24810,41113,21963,23999,21738,23467,16229,22037,23340
845121,"Drying machines, of a dry linen capacity <= 10 kg (excluding centrifugal driers)",1372,1634,3223,4823,5356,5339,5284,5201,7572,14367,,39110,56726,62839,59564,65986,54768,22955,56608,93977,146207,,68153,62423,59481,68274,70280,81502,80762,84120,118109,135906
851220,Electrical lighting or visual signalling equipment for motor vehicles (excluding lamps of heading ...,32727,25205,25712,25636,20512,19904,16287,13760,13967,14176,,421750,561811,694002,717219,891425,836472,797938,785935,739125,843531,,201484,186848,187133,175613,174791,184017,194655,185467,177082,228653
392190,"Plates, sheets, film, foil and strip, of plastics, reinforced, laminated, supported or similarly ...",12428,11214,11491,9369,12474,14555,10581,11955,10449,13883,,834100,839835,864639,740536,691033,679498,682804,656627,617024,670458,,179827,181727,195404,182552,168015,173539,177040,173629,168906,207515
854460,"Electric conductors, for a voltage > 1.000 V, insulated, n.e.s.",2524,3636,17632,23731,11867,20533,28629,22812,27691,13688,,751346,652252,924803,623394,512492,589470,710466,543640,594628,682593,,58211,117487,110813,116732,89594,143909,206785,176192,145348,218493
854411,"Winding wire for electrical purposes, of copper, insulated",17291,10943,9584,6755,7238,8296,9682,8717,10559,13614,,269251,271639,256046,219670,166387,187931,210673,169409,185808,240337,,21178,14951,13164,9570,9685,11605,12503,12098,13102,17141
901890,"Instruments and appliances used in medical, surgical or veterinary sciences, n.e.s.",1833,3357,4300,5124,5399,8424,9101,9322,9644,13154,,382420,390464,497543,498535,510689,540387,559775,579963,499846,719015,,1220020,1209999,1240623,1162391,1303647,1285841,1435003,1351207,1287124,1484058
210690,"Food preparations, n.e.s.",3422,4454,5116,5045,4420,5911,10325,7457,12393,12899,,491360,551106,590458,596362,667768,774033,842998,773316,581173,722695,,1210138,1265084,1224440,1193919,1206955,915116,1122181,1459633,1397965,1556710
721012,"Flat-rolled products of iron or non-alloy steel, of a width of >= 600 mm, hot-rolled or cold-rolled ...""",12264,0,0,0,1718,16138,13828,8493,7915,12676,,430667,431541,371787,306319,295156,339902,345212,355355,333945,433740,,114049,95373,88710,76708,72155,80385,89137,83736,72144,97228
851712,"Telephones for cellular networks """"mobile telephones"""" or for other wireless networks""""",228697,108377,78032,37832,17615,62970,59963,72021,43971,12501,,12096876,13175420,12488434,10382781,8156690,6972601,6120802,4744383,4122757,4926365,,3819818,3629253,3922030,3751207,3589882,4131436,4273962,3980281,3816708,4165658
842211,Dishwashing machines of the household type,15877,5670,0,0,5073,4038,3690,5919,9184,12355,,158277,157841,138455,134967,156637,205084,165256,174340,245780,408410,,177721,175720,174811,170137,176250,184841,188102,171919,199407,217517
851632,Electro-thermic hairdressing apparatus (excluding hairdryers),4057,3652,4118,3414,4042,4667,5164,5456,4512,12201,,42830,32989,35771,40623,50554,43751,47996,40363,33736,48472,,35317,34291,35974,27677,30405,28688,30088,38967,53241,71340
590390,"Textile fabrics impregnated, coated, covered or laminated with plastics other than poly""""vinyl ...""",8097,12204,13384,15278,15018,13520,13486,9552,10149,12149,,112524,132140,156788,150569,144281,152041,159864,170940,151607,164586,,33036,37841,39520,44171,44004,47676,46724,44752,47131,51701
200899,"Fruit and other edible parts of plants, prepared or preserved, whether or not containing added ...",965,729,1462,1963,1751,2939,4982,6370,8955,11720,,14712,16229,16804,13462,16326,17738,22109,150995,465887,553982,,50602,54329,55476,59829,55628,72020,68399,62028,67623,77860
730890,"Structures and parts of structures, of iron or steel, n.e.s. (excluding bridges and bridge-sections, ...",25924,20056,227725,43124,10538,2242,3817,8672,20675,11555,,2468938,2071810,2485499,3061331,3455792,4517527,2061303,1142800,883912,1365602,,1517536,2163714,1516504,1896507,944575,599599,814894,687706,766640,1055814
740100,Copper mattes; cement copper (precipitated copper),14253,15180,16302,14178,12025,13379,11874,10912,9883,11492,,26965,23984,29785,24131,26635,22293,21702,18919,23313,35507,,20305,20322,21291,18061,51416,22576,39432,14629,27529,92426
854390,"Parts of electrical machines and apparatus, having individual functions, n.e.s. in chapter ...",11692,11342,10322,10756,8272,7546,9376,14732,21397,11358,,241568,404561,593659,399249,194572,257333,162651,196740,148015,176106,,54650,40866,36148,31670,27984,26587,30578,39267,49221,64552
870192,"Tractors, of an engine power > 18 kW but <= 37 kW (excl. those of heading 8709, pedestrian-controlled ...",0,0,0,0,0,3147,1978,2956,6335,11322,,0,0,0,0,0,265860,282662,319844,418326,638317,,0,0,0,0,0,41044,37012,29169,30730,44684
390330,"Acrylonitrile-butadiene-styrene copolymers """"ABS"""", in primary forms""""",16702,13003,12209,10543,8811,10919,12053,7315,5648,11009,,2544192,2677541,2557618,2133712,2072914,2684243,2793255,2244479,2051130,3011110,,26192,22160,21705,19918,16404,19988,20554,14593,11900,26055
870810,"Bumpers and parts thereof for tractors, motor vehicles for the transport of ten or more persons, ...",6492,7381,7335,8326,8560,8966,10357,9945,8611,10947,,70963,75527,72311,57528,53241,55992,61256,58541,54110,63709,,104108,103044,108624,108086,114443,129583,140218,140034,120998,182230
392690,"Articles of plastics and articles of other materials of heading 3901 to 3914, n.e.s (excluding ...",8448,6286,6871,6989,6879,8539,8371,8402,7457,10835,,832796,888855,918481,959415,1123760,1236304,1382329,1313597,1341814,1502732,,657758,668580,685486,634586,625176,698755,786044,751248,903008,969416
760720,"Aluminium foil, backed, of a thickness (excluding any backing) of <= 0,2 mm (excluding stamping ...",6798,6561,6388,5763,5608,8101,9967,8255,6442,10776,,84152,78802,86724,91044,86255,89225,75873,59500,57701,67658,,40508,41727,37938,38778,40459,42378,41034,39694,34576,45636
392390,"Articles for the conveyance or packaging of goods, of plastics (excluding boxes, cases, crates ...",1419,736,890,764,854,2646,5320,4366,4596,10699,,117305,106177,111060,127927,135870,159124,174807,209638,239944,261989,,145862,163289,178414,170226,159377,151040,157968,154703,151218,154304
843069,"Earth moving machinery, not self-propelled, n.e.s.",1188290,4591,5576,963057,6475,7488,7189,4217,6368,10588,,9407,13121,16389,3840,4120,40242,98958,107402,128497,185904,,1223993,48018,35019,986655,29642,42361,45209,34428,31347,37469
481029,"Paper and paperboard used for writing, printing or other graphic purposes, of which > 10% by ...",777,1687,3623,11480,9010,8707,10098,8151,12722,10548,,39483,37673,37639,23458,55777,78647,63700,61134,52985,57403,,96274,110490,79578,84292,63818,73001,83056,77835,65294,68974
901812,Ultrasonic scanning apparatus,5551,5725,5169,5788,4331,4010,4068,3337,5376,10445,,420978,457050,468139,462686,478375,615883,689581,666717,580119,696123,,87011,95190,90744,78529,68902,69074,77575,83740,77304,79721
710691,"Silver, incl. silver plated with gold or platinum, unwrought (excluding silver in powder form)",0,0,0,0,0,0,0,0,0,10412,,2308729,1633965,1729466,1296941,1579533,1262091,1173496,1175432,1522601,2001367,,71133,77265,67364,38540,35759,25917,19609,32476,359278,241059
481820,"Handkerchiefs, cleansing or facial tissues and towels, of paper pulp, paper, cellulose wadding ...",89,126,117,5898,7419,8572,8264,5431,8367,9621,,6748,10111,8999,31361,42439,46502,47559,45105,42340,40562,,80811,85209,79967,80404,82525,86278,92268,87220,99065,93202
270900,"Petroleum oils and oils obtained from bituminous minerals, crude",0,0,25396,0,0,0,0,0,0,9376,,2,4,6,2,1,6,3,6,3,0,,22410762,19708205,18575197,7268176,5936714,7234116,10253681,8615668,4790869,5621207
847330,Parts and accessories of automatic data-processing machines or for other machines of heading ...,13872,13886,12428,14531,5124,10097,10403,12679,10386,9222,,3374821,4351604,5679190,5424100,4143295,7481776,12046739,11307539,13210367,15075179,,584615,477808,532402,469892,422933,443140,459529,405772,480372,626086
390720,"Polyethers, in primary forms (excluding polyacetals and goods of 3002 10)",14312,6830,6346,4171,3109,3752,4924,3785,3787,9166,,901491,990534,1078817,860635,740035,782301,917776,885612,878218,1432086,,58244,48183,51182,44803,36833,42932,44227,52196,59239,93924
740940,"Plates, sheets and strip, of copper-nickel base alloys """"cupro-nickel"""" or copper-nickel-zinc ...""",3163,12674,7305,13764,6175,7941,5913,1388,4362,9145,,18494,33082,26365,27508,24262,42241,67997,63996,47178,74391,,7806,20574,12073,14712,10517,9793,8432,3751,7390,14464
701090,"Carboys, bottles, flasks, jars, pots, phials and other containers, of glass, of a kind used ...",1360,3464,7240,9926,10850,12415,11607,10185,10096,9062,,28479,36293,44302,44230,43050,45566,57962,60914,58783,57775,,86092,108001,123679,144886,173859,167510,161750,131885,133870,136563
848180,"Appliances for pipes, boiler shells, tanks, vats or the like (excluding pressure-reducing ...""",20533,20720,22233,26474,15401,9921,12063,11841,9233,8948,,1456148,1299238,1159600,1331570,1192790,1039861,1135712,1099091,1021661,1043570,,1137469,1159139,1235749,1257267,930580,909625,998002,872768,886825,1146437
391990,"Self-adhesive plates, sheets, film, foil, tape, strip and other flat shapes, of plastics, whether ...",4547,5218,6974,7992,6648,6253,7803,7359,6872,8888,,1016266,1350777,1331234,1354668,1281547,1538186,1643208,1597441,1404023,1535604,,171005,164677,187005,177621,184667,200042,201593,188252,189861,246253
340213,"Non-ionic organic surface-active agents, whether or not put up for retail sale (excluding soap)",1312,2903,2953,1306,1653,5373,4988,4702,6769,8735,,53334,60096,61784,63646,69430,77317,83122,83780,93745,111194,,65834,54854,58083,52722,54566,64419,62581,51532,60699,71584
850811,"Vacuum cleaners, incl. dry cleaners and wet vacuum cleaners, with self-contained electric motor, ...",5617,10933,8631,3205,2940,552,10673,14252,15659,8452,,23144,41835,225570,124142,102685,58033,64117,55530,90242,62168,,193045,228756,243168,235027,244844,294204,324098,307956,368488,393695
70959,"Fresh or chilled edible mushrooms and truffles (excl. Agaricus, Boletus, Cantharellus, shiitake, ...",2339,2720,3370,4452,5210,6114,7055,7600,7532,8266,,35391,40295,38600,36194,38721,43955,50064,55113,49221,45712,,4040,4274,5675,6470,7278,8225,9135,9680,9477,10470
831120,"Cored wire of base metal, for electric arc-welding",7799,4977,5809,4380,4110,5196,5538,5779,5588,8218,,139115,124407,135169,138439,121199,103638,106975,129100,104246,120470,,29054,25990,24215,17818,15652,20628,21287,21439,22837,26607
710692,"Silver, incl. silver plated with gold or platinum, semi-manufactured",3322,3538,5155,5922,3822,5438,5155,4751,6416,8186,,210852,125987,90967,75545,76197,90648,86480,77602,85547,101208,,356182,350849,496415,275790,309157,55746,42873,102882,306143,319040
