Product code,Product label,China's imports from Germany-Value in 2012,China's imports from Germany-Value in 2013,China's imports from Germany-Value in 2014,China's imports from Germany-Value in 2015,China's imports from Germany-Value in 2016,China's imports from Germany-Value in 2017,China's imports from Germany-Value in 2018,China's imports from Germany-Value in 2019,China's imports from Germany-Value in 2020,China's imports from Germany-Value in 2021,Germany's exports to world- ,Germany's exports to world-Value in 2012,Germany's exports to world-Value in 2013,Germany's exports to world-Value in 2014,Germany's exports to world-Value in 2015,Germany's exports to world-Value in 2016,Germany's exports to world-Value in 2017,Germany's exports to world-Value in 2018,Germany's exports to world-Value in 2019,Germany's exports to world-Value in 2020,Germany's exports to world-Value in 2021,China's imports from world- ,China's imports from world-Value in 2012,China's imports from world-Value in 2013,China's imports from world-Value in 2014,China's imports from world-Value in 2015,China's imports from world-Value in 2016,China's imports from world-Value in 2017,China's imports from world-Value in 2018,China's imports from world-Value in 2019,China's imports from world-Value in 2020,China's imports from world-Value in 2021
847989,"Machines and mechanical appliances, n.e.s.",1047575,1078993,1368843,1048545,1007669,1297461,1503511,1612449,1380267,1173568,,7312247,7307891,7783399,6907270,7232855,8794751,10076088,10270393,9051937,9663199,,6516450,6034424,6969823,6132252,6577054,8645564,9273758,8578715,8341837,8774627
903289,"Regulating or controlling instruments and apparatus (excluding hydraulic or pneumatic, manostats, ...",1161892,914360,943090,754646,738106,778526,996261,1006122,869399,1030440,,2809647,2606223,2534640,2022669,2237156,3024833,3645761,4038592,2762815,2230881,,3767795,3767430,4075327,3550608,3605914,4042713,4427190,4081469,4188045,4444365
853890,"Parts suitable for use solely or principally with the apparatus of heading 8535, 8536 or 8537, ...",774187,807754,896543,719745,694437,827123,961214,828746,889116,1008382,,5101781,5311843,5595013,4517879,4468555,5052566,5666797,5251280,4870119,5721908,,3992538,3977812,4206885,3560272,3447573,3935676,4405664,3975503,3922347,4344953
840991,Parts suitable for use solely or principally with spark-ignition internal combustion piston ...,735682,925144,1071681,872531,705812,707320,771969,680833,922440,946398,,6127091,6310490,6505241,5608976,5525871,5654273,5738653,5410200,4556465,5399290,,2772997,2832499,3058073,2636224,2550629,2714519,2944313,2549106,2389927,2399579
870899,"Parts and accessories, for tractors, motor vehicles for the transport of ten or more persons, ...",875737,907010,822657,617529,667277,868123,925765,745984,755800,922907,,7545250,8084557,8510030,7652388,8002705,8861842,9219583,7979540,6834006,8266138,,2364010,2329394,2301548,1957394,2162616,2618622,2994705,2827224,2905082,3568179
853690,"Electrical apparatus for switching electrical circuits, or for making connections to or in ...",482057,588647,676240,618509,668400,782222,863094,727731,784218,902755,,3170477,3267671,3507859,3067575,3241037,3534498,3852301,3551559,3449936,4293770,,7993983,8363404,9062124,8814924,8865881,9736922,9979021,9280817,9453312,10092382
850440,Static converters,618076,704480,1105469,1005908,812622,810795,1103263,963329,933833,885355,,4802695,4763246,5047102,4487542,4594645,5280041,5800438,5957950,7087710,8578880,,6267474,7495797,7393272,6591898,5919760,6179231,7292692,7106455,6965111,7355383
280461,"Silicon containing >= 99,99% by weight of silicon",670110,569882,712751,632208,557184,738058,661707,490718,484574,874449,,1662025,1399071,1494179,1144529,1063491,1120864,1065924,838104,817719,1548762,,2166859,1587043,2245611,2144896,2329419,2581665,2067527,1315044,1001121,1937490
903180,"Instruments, appliances and machines for measuring or checking, not elsewhere specified in ...",806430,819794,1012084,865360,873661,896786,985474,919159,863047,860998,,4212927,4473189,4628144,4131641,4401058,4724450,5116357,4866369,4146474,4639761,,4033678,3944040,4618099,4262550,4669969,4605602,5670356,5734158,5685034,6431699
854239,"Electronic integrated circuits (excluding such as processors, controllers, memories and amplifiers)",307316,448027,537394,965410,486490,487127,466103,477582,531477,783156,,3607887,4202776,5182777,5170342,4498195,6157518,7118182,6309019,5147643,6475106,,36604683,50129747,49134247,49437168,48698284,48614337,51691958,57225210,70996931,82677374
711031,"Rhodium, unwrought or in powder form",27793,7960,9045,9265,7546,8832,40044,107198,642448,710997,,166187,117327,118900,108033,87914,185092,512700,902684,2505367,4630323,,190312,175676,301889,176692,108432,137740,227073,564490,2447280,3752064
854231,"Electronic integrated circuits as processors and controllers, whether or not combined with ...",1260557,1776974,1425448,1437562,1088003,1010253,933041,777989,572962,688059,,6072160,6621859,7491329,5751793,6542986,7683547,8041121,7290779,6588338,8114264,,108353480,115319799,105226923,108220599,104900300,111363038,127430722,143495001,171425845,182399688
901320,Lasers (excluding laser diodes),151253,176902,239440,250295,282026,497966,547475,505688,543850,677979,,1207681,1283615,1452131,1301345,1443149,1942945,2152770,1795256,1741124,2155868,,710767,764269,1052859,1132930,1302809,2093026,3361915,3232168,3644138,2982809
710812,"Gold, incl. gold plated with platinum, unwrought, for non-monetary purposes (excluding gold ...",0,0,0,0,0,0,177033,638128,264458,661851,,8744280,6771690,4957450,4157666,4701418,4252182,4187484,6162240,8037589,5146140,,0,0,0,0,0,0,43120648,41153518,10917406,42874153
392690,"Articles of plastics and articles of other materials of heading 3901 to 3914, n.e.s (excluding ...",304797,374051,462222,383015,433041,521337,589302,583305,558572,652428,,6551278,7262543,7650645,6734572,7139189,7873496,8726515,8544417,8516227,10142339,,2656171,2774770,2926291,2894040,2970283,3264273,3560528,3611100,3583469,3916096
848620,Machines and apparatus for the manufacture of semiconductor devices or of electronic integrated ...,336571,185829,206588,184761,309174,599971,578332,630388,473301,635734,,626399,531692,566662,713205,864070,1030976,981656,988164,802918,946812,,2723618,2607613,4441029,4495484,5255877,6297901,11244936,10429743,13663292,19222066
901890,"Instruments and appliances used in medical, surgical or veterinary sciences, n.e.s.",369543,415919,478026,476186,550763,506300,597581,608825,579731,617556,,5829686,6230328,6320987,5579614,5710546,6138894,6827514,6940280,7109715,7583085,,1507772,1607105,1907251,2117131,2342617,2463137,2930115,3491568,3819012,4843093
844313,"Offset printing machinery (excluding sheet fed offset printing machinery, sheet size <= 22 ...",624870,609896,492760,405641,289673,384627,504255,509968,446299,589173,,1854315,1751933,1541630,1309743,1315655,1472642,1404949,1310571,1071902,1256477,,925977,927636,752201,610056,395549,530309,724277,715652,596572,843454
870380,"Motor cars and other motor vehicles principally designed for the transport of <10 persons, ...",0,0,0,0,0,65235,62527,57326,326505,575301,,0,0,0,0,0,1555181,1812016,3909260,8471752,15590982,,0,0,0,0,0,1469160,1197607,2466807,949605,738934
870894,"Steering wheels, steering columns and steering boxes, and parts thereof, for tractors, motor ...",680252,738270,864403,684489,658765,619146,631039,477265,484712,574213,,3102528,3191470,3453620,3053659,3177081,3450840,3525901,3107899,2613765,3164698,,1631951,1812899,2017755,1873319,1867080,1761797,1861401,1465258,1409450,1605146
382499,"Chemical products and preparations of the chemical or allied industries, incl. those consisting ...",0,0,0,0,0,473466,529246,483776,514194,558587,,0,0,0,0,0,4627693,5187104,4880465,4721959,5741167,,0,0,0,0,0,6080289,6202408,5677307,6511671,7561917
848390,"Toothed wheels, chain sprockets and other transmission elements presented separately; parts ...",303644,373167,448742,389201,379333,498585,590087,536310,530949,546899,,2297793,2442716,2544166,2201917,2259670,2654945,3022856,2802575,2762321,3228857,,1365572,1480859,1710839,1663726,1609576,1936635,2125510,1873849,1831663,2006271
870322,"Motor cars and other motor vehicles principally designed for the transport of persons, incl. ...",343936,215081,105271,454545,315291,282802,320894,846488,923852,510144,,9603099,9794812,10443915,12855544,14154725,12531254,14364180,14447215,12426819,10064280,,1009558,854376,924220,1277694,1090429,1242645,1138297,1354140,1567090,1200571
854370,"Electrical machines and apparatus, having individual functions, n.e.s. in chapter 85",268465,290318,301756,301485,336439,377409,463505,424900,440399,497148,,2689288,3070629,2974733,2617141,2705716,2936491,2964187,3032683,2943401,3452165,,2482504,2625751,2683377,2912175,2886407,3130372,3699086,4098481,4363790,4454481
903149,"Optical instruments, appliances and machines for measuring or checking, not elsewhere specified ...",268193,253445,321119,291144,364654,492486,568022,449728,475549,477442,,1050855,1361363,1663802,1598136,1661849,1981361,2295686,2066286,1963166,2417381,,1633112,1761820,2358401,2418238,2566662,3492137,4123124,3128343,3515547,3553269
902780,"Instruments and apparatus for physical or chemical analysis, or for measuring or checking viscosity, ...",262829,333004,327057,298186,355641,383090,492441,498466,520378,462167,,1746298,1796959,1857020,1808605,1798759,2165995,2306754,2095726,2164421,2460191,,2113317,2364722,2389672,2384993,2627357,2840480,3439905,3444879,3545322,3133782
844400,"Machines for extruding, drawing, texturing or cutting man-made textile materials",396860,411048,570319,376264,128880,131770,295283,353673,459276,455366,,373857,348325,283677,159021,192321,356816,482366,385906,352801,540900,,922777,821887,958394,540691,238188,400511,757984,912772,1059986,864288
901850,"Ophthalmic instruments and appliances, n.e.s.",73195,92958,121008,125785,168082,220038,258411,343681,324488,448681,,622384,665683,738918,670273,662836,710606,777527,844068,762782,1065565,,230130,283426,352640,375428,437890,530238,623054,725161,696598,914605
300439,"Medicaments containing hormones or steroids used as hormones but not antibiotics, put up in ...""",47972,77685,88446,109241,117113,154149,182845,189483,262185,421816,,2194458,2636451,3071293,2332638,2404611,2209702,2594647,2724016,3572173,4638580,,746884,865815,960118,1004985,1010948,1236002,1265247,1426497,1536440,2087922
848340,"Gears and gearing for machinery (excluding toothed wheels, chain sprockets and other transmission ...",514003,533389,580132,446963,378577,399047,442777,421553,388781,412652,,3915544,3669110,3943710,3184480,3251395,3397722,3770321,3535198,3292551,3727968,,1869321,1845157,2056694,1629064,1290542,1614968,1904928,1638931,1685094,1927473
848120,Valves for oleohydraulic or pneumatic transmission,322867,249299,272541,206255,203718,272914,329166,290489,328087,407175,,2519714,2654697,2845028,2427654,2538766,3117396,3583243,3331042,2941857,3762262,,1438794,1309718,1355494,1121668,1203114,1677133,2024350,1793516,1888872,2100813
845710,Machining centres for working metal,857932,945225,876298,790926,733663,900771,782013,630395,338795,400935,,2216855,2329073,2570657,2263236,2204709,2637516,2798957,2287338,1608903,1783767,,5651613,3336471,4336823,3294273,2744382,3390849,3463781,2135017,1851027,2454233
841480,"Air pumps, air or other gas compressors and ventilating or recycling hoods incorporating a ...",681585,572655,622632,451283,301203,278367,341303,275388,417408,400286,,3742502,3952679,4149303,3260183,3167674,3232952,3652501,3207188,2978002,3163087,,1819924,1986494,1745528,1217842,1139343,934093,1272703,1347202,1352029,1592214
870850,"Drive-axles with differential, whether or not provided with other transmission components, ...",232340,221349,389598,313236,324507,361837,388712,367553,324328,395225,,4297189,4602811,4609198,3830840,4061509,4621812,4967479,4657305,4132646,4937326,,647416,606877,848582,806196,874692,863965,980869,952773,912232,1084807
870830,"Brakes and servo-brakes and their parts, for tractors, motor vehicles for the transport of ...",209940,290768,355022,255592,282036,324127,412572,474697,368647,368722,,4327445,4702837,4772163,4241122,4443312,4714807,4888225,4584131,3821207,4750272,,1075753,1125656,1142968,928468,958822,1080438,1215058,1282791,1188641,1186044
870880,"Suspension systems and parts thereof, incl. shock-absorbers, for tractors, motor vehicles for ...",223867,262826,318755,259701,223376,251897,305462,291566,383036,362693,,2550558,2630973,2766623,2564967,2904907,3390781,3726511,3465536,3089029,3693753,,716436,748733,880744,795380,803830,885101,971476,846221,1012903,1057627
902620,Instruments and apparatus for measuring or checking pressure of liquids or gases (excluding ...,138691,203520,256331,225134,221494,271957,301491,293215,333851,360758,,1687684,1853756,1877409,1623531,1757609,2216619,2488509,2415461,2189373,2494070,,661733,821469,960169,976198,1069368,1182037,1335396,1400790,1538892,1642538
842129,Machinery and apparatus for filtering or purifying liquids (excluding such machinery and apparatus ...,226452,260178,292469,251906,213536,262999,315909,321313,341256,360298,,1689730,1802032,1991373,1706391,1774202,1684997,1921124,1808647,1811851,2115971,,958937,865848,958929,816301,732727,859947,948024,985959,1031231,1299437
848190,"Parts of valves and similar articles for pipes, boiler shells, tanks, vats or the like, n.e.s.",207609,239430,285076,252719,240509,294636,293661,253577,283223,354875,,1669463,1688549,1793586,1582353,1629919,1768859,2012111,1921374,1781859,2187802,,973949,1170959,1272698,1195512,1212502,1336015,1383267,1270265,1276015,1420762
850760,Lithium-ion accumulators (excluding spent),4324,5741,18160,13155,13766,22194,84106,341816,369893,349142,,276740,457301,543834,489746,592135,966240,1332376,1988716,3451412,5815122,,3966493,3317538,3424427,3298475,3056859,3265916,3883051,3724483,3536501,3547695
880330,"Parts of aeroplanes or helicopters, n.e.s. (excluding those for gliders)",435022,560194,596829,631744,755442,604217,405806,448226,264686,336121,,8624166,8112839,8819635,8247703,8303002,9731028,9417833,9124472,6510750,5764908,,1521658,1802658,2009289,1760446,1731410,1803870,2270993,2573495,1735837,1936234
902230,X-ray tubes,72324,77995,105536,106671,133271,180692,238937,252674,298081,335033,,706205,564505,372209,298596,246457,226180,306910,302518,332886,353107,,236831,264281,313436,322031,370110,432579,481574,511716,569827,656325
851220,Electrical lighting or visual signalling equipment for motor vehicles (excluding lamps of heading ...,341678,434288,507860,387650,292216,241228,231065,161472,274514,333010,,1726255,1873440,2028355,1882980,2185008,2493175,2873084,2819258,2697582,3163988,,755905,933823,1120258,1032464,1223137,1513628,1834855,1714995,1929343,2117058
902720,Chromatographs and electrophoresis instruments,181339,231803,204934,235736,263217,268917,330977,278200,282999,330878,,238235,240009,219504,243195,222820,253456,254428,262693,252619,279319,,750668,844275,848667,926022,982691,1011170,1163752,1044733,1084730,1148239
848220,"Tapered roller bearings, incl. cone and tapered roller assemblies",77656,76354,98427,58257,43496,57491,91749,107219,240783,330452,,643125,742624,724960,564766,541495,664762,708882,713545,725885,800907,,304153,315065,393358,334789,311320,371753,435279,490611,705263,762983
732690,"Articles of iron or steel, n.e.s. (excluding cast articles or articles of iron or steel wire)",246673,294946,379050,279718,336137,351320,405969,356460,307168,326948,,4523831,4725678,4958217,4244912,4208534,4695113,5194621,4866828,4528465,5435115,,1769972,1826883,1933029,1764124,1836853,1955268,2163760,2110029,1850636,1923529
901813,Magnetic resonance imaging apparatus,262825,260882,225784,211707,186822,256196,255104,319364,362168,326941,,1468872,1401858,1429155,1432766,1520966,1480825,1634678,1753832,1596018,1788076,,710026,790670,769405,651898,633450,684161,716669,804592,850349,857471
841360,"Rotary positive displacement pumps for liquids, power-driven (excluding those of subheading ...",278039,225319,228573,186097,158370,187074,225642,262102,279620,323026,,1386579,1402850,1426339,1115499,1102503,1263151,1376029,1459557,1280546,1389390,,744276,804672,845467,751759,725933,766099,888154,896234,969768,1095994
840890,"Compression-ignition internal combustion piston engine """"diesel or semi-diesel engine"""" (excluding ...""",223506,191226,222113,161461,219273,298536,225485,323068,310211,315038,,1522205,1536154,1691827,1246860,1324270,1615605,1859722,1666572,1172588,1491989,,1981602,1963515,1948579,1362226,1340574,1988801,2458491,2409939,2776526,2641465
902212,Computer tomography apparatus,196051,213541,223594,170760,214858,216874,285109,266372,317941,311601,,817535,864698,822400,859224,856609,923161,1084325,1330418,1416484,1697510,,750231,800884,629486,596866,683378,691237,786488,756921,933701,887802
842199,"Parts of machinery and apparatus for filtering or purifying liquids or gases, n.e.s.",187938,197842,244039,199060,179583,218634,251096,262537,276306,310207,,2288782,2472761,2632794,2340476,2417329,3010211,3353027,3379445,3539851,3489957,,988340,1123480,1154089,1069766,1032331,1135465,1382034,1670463,1614484,1576585
843149,"Parts of machinery of heading 8426, 8429 and 8430, n.e.s.",144544,148906,167152,153012,152320,185785,224510,224910,224684,307673,,2500381,2260046,1977136,1519228,1418939,1743937,1991287,1782804,1523737,1966812,,1519415,1139313,1034904,711998,730205,1102436,1427147,1198364,1238947,1300877
870324,"Motor cars and other motor vehicles principally designed for the transport of persons, incl. ...",4530024,1825123,1778476,922031,637036,558535,598494,379833,170454,307149,,25610269,24337337,23652624,20546139,12635772,11133488,11728888,9563592,7098435,8647351,,11306296,7668363,7196086,4514953,4932265,6315133,7402022,6563970,4039259,3669971
903040,"Instruments and apparatus for measuring or checking electrical quantities, specifically for ...",527500,433812,373679,258546,295830,234100,270741,321142,418614,305988,,830995,739088,581207,457575,396313,436581,489089,569566,603715,584709,,2007783,2067232,1476174,1228699,942820,806591,956998,1133529,1297783,1014431
848310,"Transmission shafts, incl. cam shafts and crank shafts, and cranks",210151,202743,218456,162548,138472,162603,222529,269391,215764,305378,,2205735,2153934,2261043,1870551,1835767,2034448,2479824,2519799,2262222,2557908,,1145793,997306,1092031,977476,898264,1019856,1148773,1100204,934952,1068835
382200,"Diagnostic or laboratory reagents on a backing, prepared diagnostic or laboratory reagents ...",140641,143905,137301,145811,190470,223937,243790,258789,228725,304080,,3935982,4153392,4193187,3837821,3954412,4270507,4410175,4269939,5482884,6479369,,982850,1042503,1042001,1125483,1438742,1542126,1785607,1919631,1795822,2063956
847990,"Parts of machines and mechanical appliances, n.e.s.",211744,207786,247776,206422,164924,276868,332530,274234,256913,301829,,2226026,2430342,2674994,2520445,2622734,3092941,3396078,3172933,3142723,3633360,,744975,691437,822498,656090,665873,913957,1172489,1290967,1456467,1427515
300212,Antisera and other blood fractions,0,0,0,0,0,358132,384188,455066,362637,299741,,0,0,0,0,0,5358113,5138299,5884279,6326943,7034236,,0,0,0,0,0,1700435,1503276,1987272,1897979,2138187
852349,Optical media for the recording of sound or of other phenomena (excluding unrecorded and goods ...,111226,117506,143080,150427,151594,199554,237181,249997,253506,293690,,3852074,3429230,3350282,2966853,2848278,2388328,2147991,1890758,1344266,1257610,,2380095,1909006,1930221,1732912,1570356,2166631,2265721,2148425,2432635,1876872
847780,"Machinery for working rubber or plastics or for the manufacture of products from these materials, ...",353054,571201,576960,231123,198088,230284,334776,189900,237174,292752,,1791240,1869825,1963225,1445011,1617871,1760901,1972238,1814808,1757246,2265491,,915495,1116643,1170758,619965,639790,833141,963592,693681,668553,726994
847720,Extruders for working rubber or plastics,282253,225337,319545,178832,142840,143744,196206,150317,262553,283841,,766469,908578,817671,853290,673206,771306,790779,826403,987447,835317,,633991,491386,617884,373852,314527,358649,492099,472081,584352,618307
841989,"Machinery, plant or laboratory equipment, whether or not electrically heated, for the treatment ...",228699,301161,225095,204021,176765,195900,229407,236374,258800,283311,,1545926,1634651,1503785,1280380,1313945,1774375,2186509,1957530,1882072,2207132,,1022331,1101223,919596,722354,707878,776862,967537,894157,918354,1178757
848250,Cylindrical roller bearings (excluding needle roller bearings),235991,233729,263580,273510,249868,293419,259369,251004,302712,282593,,907245,937187,966425,834297,783604,928548,990781,997150,895787,944492,,681620,637545,727476,674692,626729,695532,658316,680361,807756,798472
731815,"Threaded screws and bolts, of iron or steel, whether or not with their nuts and washers (excl. ...",266253,333995,362640,270659,259705,281975,300859,256272,256525,277252,,2482008,2635552,2828491,2441844,2503823,2757445,3031201,2838898,2616208,3105743,,1441882,1545997,1654021,1430145,1455660,1516061,1562789,1348065,1350835,1461737
210690,"Food preparations, n.e.s.",47863,56341,81443,83686,85166,158230,192990,191875,249463,270943,,2872678,3190597,3368444,2907874,3095005,3374070,3669496,3724378,4054000,4574610,,720374,917013,1011247,1296657,1484863,1835969,2717012,3125061,3842576,3672672
903190,"Parts and accessories for instruments, appliances and machines for measuring and checking, ...",141546,128055,160663,163865,132597,207975,220221,218706,263478,265020,,1073181,1093286,1157116,1027358,1100560,1301532,1415430,1322991,1148597,1306197,,875779,795317,1020636,1179868,1406029,1419561,1545549,1526990,1814203,1818707
284390,"Inorganic or organic compounds of precious metals, whether or not chemically defined (excluding ...",15299,12823,18169,18245,21644,37743,58134,158029,306614,262861,,1051603,1057558,1407067,1219767,1008099,1388907,1776125,2689356,3745728,5253889,,118699,100947,88375,86588,80982,135958,196964,395828,484805,541015
853650,Switches for a voltage <= 1.000 V (excluding relays and automatic circuit breakers),141962,149972,172910,176779,191027,221275,239196,207445,258296,262477,,3025871,3101081,3270567,2898360,3066857,3444496,3766010,3569750,3184877,3833527,,1643467,1684130,2253298,1774688,1800387,1944058,1968005,1851219,1987971,2000777
841391,"Parts of pumps for liquids, n.e.s.",119954,135586,132218,100310,118544,148624,170930,178107,210799,262271,,2350762,2549939,2578205,2288730,2185701,2303595,2500374,2318502,2060195,2319562,,634733,708297,660984,570256,679645,794080,832447,878958,891197,1030521
870360,"Motor cars and other motor vehicles principally designed for the transport of <10 persons, ...",0,0,0,0,0,236227,255669,231668,143655,256173,,0,0,0,0,0,3720421,4242232,4407681,7940894,11042758,,0,0,0,0,0,439943,465738,1031706,968035,1918996
190110,"Food preparations for infant use, put up for retail sale, of flour, groats, meal, starch or ...",15739,24276,60438,301734,335685,426129,495914,414816,369683,255865,,382850,485302,524300,508691,636338,781219,820356,767310,788763,779091,,1044772,1470345,1565868,2517935,3071719,4071606,4888489,5330787,5215817,3991017
740400,"Waste and scrap, of copper (excluding ingots or other similar unwrought shapes, of remelted ...",1120507,1060269,612196,510783,278256,443929,427976,267248,94343,255269,,2531753,2094531,2025523,1605298,1311561,1687725,1589233,1502108,1510280,2525175,,14840883,13732988,10913497,8450144,6182737,9152484,9370722,7478913,4535923,11421536
847982,"Mixing, kneading, crushing, grinding, screening, sifting, homogenising, emulsifying or stirring ...",160482,203784,206822,150277,139482,145796,185741,295462,292388,253260,,1245997,1170841,1171668,1058866,1045531,1207732,1363219,1468772,1423109,1581254,,547147,568539,554441,487132,510058,550590,723320,789810,750643,704894
870892,"Silencers """"mufflers"""" and exhaust pipes, and parts thereof, for tractors, motor vehicles ...""",212584,243095,270841,204343,201929,199483,154226,113168,149186,252864,,1271552,1239214,1352190,1329445,1646317,1776127,1920760,1651281,1424197,1757205,,352645,430204,474587,379838,361276,352789,371821,365629,384851,470152
841330,"Fuel, lubricating or cooling medium pumps for internal combustion piston engine",238342,252807,281087,201046,165037,215161,308965,283588,248101,243050,,2427700,2667183,2978979,2629879,2580770,2880933,3056938,2703974,2332502,2633663,,640646,650580,803506,723948,728321,884207,998298,907614,940942,908887
842230,"Machinery for filling, closing, sealing or labelling bottles, cans, boxes, bags or other containers; ...",257437,243927,230872,189833,188116,160341,199222,239917,262291,239504,,2468700,2750730,2807023,2340382,2421551,2561532,2778098,2805770,2881011,3175385,,838934,862740,853019,680820,556048,566315,624228,757663,779147,748376
852580,"Television cameras, digital cameras and video camera recorders",57492,75833,82571,87273,125702,180884,229117,237478,246102,235876,,2011527,1853929,1852722,1672880,1862679,2192568,2389897,2439264,2628930,3192060,,9928112,13352912,10326125,9670255,5910843,4683263,4501852,3382302,2493808,2441076
851762,"Machines for the reception, conversion and transmission or regeneration of voice, images or ...",143802,151468,160542,147825,135418,142621,183667,262734,217094,234339,,4130518,4291610,4905566,4667756,4681977,4863737,6033468,6286456,5890095,6291875,,4758702,5179842,5142229,5293867,4989382,5599475,6044007,6382310,6732181,8284432
840999,"Parts suitable for use solely or principally with compression-ignition internal combustion ...""",97663,125055,166653,133136,113009,162604,212886,184721,212926,233113,,8046666,8472289,8943564,7914681,7432974,7982530,8356466,7733645,6504443,7837467,,745567,707933,841536,724382,693631,980362,1092642,989020,1178869,1215759
854190,"Parts of diodes, transistors and similar semiconductor devices; photosensitive semiconductor ...",110668,125300,151784,251258,165163,165141,194852,198690,225438,232775,,206503,247491,258516,202416,190330,215171,210343,127510,87724,103303,,5785791,4868565,4530857,4169359,4079326,3993613,3490829,3422163,3273115,3374877
902790,"Microtomes; parts and accessories of instruments and apparatus for physical or chemical analysis, ...",100485,113932,118577,116840,147222,184646,177458,186449,197727,228824,,1543134,1515692,1535741,1485254,1554563,1808508,2013276,1912068,1893849,2193770,,632660,691439,784278,804402,936942,1099481,1171612,1305024,1506813,1537931
841950,"Heat-exchange units (excluding instantaneous heaters, storage water heaters, boilers and equipment ...",158038,144025,150884,95403,108831,71187,84013,177952,95853,226918,,1230112,1359061,1404171,1144350,1161833,1273389,1485263,1636275,1465448,1349509,,1192389,747286,817382,706154,543473,423399,589006,784486,699103,890006
