Product code,Product label,"Germany's imports from Taipei, Chinese-Value in 2012","Germany's imports from Taipei, Chinese-Value in 2013","Germany's imports from Taipei, Chinese-Value in 2014","Germany's imports from Taipei, Chinese-Value in 2015","Germany's imports from Taipei, Chinese-Value in 2016","Germany's imports from Taipei, Chinese-Value in 2017","Germany's imports from Taipei, Chinese-Value in 2018","Germany's imports from Taipei, Chinese-Value in 2019","Germany's imports from Taipei, Chinese-Value in 2020","Germany's imports from Taipei, Chinese-Value in 2021","Taipei, Chinese's exports to world- ","Taipei, Chinese's exports to world-Value in 2012","Taipei, Chinese's exports to world-Value in 2013","Taipei, Chinese's exports to world-Value in 2014","Taipei, Chinese's exports to world-Value in 2015","Taipei, Chinese's exports to world-Value in 2016","Taipei, Chinese's exports to world-Value in 2017","Taipei, Chinese's exports to world-Value in 2018","Taipei, Chinese's exports to world-Value in 2019","Taipei, Chinese's exports to world-Value in 2020","Taipei, Chinese's exports to world-Value in 2021",Germany's imports from world- ,Germany's imports from world-Value in 2012,Germany's imports from world-Value in 2013,Germany's imports from world-Value in 2014,Germany's imports from world-Value in 2015,Germany's imports from world-Value in 2016,Germany's imports from world-Value in 2017,Germany's imports from world-Value in 2018,Germany's imports from world-Value in 2019,Germany's imports from world-Value in 2020,Germany's imports from world-Value in 2021
871496,"Pedals and crank-gear, and parts thereof, for bicycles, n.e.s.",21006,23431,24467,22435,26891,32014,42893,46056,59541,100622,,84119,83798,90687,87620,93033,109678,124967,141635,162329,257266,,128330,110453,115263,116681,113086,114508,126236,129846,150440,223160
871494,"Brakes, incl. coaster braking hubs and hub brakes, and parts thereof, for cycles (excluding ...",35480,32375,29825,26333,31449,39023,42762,42729,54024,97940,,101792,104993,108043,106806,102330,121008,125005,149216,177649,311855,,130570,111433,134659,152191,142891,143470,173267,204176,230709,354805
392690,"Articles of plastics and articles of other materials of heading 3901 to 3914, n.e.s (excluding ...",61501,63627,74495,64600,60997,66150,69889,63848,67951,89048,,1785749,1700538,1806996,1789111,1751079,1720636,1649266,1598660,1697659,1964061,,3873706,4246750,4750670,4228530,4389335,4859562,5329085,5271580,5295664,6478434
854890,"Electrical parts of machinery or apparatus, not specified or included elsewhere in chapter ...",9330,10590,22838,26827,55806,54417,75089,81340,75011,87714,,190720,172350,169012,140415,138060,214829,210454,246808,184136,210303,,203353,242066,339640,331252,459417,559835,586173,583994,533870,571077
381800,"Chemical elements and compounds doped for use in electronics, in the form of discs, wafers, ...",26652,21773,40351,22890,37901,57256,52557,52906,50438,78398,,998783,1087341,1290700,1284055,1147897,1145357,1278153,1142348,1175146,1475320,,546463,398522,484624,438894,565323,605353,593299,539449,499441,657015
853120,"Indicator panels with liquid crystal devices """"LCD"""" or light emitting diodes """"LED"""" (excluding ...""",67009,57582,52455,43336,37241,54243,40440,44590,67444,76057,,2981995,3822898,3295263,2517299,469680,459008,453227,390102,367586,463884,,992356,909802,972896,631327,514070,670269,565417,483863,499592,536797
852852,Monitors capable of directly connecting to and designed for use with an automatic data processing ...,0,0,0,0,0,54476,57634,55763,54980,70055,,0,0,0,0,0,166705,179197,271004,276183,320757,,0,0,0,0,0,1770473,1873425,1843675,2129341,2590622
854370,"Electrical machines and apparatus, having individual functions, n.e.s. in chapter 85",29428,99111,107177,82723,76520,86620,60065,66495,66046,66542,,379132,430150,260133,251274,240047,276778,249114,520913,649506,781105,,1536216,1987472,2261777,1961432,2046728,1903369,1953181,1821686,1964773,2387555
854233,Electronic integrated circuits as amplifiers,14623,19616,38126,55050,41289,89735,71329,66802,51640,66430,,18390,27267,33897,53224,139657,74392,95749,53158,68736,62659,,408732,455585,520510,535769,496826,597820,549222,429231,343143,533014
390799,"Saturated polyesters in primary forms (excluding polycarbonates, alkyd resins, poly""""ethylene ...""",18984,22292,25622,23440,21155,34758,44790,29387,33576,61761,,730507,757341,708651,569498,545532,702827,788968,662091,627872,1225572,,675436,717116,810106,697092,697961,860418,1007488,850766,865484,1199828
870870,"Road wheels and parts and accessories thereof, for tractors, motor vehicles for the transport ...",18852,13002,34000,38318,39779,57732,67743,54140,45896,61477,,379477,391466,432353,417658,430772,447505,425752,366309,330403,423776,,2180632,2152492,2437505,2237633,2293669,2453285,2441451,2147311,1803399,2173576
820420,"Interchangeable spanner sockets, with or without handles, of base metal",46273,37847,49699,45870,47474,50271,55423,57691,50524,61421,,327881,323604,320964,322141,308095,342262,357941,364866,344342,463853,,78965,74050,87808,83072,87423,91999,101230,111509,105453,139896
850490,"Parts of electrical transformers and inductors, n.e.s.",6816,8453,7032,6943,6972,10162,18248,34533,47293,61007,,158173,127083,110502,106195,104924,107052,109944,105237,101930,160161,,647042,627823,588449,652017,634416,709858,772441,784798,836646,1051172
901831,"Syringes, with or without needles, used in medical, surgical, dental or veterinary sciences",6613,16390,23107,43547,48722,19803,19691,25912,50316,60886,,14815,10952,10071,8288,9007,9052,9043,10181,13243,13806,,455085,548291,558658,486030,531402,495640,656122,573938,660538,771444
871493,Hubs and free-wheel sprocket-wheels for cycles (excluding for motorcycles and coaster braking ...,11449,13106,16509,15993,19908,21124,27039,39624,44688,60596,,27557,26991,38524,45243,53327,57075,65406,90836,114415,185499,,97103,82929,90343,77672,102138,101094,117691,139041,159847,227986
732690,"Articles of iron or steel, n.e.s. (excluding cast articles or articles of iron or steel wire)",41320,38514,36080,41271,46319,49610,55872,46111,44331,60022,,1234047,1192436,1192664,1152038,1122593,1209901,1262074,1172580,1066760,1292023,,3127743,3220881,3609506,3196871,3399181,3713789,4391342,4111006,3709324,4660640
852691,Radio navigational aid apparatus,98759,122011,140872,112311,98154,89242,80457,47194,45658,57645,,977150,867512,831132,815610,712901,452222,400274,503430,427124,554730,,2065801,1832298,1662324,1149564,1204555,1402147,1281550,1458339,806734,649814
853224,"Fixed electrical capacitors, ceramic dielectric, multilayer (excluding power capacitors)",10857,12168,14669,11206,13189,21173,56667,57018,33929,57421,,508704,480007,496780,475843,699719,848591,1748228,1089036,1397759,1809868,,548335,598854,628107,589672,726455,876690,1382406,1530662,1130603,1633454
851220,Electrical lighting or visual signalling equipment for motor vehicles (excluding lamps of heading ...,61456,61953,66324,52383,45536,47145,55712,48749,43646,56048,,999295,1061326,1166554,1157799,1152194,1277317,1323967,1339802,1248469,1557398,,2174091,2603510,3137004,2857306,3112564,3562203,3664652,3249271,3086385,3399884
852580,"Television cameras, digital cameras and video camera recorders",202211,180365,90727,79964,82625,93486,119919,66392,47986,55452,,1778120,1928112,1437715,1350992,1177300,1124577,1147273,1123967,1055785,1268773,,2893344,2471957,2244373,1996313,2177759,2380612,2491422,2546207,2648248,2872400
848620,Machines and apparatus for the manufacture of semiconductor devices or of electronic integrated ...,13443,19990,3327,2541,6729,10463,5436,8764,21770,55293,,290562,430447,247515,269806,369808,921011,888122,1068687,1106574,1998520,,844346,588900,349257,330877,346135,590062,477052,412420,572819,1024383
871410,"Parts and accessories of motorcycles, incl. mopeds, n.e.s.",28021,48424,36682,28955,26860,30843,32098,36846,42249,54022,,0,38821,510869,441597,467596,491945,491889,521988,497698,681643,,465458,503486,646554,610873,581491,640031,609581,624140,650522,765250
847141,"Data-processing machines, automatic, comprising in the same housing at least a central processing ...",30947,22796,23029,27241,32003,29408,43746,36247,39592,53450,,461438,465215,440137,411557,448797,485799,593358,686699,747143,922372,,454843,529555,571614,548750,411404,497513,533848,301746,615464,1070069
848299,"Parts of ball or roller bearings (excluding balls, needles and rollers), n.e.s.",31742,27888,30493,26469,24197,29427,46479,42112,35973,52749,,24668,28027,38695,31783,29271,37088,38827,32884,52185,81664,,686214,706832,792074,645781,603921,694741,866604,752729,616474,745595
853321,Fixed electrical resistors for a power handling capacity <= 20 W (excluding heating resistors),16606,27909,27468,20014,23892,29022,45855,35015,32672,51825,,232790,228993,238580,246940,301556,346598,482874,362643,493008,677041,,330871,380447,479640,512842,567043,673561,801514,692310,632150,833050
870829,"Parts and accessories of bodies for tractors, motor vehicles for the transport of ten or more ...""",12103,18008,35127,38289,40919,45922,49851,46153,50518,50566,,720644,758417,801785,817373,857485,1000021,991660,959568,899743,1142917,,7480812,8519942,9611818,8669806,9679114,9972665,10400403,9327212,8232279,8886809
390330,"Acrylonitrile-butadiene-styrene copolymers """"ABS"""", in primary forms""""",42444,45049,34873,27434,25242,32419,36013,22296,18284,47732,,2379340,2260829,2086795,1668888,1591271,2184091,2245167,1737437,1672909,2710523,,515466,509617,446967,368835,363412,504355,547626,417073,335881,620507
854110,Diodes (excluding photosensitive or light emitting diodes),29007,31996,38027,30833,32914,46799,46120,38348,32822,44798,,1018627,1040065,1101594,1171704,1208012,1128489,1094323,939437,956400,1183139,,638842,740027,812068,761454,789705,931961,1130391,977437,838085,1194876
903090,Parts and accessories for instruments and apparatus for measuring or checking electrical quantities ...,8729,9819,6958,19387,15781,14858,22031,24193,30798,43364,,199787,201488,222179,326463,337033,367401,447024,522347,736288,852591,,158486,174791,158695,186786,200054,229977,281815,275180,275884,346851
871200,"Bicycles and other cycles, incl. delivery tricycles, not motorised",120546,107412,97441,91058,93241,72031,67336,42540,33955,41741,,1884531,1744130,1746902,1914016,1501173,1349423,1499031,1365712,1125368,1340391,,693591,713839,689122,725110,684626,705020,780163,798974,826074,910185
382200,"Diagnostic or laboratory reagents on a backing, prepared diagnostic or laboratory reagents ...",26057,28204,21212,19372,17915,21339,25979,29487,36439,41471,,247641,266003,254707,268779,283603,304119,341623,343411,418313,468743,,2864257,3001228,3059353,2852498,2720414,2934306,3005129,2865580,4617220,6563330
731812,Wood screws of iron or steel (excluding coach screws),37824,34618,42694,33091,31945,41914,45875,38054,38264,41341,,163445,163823,197143,180493,173617,186590,225740,254128,295835,389238,,96091,93327,105808,85656,88286,108631,132729,113788,125597,146183
847149,"Data-processing machines, automatic, presented in the form of systems """"comprising at least ...""",20136,17827,19432,16736,16723,22927,22268,23359,26752,40134,,301680,316696,333150,331233,374039,435514,528796,468131,677673,755771,,1069100,1053398,1235429,1087202,1165577,1269532,1509016,1650520,1345515,1309834
848180,"Appliances for pipes, boiler shells, tanks, vats or the like (excluding pressure-reducing ...""",25553,26676,26935,25876,26405,32725,41176,45730,36458,39778,,619819,642772,692724,604955,581870,701415,796569,739363,758647,993001,,2696167,2844598,2950591,2652187,2747627,3081619,3387189,3366262,3220989,3804947
940320,"Metal furniture (excluding for offices, seats and medical, surgical, dental or veterinary  ...",33010,27803,32914,33932,56142,46743,40892,34488,32269,39191,,433558,405139,479130,494004,475013,478394,494559,612697,676570,718752,,756871,800736,933423,876505,918207,989023,1115428,1147384,1229229,1620229
848190,"Parts of valves and similar articles for pipes, boiler shells, tanks, vats or the like, n.e.s.",30515,32853,37780,31143,28922,35004,42143,36711,33107,39169,,363379,372406,385517,338105,314332,376583,429460,387231,359416,458530,,1357145,1364875,1373242,1194053,1291098,1456760,1599675,1511774,1393392,1699011
820411,"Hand-operated spanners and wrenches, incl. torque meter wrenches, of base metal, non-adjustable",29542,27460,29846,26862,27006,31682,35054,33676,33340,39050,,156882,147069,156382,148308,148937,163993,179593,186316,173806,219580,,102588,91855,98670,93294,93818,102863,123088,122929,129481,163062
401693,"Gaskets, washers and other seals, of vulcanised rubber (excluding hard rubber and those of ...",20533,24504,24746,22103,24668,27320,28534,23637,24020,38449,,130150,134475,148159,148201,152556,187446,199931,198089,184592,260543,,1254637,1411894,1483444,1278312,1327875,1435872,1529539,1412898,1272831,1533928
900490,"Spectacles, goggles and the like, corrective, protective or other (excluding spectacles for ...",17666,19120,20034,19304,21553,24874,29774,30869,42842,37811,,237842,250596,273934,277217,271873,293903,326993,313772,387316,378896,,143109,151865,154208,133312,155187,152128,152956,157939,241154,169111
390530,"Poly""""vinyl alcohol"""", in primary forms, whether or not containing unhydrolyzed acetate groups""""",16623,17213,26849,22573,18682,19894,25425,20941,18462,36551,,147248,147039,172058,152010,145083,139340,139823,145636,130525,245913,,93070,94825,129772,100269,100173,107906,121522,129649,123587,147520
854442,"Electric conductors for a voltage <= 1.000 V, insulated, fitted with connectors, n.e.s.",23607,24949,27993,25986,24136,26078,29957,26452,30131,34969,,203267,205089,196262,204543,203558,240909,253669,263335,314608,430377,,1958355,2146764,2236922,2119398,2247342,2598028,2634437,2413935,2417138,2936782
845210,Sewing machines of the household type,18628,19495,27727,26717,28934,37301,28235,26335,33464,33768,,169315,164711,168478,132711,121161,115046,117577,109975,130641,159648,,124608,134649,150196,152105,182473,174943,179067,155190,225495,212167
711299,"Waste and scrap of silver, incl. metal clad with silver, and other waste and scrap containing ...",723,21367,15342,9201,9672,9178,9800,10081,25069,33141,,21049,21439,26265,21365,16971,21594,19205,20372,27509,41173,,919612,1421382,1427375,1267944,1278240,1630023,2001056,2011546,2876911,4412991
853690,"Electrical apparatus for switching electrical circuits, or for making connections to or in ...",22766,22523,28764,26855,29083,29817,33317,28579,23760,33129,,1104126,1159443,1011837,860210,794455,850459,853745,760466,778119,1052646,,1548620,1562560,1745903,1528070,1569770,1587057,1708662,1534031,1463464,1873214
820559,"Hand tools, incl. glaziers' diamonds, of base metal, n.e.s.",21712,20693,25213,23482,22375,23041,22227,23559,24077,33069,,776032,761215,813282,725637,689194,733792,732304,707031,708993,957445,,197055,194138,213526,198015,216345,218831,240182,236165,234849,282682
844332,"Machines which only perform one of the functions of printing, copying or facsimile transmission, ...",14565,16142,17426,17867,15622,26597,27762,22075,22634,32678,,68034,96704,128978,133654,107493,127067,134465,129892,108443,138806,,1605637,1585542,1404047,1199905,1062890,1133790,1219176,1053254,960558,979320
871492,"Wheel rims and spokes, for cycles (excluding for motorcycles)",8141,6466,8073,8504,9412,9841,13321,17056,22252,31580,,59914,63424,63710,67639,66527,73519,77189,82773,95433,144717,,37246,31518,36644,38229,34848,33995,40351,45761,59482,88335
846711,"Tools for working in the hand, pneumatic, rotary type, incl. combined rotary-percussion",23154,23549,29003,26527,29525,31258,31394,27580,23444,31563,,156781,175064,194305,173206,177920,208860,206634,186712,177292,261523,,90165,80523,85902,79424,80183,84665,85237,71355,58006,72613
850760,Lithium-ion accumulators (excluding spent),10819,10737,7730,8035,10985,19700,23306,21199,24159,30734,,0,1223,59179,138911,175073,206463,276337,314481,319638,424221,,565425,676968,1031521,1313127,1614343,2247410,2857808,3707772,6406589,10321283
853710,"Boards, cabinets and similar combinations of apparatus for electric control or the distribution ...",24432,28206,34912,32520,32351,33737,29825,23450,26543,29494,,298280,319418,395382,377346,382927,451170,497308,448487,531493,863044,,3842113,4691157,5341384,4847051,5569694,6323418,7419554,7502001,7302620,8143768
852692,Radio remote control apparatus,5805,4207,4178,7330,16189,31307,43423,59227,37632,28857,,33607,35703,38666,33121,31259,39728,72074,107826,88435,108650,,192331,214831,230596,196806,227219,257496,280480,291906,262258,290375
950632,Golf balls,1284,1352,2186,2301,1993,5067,8383,11367,12862,28006,,112657,105575,107118,104851,99549,106908,125480,137485,138953,224600,,15254,14016,16371,15550,15660,18017,20841,25114,26503,46615
850450,Inductors (excluding inductors for discharge lamps or tubes),16365,20331,17704,16458,18140,27283,21522,16078,18455,27963,,335147,319361,344541,339672,444052,477623,506980,424934,503202,682403,,766327,793269,840558,813955,906787,1026799,1147057,1050874,1069809,1410952
761699,"Articles of aluminium, n.e.s.",15168,18433,20194,17388,18978,21127,23971,21854,22533,27943,,516935,508673,521986,533062,532552,556875,610040,534698,532770,675830,,1403732,1450222,1540243,1368805,1429650,1529590,1627684,1445830,1272733,1614105
391810,"Floor coverings, whether or not self-adhesive, in rolls or in the form of tiles, and wall ...""",20876,21894,24460,26976,26766,23060,22460,24318,18874,27687,,55702,64614,66703,69008,66383,75742,74402,96638,97671,134470,,351752,399328,503073,535449,601122,612195,662903,682711,676202,856903
847160,"Input or output units for automatic data-processing machines, whether or not containing storage ...",14717,22700,16466,16984,17478,23595,28175,25983,30658,27450,,281025,227343,297715,219616,436543,343800,389475,324308,328705,348602,,805553,749774,812366,809622,856275,902275,1023121,1099767,1365312,1526941
210690,"Food preparations, n.e.s.",6882,627,1166,1958,3120,2881,3225,4758,8289,27314,,245717,278021,325763,371072,406688,460192,604534,700475,679984,828703,,1405530,1548162,1695925,1427257,1534808,1648789,1766190,1773936,2024275,2272753
848210,Ball bearings,17115,18931,24908,22739,20858,22531,27173,23196,19058,27247,,114984,109877,116698,109438,108737,127964,134905,115776,110212,155585,,1773505,1872224,1955058,1598489,1697111,1871586,2082437,1788617,1452975,1869050
731829,"Non-threaded articles, of iron or steel",16049,15203,14566,15911,15168,16492,21514,20248,16932,27218,,39968,45792,52944,56581,70727,70269,86824,80202,75362,96677,,370907,384068,410389,365527,375457,424053,465141,431033,337007,431470
845710,Machining centres for working metal,59936,46243,59181,50623,42730,44753,57975,60851,23753,27190,,1403744,1107965,1264923,1111634,1062312,1205321,1369773,1006522,700861,936213,,541435,502293,521481,464486,452099,478746,598459,508139,284701,300709
854129,Transistors with a dissipation rate >= 1 W (excluding photosensitive transistors),20167,21301,24296,23501,20883,19516,20186,21873,22869,26239,,678281,587778,557425,456122,517557,574098,732764,709532,826088,972120,,747196,920962,1156538,1175446,1374262,1664628,2000708,1903830,1592902,2005412
848790,"Parts of machinery of chapter 84, not intended for a specific purpose, n.e.s.",6576,6027,7806,6676,6184,9045,16319,17834,18087,25973,,332647,321297,368839,353833,324316,416350,460452,354178,313686,419062,,390236,404245,418547,387132,409644,545605,580386,563336,491697,644041
848390,"Toothed wheels, chain sprockets and other transmission elements presented separately; parts ...",12893,15457,17051,16183,15425,20481,24371,19313,15678,25900,,230641,230692,241457,232961,242379,316447,328582,285767,315530,396488,,1489866,1457419,1585324,1395717,1502241,1706977,1991127,1831423,1659607,2095111
844399,"Parts and accessories of printers, copying machines and facsimile machines, n.e.s. (excluding ...",15929,21474,18669,19748,18444,20052,21766,22814,19478,25653,,198117,203218,184974,171047,175539,171490,189901,186078,150987,186813,,6457439,6621388,5714381,5011767,4619504,5310193,5857290,4729365,4907744,5410377
880330,"Parts of aeroplanes or helicopters, n.e.s. (excluding those for gliders)",9334,10065,16072,20932,23713,24678,23505,23718,25763,24850,,381954,386060,450589,394674,326480,329927,413564,410896,292922,294437,,7374513,7355015,8033514,7543728,4722285,6846101,7908936,7007485,6464564,5419767
853650,Switches for a voltage <= 1.000 V (excluding relays and automatic circuit breakers),13695,13735,15910,13995,14024,20550,21418,21577,17655,24470,,231557,223759,237836,238617,256826,292258,302320,284129,287961,377091,,1798838,1858094,1913647,1736267,1795853,2036686,2218093,2139903,2009083,2391177
841459,"Fans (excluding table, floor, wall, window, ceiling or roof fans, with a self-contained electric ...",5714,8515,7896,6197,9968,14389,18300,26689,25507,24347,,112585,123357,133136,133278,140093,195883,206801,224516,225676,271075,,593277,669206,764129,652734,696326,775550,882256,891148,833635,1051452
293369,"Heterocyclic compounds with nitrogen hetero-atom[s] only, containing an unfused triazine ring, ...",40479,56042,66368,48803,29840,49949,47620,44115,26580,23303,,49901,64929,75768,50558,64179,67254,89800,82089,33615,56434,,161869,170100,213191,215452,128627,154140,153736,155636,148495,174391
870880,"Suspension systems and parts thereof, incl. shock-absorbers, for tractors, motor vehicles for ...",11997,17610,19436,18526,24971,30995,25938,23111,19645,22806,,77655,73034,84869,168309,173406,184227,204344,216930,226180,293960,,1086680,1337603,1430192,1250203,1464562,1661920,1825262,1755093,1648274,2095096
940390,"Parts of furniture, n.e.s. (excluding of seats and medical, surgical, dental or veterinary ...",30581,24731,23961,16802,19084,18985,22714,22305,19591,22592,,208407,231839,243007,218969,221588,234924,278023,273601,290027,363731,,1301156,1352626,1323682,1235568,1309286,1377225,1502393,1532605,1569117,1809421
854160,Mounted piezoelectric crystals,10847,11956,12662,11977,12168,13902,14803,14384,16003,22385,,13764,13268,24165,210715,564346,615186,585002,536813,697109,982874,,344120,306024,296694,254619,281058,287754,313978,270842,232657,291222
