Product code,Product label,"Saudi Arabia's imports from Korea, Republic of-Value in 2012","Saudi Arabia's imports from Korea, Republic of-Value in 2013","Saudi Arabia's imports from Korea, Republic of-Value in 2014","Saudi Arabia's imports from Korea, Republic of-Value in 2015","Saudi Arabia's imports from Korea, Republic of-Value in 2016","Saudi Arabia's imports from Korea, Republic of-Value in 2017","Saudi Arabia's imports from Korea, Republic of-Value in 2018","Saudi Arabia's imports from Korea, Republic of-Value in 2019","Saudi Arabia's imports from Korea, Republic of-Value in 2020","Saudi Arabia's imports from Korea, Republic of-Value in 2021","Korea, Republic of's exports to world- ","Korea, Republic of's exports to world-Value in 2012","Korea, Republic of's exports to world-Value in 2013","Korea, Republic of's exports to world-Value in 2014","Korea, Republic of's exports to world-Value in 2015","Korea, Republic of's exports to world-Value in 2016","Korea, Republic of's exports to world-Value in 2017","Korea, Republic of's exports to world-Value in 2018","Korea, Republic of's exports to world-Value in 2019","Korea, Republic of's exports to world-Value in 2020","Korea, Republic of's exports to world-Value in 2021",Saudi Arabia's imports from world- ,Saudi Arabia's imports from world-Value in 2012,Saudi Arabia's imports from world-Value in 2013,Saudi Arabia's imports from world-Value in 2014,Saudi Arabia's imports from world-Value in 2015,Saudi Arabia's imports from world-Value in 2016,Saudi Arabia's imports from world-Value in 2017,Saudi Arabia's imports from world-Value in 2018,Saudi Arabia's imports from world-Value in 2019,Saudi Arabia's imports from world-Value in 2020,Saudi Arabia's imports from world-Value in 2021
850710,"Lead-acid accumulators of a kind used for starting piston engine """"starter batteries"""" (excluding ...""",35443,66766,83824,133578,139073,108934,87838,63987,69892,50670,,1155914,1330365,1510528,1474237,1494881,1789456,1819162,1724439,1719006,1992255,,88791,123765,138172,208515,204783,184942,189195,217520,172473,198718
721049,"Flat-rolled products of iron or non-alloy steel, of a width of >= 600 mm, hot-rolled or cold-rolled ...""",44070,48684,40155,60284,21957,25143,13437,24464,23791,40704,,2330835,2300627,2603172,2135154,2208324,2617305,2856305,2624904,1956300,2693177,,166920,188387,177555,232405,123279,112614,113900,132109,175377,192404
401120,"New pneumatic tyres, of rubber, of a kind used for buses and lorries (excluding typres with ...",46178,58201,80343,87134,59316,55990,34038,49912,39458,40677,,1572176,1416517,1278119,975662,1003078,985315,975361,869635,807392,815802,,744441,681326,686841,676096,533741,456993,441962,565651,532728,496676
853529,"Automatic circuit breakers for a voltage >= 72,5 kV",62189,30776,64819,90440,76821,56308,59058,23156,27938,39572,,241153,295635,392226,247625,166003,163773,83433,123386,72251,110725,,170324,109243,219679,268539,208025,180410,103563,72064,83682,136727
870323,"Motor cars and other motor vehicles principally designed for the transport of persons, incl. ...",2173684,2023995,2082779,2288286,1643178,1302366,700843,61141,89641,31870,,27767857,27237499,27337065,24060624,22007933,19133730,19612091,19701460,15352522,16416185,,8520238,7332116,7255985,7870267,6131567,4450822,3071811,834901,681421,288436
790111,"Unwrought zinc, not alloyed, containing by weight >= 99,99% of zinc",61910,64652,60212,62995,50245,53947,42938,35958,32245,26995,,715586,670287,602608,708825,765916,925159,1061079,881017,912974,773047,,121563,134574,144260,141478,114193,151209,151958,108963,103089,120796
720851,"Flat-rolled products of iron or non-alloy steel, of a width >= 600 mm, not in coils, simply ...",74979,63854,51131,62048,30769,61380,80617,58436,35611,26409,,2082970,1467912,1840437,1368737,1161627,1571645,1565607,1633557,1483342,1767813,,290109,136527,196199,229651,185784,232026,287767,273150,181515,175178
871499,"Parts and accessories, for bicycles, n.e.s.",0,0,239,415,283,175,181,387,11671,25819,,7918,7753,6558,2630,2581,2926,3660,6474,6358,11055,,6506,4498,11390,10513,8880,6618,5716,9584,58390,48533
291736,Terephthalic acid and its salts,0,4281,1385,4600,1666,7999,361,211,12478,20888,,3515124,3143400,2413494,1479229,1076508,1260289,1438147,1485663,924931,960478,,0,167753,159252,53407,49214,60895,36429,24954,70458,325284
721012,"Flat-rolled products of iron or non-alloy steel, of a width of >= 600 mm, hot-rolled or cold-rolled ...""",7633,12266,4849,2175,798,2305,11252,8761,11884,20329,,430667,431541,371787,306319,295156,339902,345212,355355,333945,433740,,127737,133196,111632,103593,67262,77740,109099,92312,87007,110093
330499,"Beauty or make-up preparations and preparations for the care of the skin (other than medicaments), ...",619,1325,1850,2174,4182,3429,6804,9693,16145,19113,,734607,928958,1446304,2246945,3173825,3600100,4536943,4920441,5700671,7201842,,351514,346655,431952,483238,456066,397193,409579,456926,434232,459304
841950,"Heat-exchange units (excluding instantaneous heaters, storage water heaters, boilers and equipment ...",92539,130395,36134,156051,89304,40900,22240,37560,26822,18858,,880895,639092,821758,876921,832902,597072,549326,531401,663012,510817,,275875,378385,201743,289396,300543,229115,197011,223929,169473,116352
382200,"Diagnostic or laboratory reagents on a backing, prepared diagnostic or laboratory reagents ...",318,763,1044,5635,526,1165,1016,2123,40154,18130,,153117,183125,216800,230823,269492,404757,422980,253454,2173694,2046666,,302172,411297,488588,484250,411092,455532,595250,560882,723057,795384
842123,Oil or petrol-filters for internal combustion engines,6605,7834,6152,8523,7700,9961,8695,10930,9051,17707,,78063,78605,82156,80203,83717,88454,91237,76262,74194,96965,,107560,116857,141441,146712,119356,131358,101257,116373,98440,105426
730793,"Butt welding fittings of iron or steel (excluding cast iron or stainless steel products, and ...",14051,6004,4660,8491,33388,44665,14087,12101,10499,16227,,377172,311074,267324,265797,241636,175434,193126,180732,212294,149430,,40969,31212,23104,32455,53571,70583,36159,41349,32169,35761
290129,"Hydrocarbons, acyclic, unsaturated (excluding ethylene, propene """"propylene"""", butene """"butylene"""" ...""",11764,30653,16164,3283,15997,41760,24894,39800,23525,16169,,1304,1142,3122,2229,3472,5562,4237,6213,7431,9078,,45108,58744,47251,41721,60868,135692,99439,120232,125835,150438
390110,"Polyethylene with a specific gravity of < 0,94, in primary forms",12487,18037,25527,25365,23202,9230,7686,11510,7962,15998,,1140282,1389490,1561527,1328645,1225984,1175688,1166205,927288,705536,1130835,,204662,207233,192978,189646,152654,136011,109170,107103,107514,145543
850450,Inductors (excluding inductors for discharge lamps or tubes),345,479,11038,18401,5454,4258,3919,1622,4330,15627,,256260,261957,295183,341284,311315,356676,285941,273944,294986,330775,,27908,23746,45423,53534,50202,37361,40885,48489,40525,46956
270810,Pitch obtained from coal tar or from other mineral tars,68,75,2261,5376,4553,59,16063,8603,9316,15321,,200,114,100,201,1384,4422,16814,8991,13216,17867,,3534,16425,23762,19316,13910,21631,53085,42696,37671,49648
721030,"Flat-rolled products of iron or non-alloy steel, of a width of >= 600 mm, hot-rolled or cold-rolled ...""",17252,12769,12255,12966,4700,9219,9455,9201,12576,15277,,655422,610027,555813,487543,499608,627107,716611,593121,514036,824497,,40659,32445,42173,38562,25820,22781,28913,45318,76214,78013
845020,"Laundry-type washing machines, of a dry linen capacity > 10 kg",95,1233,0,862,411,1378,6729,14198,19315,14782,,1139585,795802,624720,444263,432901,545742,380016,342237,310953,669374,,13767,19898,16418,17986,18664,17879,23493,57833,96075,124597
841590,"Parts of air conditioning machines, comprising a motor-driven fan and elements for changing ...",26008,23600,29602,47599,21201,18216,12435,13662,17225,14212,,809338,892497,754892,714876,710026,722236,668594,701968,702911,722035,,146130,175307,180823,210139,118917,102300,129779,150498,121081,99061
741110,Tubes and pipes of refined copper,2975,3391,4086,9395,4194,4093,5929,9907,6753,14042,,395090,401242,388895,333406,258868,305123,303545,267970,258538,419367,,95840,105172,83992,97956,36793,58171,48845,54708,58708,75423
540761,"Woven fabrics of yarn containing >= 85% by weight of non-textured polyester filaments, incl. ...",3407,5241,6110,1783,2395,2441,3819,11414,14668,13902,,1060536,1006846,1024393,894941,783305,744742,717742,688936,408307,481492,,11281,12711,17137,7238,14783,16567,23616,46135,50014,54202
853521,"Automatic circuit breakers for a voltage > 1.000 V but < 72,5 kV",13991,12200,9793,11971,16772,18473,5558,8982,12101,13039,,45310,50056,63575,52877,52980,48293,57106,50779,49120,66202,,40100,36051,29744,28679,24933,61771,84810,64115,84746,114528
390210,"Polypropylene, in primary forms",18240,18718,14607,15987,7538,15070,16931,14111,16307,12929,,1625108,1909446,2067064,1815847,1676346,2065274,2394340,2148725,1934103,2824435,,50090,65540,66637,60768,52235,62554,57550,57930,63193,91118
271012,"Light oils and preparations, of petroleum or bituminous minerals which >= 90% by volume """"incl. ...""",210,523,526,1315,225,804,866,430,28440,12894,,11188536,11694588,11293259,7885765,6528666,8198633,10740635,9477784,5321034,10841241,,303286,1567507,1515673,325313,198287,2223588,3421865,3260117,3531723,6451886
841340,Concrete pumps,23339,14830,14529,17902,3486,3077,4274,5640,2155,12771,,65051,74735,100485,112012,101814,115148,118213,103873,91236,130204,,51522,49594,38587,41279,18990,7459,13187,31753,19316,25182
320890,"Paints and varnishes based, incl. enamels and lacquers, on synthetic polymers or chemically ...",12742,14444,7468,7895,9451,20773,15839,16478,9445,12402,,313865,328286,374012,367943,327679,345994,375499,360856,334727,363713,,27894,30365,40605,33632,32599,36866,37577,50076,61605,73230
848180,"Appliances for pipes, boiler shells, tanks, vats or the like (excluding pressure-reducing ...""",78113,102859,93379,152485,88905,27844,33116,17978,10475,12317,,1456148,1299238,1159600,1331570,1192790,1039861,1135712,1099091,1021661,1043570,,882309,1179896,1331287,1268953,1127202,1025124,1020546,755727,893886,902324
851712,"Telephones for cellular networks """"mobile telephones"""" or for other wireless networks""""",289631,404151,273686,77201,58906,12484,3595,7159,9513,12277,,12096876,13175420,12488434,10382781,8156690,6972601,6120802,4744383,4122757,4926365,,4311388,5528720,5482563,6008561,3909241,4863530,4765887,5075693,4031153,5002542
390730,"Epoxide resins, in primary forms",2746,1900,3006,6163,6000,6507,7595,7444,2710,12217,,557809,645485,683063,652505,614323,738539,885300,858517,847258,1641685,,34752,37529,38623,32996,31202,28129,38581,53440,43823,72273
841510,"Window or wall air conditioning machines, self-contained or """"split-system""""""""",57146,52333,23793,59910,41298,26528,13935,13345,16494,12006,,341159,390152,533184,527153,496625,517510,476617,394910,345262,505610,,774066,727925,614151,1090972,879898,667819,550060,851082,1041109,894978
900130,Contact lenses,1666,3657,3495,5325,2809,3634,7035,11635,7410,11886,,118976,138414,132216,130054,152089,176592,195447,214038,177473,229387,,22067,26745,24377,29961,24523,28286,29969,30432,19962,30476
392690,"Articles of plastics and articles of other materials of heading 3901 to 3914, n.e.s (excluding ...",32786,5976,5435,7633,5458,4002,11535,9448,14619,11769,,832796,888855,918481,959415,1123760,1236304,1382329,1313597,1341814,1502732,,174511,156751,183628,210507,148495,164086,220122,250591,287417,310818
290723,"4,4'-Isopropylidenediphenol """"bisphenol A, diphenylolpropane"""" and its salts""""",23532,34290,30765,367,7278,23255,21594,13212,6621,11553,,245800,437567,476025,329801,274546,362434,552867,421779,380831,774852,,47044,50465,39414,855,16122,29214,39432,22224,21005,26323
853540,"Lightning arresters, voltage limiters and surge suppressors, for a voltage > 1.000 V",137,16535,206,3512,402,523,0,112,15,11401,,6453,5506,13392,16426,14122,7873,6978,9199,7901,5989,,14808,40101,21212,30319,23955,19143,9886,8506,22064,39005
850490,"Parts of electrical transformers and inductors, n.e.s.",36369,32829,15087,42796,57070,16869,9480,1970,6200,11158,,415347,441478,422996,387911,375763,411309,449952,425981,487208,571560,,97979,166911,164325,165403,142974,94656,74675,84274,70052,77950
852580,"Television cameras, digital cameras and video camera recorders",13110,15643,19515,17018,12946,12876,15627,6991,6651,11029,,737977,635083,531680,1346823,2750793,1515526,763434,668081,674826,3448206,,341073,357408,277639,211543,218879,188867,186571,180149,160904,177346
721011,"Flat-rolled products of iron or non-alloy steel, of a width of >= 600 mm, hot-rolled or cold-rolled ...""",3687,5132,4606,4827,2512,7459,8725,3903,3530,11009,,3237,1837,5830,857,5050,1870,1134,1624,5954,7360,,12747,16060,15242,19146,15013,23772,28104,37336,11246,23722
761510,"Table, kitchen or other household articles and parts thereof, and pot scourers and scouring ...",1179,1645,2653,2569,3202,6153,4729,3575,7675,10910,,217159,211333,210220,197798,189588,166513,145602,135565,155490,156970,,60215,60449,73433,85217,67912,74960,74935,107152,106318,119338
841810,"Combined refrigerator-freezers, with separate external doors or drawers, or combinations thereof",27010,29844,27700,30195,14329,11057,2705,7319,8329,10546,,2106784,1947273,2027527,1839671,1750696,1628670,1326131,1481253,1863746,2736438,,223434,208064,191747,260930,199781,173732,113126,147339,198482,216798
390720,"Polyethers, in primary forms (excluding polyacetals and goods of 3002 10)",6059,2631,11670,16626,12703,14455,12742,13675,7477,10412,,901491,990534,1078817,860635,740035,782301,917776,885612,878218,1432086,,90360,72807,108307,101226,77721,68706,74169,64355,58342,92884
870880,"Suspension systems and parts thereof, incl. shock-absorbers, for tractors, motor vehicles for ...",4105,4133,4852,5460,6378,5291,4525,5800,6676,10163,,354769,468123,483129,432033,470475,485004,495087,459558,421780,612784,,73571,87072,95022,105829,108281,105579,96284,160027,154297,210273
721069,"Flat-rolled products of iron or non-alloy steel, of a width of >= 600 mm, hot-rolled or cold-rolled ...""",129,59,633,660,1423,2350,1029,2073,4936,9893,,288847,268475,281011,290745,324950,460224,439119,223046,182308,417338,,387,982,672,1648,3418,2903,1862,2917,8192,10337
854690,Electrical insulators (excluding those of glass or ceramics and insulating fittings),1301,237,1982,4504,1255,1284,166,654,4880,9745,,8640,7574,4301,4752,4844,6122,9089,5345,12008,15079,,33019,29803,44417,36642,32106,22092,14858,15630,37191,68338
870590,Special purpose motor vehicles (other than those principally designed for the transport of ...,3797,8391,1131,781,231,102,0,0,5664,9533,,114477,165931,148598,126132,129275,140013,99633,122616,76512,78804,,129987,147614,140082,171065,210790,79091,173036,121566,96589,158660
870421,"Motor vehicles for the transport of goods, with only compression-ignition internal combustion ...""",44863,29748,32150,23479,11403,6953,9380,10927,11513,9511,,1996737,1703639,1459122,1324630,1133931,1298804,1382532,1244474,967581,1294414,,1098685,1309005,1196919,1376406,755953,242218,169739,201843,279871,267097
300490,"Medicaments consisting of mixed or unmixed products for therapeutic or prophylactic purposes, ...""",0,208,502,889,1371,3933,10126,6872,5709,9409,,366676,394729,439075,435289,502871,511729,514556,529897,674356,597346,,1038375,1922951,1969836,2363527,2675879,2940860,3158346,2935048,3359669,3351502
841581,"Air conditioning machines incorporating a refrigerating unit and a valve for reversal of the ...""",7478,9355,29845,31256,11751,3549,1424,4349,7321,9281,,6825,49037,61012,98549,38876,17795,40569,26290,5875,11578,,76924,62652,93008,150933,96634,163186,56084,50514,35413,32496
551512,"Woven fabrics containing predominantly, but < 85% polyester staple fibres by weight, mixed ...",62,417,167,227,244,163,87,6969,9721,8787,,25332,17455,18611,21773,19288,18055,24392,32030,21495,22135,,1745,3047,1884,1698,3338,3071,3661,25850,46434,49155
870893,"Clutches and parts thereof, for tractors, motor vehicles for the transport of ten or more persons, ...",4101,2895,1775,1652,1716,1123,767,1036,2542,8745,,252509,329481,370319,374088,539436,513357,433566,445924,410949,476005,,89916,96257,97310,94489,68213,60375,43032,65054,101897,144527
842211,Dishwashing machines of the household type,969,2847,1188,2970,6899,4270,800,2597,6840,8736,,158277,157841,138455,134967,156637,205084,165256,174340,245780,408410,,7532,15640,17988,33808,33380,26832,17524,27930,35541,50693
391110,"Petroleum resins, coumarone, indene or coumarone-indene resins and polyterpenes, in primary ...",6044,5207,10559,10709,11606,12073,11682,10319,8524,8684,,274438,271587,350495,323721,285237,317566,316941,268905,280534,324295,,25310,38109,49166,26538,26849,22774,20001,20036,23814,24611
401310,"Inner tubes, of rubber, of a kind used on motor cars, incl. station wagons and racing cars, ...",15900,12643,14482,9331,6120,4994,7396,10475,7707,8586,,198683,216025,193424,142874,128739,116713,107270,108279,90031,100653,,18943,16173,20609,11568,6887,6294,8367,12852,11602,9654
720836,"Flat-rolled products of iron or non-alloy steel, of a width of >= 600 mm, in coils, simply ...",4062,4330,13606,39313,1084,4694,11857,27847,71119,8570,,422359,249284,263515,492118,318695,161035,294938,318677,235878,196238,,146484,60267,287022,148424,92137,16167,115169,201232,284913,162831
841391,"Parts of pumps for liquids, n.e.s.",7835,19427,14714,15891,24891,9149,9016,11735,10039,8550,,380021,368649,430615,379488,395308,365784,415763,379343,338988,330287,,256933,311179,331309,333002,279838,261359,299797,363901,365105,259167
841430,Compressors for refrigerating equipment,48079,30548,25424,16808,11428,12295,7784,14880,14286,8317,,988492,1043712,1036772,843958,876076,921686,1015525,1090974,998231,1014219,,311355,327086,261330,314589,185543,190938,127180,124429,121926,113151
841899,"Parts of refrigerating or freezing equipment and heat pumps, n.e.s.",21155,31347,7258,11426,2399,2545,1456,3764,5847,8094,,414931,631492,658113,558738,552298,581851,453921,402655,443221,562673,,198129,273993,168994,171328,121767,103248,94557,87967,99201,107469
390799,"Saturated polyesters in primary forms (excluding polycarbonates, alkyd resins, poly""""ethylene ...""",3047,1718,3006,2365,2671,5944,17587,11552,8626,8028,,620840,674673,623081,371251,297020,355498,354951,323580,303537,437728,,40824,41225,34379,32626,23584,30531,38626,30908,25362,33728
391890,"Floor coverings of plastics, whether or not self-adhesive, in rolls or in the form of tiles, ...",429,635,1556,1267,407,180,174,251,2128,8014,,8255,11951,14235,12356,14870,20245,15495,17237,20109,16190,,17143,14744,20836,36830,24640,26181,30141,47591,46400,79567
842620,Tower cranes,4187,7376,4746,843,341,157,68,631,264,7856,,15856,16220,10794,17982,9272,9677,12714,15351,16188,10600,,110493,115219,77503,90636,43621,50340,29222,20805,14387,14294
390130,"Ethylene-vinyl acetate copolymers, in primary forms",3953,5303,1546,8538,7106,4426,8674,3694,4884,7812,,530684,515584,1015185,909808,875794,1015860,1035588,1009699,995306,1738105,,42721,26152,33532,51423,44747,45183,40368,40080,43912,65643
846291,"Hydraulic presses for working metal (excluding forging, bending, folding, straightening and ...",0,88,157,151,1347,6021,31,29,0,7541,,57961,28463,53783,51740,52092,32507,48323,50324,40566,43098,,11653,20670,15464,9731,11944,14808,9109,9670,4554,18138
190230,"Pasta, cooked or otherwise prepared (excluding stuffed)",0,0,0,0,0,1572,2470,3039,5477,7187,,252919,256996,250210,262995,339307,443074,477080,528621,686126,769774,,7467,13291,12812,10133,8481,13911,9642,16365,14537,15235
390410,"Poly""""vinyl chloride"""", in primary forms, not mixed with any other substances""""",2091,1909,2159,4984,0,550,275,2512,5688,7164,,729660,688373,604948,510396,466910,487078,550968,404777,459548,756471,,102246,81679,75200,106154,76306,82547,59450,52245,68577,88033
720852,"Flat-rolled products of iron or non-alloy steel, of a width of >= 600 mm, not in coils, simply ...",43634,23844,13374,17134,6647,21511,5423,6708,10981,7064,,237862,258862,223276,169542,112894,158269,169995,193484,133415,181601,,130944,56607,87843,76991,45204,54279,40244,105780,52455,68230
841480,"Air pumps, air or other gas compressors and ventilating or recycling hoods incorporating a ...",10245,30470,27807,14344,14460,11844,12514,6924,365,6963,,338461,395510,340161,428283,401285,426819,400937,429351,335991,367303,,331077,472403,463666,347946,275770,303528,222546,161312,53052,88559
790112,"Unwrought zinc, not alloyed, containing by weight < 99,99% of zinc",5461,6742,4689,4740,3454,4175,1855,1117,3801,6922,,114110,131568,180545,161230,217237,268745,302319,272340,249618,426670,,31405,31782,34007,27441,26539,25991,15691,5188,15792,27938
741011,"Refined copper foil, not backed, of a thickness of <= 0,15 mm (excluding stamping foils of ...",0,0,117,0,0,0,0,347,3800,6910,,215424,176475,206876,190095,200801,283052,350735,348657,416286,693931,,12402,12031,9247,8882,2546,4385,6813,5198,15125,20230
901320,Lasers (excluding laser diodes),27,434,127,3495,0,0,10,293,291,6836,,71010,80718,96276,106319,93000,506577,1322420,1530765,2244195,3044214,,3705,14508,20732,13671,2227,1551,4997,9425,11960,33641
901890,"Instruments and appliances used in medical, surgical or veterinary sciences, n.e.s.",4629,4560,5238,7871,7221,10220,11790,5603,5156,6750,,382420,390464,497543,498535,510689,540387,559775,579963,499846,719015,,352048,421993,519152,522295,329560,380922,526203,419557,376059,420855
390190,"Polymers of ethylene, in primary forms (excluding polyethylene and ethylene-vinyl acetate  ...",9267,9226,6941,6181,6418,5653,6771,9099,3615,6742,,247378,256248,200735,264418,310983,209550,230504,369849,203308,245283,,71683,71307,75834,76090,73553,91538,112320,113485,84853,113554
720890,"Flat-rolled products of iron or steel, of a width >= 600 mm, hot-rolled and further worked, ...",19680,12004,16687,3785,4313,865,11897,5,64,6708,,69954,12849,15114,9138,37846,43834,13378,7067,6687,11187,,256076,253862,247326,124616,70107,90369,107093,39067,11370,21552
720838,"Flat-rolled products of iron or non-alloy steel, of a width of >= 600 mm, in coils, simply ...",15801,12666,11662,18894,15566,8513,291,1462,8504,6649,,507521,478819,654131,591888,612425,543122,602472,568005,435751,881297,,49004,40091,35653,52001,38815,27478,12079,14242,33062,41306
840999,"Parts suitable for use solely or principally with compression-ignition internal combustion ...""",4854,2933,1544,3584,2086,1853,2120,2209,3921,6532,,1059662,1118919,1348498,1436157,1405816,1409264,1525882,1892220,1621161,1569849,,193611,130148,186708,142047,80962,65274,58780,71346,144526,246036
400219,"Styrene-butadiene rubber """"SBR""""; carboxylated styrene-butadiene rubber """"XSBR"""", in primary ...""",1439,1065,189,735,0,1421,1226,1476,4015,6530,,1593944,1305139,1149742,823648,816556,1092688,1073273,921805,701536,1119266,,24519,17048,14697,7356,4440,8035,5189,6375,8070,11746
391990,"Self-adhesive plates, sheets, film, foil, tape, strip and other flat shapes, of plastics, whether ...",6294,5325,4017,6192,4758,5881,2425,3867,6276,6526,,1016266,1350777,1331234,1354668,1281547,1538186,1643208,1597441,1404023,1535604,,142133,166161,153771,155709,130353,128698,127995,137012,117168,111804
842131,Intake air filters for internal combustion engines,6355,3830,3905,7206,6412,5080,5614,5508,5146,6510,,62780,69877,64185,51821,55974,50696,54542,52775,41336,59236,,60088,66492,57611,68402,66803,71154,72422,75424,57164,88211
842951,Self-propelled front-end shovel loaders,49294,32046,47946,34188,12274,10394,11733,25011,9788,6490,,478395,441156,470696,339113,265391,302969,323928,349535,255544,358109,,580329,494804,482797,467192,142122,104319,94159,147543,151022,136449
390690,"Acrylic polymers, in primary forms (excluding poly""""methyl methacrylate"""")""""",10370,11773,9523,7877,5701,9211,3063,4003,4134,6307,,764513,870300,941670,825936,884942,1122828,1319273,1376755,1366885,1727810,,175778,196261,156965,152370,142013,140013,169442,182623,171886,180896
853630,Apparatus for protecting electrical circuits for a voltage <= 1.000 V (excluding fuses and ...,39094,9959,981,731,140,106,125,58,756,6233,,75882,94772,73106,84441,86775,91930,151981,169485,136461,101376,,101755,55572,40692,40283,33734,36237,26774,30990,27014,35750
842112,Centrifugal clothes-dryers,0,0,0,0,0,0,1104,1120,4496,6083,,184,399,360,352,208,907,124,224,153,108,,838,588,253,347,562,836,3598,8292,16567,10544
870830,"Brakes and servo-brakes and their parts, for tractors, motor vehicles for the transport of ...",6935,4151,2997,3271,4163,5281,5954,3501,5650,5972,,988448,1064188,1132870,962752,993479,909623,942552,813157,610479,680094,,170009,171871,180385,181258,159550,150127,105572,143595,126375,137539
292610,Acrylonitrile,0,0,0,0,2910,10220,20828,17044,0,5943,,363472,527194,513837,290355,248049,378598,425984,375327,236819,514087,,0,30,147,7511,7967,24120,51479,34943,18496,51430
401699,"Articles of vulcanised rubber (excluding hard rubber), n.e.s.",875,730,702,1263,1158,1794,988,1041,2561,5920,,229926,238843,252003,263683,321843,326965,321244,306375,273741,297213,,31537,41520,43876,46827,44524,36008,36951,56592,82833,122022
291720,"Cyclanic, cyclenic or cycloterpenic polycarboxylic acids, their anhydrides, halides, peroxides, ...",276,1915,2034,3204,1302,2049,2054,2302,3972,5898,,11757,10002,8019,4978,4668,5096,5375,6023,10472,37250,,7626,8636,9511,13709,8467,9806,7083,10267,13463,12960
