Product code,Product label,China's imports from Viet Nam-Value in 2012,China's imports from Viet Nam-Value in 2013,China's imports from Viet Nam-Value in 2014,China's imports from Viet Nam-Value in 2015,China's imports from Viet Nam-Value in 2016,China's imports from Viet Nam-Value in 2017,China's imports from Viet Nam-Value in 2018,China's imports from Viet Nam-Value in 2019,China's imports from Viet Nam-Value in 2020,China's imports from Viet Nam-Value in 2021,Viet Nam's exports to world- ,Viet Nam's exports to world-Value in 2012,Viet Nam's exports to world-Value in 2013,Viet Nam's exports to world-Value in 2014,Viet Nam's exports to world-Value in 2015,Viet Nam's exports to world-Value in 2016,Viet Nam's exports to world-Value in 2017,Viet Nam's exports to world-Value in 2018,Viet Nam's exports to world-Value in 2019,Viet Nam's exports to world-Value in 2020,Viet Nam's exports to world-Value in 2021,China's imports from world- ,China's imports from world-Value in 2012,China's imports from world-Value in 2013,China's imports from world-Value in 2014,China's imports from world-Value in 2015,China's imports from world-Value in 2016,China's imports from world-Value in 2017,China's imports from world-Value in 2018,China's imports from world-Value in 2019,China's imports from world-Value in 2020,China's imports from world-Value in 2021
100630,"Semi-milled or wholly milled rice, whether or not polished or glazed",630220,537431,570635,562929,658238,895476,689935,183210,222089,290985,,3465298,2816412,2852873,2620651,2039764,2443631,2461880,2163697,2360612,1706248,,1006903,848707,1031027,1168302,1336374,1460478,1327150,1049375,1022708,1074366
640411,"Sports footwear, incl. tennis shoes, basketball shoes, gym shoes, training shoes and the like, ...",3283,2352,5218,17197,34069,42435,64489,163680,345393,289229,,1445604,1596849,2202589,2910309,3795981,4663987,4749936,5410060,4555183,7093347,,11978,11137,16723,36307,86429,126765,156194,253094,444536,405445
870840,"Gear boxes and parts thereof, for tractors, motor vehicles for the transport of ten or more ...",53,1837,69916,84920,145407,216769,222999,261628,251351,286801,,241048,307860,380647,315208,345644,361079,376800,391886,369034,553537,,9137229,10356311,11982248,9792059,11404481,12528979,13246706,10493568,10439470,11020251
850450,Inductors (excluding inductors for discharge lamps or tubes),75409,126496,161809,206334,190592,194452,195160,191016,239624,268084,,121981,174243,177974,197742,226936,285002,294941,298236,341289,820773,,3109174,3782063,3578989,2973574,2817303,2727370,2719111,2752253,2709725,3580392
110814,Manioc starch,183084,124585,125159,183106,181453,218948,157544,311424,388761,258220,,779935,706978,738243,913838,738588,745585,795504,870353,865542,287454,,467646,670323,835774,781128,729057,768103,938580,1031287,1130655,1523269
844331,"Machines which perform two or more of the functions of printing, copying or facsimile transmission, ...",37305,64027,65539,60806,84024,179767,275772,304379,305387,254210,,889681,1067546,1022358,1053053,1088598,1374461,1772299,1904457,1985644,1816390,,769891,778687,824471,792658,793012,981642,1180974,1150781,1041771,993313
520514,"Single cotton yarn, of uncombed fibres, containing >= 85% cotton by weight and with a linear ...""",179463,301320,407560,387284,328689,368242,374438,314990,232968,249595,,177233,291430,410113,380047,332613,375432,386123,322027,245936,253066,,523102,1010473,1203297,1183938,778820,797364,881988,717679,578072,827736
854239,"Electronic integrated circuits (excluding such as processors, controllers, memories and amplifiers)",22127,34519,40730,41471,51121,64463,85719,172807,218408,247738,,240709,243335,549479,638003,511766,731846,779511,890103,736943,1279834,,36604683,50129747,49134247,49437168,48698284,48614337,51691958,57225210,70996931,82677374
853630,Apparatus for protecting electrical circuits for a voltage <= 1.000 V (excluding fuses and ...,2039,5831,13246,20973,35791,57583,25437,77710,120406,238641,,16902,17962,24691,34891,55405,69206,52781,32959,23538,264550,,535823,493745,393553,382794,444536,603594,658994,641897,723344,767001
844399,"Parts and accessories of printers, copying machines and facsimile machines, n.e.s. (excluding ...",201683,261476,273806,305822,306742,319513,336134,317787,267598,237323,,191040,210187,225505,253116,297542,378785,442233,472092,421137,1749655,,7565968,7294149,6413234,5372264,4717869,4728272,4720712,4298222,3730453,3928964
290243,P-Xylene,0,0,0,0,0,0,273613,373557,253065,237066,,0,0,0,28,0,0,265347,371426,319099,302914,,9562943,13785830,12221567,9828192,9681700,12170062,16942443,13935831,8148951,10574429
847130,"Data-processing machines, automatic, portable, weighing <= 10 kg, consisting of at least a ...",31,2058,4698,1920,1208,823,618,3195,35787,235507,,1128561,2911179,3166515,4151817,2996363,2859811,2958149,3025524,4197970,5210410,,700850,750599,612414,639162,698558,765563,1492554,670700,217659,382222
854140,"Photosensitive semiconductor devices, incl. photovoltaic cells whether or not assembled in ...",80,1529,11717,29328,27002,74725,169567,99293,150402,234031,,111706,135239,92150,551223,1617756,2325299,2000068,3507962,4460421,2997497,,7865758,8994113,10402963,11853627,9185276,9271908,9195974,7158831,7246759,8442203
901380,"Liquid crystal devices, n.e.s. and other optical appliances and instruments not elsewhere specified ...",3776,231,9434,5512,195153,1151328,1087679,680990,533408,233242,,3506,549,191,577,516323,3053276,3024161,1445286,2726,836763,,50435169,49895900,44173507,40151520,32202627,30541144,26248601,20978386,19269861,19633012
382499,"Chemical products and preparations of the chemical or allied industries, incl. those consisting ...",0,0,0,0,0,65914,81385,86710,124502,216488,,0,0,0,0,0,0,275462,311663,356574,409511,,0,0,0,0,0,6080289,6202408,5677307,6511671,7561917
851829,"Loudspeakers, without enclosure",52580,67259,118821,206562,190665,242638,277844,231316,259379,216449,,256128,284373,458970,482990,558091,685614,778495,801412,857683,887477,,580450,626946,626520,627840,569168,653183,705533,589164,580744,576518
900219,"Objective lenses (excluding for cameras, projectors or photographic enlargers or reducers)",2192,6233,38480,87799,104572,188681,192779,220089,218542,216315,,1,245,1978,2320,31989,31462,53060,69288,127850,262169,,832748,1470719,1636006,2039092,1801204,2181046,2156334,2704193,2305094,2063203
100640,Broken rice,51333,77264,55433,169375,74824,125908,49240,57533,229785,200900,,180212,95295,70109,163965,109642,148656,72357,227029,384059,246348,,109855,193613,187200,278885,217160,325879,258953,195675,424397,851232
851830,"Headphones and earphones, whether or not combined with microphone, and sets consisting of a ...",410645,703049,609258,685366,1045305,1549153,1606891,1751493,1138567,187606,,478825,636455,491207,653019,1275233,1805684,1648463,1825818,1152140,4975263,,1395963,1571255,1352705,1424893,1581970,2065799,2043631,2115028,1401396,389080
852872,"Reception apparatus for television, colour, whether or not incorporating radio-broadcast receivers ...",0,0,0,0,0,1,11,962,41814,183923,,126561,237058,345204,603392,1207178,1736196,1511458,1604167,1981258,2604020,,14138,30875,18534,19613,43467,24361,17057,15568,46662,207926
850440,Static converters,50647,56764,50133,79598,59900,62398,94405,83743,136676,181329,,32006,95515,149927,356884,511639,537759,566389,820351,1185593,2117644,,6267474,7495797,7393272,6591898,5919760,6179231,7292692,7106455,6965111,7355383
520511,"Single cotton yarn, of uncombed fibres, containing >= 85% cotton by weight and with a linear ...""",24495,15220,47274,51649,55782,64898,91227,131385,135881,178702,,28021,20351,48904,56499,60382,68805,107019,157556,162436,184079,,400747,401625,223609,195676,207227,221648,298926,276261,314476,391577
230120,"Flours, meals and pellets of fish or crustaceans, molluscs or other aquatic invertebrates, ...",50353,77280,88386,100757,164427,155359,165387,132740,150626,176563,,109211,145000,211486,188744,255417,230836,220379,177107,171115,246914,,1693453,1676179,1561893,1797562,1617134,2224034,2228402,1974690,1965033,2603297
30462,"Frozen fillets of catfish """"Pangasius spp., Silurus spp., Clarias spp., Ictalurus spp.""""""""",9076,17211,18997,32732,52125,92597,267603,449063,347054,174805,,1619728,1584158,1610008,1422509,1530189,1570980,1973718,1721349,1242897,1050681,,9076,17217,19076,32732,52218,92662,267603,449063,347054,174805
850760,Lithium-ion accumulators (excluding spent),12525,2834,75167,116876,141304,188755,255548,202318,171879,171343,,93627,123910,200640,310413,322093,413896,578517,703510,553928,726907,,3966493,3317538,3424427,3298475,3056859,3265916,3883051,3724483,3536501,3547695
901890,"Instruments and appliances used in medical, surgical or veterinary sciences, n.e.s.",880,8804,10734,12133,45513,58962,75722,114213,126801,169691,,14708,18474,20499,29136,73829,165831,210419,249338,274310,792751,,1507772,1607105,1907251,2117131,2342617,2463137,2930115,3491568,3819012,4843093
850110,"Motors of an output <= 37,5 W",267782,235311,228206,196623,189099,200851,179733,184234,175986,167351,,600827,576224,588543,670788,615110,642320,593354,542132,466283,796356,,2119303,2082329,1899984,1789856,1667572,1640111,1598485,1439610,1411744,1498104
853890,"Parts suitable for use solely or principally with the apparatus of heading 8535, 8536 or 8537, ...",9449,7807,10563,16931,26424,32652,241737,279755,189381,165857,,20797,23981,28092,42701,56722,74493,87932,113406,173239,367913,,3992538,3977812,4206885,3560272,3447573,3935676,4405664,3975503,3922347,4344953
901390,"Parts and accessories for liquid crystal devices """"LCD"""", lasers and other appliances and ...""",7456,27099,87446,82449,102523,255935,264548,298415,212715,164543,,38051,457,519,698,4234,22439,11842,4177,6106,193920,,4720963,4754512,4799526,5057281,4589634,4541360,4160539,3923837,3485319,2266795
640391,"Footwear with outer soles of rubber, plastics or composition leather, with uppers of leather, ...",31766,35520,62891,78452,75648,95786,138639,197642,251015,156425,,562330,838610,1167426,1277542,1186342,1288475,1429324,1555263,1518887,2289217,,146609,185128,224780,236573,222460,271052,365928,482022,554418,551851
760120,Unwrought aluminium alloys,7497,2724,1423,2272,970,3916,4076,39815,151746,156146,,22838,29809,46098,111295,121522,218765,345266,317829,430406,618664,,278899,247462,206327,160410,128586,156833,173291,368426,1879017,2253116
80132,"Fresh or dried cashew nuts, shelled",31674,15435,20822,36953,18612,46216,89769,157513,147789,155733,,1443109,1596348,1930396,2315661,2732522,3385090,3128961,2941542,2843195,2912469,,32190,15816,21870,38965,19570,46906,90958,165376,151171,162999
520522,"Single cotton yarn, of combed fibres, containing >= 85% cotton by weight and with a linear ...""",4587,23085,33003,46106,67941,81344,71914,86852,75530,154761,,9933,25893,34441,49547,81351,96362,97115,116429,102217,201612,,341550,423190,290365,329271,260911,269691,295291,267441,196931,324664
80390,Fresh or dried bananas (excluding plantains),1998,2760,2976,3805,13117,24328,67677,120760,114493,152936,,3552,4520,11062,14128,43530,63485,103763,175243,161716,179730,,365857,335903,812661,772940,585466,579544,896802,1094242,933105,942693
540244,"Synthetic filament elastomeric yarn, single, untwisted or with a twist of <= 50 turns per metre ...",21797,9721,59687,51387,47536,43149,53524,47989,63530,152588,,138745,159222,253847,273367,280019,301222,371417,344818,287514,559587,,126257,135872,171564,167047,160151,152859,193774,204056,176458,342471
281820,Aluminium oxide (excluding artificial corundum),2,35866,160990,164212,82681,186287,8163,50664,152923,152207,,48,47413,154648,146649,147920,347020,505121,443142,370370,443462,,1816083,1404513,1924499,1632216,871882,1101033,321909,672906,1224972,1183789
230240,"Bran, sharps and other residues of cereals, whether or not in the form of pellets, derived ...",0,6,33,15382,17240,30275,46283,48062,62190,151300,,1127,1031,87,17895,19382,30987,43082,44759,64368,154178,,1269,2955,8914,30808,30608,58221,68465,69681,81612,174779
420221,"Handbags, whether or not with shoulder straps, incl. those without handles, with outer surface ...",3773,13777,34504,69464,102972,114320,137286,145982,156551,145483,,42673,84944,141930,171904,248928,180716,292754,311139,225755,554880,,590863,651625,733881,720371,839564,1027389,1306179,1602567,1985227,2809804
720712,"Semi-finished products of iron or non-alloy steel containing, by weight, < 0,25% of carbon, ...""",0,0,0,0,0,0,0,50930,282230,143546,,0,38,55,13,18,7228,207379,124142,385519,488263,,33761,104920,26719,27674,14826,13784,63620,346512,2489777,771308
610910,"T-shirts, singlets and other vests of cotton, knitted or crocheted",13107,33097,47857,56461,59858,72944,112679,144371,115495,143216,,751407,859329,911514,1067847,1142849,1076741,1245442,1386020,1303431,1486337,,180074,242041,387239,419409,388770,429059,600950,719565,672148,786965
71410,"Fresh, chilled, frozen or dried roots and tubers of manioc """"cassava"""", whether or not sliced ...""",524606,341553,341484,385508,236045,247815,124787,50257,95914,140867,,567844,386933,393220,398533,256205,285329,150763,81501,141679,178623,,1783089,1828147,2111490,2119741,1378763,1426674,1131166,641712,782879,1422601
611020,"Jerseys, pullovers, cardigans, waistcoats and similar articles, of cotton, knitted or crocheted ...",14525,19865,31388,46467,52784,65250,87688,134771,136986,139484,,929238,1114763,1137552,1123399,1123636,1210243,1551356,1922061,1814401,2841275,,133453,163273,203726,230772,249787,343907,460363,602741,628034,759479
252329,"Portland cement (excluding white, whether or not artificially coloured)",23,58,12,0,0,0,40162,87743,144008,138205,,119387,263205,286647,224341,226692,190482,378412,482287,580238,894217,,29683,15154,8053,2879,742,1839,45296,99956,165993,149511
520513,"Single cotton yarn, of uncombed fibres, containing >= 85% cotton by weight and with a linear ...""",1306,7931,14643,21678,42000,77651,79527,90965,97742,136344,,36371,38515,37536,33325,61848,105925,112031,127602,134929,191305,,158426,210324,172245,163259,137696,149560,169867,167624,174272,257335
200819,"Nuts and other seeds, incl. mixtures, prepared or preserved (excluding prepared or preserved ...",1993,5354,6365,12478,21901,24257,64713,115437,113273,132893,,29079,99878,70815,110329,146792,187542,264993,424664,495077,563221,,28111,38202,56051,99756,134488,130174,256303,350807,342449,397100
261400,Titanium ores and concentrates,341754,142530,41095,17480,41245,60102,62121,59772,107277,125927,,117187,79025,13805,6850,10239,7938,15466,13409,20824,180610,,1003209,642834,417763,273986,295817,551382,546120,467378,642983,1090863
520524,"Single cotton yarn, of combed fibres, containing >= 85% cotton by weight and with a linear ...""",17550,27406,67144,152939,173874,213951,206053,161031,146582,125653,,30956,41080,80305,176334,217375,236936,242309,209999,197359,175856,,500013,674050,601369,950919,638486,711764,695011,504507,341943,317389
848640,Machines and apparatus specified in Note?9 C to chapter 84,0,22,17551,20081,39128,49617,68985,48623,69705,122804,,61,1116,16007,14283,29114,33336,24266,16823,23025,211366,,1444851,1449099,1889688,1927455,2250638,2907254,4647084,3445831,3755721,4921631
854190,"Parts of diodes, transistors and similar semiconductor devices; photosensitive semiconductor ...",737,320,2704,6525,24825,52606,119169,115019,134040,120768,,8243,12146,37898,56629,100813,194876,161401,101328,39050,202971,,5785791,4868565,4530857,4169359,4079326,3993613,3490829,3422163,3273115,3374877
848120,Valves for oleohydraulic or pneumatic transmission,10859,19166,16938,32098,56992,72255,107544,119781,125376,118551,,2448,8709,13345,21381,24562,24838,47360,71977,75849,300776,,1438794,1309718,1355494,1121668,1203114,1677133,2024350,1793516,1888872,2100813
620193,"Men's or boys' anoraks, windcheaters, wind jackets and similar articles, of man-made fibres ...",22692,36823,45459,48043,65538,80115,124692,124901,126416,118276,,480336,665758,790179,817012,859628,1058541,1435655,1510901,1233445,1792798,,184052,256320,296917,310770,286660,316626,322751,370471,398341,520032
480519,"Fluting paper, uncoated, in rolls of a width > 36 cm or in square or rectangular sheets with ...",0,0,0,0,0,17317,72586,65023,138612,114562,,156,111,67,27,507,37469,85534,89358,161840,145101,,45783,24288,15296,28796,27417,245453,479255,533893,1362723,1295347
30617,"Frozen shrimps and prawns, even smoked, whether in shell or not, incl. shrimps and prawns in ...",2325,6122,6232,5361,7658,11248,88754,254255,182183,113668,,1505834,1988909,2481753,1731416,1820293,2204604,1973110,1961743,1942353,2062075,,152749,194261,308840,440605,444814,472710,1355605,3973351,3103671,3188432
870829,"Parts and accessories of bodies for tractors, motor vehicles for the transport of ten or more ...""",7325,17124,16405,4797,6111,5316,7033,7120,35793,113142,,68194,87239,100059,114020,135053,146483,147105,183413,138885,339589,,4231913,4629021,5239452,4637800,4618573,4488505,4916772,4665851,5202477,5847774
440839,"Sheets for veneering, incl. those obtained by slicing laminated wood, for plywood or for other ...",20,45,160,52,2,18713,24409,28637,41714,108999,,2359,1353,675,478,1727,1870,4421,3395,24859,111016,,7885,7507,16024,8285,10671,46557,66640,77762,95757,191172
853690,"Electrical apparatus for switching electrical circuits, or for making connections to or in ...",22343,44590,53966,42304,39453,50250,54338,70641,79385,107279,,146007,179220,193582,157052,209496,279400,380219,373951,378850,414084,,7993983,8363404,9062124,8814924,8865881,9736922,9979021,9280817,9453312,10092382
844332,"Machines which only perform one of the functions of printing, copying or facsimile transmission, ...",193340,208755,226423,183745,150550,170127,198499,164550,119946,106546,,1235520,1218803,1190505,1181063,1156814,1465910,1410023,1137962,953660,841020,,1444677,1281149,1389256,1195358,1140044,1149402,1231815,1063754,787478,768374
520523,"Single cotton yarn, of combed fibres, containing >= 85% cotton by weight and with a linear ...""",1860,2459,22761,39920,49779,62944,63743,91433,74657,106277,,7595,9546,26668,57816,83411,108551,134056,170687,159981,243774,,221587,277779,272999,280219,248059,310414,341123,356679,249061,309971
721391,"Bars and rods, hot-rolled, in irregularly wound coils, of iron or non-alloy steel, of circular ...",0,0,0,0,0,0,0,0,42516,103958,,36695,29065,16634,25611,21528,126841,257222,177633,343884,592029,,170160,205977,240736,205566,213048,161756,76415,137863,327847,392307
400110,"Natural rubber latex, whether or not prevulcanised",10575,7057,15085,8462,18871,36441,45197,79486,127487,103476,,109880,88966,84545,74900,78150,117578,117038,153557,204157,221357,,682037,633326,541479,421152,442667,659090,644844,580041,633561,629187
480524,"Testliner """"recycled liner board"""", uncoated, in rolls of a width > 36 cm or in square or ...""",0,0,0,0,0,11316,46475,75283,120982,96448,,3003,1229,2941,40,285,54168,90503,101306,156709,139984,,6078,7016,5426,4207,2496,61180,123524,189879,563727,595610
854430,"Ignition wiring sets and other wiring sets for vehicles, aircraft or ships",3146,4714,3278,17973,27542,31227,52750,29616,73601,84948,,1630398,1868144,1962344,1974574,2008435,2311678,2599179,2825387,2676329,3230456,,219687,259345,271218,276377,305261,384697,448613,425398,490199,577369
400122,"Technically specified natural rubber """"TSNR""""""""",500669,410090,284031,209144,161962,92929,173644,190987,85558,78951,,2150309,2136805,1460779,885691,690450,695148,702879,714320,474692,722845,,5339592,4779265,3678656,2870292,2232881,3035758,2310217,2188009,1827935,2215140
210690,"Food preparations, n.e.s.",5216,4770,10370,7458,5412,24943,30604,38134,50619,78746,,48173,61722,101276,99686,131883,155953,153942,201438,252598,335201,,720374,917013,1011247,1296657,1484863,1835969,2717012,3125061,3842576,3672672
620343,"Men's or boys' trousers, bib and brace overalls, breeches and shorts of synthetic fibres (excluding ...",9149,9108,16574,20605,29002,39732,56856,67236,74645,78514,,480199,603948,780841,920727,950496,1097543,1306111,1343366,1196554,1507200,,62823,78412,111148,119570,110938,142687,145077,172515,182411,210275
901839,"Needles, catheters, cannulae and the like, used in medical, surgical, dental or veterinary ...",1839,3970,6757,8359,26355,45086,61522,83819,78110,77086,,199298,212164,257796,242024,247526,210958,265381,329177,322101,356653,,808288,938836,1062257,1121529,1316377,1471134,1842757,2218041,1918380,2178391
420222,"Handbags, whether or not with shoulder straps, incl. those without handles, with outer surface ...",5550,12260,17864,22335,15193,17563,25582,41009,59001,75781,,144030,198396,202275,240740,239205,318279,382959,459723,448349,356124,,282591,234094,239538,232058,254957,302899,473268,694739,1307622,1887065
610463,"Women's or girls' trousers, bib and brace overalls, breeches and shorts of synthetic fibres, ...",840,1647,3483,8335,18936,28485,29583,34960,38643,75274,,226495,303976,444073,579426,657799,872311,945371,1049498,1196848,1543758,,11895,22525,28923,44574,65444,88115,91930,87211,97253,161467
740811,"Wire of refined copper, with a maximum cross-sectional dimension of > 6 mm",937,909,691,0,8,0,19865,39502,60275,71477,,25168,10203,14390,23481,23623,14332,38455,43093,145603,304502,,789805,832270,581049,521265,415796,446316,398473,328666,373475,422319
852859,"Monitors, not incorporating television reception apparatus (excluding with cathode ray tube ...",0,0,1,847,18077,29539,20398,5831,140227,71362,,651,4954,23295,39757,140538,256742,677142,1185184,1500458,379248,,127459,117780,356838,220412,214073,274433,406420,504366,593243,255713
950300,"Tricycles, scooters, pedal cars and similar wheeled toys; dolls' carriages; dolls; other toys; ...""",6651,9176,16090,19934,25411,34210,43028,49184,52394,71276,,212346,245370,354547,447721,600325,803578,875607,1018424,1054139,2439359,,273522,316042,359298,493400,495300,558698,648121,755325,772765,921677
621210,"Brassieres of all types of textile materials, whether or not elasticated, incl. knitted or ...",3323,5780,5754,7454,13420,25671,59736,80114,52471,70797,,137767,154428,183058,213233,363179,561480,690134,820477,721248,1132250,,51039,56452,66197,112223,117234,122070,158039,138784,107130,124910
600622,"Dyed cotton fabrics, knitted or crocheted, of a width of > 30 cm (excluding warp knit fabrics ...""",2445,792,2269,30391,45081,73301,92815,93612,94499,68927,,64943,71055,96487,202739,235566,319212,420687,347056,353023,173466,,264812,240995,218022,210353,189965,203211,211311,176432,139631,105912
