Product code,Product label,"Taipei, Chinese's imports from United States of America-Value in 2012","Taipei, Chinese's imports from United States of America-Value in 2013","Taipei, Chinese's imports from United States of America-Value in 2014","Taipei, Chinese's imports from United States of America-Value in 2015","Taipei, Chinese's imports from United States of America-Value in 2016","Taipei, Chinese's imports from United States of America-Value in 2017","Taipei, Chinese's imports from United States of America-Value in 2018","Taipei, Chinese's imports from United States of America-Value in 2019","Taipei, Chinese's imports from United States of America-Value in 2020","Taipei, Chinese's imports from United States of America-Value in 2021",United States of America's exports to world- ,United States of America's exports to world-Value in 2012,United States of America's exports to world-Value in 2013,United States of America's exports to world-Value in 2014,United States of America's exports to world-Value in 2015,United States of America's exports to world-Value in 2016,United States of America's exports to world-Value in 2017,United States of America's exports to world-Value in 2018,United States of America's exports to world-Value in 2019,United States of America's exports to world-Value in 2020,United States of America's exports to world-Value in 2021,"Taipei, Chinese's imports from world- ","Taipei, Chinese's imports from world-Value in 2012","Taipei, Chinese's imports from world-Value in 2013","Taipei, Chinese's imports from world-Value in 2014","Taipei, Chinese's imports from world-Value in 2015","Taipei, Chinese's imports from world-Value in 2016","Taipei, Chinese's imports from world-Value in 2017","Taipei, Chinese's imports from world-Value in 2018","Taipei, Chinese's imports from world-Value in 2019","Taipei, Chinese's imports from world-Value in 2020","Taipei, Chinese's imports from world-Value in 2021"
470710,"Recovered """"waste and scrap"""" paper or paperboard of unbleached kraft paper, corrugated paper ...""",43426,32777,33604,25174,32045,46688,82195,87944,100172,207418,,1675807,1517355,1511106,1528892,1493191,1519953,1828287,1420294,1404068,1992749,,160268,144916,140091,101475,118556,235941,193521,171880,176044,368529
20230,"Frozen, boneless meat of bovine animals",79090,143376,136092,142147,161971,181576,236002,286291,235404,192578,,1694233,1710077,2182374,1942312,1991246,2118008,2755789,2605655,2367761,3727423,,366408,435831,461375,438470,482490,525494,561916,608553,608930,619319
903190,"Parts and accessories for instruments, appliances and machines for measuring and checking, ...",121747,124876,121911,93119,105518,178736,160410,124302,217726,180181,,892777,881729,975481,925466,891580,1021019,1096363,1048618,960063,1031227,,283774,373837,392409,312752,319181,435343,425133,388072,552145,662685
711021,"Palladium, unwrought or in powder form",16500,15100,17687,23711,22486,45928,54811,33299,104930,175129,,801951,839360,1234780,923919,558228,1268730,1837889,2607960,4318397,4533829,,38605,35047,37225,44386,35459,58882,76664,57640,131677,201246
381800,"Chemical elements and compounds doped for use in electronics, in the form of discs, wafers, ...",102374,104165,103320,88701,80771,137650,164715,141180,132014,173692,,735749,684650,693971,744250,760053,994902,1271714,1274299,1278901,1439288,,2521702,2790158,3292574,3035912,2788016,2960958,3053871,2553086,2661965,3078486
903082,Instruments and apparatus for measuring or checking semiconductor wafers or devices,282160,182365,241443,280780,327833,190643,217636,184534,135443,160823,,761281,657600,779148,983084,1113373,880475,1041077,868559,984482,1166031,,1639676,1504331,2483971,1541914,1629789,1535082,1848923,1851525,2137078,2463560
20714,Frozen cuts and edible offal of fowls of the species Gallus domesticus,152350,124364,148549,156673,123508,141086,197278,182524,212812,152750,,3635333,3483080,3405071,2205504,2138939,2566601,2639436,2655894,2783933,3398647,,174254,153154,177659,172788,133553,154849,213436,197911,229158,168791
300215,"Immunological products, put up in measured doses or in forms or packings for retail sale (excl. ...",0,0,0,0,0,99178,135918,136987,158133,141493,,0,0,0,0,0,8283137,9924234,11108413,11037756,13907682,,0,0,0,0,0,326029,471440,527447,657576,794203
740400,"Waste and scrap, of copper (excluding ingots or other similar unwrought shapes, of remelted ...",35308,35023,34780,42428,46871,36682,104434,120478,140181,137777,,4471697,4129993,3516027,2789215,2232812,2761231,3166813,2825123,2675659,4497184,,632697,646690,591060,493063,495070,653439,823173,669883,613105,977130
870340,"Motor cars and other motor vehicles principally designed for the transport of <10 persons, ...",0,0,0,0,0,311,207,18422,55931,137581,,0,0,0,0,0,459119,413100,806875,1558396,2511447,,0,0,0,0,0,118871,241582,608045,1214287,1457099
292610,Acrylonitrile,116652,98482,94840,85058,46879,44660,124178,81805,79484,136310,,1131716,814808,847555,626057,340481,475411,953739,510325,551016,851630,,205882,182307,215890,137104,109774,134678,197867,140882,84050,173403
280461,"Silicon containing >= 99,99% by weight of silicon",161963,201390,231679,227256,311284,403713,223175,71793,54549,131673,,1837918,1322660,1666356,1283565,1620984,1583998,1026231,803252,818242,1134549,,835811,963243,1077596,883278,920976,852709,668181,306496,264073,415442
392099,"Plates, sheets, film, foil and strip, of non-cellular plastics, n.e.s., not reinforced, laminated, ...",20855,69955,72044,108460,77953,107952,97312,86839,111210,129334,,760645,803031,930618,1034440,1022482,1188575,1231205,1265131,1208629,1428641,,258951,277254,283324,304567,247205,262360,255915,250421,297017,356334
710813,"Gold, incl. gold plated with platinum, in semi-manufactured forms, for non-monetary purposes",37556,45835,59151,47657,23420,25577,27695,85306,137117,123967,,208083,206474,217715,233529,149606,205198,162542,217513,300871,397454,,1416149,1053777,950788,756574,802082,819449,804913,861208,1202319,1299090
852349,Optical media for the recording of sound or of other phenomena (excluding unrecorded and goods ...,0,4306,51992,50588,45165,52067,57557,64381,46235,115394,,2948936,2704062,2309790,1963767,1658081,1509682,1415648,1281304,1087141,1148355,,0,55403,406848,347790,365689,368858,392995,423387,680969,611032
330499,"Beauty or make-up preparations and preparations for the care of the skin (other than medicaments), ...",97433,98001,97265,99825,138073,94926,125666,126500,129671,113868,,2318591,2599184,2740368,2850932,2899658,3281980,3820834,4262792,3871064,4261958,,602868,606523,624555,635325,773767,743211,867852,850633,719443,731481
392690,"Articles of plastics and articles of other materials of heading 3901 to 3914, n.e.s (excluding ...",64669,70871,70869,66625,68487,78444,84574,85127,93975,108690,,5214198,5510978,5897410,5838497,5881550,6255614,6665297,6359339,6035504,7294810,,414725,391742,418926,393647,417498,460269,504051,533228,617853,747299
851762,"Machines for the reception, conversion and transmission or regeneration of voice, images or ...",98496,140451,114361,87638,89084,106112,112885,111917,100422,108366,,15751206,15860633,17233829,18505968,18857319,17601286,17766441,16809912,15196762,15909526,,563456,668304,695530,699228,1074085,883641,1006859,1192546,1416813,1882044
710610,"Powder of silver, incl. silver plated with gold or platinum",164451,133420,150541,70964,130630,83908,76540,72874,143357,107231,,728563,552765,510993,382404,468251,548039,534501,368307,458970,526436,,467206,286900,374938,455008,610441,527506,339366,209544,302768,286326
290315,"Ethylene dichloride """"ISO"""" """"1,2 dichloroethane""""""""",1601,24436,43525,48561,48752,75781,50246,67195,42583,104998,,149301,264795,417361,262116,246838,304971,313600,438963,320037,526073,,31898,58112,93119,73533,64131,79294,72629,103751,66576,177692
848180,"Appliances for pipes, boiler shells, tanks, vats or the like (excluding pressure-reducing ...""",40905,46725,48727,49840,59479,62200,73336,76453,86805,103235,,5536221,6125212,6518468,6530190,5918316,6287161,6652387,6397109,5566033,5989423,,359349,402893,432865,408908,428953,444472,480203,486938,581197,702962
291020,"Methyloxirane """"propylene oxide""""""""",53858,56967,60282,39037,53007,42780,53071,57034,65821,102705,,297855,355549,391143,318542,295911,243878,282642,282128,244202,253620,,155738,142586,148418,116363,96442,119948,123467,109627,107696,234331
370500,"Photographic plates and film, exposed and developed (excl. products made of paper, paperboard ...",0,0,0,0,0,79074,75678,86394,83923,100958,,0,0,0,0,0,326597,383673,551696,567739,613916,,0,0,0,0,85,297648,323415,301941,282233,314437
848640,Machines and apparatus specified in Note?9 C to chapter 84,36928,30441,54948,23900,27197,39118,48449,52036,50538,91823,,379641,336801,302784,321414,381285,407225,581885,566863,586365,657094,,393805,336148,489137,232883,376987,449810,581634,470166,646759,788907
847150,"Processing units for automatic data-processing machines, whether or not containing in the same ...",54499,43984,109312,32520,31463,44942,40775,52302,58452,91279,,6310723,6090796,6629427,6773487,6177876,6457798,7219788,7414270,6628233,6876249,,296582,371949,485055,435285,442374,637967,772354,820460,914004,1107170
840130,"Fuel elements """"cartridges"""", non-irradiated, in casing with handling fixtures, for nuclear ...""",180963,315936,159362,137663,182561,64425,44310,174782,82577,90186,,189480,436644,228018,218117,555186,424431,149981,297888,232563,257820,,183417,317051,162372,137663,183532,65090,44310,176775,83225,91020
290511,"Methanol """"methyl alcohol""""""""",395,444,477,491,7440,21180,72518,33885,36837,89938,,54965,71881,70091,173320,311052,351496,760191,567286,494886,903290,,430983,509025,549434,378228,291656,448499,581389,357457,296713,591825
853710,"Boards, cabinets and similar combinations of apparatus for electric control or the distribution ...",49262,40011,41013,45447,53505,50115,58778,57218,65140,89863,,4162718,4957256,5437725,5428142,5270421,5643166,5913496,5784436,4824729,5304410,,711789,697247,787817,737454,696263,808606,913509,984843,948980,1271970
340590,"Glass or metal polishes, whether or not in the form of paper, wadding, felt, nonwovens, cellular ...",96214,95654,95219,77399,62071,68060,63340,61789,80624,87445,,262759,258349,278234,231074,242517,274034,287921,271967,298577,346972,,301995,264810,259748,215584,177565,186612,175622,179841,224216,244778
902780,"Instruments and apparatus for physical or chemical analysis, or for measuring or checking viscosity, ...",92310,77827,78222,80161,88604,85613,80330,101254,84421,85757,,2296384,2262697,2271727,2266296,2226407,2311942,2474322,2509327,2606735,2914193,,239529,219994,227381,224077,239684,239566,410225,326908,284277,310705
390810,"Polyamides-6, -11, -12, -6,6, -6,9, -6,10 or -6,12, in primary forms",144262,161863,147026,119401,89960,79288,118766,103679,91985,85155,,1998795,2199401,2155329,1823567,1703727,1787722,2082018,2020411,1531684,2236154,,259297,257262,238230,217216,172348,212606,261380,262236,206737,297017
842129,Machinery and apparatus for filtering or purifying liquids (excluding such machinery and apparatus ...,24942,21910,32315,39512,48162,44392,39272,43135,56408,84565,,1174074,1307952,1527864,1480311,1482490,1562528,1671342,1863248,1910886,2418886,,87887,98083,155823,122425,131131,136206,207197,219328,259575,309894
293190,Separate chemically defined organo-inorganic compounds (excluding organo-sulphur compounds ...,0,8236,86371,80392,68982,82633,80889,78461,83396,82898,,1182659,1274006,1385148,1337542,1131580,907218,733387,642128,597331,679637,,0,14966,163858,162636,157264,180905,187097,190474,214986,241428
901320,Lasers (excluding laser diodes),50433,61378,81173,76806,62188,70047,71140,80553,79875,81820,,989123,1073250,1120855,1150269,1173361,1372854,1468198,1229124,1144123,1314263,,85748,115403,152429,166409,148959,168736,220189,228038,253284,297651
842199,"Parts of machinery and apparatus for filtering or purifying liquids or gases, n.e.s.",67274,62215,69439,72352,78011,60691,65808,56551,65584,81128,,1864458,2010519,2056817,2024956,1913451,1933251,2144692,2094839,1966354,2447217,,265125,250275,290492,281572,286083,287762,310081,309870,362811,426542
854231,"Electronic integrated circuits as processors and controllers, whether or not combined with ...",38704,75815,37163,52295,81894,63811,31424,51408,81393,79415,,16722417,16919489,17461428,18153373,19849096,18966563,19263379,23446163,27713745,32658379,,2568572,2866098,3009120,2989741,3208129,3876774,4943731,7676826,9666271,12114421
381590,"Reaction initiators, reaction accelerators and catalytic preparations, n.e.s. (excluding rubber ...",100812,84061,74818,73051,82957,80676,76507,86593,65061,77664,,762924,765696,833149,877194,928020,915559,945656,800856,715039,783380,,221967,182320,160245,166766,151198,177049,196780,208546,162125,216311
850440,Static converters,81808,59760,45483,37451,53211,58722,46772,61945,64468,76116,,3619333,3936061,4013838,4275739,3792855,3999761,4324540,4180497,3953291,4466967,,844372,799085,849081,753315,797978,867324,981745,1148165,1341871,1644391
903289,"Regulating or controlling instruments and apparatus (excluding hydraulic or pneumatic, manostats, ...",29593,24445,31444,29675,45890,37022,56875,48360,74280,76007,,2763544,2828885,2775235,2669226,2818128,2766113,2724239,2637657,2042790,2127657,,207335,192973,212392,193314,187376,187855,201428,171554,199480,225613
903149,"Optical instruments, appliances and machines for measuring or checking, not elsewhere specified ...",40699,32379,46819,86817,69525,33707,79250,65801,65616,75447,,495497,537313,581375,631647,667216,746536,894605,799709,671250,786442,,307231,307016,342303,395071,503199,380935,445694,608809,642266,1042846
290121,Ethylene,18,13,6,63762,100081,87478,121338,46110,171927,75103,,36324,119897,5943,127677,157312,167707,173012,173686,376036,597532,,435974,332158,192346,236378,315600,527715,463879,325480,282132,373672
702000,"Articles of glass, n.e.s.",42153,42411,39153,34172,37683,58973,74652,60974,75649,71406,,172598,185191,197795,202741,204861,233375,227101,189808,196669,242856,,106432,249140,417102,403940,340792,429011,411371,415510,550479,557067
261690,Precious-metal ores and concentrates (excluding silver ores and oncentrates),0,13,0,0,7137,8633,0,30564,65842,71194,,273340,336113,188198,194554,161801,138942,205956,161361,208084,223171,,21,25,7,0,47571,26277,12136,47571,143022,325074
720421,"Waste and scrap of stainless steel (excluding radioactive, and waste and scrap of batteries ...",217529,143515,115147,105552,84422,101038,131217,183799,110362,71152,,804201,742671,676949,641987,442562,429658,324000,346983,276095,341411,,558158,365433,373367,328791,244501,330681,351116,510852,321819,283811
841182,Gas turbines of a power > 5.000 kW (excluding turbojets and turbopropellers),1155,0,3,0,0,61418,0,0,59168,69460,,3085874,2679377,3211803,3034349,2309279,2033391,2010595,1876065,1702842,1676601,,4146,2858,1799,4857,39210,105207,42078,58256,122603,202575
520100,"Cotton, neither carded nor combed",161778,150620,141365,141402,127908,142635,191520,145127,60658,69335,,6226615,5592682,4397806,3889859,3959656,5827751,6550074,6140232,5952589,5713048,,363987,383913,326497,280388,211250,222069,253486,184926,98694,117651
200410,"Potatoes, prepared or preserved otherwise than by vinegar or acetic acid, frozen",47764,51133,51909,45615,50232,56788,60231,66428,66879,68485,,1039829,1058545,1079321,1051467,1116487,1140888,1137771,1241872,1012168,1189986,,59092,64108,64851,67456,66402,73987,80818,89684,91440,96705
853690,"Electrical apparatus for switching electrical circuits, or for making connections to or in ...",18520,18117,28185,14176,42563,73083,56499,50509,80038,68468,,2883403,3104255,3458183,3486138,3340448,3357788,3544062,3359760,2808969,3426669,,281712,244980,255228,208852,243617,293704,275182,302329,425686,476661
300220,Vaccines for human medicine,62619,48772,50086,33790,23681,25028,59253,79214,56662,68027,,2530695,1686551,2436614,2926207,1826365,1419081,2360175,2019351,1771146,14809438,,93739,84712,85309,99890,96421,129707,144713,195314,177802,655142
847330,Parts and accessories of automatic data-processing machines or for other machines of heading ...,71056,80687,70059,55031,50362,54295,70158,73336,62789,67726,,14818043,15281123,15842133,15699350,15501732,15525762,17741162,16202841,12433380,15620848,,1259678,1320102,1551401,1386398,1557216,2822434,3181798,3817384,5197863,7454859
80810,Fresh apples,75163,79651,76536,74700,71588,81325,57197,85926,51999,66508,,1086543,1121138,1086086,1026299,935494,977366,1015019,959927,854811,916669,,164203,203378,245235,238958,276739,266772,242961,255055,216850,264663
902750,"Instruments and apparatus for physical or chemical analysis, using UV, visible or IR optical ...",15526,14287,15630,16878,17009,19603,38001,47310,46784,65318,,2181404,2151446,2214147,2027284,1900247,2065119,2217133,2353308,2432929,2693134,,56951,47844,60526,50842,52311,65655,99112,135876,177549,229188
591190,"Textile products and articles, for technical purposes, specified in Note 7 to chapter 59, n.e.s.",7277,6553,5395,2502,29664,35859,42446,39666,48198,64898,,313772,363200,383218,362049,365258,399571,416333,428704,394687,495629,,33990,30659,28010,25538,51030,59047,69212,68590,82150,103366
391990,"Self-adhesive plates, sheets, film, foil, tape, strip and other flat shapes, of plastics, whether ...",66429,62342,56359,52663,47319,55054,51466,53100,58746,63104,,1623905,1662188,1756022,1795736,1770617,1920498,1907993,1876530,1732660,2260425,,454171,456457,437474,391665,383495,397859,413905,440198,496752,553421
230330,Brewing or distilling dregs and waste,74084,74015,60614,40081,41045,42620,47484,49989,50768,60730,,2104471,2948779,2963711,2982964,2158611,1851377,2456004,2227849,2328819,2997932,,75263,75215,62375,42371,41749,43351,48610,51037,51733,61769
903180,"Instruments, appliances and machines for measuring or checking, not elsewhere specified in ...",15372,27377,9358,24840,24560,34565,36955,54993,48583,60463,,2358036,2439459,2593782,2604257,2520677,2735924,2881269,2615611,2351015,2344530,,132782,98027,84569,112596,170634,311010,183973,265221,259588,456051
870332,"Motor cars and other motor vehicles principally designed for the transport of persons, incl. ...""",26981,17598,42993,63184,64873,65864,44700,33253,46089,59626,,3262364,2492757,3047709,3252409,3717052,3040553,2964777,2704548,1261367,941586,,358846,395147,487131,554317,466197,473196,313253,196853,156243,202883
390110,"Polyethylene with a specific gravity of < 0,94, in primary forms",30651,18844,18610,23900,19185,27205,38879,57454,57592,59576,,2222693,2444689,2502822,2366159,2125517,2123271,2475760,2481652,2321387,3456243,,407523,364681,410739,332957,283949,362942,346855,330144,319954,456686
902790,"Microtomes; parts and accessories of instruments and apparatus for physical or chemical analysis, ...",47733,47528,51036,48887,47264,47342,50257,51423,54958,59225,,1760741,1749511,1730090,1670761,1731718,1770469,2011255,2004562,2013113,2345723,,125782,122090,132244,132865,137281,147014,147115,143344,153845,170853
370790,"Preparation of chemicals for photographic uses, incl. unmixed products put up in measured portions ...",46519,44487,24781,18949,32907,36872,33363,47599,51421,57739,,639653,647759,588939,563794,595790,573089,569032,578164,539458,596268,,792653,744442,777600,664633,641569,686910,721163,809443,939699,1024035
842139,Machinery and apparatus for filtering or purifying gases (excl. isotope separators and intake ...,31696,30876,23010,22387,29789,25361,35176,36839,49086,57042,,2062257,2387136,2753017,2792403,2455399,2826500,3496437,3549507,3178733,3414676,,134312,174847,170573,174290,298692,315337,388435,456309,469059,612572
320740,"Glass frit and other glass in the form of powder, granules or flakes",15087,7889,5644,6438,5850,12947,34249,19018,28989,56726,,84585,84230,86102,91853,79415,89598,89997,67771,60579,69781,,29685,24363,24520,25694,27264,35927,58519,41960,60820,93689
391190,"Polysulphides, polysulphones and other polymers and prepolymers produced by chemical synthesis, ...",30771,34231,38090,39798,34391,49609,49153,46691,42948,56534,,942072,919777,1018582,966437,950827,1016105,1007745,922224,842089,1009832,,108258,116573,125260,125350,144168,187430,172706,155970,166248,208952
390469,"Fluoropolymers of vinyl chloride or of other halogenated olefins, in primary forms (excluding ...",37367,33441,36610,38574,35829,43687,37618,34817,40825,56510,,394908,388637,386370,385153,373907,417466,451392,411161,398157,480316,,85666,78691,85526,92312,106154,119741,123442,121883,114016,165085
260300,Copper ores and concentrates,11,4,4,4,0,0,0,265,34744,56313,,2396482,2601448,3238020,3082725,2412905,1715166,1815055,2325251,2353130,2924570,,278,1068,278,125,757133,616941,432704,871156,796457,1586348
853669,Plugs and sockets for a voltage <= 1.000 V (excluding lamp holders),25995,29577,34756,35762,32325,27922,33888,31687,45959,55500,,2257177,2404117,2750027,3041465,2847082,2965432,3088869,2790118,2563339,2905924,,562323,559906,600972,556305,546918,585536,665410,724776,870753,1256270
340211,"Anionic organic surface-active agents, whether or not put up for retail sale (excluding soap)",8709,8546,17017,18295,27482,29717,49290,30006,46084,54752,,348219,337117,331971,313613,303797,327019,355028,336245,357847,406000,,25028,25575,34830,34993,45458,50328,69135,46844,62036,77691
