Product code,Product label,China's imports from Japan-Value in 2012,China's imports from Japan-Value in 2013,China's imports from Japan-Value in 2014,China's imports from Japan-Value in 2015,China's imports from Japan-Value in 2016,China's imports from Japan-Value in 2017,China's imports from Japan-Value in 2018,China's imports from Japan-Value in 2019,China's imports from Japan-Value in 2020,China's imports from Japan-Value in 2021,Japan's exports to world- ,Japan's exports to world-Value in 2012,Japan's exports to world-Value in 2013,Japan's exports to world-Value in 2014,Japan's exports to world-Value in 2015,Japan's exports to world-Value in 2016,Japan's exports to world-Value in 2017,Japan's exports to world-Value in 2018,Japan's exports to world-Value in 2019,Japan's exports to world-Value in 2020,Japan's exports to world-Value in 2021,China's imports from world- ,China's imports from world-Value in 2012,China's imports from world-Value in 2013,China's imports from world-Value in 2014,China's imports from world-Value in 2015,China's imports from world-Value in 2016,China's imports from world-Value in 2017,China's imports from world-Value in 2018,China's imports from world-Value in 2019,China's imports from world-Value in 2020,China's imports from world-Value in 2021
847989,"Machines and mechanical appliances, n.e.s.",2274358,1577928,1933499,1529938,1798282,2666122,2611975,2538821,2853437,3315987,,6500233,4594694,4824130,4142174,4539473,5446369,5564167,5269198,4823279,5400940,,6516450,6034424,6969823,6132252,6577054,8645564,9273758,8578715,8341837,8774627
853690,"Electrical apparatus for switching electrical circuits, or for making connections to or in ...",2366690,2271927,2403136,2346934,2483520,2962716,2727744,2592203,2542035,2610727,,4839268,4370141,4249763,3907024,4300686,4936728,4713083,4353913,4021326,4401146,,7993983,8363404,9062124,8814924,8865881,9736922,9979021,9280817,9453312,10092382
848630,Machines and apparatus for the manufacture of flat panel displays,912091,1411713,1395733,2113246,2512367,3674958,4962519,3553121,3005612,2506739,,1769341,2207686,1907916,2548655,3469095,4541878,5050507,3631962,3102072,2682917,,1578152,2770054,3008783,4302325,4338556,7093798,10189648,7211531,7073919,5461035
901380,"Liquid crystal devices, n.e.s. and other optical appliances and instruments not elsewhere specified ...",5578041,5435985,5193348,4471319,3990308,4053010,2885786,2204108,2409426,2364951,,6423272,5381490,6484510,5112263,4091021,4879435,3522084,2758141,2616823,2552686,,50435169,49895900,44173507,40151520,32202627,30541144,26248601,20978386,19269861,19633012
382499,"Chemical products and preparations of the chemical or allied industries, incl. those consisting ...",0,0,0,0,0,1984668,2032949,1795798,2007823,2349614,,0,0,0,0,0,3630937,3907464,3602200,3593527,4523438,,0,0,0,0,0,6080289,6202408,5677307,6511671,7561917
854140,"Photosensitive semiconductor devices, incl. photovoltaic cells whether or not assembled in ...",2364773,2586600,2565706,2028387,2013161,2014440,2000429,1503592,1758834,1837966,,5832186,4725687,4535930,4031915,3912765,3882194,3955824,3532115,3441502,3822637,,7865758,8994113,10402963,11853627,9185276,9271908,9195974,7158831,7246759,8442203
844399,"Parts and accessories of printers, copying machines and facsimile machines, n.e.s. (excluding ...",2767675,2442617,2242166,1942351,1740103,1885319,1855167,1748693,1511589,1682122,,11579087,10490187,9578395,8552058,8008284,8257570,8121314,7614422,6637433,7581707,,7565968,7294149,6413234,5372264,4717869,4728272,4720712,4298222,3730453,3928964
853400,Printed circuits,1626455,1029145,962450,917255,807957,978810,1558037,1377745,1443209,1680476,,3374478,2632669,2447663,2232890,2292242,2583379,3107340,2763492,2798802,3041081,,14481734,13637752,13412127,12164822,10353976,11582045,12375242,11250354,10874504,11088530
740400,"Waste and scrap, of copper (excluding ingots or other similar unwrought shapes, of remelted ...",784134,831246,770974,544604,440205,642578,976174,642267,738615,1671670,,1011291,984617,839448,625891,544038,801176,811752,954012,1260605,2341477,,14840883,13732988,10913497,8450144,6182737,9152484,9370722,7478913,4535923,11421536
740311,"Copper, refined, in the form of cathodes and sections of cathodes",1902273,1763204,1642211,1477872,1396474,1145340,1419362,1128422,1966082,1630014,,4059153,3897838,3199035,2857335,2758885,2835498,3653621,2988892,4303595,5060312,,27304515,23583058,25183254,20737772,17811085,20243992,24874257,21259050,28175550,28316717
900120,Sheets and plates of polarising material,1091555,1106635,1047640,927065,1010577,1321663,1631326,1759862,1758818,1591016,,4273668,3769793,3411108,2747743,2573066,2853707,2816712,2638148,2403683,2447408,,4015328,3640077,3502426,3176892,3238061,4003754,4311661,4364699,4396621,4064636
854233,Electronic integrated circuits as amplifiers,578142,453977,429078,653287,465124,422994,536770,498189,853664,1476610,,769849,538957,375074,472990,508773,475162,403542,306824,283186,273056,,9183882,19607941,8995714,11167827,10391154,9536688,9784932,9678006,12342977,14021411
903289,"Regulating or controlling instruments and apparatus (excluding hydraulic or pneumatic, manostats, ...",960998,973537,1063827,783878,984183,1291409,1268667,1029192,1318632,1416343,,3069935,2896061,2590659,2129965,2303947,2607697,3017114,2824728,2945035,3906648,,3767795,3767430,4075327,3550608,3605914,4042713,4427190,4081469,4188045,4444365
845710,Machining centres for working metal,3428586,1248308,2294394,1666226,1174626,1581637,1726388,829725,949610,1368669,,5389541,3127131,4494546,3858334,2695200,3280042,3624641,2735020,1988187,2867455,,5651613,3336471,4336823,3294273,2744382,3390849,3463781,2135017,1851027,2454233
848690,Parts and accessories for machines and apparatus of a kind used solely or principally for the ...,249506,382677,366090,385090,471262,736591,1191635,1064686,1423348,1343089,,3309305,2946655,3181004,3154275,4398921,5689336,5689802,5029592,6058813,6264001,,816067,1191557,1240300,1368265,1635505,2702801,3711484,4482745,6401428,6535759
903180,"Instruments, appliances and machines for measuring or checking, not elsewhere specified in ...",872670,831668,924961,703893,774586,795925,1016600,1081195,1189374,1320268,,2189262,1810572,1764678,1646656,1633985,1755841,1883089,1763290,1461943,1483485,,4033678,3944040,4618099,4262550,4669969,4605602,5670356,5734158,5685034,6431699
710610,"Powder of silver, incl. silver plated with gold or platinum",101950,79041,91089,73649,163611,594109,638852,793820,1117667,1264145,,1031166,1024680,935067,795854,1168299,1137753,843826,914987,1285718,1631220,,288742,204715,204294,246031,383665,850748,871134,890076,1229278,1382483
290243,P-Xylene,2691693,3271693,2334040,1872116,1887379,2155510,2561401,1939223,1030814,1203325,,4411749,4802057,2959557,2281518,2260060,2615482,3292385,3115071,1360557,1577062,,9562943,13785830,12221567,9828192,9681700,12170062,16942443,13935831,8148951,10574429
850440,Static converters,841082,1162325,978617,780533,723698,790593,916047,798620,948646,1185611,,1906969,1973767,1958788,1727221,1825508,2025854,2230500,2399805,2451257,2824468,,6267474,7495797,7393272,6591898,5919760,6179231,7292692,7106455,6965111,7355383
840890,"Compression-ignition internal combustion piston engine """"diesel or semi-diesel engine"""" (excluding ...""",828654,770853,608866,349327,421430,752729,1005638,878937,1247474,1170959,,2922154,2360659,2419739,1886539,2019132,2527459,3135938,2970964,2640170,3422000,,1981602,1963515,1948579,1362226,1340574,1988801,2458491,2409939,2776526,2641465
850450,Inductors (excluding inductors for discharge lamps or tubes),938116,786954,800720,789477,816767,802455,767183,1048797,862577,1159332,,880772,871717,998639,1038191,1081067,1109622,1041731,1050110,1242910,1492318,,3109174,3782063,3578989,2973574,2817303,2727370,2719111,2752253,2709725,3580392
854160,Mounted piezoelectric crystals,974148,859217,1001409,1066598,1310404,1163497,1131607,1166394,1248412,1108774,,1423340,1291407,1412354,1641288,2055093,1825089,1725086,1588377,1689049,1932560,,2690805,3015527,3298085,3083081,3801458,3532248,3351729,3197478,3393225,3567869
851770,"Parts of telephone sets, telephones for cellular networks or for other wireless networks and ...",1183183,1803274,2530870,3020324,3421076,3100840,2093014,1268701,1120687,1057407,,1863733,2331113,2789698,3128602,2818878,3469433,2388034,1524461,1467540,1619690,,32459896,39797995,36708354,39919868,38242517,41295399,42389087,35434224,35722443,40243950
847950,"Industrial robots, n.e.s.",396094,397935,511110,455901,542879,806760,720203,601276,736793,1013639,,1447595,1247689,1452403,1437388,1627572,2206593,1995792,1592161,1723293,2377328,,808182,696994,898766,804672,874723,1328750,1144226,989855,1042447,1375499
710812,"Gold, incl. gold plated with platinum, unwrought, for non-monetary purposes (excluding gold ...",0,0,0,0,0,0,245527,280507,222065,990957,,4344248,3349094,3182441,3943818,6386629,7368144,5225523,5353684,6976956,6011577,,0,0,0,0,0,0,43120648,41153518,10917406,42874153
300490,"Medicaments consisting of mixed or unmixed products for therapeutic or prophylactic purposes, ...""",293394,302414,383135,347537,308973,400201,584115,749354,670632,984055,,1420010,1364645,1333085,1868063,2221532,2483862,3323493,4209092,4223491,3815356,,6523806,6955448,8693723,8779886,9750962,11911435,12034664,14782255,14963999,15582922
370790,"Preparation of chemicals for photographic uses, incl. unmixed products put up in measured portions ...",593422,557382,503983,407914,377452,408813,387860,396139,695553,946147,,2730626,2636017,2637034,2356921,2581946,2687816,2858834,2895876,2827755,3354856,,810132,787708,681342,569330,532688,576016,545980,551652,1351629,1902587
381800,"Chemical elements and compounds doped for use in electronics, in the form of discs, wafers, ...",304088,263686,268548,269761,326432,406260,577628,711923,795135,942960,,2996387,2580708,2730727,2605747,2634309,3084935,3926841,4019308,4033920,4585284,,1634701,1166212,1192619,1032086,1109251,1340573,1872720,2103836,2233424,2543258
392062,"Plates, sheets, film, foil and strip, of non-cellular poly""""ethylene terephthalate"""", not ...""",1165507,969947,1049321,827144,753631,876305,906299,860962,926768,926592,,1934838,1714100,1467536,1092747,1149036,1117428,1148206,1043796,1170681,1280401,,2947166,3005014,2999226,2517972,2049507,2063302,2249258,2222885,2319636,2461884
854370,"Electrical machines and apparatus, having individual functions, n.e.s. in chapter 85",311290,310398,423727,306698,306365,338550,445020,714713,919780,894317,,2245933,1810450,1640312,1594261,1729991,1898197,1871509,1702331,1779309,2102258,,2482504,2625751,2683377,2912175,2886407,3130372,3699086,4098481,4363790,4454481
391990,"Self-adhesive plates, sheets, film, foil, tape, strip and other flat shapes, of plastics, whether ...",759977,801268,850737,755257,774074,811711,814336,791723,876244,889935,,2192601,1962610,1980391,1776514,1852565,2184618,2066337,2018692,2362543,2756433,,2395337,2696333,2579482,2411427,2243750,2368959,2452637,2409152,2452114,2625237
848640,Machines and apparatus specified in Note?9 C to chapter 84,279101,252065,346223,381547,400781,578902,850916,667650,653393,873340,,1154300,880532,941290,889524,1102677,1400828,1494680,1425698,1482298,1889755,,1444851,1449099,1889688,1927455,2250638,2907254,4647084,3445831,3755721,4921631
853890,"Parts suitable for use solely or principally with the apparatus of heading 8535, 8536 or 8537, ...",1069899,987482,946761,725341,702948,800919,797176,713865,737918,852195,,3450910,3051982,3023595,2588210,2717099,3007350,3007832,2779823,2569394,3051101,,3992538,3977812,4206885,3560272,3447573,3935676,4405664,3975503,3922347,4344953
848610,Machines and apparatus for the manufacture of boules or wafers,273694,132857,245529,208483,306779,324646,462120,635575,469369,846512,,915012,571242,648288,546658,774842,792380,898338,947973,917117,1340414,,601470,368652,570667,432351,662341,646198,821803,1042742,858224,1404158
392099,"Plates, sheets, film, foil and strip, of non-cellular plastics, n.e.s., not reinforced, laminated, ...",371011,286952,326485,322344,390277,504009,551070,594361,779877,800273,,1883773,1795584,1832285,1609738,1743317,1861479,1969027,2080491,2374209,2611279,,1092603,1023731,1050999,1022506,1136429,1408140,1484777,1478440,1725118,1901710
900190,"Lenses, prisms, mirrors and other optical elements, of any material, unmounted (excluding such ...",977910,955071,883714,648169,576461,642865,657280,669680,699845,800090,,1942122,1592109,1458902,1219660,1159769,1330908,1282437,1323489,1366756,1488327,,3825307,3635110,3857336,3270407,2324439,2290467,2423039,2423090,2414153,2733830
903149,"Optical instruments, appliances and machines for measuring or checking, not elsewhere specified ...",420833,383897,566369,483391,437011,618432,681138,631537,679915,790115,,452079,389504,532670,487588,539551,877816,999730,852743,803364,1106011,,1633112,1761820,2358401,2418238,2566662,3492137,4123124,3128343,3515547,3553269
847330,Parts and accessories of automatic data-processing machines or for other machines of heading ...,738810,893894,984208,813615,843740,862371,890423,786296,788352,750299,,1597037,1829482,1696221,1418917,1289101,1505310,1494247,1255092,1497660,1580959,,17248125,16933009,18916283,15961508,12742312,14175235,18553324,19036254,19507419,23076010
901890,"Instruments and appliances used in medical, surgical or veterinary sciences, n.e.s.",293754,303566,370387,364342,374282,418471,467160,656676,744514,747939,,1230358,1229205,1169294,1157825,1148026,1167403,1276358,1300457,1362315,1457168,,1507772,1607105,1907251,2117131,2342617,2463137,2930115,3491568,3819012,4843093
848180,"Appliances for pipes, boiler shells, tanks, vats or the like (excluding pressure-reducing ...""",639051,593681,582835,474070,529267,601270,649241,721309,714532,736326,,2200916,2011256,1855265,1701753,1866677,2023503,2114436,1915582,1837107,2134211,,3707456,4260444,4092613,3816719,3526460,3484867,4219117,4324619,4467964,4860809
392690,"Articles of plastics and articles of other materials of heading 3901 to 3914, n.e.s (excluding ...",718694,640009,587098,506581,550423,622385,674042,676645,674099,692329,,1961484,1761910,1728542,1603437,1699088,1845083,1993181,1991418,1938278,2167010,,2656171,2774770,2926291,2894040,2970283,3264273,3560528,3611100,3583469,3916096
840991,Parts suitable for use solely or principally with spark-ignition internal combustion piston ...,998764,796689,756742,652584,656574,680530,773164,757552,657660,685683,,6096273,5544151,5111633,4342886,4507919,4752871,4904977,4669664,3866279,4704867,,2772997,2832499,3058073,2636224,2550629,2714519,2944313,2549106,2389927,2399579
848120,Valves for oleohydraulic or pneumatic transmission,535016,385451,384355,297143,347736,509192,653962,583169,621579,662031,,1195586,1000749,1008659,772742,900738,1211678,1416645,1253438,1388817,1667659,,1438794,1309718,1355494,1121668,1203114,1677133,2024350,1793516,1888872,2100813
840734,"Spark-ignition reciprocating piston engine, of a kind used for vehicles of chapter 87, of a ...",441757,432444,535763,732094,875037,971888,1515559,1373264,1283536,660250,,2681530,2472276,2595280,2665449,3169309,3489927,3982636,3361750,2338231,1991627,,2070771,2210888,2085743,1750909,1897440,1833662,2328392,2159415,1637556,1059229
852990,"Parts suitable for use solely or principally with flat panel display modules, transmission ...",1259317,951942,1203236,1065162,1046548,1022073,1023507,777314,643123,648109,,4816193,3780427,3010663,2841352,2682212,2419975,2109719,1958675,1660903,2028018,,7188997,7260790,7870049,7166856,9078942,11988359,11936518,11351178,13855266,15791199
848210,Ball bearings,449295,401543,460027,387664,367676,450842,436506,421022,421344,622041,,2099110,1806441,1940458,1660656,1631289,1840646,1948139,1787428,1449852,1999899,,1263807,1280487,1435215,1297825,1293878,1528331,1553464,1435217,1557253,1970572
350691,Adhesives based on polymers of heading 3901 to 3913 or on rubber (excluding products suitable ...,604169,586145,604446,554935,580072,659853,606678,593882,614583,608407,,516562,444557,463845,397184,411536,359704,360969,342819,305366,350142,,1533795,1514348,1550464,1489957,1529704,1761496,1803045,1780427,1779865,1825074
853710,"Boards, cabinets and similar combinations of apparatus for electric control or the distribution ...",957586,745910,719866,606602,686455,772098,796400,792317,607275,604926,,3215557,2813145,2870431,2387025,2649395,3216581,3243433,2754691,2616653,3236128,,3562317,3895334,4573370,4251295,4517629,4807920,5324795,5312209,6093482,5913440
340130,"Organic surface-active products and preparations for washing the skin, in the form of liquid ...",3047,3817,7011,9777,11536,30281,51228,76070,202393,604091,,56639,75778,95880,124103,194446,322228,403721,504455,556045,636922,,16322,22465,25439,38474,40172,103009,187412,300954,580862,1626320
850760,Lithium-ion accumulators (excluding spent),1253789,868630,668185,580743,658556,562413,431760,453977,438938,594350,,2293524,2053191,2032530,2032883,2617327,2571627,2577621,2053783,2480619,3372165,,3966493,3317538,3424427,3298475,3056859,3265916,3883051,3724483,3536501,3547695
853340,"Electrical variable resistors, incl. rheostats and potentiometers (excluding wirewound variable ...",222021,164600,184681,148949,160948,179917,217751,194745,1123096,587592,,339231,289558,279203,222127,207345,203608,210069,199014,218068,278195,,687029,740985,783390,765315,791581,735143,800755,730237,1881955,1657394
720851,"Flat-rolled products of iron or non-alloy steel, of a width >= 600 mm, not in coils, simply ...",468938,396568,455969,422193,407492,385287,573583,620401,544303,572356,,2394879,1800837,1664899,1478428,1134363,937630,1598357,1511982,1235856,1871661,,788657,587890,646297,667000,702521,650454,904880,1045331,1148364,880278
854890,"Electrical parts of machinery or apparatus, not specified or included elsewhere in chapter ...",367133,414822,577002,714627,752978,731760,728546,618724,678716,564164,,1133968,966061,987447,900496,890253,924018,915927,890743,943304,1005687,,1018900,1043019,1524682,1765424,1866501,1935373,1993298,1746832,2314474,2127138
853222,"Fixed electrical capacitors, aluminium electrolytic (excluding power capacitors)",582034,500507,537079,477677,518754,568359,583530,497248,544359,563522,,1118375,993488,994584,926994,1012453,1099375,1170819,1003165,985966,1199299,,1786315,1809528,1764978,1502034,1468301,1591564,1727249,1451229,1592530,1726325
290321,"Vinyl chloride """"chloroethylene""""""""",225283,328073,325308,307528,335019,367767,360736,325564,309904,534746,,353812,590508,583168,523763,507297,619680,595756,578445,579740,1163216,,459868,559757,574242,499146,505302,553322,567431,650240,588802,974222
720838,"Flat-rolled products of iron or non-alloy steel, of a width of >= 600 mm, in coils, simply ...",402763,535919,574907,437012,466145,638175,635052,561722,332465,516720,,1137186,1232404,1242827,1030303,1074594,1498559,1569491,1368201,1026805,1921634,,411612,546139,580977,441317,470790,643351,651124,582725,447457,538821
290121,Ethylene,470520,881046,812277,715660,570497,706052,632729,585043,385174,516136,,702167,1089469,1099014,916164,693617,741916,703508,672235,495081,666912,,1794984,2267324,2197066,1624999,1757739,2531628,3302372,2384146,1450953,1997378
847710,Injection-moulding machines for working rubber or plastics,486910,379867,412881,393822,326419,461122,511203,448396,442849,513856,,1471617,1198160,1106453,1055935,995196,1143643,1256376,1084603,929768,1189764,,871391,733174,810138,693929,590716,807836,839470,718303,628864,718493
853321,Fixed electrical resistors for a power handling capacity <= 20 W (excluding heating resistors),237172,201569,208675,195817,213086,233174,243532,225598,241767,512230,,526408,485338,478863,419912,443647,523219,579061,543514,572037,713937,,1040259,1195214,1139566,1498547,1346570,1188291,1410260,1149698,1387707,2561629
852580,"Television cameras, digital cameras and video camera recorders",2072367,1322120,998334,780598,839566,836380,758376,519964,554921,509113,,9331489,5891055,4547778,3646031,3566229,3433771,3239334,2727070,2395651,2639579,,9928112,13352912,10326125,9670255,5910843,4683263,4501852,3382302,2493808,2441076
848390,"Toothed wheels, chain sprockets and other transmission elements presented separately; parts ...",348556,344909,361144,343901,348558,411078,422925,397929,405005,492863,,486461,416745,374041,323908,324666,368701,395022,364000,318425,426104,,1365572,1480859,1710839,1663726,1609576,1936635,2125510,1873849,1831663,2006271
870899,"Parts and accessories, for tractors, motor vehicles for the transport of ten or more persons, ...",835927,699956,562913,422766,480484,522714,568729,570961,420554,490916,,6733424,5642854,4629663,3630672,3480082,3690265,3753397,3516414,2845503,3460819,,2364010,2329394,2301548,1957394,2162616,2618622,2994705,2827224,2905082,3568179
854190,"Parts of diodes, transistors and similar semiconductor devices; photosensitive semiconductor ...",786030,450103,421047,379639,362111,369773,412476,333469,399217,469201,,547925,490360,488902,493834,535828,527544,614850,623246,689877,887929,,5785791,4868565,4530857,4169359,4079326,3993613,3490829,3422163,3273115,3374877
390740,"Polycarbonates, in primary forms",398198,353620,350533,322620,353651,408434,440420,459338,554060,468461,,670290,584634,577516,560652,618405,692521,742390,721601,781410,807155,,4118402,4046167,4339083,3967649,3517129,4051846,4546994,3873643,3630262,4322326
853650,Switches for a voltage <= 1.000 V (excluding relays and automatic circuit breakers),491491,466697,498541,426111,426661,438249,433610,415369,462970,465123,,1881928,1733711,1706274,1501360,1524229,1717858,1767450,1566577,1443922,1803101,,1643467,1684130,2253298,1774688,1800387,1944058,1968005,1851219,1987971,2000777
961900,"Sanitary towels (pads) and tampons, napkins and napkin liners for babies, and similar articles, ...",121027,288450,550489,1116539,1025360,1226188,1102159,925932,671712,456259,,639690,813899,1080019,1490632,1389371,1625049,1558009,1376531,1053109,856860,,303667,492030,744105,1357243,1287360,1422645,1244642,1063237,803827,581508
848340,"Gears and gearing for machinery (excluding toothed wheels, chain sprockets and other transmission ...",413601,297826,360271,285822,281531,407117,443298,357090,344005,452915,,2545160,2262152,2166942,1905795,2021189,2226098,2368784,2058031,1765776,2269728,,1869321,1845157,2056694,1629064,1290542,1614968,1904928,1638931,1685094,1927473
731815,"Threaded screws and bolts, of iron or steel, whether or not with their nuts and washers (excl. ...",505415,467096,454833,356458,416998,433795,459228,419205,426841,449882,,1906997,1737528,1596214,1388781,1492724,1571814,1632706,1513264,1302542,1577118,,1441882,1545997,1654021,1430145,1455660,1516061,1562789,1348065,1350835,1461737
320890,"Paints and varnishes based, incl. enamels and lacquers, on synthetic polymers or chemically ...",98953,89560,79018,70697,95981,143959,210559,332474,435078,446386,,1055391,828356,791873,714852,794327,994587,1044290,1027416,1087277,1193137,,305511,308063,317997,292174,337330,349414,464874,652429,772811,819400
902620,Instruments and apparatus for measuring or checking pressure of liquids or gases (excluding ...,148703,179833,185133,197136,216035,262947,300098,310838,343073,438017,,309266,263679,259236,240467,246698,269508,281460,261848,248376,289434,,661733,821469,960169,976198,1069368,1182037,1335396,1400790,1538892,1642538
999999,Commodities not elsewhere specified,157994,163544,500830,360908,571237,784085,242124,132566,319484,435316,,35510098,35791397,35844356,37085260,38221709,44060363,45598508,44943815,41066512,50409214,,68769069,104735488,82763505,80518802,77492643,66855229,29854611,10614452,10906755,12196803
392073,"Plates, sheets, film, foil and strip, of non-cellular cellulose acetates, not reinforced, laminated, ...",19063,60892,113982,141634,185511,215439,263834,309166,375229,422476,,2013760,1448308,1346825,1041939,947194,900881,899737,811606,796374,868538,,76735,136720,235412,300335,395702,403524,441537,451225,527528,579552
902780,"Instruments and apparatus for physical or chemical analysis, or for measuring or checking viscosity, ...",363572,370480,406721,407908,419690,403071,364023,414652,436504,414139,,1472076,1175996,1372359,1272754,1420905,1176281,1292773,1200384,1120076,1043198,,2113317,2364722,2389672,2384993,2627357,2840480,3439905,3444879,3545322,3133782
850131,"DC motors of an output > 37,5 W but <= 750 W and DC generators of an output <= 750 W (excl. ...",139203,124469,99031,53051,79745,128024,181172,237576,334977,411529,,694835,660852,693009,569730,652984,743265,790125,803855,808585,1038376,,528383,582337,627541,578228,595719,703828,824749,892113,957518,1033878
732690,"Articles of iron or steel, n.e.s. (excluding cast articles or articles of iron or steel wire)",423874,378636,366959,311797,339023,424145,454135,401824,382180,405323,,917045,873654,870464,788880,866763,993941,1103469,1122376,1003965,1145074,,1769972,1826883,1933029,1764124,1836853,1955268,2163760,2110029,1850636,1923529
845611,"Machine tools for working any material by removal of material, operated by laser (excl. soldering ...",0,0,0,0,0,275736,310898,193206,330469,405219,,0,0,0,0,0,781329,900494,636121,713890,1086804,,0,0,0,0,0,880689,918908,714919,760765,837416
902750,"Instruments and apparatus for physical or chemical analysis, using UV, visible or IR optical ...",316925,305106,307606,331897,371714,373851,403854,427268,470727,401419,,392208,377712,399045,386419,404554,493118,503166,582416,620509,621323,,919979,1080656,1182647,1242404,1411219,1575495,1740751,1837488,2343955,1990876
850300,"Parts suitable for use solely or principally with electric motors and generators, electric ...",341000,264659,443800,346876,173598,232428,231296,223728,319448,398480,,1371225,1309590,1395164,965605,985280,940690,1003959,987625,1239569,1651732,,1128717,975500,1138176,951409,746415,909947,891758,776335,927683,1129626
844400,"Machines for extruding, drawing, texturing or cutting man-made textile materials",482663,367063,331652,128838,77525,225875,417281,490720,586544,396030,,49297,37707,92137,51661,58398,67940,85060,114640,85995,59325,,922777,821887,958394,540691,238188,400511,757984,912772,1059986,864288
760720,"Aluminium foil, backed, of a thickness (excluding any backing) of <= 0,2 mm (excluding stamping ...",196915,195248,191097,197422,217300,223519,263037,287216,340502,393241,,92703,96153,80588,82873,95132,85246,92762,144708,254262,390229,,323702,295928,279647,298859,297199,311548,352005,374016,427960,477060
853641,Relays for a voltage <= 60 V,238536,236010,250217,222649,292545,273967,249401,236508,317995,391595,,732547,695276,705238,635821,689061,683599,703333,617621,578045,728105,,599863,661944,722841,698228,781905,778340,746320,683966,748498,877423
