Product code,Product label,Japan's imports from Russian Federation-Value in 2012,Japan's imports from Russian Federation-Value in 2013,Japan's imports from Russian Federation-Value in 2014,Japan's imports from Russian Federation-Value in 2015,Japan's imports from Russian Federation-Value in 2016,Japan's imports from Russian Federation-Value in 2017,Japan's imports from Russian Federation-Value in 2018,Japan's imports from Russian Federation-Value in 2019,Japan's imports from Russian Federation-Value in 2020,Japan's imports from Russian Federation-Value in 2021,Russian Federation's exports to world- ,Russian Federation's exports to world-Value in 2012,Russian Federation's exports to world-Value in 2013,Russian Federation's exports to world-Value in 2014,Russian Federation's exports to world-Value in 2015,Russian Federation's exports to world-Value in 2016,Russian Federation's exports to world-Value in 2017,Russian Federation's exports to world-Value in 2018,Russian Federation's exports to world-Value in 2019,Russian Federation's exports to world-Value in 2020,Russian Federation's exports to world-Value in 2021,Japan's imports from world- ,Japan's imports from world-Value in 2012,Japan's imports from world-Value in 2013,Japan's imports from world-Value in 2014,Japan's imports from world-Value in 2015,Japan's imports from world-Value in 2016,Japan's imports from world-Value in 2017,Japan's imports from world-Value in 2018,Japan's imports from world-Value in 2019,Japan's imports from world-Value in 2020,Japan's imports from world-Value in 2021
30614,"Frozen crabs, even smoked, whether in shell or not, incl. crabs in shell, cooked by steaming ...",357961,228150,252472,201443,294232,260507,324828,336915,253015,296774,,215194,242334,383383,319658,416832,556322,669282,920656,935827,1639113,,639404,427143,500395,487276,570170,501440,531279,571450,416814,557231
720221,"Ferro-silicon, containing by weight > 55% of silicon",117700,142715,129386,116789,129024,139388,176785,147343,117740,255211,,558901,509652,543939,475495,397874,320100,555232,445535,347713,624485,,730089,659364,718833,593813,481965,576561,685029,567059,397192,787108
270111,"Anthracite, whether or not pulverised, non-agglomerated",387601,201891,229558,238753,205203,367995,413050,338526,210314,241204,,1369956,1220723,1228624,1253846,839175,1613303,2397860,2354846,1639880,2068857,,1098690,815903,645464,599383,531374,919839,964964,851790,595922,910506
30311,"Frozen sockeye salmon [red salmon] """"Oncorhynchus nerka""""""""",108234,191177,145062,147168,145116,162241,185282,139140,129827,137495,,121540,182491,110430,140978,151093,118043,165329,170172,84452,205571,,174914,220545,190845,244018,212162,235301,303406,166917,176819,174383
30821,"Live, fresh or chilled, sea urchins """"Strongylocentrotus spp., Paracentrotus lividus, Loxechinus ...""",64154,56796,53856,49392,60807,63722,67461,77730,75218,89087,,24089,19224,17475,15215,17193,19432,23180,26690,28873,30307,,120438,111232,106793,96630,111923,108830,106275,114920,101843,115283
440712,"Fir """"Abies spp."""" and spruce """"Picea spp."""" sawn or chipped lengthwise, sliced or peeled, ...""",0,0,0,0,0,46599,43672,60434,50218,83422,,0,0,0,0,109,1289655,1601758,1717598,1583551,2476603,,0,0,0,0,0,847542,844783,810174,676282,1096353
440810,"Sheets for veneering, incl. those obtained by slicing laminated wood, for coniferous plywood ...",71443,76120,81940,50972,75490,91917,107448,96541,57606,75163,,74709,87241,86121,55080,80415,96642,119803,115147,77336,100984,,78823,83510,89803,58343,82794,100093,116377,107797,62397,79516
290339,"Fluorinated, brominated or iodinated derivatives of acyclic hydrocarbons (excluding ethylene ...",2899,4140,6480,8546,11233,15905,29554,76719,86239,70628,,4703,7339,9456,14655,16280,9482,16799,29487,49016,51952,,147513,110513,116164,121338,125623,140821,187645,244781,253566,298540
720249,"Ferro-chromium, containing by weight <= 4% of carbon",72175,67239,77227,58188,37556,71089,75303,50517,36445,55008,,486561,480822,518792,340417,332802,331420,284451,319935,171656,177759,,139528,127983,165609,139441,105530,149611,170447,113059,74717,105887
470321,"Semi-bleached or bleached coniferous chemical wood pulp, soda or sulphate (excluding dissolving ...",57343,57569,54932,49192,44123,53446,58291,45919,35403,50712,,468035,544990,652771,672717,670288,700012,921694,609988,701550,862436,,649381,669794,736111,698697,632388,700532,806030,733274,587795,698679
260112,Agglomerated iron ores and concentrates (excluding roasted iron pyrites),0,0,10346,0,1674,23581,40610,0,50344,49671,,1080827,976576,1000100,475786,436509,1134506,1288423,1564798,1213693,2304743,,1860943,1791335,1989079,1269168,1227326,1766829,1772910,1830095,1158416,1930255
30633,"Crabs, whether in shell or not, live, fresh or chilled",0,0,0,0,0,25797,20078,18885,20909,49533,,0,0,0,0,3,282372,412732,541975,651874,922391,,0,0,0,0,0,29662,24538,23772,26445,56542
30616,"Frozen cold-water shrimps and prawns """"Pandalus spp., Crangon crangon"""", even smoked, whether ...""",87828,94194,88527,63108,75617,90371,80385,62447,57476,48560,,49016,61630,82033,51230,79539,103002,93053,106582,77250,90838,,226843,214145,202884,155367,167216,193455,171477,151391,123592,112552
840734,"Spark-ignition reciprocating piston engine, of a kind used for vehicles of chapter 87, of a ...",0,0,0,0,3,0,2,6354,40329,47996,,33146,35593,10461,7134,6077,15043,92940,97709,140013,162146,,268653,213064,263598,536080,621221,551733,671088,330363,121440,127275
720110,"Non-alloy pig iron in pigs, blocks or other primary forms, containing, by weight, <= 0,5% of ...",32218,32064,40542,18302,14176,22241,24965,39625,10402,46969,,1679985,1539575,1625894,1294129,1115729,1587963,2116325,1345114,1229130,1876974,,58451,52814,69870,34383,25371,37757,35424,69067,19518,70034
441899,"Builders' joinery and carpentry, of wood (excl. of bamboo, windows, French windows and their ...",0,0,0,0,0,25172,25838,31179,27309,43585,,0,0,0,0,139,128388,149961,169217,122850,258601,,0,0,0,0,0,1280198,1358783,1396234,1233980,1534465
261610,Silver ores and concentrates,1426,75302,53839,50640,99362,52975,38796,39948,42020,40876,,691,0,0,0,0,0,0,0,6377,52401,,78948,157055,183168,199203,272462,227277,171733,143991,90731,150172
270119,"Coal, whether or not pulverised, non-agglomerated (excluding anthracite and bituminous coal)",142915,94348,70498,60131,84530,84038,106056,41571,13648,38135,,9593,759,5464,46594,13969,18143,26322,15826,5303,75082,,1146215,957837,938400,780553,615107,795158,791125,749972,546474,814617
30792,"Molluscs, even in shell, frozen (excl. oysters, scallops of the genera Pecten, Chlamys or ...""",0,0,0,0,0,40808,42979,39156,35257,37498,,0,0,0,0,0,22298,26423,27662,24753,22474,,0,0,0,0,0,69899,68992,66330,55727,52967
720241,"Ferro-chromium, containing by weight > 4% of carbon",18444,11542,9428,11087,1543,14320,15718,15303,16994,35015,,231987,195518,156465,92892,73841,214726,162311,145025,138217,259542,,945125,868122,960405,783934,685389,1044030,1076013,798288,577370,1009256
30481,"Frozen fillets of Pacific salmon """"Oncorhynchus nerka, Oncorhynchus gorbuscha, Oncorhynchus ...""",1001,1758,4685,3756,5215,21706,33293,39889,29349,28380,,3417,4451,3222,983,1309,1645,4776,4077,1656,5291,,160300,147885,246624,198128,191862,312272,312842,299699,322259,341264
30363,"Frozen cod """"Gadus morhua, Gadus ogac, Gadus macrocephalus""""""""",3645,3871,2358,3664,3310,4651,4764,7339,16433,25277,,135791,171888,203068,192022,284137,389248,432457,426278,415010,500767,,58417,43032,53783,50384,49180,62244,51361,35111,38235,39269
30743,"Cuttle fish and squid, frozen, with or without shell",0,0,0,0,0,0,377,19155,20968,24445,,0,0,0,0,63,14964,30129,79723,72965,53592,,0,0,0,0,0,691875,634594,584882,534098,488675
30389,"Frozen fish, n.e.s.",98889,99437,82181,51427,33942,40075,31924,24247,25916,23496,,56114,50648,55025,40181,32877,39496,39514,33135,39457,32314,,634198,527073,500393,448725,453359,421556,367917,294165,288159,283619
999999,Commodities not elsewhere specified,19471,7324,30447,15561,8013,4980,6831,20566,10017,20654,,12711257,13208165,11646991,55364811,45239262,52887528,63746027,55265424,39315738,73343877,,12201048,10484568,10460788,10687242,10592055,11299775,11736701,11873794,10884595,12002634
260700,Lead ores and concentrates,0,0,0,0,0,0,4221,0,14543,17955,,434274,430608,471137,318710,425947,521538,549099,561126,489301,566799,,376452,461500,294392,244608,267211,247135,242954,250166,257870,345139
310420,"Potassium chloride for use as fertiliser (excluding that in tablets or similar forms, or in ...",27584,6545,13182,17158,14220,18234,12742,18918,17225,17886,,3591204,2137881,2656594,2872015,1831783,2110631,2005024,2314287,1756407,3296125,,302019,231225,216061,205377,154767,175651,169371,187011,152513,192856
240399,"Chewing tobacco, snuff and other manufactured tobacco and manufactured tobacco substitutes, ...""",0,0,0,0,0,0,0,0,0,17596,,96262,71747,108631,108630,107691,125744,109547,175969,243430,271051,,12,365,855,556,651,1933,2448004,2867335,2976774,3307655
440131,Wood pellets,0,0,0,4,12,0,15,8,2437,16968,,109024,124459,126659,99368,107949,142579,186434,266590,289030,289351,,19358,20003,24459,45502,63142,87347,194520,283569,342112,562691
30312,"Frozen Pacific salmon (excluding sockeye salmon """"red salmon"""")""""",9283,19643,23129,24171,18440,38962,27663,24186,17650,16046,,123282,148686,93715,81954,219830,156162,404021,218758,255317,168530,,608508,385707,511783,477738,476003,612855,648642,723430,562109,654246
711041,"Iridium, osmium and ruthenium, unwrought or in powder form",2158,2628,1926,2960,2568,343,4515,6683,401,15690,,8702,6299,4069,3260,3708,10762,11183,8891,34462,45803,,109739,106834,107903,91472,97848,142185,314903,310201,242043,808997
30475,"Frozen fillets of Alaska pollack """"Theragra chalcogramma""""""""",7717,8969,9486,8504,9414,10940,18884,11543,10059,14548,,43270,64638,41218,68499,87966,54575,141058,135805,155832,247409,,22518,26722,25590,28811,30528,33709,49720,43355,36747,39494
240391,"Tobacco, """"homogenised"""" or """"reconstituted"""" from finely-chopped tobacco leaves, tobacco ...""",0,0,10,0,0,0,9,19,4046,12828,,19569,21257,27288,13482,18443,16329,22433,22352,25603,29732,,34959,35680,34003,28246,27205,22417,20887,30469,30205,29401
400260,"Isoprene rubber """"IR"""", in primary forms or in plates, sheets or strip""""",64865,40881,37943,27383,15386,11718,9568,12952,5810,12676,,846420,707341,493631,366182,354651,492527,413715,385981,294818,449591,,96473,67312,69504,63146,58606,54105,50715,57070,40239,38946
440121,Coniferous wood in chips or particles (excluding those of a kind used principally for dying ...,1908,1982,4769,4321,5944,6813,8233,8291,9585,12263,,80546,90395,75224,52668,55213,59386,73992,89806,123575,106891,,349370,280704,325027,337568,309787,292069,342696,307914,247380,293740
30494,"Frozen meat, whether or not minced, of Alaska pollack """"Theragra chalcogramma"""" (excluding ...""",255,3517,2685,253,106,50,57,209,234,10210,,13036,12526,5526,7726,10797,7822,14815,18541,15450,42033,,331732,242186,292903,324369,294650,328360,352134,361507,263396,332225
811221,Unwrought chromium; chromium powders,6530,7117,8194,9149,13478,10856,15604,11474,8364,9391,,153365,90189,126688,97200,111086,124887,181665,139123,101613,168113,,43824,38946,41218,36050,37747,38886,56689,43873,30596,38573
260800,Zinc ores and concentrates,0,6204,5749,0,0,0,3479,0,0,9284,,39038,36469,45168,53101,114876,187004,305536,211324,174165,323798,,672155,718750,744708,600451,624783,886522,1005692,761544,528760,1044203
401110,"New pneumatic tyres, of rubber, of a kind used for motor cars, incl. station wagons and racing ...",551,996,5995,4923,4317,4409,5335,5287,5907,9216,,564935,701060,625518,635951,714789,745404,745368,706948,657023,796916,,914205,823725,862834,752073,728275,812668,876358,870244,738231,829750
285390,"Phosphides, whether or not chemically defined (excl. ferrophosphorus); inorganic compounds, ...",0,0,0,0,0,7805,56,59,5284,9140,,0,0,0,0,13,2472,2790,2612,1510,3443,,0,0,0,0,0,203459,199978,237030,260280,295685
441299,"Laminated wood with both outer plies of coniferous wood (excl. of bamboo, with an outer ply ...",6577,3803,4129,5762,6804,6422,8172,7902,5367,8587,,841,1055,2099,976,276,1395,2908,3155,4656,11279,,301129,305901,312323,285237,280268,287376,294700,278304,246433,392810
30331,"Frozen lesser or Greenland halibut """"Reinhardtius hippoglossoides"""", Atlantic halibut """"Hippoglossus ...""",30176,30522,21760,20662,30661,10934,14719,14041,16963,8512,,34157,52577,49106,50493,65073,41589,73591,43447,45675,37644,,149805,136672,116156,116258,109516,97403,104983,107237,111016,92824
720229,"Ferro-silicon, containing by weight <= 55% silicon",7185,4464,6990,5012,5368,6771,8546,7766,2399,8256,,15367,13956,18981,12324,11089,12567,13186,13307,7601,15456,,32450,25651,27251,21110,20297,22877,29683,27768,15014,26467
442199,"Articles of wood, n.e.s.",0,0,0,0,0,4974,7095,9915,6221,8093,,0,0,0,0,118,40972,46766,53925,67447,79072,,0,0,0,0,0,563175,557122,551165,536699,593063
293190,Separate chemically defined organo-inorganic compounds (excluding organo-sulphur compounds ...,469,171,366,646,265,380,3441,4545,6057,7543,,13855,12036,15028,12845,12854,18757,17989,16330,19322,22344,,479330,389915,410645,408560,411974,370869,396153,307222,257662,286568
711031,"Rhodium, unwrought or in powder form",7261,16397,10030,10448,4900,4306,17939,5355,5299,7531,,96975,76372,105007,74249,60942,80381,131096,227995,671966,1124216,,232003,168885,152333,134578,128141,222739,473072,699596,2140773,5137024
282520,Lithium oxide and hydroxide,0,0,0,0,2025,2323,3094,5444,7953,7461,,13027,7679,14805,12259,43992,62752,67276,78342,67990,79428,,36347,20609,52967,77192,91320,218592,280028,485700,392017,388720
261510,Zirconium ores and concentrates,17737,7491,14029,15415,14953,11047,15694,20843,10491,7420,,32046,24603,31055,27364,24593,24521,29488,33394,13466,26404,,107026,56745,61460,56259,36857,37209,80313,60548,35862,40082
30483,"Frozen fillets of flat fish """"Pleuronectidae, Bothidae, Cynoglossidae, Soleidae, Scophthalmidae ...""",21878,27805,25756,19714,19347,17922,23473,19586,9312,6484,,11,38,26,63,23,47,49,123,172,319,,98865,90992,89616,87067,81372,81362,92148,87734,74351,68958
750300,"Waste and scrap, of nickel (excluding ingots or other similar unwrought shapes, of remelted ...",4508,9981,9811,6960,7338,9802,2303,5082,4247,6053,,1042,782,2395,1385,775,715,1896,3849,4636,6410,,73376,85172,122861,77936,62357,74345,98100,125161,74764,121232
230120,"Flours, meals and pellets of fish or crustaceans, molluscs or other aquatic invertebrates, ...",910,1719,3004,7345,7181,5266,3060,4004,5995,5761,,58063,72646,71656,84454,79753,73500,87737,86134,109916,145487,,355703,317986,377807,368209,225222,248678,287867,305868,289838,221403
151211,Crude sunflower-seed or safflower oil,0,72,50,0,5,0,0,371,1024,5666,,1300149,1045715,1027252,778330,1006328,1321692,1182803,1732076,1819475,2431389,,50062,41838,35807,38031,34089,25762,27165,34644,32668,29668
100810,Buckwheat,0,100,3511,6226,2347,3985,3454,3868,3081,5563,,2165,6944,12641,16326,8047,15720,17598,18791,28959,44291,,40162,28108,35647,43423,36584,35207,33429,30030,22829,22914
720280,Ferro-tungsten and ferro-silico-tungsten,0,0,0,0,1221,7546,9164,4468,4452,5257,,30090,18523,31674,10206,35471,41419,35085,28809,32359,34870,,35018,40927,35243,28748,17527,31903,33965,19606,17134,35109
30351,"Frozen herrings """"Clupea harengus, Clupea pallasii""""""""",6143,6000,6285,4853,6389,8552,7109,4451,3748,5237,,170275,198925,127404,96539,73110,119986,127343,123965,138713,115685,,41834,47834,39174,30575,29192,40262,29945,28429,14939,39665
440719,"Coniferous wood sawn or chipped lengthwise, sliced or peeled, whether or not planed, sanded ...""",0,0,0,0,0,3522,5519,5209,4779,5221,,0,0,0,0,57,404880,427936,466525,512885,695061,,0,0,0,0,0,333158,347813,293440,226044,304730
30471,"Frozen fillets of cod """"Gadus morhua, Gadus ogac, Gadus macrocephalus""""""""",6927,7050,6907,5383,4694,3398,5547,5980,3796,5141,,55069,131231,204512,125135,112362,217009,138791,156507,175718,239473,,19411,17862,18687,19364,19161,17897,16100,13287,8843,9246
711299,"Waste and scrap of silver, incl. metal clad with silver, and other waste and scrap containing ...",0,0,0,0,0,0,0,1549,4724,4908,,805,7051,5643,9644,12800,3718,7344,7229,6989,4705,,604637,626383,734835,695976,1448426,1814596,2232628,1828435,2041125,2378310
750210,"Nickel, not alloyed, unwrought",72667,36992,20733,5530,3494,6759,34226,24214,5338,4766,,3616122,3509001,3717120,2317412,1606591,1360799,1723263,1835907,1859215,787799,,645364,548444,611801,423225,296726,361929,672603,633721,445394,758303
50510,"Feathers used for stuffing and down, not further worked than cleaned, disinfected or treated ...",4039,5498,2248,2322,3285,3319,5518,7655,4270,4469,,21304,33336,28665,15534,12036,17841,33407,40464,20309,31231,,217961,266323,237211,145923,141154,149565,166202,170709,135767,134630
810890,"Articles of titanium, n.e.s.",6404,7536,9162,9921,8482,9401,10009,14507,13031,4139,,495953,483853,435303,427957,418712,477372,565026,585107,373539,275722,,154789,197937,229217,254068,302930,264764,282631,302570,224020,91684
440910,"Coniferous wood, incl. strips and friezes for parquet flooring, not assembled, continuously ...""",1788,3212,3117,3485,4216,3663,5288,5163,3208,4055,,41232,53209,65608,48372,51266,67115,92640,99810,118979,213866,,91820,95371,89838,64235,65904,69115,71430,60286,49967,57201
750400,"Powders and flakes, of nickel (excluding nickel oxide sinters)",11252,3716,1428,2612,2249,1441,1120,1392,1354,3959,,53963,18912,27243,19760,15161,14903,22439,41360,43630,36420,,138764,120069,129954,123253,83683,112370,144892,142581,88093,115402
440325,"Coniferous wood in the rough, of which the smallest cross-sectional dimension is =>15 cm, whether ...",0,0,0,0,0,15329,19762,16937,7261,3824,,0,0,0,0,2,221867,224328,170428,139632,94256,,0,0,0,0,0,605738,716281,572691,448048,671518
30520,"Fish livers and roes, dried, smoked, salted or in brine",6502,5532,4535,4007,4973,6702,8678,10602,7271,3605,,4782,1001,685,491,208,348,438,804,787,704,,180714,167447,145979,119591,123108,131600,123001,119171,103716,130232
250610,Quartz (excluding quartz sands),1066,204,258,405,868,1812,2433,1654,1509,3029,,1047,379,1953,3636,5766,6192,5492,4911,7006,8705,,47040,38765,57186,52008,47516,58999,61952,56543,57282,74907
720150,"Alloy pig iron and spiegeleisen, in pigs, blocks or other primary forms",0,0,0,0,0,0,0,0,0,2933,,33366,57920,62300,75845,56049,40872,39658,95627,77710,115714,,6,303,15,2,0,7,10,10,0,2975
100590,Maize (excluding seed for sowing),0,0,11845,0,20037,44180,16167,19881,15370,2648,,572959,589537,699509,584171,854201,883268,849216,611443,390394,688083,,5112611,4738612,3849381,3221969,3060341,3073130,3363106,3510218,3283435,4726803
284590,"Non-radioactive isotopes; inorganic or organic compounds of such isotopes, whether or not ...""",5789,3806,2039,1641,1467,813,1478,1253,1382,2615,,27579,34867,21230,0,0,0,0,0,0,0,,25924,23172,20184,22927,24204,20690,22483,27364,22376,27870
811292,"Unwrought niobium """"columbium"""", gallium, indium, vanadium and germanium; powders and waste ...""",1276,496,1234,1019,1112,2807,6925,2928,531,2562,,6739,9095,6736,6088,8973,15214,18894,23645,25304,23096,,131023,133115,149117,127936,69961,103545,194364,104188,62906,71223
281219,"Chlorides and chloride oxides (excl. carbonyl dichloride """"phosgene"""", phosphorus oxy-, tri- ...""",0,0,0,0,0,4395,3725,2962,3506,2535,,0,0,0,0,0,5614,3997,3709,4157,3154,,0,0,0,0,0,22345,25005,20005,19117,16865
710239,"Diamonds, worked, but not mounted or set (excluding industrial diamonds)",2325,1498,359,1035,1008,1085,1539,1669,1539,2388,,885774,768000,689787,490580,482338,430209,564773,447757,332773,404345,,898649,870900,888885,776932,912632,762208,849376,703765,448548,532903
30489,"Frozen fish fillets, n.e.s.",29621,24241,27951,12403,8055,8353,7887,5187,3815,2302,,31273,34347,35700,39843,41911,34496,48498,39218,32888,36969,,681492,518143,545405,494155,512923,530844,552422,590435,499479,494904
110429,"Grains of cereals, hulled, pearled, sliced, kibbled or otherwise worked (excluding rolled, ...",0,0,120,18,0,73,611,672,0,2274,,28923,35042,44367,43839,43726,44616,34694,43003,61229,80626,,24485,21403,30501,32770,29193,26139,23517,24878,23756,41131
440399,"Wood in the rough, whether or not stripped of bark or sapwood, or roughly squared (excluding ...""",7258,5714,7140,3074,3306,3584,3363,3066,2977,2262,,317281,416550,439702,356914,364469,39252,29668,21897,17842,15140,,60848,58300,55657,46731,38065,26068,26264,20185,20736,14589
440890,"Sheets for veneering, incl. those obtained by slicing laminated wood, for plywood or for other ...",744,1279,1999,2037,3146,2039,3054,2693,2629,2197,,24278,20305,24558,28830,29850,39516,53835,63901,65507,84582,,67573,56038,47350,47060,51325,39420,43618,38066,29146,30206
811229,"Articles of chromium, n.e.s.",372,632,1280,2319,2535,2870,1370,1202,1959,2168,,7916,5879,8145,8185,9315,6912,6307,3662,3655,4138,,7332,5329,6650,7729,6361,7045,7524,7075,5800,6401
440321,"Pine """"Pinus spp."""" in the rough, of which the smallest cross-sectional dimension is =>15 ...""",0,0,0,0,0,4106,3203,5339,2559,2100,,0,0,0,0,245,408592,333050,283508,235382,219578,,0,0,0,0,0,57081,60139,54075,38177,53230
330129,"Essential oils, whether or not terpeneless, incl. concretes and absolutes (excluding those ...",24,166,429,885,566,791,1213,1039,1773,2054,,7260,9767,12964,19672,15222,13104,13932,11092,16844,23741,,50048,47209,51634,47808,48610,48351,53433,51415,50388,50327
720291,Ferro-titanium and ferro-silico-titanium,1839,1534,3328,2303,787,2240,1672,2182,822,2039,,63784,39845,71672,54915,40880,47379,41842,47522,41849,75356,,18971,13987,14368,14699,10015,12823,16968,17203,11117,20809
710420,"Precious and semi-precious stones, synthetic or reconstructed, unworked or simply sawn or roughly ...",711,324,674,127,863,506,548,1080,980,2021,,10604,14474,21264,20265,28369,53614,41611,32706,20269,8950,,3941,827,2901,932,1674,1793,1460,3553,2048,2113
440795,"Ash """"Fraxinus spp."""", sawn or chipped lengthwise, sliced or peeled, whether or not planed, ...""",5906,4468,2484,2035,2420,3621,3243,4521,1755,1960,,34158,29945,27690,31975,35859,31982,32337,32998,17139,29935,,24375,21817,21994,20161,16977,17784,16590,17744,11789,13808
810520,Cobalt mattes and other intermediate products of cobalt metallurgy; unwrought cobalt; cobalt ...,0,0,0,0,108,0,1149,4664,1505,1950,,89892,83793,94085,75469,74662,61411,214612,109815,82064,74050,,326728,276365,310577,282505,220822,538195,788332,401040,290075,416070
721633,"H sections of iron or non-alloy steel, not further worked than hot-rolled, hot-drawn or hot-extruded, ...",0,0,0,0,0,0,0,0,102,1946,,41946,39799,35913,38315,37404,27009,32998,33784,25060,63970,,34792,44541,50594,16959,27353,53098,61416,62230,34670,25984
270300,"Peat, incl. peat litter, whether or not agglomerated",2520,1923,2146,2161,2399,2311,2059,2081,2015,1938,,4681,5218,6710,7217,8842,9717,13134,19463,22891,33583,,40341,38906,37230,33323,33669,33000,32608,30889,31752,38935
30499,Frozen fish meat n.e.s. (excluding fillets),7989,7963,8753,4225,4238,4027,4096,3404,2475,1854,,2011,1034,117,113,345,249,598,425,568,632,,651803,505474,559249,520858,516695,486641,524095,548899,444920,463187
251990,"Fused magnesia; dead-burned """"sintered"""" magnesia, whether or not containing small quantities ...""",0,0,0,0,0,73,385,1056,1443,1758,,59011,45703,40715,27524,25927,34960,28676,31423,29075,40599,,151682,143529,159153,141457,119744,160724,203169,175885,107083,175101
310520,"Mineral or chemical fertilisers containing the three fertilising elements nitrogen, phosphorus ...",2408,1510,1356,862,1600,1068,922,1448,938,1718,,1914115,1731844,1486658,1422234,1164687,1370599,1561903,1467433,1273758,2024941,,98530,86408,66481,44877,47863,44991,44577,45775,38567,42986
440791,"Oak """"Quercus spp."""", sawn or chipped lengthwise, sliced or peeled, whether or not planed, ...""",2439,1156,1359,1205,1326,1605,2210,3321,1649,1663,,58711,48988,36589,52822,60360,60937,64954,59817,37047,44369,,39413,33125,39873,35272,34715,25791,25098,29486,24865,29203
640520,"Footwear with uppers of textile materials (excluding with outer soles of rubber, plastics, ...",1824,1633,1833,1710,1752,1559,1722,1753,1225,1642,,587,1869,4139,4136,4832,3649,5783,7001,4764,5333,,66538,74464,76300,84562,75801,82919,90484,87343,75291,97038
71190,"Vegetables and mixtures of vegetables provisionally preserved, e.g. by sulphur dioxide gas, ...",1451,1904,1124,1516,1472,1317,1640,1921,1427,1597,,2377,2828,1426,1824,1585,1755,1899,2662,1585,1628,,71180,65499,60350,58486,55023,54437,56493,52545,46988,46215
