Product code,Product label,China's imports from Singapore-Value in 2012,China's imports from Singapore-Value in 2013,China's imports from Singapore-Value in 2014,China's imports from Singapore-Value in 2015,China's imports from Singapore-Value in 2016,China's imports from Singapore-Value in 2017,China's imports from Singapore-Value in 2018,China's imports from Singapore-Value in 2019,China's imports from Singapore-Value in 2020,China's imports from Singapore-Value in 2021,Singapore's exports to world- ,Singapore's exports to world-Value in 2012,Singapore's exports to world-Value in 2013,Singapore's exports to world-Value in 2014,Singapore's exports to world-Value in 2015,Singapore's exports to world-Value in 2016,Singapore's exports to world-Value in 2017,Singapore's exports to world-Value in 2018,Singapore's exports to world-Value in 2019,Singapore's exports to world-Value in 2020,Singapore's exports to world-Value in 2021,China's imports from world- ,China's imports from world-Value in 2012,China's imports from world-Value in 2013,China's imports from world-Value in 2014,China's imports from world-Value in 2015,China's imports from world-Value in 2016,China's imports from world-Value in 2017,China's imports from world-Value in 2018,China's imports from world-Value in 2019,China's imports from world-Value in 2020,China's imports from world-Value in 2021
290519,"Saturated monohydric acyclic alcohols (excluding methanol """"methyl alcohol"""", propan-1-ol ...""",275045,285819,343704,190034,153959,176509,162847,175385,146105,258994,,388659,346569,429013,252464,234341,303031,307679,305240,224287,496962,,477473,457653,497000,292634,258366,305832,287253,257256,219844,365099
290529,Unsaturated monohydric acyclic alcohols (excluding acyclic terpene alcohols),0,42251,139559,138355,104468,139954,166275,106521,119749,235736,,2040,104675,209398,121831,120477,174448,214994,135929,162409,303262,,51449,111877,199354,191616,163194,184835,208359,157341,163148,285628
293040,Methionine,0,0,0,77212,132306,121011,114981,177432,167460,222286,,35598,92478,161854,0,0,0,0,0,0,0,,505439,384297,475657,660235,522547,416544,353602,431722,429670,414069
340319,"Lubricant preparations, incl. cutting-oil preparations, bolt or nut release preparations, anti-rust ...",1582,1675,2024,1913,3880,36509,235167,157864,133079,208526,,52751,65127,102550,68691,78700,133748,286345,216559,217077,300547,,334936,372159,444759,501171,573076,565392,647381,521453,472215,567970
854190,"Parts of diodes, transistors and similar semiconductor devices; photosensitive semiconductor ...",233775,223210,271140,176992,174173,188039,194279,215024,199376,202050,,1477777,1755954,2137504,2484390,2710953,2060092,1646743,1741034,2740212,2702488,,5785791,4868565,4530857,4169359,4079326,3993613,3490829,3422163,3273115,3374877
390110,"Polyethylene with a specific gravity of < 0,94, in primary forms",57908,70979,125829,105086,93728,102785,99891,109625,117139,200759,,1278609,1283426,1442157,1084105,1203100,1456626,1688411,1584367,1223786,1563425,,2247816,2662177,3321554,2864059,2514333,3021641,3501080,3488733,3361086,3947756
853690,"Electrical apparatus for switching electrical circuits, or for making connections to or in ...",186729,161317,140602,109314,117120,123991,138778,160350,188181,179306,,1608704,1761409,1663323,1375199,1225750,1321152,1376021,1180177,1013561,1268802,,7993983,8363404,9062124,8814924,8865881,9736922,9979021,9280817,9453312,10092382
491199,"Printed matter, n.e.s.",77755,343900,360949,158390,151760,126094,99329,233378,227868,174022,,325659,193429,166479,213216,262705,423419,348221,212787,249856,191037,,169728,433290,448601,228148,209025,177103,168955,306974,305118,255419
382200,"Diagnostic or laboratory reagents on a backing, prepared diagnostic or laboratory reagents ...",10748,14129,32672,48007,81895,106165,117479,133588,125113,166076,,493690,614305,795963,882156,1084522,1349477,1466013,1486820,1375164,1888105,,982850,1042503,1042001,1125483,1438742,1542126,1785607,1919631,1795822,2063956
390810,"Polyamides-6, -11, -12, -6,6, -6,9, -6,10 or -6,12, in primary forms",80053,101812,122219,122651,124159,124797,124192,145805,133809,165086,,183040,209433,179188,183099,164404,181580,218793,211145,169957,245213,,2827128,2915984,2716528,2076164,1741554,1839774,2021456,1745837,1483649,1517776
902720,Chromatographs and electrophoresis instruments,99303,111190,117593,121790,133806,156534,179441,171251,164475,155601,,239045,230211,228740,249255,301119,347328,406423,453422,397632,494386,,750668,844275,848667,926022,982691,1011170,1163752,1044733,1084730,1148239
851770,"Parts of telephone sets, telephones for cellular networks or for other wireless networks and ...",224412,263999,126087,88134,166939,168105,293611,540748,195411,151840,,753114,642548,706084,839918,935758,1162994,2068109,2794303,2798570,2848315,,32459896,39797995,36708354,39919868,38242517,41295399,42389087,35434224,35722443,40243950
390130,"Ethylene-vinyl acetate copolymers, in primary forms",127240,110764,140063,128004,109584,121079,114550,119634,100987,151077,,151160,150309,165226,150558,131685,152575,174896,161814,150084,235815,,1186041,942243,1349377,1395147,1395086,1568769,1560682,1685183,1623371,2497675
847989,"Machines and mechanical appliances, n.e.s.",243141,215420,241409,169571,129608,162031,138697,134261,139872,146287,,767901,757565,1164035,773613,641656,811243,792359,882291,931523,920757,,6516450,6034424,6969823,6132252,6577054,8645564,9273758,8578715,8341837,8774627
844399,"Parts and accessories of printers, copying machines and facsimile machines, n.e.s. (excluding ...",501665,646028,493421,361071,285144,226119,235463,171646,142286,144381,,6107660,5670055,4693435,4632247,3954257,4283840,4195562,3812250,4550108,6217790,,7565968,7294149,6413234,5372264,4717869,4728272,4720712,4298222,3730453,3928964
382499,"Chemical products and preparations of the chemical or allied industries, incl. those consisting ...",0,0,0,0,0,102328,88132,78913,114810,141224,,0,0,0,0,0,0,803929,723571,629804,719664,,0,0,0,0,0,6080289,6202408,5677307,6511671,7561917
381800,"Chemical elements and compounds doped for use in electronics, in the form of discs, wafers, ...",30608,53351,46911,44495,29965,49785,72722,72154,120476,135658,,1187383,692280,555395,671457,757979,806156,1005094,1179016,1051081,1222901,,1634701,1166212,1192619,1032086,1109251,1340573,1872720,2103836,2233424,2543258
490700,"Unused postage, revenue or similar stamps of current or new issue in the country in which they ...",48105,68436,83608,77416,101668,131005,149862,156371,179994,129750,,203950,52771,55270,40636,32226,34260,21735,13729,26798,53545,,339838,500277,550823,547540,641633,645759,801449,917702,833528,951829
901390,"Parts and accessories for liquid crystal devices """"LCD"""", lasers and other appliances and ...""",1052,714,230,223,222,911,34983,141336,208435,125747,,52850,99370,114936,102087,66401,101743,45524,36780,36255,41593,,4720963,4754512,4799526,5057281,4589634,4541360,4160539,3923837,3485319,2266795
391990,"Self-adhesive plates, sheets, film, foil, tape, strip and other flat shapes, of plastics, whether ...",56962,92219,81081,75660,76794,86051,119545,176328,132550,115795,,254169,409124,381737,297027,332537,343638,385225,398064,333946,359778,,2395337,2696333,2579482,2411427,2243750,2368959,2452637,2409152,2452114,2625237
740400,"Waste and scrap, of copper (excluding ingots or other similar unwrought shapes, of remelted ...",30688,50527,14178,13933,21073,29762,66838,119074,53456,115557,,267700,246794,204386,169412,141284,157382,180554,197387,122492,180250,,14840883,13732988,10913497,8450144,6182737,9152484,9370722,7478913,4535923,11421536
390690,"Acrylic polymers, in primary forms (excluding poly""""methyl methacrylate"""")""""",77441,77757,99928,107347,99845,126607,145514,122196,100938,113554,,425674,380645,398706,340937,300723,314513,336903,310487,305322,351762,,1253808,1377812,1540799,1421770,1501820,1842857,2152071,1884594,1864167,2193347
270799,"Oils and other products of the distillation of high temperature coal tars; similar products ...""",1823,6644,11429,51787,74051,91347,3131,120298,100708,112939,,16589,47610,40089,34325,42619,41102,27262,89904,201369,269036,,465529,283801,620583,1004132,1902921,2947325,5217423,5156325,6517136,5738425
854233,Electronic integrated circuits as amplifiers,48964,62476,63249,86246,143522,177611,223680,132625,100563,110881,,960910,1382764,1995463,2046612,2635982,2858481,2621013,2813648,3395256,4388496,,9183882,19607941,8995714,11167827,10391154,9536688,9784932,9678006,12342977,14021411
290250,Styrene,238360,261351,162826,194415,152750,157870,289410,343587,173567,109251,,997485,1273444,861371,815638,599722,831982,842743,634560,390259,883314,,4823230,6356593,5943206,4162925,3642719,4016372,3963593,3313160,2089974,1846862
390390,"Polymers of styrene, in primary forms (excluding polystyrene, styrene-acrylonitrile copolymers ...""",21220,31927,33932,30132,42389,55632,95911,91257,87526,99284,,99280,172660,241806,200340,184616,198722,219519,187304,178868,230129,,662380,704283,723751,611312,633124,744452,919401,952369,927065,1172451
340213,"Non-ionic organic surface-active agents, whether or not put up for retail sale (excluding soap)",49720,69685,61351,40312,48756,92399,91744,87867,92906,97576,,225687,187702,216291,182077,196950,248569,243531,225850,253263,308115,,440089,487053,511134,405287,407388,479829,505127,433826,443559,522361
853224,"Fixed electrical capacitors, ceramic dielectric, multilayer (excluding power capacitors)",103386,89308,62947,55673,58850,73707,115076,103904,103847,94192,,436045,427363,318502,234186,254355,358398,605066,507219,592285,778632,,4876587,7405348,7103862,6922427,5318306,5661295,9220601,6811285,8174986,9188031
845611,"Machine tools for working any material by removal of material, operated by laser (excl. soldering ...",0,0,0,0,0,84336,96540,51460,108048,85425,,0,0,0,0,0,0,72903,101636,135821,188062,,0,0,0,0,0,880689,918908,714919,760765,837416
903180,"Instruments, appliances and machines for measuring or checking, not elsewhere specified in ...",56591,53273,31735,31948,24990,31337,51172,124380,93551,85014,,314660,287104,358683,343200,376466,399329,544161,522767,526118,709619,,4033678,3944040,4618099,4262550,4669969,4605602,5670356,5734158,5685034,6431699
854150,"Semiconductor devices, n.e.s.",10714,3485,276,974,6597,9597,6298,9990,40119,82800,,254432,534649,636291,507539,534392,297094,156157,160058,290813,428655,,364981,324207,340810,342617,344747,365553,371027,435959,571143,649980
710813,"Gold, incl. gold plated with platinum, in semi-manufactured forms, for non-monetary purposes",0,0,0,0,0,0,59339,67654,74926,82055,,9857804,13880349,10831876,595642,1147853,11303228,10974129,11453769,15672122,14047953,,0,0,0,0,0,0,2684363,2776451,493649,813644
350691,Adhesives based on polymers of heading 3901 to 3913 or on rubber (excluding products suitable ...,19672,29493,25062,15316,27999,56938,68889,47540,59771,79574,,26285,32848,57543,56500,65435,109645,122797,117051,161942,187860,,1533795,1514348,1550464,1489957,1529704,1761496,1803045,1780427,1779865,1825074
903149,"Optical instruments, appliances and machines for measuring or checking, not elsewhere specified ...",24131,12260,97210,118003,87441,49940,40924,29220,102710,77514,,127563,97573,71961,65754,108072,132576,113296,122156,140780,177837,,1633112,1761820,2358401,2418238,2566662,3492137,4123124,3128343,3515547,3553269
400219,"Styrene-butadiene rubber """"SBR""""; carboxylated styrene-butadiene rubber """"XSBR"""", in primary ...""",1592,9625,35288,67064,77666,105954,104099,97498,76414,76170,,30455,40504,108893,203465,256582,319909,307015,273446,239723,272571,,1161778,999794,890156,824974,836407,988862,853724,762674,660984,759918
854290,"Parts of electronic integrated circuits, n.e.s.",82897,84730,100352,95903,81582,121569,97986,96212,91070,72424,,4901503,6104584,5703972,2443460,1960809,1952670,1801296,1049931,1479249,2113075,,816092,856242,908494,801580,687662,774668,855363,886703,809451,1459041
901380,"Liquid crystal devices, n.e.s. and other optical appliances and instruments not elsewhere specified ...",152501,240122,239486,220692,170214,132603,127527,80454,88361,68757,,122564,93725,117322,131769,124416,97744,68403,91102,78327,81645,,50435169,49895900,44173507,40151520,32202627,30541144,26248601,20978386,19269861,19633012
271012,"Light oils and preparations, of petroleum or bituminous minerals which >= 90% by volume """"incl. ...""",14436,32221,43113,72665,122622,290967,199261,237823,170305,67619,,24629742,23121395,23445528,14785177,12462249,14531435,18082770,16591374,10150819,16087885,,3363029,3759632,3740186,3994815,3477904,4161497,5834302,4271919,3480420,4812584
848210,Ball bearings,63403,71762,79393,77024,77069,80520,69111,57932,52487,66586,,770405,767885,672510,633911,600342,620792,539537,480830,377948,410162,,1263807,1280487,1435215,1297825,1293878,1528331,1553464,1435217,1557253,1970572
854129,Transistors with a dissipation rate >= 1 W (excluding photosensitive transistors),17961,13515,23569,29709,21796,24229,32996,35471,54400,64887,,1408988,1461494,1926955,1755733,1608370,1934213,2380872,2393547,2562992,3564091,,3385736,5264662,5015931,4911059,4709921,4825179,5601842,5851489,6649241,7923929
903289,"Regulating or controlling instruments and apparatus (excluding hydraulic or pneumatic, manostats, ...",37584,33864,43172,43460,38033,43875,26573,26757,43823,61844,,406633,360666,391397,357297,337021,502169,633436,628511,480948,360314,,3767795,3767430,4075327,3550608,3605914,4042713,4427190,4081469,4188045,4444365
382100,"Prepared culture media for the development or maintenance of micro-organisms incl. viruses ...""",0,3,25,143,819,4073,6045,13669,48131,61704,,1865,8384,4272,7990,15414,31470,41244,77290,124253,183936,,41129,50862,89918,101718,118562,153491,210398,233740,307233,407625
852352,"Cards incorporating one or more electronic integrated circuits """"smart cards""""""""",135352,194077,227936,198026,99333,140961,97023,65672,53813,60457,,420478,446467,253923,232780,157032,137123,118917,145078,100760,88545,,509860,555573,635652,814092,664854,530841,486104,406711,327595,315117
845710,Machining centres for working metal,29187,27528,27352,24224,29176,56934,61635,45897,52786,59441,,135362,109130,105443,90240,92783,125289,134422,108444,93276,112792,,5651613,3336471,4336823,3294273,2744382,3390849,3463781,2135017,1851027,2454233
210690,"Food preparations, n.e.s.",20888,23306,24988,20892,23448,32877,46233,60935,65871,59094,,441219,1085009,1574538,1437089,1457191,1506006,4754049,5173579,5798884,6430706,,720374,917013,1011247,1296657,1484863,1835969,2717012,3125061,3842576,3672672
390610,"Poly""""methyl methacrylate"""", in primary forms""""",118406,107067,137763,121868,104802,124901,123485,83537,53478,58389,,201368,168820,217977,186765,171120,230470,239246,193549,167545,196849,,645312,582665,570328,460010,419212,494586,614841,480722,393413,503539
902139,Artificial parts of the body (excluding artificial teeth and dental fittings and artificial ...,12814,16710,28046,34149,25455,19631,30178,34191,24146,57424,,170213,280538,346987,384206,479826,564080,768529,1070021,1402092,1193432,,261218,333448,404391,442499,483050,506568,638814,651775,560790,767021
390740,"Polycarbonates, in primary forms",237907,207242,203439,161189,28224,22419,20073,24807,41216,55714,,897006,830301,848457,642762,384444,386561,411117,341503,310975,428476,,4118402,4046167,4339083,3967649,3517129,4051846,4546994,3873643,3630262,4322326
847330,Parts and accessories of automatic data-processing machines or for other machines of heading ...,465275,401137,283181,157886,96139,77856,65497,89791,70949,54733,,8646666,6990269,6183039,4721034,4169649,4438718,3871354,4154481,4064225,3797731,,17248125,16933009,18916283,15961508,12742312,14175235,18553324,19036254,19507419,23076010
390120,"Polyethylene with a specific gravity of >= 0,94, in primary forms",48411,51539,39059,48293,44560,42026,53295,74670,55413,54218,,1258494,1263376,1286442,1127340,1211279,1367131,1377210,1338618,1141692,1070702,,5515638,6920522,7056718,6462534,5995952,7543532,8825888,8276263,7947367,6790049
540244,"Synthetic filament elastomeric yarn, single, untwisted or with a twist of <= 50 turns per metre ...",20513,23638,22318,24914,30098,27178,49590,50494,40247,53745,,120106,146245,161381,163612,155726,150712,163361,152095,132594,192774,,126257,135872,171564,167047,160151,152859,193774,204056,176458,342471
854140,"Photosensitive semiconductor devices, incl. photovoltaic cells whether or not assembled in ...",10888,26141,12786,17261,25894,44855,60664,17051,15905,53324,,1585091,1501935,1793650,2360783,2606582,2337707,1696560,1543001,1811221,2168139,,7865758,8994113,10402963,11853627,9185276,9271908,9195974,7158831,7246759,8442203
890590,"Light-vessels, fire-floats, floating cranes and other vessels, the navigability of which is ...",0,0,0,0,0,80000,0,0,0,51498,,328335,6270,26028,23525,19033,31608,116447,41164,17925,36674,,8103,250000,1999,217231,6836,88308,3107,284679,550075,1646896
847150,"Processing units for automatic data-processing machines, whether or not containing in the same ...",73801,93528,216990,470769,336197,342458,251937,63533,52942,50870,,1770723,2894345,3161155,4026552,3634707,3474473,3650442,2560947,2393866,3453632,,1919152,2362308,2826089,2456526,2506007,2346999,2444217,1828919,2005144,2855683
902190,"Articles and appliances, which are worn or carried, or implanted in the body, to compensate ...",7517,19037,20879,24932,19351,17677,15837,17609,20070,50382,,406337,458246,349921,477364,388006,400468,427455,450497,332115,805684,,859094,1072791,1096455,1229556,1141270,1310697,1440290,1667227,1378717,1119490
852349,Optical media for the recording of sound or of other phenomena (excluding unrecorded and goods ...,666124,163133,256157,157449,85511,113645,69000,84236,55572,50195,,2120339,1402196,1259238,749895,603269,534616,514385,405454,371350,391294,,2380095,1909006,1930221,1732912,1570356,2166631,2265721,2148425,2432635,1876872
290241,O-Xylene,85574,103571,57144,52829,63947,96951,101097,12894,9737,49759,,137499,145306,101293,73118,98678,166126,129905,60134,44023,102616,,1052850,834083,609981,287200,215277,282762,224303,71048,100386,115951
330290,"Mixtures of odoriferous substances and mixtures, incl. alcoholic solutions, based on one or ...",37070,33955,29680,34905,33355,37759,44674,46554,51879,49674,,618671,669395,723199,722300,758944,791311,904748,980628,1043623,1082842,,197615,192272,172454,175854,179573,188421,205926,213822,215761,199317
854890,"Electrical parts of machinery or apparatus, not specified or included elsewhere in chapter ...",34070,49052,44243,40848,35596,48629,41336,44204,48539,49467,,94143,90261,250917,266193,141656,80836,72778,61961,68787,94293,,1018900,1043019,1524682,1765424,1866501,1935373,1993298,1746832,2314474,2127138
853400,Printed circuits,98490,108777,121517,123246,120145,94037,116362,112941,76518,48884,,656601,743971,692731,740055,665735,658194,629727,623681,653253,761160,,14481734,13637752,13412127,12164822,10353976,11582045,12375242,11250354,10874504,11088530
847990,"Parts of machines and mechanical appliances, n.e.s.",17920,13303,16272,12016,9548,7691,15634,33830,41919,47962,,1997311,1610502,1445709,1285253,1109209,1191414,1294312,1268687,1418656,1561857,,744975,691437,822498,656090,665873,913957,1172489,1290967,1456467,1427515
240220,"Cigarettes, containing tobacco",26891,44155,78863,76491,71617,62071,56142,59155,49999,47649,,759410,800408,919222,1163746,1147763,1046181,1055353,1061119,607482,619477,,75030,100353,482866,542233,562844,500769,615888,637425,331377,237861
902790,"Microtomes; parts and accessories of instruments and apparatus for physical or chemical analysis, ...",5491,8031,12326,9388,25629,32495,27198,25332,48915,46097,,709858,692220,858308,831980,912917,1021138,1031339,1150354,1159582,1277402,,632660,691439,784278,804402,936942,1099481,1171612,1305024,1506813,1537931
853710,"Boards, cabinets and similar combinations of apparatus for electric control or the distribution ...",43737,42766,54062,37432,38548,42569,55234,60722,32522,45342,,814902,890079,1013168,972547,1107486,1177684,1412015,1196896,1061668,1172628,,3562317,3895334,4573370,4251295,4517629,4807920,5324795,5312209,6093482,5913440
380891,"Insecticides, put up in forms or packings for retail sale or as preparations or articles (excl. ...",0,1,26198,37166,35558,37083,39140,43065,47063,43581,,71572,78241,216846,248565,189109,361120,327171,333407,354659,404110,,130280,150255,165988,143945,151424,130157,172983,167364,200868,179336
401699,"Articles of vulcanised rubber (excluding hard rubber), n.e.s.",20619,19272,21993,19273,17478,17834,21569,18633,26999,42727,,91973,101734,109978,112758,117863,125981,157491,140085,156095,201170,,672221,755467,828241,731234,800677,836412,872911,781888,823450,866434
