Product code,Product label,Russian Federation's imports from United States of America-Value in 2012,Russian Federation's imports from United States of America-Value in 2013,Russian Federation's imports from United States of America-Value in 2014,Russian Federation's imports from United States of America-Value in 2015,Russian Federation's imports from United States of America-Value in 2016,Russian Federation's imports from United States of America-Value in 2017,Russian Federation's imports from United States of America-Value in 2018,Russian Federation's imports from United States of America-Value in 2019,Russian Federation's imports from United States of America-Value in 2020,Russian Federation's imports from United States of America-Value in 2021,United States of America's exports to world- ,United States of America's exports to world-Value in 2012,United States of America's exports to world-Value in 2013,United States of America's exports to world-Value in 2014,United States of America's exports to world-Value in 2015,United States of America's exports to world-Value in 2016,United States of America's exports to world-Value in 2017,United States of America's exports to world-Value in 2018,United States of America's exports to world-Value in 2019,United States of America's exports to world-Value in 2020,United States of America's exports to world-Value in 2021,Russian Federation's imports from world- ,Russian Federation's imports from world-Value in 2012,Russian Federation's imports from world-Value in 2013,Russian Federation's imports from world-Value in 2014,Russian Federation's imports from world-Value in 2015,Russian Federation's imports from world-Value in 2016,Russian Federation's imports from world-Value in 2017,Russian Federation's imports from world-Value in 2018,Russian Federation's imports from world-Value in 2019,Russian Federation's imports from world-Value in 2020,Russian Federation's imports from world-Value in 2021
300439,"Medicaments containing hormones or steroids used as hormones but not antibiotics, put up in ...""",18292,27580,23397,13429,16388,19981,28223,118872,55629,134318,,720918,740945,806284,769538,588271,868847,825079,959078,1347183,1437421,,496658,505894,504853,362293,380826,406157,394064,575452,295505,450795
840890,"Compression-ignition internal combustion piston engine """"diesel or semi-diesel engine"""" (excluding ...""",18901,22624,19352,18214,22527,43930,37172,45844,107375,121987,,2978189,2941903,2719414,1967965,1510408,1778450,1942512,1800787,1727937,1751755,,114982,131423,124516,86922,125297,163726,149042,187617,224908,275147
210690,"Food preparations, n.e.s.",136479,158946,151530,52503,68662,79052,61745,72054,82137,110684,,4269494,4729595,4804847,4691573,5088757,4835636,5136485,5428778,5357505,6183409,,822354,974817,918212,422711,461425,578012,623122,654484,698534,889950
382200,"Diagnostic or laboratory reagents on a backing, prepared diagnostic or laboratory reagents ...",75435,84141,68312,41121,39651,55279,70216,91280,96369,102346,,5212738,5475346,5674631,5747377,6165149,6579997,7224016,7447406,9193114,10985322,,219140,271066,252721,163530,169401,212861,249431,296326,349344,405034
732690,"Articles of iron or steel, n.e.s. (excluding cast articles or articles of iron or steel wire)",128528,121418,139832,117843,96696,97815,94471,91184,90691,99541,,3255016,3570863,3915829,3624414,3277853,3313514,3704464,3914166,3592091,4488128,,1206149,1256131,1286328,760066,798082,990657,1103367,1175011,1132987,1298789
392690,"Articles of plastics and articles of other materials of heading 3901 to 3914, n.e.s (excluding ...",52395,64317,62919,48110,52650,56300,63755,74103,85332,96625,,5214198,5510978,5897410,5838497,5881550,6255614,6665297,6359339,6035504,7294810,,1012511,1061856,978112,634268,674112,828434,944700,1025419,1052490,1299675
401180,"New pneumatic tyres, of rubber, of a kind used on construction, mining or industrial handling ...",0,0,0,0,0,36612,59020,69028,65352,94166,,0,0,0,0,0,842996,1096736,1219441,1086744,1182221,,0,0,0,0,1333,434101,539990,575481,446983,612909
870710,Bodies for motor cars and other motor vehicles principally designed for the transport of persons,397720,321627,142741,74061,68638,76364,70454,85601,78466,93377,,133670,244995,412781,621720,832437,927640,1057366,692871,658075,243566,,3469408,3742128,2632938,968559,1039501,1327979,1790355,2084068,1431269,1855955
300220,Vaccines for human medicine,2405,4603,6424,30662,21975,13004,24607,50293,50899,92789,,2530695,1686551,2436614,2926207,1826365,1419081,2360175,2019351,1771146,14809438,,104030,132934,175353,92862,119142,125567,145990,175806,184482,239176
841182,Gas turbines of a power > 5.000 kW (excluding turbojets and turbopropellers),35044,21808,44333,65406,37593,54547,34612,25423,38843,90443,,3085874,2679377,3211803,3034349,2309279,2033391,2010595,1876065,1702842,1676601,,235031,187243,125240,134317,62314,102177,86741,36407,93749,159592
760200,"Waste and scrap, of aluminium (excluding slags, scale and the like from iron and steel production, ...",0,0,60,228,2047,4170,12272,14245,35113,89870,,3337485,3155135,2767571,2342239,1811970,2246126,2493178,2180570,2169262,3720722,,16980,17704,19767,17063,28142,104602,48045,38627,54708,127376
330499,"Beauty or make-up preparations and preparations for the care of the skin (other than medicaments), ...",91371,102813,73322,53987,48844,55683,62870,71584,58026,89476,,2318591,2599184,2740368,2850932,2899658,3281980,3820834,4262792,3871064,4261958,,737826,813638,720589,501259,556509,682705,788707,855716,747692,964568
330290,"Mixtures of odoriferous substances and mixtures, incl. alcoholic solutions, based on one or ...",2091,1974,1285,1095,2337,28761,58850,61527,66202,89226,,579022,619251,644547,672562,700807,767114,734353,753440,806018,841825,,176236,180330,171827,146341,169570,221431,287353,293660,309985,349467
870195,"Tractors, of an engine power > 130 kW (excl. those of heading 8709, pedestrian-controlled tractors, ...",0,0,0,0,0,79683,69405,52963,39797,89066,,0,0,0,0,0,1330222,1476175,1391964,1240791,1541766,,0,0,0,0,70,207487,149602,136668,111670,196796
848180,"Appliances for pipes, boiler shells, tanks, vats or the like (excluding pressure-reducing ...""",67271,100155,94098,71792,100385,60866,71865,72653,71319,86474,,5536221,6125212,6518468,6530190,5918316,6287161,6652387,6397109,5566033,5989423,,2512754,1830755,1675857,1102214,1206717,1374239,1492903,1765922,1724534,1938088
870850,"Drive-axles with differential, whether or not provided with other transmission components, ...",44955,31485,40072,23957,30572,43518,43251,39813,43255,84360,,2082593,2016502,2290743,2315383,2230813,2622601,2888334,2828866,2132875,2447626,,701435,735007,602048,238559,287357,437578,515719,519442,489933,784472
847150,"Processing units for automatic data-processing machines, whether or not containing in the same ...",50177,70011,53919,86173,82094,75966,63525,62878,61356,81475,,6310723,6090796,6629427,6773487,6177876,6457798,7219788,7414270,6628233,6876249,,624692,669026,801408,761428,722722,1068921,1449200,1508484,1451647,1800392
940120,Seats for motor vehicles,25792,41429,41993,34297,30774,38877,35160,37664,50514,74613,,185922,218705,254830,268033,277193,294305,369564,353538,284993,310466,,307944,383903,333418,102602,97844,164438,193252,201163,158028,229192
220830,Whiskies,61616,85700,77615,55525,38120,45832,53471,71294,56813,67016,,1222084,1282002,1296170,1238872,1149890,1317481,1357714,1194986,1020080,1060833,,525148,537782,471376,265368,227939,306559,324799,394882,370172,440807
853710,"Boards, cabinets and similar combinations of apparatus for electric control or the distribution ...",62738,69983,78413,45093,41134,63526,53961,51390,43895,64679,,4162718,4957256,5437725,5428142,5270421,5643166,5913496,5784436,4824729,5304410,,1565747,1320488,1214654,845593,826990,1060669,1108917,1080740,1126440,1323395
120600,"Sunflower seeds, whether or not broken",49508,66614,57664,53180,72580,108237,98187,83403,87260,64016,,265815,312047,255751,276692,228094,275741,378669,299393,236695,218288,,182128,235640,237214,151957,200969,293133,305288,303710,332704,306203
470321,"Semi-bleached or bleached coniferous chemical wood pulp, soda or sulphate (excluding dissolving ...",34893,41252,47050,44587,47930,55797,62588,66021,56214,63163,,3638838,3567951,3770161,3765067,3709376,3887262,4241295,4080453,3688553,4392623,,58488,81071,99412,81936,89603,91153,100708,126297,113775,165056
382100,"Prepared culture media for the development or maintenance of micro-organisms incl. viruses ...""",4814,7962,9026,9859,11969,15178,19059,24337,36267,62256,,397126,462682,477446,518669,575189,625595,734621,760476,873343,1135426,,15754,22942,24290,22825,25584,31948,38648,47298,72272,127324
382499,"Chemical products and preparations of the chemical or allied industries, incl. those consisting ...",0,0,0,0,0,53725,52595,58363,59941,61333,,0,0,0,0,0,3677071,3961318,4265405,4414010,5104601,,0,0,0,0,120,538344,594462,598317,598458,677353
851762,"Machines for the reception, conversion and transmission or regeneration of voice, images or ...",59406,42415,73813,52588,47933,69308,75093,74855,65301,59756,,15751206,15860633,17233829,18505968,18857319,17601286,17766441,16809912,15196762,15909526,,1726928,1484456,1511162,1181750,1135517,1437891,1597161,1737558,2182477,2372652
381519,"Supported catalysts, n.e.s. (excluding with precious metal, a precious-metal compound, nickel ...",27552,50673,52290,51865,13406,26102,14572,96801,56229,59629,,1687948,1566472,1623278,1821422,1516650,1619608,1853477,1890902,1432116,1510350,,77323,139832,150646,153900,112116,85689,91050,190686,155463,139074
902190,"Articles and appliances, which are worn or carried, or implanted in the body, to compensate ...",34701,47117,56105,43117,38933,50904,56511,58964,48229,59481,,1782484,1721120,1750853,2005847,1845017,1797565,2061982,2507461,1999064,2377755,,125932,165905,192646,146324,165464,207646,222311,238614,213387,251176
870410,Dumpers for off-highway use,109572,138071,82553,6055,36458,127359,158737,60372,84626,58892,,6241809,3346767,2303009,1362956,835388,1601004,1650693,1865955,1917513,2150185,,985456,636808,341613,276598,410774,845295,691100,422446,278410,810730
300212,Antisera and other blood fractions,0,0,0,0,0,62541,52714,46908,41986,56695,,0,0,0,0,0,6316615,6794319,7477146,6862771,7424545,,0,0,0,0,63,551448,567213,522784,433126,472131
901390,"Parts and accessories for liquid crystal devices """"LCD"""", lasers and other appliances and ...""",1462,2327,7758,10957,46803,74585,66336,45131,49638,56523,,643134,617083,660254,687216,792950,813170,892819,773998,764888,767101,,42263,67022,96755,67935,98185,123793,107728,98365,86220,110350
843041,Self-propelled boring or sinking machinery for boring earth or extracting minerals or ores ...,117732,77514,36709,14745,18321,47837,71850,77698,44992,55980,,915706,701733,563987,532349,241083,377550,421138,337556,278055,303406,,482653,411097,277002,157163,128407,197587,292076,357389,254418,271630
870332,"Motor cars and other motor vehicles principally designed for the transport of persons, incl. ...""",59647,17620,4952,11157,7643,40811,34622,106710,114757,55889,,3262364,2492757,3047709,3252409,3717052,3040553,2964777,2704548,1261367,941586,,1775684,1415623,1161644,571657,458289,858020,797612,900795,569439,687938
902780,"Instruments and apparatus for physical or chemical analysis, or for measuring or checking viscosity, ...",61622,49022,50613,27316,29749,36555,40188,45476,51894,55717,,2296384,2262697,2271727,2266296,2226407,2311942,2474322,2509327,2606735,2914193,,203211,184468,160703,99894,103221,142903,159038,182080,204682,221701
841191,"Parts of turbojets or turbopropellers, n.e.s.",23549,32951,19358,6550,12877,22117,25026,33310,27720,54678,,1305311,1344341,1299411,1403185,1455715,1495785,1745785,1831845,1611680,1842451,,81539,108527,93509,33176,51100,76386,81528,103002,76589,119973
840999,"Parts suitable for use solely or principally with compression-ignition internal combustion ...""",30511,30596,28486,26733,36491,48120,44848,39656,41742,53814,,2381134,2283805,2437360,2296613,2169990,2306589,2388030,2116973,1820914,2206297,,423510,407105,331655,242233,300232,406613,443941,402938,391173,514522
902750,"Instruments and apparatus for physical or chemical analysis, using UV, visible or IR optical ...",58580,52149,36276,18244,28279,27019,23207,38949,35474,53682,,2181404,2151446,2214147,2027284,1900247,2065119,2217133,2353308,2432929,2693134,,173560,188046,135100,77513,94640,111340,106476,137316,181903,224735
842129,Machinery and apparatus for filtering or purifying liquids (excluding such machinery and apparatus ...,42070,80295,75043,68191,51465,34833,29866,43557,42087,53122,,1174074,1307952,1527864,1480311,1482490,1562528,1671342,1863248,1910886,2418886,,229449,279095,258725,191343,200486,203742,189023,219462,185818,228317
842199,"Parts of machinery and apparatus for filtering or purifying liquids or gases, n.e.s.",25124,23847,27780,27420,28312,29500,34901,42316,36550,51028,,1864458,2010519,2056817,2024956,1913451,1933251,2144692,2094839,1966354,2447217,,220149,260617,283753,222101,246084,281702,303585,350246,328420,405179
841181,Gas turbines of a power <= 5.000 kW (excluding turbojets and turbopropellers),22706,20373,25467,10425,10316,23615,11091,13258,10345,50874,,314363,305861,241596,223682,239337,197427,285509,342309,316928,307666,,67410,61029,61432,37768,28373,45735,58056,65777,46440,80062
842911,"Self-propelled bulldozers and angledozers, track laying",175389,50807,29519,16088,17829,58048,70344,25765,10419,49363,,859837,556676,614575,371982,310625,381485,556809,415679,294408,393035,,715198,407494,292094,132009,177120,296761,398011,325751,244119,507563
381512,"Supported catalysts with precious metal or a precious-metal compound as the active substance, ...",75724,20319,28225,78994,34131,54908,138961,89605,83376,48638,,977317,1316233,1296899,1325556,1352718,1569784,1722704,2000935,1632506,2257838,,155288,84821,109237,107246,61230,102898,193510,122249,134395,120753
843149,"Parts of machinery of heading 8426, 8429 and 8430, n.e.s.",36514,32995,23206,29973,18784,32052,26316,32973,35574,48620,,4267560,3505876,2807464,2442841,1957694,2315857,2730445,2753444,2284065,2685410,,379930,435763,366723,263974,291199,369694,413684,456300,420114,556730
870899,"Parts and accessories, for tractors, motor vehicles for the transport of ten or more persons, ...",139271,96537,83198,28699,38664,45816,52649,43311,24113,48367,,11850020,10797792,10674546,11772683,10543240,11167993,10078492,9230539,7438310,8692030,,1129762,1232308,1103632,627279,762556,1080766,1173456,1122782,966021,1299081
903180,"Instruments, appliances and machines for measuring or checking, not elsewhere specified in ...",42081,54687,49628,26697,23940,35719,27046,35295,39569,47500,,2358036,2439459,2593782,2604257,2520677,2735924,2881269,2615611,2351015,2344530,,545154,588914,354367,218815,202182,261789,284103,289546,290206,310839
847989,"Machines and mechanical appliances, n.e.s.",59264,69418,99223,133710,76474,114874,98781,161546,29318,45543,,3313444,3951424,4247448,4077682,3449591,3672177,3650442,3787243,3267817,3352429,,1072000,1495391,1096813,742760,788874,869978,960527,917448,992239,1208468
391211,"Non-plasticised cellulose acetates, in primary forms",56945,62358,51849,42528,47303,44550,40604,35884,44433,45395,,440008,538526,524032,391100,385006,376597,382270,385624,421131,529538,,56969,62360,52302,42566,50014,47096,47125,39244,44619,45870
740400,"Waste and scrap, of copper (excluding ingots or other similar unwrought shapes, of remelted ...",14,0,0,0,0,0,5656,15635,59569,44916,,4471697,4129993,3516027,2789215,2232812,2761231,3166813,2825123,2675659,4497184,,101864,85983,53673,65849,63900,171239,164273,311113,499329,447728
240120,"Tobacco, partly or wholly stemmed or stripped, otherwise unmanufactured",87614,96035,85047,65866,71140,58080,31851,23428,50700,44731,,1005401,1071396,1019290,1021261,1024648,986046,949043,640451,554999,686435,,928286,927792,851891,768832,760869,614080,558275,538268,528866,506860
901839,"Needles, catheters, cannulae and the like, used in medical, surgical, dental or veterinary ...",44948,59762,52702,44313,49943,47327,48237,50803,42995,44222,,5375239,5689667,5932826,5997885,6263770,6320617,7075493,7059110,6246826,7250523,,164877,191959,186534,167689,174269,196287,208207,225435,212670,211414
901812,Ultrasonic scanning apparatus,91489,49431,96936,122403,31719,24370,28017,42896,36729,44079,,1024022,1036675,1075458,1013170,991293,1033877,1202025,1174542,1170109,1029276,,476607,278342,275019,208814,133270,141668,169422,222638,230611,280800
300219,"Immunological products, n.e.s. (code possibly empty, preceding subheadings seem exhaustive)",0,0,0,0,0,42220,36645,46369,36488,43737,,0,0,0,0,0,1040202,457965,561785,411079,200530,,0,0,0,0,378,176145,220552,520539,601107,797634
300230,Vaccines for veterinary medicine,26968,39288,31093,27338,31303,37831,42325,70673,26994,42787,,782536,861817,784288,804195,768167,630282,600981,516932,491008,566270,,100164,141884,141066,130823,140226,177112,199289,250082,200191,198233
391990,"Self-adhesive plates, sheets, film, foil, tape, strip and other flat shapes, of plastics, whether ...",18287,17273,17399,11855,12680,20381,24099,27020,31614,39358,,1623905,1662188,1756022,1795736,1770617,1920498,1907993,1876530,1732660,2260425,,289546,279366,298577,192830,223609,253969,299188,303930,318383,397163
903289,"Regulating or controlling instruments and apparatus (excluding hydraulic or pneumatic, manostats, ...",21049,19392,19715,13302,14889,18438,16988,12208,17459,38725,,2763544,2828885,2775235,2669226,2818128,2766113,2724239,2637657,2042790,2127657,,317811,333271,337833,172842,176577,210900,245823,205939,183739,261754
900130,Contact lenses,25821,25384,28566,12387,15875,23873,32717,32511,24222,38392,,866711,826612,787707,857062,775927,888809,918915,1029062,900816,1049101,,99788,112361,159236,83132,101710,136009,141138,133016,112755,148967
390140,"Ethylene-alpha-olefins copolymers, having a specific gravity of < 0,94 , in primary forms",0,0,0,0,0,3906,32948,53942,40195,37528,,0,0,0,0,0,1574976,2662982,3261135,3682122,4438868,,0,0,0,0,0,93486,159027,178351,153677,237914
850162,"AC generators """"alternators"""", of an output > 75 kVA but <= 375 kVA (excl. photovoltaic g ...""",13283,14013,4421,2478,2524,3325,3822,5136,3788,37319,,156925,163138,176662,184657,267539,258316,293331,340774,271874,211819,,31158,25461,13752,8221,10041,9317,9751,10373,7382,44566
841480,"Air pumps, air or other gas compressors and ventilating or recycling hoods incorporating a ...",72104,198556,132169,75387,31877,92151,23780,43356,42853,37071,,3226614,3266652,3345799,2608749,2050316,2421704,2324485,2139354,1918943,1927895,,969108,1240185,1001635,565655,558342,604240,517620,551042,577094,655928
850440,Static converters,23531,22278,19015,18677,20976,26365,39571,27292,24284,37032,,3619333,3936061,4013838,4275739,3792855,3999761,4324540,4180497,3953291,4466967,,1130659,1003220,833069,555480,648280,823539,923771,910749,919290,1127024
841330,"Fuel, lubricating or cooling medium pumps for internal combustion piston engine",11553,11300,11286,9119,9849,13889,10352,11663,12761,35337,,1228537,1287941,1433663,1407854,1348765,1430576,1412165,1291100,1113898,1186057,,190337,191378,177249,116707,144494,197082,212364,204929,189173,292720
840820,"Compression-ignition internal combustion piston engine """"diesel or semi-diesel engine"""", for ...""",14312,16312,11849,4941,8229,22996,22470,29049,31974,35220,,2787897,3093123,4694351,3413810,3094908,4442878,5486401,5856999,4370002,5597083,,898520,1008612,730248,309161,386733,624503,755369,683875,584304,930561
841199,"Parts of gas turbines, n.e.s.",4031,30287,20176,23875,37788,44359,32070,31238,33126,34867,,5518212,5248226,4802994,5150364,5524235,5183714,4252761,4744244,4328601,4478165,,92909,202974,277550,247208,384561,286000,297006,255525,216179,237692
902214,"Apparatus based on the use of X-rays, for medical, surgical or veterinary uses (excluding for ...",50232,11438,10058,2512,2615,8912,3175,46783,47321,33044,,943004,914316,833768,898963,827830,843782,956962,940818,847152,770881,,485790,180540,145051,53278,57742,71450,86697,208133,292163,203189
870810,"Bumpers and parts thereof for tractors, motor vehicles for the transport of ten or more persons, ...",12261,14630,14776,12060,13606,17655,17297,18317,19348,32794,,620424,610974,701238,667453,682875,727820,865398,847441,598456,604963,,310271,366979,310229,148741,136517,201116,220979,223670,181017,250679
870880,"Suspension systems and parts thereof, incl. shock-absorbers, for tractors, motor vehicles for ...",23990,25948,29350,17003,18056,26542,25549,30270,25723,32358,,2391603,2476962,2504314,2558847,2380338,2335404,2363518,2325250,1869939,2025301,,1162277,1203506,997392,544015,636303,862331,929662,885118,729110,1032844
381590,"Reaction initiators, reaction accelerators and catalytic preparations, n.e.s. (excluding rubber ...",19828,56742,17665,31081,24474,36109,33391,36469,23120,32146,,762924,765696,833149,877194,928020,915559,945656,800856,715039,783380,,68273,107000,65160,79606,68913,100560,102339,110996,111032,134776
902212,Computer tomography apparatus,91976,80335,72832,18504,5679,16755,15868,35329,46760,31469,,806353,737391,427292,680146,776078,904024,712586,599150,699153,769479,,290476,182430,139317,65052,32419,50910,55992,113838,237958,157896
293339,"Heterocyclic compounds with nitrogen hetero-atom[s] only, containing an unfused pyridine ring, ...",10458,7466,9034,4043,5799,6641,3727,1457,3073,30390,,1678284,1653282,1381688,1786444,1336449,1152277,1141548,1095205,1218709,1405089,,57141,42832,40983,42178,52537,82485,95502,110955,141237,167982
902139,Artificial parts of the body (excluding artificial teeth and dental fittings and artificial ...,58284,58908,43643,16062,15976,19227,29456,26369,20971,30027,,2749292,2834288,2875677,2845697,2528613,2516062,2368866,2492723,2565065,3040652,,189347,220493,160846,103761,106123,114620,151073,159313,110939,126081
901420,Instruments and appliances for aeronautical or space navigation (excluding compasses and radio ...,18240,14464,6550,4678,2553,3827,4005,4284,3763,29197,,133641,242612,180176,195682,245402,261245,358524,362914,252374,187338,,44236,37358,31078,22567,14017,17004,20952,14211,15351,44733
401693,"Gaskets, washers and other seals, of vulcanised rubber (excluding hard rubber and those of ...",17956,18353,25332,20888,23210,25817,24836,24485,23696,28804,,1373669,1448763,1595460,1537828,1449956,1596738,1634990,1676588,1430698,1445748,,270166,283543,270589,176468,188596,237472,262486,273319,247603,298335
902790,"Microtomes; parts and accessories of instruments and apparatus for physical or chemical analysis, ...",26765,24047,19019,18191,20149,20610,22891,28724,29067,28111,,1760741,1749511,1730090,1670761,1731718,1770469,2011255,2004562,2013113,2345723,,92642,105685,98905,80253,84089,105935,117477,136609,143611,154845
711319,"Articles of jewellery and parts thereof, of precious metal other than silver, whether or not ...",12066,11773,18614,14510,16265,19953,22562,18178,16781,28090,,7784158,9087872,9747722,9110930,8956030,9097774,9292221,8645561,4860844,6695429,,306455,362429,305584,143578,129648,213134,262910,232657,178283,300288
841221,"Hydraulic power engines and motors, linear acting """"cylinders""""""""",15141,12705,13758,9718,15641,20626,17932,18008,18318,27947,,589692,654922,690389,760621,881858,870658,939958,938618,820656,1044066,,210244,209285,194369,145632,168190,205927,244582,257220,246879,317292
340399,"Lubricant preparations, incl. cutting-oil preparations, bolt or nut release preparations, anti-rust ...",35266,34085,27475,19337,22005,22323,26524,23677,21515,27830,,807263,820543,857111,862032,853874,878727,945767,869918,747685,958532,,253962,252923,224515,144319,153388,167453,175293,159060,148500,179695
854239,"Electronic integrated circuits (excluding such as processors, controllers, memories and amplifiers)",24106,11658,9454,9969,25727,22595,54833,28207,24139,27554,,8743308,8887986,9134140,8773178,8932107,11070705,10838653,9945388,10392774,14021358,,144014,122988,131948,155067,307231,383420,508517,394866,387210,519791
870840,"Gear boxes and parts thereof, for tractors, motor vehicles for the transport of ten or more ...",22302,29304,21879,13657,23467,27973,23155,22881,16818,27538,,5794347,6698628,6347103,6432894,6883929,7831725,8562310,8057202,6237398,6483538,,1548756,1737908,1450673,785663,856412,1254878,1434571,1436325,1224702,1681148
902131,Artificial joints for orthopaedic purposes,35383,34706,32844,22477,30230,38798,40617,37115,24548,27237,,1624899,1684502,1691253,1656330,1792347,1815604,1892593,1902504,1496713,1530241,,78209,89739,93172,55760,90694,100512,100576,95230,75584,84960
550210,"Artificial filament tow as specified in Note 1 to chapter 55, of acetate",0,0,0,0,0,30888,30242,30663,21418,27072,,0,0,0,0,0,608638,612319,580633,574668,537023,,0,0,0,0,0,90686,80966,79526,69909,71979
901850,"Ophthalmic instruments and appliances, n.e.s.",43413,33707,32034,23901,28575,27836,30773,42013,27826,26827,,1164741,1182861,1311384,1281737,1044185,1056940,1099272,1112554,935900,1070493,,114871,88137,89187,68891,76726,91076,113795,130760,101713,130168
854430,"Ignition wiring sets and other wiring sets for vehicles, aircraft or ships",3932,11591,17713,15345,13411,14934,15735,21226,21024,26691,,1869109,1852051,1894134,1855034,1890537,2002951,2165102,2179589,1620766,1819764,,239748,251630,241026,121056,123899,166946,209086,242743,226353,310054
871150,"Motorcycles, incl. mopeds, with reciprocating internal combustion piston engine of a cylinder ...",12896,16500,18689,11306,10217,14711,19890,18679,23376,26493,,953775,1048069,1108448,1022164,1079827,1065749,1074059,959543,422170,641833,,58967,67684,67320,33339,27137,46052,55096,62589,65982,92754
853669,Plugs and sockets for a voltage <= 1.000 V (excluding lamp holders),4970,5289,12330,8047,10090,12835,18226,18348,22821,26434,,2257177,2404117,2750027,3041465,2847082,2965432,3088869,2790118,2563339,2905924,,145090,152404,158988,117750,136364,190123,254062,265042,288952,361498
841350,"Reciprocating positive displacement pumps for liquids, power-driven (excluding those of subheading ...",22302,38568,25710,24522,34719,28585,36709,22427,56084,26136,,1579949,1921129,1991691,1639063,1237319,1273695,1481143,1405439,1141012,1307219,,222742,264769,217202,155978,154091,230291,268084,235416,270818,272852
300640,Dental cements and other dental fillings; bone reconstruction cements,18732,19967,19737,18700,22008,29007,23335,24059,22145,25879,,216959,218396,240743,274725,275523,302660,281941,310735,263261,312702,,57803,63474,69739,58992,70637,87609,85022,90411,88467,106425
