Product code,Product label,"Singapore's imports from Korea, Republic of-Value in 2012","Singapore's imports from Korea, Republic of-Value in 2013","Singapore's imports from Korea, Republic of-Value in 2014","Singapore's imports from Korea, Republic of-Value in 2015","Singapore's imports from Korea, Republic of-Value in 2016","Singapore's imports from Korea, Republic of-Value in 2017","Singapore's imports from Korea, Republic of-Value in 2018","Singapore's imports from Korea, Republic of-Value in 2019","Singapore's imports from Korea, Republic of-Value in 2020","Singapore's imports from Korea, Republic of-Value in 2021","Korea, Republic of's exports to world- ","Korea, Republic of's exports to world-Value in 2012","Korea, Republic of's exports to world-Value in 2013","Korea, Republic of's exports to world-Value in 2014","Korea, Republic of's exports to world-Value in 2015","Korea, Republic of's exports to world-Value in 2016","Korea, Republic of's exports to world-Value in 2017","Korea, Republic of's exports to world-Value in 2018","Korea, Republic of's exports to world-Value in 2019","Korea, Republic of's exports to world-Value in 2020","Korea, Republic of's exports to world-Value in 2021",Singapore's imports from world- ,Singapore's imports from world-Value in 2012,Singapore's imports from world-Value in 2013,Singapore's imports from world-Value in 2014,Singapore's imports from world-Value in 2015,Singapore's imports from world-Value in 2016,Singapore's imports from world-Value in 2017,Singapore's imports from world-Value in 2018,Singapore's imports from world-Value in 2019,Singapore's imports from world-Value in 2020,Singapore's imports from world-Value in 2021
391000,Silicones in primary forms,1741,6071,6619,4189,5714,4500,6836,6330,4082,11030,,270468,264215,251195,226702,239494,268120,315456,282304,258611,344984,,109004,101506,120306,89045,87539,91223,100294,99187,77255,99416
330420,Eye make-up preparations,2415,1114,1453,2823,3127,2457,6053,5558,6667,10951,,32564,50183,74690,102878,135508,140257,189193,178022,193320,215496,,60387,75707,91767,100740,103497,116854,157668,170158,76216,102652
330790,"Depilatories and other perfumery, toilet or cosmetic preparations, n.e.s.",3413,3683,2133,1432,1715,3995,4507,3480,5979,10697,,55412,70546,107946,203148,399924,699796,934990,724126,817809,792929,,91191,77259,67300,74460,72674,63925,70906,69495,50224,52430
841490,"Parts of: air or vacuum pumps, air or other gas compressors, fans and ventilating or recycling ...",24632,14530,11985,8983,6762,6543,6611,4971,8907,10527,,521107,599895,714239,702603,723253,832317,845530,826012,721836,847516,,290934,287871,909321,241306,238058,245858,267978,292122,237621,293162
290532,"Propylene glycol """"propane-1,2-diol""""""""",690,1509,1297,1492,637,669,548,1407,6439,10495,,110615,101875,107521,87900,77671,85835,123387,133057,125708,284217,,106463,115356,131207,93012,54728,58713,69069,61849,50727,94362
843143,"Parts for boring or sinking machinery of subheading 8430.41 or 8430.49, n.e.s.",34722,35054,43640,48226,49293,28374,14184,45184,11760,10436,,69915,68033,90073,81551,91415,79928,91483,88032,73235,123417,,3609924,3051055,2955201,2456388,1280727,1055388,829264,952647,727405,644649
300211,Malaria diagnostic test kits,0,0,0,0,0,0,0,0,6,10394,,0,0,0,0,0,345,10041,27451,52871,31627,,0,0,0,0,0,0,195,216,356,10610
853710,"Boards, cabinets and similar combinations of apparatus for electric control or the distribution ...",6042,2511,4450,5094,6581,6107,7900,7777,8191,10327,,1242472,1806264,1303779,1292236,1428853,1352454,1551089,1548421,1351371,1368357,,569206,677830,690970,730168,721403,729213,938227,1122284,1062679,1372680
210390,Preparations for sauces and prepared sauces; mixed condiments and seasonings (excluding soya ...,1145,1434,1903,2707,3398,3216,6589,9072,8056,10104,,157346,164490,173276,159595,172996,194895,214837,239936,301721,340784,,94829,99668,105528,104473,112048,114801,127742,132540,140533,155000
702000,"Articles of glass, n.e.s.",2794,5132,7814,1671,2443,2900,4632,4713,3357,10059,,102232,104266,156720,137914,123713,140486,188922,208629,228254,262208,,109972,80186,101904,59739,86973,224549,429978,572956,666410,256082
392190,"Plates, sheets, film, foil and strip, of plastics, reinforced, laminated, supported or similarly ...",7880,14547,14761,12192,9862,6868,8176,7283,6663,9969,,834100,839835,864639,740536,691033,679498,682804,656627,617024,670458,,129542,136159,138918,122317,122126,111469,109394,94562,83765,107294
848190,"Parts of valves and similar articles for pipes, boiler shells, tanks, vats or the like, n.e.s.",12017,13038,21259,12084,12391,9524,6909,5482,6603,9735,,324918,316644,341262,358574,507702,476291,498134,478721,534186,456818,,383806,526225,511810,413867,352032,416982,416158,445841,465438,451600
190230,"Pasta, cooked or otherwise prepared (excluding stuffed)",2695,2970,3419,4754,7934,7863,7723,6971,9677,9626,,252919,256996,250210,262995,339307,443074,477080,528621,686126,769774,,33851,33452,35957,34582,41282,42205,54986,55820,69691,65992
390210,"Polypropylene, in primary forms",1662,2084,1977,2462,3525,4384,4037,3965,5054,9472,,1625108,1909446,2067064,1815847,1676346,2065274,2394340,2148725,1934103,2824435,,737267,494618,512939,464327,399913,458938,481920,430293,344403,363716
