Product code,Product label,India's imports from Russian Federation-Value in 2012,India's imports from Russian Federation-Value in 2013,India's imports from Russian Federation-Value in 2014,India's imports from Russian Federation-Value in 2015,India's imports from Russian Federation-Value in 2016,India's imports from Russian Federation-Value in 2017,India's imports from Russian Federation-Value in 2018,India's imports from Russian Federation-Value in 2019,India's imports from Russian Federation-Value in 2020,India's imports from Russian Federation-Value in 2021,Russian Federation's exports to world- ,Russian Federation's exports to world-Value in 2012,Russian Federation's exports to world-Value in 2013,Russian Federation's exports to world-Value in 2014,Russian Federation's exports to world-Value in 2015,Russian Federation's exports to world-Value in 2016,Russian Federation's exports to world-Value in 2017,Russian Federation's exports to world-Value in 2018,Russian Federation's exports to world-Value in 2019,Russian Federation's exports to world-Value in 2020,Russian Federation's exports to world-Value in 2021,India's imports from world- ,India's imports from world-Value in 2012,India's imports from world-Value in 2013,India's imports from world-Value in 2014,India's imports from world-Value in 2015,India's imports from world-Value in 2016,India's imports from world-Value in 2017,India's imports from world-Value in 2018,India's imports from world-Value in 2019,India's imports from world-Value in 2020,India's imports from world-Value in 2021
843221,"Disc harrows for use in agriculture, horticulture or forestry",0,0,0,0,0,0,0,0,0,0,,1518,2655,2557,2695,2868,5910,5863,5961,7412,8622,,13,28,40,640,131,27,9,12,5,1
843290,"Parts of agricultural, horticultural or forestry machinery for soil preparation or cultivation ...",0,0,0,0,0,0,0,0,0,0,,7291,8465,9401,7792,8471,11797,14209,14164,19429,30019,,21442,14681,12786,11178,13241,12074,17231,16754,11429,12867
843410,Milking machines,0,0,0,0,0,0,0,0,0,0,,1242,450,590,1026,274,1997,1803,2633,2681,1739,,5922,3095,2995,2903,3620,6121,4614,2924,1422,1188
843420,"Dairy machinery (excluding refrigerating or heat treatment equipment, cream separators, clarifying ...",0,0,0,0,0,0,0,0,0,0,,3481,3507,2302,3462,1835,14721,5660,6978,6494,6629,,6076,12928,10911,29898,5873,10434,21143,11778,9780,10901
843621,Poultry incubators and brooders,0,0,0,0,0,0,0,0,0,0,,598,944,549,492,444,572,407,665,647,1787,,1458,818,2192,2735,1342,983,1191,4900,1052,4226
844090,"Parts of bookbinding machinery, n.e.s.",0,0,0,0,0,0,0,0,0,0,,5,15,15,8,9,10,7,14,10,31,,1499,1355,1259,1201,2063,1703,2069,1804,1464,1313
844180,"Machinery for making up paper pulp, paper or paperboard, n.e.s.",0,0,0,0,0,0,0,0,0,0,,93,247,1647,864,949,683,661,789,247,1374,,41972,39834,40893,49453,50994,61354,85849,79659,55531,76772
844230,"Machinery, apparatus and equipment for preparing or making printing blocks, plates, cylinders ...",0,0,0,0,0,0,0,0,0,0,,497,81,416,123,325,445,818,406,204,237,,14041,13701,15445,17966,18328,18649,27216,18589,11118,18786
844315,Letterpress printing machinery (excluding flexographic printing and reel fed machinery),0,0,0,0,0,0,0,0,0,0,,138,567,161,0,262,0,65,18,13,0,,1021,393,1210,1890,2103,7192,690,669,6902,6982
540741,"Woven fabrics of yarn containing >= 85% by weight of filaments of nylon or other polyamides, ...",1,0,0,0,0,0,0,0,0,0,,0,27,12,1265,44,50,203,189,70,185,,3583,2014,3227,2529,2111,2743,2422,3318,2738,2376
540744,Woven fabrics of yarn containing >= 85% by weight of filaments of nylon or other polyamides ...,0,0,0,0,0,0,0,0,0,0,,0,1,1750,5275,12,0,2,4575,11449,13800,,234,966,187,32,115,280,318,523,348,406
540754,"Woven fabrics of yarn containing >= 85% by weight of textured polyester filaments, incl. monofilament ...",0,0,0,0,0,0,0,0,0,0,,47,64,48,95,94,90,91,47,112,153,,6782,9496,10317,7587,5792,7687,11288,12358,7893,7935
540821,"Woven fabrics of yarn containing >= 85% artificial filament by weight, incl. monofilament of ...",0,0,0,0,0,0,0,0,0,0,,0,7,0,0,0,5,11,15,11,12,,371,432,503,596,425,329,180,224,110,415
540832,"Woven fabrics of yarn containing predominantly, but < 85% artificial filament by weight, incl. ...",0,0,0,0,0,0,0,0,0,0,,9,223,10,188,9,218,484,460,375,413,,3370,2473,2979,3589,2750,3239,4446,3152,2848,2640
550320,"Staple fibres of polyesters, not carded, combed or otherwise processed for spinning",0,0,0,0,0,0,0,0,0,0,,596,3128,4722,3527,4997,6774,8783,8508,8353,13818,,42760,62563,105437,113677,96029,105295,117360,138721,82958,103070
550340,"Staple fibres of polypropylene, not carded, combed or otherwise processed for spinning",0,0,0,0,0,0,0,0,0,0,,188,304,243,399,195,333,210,485,504,1176,,454,410,269,2692,2295,4915,5318,4531,2985,5078
550520,"Waste of artificial staple fibres, incl. noils, yarn waste and garnetted stock",0,0,0,0,0,0,0,0,0,0,,0,0,0,1,25,22,17,20,18,17,,850,958,1954,1856,1775,3841,4137,2473,635,485
550931,Single yarn containing >= 85% acrylic or modacrylic staple fibres by weight (excluding sewing ...,0,0,0,0,0,0,0,0,0,0,,0,11,22,3,12,5,3,7,5,9,,2783,4557,6935,2462,3218,4071,4928,5148,2531,4722
550959,"Yarn containing predominantly, but < 85% polyester staple fibres by weight, other than that ...",0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,80,0,0,0,2,,35,272,321,967,1026,1058,1222,2512,851,1838
551110,"Yarn containing >= 85% synthetic staple fibres by weight, put up for retail sale (excluding ...",0,0,0,0,0,0,0,0,0,0,,49,57,74,78,164,174,278,302,436,520,,24,8,2,39,5,0,30,13,5,97
551130,"Yarn of artificial staple fibres, put up for retail sale (excluding sewing thread)",0,0,0,0,0,0,0,0,0,0,,61,27,21,58,122,175,167,94,177,74,,13,0,7,0,0,39,152,64,111,39
551299,"Woven fabrics containing >= 85% synthetic staple fibres by weight, dyed, made of yarn of different ...",0,0,0,0,0,0,0,0,0,0,,1516,3878,3353,1167,1125,2768,2829,3492,2854,3906,,1324,250,731,917,820,1009,1295,1647,1419,2621
551321,"Plain woven fabrics containing predominantly, but < 85% polyester staple fibres by weight, ...",0,0,0,0,0,0,0,0,0,0,,21,277,387,148,344,281,214,278,205,300,,125,16,85,91,118,470,210,434,602,624
551349,"Woven fabrics containing predominantly, but < 85% synthetic staple fibres by weight, mixed ...",0,0,0,0,0,0,0,0,0,0,,13,24,95,71,23,19,27,34,14,17,,22,42,14,2,20,2,9,16,220,52
551411,"Plain woven fabrics containing predominantly, but < 85% polyester staple fibres by weight, ...",0,0,0,0,0,0,0,0,0,0,,1,1,246,14,5,69,94,177,268,329,,256,33,30,178,161,251,265,374,177,150
551423,"Woven fabrics containing predominantly, but < 85% polyester staple fibres by weight, mixed ...",0,0,0,0,0,0,0,0,0,0,,11,57,428,112,171,538,1322,691,488,635,,0,1,222,16,175,32,18,377,696,3261
551621,"Woven fabrics containing predominantly, but < 85% artificial staple fibres, mixed principally ...",0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,5,0,0,0,,99,202,145,170,103,281,4435,6862,6806,6447
551643,"Woven fabrics containing predominantly, but < 85% artificial staple fibres by weight, mixed ...",0,0,0,0,0,0,0,0,0,0,,128,159,154,68,52,36,72,41,15,12,,506,628,952,153,14,26,114,303,97,147
560130,Textile flock and dust and mill neps,0,0,0,0,0,0,0,0,0,0,,75,1047,1476,1005,710,1483,1423,1419,1729,1935,,15714,13329,14790,18184,17983,17571,23480,21511,20080,25274
560210,"Needleloom felt and stitch-bonded fibre fabrics, whether or not impregnated, coated, covered ...",0,0,0,0,0,0,0,0,0,0,,905,577,663,522,1025,829,1079,1034,784,1331,,2306,2227,2531,2340,3187,5309,7483,6488,5347,7730
560221,"Felt, not impregnated, coated, covered or laminated, of wool or fine animal hair, n.e.s. (excluding ...",0,0,0,0,0,0,0,0,0,0,,565,841,576,235,279,317,384,354,256,275,,86,93,115,161,166,197,309,441,360,648
510211,"Hair of Kashmir """"cashmere"""" goats, neither carded nor combed""""",0,0,0,0,0,0,0,0,0,0,,1,0,12,0,0,0,0,0,0,2,,6299,6178,7484,7460,4016,3403,4552,3961,1443,1630
510810,Carded yarn of fine animal hair (excluding that of wool or that put up for retail sale),0,0,0,0,0,0,0,0,0,0,,7,2,0,0,0,0,13,0,0,0,,13,57,43,18,25,68,70,41,37,8
510910,"Yarn containing >= 85% wool or fine animal hair by weight, put up for retail sale",0,0,0,0,0,0,0,0,0,0,,212,169,66,57,75,94,114,91,99,95,,28,1,32,95,116,15,147,39,471,106
511190,"Woven fabrics containing predominantly, but < 85% carded wool or carded fine animal hair by ...",0,0,0,0,0,0,0,0,0,0,,318,418,1260,480,192,297,189,112,71,22,,2257,292,175,173,162,118,466,345,121,265
511300,Woven fabrics of coarse animal hair or of horsehair (excluding fabrics for technical uses of ...,0,0,0,0,0,0,0,0,0,0,,26,42,71,18,2,0,22,68,28,41,,64,111,22,51,163,24,231,16,6,90
520100,"Cotton, neither carded nor combed",0,0,0,0,0,0,0,0,0,0,,4,781,1723,139,238,5813,483,581,1496,997,,470375,399780,504120,386729,878938,955693,623724,1320897,344649,519610
520512,"Single cotton yarn, of uncombed fibres, containing >= 85% cotton by weight and with a linear ...""",0,0,0,0,0,0,0,0,0,0,,2704,902,1825,1364,1519,2699,1281,1703,2569,1915,,573,1393,391,221,67,165,445,563,244,3998
520533,"Multiple """"folded"""" or cabled cotton yarn, of uncombed fibres, containing >= 85% cotton by ...""",0,0,0,0,0,0,0,0,0,0,,4,185,108,72,98,112,71,68,55,46,,0,0,0,2,0,0,148,316,215,146
520645,"Multiple """"folded"""" or cabled cotton yarn containing predominantly, but < 85% cotton by weight, ...""",0,0,0,0,0,0,0,0,0,0,,2,1,0,23,1,0,0,0,0,0,,404,167,142,122,51,510,351,96,18,16
520813,"Woven fabrics of cotton, containing >= 85% cotton by weight and weighing <= 200 g/m©÷, in three-thread ...",0,0,0,0,0,0,0,0,0,0,,0,27,19,11,1,7,0,41,68,3,,4543,8824,1781,896,5,293,378,252,400,87
520821,"Plain woven fabrics of cotton, containing >= 85% cotton by weight and weighing <= 200 g/m©÷, ...",0,0,0,0,0,0,0,0,0,0,,4941,8740,5175,4193,5829,5997,6219,8318,8386,8606,,554,266,362,982,918,589,701,1111,561,569
520833,"Woven fabrics of cotton, containing >= 85% cotton by weight and weighing <= 200 g/m©÷, in three-thread ...",0,0,0,0,0,0,0,0,0,0,,486,266,188,140,375,723,842,263,337,454,,2590,1716,659,819,768,965,561,1226,622,801
520841,"Plain woven fabrics of cotton, containing >= 85% cotton by weight and weighing <= 100 g/m©÷, ...",0,0,0,0,0,0,0,0,0,0,,14,10,1,1,3,0,0,0,0,2,,14890,20371,12404,15194,6979,13206,13560,14659,6655,5037
520939,"Woven fabrics of cotton, containing >= 85% cotton by weight and weighing > 200 g/m©÷, dyed (excluding ...",0,0,0,0,0,0,0,0,0,0,,977,640,774,418,423,1163,1162,1859,2250,2126,,747,852,638,552,1039,966,1702,1971,2636,2169
520951,"Plain woven fabrics of cotton, containing >= 85% cotton by weight and weighing > 200 g/m©÷, ...",0,0,0,0,0,0,0,0,0,0,,1,4,14,8,65,80,68,214,160,153,,555,1422,1315,1049,686,567,813,509,881,747
521019,"Woven fabrics of cotton, containing predominantly, but < 85% cotton by weight, mixed principally ...",0,0,0,0,0,0,0,0,0,0,,16,8,323,0,26,167,173,215,164,129,,602,103,242,915,32,222,136,565,405,120
521029,"Woven fabrics of cotton, containing predominantly, but < 85% cotton by weight, mixed principally ...",0,0,0,0,0,0,0,0,0,0,,9,2,14,37,25,32,28,40,61,68,,106,160,362,183,7,317,571,339,117,136
521041,"Plain woven fabrics of cotton, containing predominantly, but < 85% cotton by weight, mixed ...",0,0,0,0,0,0,0,0,0,0,,79,9,27,49,13,109,17,22,22,106,,2561,2314,2890,1628,1176,2254,4101,4498,2227,4249
521131,"Plain woven fabrics of cotton, containing predominantly, but < 85% cotton by weight, mixed ...",0,0,0,0,0,0,0,0,0,0,,276,396,547,301,1906,4540,4330,1641,2085,2301,,1370,1456,1343,1154,1985,2550,5489,6347,1157,1698
521214,"Woven fabrics of cotton, containing predominantly, but < 85% cotton by weight, other than those ...",0,0,0,0,0,0,0,0,0,0,,241,233,127,95,73,84,95,40,38,92,,1048,574,727,669,692,457,478,506,140,292
521225,"Woven fabrics of cotton, containing predominantly, but < 85% cotton by weight, other than those ...",0,0,0,0,0,0,0,0,0,0,,6,0,1,11,4,1,11,2,2,8,,24,60,19,71,58,55,42,53,62,2
530110,"Flax, raw or retted",0,0,0,0,0,0,0,0,0,0,,0,0,0,84,0,0,3,26,24,2,,725,548,835,384,98,87,12,0,0,0
530290,"True hemp """"Cannabis sativa L."""", processed but not spun; tow and waste of hemp, incl. yarn ...""",0,0,0,0,0,0,0,0,0,0,,0,0,0,0,3,0,0,40,34,231,,0,2,0,3,3,24,14,74,108,262
530929,"Woven fabrics of flax, containing predominantly, but < 85% flax by weight, dyed, made of yarn ...",0,0,0,0,0,0,0,0,0,0,,13772,11073,4346,3415,3073,2341,2422,2204,1243,1404,,9260,7927,8359,8916,8690,8995,10591,18679,13650,12798
540249,"Synthetic filament yarn, incl. synthetic monofilament of < 67 decitex, single, untwisted or ...",0,0,0,0,0,0,0,0,0,0,,149,97,71,8,0,0,22,7,10,16,,5008,9246,5304,9738,8518,8112,12820,12295,10251,13027
540252,"Filament yarn of polyester, incl. monofilament of < 67 decitex, single, with a twist of > 50 ...",0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,9,,1681,1280,1874,5544,5718,1901,3002,2743,1422,3190
540263,"Multiple """"folded"""" or cabled filament yarn of polypropylene, incl. monofilament of < 67 decitex ...""",0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,1,57,98,84,75,,0,0,0,0,0,360,697,635,415,655
540500,Artificial monofilament of >= 67 decitex and with a cross sectional dimension of <= 1 mm; strip ...,0,0,0,0,0,0,0,0,0,0,,7,3,1,63,1,0,0,2,2,8,,1007,810,374,307,410,138,260,612,221,601
600320,"Knitted or crocheted fabrics of cotton, of a width of <= 30 cm (excluding those containing ...""",0,0,0,0,0,0,0,0,0,0,,11,2,1,0,0,4,3,20,30,17,,227,704,432,558,92,248,38,95,1019,2087
600340,"Knitted or crocheted fabrics of artificial fibres, of a width of <= 30 cm (excluding those ...""",0,0,0,0,0,0,0,0,0,0,,30,5,2,3,3,11,45,11,3,3,,0,5,0,0,5,15,0,3,0,8
600490,"Knitted or crocheted fabrics, of a width of > 30 cm, containing >= 5% by weight elastomeric ...""",0,0,0,0,0,0,0,0,0,0,,64,16,14,15,73,48,36,95,158,313,,11139,17818,11319,3784,4182,10021,28885,12354,7718,16889
600531,"Unbleached or bleached warp knit fabrics of synthetic fibres """"incl. those made on galloon ...""",39,0,0,0,0,0,0,0,0,0,,84,92,113,77,66,0,0,0,0,0,,63554,54989,51033,46195,30762,2684,0,0,0,0
600538,"Warp knit fabrics of synthetic fibres, of yarns of different colours """"incl. those made on ...""",0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,7,171,4,7,15,,0,0,0,0,0,1902,1759,1169,973,1291
600622,"Dyed cotton fabrics, knitted or crocheted, of a width of > 30 cm (excluding warp knit fabrics ...""",0,0,0,0,0,0,0,0,0,0,,249,442,858,1246,1745,1878,1927,4680,6279,14838,,9885,8714,6549,5044,4377,10453,31477,41493,20623,32631
600642,"Dyed fabrics, knitted or crocheted, of artificial fibres, of a width of > 30 cm (excluding ...""",0,0,0,0,0,0,0,0,0,0,,212,375,625,182,296,393,533,724,379,418,,35057,41604,43703,23456,16531,33230,34595,21872,13904,24129
560394,"Nonwovens, whether or not impregnated, coated, covered or laminated, n.e.s., weighing > than ...",4,0,0,0,3,25,0,2,0,0,,3673,4075,4022,3576,4188,5133,5735,6129,6534,7128,,34411,38304,43618,44637,43340,50940,55132,66107,36667,47123
560600,"Gimped yarn, gimped strip and the like of heading 5404 or 5405; chenille yarn, incl. flock ...",0,0,0,0,0,0,0,0,0,0,,0,2,0,15,28,101,422,494,421,718,,2146,2491,1359,1144,894,890,1314,1856,4558,25251
580126,"Chenille fabrics, of cotton (excluding terry towelling and similar woven terry fabrics, tufted ...",0,0,0,0,0,0,0,0,0,0,,0,10,0,0,1,0,0,18,9,2,,85,13,6,3,12,4,16,102,72,0
580137,"Warp pile fabrics, of man-made fibres (excluding terry towelling and similar woven terry fabrics, ...",0,0,0,0,0,0,0,0,0,0,,52,81,389,359,1522,1329,1623,1859,2145,2766,,0,5261,3994,4283,2641,4688,3424,3331,2131,3853
580211,"Terry towelling and similar woven terry fabrics, of cotton, unbleached (excluding narrow woven ...",0,0,0,0,0,0,0,0,0,0,,25,2,3,5,8,2,1,2,0,0,,0,2,0,0,2,5,27,0,0,0
580230,Tufted textile fabrics (excluding carpets and other floor coverings),0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,1,0,1,4,16,,182,6,0,2,3,3,0,7,6,29
580631,"Narrow woven fabrics of cotton, with a width of <= 30 cm, n.e.s.",0,0,0,0,0,0,0,0,0,0,,352,392,321,200,208,304,324,460,350,561,,3739,5118,2921,2807,2737,4480,6382,10633,8335,8453
580632,"Narrow woven fabrics of man-made fibres, with a width of <= 30 cm, n.e.s.",0,0,0,0,0,0,0,0,0,0,,1552,2151,1746,1101,1671,2617,2534,4019,3043,3960,,12274,14306,19007,19760,21017,26947,24676,29292,27416,35751
580900,"Woven fabrics of metal thread and woven fabrics of metallised yarn of heading 5605, of a kind ...",0,0,0,0,0,0,0,0,0,0,,2,1,1,10,25,7,7,11,18,16,,269,205,150,101,190,911,1927,3530,992,1206
581100,"Quilted textile products in the piece, composed of one or more layers of textile materials ...",0,0,0,0,0,0,0,0,0,0,,678,516,711,776,1209,824,1078,1020,1771,2846,,1277,906,466,507,515,811,1112,1310,1321,1937
590410,"Linoleum, whether or not cut to shape",0,0,0,0,0,0,0,0,0,0,,5427,3785,6287,4507,4353,4875,5554,6276,5242,7228,,688,147,198,319,338,54,535,321,150,378
591110,"Textile fabrics, felt and felt-lined woven fabrics, coated, covered or laminated with rubber, ...""",29,0,0,0,0,0,0,0,0,0,,166,50,206,132,105,177,287,185,129,116,,4694,4542,6825,6724,4995,6321,8168,8235,6604,11294
610419,"Women's or girls' suits of textile materials, knitted or crocheted (excluding of synthetic ...",0,0,0,0,0,0,0,0,0,0,,45,140,387,58,321,259,139,334,294,718,,39,18,13,35,51,13,49,149,97,51
610422,"Women's or girls' ensembles of cotton, knitted or crocheted (excluding ski ensembles and swimwear)",0,0,0,0,0,0,0,0,0,0,,154,309,292,174,226,209,154,244,278,527,,3,24,31,27,133,5,30,109,39,206
610429,"Women's or girls' ensembles of textile materials (excluding of cotton or synthetic fibres, ...",0,0,0,0,0,0,0,0,0,0,,17,2552,1646,236,200,188,191,146,92,90,,2,12,27,12,71,105,27,70,12,61
610432,"Women's or girls' jackets and blazers of cotton, knitted or crocheted (excluding wind-jackets ...",0,0,0,0,5,0,3,0,0,0,,192,363,620,433,277,318,277,237,101,285,,169,299,332,442,449,630,497,516,376,718
610449,"Women's or girls' dresses of textile materials, knitted or crocheted (excluding of wool, fine ...",0,0,0,0,0,0,0,0,0,0,,103,563,330,156,261,290,145,310,477,435,,410,1134,857,384,473,468,307,391,395,98
610590,"Men's or boys' shirts of textile materials, knitted or crocheted (excluding of cotton or man-made ...",0,0,0,0,0,0,0,0,0,0,,60,38,17,41,54,276,45,46,23,31,,122,281,522,639,393,295,1123,1598,1875,1742
611510,"Graduated compression hosiery [e.g., stockings for varicose veins], of textile materials, knitted ...",0,0,0,0,0,0,0,0,0,0,,250,263,545,922,651,1687,1344,1624,2206,1289,,834,1226,1823,2852,2044,2743,3589,2657,2340,1975
611691,"Gloves, mittens and mitts, of wool or fine animal hair, knitted or crocheted (excl. impregnated, ...",0,0,0,0,0,0,0,0,0,0,,116,176,235,135,190,170,170,245,207,182,,41,89,205,47,21,24,31,56,21,64
611780,"Ties, bow ties, cravats and other made-up clothing accessories, knitted or crocheted, n.e.s. ...",0,0,0,0,0,0,0,0,0,0,,158,261,433,217,199,338,430,570,855,1188,,1535,3533,3876,7129,5221,4378,5877,4810,4092,4173
620112,"Men's or boys' overcoats, raincoats, car coats, capes, cloaks and similar articles, of cotton ...",0,0,0,0,0,0,0,0,0,0,,176,285,594,137,105,210,200,239,182,159,,533,452,436,310,323,224,322,456,231,400
480240,"Wallpaper base, uncoated",0,0,0,0,0,0,0,0,0,0,,29937,29192,20935,13484,17731,16462,16562,13362,13568,12678,,120,110,104,179,107,233,234,279,111,232
480254,"Uncoated paper and paperboard, of a kind used for writing, printing or other graphic purposes, ...",0,0,0,0,0,0,0,0,0,0,,2317,2411,2421,1219,1689,1287,2126,1845,817,157,,7598,8766,9580,9949,11587,10767,12447,7046,2742,3743
620299,"Women's or girls' anoraks, incl. ski jackets, windcheaters, wind-jackets and similar articles, ...",0,0,0,0,0,0,0,0,0,0,,480,736,971,443,1659,5918,6274,1157,941,716,,98,153,395,308,431,402,501,295,226,405
620412,"Women's or girls' suits of cotton (excluding knitted or crocheted, ski overalls and swimwear)",0,0,0,0,0,0,0,0,0,0,,13,34,91,74,78,165,171,98,119,120,,59,31,254,133,108,41,43,102,251,153
620413,"Women's or girls' suits of synthetic fibres (excluding knitted or crocheted, ski overalls and ...",0,0,0,0,0,0,0,0,0,0,,17,197,287,89,49,125,120,4721,19372,9636,,256,5,11,42,39,10,41,42,12,14
620432,"Women's or girls' jackets and blazers of cotton (excluding knitted or crocheted, wind-jackets ...",0,0,0,0,0,0,1,0,0,0,,280,927,1095,1054,706,539,634,689,430,667,,967,1244,1190,1193,1293,1254,1926,3504,2740,4554
731990,"Knitting needles, bodkins, crochet hooks, embroidery stilettos and similar articles, for use ...",0,0,8,3,0,0,0,0,1,0,,42,59,113,78,150,195,221,251,240,291,,15399,14193,17169,14125,14945,17276,21386,16031,11410,13348
732182,"Stoves, heaters, grates, fires, wash boilers, braziers and similar appliances, of iron or steel, ...",0,0,0,0,0,0,0,0,0,0,,136,197,874,85,48,38,35,39,71,151,,148,50,2,6,15,5,3,76,47,22
732392,"Table, kitchen or other household articles, and parts thereof, of cast iron, enamelled (excluding ...",0,0,0,0,0,0,0,0,0,0,,14,58,114,29,113,94,286,118,303,762,,1766,1420,1352,1187,1015,946,986,659,414,706
732510,"Articles of non-malleable cast iron, n.e.s.",0,0,0,0,0,0,0,0,0,0,,9385,8007,7246,4948,5586,7584,7154,8699,8412,15004,,3396,1298,2359,26162,32130,38569,56130,35373,5731,9621
740321,"Copper-zinc base alloys """"brass"""" unwrought""""",0,0,0,0,0,484,348,335,0,0,,40575,42198,18734,16671,40788,211242,63324,91529,98702,119939,,8530,4229,6885,5936,6582,6444,9459,7128,3425,2937
740710,"Bars, rods and profiles, of refined copper, n.e.s.",171440,189198,144308,58514,16051,953,0,0,0,0,,18399,34656,23050,11535,9119,7561,7154,5701,4912,15130,,319612,362954,286154,225421,188655,123024,114236,77153,62471,80178
740921,"Plates, sheets and strip, of copper-zinc base alloys """"brass"""", of a thickness of > 0,15 mm, ...""",0,0,0,0,0,0,0,0,0,0,,4849,5189,3177,2023,2686,3087,3717,2911,2264,4408,,11553,18635,36451,39094,35290,45835,51148,36781,23643,36695
741011,"Refined copper foil, not backed, of a thickness of <= 0,15 mm (excluding stamping foils of ...",0,0,0,0,0,0,0,0,0,0,,11892,12993,2355,796,1174,1005,1222,1411,1438,3283,,13121,16445,11287,13799,11211,12825,14315,11592,8943,11201
721923,"Flat-rolled products of stainless steel, of a width of >= 600 mm, not further worked than hot-rolled, ...",72,0,0,0,0,0,0,0,0,0,,2038,5214,1917,3281,1928,3572,6937,3736,4925,5605,,18432,8253,29011,21373,11921,18550,17943,913,1192,694
721990,"Flat-rolled products of stainless steel, of a width of >= 600 mm, hot-rolled or cold-rolled ...""",145,203,0,5,0,0,444,0,19,0,,2084,1806,2629,1123,963,1440,1279,2132,3185,2024,,123251,138643,119289,106262,87087,78232,98252,93270,72734,142074
722240,"Angles, shapes and sections of stainless steel, n.e.s.",0,0,0,0,0,5,0,0,0,0,,323,156,1634,730,665,1182,648,627,674,1289,,7401,8039,6156,2755,1483,1263,1332,1649,1836,2712
722599,"Flat-rolled products of alloy steel other than stainless, of a width of >= 600 mm, hot-rolled ...""",9024,0,0,0,0,0,0,0,0,0,,5031,5628,2584,9664,4217,1917,6878,8049,10389,11813,,158325,43068,36387,36445,23282,34641,49011,44207,30413,49511
722619,"Flat-rolled products of silicon-electrical steel, of a width of < 600 mm, hot-rolled or cold-rolled ...""",111,0,22,337,33,0,0,0,327,0,,124064,110027,91477,54900,45278,56538,73426,46273,35724,50837,,7546,7221,2823,2244,1223,4843,6188,5916,6023,7707
722720,"Bars and rods of silico-manganese steel, hot-rolled, in irregularly wound coils",0,0,0,0,0,0,0,0,0,0,,14641,19954,20139,11718,10595,11652,13682,13673,14304,22417,,1987,296,1843,2324,2781,1371,3789,2877,1603,947
730290,"Sleepers """"cross-ties"""", check-rails, rack rails, chairs, chair wedges, rail clips, bedplates ...""",0,0,0,0,0,0,0,0,0,0,,10814,10768,11393,4769,6172,5992,5434,4126,4516,9186,,10984,6701,5892,3243,3166,3441,2999,3909,3440,6271
710229,"Industrial diamonds, worked, but not mounted or set (excluding unmounted stones for pick-up ...",0,0,0,0,0,0,0,0,0,0,,0,10,5,0,0,0,0,0,1,0,,100,24,268,0,14,0,5,9,0,32
710410,"Quartz, piezoelectric, of synthetic or reconstructed stone whether or not worked or graded, ...",0,8,0,0,2,0,8,0,0,0,,15645,14620,5782,3890,5120,6369,7867,9327,8200,8780,,48,336,92,388,12658,2693,150,820,292,86
710700,"Base metals clad with silver, not further worked than semi-manufactured",0,0,0,0,0,0,0,0,0,0,,0,0,22,0,0,0,10,0,0,0,,345,1333,443,76,29,56,1649,83,23,239
711419,"Articles of goldsmiths' or silversmiths' wares or parts thereof, of precious metal other than ...",0,0,0,0,0,0,0,0,0,0,,56,3373,250,2767,63,261,13,53,63,200,,1975,2180,1616,888,38197,1328093,14756,8107,3773,946
711711,"Cuff links and studs, of base metal, whether or not clad with silver, gold or platinum",0,0,0,0,0,0,0,0,0,0,,33,10,14,4,25,27,19,21,33,30,,759,1074,706,1011,823,765,926,586,171,386
720270,Ferro-molybdenum,3148,833,992,0,0,0,0,0,0,0,,144478,132490,108747,75998,55924,53932,31058,39732,20625,29221,,20427,15111,26126,11642,9098,21900,40818,41999,40903,74423
720990,"Flat-rolled products of iron or steel, of a width of >= 600 mm, cold-rolled """"cold-reduced"""", ...""",1329,12305,0,54,18015,19704,0,0,0,0,,351,465,164,178,327,518,602,940,809,4053,,184700,102527,133129,95712,59807,31153,8436,5668,344,63
720853,"Flat-rolled products of iron or non-alloy steel, of a width of >= 600 mm, not in coils, simply ...",132,1245,0,44,0,0,0,0,0,0,,86936,88333,84420,47330,52455,60532,64567,58153,50827,77556,,1518,5625,1568,1235,1313,203,3531,2595,2304,3861
721020,"Flat-rolled products of iron or non-alloy steel, of a width of >= 600 mm, hot-rolled or cold-rolled ...""",0,0,0,0,0,0,0,0,0,0,,0,0,1329,2842,3285,2375,419,248,198,8,,508,409,74,179,27,2,0,0,57,5
721420,"Bars and rods, of iron or non-alloy steel, with indentations, ribs, groves or other deformations ...",0,0,0,0,0,0,0,0,0,0,,350656,293253,330353,295372,277113,380350,560221,450933,544358,745937,,6282,12037,50018,101356,62123,76100,95200,123901,47859,28830
721640,"L sections of iron or non-alloy steel, not further worked than hot-rolled, hot-drawn or hot-extruded, ...",0,0,0,0,0,0,0,0,0,0,,9343,7275,6370,5601,6069,7834,7697,5832,3649,6808,,51684,12419,4565,5414,1992,180,143,142,408,79
721691,"Angles, shapes and sections, of iron or non-alloy steel, cold-formed or cold-finished from ...",0,0,0,0,0,0,0,0,0,0,,42604,32115,27753,21482,21136,19496,24070,29244,27949,41716,,96,12,70,106,3751,538,762,308,103,190
