Product code,Product label,Japan's imports from Singapore-Value in 2012,Japan's imports from Singapore-Value in 2013,Japan's imports from Singapore-Value in 2014,Japan's imports from Singapore-Value in 2015,Japan's imports from Singapore-Value in 2016,Japan's imports from Singapore-Value in 2017,Japan's imports from Singapore-Value in 2018,Japan's imports from Singapore-Value in 2019,Japan's imports from Singapore-Value in 2020,Japan's imports from Singapore-Value in 2021,Singapore's exports to world- ,Singapore's exports to world-Value in 2012,Singapore's exports to world-Value in 2013,Singapore's exports to world-Value in 2014,Singapore's exports to world-Value in 2015,Singapore's exports to world-Value in 2016,Singapore's exports to world-Value in 2017,Singapore's exports to world-Value in 2018,Singapore's exports to world-Value in 2019,Singapore's exports to world-Value in 2020,Singapore's exports to world-Value in 2021,Japan's imports from world- ,Japan's imports from world-Value in 2012,Japan's imports from world-Value in 2013,Japan's imports from world-Value in 2014,Japan's imports from world-Value in 2015,Japan's imports from world-Value in 2016,Japan's imports from world-Value in 2017,Japan's imports from world-Value in 2018,Japan's imports from world-Value in 2019,Japan's imports from world-Value in 2020,Japan's imports from world-Value in 2021
300213,"Immunological products, unmixed, not put up in measured doses or in forms or packings for retail ...",0,0,0,0,0,4457,0,0,34912,94387,,0,0,0,0,0,0,1035888,1501154,1089302,1313924,,0,0,0,0,0,13544,8218,16307,62277,123498
381800,"Chemical elements and compounds doped for use in electronics, in the form of discs, wafers, ...",46460,31538,38028,44609,56999,61648,86747,54350,71775,90487,,1187383,692280,555395,671457,757979,806156,1005094,1179016,1051081,1222901,,1014036,979426,926032,944523,886308,929853,1101955,1025820,979932,1168143
330290,"Mixtures of odoriferous substances and mixtures, incl. alcoholic solutions, based on one or ...",33749,36890,52052,43283,51291,58718,55005,62858,74032,89623,,618671,669395,723199,722300,758944,791311,904748,980628,1043623,1082842,,119956,120468,148860,135472,160048,171514,179175,176259,172377,199775
854233,Electronic integrated circuits as amplifiers,13871,17261,20774,25403,25587,38450,83205,81092,105073,87820,,960910,1382764,1995463,2046612,2635982,2858481,2621013,2813648,3395256,4388496,,262865,254991,266693,298244,239165,393754,340530,290580,304220,418395
901890,"Instruments and appliances used in medical, surgical or veterinary sciences, n.e.s.",94027,81970,68518,56316,63526,61827,66724,74028,60661,80044,,2141893,2119294,2055164,1596501,1516946,1802294,1608692,1782237,2016544,1899916,,2110034,2229635,2074421,1994957,2127770,2170041,2486105,2725098,2459588,2560904
854232,Electronic integrated circuits as memories,543071,340101,217170,209169,103265,140310,69338,65903,51001,79832,,6121221,7887599,8885988,8811101,7726246,13654452,19637140,16602538,17741513,23117527,,3984091,3470228,2507888,2624220,2437367,3082398,3769908,2743140,3094729,3622145
210690,"Food preparations, n.e.s.",121368,113345,132013,114777,106557,99675,112399,98816,86949,78805,,441219,1085009,1574538,1437089,1457191,1506006,4754049,5173579,5798884,6430706,,1158768,1082073,1058275,934971,952833,982272,1021330,969208,921031,948806
740400,"Waste and scrap, of copper (excluding ingots or other similar unwrought shapes, of remelted ...",125065,95294,88585,85231,56424,65971,65718,54594,43439,78752,,267700,246794,204386,169412,141284,157382,180554,197387,122492,180250,,1031446,840972,1000352,889361,997484,1150657,1332221,1195647,955509,1575810
390140,"Ethylene-alpha-olefins copolymers, having a specific gravity of < 0,94 , in primary forms",0,0,0,0,0,46912,68796,59569,47926,63385,,0,0,0,0,0,0,1522626,2492969,2156549,2698206,,0,0,0,0,0,348236,433963,388657,307283,391492
902780,"Instruments and apparatus for physical or chemical analysis, or for measuring or checking viscosity, ...",50234,48228,41771,36570,37874,45337,47346,47703,43486,61071,,674859,596636,529997,627422,767757,881844,1126884,1018223,1074423,1278693,,517548,549847,486519,378129,397572,420239,435227,463299,442667,537226
293379,"Lactams (excluding 6-hexanelactam """"epsilon-caprolactam"""", clobazam """"INN"""", methyprylon """"INN"""", ...""",56,18,0,82,45,18810,80087,103741,49488,59110,,24393,130128,708225,821023,2084293,936201,1076208,658525,1061378,588188,,126237,100819,117345,123177,174408,188527,251312,342155,298543,330294
853224,"Fixed electrical capacitors, ceramic dielectric, multilayer (excluding power capacitors)",2807,6633,19109,30036,49517,47837,44650,53050,50517,57801,,436045,427363,318502,234186,254355,358398,605066,507219,592285,778632,,86712,112007,123224,124659,171797,177887,245619,266078,187405,258091
900130,Contact lenses,47891,47694,61349,52757,73275,66655,64234,55398,63387,56732,,438896,591776,527599,526355,589547,593365,580110,726015,737888,605398,,1206730,1110719,1146929,997603,1148156,1259493,1312910,1370749,1284033,1391252
854129,Transistors with a dissipation rate >= 1 W (excluding photosensitive transistors),123,63,194,48,71,515,2276,4446,15677,45953,,1408988,1461494,1926955,1755733,1608370,1934213,2380872,2393547,2562992,3564091,,241016,237090,269725,239856,240025,296453,365791,406155,429112,634756
902140,Hearing aids (excluding parts and accessories),37576,39345,37191,33046,30421,26668,30509,44016,42011,45468,,344291,381128,349865,362369,366499,379201,490488,478396,444699,479390,,148103,133026,119015,119809,130192,128699,140405,157455,156050,165658
853400,Printed circuits,32906,35462,41452,38635,27753,34648,42465,27072,39821,45283,,656601,743971,692731,740055,665735,658194,629727,623681,653253,761160,,1165255,1223783,1339335,1414330,1451485,1443004,1268564,1227874,1219947,1477342
890520,Floating or submersible drilling or production platforms,0,0,0,0,75,0,468,0,0,45132,,2678331,780635,1267789,1286405,174879,259,127317,503781,0,0,,0,3075,0,4313,30716,0,4984,135866,0,45178
391740,"Fittings, e.g. joints, elbows, flanges, of plastics, for tubes, pipes and hoses",41704,45728,35647,33534,32749,38441,34256,27048,24693,41779,,76729,86823,80260,94232,89667,107847,89712,87092,97604,155561,,108040,115206,102427,92102,93538,104471,107505,100434,96439,131651
330210,"Mixtures of odoriferous substances and mixtures, incl. alcoholic solutions, with a basis of ...",1414,1314,1312,1326,1323,6755,40891,41516,36596,41347,,1191340,668323,404269,400124,402874,526692,745327,874307,906798,1031771,,275381,243858,219000,190365,210084,209803,210367,224767,214676,211330
711299,"Waste and scrap of silver, incl. metal clad with silver, and other waste and scrap containing ...",49538,52984,40308,56666,33729,57119,34422,62841,30428,40029,,56156,47735,60504,102352,83038,67556,57080,67903,154443,303534,,604637,626383,734835,695976,1448426,1814596,2232628,1828435,2041125,2378310
382200,"Diagnostic or laboratory reagents on a backing, prepared diagnostic or laboratory reagents ...",3147,15062,31298,33161,41635,34323,32549,28590,24630,39627,,493690,614305,795963,882156,1084522,1349477,1466013,1486820,1375164,1888105,,632510,590690,610408,535774,567115,600860,660172,677642,749951,1135164
711291,"Waste and scrap of gold, incl. metal clad with gold, and other waste and scrap containing gold ...",62640,16540,7050,31255,6067,23561,11094,9489,25249,39568,,604481,455610,478895,234169,659949,411694,433464,1217353,820967,422442,,328018,206018,154257,163846,118492,166306,156376,152549,205217,231080
902750,"Instruments and apparatus for physical or chemical analysis, using UV, visible or IR optical ...",44747,34736,26947,21903,23628,19261,29637,51965,49522,38137,,312865,403283,547263,508735,582981,678669,932011,1017620,1224953,1260138,,178238,171828,162821,134972,144667,158048,186032,229698,237992,284888
240220,"Cigarettes, containing tobacco",119295,85719,72840,67201,55576,5523,7213,48568,34777,38101,,759410,800408,919222,1163746,1147763,1046181,1055353,1061119,607482,619477,,5357401,4091115,3351403,3066070,3241521,2612628,2416255,2237379,2003682,1789908
390720,"Polyethers, in primary forms (excluding polyacetals and goods of 3002 10)",36394,38606,40847,27216,26925,25209,33014,29682,24983,36413,,630220,613107,803492,796154,601721,681188,800265,741482,772284,1148716,,282263,278773,282392,247719,258716,310511,358244,324663,317786,414575
390610,"Poly""""methyl methacrylate"""", in primary forms""""",71,840,11206,24903,18609,20583,22787,20753,22429,33270,,201368,168820,217977,186765,171120,230470,239246,193549,167545,196849,,13333,12034,25537,41167,33757,46547,62023,48239,37889,57965
852351,"Solid-state, non-volatile data storage devices for recording data from an external source [flash ...",14921,11233,4520,10471,26585,23149,32054,42199,40855,28458,,377016,629062,810467,1329472,1830931,2799697,2656865,1652974,2263685,2194265,,1344791,1022199,836307,832335,883401,948179,922639,915757,993281,956616
400219,"Styrene-butadiene rubber """"SBR""""; carboxylated styrene-butadiene rubber """"XSBR"""", in primary ...""",27,2,9615,25960,24035,26397,25185,27953,19402,28434,,30455,40504,108893,203465,256582,319909,307015,273446,239723,272571,,193634,129040,129759,129429,120220,143875,147336,150983,109697,134088
300215,"Immunological products, put up in measured doses or in forms or packings for retail sale (excl. ...",0,0,0,0,0,6,1582,281,13,28033,,0,0,0,0,0,0,605887,202018,475992,298545,,0,0,0,0,0,4478193,5809067,7248923,8035942,9569768
741220,"Copper alloy tube or pipe fittings """"e.g., couplings, elbows, sleeves""""""""",20844,24473,20475,18616,20332,21661,20902,15373,15522,26548,,32962,40145,39736,33486,34109,35664,36516,43302,63998,64895,,151884,154720,161940,142832,135456,142500,164569,149154,120591,170894
911490,"Clock or watch parts, n.e.s.",19710,21345,25441,30396,27867,22382,22930,34218,20044,24829,,295500,252977,245354,321006,284875,265127,231850,232046,151234,153161,,134242,130143,154064,165131,148032,143190,152417,155524,108803,123967
901850,"Ophthalmic instruments and appliances, n.e.s.",726,388,452,254,309,7921,17034,20763,17432,22875,,73828,70862,44066,57642,64922,93105,128253,186735,146990,249261,,299887,283203,275286,240163,252497,265866,270760,311007,242924,282687
340213,"Non-ionic organic surface-active agents, whether or not put up for retail sale (excluding soap)",12895,10147,11532,10144,10047,11807,10358,10436,10621,22594,,225687,187702,216291,182077,196950,248569,243531,225850,253263,308115,,64907,49509,56904,47005,49509,52323,54163,55273,55072,82236
902190,"Articles and appliances, which are worn or carried, or implanted in the body, to compensate ...",8077,5908,11987,8451,17555,32575,25601,25419,27270,21937,,406337,458246,349921,477364,388006,400468,427455,450497,332115,805684,,476582,488291,602078,566831,758981,714125,680924,666650,723879,635358
853710,"Boards, cabinets and similar combinations of apparatus for electric control or the distribution ...",4284,3544,7542,4818,7198,3166,15618,8837,22254,21608,,814902,890079,1013168,972547,1107486,1177684,1412015,1196896,1061668,1172628,,681438,741175,850830,855306,929148,1080629,1136792,1178975,1081381,1203806
847330,Parts and accessories of automatic data-processing machines or for other machines of heading ...,122498,86639,51747,38520,30967,27454,22966,18522,19398,21043,,8646666,6990269,6183039,4721034,4169649,4438718,3871354,4154481,4064225,3797731,,3081488,3005935,2751021,2259561,2266728,2661957,2790168,2895335,2213315,2400029
392690,"Articles of plastics and articles of other materials of heading 3901 to 3914, n.e.s (excluding ...",17273,13513,13730,11314,12586,15488,19474,16680,13718,20829,,1010321,764070,758536,543104,529197,668938,742218,710316,680441,804828,,2254608,2177636,2259540,2113597,2267285,2371886,2570019,2538387,2639842,2908262
844399,"Parts and accessories of printers, copying machines and facsimile machines, n.e.s. (excluding ...",32594,38209,27898,26113,23717,20632,16959,21370,23102,20345,,6107660,5670055,4693435,4632247,3954257,4283840,4195562,3812250,4550108,6217790,,2320136,2052980,1940604,1856325,1921760,1810461,1769064,1907965,1651923,1768570
293499,"Nucleic acids and their salts, whether or not chemically defined; heterocyclic compounds (excl. ...""",34366,32919,20878,15112,16899,1308,6411,8596,12528,20156,,645541,739994,630621,606333,476121,395144,411411,282650,484379,329575,,1497532,1142399,1012454,1091519,999122,1422209,1434213,1566319,1841724,1183878
848610,Machines and apparatus for the manufacture of boules or wafers,158,17335,68505,62833,7066,43078,60305,31139,34444,19629,,336959,908784,288382,149391,336149,512463,477534,306384,84959,88984,,40543,65306,99410,93066,33004,77858,95703,80893,50583,42126
841989,"Machinery, plant or laboratory equipment, whether or not electrically heated, for the treatment ...",11990,18080,19222,16585,16739,13458,17799,14710,14055,19561,,144408,173325,212011,180407,162409,154701,159258,127749,120774,176186,,286991,286944,279885,212566,193944,201691,242733,226196,227932,305338
400239,"Halo-isobutene-isoprene rubber """"CIIR"""" or """"BIIR"""", in primary forms or in plates, sheets ...""",0,0,514,484,0,5030,5181,3932,8042,19312,,33601,128160,127940,359894,431294,542823,507924,417027,264353,337591,,76604,79049,66906,37388,23795,29964,36868,32597,30943,42707
902790,"Microtomes; parts and accessories of instruments and apparatus for physical or chemical analysis, ...",25458,18319,21663,19730,21701,20925,48879,41054,25217,19056,,709858,692220,858308,831980,912917,1021138,1031339,1150354,1159582,1277402,,589204,542603,579844,547615,585446,586927,688670,673042,635943,696721
851762,"Machines for the reception, conversion and transmission or regeneration of voice, images or ...",53901,48730,35668,32119,33930,27636,28210,28383,23110,17213,,2731163,3067437,2833309,3046223,3312670,3716429,3883879,3614973,4557588,5152324,,6348739,5317573,5128479,5126540,5072559,5693115,5588166,6274325,6914454,7345157
293040,Methionine,186,0,0,24364,26079,22131,22464,22131,22396,17071,,35598,92478,161854,0,0,0,0,0,0,0,,37399,30355,26354,36175,36558,32788,32614,33244,39385,37217
293339,"Heterocyclic compounds with nitrogen hetero-atom[s] only, containing an unfused pyridine ring, ...",6,13,0,18,61,128,3789,2403,4038,16766,,64304,569655,285958,191242,140250,69219,161680,520518,500928,478699,,865253,930264,624356,600520,610241,531397,522302,469805,636689,661327
841430,Compressors for refrigerating equipment,58277,43988,45635,42514,45887,36318,25371,22455,16149,16130,,486112,475989,458327,388754,382753,399373,221679,239361,204983,239092,,314984,315003,280023,240566,268830,262382,297464,278090,207582,200673
901920,"Ozone therapy, oxygen therapy, aerosol therapy, artificial respiration or other therapeutic ...",916,1127,1847,2029,2485,3144,5821,8501,12719,15544,,17937,107873,408456,704900,782362,954820,1152932,1410871,1550530,1368611,,350985,315891,335101,331490,369920,417295,417766,434139,466483,506780
290339,"Fluorinated, brominated or iodinated derivatives of acyclic hydrocarbons (excluding ethylene ...",272,331,178,7,18,0,247,7772,9968,14489,,18569,22149,18896,15403,22025,18406,18214,26014,27560,31540,,147513,110513,116164,121338,125623,140821,187645,244781,253566,298540
852352,"Cards incorporating one or more electronic integrated circuits """"smart cards""""""""",92183,10954,8424,10420,9311,12419,14993,16331,11553,14123,,420478,446467,253923,232780,157032,137123,118917,145078,100760,88545,,161668,155888,162888,142991,151157,121271,137181,123047,118620,129351
291531,Ethyl acetate,10847,10523,12450,6817,4669,6121,9402,6439,5183,13977,,79635,76509,80615,79673,67845,73679,89469,78429,81656,148111,,148485,144928,140078,91766,80772,91837,135944,90235,79631,178092
291411,Acetone,0,0,0,522,1021,0,4499,777,3776,13954,,137771,129938,174782,93320,81976,121990,105797,71276,100365,147911,,10826,20363,34616,9619,17740,20678,30773,2996,18477,37616
630790,"Made-up articles of textile materials, incl. dress patterns, n.e.s.",925,3239,6284,5515,1760,1500,1999,4012,5797,13593,,20913,36330,51125,45046,43638,60635,55490,59715,227055,223517,,1171477,1176189,1155233,1140050,1142144,1190942,1262952,1312969,5171399,2092684
730890,"Structures and parts of structures, of iron or steel, n.e.s. (excluding bridges and bridge-sections, ...",17,62,0,573,314,74,1951,3889,615,13541,,149977,222311,298670,170851,207894,326769,226988,137253,90668,366898,,1469824,1227824,1409305,1555610,1585927,1540189,1932721,1919583,1680532,1762624
901320,Lasers (excluding laser diodes),3337,3930,2812,3480,5587,6841,7700,11862,13939,13264,,54163,66641,99481,110358,137044,185387,206816,246791,290519,346836,,393964,398914,370900,389911,442474,510923,592476,525753,370037,479510
382100,"Prepared culture media for the development or maintenance of micro-organisms incl. viruses ...""",0,3,0,0,0,0,42,18,24,12990,,1865,8384,4272,7990,15414,31470,41244,77290,124253,183936,,83807,86769,90636,85593,91593,101770,109539,114932,118289,145070
854370,"Electrical machines and apparatus, having individual functions, n.e.s. in chapter 85",9114,10191,5394,3461,14959,1086,1598,2650,4399,12805,,309353,381088,480270,414981,421264,437811,438998,449502,441121,787198,,2401526,2030912,2222629,1977041,2075656,2282399,2197251,2296115,2172519,2206172
900190,"Lenses, prisms, mirrors and other optical elements, of any material, unmounted (excluding such ...",9686,10837,60828,57517,99777,106165,71581,36084,50545,12697,,377761,388467,411473,397389,279913,480041,303315,602424,640311,275942,,881516,668423,743384,674554,664243,767893,743993,716172,789956,889573
271290,"Paraffin wax, microcrystalline petroleum wax, slack wax, ozokerite, lignite wax, peat wax, ...",265,460,757,27,662,3174,19409,33702,19817,12683,,34984,33193,32771,20541,28026,39748,81118,77622,66392,70600,,16353,16783,16787,16353,20443,25834,47120,59975,36552,30450
847149,"Data-processing machines, automatic, presented in the form of systems """"comprising at least ...""",665,1313,1599,732,1104,4693,10323,3297,8247,12306,,282899,283079,222836,254915,269004,318555,333799,337372,266745,397937,,1079323,579743,491748,353841,337756,393924,345549,359404,351684,370270
901819,"Electro-diagnostic apparatus, incl. apparatus for functional exploratory examination or for ...",11223,18103,18954,10381,9979,10727,12339,14076,7468,12111,,293562,195961,264468,319269,257690,285402,306525,296758,258609,268234,,474467,368650,352330,317331,393839,411079,417099,545965,468585,568611
40490,"Products consisting of natural milk constituents, whether or not sweetened, n.e.s.",15206,13884,20796,19595,10205,11257,14316,16975,16181,11958,,6255,8428,25817,16870,4314,15544,17032,12067,18008,17972,,41331,40756,44849,49964,36757,35359,36656,39472,49680,40979
391990,"Self-adhesive plates, sheets, film, foil, tape, strip and other flat shapes, of plastics, whether ...",1752,10910,19948,14342,14476,13364,15737,13313,12372,11443,,254169,409124,381737,297027,332537,343638,385225,398064,333946,359778,,202114,210236,218248,188277,209512,232772,246160,244776,239491,266388
280300,"Carbon (carbon blacks and other forms of carbon, n.e.s.)",43,0,0,0,0,253,1412,5974,12708,11190,,35225,39258,45852,43278,33915,38203,42517,47550,56814,49722,,297798,262960,258964,198297,170942,203268,244327,249429,183339,241532
847989,"Machines and mechanical appliances, n.e.s.",6322,11007,11901,4838,8026,12498,17589,14033,6167,11187,,767901,757565,1164035,773613,641656,811243,792359,882291,931523,920757,,829097,771996,831044,801591,728559,883128,879985,950221,936432,994234
848210,Ball bearings,12972,11796,12812,12023,11943,13015,11824,10494,9695,10966,,770405,767885,672510,633911,600342,620792,539537,480830,377948,410162,,392613,360182,377138,377886,357495,377646,432010,420752,348099,416013
390230,"Propylene copolymers, in primary forms",17761,12623,9662,7895,8036,27367,22824,16716,7548,10953,,1728390,1797739,2083093,1732982,1634407,1766729,1858475,1663804,1392013,1885435,,343027,251445,300636,194616,189125,248149,477996,321100,245439,342930
380891,"Insecticides, put up in forms or packings for retail sale or as preparations or articles (excl. ...",0,5596,3389,2065,3002,4763,8445,13426,13461,10809,,71572,78241,216846,248565,189109,361120,327171,333407,354659,404110,,149068,157995,148485,143444,142842,153961,165396,170202,144668,141340
390120,"Polyethylene with a specific gravity of >= 0,94, in primary forms",5646,5153,4039,3208,2706,12137,11925,10087,8276,10753,,1258494,1263376,1286442,1127340,1211279,1367131,1377210,1338618,1141692,1070702,,203577,193779,271084,178540,183563,252357,302562,248974,175457,223683
392099,"Plates, sheets, film, foil and strip, of non-cellular plastics, n.e.s., not reinforced, laminated, ...",343,161,235,896,965,1244,525,1069,5025,10731,,139463,104164,53056,31173,18357,20353,19776,19364,25195,38906,,141670,109057,121721,152916,134129,186160,215344,220196,206245,224612
852580,"Television cameras, digital cameras and video camera recorders",1580,2278,3646,2622,5615,4855,4319,6426,8330,10534,,1003207,963557,822841,699686,640315,685186,784790,668982,593216,748906,,2081378,2069494,1808342,1625104,1542739,1893185,2191291,2427148,2266501,2449165
390690,"Acrylic polymers, in primary forms (excluding poly""""methyl methacrylate"""")""""",18745,16122,15082,9477,7820,6774,6296,8932,7628,10534,,425674,380645,398706,340937,300723,314513,336903,310487,305322,351762,,218724,234193,177156,148894,162949,163156,180742,191648,196751,219644
292145,"1-Naphthylamine """"alpha-naphthylamine"""", 2-naphthylamine """"beta-naphthylamine"""" and their ...""",0,0,0,0,0,4796,0,0,25788,10077,,130,9361,13155,2503,53,63,543,23,1580,11,,97312,162245,47020,109361,49495,62613,62841,23624,42336,17054
711011,"Platinum, unwrought or in powder form",0,0,0,63,0,0,58,1980,0,9932,,36803,74629,134093,76998,39594,23996,26542,137616,174350,174359,,2171987,2180362,1413135,1552384,1378824,1303424,1206443,931297,930086,1244720
291829,"Carboxylic acids with phenol function but without other oxygen function, their anhydrides, ...",790,416,3843,6450,7769,8520,7529,8450,7534,9668,,7585,7918,21758,41834,53669,60176,58026,58864,59667,72627,,85985,84805,88070,85123,82892,91100,105227,95607,92356,112515
854110,Diodes (excluding photosensitive or light emitting diodes),356,69,168,59,94,59,118,12,1562,9627,,705254,603293,652286,572690,571175,675810,764399,653017,1009971,1037207,,326009,336336,350711,309529,297375,348223,399546,380630,371128,504353
