Product code,Product label,Saudi Arabia's imports from Singapore-Value in 2012,Saudi Arabia's imports from Singapore-Value in 2013,Saudi Arabia's imports from Singapore-Value in 2014,Saudi Arabia's imports from Singapore-Value in 2015,Saudi Arabia's imports from Singapore-Value in 2016,Saudi Arabia's imports from Singapore-Value in 2017,Saudi Arabia's imports from Singapore-Value in 2018,Saudi Arabia's imports from Singapore-Value in 2019,Saudi Arabia's imports from Singapore-Value in 2020,Saudi Arabia's imports from Singapore-Value in 2021,Singapore's exports to world- ,Singapore's exports to world-Value in 2012,Singapore's exports to world-Value in 2013,Singapore's exports to world-Value in 2014,Singapore's exports to world-Value in 2015,Singapore's exports to world-Value in 2016,Singapore's exports to world-Value in 2017,Singapore's exports to world-Value in 2018,Singapore's exports to world-Value in 2019,Singapore's exports to world-Value in 2020,Singapore's exports to world-Value in 2021,Saudi Arabia's imports from world- ,Saudi Arabia's imports from world-Value in 2012,Saudi Arabia's imports from world-Value in 2013,Saudi Arabia's imports from world-Value in 2014,Saudi Arabia's imports from world-Value in 2015,Saudi Arabia's imports from world-Value in 2016,Saudi Arabia's imports from world-Value in 2017,Saudi Arabia's imports from world-Value in 2018,Saudi Arabia's imports from world-Value in 2019,Saudi Arabia's imports from world-Value in 2020,Saudi Arabia's imports from world-Value in 2021
910700,Time switches with clock or watch movement or with synchronous motor,0,0,0,0,0,0,0,0,0,0,,4098,7813,8390,3522,3030,4478,2310,2718,2177,2579,,671,1057,991,1553,1187,2211,2283,3557,4033,8356
910990,"Clock movements, complete and assembled (excluding electrically operated and watch movements)",0,0,0,0,0,0,0,0,0,0,,623,637,441,227,269,239,132,103,342,73,,281,58,305,548,178,103,93,96,17,25
911180,"Cases for wrist-watches, pocket-watches and other watches of heading 9101 or 9102, of materials ...",0,0,0,0,0,0,0,0,0,0,,15868,11071,1217,605,22876,31240,31497,15525,16267,14247,,176,0,157,21,50,141,84,181,98,1684
920210,Violins and other string instruments,0,0,0,0,0,0,0,0,0,0,,499,477,1619,1377,440,200,131,124,227,280,,431,494,40,5,11,92,104,194,154,256
920600,"Percussion musical instruments, e.g. drums, xylophones, cymbals, castanets, maracas",0,0,0,0,0,0,0,0,0,0,,2431,2108,940,858,1001,462,554,454,653,715,,72,170,166,323,327,434,857,721,281,453
851621,"Electric storage heating radiators, for space-heating",0,0,0,0,0,0,0,0,0,0,,256,120,1225,140,204,172,159,83,43,26,,5325,1367,1960,911,1424,1666,749,518,172,218
851633,Electric hand-drying apparatus,0,0,0,0,0,0,0,0,0,0,,572,929,909,1111,420,372,334,340,240,260,,832,796,1714,2288,1166,1632,1147,1725,1385,1689
851640,Electric smoothing irons,0,32,0,0,0,0,0,108,0,0,,275860,35260,27749,20443,18727,15647,17674,12420,9140,7050,,31940,38323,32207,34562,30905,31886,39578,35927,33511,23229
851769,"Apparatus for the transmission or reception of voice, images or other data, incl. apparatus ...",50,0,32,148,0,0,19,38,6,0,,79778,109928,159046,146118,156724,112549,95987,73585,145336,280396,,76915,18910,29768,84808,62317,53588,39972,38268,63033,47510
851920,"Sound recording or sound reproducing apparatus, operated by coins, banknotes, bank cards, tokens ...",0,0,0,0,0,0,0,0,0,0,,141,195,659,159,441,442,1683,86,188,128,,69,302,0,10,1,8,53,28,4,10
850212,"Generating sets with compression-ignition internal combustion piston engine """"diesel or semi-diesel ...""",0,33,256,0,1476,0,20,0,0,0,,56364,67192,44190,31235,39447,28581,25844,16902,13580,13234,,157640,149997,169620,134642,61224,34284,36633,39824,37798,29360
850421,"Liquid dielectric transformers, having a power handling capacity <= 650 kVA",0,0,0,0,0,0,0,0,0,0,,8504,12823,7741,5622,7187,5715,5713,3699,6501,7891,,10452,46004,19129,10987,10971,16340,4281,3598,5573,7806
850520,"Electromagnetic couplings, clutches and brakes",34,0,0,0,0,0,0,0,0,0,,2598,2882,2729,2761,6781,3535,3966,3815,2996,2861,,1369,8095,4723,3881,3481,2396,1405,2390,1961,3334
850760,Lithium-ion accumulators (excluding spent),0,0,0,0,0,0,0,30,16,0,,174389,226428,306796,363701,380092,567530,702980,801332,742839,871766,,1301,4517,5909,22794,14911,14331,13129,37425,49992,49487
850132,DC motors and DC generators of an output > 750 W but <= 75 kW (excl. photovoltaic generators),0,0,0,0,0,0,0,85,6,0,,13681,16117,8051,47564,42366,35448,45369,37819,31116,24567,,61718,46785,44790,39947,26299,54155,18015,13578,8087,11005
843239,"Seeders, planters and transplanters (excl. no-till machines)",0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,320,60,73,,0,0,0,0,0,0,0,0,0,237
843280,"Agricultural, horticultural or forestry machinery for soil preparation or cultivation; lawn ...",0,0,0,0,0,0,0,0,0,0,,1702,2555,1837,4494,5319,7046,3256,2811,2115,330,,6460,4148,2977,6789,2084,1755,1155,2107,1665,728
843319,"Mowers for lawns, parks or sports grounds, powered, with the cutting device rotating in a vertical ...",0,0,0,0,0,0,0,0,0,0,,984,834,1106,1027,663,544,584,625,214,879,,4833,4055,3759,3672,4318,2378,1604,2344,1864,423
844317,Gravure printing machinery,0,0,0,0,0,0,0,0,30,0,,278,458,130,390,319,105,4787,784,26,0,,3631,3292,4710,2837,2804,2225,580,2558,883,918
847629,"Automatic beverage-vending machines, without heating or refrigerating devices",0,0,0,0,0,0,0,0,0,0,,2159,309,80,190,213,137,123,39,339,0,,361,70,4218,468,627,1056,178,155,9,8
848049,"Moulds for metal or metal carbides (excluding moulds of graphite or other carbons, ceramic ...",0,0,0,0,0,0,0,0,0,0,,23356,16982,17488,11828,11667,13594,14205,15277,11316,14945,,5782,8027,6193,9175,3737,3753,1982,1589,848,511
848299,"Parts of ball or roller bearings (excluding balls, needles and rollers), n.e.s.",0,0,0,128,51,0,28,5,0,0,,45305,50242,61988,44540,40892,51655,51041,46528,39506,48218,,24037,30186,27894,30554,18405,20811,19411,18123,12936,10409
842111,Centrifugal cream separators,0,0,0,0,0,0,0,0,0,0,,1226,1170,1315,276,1089,2122,4742,1633,1080,648,,0,40,47,190,27,108,303,52,60,43
842320,Scales for continuous weighing of goods on conveyors,0,0,0,0,0,0,0,0,0,0,,11246,9910,10321,5265,2433,1401,378,511,152,178,,2203,2920,2245,2118,1857,2233,2022,3228,1333,989
842382,Weighing machinery of a maximum weighing capacity > 30 kg but <= 5.000 kg (excluding personal ...,0,0,0,150,0,0,0,0,0,0,,2089,2317,1538,1640,608,1322,2865,318,384,653,,880,1402,1037,1988,1603,1847,1374,1359,2122,2083
841112,Turbojets of a thrust > 25 kN,0,0,0,0,0,0,0,0,25241,0,,417573,455041,584700,1190293,1727651,984069,4899969,5434743,6560970,4645104,,30,0,196,37940,1317,20205,114734,152399,59442,3576
841340,Concrete pumps,0,4696,6193,2239,0,0,0,253,5310,0,,13083,25331,57300,16948,22703,18378,12479,11546,6766,2339,,51522,49594,38587,41279,18990,7459,13187,31753,19316,25182
842930,Self-propelled scrapers,0,0,0,0,0,0,0,0,0,0,,22,18,319,2572,95,79,41,1787,17,188,,5654,10034,14111,8348,1338,4954,8153,4778,5569,2660
842420,"Spray guns and similar appliances (other than electrical machines, appliances and other devices ...",115,0,1234,91,39,0,30,0,214,0,,6748,6754,6951,4768,4753,4588,5614,5319,4706,5404,,18894,17844,29901,20400,17656,22761,15040,16131,6373,7904
842449,Agricultural or horticultural sprayers (excl. portable),0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1034,521,297,433,,0,0,0,0,0,0,0,0,0,640
842630,Portal or pedestal jib cranes,0,0,0,0,0,0,0,0,0,0,,22043,31685,9663,36783,11790,11815,2976,1795,1931,13295,,12930,9857,100635,5954,7445,2893,2070,1163,18599,21266
842641,"Mobile cranes and works trucks fitted with a crane, self-propelled, on tyres (excluding wheel-mounted ...",0,0,1098,0,0,0,0,0,0,0,,33448,49629,36330,39079,18733,18093,14720,15929,7794,14238,,334698,395806,446214,401523,132784,112293,124394,127124,98374,61684
844512,Combing machines for preparing textile fibres,0,0,0,0,0,0,0,0,0,0,,0,0,89,0,0,280,0,0,0,0,,57,0,0,0,14,3,0,14,0,23
844630,"Weaving machines for weaving fabrics of a width > 30 cm, shuttleless type",0,0,0,0,0,0,0,0,0,0,,1,121,2,7,6,0,17,17,292,53,,3721,5105,4262,4949,11,1789,1782,11276,1036,0
844819,"Auxiliary machinery for machines of heading 8444, 8445, 8446 or 8447 (excluding doobies and ...",0,0,0,0,0,0,0,0,0,0,,2075,5382,941,327,321,910,586,4654,252,319,,379,314,151,776,349,125,48,121,247,536
845020,"Laundry-type washing machines, of a dry linen capacity > 10 kg",0,0,0,0,0,0,0,0,0,0,,7291,8709,7917,7133,5590,6271,6186,4861,4824,4706,,13767,19898,16418,17986,18664,17879,23493,57833,96075,124597
845090,"Parts of household or laundry-type washing machines, n.e.s.",0,0,0,46,0,0,66,22,3,0,,3855,3021,2765,13955,4334,3334,2345,1257,2624,5847,,4460,5397,7719,7774,7906,5732,6315,4995,2837,5025
845110,Dry-cleaning machines for made-up textile articles,0,0,0,0,0,0,0,0,0,0,,489,335,455,212,299,1089,125,161,199,269,,857,4779,1235,1228,737,791,1736,2845,1130,325
845130,"Ironing machines and presses, incl. fusing presses (excluding calenders)",0,0,0,0,0,0,0,0,0,0,,6093,6719,6383,6586,6497,7575,6878,4761,1801,2200,,12539,10992,18722,17802,6963,6187,5300,8068,11451,6228
845180,"Machinery for dressing, finishing, coating or impregnating textile yarns, fabrics or other ...",0,0,52,0,0,0,0,0,0,0,,1896,4875,3371,3129,2579,1821,4490,4508,1112,1485,,5107,9098,20159,22279,13968,3075,15393,4193,3166,1367
845221,"Automatic sewing machines, industrial type",0,0,0,0,0,0,0,8,0,0,,61064,81974,75038,82551,96645,74865,62067,18360,9128,5518,,375,771,728,653,946,299,459,696,1208,1004
845380,"Machinery for making or repairing articles of hides, skins or leather (excluding footwear and ...",0,0,0,0,0,0,0,0,0,0,,571,415,556,208,152,899,57,180,108,191,,1241,1138,205,1129,91,85,287,135,96,443
845730,Multi-station transfer machines for working metal,0,0,0,0,52,77,0,0,0,0,,4185,5012,1462,1580,1319,472,898,1446,3115,6330,,2297,3071,1069,2752,3606,4514,2739,431,955,1771
845921,"Drilling machines for working metal, numerically controlled (excluding way-type unit head machines)",0,0,0,0,0,0,0,0,0,0,,587,1691,1404,1246,385,883,1476,316,3013,530,,3700,4594,2166,5305,1318,1300,2016,1426,2560,1060
846024,"Grinding machines for finishing metal, numerically controlled (excl. flat-surface, cylindrical ...",0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1209,924,899,811,,0,0,0,0,0,0,0,0,0,44
846150,"Sawing or cutting-off machines, for working metals, metal carbides or cermets (excluding machines ...",0,0,0,0,0,0,0,0,0,0,,25780,8364,7197,6194,5388,9712,5319,3995,3852,3406,,19051,8122,9027,8700,9095,6497,2836,3799,4032,3518
846231,"Shearing machines, incl. presses, numerically controlled, for working metal (other than combined ...",0,0,0,0,0,0,0,0,0,0,,884,706,312,86,123,168,650,761,1574,330,,5298,7878,12176,3030,5852,1029,1581,5444,3544,1148
846592,"Planing, milling or moulding -by cutting- machines, for working wood, cork, bone, hard rubber, ...",0,0,0,0,0,0,0,0,0,0,,5619,7392,6697,8070,10615,10173,8817,10891,4850,6720,,3101,3390,2091,2964,1966,1902,1884,1807,1834,2729
846599,"Machine tools for working wood, cork, bone, hard rubber, hard plastics or similar hard materials ...""",0,29,0,0,0,0,0,0,0,0,,17963,3990,4964,4546,2599,4076,3656,2366,2085,2509,,22958,24869,20426,24380,13310,10461,7992,4655,3257,13814
630240,"Table linen, knitted or crocheted",0,0,0,0,0,0,0,0,0,0,,357,51,34,44,37,297,8,92,11,22,,1364,1989,1912,1428,1044,1143,994,818,262,1696
630259,"Table linen of textile materials (excluding of cotton or man-made fibres, knitted or crocheted)",0,0,0,0,0,0,37,0,0,0,,248,301,231,441,127,95,94,17,30,50,,2573,2584,2546,3998,3770,2783,2267,3874,2629,2515
630532,"Flexible intermediate bulk containers, for the packing of goods, of synthetic or man-made textile ...",0,0,0,0,0,0,0,0,0,0,,676,464,658,271,577,764,435,480,124,237,,1854,1983,4068,9216,17325,2966,6359,8210,3851,5916
630533,"Sacks and bags, for the packing of goods, of polyethylene or polypropylene strip or the like ...",0,0,0,0,0,0,0,0,0,0,,1952,1780,1775,1096,1061,1337,1137,906,952,1006,,5780,3792,5442,2889,3146,5073,4351,7895,12603,5604
630622,Tents of synthetic fibres (excluding umbrella and play tents),0,0,0,0,0,0,0,0,0,0,,893,1021,2806,1658,2864,1203,1438,811,147,278,,2746,2256,4260,5189,9236,15317,7826,32470,6172,8901
630640,Pneumatic mattresses of textile materials,0,0,0,0,0,0,0,0,0,0,,371,404,390,147,249,387,338,112,127,63,,860,1501,546,855,697,485,507,692,466,120
640319,"Sports footwear, with outer soles of rubber, plastics, leather or composition leather and uppers ...",0,0,0,0,0,0,0,0,0,0,,13061,12830,16616,20034,27531,27938,37964,36525,32320,37031,,74617,63089,43508,4815,6767,5518,4766,12292,3764,1498
620343,"Men's or boys' trousers, bib and brace overalls, breeches and shorts of synthetic fibres (excluding ...",0,0,0,0,0,0,8,3,3,0,,8534,5841,6440,8137,6781,12299,11004,11137,10823,10800,,2068,12955,28675,38597,29339,13288,10537,10436,19814,46168
620421,"Women's or girls' ensembles of wool or fine animal hair (excluding knitted or crocheted, ski ...",0,0,0,0,0,0,0,0,0,0,,9,0,1,6,3,25,12,10,7,66,,0,59,0,261,261,251,245,144,5,10
620530,"Men's or boys' shirts of man-made fibres (excluding knitted or crocheted, nightshirts, singlets ...",0,0,0,0,0,0,0,0,0,0,,1231,1185,2032,1287,1674,1973,2182,1873,1642,1459,,16897,13781,15757,15112,15961,16398,13874,13195,9974,14957
620722,"Men's or boys' nightshirts and pyjamas of man-made fibres (excluding knitted or crocheted, ...",0,0,0,0,0,0,0,0,0,0,,96,2,108,160,59,1,8,1,7,14,,1709,352,1867,2022,1479,1861,1679,1594,5135,8910
620821,"Women's or girls' nightdresses and pyjamas of cotton (excluding knitted or crocheted, vests ...",0,79,0,0,0,0,0,0,0,0,,271,92,66,289,156,274,127,364,494,275,,23650,30827,27170,35047,11390,14275,14627,18440,10884,9171
621390,"Handkerchiefs of textile materials, of which no side exceeds 60 cm (excluding of cotton, and ...",0,0,0,0,0,0,0,0,0,0,,71,55,271,174,194,317,346,160,67,237,,0,173,0,139,231,313,284,1209,196,379
621410,"Shawls, scarves, mufflers, mantillas, veils and similar articles of silk or silk waste (excluding ...",0,0,0,0,0,0,0,0,0,0,,3914,2516,3283,3582,3500,3838,6785,6131,4760,5000,,979,827,1207,5949,4031,1889,1300,1686,2130,1641
621590,"Ties, bow ties and cravats of textile materials (excluding of silk, silk waste or man-made ...",0,0,0,0,0,0,0,0,0,0,,281,300,170,369,54,68,244,69,76,44,,424,481,962,1382,774,505,452,229,76,138
611190,"Babies' garments and clothing accessories of textile materials, knitted or crocheted (excluding ...",0,0,0,0,0,0,0,0,0,0,,7721,5954,7554,6424,2434,2163,2388,4332,2081,1287,,16114,9363,13549,7141,9170,2782,2139,997,3185,2099
611490,"Special garments for professional, sporting or other purposes, n.e.s., of textile materials, ...",0,0,0,0,0,0,0,5,0,0,,35887,70937,46882,24509,51188,61008,44265,25527,22880,33716,,74978,114945,202693,85200,53667,61084,79305,127185,94561,85999
611529,"Pantyhose and tights of textile materials, knitted or crocheted (excluding graduated compression ...",0,0,0,0,0,0,0,0,0,0,,942,578,1158,1714,740,554,308,205,134,166,,1618,2278,2402,1617,3205,4162,5030,4632,3171,2246
611610,"Gloves, mittens and mitts, impregnated, coated, covered or laminated with plastics or rubber, ...",0,0,0,0,0,0,0,0,0,0,,1474,1913,1613,1882,1750,1655,1828,2866,15935,4184,,2026,1943,3257,5202,4213,6003,6181,7793,7262,6282
620111,"Men's or boys' overcoats, raincoats, car coats, capes, cloaks and similar articles, of wool ...",0,0,0,0,0,0,0,0,0,0,,219,143,201,265,1017,1055,599,1029,816,2090,,6114,7174,1405,2916,6589,3768,3000,6424,2276,5731
620113,"Men's or boys' overcoats, raincoats, car coats, capes, cloaks and similar articles, of man-made ...",0,0,0,0,0,0,0,0,0,0,,219,306,190,497,705,1022,985,1848,985,1532,,810,1187,603,863,1304,772,2554,4335,11505,13864
620212,"Women's or girls' overcoats, raincoats, car coats, capes, cloaks and similar articles, of cotton ...",0,0,0,0,0,0,0,0,0,0,,705,489,765,519,530,950,1184,1426,2656,2491,,184,553,267,774,971,844,1281,1101,1981,1258
620323,"Men's or boys' ensembles of synthetic fibres (excluding knitted or crocheted, ski ensembles ...",0,0,0,0,0,0,0,0,0,0,,95,122,155,139,401,237,147,263,66,70,,37,0,40,0,1707,15753,20697,75202,20174,1218
610461,"Women's or girls' trousers, bib and brace overalls, breeches and shorts of wool or fine animal ...",0,0,0,0,0,0,0,0,0,0,,21,49,131,219,1121,318,796,793,1163,910,,79,54,0,344,749,1172,2676,8324,3833,780
610819,"Women's or girls' slips and petticoats of textile materials, knitted or crocheted (excluding ...",0,0,0,0,0,0,0,0,0,0,,208,98,64,225,57,80,518,281,754,687,,4468,2558,633,1008,3882,3001,2348,1299,409,456
610821,"Women's or girls' briefs and panties of cotton, knitted or crocheted",0,0,0,0,0,0,0,0,0,0,,862,1988,5641,8543,5237,5694,6802,4356,2927,3363,,6786,11575,11983,17987,13153,14974,14957,21902,19661,29178
481190,"Paper, paperboard, cellulose wadding and webs of soft cellulose, coated, impregnated, covered, ...",0,0,0,0,0,0,0,0,0,0,,65988,32480,9068,9083,10103,15810,25980,18901,12349,13646,,53142,59486,55451,52648,50062,48791,48962,47148,39700,58810
481320,Cigarette paper in rolls of a width of <= 5 cm,0,0,0,0,0,0,0,0,0,0,,6713,6141,5551,4489,4639,3865,4370,3657,4315,4122,,150,181,149,131,161,44,234,247,288,955
481850,"Articles of apparel and clothing accessories, of paper pulp, paper, cellulose wadding or webs ...",0,0,0,0,0,0,0,0,0,0,,2358,2105,2817,1950,610,423,1397,583,5182,1817,,4176,1194,351,660,3287,1615,1670,1726,44510,1221
520921,"Plain woven fabrics of cotton, containing >= 85% cotton by weight and weighing > 200 g/m©÷, ...",0,0,0,0,0,0,0,0,0,0,,44,244,488,411,173,16,0,46,1,1,,83,0,146,278,178,58,17,145,20,40
520942,"Denim, containing >= 85% cotton by weight and weighing > 200 g/m©÷, made of yarn of different ...",0,0,0,0,0,0,0,0,0,0,,4,153,18,111,514,14,30,49,171,18,,0,0,0,0,2,5,34,18,8,496
521119,"Woven fabrics of cotton, containing predominantly, but < 85% cotton by weight, mixed principally ...",0,0,0,0,0,0,0,0,0,0,,351,518,214,152,132,130,220,114,146,73,,29,29,0,29,99,88,61,77,46,57
521132,"Woven fabrics of cotton, containing predominantly, but < 85% cotton by weight, mixed principally ...",0,0,0,0,0,0,0,0,0,0,,472,427,602,93,112,15,77,1773,2838,231,,0,0,0,95,0,0,13,0,5,2
521142,"Denim, containing predominantly, but < 85% cotton by weight, mixed principally or solely with ...",0,0,0,0,0,0,0,0,0,0,,8,3,26,2,285,0,68,37,15,0,,0,0,0,143,121,34,11,58,4,0
521143,"Woven fabrics of cotton, containing predominantly, but < 85% cotton by weight, mixed principally ...",0,0,0,0,0,0,0,0,0,0,,0,36,12,30,0,0,0,0,0,0,,0,0,0,110,1,0,3,8,0,0
521159,"Woven fabrics of cotton, containing predominantly, but < 85% cotton by weight, mixed principally ...",0,28,0,0,0,0,0,0,0,0,,43,89,235,93,159,27,192,511,30,72,,116,642,749,173,1904,35,14,394,104,96
530911,"Woven fabrics of flax, containing >= 85% flax by weight, unbleached or bleached",0,0,0,0,0,0,0,0,0,0,,4,0,67,73,14,0,10,20,121,31,,98,32,168,51,115,73,71,113,228,207
540411,Elastomeric monofilament of >= 67 decitex and with a cross sectional dimension of <= 1 mm,0,0,0,0,0,0,0,0,0,0,,174,184,158,105,92,102,74,37,91,256,,0,0,122,3,28,3,100,45,190,40
540730,"Woven fabrics of synthetic filament yarn, incl. monofilament of >= 67 decitex and with a cross ...",0,0,0,0,0,0,0,0,0,0,,1184,2964,1873,1019,100,33,299,51,18,23,,0,75,185,34,211,45,55,55,200,41
540743,Woven fabrics of yarn containing >= 85% by weight of filaments of nylon or other polyamides ...,0,0,0,0,0,0,0,0,0,0,,280,40,321,34,135,690,135,29,61,57,,766,1405,962,1251,983,581,382,1067,494,248
540783,"Woven fabrics of yarn containing predominantly, but < 85% synthetic filament by weight, incl. ...",0,0,0,0,0,0,0,0,0,0,,26,273,83,141,221,76,47,33,36,27,,6768,11642,9167,10643,3513,1508,1415,1064,294,460
540784,"Woven fabrics of yarn containing predominantly, but < 85% synthetic filament by weight, incl. ...",0,0,0,0,0,0,0,0,0,0,,89,117,119,110,6,76,35,687,53,25,,669,1332,748,14,124,261,179,204,192,65
550110,"Filament tow as specified in Note 1 to chapter 55, of nylon or other polyamides",0,0,0,0,0,0,0,0,0,0,,11,42,31,43,6,18,2,23,12,5,,18975,10296,17039,12798,3085,1236,2294,1527,1465,772
550390,"Synthetic staple fibres, not carded, combed or otherwise processed for spinning (excluding ...",0,0,0,0,0,0,0,0,0,0,,248,72,152,42,376,246,54,25,4,23,,27,43,832,2681,12978,29775,653,1270,274,410
550700,"Artificial staple fibres, carded, combed or otherwise processed for spinning",0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,37,0,0,540,845,1119,999,490,1213,579
550921,Single yarn containing >= 85% polyester staple fibres by weight (excluding sewing thread and ...,0,0,0,0,0,0,0,0,0,0,,340,322,361,206,565,380,1380,283,93,34,,3152,2516,1063,1002,663,994,703,360,340,745
551030,"Yarn containing predominantly, but < 85% artificial staple fibres by weight, mixed principally ...",0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,132,0,0,241,67,63,11,648,91,0
551219,"Woven fabrics containing >= 85% polyester staple fibres by weight, dyed, made of yarn of different ...",0,0,0,0,0,0,0,0,0,0,,80824,60816,28583,23236,11008,10136,8726,8862,3204,2586,,8960,2493,1497,1084,1678,749,591,2340,4913,5925
551341,"Plain woven fabrics containing predominantly, but < 85% polyester staple fibres by weight, ...",0,0,0,0,0,0,0,0,0,0,,654,318,434,304,595,321,137,105,84,109,,522,569,59,130,3,222,165,261,49,111
551512,"Woven fabrics containing predominantly, but < 85% polyester staple fibres by weight, mixed ...",0,0,0,0,0,0,0,0,0,0,,220,170,118,49,760,264,218,36,212,32,,1745,3047,1884,1698,3338,3071,3661,25850,46434,49155
551513,"Woven fabrics containing predominantly, but < 85% polyester staple fibres by weight, mixed ...",0,0,0,0,0,0,0,0,0,0,,1448,720,1385,2431,2465,1411,1630,832,932,1023,,3567,5273,3713,5232,2974,2470,4033,11606,9361,2187
551522,"Woven fabrics containing predominantly, but < 85% acrylic or modacrylic staple fibres by weight, ...",0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,1,0,,94,132,0,0,49,5,0,0,0,0
551634,"Woven fabrics containing predominantly, but < 85% artificial staple fibres by weight, mixed ...",0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,155,248,30,161,0,9350,0,0,0,0
551692,"Woven fabrics containing predominantly, but < 85% artificial staple fibres by weight, other ...",0,0,0,0,0,0,0,0,0,0,,59,70,112,112,141,140,24,2,4,8,,0,33,49,48,54,142,82,123,119,215
551693,"Woven fabrics containing predominantly, but < 85% artificial staple fibres by weight, other ...",0,0,0,0,0,0,0,0,0,0,,24,88,946,70,56,4,1,13,30,30,,439,591,237,264,250,198,1200,807,1814,356
560392,"Nonwovens, whether or not impregnated, coated, covered or laminated, n.e.s., weighing > 25 ...",0,0,0,0,0,0,0,0,0,0,,1210,3424,5744,6408,6132,6597,7839,5093,628,574,,11145,11881,4766,2017,2268,2956,1684,1887,3828,8954
560721,"Binder or baler twine, of sisal or other textile fibres of the genus Agave",0,0,0,0,0,0,0,109,0,0,,24,21,29,17,9,10,3,12,8,219,,2083,785,797,1420,2903,2381,1321,915,969,235
560900,"Articles of yarn, strip or the like of heading 5404 or 5405, or of twine, cordage, ropes or ...",0,0,0,0,0,295,58,117,0,0,,2285,2272,2073,1561,2181,1390,1394,1736,1155,1430,,6893,10254,9973,11914,8510,6257,6074,7919,6143,4652
570210,"Kelem, Schumacks, Karamanie and similar hand-woven rugs, whether or not made up",0,0,0,0,0,0,0,0,0,0,,1,12,80,24,35,56,57,1,2459,2606,,378,147,323,201,239,482,232,462,601,664
570320,"Carpets and other floor coverings, of nylon or other polyamides, tufted """"needle punched"""", ...""",0,0,0,131,42,0,0,0,0,0,,1400,1606,1962,1700,1411,1069,1772,2477,2122,2137,,13953,16985,19757,20053,18268,18692,23831,19722,16261,20030
570410,"Floor tiles, of felt, not tufted or flocked, with an area of <= 0,3 m©÷",0,0,0,0,0,0,0,0,0,0,,3242,2649,646,286,268,110,151,112,44,58,,10355,5516,5458,6146,3588,3395,3536,4917,6846,4908
570490,"Carpets and other floor coverings, of felt, not tufted or flocked, whether or not made up (excluding ...",0,0,0,0,0,0,0,0,0,0,,4799,3357,2458,1520,1207,356,301,106,414,95,,6167,5224,4418,4715,3735,1353,3176,1443,803,1993
580133,"Cut weft pile fabrics, of man-made fibres (excluding terry towelling and similar woven terry ...",0,0,0,0,0,0,0,0,0,0,,166,26,485,82,130,13,30,56,25,9,,2317,1677,1649,1161,2096,3714,973,1125,1211,1870
580421,"Mechanically made lace of man-made fibres in the piece, in strips or in motifs (excluding fabrics ...",0,0,0,0,0,0,0,0,0,0,,5252,7164,7150,4195,4010,2404,2142,2212,1471,1201,,4645,5077,5505,9768,13201,9195,7239,10687,1653,686
580610,"Narrow woven pile fabrics, incl. terry towelling and similar terry fabrics, and chenille fabrics, ...",0,0,0,0,0,0,0,0,0,0,,7436,9886,2698,2803,1725,1167,1185,1143,1026,1525,,454,803,1237,696,898,772,766,894,327,194
590190,Tracing cloth; prepared painting canvas; buckram and similar stiffened textile fabrics of a ...,0,0,0,0,0,0,0,0,0,0,,865,753,726,1261,1323,504,455,370,208,224,,1675,1363,1940,1811,1506,1303,1287,2299,946,1731
590220,"Tyre cord fabric of high-tenacity polyester yarn, whether or not dipped or impregnated with ...",0,0,0,0,0,0,0,0,0,0,,139,74,412,637,550,383,54,83,84,230,,53,57,0,25,1509,116,33,71,275,87
590320,"Textile fabrics impregnated, coated, covered or laminated with polyurethane (excluding wallcoverings ...",0,0,0,0,0,0,0,0,0,0,,1449,811,580,655,1338,724,2493,1191,998,1030,,421,548,535,474,404,969,730,1178,1206,2024
600121,"Looped pile fabrics of cotton, knitted or crocheted",0,0,0,0,0,0,0,0,0,0,,1425,2679,2472,8567,6896,238,319,300,1420,16845,,106,0,0,41,79,161,45,44,87,1
600191,"Pile fabrics of cotton, knitted or crocheted (excluding """"long pile"""" fabrics)""""",0,0,0,0,0,0,0,0,0,0,,1285,765,643,173,106,1210,211,918,527,28,,320,320,0,10,43,41,0,94,36,6
600410,"Knitted or crocheted fabrics, of a width of > 30 cm, containing >= 5% by weight elastomeric ...""",0,0,0,0,0,0,0,0,0,0,,3173,3464,6008,7352,5515,5670,4251,2782,316,1566,,787,749,241,91,1130,1478,4749,5763,2599,1889
600543,"Warp knit fabrics of artificial fibres, of yarns of different colours """"incl. those made on ...""",0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,0,0,0,43,200,18,97,97,32,0
600624,"Printed cotton fabrics, knitted or crocheted, of a width of > 30 cm (excluding warp knit fabrics ...""",0,0,0,0,0,0,0,0,0,0,,3059,2727,2619,1913,2457,2598,1926,1509,676,651,,142,0,47,110,40,3,0,12,0,14
