Product code,Product label,"Australia's imports from Taipei, Chinese-Value in 2012","Australia's imports from Taipei, Chinese-Value in 2013","Australia's imports from Taipei, Chinese-Value in 2014","Australia's imports from Taipei, Chinese-Value in 2015","Australia's imports from Taipei, Chinese-Value in 2016","Australia's imports from Taipei, Chinese-Value in 2017","Australia's imports from Taipei, Chinese-Value in 2018","Australia's imports from Taipei, Chinese-Value in 2019","Australia's imports from Taipei, Chinese-Value in 2020","Australia's imports from Taipei, Chinese-Value in 2021","Taipei, Chinese's exports to world- ","Taipei, Chinese's exports to world-Value in 2012","Taipei, Chinese's exports to world-Value in 2013","Taipei, Chinese's exports to world-Value in 2014","Taipei, Chinese's exports to world-Value in 2015","Taipei, Chinese's exports to world-Value in 2016","Taipei, Chinese's exports to world-Value in 2017","Taipei, Chinese's exports to world-Value in 2018","Taipei, Chinese's exports to world-Value in 2019","Taipei, Chinese's exports to world-Value in 2020","Taipei, Chinese's exports to world-Value in 2021",Australia's imports from world- ,Australia's imports from world-Value in 2012,Australia's imports from world-Value in 2013,Australia's imports from world-Value in 2014,Australia's imports from world-Value in 2015,Australia's imports from world-Value in 2016,Australia's imports from world-Value in 2017,Australia's imports from world-Value in 2018,Australia's imports from world-Value in 2019,Australia's imports from world-Value in 2020,Australia's imports from world-Value in 2021
210690,"Food preparations, n.e.s.",4719,4462,5065,6232,7384,7969,14146,20690,20228,30207,,245717,278021,325763,371072,406688,460192,604534,700475,679984,828703,,1210138,1265084,1224440,1193919,1206955,915116,1122181,1459633,1397965,1556710
820420,"Interchangeable spanner sockets, with or without handles, of base metal",17899,16114,16584,15502,16415,18729,21438,19847,19928,28868,,327881,323604,320964,322141,308095,342262,357941,364866,344342,463853,,34712,30386,28329,25598,25727,28804,31987,30252,31081,42954
731815,"Threaded screws and bolts, of iron or steel, whether or not with their nuts and washers (excl. ...",31796,27458,31260,30953,27366,25348,29467,25769,22916,27998,,1993113,2015107,2204364,2114206,1918616,2195880,2481850,2290296,2017628,2610363,,229383,218779,219847,203988,179038,228091,247482,244466,224520,274489
871160,"Motorcycles, incl. mopeds, and cycles fitted with an auxiliary motor, with electric motor for ...",0,0,0,0,0,4125,15150,14866,26921,26738,,0,0,0,0,0,232128,386182,870885,995609,1332394,,0,0,0,0,0,24693,53693,75789,124605,198585
30489,"Frozen fish fillets, n.e.s.",26786,27020,26960,28912,25065,27705,26643,27190,20523,26065,,0,5246,96389,86784,102902,113943,75530,79511,92537,80448,,166692,161305,167897,146227,150441,135695,150132,129280,110651,127706
731812,Wood screws of iron or steel (excluding coach screws),18510,18494,21462,21132,17687,15849,20197,16443,21415,25603,,163445,163823,197143,180493,173617,186590,225740,254128,295835,389238,,28280,30374,35502,37308,29707,32491,36777,32156,40496,49631
850440,Static converters,25406,22701,21913,20708,15764,16148,13931,13436,15574,24935,,962241,967063,986908,923664,907896,938815,964531,1088818,1299650,1667392,,827891,680313,685075,636871,613036,812419,940969,924643,1043855,1211751
852580,"Television cameras, digital cameras and video camera recorders",44225,42639,40889,30773,26751,26612,43615,32572,22421,24244,,1778120,1928112,1437715,1350992,1177300,1124577,1147273,1123967,1055785,1268773,,731592,588100,576238,537141,501631,605791,726219,688206,630793,803323
900490,"Spectacles, goggles and the like, corrective, protective or other (excluding spectacles for ...",17808,14693,16032,17918,15835,16590,18890,17873,21387,22870,,237842,250596,273934,277217,271873,293903,326993,313772,387316,378896,,161583,190018,224863,192860,167737,187723,212673,208102,265706,231957
901480,"Navigational instruments and apparatus (excluding for aeronautical or space navigation, compasses ...",1404,2178,1414,432,2504,3914,3827,11951,15612,22852,,21641,35319,37069,16252,32123,52635,81638,121025,180625,276977,,65639,57867,76448,82415,115754,77357,78792,86589,63506,101314
871499,"Parts and accessories, for bicycles, n.e.s.",7424,8792,9300,7598,7148,7853,9325,11161,14712,20891,,1014187,971645,1089504,1030111,968579,1134551,1196715,1260913,1377242,2183128,,23994,25980,24596,20599,19464,20157,20832,22539,28761,39895
854430,"Ignition wiring sets and other wiring sets for vehicles, aircraft or ships",3777,11615,12517,14168,13575,15058,14899,13736,11181,20503,,35755,34299,38087,41515,44553,49886,50368,52807,49207,72937,,206644,202631,180369,174791,162088,132888,99017,100368,87836,116523
820559,"Hand tools, incl. glaziers' diamonds, of base metal, n.e.s.",10949,11935,12609,13258,13304,13838,14155,12874,13254,17588,,776032,761215,813282,725637,689194,733792,732304,707031,708993,957445,,77215,73587,75356,76071,70154,81581,82753,76502,77591,101131
732690,"Articles of iron or steel, n.e.s. (excluding cast articles or articles of iron or steel wire)",26082,24394,21581,19396,17038,16807,17582,15578,15002,17142,,1234047,1192436,1192664,1152038,1122593,1209901,1262074,1172580,1066760,1292023,,621085,664346,696161,619337,566386,558987,633708,588046,593315,728831
830241,Base metal mountings and fittings suitable for buildings (excluding locks with keys and hinges),11334,10802,12383,12320,11591,11003,13379,11324,13386,16903,,91523,97486,87584,97133,98171,104418,117517,128280,123401,163987,,127074,134710,148195,143206,146980,161896,179792,146804,157118,198466
482369,"Trays, dishes, plates, cups and the like, of paper or paperboard (excluding of bamboo paper ...",1521,3998,7858,9849,11523,11375,11491,13160,14291,16073,,56097,55307,60550,69723,83089,93368,112229,128921,98101,105421,,69984,75242,90693,85225,87642,91235,100667,101409,96550,124012
847180,"Units for automatic data-processing machines (excluding processing units, input or output units ...",25856,26411,23854,15649,13441,12275,24492,17550,17410,16053,,281804,307198,354855,374587,390500,421355,534033,1267126,1077497,1614477,,325876,263294,216044,188798,173019,205465,224950,194373,188144,179669
870829,"Parts and accessories of bodies for tractors, motor vehicles for the transport of ten or more ...""",23268,24032,20914,22224,20227,16049,7248,7722,9132,15672,,720644,758417,801785,817373,857485,1000021,991660,959568,899743,1142917,,431270,411817,397157,384487,402916,411701,409605,392088,349927,477877
848180,"Appliances for pipes, boiler shells, tanks, vats or the like (excluding pressure-reducing ...""",20858,17982,20233,23555,12561,14462,16137,14119,14414,15635,,619819,642772,692724,604955,581870,701415,796569,739363,758647,993001,,1137469,1159139,1235749,1257267,930580,909625,998002,872768,886825,1146437
820411,"Hand-operated spanners and wrenches, incl. torque meter wrenches, of base metal, non-adjustable",11426,9119,9707,8737,8388,9113,11023,10415,10862,15558,,156882,147069,156382,148308,148937,163993,179593,186316,173806,219580,,36614,31038,28459,24619,23861,26194,28885,27770,27272,37048
390720,"Polyethers, in primary forms (excluding polyacetals and goods of 3002 10)",1549,1659,1278,2293,1620,2243,2240,3800,3320,15310,,519602,554170,562955,409610,283842,404686,442245,343369,285483,763253,,58244,48183,51182,44803,36833,42932,44227,52196,59239,93924
721934,"Flat-rolled products of stainless steel, of a width of >= 600 mm, not further worked than ...""",15956,14808,11623,12750,10182,11500,12916,9756,10167,15071,,658094,677425,687909,472295,520811,661971,662742,524117,436452,778384,,28261,25272,23490,25420,20654,22916,28450,22565,20393,31323
820600,"Sets of two or more tools of heading 8202 to 8205, put up in sets for retail sale",11451,8394,7395,4620,4596,6155,6360,6123,8218,15063,,120983,122857,130148,146729,161721,179516,202944,255707,245472,290871,,29024,24175,22446,22226,19076,21668,21760,20153,22206,35705
841370,"Centrifugal pumps, power-driven (excluding those of subheading 8413.11 and 8413.19, fuel, lubricating ...",14121,14919,14761,16631,15426,14117,14180,13189,14139,14614,,114448,120132,128393,119648,117455,174056,184271,171272,149618,218761,,216205,331180,218839,184198,162772,171896,217782,201362,182756,222413
722012,"Flat-rolled products of stainless steel, of a width of < 600 mm, not further worked than hot-rolled, ...",674,512,751,312,462,713,200,347,288,14554,,29499,18089,22259,23686,19698,21426,20284,18176,16034,30369,,2182,716,1085,496,794,863,1331,901,498,18609
320611,Pigments and preparations based on titanium dioxide of a kind used for colouring any material ...,0,0,0,0,1168,8420,8963,8248,9977,13994,,190238,295074,296275,267257,232735,256280,223514,186410,186292,284548,,44308,44359,38859,33722,37256,59030,62176,53811,60498,70292
390799,"Saturated polyesters in primary forms (excluding polycarbonates, alkyd resins, poly""""ethylene ...""",9033,15107,13365,11056,12302,16814,14554,12088,9450,13988,,730507,757341,708651,569498,545532,702827,788968,662091,627872,1225572,,50079,50607,48390,38932,38612,42006,39437,31690,25676,38840
392410,"Tableware and kitchenware, of plastics",14903,12173,12191,10635,9898,10871,10503,11257,10092,13889,,212975,248251,272275,267313,261185,278585,292700,324811,312056,362739,,231203,242875,249563,228864,205269,218246,226112,229328,217069,249799
731816,Nuts of iron or steel,9362,6050,6356,6308,6382,7456,10009,7688,8654,13793,,750988,781073,884545,830315,788460,895411,995556,897104,731365,1044051,,63520,58286,66449,58235,52282,58866,68263,63483,56766,75192
854370,"Electrical machines and apparatus, having individual functions, n.e.s. in chapter 85",12536,10709,12639,15093,10999,12284,12414,10241,10441,13502,,379132,430150,260133,251274,240047,276778,249114,520913,649506,781105,,575500,560789,578261,496729,517604,459998,421460,422166,378786,503888
852691,Radio navigational aid apparatus,62221,25500,18276,17844,14734,12514,11836,9911,10631,13334,,977150,867512,831132,815610,712901,452222,400274,503430,427124,554730,,236629,170570,145646,142593,124281,120526,128028,133810,169396,179025
340220,"Surface-active preparations, washing preparations, auxiliary washing preparations and cleaning ...",340,356,347,547,2181,7031,8900,13687,13027,13305,,27913,27544,28439,26068,27611,35570,39974,52056,62696,78129,,180076,197841,204022,170664,149505,158355,183173,204625,275863,292394
847149,"Data-processing machines, automatic, presented in the form of systems """"comprising at least ...""",6684,7403,5400,6085,7137,8015,9192,7315,7918,13221,,301680,316696,333150,331233,374039,435514,528796,468131,677673,755771,,581568,478871,366199,372773,364097,364631,356627,153714,220859,218610
870880,"Suspension systems and parts thereof, incl. shock-absorbers, for tractors, motor vehicles for ...",4921,5193,6308,6291,6982,8541,9525,9737,11287,13122,,77655,73034,84869,168309,173406,184227,204344,216930,226180,293960,,131254,140137,132254,128372,123615,144293,139398,142884,148685,209289
950430,"Games with screens, flipper and other games, operated by coins, banknotes, bank cards, tokens ...",27980,33590,43728,41710,41791,21933,11997,11979,6136,12627,,156250,130727,132569,125911,149472,126215,104389,111192,71913,97627,,115889,126863,161629,148056,180575,155614,158504,148275,77812,130911
870899,"Parts and accessories, for tractors, motor vehicles for the transport of ten or more persons, ...",16618,15846,15901,15341,14946,12838,9731,9186,10323,12552,,1832137,1865157,1865417,1797522,1683366,1757502,1723295,1628420,1562000,1979349,,732814,658707,572171,520313,469408,452920,453951,442165,387207,509404
271320,Petroleum bitumen,0,20976,3165,4075,4655,2551,9491,20159,12486,12378,,139007,161968,142152,117090,57378,67400,80307,100248,68600,70857,,404522,496992,410666,254064,135064,269635,362786,338974,302806,386883
890392,"Motor boats and motor yachts, for pleasure or sports (other than outboard motor boats)",31747,25560,24707,11552,16677,4374,24900,31387,9776,12178,,2367,557,2248,1044,1658,3270,4787,6999,8145,3292,,254062,200204,168761,96105,135925,154015,168385,162093,120924,247810
853669,Plugs and sockets for a voltage <= 1.000 V (excluding lamp holders),10787,10097,9693,9867,9346,9622,11076,9707,9595,12104,,277658,294950,324382,333960,348849,403789,422066,409034,440676,578821,,123574,128705,122838,133229,127141,141864,166839,158854,161688,193323
940320,"Metal furniture (excluding for offices, seats and medical, surgical, dental or veterinary  ...",16416,14806,12664,13343,12289,12208,11952,13326,13231,12025,,433558,405139,479130,494004,475013,478394,494559,612697,676570,718752,,352823,362456,384980,397840,368820,373069,454791,418512,413428,538759
854231,"Electronic integrated circuits as processors and controllers, whether or not combined with ...",9720,7787,5946,7269,7196,6655,9007,15178,9512,11835,,1041863,1191580,1203438,1538886,1693407,2446643,4686180,6136142,9822947,15391969,,249672,213338,212724,188075,193998,179618,173574,172257,186561,202983
845710,Machining centres for working metal,5384,2817,1960,2156,982,1983,3177,5268,4557,11451,,1403744,1107965,1264923,1111634,1062312,1205321,1369773,1006522,700861,936213,,37356,20507,16045,15128,21715,29162,29846,31403,30004,43510
845210,Sewing machines of the household type,11954,10312,9625,9722,7143,6542,7828,6424,8178,11439,,169315,164711,168478,132711,121161,115046,117577,109975,130641,159648,,38911,33800,30763,29135,24039,22346,27948,21854,30247,36910
871390,"Carriages for disabled persons, motorised or otherwise mechanically propelled (excluding specially ...",7065,7739,8314,9859,8849,9249,8855,9598,10900,11283,,111161,106884,133936,133730,133572,150837,155396,154763,87598,104668,,18026,18275,20541,24323,23529,23847,24899,31648,38581,38379
901890,"Instruments and appliances used in medical, surgical or veterinary sciences, n.e.s.",4873,3983,3834,4920,7523,5732,8421,8454,8770,11172,,191732,209715,223686,228272,247766,254745,289209,316675,335198,395279,,1220020,1209999,1240623,1162391,1303647,1285841,1435003,1351207,1287124,1484058
950300,"Tricycles, scooters, pedal cars and similar wheeled toys; dolls' carriages; dolls; other toys; ...""",16850,15158,13104,9477,8313,8407,9614,6405,7403,11138,,467625,391288,380276,323860,310795,307677,322701,297230,348065,409625,,931010,936199,978367,973628,948976,1030846,1063379,1020308,1112275,1338554
730661,"Tubes and pipes and hollow profiles, welded, of square or rectangular cross-section, of iron ...",5054,0,3017,12955,7943,10059,10000,6943,8644,10883,,18874,22977,20300,21639,52459,67374,100478,91561,73932,130430,,114333,103562,127064,43862,28068,73288,120156,115217,96746,173926
847160,"Input or output units for automatic data-processing machines, whether or not containing storage ...",11201,11514,10182,7839,15395,10296,9391,7896,12446,10748,,281025,227343,297715,219616,436543,343800,389475,324308,328705,348602,,220081,242728,229078,211270,226232,229116,275021,283785,362394,392442
392062,"Plates, sheets, film, foil and strip, of non-cellular poly""""ethylene terephthalate"""", not ...""",2591,2601,2404,2923,5957,7638,10705,8072,8778,10503,,433942,466125,523745,472854,434563,413794,469301,450234,530638,651557,,50527,57179,53032,50889,57567,63448,77051,78736,79271,87463
721012,"Flat-rolled products of iron or non-alloy steel, of a width of >= 600 mm, hot-rolled or cold-rolled ...""",2844,3775,3889,1027,3459,4621,5926,5216,6777,10426,,148859,151205,122038,104835,104773,106579,101483,93782,116625,158878,,114049,95373,88710,76708,72155,80385,89137,83736,72144,97228
721932,"Flat-rolled products of stainless steel, of a width of >= 600 mm, not further worked than ...""",8195,6573,4754,7287,4903,5956,7591,6650,6716,10173,,114676,127890,164149,88615,102562,125736,129480,123377,92498,245476,,31683,33976,21055,22564,16241,23241,26642,21820,18226,33083
630790,"Made-up articles of textile materials, incl. dress patterns, n.e.s.",5657,5921,5990,6650,6840,6412,6173,6298,8558,9751,,104561,113783,113595,115156,118361,133601,134765,145514,278466,199517,,183327,196891,218735,232560,239476,256294,278734,282997,1563043,506463
940390,"Parts of furniture, n.e.s. (excluding of seats and medical, surgical, dental or veterinary ...",8082,8871,9805,10338,10312,10048,11459,9212,9832,9740,,208407,231839,243007,218969,221588,234924,278023,273601,290027,363731,,146737,165258,185488,191138,183596,206940,238193,226773,212139,306790
847141,"Data-processing machines, automatic, comprising in the same housing at least a central processing ...",11204,14495,16131,24987,9034,10321,8870,8610,8018,9363,,461438,465215,440137,411557,448797,485799,593358,686699,747143,922372,,277076,483907,451055,393423,297319,356382,410908,468477,395283,409582
190590,"Bread, pastry, cakes, biscuits and other bakers' wares, whether or not containing cocoa; communion ...",2859,3646,3664,3579,3909,4167,5241,5963,6624,8975,,109797,122810,125292,139539,139009,151508,155442,158163,161939,192284,,346797,377185,377569,352966,374198,410589,449415,488920,496921,564975
390730,"Epoxide resins, in primary forms",5495,6323,5628,4527,2763,3004,3657,3920,2378,8852,,596853,619474,632493,578825,464673,565145,677052,659126,681639,1141750,,43079,52817,53446,42944,35537,32116,42016,42808,37104,54278
853690,"Electrical apparatus for switching electrical circuits, or for making connections to or in ...",10123,8824,8280,7573,7579,8450,8588,6796,7115,8749,,1104126,1159443,1011837,860210,794455,850459,853745,760466,778119,1052646,,169721,142521,149821,131717,121825,145804,128511,118166,120479,135490
851770,"Parts of telephone sets, telephones for cellular networks or for other wireless networks and ...",11633,9117,11130,9387,7845,10435,9830,6370,7839,8571,,3006708,3050632,2988827,2069868,1689764,1965414,1659108,1919649,2046042,2186394,,568712,495790,487413,491124,603764,569955,577289,497239,444519,1310912
390690,"Acrylic polymers, in primary forms (excluding poly""""methyl methacrylate"""")""""",2967,3792,2714,3195,3486,3573,3483,3704,3455,8468,,361153,465208,477515,402084,397610,474919,584706,487987,469037,635745,,151621,166043,155125,133609,147222,167471,171938,161985,146142,184988
844399,"Parts and accessories of printers, copying machines and facsimile machines, n.e.s. (excluding ...",2003,1928,1777,2187,2822,1879,1402,1683,3276,8426,,198117,203218,184974,171047,175539,171490,189901,186078,150987,186813,,949682,958133,866669,767634,561250,496871,459543,406577,346389,412353
870321,"Motor cars and other motor vehicles principally designed for the transport of persons, incl. ...",13186,4645,5301,6223,4802,6595,6029,4787,5685,8313,,248312,207473,216993,207935,219168,193958,234567,190987,239260,387598,,219067,146930,139077,156778,135234,163799,188212,140331,227292,382184
850153,"AC motors, multi-phase, of an output > 75 kW",32251,22935,16000,13921,8234,9794,10373,13857,10711,8053,,167552,172376,140114,120658,87156,90589,98203,100756,83490,88270,,175635,132975,104497,69409,53477,78535,123079,121161,190804,135702
903180,"Instruments, appliances and machines for measuring or checking, not elsewhere specified in ...",18554,13597,17830,23881,18463,15095,11791,9190,6184,7938,,148099,146502,264539,285792,416033,345012,340500,313888,327199,483655,,305217,280318,360676,322543,329914,265347,288698,307551,296332,328704
940130,"Swivel seats with variable height adjustments (excluding medical, surgical, dental or veterinary, ...",8868,7392,8672,8333,5347,5821,6792,5833,5329,7915,,7640,21391,52450,58246,53114,57021,76443,64346,80508,85268,,73250,69340,77236,82499,88721,92120,105601,104483,138440,174949
830242,"Base metal mountings, fittings and similar articles suitable for furniture (excluding locks ...",9591,9925,9862,8715,9805,9060,8540,6552,6328,7735,,242976,243381,254714,243881,238019,235772,244401,236791,222511,289679,,76603,75665,83542,74174,87537,82214,89656,85687,89231,117390
590310,"Textile fabrics impregnated, coated, covered or laminated with poly""""vinyl chloride"""" (excluding ...""",2556,2742,2658,3095,2397,3134,3127,4774,4942,7726,,202537,183629,177954,169003,155870,156638,153627,129454,105505,131447,,16947,18686,19338,20122,21455,27053,25478,28346,27608,36819
854442,"Electric conductors for a voltage <= 1.000 V, insulated, fitted with connectors, n.e.s.",14948,7077,6971,7192,6729,8327,7761,5400,5702,7672,,203267,205089,196262,204543,203558,240909,253669,263335,314608,430377,,312941,332738,300773,292406,260614,334014,411524,310023,324495,394750
550320,"Staple fibres of polyesters, not carded, combed or otherwise processed for spinning",11859,11472,10560,10540,9089,9528,10293,11456,6892,7496,,690982,624421,573205,450651,426362,457101,489054,363487,282928,322187,,42247,42290,37906,33565,28504,28659,34519,34281,30854,38585
846719,"Pneumatic tools for working in the hand, non-rotary type",7430,7522,8224,7088,7231,8127,8920,5972,5884,7473,,205355,189818,209817,250571,258515,264437,269149,265143,299518,371689,,34149,31347,29715,26420,23513,28305,29943,28054,28407,38629
854140,"Photosensitive semiconductor devices, incl. photovoltaic cells whether or not assembled in ...",10531,7092,9531,10859,10546,10133,12594,9448,6650,7446,,5619155,5849332,6778516,5929628,5082893,4412014,3115613,2058540,1833356,2609199,,1014067,595557,643616,563170,466886,969348,1585756,1470018,1178581,1370466
846150,"Sawing or cutting-off machines, for working metals, metal carbides or cermets (excluding machines ...",6578,6213,4914,4831,4009,5496,6418,5875,5345,7373,,188708,173341,174765,145062,137630,159073,161817,133192,93849,123013,,21772,23564,23586,21799,20253,27507,25279,24450,21565,29377
700910,"Rear-view mirrors, whether or not framed, for vehicles",3479,3323,3260,3219,3937,4344,4633,3649,4031,7348,,163423,179717,197996,184715,178139,189120,185969,183627,172530,218133,,20008,19710,20937,18611,18704,20421,20267,20438,18765,28668
291714,Maleic anhydride,301,2216,3558,3492,3190,4444,5434,4049,3426,7342,,58353,80564,92078,57333,45547,85433,95363,58824,60159,126580,,6582,8291,7973,4962,4452,5821,7224,5609,4825,9190
820790,"Interchangeable tools for hand tools, whether or not power-operated, or for machine tools, ...",4968,4508,5396,5604,6081,6921,7902,6052,6180,7324,,58707,71756,79531,76773,73637,93071,91341,103113,105084,121872,,43087,43695,47433,40995,37506,42193,51367,45267,47939,59527
401699,"Articles of vulcanised rubber (excluding hard rubber), n.e.s.",7745,7724,7181,6598,5871,5404,4405,4785,5498,7286,,86133,83012,85910,79244,80325,92753,103138,97007,101911,132536,,190843,177499,190502,170606,166220,170834,173955,166955,175822,204146
853710,"Boards, cabinets and similar combinations of apparatus for electric control or the distribution ...",4277,3607,4008,5240,4786,4192,6447,4688,4793,7279,,298280,319418,395382,377346,382927,451170,497308,448487,531493,863044,,457825,463563,462692,508964,449094,450725,486776,504438,486250,581294
871410,"Parts and accessories of motorcycles, incl. mopeds, n.e.s.",5968,6726,6263,6440,5234,5724,4740,4367,5455,7277,,0,38821,510869,441597,467596,491945,491889,521988,497698,681643,,74130,76138,71996,69837,69687,64503,58028,52848,58470,77658
