Product code,Product label,"Taipei, Chinese's imports from Australia-Value in 2012","Taipei, Chinese's imports from Australia-Value in 2013","Taipei, Chinese's imports from Australia-Value in 2014","Taipei, Chinese's imports from Australia-Value in 2015","Taipei, Chinese's imports from Australia-Value in 2016","Taipei, Chinese's imports from Australia-Value in 2017","Taipei, Chinese's imports from Australia-Value in 2018","Taipei, Chinese's imports from Australia-Value in 2019","Taipei, Chinese's imports from Australia-Value in 2020","Taipei, Chinese's imports from Australia-Value in 2021",Australia's exports to world- ,Australia's exports to world-Value in 2012,Australia's exports to world-Value in 2013,Australia's exports to world-Value in 2014,Australia's exports to world-Value in 2015,Australia's exports to world-Value in 2016,Australia's exports to world-Value in 2017,Australia's exports to world-Value in 2018,Australia's exports to world-Value in 2019,Australia's exports to world-Value in 2020,Australia's exports to world-Value in 2021,"Taipei, Chinese's imports from world- ","Taipei, Chinese's imports from world-Value in 2012","Taipei, Chinese's imports from world-Value in 2013","Taipei, Chinese's imports from world-Value in 2014","Taipei, Chinese's imports from world-Value in 2015","Taipei, Chinese's imports from world-Value in 2016","Taipei, Chinese's imports from world-Value in 2017","Taipei, Chinese's imports from world-Value in 2018","Taipei, Chinese's imports from world-Value in 2019","Taipei, Chinese's imports from world-Value in 2020","Taipei, Chinese's imports from world-Value in 2021"
902190,"Articles and appliances, which are worn or carried, or implanted in the body, to compensate ...",846,669,802,1048,1153,793,94,46,64,75,,308650,339415,394874,377320,499821,595197,640390,147240,85064,117972,,52259,61387,62464,79304,68828,69186,82561,92818,99683,100793
852329,Magnetic media for the recording of sound or of other phenomena (excluding cards incorporating ...,47,91,45,66,69,112,55,60,98,75,,18654,15014,13724,9196,16312,19232,12811,21543,16668,14737,,14474,13659,21064,14680,23713,23019,11665,11673,4777,4721
843010,"Pile-drivers and pile-extractors (excluding those mounted on railway wagons, motor vehicle ...",0,0,0,0,0,0,0,0,0,75,,4521,1349,9153,8441,6615,1512,2950,3084,3148,5604,,2048,2058,2170,3298,2802,6215,3209,5196,4345,13757
740729,"Bars, rods and profiles of copper alloys, n.e.s. (excluding such articles of copper-zinc base ...""",375,0,0,0,126,93,163,110,60,74,,2616,3967,4695,4177,5169,4286,1200,1315,1493,1750,,12912,9969,13528,7916,9544,11044,12991,13048,9244,14791
846693,"Parts and accessories for machine tools for working metal by removing material, n.e.s.",56,54,8,51,41,218,90,45,75,74,,24211,25289,29508,29580,27457,34640,40785,21226,13382,16290,,141175,127239,140004,125816,111271,137456,155345,124284,88459,124460
843890,"Parts of machinery for the industrial preparation or manufacture of food or drink, n.e.s.",17,6,13,63,40,24,7,43,14,74,,23315,23180,30252,22812,16154,19523,23956,25805,33287,43224,,7393,7110,7534,9427,9717,10837,9209,10063,9442,10311
710813,"Gold, incl. gold plated with platinum, in semi-manufactured forms, for non-monetary purposes",212,12721,21,47,38,25,25,114,22,74,,15141407,12938150,11889298,10709989,13390949,12999194,13986349,16124214,15983700,15003130,,1416149,1053777,950788,756574,802082,819449,804913,861208,1202319,1299090
50690,"Bones and horn-cores and their powder and waste, unworked, defatted, degelatinised or simply ...",139,118,99,72,98,134,114,95,71,74,,7494,4546,3405,2611,4606,4229,3396,4051,3083,2156,,152,171,116,139,163,159,141,123,96,185
903089,"Instruments and apparatus for measuring or checking electrical quantities, without recording ...",599,96,263,2,2,55,13,37,377,73,,6885,6377,5809,7756,2601,3019,5853,6217,4433,3150,,114122,94352,123969,101953,89197,110828,109550,121917,132663,153599
903033,"Instruments and apparatus for measuring or checking voltage, current, resistance or electrical ...",3,8,0,2,0,14,15,3,0,73,,2911,7629,9695,4721,4698,2604,3268,4201,2473,3909,,21172,25495,20713,25943,25439,29157,32754,28719,34785,43630
710122,"Cultured pearls, worked, whether or not graded, but not strung, mounted or set, worked cultured ...",0,159,20,41,6,38,27,19,53,71,,123295,117114,102037,53076,64649,45261,42847,39696,26532,14378,,4203,2818,3034,687,300,449,291,637,345,224
350699,"Glues, prepared, and other prepared adhesives, n.e.s.",120,168,100,54,67,103,108,40,76,70,,17367,18729,20196,19505,19349,26182,25909,24476,24297,35805,,188653,167087,161705,143268,146378,142952,137633,132401,141615,173433
901839,"Needles, catheters, cannulae and the like, used in medical, surgical, dental or veterinary ...",53,15,24,14,11,14,10,69,89,70,,16021,14384,16644,18673,22309,21405,17402,19850,19970,20672,,95926,104044,105552,106128,105293,119698,142436,158785,174345,191745
392390,"Articles for the conveyance or packaging of goods, of plastics (excluding boxes, cases, crates ...",13,2,4,2,4,17,41,204,151,70,,43239,38870,31240,22491,23584,28923,46831,43893,37294,33504,,95530,102054,120539,112886,126747,132108,161626,140046,160239,181699
480421,"Unbleached sack kraft paper, uncoated, in rolls of a width > 36 cm (excluding goods of heading ...",73,0,32,93,30,0,51,243,65,70,,4472,37041,37943,31617,26648,33315,43968,37884,29318,34271,,8478,8784,11203,11854,6397,8782,11458,12371,11722,14084
940330,Wooden furniture for offices (excluding seats),0,0,0,0,0,6,0,0,0,69,,8591,5418,8379,9997,9020,6841,5764,6272,4716,6262,,5238,5207,6349,6581,6645,6405,7490,7788,7855,9388
190531,Sweet biscuits,3,114,1,185,342,215,162,231,102,69,,52561,45024,43138,38621,37431,42922,42710,42460,36555,62990,,39808,44739,49098,49624,50376,47242,50622,46712,45577,54163
854420,"Coaxial cable and other coaxial electric conductors, insulated",56,102,139,72,107,210,50,71,0,68,,14388,17457,9069,8543,7619,16665,12147,12278,12292,16698,,35321,37473,44905,41590,43227,42938,42522,37457,41557,69708
701337,Drinking glasses (excluding glasses of glass ceramics or of lead crystal and stemware),0,2,14,26,64,89,124,57,25,67,,418,453,351,717,518,579,611,801,994,682,,6128,5721,7638,7056,5787,5848,8183,7751,8312,7195
901910,Mechano-therapy appliances; massage apparatus; psychological aptitude-testing apparatus,46,0,2,32,6,42,95,39,65,67,,4169,3669,4337,2922,2384,5004,6279,5213,5365,8775,,83209,78854,66270,75614,74327,80211,95912,98631,127839,148098
847490,"Parts of machinery for working mineral substances of heading 8474, n.e.s.",12,7,18,0,0,26,5,2,0,66,,232401,238165,150416,142787,132656,169730,169709,176805,138096,180596,,15169,24090,29188,19102,9699,13315,22705,21436,17319,41990
902000,Breathing appliances and gas masks (excluding protective masks having neither mechanical parts ...,352,154,37,60,123,117,105,64,122,66,,13230,13619,9562,10556,24869,41223,63047,69904,87760,43057,,9322,8022,9133,10738,12413,12472,10145,12245,11794,13719
890391,"Sailboats and yachts, with or without auxiliary motor, for pleasure or sports",0,5,12,64,0,27,41,11,31,66,,10800,4820,8841,20076,8572,9812,8723,18363,19608,11927,,435,1487,387,1167,329,553,838,444,545,2311
391810,"Floor coverings, whether or not self-adhesive, in rolls or in the form of tiles, and wall ...""",17,68,236,139,252,190,150,53,54,66,,18317,11497,8522,6043,7304,8050,6783,8076,6438,8809,,15983,16668,18650,18366,18885,20311,24921,31416,36815,51528
110311,Groats and meal of wheat,32,62,66,49,62,51,49,50,34,66,,10934,7906,6584,6438,9002,6484,5437,3553,3406,3394,,228,91,84,68,75,61,83,128,35,68
121221,"Seaweeds and other algae, fresh, chilled, frozen or dried, whether or not ground, fit for human ...",0,71,652,575,510,276,67,97,140,65,,878,925,1063,859,705,1048,1227,913,1205,1273,,0,4482,43262,44128,43555,47426,50261,47131,46541,48359
701710,"Laboratory, hygienic or pharmaceutical glassware, whether or not graduated or calibrated, of ...",7,10,9,25,15,43,40,40,69,64,,2669,875,646,2265,2716,1752,2199,1880,619,738,,64990,20752,10390,9973,8460,2966,2948,4567,3141,3173
850450,Inductors (excluding inductors for discharge lamps or tubes),199,173,176,278,307,150,47,144,162,63,,5076,2959,3366,3916,2997,7450,3628,3600,4398,4271,,248514,280545,275409,271051,371190,410666,409274,372934,493981,694692
853224,"Fixed electrical capacitors, ceramic dielectric, multilayer (excluding power capacitors)",1,0,1,0,0,1,12,14,22,62,,468,480,304,83,191,49,82,158,616,263,,382959,377491,391776,366541,545678,631315,930938,793066,1083012,1591232
851769,"Apparatus for the transmission or reception of voice, images or other data, incl. apparatus ...",90,302,62,29,1027,35,36,6,13,61,,55092,44764,42707,45844,84779,150101,68175,75493,53820,49388,,310709,289647,408687,268881,310784,360894,351279,218076,501573,490665
284210,"Double or complex silicates of inorganic acids or peroxoacids, incl. aluminosilicates whether ...",76,62,51,98,126,84,47,52,49,61,,16,9,81,72,46,25,23,0,5,38,,1541,1548,3122,2684,4089,3731,2543,4027,5251,4218
310100,"Animal or vegetable fertilisers, whether or not mixed together or chemically treated; fertilisers ...",39,72,84,46,14,0,114,55,43,61,,3194,5729,6675,6584,9644,9087,9609,7209,8196,7729,,9908,12844,14210,9935,9626,9535,11133,9364,10537,13217
950300,"Tricycles, scooters, pedal cars and similar wheeled toys; dolls' carriages; dolls; other toys; ...""",5,55,16,8,14,18,28,31,48,60,,15758,17136,17297,20963,20256,21399,22904,26444,26035,36996,,202306,214699,236995,271929,268443,282971,315836,312762,318500,375505
120929,"Seeds of forage plants for sowing (excluding of cereals and of sugar beet, alfalfa, clover ...""",83,97,133,61,156,139,244,179,238,58,,19366,15379,13908,16253,17781,14955,18247,15627,15456,17820,,439,232,395,386,375,252,400,226,382,228
853650,Switches for a voltage <= 1.000 V (excluding relays and automatic circuit breakers),104,181,294,88,44,44,55,98,94,58,,42906,30611,31093,20554,17272,21869,29919,22185,19852,47882,,226714,229889,257585,233772,225581,247599,260865,245345,251518,328545
110429,"Grains of cereals, hulled, pearled, sliced, kibbled or otherwise worked (excluding rolled, ...",1,0,15,11,37,65,49,42,58,58,,1006,1720,2244,1484,1677,2181,1448,780,591,273,,1194,1127,1460,1807,1718,2005,1313,1411,2444,4063
902750,"Instruments and apparatus for physical or chemical analysis, using UV, visible or IR optical ...",204,99,205,180,137,171,146,110,148,57,,14683,24140,16838,20930,13563,19857,9744,13178,19357,21723,,56951,47844,60526,50842,52311,65655,99112,135876,177549,229188
390791,"Unsaturated polyallyl esters and other polyesters, in primary forms (excluding polycarbonates, ...""",0,0,0,0,0,0,20,46,34,56,,4010,6679,9443,1254,379,480,2965,3687,3434,11020,,19457,13407,14543,13326,11034,11703,17797,21804,23738,38601
853180,Electric sound or visual signalling apparatus (excluding indicator panels with liquid crystal ...,31,16,15,2,67,269,120,126,99,56,,11906,14380,12243,14350,11913,10874,12717,17744,12128,12069,,20394,16908,17451,18553,18592,18974,25568,28913,21596,25710
701400,"Signalling glassware and optical elements of glass, not optically worked (excluding clock or ...",2,1,0,0,0,0,0,0,0,55,,127,124,101,99,127,235,36,106,37,139,,58822,36607,30789,33646,38593,28241,32243,26478,22505,33846
380894,"Disinfectants, put up in forms or packings for retail sale or as preparations or articles (excl. ...",0,0,1,11,102,46,18,121,351,55,,1928,3328,3803,2653,2268,1960,1024,1964,9618,11465,,10284,13843,17604,22060,27771,26962,32362,43039,62986,60678
854442,"Electric conductors for a voltage <= 1.000 V, insulated, fitted with connectors, n.e.s.",31,31,14,24,100,36,95,183,538,55,,26523,25848,26591,21947,25553,29230,29843,38711,34457,43616,,282789,300739,311014,312689,325300,366238,422784,523459,593344,830682
611030,"Jerseys, pullovers, cardigans, waistcoats and similar articles, of man-made fibres, knitted ...",0,3,1,3,5,0,0,0,1,55,,1614,2196,2339,3332,2962,3120,3848,5398,5289,5088,,57733,47472,50469,58856,55983,50248,54305,46073,45171,53588
320419,Synthetic organic colouring matter and preparations of the kind used for colouring any materials ...,1,0,0,0,10,21,23,3,11,54,,3970,8363,6364,10965,24822,11347,3263,979,654,849,,19552,21225,23246,20319,22654,23786,26362,24531,20752,26210
482110,"Paper or paperboard labels of all kinds, printed",58,49,12,6,3,17,0,29,30,53,,16667,13830,10986,8797,8692,9507,11496,9335,7325,7135,,15995,14112,14183,14788,15954,18852,21874,25028,23590,27087
401019,"Conveyor belts or belting, of vulcanised rubber (excluding reinforced only with metal or only ...",8,0,0,3,0,10,2,36,63,53,,8230,6326,5179,5196,5189,4121,2991,6517,7318,12199,,6501,6361,6975,7567,6384,6359,7811,8366,9070,10517
392590,"Building elements for the manufacture of floors, walls, partition walls, ceilings, roofs, etc., ...",14,18,23,37,39,25,52,34,35,51,,9380,6472,6681,8049,8941,12547,11428,12119,8699,13531,,8059,10374,13089,13331,11933,11316,15286,19965,16659,22191
390461,"Polytetrafluoroethylene, in primary forms",39,77,107,40,54,63,69,94,49,51,,2290,665,1036,960,1065,1398,1773,1045,1102,1031,,38761,25543,27761,21923,16587,26294,29477,28413,28583,40295
30819,"Smoked, frozen, dried, salted or in brine, sea cucumbers """"Stichopus japonicus, Holothurioidea""""""""",0,0,0,0,19,0,0,6,33,51,,3734,3683,9423,12600,13005,12365,11271,14503,13931,12080,,0,1148,14130,9275,12878,5121,9856,9931,26044,23249
854370,"Electrical machines and apparatus, having individual functions, n.e.s. in chapter 85",204,314,138,196,684,236,152,179,87,50,,78002,89867,77526,64230,71781,48950,60633,59538,77217,69814,,195703,160797,138345,143285,143124,157904,168997,174720,329286,351094
281122,Silicon dioxide,17,0,2,0,0,0,0,0,101,50,,1254,2324,1144,635,1090,1228,2222,2060,580,0,,69854,58164,56953,49552,57797,59844,58516,57079,51906,59800
600632,"Dyed fabrics, knitted or crocheted, of synthetic fibres, of a width of > 30 cm (excluding ...""",0,67,176,50,0,0,0,4,41,50,,1271,477,259,165,246,237,102,518,646,310,,4019,4759,5868,4413,4529,3660,3263,2306,2123,2859
901490,"Parts and accessories for compasses and other navigational instruments and appliances, n.e.s.",31,6,21,13,20,15,8,138,134,50,,18906,13046,21031,17901,28766,21674,29550,39625,25820,26480,,8817,5410,5055,7121,5610,5309,6545,8901,10254,14622
841221,"Hydraulic power engines and motors, linear acting """"cylinders""""""""",5,61,0,0,45,0,0,0,0,50,,24591,18526,14493,15036,13222,18607,22693,26233,25372,25545,,19038,16323,18151,17397,10693,13236,16132,13575,16868,14933
71340,"Dried, shelled lentils, whether or not skinned or split",129,145,132,38,0,68,33,12,18,50,,212196,201278,198109,188421,220287,526415,174484,211295,372895,536150,,218,180,235,298,318,338,146,150,190,243
731449,"Grill, netting and fencing, of iron or steel wire, not welded at the intersection (excluding ...",0,0,0,84,0,0,22,0,28,49,,1977,1602,998,784,899,2095,3181,3822,2923,4133,,4052,4245,5249,3882,3246,3730,5365,4982,5630,9347
842131,Intake air filters for internal combustion engines,11,23,28,15,22,10,21,23,19,49,,7615,6256,6947,5972,5785,5360,5428,9421,8069,8887,,9652,10235,8921,8672,11842,10862,12135,10183,13639,15663
60319,"Fresh cut flowers and buds, of a kind suitable for bouquets or for ornamental purposes (excluding ...",5,5,5,21,38,49,36,19,13,49,,4044,2709,1897,2138,2931,3962,4258,3984,2661,3685,,514,59,109,176,263,403,482,388,441,452
300640,Dental cements and other dental fillings; bone reconstruction cements,44,71,78,67,69,60,51,42,72,47,,35492,30982,32627,27434,23815,19899,22867,16470,10662,15092,,8315,9423,11560,11898,11689,12968,14146,15123,16075,15330
320417,Synthetic organic pigments; preparations based on synthetic organic pigments of a kind used ...,187,158,225,251,199,256,153,70,22,46,,9462,16708,14910,8258,4961,3103,4822,5913,9392,7945,,189973,169826,224146,186236,205908,202204,255828,236644,233183,237508
710229,"Industrial diamonds, worked, but not mounted or set (excluding unmounted stones for pick-up ...",23,0,0,0,0,0,0,0,0,45,,3,8,182,623,512,908,1242,362,1193,314,,3207,2333,3302,3458,2199,2109,3068,3707,2697,3419
830249,"Base metal mountings, fittings and similar articles (excluding locks with keys, clasps and ...",149,27,18,0,2,7,7,13,13,44,,14897,14801,12298,10561,12048,15842,21566,35012,41844,40363,,12310,13303,13774,15842,14423,13109,14559,18086,16594,25877
391729,"Rigid tubes, pipes and hoses, of plastics (excluding those of polymers of ethylene, propylene ...",5,0,1,14,0,2,0,0,0,44,,14576,7828,6636,10342,10567,19061,6538,4893,4443,3636,,5158,6509,5421,3715,8001,6257,7686,7162,11053,22317
340120,"Soap in the form of flakes, granules, powder, paste or in aqueous solution",15,2,4,3,3,8,3,8,48,44,,3384,3658,7211,11223,9657,9053,10414,14393,45830,22704,,6059,5585,6051,6199,5179,4783,4509,4659,4464,5383
842119,"Centrifuges, incl. centrifugal dryers (excluding isotope separators, cream separators and clothes ...",0,15,0,0,0,25,0,0,1,44,,20361,23305,13305,7026,3071,4830,2957,5413,6642,3888,,16814,11449,12334,8763,9661,12483,18216,13416,13402,15339
950699,Articles and equipment for sport and outdoor games n.e.s; swimming and paddling pools,18,20,5,44,83,28,38,19,12,44,,18568,22137,21995,24615,21530,23205,29126,27812,31084,38353,,9514,10342,12765,15195,15619,21086,22243,22750,27232,35580
848790,"Parts of machinery of chapter 84, not intended for a specific purpose, n.e.s.",60,27,23,56,40,17,40,46,35,43,,38190,30784,28906,23129,36083,14938,15090,8842,5670,15133,,50509,50347,50297,43627,51205,56924,56741,50923,50365,57399
440910,"Coniferous wood, incl. strips and friezes for parquet flooring, not assembled, continuously ...""",0,0,0,0,0,0,0,0,0,43,,1953,1568,1007,1154,975,922,873,479,475,731,,300,538,829,1352,1575,1195,1305,1000,1684,2963
731100,"Containers of iron or steel, for compressed or liquefied gas (excluding containers specifically ...",0,0,0,2,39,31,37,33,47,43,,6435,6532,4416,10014,10325,6029,10516,5049,2211,4626,,29727,20650,19838,15534,27855,28413,36821,33520,40092,51770
760612,"Plates, sheets and strip, of aluminium alloys, of a thickness of > 0,2 mm, square or rectangular ...",330,6225,16444,23,577,13,85,3,4,42,,277695,290947,269642,784,1410,1709,1905,4489,1173,1782,,110775,123787,120204,124576,123199,134142,141642,139045,119822,131118
940310,Metal furniture for offices (excluding seats),29,0,0,61,0,5,16,9,5,42,,2287,2009,3651,4857,7210,9737,8846,5364,5393,10054,,5025,3348,3555,5795,4778,5567,7637,7060,5640,8615
902910,"Revolution counters, production counters, taximeters, milometers, pedometers and the like (excluding ...",23,43,17,16,32,28,27,20,21,42,,1356,728,1259,2213,3772,1403,1692,2665,1543,1017,,3193,3006,2698,2784,3476,3347,2833,2502,2795,3331
100490,Oats (excluding seed for sowing),0,0,10,0,0,1,6,0,0,42,,45356,3411,3866,3711,2609,4221,4075,4267,43851,126678,,0,0,13,5,4,1,71,57,36,81
441113,"Medium density fibreboard """"MDF"""" of wood, of a thickness >?5?mm but <=?9?mm""""",466,147,221,58,46,46,35,66,61,41,,440,2077,3220,3536,2273,2413,1137,2668,2558,1173,,3221,2994,4138,2689,2761,2537,3273,3637,4662,5033
401699,"Articles of vulcanised rubber (excluding hard rubber), n.e.s.",10,32,12,17,14,298,70,76,54,41,,48419,44168,39345,33514,31255,27468,26935,28141,29308,34639,,57030,61445,64250,59319,55114,54658,53346,58819,62274,69345
853110,Burglar or fire alarms and similar apparatus,43,69,46,39,15,58,158,87,58,41,,16247,11649,16050,13154,9053,11071,11717,13758,7453,5430,,17282,20007,20245,16040,17527,15195,16007,15323,16156,18710
870829,"Parts and accessories of bodies for tractors, motor vehicles for the transport of ten or more ...""",99,66,155,73,65,56,42,23,8,40,,76440,80434,92767,89018,68167,84413,100648,130104,118182,142297,,192871,170534,188435,181401,164024,185441,195478,192042,234018,266985
710510,"Dust and powder of diamonds, incl. synthetic diamonds",11,60,71,28,12,0,0,3,26,40,,4,0,43,209,46,217,99,404,95,183,,10131,13603,10727,10123,8983,9564,9377,5821,8249,9226
490199,"Printed books, brochures and similar printed matter (excluding those in single sheets; dictionaries, ...",175,124,140,79,101,101,135,147,72,40,,86286,86833,83439,72840,77579,115750,108040,99935,61978,45110,,97859,93000,88577,85595,80304,77818,82405,82084,69631,67570
160300,"Extracts and juices of meat, fish or crustaceans, molluscs and other aquatic invertebrates",0,0,0,0,7,4,7,25,4,40,,1065,833,1841,674,795,1198,399,101,629,480,,837,626,790,734,4961,960,806,1127,1077,1485
730290,"Sleepers """"cross-ties"""", check-rails, rack rails, chairs, chair wedges, rail clips, bedplates ...""",87,499,1482,38,141,125,110,671,336,39,,58770,44477,45956,27413,25262,28681,33091,29600,25567,34251,,19034,14663,12401,5588,8898,7662,12968,15151,14952,7953
830230,"Base metal mountings, fittings and similar articles suitable for motor vehicles (excluding ...",0,0,3,23,32,1,45,0,14,38,,8544,10068,7499,6427,4203,4188,2583,4470,4593,6595,,12819,13743,15704,13052,8479,8373,8718,6531,7364,9197
732020,"Helical springs, of iron or steel (excluding flat spiral springs, clock and watch springs, ...",26,21,19,10,12,20,18,20,38,38,,4236,4401,4523,3127,2259,8750,19739,17221,12729,20234,,14915,12560,13424,11777,11051,13240,15819,16151,17841,24565
392329,"Sacks and bags, incl. cones, of plastics (excluding those of polymers of ethylene)",188,112,18,4,0,0,4,1,7,38,,7401,6052,11046,9984,9690,9376,5928,6399,6726,5915,,25574,25842,24262,23741,23347,25499,28545,29831,31716,37203
620443,Women's or girls' dresses of synthetic fibres (excluding knitted or crocheted and petticoats),3,3,3,5,6,13,11,33,21,37,,2233,2576,3378,4846,4541,6083,6459,8427,6248,9469,,12935,18430,18085,18023,16576,14655,14450,14724,13741,13292
810830,Titanium waste and scrap (excluding ash and residues containing titanium),0,0,0,0,0,0,0,0,0,37,,51,211,233,155,27,81,185,240,116,826,,4652,597,2804,1036,5986,6965,4808,2417,377,2122
961700,"Vacuum flasks and other vacuum vessels, and parts thereof (excluding glass inners)",0,0,0,0,0,0,2,1,41,37,,141,175,527,237,263,155,1349,839,815,646,,42739,40433,54582,58475,63087,52273,66752,65914,57615,59253
853221,"Fixed electrical capacitors, tantalum (excluding power capacitors)",1,1,0,0,2,1,0,0,15,37,,52,21,12,33,13,13,56,265,760,435,,199157,137792,133542,144990,151854,177604,211083,163679,192501,277870
820559,"Hand tools, incl. glaziers' diamonds, of base metal, n.e.s.",17,6,1,1,6,64,2,4,18,37,,20074,17806,23537,18594,24041,27946,20903,18905,16614,22597,,15927,17297,16747,15158,17919,19104,18811,19492,23787,28082
711590,"Articles of precious metal or of metal clad with precious metal, n.e.s.",0,28,10,28,19,28,31,7,31,37,,2394,4840,3696,3967,1912,2565,2581,5290,3846,5404,,43974,59674,78840,90593,37598,50255,46036,65643,44129,57934
392410,"Tableware and kitchenware, of plastics",0,12,22,26,72,59,44,36,120,37,,13857,10550,13853,14195,12893,16986,20084,19914,14587,22584,,24225,24569,27959,27486,34300,34771,41916,36211,37669,39856
847790,Parts of machinery for working rubber or plastics or for the manufacture of products from these ...,7,14,25,5,15,21,27,59,26,36,,2269,4980,6015,4775,4215,7872,7871,9529,12392,21116,,74559,60703,71548,62525,62472,70426,83206,81604,68765,83776
854129,Transistors with a dissipation rate >= 1 W (excluding photosensitive transistors),17,61,3,33,34,44,51,27,98,36,,1801,2291,2485,2066,1052,1563,958,514,1193,1682,,641871,556525,541670,452998,495701,565369,682141,661718,757576,945366
940190,"Parts of seats, n.e.s.",33,25,1,3,8,0,44,3,24,36,,5214,6089,4987,4396,5247,5622,7034,7114,6024,4449,,87510,80471,87250,80426,75193,82920,77289,78226,96420,107376
310590,Mineral or chemical fertilisers containing the two fertilising elements nitrogen and potassium ...,26,15,8,8,26,48,55,52,26,35,,7082,5897,8026,6334,9883,17615,21000,25969,35147,47568,,8125,11149,10698,9436,10383,12489,13408,13154,14019,14929
711610,"Articles of natural or cultured pearls, n.e.s.",34,375,68,170,166,192,26,0,16,35,,11777,6505,5269,3573,2208,10102,2698,1865,3582,1134,,2823,5204,3852,4203,2286,1033,1027,595,478,283
200989,"Juice of fruit or vegetables, unfermented, whether or not containing added sugar or other sweetening ...",0,3,44,20,83,121,78,36,30,35,,11807,15258,6904,2064,1718,1743,2055,8287,3858,3208,,0,974,17147,16849,20582,22667,19158,22634,27053,31456
330710,"Shaving preparations, incl. pre-shave and aftershave products",202,134,63,108,93,92,49,25,33,34,,4247,3932,4249,3206,5242,7451,7968,6644,7954,10083,,1703,2023,1784,2174,1946,2240,1851,2168,2006,1986
441112,"Medium density fibreboard """"MDF"""" of wood, of a thickness <=?5?mm""""",597,326,259,231,137,108,22,115,117,34,,7377,4293,4997,2131,2248,1145,268,1927,3225,175,,9974,11362,11423,11109,10077,9967,10555,8407,9551,11478
210111,"Extracts, essences and concentrates, of coffee",27,11,21,82,133,103,32,44,28,34,,38297,30921,28435,24598,17501,22565,29186,16507,19376,32019,,30319,32993,32558,33500,31468,52391,34807,34301,37892,38536
390720,"Polyethers, in primary forms (excluding polyacetals and goods of 3002 10)",256,282,2421,1540,847,769,237,37,19,34,,41824,27221,35289,38210,35477,29982,9446,3418,911,3196,,155235,144614,155405,132190,140223,166046,186903,212780,239118,302085
842290,"Parts of dishwashing machines, packing or wrapping machinery and other machinery and apparatus ...",82,25,20,52,23,71,42,17,174,34,,29080,33098,29257,29809,36836,39956,41263,41746,30929,29435,,14891,16554,19734,27582,20713,23034,24733,22724,20574,21173
40900,Natural honey,8,8,27,40,71,107,211,162,162,33,,25571,27124,27253,34877,31362,30978,32808,37654,42481,45000,,2666,3949,6844,9481,11914,13185,8782,9842,9855,10602
730791,Flanges of iron or steel (excluding cast or stainless products),0,4,0,0,0,0,0,0,0,33,,3555,4192,2514,1669,2521,4185,2172,3056,1487,2126,,7632,9460,8994,9351,9309,7841,10983,9930,10202,11155
310520,"Mineral or chemical fertilisers containing the three fertilising elements nitrogen, phosphorus ...",66,65,48,70,54,78,36,31,47,33,,4825,4533,3021,3513,3272,4264,3854,3422,3196,7551,,6547,16378,10599,12303,13561,10518,13720,14887,15748,15935
390690,"Acrylic polymers, in primary forms (excluding poly""""methyl methacrylate"""")""""",195,269,350,4,2,204,103,98,92,33,,31543,32532,32062,20345,22962,26959,33464,26902,23115,32175,,139759,141590,155377,113997,99294,103978,114057,94315,94125,124553
853222,"Fixed electrical capacitors, aluminium electrolytic (excluding power capacitors)",0,0,1,0,0,0,0,0,1,32,,4866,2160,1758,345,641,678,810,3258,217,175,,240698,216902,189306,152831,195205,208220,242405,214539,241608,348491
321511,"Black printing ink, whether or not concentrated or solid",1392,882,747,517,294,240,281,182,90,32,,20416,23859,16482,13815,15120,6968,7194,11054,10466,11315,,17535,14760,14596,14899,13756,14999,15632,16228,15743,16349
901390,"Parts and accessories for liquid crystal devices """"LCD"""", lasers and other appliances and ...""",23,38,11,9,1,44,3,15,0,32,,2916,5663,5116,4141,3790,6711,10130,10713,8711,11237,,540761,579394,529818,433603,302574,255963,280990,314726,410953,475055
41000,"Turtles' eggs, birds' nests and other edible products of animal origin, n.e.s.",0,2,65,85,122,84,33,69,57,32,,742,741,1056,955,2346,2477,3978,3749,2149,2492,,8099,8421,13929,12906,11621,14897,14210,13506,12308,14370
848130,"Check """"non-return"""" valves for pipes, boiler shells, tanks, vats or the like""""",49,51,13,18,15,6,13,14,7,32,,6629,4924,9102,6318,8149,6194,5528,6017,5055,5537,,19908,24222,26636,24198,22161,26794,27050,28906,28871,40355
851610,Electric instantaneous or storage water heaters and immersion heaters,160,94,62,24,12,24,25,44,54,32,,10504,18767,21074,19675,18355,20578,14671,3993,3733,6850,,2425,1924,3441,1786,2056,2807,20453,28029,31413,42016
853649,Relays for a voltage > 60 V but <= 1.000 V,160,377,137,41,25,21,30,16,22,31,,5999,6844,8679,8201,7751,7278,11493,12889,18743,18341,,46582,53575,64743,48311,59159,74824,81400,77023,83534,109535
610910,"T-shirts, singlets and other vests of cotton, knitted or crocheted",10,26,1,6,8,2,4,11,95,31,,10596,7986,7065,6527,4184,7382,9499,8047,8536,8707,,130559,115207,129477,141905,155403,153974,183623,201723,196774,215308
901410,Direction finding compasses,2,18,7,0,31,4,58,4,54,31,,999,891,956,719,999,1688,1914,3481,3586,10136,,741,780,1978,1349,864,1734,1341,1642,1353,1353
854089,"Electronic valves and tubes (excluding receiver or amplifier valves and tubes, microwave tubes, ...",0,0,0,0,0,10,8,18,8,31,,2249,2140,3901,727,2640,2388,3554,4061,722,368,,8706,7741,8295,5145,7163,9599,13321,7366,8115,12385
