Product code,Product label,India's imports from Singapore-Value in 2012,India's imports from Singapore-Value in 2013,India's imports from Singapore-Value in 2014,India's imports from Singapore-Value in 2015,India's imports from Singapore-Value in 2016,India's imports from Singapore-Value in 2017,India's imports from Singapore-Value in 2018,India's imports from Singapore-Value in 2019,India's imports from Singapore-Value in 2020,India's imports from Singapore-Value in 2021,Singapore's exports to world- ,Singapore's exports to world-Value in 2012,Singapore's exports to world-Value in 2013,Singapore's exports to world-Value in 2014,Singapore's exports to world-Value in 2015,Singapore's exports to world-Value in 2016,Singapore's exports to world-Value in 2017,Singapore's exports to world-Value in 2018,Singapore's exports to world-Value in 2019,Singapore's exports to world-Value in 2020,Singapore's exports to world-Value in 2021,India's imports from world- ,India's imports from world-Value in 2012,India's imports from world-Value in 2013,India's imports from world-Value in 2014,India's imports from world-Value in 2015,India's imports from world-Value in 2016,India's imports from world-Value in 2017,India's imports from world-Value in 2018,India's imports from world-Value in 2019,India's imports from world-Value in 2020,India's imports from world-Value in 2021
851762,"Machines for the reception, conversion and transmission or regeneration of voice, images or ...",68655,82512,73516,177151,235367,278037,415335,417750,352890,362079,,2731163,3067437,2833309,3046223,3312670,3716429,3883879,3614973,4557588,5152324,,1052223,1420245,2215590,2567716,2395682,3560150,5718568,3465704,3369367,3872730
151110,Crude palm oil,3209,0,0,0,0,0,148920,179152,203521,361159,,5765,28,56,237,88,93,296,306,18,5140,,6197200,4884715,5319597,4574502,3666718,4574632,4004944,3561007,4936263,8317254
290250,Styrene,307612,461138,397896,359209,266812,391299,437800,142868,108333,340368,,997485,1273444,861371,815638,599722,831982,842743,634560,390259,883314,,875954,963685,1008246,757252,775823,937421,1158098,880635,558533,1065778
720421,"Waste and scrap of stainless steel (excluding radioactive, and waste and scrap of batteries ...",45331,40176,58799,52841,38153,45997,105567,104266,79239,222571,,56620,84895,83672,62399,52370,63758,62789,57441,48229,103383,,1016273,1005074,1165424,999030,784529,1098887,1440194,1629945,1323777,2233494
390140,"Ethylene-alpha-olefins copolymers, having a specific gravity of < 0,94 , in primary forms",0,0,0,0,0,4749,98661,189087,141474,210339,,0,0,0,0,0,0,1522626,2492969,2156549,2698206,,0,0,0,0,0,7952,108802,227448,314840,519564
847170,Storage units for automatic data-processing machines,74159,89314,78938,85559,77785,77015,179724,249900,172498,189298,,4094849,3636521,3309054,3154881,2481062,2432233,2074048,2061329,2052346,1990445,,1027955,891844,904549,849530,757925,817221,797113,796444,616218,767721
390230,"Propylene copolymers, in primary forms",51019,63674,103503,97453,89829,126022,128845,135296,95392,186556,,1728390,1797739,2083093,1732982,1634407,1766729,1858475,1663804,1392013,1885435,,154100,161370,222209,218237,235423,334113,359602,346476,265879,468491
390210,"Polypropylene, in primary forms",34135,49863,72857,88965,84237,106507,136500,146262,90971,172540,,1186430,1278841,1460392,1158790,1139644,1228832,1360322,1200340,1145439,1209236,,538774,578755,693897,647332,575399,701202,801428,785900,567698,1127056
291521,Acetic acid,39141,84442,75440,67998,76888,107132,193650,81227,78952,163878,,95510,0,0,0,0,0,0,0,128956,316494,,311982,331761,383900,340012,258502,371628,655657,400545,332501,920941
390720,"Polyethers, in primary forms (excluding polyacetals and goods of 3002 10)",66317,91935,116907,108350,73776,85254,107584,78857,76191,159000,,630220,613107,803492,796154,601721,681188,800265,741482,772284,1148716,,315017,379719,435205,405705,355993,404005,504946,485633,439961,892896
291532,Vinyl acetate,60385,106939,148655,109066,92838,95732,125820,83215,61570,153209,,177914,276634,571799,397845,323271,392320,505877,318903,299620,724457,,127956,145778,186567,139552,135432,149166,214061,137773,111491,290854
890520,Floating or submersible drilling or production platforms,414375,500317,48564,225208,34954,150786,249957,0,0,152157,,2678331,780635,1267789,1286405,174879,259,127317,503781,0,0,,1764968,1313991,390118,302979,719074,586453,886146,69062,64214,205320
271112,"Propane, liquefied",1018,0,0,504,0,0,125358,107025,91567,149243,,79,195,3235,212,3747,9058,11313,343,32,500,,1851045,2037686,2802452,1766614,1299049,2005282,3406829,3299486,3422159,5525695
844399,"Parts and accessories of printers, copying machines and facsimile machines, n.e.s. (excluding ...",27722,30344,28863,28669,22045,31398,141496,179227,100225,147909,,6107660,5670055,4693435,4632247,3954257,4283840,4195562,3812250,4550108,6217790,,386533,373744,375493,416915,372440,432977,465375,448806,292965,399013
271113,"Butanes, liquefied (excluding of a purity of >= 95% of N-butane or isobutane)",3719,1897,0,543,0,0,113477,107336,96329,145059,,258560,153161,176519,111385,95384,168855,124228,93588,78484,35426,,3249179,3046409,4061438,2516647,2113546,2824551,4113189,3945509,3876079,6376946
847330,Parts and accessories of automatic data-processing machines or for other machines of heading ...,83825,74359,56477,70550,47077,48385,102774,97303,101117,142291,,8646666,6990269,6183039,4721034,4169649,4438718,3871354,4154481,4064225,3797731,,1598935,1529299,1429219,1258877,1120508,1234590,1335224,1338337,1245069,1850164
841112,Turbojets of a thrust > 25 kN,2368,9425,10219,0,0,6,117721,257412,143972,134607,,417573,455041,584700,1190293,1727651,984069,4899969,5434743,6560970,4645104,,91850,303222,536645,646333,804444,2021752,2586248,3655700,1810754,2039248
290243,P-Xylene,188539,292389,153991,102364,157252,190537,295759,311857,197104,125979,,952754,996837,1010684,553269,838592,1325018,1605858,1173165,528000,901443,,821769,1088205,880649,642231,937454,798341,929896,793808,418361,517468
710231,"Non-industrial diamonds unworked or simply sawn, cleaved or bruted (excluding industrial diamonds)",20515,49916,204324,84367,234878,251314,290652,179334,76566,119120,,21964,169933,1061177,720498,1089244,883003,973786,683557,580267,911184,,14539235,15386950,17392104,13569272,16454881,19429855,16706474,13480570,9369200,17302762
854129,Transistors with a dissipation rate >= 1 W (excluding photosensitive transistors),30336,23074,22179,28726,26931,23925,71685,83546,89847,117517,,1408988,1461494,1926955,1755733,1608370,1934213,2380872,2393547,2562992,3564091,,195618,169116,215432,209434,210223,223503,277592,318568,300571,387148
854232,Electronic integrated circuits as memories,30834,46784,34340,20444,10344,5467,39964,14930,9383,115397,,6121221,7887599,8885988,8811101,7726246,13654452,19637140,16602538,17741513,23117527,,149798,119806,134256,105137,70513,95138,1550799,1461616,865070,2180015
760200,"Waste and scrap, of aluminium (excluding slags, scale and the like from iron and steel production, ...",25441,22165,23956,32468,36221,46220,88870,86344,67234,113876,,97978,97885,87424,76915,84142,85981,103318,103373,96293,133730,,1311365,1284201,1490517,1437274,1330577,1833006,2486510,2046364,1810250,3141290
840999,"Parts suitable for use solely or principally with compression-ignition internal combustion ...""",7684,6382,4832,5703,5351,3999,52645,77009,73828,107262,,1021983,1046193,934111,732187,708167,681141,724113,704165,553718,637464,,666905,502532,547557,491303,537214,676930,810200,663963,513285,858365
902720,Chromatographs and electrophoresis instruments,35760,33823,37260,46705,44854,58242,80845,95762,88257,103275,,239045,230211,228740,249255,301119,347328,406423,453422,397632,494386,,152028,127401,145893,179552,186785,195764,209462,214610,189363,239873
903289,"Regulating or controlling instruments and apparatus (excluding hydraulic or pneumatic, manostats, ...",31563,26219,26345,29209,23828,45392,83183,79152,71497,99503,,406633,360666,391397,357297,337021,502169,633436,628511,480948,360314,,349173,353781,396320,432806,477390,536364,599976,624635,553969,639599
720449,"Waste and scrap of iron or steel (excluding slag, scale and other waste of the production of ...",56405,38968,78011,103079,65726,55600,158157,135576,94100,95813,,351739,362173,357668,241773,234765,341605,329562,258209,182086,420424,,3189924,1948027,1838163,1872279,1277859,1263180,1867815,1820601,1230915,1568813
390110,"Polyethylene with a specific gravity of < 0,94, in primary forms",60635,82481,146164,89579,64596,54830,87381,99953,60292,92411,,1278609,1283426,1442157,1084105,1203100,1456626,1688411,1584367,1223786,1563425,,1117880,1073212,1349834,1201315,1042600,1131284,787978,745255,648666,941634
902790,"Microtomes; parts and accessories of instruments and apparatus for physical or chemical analysis, ...",15568,20065,30030,24524,34535,35412,64692,83854,74990,90892,,709858,692220,858308,831980,912917,1021138,1031339,1150354,1159582,1277402,,206503,210665,237479,240363,258962,261213,306926,294703,277492,332510
390950,"Polyurethanes, in primary forms",17942,20644,25331,27660,59375,90687,93747,72331,49939,81619,,177684,202912,193776,161458,156762,221462,220912,168046,141263,180036,,95722,147016,176316,207023,234312,309539,347708,300787,247301,365175
381121,Prepared additives for oil lubricants containing petroleum oil or bituminous mineral oil,29992,43771,33238,38008,40697,55297,64319,70696,55411,79642,,1517479,1777313,1776415,1645454,1736316,1775192,1806480,1731068,1602328,1885961,,113567,127664,127800,124576,136564,158886,178689,203464,164822,212124
720293,Ferro-niobium,7097,4562,1290,2187,0,203,34489,40534,33553,79133,,0,0,287579,254093,231431,223939,270095,170346,153488,215784,,56907,43547,65399,60182,57203,71675,85310,81248,64950,116028
382499,"Chemical products and preparations of the chemical or allied industries, incl. those consisting ...",0,0,0,0,0,53689,61611,62829,64725,79009,,0,0,0,0,0,0,803929,723571,629804,719664,,0,0,0,0,0,473909,674567,580899,612358,886058
852351,"Solid-state, non-volatile data storage devices for recording data from an external source [flash ...",5838,7811,8819,9504,4905,14782,38132,51465,57547,78018,,377016,629062,810467,1329472,1830931,2799697,2656865,1652974,2263685,2194265,,193037,273782,340923,279465,248262,276330,311061,302198,282054,434762
870899,"Parts and accessories, for tractors, motor vehicles for the transport of ten or more persons, ...",8085,2606,1734,822,506,849,94497,92929,48686,75515,,1748561,1217202,1032652,1187802,1355902,1400590,1478193,1423948,1208943,1124583,,1868656,1655176,1687271,1646440,1472511,1696990,1789839,1486268,1208277,1883050
293040,Methionine,262,104,3817,82174,54730,51879,56704,47571,47828,74543,,35598,92478,161854,0,0,0,0,0,0,0,,86582,86700,104211,159221,104989,101454,99733,89406,85922,142503
380891,"Insecticides, put up in forms or packings for retail sale or as preparations or articles (excl. ...",2396,14758,21274,2232,1610,38,22477,28367,56324,71372,,71572,78241,216846,248565,189109,361120,327171,333407,354659,404110,,306639,313510,336829,355043,297466,378914,349652,389224,424435,500107
260200,"Manganese ores and concentrates, incl. ferruginous manganese ores and concentrates, with a ...",3681,4927,4154,3114,2877,2651,35040,44443,36403,70967,,0,0,12544,8845,9806,6007,5730,14293,10,2,,486730,423691,610769,318353,241521,776215,746818,632800,641012,1143068
890400,Tugs and pusher craft,133307,113859,56891,76017,271396,158612,121886,18057,51247,70932,,1517,11399,0,0,0,5593,81367,119842,1395,1816,,1182088,804157,549257,620320,1002103,595001,495660,345551,218970,234413
800110,"Unwrought tin, not alloyed",1160,108,4029,9862,5597,543,44418,28754,22452,70353,,582331,578885,695038,564801,540061,437986,334608,276394,281837,438611,,160265,233527,199908,189256,177376,211714,224069,211070,174203,333439
290519,"Saturated monohydric acyclic alcohols (excluding methanol """"methyl alcohol"""", propan-1-ol ...""",8873,9518,10195,9539,15174,33593,57928,57380,28698,69540,,388659,346569,429013,252464,234341,303031,307679,305240,224287,496962,,65343,78715,88417,84189,86667,114431,147475,149051,111587,219281
854140,"Photosensitive semiconductor devices, incl. photovoltaic cells whether or not assembled in ...",23183,29826,27304,26458,46560,47763,131316,102409,61614,65456,,1585091,1501935,1793650,2360783,2606582,2337707,1696560,1543001,1811221,2168139,,871941,1069457,774775,2057994,3157081,4538222,2858611,2458558,1534176,4167365
850440,Static converters,22456,26042,27242,32221,31404,32834,75543,75961,65894,64229,,712137,698510,682372,770272,801162,770060,924430,858456,879673,989214,,715316,759076,754667,857308,888393,1147820,1111870,1110998,1074591,1543172
902780,"Instruments and apparatus for physical or chemical analysis, or for measuring or checking viscosity, ...",14061,14827,16000,20118,24737,35416,48226,55654,40084,64134,,674859,596636,529997,627422,767757,881844,1126884,1018223,1074423,1278693,,244978,264349,286033,299149,328338,370233,374600,402585,289508,411496
853229,"Fixed electrical capacitors (excluding tantalum, aluminium electrolytic, ceramic, paper, plastic ...",22021,22201,23253,27392,18213,14830,54334,51732,41398,62136,,288269,296899,262478,242540,252860,375474,250170,206731,250949,283737,,190489,180596,168442,186715,195303,218894,381386,417234,371890,471604
740819,"Wire of refined copper, with a maximum cross-sectional dimension of <= 6 mm",67,71,1065,668,63,32,18735,22565,14575,61246,,37248,43583,32387,35236,36228,16849,12722,11350,43619,68962,,57499,99809,116495,279604,425199,874874,1067809,960802,199432,499475
400122,"Technically specified natural rubber """"TSNR""""""""",956,755,242,293,670,0,63423,62701,49086,60385,,199446,107115,89633,74706,65993,98224,71269,98243,89649,130195,,479688,519428,474075,479880,494442,604652,727982,599730,454831,858347
854110,Diodes (excluding photosensitive or light emitting diodes),12743,16047,12740,8730,9842,11236,46296,46708,42121,60262,,705254,603293,652286,572690,571175,675810,764399,653017,1009971,1037207,,157422,154598,155914,150421,146710,171008,221852,219749,195673,276103
151190,"Palm oil and its fractions, whether or not refined (excluding chemically modified and crude)",234,409,0,0,0,0,38913,63430,0,58861,,110422,95460,87667,56748,44887,49889,39844,32313,47163,83484,,1699174,2082061,1231786,1348556,1974643,2192263,1491021,1847884,183000,1251201
853690,"Electrical apparatus for switching electrical circuits, or for making connections to or in ...",16404,15763,15261,14199,14259,10552,35671,42433,37630,55637,,1608704,1761409,1663323,1375199,1225750,1321152,1376021,1180177,1013561,1268802,,351880,330137,351340,369388,395489,466988,631099,606997,559724,807158
870840,"Gear boxes and parts thereof, for tractors, motor vehicles for the transport of ten or more ...",749,54,16,50,43,13,53851,38433,28110,54959,,27410,59322,70507,21456,26306,22146,35230,31149,21551,31529,,506974,489180,558583,683174,716393,946722,1063081,1047673,745364,1189612
230990,Preparations of a kind used in animal feeding (excluding dog or cat food put up for retail ...,5254,6270,6888,8635,11355,12886,49145,47426,31703,53580,,218030,196879,192465,203374,231549,211485,227499,227483,282318,312376,,225441,196265,245064,268563,270388,335110,430479,400884,371433,473112
850760,Lithium-ion accumulators (excluding spent),0,73,224,492,503,396,3833,8464,7385,52769,,174389,226428,306796,363701,380092,567530,702980,801332,742839,871766,,0,167481,126533,203092,304780,467906,1147766,1295134,1056579,1664286
847160,"Input or output units for automatic data-processing machines, whether or not containing storage ...",10972,6654,5543,5169,7643,9726,46025,48509,40105,51103,,240316,243102,218077,296655,268675,288372,351252,350851,323344,446836,,267726,171433,158464,154994,154222,207738,221760,214334,210339,318399
291614,Esters of methacrylic acid,50554,61936,63676,62901,54382,76345,81128,72618,41425,50912,,407777,339380,352470,291314,214807,304342,322769,197619,197911,283039,,86695,94497,112663,103390,95537,160661,175031,123656,90851,197302
710691,"Silver, incl. silver plated with gold or platinum, unwrought (excluding silver in powder form)",20723,41010,1876,2901,14839,37367,27121,25882,33963,48475,,79691,382089,55416,71129,73137,87223,83158,80233,50588,92540,,1823452,4177563,4035356,3937753,1636638,2801719,3599104,2749607,365486,199961
841459,"Fans (excluding table, floor, wall, window, ceiling or roof fans, with a self-contained electric ...",6777,3914,1459,1832,1084,930,24554,33761,29197,48148,,53939,64037,72993,70706,56862,90339,104646,124948,108798,114451,,125370,105587,103334,109917,115222,134860,189461,212621,168711,251801
290532,"Propylene glycol """"propane-1,2-diol""""""""",20845,22140,23469,18611,17611,20784,25562,26331,21052,45377,,198262,212940,171988,144207,101833,113110,126126,101834,85995,158697,,66022,62766,79784,73322,65009,67297,98093,82149,70191,169637
310230,"Ammonium nitrate, whether or not in aqueous solution (excluding that in pellet or similar forms, ...",0,0,0,0,0,0,17435,25288,18316,44666,,54,68,106,63,5,6,91,265,66,9,,86389,27057,20730,48116,83100,69816,56383,89497,54487,93859
401699,"Articles of vulcanised rubber (excluding hard rubber), n.e.s.",10465,13457,13847,15819,15043,12590,23401,24847,26729,43934,,91973,101734,109978,112758,117863,125981,157491,140085,156095,201170,,242152,249671,261547,251174,246850,245645,271738,245189,220440,292814
290230,Toluene,48575,173934,144887,121866,101259,102597,135628,78318,69853,43771,,194331,403102,451409,269998,261997,307415,274199,198009,148456,149860,,337112,384298,330781,248597,251008,297377,340235,306456,300460,451966
400239,"Halo-isobutene-isoprene rubber """"CIIR"""" or """"BIIR"""", in primary forms or in plates, sheets ...""",476,350,879,5925,6279,11145,45877,46847,28201,43732,,33601,128160,127940,359894,431294,542823,507924,417027,264353,337591,,149396,131109,124942,99051,104505,106864,137825,131927,115994,160354
890190,Vessels for the transport of goods and vessels for the transport of both persons and goods ...,176325,94941,24794,30078,23341,31358,6327,158527,11222,43698,,42897,1399615,38040,62085,66273,57631,1230,8876,9491,30936,,733296,183875,309425,766985,123926,270157,319830,192845,46340,199845
841191,"Parts of turbojets or turbopropellers, n.e.s.",388,832,2621,2403,177,208,5913,54303,23559,43238,,1461760,1935464,1878080,2261163,2522016,2888573,4624147,5166131,4076553,4807176,,29011,55554,83452,100285,14215,45476,67689,205232,102070,93859
902730,"Spectrometers, spectrophotometers and spectrographs using optical radiations, such as UV, visible, ...",15863,17802,18954,18699,21599,20826,40994,44865,36775,42562,,170957,240980,285965,319010,335336,336940,368783,368854,302178,338290,,150878,150848,133695,141445,139684,162548,175102,162763,156239,145637
901831,"Syringes, with or without needles, used in medical, surgical, dental or veterinary sciences",6429,8096,8854,8245,7385,7381,22874,25428,22364,42279,,74845,80321,99951,82658,81813,69601,101089,142333,124159,148255,,36144,34813,41933,44630,35297,39709,56516,61505,60611,99656
845229,"Sewing machines, industrial type (excluding automatic units)",7981,15319,16659,24586,24907,18615,42085,30721,20600,41696,,239702,298279,340679,364452,343814,252982,456261,285893,162086,268559,,86814,122232,145668,145953,156447,154573,195700,170599,103574,208730
852580,"Television cameras, digital cameras and video camera recorders",9608,9032,9544,15588,17579,16456,32366,40293,32907,41239,,1003207,963557,822841,699686,640315,685186,784790,668982,593216,748906,,584542,514576,533376,708808,620721,903858,1562320,2083423,1840909,1764570
901890,"Instruments and appliances used in medical, surgical or veterinary sciences, n.e.s.",12603,7685,6323,7047,8852,27046,38048,45942,23871,40836,,2141893,2119294,2055164,1596501,1516946,1802294,1608692,1782237,2016544,1899916,,510427,546320,565962,529590,563216,613606,710069,762177,676409,948806
284330,"Gold compounds, inorganic or organic, whether or not chemically defined",175,12,167,9,591,248,11683,42382,57951,40404,,34276,29238,27533,23274,28072,31790,50887,111549,176843,121969,,708,396,1159,1053,2200,1596,15658,57110,67110,50766
382200,"Diagnostic or laboratory reagents on a backing, prepared diagnostic or laboratory reagents ...",10085,12305,10417,20172,21289,26531,38018,42066,45448,40068,,493690,614305,795963,882156,1084522,1349477,1466013,1486820,1375164,1888105,,270426,309640,310641,328710,354699,412469,460632,523497,828444,844654
843143,"Parts for boring or sinking machinery of subheading 8430.41 or 8430.49, n.e.s.",35132,43720,46066,16469,17298,9057,26689,43076,44822,40062,,4237094,4404537,3814484,3292943,2005376,1601263,1327192,1302815,1173732,921138,,291751,386838,351420,247347,214758,208735,272489,281934,225548,298335
851770,"Parts of telephone sets, telephones for cellular networks or for other wireless networks and ...",48345,46609,23259,65977,79652,88842,62427,35851,106552,39967,,753114,642548,706084,839918,935758,1162994,2068109,2794303,2798570,2848315,,2829269,2678574,2725304,5021119,6376143,11279333,9671630,8168050,6543206,7348509
853710,"Boards, cabinets and similar combinations of apparatus for electric control or the distribution ...",7371,7259,3845,6071,8199,13252,28100,51049,39270,38943,,814902,890079,1013168,972547,1107486,1177684,1412015,1196896,1061668,1172628,,312121,333421,340641,299015,348682,420665,567431,590591,487415,715652
853890,"Parts suitable for use solely or principally with the apparatus of heading 8535, 8536 or 8537, ...",21345,19422,24046,27361,31336,31960,40848,44898,29687,38828,,1773695,874580,657865,588799,591230,640266,1124483,1353371,1125340,1734200,,563658,527561,535942,539884,525590,580041,624511,595925,515484,715560
847989,"Machines and mechanical appliances, n.e.s.",13964,11599,26784,15940,13702,9877,32559,17763,18486,38492,,767901,757565,1164035,773613,641656,811243,792359,882291,931523,920757,,884745,912343,750696,734773,748000,761348,1245827,1251942,1025424,1227482
853224,"Fixed electrical capacitors, ceramic dielectric, multilayer (excluding power capacitors)",11285,6645,4213,2386,2786,2881,12855,16176,27721,37125,,436045,427363,318502,234186,254355,358398,605066,507219,592285,778632,,43189,23345,21544,16475,18362,21884,71011,81276,85340,126459
902750,"Instruments and apparatus for physical or chemical analysis, using UV, visible or IR optical ...",4148,3806,5269,6370,9230,10877,21489,28905,26471,36840,,312865,403283,547263,508735,582981,678669,932011,1017620,1224953,1260138,,70098,79402,71680,79301,97861,111669,135960,166090,150869,218469
270799,"Oils and other products of the distillation of high temperature coal tars; similar products ...""",1627,249,9766,69,1876,17475,3285,3823,8916,35312,,16589,47610,40089,34325,42619,41102,27262,89904,201369,269036,,23064,25683,31123,19382,19886,137951,144376,66153,148511,624946
320611,Pigments and preparations based on titanium dioxide of a kind used for colouring any material ...,7628,5689,2096,1472,436,818,14748,16901,31099,34033,,243852,153186,64177,68412,62406,57687,69517,85394,70914,69484,,392134,319821,312261,274412,397002,581640,677031,677265,610375,1014255
853669,Plugs and sockets for a voltage <= 1.000 V (excluding lamp holders),6863,5829,7611,7620,16453,24977,26723,24769,27296,33730,,310782,285843,243964,207569,206237,274411,373629,462001,551967,668321,,238974,208154,176442,180588,201342,228838,235610,259824,255917,324457
890800,Vessels and other floating structures for breaking up,468,73,8943,662,1844,5671,12787,23303,7940,32204,,2251,6,13193,5533,5235,2272,7,6,0,0,,557999,1290544,838716,661006,747286,798741,933106,598462,619231,825339
732690,"Articles of iron or steel, n.e.s. (excluding cast articles or articles of iron or steel wire)",5027,14116,23215,4719,6886,4534,28202,26492,19754,31552,,198587,331173,311066,256872,241364,238426,291542,329090,295639,344763,,405083,436792,492907,551389,523383,549503,719176,787054,568643,699529
853650,Switches for a voltage <= 1.000 V (excluding relays and automatic circuit breakers),11465,14777,15038,15521,13269,14456,27847,28524,23750,31488,,316985,332703,320738,293759,276501,298859,402116,401693,319922,407060,,179099,186256,182660,189694,182128,206770,249044,233994,210728,299084
844332,"Machines which only perform one of the functions of printing, copying or facsimile transmission, ...",11515,7064,6710,5330,5566,7090,26175,27466,18911,31346,,733032,548322,584865,520248,472364,539467,561239,481623,377850,526726,,253993,210084,199308,209193,177031,216011,229301,202663,129001,194270
390690,"Acrylic polymers, in primary forms (excluding poly""""methyl methacrylate"""")""""",15574,13976,22341,29710,14274,18559,23697,26184,22202,31129,,425674,380645,398706,340937,300723,314513,336903,310487,305322,351762,,205341,221929,277161,347384,402068,445603,549815,518733,421953,618220
901920,"Ozone therapy, oxygen therapy, aerosol therapy, artificial respiration or other therapeutic ...",570,580,140,628,1409,4736,3642,4616,6031,30929,,17937,107873,408456,704900,782362,954820,1152932,1410871,1550530,1368611,,57954,64949,76709,77706,90962,110522,135305,139739,276928,1128270
320415,"Synthetic organic vat dyes, incl. those usable in that state as pigments; preparations based ...",4270,9051,17928,23798,29324,35583,50844,55276,15390,30921,,20943,24032,34689,40125,49782,59632,80017,73769,43311,83404,,44689,60659,70270,74380,83507,81042,107818,106420,48818,107881
392690,"Articles of plastics and articles of other materials of heading 3901 to 3914, n.e.s (excluding ...",9182,7253,6857,8482,8147,9241,23253,25168,24181,30089,,1010321,764070,758536,543104,529197,668938,742218,710316,680441,804828,,597151,606904,677041,725967,806235,799922,811688,815578,820315,1106804
390740,"Polycarbonates, in primary forms",28045,32463,24373,20919,19465,12826,32574,9174,9786,29435,,897006,830301,848457,642762,384444,386561,411117,341503,310975,428476,,321011,305753,318601,310096,317578,352401,513877,409211,316744,566229
848180,"Appliances for pipes, boiler shells, tanks, vats or the like (excluding pressure-reducing ...""",11737,8908,6647,6643,4922,6588,24565,38478,31995,29142,,461769,561893,704456,633105,581182,455565,563650,629936,687943,745516,,816935,693055,711071,806606,1772601,722631,888758,961255,838926,1088112
851769,"Apparatus for the transmission or reception of voice, images or other data, incl. apparatus ...",84043,78187,88819,111396,91635,91598,146686,148826,71468,28905,,79778,109928,159046,146118,156724,112549,95987,73585,145336,280396,,966227,773666,885435,1057056,1262358,1368533,1044114,961005,489694,382505
854370,"Electrical machines and apparatus, having individual functions, n.e.s. in chapter 85",17889,18740,18569,16824,17496,21251,32552,41657,37396,28702,,309353,381088,480270,414981,421264,437811,438998,449502,441121,787198,,403605,335934,447084,437118,370565,414560,518386,538614,434975,471752
