Product code,Product label,"Korea, Republic of's imports from Singapore-Value in 2012","Korea, Republic of's imports from Singapore-Value in 2013","Korea, Republic of's imports from Singapore-Value in 2014","Korea, Republic of's imports from Singapore-Value in 2015","Korea, Republic of's imports from Singapore-Value in 2016","Korea, Republic of's imports from Singapore-Value in 2017","Korea, Republic of's imports from Singapore-Value in 2018","Korea, Republic of's imports from Singapore-Value in 2019","Korea, Republic of's imports from Singapore-Value in 2020","Korea, Republic of's imports from Singapore-Value in 2021",Singapore's exports to world- ,Singapore's exports to world-Value in 2012,Singapore's exports to world-Value in 2013,Singapore's exports to world-Value in 2014,Singapore's exports to world-Value in 2015,Singapore's exports to world-Value in 2016,Singapore's exports to world-Value in 2017,Singapore's exports to world-Value in 2018,Singapore's exports to world-Value in 2019,Singapore's exports to world-Value in 2020,Singapore's exports to world-Value in 2021,"Korea, Republic of's imports from world- ","Korea, Republic of's imports from world-Value in 2012","Korea, Republic of's imports from world-Value in 2013","Korea, Republic of's imports from world-Value in 2014","Korea, Republic of's imports from world-Value in 2015","Korea, Republic of's imports from world-Value in 2016","Korea, Republic of's imports from world-Value in 2017","Korea, Republic of's imports from world-Value in 2018","Korea, Republic of's imports from world-Value in 2019","Korea, Republic of's imports from world-Value in 2020","Korea, Republic of's imports from world-Value in 2021"
320730,"Liquid lustres and similar preparations of the kind used in the ceramic, enamelling or glass ...",0,0,4073,13138,28249,38046,45053,39834,43986,47772,,2171,26070,42385,31386,51584,60647,65753,63430,58021,96692,,104869,99631,87663,77471,86701,107621,139237,130432,130415,136353
300214,"Immunological products, mixed, not put up in measured doses or in forms or packings for retail ...",0,0,0,0,0,0,5,114369,175902,44040,,0,0,0,0,0,0,70127,328867,377613,471317,,0,0,0,0,0,9236,35152,232651,291616,129436
330290,"Mixtures of odoriferous substances and mixtures, incl. alcoholic solutions, based on one or ...",19692,22657,27591,31709,32845,31562,31372,37926,37186,39345,,618671,669395,723199,722300,758944,791311,904748,980628,1043623,1082842,,75326,76104,89530,90293,97382,107872,118354,131758,133155,135338
382200,"Diagnostic or laboratory reagents on a backing, prepared diagnostic or laboratory reagents ...",4404,10178,10049,17733,23947,25511,31742,24909,24758,38932,,493690,614305,795963,882156,1084522,1349477,1466013,1486820,1375164,1888105,,497021,516769,541761,563461,618648,653948,677554,617130,760720,886054
300490,"Medicaments consisting of mixed or unmixed products for therapeutic or prophylactic purposes, ...""",93132,65401,95732,66901,70551,64762,51067,38166,33150,35270,,4557270,4751321,5214978,4844907,3722797,3808153,4689753,4161462,4978025,5658604,,2262824,2222301,2533213,2434657,2882817,2818188,3192357,3255735,3469101,3960262
841989,"Machinery, plant or laboratory equipment, whether or not electrically heated, for the treatment ...",4125,4383,4824,14772,6663,7729,12547,11164,55440,31234,,144408,173325,212011,180407,162409,154701,159258,127749,120774,176186,,496489,448209,396421,388693,332083,414325,369567,354593,440720,409686
851770,"Parts of telephone sets, telephones for cellular networks or for other wireless networks and ...",118428,130087,144065,171654,489378,84544,48603,54639,60045,28024,,753114,642548,706084,839918,935758,1162994,2068109,2794303,2798570,2848315,,2439153,3128600,5860128,6962723,7373019,6471977,5553043,5844249,4719017,4594644
382499,"Chemical products and preparations of the chemical or allied industries, incl. those consisting ...",0,0,0,0,0,14820,18324,18213,18589,26479,,0,0,0,0,0,0,803929,723571,629804,719664,,0,0,0,0,0,1774696,1912108,1841465,1712523,1885858
902730,"Spectrometers, spectrophotometers and spectrographs using optical radiations, such as UV, visible, ...",14288,20843,21559,27341,25938,26257,41534,42940,38474,26300,,170957,240980,285965,319010,335336,336940,368783,368854,302178,338290,,170889,179972,170545,180989,172340,210531,225248,248147,249745,221498
890400,Tugs and pusher craft,0,4250,0,0,0,0,0,0,387,26000,,1517,11399,0,0,0,5593,81367,119842,1395,1816,,5300,17177,6232,22554,11522,39101,7338,4300,1545,30287
902750,"Instruments and apparatus for physical or chemical analysis, using UV, visible or IR optical ...",4233,4179,6670,7948,9906,16988,22373,22249,18361,25962,,312865,403283,547263,508735,582981,678669,932011,1017620,1224953,1260138,,199894,145339,164848,149313,158953,342490,310541,271606,369068,494932
902720,Chromatographs and electrophoresis instruments,19439,22075,21970,19756,20971,20157,24887,20007,29325,24402,,239045,230211,228740,249255,301119,347328,406423,453422,397632,494386,,113557,115218,116297,109682,107492,138039,131805,131323,146827,168227
290719,"Monophenols (excluding phenol """"hydroxybenzene"""" and its salts, cresols and their salts, octylphenol, ...""",14956,15569,11361,14890,13741,19064,25669,23193,19993,23836,,45438,53137,46921,49514,41231,66679,73069,70134,68763,82932,,58999,66942,68817,54193,58179,59450,72428,66028,65216,97011
390390,"Polymers of styrene, in primary forms (excluding polystyrene, styrene-acrylonitrile copolymers ...""",10449,29291,56621,49532,33309,32611,26222,20910,15344,23768,,99280,172660,241806,200340,184616,198722,219519,187304,178868,230129,,81696,83397,118498,110112,95071,104280,101659,84638,70590,97518
711292,"Waste and scrap of platinum, incl. metal clad with platinum, and other waste and scrap containing ...",0,447,432,1975,3173,4036,10246,13694,21987,23755,,11622,14005,93599,91211,90176,92449,73841,31700,35443,33311,,68529,109331,195068,180709,101043,175281,197361,355744,620736,1152675
710812,"Gold, incl. gold plated with platinum, unwrought, for non-monetary purposes (excluding gold ...",0,0,227,0,154,0,0,0,5812,23262,,372860,365754,190426,507986,877074,232432,147617,108420,128728,985908,,1123791,1089087,1028171,932983,612552,1214576,747576,675455,655975,1498069
180620,"Chocolate and other food preparations containing cocoa, in blocks, slabs or bars weighing > ...",19311,27262,32908,22953,21750,19793,18659,19190,21089,22347,,149757,197416,244102,197467,166763,179655,195146,212110,189548,224291,,84493,89901,105891,85236,83640,80894,83547,83617,85398,104829
850610,Manganese dioxide cells and batteries (excluding spent),19959,22010,19772,20032,21454,15895,17940,18905,16311,21632,,235921,247093,286589,236512,251250,261562,315102,301816,308062,334925,,49882,52639,57378,64932,58874,65990,73133,82123,91309,95953
330210,"Mixtures of odoriferous substances and mixtures, incl. alcoholic solutions, with a basis of ...",10468,11460,13377,14124,16181,16200,15606,17694,19556,21376,,1191340,668323,404269,400124,402874,526692,745327,874307,906798,1031771,,81931,79483,85325,80178,92125,95544,96301,100074,107205,112943
400239,"Halo-isobutene-isoprene rubber """"CIIR"""" or """"BIIR"""", in primary forms or in plates, sheets ...""",0,2,0,8299,6661,14474,14591,17512,13655,20841,,33601,128160,127940,359894,431294,542823,507924,417027,264353,337591,,157990,168331,137457,132476,101484,95724,96241,102510,69968,84433
400219,"Styrene-butadiene rubber """"SBR""""; carboxylated styrene-butadiene rubber """"XSBR"""", in primary ...""",0,3707,19432,22063,22322,27855,25453,26821,15528,20731,,30455,40504,108893,203465,256582,319909,307015,273446,239723,272571,,190483,212502,181981,152700,128967,152661,130638,115681,78492,119175
845611,"Machine tools for working any material by removal of material, operated by laser (excl. soldering ...",0,0,0,0,0,60836,11116,5489,7545,20700,,0,0,0,0,0,0,72903,101636,135821,188062,,0,0,0,0,0,315460,277164,208614,241280,343807
903180,"Instruments, appliances and machines for measuring or checking, not elsewhere specified in ...",31355,21482,31557,25706,19010,25898,20847,20515,15988,20079,,314660,287104,358683,343200,376466,399329,544161,522767,526118,709619,,909215,946004,1204675,1222845,1122496,1149856,1111450,959251,900537,1095645
390720,"Polyethers, in primary forms (excluding polyacetals and goods of 3002 10)",9361,10309,15604,13518,19061,22790,23748,16780,15040,20063,,630220,613107,803492,796154,601721,681188,800265,741482,772284,1148716,,104636,137370,185740,229315,250286,295106,319336,259039,204249,341610
854140,"Photosensitive semiconductor devices, incl. photovoltaic cells whether or not assembled in ...",4474,13719,13205,8391,8120,7876,7358,8037,15077,18565,,1585091,1501935,1793650,2360783,2606582,2337707,1696560,1543001,1811221,2168139,,3031320,3301669,2891787,2649735,2479270,2856290,2714172,2982742,2936384,3511881
853710,"Boards, cabinets and similar combinations of apparatus for electric control or the distribution ...",9258,8829,40364,100391,29244,19360,23611,21874,13977,18125,,814902,890079,1013168,972547,1107486,1177684,1412015,1196896,1061668,1172628,,3248528,3952969,1446865,1653415,1266477,1326943,1420840,1418986,1291697,1541973
852349,Optical media for the recording of sound or of other phenomena (excluding unrecorded and goods ...,103476,51130,42257,34012,25778,22241,19109,16645,18552,17706,,2120339,1402196,1259238,749895,603269,534616,514385,405454,371350,391294,,485737,546906,723366,424269,385881,475356,295028,240139,229565,250289
732690,"Articles of iron or steel, n.e.s. (excluding cast articles or articles of iron or steel wire)",25781,101306,24164,14950,19854,26583,39921,15158,11657,17512,,198587,331173,311066,256872,241364,238426,291542,329090,295639,344763,,1581279,2057939,1980838,1924783,1715645,1760895,1865753,1848774,1773763,2096895
390230,"Propylene copolymers, in primary forms",3938,5880,8633,8712,11003,12596,13017,13750,13098,17344,,1728390,1797739,2083093,1732982,1634407,1766729,1858475,1663804,1392013,1885435,,32902,41427,46703,41277,45516,50881,55146,50695,45123,64444
902620,Instruments and apparatus for measuring or checking pressure of liquids or gases (excluding ...,17778,15343,21259,16099,20875,17954,16517,21435,25055,17263,,193477,281985,286443,281891,307749,272787,279940,320421,249545,322887,,239601,268056,327354,359857,384070,402545,428696,413428,424603,495840
710813,"Gold, incl. gold plated with platinum, in semi-manufactured forms, for non-monetary purposes",3127,2856,5946,3683,4393,983,2290,7628,6172,16427,,9857804,13880349,10831876,595642,1147853,11303228,10974129,11453769,15672122,14047953,,342722,262520,271479,296581,298806,977018,265136,208158,249929,1071474
902139,Artificial parts of the body (excluding artificial teeth and dental fittings and artificial ...,2736,2873,2739,2351,2587,2581,3125,4358,12060,16216,,170213,280538,346987,384206,479826,564080,768529,1070021,1402092,1193432,,78620,83974,97172,95174,105806,124324,154445,201667,219176,349171
230990,Preparations of a kind used in animal feeding (excluding dog or cat food put up for retail ...,6228,5534,6808,9122,10388,11951,11438,13046,10832,15024,,218030,196879,192465,203374,231549,211485,227499,227483,282318,312376,,193765,197783,224353,234130,251718,241285,312014,327300,364382,396575
381512,"Supported catalysts with precious metal or a precious-metal compound as the active substance, ...",0,0,0,1,12,11,1,0,0,14704,,73838,25036,8818,47489,25322,35815,16135,135900,68014,34762,,209485,297205,209963,232415,156896,292562,312820,265169,293557,433159
961210,"Typewriter or similar ribbons, inked or otherwise prepared for giving impressions, whether ...",6864,7786,8445,9074,9796,10351,11138,11763,11286,14331,,54547,53451,60316,62481,66482,70702,77751,79934,63725,70013,,18819,19358,20297,22606,28090,29517,42624,39642,29302,36877
854810,"Waste and scrap of primary cells, primary batteries and electric accumulators; spent primary ...",9514,16838,12982,17255,19982,25492,20062,14836,12781,13678,,22857,17782,18466,18971,14253,18946,21858,16419,12295,19895,,229651,303661,379132,387126,378545,516314,510986,523988,372340,369210
851762,"Machines for the reception, conversion and transmission or regeneration of voice, images or ...",12303,16319,17180,16529,12834,11032,8469,15251,17316,13554,,2731163,3067437,2833309,3046223,3312670,3716429,3883879,3614973,4557588,5152324,,1276377,1359908,1492284,1582914,1621283,1591728,1780113,2464127,2689883,3401458
290611,Menthol,6022,5769,5322,6423,8642,11066,12868,13670,13152,13543,,57145,54188,36465,30000,26267,25875,49820,46400,42835,31543,,13846,12035,11823,12091,15290,18561,25984,29532,26968,25943
401699,"Articles of vulcanised rubber (excluding hard rubber), n.e.s.",800,773,596,636,3272,5040,8096,7867,10574,13196,,91973,101734,109978,112758,117863,125981,157491,140085,156095,201170,,147468,137128,139707,125069,127020,128282,147070,152722,150859,181900
151790,Edible mixtures or preparations of animal or vegetable fats or oils and edible fractions of ...,9790,7799,8246,10804,10251,9606,10506,11652,11428,12887,,70074,70335,72457,82210,74952,68454,75779,71922,68917,91074,,76160,72534,73120,81506,84526,76024,78269,81762,83576,109685
390690,"Acrylic polymers, in primary forms (excluding poly""""methyl methacrylate"""")""""",16845,14024,18854,17487,16267,12105,11084,12529,9686,12311,,425674,380645,398706,340937,300723,314513,336903,310487,305322,351762,,244195,241686,272708,242662,261303,272084,262899,248223,237661,248031
854370,"Electrical machines and apparatus, having individual functions, n.e.s. in chapter 85",13213,10818,10063,231814,22649,15162,6883,11926,11629,12074,,309353,381088,480270,414981,421264,437811,438998,449502,441121,787198,,1317520,1766245,1811478,1492271,855580,1138678,1429051,1171099,1295694,1422269
853224,"Fixed electrical capacitors, ceramic dielectric, multilayer (excluding power capacitors)",1003,1867,1009,500,1383,2257,3501,3400,2792,11938,,436045,427363,318502,234186,254355,358398,605066,507219,592285,778632,,562549,654440,537520,560195,534963,605435,812917,747078,840286,989493
900190,"Lenses, prisms, mirrors and other optical elements, of any material, unmounted (excluding such ...",4636,6141,13732,10520,8652,11282,11447,10761,12263,11743,,377761,388467,411473,397389,279913,480041,303315,602424,640311,275942,,524832,429476,451222,435431,369351,442254,558733,419400,496910,565059
901839,"Needles, catheters, cannulae and the like, used in medical, surgical, dental or veterinary ...",12774,11671,10950,10876,10462,10845,12417,11073,10590,11696,,579211,667658,660338,559988,498371,478746,500900,500150,424304,510761,,255787,267389,307721,323301,365492,415975,450927,482649,524506,567030
291533,N-Butyl acetate,13577,16463,17255,12888,7783,10753,5612,11814,6926,11629,,58973,67576,64423,47681,39793,48527,60197,51179,37163,60936,,17643,19463,18997,14574,12923,17138,20270,18158,11720,23857
390140,"Ethylene-alpha-olefins copolymers, having a specific gravity of < 0,94 , in primary forms",0,0,0,0,0,7441,23290,14794,9777,11505,,0,0,0,0,0,0,1522626,2492969,2156549,2698206,,0,0,0,0,0,67645,103491,110450,114507,108017
390290,"Polymers of propylene or of other olefins, in primary forms (excluding polypropylene, polyisobutylene ...",8360,7272,8290,8808,8514,8553,9243,9537,10749,11382,,122668,101470,105682,107963,104609,105147,125184,133275,142472,195944,,105928,115128,111195,113179,108551,112122,104325,93018,87832,108311
844399,"Parts and accessories of printers, copying machines and facsimile machines, n.e.s. (excluding ...",43198,38823,28437,22150,19933,20878,13656,12190,10655,10849,,6107660,5670055,4693435,4632247,3954257,4283840,4195562,3812250,4550108,6217790,,835340,782099,732172,673719,656310,655907,575178,523397,496425,560125
903149,"Optical instruments, appliances and machines for measuring or checking, not elsewhere specified ...",11763,7516,6101,6404,7823,2311,9254,14541,11432,10761,,127563,97573,71961,65754,108072,132576,113296,122156,140780,177837,,174571,187533,224411,274202,229192,326891,465416,472306,552826,659894
293040,Methionine,0,0,560,26214,12529,9127,5966,7945,6733,10723,,35598,92478,161854,0,0,0,0,0,0,0,,46602,39757,27025,41835,31018,23729,23010,23105,24079,32832
854150,"Semiconductor devices, n.e.s.",23773,7856,9984,9975,9666,9566,10983,8561,9974,10256,,254432,534649,636291,507539,534392,297094,156157,160058,290813,428655,,141035,167248,245126,255473,291487,300609,325047,399112,395217,418026
847330,Parts and accessories of automatic data-processing machines or for other machines of heading ...,39160,28797,32335,29366,23371,23211,18005,20866,12956,10081,,8646666,6990269,6183039,4721034,4169649,4438718,3871354,4154481,4064225,3797731,,1837600,1868131,1923454,2344343,2676294,2989067,4678803,6033076,5096197,4885940
850440,Static converters,10297,5624,7873,5467,6293,6525,7692,21896,23072,10063,,712137,698510,682372,770272,801162,770060,924430,858456,879673,989214,,1465649,1477126,1577340,1377420,1234364,1284291,1471599,1586388,1544779,1850786
848180,"Appliances for pipes, boiler shells, tanks, vats or the like (excluding pressure-reducing ...""",12901,18389,29438,25180,14257,14638,10639,10359,7834,9925,,461769,561893,704456,633105,581182,455565,563650,629936,687943,745516,,1507805,1904646,2119295,1758162,1499790,1603481,1579807,1588504,1520608,1686638
901819,"Electro-diagnostic apparatus, incl. apparatus for functional exploratory examination or for ...",2565,4154,2199,2539,7864,8496,8898,8178,7750,9846,,293562,195961,264468,319269,257690,285402,306525,296758,258609,268234,,159216,164405,173481,174490,171451,127205,112839,122794,135549,159788
320990,"Paints and varnishes, incl. enamels and lacquers, based on synthetic or chemically modified ...",2758,2765,2621,2411,2536,2076,2496,5626,8319,9503,,65148,58877,57041,53841,49162,44463,46155,51234,57817,76426,,40271,36346,33906,28999,25268,24550,26231,27426,35573,37970
320890,"Paints and varnishes based, incl. enamels and lacquers, on synthetic polymers or chemically ...",31708,24672,36646,36157,26601,19813,13681,9039,6041,9090,,121509,114271,147960,155221,110812,130155,150463,136735,103193,115729,,411501,370070,371794,363395,355647,388817,419355,361148,349479,416455
381010,"Pickling preparations for metal surfaces; soldering, brazing or welding pastes and powders ...",1289,1059,1249,1703,1728,3207,3292,3803,4678,8736,,55574,54596,58349,60647,55023,71308,72807,63308,66329,84484,,80629,83780,80676,74985,79795,91220,83423,94080,91742,95497
890120,Tankers,7412,17380,11071,34596,2344,28202,0,0,14801,8650,,0,0,288,262,0,0,230,439,313,1891,,358864,322811,227840,402082,469844,280236,416524,229105,566672,651735
291570,"Palmitic acid, stearic acid, their salts and esters",3055,4215,5356,5647,5037,4110,6547,6195,6098,8231,,58610,58226,62279,59382,57432,62496,71330,71898,81736,99979,,18594,16426,16341,15657,14715,14336,19269,19002,19258,26011
900130,Contact lenses,3284,6075,7568,9428,11784,12530,9647,8402,9136,8192,,438896,591776,527599,526355,589547,593365,580110,726015,737888,605398,,105193,132713,111959,135784,147642,148267,186767,199221,130212,158466
847149,"Data-processing machines, automatic, presented in the form of systems """"comprising at least ...""",659,1532,2250,2497,8843,4678,5557,8016,3869,7879,,282899,283079,222836,254915,269004,318555,333799,337372,266745,397937,,281946,290391,268562,259273,225217,242821,317252,240727,311122,461632
300449,"Medicaments containing alkaloids or derivatives thereof, not containing hormones, steroids ...""",0,0,0,0,0,3180,728,649,2272,7814,,0,0,0,0,0,0,1013,426,3023,1522,,0,0,0,0,0,95897,104645,101068,100627,126431
842121,Machinery and apparatus for filtering or purifying water,2474,1308,844,2015,3900,1595,2023,1630,2048,7809,,53003,58718,59338,76381,76225,86138,56718,62615,69170,82612,,109762,136352,164764,171673,154729,162636,167299,175090,199659,163971
