Product code,Product label,"Taipei, Chinese's imports from Viet Nam-Value in 2012","Taipei, Chinese's imports from Viet Nam-Value in 2013","Taipei, Chinese's imports from Viet Nam-Value in 2014","Taipei, Chinese's imports from Viet Nam-Value in 2015","Taipei, Chinese's imports from Viet Nam-Value in 2016","Taipei, Chinese's imports from Viet Nam-Value in 2017","Taipei, Chinese's imports from Viet Nam-Value in 2018","Taipei, Chinese's imports from Viet Nam-Value in 2019","Taipei, Chinese's imports from Viet Nam-Value in 2020","Taipei, Chinese's imports from Viet Nam-Value in 2021",Viet Nam's exports to world- ,Viet Nam's exports to world-Value in 2012,Viet Nam's exports to world-Value in 2013,Viet Nam's exports to world-Value in 2014,Viet Nam's exports to world-Value in 2015,Viet Nam's exports to world-Value in 2016,Viet Nam's exports to world-Value in 2017,Viet Nam's exports to world-Value in 2018,Viet Nam's exports to world-Value in 2019,Viet Nam's exports to world-Value in 2020,Viet Nam's exports to world-Value in 2021,"Taipei, Chinese's imports from world- ","Taipei, Chinese's imports from world-Value in 2012","Taipei, Chinese's imports from world-Value in 2013","Taipei, Chinese's imports from world-Value in 2014","Taipei, Chinese's imports from world-Value in 2015","Taipei, Chinese's imports from world-Value in 2016","Taipei, Chinese's imports from world-Value in 2017","Taipei, Chinese's imports from world-Value in 2018","Taipei, Chinese's imports from world-Value in 2019","Taipei, Chinese's imports from world-Value in 2020","Taipei, Chinese's imports from world-Value in 2021"
482390,"Paper, paperboard, cellulose wadding and webs of cellulose fibres, in strips or rolls of a ...",21900,24535,23508,24055,26238,27020,30221,33788,32836,36975,,20206,21395,21495,18989,25022,32507,58138,67230,71413,74656,,87725,87148,88215,90584,91413,78924,83541,87433,89119,103209
200819,"Nuts and other seeds, incl. mixtures, prepared or preserved (excluding prepared or preserved ...",529,1222,2376,2980,3853,3073,3080,12120,29902,36618,,29079,99878,70815,110329,146792,187542,264993,424664,495077,563221,,24238,30083,35714,50179,45582,44966,48243,47342,49650,60121
721710,"Wire of iron or non-alloy steel, in coils, not plated or coated, whether or not polished (excluding ...",1036,811,1808,678,917,1308,1351,2462,15639,36591,,10308,4908,7915,8425,8893,18899,34895,38034,43878,62758,,31066,36766,47125,32303,27528,27579,29363,22411,28611,71979
252210,Quicklime,32123,35964,41731,36732,31151,32370,35291,30067,27550,35268,,48598,62395,80020,64395,64930,52694,56956,46958,44086,46675,,33088,36153,42359,37144,31582,35095,41792,37875,37021,44136
540233,Textured filament yarn of polyester (excluding that put up for retail sale),469,75,561,7034,996,377,2791,2558,5749,34788,,180645,187937,171213,134667,109458,134907,154309,130682,139588,190009,,6212,6615,4638,8999,4490,3272,5089,6208,8756,39229
681091,"Prefabricated structural components for building or civil engineering of cement, concrete or ...",0,0,0,0,0,7,2310,9470,15231,34398,,516,3307,9164,5006,2867,609,2494,16280,28141,36891,,1637,1365,2611,3029,3752,2207,4375,12770,17238,35596
720720,"Semi-finished products of iron or non-alloy steel containing, by weight, >= 0,25% of carbon",0,0,0,0,0,0,0,48720,25252,34218,,205974,184998,158417,16117,18381,228690,184695,212104,549136,673371,,377282,121099,244103,160584,202996,195943,306529,349966,368145,458437
854232,Electronic integrated circuits as memories,4,201,72,57,60,1720,477,4407,8131,34048,,162,8602,59200,59269,12750,2018,23541,15046,69063,275423,,5573233,4818345,5431547,4931682,8295298,13264776,18157409,19234409,25586354,33781517
640419,Footwear with outer soles of rubber or plastics and uppers of textile materials (excluding ...,4595,5980,10731,15849,22275,21508,24912,32967,27367,31590,,706150,1265929,1461937,1941820,2341151,2850821,3500975,3836798,3863755,4972377,,55746,54942,76226,101158,100784,93896,98598,117539,104629,108433
252310,Cement clinkers,51843,51707,56821,47391,36529,44598,60833,69236,45081,31305,,426330,516746,621422,439747,324806,492957,762052,811043,767809,1173784,,51875,51731,56885,50828,44371,50981,67205,92193,88279,96820
847130,"Data-processing machines, automatic, portable, weighing <= 10 kg, consisting of at least a ...",76116,170503,109880,35434,29818,30332,21969,31698,31555,30736,,1128561,2911179,3166515,4151817,2996363,2859811,2958149,3025524,4197970,5210410,,1169284,1289999,1162902,923146,873488,1045990,1103012,1162373,1311670,1982258
390810,"Polyamides-6, -11, -12, -6,6, -6,9, -6,10 or -6,12, in primary forms",2429,1545,2676,2770,2422,12254,10080,16600,9892,30495,,71742,51739,48780,57229,41348,53019,75479,68974,70556,129812,,259297,257262,238230,217216,172348,212606,261380,262236,206737,297017
282550,Copper oxides and hydroxides,0,0,0,0,7540,14513,22517,17041,17467,30428,,872,692,1297,274,1526,2813,4317,3869,24134,42837,,7698,6668,7724,5084,12133,18038,26523,19526,21282,35248
280470,Phosphorus,14093,16045,18259,16563,14312,21558,18958,18915,23099,29243,,136404,146871,204057,198045,208111,232313,279835,240149,249930,362794,,20442,20917,20875,19125,19507,23915,21207,20922,24459,30754
690721,"Ceramic flags and paving, hearth or wall tiles, of a water absorption coefficient by weight ...",0,0,0,0,0,19518,17588,16462,21400,27047,,0,0,0,0,0,0,80341,84425,96157,134263,,0,0,0,0,0,90765,103221,106116,119990,140334
81060,Fresh durians,0,150,136,65,180,130,462,9552,19663,26952,,553,608,2010,24681,104084,306205,269394,271222,71397,97004,,16328,12559,15766,12374,13139,14112,12653,21393,32422,34420
80132,"Fresh or dried cashew nuts, shelled",10751,13431,15123,16368,14816,16056,20020,22549,21693,26492,,1443109,1596348,1930396,2315661,2732522,3385090,3128961,2941542,2843195,2912469,,13823,16710,16347,17913,16824,16695,23120,25786,23393,28200
851769,"Apparatus for the transmission or reception of voice, images or other data, incl. apparatus ...",2331,189,297,434,5685,5878,13556,16871,18757,26095,,27217,88065,95526,93340,105963,115616,107982,95841,210414,221290,,310709,289647,408687,268881,310784,360894,351279,218076,501573,490665
848640,Machines and apparatus specified in Note?9 C to chapter 84,3053,3469,7780,10628,14024,10951,13968,16104,15344,25967,,61,1116,16007,14283,29114,33336,24266,16823,23025,211366,,393805,336148,489137,232883,376987,449810,581634,470166,646759,788907
252100,"Limestone flux; limestone and other calcareous stone, of a kind used for the manufacture of ...",4166,13621,21444,34759,31264,22418,21776,21389,19731,24464,,21,391,35,21,1029,2371,0,451,13292,95887,,52875,62107,67218,80445,69696,61807,64438,62297,58734,85783
901890,"Instruments and appliances used in medical, surgical or veterinary sciences, n.e.s.",3592,4138,5376,6081,5280,7436,8321,8332,11645,22045,,14708,18474,20499,29136,73829,165831,210419,249338,274310,792751,,541174,555874,558768,597116,602689,680336,618867,668118,781299,689013
950300,"Tricycles, scooters, pedal cars and similar wheeled toys; dolls' carriages; dolls; other toys; ...""",2731,4106,6334,9117,14838,13450,19680,19407,19885,21786,,212346,245370,354547,447721,600325,803578,875607,1018424,1054139,2439359,,202306,214699,236995,271929,268443,282971,315836,312762,318500,375505
30617,"Frozen shrimps and prawns, even smoked, whether in shell or not, incl. shrimps and prawns in ...",0,2880,38559,34030,29573,30227,32495,36518,29651,21084,,1505834,1988909,2481753,1731416,1820293,2204604,1973110,1961743,1942353,2062075,,0,15439,147442,163905,177638,231573,258476,283089,327101,287794
722790,"Bars and rods of alloy steel other than stainless, hot-rolled, in irregularly wound coils (excluding ...",0,0,0,0,0,123,2,439,6846,20517,,11100,12845,8468,8053,3945,1675,1918,16087,20914,55978,,51824,125193,121357,96848,84745,105549,140251,92897,88420,209938
691010,"Ceramic sinks, washbasins, washbasin pedestals, baths, bidets, water closet pans, flushing ...",8678,11166,14369,13150,12626,13480,14656,16990,19611,20514,,79229,94536,110542,94482,97436,117509,136371,155859,170430,122834,,44419,46012,58483,59712,50347,49181,54589,56848,62575,70701
621210,"Brassieres of all types of textile materials, whether or not elasticated, incl. knitted or ...",8850,8397,10989,13673,17013,17147,22856,30200,24982,19804,,137767,154428,183058,213233,363179,561480,690134,820477,721248,1132250,,55086,53983,58673,69713,73551,71295,72893,77302,72129,60545
871410,"Parts and accessories of motorcycles, incl. mopeds, n.e.s.",0,325,4524,5546,6383,11516,16549,23380,21883,19441,,165776,136350,179683,191029,192523,230513,270288,312022,303615,468151,,0,4166,70511,61959,70422,84843,100810,139271,164794,188646
850450,Inductors (excluding inductors for discharge lamps or tubes),6526,19412,11875,4346,4853,7352,10213,9780,17773,19384,,121981,174243,177974,197742,226936,285002,294941,298236,341289,820773,,248514,280545,275409,271051,371190,410666,409274,372934,493981,694692
841590,"Parts of air conditioning machines, comprising a motor-driven fan and elements for changing ...",84,55,1,8,30,18,28,52,245,19187,,33016,34807,38266,35649,37610,45919,59117,59791,59604,44627,,85311,128024,219868,232992,208618,250047,316844,310748,377903,384512
30499,Frozen fish meat n.e.s. (excluding fillets),12415,8576,12153,13045,9252,7768,10311,13750,14790,19108,,482571,302516,346537,355835,349798,374535,473862,459195,436821,471489,,65765,55766,57591,60872,56848,54744,70228,68882,70134,81234
850720,Lead acid accumulators (excluding spent and starter batteries),15499,15059,17334,17976,16302,21410,22598,20581,17733,18550,,312087,348723,433029,399594,413398,491690,621269,693858,747407,821922,,57055,56975,62666,61263,63044,78919,79007,81773,78270,90599
620193,"Men's or boys' anoraks, windcheaters, wind jackets and similar articles, of man-made fibres ...",15692,10598,15560,15056,13723,14983,16344,19054,22193,18433,,480336,665758,790179,817012,859628,1058541,1435655,1510901,1233445,1792798,,59385,54942,70670,82828,72953,71719,84317,82390,77087,87613
70410,Fresh or chilled cauliflowers and broccoli,227,280,736,2822,1942,4098,2296,6942,8785,18210,,203,258,606,2462,1929,4062,2230,6790,8828,18350,,12512,10144,9953,11194,18856,17283,19119,20989,16252,24602
392113,"Plates, sheets, film, foil and strip, of cellular polyurethanes, unworked or merely surface-worked ...",34,35,27,45,44,48,31,113,6524,18117,,4773,3316,3204,4091,7438,11305,23508,29608,25074,67709,,17003,15309,17001,22631,22471,25051,27877,31591,43588,67458
230990,Preparations of a kind used in animal feeding (excluding dog or cat food put up for retail ...,407,1058,1298,10047,11943,12412,16593,18574,18424,18026,,131609,139855,183011,205575,218737,250454,301631,339084,357337,289336,,112423,101946,101181,101660,113159,126039,147063,141899,144629,163567
440122,Wood in chips or particles (excluding those of a kind used principally for dying or tanning ...,20092,14312,12210,11006,5712,3809,4369,20934,17921,17613,,807901,1076718,981103,1168713,982046,1047356,1309183,1620144,1468398,1979745,,112025,118644,119657,119627,85516,82094,81735,75571,68798,89745
700719,"Toughened """"tempered"""" safety glass (excluding glass of size and shape suitable for incorporation ...""",29,979,85,345,59,113,718,249,230,17612,,223,1185,1335,1396,12251,130232,101539,45169,38082,113046,,129592,169528,112148,72299,52242,59684,78957,67390,82036,95650
871120,"Motorcycles, incl. mopeds, with reciprocating internal combustion piston engine of a cylinder ...",756,3533,6672,10473,13209,8726,9830,10770,11767,17136,,176912,357886,459749,413158,484908,558125,574223,608731,695953,736919,,9359,8683,10771,17330,22319,19245,35622,39519,47145,55857
854430,"Ignition wiring sets and other wiring sets for vehicles, aircraft or ships",11225,12666,18394,15345,11198,11470,9628,8882,10040,16962,,1630398,1868144,1962344,1974574,2008435,2311678,2599179,2825387,2676329,3230456,,105138,100950,116897,105363,93908,105240,103135,112041,120562,157913
620343,"Men's or boys' trousers, bib and brace overalls, breeches and shorts of synthetic fibres (excluding ...",9876,8374,9944,12009,12540,15003,17956,18799,19296,16885,,480199,603948,780841,920727,950496,1097543,1306111,1343366,1196554,1507200,,28817,26698,29444,35016,37584,39314,43942,47611,50907,53542
90240,"Black fermented tea and partly fermented tea, whether or not flavoured, in immediate packings ...",19632,19305,18407,15141,13261,15957,16889,17967,14638,16188,,113392,112579,92791,89036,101292,111849,91457,94274,89601,77063,,34905,34580,36937,38532,35911,42996,48257,48223,44638,50837
845020,"Laundry-type washing machines, of a dry linen capacity > 10 kg",0,0,0,0,0,82,350,1914,13067,16037,,33,37,26,3,262696,750669,484700,542733,603238,556031,,66878,76456,85065,77820,92482,91767,111073,121567,135386,160734
610990,"T-shirts, singlets and other vests of textile materials, knitted or crocheted (excluding cotton)",7227,8649,10306,12930,16673,11334,18293,15946,17656,15026,,400673,539016,705758,803556,893999,1006157,1190022,1178020,1035429,880378,,65454,65753,76473,81788,92510,88655,99621,82437,76884,77372
854190,"Parts of diodes, transistors and similar semiconductor devices; photosensitive semiconductor ...",0,4,2801,5792,9752,10367,12347,10072,14654,14879,,8243,12146,37898,56629,100813,194876,161401,101328,39050,202971,,244517,207848,225025,226731,206186,186760,168923,156383,220555,253037
110814,Manioc starch,36755,20937,13213,18516,13789,12103,13910,13648,16096,14392,,779935,706978,738243,913838,738588,745585,795504,870353,865542,287454,,154357,153617,145865,137929,118295,113788,137977,130930,120306,156325
848180,"Appliances for pipes, boiler shells, tanks, vats or the like (excluding pressure-reducing ...""",1873,2254,3263,3592,4087,7522,9677,11179,11712,14287,,22737,74427,123512,182431,282148,337107,327203,299008,341481,563799,,359349,402893,432865,408908,428953,444472,480203,486938,581197,702962
420221,"Handbags, whether or not with shoulder straps, incl. those without handles, with outer surface ...",468,2112,4785,10224,21576,22447,20592,18484,14202,14169,,42673,84944,141930,171904,248928,180716,292754,311139,225755,554880,,162874,159388,177187,178473,204281,217146,230023,248233,259457,335745
950691,"Articles and equipment for general physical exercise, gymnastics or athletics",1765,2516,3491,4231,3855,3846,5452,4187,7377,14135,,7324,4612,9962,12317,14358,14863,25494,27200,103322,188777,,48490,52582,71539,67949,67127,70608,86275,98663,129301,219173
392690,"Articles of plastics and articles of other materials of heading 3901 to 3914, n.e.s (excluding ...",10493,11973,12419,11475,11308,12648,12664,12731,11506,13951,,333801,355892,438673,486320,520451,562645,667630,750748,817782,1042662,,414725,391742,418926,393647,417498,460269,504051,533228,617853,747299
730890,"Structures and parts of structures, of iron or steel, n.e.s. (excluding bridges and bridge-sections, ...",1993,2533,12540,10209,2980,2872,2227,3553,6039,13927,,113339,100629,146602,132861,190366,175026,194215,325913,324942,474381,,116131,82867,108466,84511,85484,74391,79787,212606,624318,297493
250510,"Silica sands and quartz sands, whether or not coloured",12848,13239,8855,6489,4767,9008,3740,8348,11527,13881,,20745,23341,21444,14696,15112,17193,6020,10052,7080,30306,,51711,62287,64278,64833,57576,62045,64132,64293,61306,81451
630533,"Sacks and bags, for the packing of goods, of polyethylene or polypropylene strip or the like ...",5212,5012,5227,7640,10224,12340,14930,17972,14327,13880,,103097,117712,116943,202538,141802,169207,182322,176511,185178,169367,,21044,21737,22526,25131,28870,33380,41003,44266,44380,54116
70490,"Fresh or chilled cabbages, kohlrabi, kale and similar edible brassicas (excl. cauliflowers, ...",4396,3541,2976,5340,10265,5244,6148,9451,7402,13800,,4560,3481,3019,7477,11774,6420,7365,9720,7854,16453,,15207,12598,13010,19667,28559,23136,21148,32514,24381,32230
720719,"Semi-finished products of iron or non-alloy steel containing, by weight, < 0,25% of carbon, ...",0,0,0,0,0,0,0,130,2849,13421,,1820,0,0,0,1,1,2393,6529,27119,25868,,34445,38231,49860,5040,28516,34592,55082,20624,32516,180968
420222,"Handbags, whether or not with shoulder straps, incl. those without handles, with outer surface ...",4181,5660,6073,6732,7844,8671,8252,11706,10845,13254,,144030,198396,202275,240740,239205,318279,382959,459723,448349,356124,,158928,131193,128519,127797,129917,131303,142255,169796,172323,190542
854890,"Electrical parts of machinery or apparatus, not specified or included elsewhere in chapter ...",219,30,13,0,2,628,4153,6736,5830,13071,,18854,52548,93885,121237,231733,466951,427495,191501,103744,96661,,29146,28419,57737,28485,47212,43181,56729,76553,93792,139861
90220,Green tea in immediate packings of > 3 kg,9818,11430,11781,11406,10771,11691,11849,13291,12326,12779,,96051,104168,123444,111038,113113,107721,116734,135173,107654,46216,,11746,14566,16446,17232,17765,23028,23485,25398,24573,25427
722990,"Wire of alloy steel other than stainless, in coils (excluding bars and rods and wire of silico-manganese ...",3639,2944,1447,2728,69,57,294,3765,4278,12644,,9418,12661,27735,33212,35540,49807,56558,56991,49676,41182,,33355,29074,29025,23795,21056,25583,26602,24475,23234,42404
380610,Rosin and resin acids,518,862,1689,924,1170,1005,2122,2286,5128,12182,,27613,38305,55113,52462,52097,51441,48009,47430,61623,126782,,26742,24905,32904,25202,21163,19573,21111,13158,14430,26081
871499,"Parts and accessories, for bicycles, n.e.s.",2180,2131,3014,6806,6420,8158,8372,9914,9201,12048,,14474,10236,11835,14098,14086,16474,22703,30287,35453,65879,,358413,290586,306800,328275,279393,284574,275303,276079,272635,365263
620342,"Men's or boys' trousers, bib and brace overalls, breeches and shorts, of cotton (excluding ...",8014,7989,8523,13603,14685,8543,11719,11782,12510,12023,,495843,589240,619227,603436,658759,665475,727989,764007,604495,911005,,82920,84889,91351,102750,102077,84224,84273,83084,77117,77056
850440,Static converters,163,109,1514,1994,1723,2954,3540,6144,4939,11918,,32006,95515,149927,356884,511639,537759,566389,820351,1185593,2117644,,844372,799085,849081,753315,797978,867324,981745,1148165,1341871,1644391
844331,"Machines which perform two or more of the functions of printing, copying or facsimile transmission, ...",5098,3501,4363,5787,5564,7954,10294,8878,10722,11901,,889681,1067546,1022358,1053053,1088598,1374461,1772299,1904457,1985644,1816390,,110484,108790,115630,91663,93823,95884,98155,94377,99019,98591
540751,"Woven fabrics of yarn containing >= 85% by weight of textured polyester filaments, incl. monofilament ...",1392,1547,1283,1882,3998,3074,2253,6503,8273,11758,,41976,30228,31935,17316,13902,19946,23669,23097,18460,29039,,5317,6497,7574,5181,5470,3994,4977,10899,14022,19223
940360,"Wooden furniture (excluding for offices, kitchens and bedrooms, and seats)",12677,14540,14279,13852,12423,12895,11742,12316,11895,11710,,832872,912531,1170711,1337505,1360439,1533406,1700448,1960324,2307078,4244570,,106094,109789,120363,119155,111166,109092,111380,114953,110440,118515
270710,"Benzol """"benzene"""" containing > 50% of benzene (excluding chemically defined)""""",0,0,0,0,0,6231,15366,11865,6309,11492,,0,0,0,0,0,5359,14055,11191,7903,13055,,0,4,1778,2756,1217,6231,15366,11865,6309,11672
420292,"Travelling-bags, insulated food or beverage bags, toilet bags, rucksacks, shopping-bags, map-cases, ...",1821,3312,3753,6533,8281,8520,7864,10113,10966,11439,,528165,647245,1043043,1149970,1285819,1160254,1319435,1431620,1290469,2141853,,46936,49578,49510,49587,61734,69752,85522,96720,93191,100094
620293,"Women's or girls' anoraks, windcheaters, wind jackets and similar articles, of man-made fibres ...",16529,7498,10800,12829,9858,10042,12312,15740,11942,11366,,301976,433030,568407,602096,629982,764681,1035278,1152580,923086,1434119,,53893,51244,62297,67440,57156,59254,69471,72208,62809,70960
847950,"Industrial robots, n.e.s.",3257,2580,2314,2578,5637,5226,4465,6864,7754,11278,,7728,5950,6017,18602,39249,47321,100226,110991,149221,12572,,76021,79619,91989,116146,127631,129750,140068,104856,99190,123528
852859,"Monitors, not incorporating television reception apparatus (excluding with cathode ray tube ...",0,18,178,0,316,1616,2927,3767,6136,11063,,651,4954,23295,39757,140538,256742,677142,1185184,1500458,379248,,287581,309493,291979,362080,385619,388378,413178,407238,445648,688947
722720,"Bars and rods of silico-manganese steel, hot-rolled, in irregularly wound coils",0,0,0,0,0,0,0,928,4838,10670,,0,0,0,33,54,0,0,3758,8297,31664,,5205,5086,4605,3113,2865,4739,6031,7282,9259,19330
853669,Plugs and sockets for a voltage <= 1.000 V (excluding lamp holders),6850,7428,6571,4836,3792,3972,4849,7062,7784,10595,,25348,34490,44439,62083,74043,85238,116331,285593,417209,423936,,562323,559906,600972,556305,546918,585536,665410,724776,870753,1256270
844399,"Parts and accessories of printers, copying machines and facsimile machines, n.e.s. (excluding ...",603,1263,1462,2466,3406,3879,5437,7810,8779,10553,,191040,210187,225505,253116,297542,378785,442233,472092,421137,1749655,,309377,311975,282062,266080,241021,250078,249235,248497,213770,225923
901380,"Liquid crystal devices, n.e.s. and other optical appliances and instruments not elsewhere specified ...",679,200,3858,10,6,21,254,3631,7695,10452,,3506,549,191,577,516323,3053276,3024161,1445286,2726,836763,,609933,932701,1005308,878665,450307,493144,518692,485372,438637,551337
401150,"New pneumatic tyres, of rubber, of a kind used for bicycles",127,12,37,548,1339,2670,4418,6549,6730,10156,,21795,18756,22911,35815,42351,58876,65477,74367,82876,119394,,27503,27983,30741,28885,21880,20708,22091,25351,23945,35027
