Product code,Product label,Singapore's imports from Russian Federation-Value in 2012,Singapore's imports from Russian Federation-Value in 2013,Singapore's imports from Russian Federation-Value in 2014,Singapore's imports from Russian Federation-Value in 2015,Singapore's imports from Russian Federation-Value in 2016,Singapore's imports from Russian Federation-Value in 2017,Singapore's imports from Russian Federation-Value in 2018,Singapore's imports from Russian Federation-Value in 2019,Singapore's imports from Russian Federation-Value in 2020,Singapore's imports from Russian Federation-Value in 2021,Russian Federation's exports to world- ,Russian Federation's exports to world-Value in 2012,Russian Federation's exports to world-Value in 2013,Russian Federation's exports to world-Value in 2014,Russian Federation's exports to world-Value in 2015,Russian Federation's exports to world-Value in 2016,Russian Federation's exports to world-Value in 2017,Russian Federation's exports to world-Value in 2018,Russian Federation's exports to world-Value in 2019,Russian Federation's exports to world-Value in 2020,Russian Federation's exports to world-Value in 2021,Singapore's imports from world- ,Singapore's imports from world-Value in 2012,Singapore's imports from world-Value in 2013,Singapore's imports from world-Value in 2014,Singapore's imports from world-Value in 2015,Singapore's imports from world-Value in 2016,Singapore's imports from world-Value in 2017,Singapore's imports from world-Value in 2018,Singapore's imports from world-Value in 2019,Singapore's imports from world-Value in 2020,Singapore's imports from world-Value in 2021
847149,"Data-processing machines, automatic, presented in the form of systems """"comprising at least ...""",0,0,0,1,0,0,0,60,1,2577,,37597,62907,76440,74921,51184,114781,148455,210059,35543,54454,,328500,366979,303446,266714,251410,280143,281294,341228,294731,437810
847989,"Machines and mechanical appliances, n.e.s.",17,1,88,0,0,11,923,1184,1495,2316,,117742,105902,70004,65243,108086,165675,176876,132679,133721,129037,,759158,585962,539417,481101,467032,520374,628941,737023,712519,1007466
381190,"Oxidation inhibitors, gum inhibitors, viscosity improvers, anti-corrosive preparations and ...",0,0,0,0,0,0,0,6182,10767,2201,,9184,10731,16030,15631,9869,12625,15966,14730,18465,25092,,33138,58457,52563,56586,23419,36598,71298,88928,65543,54857
760110,"Aluminium, not alloyed, unwrought",11301,15,1527,0,875,405,52622,24675,6342,2168,,4372859,4032722,3139741,3646592,2941809,3009086,3319005,3147661,2898201,4003172,,173593,48479,88035,238430,96495,163933,139392,321108,467005,80092
760429,"Bars, rods and solid profiles, of aluminium alloys, n.e.s.",1108,577,777,1178,618,797,1187,1204,1099,2105,,167851,166096,189216,171278,168081,208751,226672,175969,175127,270646,,54254,54151,50726,73122,69465,72027,67302,60585,47231,62657
30475,"Frozen fillets of Alaska pollack """"Theragra chalcogramma""""""""",0,0,0,0,0,0,2,0,882,2104,,43270,64638,41218,68499,87966,54575,141058,135805,155832,247409,,1168,1212,933,783,852,826,983,1162,1813,2649
382499,"Chemical products and preparations of the chemical or allied industries, incl. those consisting ...",0,0,0,0,0,0,772,1577,873,1720,,0,0,0,0,526,43550,58222,83150,78719,102702,,0,0,0,0,0,0,356613,346270,342538,409348
30614,"Frozen crabs, even smoked, whether in shell or not, incl. crabs in shell, cooked by steaming ...",635,656,887,703,1890,1659,1124,1054,102,1690,,215194,242334,383383,319658,416832,556322,669282,920656,935827,1639113,,6939,7387,10065,8648,9255,8661,8496,12116,5360,8114
821220,"Safety razor blades of base metal, incl. razor blade blanks in strips",1530,1672,2397,2361,3191,1887,2429,3274,1228,1620,,33386,37710,38865,26802,29608,32233,30188,30690,29087,32337,,26630,31871,29049,17770,37702,34432,31065,29537,29376,20875
854130,"Thyristors, diacs and triacs (excluding photosensitive semiconductor devices)",22,50,2,27,173,732,1141,286,806,1362,,14593,10819,9513,9122,9807,12207,14517,10454,11016,14338,,40172,39015,38191,38474,39245,52436,56596,50991,45235,64739
210111,"Extracts, essences and concentrates, of coffee",0,0,0,0,0,0,0,108,519,1059,,71291,116038,107031,117200,110337,133195,130443,107029,166528,210276,,72596,65850,61620,71301,54472,57099,64704,72287,67597,65161
821210,Non-electric razors of base metal,0,28,193,610,363,1222,369,139,1202,996,,26275,26196,27241,20732,17529,42542,26502,22195,21464,23800,,11835,9325,10926,12588,17955,17534,17560,19398,23505,26564
880330,"Parts of aeroplanes or helicopters, n.e.s. (excluding those for gliders)",2352,421,959,1252,1374,18585,15205,1744,801,973,,8483,12451,16294,0,0,0,0,0,0,0,,5235287,5022570,4217285,4381924,5060008,5920649,7069759,7515708,4815695,4599831
220860,Vodka,940,1346,1606,1217,1486,702,792,1757,107,820,,207573,234775,218338,116125,121598,135649,149888,161469,149333,167828,,32002,37656,35124,27054,31133,32026,31276,30500,17347,18012
760612,"Plates, sheets and strip, of aluminium alloys, of a thickness of > 0,2 mm, square or rectangular ...",189,546,1417,2150,1374,1451,5009,2941,1768,681,,214541,197878,224063,223240,240881,321640,366609,348983,323285,333393,,106310,134037,110553,114987,86825,122311,157446,113733,105909,186151
843041,Self-propelled boring or sinking machinery for boring earth or extracting minerals or ores ...,0,0,0,0,0,15,0,0,0,640,,34463,24222,11583,6271,10187,33982,19904,24808,15068,24944,,52154,53311,65838,101385,50676,33629,95150,57596,42563,45972
390690,"Acrylic polymers, in primary forms (excluding poly""""methyl methacrylate"""")""""",0,0,0,0,0,179,425,576,531,568,,6387,11719,14017,14022,16089,22532,32206,47690,42350,68272,,127782,142652,120411,98090,86418,108581,122156,115501,112067,129725
180620,"Chocolate and other food preparations containing cocoa, in blocks, slabs or bars weighing > ...",0,1,0,0,0,0,2814,2203,2107,558,,3931,5023,7531,5194,8915,14879,15809,15568,14760,24612,,13335,11551,17613,15313,13151,13745,17359,14579,10263,8513
710239,"Diamonds, worked, but not mounted or set (excluding industrial diamonds)",0,25,27,7,86,48,5172,1992,585,552,,885774,768000,689787,490580,482338,430209,564773,447757,332773,404345,,601986,738168,782417,575008,577862,467821,570782,484859,173598,281569
901580,"Instruments and appliances used in geodesy, topography, hydrography, oceanography, hydrology, ...""",23,3,45,340,20,461,109,67,2,546,,27512,39877,48592,24808,25270,16799,28496,25723,12852,14988,,187066,298843,248390,318033,176580,365887,246769,334089,171001,136976
90121,Roasted coffee (excluding decaffeinated),0,0,0,0,0,0,0,0,27,502,,47079,50785,42250,26236,25310,34108,34357,36044,47124,58693,,31197,32798,23637,22421,27071,30261,30530,31061,34689,37898
732690,"Articles of iron or steel, n.e.s. (excluding cast articles or articles of iron or steel wire)",1,36,12,12,45,7,573,1017,565,490,,193925,231500,216347,165473,216763,231029,255151,255216,181169,272681,,295882,414307,387389,407512,362986,347635,421721,493505,431237,458127
680710,"Articles of asphalt or of similar materials, e.g. petroleum bitumen or coal tar pitch, in rolls",0,0,0,43,114,278,239,147,109,488,,134686,129640,135249,110663,99200,115144,134711,154305,153941,197364,,7876,7129,6385,5087,4728,4741,2817,3097,2110,2897
480840,"Kraft paper, creped or crinkled, whether or not embossed or perforated, in rolls of a width ...",950,899,599,0,0,54,1120,1022,541,459,,26,27,26,18,128,69,98,93,62,55,,3813,1868,2122,1058,553,545,1873,1475,947,1558
820719,"Rock-drilling or earth-boring tools, interchangeable, and parts therefor, with working parts ...",0,0,0,0,0,0,25,7,61,457,,62658,68294,43664,34478,29792,42930,36518,38210,34071,40271,,143341,159651,153121,83920,46954,47262,47878,46606,36547,51052
854390,"Parts of electrical machines and apparatus, having individual functions, n.e.s. in chapter ...",24,44,77,165,307,71,155,45,142,450,,28727,54812,52164,28697,16742,33716,11794,14570,19563,11219,,1285716,1150454,1126206,1168453,1136041,1161612,1037901,1034137,986896,1321379
852580,"Television cameras, digital cameras and video camera recorders",6,50,181,3,10,23,477,27,94,442,,53876,71548,48976,59264,60095,47091,61048,64301,64106,62486,,1302958,1121103,954246,753061,619294,746818,726467,657970,536540,703569
480100,"Newsprint as specified in Note 4 to chapter 48, in rolls of a width > 36 cm or in square or ...",1100,4150,1183,303,2238,797,609,287,152,423,,690839,576194,623176,436067,427916,468156,653587,553986,356043,402378,,75334,78485,63534,44354,57090,37748,47911,32195,18274,9245
340130,"Organic surface-active products and preparations for washing the skin, in the form of liquid ...",0,0,0,0,0,43,11,11,57,405,,26062,33563,33512,25150,25153,30809,31010,36646,44190,44817,,22801,28786,39068,44590,43401,54696,69317,90398,125777,157006
282520,Lithium oxide and hydroxide,0,0,0,0,0,2,39,79,0,398,,13027,7679,14805,12259,43992,62752,67276,78342,67990,79428,,2013,1306,949,1040,3801,5531,9049,5647,2875,6350
30821,"Live, fresh or chilled, sea urchins """"Strongylocentrotus spp., Paracentrotus lividus, Loxechinus ...""",81,29,186,209,378,473,526,326,292,389,,24089,19224,17475,15215,17193,19432,23180,26690,28873,30307,,2526,2466,2903,2910,3669,4146,5143,6002,5928,9108
240399,"Chewing tobacco, snuff and other manufactured tobacco and manufactured tobacco substitutes, ...""",0,0,0,0,0,86,0,183,250,362,,96262,71747,108631,108630,107691,125744,109547,175969,243430,271051,,803,996,505,1104,1016,1557,2086,5968,4307,1765
999999,Commodities not elsewhere specified,1893,1143,982,475,542,137,81,975,112,356,,12711257,13208165,11646991,55364811,45239262,52887528,63746027,55265424,39315738,73343877,,6824960,5947812,4901000,4498378,4627453,2967611,3306930,4210183,2887415,4853117
854411,"Winding wire for electrical purposes, of copper, insulated",0,0,0,0,127,0,0,6,405,350,,23545,26536,19095,11141,11299,12825,14002,16199,16037,23738,,160993,119560,103914,73407,53515,60010,62413,55613,54939,96356
210112,"Preparations with a basis of extracts, essences or concentrates of coffee or with a basis of ...",0,0,0,0,0,0,0,147,315,346,,18508,11961,18784,12224,16405,16805,20122,19274,26484,28602,,24565,33021,26313,22678,19278,36578,13162,8321,12813,20727
871631,"Tanker trailers and tanker semi-trailers, not designed for running on rails",0,0,0,0,0,0,0,0,0,320,,10321,11067,6833,5782,4621,5511,10082,6434,6945,12175,,5625,11873,2782,2249,1388,760,1764,424,153,833
820411,"Hand-operated spanners and wrenches, incl. torque meter wrenches, of base metal, non-adjustable",0,0,0,0,0,0,0,0,3,315,,5126,4177,3867,3920,3812,3749,6742,4908,4530,7347,,5252,7196,8190,6939,6503,6538,9229,7584,6023,9058
441233,"Plywood consisting solely of sheets of wood <= 6 mm thick, with at least one outer ply of non-coniferous ...",0,0,0,0,0,0,74,47,48,310,,0,0,0,0,593,1056107,1304947,1104328,1098211,1834822,,0,0,0,0,0,0,1149,2216,1001,3182
843143,"Parts for boring or sinking machinery of subheading 8430.41 or 8430.49, n.e.s.",1183,1858,7,35,61,171,684,560,333,303,,49114,46712,39976,25820,25124,30443,42838,37621,30211,45079,,3609924,3051055,2955201,2456388,1280727,1055388,829264,952647,727405,644649
330730,Perfumed bath salts and other bath and shower preparations,0,0,0,0,0,0,0,12,1171,286,,4584,3730,3678,2576,2079,2381,2752,2835,3680,4652,,24572,25413,19342,20106,19447,21715,24767,22658,28722,29124
722511,"Flat-rolled products of silicon-electrical steel, of a width of >= 600 mm, grain-oriented",0,0,0,0,0,0,39,132,230,262,,405116,266372,305365,355202,253887,251571,324024,269806,231357,351155,,4623,14026,28793,36786,40913,27373,40153,16940,16313,27315
903040,"Instruments and apparatus for measuring or checking electrical quantities, specifically for ...",232,334,451,258,214,18,78,142,263,253,,1654,25336,2850,1541,2921,1612,2943,2426,2806,3283,,59494,74619,87279,75821,86009,89594,90330,110083,108509,148295
811299,"Articles of niobium """"columbium"""", gallium, indium, vanadium and germanium, n.e.s.""""",110,27,5,11,93,284,290,108,34,241,,12136,15732,13912,14031,10528,18708,33963,25622,13683,13914,,7265,5859,5702,9644,5924,3440,5282,2429,5933,7673
340220,"Surface-active preparations, washing preparations, auxiliary washing preparations and cleaning ...",0,0,93,0,0,92,581,57,25,228,,223079,237843,233317,209423,206730,512444,273454,251136,278482,305632,,78260,84772,81232,68754,70518,71812,75111,83446,111709,111422
380400,"Residual lyes from the manufacture of wood pulp, whether or not concentrated, desugared or ...""",127,35,25,9,189,252,274,228,132,227,,31617,38988,40968,33715,28439,25945,18803,18506,19472,41217,,6186,8262,7994,5795,4525,4201,3154,2543,2269,2596
853690,"Electrical apparatus for switching electrical circuits, or for making connections to or in ...",2446,34,540,66,135,2,4,173,37,220,,36555,39798,45921,29669,33586,34276,38102,44275,37664,43793,,1469493,1353525,1439711,1309489,1200707,1305879,1384861,1157085,1049046,1333739
841191,"Parts of turbojets or turbopropellers, n.e.s.",0,0,0,7,138,20,0,0,1,211,,217995,246093,199700,188259,165509,246139,306910,298518,214152,218295,,4466914,5756528,5373006,4765011,5516715,6299087,8962304,11083992,7352779,7481911
901890,"Instruments and appliances used in medical, surgical or veterinary sciences, n.e.s.",348,689,323,264,270,117,66,62,92,210,,31761,31855,30947,28518,30804,37282,35301,39015,43845,50194,,1092661,1446556,1524900,1375932,1395114,1329135,1328190,1384078,1686132,1194343
290719,"Monophenols (excluding phenol """"hydroxybenzene"""" and its salts, cresols and their salts, octylphenol, ...""",266,447,516,542,114,73,94,112,134,209,,51363,48513,38713,25216,23596,25156,37738,30984,34656,34930,,6075,5591,5296,7851,13836,29670,35606,29158,31504,41585
842649,"Mobile cranes and works trucks fitted with a crane, self-propelled (excluding those on tyres ...",0,0,0,0,0,0,0,0,0,206,,12487,19505,11441,9535,18072,17219,26563,24390,5637,3804,,148966,227794,178868,125466,124046,43405,60269,62494,46991,38407
730799,"Tube or pipe fittings, of iron or steel (excluding cast iron or stainless steel products; flanges; ...",0,27,0,0,0,0,5,49,102,199,,23977,27603,22414,10535,20518,17755,19383,22828,21316,20615,,178811,220234,157424,157883,122273,93671,90214,124970,121896,134946
71390,"Dried, shelled leguminous vegetables, whether or not skinned or split (excluding peas, chickpeas, ...",0,0,0,0,0,0,0,0,2,195,,7,861,0,32,11,163,274,1649,1494,315,,2272,2322,3084,5538,4675,3715,2597,2638,2865,3589
160431,Caviar,0,0,28,107,102,102,149,113,152,194,,3478,3706,2955,2034,2113,2390,2297,2500,702,1529,,1329,1641,2182,2051,1969,1938,2424,2691,2271,3593
30633,"Crabs, whether in shell or not, live, fresh or chilled",0,0,0,0,0,0,480,473,263,189,,0,0,0,0,3,282372,412732,541975,651874,922391,,0,0,0,0,0,0,56374,59682,41164,40589
400591,"Compounded rubber, unvulcanised, in the form of plates, sheets or strip (excluding rubber compounded ...",0,0,0,0,0,0,33,128,152,185,,8100,7924,7580,3684,4404,7342,8364,10049,13003,16567,,15457,10769,4325,8215,9555,7522,6815,4958,4592,3202
848130,"Check """"non-return"""" valves for pipes, boiler shells, tanks, vats or the like""""",0,0,0,0,0,0,0,17,0,181,,10410,18085,9181,13996,10517,13221,16173,15316,19224,20557,,80780,84828,95185,72793,67283,57706,66231,68158,61001,66979
680919,"Boards, sheets, panels, tiles and similar articles, of plaster or compositions based on plaster ...",0,0,0,0,0,0,0,0,0,166,,521,1263,3897,2054,1329,2072,2363,2047,3554,4641,,11053,10160,10430,8438,5700,5328,3193,2769,2690,3098
330129,"Essential oils, whether or not terpeneless, incl. concretes and absolutes (excluding those ...",18,41,86,43,73,145,54,62,77,162,,7260,9767,12964,19672,15222,13104,13932,11092,16844,23741,,58043,53091,67580,64940,68109,60402,61491,59050,65353,63339
850490,"Parts of electrical transformers and inductors, n.e.s.",17,31,13,7,3,19,95,17,37,153,,3733,8433,6296,4112,6979,6161,6700,8902,7248,9085,,231416,219031,198453,191369,187787,204314,218273,264182,306692,387981
840490,Parts of auxiliary plant of heading 8402 or 8403 and condensers for steam or other vapour power ...,0,0,0,0,0,0,0,26,0,152,,38719,18862,15054,13622,11564,82124,9015,12441,8208,7025,,28084,43685,7348,14533,3194,19822,9685,9159,5585,15984
940390,"Parts of furniture, n.e.s. (excluding of seats and medical, surgical, dental or veterinary ...",0,0,4,0,61,132,229,199,184,144,,53448,54976,67006,56477,57278,76104,90804,96978,97773,125625,,75893,73084,73025,61212,59010,54746,58065,63955,46546,52534
30312,"Frozen Pacific salmon (excluding sockeye salmon """"red salmon"""")""""",0,0,0,0,0,0,0,0,0,143,,123282,148686,93715,81954,219830,156162,404021,218758,255317,168530,,236,636,68,295,164,252,29,237,214,159
860900,"Containers, incl. containers for the transport of fluids, specially designed and equipped for ...",0,0,0,54,2,0,4,0,1,141,,14400,13556,9383,10782,63650,5313,8342,7453,6777,19316,,11932,19029,28673,24993,38558,40804,91949,116910,110992,109379
730840,"Equipment for scaffolding, shuttering, propping or pit-propping (excluding composite sheetpiling ...",281,0,0,177,0,0,39,27,109,139,,9364,17195,25303,21590,14723,19095,35629,35285,54547,72998,,322504,345920,211531,177528,84787,57962,57540,70157,55770,190224
730419,"Line pipe of a kind used for oil or gas pipelines, seamless, of iron or steel (excluding products ...",0,0,2,3,0,0,10,0,9,136,,126019,118405,52945,48521,27136,14012,93506,65262,128780,17761,,231473,229767,185332,132745,128314,62764,141151,94591,145982,70835
30391,"Frozen fish livers, roes and milt",0,0,0,0,0,0,99,186,20,130,,0,0,0,0,0,293897,362784,264425,240160,510148,,0,0,0,0,0,0,6705,5972,5559,9470
680221,"Marble, travertine and alabaster articles thereof, simply cut or sawn, with a flat or even ...",0,0,0,0,0,0,0,0,41,130,,128,307,82,331,351,326,192,180,115,410,,19114,21459,25229,25465,17888,9529,10337,11471,6869,10127
340540,"Scouring pastes and powders and other scouring preparations, whether or not in the form of ...",0,0,0,0,0,0,0,0,16,130,,6631,5539,4497,4435,4267,8222,8767,9860,10857,9825,,1720,6277,1818,907,2597,1678,1950,773,1890,3486
680690,"Mixtures and articles of heat-insulating, sound-insulating or sound absorbing mineral materials ...",194,51,56,82,121,11,68,83,35,124,,3063,4891,7157,4392,6726,10172,12109,14147,13433,17992,,14284,13545,18143,13701,14257,11794,13472,17541,10156,15151
151419,"Low erucic acid rape or colza oil """"fixed oil which has an erucic acid content of < 2%"""" and ...""",0,0,0,0,0,0,0,0,19,120,,8122,9486,13727,7183,4992,4020,2542,8793,36830,61670,,8219,12410,9765,7218,10474,8261,6623,3961,4405,7135
841290,"Parts of non-electrical engines and motors, n.e.s.",2,83,0,38,1,105,7,37,8,119,,27437,21632,16597,8681,11621,7950,12406,12420,11297,11798,,110130,247625,166346,169781,145118,101734,116244,101362,92722,144509
701820,Glass microspheres <= 1 mm in diameter,0,0,0,0,0,0,0,128,157,118,,3999,6537,6577,6760,7731,8216,10502,12687,10978,15350,,2643,2666,2571,1158,1501,1433,1011,1079,1489,927
851110,Sparking plugs of a kind used for spark-ignition or compression-ignition internal combustion ...,109,4,14,65,69,79,61,146,27,117,,22209,26418,35537,24572,21996,34837,36829,36460,43539,88246,,13758,17307,17436,16030,17462,21090,22063,29114,19309,26123
330510,Shampoos,0,1,0,0,0,0,0,0,0,116,,84600,100444,93089,54548,65882,80305,81952,95694,99329,110256,,56320,56236,61288,69015,69579,73599,75194,74941,73376,75768
120400,"Linseed, whether or not broken",0,0,0,0,0,0,30,0,69,108,,187364,170756,151839,136134,206182,189424,147334,219227,230375,442779,,182,134,202,176,238,274,274,287,308,455
940360,"Wooden furniture (excluding for offices, kitchens and bedrooms, and seats)",0,0,127,0,2,90,193,113,121,98,,82232,81368,90561,63561,73853,94470,107302,120425,124595,174345,,124023,160041,176370,195236,192731,146307,149593,137218,112699,159750
854370,"Electrical machines and apparatus, having individual functions, n.e.s. in chapter 85",30,15,14,1,5,184,80,215,442,95,,75600,116238,96423,82048,129604,209120,192087,80177,119551,149022,,328537,334787,287261,239294,257205,264535,396621,448033,420106,732376
382200,"Diagnostic or laboratory reagents on a backing, prepared diagnostic or laboratory reagents ...",17,219,93,320,256,96,72,7,9,94,,20678,25604,26263,28845,24218,31523,33875,40410,91661,92879,,273552,338128,379127,347110,367870,500910,675782,554301,697365,1232127
848190,"Parts of valves and similar articles for pipes, boiler shells, tanks, vats or the like, n.e.s.",1,0,1,22,5,5,122,1,11,93,,25792,25931,24914,16226,15864,19051,23569,20615,15167,14308,,383806,526225,511810,413867,352032,416982,416158,445841,465438,451600
854140,"Photosensitive semiconductor devices, incl. photovoltaic cells whether or not assembled in ...",0,65,31,7,43,3,0,17,0,92,,16089,22406,25403,22198,20142,17266,28156,18739,56929,50886,,728636,838377,967621,1391527,1250264,1064110,1185708,1027130,1028223,1426874
271500,"Bituminous mastics, cut-backs and other bituminous mixtures based on natural asphalt, on natural ...",0,0,0,0,32,38,26,41,55,88,,17855,25782,51189,239559,331560,248381,41917,69066,214485,1072035,,6529,7436,5750,5045,4196,3015,6013,3750,1679,2590
890510,Dredgers,0,0,0,0,0,0,0,0,0,83,,22228,47209,40572,40122,13706,9958,11642,3883,12819,0,,3308,3157,0,0,0,2423,6720,5445,3466,2166
850300,"Parts suitable for use solely or principally with electric motors and generators, electric ...",672,0,0,65,149,9,1,0,13,81,,62422,48825,92765,39436,52096,30162,35844,39194,44822,42972,,204491,217274,157331,132892,114846,107149,117515,144489,111007,110528
30617,"Frozen shrimps and prawns, even smoked, whether in shell or not, incl. shrimps and prawns in ...",136,134,83,91,112,101,86,115,86,81,,3222,1224,1786,2224,4691,6849,8926,11790,8325,11736,,43256,62597,69579,51657,58192,68049,70136,74528,65021,87318
401110,"New pneumatic tyres, of rubber, of a kind used for motor cars, incl. station wagons and racing ...",0,15,12,0,61,66,57,154,23,80,,564935,701060,625518,635951,714789,745404,745368,706948,657023,796916,,175530,157505,168044,147032,133031,143383,130391,133497,118361,155647
392190,"Plates, sheets, film, foil and strip, of plastics, reinforced, laminated, supported or similarly ...",0,0,0,0,1,6,40,63,0,79,,46186,59139,57473,47560,59886,69182,84524,99360,110577,168737,,129542,136159,138918,122317,122126,111469,109394,94562,83765,107294
270111,"Anthracite, whether or not pulverised, non-agglomerated",0,0,0,0,96,779,1103,147,0,78,,1369956,1220723,1228624,1253846,839175,1613303,2397860,2354846,1639880,2068857,,5951,3019,3908,2408,1439,2156,3191,1380,1569,2131
901410,Direction finding compasses,0,25,3,27,0,0,72,62,66,77,,2502,2971,4077,2118,1743,1813,1866,1214,1524,1333,,6577,7717,7560,7031,4667,9482,5231,4513,7793,8587
901380,"Liquid crystal devices, n.e.s. and other optical appliances and instruments not elsewhere specified ...",0,0,0,3,6,35,72,0,25,73,,27654,26399,21992,15960,22617,20933,16576,14776,13074,7065,,185186,178522,184623,130737,104765,103628,116536,116062,97851,122305
