Product code,Product label,"Korea, Republic of's imports from Viet Nam-Value in 2012","Korea, Republic of's imports from Viet Nam-Value in 2013","Korea, Republic of's imports from Viet Nam-Value in 2014","Korea, Republic of's imports from Viet Nam-Value in 2015","Korea, Republic of's imports from Viet Nam-Value in 2016","Korea, Republic of's imports from Viet Nam-Value in 2017","Korea, Republic of's imports from Viet Nam-Value in 2018","Korea, Republic of's imports from Viet Nam-Value in 2019","Korea, Republic of's imports from Viet Nam-Value in 2020","Korea, Republic of's imports from Viet Nam-Value in 2021",Viet Nam's exports to world- ,Viet Nam's exports to world-Value in 2012,Viet Nam's exports to world-Value in 2013,Viet Nam's exports to world-Value in 2014,Viet Nam's exports to world-Value in 2015,Viet Nam's exports to world-Value in 2016,Viet Nam's exports to world-Value in 2017,Viet Nam's exports to world-Value in 2018,Viet Nam's exports to world-Value in 2019,Viet Nam's exports to world-Value in 2020,Viet Nam's exports to world-Value in 2021,"Korea, Republic of's imports from world- ","Korea, Republic of's imports from world-Value in 2012","Korea, Republic of's imports from world-Value in 2013","Korea, Republic of's imports from world-Value in 2014","Korea, Republic of's imports from world-Value in 2015","Korea, Republic of's imports from world-Value in 2016","Korea, Republic of's imports from world-Value in 2017","Korea, Republic of's imports from world-Value in 2018","Korea, Republic of's imports from world-Value in 2019","Korea, Republic of's imports from world-Value in 2020","Korea, Republic of's imports from world-Value in 2021"
640419,Footwear with outer soles of rubber or plastics and uppers of textile materials (excluding ...,42529,59166,80090,109619,135533,152372,196843,198964,222376,203942,,706150,1265929,1461937,1941820,2341151,2850821,3500975,3836798,3863755,4972377,,294443,325172,358538,390359,421423,468227,566562,594202,610436,649655
640399,"Footwear with outer soles of rubber, plastics or composition leather, with uppers of leather ...",91195,116407,144901,152246,132681,167967,176890,186575,191416,198291,,1448934,2494405,2741165,2952812,2815966,2971870,3303147,3664990,3382124,4922094,,417091,446721,531489,620279,589073,653926,733324,764948,718683,821527
30752,"Octopus """"Octopus spp."""", frozen""""",0,0,0,0,0,150231,186920,172432,169651,193247,,0,0,0,0,0,0,263391,240796,217947,244046,,0,0,0,0,0,319990,446056,369378,349332,390382
854442,"Electric conductors for a voltage <= 1.000 V, insulated, fitted with connectors, n.e.s.",11024,15036,24359,49729,70025,94317,109566,111660,146289,178926,,95075,93819,130558,195000,287157,390205,509215,1087127,1527410,2433154,,462851,485522,527384,501366,527011,599601,580054,580515,650860,822950
441231,"Plywood consisting solely of sheets of wood <= 6 mm thick, with at least one outer ply of tropical ...",29749,36496,51971,57128,1568,88110,123093,144412,143880,177222,,1053,9645,6726,5869,20005,47386,59111,91659,66988,342394,,460300,489748,411452,406365,85227,424288,520682,451579,438901,545121
854231,"Electronic integrated circuits as processors and controllers, whether or not combined with ...",10662,12433,12412,9146,7562,175169,115957,97989,150830,167567,,1705350,1913693,1602284,3372170,4654262,6024347,7006900,10567498,13019564,31054183,,14406130,14864740,16416096,18936461,17762547,17430645,16364575,15717142,18626463,22698988
854140,"Photosensitive semiconductor devices, incl. photovoltaic cells whether or not assembled in ...",73857,73439,17000,50367,59420,69743,112566,103536,131830,165424,,111706,135239,92150,551223,1617756,2325299,2000068,3507962,4460421,2997497,,3031320,3301669,2891787,2649735,2479270,2856290,2714172,2982742,2936384,3511881
610990,"T-shirts, singlets and other vests of textile materials, knitted or crocheted (excluding cotton)",14626,26205,27602,44423,96036,126099,143427,163338,142227,154378,,400673,539016,705758,803556,893999,1006157,1190022,1178020,1035429,880378,,151024,188817,222800,237908,306468,348937,353728,385706,314154,325637
853669,Plugs and sockets for a voltage <= 1.000 V (excluding lamp holders),5614,9482,12059,36044,58366,93561,104224,123606,124930,151624,,25348,34490,44439,62083,74043,85238,116331,285593,417209,423936,,1095526,1256297,1080085,886082,831610,867574,874826,885453,858896,988447
850811,"Vacuum cleaners, incl. dry cleaners and wet vacuum cleaners, with self-contained electric motor, ...",4020,33085,62639,71761,62699,71344,64387,103782,139000,144782,,18418,27505,101152,122166,114444,128039,104020,169352,354422,755861,,24058,64138,120307,166622,200734,335026,398742,378384,488183,472881
610910,"T-shirts, singlets and other vests of cotton, knitted or crocheted",39733,53619,52135,59256,64043,74558,107666,140006,120723,144182,,751407,859329,911514,1067847,1142849,1076741,1245442,1386020,1303431,1486337,,350910,381747,370152,384406,371378,380641,471140,550239,510280,609782
621133,"Men's or boys' tracksuits and other garments, n.e.s. of man-made fibres (excluding knitted ...",45957,56348,71741,89203,93559,90813,108277,115908,106476,129776,,111470,143007,168618,191661,197002,208931,274052,322436,314700,445791,,162495,169017,192907,209032,192784,192227,206675,220880,203213,241769
160521,"Shrimps and prawns, prepared or preserved, not in airtight containers (excluding smoked)",49457,54928,81291,80870,85200,108305,129306,126526,116973,129406,,374771,589144,791827,709501,733870,656514,434969,356845,382655,1251187,,95579,96311,117945,116881,124802,160786,179720,169244,161023,195126
620463,"Women's or girls' trousers, bib and brace overalls, breeches and shorts of synthetic fibres ...",48005,70545,98656,99200,103478,106542,121753,125904,103811,125246,,382088,511757,665902,758807,777249,786293,895858,950698,864059,1002360,,155409,202247,231403,235516,228774,238145,257035,263907,223370,288824
741110,Tubes and pipes of refined copper,2052,7656,8807,12082,9508,21339,31412,33251,58235,116422,,91444,123566,171340,199975,291245,463690,585104,712370,751591,800579,,47876,63915,66119,58533,53934,88648,112377,107525,126762,205302
721633,"H sections of iron or non-alloy steel, not further worked than hot-rolled, hot-drawn or hot-extruded, ...",0,0,0,3205,40856,101130,130757,110968,86882,115487,,2149,1045,357,5592,94158,122153,145251,123324,114125,124620,,468530,418720,443018,256841,219076,243165,230210,271216,224787,320067
611430,"Special garments for professional, sporting or other purposes, n.e.s., of man-made fibres, ...",18310,34681,69094,71929,68677,62250,57713,81553,96681,100520,,87911,112282,144722,127959,134244,169744,203722,251307,285610,398686,,53638,89572,133897,160703,152220,125914,129750,162074,183015,200612
30499,Frozen fish meat n.e.s. (excluding fillets),108858,91189,93069,96759,90441,85537,111460,101096,94185,97543,,482571,302516,346537,355835,349798,374535,473862,459195,436821,471489,,178438,164775,175710,178729,170303,164381,201257,176775,176931,170072
850450,Inductors (excluding inductors for discharge lamps or tubes),12390,17083,17415,12231,19222,28205,30514,63393,63275,94795,,121981,174243,177974,197742,226936,285002,294941,298236,341289,820773,,282080,337664,370870,314200,377763,513698,458933,499205,556111,748299
611020,"Jerseys, pullovers, cardigans, waistcoats and similar articles, of cotton, knitted or crocheted ...",9836,8123,10321,15094,37446,51972,68371,82332,84511,92426,,929238,1114763,1137552,1123399,1123636,1210243,1551356,1922061,1814401,2841275,,131307,136853,162766,195498,247294,272778,344472,378075,361543,505194
611030,"Jerseys, pullovers, cardigans, waistcoats and similar articles, of man-made fibres, knitted ...",33850,51860,60144,71237,67990,65371,88440,101455,94770,92102,,581468,692154,937915,1146904,1188910,1390720,1504113,1656412,1315052,1684502,,205185,250048,268066,294994,286083,312741,393203,426435,393125,471038
392690,"Articles of plastics and articles of other materials of heading 3901 to 3914, n.e.s (excluding ...",12678,13984,18804,26937,39187,66068,64955,59251,67376,91577,,333801,355892,438673,486320,520451,562645,667630,750748,817782,1042662,,649506,780701,712734,729344,779323,993231,1084454,1079506,1226701,1569313
902710,Gas or smoke analysis apparatus,1421,28848,29372,34087,52106,62983,75671,69358,63334,89954,,1269,30305,30438,38287,56955,67809,85899,93474,82661,128484,,130991,149363,182878,248093,280323,350880,401748,429629,412177,434131
871120,"Motorcycles, incl. mopeds, with reciprocating internal combustion piston engine of a cylinder ...",1688,3044,14192,15246,16738,16466,21599,29667,47751,89484,,176912,357886,459749,413158,484908,558125,574223,608731,695953,736919,,54312,55087,71168,81446,84749,79734,97827,107623,145634,174610
621143,"Women's or girls' tracksuits and other garments, n.e.s. of man-made fibres (excluding knitted ...",24671,34397,58690,66682,68713,70405,80697,96460,84862,89289,,86491,116365,176843,239140,243318,261023,315781,369674,368945,450301,,90057,106688,127344,129921,140769,141792,155521,183234,159843,195956
620342,"Men's or boys' trousers, bib and brace overalls, breeches and shorts, of cotton (excluding ...",30287,47326,52214,62397,66395,68928,66740,69171,70663,84359,,495843,589240,619227,603436,658759,665475,727989,764007,604495,911005,,257843,308624,332389,335279,299343,291636,305264,291192,253212,279418
850440,Static converters,283,3363,8534,53080,80739,71833,95318,97632,77057,81660,,32006,95515,149927,356884,511639,537759,566389,820351,1185593,2117644,,1465649,1477126,1577340,1377420,1234364,1284291,1471599,1586388,1544779,1850786
150710,"Crude soya-bean oil, whether or not degummed",61018,21825,73070,58981,7383,24525,22957,3203,5864,80434,,96124,58837,108672,117143,15037,22625,28503,5706,13299,101400,,419972,309352,250554,197119,183036,257428,227834,247900,282060,528915
852852,Monitors capable of directly connecting to and designed for use with an automatic data processing ...,0,0,0,0,0,445,2818,19367,33263,79762,,0,0,0,0,0,0,6745,33425,256531,1289749,,0,0,0,0,0,564547,606037,507431,574921,769488
392310,"Boxes, cases, crates and similar articles for the conveyance or packaging of goods, of plastics",2904,3629,3260,8458,17628,38204,43566,45869,60827,78800,,39817,63413,52964,34285,39620,34909,34852,35829,38760,114640,,486958,396196,402276,461997,495311,481012,487057,489916,458160,547784
903180,"Instruments, appliances and machines for measuring or checking, not elsewhere specified in ...",667,1252,72504,125097,47673,74768,69683,47801,48288,70815,,11239,28446,56313,67277,47862,62857,54857,70286,127614,360555,,909215,946004,1204675,1222845,1122496,1149856,1111450,959251,900537,1095645
890120,Tankers,0,0,0,0,0,0,17699,25354,14943,69612,,50558,3110,43124,14553,0,0,37038,25747,2250,69612,,358864,322811,227840,402082,469844,280236,416524,229105,566672,651735
440122,Wood in chips or particles (excluding those of a kind used principally for dying or tanning ...,81524,83943,83980,70217,74007,57070,65351,74297,57399,69554,,807901,1076718,981103,1168713,982046,1047356,1309183,1620144,1468398,1979745,,85848,90323,88187,79049,76527,63451,66301,75659,59162,72096
400122,"Technically specified natural rubber """"TSNR""""""""",64949,45567,35085,29680,43689,77145,49400,58536,41015,69177,,2150309,2136805,1460779,885691,690450,695148,702879,714320,474692,722845,,1185066,936939,699478,511618,451708,624703,504135,473082,376844,551242
940190,"Parts of seats, n.e.s.",43200,41459,48247,51051,40754,49091,59067,71519,64030,67700,,130869,143016,165359,231403,204172,215179,300198,410920,408611,713865,,296557,314218,354046,362826,344884,394134,387773,395135,421286,461511
610463,"Women's or girls' trousers, bib and brace overalls, breeches and shorts of synthetic fibres, ...",8319,13397,24651,32557,39350,44274,55596,58846,57701,67496,,226495,303976,444073,579426,657799,872311,945371,1049498,1196848,1543758,,40297,50378,73245,89546,101537,108007,126727,129158,123951,140902
610343,"Men's or boys' trousers, bib and brace overalls, breeches and shorts of synthetic fibres, knitted ...",6166,9380,14410,12836,28895,40939,49984,59216,58864,64730,,95158,144621,195128,210012,293742,363440,482394,533015,520453,676470,,34467,42360,56663,66474,94230,104844,116871,126708,120597,139394
850110,"Motors of an output <= 37,5 W",40632,46547,56936,59173,68910,68749,80901,64192,66551,64336,,600827,576224,588543,670788,615110,642320,593354,542132,466283,796356,,434025,405838,409441,406239,664526,939550,758289,660236,934635,1884213
520523,"Single cotton yarn, of combed fibres, containing >= 85% cotton by weight and with a linear ...""",1230,320,402,1514,7289,9500,21490,30384,35178,63647,,7595,9546,26668,57816,83411,108551,134056,170687,159981,243774,,126615,137559,99386,84007,72278,59602,87520,64290,64962,125748
380991,"Finishing agents, dye carriers to accelerate the dyeing or fixing of dyestuffs, and other products ...",19973,25353,30093,35268,42662,50431,72553,69903,55450,63172,,85967,98981,144414,154835,105809,91909,114661,137918,138191,231387,,72818,80823,92044,99225,113945,138124,161358,154316,117038,126149
200819,"Nuts and other seeds, incl. mixtures, prepared or preserved (excluding prepared or preserved ...",2075,3897,8159,21680,27646,26220,39227,57494,56071,63138,,29079,99878,70815,110329,146792,187542,264993,424664,495077,563221,,60320,87726,114479,94180,96655,102358,134757,133368,127361,143475
851680,Electric heating resistors (excluding those of agglomerated coal and graphite),8822,9757,10643,11052,14152,23524,32046,41338,53326,62901,,51486,67026,76361,76371,96993,124822,140678,168504,184996,274149,,105068,99153,117952,128041,157990,189112,196215,184855,210352,244216
830210,"Hinges of all kinds, of base metal",1,1,2,248,2199,1033,3632,14273,45599,61806,,1347,1508,1697,2320,3941,7535,12087,24075,31210,96332,,46694,47442,50015,52406,56548,65621,80712,82047,116266,149846
848180,"Appliances for pipes, boiler shells, tanks, vats or the like (excluding pressure-reducing ...""",40,15142,10092,13395,44885,47344,57059,55855,56397,61262,,22737,74427,123512,182431,282148,337107,327203,299008,341481,563799,,1507805,1904646,2119295,1758162,1499790,1603481,1579807,1588504,1520608,1686638
621040,"Men's or boys' garments of textile fabrics, rubberised or impregnated, coated, covered or laminated ...",77825,165886,202635,152148,107005,100105,119092,91677,62891,59602,,155231,215321,303777,271886,306041,350045,406276,455029,365156,593168,,152316,216443,268914,212275,155607,147104,162388,143475,97972,104152
840991,Parts suitable for use solely or principally with spark-ignition internal combustion piston ...,24257,7241,1432,1257,1315,1444,7470,29930,40640,58844,,37108,86183,71267,58856,84683,80469,98327,115655,129642,200447,,517250,524082,483498,467704,511459,463918,440944,450471,457048,587197
610520,"Men's or boys' shirts of man-made fibres, knitted or crocheted (excluding nightshirts, T-shirts, ...",7422,8750,16438,19136,41288,59107,71838,67947,68301,58842,,181742,201010,213094,248033,294697,358643,356338,385959,290231,417989,,26234,29374,39765,44760,70904,94276,107509,102579,103428,98982
844331,"Machines which perform two or more of the functions of printing, copying or facsimile transmission, ...",12021,9775,10909,15570,23909,26575,32716,38067,52077,57693,,889681,1067546,1022358,1053053,1088598,1374461,1772299,1904457,1985644,1816390,,348971,338204,377187,388344,333468,331534,325862,325901,337042,383058
420292,"Travelling-bags, insulated food or beverage bags, toilet bags, rucksacks, shopping-bags, map-cases, ...",25183,36768,48247,49627,46460,54532,53976,61272,67846,57549,,528165,647245,1043043,1149970,1285819,1160254,1319435,1431620,1290469,2141853,,190143,218876,262386,271278,281600,309158,342185,373967,383656,457414
620333,"Men's or boys' jackets and blazers of synthetic fibres (excluding knitted or crocheted, and ...",12219,14901,25100,28538,27063,41674,56815,64804,63951,57538,,126294,149663,269228,299442,272232,312336,426735,412878,271504,164486,,102666,104520,113589,119303,104314,114939,128750,128266,118054,110579
611610,"Gloves, mittens and mitts, impregnated, coated, covered or laminated with plastics or rubber, ...",20316,22632,21964,23296,25042,29841,35566,44112,45348,54791,,60173,60895,69203,75253,90017,104337,130860,161334,183113,198165,,24311,29457,31447,33019,39090,48416,52730,63644,70689,90448
520623,"Single cotton yarn containing predominantly, but < 85% cotton by weight, of combed fibres ...""",29103,36978,23174,21438,17605,17626,27315,25217,39666,54745,,56301,77990,78903,69769,65734,104603,107251,108665,117936,159551,,72531,95945,73182,71321,62204,56416,75706,56643,56951,90815
852871,"Reception apparatus for television, whether or not incorporating radio-broadcast receivers ...",6,5,4,23,21,2684,610,27742,58787,54705,,121250,144765,105624,120562,210381,205941,245077,324260,733244,484201,,148666,168372,157870,132456,107485,115918,129651,163845,191907,214218
90111,Coffee (excluding roasted and decaffeinated),73672,70501,69009,54485,53009,73889,55904,50216,47041,54620,,3507401,2513198,3267706,2341585,2967118,3007675,2811711,2135113,1886972,2233123,,382461,314050,425782,433933,421151,486565,441824,426633,454170,543051
850760,Lithium-ion accumulators (excluding spent),11867,20346,21645,19190,34887,36761,36915,27626,30127,54570,,93627,123910,200640,310413,322093,413896,578517,703510,553928,726907,,464023,511797,462385,402507,394591,670951,1224303,1248932,1632726,3357021
310210,"Urea, whether or not in aqueous solution (excluding that in pellet or similar forms, or in ...",3085,8629,0,0,16,147,1339,0,0,53547,,191920,139131,103710,49591,27136,46937,53115,66870,108896,128166,,331004,288998,242405,222962,196944,214176,264964,251615,234974,417984
130219,"Vegetable saps and extracts (excluding liquorice, hops and opium)",1042,3800,1857,4672,16597,34099,31416,42149,43437,53108,,2999,8056,2975,8623,22271,36124,36817,52425,46895,99795,,123036,126463,123799,117318,140940,176295,179496,207708,241098,248431
940169,"Seats, with wooden frames (excluding upholstered)",27429,34634,45247,49350,56244,62121,71226,68315,66490,53051,,506386,527366,628024,679871,747747,800152,680272,749984,788230,696013,,218076,234558,272341,307277,281240,293651,317727,312392,330445,365417
854370,"Electrical machines and apparatus, having individual functions, n.e.s. in chapter 85",62466,172440,198245,167672,21264,13501,88751,41894,70279,52879,,13201,16236,25315,27380,38259,64876,129488,112917,237914,679531,,1317520,1766245,1811478,1492271,855580,1138678,1429051,1171099,1295694,1422269
854232,Electronic integrated circuits as memories,7412,20175,23696,17245,11455,61316,70068,43398,31795,52707,,162,8602,59200,59269,12750,2018,23541,15046,69063,275423,,5091921,5718313,5908469,7549418,7505162,10916151,13160500,14970347,15644386,18828553
590220,"Tyre cord fabric of high-tenacity polyester yarn, whether or not dipped or impregnated with ...",96121,54652,37509,31676,31822,31767,26469,41226,53566,51981,,264450,307846,326508,308504,287736,307094,344628,377004,287126,479263,,131674,85248,62137,58305,54711,55153,62147,77150,77470,93153
520512,"Single cotton yarn, of uncombed fibres, containing >= 85% cotton by weight and with a linear ...""",12945,17724,14736,14190,26200,30069,42557,39357,37987,50024,,318785,416721,580296,550759,834846,1037592,1069960,1202747,1048404,1294743,,72007,83149,63788,54466,64765,67762,100916,80332,71399,105583
391990,"Self-adhesive plates, sheets, film, foil, tape, strip and other flat shapes, of plastics, whether ...",613,735,2243,2940,4295,22780,24028,29121,24350,49686,,24130,16898,21883,20914,25711,48414,100131,120406,104421,173353,,408563,413834,370892,336979,363257,499649,446823,430098,465682,521788
720712,"Semi-finished products of iron or non-alloy steel containing, by weight, < 0,25% of carbon, ...""",0,0,0,0,0,0,1058,5906,32522,49307,,0,38,55,13,18,7228,207379,124142,385519,488263,,1165523,849136,1102963,640959,637058,532476,723814,733616,370514,704409
853710,"Boards, cabinets and similar combinations of apparatus for electric control or the distribution ...",419,59879,2328,2363,3609,5324,12934,20059,23981,49123,,85890,53663,59747,93997,439442,550943,627006,672783,715738,1281229,,3248528,3952969,1446865,1653415,1266477,1326943,1420840,1418986,1291697,1541973
731210,"Stranded wire, ropes and cables, of iron or steel (excluding electrically insulated products ...",21006,21385,31445,31199,36462,47984,55686,45050,36552,48215,,117131,212485,222772,253885,261120,295969,356636,366469,270590,472004,,238845,226220,234921,234954,214567,215599,205840,227814,179309,271975
520513,"Single cotton yarn, of uncombed fibres, containing >= 85% cotton by weight and with a linear ...""",9275,13199,6257,5296,17524,23391,27321,20813,27022,48084,,36371,38515,37536,33325,61848,105925,112031,127602,134929,191305,,38432,47526,31436,29944,43901,40841,56849,52748,51374,88985
640610,Uppers and parts thereof (excluding stiffeners and general parts made of asbestos),3053,14477,34172,46286,49232,63291,71274,59148,49542,47827,,116764,169226,212058,211042,244129,276876,281357,296704,220513,272526,,112441,149202,158616,170644,180298,175321,169181,142161,111725,119120
854239,"Electronic integrated circuits (excluding such as processors, controllers, memories and amplifiers)",6559,13049,70329,27277,34689,48022,73529,66435,81774,47767,,240709,243335,549479,638003,511766,731846,779511,890103,736943,1279834,,5784073,7072777,7439705,4912421,4471686,4780311,4692389,4752213,5684805,8322568
760200,"Waste and scrap, of aluminium (excluding slags, scale and the like from iron and steel production, ...",32119,47185,58496,71360,62472,46636,52353,63553,46970,45244,,29000,43941,50601,71899,61319,43935,52053,53607,51075,57329,,1108548,1179374,1333397,1107455,894714,1132557,1165436,1091552,1099558,1789799
620462,"Women's or girls' trousers, bib and brace overalls, breeches and shorts of cotton (excluding ...",12561,24975,18623,22410,26118,33485,38213,41614,45779,44853,,497669,612223,542727,555999,550068,576682,722688,810519,750026,986124,,270278,325512,314486,292335,282687,296105,318037,321851,261118,306068
940350,Wooden furniture for bedrooms (excluding seats),12749,15792,21924,24759,24001,24281,31652,37475,46484,43279,,900200,1002600,1060964,1014195,1088113,1186412,1219627,1325972,1363822,2926426,,92360,98336,118211,137664,133843,128722,129610,145842,159447,167169
841459,"Fans (excluding table, floor, wall, window, ceiling or roof fans, with a self-contained electric ...",2113,1787,3300,3213,4618,7626,13418,26086,36574,43131,,68796,68646,128659,116432,129548,191324,159240,224344,446767,714506,,177042,203053,215654,213600,186696,266787,305450,301182,303109,364934
854720,"Insulating fittings for electrical purposes, of plastics",9,5,73,45,38,65,13736,23507,28467,42634,,85,86,107,460,1401,9557,14353,23889,29816,72090,,43027,36523,24838,16876,19435,33982,54209,64179,79508,106871
902920,"Speed indicators and tachometers, stroboscopes",4078,16692,20359,21202,20741,19046,21654,26162,35814,42536,,1839,14612,22384,24201,26017,33698,40603,46105,53487,106386,,15096,26914,61391,59642,64419,79424,67458,73837,79812,98075
540244,"Synthetic filament elastomeric yarn, single, untwisted or with a twist of <= 50 turns per metre ...",1244,1940,7407,10739,16988,14142,15799,16835,17814,42251,,138745,159222,253847,273367,280019,301222,371417,344818,287514,559587,,55445,56236,51855,53419,48558,41377,43226,43170,43522,82547
