Product code,Product label,Germany's imports from Australia-Value in 2012,Germany's imports from Australia-Value in 2013,Germany's imports from Australia-Value in 2014,Germany's imports from Australia-Value in 2015,Germany's imports from Australia-Value in 2016,Germany's imports from Australia-Value in 2017,Germany's imports from Australia-Value in 2018,Germany's imports from Australia-Value in 2019,Germany's imports from Australia-Value in 2020,Germany's imports from Australia-Value in 2021,Australia's exports to world- ,Australia's exports to world-Value in 2012,Australia's exports to world-Value in 2013,Australia's exports to world-Value in 2014,Australia's exports to world-Value in 2015,Australia's exports to world-Value in 2016,Australia's exports to world-Value in 2017,Australia's exports to world-Value in 2018,Australia's exports to world-Value in 2019,Australia's exports to world-Value in 2020,Australia's exports to world-Value in 2021,Germany's imports from world- ,Germany's imports from world-Value in 2012,Germany's imports from world-Value in 2013,Germany's imports from world-Value in 2014,Germany's imports from world-Value in 2015,Germany's imports from world-Value in 2016,Germany's imports from world-Value in 2017,Germany's imports from world-Value in 2018,Germany's imports from world-Value in 2019,Germany's imports from world-Value in 2020,Germany's imports from world-Value in 2021
760200,"Waste and scrap, of aluminium (excluding slags, scale and the like from iron and steel production, ...",155,70,0,35,124,0,1894,11913,3014,4730,,381842,362918,370661,382407,341947,397956,448478,383745,358873,651186,,871509,844876,1011942,1081220,951558,1163010,1407411,1307246,1113408,1673250
253090,"Arsenic sulfides, alunite, pozzuolana, earth colours and other mineral substances, n.e.s.",3831,2850,3422,1344,767,1415,1517,2031,12289,4633,,167632,175366,250357,258725,293402,997370,1174010,1012280,654442,1284900,,80031,90023,90705,69311,75612,78416,89873,96151,86400,96622
854442,"Electric conductors for a voltage <= 1.000 V, insulated, fitted with connectors, n.e.s.",906,709,691,1242,2086,5300,5822,6069,6822,4364,,26523,25848,26591,21947,25553,29230,29843,38711,34457,43616,,1958355,2146764,2236922,2119398,2247342,2598028,2634437,2413935,2417138,2936782
51199,"Products of animal origin, n.e.s., dead animals, unfit for human consumption (excluding fish, ...",492,902,2724,1916,1917,2198,5530,5302,3567,4313,,9447,12655,20884,22329,35291,54422,58566,63668,69477,107353,,138458,172929,166515,155229,154492,167402,204524,224066,246017,301388
330690,"Preparations for oral or dental hygiene, incl. denture fixative pastes and powders (excluding ...""",1389,2125,2104,1571,2039,2037,2369,2205,1832,4281,,4473,4316,4662,9475,10864,12410,13801,13911,13632,24219,,80394,90616,104662,87683,89313,95682,112077,115022,126320,180155
380210,"Activated carbon (excluding medicaments or deodorant products for fridges, vehicles etc., put ...",373,1468,1314,2121,1712,2607,3338,4783,2506,4268,,10374,0,0,21234,23350,29371,34961,35113,0,0,,110720,123351,130642,125106,126144,137470,160624,164194,159119,188137
846031,"Sharpening """"tool or cutter grinding"""" machines, numerically controlled""""",9329,8755,11886,15335,10720,10061,10516,6894,2440,4188,,15,18,435,4908,4494,9819,27884,4001,5834,15508,,22096,15794,26580,30368,28878,32363,38307,29409,19365,32813
901819,"Electro-diagnostic apparatus, incl. apparatus for functional exploratory examination or for ...",3698,1324,1196,866,510,1077,954,409,635,4129,,38195,29601,38554,33307,27492,29620,36081,36147,36110,47890,,434374,431332,468631,437879,423883,471342,640383,1031956,1715642,2136206
847780,"Machinery for working rubber or plastics or for the manufacture of products from these materials, ...",86,15,216,205,401,1435,1811,2000,2317,3941,,7323,6105,7051,4787,6092,5654,6878,7834,7658,13679,,218128,176048,257768,251295,274308,349017,358562,315109,348821,348382
382200,"Diagnostic or laboratory reagents on a backing, prepared diagnostic or laboratory reagents ...",11236,9441,1795,2345,1520,3475,1951,4137,2656,3519,,83794,64507,57651,53584,64568,63616,64113,67519,100388,189448,,2864257,3001228,3059353,2852498,2720414,2934306,3005129,2865580,4617220,6563330
852691,Radio navigational aid apparatus,838,463,560,366,769,355,353,179,104,3450,,38370,37812,34355,55122,54257,52207,69316,42839,31626,30965,,2065801,1832298,1662324,1149564,1204555,1402147,1281550,1458339,806734,649814
711810,"Coin (excluding legal tender, gold coins, medals, jewellery made from coins, collectors' items ...",96771,95349,75353,75346,108698,124683,125202,58313,69832,3447,,1169,795,1352,3944,869,1493,1100,762,1726,2885,,433783,402658,301124,282709,295379,278407,313218,203041,224294,36013
854370,"Electrical machines and apparatus, having individual functions, n.e.s. in chapter 85",3401,4006,1581,732,1012,1763,1547,1490,2105,3356,,78002,89867,77526,64230,71781,48950,60633,59538,77217,69814,,1536216,1987472,2261777,1961432,2046728,1903369,1953181,1821686,1964773,2387555
80620,Dried grapes,1634,2003,2281,3219,4738,4371,5050,3752,3799,3337,,5248,8835,8094,12899,17671,12761,19441,23214,16537,19013,,188378,197839,181874,161436,166933,144518,161756,171140,171128,162360
121020,"Hop cones, ground, powdered or in the form of pellets; lupulin",3043,2036,1954,343,137,583,1185,609,1872,3094,,2275,4320,8767,11396,9966,18767,19831,19140,23839,25096,,13469,16660,11048,9309,12942,16282,14739,22439,26381,26669
50400,"Guts, bladders and stomachs of animals (other than fish), whole and pieces thereof, fresh, ...",1230,552,1935,2788,2686,4019,3508,5446,4741,2974,,89964,85597,110423,162742,141389,170110,226517,172620,133770,168264,,714988,671372,642964,511775,495350,649154,639043,573806,494732,534676
847982,"Mixing, kneading, crushing, grinding, screening, sifting, homogenising, emulsifying or stirring ...",56,10,175,22,19,37,5,11,382,2815,,11351,7562,10085,5866,10649,21249,7752,10804,12478,12591,,188666,207433,223960,288112,266676,208167,268426,251462,234378,303025
853710,"Boards, cabinets and similar combinations of apparatus for electric control or the distribution ...",11381,2018,1533,1597,1926,2476,2674,4284,4056,2679,,143414,90125,99486,76119,75861,87068,92260,126219,96606,140347,,3842113,4691157,5341384,4847051,5569694,6323418,7419554,7502001,7302620,8143768
20423,Fresh or chilled boneless cuts of sheep,4212,3241,2519,2361,2616,2256,2413,2248,2210,2553,,120423,128532,152387,143987,155891,166082,170645,173861,178265,262809,,48764,44380,48525,46306,54701,67295,72703,51593,49099,48724
870510,Crane lorries (excluding breakdown lorries),0,0,0,0,0,0,0,0,0,2545,,9379,11045,19387,38250,15198,6220,7204,8748,15549,28144,,69642,95410,89374,66358,55794,67754,91171,84863,70818,47606
350290,"Albumins, albuminates and other albumin derivatives (excluding egg albumin and milk albumin ...",990,881,595,475,706,1010,1097,1895,2385,2441,,2175,2461,2667,1265,2983,1744,1259,2190,3589,4020,,9557,9009,7527,6796,6087,7940,13326,15174,12508,18419
300190,"Dried glands and other organs for organo-therapeutic uses, whether or not powdered; heparin ...",1016,1547,1857,339,328,506,339,407,1782,2439,,9524,8853,6768,2380,6018,7781,7097,11116,10690,5326,,310166,242435,197587,127298,146716,173601,212313,160401,147246,122878
842230,"Machinery for filling, closing, sealing or labelling bottles, cans, boxes, bags or other containers; ...",60,10,1,0,353,991,1569,963,1574,2381,,27093,25052,30432,21514,21174,22890,33552,28970,28180,30013,,219568,187046,201212,200726,229839,252413,314426,344030,384664,416726
852990,"Parts suitable for use solely or principally with flat panel display modules, transmission ...",735,433,790,665,1852,2195,1160,4652,1241,2354,,50605,42139,51318,39158,30737,21964,20441,22096,14842,25264,,3341195,3015265,3023479,2406466,2387952,2565931,2751037,2784816,3273111,3695646
854129,Transistors with a dissipation rate >= 1 W (excluding photosensitive transistors),0,6,3,1,18,4,6,2012,1342,2324,,1801,2291,2485,2066,1052,1563,958,514,1193,1682,,747196,920962,1156538,1175446,1374262,1664628,2000708,1903830,1592902,2005412
820730,"Interchangeable tools for pressing, stamping or punching",375,498,469,733,920,1091,1182,1794,1258,2323,,1165,1086,1438,1029,1241,2496,5271,8956,10885,18149,,561966,548278,577843,561197,549249,673794,633413,630095,484227,606664
300390,Medicaments consisting of two or more constituents mixed together for therapeutic or prophylactic ...,2,8,2,0,3,0,0,3,1,2274,,24837,27330,25734,32605,20201,30331,58193,55484,22764,27317,,165858,150370,269558,309947,351446,370060,428181,393077,460920,435795
80231,"Fresh or dried walnuts, in shell",0,221,1214,3851,5018,3293,2222,1667,2353,2263,,16843,22419,13982,16357,9810,15219,13064,9566,11861,11042,,43157,50755,48057,36840,43322,51749,31496,33170,37273,36046
870891,"Radiators and parts thereof, for tractors, motor vehicles for the transport of ten or more ...",1219,529,548,924,625,536,847,375,366,2188,,18969,11313,11924,12370,17131,32130,22241,15295,18737,19382,,750182,882038,916645,778349,843603,912932,949989,933703,886219,970778
80390,Fresh or dried bananas (excluding plantains),0,0,0,0,0,0,0,1821,2481,2187,,14,65,119,18,214,239,153,251,97,195,,951502,1125533,1125418,978501,1015884,1014111,944593,995598,1036450,1095211
284390,"Inorganic or organic compounds of precious metals, whether or not chemically defined (excluding ...",22,26,42,18,218,3061,2751,2553,1209,2177,,1424,36,35,57,79,121,101,203,2534,863,,1009067,1075540,1088532,739812,590143,688071,695956,789006,327301,592574
846693,"Parts and accessories for machine tools for working metal by removing material, n.e.s.",1495,1685,2162,1894,1824,2184,2662,1182,1949,2075,,24211,25289,29508,29580,27457,34640,40785,21226,13382,16290,,721983,672902,739216,655156,657594,660566,791171,720679,520688,693505
152190,"Beeswax, other insect waxes and spermaceti, whether or not refined or coloured",1200,1173,1009,935,1641,1312,2340,1198,1702,2004,,1981,3315,2746,2916,2951,2443,4198,3451,1996,2468,,17899,21897,23942,27694,26898,28041,28412,25835,29078,28517
350400,"Peptones and their derivatives; other albuminous substances and their derivatives, n.e.s.; ...",5332,6606,3300,2628,830,2676,2364,2717,3911,1997,,113869,121115,134178,78529,67419,57361,50410,49605,123921,138142,,279964,329120,342465,258860,195967,207031,213767,250678,275826,323105
843039,"Coal or rock cutters and tunnelling machinery, not self-propelled (excluding hand-operated ...",0,916,5870,0,0,0,0,0,9339,1984,,9445,16542,34593,51564,53105,53539,32938,17835,4769,9259,,7276,48495,45028,29224,45538,46905,34877,31349,40414,54703
30890,"Live, fresh, chilled, frozen, dried, salted or in brine, even smoked, aquatic invertebrates ...",302,454,576,659,700,507,901,1364,1796,1894,,0,60,1,2,80,4,4,2,4,16,,2003,2301,2921,3192,3329,3278,2749,2498,3594,4551
130219,"Vegetable saps and extracts (excluding liquorice, hops and opium)",221,480,661,505,657,751,860,818,1218,1817,,4956,5458,8088,7851,7822,8825,11942,13006,19641,19224,,149969,159396,171857,180418,184405,227650,296883,239282,301843,290931
750220,Unwrought nickel alloys,13039,2103,448,1368,51,6605,18804,625,3192,1808,,0,0,0,0,0,0,0,0,0,0,,314095,147608,199790,121716,118377,131925,149644,114570,83615,98589
843351,Combine harvester-threshers,0,0,0,0,0,129,0,679,0,1717,,3919,438,2288,598,998,467,1825,1632,1529,2162,,198953,166156,155699,123057,111023,94926,103068,89085,106428,100693
320611,Pigments and preparations based on titanium dioxide of a kind used for colouring any material ...,337,415,540,1878,633,3607,1989,3371,2224,1708,,463747,438658,493941,447531,419769,542391,579628,523266,474352,651346,,689716,655434,645080,501869,532843,720239,771256,618332,607689,692745
851769,"Apparatus for the transmission or reception of voice, images or other data, incl. apparatus ...",494,358,172,373,727,887,549,452,148,1675,,55092,44764,42707,45844,84779,150101,68175,75493,53820,49388,,341172,319203,341992,283064,366070,491073,593999,578317,508647,532091
841990,"Parts of machinery, plant and laboratory equipment, whether or not electrically heated, for ...",382,56,23,97,80,1104,873,1271,956,1651,,12368,15491,22415,16712,16494,21243,24413,21833,23775,20515,,397662,423182,423977,366440,350444,386457,410953,384725,385378,434908
890392,"Motor boats and motor yachts, for pleasure or sports (other than outboard motor boats)",5271,3086,0,70,0,0,0,971,478,1628,,69055,74132,101443,95679,102138,170191,133635,233826,176720,175156,,297905,615867,124838,452947,284012,155304,170672,155254,1127940,183013
870840,"Gear boxes and parts thereof, for tractors, motor vehicles for the transport of ten or more ...",3474,7091,2019,1214,1991,1909,1632,1537,1758,1595,,139379,126696,96262,44444,40066,35928,32352,23564,21966,27364,,3788189,4076785,3987738,4136149,5082605,7112525,7609645,6397699,5156416,5495815
220210,"Waters, incl. mineral and aerated, with added sugar, sweetener or flavour, for direct consumption ...",21,13,9,96,72,9,18,14,473,1561,,48699,33879,26958,35630,48113,39213,37273,42149,53601,83003,,488369,569905,562824,567399,564167,636262,741953,792306,759943,1121529
853649,Relays for a voltage > 60 V but <= 1.000 V,1086,1139,1562,2134,2107,1320,1152,646,845,1554,,5999,6844,8679,8201,7751,7278,11493,12889,18743,18341,,482733,502433,510802,470667,427435,407303,463034,396262,403166,480095
851610,Electric instantaneous or storage water heaters and immersion heaters,508,144,200,950,878,1245,1457,1295,1345,1552,,10504,18767,21074,19675,18355,20578,14671,3993,3733,6850,,194776,192518,196883,189221,191633,239505,231642,247672,256059,318175
843880,"Machinery for the industrial preparation or manufacture of food or drink, n.e.s.",326,122,653,128,0,0,515,664,1100,1544,,27257,35327,33154,23649,23811,25448,37887,23247,19088,21401,,68080,59906,54664,63080,67684,67319,84144,83980,76251,74952
870899,"Parts and accessories, for tractors, motor vehicles for the transport of ten or more persons, ...",3565,2001,1348,1153,1265,776,580,1244,791,1495,,317140,277918,292655,272426,262815,300882,274587,275049,262931,347506,,5939205,6304312,6504891,5738592,5775070,6303454,6759344,6405570,5337084,5841743
690919,"Ceramic wares for chemical or other technical uses (excluding of porcelain or china, articles ...",1731,1252,1580,1584,1560,1727,1928,1578,999,1473,,5697,6113,10673,8326,6986,5758,5180,4974,4270,4203,,468056,655824,680977,695061,666702,672050,761587,690124,516322,707696
848180,"Appliances for pipes, boiler shells, tanks, vats or the like (excluding pressure-reducing ...""",1689,1209,1581,799,411,308,565,986,1252,1469,,117382,136808,127267,130416,105893,100764,123663,117945,104405,130243,,2696167,2844598,2950591,2652187,2747627,3081619,3387189,3366262,3220989,3804947
850760,Lithium-ion accumulators (excluding spent),65,14,785,1792,1927,598,907,777,1447,1461,,1636,2327,4063,3720,14046,19675,35790,29826,29992,38516,,565425,676968,1031521,1313127,1614343,2247410,2857808,3707772,6406589,10321283
281830,Aluminium hydroxide,2370,2632,2563,2202,2235,2091,1721,1909,1420,1448,,173225,150814,169372,142670,139828,155505,247373,164761,116546,106210,,73755,62345,69824,71830,61323,77531,87259,77606,65360,83910
843149,"Parts of machinery of heading 8426, 8429 and 8430, n.e.s.",2405,2505,5103,960,2005,2062,2845,1779,2063,1444,,421652,346215,248220,199992,174760,177433,192254,238045,210034,210759,,2032778,1851795,1903619,1603981,1591180,1830254,2248405,2228644,1825478,2379548
901849,"Instruments and appliances used in dental sciences, n.e.s.",431,503,740,552,787,1050,1193,1147,1215,1444,,18216,15140,23701,24928,21728,15790,15701,23988,15100,24233,,405899,446268,454820,450009,477978,551516,536022,463651,456417,665427
903149,"Optical instruments, appliances and machines for measuring or checking, not elsewhere specified ...",490,269,249,268,651,809,875,1253,1409,1415,,5034,3747,4665,9199,8927,8428,6487,5041,6587,5507,,409191,402276,449370,456935,536303,596463,733332,724796,674513,906177
750300,"Waste and scrap, of nickel (excluding ingots or other similar unwrought shapes, of remelted ...",31,122,79,0,0,56,80,0,254,1389,,1777,247,354,1207,2196,4323,13041,10005,9497,0,,132171,93220,107845,64218,57549,67057,95584,92943,77023,110814
850440,Static converters,2022,1043,1324,1410,2054,2886,1890,1432,1824,1323,,51035,52395,55166,55873,61085,76680,94447,90208,97039,130716,,3281335,3130175,3179091,2905834,3097075,3578715,4021724,4265351,5110295,6500425
701720,"Laboratory, hygienic or pharmaceutical glassware, whether or not graduated or calibrated, having ...",17,148,578,506,524,663,245,165,298,1317,,294,224,149,259,167,66,113,163,121,137,,22525,26678,33068,29806,29311,34412,36325,37646,36902,41603
860900,"Containers, incl. containers for the transport of fluids, specially designed and equipped for ...",21,21,0,28,43,49,25,326,702,1250,,17295,31630,31539,39761,13726,17927,18375,20036,0,24403,,230317,254893,200724,225573,214430,238084,271760,309289,308740,395186
