Product code,Product label,India's imports from China-Value in 2012,India's imports from China-Value in 2013,India's imports from China-Value in 2014,India's imports from China-Value in 2015,India's imports from China-Value in 2016,India's imports from China-Value in 2017,India's imports from China-Value in 2018,India's imports from China-Value in 2019,India's imports from China-Value in 2020,India's imports from China-Value in 2021,China's exports to world- ,China's exports to world-Value in 2012,China's exports to world-Value in 2013,China's exports to world-Value in 2014,China's exports to world-Value in 2015,China's exports to world-Value in 2016,China's exports to world-Value in 2017,China's exports to world-Value in 2018,China's exports to world-Value in 2019,China's exports to world-Value in 2020,China's exports to world-Value in 2021,India's imports from world- ,India's imports from world-Value in 2012,India's imports from world-Value in 2013,India's imports from world-Value in 2014,India's imports from world-Value in 2015,India's imports from world-Value in 2016,India's imports from world-Value in 2017,India's imports from world-Value in 2018,India's imports from world-Value in 2019,India's imports from world-Value in 2020,India's imports from world-Value in 2021
294190,"Antibiotics (excluding penicillins and their derivatives with a penicillanic acid structure, ...",299515,356939,389092,393836,352670,377231,401931,493271,635041,765437,,1386963,1429322,1559802,1558198,1569518,1680902,1805271,1946652,2107208,2153434,,432724,475980,493789,488941,446504,481297,562474,646877,801617,931107
847330,Parts and accessories of automatic data-processing machines or for other machines of heading ...,764754,766372,719980,596448,561145,616733,500251,444324,384997,683504,,29622426,28598928,30449755,28106566,25041571,32012335,44310088,31443509,30617702,31884221,,1598935,1529299,1429219,1258877,1120508,1234590,1335224,1338337,1245069,1850164
852580,"Television cameras, digital cameras and video camera recorders",315077,259520,245961,309587,274486,493175,636937,764789,650421,597286,,12737641,15798153,11685040,11763605,9478875,9068147,10663587,9746299,10823861,11960916,,584542,514576,533376,708808,620721,903858,1562320,2083423,1840909,1764570
293499,"Nucleic acids and their salts, whether or not chemically defined; heterocyclic compounds (excl. ...""",89584,120204,217622,227740,229647,325618,346577,286373,371628,526922,,1224094,1331491,1547415,1715232,1683796,1953928,2225217,2269322,2675741,3105027,,213658,257789,332891,319436,297596,397882,419767,397303,549653,908693
320611,Pigments and preparations based on titanium dioxide of a kind used for colouring any material ...,82240,72871,109396,107478,139962,201342,241958,291086,294996,513176,,1134360,946325,1138353,970869,1199617,1985464,2289994,2209468,2350738,3238509,,392134,319821,312261,274412,397002,581640,677031,677265,610375,1014255
380899,Rodenticides and other plant protection products put up for retail sale or as preparations ...,135740,157503,215774,144203,249145,414921,477680,430469,465440,506503,,9457,12563,15810,18027,18274,21976,23742,26934,27566,24080,,251262,270385,350181,254113,336863,522012,604098,588557,600595,639314
847989,"Machines and mechanical appliances, n.e.s.",179055,159826,137606,186024,167556,183898,258105,332360,396809,473086,,1337829,1455000,2018115,2087395,2593726,2852789,3558331,4244747,4846439,5219037,,884745,912343,750696,734773,748000,761348,1245827,1251942,1025424,1227482
901920,"Ozone therapy, oxygen therapy, aerosol therapy, artificial respiration or other therapeutic ...",9930,9696,12727,14152,19656,21790,21907,27369,93368,468001,,430287,478195,493344,537997,482587,589922,702393,763696,2893281,1471589,,57954,64949,76709,77706,90962,110522,135305,139739,276928,1128270
854239,"Electronic integrated circuits (excluding such as processors, controllers, memories and amplifiers)",119965,91041,153365,162706,193134,203514,195433,333000,345364,440015,,7507618,17754192,14007051,14391300,9410901,7967090,9251060,11271565,17743826,20711290,,542800,563454,590617,641226,775259,1028867,1381781,2412800,2237431,2431775
870899,"Parts and accessories, for tractors, motor vehicles for the transport of ten or more persons, ...",270582,179525,214726,239719,249953,319702,302441,287568,296642,433847,,3840141,4083632,4380924,3982888,3935376,4431499,5067627,5147457,5041408,6608520,,1868656,1655176,1687271,1646440,1472511,1696990,1789839,1486268,1208277,1883050
390410,"Poly""""vinyl chloride"""", in primary forms, not mixed with any other substances""""",11101,6606,49762,71818,116662,106440,136170,79655,36118,427074,,379572,634201,1028757,627622,792085,800632,543896,466237,589002,2068141,,81088,113589,174935,366757,472892,1083314,1865055,1932763,1417096,2479611
294110,Penicillins and their derivatives with a penicillanic acid structure; salts thereof,221954,278117,344014,331309,328803,369303,571811,450168,345687,421550,,650898,724830,874209,830713,682151,697040,885088,811382,750323,778754,,267872,294659,358586,342509,354526,420180,636010,509561,407144,485890
291736,Terephthalic acid and its salts,25128,58596,162461,198952,110497,24269,67936,31970,11616,415464,,11546,130175,422428,425724,419014,336985,715562,517917,395795,1496520,,696343,1035845,978076,619319,254961,284210,555711,655741,208264,1013340
847150,"Processing units for automatic data-processing machines, whether or not containing in the same ...",245965,280353,278906,329766,299821,436068,446887,418244,350261,413748,,11471275,13800872,17583016,14265263,12934178,16041503,20360989,16774375,15417314,18058442,,688344,780456,922266,1345915,1178434,1404615,1806513,1822917,1681072,2119773
291521,Acetic acid,59852,8714,60437,106004,37580,126161,208205,144810,53132,411666,,148611,80411,87736,152272,67482,186239,433277,264593,133230,734169,,311982,331761,383900,340012,258502,371628,655657,400545,332501,920941
871410,"Parts and accessories of motorcycles, incl. mopeds, n.e.s.",0,157155,343471,300430,274224,275803,402669,360093,287959,391588,,2134877,2808650,3330148,2843291,2893061,2905077,2940015,3145809,3946023,4832608,,0,202721,401445,362386,329863,343717,476051,435785,348416,493143
853400,Printed circuits,228257,189095,118925,140596,176992,218962,308614,294758,253946,387376,,13739259,13347306,13837881,14134098,12910074,13972709,15270708,14653143,15105857,18916641,,363384,281885,227326,254830,352607,425485,628116,650890,623039,885774
843149,"Parts of machinery of heading 8426, 8429 and 8430, n.e.s.",126799,111601,113472,119157,164016,199849,285914,258659,188587,379039,,3165429,3167006,3768226,3194536,3027450,3817871,4765701,4716730,4117092,5948796,,593012,436011,443098,492975,577446,625400,806418,676858,488304,835566
392690,"Articles of plastics and articles of other materials of heading 3901 to 3914, n.e.s (excluding ...",178525,167511,189845,234275,326604,285121,246345,267183,263460,378875,,7741569,9386622,10733540,10296608,10631943,10852859,12028108,13978499,17537513,20793443,,597151,606904,677041,725967,806235,799922,811688,815578,820315,1106804
270119,"Coal, whether or not pulverised, non-agglomerated (excluding anthracite and bituminous coal)",9301,24,8062,7953,16210,47937,1,37877,2758,377745,,8662,23492,0,980,1805,0,220,7587,5040,0,,14973691,14571854,15284439,12241267,11733658,19066279,22657011,20118683,14341760,24055549
291612,Esters of acrylic acid,22951,25617,21681,21079,35377,52094,102592,106985,83098,372420,,233567,227687,199823,164196,150782,270493,351020,322838,237059,1142438,,263326,289340,303208,241350,211273,310867,379076,363744,299318,780596
294200,"Separate chemically defined organic compounds, n.e.s.",666512,709878,525286,616171,399797,279606,289670,376024,364292,365079,,110386,85475,85838,65210,54263,62213,93452,69149,19818,21709,,1107565,1064120,866843,909951,587631,392481,409729,524443,498098,500769
854232,Electronic integrated circuits as memories,10089,28047,46853,52362,31328,42600,274438,254589,151123,334221,,14374599,17692084,17566232,21566607,23241587,29621004,43966741,52446486,55864236,68017077,,149798,119806,134256,105137,70513,95138,1550799,1461616,865070,2180015
850300,"Parts suitable for use solely or principally with electric motors and generators, electric ...",196259,200192,192643,219320,337081,251218,233025,345509,219642,325556,,3732730,3724825,4215491,3987130,3825568,4277076,4793922,5358167,4996528,7174722,,553160,433973,409239,464141,648385,478337,446411,589895,418893,543457
841480,"Air pumps, air or other gas compressors and ventilating or recycling hoods incorporating a ...",130832,178159,225575,266612,258315,256910,261531,273367,217578,319122,,1806191,2003402,2396602,2219635,2260832,2279699,2597969,2523684,2945617,3796323,,470570,442793,574772,559792,517480,554250,627088,621650,499016,672313
392099,"Plates, sheets, film, foil and strip, of non-cellular plastics, n.e.s., not reinforced, laminated, ...",26349,28145,27550,30468,32894,49234,278108,244733,184875,315131,,499102,510166,565266,557217,540621,638441,722756,832202,766896,812806,,88855,96405,103349,119175,142238,156743,436175,424663,356985,645457
852852,Monitors capable of directly connecting to and designed for use with an automatic data processing ...,0,0,0,0,0,230195,268985,236588,195548,297892,,0,0,0,0,0,6602508,8972933,9095985,10075026,13088408,,0,0,0,0,0,254707,357590,360163,296910,451604
848210,Ball bearings,130907,137766,183974,167354,177264,195836,278728,219553,186352,292224,,2034960,2259762,2416531,2342278,2393412,2557194,2842117,2650082,2506742,3213913,,323007,315467,373636,343538,348071,373302,497812,434874,342969,532604
292229,"Amino-naphthols and other amino-phenols, their ethers and esters; salts thereof (excluding ...",124174,133817,147411,106590,96687,123573,195151,214863,209354,253779,,189753,209759,241889,230558,219745,248657,343131,354733,331060,363025,,135606,137480,150457,110712,99534,126944,201011,222152,214966,292306
999999,Commodities not elsewhere specified,4463255,2459723,1664154,1035019,843749,658578,573800,449724,360398,252700,,1415651,1728194,2266660,2030505,5890469,6204774,5475592,11758017,24996302,34677941,,12031294,11504703,10599267,10858832,10612878,4059866,2398328,1992015,1881351,1387613
841430,Compressors for refrigerating equipment,91073,86252,91153,74876,106107,160965,180070,217459,192660,246944,,2687636,3075983,3261575,3122087,3212495,3378701,3622839,3916572,3933148,4896594,,148573,133347,128329,116912,174089,217055,241994,295257,244185,295224
844630,"Weaving machines for weaving fabrics of a width > 30 cm, shuttleless type",87853,77365,165190,174481,118955,165200,174697,175932,104420,237784,,146067,165695,288911,319075,178424,237621,260881,281634,213876,332094,,297152,368451,353613,433065,468588,449013,484623,413532,244652,396751
600632,"Dyed fabrics, knitted or crocheted, of synthetic fibres, of a width of > 30 cm (excluding ...""",72533,73195,85286,116325,152156,193617,128408,175378,148684,236382,,2132265,2627949,2988621,3242442,3368970,4121852,4388844,4350558,3349565,4372604,,87929,90119,96110,127435,166284,215550,151279,202250,171332,274434
853229,"Fixed electrical capacitors (excluding tantalum, aluminium electrolytic, ceramic, paper, plastic ...",74484,74144,62949,77176,87465,106862,173076,181940,176069,231141,,140626,145462,132956,121184,92320,69954,92748,94494,87691,76706,,190489,180596,168442,186715,195303,218894,381386,417234,371890,471604
848180,"Appliances for pipes, boiler shells, tanks, vats or the like (excluding pressure-reducing ...""",129994,109674,109825,106224,127163,154172,184963,199906,171208,230090,,8888454,9592473,10517991,10056454,9323523,9952676,11316574,11118347,11321173,13077664,,816935,693055,711071,806606,1772601,722631,888758,961255,838926,1088112
390690,"Acrylic polymers, in primary forms (excluding poly""""methyl methacrylate"""")""""",25705,27236,39507,85387,124947,156615,196418,196557,146122,227629,,552151,731691,764167,740038,712254,861715,1059829,1104978,1109061,1332948,,205341,221929,277161,347384,402068,445603,549815,518733,421953,618220
901890,"Instruments and appliances used in medical, surgical or veterinary sciences, n.e.s.",50720,54434,58414,61674,59364,80451,94767,97369,145597,225226,,1183259,1333426,1435886,1515831,1602703,1657805,1874187,2201100,2878857,2894121,,510427,546320,565962,529590,563216,613606,710069,762177,676409,948806
851830,"Headphones and earphones, whether or not combined with microphone, and sets consisting of a ...",130370,119524,89260,92827,130235,161392,134958,163147,168302,213196,,4209990,4147605,4196547,4129407,3607870,3311654,3405972,3448161,4291381,4349833,,225777,183232,124626,130085,180340,231243,276878,317539,306113,343784
271312,"Petroleum coke, calcined",45915,54165,72869,59123,83907,64679,144501,121982,76172,211099,,441563,439359,413835,473209,420800,469590,827257,620998,397940,653688,,82520,145417,277046,112273,184351,283158,514293,584365,156708,347710
540331,"Yarn of viscose rayon filament, incl. monofilament of < 67 decitex, single, untwisted or with ...",44229,91440,82098,41676,37166,47747,81614,120458,111361,210817,,339225,358800,370040,283074,288380,320978,371333,384031,293499,432741,,51527,107838,90002,46437,37434,49177,83333,124308,114706,215000
380891,"Insecticides, put up in forms or packings for retail sale or as preparations or articles (excl. ...",76525,99065,135459,172871,98747,190571,165693,173537,160929,206088,,771978,907903,1065063,899762,952054,1167260,1391730,1380999,1524513,1532421,,306639,313510,336829,355043,297466,378914,349652,389224,424435,500107
841490,"Parts of: air or vacuum pumps, air or other gas compressors, fans and ventilating or recycling ...",117265,95464,84211,75642,74649,92190,116199,121052,108045,204583,,1178010,1314824,1382620,1491798,1594207,1948334,2490391,2637182,2624303,3235655,,544195,438451,405882,447648,347838,370620,415644,416230,365250,527903
293359,"Heterocyclic compounds with nitrogen hetero-atom[s] only, containing a pyrimidine ring, whether ...""",94429,109858,126708,147553,136425,183706,239723,240614,208198,203361,,543519,631661,662524,888867,927284,911187,1096229,1169958,1302842,1351545,,172018,172588,180793,214833,187562,261432,338912,332097,290382,281747
293090,"Organo-sulphur compounds (excl. thiocarbamates and dithiocarbamates, thiuram mono-, di- or ...",68912,83160,101258,76090,73682,79256,115342,112137,133175,202667,,1158376,1245584,1377160,1308385,1215962,1417305,1702691,1761696,1820207,2045518,,125416,134265,152205,125848,129345,142666,187946,176661,193287,260504
841590,"Parts of air conditioning machines, comprising a motor-driven fan and elements for changing ...",119559,137641,143274,136553,125977,147108,158835,192699,141929,199070,,2899566,2967844,3180240,3112882,3219509,4291359,5096367,5481871,5073228,6670989,,299743,334456,344667,316726,278493,307447,382784,394901,275691,380792
853690,"Electrical apparatus for switching electrical circuits, or for making connections to or in ...",73183,76759,90452,96180,91461,116337,160859,151419,142451,198278,,5449329,5378489,6075938,5821058,6061795,6548445,7208625,7508649,7795124,9267005,,351880,330137,351340,369388,395489,466988,631099,606997,559724,807158
846490,"Machine tools for working stones, concrete, asbestos cement or similar mineral substances or ...",19031,19430,41483,79722,125591,158488,148001,47379,55680,197677,,202371,303623,229711,186909,171315,162424,192809,216995,184769,201657,,53067,53383,84511,112558,171497,204613,204475,110725,72452,225020
292690,"Nitrile-function compounds (excluding acrylonitrile, 1-cyanoguanidine """"dicyandiamide"""", fenproporex ...""",67593,50302,61937,69324,63283,67046,121279,195238,186153,190701,,495973,513328,585082,544923,546241,595514,804214,992701,917709,910345,,118183,100906,105696,108185,96212,103030,179167,248325,240946,262043
940540,"Electric lamps and lighting fittings, n.e.s.",58060,77052,105354,167561,154715,282513,324498,282056,151286,189442,,5971647,9088013,14459201,16910153,16975612,14130457,13688052,14851047,17393122,20490076,,95680,118530,146752,209569,191463,320706,390884,341961,183635,225973
853890,"Parts suitable for use solely or principally with the apparatus of heading 8535, 8536 or 8537, ...",99583,93694,92411,118380,105976,125029,117364,116956,117154,183806,,2958522,3009119,3147855,3037504,3102294,3398292,3732805,3760551,3554395,4354729,,563658,527561,535942,539884,525590,580041,624511,595925,515484,715560
848340,"Gears and gearing for machinery (excluding toothed wheels, chain sprockets and other transmission ...",60229,95538,111407,121070,141777,91523,104246,120925,103585,183010,,1647940,1723575,2035129,2215811,2131456,2236311,2570416,2616780,2650813,3113305,,283843,296942,309257,301641,348193,289931,351326,354755,281125,438783
293190,Separate chemically defined organo-inorganic compounds (excluding organo-sulphur compounds ...,0,49279,87467,90386,73101,104508,181493,142275,132210,180102,,1873301,2685088,2475640,1928528,1872914,598747,906869,717443,600327,1047765,,0,78591,134869,155776,123176,169811,256588,224088,201891,267462
850490,"Parts of electrical transformers and inductors, n.e.s.",98279,114484,98192,75322,99415,112532,152108,211811,125656,179990,,2050517,3584050,2118398,2050188,1884200,2153800,2286090,2757486,2741317,3378144,,311326,359265,320498,302681,357858,423373,605372,599450,370243,467127
851829,"Loudspeakers, without enclosure",129554,133353,95790,96210,104896,108847,120618,120295,113594,178121,,1902487,1937517,2061258,2064807,1930350,1812572,2015616,1995813,2438748,2705308,,206374,193615,151142,179823,187640,206911,267223,307928,268535,361973
851769,"Apparatus for the transmission or reception of voice, images or other data, incl. apparatus ...",290068,357810,399102,542635,677274,677143,301186,231949,137959,170455,,297654,415805,712243,733442,719938,1384031,1422574,1129609,1069544,1127669,,966227,773666,885435,1057056,1262358,1368533,1044114,961005,489694,382505
853710,"Boards, cabinets and similar combinations of apparatus for electric control or the distribution ...",42217,32818,54087,40605,36023,53208,75963,85761,82105,169389,,3853060,4537319,5152446,5692145,5829079,6422524,7901988,8317032,7717204,8719845,,312121,333421,340641,299015,348682,420665,567431,590591,487415,715652
850790,"Plates, separators and other parts of electric accumulators, n.e.s.",40264,44171,57543,54033,69673,92386,153083,166708,154437,168077,,152582,109599,163970,200498,222036,331914,377215,439221,620193,870271,,107427,96730,116181,99110,127708,189743,254358,262033,232558,250504
293339,"Heterocyclic compounds with nitrogen hetero-atom[s] only, containing an unfused pyridine ring, ...",103111,134314,127125,134181,187291,214379,234493,200861,179257,167672,,1315639,1297592,1459218,1279302,1211444,1802350,2175817,1995523,2147090,2234386,,156591,183333,183203,193242,230542,273430,298180,267489,254101,252172
760719,"Aluminium foil, not backed, rolled and further worked, of a thickness of <= 2 mm (excluding ...",77824,95552,91789,109044,94983,87548,109567,141421,108090,167460,,880590,930566,989964,947230,934015,986110,1165332,1130948,1117618,1339228,,102627,118816,118874,135921,121981,124862,165895,203981,171089,297619
847160,"Input or output units for automatic data-processing machines, whether or not containing storage ...",110614,122278,102155,96829,107711,135316,98760,79520,88520,165991,,5962127,6100823,6817682,5860399,5483369,4937296,4872540,5062649,7400129,7723280,,267726,171433,158464,154994,154222,207738,221760,214334,210339,318399
390810,"Polyamides-6, -11, -12, -6,6, -6,9, -6,10 or -6,12, in primary forms",23630,16455,17364,19148,20844,30920,42708,35006,37766,165734,,422602,352104,396697,411917,364738,540998,689756,660118,584877,1163290,,146043,182400,206092,168050,187329,286376,388795,297241,288911,588852
390210,"Polypropylene, in primary forms",17901,2552,3060,11704,10264,10425,8173,6886,6675,165031,,230715,255652,234395,248012,302943,390571,463374,473218,522044,1694794,,538774,578755,693897,647332,575399,701202,801428,785900,567698,1127056
391990,"Self-adhesive plates, sheets, film, foil, tape, strip and other flat shapes, of plastics, whether ...",53379,54148,57212,57768,65882,96712,121903,133785,110186,163773,,1496558,1615145,1954988,1872870,1833510,1852560,2167677,2281210,2597032,3430031,,198573,189192,217392,230991,242830,310590,395754,429187,324462,433116
722090,"Flat-rolled products of stainless steel, of a width of < 600 mm, hot-rolled or cold-rolled ...""",16153,36081,69016,82850,148847,77070,51487,52282,57360,162972,,23035,31156,25999,21455,23722,22534,39690,38740,39660,53523,,45476,60655,86779,103278,165974,97323,106150,132615,116638,225602
392190,"Plates, sheets, film, foil and strip, of plastics, reinforced, laminated, supported or similarly ...",37778,33730,40142,42844,58863,74337,81123,104254,101024,160611,,678407,783991,843247,874443,838671,859157,963558,1129575,1118110,1266148,,128917,121297,145738,142047,149196,170079,193985,205632,202289,296952
680422,"Millstones, grindstones, grinding wheels and the like, without frameworks, for sharpening, ...",42881,40101,45149,48932,54571,84340,109666,115094,109645,159393,,302723,355805,494016,524588,521494,585147,647365,672511,750624,877429,,94259,86286,95246,89078,99764,133754,173995,170700,153369,233321
760711,"Aluminium foil, not backed, rolled but not further worked, of a thickness of <= 0,2 mm (excluding ...",69568,89343,126378,140432,163916,152094,175623,187170,137303,155283,,1278646,1484459,1690983,1760321,1770379,2047188,2487152,2262449,2110622,2624206,,101236,111723,152082,163366,186891,212473,289803,287795,212168,245185
844331,"Machines which perform two or more of the functions of printing, copying or facsimile transmission, ...",145511,180305,189640,206273,186341,160302,173181,171728,103714,154428,,11707283,11558640,10616607,9066266,7801391,7127845,6952744,6095318,4550585,4026137,,225008,265214,286528,337113,314286,322597,382363,377536,239080,355326
848079,Moulds for rubber or plastics (other than injection or compression types),72598,80592,88135,116236,114512,118193,139964,138238,121107,153581,,435777,437686,417510,470265,445763,436428,470439,470437,465607,405730,,173795,207916,196308,208129,214741,216179,246101,264349,219078,232545
293369,"Heterocyclic compounds with nitrogen hetero-atom[s] only, containing an unfused triazine ring, ...",34413,48157,53433,57417,53671,59893,141597,213026,143156,152110,,826675,857761,811291,735308,815217,915247,1213459,1196386,1023571,1353298,,43453,59854,65590,71586,70841,77464,162220,232318,157309,168338
540247,"Filament yarn of polyester, incl. monofilament of < 67 decitex, single, untwisted or with a ...",170,126,1856,1064,1525,1498,644,1060,887,147525,,407334,439755,477171,392651,403391,432253,532158,562199,423597,618052,,1897,2384,28015,23141,42211,40794,44873,49187,27703,221105
732690,"Articles of iron or steel, n.e.s. (excluding cast articles or articles of iron or steel wire)",66830,90453,99642,98130,110865,132314,199258,171017,108475,146667,,4997600,5504037,5814012,5927523,5342813,5769067,6748713,6928980,7817290,10545923,,405083,436792,492907,551389,523383,549503,719176,787054,568643,699529
903180,"Instruments, appliances and machines for measuring or checking, not elsewhere specified in ...",42465,26240,38651,53455,60400,68179,95303,122219,167377,146648,,1404343,1420106,1915126,2053754,2262028,2692665,2660187,2794535,3059260,3842094,,538722,493167,518370,520021,549866,598351,791610,881376,788337,816128
590210,"Tyre cord fabric of high-tenacity yarn of nylon or other polyamides, whether or not dipped ...",112419,96957,101043,65063,59721,79168,94562,72821,58652,144960,,415772,404462,400282,326744,312098,381224,439582,380827,303528,587229,,273757,232681,237733,181768,155309,185659,227308,184492,119326,250245
293299,"Heterocyclic compounds with oxygen hetero-atom[s] only (excl. compounds containing unfused ...""",89030,72199,56766,61295,61540,74465,114029,126067,148250,144261,,1362744,1085343,967694,894146,881637,895141,1117013,1028894,999513,1100197,,135047,100335,86297,91602,91346,114254,160825,174624,197453,203574
382499,"Chemical products and preparations of the chemical or allied industries, incl. those consisting ...",0,0,0,0,0,63100,101697,88969,75415,143675,,0,0,0,0,0,2905595,3538922,3451548,3654255,4966804,,0,0,0,0,0,473909,674567,580899,612358,886058
848071,Injection or compression-type moulds for rubber or plastics,38390,37777,49838,60902,59835,88720,75271,110602,104989,142588,,2191531,2629624,2975767,3101057,2929785,3233311,3498019,3784080,3719924,4054003,,154795,151597,200934,281406,194681,242176,238183,365509,288802,351008
840734,"Spark-ignition reciprocating piston engine, of a kind used for vehicles of chapter 87, of a ...",14029,36885,14850,702,45151,107693,92933,52194,34211,142566,,627386,625704,588862,954451,1000730,1218220,1567169,1295589,966468,1153086,,111955,145116,229564,282060,308224,387344,458339,476908,273663,359264
292429,"Cyclic amides, incl. cyclic carbamates, and their derivatives; salts thereof (excluding ureines ...""",48364,66540,91474,88267,62913,78315,112284,122738,102297,142298,,1022830,974441,1045618,1090996,1069368,1204530,1327785,1333573,1390329,1621566,,72419,85570,113463,112458,82315,98457,134280,149814,138460,181286
540246,"Filament yarn of polyester, incl. monofilament of < 67 decitex, single, untwisted or with a ...",0,0,10087,12272,8680,9511,7465,34836,54462,140960,,186083,270102,288251,289875,336179,398274,482789,611504,447616,489922,,203,209,11011,13291,10662,11990,8831,36954,56089,147572
847780,"Machinery for working rubber or plastics or for the manufacture of products from these materials, ...",76306,90841,60003,57543,110835,112524,91620,184623,93742,137416,,805222,856313,956471,1018716,874156,989256,1069087,1358951,1241490,1457950,,319922,269993,208166,238480,399724,393094,360176,605188,304235,544939
381800,"Chemical elements and compounds doped for use in electronics, in the form of discs, wafers, ...",20766,34238,35778,39735,64025,151418,124311,131862,86613,136940,,1806044,2100562,2671167,2616412,3216610,3772956,3214479,2605054,2711790,3540136,,51811,54048,75701,86863,128222,203381,142720,141979,90079,140251
851840,Audio-frequency electric amplifiers,9855,9287,10771,10254,7855,13655,14011,59144,66660,135255,,1659514,1640927,1697821,1598473,1476303,1411496,1452738,1162084,1065621,1219069,,18976,18890,20215,20556,16925,25282,32656,80254,85891,151889
