Product code,Product label,Japan's imports from United States of America-Value in 2012,Japan's imports from United States of America-Value in 2013,Japan's imports from United States of America-Value in 2014,Japan's imports from United States of America-Value in 2015,Japan's imports from United States of America-Value in 2016,Japan's imports from United States of America-Value in 2017,Japan's imports from United States of America-Value in 2018,Japan's imports from United States of America-Value in 2019,Japan's imports from United States of America-Value in 2020,Japan's imports from United States of America-Value in 2021,United States of America's exports to world- ,United States of America's exports to world-Value in 2012,United States of America's exports to world-Value in 2013,United States of America's exports to world-Value in 2014,United States of America's exports to world-Value in 2015,United States of America's exports to world-Value in 2016,United States of America's exports to world-Value in 2017,United States of America's exports to world-Value in 2018,United States of America's exports to world-Value in 2019,United States of America's exports to world-Value in 2020,United States of America's exports to world-Value in 2021,Japan's imports from world- ,Japan's imports from world-Value in 2012,Japan's imports from world-Value in 2013,Japan's imports from world-Value in 2014,Japan's imports from world-Value in 2015,Japan's imports from world-Value in 2016,Japan's imports from world-Value in 2017,Japan's imports from world-Value in 2018,Japan's imports from world-Value in 2019,Japan's imports from world-Value in 2020,Japan's imports from world-Value in 2021
740400,"Waste and scrap, of copper (excluding ingots or other similar unwrought shapes, of remelted ...",105304,62726,76933,66187,60084,86960,187028,191025,118728,175790,,4471697,4129993,3516027,2789215,2232812,2761231,3166813,2825123,2675659,4497184,,1031446,840972,1000352,889361,997484,1150657,1332221,1195647,955509,1575810
902230,X-ray tubes,160869,160271,155570,151966,149647,144887,137824,139703,139253,172294,,542179,568276,600965,597336,613678,649722,563079,569003,542433,635848,,236588,231536,247122,222162,237677,240129,223418,215150,210945,248224
901850,"Ophthalmic instruments and appliances, n.e.s.",188024,194804,195610,163210,170910,168153,165691,188596,150112,171457,,1164741,1182861,1311384,1281737,1044185,1056940,1099272,1112554,935900,1070493,,299887,283203,275286,240163,252497,265866,270760,311007,242924,282687
902290,"X-ray generators other than X-ray tubes, high tension generators, control panels and desks, ...",243249,201424,240289,206761,247280,194763,142803,136888,134152,167906,,1393734,1303089,1367566,1304489,1282172,1212870,1244984,1086371,1026089,1011673,,571446,487112,554148,544487,604298,556677,532681,535913,530103,648444
270119,"Coal, whether or not pulverised, non-agglomerated (excluding anthracite and bituminous coal)",37686,78136,65050,73674,30882,25398,47692,84049,81235,167462,,473900,591883,255153,207617,113504,264042,260497,232268,148112,240497,,1146215,957837,938400,780553,615107,795158,791125,749972,546474,814617
903180,"Instruments, appliances and machines for measuring or checking, not elsewhere specified in ...",265035,292229,308121,221839,242750,247294,219332,280683,181677,167354,,2358036,2439459,2593782,2604257,2520677,2735924,2881269,2615611,2351015,2344530,,792664,762677,818550,742483,758276,823257,825607,893242,743909,858722
902190,"Articles and appliances, which are worn or carried, or implanted in the body, to compensate ...",168804,179967,184870,177028,199198,175325,167946,152887,159510,167191,,1782484,1721120,1750853,2005847,1845017,1797565,2061982,2507461,1999064,2377755,,476582,488291,602078,566831,758981,714125,680924,666650,723879,635358
290110,Saturated acyclic hydrocarbons,3994,4223,2789,5163,24350,13354,77058,128555,97945,167190,,481513,535411,516788,428893,646493,1089676,1854469,2344855,1519669,3083009,,17694,20940,23840,20537,42035,29207,95797,150560,115753,190136
30389,"Frozen fish, n.e.s.",229448,178163,189921,189954,196175,239254,206876,157856,159440,166030,,480267,344001,366815,347298,360422,395772,424155,358721,339159,329956,,634198,527073,500393,448725,453359,421556,367917,294165,288159,283619
230400,"Oilcake and other solid residues, whether or not ground or in the form of pellets, resulting ...",165392,147669,165094,120604,93237,114120,149246,162118,132654,164923,,3474443,3998620,4216160,3886394,3297160,3117169,3987565,3387509,3635156,4536968,,1091108,1043997,1057226,841650,755346,659765,762272,695546,799357,939653
900190,"Lenses, prisms, mirrors and other optical elements, of any material, unmounted (excluding such ...",219431,210019,276577,205060,121566,118876,117410,118869,144603,162971,,904418,762142,844007,888260,825052,1095113,1349373,1331380,1278454,1532290,,881516,668423,743384,674554,664243,767893,743993,716172,789956,889573
903190,"Parts and accessories for instruments, appliances and machines for measuring and checking, ...",230128,219200,244209,247500,187218,182133,193912,174809,162805,160166,,892777,881729,975481,925466,891580,1021019,1096363,1048618,960063,1031227,,704430,661524,782978,737673,710264,792378,941691,842538,737547,842057
840991,Parts suitable for use solely or principally with spark-ignition internal combustion piston ...,153517,167680,185854,183757,171363,243837,182380,167126,108708,157242,,3479758,3292006,3645244,3643844,3773486,3878721,3840860,3795027,2953450,2756713,,893596,932536,1009600,989017,978211,1058237,1087901,1061550,770296,994023
842199,"Parts of machinery and apparatus for filtering or purifying liquids or gases, n.e.s.",131252,118065,130274,127526,132950,147323,135590,148594,143641,156887,,1864458,2010519,2056817,2024956,1913451,1933251,2144692,2094839,1966354,2447217,,442036,406135,432257,397538,411454,446265,535238,558302,565305,632288
230330,Brewing or distilling dregs and waste,159493,178283,198184,107858,98082,108015,143613,127420,114048,146507,,2104471,2948779,2963711,2982964,2158611,1851377,2456004,2227849,2328819,2997932,,166152,184875,206516,113485,102226,112171,147985,129242,116595,148617
840910,"Parts suitable for use solely or principally with internal combustion piston engine for aircraft, ...",10763,7588,9772,10403,17866,28192,57619,86371,72126,145390,,47688,43630,76625,67263,56596,65440,85694,81872,59935,69428,,13702,10864,12730,13827,21523,45101,80839,100380,78101,159259
440121,Coniferous wood in chips or particles (excluding those of a kind used principally for dying ...,117680,93234,135228,132040,126829,138490,170951,143759,114588,143508,,203918,186667,198624,202206,193658,200407,266912,215299,184061,211688,,349370,280704,325027,337568,309787,292069,342696,307914,247380,293740
