Product code,Product label,Australia's imports from China-Value in 2012,Australia's imports from China-Value in 2013,Australia's imports from China-Value in 2014,Australia's imports from China-Value in 2015,Australia's imports from China-Value in 2016,Australia's imports from China-Value in 2017,Australia's imports from China-Value in 2018,Australia's imports from China-Value in 2019,Australia's imports from China-Value in 2020,Australia's imports from China-Value in 2021,China's exports to world- ,China's exports to world-Value in 2012,China's exports to world-Value in 2013,China's exports to world-Value in 2014,China's exports to world-Value in 2015,China's exports to world-Value in 2016,China's exports to world-Value in 2017,China's exports to world-Value in 2018,China's exports to world-Value in 2019,China's exports to world-Value in 2020,China's exports to world-Value in 2021,Australia's imports from world- ,Australia's imports from world-Value in 2012,Australia's imports from world-Value in 2013,Australia's imports from world-Value in 2014,Australia's imports from world-Value in 2015,Australia's imports from world-Value in 2016,Australia's imports from world-Value in 2017,Australia's imports from world-Value in 2018,Australia's imports from world-Value in 2019,Australia's imports from world-Value in 2020,Australia's imports from world-Value in 2021
870380,"Motor cars and other motor vehicles principally designed for the transport of <10 persons, ...",0,0,0,0,0,198,267,180,6842,533321,,0,0,0,0,0,110059,129753,438082,1578871,8143214,,0,0,0,0,0,104050,67204,221581,207546,735396
380893,"Herbicides, anti-sprouting products and plant-growth regulators, put up in forms or packings ...",164491,168273,161781,173575,240916,291958,256726,155465,327762,531499,,1706703,2410262,2600030,2144834,2148622,2891776,3119063,2765475,3124854,4227717,,366731,403229,419196,360043,448908,498987,448422,285853,547755,786727
852852,Monitors capable of directly connecting to and designed for use with an automatic data processing ...,0,0,0,0,0,315381,357352,348227,447855,520248,,0,0,0,0,0,6602508,8972933,9095985,10075026,13088408,,0,0,0,0,0,358029,410649,410820,516809,609027
854449,"Electric conductors, for a voltage <= 1.000 V, insulated, not fitted with connectors, n.e.s.",275639,254097,275568,239546,212928,312607,383408,318075,326399,509464,,3650036,4074218,4330884,4287186,3954193,4416388,4790558,4610404,4238638,5225896,,515659,536594,502045,393604,332086,412085,494758,419155,415231,623605
392690,"Articles of plastics and articles of other materials of heading 3901 to 3914, n.e.s (excluding ...",249355,266254,277941,283570,280003,326424,369432,366941,514376,504152,,7741569,9386622,10733540,10296608,10631943,10852859,12028108,13978499,17537513,20793443,,657758,668580,685486,634586,625176,698755,786044,751248,903008,969416
940161,"Upholstered seats, with wooden frames (excluding convertible into beds)",373981,395191,417811,396387,378081,357753,425201,387138,420584,473536,,5785176,6346436,7284550,7484281,7714444,8197437,8783814,7717648,7631375,8897566,,498258,528337,563136,529930,505682,469496,548933,492426,531612,603055
852872,"Reception apparatus for television, colour, whether or not incorporating radio-broadcast receivers ...",385311,388714,298402,424519,403376,382744,347410,332715,419168,467980,,12108645,11052503,13551801,12508589,12280973,13870741,14941793,12833637,13737789,15006764,,1237485,1082673,1033761,934861,925876,1007858,965267,907918,964459,1229513
870322,"Motor cars and other motor vehicles principally designed for the transport of persons, incl. ...",1313,5142,1582,2542,2627,9864,39471,88760,176259,461620,,2210824,2083681,1547389,1181562,1248714,2331269,2961803,3292704,3260786,6693807,,1402879,1408787,1299312,1494172,1535607,1854685,1637121,1405862,1109353,1634672
847330,Parts and accessories of automatic data-processing machines or for other machines of heading ...,289738,257150,276137,278917,272293,299292,281958,259851,340055,459598,,29622426,28598928,30449755,28106566,25041571,32012335,44310088,31443509,30617702,31884221,,584615,477808,532402,469892,422933,443140,459529,405772,480372,626086
940320,"Metal furniture (excluding for offices, seats and medical, surgical, dental or veterinary  ...",262022,268435,282938,294341,283360,291739,357337,325803,337502,444916,,7556079,7915238,6974962,6944367,6437914,6782631,7920782,8476989,10007413,11083858,,352823,362456,384980,397840,368820,373069,454791,418512,413428,538759
732690,"Articles of iron or steel, n.e.s. (excluding cast articles or articles of iron or steel wire)",277722,278808,320980,306711,288816,308581,374087,346136,348031,441274,,4997600,5504037,5814012,5927523,5342813,5769067,6748713,6928980,7817290,10545923,,621085,664346,696161,619337,566386,558987,633708,588046,593315,728831
851830,"Headphones and earphones, whether or not combined with microphone, and sets consisting of a ...",125848,123604,129517,129856,148774,194080,307746,431423,459091,440045,,4209990,4147605,4196547,4129407,3607870,3311654,3405972,3448161,4291381,4349833,,181608,171168,182450,184823,204109,249591,383958,539580,588136,636588
852580,"Television cameras, digital cameras and video camera recorders",239807,217383,211607,210914,190091,265563,327645,320147,337921,427671,,12737641,15798153,11685040,11763605,9478875,9068147,10663587,9746299,10823861,11960916,,731592,588100,576238,537141,501631,605791,726219,688206,630793,803323
950450,Video game consoles and machines (excluding operated by any means of payment),371475,271514,415167,226918,208776,354746,369040,293495,420913,414532,,7253069,6099963,5854739,8399952,9670460,11920953,11043000,9131034,9981580,13522404,,387672,276772,435455,308974,302880,379810,384604,312277,456544,448529
940360,"Wooden furniture (excluding for offices, kitchens and bedrooms, and seats)",235743,250805,269314,264881,251096,262815,285705,302692,310174,384097,,7149728,7386778,7904822,7283527,6655596,6909953,7282661,6593078,7227905,8887863,,443212,465384,494440,484143,482047,484796,492654,497028,483508,573046
846729,"Electromechanical tools for working in the hand, with self-contained electric motor (excluding ...",124466,135782,155684,163370,173739,216037,236275,229705,295275,378463,,2566292,2861814,3205783,3248723,3307515,3872095,4446105,4848296,5157063,6193252,,200949,205557,223256,220764,235359,284310,310169,292117,369588,483499
940540,"Electric lamps and lighting fittings, n.e.s.",145571,184148,183602,182238,194660,233249,260880,258731,278797,378002,,5971647,9088013,14459201,16910153,16975612,14130457,13688052,14851047,17393122,20490076,,248361,293996,289420,291861,296342,322205,365023,360410,361357,467702
940510,Chandeliers and other electric ceiling or wall lighting fittings (excluding for lighting public ...,237012,299573,350503,357905,358098,352623,340669,312762,325385,376707,,2858669,5125370,8141117,8673030,6789660,7002180,8134915,8834502,9886214,11751888,,364268,411460,474283,472668,467893,452597,447725,403860,398214,457718
760612,"Plates, sheets and strip, of aluminium alloys, of a thickness of > 0,2 mm, square or rectangular ...",74277,75472,77488,97309,106780,140619,175858,181267,203260,376294,,1830338,2183359,2676004,3017486,2768057,3947771,4775233,4639440,4357233,6652844,,210179,215611,243601,264896,309062,428303,478742,436686,428635,622728
848180,"Appliances for pipes, boiler shells, tanks, vats or the like (excluding pressure-reducing ...""",213430,236144,239003,321811,222565,250119,295864,267891,279636,339591,,8888454,9592473,10517991,10056454,9323523,9952676,11316574,11118347,11321173,13077664,,1137469,1159139,1235749,1257267,930580,909625,998002,872768,886825,1146437
870323,"Motor cars and other motor vehicles principally designed for the transport of persons, incl. ...",10575,16479,8662,11932,15170,28803,57726,97102,125413,325151,,1692240,1669456,2108906,2006245,2899282,3555632,4064791,3161933,2789814,4045543,,8049430,8740167,8097504,7472391,7950702,8698935,8570426,7434583,6129896,7697220
847160,"Input or output units for automatic data-processing machines, whether or not containing storage ...",119628,142865,131882,130219,138414,149631,199168,214939,286398,321536,,5962127,6100823,6817682,5860399,5483369,4937296,4872540,5062649,7400129,7723280,,220081,242728,229078,211270,226232,229116,275021,283785,362394,392442
630790,"Made-up articles of textile materials, incl. dress patterns, n.e.s.",116738,125996,143215,146407,152597,165958,184117,188473,1403035,321489,,3489427,3971765,4425576,4648290,4461880,4636591,5132255,5445655,53751194,11949763,,183327,196891,218735,232560,239476,256294,278734,282997,1563043,506463
850760,Lithium-ion accumulators (excluding spent),32091,40282,49112,60883,72809,96116,134291,164564,188905,315241,,4464821,4707565,5475430,6493855,6814605,8035482,10821769,13031189,15941002,24963112,,85045,102352,118151,119896,156551,264456,308046,386732,340112,736260
950691,"Articles and equipment for general physical exercise, gymnastics or athletics",148750,160494,158968,130535,131048,133371,139008,143324,253218,314974,,3960322,4115727,4570645,4546777,4135731,4365155,4661576,5106461,9276045,11452382,,257015,261013,259747,211722,212434,224750,235399,234819,353549,452404
401110,"New pneumatic tyres, of rubber, of a kind used for motor cars, incl. station wagons and racing ...",312664,278736,239147,236043,216199,234092,252185,256705,235401,305848,,5878993,6183586,6055198,4905323,4624310,5031723,5430335,5571778,4867161,5552397,,1011586,883457,806778,722551,665474,708235,699593,675843,614135,817781
420292,"Travelling-bags, insulated food or beverage bags, toilet bags, rucksacks, shopping-bags, map-cases, ...",300028,311909,304363,291563,253874,285023,355325,296134,234475,287422,,4237702,4544787,4367099,4868206,4300680,4906812,6078807,6563510,6140653,7670167,,370160,381109,377606,371580,336893,364681,466931,391636,316704,386173
870421,"Motor vehicles for the transport of goods, with only compression-ignition internal combustion ...""",47404,35761,31057,24834,19770,47949,80777,94928,125318,286638,,743454,749563,732165,581656,501512,567178,573022,567169,605720,1489582,,4428333,4210299,3779857,3796600,4193886,5090265,5428024,4578861,4071876,6109531
310540,"Ammonium dihydrogenorthophosphate """"monoammonium phosphate"""", whether or not mixed with diammonium ...""",20070,37974,86844,101555,136865,157476,172085,208785,199493,286557,,286475,272590,957250,1151604,686566,917491,1008605,908827,835059,1908128,,372078,271584,390925,348220,347098,321550,369757,360638,310503,582751
401120,"New pneumatic tyres, of rubber, of a kind used for buses and lorries (excluding typres with ...",304420,270085,265435,222942,212327,228590,240578,222155,226591,269985,,8056376,8132128,8517548,7245766,6671898,7390076,7808521,7350764,6599528,7267488,,845648,702805,642296,516959,503949,526658,557445,521879,524494,634117
611020,"Jerseys, pullovers, cardigans, waistcoats and similar articles, of cotton, knitted or crocheted ...",133519,141120,142714,135817,137667,152618,163814,165061,176433,266296,,7671264,7908818,7448637,6665769,5989301,5832056,5899829,6632268,6048759,7114401,,171156,193042,193755,186448,199393,230239,251281,265483,275397,406885
940490,"Articles of bedding and similar furnishing, fitted with springs or stuffed or internally filled ...""",163109,161090,172327,177193,172696,202422,218547,218646,236873,254608,,5809829,6020386,6129462,6089210,6005525,6399667,7032694,7408333,7084399,7919140,,189765,195120,206521,214753,208384,238728,257536,256739,279916,306258
611030,"Jerseys, pullovers, cardigans, waistcoats and similar articles, of man-made fibres, knitted ...",204574,214480,219912,195010,210142,210039,218522,221461,197517,253225,,9975364,10463319,11241038,10849559,9671340,9586244,10289138,10464396,8574587,10209982,,247100,273708,278681,262064,277225,267974,282184,296969,264085,336808
392490,"Household articles and toilet articles, of plastics (excluding tableware, kitchenware, baths, ...",103422,118069,142645,153415,153755,187944,193777,187045,201239,246786,,1360391,2112667,3003687,3331987,2950663,3301840,3595118,4002905,4922246,5739144,,153730,167726,203567,212254,207863,242364,263515,264387,271006,323949
610910,"T-shirts, singlets and other vests of cotton, knitted or crocheted",230301,227409,201710,194269,179148,197284,207252,205218,190537,240878,,4179672,4367799,4853857,4561092,4322103,3988625,3864524,3737221,3197026,3858857,,386719,400377,401033,425898,417320,464826,494126,509405,460757,574443
847170,Storage units for automatic data-processing machines,343858,288125,296579,251449,221643,208506,160591,126787,140672,235585,,18638870,16591268,16635339,14808304,16709092,18653486,17820524,17285611,17341219,16708192,,1085792,970441,1009321,854690,755411,713774,706103,564673,602342,675856
761699,"Articles of aluminium, n.e.s.",128254,113414,121924,120292,130727,147741,176081,164214,177212,233641,,2406901,2653768,2952151,2894655,2748207,2820025,3221520,3169550,3411107,4220350,,197820,197728,202345,193157,195690,210251,238111,223514,230804,301393
640399,"Footwear with outer soles of rubber, plastics or composition leather, with uppers of leather ...",308405,289010,273238,259382,231126,233418,230290,239642,169041,230064,,7565277,7978810,8266291,7109036,5688636,5784402,5823234,6116939,4995601,5615478,,435317,430919,440696,441595,421508,434880,453049,475047,356667,450550
843149,"Parts of machinery of heading 8426, 8429 and 8430, n.e.s.",142332,180014,96212,87439,87700,128673,165851,194727,223696,225129,,3165429,3167006,3768226,3194536,3027450,3817871,4765701,4716730,4117092,5948796,,1034461,804278,623953,541078,471323,644629,857601,829105,932388,941738
871610,"Trailers and semi-trailers of the caravan type, for housing or camping",10877,10613,14126,21089,36123,54866,73173,92053,104046,223871,,37501,56394,45379,60526,86092,86537,114931,137864,165542,304349,,35734,44702,45366,44672,49702,64694,85654,100362,108071,231844
851679,"Electro-thermic appliances, for domestic use (excluding hairdressing appliances and hand dryers, ...",167497,156468,150519,143948,142444,150454,150705,167132,229132,219285,,2160919,2602288,3036269,3045641,2967053,3169547,3327498,3401464,4268167,4858388,,207669,204697,204108,197810,201027,191312,194633,204317,270793,268424
841810,"Combined refrigerator-freezers, with separate external doors or drawers, or combinations thereof",43875,39891,55294,64617,92464,122483,131016,138137,193405,214660,,1881055,1944506,2132819,2015619,2175599,2731409,3198018,3464530,4437762,5280294,,281632,285576,303212,330747,368862,427005,425215,417346,462925,480234
854442,"Electric conductors for a voltage <= 1.000 V, insulated, fitted with connectors, n.e.s.",128702,127925,142297,151142,146678,162230,174117,164014,183972,214077,,7223812,8389753,10583329,9962815,10239145,10748180,10804906,10380145,11459565,13288557,,312941,332738,300773,292406,260614,334014,411524,310023,324495,394750
871690,"Parts of trailers and semi-trailers and other vehicles not mechanically propelled, n.e.s.",102823,105623,118366,96287,92616,103027,121244,112162,118179,198543,,1141269,1299820,1419285,1381417,1314450,1363665,1612423,1554154,1450558,1935447,,217369,227573,251065,195534,205558,233432,257901,234638,227115,367325
620342,"Men's or boys' trousers, bib and brace overalls, breeches and shorts, of cotton (excluding ...",225481,206969,223174,208465,188105,186545,203403,189135,153486,198445,,4743465,5394074,6841711,6498528,5833861,5438261,4955685,4492734,3352520,3903769,,325110,318945,344352,359130,336334,338696,369108,360174,297490,368647
761010,"Doors, windows and their frames and thresholds for door, of aluminium (excluding door furniture)",44606,45892,59733,73970,85204,145597,217991,213595,176307,198040,,687157,844359,944442,1048705,870544,933207,1033730,1101972,1080891,1162525,,63555,69438,76328,96381,103087,170080,243783,255377,203891,232337
940350,Wooden furniture for bedrooms (excluding seats),159441,157003,158030,138431,138172,137025,161272,158540,187950,197575,,3018594,3059895,3901783,4510284,4575472,4071780,3122497,2696021,2597735,2632502,,273486,279003,290252,262681,268145,266025,301467,280386,312562,310393
851822,"Multiple loudspeakers, mounted in the same enclosure",73115,90260,103516,116466,126031,142010,193877,154880,173751,196837,,1886654,2185587,2832404,3151895,3326634,4217067,3900892,3677174,3577111,3653005,,122122,143384,155344,177464,175704,203052,250470,205050,212680,241385
940171,"Upholstered seats, with metal frames (excluding seats for aircraft or motor vehicles, swivel ...",112899,119921,120241,113697,109455,133378,158870,132001,137788,190451,,5992403,5942871,5089381,4605664,3828044,3997680,4881497,5866976,7505435,8550096,,156306,165630,166299,159521,168273,200467,235540,203913,202541,249725
940390,"Parts of furniture, n.e.s. (excluding of seats and medical, surgical, dental or veterinary ...",55913,63728,76529,86429,89786,105703,119308,124383,119518,185771,,4005506,4926929,3182446,3368106,3245963,3404739,3585459,4265374,4897572,5549422,,146737,165258,185488,191138,183596,206940,238193,226773,212139,306790
842890,"Machinery for lifting, handling, loading or unloading, n.e.s.",140059,185884,188271,205959,108004,103726,128640,119976,118856,185194,,583789,804419,782903,767967,754545,859144,1034644,1229647,1179322,1387985,,523212,438437,614809,487490,421221,458445,492625,482276,417356,586616
847490,"Parts of machinery for working mineral substances of heading 8474, n.e.s.",118026,66074,86940,63271,75830,97250,128227,148530,163393,182010,,857501,888308,933101,944187,903568,992710,1100723,1299942,1302310,1541859,,365708,294328,291284,243469,251669,289573,341718,353586,361513,410951
640299,Footwear with outer soles and uppers of rubber or plastics (excluding covering the ankle or ...,209776,201389,195750,210251,194569,189501,201079,188134,140212,180847,,14434322,17745974,21317092,19635870,17298639,17169304,15753113,16093709,12612203,15866804,,235338,231203,232055,256456,249809,236112,256483,236638,183915,255541
851770,"Parts of telephone sets, telephones for cellular networks or for other wireless networks and ...",222966,238345,232735,215575,287008,216652,301586,291595,207144,180546,,39594274,47116398,45105066,49585071,48463570,50776282,51951119,47859965,45200289,49192067,,568712,495790,487413,491124,603764,569955,577289,497239,444519,1310912
392410,"Tableware and kitchenware, of plastics",134234,150268,161236,141505,141187,150662,166573,173546,150694,178736,,2493889,2896864,4123178,5159923,4869597,5030694,5635832,6247633,6597532,7971596,,231203,242875,249563,228864,205269,218246,226112,229328,217069,249799
761090,"Structures and parts of structures, of aluminium, n.e.s., and plates, rods, profiles, tubes ...",101446,113598,143636,147115,123775,130691,171379,186387,165784,175518,,1421748,1633948,2054732,2341057,2141814,2377353,2681781,2816759,2880326,3403480,,173128,164820,210524,222759,185474,206384,287179,256160,223331,232972
847141,"Data-processing machines, automatic, comprising in the same housing at least a central processing ...",186855,377889,362334,293143,218730,274454,239941,193484,216770,174767,,4377850,4208729,3929256,2747799,2000406,1994444,2431804,2504558,2603626,3140525,,277076,483907,451055,393423,297319,356382,410908,468477,395283,409582
854370,"Electrical machines and apparatus, having individual functions, n.e.s. in chapter 85",139526,168657,158714,156057,164771,123804,116689,119133,126497,170816,,7596082,7907194,6943312,7436946,7269948,8252622,9933134,11149256,13017151,16941781,,575500,560789,578261,496729,517604,459998,421460,422166,378786,503888
940179,"Seats, with metal frames (excluding upholstered, swivel seats with variable height adjustments ...",91601,96840,106021,120149,101098,95194,104820,114320,128583,169336,,3154354,3205692,3229481,3216431,2840974,2869234,3125428,3065263,3093248,3892431,,121224,123715,134908,148280,128899,128463,140568,143274,156014,202537
392321,"Sacks and bags, incl. cones, of polymers of ethylene",128234,126355,138296,133192,141086,145529,166224,145888,148696,167442,,2500158,2675967,2892807,2796704,2655947,2717199,2928067,2624292,2745160,2896765,,323628,324170,349631,341708,348345,354743,377132,316004,336240,376956
844399,"Parts and accessories of printers, copying machines and facsimile machines, n.e.s. (excluding ...",342480,334478,322264,279132,226026,203003,184637,164590,144233,166801,,8058635,8158025,8286053,7670326,7080116,7010502,6813843,6433177,5529963,5721194,,949682,958133,866669,767634,561250,496871,459543,406577,346389,412353
640419,Footwear with outer soles of rubber or plastics and uppers of textile materials (excluding ...,145351,160085,144905,144073,144678,150130,151516,151297,126483,161830,,7467435,8780149,10993331,12069145,11630416,12670263,12816140,12585823,9410316,11213156,,178205,209517,188546,191281,201502,225982,240123,245781,217486,275229
871200,"Bicycles and other cycles, incl. delivery tricycles, not motorised",117150,120171,117462,120643,90365,94688,98297,97547,121649,159688,,3196451,3189308,3580002,3515599,3142050,3145784,3284610,2880681,3690811,4694252,,242870,263650,242049,225135,190203,196106,207486,196913,230716,279822
620462,"Women's or girls' trousers, bib and brace overalls, breeches and shorts of cotton (excluding ...",254628,242836,202058,185909,165052,182456,182876,163544,127101,159369,,7438737,7807497,8439521,7934020,7649329,7172687,6976929,6135882,4701954,5594135,,330670,318532,293701,293972,280854,290515,297991,285141,245805,317008
850811,"Vacuum cleaners, incl. dry cleaners and wet vacuum cleaners, with self-contained electric motor, ...",71308,79967,83458,65261,61693,76521,91099,94103,129289,155881,,1951387,2171772,2666277,2969992,3008081,3606034,4307329,4400514,5740694,6151412,,193045,228756,243168,235027,244844,294204,324098,307956,368488,393695
391810,"Floor coverings, whether or not self-adhesive, in rolls or in the form of tiles, and wall ...""",18015,21382,29572,32522,40800,48969,78977,93705,114959,155616,,1308539,1648806,2044379,2257914,2711307,3495360,4711873,4999789,5698226,6152268,,102454,104368,116817,125704,129598,156150,184366,183037,208637,260781
853710,"Boards, cabinets and similar combinations of apparatus for electric control or the distribution ...",103174,83182,89342,104122,93529,107133,107316,108822,123147,153453,,3853060,4537319,5152446,5692145,5829079,6422524,7901988,8317032,7717204,8719845,,457825,463563,462692,508964,449094,450725,486776,504438,486250,581294
900490,"Spectacles, goggles and the like, corrective, protective or other (excluding spectacles for ...",26734,24282,22008,49645,86966,123317,154922,137574,192747,153361,,960608,1143758,1184680,1180537,1311596,1332492,1379582,1437365,1882079,1418210,,161583,190018,224863,192860,167737,187723,212673,208102,265706,231957
901910,Mechano-therapy appliances; massage apparatus; psychological aptitude-testing apparatus,46272,51981,51775,53104,65115,72000,77598,78023,105044,153304,,1450414,1611931,1807659,2008137,2143103,2330223,2671160,3134289,4441323,5902201,,80443,84942,86802,81200,103529,116239,115914,112429,149726,206745
847989,"Machines and mechanical appliances, n.e.s.",56246,65844,67637,53128,48519,82469,71111,118152,70495,151478,,1337829,1455000,2018115,2087395,2593726,2852789,3558331,4244747,4846439,5219037,,1122572,770085,824049,1294588,734904,684131,660518,695531,605930,859405
940130,"Swivel seats with variable height adjustments (excluding medical, surgical, dental or veterinary, ...",36914,42958,49339,52240,27354,33643,73936,79021,116016,147490,,1856771,1965661,2196353,2246242,1998122,2115380,2531898,2802475,4014357,4723769,,73250,69340,77236,82499,88721,92120,105601,104483,138440,174949
950699,Articles and equipment for sport and outdoor games n.e.s; swimming and paddling pools,92955,86256,87227,85465,76846,80937,80764,83625,101537,146011,,1704783,1732340,2021068,2072321,1898923,1936471,2264520,2560532,2945103,4196586,,155535,155143,158061,155931,144967,150302,149929,154701,167516,231015
293190,Separate chemically defined organo-inorganic compounds (excluding organo-sulphur compounds ...,60523,125433,110275,120378,119380,96790,121149,48064,100389,145827,,1873301,2685088,2475640,1928528,1872914,598747,906869,717443,600327,1047765,,149922,175865,125515,138600,147421,127877,152300,62837,110525,159789
620443,Women's or girls' dresses of synthetic fibres (excluding knitted or crocheted and petticoats),143626,145333,137861,126472,120780,138083,147211,149654,98980,145627,,1530906,1882062,3527568,2995855,2722643,2527951,2476499,2664345,2223252,2883169,,160894,168360,165321,152652,148517,166881,182002,185074,125936,179103
961900,"Sanitary towels (pads) and tampons, napkins and napkin liners for babies, and similar articles, ...",23282,17815,16840,17663,22370,22662,26524,81868,129473,145463,,1010354,1175545,1525035,1591931,1547357,1612890,1801586,2087520,2265232,2253323,,221808,228372,226964,216852,212758,220362,233594,319664,357815,375470
842720,"Self-propelled trucks fitted with lifting or handling equipment, non-powered by an electric ...",63574,65367,72238,52195,49909,81585,104045,106551,89002,142813,,943834,1032207,1176252,1061915,1034458,1253742,1581234,1409225,1328671,2008348,,529465,395139,325447,274864,256277,338619,402904,378848,360698,495421
830241,Base metal mountings and fittings suitable for buildings (excluding locks with keys and hinges),81990,91356,100342,100136,105151,119295,133501,106272,112993,142027,,1304461,1548171,1897666,2519732,2086282,2173792,2235526,2577736,3128946,3674532,,127074,134710,148195,143206,146980,161896,179792,146804,157118,198466
630622,Tents of synthetic fibres (excluding umbrella and play tents),68912,81004,83507,74635,63777,94026,97048,78397,80721,140878,,846342,948311,1050567,1075185,1033435,1078057,1163718,1187575,1350614,1862920,,76485,87905,93647,87583,77130,105572,111907,90362,96594,175032
850980,"Electromechanical domestic appliances, with self-contained electric motor (excluding vacuum ...",64783,67858,83063,116763,88731,84982,95114,93799,129791,138279,,1419181,1622243,1896284,2121148,2060136,2319401,2734145,3308388,5536011,6469567,,85039,93530,105521,140245,107515,106202,117927,116745,151058,170890
732111,"Appliances for baking, frying, grilling and cooking and plate warmers, for domestic use, of ...",107802,87978,79851,100816,90217,96620,96495,81668,92381,137759,,1602860,1771798,1918008,2112288,2016064,2264803,2269552,2170738,2558157,3177621,,216017,184117,187404,169577,158699,173398,179309,147843,160428,222150
842952,"Self-propelled mechanical shovels, excavators and shovel loaders, with a 360¡Æ revolving su ...",6151,7976,7020,6243,4831,6893,18459,50645,67844,137104,,1603518,1313213,1128773,1226430,1096064,1427902,1940452,2230114,2277890,4485883,,1546161,864751,483341,403544,484890,566962,870573,733245,665826,995128
841869,Refrigerating or freezing equipment (excluding refrigerating and freezing furniture),47798,57425,71993,31218,4133,37143,90942,87460,100677,136934,,1099656,1043075,1125830,1168474,1065008,1099250,1253817,1326667,1345683,1718430,,215603,233869,252440,422374,477852,237255,245937,233808,219914,294024
844331,"Machines which perform two or more of the functions of printing, copying or facsimile transmission, ...",361231,352896,315399,256108,208991,194368,176492,159842,130254,136235,,11707283,11558640,10616607,9066266,7801391,7127845,6952744,6095318,4550585,4026137,,472563,426401,389779,350328,307120,297757,305987,266342,238885,277316
871160,"Motorcycles, incl. mopeds, and cycles fitted with an auxiliary motor, with electric motor for ...",0,0,0,0,0,14041,26227,41929,70651,134988,,0,0,0,0,0,1861595,2533775,2776293,3505446,4858311,,0,0,0,0,0,24693,53693,75789,124605,198585
