Product code,Product label,United States of America's imports from Viet Nam-Value in 2012,United States of America's imports from Viet Nam-Value in 2013,United States of America's imports from Viet Nam-Value in 2014,United States of America's imports from Viet Nam-Value in 2015,United States of America's imports from Viet Nam-Value in 2016,United States of America's imports from Viet Nam-Value in 2017,United States of America's imports from Viet Nam-Value in 2018,United States of America's imports from Viet Nam-Value in 2019,United States of America's imports from Viet Nam-Value in 2020,United States of America's imports from Viet Nam-Value in 2021,Viet Nam's exports to world- ,Viet Nam's exports to world-Value in 2012,Viet Nam's exports to world-Value in 2013,Viet Nam's exports to world-Value in 2014,Viet Nam's exports to world-Value in 2015,Viet Nam's exports to world-Value in 2016,Viet Nam's exports to world-Value in 2017,Viet Nam's exports to world-Value in 2018,Viet Nam's exports to world-Value in 2019,Viet Nam's exports to world-Value in 2020,Viet Nam's exports to world-Value in 2021,United States of America's imports from world- ,United States of America's imports from world-Value in 2012,United States of America's imports from world-Value in 2013,United States of America's imports from world-Value in 2014,United States of America's imports from world-Value in 2015,United States of America's imports from world-Value in 2016,United States of America's imports from world-Value in 2017,United States of America's imports from world-Value in 2018,United States of America's imports from world-Value in 2019,United States of America's imports from world-Value in 2020,United States of America's imports from world-Value in 2021
611020,"Jerseys, pullovers, cardigans, waistcoats and similar articles, of cotton, knitted or crocheted ...",925196,1025596,1144444,1154236,1114178,1194512,1299050,1526894,1506179,1820584,,929238,1114763,1137552,1123399,1123636,1210243,1551356,1922061,1814401,2841275,,8327039,8652973,8432287,8115475,7097366,7088824,7638966,7895411,6332274,8705141
847130,"Data-processing machines, automatic, portable, weighing <= 10 kg, consisting of at least a ...",94511,1213783,1704742,1192774,835404,873320,739014,1007525,1320579,1735887,,1128561,2911179,3166515,4151817,2996363,2859811,2958149,3025524,4197970,5210410,,44118432,43235338,42589984,39807140,36356774,40393506,40173035,40818542,51636353,60802219
640399,"Footwear with outer soles of rubber, plastics or composition leather, with uppers of leather ...",803123,911596,1056612,1149026,1046864,1078722,1215769,1384298,1392131,1591206,,1448934,2494405,2741165,2952812,2815966,2971870,3303147,3664990,3382124,4922094,,6607027,6889821,6721380,6596446,5634651,5267599,5425853,5451619,4027752,5187839
950300,"Tricycles, scooters, pedal cars and similar wheeled toys; dolls' carriages; dolls; other toys; ...""",117543,130916,200325,256521,339244,475486,526991,737426,849243,1252326,,212346,245370,354547,447721,600325,803578,875607,1018424,1054139,2439359,,11546318,11742799,12788811,14236048,14596371,14969707,14744931,15288252,14352993,19680481
846729,"Electromechanical tools for working in the hand, with self-contained electric motor (excluding ...",0,2,461,376,27,120,68,9,604065,1242887,,584,421,624,885,439,327,292,5148,271037,1404944,,1641548,1888372,1856553,2154808,2317615,2627223,3004850,3078044,3615891,4823187
640419,Footwear with outer soles of rubber or plastics and uppers of textile materials (excluding ...,99993,150215,214688,333434,447837,584623,845045,996922,918029,1181697,,706150,1265929,1461937,1941820,2341151,2850821,3500975,3836798,3863755,4972377,,2599981,2791374,3047083,3553827,3610570,4089532,4531945,4712490,3551474,5304701
850440,Static converters,59027,50507,67414,101473,163415,149719,143379,279092,585869,1124005,,32006,95515,149927,356884,511639,537759,566389,820351,1185593,2117644,,8080280,8486424,9273437,9607602,9264142,9541997,10422940,10125956,10932833,13225374
80132,"Fresh or dried cashew nuts, shelled",393306,516812,618737,803823,930900,1198158,1227769,1018588,981283,1080443,,1443109,1596348,1930396,2315661,2732522,3385090,3128961,2941542,2843195,2912469,,817696,927249,958682,1167767,1235175,1580528,1464279,1200622,1103244,1216529
640299,Footwear with outer soles and uppers of rubber or plastics (excluding covering the ankle or ...,611832,647575,823125,856330,849892,885513,913327,956188,909166,1054569,,1185242,1205564,1547538,1657350,1658648,1716139,1889767,2308692,2176232,3564093,,5152550,5080891,4956211,4971604,4345197,4292479,4287955,4164552,3244699,4630440
640391,"Footwear with outer soles of rubber, plastics or composition leather, with uppers of leather, ...",351089,494071,652464,816928,796233,749480,872697,1050379,930923,1017175,,562330,838610,1167426,1277542,1186342,1288475,1429324,1555263,1518887,2289217,,3639233,3838818,4436075,4714181,4185118,3702623,3767754,4118154,3239592,4149992
852580,"Television cameras, digital cameras and video camera recorders",3299,6938,15761,59436,120286,302647,358254,298896,592228,946136,,73245,110450,365356,871378,901312,1358865,2268382,1976684,2066189,2436098,,7564906,6114185,5554187,5771063,5850694,6796285,7530877,7750915,7597446,8863485
611030,"Jerseys, pullovers, cardigans, waistcoats and similar articles, of man-made fibres, knitted ...",548449,646972,727165,925965,982198,1076470,1110745,1157268,870593,937047,,581468,692154,937915,1146904,1188910,1390720,1504113,1656412,1315052,1684502,,4699304,4960627,5545121,6067666,6047349,6260576,6538079,6496059,4522550,5845168
940390,"Parts of furniture, n.e.s. (excluding of seats and medical, surgical, dental or veterinary ...",198947,193132,227629,265877,270476,343518,372657,502040,723658,879979,,374314,414057,487797,595878,631338,639350,670850,844899,1120832,1072959,,2244779,2349478,2612504,2859693,3229759,3503732,3904476,3397303,3478850,4157606
852872,"Reception apparatus for television, colour, whether or not incorporating radio-broadcast receivers ...",31,566,57,285,616,298468,70105,39908,569653,851665,,126561,237058,345204,603392,1207178,1736196,1511458,1604167,1981258,2604020,,16785159,14531742,15631034,15988623,12684552,13314385,13287346,12610938,13298702,16272091
940320,"Metal furniture (excluding for offices, seats and medical, surgical, dental or veterinary  ...",27034,60165,85595,127388,155938,152322,142250,278744,580284,830469,,66908,88199,117584,151076,164064,182280,244778,401089,659403,1148407,,3982383,4252851,4575462,5073331,5153635,5500760,6255293,5721665,5834298,7628194
610463,"Women's or girls' trousers, bib and brace overalls, breeches and shorts of synthetic fibres, ...",150968,213846,241507,352440,424872,529643,510672,542731,604256,784987,,226495,303976,444073,579426,657799,872311,945371,1049498,1196848,1543758,,760960,996509,1187348,1463333,1502512,1705338,1686765,1696089,1698604,2412017
620462,"Women's or girls' trousers, bib and brace overalls, breeches and shorts of cotton (excluding ...",433374,532952,519479,529954,552549,572113,659269,752678,720929,744031,,497669,612223,542727,555999,550068,576682,722688,810519,750026,986124,,5466803,5746153,4882186,4891427,4793551,4756964,4934968,4641016,3616619,4398499
391810,"Floor coverings, whether or not self-adhesive, in rolls or in the form of tiles, and wall ...""",6513,2198,301,675,644,706,1519,22495,163259,738762,,16532,12270,4615,9518,9074,15445,17541,46765,215689,765478,,852865,1024707,1154964,1330502,1856262,2381050,3504278,3656039,4182862,5277207
851822,"Multiple loudspeakers, mounted in the same enclosure",2711,2039,1367,1404,1934,2423,3956,28312,286116,692853,,10918,6099,6337,9661,36093,90730,70840,113119,183245,844700,,1105999,1232040,1432473,1510582,1346560,1259206,1175246,1388168,1865254,2350891
847160,"Input or output units for automatic data-processing machines, whether or not containing storage ...",19092,15925,20879,22699,26133,23113,32106,34329,162329,682340,,41746,68072,55619,13984,35979,40344,27967,39467,100485,885725,,2871361,2978136,2857405,2651440,2861888,2866618,3364602,3112556,3424658,4214164
940340,Wooden furniture for kitchens (excluding seats),33694,40286,44266,58450,57469,59469,55951,103602,487169,670467,,128795,150953,168108,173159,181438,204626,287974,380470,694371,768650,,824014,1017828,1192392,1452910,1644884,1938596,2275275,1810748,1931375,2455067
854442,"Electric conductors for a voltage <= 1.000 V, insulated, fitted with connectors, n.e.s.",17918,20771,21807,18996,23079,30336,47187,237540,443552,656491,,95075,93819,130558,195000,287157,390205,509215,1087127,1527410,2433154,,3905673,4231521,4708819,4837368,4656103,5039275,5779696,5402347,5445490,6661052
610462,"Women's or girls' trousers, bib and brace overalls, breeches and shorts of cotton, knitted ...",262816,293442,332944,390059,382562,464530,458274,456787,489826,643863,,233428,268366,326361,373028,409914,492649,554623,555469,607182,920050,,1519757,1617043,1681009,1710160,1472076,1496279,1539502,1470788,1462144,2172407
340600,Candles and the like,150149,139910,134464,146675,175293,186011,234064,270445,358669,639215,,168367,166064,161767,155388,181000,184580,234394,270094,347206,767916,,444897,420372,413073,413188,422986,474730,539805,578779,746429,1180637
950450,Video game consoles and machines (excluding operated by any means of payment),0,0,69,295,631,273,153,300751,897371,595864,,0,0,0,5,119,3599,168,316465,954748,848716,,4977060,5035759,4689239,4827607,3706113,4709078,5537819,3981751,6327514,9924937
854430,"Ignition wiring sets and other wiring sets for vehicles, aircraft or ships",295198,368328,395176,396363,412290,509180,558484,596378,497646,588249,,1630398,1868144,1962344,1974574,2008435,2311678,2599179,2825387,2676329,3230456,,8483605,9032126,9946255,10921481,10556537,10229648,11370081,11410650,9423443,11510448
420292,"Travelling-bags, insulated food or beverage bags, toilet bags, rucksacks, shopping-bags, map-cases, ...",265523,355466,433266,469993,444280,461990,443176,565566,525048,572746,,528165,647245,1043043,1149970,1285819,1160254,1319435,1431620,1290469,2141853,,4041820,4113269,4137571,4388974,4139620,4388260,4719065,4241130,3373096,4218798
621210,"Brassieres of all types of textile materials, whether or not elasticated, incl. knitted or ...",25371,29088,39722,54562,154883,334648,314825,328618,363429,562868,,137767,154428,183058,213233,363179,561480,690134,820477,721248,1132250,,2155039,2397205,2311953,2562444,2562817,2664232,2286409,2206222,1913757,2840846
441233,"Plywood consisting solely of sheets of wood <= 6 mm thick, with at least one outer ply of non-coniferous ...",0,0,0,0,0,0,62448,325491,370259,547273,,0,0,0,0,0,0,77800,171315,217418,590370,,0,0,0,0,0,0,365774,1173905,1276894,1912624
999999,Commodities not elsewhere specified,76764,134254,136868,159458,144534,199863,240824,318153,297306,546377,,369619,527702,550840,618664,246075,287071,3884982,4472089,2888636,8557994,,66845964,70909074,74146769,85172167,86433304,91009856,101589851,113637933,102515588,120573133
160521,"Shrimps and prawns, prepared or preserved, not in airtight containers (excluding smoked)",106777,227656,330114,264623,307897,330390,357198,281468,453491,537987,,374771,589144,791827,709501,733870,656514,434969,356845,382655,1251187,,955679,1052792,1318650,1183356,1195675,1413796,1428190,1235941,1626018,1863887
401120,"New pneumatic tyres, of rubber, of a kind used for buses and lorries (excluding typres with ...",67515,41398,48015,79336,110228,186604,169202,221818,342765,515984,,196260,187772,129197,62507,77375,143262,230957,389835,537846,881747,,4318411,4170089,4568257,4410636,4164016,4311347,4747328,4792756,4467190,5807888
850220,Generating sets with spark-ignition internal combustion piston engine,0,0,0,0,0,0,0,5460,142623,497964,,1924,1917,2279,1491,496,904,198,11245,153359,506391,,694121,834611,547310,560466,513780,779601,1173137,704717,977862,1455765
620193,"Men's or boys' anoraks, windcheaters, wind jackets and similar articles, of man-made fibres ...",207849,224994,290773,328179,299087,302410,364924,476050,456795,495522,,480336,665758,790179,817012,859628,1058541,1435655,1510901,1233445,1792798,,1043582,1039665,1212952,1377048,1260743,1335987,1530363,1732231,1199230,1394857
30617,"Frozen shrimps and prawns, even smoked, whether in shell or not, incl. shrimps and prawns in ...",349721,485722,681985,410338,390892,313299,272780,145303,254702,473586,,1505834,1988909,2481753,1731416,1820293,2204604,1973110,1961743,1942353,2062075,,3311513,4133623,5386569,4262614,4565437,5182865,4846075,4813777,4872519,6357519
844399,"Parts and accessories of printers, copying machines and facsimile machines, n.e.s. (excluding ...",62919,64088,95889,166364,209332,265390,327230,400726,363233,467144,,191040,210187,225505,253116,297542,378785,442233,472092,421137,1749655,,10904014,10755932,10292591,9783690,9229471,9104224,8864557,8429592,7371311,9321931
853710,"Boards, cabinets and similar combinations of apparatus for electric control or the distribution ...",43501,56718,58625,51287,85792,103677,166151,306913,362814,452306,,85890,53663,59747,93997,439442,550943,627006,672783,715738,1281229,,7688047,8830544,9362125,9848385,10210049,10868594,12068896,12798787,12050623,13797558
847180,"Units for automatic data-processing machines (excluding processing units, input or output units ...",26,193,6001,11942,3880,2957,4625,147153,305100,450880,,7172,15446,21942,44444,25742,5639,7019,156832,291912,1022293,,2871010,2902594,3287716,4118822,3819865,2957827,3316947,2818694,3060614,3155247
940190,"Parts of seats, n.e.s.",118241,196708,286750,429069,445410,368584,342759,448801,381575,441782,,130869,143016,165359,231403,204172,215179,300198,410920,408611,713865,,8535193,8930647,9886493,10591022,10700043,10027317,10346533,9981184,8022816,9332611
681099,"Articles of cement, concrete or artificial stone, whether or not reinforced (excluding prefabricated ...",19037,33234,41994,67989,85498,98787,106952,220275,285174,436070,,54957,94431,123155,144601,179592,194544,203398,291532,340348,569545,,870157,977076,1096122,1372617,1553131,1921903,2228920,2099946,2094221,3028301
902140,Hearing aids (excluding parts and accessories),35364,42347,41566,40613,47261,86107,152875,318499,279308,435691,,45571,46707,49538,53764,55295,74438,95608,169961,155996,860999,,1059661,1080654,1017956,1102506,1212958,1409092,1560339,1579829,1381879,1958747
850811,"Vacuum cleaners, incl. dry cleaners and wet vacuum cleaners, with self-contained electric motor, ...",13963,3604,9188,3606,10130,19346,17911,44884,220286,434442,,18418,27505,101152,122166,114444,128039,104020,169352,354422,755861,,1734172,1750321,1957761,2143225,1964387,2286153,2674023,2094497,2798545,3252952
842430,"Steam or sand blasting machines and similar jet projecting machines, incl. water cleaning appliances ...",0,2,28,0,48,0,0,17144,159911,420972,,454,2612,466,325,789,540,277,30887,150211,428967,,324423,318824,327446,361732,356802,468487,539364,499850,689019,911396
620342,"Men's or boys' trousers, bib and brace overalls, breeches and shorts, of cotton (excluding ...",302553,329422,361452,325293,378554,437864,437472,428700,339931,420955,,495843,589240,619227,603436,658759,665475,727989,764007,604495,911005,,5760797,5949215,5762258,5783081,5487218,5324229,5410980,5310668,3669896,4900940
852550,"Transmission apparatus for radio-broadcasting or television, not incorporating reception apparatus",11124,10328,10564,17163,10258,4698,10209,111999,547624,413369,,14142,13178,14724,11002,6232,6982,3370,22729,17116,432739,,2585481,2381165,2529647,2963750,2707122,3049891,2751855,2509070,2686670,2430431
620343,"Men's or boys' trousers, bib and brace overalls, breeches and shorts of synthetic fibres (excluding ...",197670,249047,267738,309616,298863,301077,307472,366526,317463,409297,,480199,603948,780841,920727,950496,1097543,1306111,1343366,1196554,1507200,,1209602,1326061,1298416,1423987,1387655,1412450,1571101,1626913,1296472,1786983
841459,"Fans (excluding table, floor, wall, window, ceiling or roof fans, with a self-contained electric ...",570,1338,9724,19350,23272,29111,35504,83322,261226,409222,,68796,68646,128659,116432,129548,191324,159240,224344,446767,714506,,1347847,1417787,1609926,1741806,1774817,1996822,2280125,2258642,2190118,2716461
620463,"Women's or girls' trousers, bib and brace overalls, breeches and shorts of synthetic fibres ...",160475,182914,214413,261064,258617,259533,286002,349378,329217,387028,,382088,511757,665902,758807,777249,786293,895858,950698,864059,1002360,,955472,1005367,984830,1057847,955060,947556,1038404,1089748,881051,1042980
401110,"New pneumatic tyres, of rubber, of a kind used for motor cars, incl. station wagons and racing ...",20987,27594,22162,106729,155891,247744,321836,376478,392073,376364,,28013,32197,206571,307789,404078,588265,583637,573531,601270,515390,,7766860,8250764,8113907,8024235,7588516,7711584,8110683,8394340,7353764,8507632
620293,"Women's or girls' anoraks, windcheaters, wind jackets and similar articles, of man-made fibres ...",148647,186327,225292,282227,253014,251512,308270,399940,369839,372024,,301976,433030,568407,602096,629982,764681,1035278,1152580,923086,1434119,,888715,927180,1134576,1298673,1198726,1149705,1306805,1549940,1030462,1172141
30462,"Frozen fillets of catfish """"Pangasius spp., Silurus spp., Clarias spp., Ictalurus spp.""""""""",341800,334981,326489,342209,389355,359984,534968,340567,249305,352144,,1619728,1584158,1610008,1422509,1530189,1570980,1973718,1721349,1242897,1050681,,366548,360128,363095,373917,424889,397323,567931,366667,278079,386603
610342,"Men's or boys' trousers, bib and brace overalls, breeches and shorts of cotton, knitted or ...",22232,26531,37730,62012,64212,93545,131157,175589,239804,347708,,31780,34611,45362,71559,90111,108334,178286,252676,323042,527664,,290386,348328,494917,655116,562466,642022,823118,900920,854522,1525803
940169,"Seats, with wooden frames (excluding upholstered)",114395,118237,148657,173278,171002,188060,212112,242687,274472,346739,,506386,527366,628024,679871,747747,800152,680272,749984,788230,696013,,573633,582103,618820,660929,612081,652012,685661,684500,689394,940228
844331,"Machines which perform two or more of the functions of printing, copying or facsimile transmission, ...",244662,225132,247365,304297,399329,560135,548988,463246,389955,340801,,889681,1067546,1022358,1053053,1088598,1374461,1772299,1904457,1985644,1816390,,4879185,4781578,4773948,4961981,4567098,4560375,4537779,4055266,2768940,2837182
610343,"Men's or boys' trousers, bib and brace overalls, breeches and shorts of synthetic fibres, knitted ...",53465,80250,124087,170678,216389,240902,292978,299132,246902,340290,,95158,144621,195128,210012,293742,363440,482394,533015,520453,676470,,799462,843106,920678,1080171,1031207,1093594,1211136,1230676,1024543,1552914
610910,"T-shirts, singlets and other vests of cotton, knitted or crocheted",217825,221902,212173,248724,219331,233716,256142,284576,268212,338788,,751407,859329,911514,1067847,1142849,1076741,1245442,1386020,1303431,1486337,,4176238,4122999,4081733,4196706,4015513,3931103,4241042,4542953,3637117,5313824
721049,"Flat-rolled products of iron or non-alloy steel, of a width of >= 600 mm, hot-rolled or cold-rolled ...""",0,0,174,15524,158708,101144,290795,104322,30514,335663,,55150,61419,116925,135325,323575,476915,592544,470426,492149,1939934,,1343031,1346466,2156672,1943140,1594175,2038715,1829184,1358289,1048913,2433531
854370,"Electrical machines and apparatus, having individual functions, n.e.s. in chapter 85",866,3023,16416,28308,58580,53448,46744,97211,236692,323397,,13201,16236,25315,27380,38259,64876,129488,112917,237914,679531,,5347776,5555755,6159935,7233384,7382348,7548836,8099793,6751480,6499745,9420558
853120,"Indicator panels with liquid crystal devices """"LCD"""" or light emitting diodes """"LED"""" (excluding ...""",376,349,1160,11759,54100,99789,141494,307035,299001,312526,,422,175,668,514,2007,127,1423,4521,9166,357487,,1035154,1047508,1282855,1266310,1290416,1376778,1417985,1192784,1018536,1302830
850140,"AC motors, single-phase, of an output > 37,5 W",8638,11596,8463,13626,10801,7100,6764,31916,197501,298859,,37575,50264,51521,50679,64762,56514,83674,145950,277361,379462,,1361433,1437411,1546533,1474175,1386252,1486473,1596112,1500462,1557714,1939769
650500,"Hats and other headgear, knitted or crocheted, or made up from lace, felt or other textile ...",117076,125956,143346,177128,198990,203604,194398,224549,239079,298805,,156150,178382,205040,229845,262141,254537,283759,323883,317914,544700,,1405127,1365016,1515538,1723284,1708971,1787898,1947416,1867360,1617053,2120050
940130,"Swivel seats with variable height adjustments (excluding medical, surgical, dental or veterinary, ...",2102,1785,2119,2762,4164,4047,3385,6925,160474,291549,,1375,1185,1584,1714,1854,1907,2201,5681,124858,294734,,940742,1014184,1088047,1141221,1116008,1170843,1285304,1208954,1491407,1643739
852852,Monitors capable of directly connecting to and designed for use with an automatic data processing ...,0,0,0,0,0,11400,43696,86685,214653,283176,,0,0,0,0,0,0,6745,33425,256531,1289749,,0,0,0,0,0,5496265,5651546,6124508,5849909,7833725
620520,"Men's or boys' shirts of cotton (excluding knitted or crocheted, nightshirts, singlets and ...",190962,228338,259721,285757,307621,317286,331292,337365,246540,276742,,330169,442998,563243,590874,623384,655973,730842,721440,514661,644468,,2953151,3154537,3200864,3164538,2954594,2694759,2757216,2578321,1556229,1540799
611241,"Women's or girls' swimwear of synthetic fibres, knitted or crocheted",58230,62977,64106,92161,99443,128909,153243,190749,188082,268082,,38937,67724,100315,114887,122192,142936,197237,279640,253154,388061,,759202,819896,851849,905173,859791,916359,926622,868726,626763,880059
630790,"Made-up articles of textile materials, incl. dress patterns, n.e.s.",27560,35005,39112,42899,45986,53727,60709,96988,814712,265224,,258742,339419,475214,553920,526194,483546,546053,670926,1916873,818840,,3163732,3230024,3422109,3750713,3879461,4013972,4280808,4627138,19825849,6598213
844332,"Machines which only perform one of the functions of printing, copying or facsimile transmission, ...",243377,254171,243454,225403,191713,172229,179041,199744,184872,262520,,1235520,1218803,1190505,1181063,1156814,1465910,1410023,1137962,953660,841020,,2421250,2458196,2585143,2418127,2303637,2179147,2177700,2096052,1729036,2174973
392690,"Articles of plastics and articles of other materials of heading 3901 to 3914, n.e.s (excluding ...",47294,46798,59911,67122,65855,90843,100056,138135,197067,262374,,333801,355892,438673,486320,520451,562645,667630,750748,817782,1042662,,5675487,5906734,6269066,6677328,6707960,7387174,8219633,8721334,9164364,11202232
850720,Lead acid accumulators (excluding spent and starter batteries),68321,67408,84954,79415,63639,63672,93337,175973,216996,260879,,312087,348723,433029,399594,413398,491690,621269,693858,747407,821922,,884420,889709,928337,853593,835779,900171,1093392,1017665,954626,1159569
721061,"Flat-rolled products of iron or non-alloy steel, of a width of >= 600 mm, hot-rolled or cold-rolled ...""",0,174,484,3255,40566,92741,138786,51149,34913,260046,,221558,344819,331719,174894,200719,324608,508578,287982,372206,916197,,417868,481761,695001,601482,571240,747523,640843,391102,346001,961320
611120,"Babies' garments and clothing accessories of cotton, knitted or crocheted (excluding hats)",57788,82267,110839,140468,129128,155983,153591,173629,190469,258973,,47202,84484,118594,111895,145883,190148,181899,192951,227491,335581,,1570925,1648041,1633628,1719822,1576404,1605457,1656389,1582551,1340095,1853278
90111,Coffee (excluding roasted and decaffeinated),587875,448914,460449,329554,475001,496952,377871,266145,252971,254385,,3507401,2513198,3267706,2341585,2967118,3007675,2811711,2135113,1886972,2233123,,5529736,4362119,4888415,4826276,4531993,4909235,4414278,4384263,4210140,4946324
940179,"Seats, with metal frames (excluding upholstered, swivel seats with variable height adjustments ...",10467,13901,13559,16245,24984,37524,65367,110049,163165,251987,,92555,102729,140381,137362,134464,173010,205835,246776,270132,557072,,1986479,2165815,2278149,2423700,2321294,2571994,2789749,2382237,2596942,3540292
851770,"Parts of telephone sets, telephones for cellular networks or for other wireless networks and ...",31742,56853,60067,110558,166815,148085,184489,190651,190491,235442,,2341127,1762614,2073874,5016965,7210675,15847655,18126229,17517831,20864755,28074784,,5801012,5866897,5481360,5034372,5355597,4992703,5787983,4721195,4079556,4331619
610711,"Men's or boys' underpants and briefs of cotton, knitted or crocheted",205346,265345,284960,282353,263289,238056,248727,210469,170952,231159,,249217,297620,300474,304884,319988,291815,290653,259150,225299,351006,,829953,974383,951276,981967,900128,842449,881014,881809,684031,954066
940540,"Electric lamps and lighting fittings, n.e.s.",6993,7784,8123,8941,6891,6111,8875,42035,145079,229982,,11894,24197,68479,74258,62634,79079,103987,92389,210063,266017,,3012076,3452664,3702648,4000092,4368985,4580023,4756293,3744284,3401225,4119771
621040,"Men's or boys' garments of textile fabrics, rubberised or impregnated, coated, covered or laminated ...",113879,122348,142524,178165,160488,175254,180580,237435,192973,227241,,155231,215321,303777,271886,306041,350045,406276,455029,365156,593168,,523794,534181,627989,711735,635860,626967,643938,738125,542420,671502
610822,"Women's or girls' briefs and panties of man-made fibres, knitted or crocheted",15686,25964,24196,35350,50077,82855,88387,127955,157441,223687,,35750,44270,47506,49507,85122,168531,216488,292585,260934,395510,,669979,811567,769115,865670,892543,908183,796762,791991,682059,1033689
940389,"Furniture of other mareials, including cane, osier or similar materials (excluding of bamboo, ...",11528,18817,24297,39852,51223,72712,100214,139240,189745,223068,,37518,42325,41398,53019,80646,132399,124845,148951,281340,278652,,549178,611286,693264,822231,865221,983972,1176153,1045631,1041557,1352205
610520,"Men's or boys' shirts of man-made fibres, knitted or crocheted (excluding nightshirts, T-shirts, ...",171779,193225,232189,265534,259484,273345,281526,293281,192376,216698,,181742,201010,213094,248033,294697,358643,356338,385959,290231,417989,,719541,768267,842966,920239,884031,888219,901559,948599,683104,811043
