Product code,Product label,Russian Federation's imports from Germany-Value in 2012,Russian Federation's imports from Germany-Value in 2013,Russian Federation's imports from Germany-Value in 2014,Russian Federation's imports from Germany-Value in 2015,Russian Federation's imports from Germany-Value in 2016,Russian Federation's imports from Germany-Value in 2017,Russian Federation's imports from Germany-Value in 2018,Russian Federation's imports from Germany-Value in 2019,Russian Federation's imports from Germany-Value in 2020,Russian Federation's imports from Germany-Value in 2021,Germany's exports to world- ,Germany's exports to world-Value in 2012,Germany's exports to world-Value in 2013,Germany's exports to world-Value in 2014,Germany's exports to world-Value in 2015,Germany's exports to world-Value in 2016,Germany's exports to world-Value in 2017,Germany's exports to world-Value in 2018,Germany's exports to world-Value in 2019,Germany's exports to world-Value in 2020,Germany's exports to world-Value in 2021,Russian Federation's imports from world- ,Russian Federation's imports from world-Value in 2012,Russian Federation's imports from world-Value in 2013,Russian Federation's imports from world-Value in 2014,Russian Federation's imports from world-Value in 2015,Russian Federation's imports from world-Value in 2016,Russian Federation's imports from world-Value in 2017,Russian Federation's imports from world-Value in 2018,Russian Federation's imports from world-Value in 2019,Russian Federation's imports from world-Value in 2020,Russian Federation's imports from world-Value in 2021
732690,"Articles of iron or steel, n.e.s. (excluding cast articles or articles of iron or steel wire)",233219,250371,225415,143664,147536,185207,207960,200865,189318,194150,,4523831,4725678,4958217,4244912,4208534,4695113,5194621,4866828,4528465,5435115,,1206149,1256131,1286328,760066,798082,990657,1103367,1175011,1132987,1298789
870850,"Drive-axles with differential, whether or not provided with other transmission components, ...",116714,143870,133601,62968,97308,131293,151000,150378,142875,188185,,4297189,4602811,4609198,3830840,4061509,4621812,4967479,4657305,4132646,4937326,,701435,735007,602048,238559,287357,437578,515719,519442,489933,784472
847989,"Machines and mechanical appliances, n.e.s.",199540,312764,296091,177027,136886,165419,215314,149765,140336,169815,,7312247,7307891,7783399,6907270,7232855,8794751,10076088,10270393,9051937,9663199,,1072000,1495391,1096813,742760,788874,869978,960527,917448,992239,1208468
300219,"Immunological products, n.e.s. (code possibly empty, preceding subheadings seem exhaustive)",0,0,0,0,0,52311,66740,170978,155303,169585,,0,0,0,0,0,1626,1035,1073,305,830,,0,0,0,0,378,176145,220552,520539,601107,797634
392690,"Articles of plastics and articles of other materials of heading 3901 to 3914, n.e.s (excluding ...",159501,169476,143019,105184,104392,133147,154524,158944,150105,169489,,6551278,7262543,7650645,6734572,7139189,7873496,8726515,8544417,8516227,10142339,,1012511,1061856,978112,634268,674112,828434,944700,1025419,1052490,1299675
871690,"Parts of trailers and semi-trailers and other vehicles not mechanically propelled, n.e.s.",103265,105792,107914,47509,70193,128032,141058,139630,128317,167579,,1636518,1719307,1883168,1588127,1609585,1822201,2000343,1862413,1751917,2261896,,196194,218389,200282,111182,152191,241728,287220,290523,296667,415782
220300,Beer made from malt,37926,42761,49565,32052,35916,64567,108428,125178,152476,161260,,1372427,1372613,1429575,1264635,1311407,1291051,1378517,1350889,1288869,1395649,,225540,210916,199729,110650,126699,195143,287427,323881,369283,415251
870899,"Parts and accessories, for tractors, motor vehicles for the transport of ten or more persons, ...",122039,119409,101606,53158,62035,106941,126814,120244,103282,140241,,7545250,8084557,8510030,7652388,8002705,8861842,9219583,7979540,6834006,8266138,,1129762,1232308,1103632,627279,762556,1080766,1173456,1122782,966021,1299081
390410,"Poly""""vinyl chloride"""", in primary forms, not mixed with any other substances""""",148312,138858,134058,99593,96799,96972,89360,100844,101664,136454,,1194153,1211308,1236540,829495,819766,938339,959525,935292,865888,1364256,,618857,572632,504526,229504,229817,178475,141945,191569,169389,310280
382499,"Chemical products and preparations of the chemical or allied industries, incl. those consisting ...",0,0,0,0,0,125725,130593,114025,113379,130614,,0,0,0,0,0,4627693,5187104,4880465,4721959,5741167,,0,0,0,0,120,538344,594462,598317,598458,677353
271019,"Medium oils and preparations, of petroleum or bituminous minerals, not containing biodiesel, ...",304006,216850,177608,94331,96342,106779,126107,102313,110145,129181,,11077530,11744069,11926461,7920472,6560835,6963156,8062675,7597789,5859272,8883211,,1554385,1232255,1050610,672940,660576,807935,836891,827896,934802,1296976
300450,"Medicaments containing provitamins, vitamins, incl. natural concentrates and derivatives thereof ...""",108943,114311,113171,75889,66899,81286,88148,105312,63114,116756,,662131,695926,718411,596239,571163,671877,661531,595377,585723,680289,,260309,291617,287778,203818,191652,299251,278500,323405,230279,327630
842710,"Self-propelled trucks fitted with lifting or handling equipment, powered by an electric motor",82421,94606,83231,51221,72790,78256,97748,79107,81864,114532,,1775533,1928154,2079995,2022495,2171881,2565335,2898151,2865658,2449162,3017579,,179363,194798,164298,89270,143893,169280,199490,174627,188336,268412
330210,"Mixtures of odoriferous substances and mixtures, incl. alcoholic solutions, with a basis of ...",87756,91886,85431,65305,68323,74470,84809,86612,96311,113053,,840632,928327,941743,818730,859749,965725,1072221,1097154,1120546,1289617,,431632,468071,439547,279346,280029,308366,344347,341590,375261,459453
841370,"Centrifugal pumps, power-driven (excluding those of subheading 8413.11 and 8413.19, fuel, lubricating ...",183641,247819,184111,129932,90389,115825,95628,109766,103363,111947,,2192224,2422737,2322748,1798550,1726886,1852636,1913348,1839572,1868641,2175457,,1041080,1227805,1018169,625921,626080,705117,611561,661417,631998,788057
848340,"Gears and gearing for machinery (excluding toothed wheels, chain sprockets and other transmission ...",87502,93027,88588,58484,79736,73289,98010,102472,98972,111772,,3915544,3669110,3943710,3184480,3251395,3397722,3770321,3535198,3292551,3727968,,272872,280108,266167,179029,234149,270783,321744,331951,330842,389152
391990,"Self-adhesive plates, sheets, film, foil, tape, strip and other flat shapes, of plastics, whether ...",104448,104532,95973,64622,83400,93341,102388,91895,86834,109833,,1639292,1733816,1878398,1731924,1803687,1981517,2015238,1739114,1720954,2020785,,289546,279366,298577,192830,223609,253969,299188,303930,318383,397163
847910,"Machinery for public works, building or the like, n.e.s.",186773,134557,131280,44559,56632,87218,107135,90549,112876,109438,,1145008,1167097,1217106,1103635,1272259,1494437,1627233,1285822,1228499,1569693,,412322,299277,301022,115556,100398,154542,187182,163066,184682,193126
870870,"Road wheels and parts and accessories thereof, for tractors, motor vehicles for the transport ...",238348,238472,167065,85714,83929,97233,122709,116807,81690,109116,,2099212,2185635,2280497,2067879,2137193,2428064,2628525,2534310,2192679,2587597,,1268997,1262917,1057654,516159,555924,711455,853673,827839,673752,925705
842952,"Self-propelled mechanical shovels, excavators and shovel loaders, with a 360¡Æ revolving su ...",115985,92185,45008,20228,33069,56085,85193,63564,53081,105780,,1973945,1729291,1600563,1332114,1312213,1679643,2030369,1959109,1677392,1973543,,1404925,1100755,683152,172006,231937,617193,679585,678692,547437,1100474
840999,"Parts suitable for use solely or principally with compression-ignition internal combustion ...""",75669,99508,111205,70791,89148,109909,122668,94453,85266,101172,,8046666,8472289,8943564,7914681,7432974,7982530,8356466,7733645,6504443,7837467,,423510,407105,331655,242233,300232,406613,443941,402938,391173,514522
180690,"Chocolate and other preparations containing cocoa, in containers or immediate packings of <= ...",35736,36297,59863,48462,42182,61168,74392,94762,93489,98340,,1766969,1928747,2166157,1869194,1971822,2079419,2210656,2148689,2140446,2321509,,647998,545268,413156,206226,193057,267192,293380,309359,293690,321057
870324,"Motor cars and other motor vehicles principally designed for the transport of persons, incl. ...",780715,695742,584000,444828,255356,238045,212049,160495,67679,98261,,25610269,24337337,23652624,20546139,12635772,11133488,11728888,9563592,7098435,8647351,,3305970,2687465,2313114,1306391,1342013,1168387,1326764,1280240,805144,1261525
841960,Machinery for liquefying air or other gases,0,4929,20910,447,48862,99523,104312,71380,8368,97938,,192835,273771,343198,313247,48532,88250,135530,68398,45296,22626,,3938,17987,59160,662542,4784876,4553862,261993,141757,99338,1297424
390690,"Acrylic polymers, in primary forms (excluding poly""""methyl methacrylate"""")""""",74860,90736,86538,63479,65206,77319,76454,80901,76462,97594,,0,0,0,1935213,1863057,2046391,2212387,2052594,1891953,2420019,,366570,398919,395603,308569,303430,355638,398475,411545,369354,446789
401699,"Articles of vulcanised rubber (excluding hard rubber), n.e.s.",50381,57332,49824,41893,45243,50323,53772,52480,51575,97411,,1884273,2077552,2202756,1839739,1884004,2069083,2228784,2162686,2092353,2389592,,258835,274460,252618,194783,228831,292373,313844,333212,329973,466818
293712,"Insulin and its salts, used primarily as hormones",3008,145144,131743,121198,13848,34420,75809,115650,112947,95647,,5052,1771,3052,8993,6558,3434,4053,3639,7109,11667,,10115,150574,144052,128761,22826,40513,106658,162528,161394,133968
870880,"Suspension systems and parts thereof, incl. shock-absorbers, for tractors, motor vehicles for ...",166089,147198,115151,60323,64720,88290,91630,77828,75294,95570,,2550558,2630973,2766623,2564967,2904907,3390781,3726511,3465536,3089029,3693753,,1162277,1203506,997392,544015,636303,862331,929662,885118,729110,1032844
300439,"Medicaments containing hormones or steroids used as hormones but not antibiotics, put up in ...""",105674,87883,101280,72245,80318,79350,95854,113350,67907,94938,,2194458,2636451,3071293,2332638,2404611,2209702,2594647,2724016,3572173,4638580,,496658,505894,504853,362293,380826,406157,394064,575452,295505,450795
843290,"Parts of agricultural, horticultural or forestry machinery for soil preparation or cultivation ...",58880,67065,61442,33237,60564,68529,63047,55490,66882,94191,,357370,402744,393782,339910,380978,458546,480133,456594,484077,605413,,152984,156926,145236,82107,133923,149062,144094,143825,171638,247783
847982,"Mixing, kneading, crushing, grinding, screening, sifting, homogenising, emulsifying or stirring ...",142033,74961,51222,28972,50323,134627,107597,54367,31978,91617,,1245997,1170841,1171668,1058866,1045531,1207732,1363219,1468772,1423109,1581254,,264363,209104,195414,121486,141471,320999,218827,170958,196730,270576
730890,"Structures and parts of structures, of iron or steel, n.e.s. (excluding bridges and bridge-sections, ...",170399,176751,144152,77351,65397,81953,89440,60014,72100,91055,,2916628,3309171,3270553,2764012,2616991,2890761,3097105,2825444,2604640,3333192,,818995,890169,727516,368792,327622,445412,433135,600952,482049,560161
843351,Combine harvester-threshers,13742,37687,18556,8078,11887,31893,37569,24784,49304,90722,,1107489,1209447,1015911,857187,841211,1014966,1128204,923463,933527,1344511,,97010,278294,161914,41048,31475,89728,88162,63657,79297,167186
870830,"Brakes and servo-brakes and their parts, for tractors, motor vehicles for the transport of ...",161981,157749,121780,71377,75507,92813,95813,95654,81289,90541,,4327445,4702837,4772163,4241122,4443312,4714807,4888225,4584131,3821207,4750272,,761389,833227,787442,522710,585744,704115,760171,761787,684660,909764
870120,Road tractors for semi-trailers,678589,290534,223118,42381,57925,224669,187020,113792,82987,89811,,5484051,5734134,5999904,5619042,5111936,4915364,5019935,4079114,2903529,3621432,,2166168,1258909,958156,265971,404395,1219084,1168180,849643,641616,950113
842139,Machinery and apparatus for filtering or purifying gases (excl. isotope separators and intake ...,118051,91432,102771,57980,63115,74521,129707,70542,82419,89099,,3483804,3623803,4637208,4534155,4300952,4228754,4549779,4930231,5384905,6640219,,548382,579265,856519,286483,246932,404173,442114,536563,476248,532772
481190,"Paper, paperboard, cellulose wadding and webs of soft cellulose, coated, impregnated, covered, ...",65859,59517,58682,55387,63377,77188,93569,81747,65465,86578,,1333224,1279809,1306086,1126917,1150442,1184505,1406081,1305971,1189870,1407601,,162192,154456,169904,154139,175127,203759,250487,226273,197716,219714
870322,"Motor cars and other motor vehicles principally designed for the transport of persons, incl. ...",300031,244906,113703,36317,59268,83413,93340,103321,74289,85759,,9603099,9794812,10443915,12855544,14154725,12531254,14364180,14447215,12426819,10064280,,1330373,1273543,734585,165500,175336,309082,345580,471388,374100,836299
870510,Crane lorries (excluding breakdown lorries),178646,136232,67433,12028,10630,44965,52959,27795,44018,85118,,2473420,2555178,2432857,2052684,1842465,1925006,2315144,2379957,1803546,2238850,,222643,179394,94137,19409,14338,60048,78409,54160,88038,173949
842240,"Packing or wrapping machinery, incl. heat-shrink wrapping machinery (excluding machinery for ...",162935,141362,150065,70516,85192,89050,95860,80680,92838,84843,,2282063,2449539,2580732,2002669,2059236,2119302,2347986,2266321,2078954,2216375,,436182,422626,430402,237215,250101,309522,364745,350446,349539,337846
842199,"Parts of machinery and apparatus for filtering or purifying liquids or gases, n.e.s.",46806,49023,52391,31359,42996,57280,53440,64725,63589,83684,,2288782,2472761,2632794,2340476,2417329,3010211,3353027,3379445,3539851,3489957,,220149,260617,283753,222101,246084,281702,303585,350246,328420,405179
842230,"Machinery for filling, closing, sealing or labelling bottles, cans, boxes, bags or other containers; ...",179158,181026,180374,74005,65904,88936,104381,96784,60333,83344,,2468700,2750730,2807023,2340382,2421551,2561532,2778098,2805770,2881011,3175385,,415122,405066,402455,195130,202228,283156,286045,300668,239735,247559
843920,"Machinery for making paper or paperboard (excluding dryers and other heating appliances, calenders ...",2547,5675,12975,72289,19984,57875,7337,22439,11268,82385,,256869,204223,310442,282380,229450,242901,228823,170509,225349,271743,,26403,61999,111311,77126,41782,119089,96388,162125,32470,165899
853890,"Parts suitable for use solely or principally with the apparatus of heading 8535, 8536 or 8537, ...",87132,75473,72447,49585,56551,66373,78550,76111,75456,80976,,5101781,5311843,5595013,4517879,4468555,5052566,5666797,5251280,4870119,5721908,,270279,284821,257883,188819,209541,272197,293501,288842,297017,338597
392190,"Plates, sheets, film, foil and strip, of plastics, reinforced, laminated, supported or similarly ...",71768,76682,76106,72384,72930,82220,88043,85343,78373,80168,,2029171,2153823,2251892,2066430,2026205,2119536,2269356,2081886,2001898,2416157,,501166,511469,491675,393317,414689,477718,519196,494061,464094,563871
300212,Antisera and other blood fractions,0,0,0,0,0,80487,91861,92181,70321,79855,,0,0,0,0,0,5358113,5138299,5884279,6326943,7034236,,0,0,0,0,63,551448,567213,522784,433126,472131
382200,"Diagnostic or laboratory reagents on a backing, prepared diagnostic or laboratory reagents ...",69924,66535,61125,34335,30748,44217,51326,59679,58460,77843,,3935982,4153392,4193187,3837821,3954412,4270507,4410175,4269939,5482884,6479369,,219140,271066,252721,163530,169401,212861,249431,296326,349344,405034
870710,Bodies for motor cars and other motor vehicles principally designed for the transport of persons,604063,621283,425038,43073,81684,28077,55100,101059,94430,77733,,862894,1017602,687079,321307,419541,418813,341361,472028,398255,545955,,3469408,3742128,2632938,968559,1039501,1327979,1790355,2084068,1431269,1855955
842890,"Machinery for lifting, handling, loading or unloading, n.e.s.",103523,131540,132413,62488,53706,48327,43853,69000,49947,76409,,1724864,1707466,1802102,1679380,1741801,2061877,2449036,2587402,2216741,2625141,,423854,476018,488658,359935,207786,241633,227395,270828,286478,284616
841459,"Fans (excluding table, floor, wall, window, ceiling or roof fans, with a self-contained electric ...",97830,113525,84865,50291,70411,65808,72411,72985,67516,75840,,2027751,2266635,2382891,2115695,2170027,2394681,2731627,2669987,2471658,2793017,,316857,325763,262119,179784,192398,242034,250978,268349,248573,306854
841350,"Reciprocating positive displacement pumps for liquids, power-driven (excluding those of subheading ...",44036,58143,64823,47302,43613,56864,80083,64787,64210,75805,,1935767,1830677,1785272,1505258,1531658,1777411,2130426,2208939,1920684,2315341,,222742,264769,217202,155978,154091,230291,268084,235416,270818,272852
401519,"Gloves, mittens and mitts, of vulcanised rubber (excl. of a kind used for medical, surgical, ...",15914,9935,10302,5403,7124,6572,10764,15024,30466,74814,,107907,133478,122091,108471,101887,109294,119826,112352,173241,248437,,128186,114986,120207,82505,110077,126695,147288,169679,264269,440941
340290,"Surface-active preparations, washing preparations, incl. auxiliary washing preparations and ...",42172,47225,42446,33792,47752,70858,67068,84824,71778,74084,,820216,889801,979520,889213,964495,1033713,1087586,1030468,1005853,1152384,,130272,154527,199155,113608,139996,167321,179480,190687,181671,190692
840734,"Spark-ignition reciprocating piston engine, of a kind used for vehicles of chapter 87, of a ...",320619,344001,294264,84219,50873,55072,86115,99289,57396,73808,,3594595,3798294,5269216,5136308,4673897,4782559,5021862,4544179,3909873,4822578,,2139304,2363641,2027817,939908,819794,1071527,1193538,1288993,1130462,1311111
842649,"Mobile cranes and works trucks fitted with a crane, self-propelled (excluding those on tyres ...",83303,40667,36350,4222,53348,28297,28409,24219,19905,69822,,621235,621075,759104,626581,498677,498779,422774,500719,401399,542687,,189166,107087,107823,46683,104851,58143,72154,50995,68421,142384
390950,"Polyurethanes, in primary forms",56035,56369,58391,42464,45090,61367,68954,61816,58825,69109,,1270378,1380328,1458058,1308764,1400566,1617527,1709888,1537406,1446058,1860727,,140238,148259,149649,109421,116287,154084,175438,162973,157900,202989
481013,"Paper and paperboard used for writing, printing or other graphic purposes, not containing fibres ...",16929,46119,50973,30454,38184,51853,62921,57026,60288,68394,,687108,587971,603330,531022,587716,652676,714887,732071,670529,763682,,60385,91830,90210,54230,63783,83445,97553,91427,88643,100267
842123,Oil or petrol-filters for internal combustion engines,49839,57681,59877,46351,46178,53046,56602,57187,59887,67584,,944324,1047425,1077160,943381,956917,1030196,1036629,1100507,1039968,1411683,,241554,251971,244924,189705,206322,246790,263503,263272,263695,339642
847720,Extruders for working rubber or plastics,83885,107408,60394,93572,33291,130511,67343,58652,57700,67291,,766469,908578,817671,853290,673206,771306,790779,826403,987447,835317,,242370,298059,188649,219229,121728,637454,351457,173423,192834,247970
350691,Adhesives based on polymers of heading 3901 to 3913 or on rubber (excluding products suitable ...,74950,80299,80670,61196,63047,66635,66956,58745,57905,66991,,1339833,1418743,1524868,1330425,1331186,1516301,1641790,1546394,1558570,1861434,,153572,159641,152403,114000,123462,138762,152318,141166,146823,170814
903180,"Instruments, appliances and machines for measuring or checking, not elsewhere specified in ...",85259,92884,85684,41846,45335,46848,57744,71336,68339,66259,,4212927,4473189,4628144,4131641,4401058,4724450,5116357,4866369,4146474,4639761,,545154,588914,354367,218815,202182,261789,284103,289546,290206,310839
870893,"Clutches and parts thereof, for tractors, motor vehicles for the transport of ten or more persons, ...",64618,73345,63593,44637,48129,58971,71543,58324,46836,66104,,2390303,2620120,3001634,2740816,2844187,2794705,2867119,2523078,2288789,2819471,,190680,203726,183668,123556,135155,176792,192155,182322,158104,221641
850440,Static converters,80408,96872,93806,43566,47329,52411,61128,71329,65301,64693,,4802695,4763246,5047102,4487542,4594645,5280041,5800438,5957950,7087710,8578880,,1130659,1003220,833069,555480,648280,823539,923771,910749,919290,1127024
830241,Base metal mountings and fittings suitable for buildings (excluding locks with keys and hinges),128668,120099,112853,65333,56893,63942,63319,53722,55462,63505,,1236553,1227635,1250384,1041765,1075955,1143244,1196579,1158881,1156252,1431901,,372291,346017,320797,201505,182608,230543,273535,285146,284253,340636
870919,"Works trucks, self-propelled, not fitted with lifting or handling equipment, of the type used ...",18438,12539,5278,38496,60330,3939,2020,2029,1682,62570,,90351,113805,117153,89445,129688,71612,68340,55400,98367,138621,,27302,24427,13351,45765,70962,21355,6692,5024,18939,71707
850239,Generating sets (excluding wind-powered and powered by spark-ignition internal combustion piston ...,377992,386085,100354,31076,31239,32424,5313,65154,83155,62236,,270693,124600,251509,184270,215393,269607,176997,154001,291706,242583,,1391248,1098653,736495,577916,414789,239150,71831,111138,117305,105644
190590,"Bread, pastry, cakes, biscuits and other bakers' wares, whether or not containing cocoa; communion ...",59258,67861,71179,51974,37101,46069,47217,50859,51641,61834,,2449296,2682244,2652899,2256313,2387867,2552984,2813534,2756173,2912346,3080622,,260783,310771,301604,171856,161378,209530,241858,246184,241512,270851
853690,"Electrical apparatus for switching electrical circuits, or for making connections to or in ...",65348,68408,63928,36513,42619,53307,60300,62474,53209,61005,,3170477,3267671,3507859,3067575,3241037,3534498,3852301,3551559,3449936,4293770,,312192,317215,316906,190626,200914,274568,286468,281724,267003,303690
180632,"Chocolate and other preparations containing cocoa, in blocks, slabs or bars of <= 2 kg (excluding ...",19393,25206,32010,25230,26446,32813,54400,62395,58600,60667,,969121,1066775,1171647,973241,932744,1038248,1097866,1311919,1321643,1411451,,76012,91172,88882,53955,70926,90112,115325,131262,111460,135051
843390,"Parts of harvesting machinery, threshing machinery, mowers and machines for cleaning, sorting ...",109938,91913,79854,32970,49411,72098,52186,42402,40721,60502,,904884,969917,927553,664683,694236,776266,838716,748275,807814,1005147,,308857,233418,192785,98749,134546,167629,139689,126715,129864,174859
850220,Generating sets with spark-ignition internal combustion piston engine,88973,70905,78821,41077,20745,79178,64240,30824,79149,59346,,547177,623189,468992,369692,475756,516565,619888,507513,509477,475808,,370518,392648,506908,213491,174194,291525,231355,321136,342531,349270
850152,"AC motors, multi-phase, of an output > 750 W but <= 75 kW",56133,54825,51013,38662,43693,50335,53968,55642,54495,58705,,1716763,1763621,1903908,1567007,1596444,1808664,1990980,1851028,1765622,2291649,,192235,220508,205185,133105,148184,194250,207060,220458,214176,240808
300449,"Medicaments containing alkaloids or derivatives thereof, not containing hormones, steroids ...""",0,0,0,0,0,77689,71930,121138,83602,58379,,0,0,0,0,0,2171346,2469990,2554643,2337387,1630688,,0,0,0,0,160,321308,267667,382941,296131,227528
870380,"Motor cars and other motor vehicles principally designed for the transport of <10 persons, ...",0,0,0,0,0,0,65,26,19107,57731,,0,0,0,0,0,1555181,1812016,3909260,8471752,15590982,,0,0,0,0,0,465,3117,9065,37601,97439
330290,"Mixtures of odoriferous substances and mixtures, incl. alcoholic solutions, based on one or ...",61784,70006,63444,52338,50675,53168,56912,57926,57450,56416,,951272,1057355,1071424,971869,985117,1038732,1083675,1126204,1123907,1193471,,176236,180330,171827,146341,169570,221431,287353,293660,309985,349467
890392,"Motor boats and motor yachts, for pleasure or sports (other than outboard motor boats)",90,1108,275,35,0,31,411,0,692,56013,,1442705,687688,1170338,1167777,1261945,1968411,905572,876239,1862114,1472273,,83541,94269,43965,65886,12694,41072,19837,26486,66872,120299
