Product code,Product label,"Korea, Republic of's imports from United States of America-Value in 2012","Korea, Republic of's imports from United States of America-Value in 2013","Korea, Republic of's imports from United States of America-Value in 2014","Korea, Republic of's imports from United States of America-Value in 2015","Korea, Republic of's imports from United States of America-Value in 2016","Korea, Republic of's imports from United States of America-Value in 2017","Korea, Republic of's imports from United States of America-Value in 2018","Korea, Republic of's imports from United States of America-Value in 2019","Korea, Republic of's imports from United States of America-Value in 2020","Korea, Republic of's imports from United States of America-Value in 2021",United States of America's exports to world- ,United States of America's exports to world-Value in 2012,United States of America's exports to world-Value in 2013,United States of America's exports to world-Value in 2014,United States of America's exports to world-Value in 2015,United States of America's exports to world-Value in 2016,United States of America's exports to world-Value in 2017,United States of America's exports to world-Value in 2018,United States of America's exports to world-Value in 2019,United States of America's exports to world-Value in 2020,United States of America's exports to world-Value in 2021,"Korea, Republic of's imports from world- ","Korea, Republic of's imports from world-Value in 2012","Korea, Republic of's imports from world-Value in 2013","Korea, Republic of's imports from world-Value in 2014","Korea, Republic of's imports from world-Value in 2015","Korea, Republic of's imports from world-Value in 2016","Korea, Republic of's imports from world-Value in 2017","Korea, Republic of's imports from world-Value in 2018","Korea, Republic of's imports from world-Value in 2019","Korea, Republic of's imports from world-Value in 2020","Korea, Republic of's imports from world-Value in 2021"
290242,M-Xylene,6772,4963,25596,5675,5360,4597,0,1,18803,21469,,117170,81172,62233,35045,42795,16280,60281,15207,45720,34823,,6775,4972,49385,43954,46384,91762,95016,68435,29888,24457
730900,"Reservoirs, tanks, vats and similar containers, of iron or steel, for any material other than ...""",7362,12267,13812,16380,12498,23091,12460,13863,25194,21390,,373381,413737,500156,387375,329388,327097,381793,340554,251753,283178,,74624,106364,128338,112389,98978,97356,72819,100923,108801,132640
390720,"Polyethers, in primary forms (excluding polyacetals and goods of 3002 10)",23528,21046,22805,34540,32596,29977,23914,23610,18946,21263,,1678136,1776013,1870699,1713391,1617062,1620984,1646915,1579363,1462065,1818388,,104636,137370,185740,229315,250286,295106,319336,259039,204249,341610
848790,"Parts of machinery of chapter 84, not intended for a specific purpose, n.e.s.",91844,59152,61243,52547,37542,37505,32812,22386,18876,21212,,651422,673852,770656,594803,601771,649114,708474,663764,548654,775355,,232757,197523,255341,212918,145947,199034,179676,185437,168918,213277
701349,"Glassware for table or kitchen purposes (excluding glass having a linear coefficient of expansion ...""",30967,34827,39068,32420,30864,22993,21158,16240,14371,21187,,134370,136598,149535,133615,129644,113368,100740,92173,77867,88604,,61066,66550,76738,70891,63886,52280,50911,43453,40925,57918
293379,"Lactams (excluding 6-hexanelactam """"epsilon-caprolactam"""", clobazam """"INN"""", methyprylon """"INN"""", ...""",36776,28719,31508,23442,19163,19791,23243,12384,10726,21098,,263387,245390,142454,115407,134719,119571,112029,119786,112399,169306,,71389,71177,101453,106024,113399,103521,140104,125545,134941,196184
340590,"Glass or metal polishes, whether or not in the form of paper, wadding, felt, nonwovens, cellular ...",2848,2879,2527,2809,2025,2283,4073,5089,11971,21087,,262759,258349,278234,231074,242517,274034,287921,271967,298577,346972,,13893,12617,10923,11208,9458,9141,10681,29068,41779,54160
870810,"Bumpers and parts thereof for tractors, motor vehicles for the transport of ten or more persons, ...",3356,4996,6309,8276,6351,9613,13814,12786,13694,21047,,620424,610974,701238,667453,682875,727820,865398,847441,598456,604963,,52492,73008,83514,91544,92243,95210,134103,123434,114490,134397
130219,"Vegetable saps and extracts (excluding liquorice, hops and opium)",12376,13551,13413,12503,13346,13782,12176,13730,16647,20749,,145541,151452,172588,205816,220712,228510,308431,309918,297513,286980,,123036,126463,123799,117318,140940,176295,179496,207708,241098,248431
284190,"Salts of oxometallic or peroxometallic acids (excluding chromates, dichromates, peroxochromates, ...""",2540,750,431,439,351,1221,432,19642,17597,20686,,32078,31336,31263,54135,54432,52340,66722,51129,44403,60210,,256336,238110,339190,286848,259895,558669,624340,891104,645634,1082026
901831,"Syringes, with or without needles, used in medical, surgical, dental or veterinary sciences",12010,10661,12815,18551,21836,24255,23449,21996,16839,20455,,801338,874911,783370,720424,757316,774969,822597,899874,871687,923524,,31854,31865,37062,44293,48154,55343,56173,67195,60901,88033
902610,Instruments and apparatus for measuring or checking the flow or level of liquids (excluding ...,27015,30068,42277,40824,28224,26394,28211,33351,23286,20423,,910453,897215,902208,818772,768361,786839,818326,844664,758846,835703,,133194,172691,183146,184396,177502,166924,153191,163178,152813,185392
740311,"Copper, refined, in the form of cathodes and sections of cathodes",637,345,4820,5698,2,15334,8526,19990,32290,20388,,800352,439716,804436,286226,565158,357441,932290,587072,676501,1405960,,2271340,2111733,2322210,2066340,1831200,1882842,1733119,1386512,1336640,2894728
281000,Oxides of boron; boric acids,43333,41935,33815,32839,30391,24570,26768,25445,21620,20206,,156299,212009,178642,149129,149758,140283,166002,154508,159749,179355,,59975,54758,50889,48465,44575,40156,42709,40920,33652,37240
841410,Vacuum pumps,20277,25555,21224,18724,16095,12513,12128,12773,12748,20174,,286092,308230,312927,298276,324765,303953,343106,367000,335609,376154,,187478,219858,195075,192726,246264,334474,286668,208868,244984,310558
847180,"Units for automatic data-processing machines (excluding processing units, input or output units ...",19819,20225,24619,19077,16310,29065,25023,22547,21187,20090,,2753493,2322930,2288838,2139912,2214884,2529172,2621184,2027001,1967726,2147322,,84639,77087,91777,96530,95137,602011,545335,470442,543763,852757
220299,"Non-alcoholic beverages (excl. water, fruit or vegetable juices, milk and beer)",0,0,0,0,0,16366,19882,18302,16756,20044,,0,0,0,0,0,849577,814467,877178,872848,934469,,0,0,0,0,0,49063,61898,60174,56191,75085
481039,"Kraft paper and paperboard, coated on one or both sides with kaolin or other inorganic substances, ...",15688,17537,21449,17697,17717,19541,18622,13939,18693,19959,,288520,307420,319776,342177,354720,426605,415068,407700,417640,428204,,20123,21595,26525,23893,22389,23079,21990,16303,21216,22734
210610,Protein concentrates and textured protein substances,7705,9831,12648,13049,13429,15521,16743,17178,15860,19882,,562188,755501,848375,766100,727828,779987,804281,879031,873003,922031,,26929,28437,34277,33953,35529,39759,40643,47087,46810,65727
390390,"Polymers of styrene, in primary forms (excluding polystyrene, styrene-acrylonitrile copolymers ...""",14394,10245,10885,14776,16133,18049,21961,20352,16051,19880,,587558,639348,690912,637201,609518,635647,646455,569505,486508,729751,,81696,83397,118498,110112,95071,104280,101659,84638,70590,97518
200899,"Fruit and other edible parts of plants, prepared or preserved, whether or not containing added ...",16199,16134,19961,15104,12459,10006,13116,15536,15077,19767,,167133,172541,181056,199731,189621,195147,222519,231764,182813,183240,,74133,77514,85303,84440,85201,86879,94614,95510,90487,105272
750890,"Articles of nickel, n.e.s.",14352,18180,18450,15804,18465,21276,26147,26103,21696,19577,,383313,449184,504895,457928,383961,380644,649339,891951,614576,684252,,27347,40558,35709,29934,36310,39629,41029,43770,40937,46631
491199,"Printed matter, n.e.s.",7353,6100,6523,8025,9967,10961,15663,8080,7045,19570,,669030,723488,738246,703784,672779,744832,759551,759600,677641,845250,,23983,23700,30608,30463,36236,41364,53773,44582,38776,66663
340213,"Non-ionic organic surface-active agents, whether or not put up for retail sale (excluding soap)",13697,11234,10222,10692,10204,12091,11304,9824,12006,19494,,765458,805474,857479,701940,668455,749443,700354,641387,635340,787913,,79073,72865,77411,75952,82779,87133,90683,88151,93921,128242
170211,"Lactose in solid form and lactose syrup, not containing added flavouring or colouring matter, ...",13993,12337,13184,10518,13948,13212,12293,15878,14187,19425,,329479,373964,332574,224919,215470,275659,252841,289959,318950,403376,,28678,22952,23630,19459,22770,23417,20449,25754,27456,29568
848110,Pressure-reducing valves,9071,9365,13012,16132,17225,22936,19547,13821,18662,19396,,422910,461417,430269,421664,393631,414348,431262,417501,363657,375006,,36141,42784,47648,53594,67937,106461,88903,70124,86256,100090
902214,"Apparatus based on the use of X-rays, for medical, surgical or veterinary uses (excluding for ...",28479,20881,12094,22256,17488,25108,24718,22691,26712,19361,,943004,914316,833768,898963,827830,843782,956962,940818,847152,770881,,85997,71713,63727,68546,68490,68656,83297,80697,96892,86517
210500,"Ice cream and other edible ice, whether or not containing cocoa",3141,4094,3873,3608,3684,4674,5833,8204,14940,19315,,132858,183905,195570,205571,196747,211148,248790,250031,254378,260816,,18375,22385,26804,26443,29935,35015,38533,37827,44988,51811
853210,"Fixed capacitors designed for use in 50/60 Hz circuits and having a reactive power-handling ...""",876,835,995,1026,1002,1676,1477,1571,5467,19218,,71604,60768,64203,67634,61627,65975,63631,51271,49927,55206,,10182,15145,12649,16480,11256,33308,17839,24576,20793,30999
300420,"Medicaments containing antibiotics, put up in measured doses """"incl. those in the form of ...""",11780,11265,12322,10551,14599,17975,16456,19902,20647,19154,,969656,843728,864758,1111751,1205419,849153,831092,782281,780857,737736,,67908,66312,74970,80009,96449,109456,129658,146381,110709,104082
710692,"Silver, incl. silver plated with gold or platinum, semi-manufactured",2006,6605,10985,11316,10735,21611,17485,9002,16181,19082,,553459,556026,359871,150313,439075,302569,249811,261805,486340,756922,,43198,43407,41438,39578,39388,67080,54539,43705,67687,62237
950490,"Tables for casino games, automatic bowling alley equipment, and other funfair, table or parlour ...",8743,11748,11894,14590,18761,30081,44591,36216,30665,19012,,849784,523509,486433,409052,535405,559046,574061,506382,406258,458744,,116582,71467,74585,73037,89277,147616,254659,160236,186172,176317
711011,"Platinum, unwrought or in powder form",8099,11271,35386,45243,9539,15,3971,17,13459,18905,,691670,687774,929182,541273,507910,630650,754190,497717,887440,982929,,152623,136686,149052,122705,54311,81648,49075,65795,113198,172483
850490,"Parts of electrical transformers and inductors, n.e.s.",10131,10572,11064,13635,15234,20131,20124,17938,11324,18767,,582590,586851,587225,551686,517842,552707,566316,534748,501687,510024,,309696,283291,283943,257808,274404,287139,248219,193629,220249,274575
901819,"Electro-diagnostic apparatus, incl. apparatus for functional exploratory examination or for ...",77851,74670,75017,73802,60216,29246,18900,22177,24920,18606,,3564242,3426212,3535393,3301146,3290556,3261618,3332519,3355080,3546856,4015339,,159216,164405,173481,174490,171451,127205,112839,122794,135549,159788
220300,Beer made from malt,6457,6756,7346,9058,9727,17406,34569,33942,34949,18453,,448439,520474,541893,616722,615212,685533,668077,572933,513327,722204,,73591,89663,111636,141771,181592,263092,309683,280881,226920,223100
741999,"Articles of copper, n.e.s.",9046,10852,9246,9155,10025,12958,13902,16688,18324,18418,,220201,218996,234434,228446,213729,210398,219567,215458,179246,221531,,86253,78638,75559,64200,61795,70066,80738,85886,102866,136894
848330,"Bearing housings for machinery, not incorporating ball or roller bearings; plain shaft bearings ...",8450,8793,20319,11719,10155,12765,16856,15880,16026,18259,,734881,786897,822069,809259,776024,816202,889427,908031,832562,932395,,134343,122896,124695,113182,111937,116609,125749,120742,115517,132724
360100,Propellent powders,8649,7744,9550,7643,14674,7424,3964,986,10859,18226,,114142,102358,112190,124335,132003,91119,72441,64008,67766,85504,,11698,15126,16594,15046,21033,10179,7850,5478,15114,24748
731829,"Non-threaded articles, of iron or steel",11346,16306,21811,20586,18005,19724,23879,23477,16788,18215,,394972,427349,454214,428600,432495,484321,503046,478838,402385,449600,,47267,51748,56917,62058,81725,57002,66147,58182,50299,60301
350691,Adhesives based on polymers of heading 3901 to 3913 or on rubber (excluding products suitable ...,26823,28494,28458,29037,19494,18569,21824,18553,14296,18110,,1052760,1042990,1058900,1063517,1033365,1104495,1089048,1054489,996035,1222975,,136237,182759,193311,166562,150392,143660,155375,171828,178372,181108
841330,"Fuel, lubricating or cooling medium pumps for internal combustion piston engine",46048,63492,39144,14159,14572,19613,16098,13371,13514,18102,,1228537,1287941,1433663,1407854,1348765,1430576,1412165,1291100,1113898,1186057,,522055,560049,542691,475939,421454,332569,320254,321846,322255,408647
681389,"Friction material and articles thereof, e.g. sheets, rolls, strips, segments, discs, washers ...",21769,25058,26819,25137,26305,27172,23332,17259,13913,17793,,125770,145979,173645,190622,194073,210961,174846,131787,97164,119123,,27253,31159,32718,30453,31071,33097,28968,21212,15916,20534
853400,Printed circuits,23409,21138,30257,26654,26890,24984,22229,16981,17639,17787,,1748508,1769302,1980226,1727340,1858366,1752486,1592217,1283166,1190302,1207965,,2696679,2818361,2583840,2375745,2173989,2397242,2228141,2255671,2361354,3098227
180620,"Chocolate and other food preparations containing cocoa, in blocks, slabs or bars weighing > ...",12457,14881,17914,18810,17204,16676,17439,16138,15220,17711,,234048,241630,265180,277448,301013,312757,286048,304295,277914,343022,,84493,89901,105891,85236,83640,80894,83547,83617,85398,104829
380110,"Artificial graphite (excluding retort graphite, retort carbon and goods of artificial graphite, ...",34945,106338,84758,45130,23981,38547,20585,16680,16308,17690,,160406,197939,208551,164364,133303,179398,215860,167270,109514,127269,,267664,301237,283311,233544,139382,169974,207766,210377,173339,196762
840910,"Parts suitable for use solely or principally with internal combustion piston engine for aircraft, ...",1775,1437,2365,6554,2373,9390,3680,3416,5360,17647,,47688,43630,76625,67263,56596,65440,85694,81872,59935,69428,,2819,2228,3233,7468,2951,10822,6019,4197,6981,20875
730729,"Tube or pipe fittings of stainless steel (excluding cast products, flanges, threaded elbows, ...",6705,8769,10537,8330,6809,6326,6663,10388,14428,17593,,258710,268585,270781,243691,236471,261334,284076,284305,273027,321030,,39170,48301,51389,46990,44281,60376,60493,61227,71407,80876
731816,Nuts of iron or steel,33413,37706,30741,26321,24234,24588,28057,31776,24644,17577,,627723,691178,744285,768882,784306,685642,680308,691148,564272,619828,,133257,136194,127298,119746,107791,113294,133292,125696,114096,129982
841869,Refrigerating or freezing equipment (excluding refrigerating and freezing furniture),46919,35371,45099,34520,40770,40292,31891,30932,27723,17517,,1228774,1321118,1250161,1421973,1355786,1448411,1497688,1525128,1165972,1333448,,83003,86080,103761,74293,122909,93169,89449,100676,100548,122999
848130,"Check """"non-return"""" valves for pipes, boiler shells, tanks, vats or the like""""",11696,7925,12166,14645,14457,12354,12545,15270,15201,17499,,391376,459547,499128,450306,456836,479170,514791,509468,454488,506297,,42883,49475,86747,69413,71307,57383,61384,64895,54036,66732
854790,"Insulating fittings for electrical purposes, of materials other than ceramics or plastics; ...",13599,16322,9788,10709,5874,7217,8752,8630,11001,17289,,153795,166298,183643,175577,177053,208563,250847,254422,396968,285041,,45440,58726,60423,33657,33865,37308,48679,54741,64014,84151
200819,"Nuts and other seeds, incl. mixtures, prepared or preserved (excluding prepared or preserved ...",9383,12097,14432,12229,11411,13941,13572,13837,13283,17192,,484192,563502,613741,895068,666781,631414,786869,723840,734492,888542,,60320,87726,114479,94180,96655,102358,134757,133368,127361,143475
340600,Candles and the like,8979,15640,29730,25888,14065,14048,14028,11559,12733,17189,,246456,284187,292192,364371,325803,278928,214015,201772,199565,271189,,19945,28273,46649,44181,30801,33184,35169,30202,33578,44285
880390,"Parts of aircraft and spacecraft, n.e.s.",3566,11141,11733,3216,5488,1563,5025,8737,1624,17159,,413521,535688,581963,523383,353204,345209,696276,603784,500633,522919,,47235,30371,27267,25415,41851,9628,9443,26100,6684,39883
293211,Tetrahydrofuran,32735,16799,10666,15891,5599,11092,6193,24262,17944,16962,,60799,30089,31544,33684,18047,25235,23687,38052,30879,37825,,110520,108547,80255,61396,51441,64306,63275,52592,40503,109248
842490,"Parts of fire extinguishers, spray guns and similar appliances, steam or sand blasting machines ...",18662,21550,19977,23322,14654,16606,15066,18073,16367,16804,,855771,797742,948932,827761,840836,884359,928901,873669,867882,973519,,102508,110067,105429,108774,92589,112191,99456,99342,100283,102673
841459,"Fans (excluding table, floor, wall, window, ceiling or roof fans, with a self-contained electric ...",13898,19174,17828,17003,13825,16425,15840,18697,17372,16728,,952632,1080329,1091098,1013674,1048642,1049526,1126122,1101947,951951,1092865,,177042,203053,215654,213600,186696,266787,305450,301182,303109,364934
701939,"Webs, mattresses, boards and similar nonwoven products, of glass fibres (excluding mats and ...""",12264,15135,17550,25967,27656,29453,28418,22328,22752,16722,,316925,369194,403493,332387,299972,303801,355429,335708,303430,348269,,34678,42960,44908,51392,53738,55639,51089,41307,40345,42672
80290,"Nuts, fresh or dried, whether or not shelled or peeled (excluding coconuts, Brazil nuts, cashew ...",3331,3825,5108,5760,6993,11687,11097,11829,11942,16692,,535119,404483,512927,536504,548487,692210,578993,519282,493454,461144,,3431,4029,5365,5946,7934,12497,15685,12211,12228,17174
902129,Dental fittings (excl. artificial teeth),26400,19445,17770,16635,24841,19500,19294,20744,14470,16675,,414468,456838,425802,387905,393385,478377,535586,747386,497228,617243,,63036,50150,49038,50361,59545,56925,58725,61882,53285,59572
120925,"Ryegrass """"Lolium multiflorum lam., Lolium perenne L."""" seed, for sowing""""",8705,8626,5471,3887,2455,2334,2837,14081,14093,16661,,72018,78273,76796,71641,76180,105596,98720,98661,96588,100754,,9148,9041,5471,3887,2455,2334,2843,14185,14189,16661
848420,Mechanical seals,4972,9614,12969,8998,10398,16389,44452,27907,12201,16614,,266408,282746,321422,332351,304328,344068,351659,358544,461272,702515,,41398,56155,58397,49227,57408,63699,88275,65369,53364,63500
901580,"Instruments and appliances used in geodesy, topography, hydrography, oceanography, hydrology, ...""",15058,29229,18829,19463,20222,17319,18262,14831,13557,16263,,1507588,1657429,1512861,1145621,869128,977889,1105915,1094255,819107,881721,,42340,65470,53835,52546,50440,52342,53012,57672,66968,95445
390230,"Propylene copolymers, in primary forms",7306,10911,13858,13783,14076,17232,16968,14502,11346,16116,,1319162,1369267,1395207,1176681,1152593,1293602,1459597,1364827,1155823,1720507,,32902,41427,46703,41277,45516,50881,55146,50695,45123,64444
851680,Electric heating resistors (excluding those of agglomerated coal and graphite),30418,22604,26943,26707,31568,19844,29681,27103,18830,16094,,338531,366692,396036,387940,425582,480644,554191,525941,469060,542331,,105068,99153,117952,128041,157990,189112,196215,184855,210352,244216
80540,Fresh or dried grapefruit,11442,11871,13936,18908,16408,17261,15151,15556,18282,16041,,158849,134719,123817,122314,104349,79359,66626,71459,70290,51880,,13749,14396,23554,30008,30031,31395,30374,25922,25423,25036
731029,"Tanks, casks, drums, cans, boxes and similar containers, of iron or steel, for any material, ...",6090,6988,7958,11002,8673,10125,14030,14234,16668,16012,,226555,219605,218380,197832,200588,206862,173529,180204,210485,262697,,74498,77126,81792,89389,93330,105711,121015,112398,110403,121372
380892,"Fungicides, put up in forms or packings for retail sale or as preparations or articles (excl. ...",10535,14351,14413,9308,14088,13743,13618,18266,21836,15991,,574479,742580,855792,684785,534520,570472,614080,563491,644833,764553,,77556,72377,80937,62811,70081,68862,72836,74641,83552,81803
390710,"Polyacetals, in primary forms",11379,10950,12440,14128,14456,13988,14857,13893,13518,15962,,233185,235588,253220,315281,318048,318527,311763,271136,251639,297046,,23348,21224,24430,24947,24953,25089,25140,38943,25397,27665
391239,"Cellulose ethers, in primary forms (excluding carboxymethylcellulose and its salts)",9059,11558,8448,8318,9705,13687,12936,15463,15379,15804,,356647,359233,372195,390854,364658,401643,494416,458870,446208,474052,,32097,35753,33966,34792,38931,43470,48059,53766,52825,53531
840734,"Spark-ignition reciprocating piston engine, of a kind used for vehicles of chapter 87, of a ...",112747,85874,16053,7011,52066,46794,117763,21719,24646,15766,,4712718,4581933,3997508,4084853,5139878,5538932,5416692,5505677,4652309,4346808,,447305,296675,113060,74055,107457,133398,358395,492023,372572,117168
851712,"Telephones for cellular networks """"mobile telephones"""" or for other wireless networks""""",124169,20445,8032,19198,121684,514254,21430,30328,20957,15702,,7358836,9692601,11207537,10493143,9897749,11928140,10510790,10142468,9607005,12636562,,1035993,1038572,1763019,3067955,2885440,5000070,4316703,3778438,4103680,4953186
300510,"Adhesive dressings and other articles having an adhesive layer, impregnated or covered with ...",3944,6732,6676,9154,8494,10188,8365,10400,11965,15682,,304523,341934,350563,384779,390809,370006,386965,427016,408523,506038,,16307,18212,17771,21448,29742,35651,38748,40418,41336,61430
392010,"Plates, sheets, film, foil and strip, of non-cellular polymers of ethylene, not reinforced, ...",9068,12706,15135,18778,16394,20641,18867,20087,21300,15650,,1245831,1308618,1379808,1342796,1375881,1425243,1380923,1323529,1300979,1551115,,160493,170689,175273,186621,183739,202663,210163,223811,240142,259368
900659,Cameras for roll film of a width other than 35 mm or for film in the flat (excl. instant print ...,1092,185,174,227,222,331,218,296,534,15631,,78277,68645,34087,27939,17205,14498,15493,16921,10633,16238,,5647,6079,2516,2874,2686,1356,1376,3051,2864,17767
391733,"Flexible tubes, pipes and hoses of plastics, not reinforced or otherwise combined with other ...",2694,2431,1781,2342,2433,3977,5425,5718,8843,15583,,85110,83282,97390,113067,128175,145079,184290,218389,194086,244591,,7265,6344,5183,5845,6449,10937,17762,13690,20442,28118
350790,"Enzymes and prepared enzymes, n.e.s. (excluding rennet and concentrates thereof)",5692,4151,3147,5734,5354,9262,9828,10644,14236,15577,,436738,499939,621379,677325,677517,717040,673682,740279,802360,1118349,,61519,59904,63944,61157,62825,63236,68919,70295,80495,97386
300219,"Immunological products, n.e.s. (code possibly empty, preceding subheadings seem exhaustive)",0,0,0,0,0,10603,11477,11380,15819,15504,,0,0,0,0,0,1040202,457965,561785,411079,200530,,0,0,0,0,0,13486,15760,18286,20720,21154
902680,"Instruments or apparatus for measuring or checking variables of liquids or gases, n.e.s.",5676,6988,5828,5869,7396,6490,9880,7163,15365,15433,,519330,533203,543510,500853,504434,581851,586094,569824,469418,449100,,37489,44884,48521,53153,63290,58995,67600,59429,62046,78802
40410,"Whey and modified whey, whether or not concentrated or containing added sugar or other sweetening ...",23324,22514,15891,14518,9309,11161,11916,14189,11349,15396,,670001,798975,813507,556109,486072,623842,528476,510005,581977,699065,,66687,60835,57833,46444,38203,42747,40843,46154,41940,52354
30391,"Frozen fish livers, roes and milt",0,0,0,0,0,18026,31391,18437,15537,15327,,0,0,0,0,0,362243,327318,297179,252287,315380,,0,0,0,0,0,113363,122477,109011,91333,113193
381400,"Organic composite solvents and thinners, n.e.s.; prepared paint or varnish removers (excluding ...",21055,23267,20080,19776,14688,22948,24530,9658,8488,15317,,167721,172641,202831,181013,171233,204736,220215,205928,186960,210993,,44754,47390,42618,44098,35568,43461,51262,32859,25994,39039
902000,Breathing appliances and gas masks (excluding protective masks having neither mechanical parts ...,8596,9856,8717,14437,18941,12893,13441,11694,14693,15294,,348776,344603,345183,355866,335925,365990,410987,439025,467881,486957,,18419,22231,19668,28890,41857,36989,39472,32594,37557,30203
901490,"Parts and accessories for compasses and other navigational instruments and appliances, n.e.s.",9481,10468,18892,22914,17176,14906,22177,16947,16777,15285,,317629,351639,403799,426357,390565,416421,449430,428227,304813,340603,,25323,34573,40037,43481,53661,28397,39820,28953,30644,36553
902690,"Parts and accessories for instruments and apparatus for measuring or checking the flow, level, ...",22628,22713,19400,27845,18025,14788,13171,13772,12749,15271,,916106,925021,915456,797156,671101,669528,679995,661090,581566,642860,,154032,167884,109250,116763,104829,114960,104944,95309,85511,104053
853590,"Electrical apparatus for switching or protecting electrical circuits, or for making connections ...",9678,7414,9120,9544,12336,13360,12517,15263,12510,15265,,389853,425543,449740,412253,373431,330103,350555,400187,375036,393054,,49457,71885,48548,47882,47078,62990,65819,70292,71861,73315
291030,"1-Chloro-2,3-epoxypropane """"epichlorohydrin""""""""",12521,11811,21090,20477,12393,9711,21674,9792,11930,15254,,74033,54490,68179,54704,54494,37612,59575,48606,40879,33126,,85804,82576,93212,88757,74937,73909,134963,127321,130822,208209
853620,Automatic circuit breakers for a voltage <= 1.000 V,12879,9489,9807,12938,12506,15256,13981,25736,18761,15230,,734205,728626,731465,627381,556132,519225,588343,584048,574104,703899,,82060,86239,97377,103928,83911,102693,77882,82097,78040,90470
391740,"Fittings, e.g. joints, elbows, flanges, of plastics, for tubes, pipes and hoses",7615,6872,7621,6554,5902,6033,8108,10328,10869,15208,,496276,528124,573119,565753,577000,604844,761738,671173,634836,851462,,65293,68834,74668,62941,68009,83403,82031,70066,87895,106178
852351,"Solid-state, non-volatile data storage devices for recording data from an external source [flash ...",11522,8855,5399,6843,10148,8857,15696,17051,14101,15204,,798724,965277,1126925,1128230,1354028,1691845,2483316,2839086,4594358,5556407,,544187,296300,160466,186581,241865,340951,860048,1152982,1914221,2396090
340490,"Artificial waxes and prepared waxes (excluding poly""""oxyethylene"""" [polyethylene glycol] waxes)""""",15562,17399,16964,13768,16024,14240,16744,17370,15276,15132,,398764,428109,451255,449271,462646,491932,511148,424052,402196,498662,,58660,62740,65579,64222,64543,65109,70638,68288,66848,87038
850940,"Domestic food grinders and mixers and fruit or vegetable juice extractors, with self-contained ...",5180,5247,9116,10033,11850,12684,11456,13115,13834,15093,,292244,371022,384205,420169,369779,388005,393606,312444,312410,501289,,33350,43375,65563,72728,76829,82889,102575,98074,117803,112828
854720,"Insulating fittings for electrical purposes, of plastics",4370,3747,1520,1114,1748,2291,3733,5680,13272,15034,,135211,135619,166221,145761,132524,118339,121712,116422,130703,155518,,43027,36523,24838,16876,19435,33982,54209,64179,79508,106871
200893,"Cranberries """"Vaccinium macrocarpon, Vaccinium oxycoccos, Vaccinium vitis-idaea"""", prepared ...""",1054,4667,9470,11036,9452,10400,10582,10761,11919,15019,,116669,154443,211110,247212,237852,265488,297025,293196,269353,300904,,1054,4750,9802,11339,9669,10565,10643,10767,11924,15031
841940,Distilling or rectifying plant,2009,2825,634,1259,5672,101,19,220,1082,14997,,131062,105975,330269,111098,30631,15541,30413,60647,59803,51148,,60070,46095,17925,46518,15377,31165,34251,17902,25219,44425
440326,"Coniferous wood in the rough, of which the smallest cross-sectional dimension is <15 cm, whether ...",0,0,0,0,0,17253,13609,12306,12123,14993,,0,0,0,0,0,0,5957,11767,6428,7428,,0,0,0,0,0,65560,54703,30346,25391,33059
170490,"Sugar confectionery not containing cocoa, incl. white chocolate (excl. chewing gum)",15102,21014,29827,29389,23407,20566,21016,21209,18494,14946,,427413,482779,519664,513791,521368,534793,545580,508260,437077,529729,,94682,118758,155279,166927,193493,216583,227279,233147,219782,228119
850131,"DC motors of an output > 37,5 W but <= 750 W and DC generators of an output <= 750 W (excl. ...",5531,7289,10068,14183,21064,19173,21850,15624,15628,14920,,464197,502315,597010,614907,730345,860635,844027,807620,812397,783373,,124792,122265,121807,120654,158838,205647,254001,304475,330919,387324
841370,"Centrifugal pumps, power-driven (excluding those of subheading 8413.11 and 8413.19, fuel, lubricating ...",30036,31808,64790,57629,37727,34244,21986,23878,29042,14919,,1604657,1667764,1712509,1491941,1549666,1274848,1303446,1297495,1200436,1339112,,225316,235699,294567,299845,209038,264753,292841,233281,206719,210442
294000,"Sugars, chemically pure (excluding sucrose, lactose, maltose, glucose and fructose); sugar ...",1913,5437,8717,10022,12303,10320,13222,14165,9876,14844,,83700,101088,120764,117781,110788,111651,123429,118681,137726,162833,,22943,20578,23733,30337,35927,33324,36108,33442,33152,42802
280300,"Carbon (carbon blacks and other forms of carbon, n.e.s.)",7644,8773,10575,9877,12003,12998,16854,12842,13177,14623,,334451,322066,342610,286931,262510,311517,367092,320366,249215,336085,,103894,111992,123064,103130,83001,81907,84707,90375,79358,89858
760429,"Bars, rods and solid profiles, of aluminium alloys, n.e.s.",30730,37173,35549,40282,43952,43279,41932,48204,36941,14531,,608604,749044,700492,707302,713289,719914,789987,791732,625588,689957,,68103,69216,60108,73082,76680,81455,90443,109304,101821,67576
220710,"Undenatured ethyl alcohol, of actual alcoholic strength of >= 80%",417,466,1321,2649,5534,4966,7224,6925,8913,14431,,589996,591174,907679,840075,1059335,1493329,1486487,1319168,1173457,1143862,,127013,110139,126847,94850,108066,103824,105693,104589,131725,119496
841239,Pneumatic power engines and motors (excluding linear acting),4153,4198,8300,3858,9004,9661,15445,14299,11908,14297,,149343,179462,180255,183425,187802,181409,198324,208847,146093,144895,,23253,28304,19142,18487,36119,42767,44472,39565,47559,49682
