Product code,Product label,"Taipei, Chinese's imports from China-Value in 2012","Taipei, Chinese's imports from China-Value in 2013","Taipei, Chinese's imports from China-Value in 2014","Taipei, Chinese's imports from China-Value in 2015","Taipei, Chinese's imports from China-Value in 2016","Taipei, Chinese's imports from China-Value in 2017","Taipei, Chinese's imports from China-Value in 2018","Taipei, Chinese's imports from China-Value in 2019","Taipei, Chinese's imports from China-Value in 2020","Taipei, Chinese's imports from China-Value in 2021",China's exports to world- ,China's exports to world-Value in 2012,China's exports to world-Value in 2013,China's exports to world-Value in 2014,China's exports to world-Value in 2015,China's exports to world-Value in 2016,China's exports to world-Value in 2017,China's exports to world-Value in 2018,China's exports to world-Value in 2019,China's exports to world-Value in 2020,China's exports to world-Value in 2021,"Taipei, Chinese's imports from world- ","Taipei, Chinese's imports from world-Value in 2012","Taipei, Chinese's imports from world-Value in 2013","Taipei, Chinese's imports from world-Value in 2014","Taipei, Chinese's imports from world-Value in 2015","Taipei, Chinese's imports from world-Value in 2016","Taipei, Chinese's imports from world-Value in 2017","Taipei, Chinese's imports from world-Value in 2018","Taipei, Chinese's imports from world-Value in 2019","Taipei, Chinese's imports from world-Value in 2020","Taipei, Chinese's imports from world-Value in 2021"
851770,"Parts of telephone sets, telephones for cellular networks or for other wireless networks and ...",809347,1016792,601170,442875,460588,578189,442545,1169568,1306919,1227943,,39594274,47116398,45105066,49585071,48463570,50776282,51951119,47859965,45200289,49192067,,1196710,1381708,911599,740109,732433,886993,632576,1336698,1568006,1574351
850440,Static converters,509717,495154,517533,463737,485870,525396,594940,756309,907589,1109810,,15550632,17613653,18244369,17808018,16465983,17099818,17933786,18436273,20901019,24890780,,844372,799085,849081,753315,797978,867324,981745,1148165,1341871,1644391
851762,"Machines for the reception, conversion and transmission or regeneration of voice, images or ...",246656,305233,330132,354759,457725,460520,541661,664998,741787,998967,,26543598,26879247,28640165,32437464,31987803,36155599,42267557,46600996,48185653,45936899,,563456,668304,695530,699228,1074085,883641,1006859,1192546,1416813,1882044
852351,"Solid-state, non-volatile data storage devices for recording data from an external source [flash ...",857337,817920,453129,308268,355411,471227,466946,572802,716989,915614,,4355967,3306349,3277201,3399893,2785190,2027043,2087114,2282225,2092699,1982517,,1332500,1343417,886475,630992,748402,977151,1085863,1176452,1711229,2006601
853669,Plugs and sockets for a voltage <= 1.000 V (excluding lamp holders),290527,292691,311285,300406,280861,306830,348467,368912,480611,774555,,1647723,1919298,2096278,2113165,2030215,2142812,2285082,2394967,2797690,3270634,,562323,559906,600972,556305,546918,585536,665410,724776,870753,1256270
854442,"Electric conductors for a voltage <= 1.000 V, insulated, fitted with connectors, n.e.s.",202233,211111,224299,233109,234089,265628,307559,368294,438895,615037,,7223812,8389753,10583329,9962815,10239145,10748180,10804906,10380145,11459565,13288557,,282789,300739,311014,312689,325300,366238,422784,523459,593344,830682
853224,"Fixed electrical capacitors, ceramic dielectric, multilayer (excluding power capacitors)",150119,139731,141105,139297,207631,233909,384301,264141,383622,587274,,1912450,4743828,4134589,6193995,2900609,2465935,3179767,2257125,3868696,5082514,,382959,377491,391776,366541,545678,631315,930938,793066,1083012,1591232
381800,"Chemical elements and compounds doped for use in electronics, in the form of discs, wafers, ...",869989,1156007,1486284,1486263,1269759,1033755,723073,428039,384612,584444,,1806044,2100562,2671167,2616412,3216610,3772956,3214479,2605054,2711790,3540136,,2521702,2790158,3292574,3035912,2788016,2960958,3053871,2553086,2661965,3078486
852859,"Monitors, not incorporating television reception apparatus (excluding with cathode ray tube ...",278468,300666,283294,352663,374507,378243,397739,386144,410393,564410,,4430820,5585418,7103636,7471870,8642170,5840526,4633399,5168215,4551795,4670042,,287581,309493,291979,362080,385619,388378,413178,407238,445648,688947
740311,"Copper, refined, in the form of cathodes and sections of cathodes",38118,426315,555454,383426,387550,699772,636978,632449,564765,557282,,2281569,2262617,1872501,1236360,2062561,2054799,1879604,1931594,1291620,2309345,,3351511,3085727,3092407,2588994,2507726,3404272,3003267,2758175,2568578,3789890
854129,Transistors with a dissipation rate >= 1 W (excluding photosensitive transistors),214487,202344,218239,189161,254521,312858,387277,370273,453645,553356,,2541808,4121556,3083793,3224546,3141353,3201159,3542204,3827190,4612890,5603617,,641871,556525,541670,452998,495701,565369,682141,661718,757576,945366
854140,"Photosensitive semiconductor devices, incl. photovoltaic cells whether or not assembled in ...",383052,430891,567850,612767,584765,564779,389035,344401,357937,501411,,17483233,15759176,19389065,22831268,16923149,16469237,18218687,23600450,23843115,29982563,,1221393,1098751,1328129,1434975,1390726,1274702,989660,759028,809945,1008976
850760,Lithium-ion accumulators (excluding spent),0,107,26833,57025,71786,98411,159163,235721,298898,494915,,4464821,4707565,5475430,6493855,6814605,8035482,10821769,13031189,15941002,24963112,,0,138,41300,92374,128540,196465,305151,463055,468368,649412
847150,"Processing units for automatic data-processing machines, whether or not containing in the same ...",114974,159779,152005,158407,152624,169385,227005,458472,482692,459919,,11471275,13800872,17583016,14265263,12934178,16041503,20360989,16774375,15417314,18058442,,296582,371949,485055,435285,442374,637967,772354,820460,914004,1107170
850450,Inductors (excluding inductors for discharge lamps or tubes),146275,161318,171117,173271,185260,201049,223665,212229,266960,402382,,2369382,3288910,3254863,2888664,2624270,2661130,2901203,2897949,2773106,3660486,,248514,280545,275409,271051,371190,410666,409274,372934,493981,694692
853710,"Boards, cabinets and similar combinations of apparatus for electric control or the distribution ...",61281,77644,98554,103062,109274,133552,171630,391794,323191,402017,,3853060,4537319,5152446,5692145,5829079,6422524,7901988,8317032,7717204,8719845,,711789,697247,787817,737454,696263,808606,913509,984843,948980,1271970
871491,"Frames and forks, and parts thereof, for cycles, n.e.s. (excluding for motorcycles)",341248,320858,341101,393221,301395,285878,313710,311241,283011,397428,,945020,933287,1072975,1111809,987604,976937,1157492,1266234,1339722,1975442,,404090,400094,392409,433375,335189,334287,368237,370572,326606,464267
903082,Instruments and apparatus for measuring or checking semiconductor wafers or devices,204896,216267,1027037,279742,365437,300633,214914,154394,593943,390488,,296402,203032,412167,164789,85313,58128,68072,66677,89136,107929,,1639676,1504331,2483971,1541914,1629789,1535082,1848923,1851525,2137078,2463560
382499,"Chemical products and preparations of the chemical or allied industries, incl. those consisting ...",0,0,0,0,0,171620,205776,211092,223977,353138,,0,0,0,0,0,2905595,3538922,3451548,3654255,4966804,,0,0,0,0,0,1471945,1612205,1497734,1545068,1825090
721913,"Flat-rolled products of stainless steel, of a width of >= 600 mm, not further worked than hot-rolled, ...",478625,700196,773441,566288,615518,641632,440625,239684,247779,348434,,804265,1076626,1700938,1300475,1348949,1742911,1431382,782366,561705,977302,,715191,888340,894209,670537,686750,726068,775735,648799,673887,1203443
854160,Mounted piezoelectric crystals,8264,12491,16951,62350,186381,209346,199191,184097,243497,341554,,1073527,1437370,1402028,1189458,1392411,1344180,1270724,1178728,1338979,1616545,,35998,36273,45277,155201,361893,407451,384666,367122,477121,764748
901380,"Liquid crystal devices, n.e.s. and other optical appliances and instruments not elsewhere specified ...",423906,609235,587606,560716,309449,188593,203705,221546,242326,329668,,36431768,36048022,31987218,31191384,26050626,25929096,23426196,21789796,20151248,26007659,,609933,932701,1005308,878665,450307,493144,518692,485372,438637,551337
854110,Diodes (excluding photosensitive or light emitting diodes),227264,197816,219033,207268,220110,248114,254497,208541,224844,328685,,1908403,2508753,2826450,2554477,2055089,2139155,2334318,2377114,2587145,3022485,,392421,350711,360616,372345,381744,402393,423931,339504,378047,506928
392690,"Articles of plastics and articles of other materials of heading 3901 to 3914, n.e.s (excluding ...",138666,125458,132875,125069,128925,145716,172337,197240,237202,321695,,7741569,9386622,10733540,10296608,10631943,10852859,12028108,13978499,17537513,20793443,,414725,391742,418926,393647,417498,460269,504051,533228,617853,747299
702000,"Articles of glass, n.e.s.",15439,147042,296473,286141,196780,243749,178612,201137,304558,312593,,579364,645945,571927,595267,525643,533131,565154,622203,712317,655929,,106432,249140,417102,403940,340792,429011,411371,415510,550479,557067
903090,Parts and accessories for instruments and apparatus for measuring or checking electrical quantities ...,49085,58755,80703,86992,84264,114956,212205,148828,256768,311333,,329377,361721,313020,307512,273884,275312,307294,323383,475513,405915,,577290,637429,744014,901109,1017849,1098679,1355096,1264550,1644104,1858594
901390,"Parts and accessories for liquid crystal devices """"LCD"""", lasers and other appliances and ...""",285507,280922,235717,200044,117502,112599,149833,188897,274839,301641,,1949547,2101424,2118343,2137433,2165791,1749811,1402180,1203714,1333638,1295774,,540761,579394,529818,433603,302574,255963,280990,314726,410953,475055
847160,"Input or output units for automatic data-processing machines, whether or not containing storage ...",74851,67788,66269,68591,120124,149731,145164,194020,235578,295674,,5962127,6100823,6817682,5860399,5483369,4937296,4872540,5062649,7400129,7723280,,85802,76863,74884,77818,132739,159946,156952,206765,249933,304897
950300,"Tricycles, scooters, pedal cars and similar wheeled toys; dolls' carriages; dolls; other toys; ...""",155480,163047,166975,200433,202005,220936,250519,245864,248598,292615,,11450207,12378883,14134788,15666830,18494884,24261407,25467875,31342495,33485634,42015657,,202306,214699,236995,271929,268443,282971,315836,312762,318500,375505
851769,"Apparatus for the transmission or reception of voice, images or other data, incl. apparatus ...",195277,189791,327054,202942,239076,253059,228273,160840,384925,285942,,297654,415805,712243,733442,719938,1384031,1422574,1129609,1069544,1127669,,310709,289647,408687,268881,310784,360894,351279,218076,501573,490665
847989,"Machines and mechanical appliances, n.e.s.",90995,144356,107982,100448,134728,89840,139211,133952,184788,273009,,1337829,1455000,2018115,2087395,2593726,2852789,3558331,4244747,4846439,5219037,,761084,771724,693818,783284,754779,558366,695801,763934,835788,1051146
853890,"Parts suitable for use solely or principally with the apparatus of heading 8535, 8536 or 8537, ...",88133,95189,103019,92825,99355,105575,116329,112447,153447,249454,,2958522,3009119,3147855,3037504,3102294,3398292,3732805,3760551,3554395,4354729,,222782,231176,230784,218246,235783,258112,275203,251886,294264,438623
720917,"Flat-rolled products of iron or non-alloy steel, of a width of >= 600 mm, in coils, simply ...""",16882,14203,43856,22604,24942,43861,45482,45210,55930,248111,,913613,835855,1113212,888449,469827,723093,811096,666035,595538,1827301,,49499,56348,81584,46354,82465,97739,108420,82721,109017,324381
853690,"Electrical apparatus for switching electrical circuits, or for making connections to or in ...",108241,96463,104003,105793,107005,113729,118698,118884,164709,238595,,5449329,5378489,6075938,5821058,6061795,6548445,7208625,7508649,7795124,9267005,,281712,244980,255228,208852,243617,293704,275182,302329,425686,476661
848620,Machines and apparatus for the manufacture of semiconductor devices or of electronic integrated ...,40046,61682,50220,74523,91120,91631,140600,161285,246103,236836,,147436,181663,233925,251430,375720,296100,354358,532575,690950,572345,,7405743,8746713,6652092,6991456,9557322,7544276,6453069,12659910,11121841,17009104
847170,Storage units for automatic data-processing machines,652098,512843,515659,455801,497410,481348,353753,237296,228216,236805,,18638870,16591268,16635339,14808304,16709092,18653486,17820524,17285611,17341219,16708192,,1246401,1081479,1163388,1126984,1243629,1254426,1027579,853369,959553,1175897
853120,"Indicator panels with liquid crystal devices """"LCD"""" or light emitting diodes """"LED"""" (excluding ...""",1248870,810820,331060,253346,171484,160721,169867,190135,178795,225967,,797512,801076,932385,1018361,1030754,1008148,1062972,1010201,907931,1053159,,1379719,928934,426516,320403,207533,193994,202510,216887,197701,244606
841459,"Fans (excluding table, floor, wall, window, ceiling or roof fans, with a self-contained electric ...",41015,45780,53609,58519,58123,79738,82755,123503,142988,224766,,1383827,1526753,1740720,1773394,1761757,1847939,2055557,2187926,2468883,3035004,,71470,79617,94962,98546,93615,126310,133882,185046,211019,297490
852580,"Television cameras, digital cameras and video camera recorders",388936,331349,373536,253756,267604,248922,171225,164910,196972,222477,,12737641,15798153,11685040,11763605,9478875,9068147,10663587,9746299,10823861,11960916,,740392,717563,573757,444036,417550,392461,316977,315340,372202,451373
847180,"Units for automatic data-processing machines (excluding processing units, input or output units ...",20044,25017,31810,31147,27427,39227,61417,99513,119853,213043,,4828383,4759168,4839917,4460400,4293589,5073460,6164928,5457612,6458197,7833031,,83019,95136,100847,100588,86631,115480,226746,186680,254090,344320
850490,"Parts of electrical transformers and inductors, n.e.s.",41441,41876,40603,42191,42913,52292,74594,126152,156237,208390,,2050517,3584050,2118398,2050188,1884200,2153800,2286090,2757486,2741317,3378144,,103530,91169,88828,88996,82537,95031,118877,175999,211306,276474
761699,"Articles of aluminium, n.e.s.",63481,61578,67209,80659,71898,83674,107243,102741,143478,207279,,2406901,2653768,2952151,2894655,2748207,2820025,3221520,3169550,3411107,4220350,,182271,157953,167553,163412,186769,212401,235746,218887,285526,332893
848190,"Parts of valves and similar articles for pipes, boiler shells, tanks, vats or the like, n.e.s.",94457,90043,98498,88311,75340,99101,114113,100146,130582,194600,,3468722,3451974,3681212,3487191,3241605,3663610,4086193,3929862,3575852,4308513,,176857,166628,178536,158860,155106,182629,206494,193288,243810,326931
851830,"Headphones and earphones, whether or not combined with microphone, and sets consisting of a ...",109859,68895,63597,48895,52395,79809,105975,200033,284179,194418,,4209990,4147605,4196547,4129407,3607870,3311654,3405972,3448161,4291381,4349833,,119729,77017,70012,54625,60538,90773,120831,218645,307052,304757
854370,"Electrical machines and apparatus, having individual functions, n.e.s. in chapter 85",48301,45485,42841,45600,45801,45749,52344,62452,202430,189508,,7596082,7907194,6943312,7436946,7269948,8252622,9933134,11149256,13017151,16941781,,195703,160797,138345,143285,143124,157904,168997,174720,329286,351094
842139,Machinery and apparatus for filtering or purifying gases (excl. isotope separators and intake ...,17575,29416,44371,51620,58311,87091,111219,118427,136843,185313,,923697,1178018,1474716,1331829,1901362,2061133,1887671,3165836,4606213,3811652,,134312,174847,170573,174290,298692,315337,388435,456309,469059,612572
741110,Tubes and pipes of refined copper,133685,129548,139735,119572,111295,131937,140704,103343,108260,182830,,1171058,1189641,1182614,982594,795283,1012446,1196834,1221925,1140381,1838858,,174228,166169,179074,147713,133648,153380,157958,117916,121961,201951
950450,Video game consoles and machines (excluding operated by any means of payment),0,3431,56490,49691,56790,77284,142111,111663,243001,181702,,7253069,6099963,5854739,8399952,9670460,11920953,11043000,9131034,9981580,13522404,,0,3432,56869,50425,57649,85281,187333,154734,308603,242945
950691,"Articles and equipment for general physical exercise, gymnastics or athletics",36107,37149,50944,46969,46834,49320,60502,72922,100766,181306,,3960322,4115727,4570645,4546777,4135731,4365155,4661576,5106461,9276045,11452382,,48490,52582,71539,67949,67127,70608,86275,98663,129301,219173
848690,Parts and accessories for machines and apparatus of a kind used solely or principally for the ...,56377,74874,134842,128529,103520,123168,145490,143705,136177,179624,,452494,466650,490913,550132,744403,1039628,1356855,1089797,1243950,1689293,,1527262,2218244,2460938,2350815,2806462,3739515,3857021,5399515,5740056,6798467
871499,"Parts and accessories, for bicycles, n.e.s.",99814,85547,86464,90238,74081,76938,78549,96501,113470,178836,,558516,574947,713352,656107,630067,653273,750045,862116,1081348,1556520,,358413,290586,306800,328275,279393,284574,275303,276079,272635,365263
841430,Compressors for refrigerating equipment,96189,97202,126045,115748,121113,110365,115870,125655,134163,176214,,2687636,3075983,3261575,3122087,3212495,3378701,3622839,3916572,3933148,4896594,,244549,218580,235492,219238,224122,211588,221145,221446,224178,275195
850300,"Parts suitable for use solely or principally with electric motors and generators, electric ...",77265,82313,87480,97043,91581,98052,112499,102040,117676,174430,,3732730,3724825,4215491,3987130,3825568,4277076,4793922,5358167,4996528,7174722,,154162,182054,161341,153421,168800,218114,179627,170815,183990,257970
720916,"Flat-rolled products of iron or non-alloy steel, of a width of >= 600 mm, in coils, simply ...""",4672,11351,69439,28168,24190,45126,26797,32748,25458,172414,,1001166,834585,1307199,861319,517203,732956,609272,430574,265592,1329765,,29954,45695,102786,53264,60394,87436,51911,51933,59118,235843
848180,"Appliances for pipes, boiler shells, tanks, vats or the like (excluding pressure-reducing ...""",95959,97556,96932,101755,100155,102473,118131,122973,136420,167802,,8888454,9592473,10517991,10056454,9323523,9952676,11316574,11118347,11321173,13077664,,359349,402893,432865,408908,428953,444472,480203,486938,581197,702962
850110,"Motors of an output <= 37,5 W",84182,109830,155734,250195,131770,99646,109144,108827,132035,164164,,2657818,2756568,2840126,3064187,2919399,2979901,3084423,2966454,2774326,3264798,,135521,176501,315512,411816,191099,161887,172706,162897,186522,233460
390740,"Polycarbonates, in primary forms",44724,48954,70373,73176,80753,98609,108315,96828,89109,159704,,644888,660924,700949,650318,624241,800606,834559,699702,631501,1027653,,528418,441591,453636,381288,327428,368121,402448,349540,299627,439332
900120,Sheets and plates of polarising material,381437,251022,139359,77828,50414,75893,74885,61069,164342,157994,,1285588,1067595,1013733,858507,688345,725823,798358,676143,771778,313894,,1299427,1107950,1063830,737552,659015,717080,606379,542745,662814,656853
392190,"Plates, sheets, film, foil and strip, of plastics, reinforced, laminated, supported or similarly ...",57803,58781,67370,70367,61383,77312,104311,121785,117532,155657,,678407,783991,843247,874443,838671,859157,963558,1129575,1118110,1266148,,541306,540589,533366,463085,424582,465969,508709,500298,506522,586349
841590,"Parts of air conditioning machines, comprising a motor-driven fan and elements for changing ...",50173,62813,79782,89408,81717,111074,139896,136708,151012,142874,,2899566,2967844,3180240,3112882,3219509,4291359,5096367,5481871,5073228,6670989,,85311,128024,219868,232992,208618,250047,316844,310748,377903,384512
870899,"Parts and accessories, for tractors, motor vehicles for the transport of ten or more persons, ...",49701,72875,102197,101989,93870,89098,84481,100136,118599,136874,,3840141,4083632,4380924,3982888,3935376,4431499,5067627,5147457,5041408,6608520,,362973,351954,419583,381472,363104,350288,368013,387235,405845,481472
901910,Mechano-therapy appliances; massage apparatus; psychological aptitude-testing apparatus,72623,70256,55066,64461,62688,69514,84223,87846,116635,135590,,1450414,1611931,1807659,2008137,2143103,2330223,2671160,3134289,4441323,5902201,,83209,78854,66270,75614,74327,80211,95912,98631,127839,148098
732690,"Articles of iron or steel, n.e.s. (excluding cast articles or articles of iron or steel wire)",50925,52285,60672,66374,81074,84592,89038,103619,113254,133946,,4997600,5504037,5814012,5927523,5342813,5769067,6748713,6928980,7817290,10545923,,162351,156253,174649,178530,201218,214885,231646,254287,297044,351180
841490,"Parts of: air or vacuum pumps, air or other gas compressors, fans and ventilating or recycling ...",32588,47106,53444,45275,41079,44850,45763,61684,75596,129449,,1178010,1314824,1382620,1491798,1594207,1948334,2490391,2637182,2624303,3235655,,135809,147349,232016,145111,143969,175639,152312,154518,177639,247933
854290,"Parts of electronic integrated circuits, n.e.s.",90656,100048,98601,86197,85798,97565,90467,81917,85930,127278,,310987,316904,347750,339489,272441,327168,403513,526483,496641,1840624,,376930,376042,369143,285131,325494,346348,314039,276624,315407,435647
800110,"Unwrought tin, not alloyed",836,13393,24577,1276,3893,5905,15467,21993,13610,124299,,43591,70325,21387,9161,11540,19809,45394,72612,78435,405188,,205933,198888,190538,154319,155359,182436,186325,142198,148935,299980
850511,Permanent magnets of metal and articles intended to become permanent magnets after magnetization ...,56780,58514,65122,65283,63462,77676,81907,74304,65743,123253,,2208980,1721091,1705441,1654800,1600393,1801730,2062991,1986233,1973912,2890360,,63885,68562,72566,72842,73361,86596,90404,81526,72327,131521
853650,Switches for a voltage <= 1.000 V (excluding relays and automatic circuit breakers),61536,71266,82987,76462,78781,88432,92157,90035,94399,122932,,1519735,1797185,2556187,2281590,2264603,2476905,2568168,2568604,2720449,3007100,,226714,229889,257585,233772,225581,247599,260865,245345,251518,328545
850980,"Electromechanical domestic appliances, with self-contained electric motor (excluding vacuum ...",21423,20732,28822,28358,41086,46632,72166,63543,92788,122648,,1419181,1622243,1896284,2121148,2060136,2319401,2734145,3308388,5536011,6469567,,39403,34565,49348,43522,60944,70379,100612,83519,112135,148924
740400,"Waste and scrap, of copper (excluding ingots or other similar unwrought shapes, of remelted ...",169997,144012,129030,89020,78325,110314,128482,90569,80180,120625,,7896,6763,2770,543,817,1318,812,894,825,765,,632697,646690,591060,493063,495070,653439,823173,669883,613105,977130
720221,"Ferro-silicon, containing by weight > 55% of silicon",79660,92447,107119,64431,91097,118250,107788,45783,28893,120624,,582236,395465,517455,274249,199430,426040,761509,398921,267448,702519,,110925,113357,131846,88627,137789,159302,147126,106140,91457,194043
854390,"Parts of electrical machines and apparatus, having individual functions, n.e.s. in chapter ...",102766,132110,89197,70607,65284,60406,66458,89149,122634,120561,,604277,849889,1360338,1266825,1573883,2364025,2962672,3812027,4102064,4255726,,231168,198009,149092,123861,100292,95702,109221,123976,160566,162905
722830,"Bars and rods of alloy steel other than stainless, not further worked than hot-rolled, hot-drawn ...",49655,55287,77492,46092,47168,61929,87346,50413,54060,116673,,3542547,4776515,9161102,10713701,9302736,4501476,3840554,2489511,1633915,2393682,,132443,139056,173788,136457,122181,189510,267642,144732,137030,276747
870829,"Parts and accessories of bodies for tractors, motor vehicles for the transport of ten or more ...""",35526,54267,60742,58100,44272,44980,47412,62312,101183,116575,,2492965,2916435,3410655,3794378,4266506,4610793,5196888,5548671,6634993,8613104,,192871,170534,188435,181401,164024,185441,195478,192042,234018,266985
320411,Synthetic organic disperse dyes; preparations based on synthetic organic disperse dyes of a ...,80855,108468,150492,133166,101794,106637,132984,128285,85464,115614,,520984,603284,735232,694609,627148,621833,759800,746689,543614,658568,,97100,125810,172788,155877,125148,131272,161699,158537,109215,138384
290949,"Ether-alcohols and their halogenated, sulphonated, nitrated or nitrosated derivatives (excluding ...""",49392,48257,67278,58477,60912,82944,83171,68537,82277,113448,,157830,133282,161797,163421,151145,150936,205179,185136,171738,251573,,88272,80472,106545,84121,91158,115812,126227,97004,113618,140555
848210,Ball bearings,56496,53826,59417,56914,53824,57821,66996,60569,70780,111304,,2034960,2259762,2416531,2342278,2393412,2557194,2842117,2650082,2506742,3213913,,266836,201379,220839,203774,161156,198691,225418,196365,191367,263033
846692,"Parts and accessories for machine tools for working wood, cork, bone, hard rubber, hard plastics ...",14140,16073,14813,12943,19651,27234,26286,43195,107200,110783,,88378,103156,123337,112857,136624,158127,160399,197720,282895,328525,,35325,37301,36472,29318,32632,40544,39406,53007,117187,120992
940320,"Metal furniture (excluding for offices, seats and medical, surgical, dental or veterinary  ...",23759,25047,26319,32438,37549,40256,45898,55866,81126,109069,,7556079,7915238,6974962,6944367,6437914,6782631,7920782,8476989,10007413,11083858,,31726,30400,32876,41244,45557,47992,55528,67292,94185,124640
847141,"Data-processing machines, automatic, comprising in the same housing at least a central processing ...",85084,84501,76258,84095,91077,72874,81706,84870,88043,108829,,4377850,4208729,3929256,2747799,2000406,1994444,2431804,2504558,2603626,3140525,,95424,96571,89178,98615,105483,95036,96520,101976,106919,126320
730890,"Structures and parts of structures, of iron or steel, n.e.s. (excluding bridges and bridge-sections, ...",58685,39820,48649,44187,54346,37677,45339,67135,75387,108711,,8631521,8394164,8389879,9209780,8145766,8352154,8993637,10804878,10737893,11672708,,116131,82867,108466,84511,85484,74391,79787,212606,624318,297493
903290,"Parts and accessories for regulating or controlling instruments and apparatus, n.e.s.",5648,5261,6699,5312,5128,5914,24587,167263,94888,106840,,587111,628913,654978,613608,536018,539967,653542,769258,995345,1045711,,29536,24815,25996,23167,23499,24150,41870,182469,123692,121966
610910,"T-shirts, singlets and other vests of cotton, knitted or crocheted",85101,72570,79083,77808,78887,79214,87578,89387,91905,106530,,4179672,4367799,4853857,4561092,4322103,3988625,3864524,3737221,3197026,3858857,,130559,115207,129477,141905,155403,153974,183623,201723,196774,215308
871410,"Parts and accessories of motorcycles, incl. mopeds, n.e.s.",0,2208,39221,32684,37558,41543,46161,67803,77131,102680,,2134877,2808650,3330148,2843291,2893061,2905077,2940015,3145809,3946023,4832608,,0,4166,70511,61959,70422,84843,100810,139271,164794,188646
