Product code,Product label,China's imports from United States of America-Value in 2012,China's imports from United States of America-Value in 2013,China's imports from United States of America-Value in 2014,China's imports from United States of America-Value in 2015,China's imports from United States of America-Value in 2016,China's imports from United States of America-Value in 2017,China's imports from United States of America-Value in 2018,China's imports from United States of America-Value in 2019,China's imports from United States of America-Value in 2020,China's imports from United States of America-Value in 2021,United States of America's exports to world- ,United States of America's exports to world-Value in 2012,United States of America's exports to world-Value in 2013,United States of America's exports to world-Value in 2014,United States of America's exports to world-Value in 2015,United States of America's exports to world-Value in 2016,United States of America's exports to world-Value in 2017,United States of America's exports to world-Value in 2018,United States of America's exports to world-Value in 2019,United States of America's exports to world-Value in 2020,United States of America's exports to world-Value in 2021,China's imports from world- ,China's imports from world-Value in 2012,China's imports from world-Value in 2013,China's imports from world-Value in 2014,China's imports from world-Value in 2015,China's imports from world-Value in 2016,China's imports from world-Value in 2017,China's imports from world-Value in 2018,China's imports from world-Value in 2019,China's imports from world-Value in 2020,China's imports from world-Value in 2021
740400,"Waste and scrap, of copper (excluding ingots or other similar unwrought shapes, of remelted ...",3101893,2958788,2210318,1655911,1038282,1402482,1335234,493934,504199,1700765,,4471697,4129993,3516027,2789215,2232812,2761231,3166813,2825123,2675659,4497184,,14840883,13732988,10913497,8450144,6182737,9152484,9370722,7478913,4535923,11421536
520100,"Cotton, neither carded nor combed",3684327,2432784,1257879,982048,507872,982819,1063477,731487,1604680,1551047,,6226615,5592682,4397806,3889859,3959656,5827751,6550074,6140232,5952589,5713048,,11804012,8440549,4990039,2564094,1561008,2185781,3165657,3567225,3562312,3798245
841191,"Parts of turbojets or turbopropellers, n.e.s.",1003868,1204209,1297813,1324716,1448745,1699928,1673401,1970580,1484015,1549255,,1305311,1344341,1299411,1403185,1455715,1495785,1745785,1831845,1611680,1842451,,1466646,1725225,1919136,2057839,2192375,2633755,3045781,3633981,2420049,2526562
260300,Copper ores and concentrates,701730,1049248,995787,1022769,571659,681161,474276,13567,443062,1343438,,2396482,2601448,3238020,3082725,2412905,1715166,1815055,2325251,2353130,2924570,,16925876,19508977,21463925,19404284,20568643,26107243,32727689,34080603,34297835,50576073
901890,"Instruments and appliances used in medical, surgical or veterinary sciences, n.e.s.",540072,605085,658074,650060,690145,680547,797484,981557,1064128,1304405,,10763604,11197988,11687828,11860181,12339549,12356060,13196120,14299705,13315317,14677184,,1507772,1607105,1907251,2117131,2342617,2463137,2930115,3491568,3819012,4843093
470321,"Semi-bleached or bleached coniferous chemical wood pulp, soda or sulphate (excluding dissolving ...",800382,870385,905289,968004,997621,1069700,1193489,956735,879425,1080048,,3638838,3567951,3770161,3765067,3709376,3887262,4241295,4080453,3688553,4392623,,4336466,4375745,4799741,4824948,4768370,5228332,6789380,5862620,5110674,6227611
382499,"Chemical products and preparations of the chemical or allied industries, incl. those consisting ...",0,0,0,0,0,788827,1001212,900316,1020240,1004931,,0,0,0,0,0,3677071,3961318,4265405,4414010,5104601,,0,0,0,0,0,6080289,6202408,5677307,6511671,7561917
20714,Frozen cuts and edible offal of fowls of the species Gallus domesticus,191074,343423,166735,25696,0,0,0,0,723023,967288,,3635333,3483080,3405071,2205504,2138939,2566601,2639436,2655894,2783933,3398647,,869749,927186,818256,898631,1228218,1026279,1133551,1967445,3429253,3112230
290110,Saturated acyclic hydrocarbons,1501,1965,12377,12671,2367,22632,44922,100023,274771,944042,,481513,535411,516788,428893,646493,1089676,1854469,2344855,1519669,3083009,,94487,75713,145090,51735,33849,72957,89862,146636,322124,989446
271311,"Petroleum coke, non-calcined",707692,773223,473103,359313,223353,408878,493401,297855,329009,937507,,2362601,2420918,2375880,1926260,1689745,2655344,3070298,2082565,1646649,3316687,,881621,1092626,620324,545019,337744,860374,1361469,1049139,949869,2152924
20230,"Frozen, boneless meat of bovine animals",0,0,0,10,0,18421,54192,65020,167288,922067,,1694233,1710077,2182374,1942312,1991246,2118008,2755789,2605655,2367761,3727423,,223678,1036688,1007759,1990808,2194791,2703065,4240397,7195690,9003778,9573775
210690,"Food preparations, n.e.s.",173992,261166,242788,311960,342150,383664,605460,729567,853080,840146,,4269494,4729595,4804847,4691573,5088757,4835636,5136485,5428778,5357505,6183409,,720374,917013,1011247,1296657,1484863,1835969,2717012,3125061,3842576,3672672
382200,"Diagnostic or laboratory reagents on a backing, prepared diagnostic or laboratory reagents ...",438225,482811,489170,541907,685009,712812,841515,885840,780807,838478,,5212738,5475346,5674631,5747377,6165149,6579997,7224016,7447406,9193114,10985322,,982850,1042503,1042001,1125483,1438742,1542126,1785607,1919631,1795822,2063956
300220,Vaccines for human medicine,33250,112261,30391,25427,20207,105314,461328,469807,627076,763370,,2530695,1686551,2436614,2926207,1826365,1419081,2360175,2019351,1771146,14809438,,155745,303674,187307,217600,239058,498915,824742,1505176,2430175,3291534
870899,"Parts and accessories, for tractors, motor vehicles for the transport of ten or more persons, ...",70725,122745,155648,199958,208915,177410,199021,197789,479177,745127,,11850020,10797792,10674546,11772683,10543240,11167993,10078492,9230539,7438310,8692030,,2364010,2329394,2301548,1957394,2162616,2618622,2994705,2827224,2905082,3568179
902780,"Instruments and apparatus for physical or chemical analysis, or for measuring or checking viscosity, ...",763234,853478,818552,817564,795818,820152,910425,761871,779494,742997,,2296384,2262697,2271727,2266296,2226407,2311942,2474322,2509327,2606735,2914193,,2113317,2364722,2389672,2384993,2627357,2840480,3439905,3444879,3545322,3133782
20649,"Edible offal of swine, frozen (excluding livers)",744179,522485,526478,285694,936079,873811,343652,273935,506131,681481,,584289,618091,641498,518523,729301,806804,593251,556822,665361,844883,,1441105,1496455,1401453,1250525,2445524,2112612,1516837,1864107,2623470,2602867
870840,"Gear boxes and parts thereof, for tractors, motor vehicles for the transport of ten or more ...",246285,452912,569720,418589,671237,839525,821454,439949,625645,661959,,5794347,6698628,6347103,6432894,6883929,7831725,8562310,8057202,6237398,6483538,,9137229,10356311,11982248,9792059,11404481,12528979,13246706,10493568,10439470,11020251
999999,Commodities not elsewhere specified,5119295,6561716,6170338,5782618,2751886,5518449,1568700,141133,604683,643848,,134948065,147126482,156308271,160931823,161065057,163414813,176931296,172660423,112911792,130744945,,68769069,104735488,82763505,80518802,77492643,66855229,29854611,10614452,10906755,12196803
392690,"Articles of plastics and articles of other materials of heading 3901 to 3914, n.e.s (excluding ...",283695,316088,348862,379210,429914,479578,534400,546192,546983,635154,,5214198,5510978,5897410,5838497,5881550,6255614,6665297,6359339,6035504,7294810,,2656171,2774770,2926291,2894040,2970283,3264273,3560528,3611100,3583469,3916096
870360,"Motor cars and other motor vehicles principally designed for the transport of <10 persons, ...",0,0,0,0,0,24303,59557,7949,112014,617205,,0,0,0,0,0,1122363,1063479,1026236,2710964,4326721,,0,0,0,0,0,439943,465738,1031706,968035,1918996
903180,"Instruments, appliances and machines for measuring or checking, not elsewhere specified in ...",688609,628851,772271,698480,645235,621775,802686,736207,659581,611819,,2358036,2439459,2593782,2604257,2520677,2735924,2881269,2615611,2351015,2344530,,4033678,3944040,4618099,4262550,4669969,4605602,5670356,5734158,5685034,6431699
300212,Antisera and other blood fractions,0,0,0,0,0,656258,328089,327848,498555,596623,,0,0,0,0,0,6316615,6794319,7477146,6862771,7424545,,0,0,0,0,0,1700435,1503276,1987272,1897979,2138187
880330,"Parts of aeroplanes or helicopters, n.e.s. (excluding those for gliders)",451548,466065,556778,512240,405708,440501,615604,690866,524876,583896,,4927387,4778115,4871853,5053698,5482108,4865541,4806774,5472775,4890890,4683787,,1521658,1802658,2009289,1760446,1731410,1803870,2270993,2573495,1735837,1936234
100199,"Wheat and meslin (excluding seed for sowing, and durum wheat)",38488,1081521,203335,54023,25022,101660,8323,40332,49584,547126,,7988505,10261202,7445197,5356650,5238228,5973274,5311615,6057968,6096728,7155868,,726639,1390372,663639,354897,303705,524741,206144,327524,1070921,1247002
902750,"Instruments and apparatus for physical or chemical analysis, using UV, visible or IR optical ...",279471,349546,398522,410032,479205,531614,593810,580276,642237,541572,,2181404,2151446,2214147,2027284,1900247,2065119,2217133,2353308,2432929,2693134,,919979,1080656,1182647,1242404,1411219,1575495,1740751,1837488,2343955,1990876
711319,"Articles of jewellery and parts thereof, of precious metal other than silver, whether or not ...",69260,63831,87292,101531,91481,107523,164938,252078,399199,540999,,7784158,9087872,9747722,9110930,8956030,9097774,9292221,8645561,4860844,6695429,,463489,477553,811972,830049,854694,707803,1234863,2122186,3427885,5192941
854233,Electronic integrated circuits as amplifiers,1948120,6038261,1562337,1078406,761359,437927,438859,446747,523502,538804,,941929,970423,1033853,969656,1069038,2873228,2836662,2384367,2115632,2123181,,9183882,19607941,8995714,11167827,10391154,9536688,9784932,9678006,12342977,14021411
848180,"Appliances for pipes, boiler shells, tanks, vats or the like (excluding pressure-reducing ...""",588700,755105,660640,731302,737769,576870,688696,584949,538440,530536,,5536221,6125212,6518468,6530190,5918316,6287161,6652387,6397109,5566033,5989423,,3707456,4260444,4092613,3816719,3526460,3484867,4219117,4324619,4467964,4860809
853710,"Boards, cabinets and similar combinations of apparatus for electric control or the distribution ...",261697,375359,353480,344562,357175,366650,429266,448245,856010,530312,,4162718,4957256,5437725,5428142,5270421,5643166,5913496,5784436,4824729,5304410,,3562317,3895334,4573370,4251295,4517629,4807920,5324795,5312209,6093482,5913440
903141,Optical instruments and appliances for inspecting semiconductor wafers or devices or for inspecting ...,52492,100634,126877,116593,112705,238054,395475,453356,474036,528868,,1241508,997969,785232,720361,621586,682309,922597,954447,723395,1000029,,217531,329305,466982,306939,528881,769869,1497979,1498531,1695266,2353835
854370,"Electrical machines and apparatus, having individual functions, n.e.s. in chapter 85",295339,328634,320951,355857,422771,446251,480022,442178,398676,526649,,2287603,2327695,2468013,2541122,2733749,3017606,3158880,3090826,2879060,2803422,,2482504,2625751,2683377,2912175,2886407,3130372,3699086,4098481,4363790,4454481
901839,"Needles, catheters, cannulae and the like, used in medical, surgical, dental or veterinary ...",367441,395613,397839,436075,490465,571335,731948,793711,617540,520329,,5375239,5689667,5932826,5997885,6263770,6320617,7075493,7059110,6246826,7250523,,808288,938836,1062257,1121529,1316377,1471134,1842757,2218041,1918380,2178391
970110,"Paintings, e.g. oil paintings, watercolours and pastels, and drawings executed entirely by ...",1366,32736,21262,7186,24675,2742,17839,55309,35770,511973,,5172709,5322076,7371661,7865346,8116187,8637945,10893804,8895346,5815189,6228829,,8240,256152,146739,128950,175000,24409,77743,491396,479591,1599289
121490,"Swedes, mangolds, fodder roots, hay, lucerne """"alfalfa"""", clover, sainfoin, forage kale, lupines, ...""",173943,277735,329988,413020,417276,399041,383325,355240,436812,509498,,1284448,1355925,1194538,1300344,1351261,1397707,1361480,1498891,1529936,1713267,,180372,296332,383010,521552,523061,515178,526126,546195,606920,668518
410150,"Whole raw hides and skins of bovine """"incl. buffalo"""" or equine animals, whether or not dehaired ...""",1219620,1480912,1449382,1222062,873025,891934,640041,421865,390464,500046,,1413681,1652786,1732008,1427975,1339414,1336810,968152,683877,519803,923903,,2222122,2726095,2788864,2484756,1737649,1705895,1202818,847854,774747,1023184
870324,"Motor cars and other motor vehicles principally designed for the transport of persons, incl. ...",2418821,2216503,1506966,935292,775220,785424,680610,614368,413977,499057,,21038150,22762733,22396549,20648573,18591047,18848189,17817448,14989926,10077049,13252175,,11306296,7668363,7196086,4514953,4932265,6315133,7402022,6563970,4039259,3669971
853690,"Electrical apparatus for switching electrical circuits, or for making connections to or in ...",374293,413527,455582,486242,506714,555661,567548,411477,409259,477193,,2883403,3104255,3458183,3486138,3340448,3357788,3544062,3359760,2808969,3426669,,7993983,8363404,9062124,8814924,8865881,9736922,9979021,9280817,9453312,10092382
903289,"Regulating or controlling instruments and apparatus (excluding hydraulic or pneumatic, manostats, ...",361436,426057,445879,494081,385629,472899,538135,584777,530001,477159,,2763544,2828885,2775235,2669226,2818128,2766113,2724239,2637657,2042790,2127657,,3767795,3767430,4075327,3550608,3605914,4042713,4427190,4081469,4188045,4444365
20322,"Frozen hams, shoulders and cuts thereof of swine, with bone in",140349,47045,65534,83130,152021,117672,52354,110809,473990,475370,,217619,171708,217402,200584,240456,202530,142480,213143,447023,389648,,343580,276868,289484,450382,969494,697999,562404,884009,2467349,2550962
390140,"Ethylene-alpha-olefins copolymers, having a specific gravity of < 0,94 , in primary forms",0,0,0,0,0,188606,308736,193720,464304,472891,,0,0,0,0,0,1574976,2662982,3261135,3682122,4438868,,0,0,0,0,0,4057607,5792488,6136819,6240773,6517305
847989,"Machines and mechanical appliances, n.e.s.",756702,618476,638455,648039,701992,765861,653858,458373,434397,471789,,3313444,3951424,4247448,4077682,3449591,3672177,3650442,3787243,3267817,3352429,,6516450,6034424,6969823,6132252,6577054,8645564,9273758,8578715,8341837,8774627
292690,"Nitrile-function compounds (excluding acrylonitrile, 1-cyanoguanidine """"dicyandiamide"""", fenproporex ...""",294976,294935,207545,104331,245707,407393,446378,608080,436327,431005,,432651,434125,319285,283898,396644,440837,604547,768978,564476,561857,,354515,364524,379204,263994,358801,572403,647751,773669,657034,630090
20329,"Frozen meat of swine (excluding carcases and half-carcases, and hams, shoulders and cuts thereof, ...",182625,189730,166957,112682,257177,167924,76983,395739,1161893,425772,,2271714,1955905,2183699,1763313,1710783,1932253,2176308,2310049,2825995,2695164,,637663,827802,757288,997807,2216914,1521535,1511452,3622074,9387720,6979145
902139,Artificial parts of the body (excluding artificial teeth and dental fittings and artificial ...,162704,201821,248762,261540,308104,292136,385824,376541,311808,422559,,2749292,2834288,2875677,2845697,2528613,2516062,2368866,2492723,2565065,3040652,,261218,333448,404391,442499,483050,506568,638814,651775,560790,767021
381512,"Supported catalysts with precious metal or a precious-metal compound as the active substance, ...",495025,507531,397178,324838,134709,360197,382860,183428,329451,407995,,977317,1316233,1296899,1325556,1352718,1569784,1722704,2000935,1632506,2257838,,735799,712943,640239,577651,299025,600377,813475,765651,1105442,1191701
392099,"Plates, sheets, film, foil and strip, of non-cellular plastics, n.e.s., not reinforced, laminated, ...",121129,166313,193583,221161,253142,342169,345667,322403,355468,406009,,760645,803031,930618,1034440,1022482,1188575,1231205,1265131,1208629,1428641,,1092603,1023731,1050999,1022506,1136429,1408140,1484777,1478440,1725118,1901710
901812,Ultrasonic scanning apparatus,388698,474774,492116,432850,444583,456680,577800,510198,483081,403433,,1024022,1036675,1075458,1013170,991293,1033877,1202025,1174542,1170109,1029276,,906816,1041752,1116242,926462,990988,1069901,1204304,1139936,1020746,975144
271113,"Butanes, liquefied (excluding of a purity of >= 95% of N-butane or isobutane)",2,10422,20894,55747,22690,99307,66169,1,229020,401629,,648109,1025092,1823737,1190421,1138938,1889795,3113899,2699415,3354034,6533844,,1353288,1590393,1886232,1672772,1684707,2516961,3137404,2736994,1917485,3143131
490700,"Unused postage, revenue or similar stamps of current or new issue in the country in which they ...",136661,185766,217652,235209,278963,237971,270303,426455,313610,401542,,309338,233759,168378,143050,74831,94100,87789,71437,99998,60069,,339838,500277,550823,547540,641633,645759,801449,917702,833528,951829
391990,"Self-adhesive plates, sheets, film, foil, tape, strip and other flat shapes, of plastics, whether ...",253281,273377,281223,295956,293454,325992,348117,342767,334165,393344,,1623905,1662188,1756022,1795736,1770617,1920498,1907993,1876530,1732660,2260425,,2395337,2696333,2579482,2411427,2243750,2368959,2452637,2409152,2452114,2625237
842199,"Parts of machinery and apparatus for filtering or purifying liquids or gases, n.e.s.",287560,344065,329385,369685,297615,318993,357286,369829,333818,388456,,1864458,2010519,2056817,2024956,1913451,1933251,2144692,2094839,1966354,2447217,,988340,1123480,1154089,1069766,1032331,1135465,1382034,1670463,1614484,1576585
840890,"Compression-ignition internal combustion piston engine """"diesel or semi-diesel engine"""" (excluding ...""",426419,466982,505094,348980,218917,396220,488030,447070,434883,384216,,2978189,2941903,2719414,1967965,1510408,1778450,1942512,1800787,1727937,1751755,,1981602,1963515,1948579,1362226,1340574,1988801,2458491,2409939,2776526,2641465
390799,"Saturated polyesters in primary forms (excluding polycarbonates, alkyd resins, poly""""ethylene ...""",129024,190341,217155,213858,256149,272421,295521,285986,325505,378833,,719973,824618,927760,946187,918186,986886,1055000,1029013,962906,1259076,,1016176,1088835,1137909,1032536,1077166,1209575,1270069,1206478,1231414,1493885
854232,Electronic integrated circuits as memories,1371500,2151290,2177534,1340986,433171,585907,714159,340890,270758,363250,,6706999,6571676,5658997,4455963,3635717,4128720,3855285,2748638,2896225,2805928,,38009040,46164514,54254915,61462689,63877413,88270996,122972378,94612915,95269863,109780700
902190,"Articles and appliances, which are worn or carried, or implanted in the body, to compensate ...",261345,309675,310305,377388,369565,441959,428162,525356,370447,360408,,1782484,1721120,1750853,2005847,1845017,1797565,2061982,2507461,1999064,2377755,,859094,1072791,1096455,1229556,1141270,1310697,1440290,1667227,1378717,1119490
440791,"Oak """"Quercus spp."""", sawn or chipped lengthwise, sliced or peeled, whether or not planed, ...""",321911,406364,625670,593594,671849,829395,776055,344801,333397,357004,,609858,762799,1002275,910270,1020264,1271768,1160523,849457,785586,981346,,444933,515250,743301,736697,803678,992505,942524,522359,440433,445981
902214,"Apparatus based on the use of X-rays, for medical, surgical or veterinary uses (excluding for ...",239707,218002,267982,319675,290567,236967,242214,219060,274848,353460,,943004,914316,833768,898963,827830,843782,956962,940818,847152,770881,,966348,941058,986293,907669,909499,886265,985435,1078055,1145528,1139968
870829,"Parts and accessories of bodies for tractors, motor vehicles for the transport of ten or more ...""",82841,125826,152059,135416,157385,152720,258684,283973,416204,352110,,9004639,9893593,9440600,9092513,9429490,9447618,9764711,9401811,7297749,7306739,,4231913,4629021,5239452,4637800,4618573,4488505,4916772,4665851,5202477,5847774
290531,"Ethylene glycol """"ethanediol""""""""",283061,70601,156852,120935,35171,152620,142661,50392,323241,348087,,552965,509938,420927,455520,350995,477157,486023,711405,924315,1316125,,8137964,8679601,7892120,7100661,4873893,7387208,9082380,5971806,4901069,5132104
902790,"Microtomes; parts and accessories of instruments and apparatus for physical or chemical analysis, ...",199785,224245,244316,259750,269449,297227,298870,285012,296463,320261,,1760741,1749511,1730090,1670761,1731718,1770469,2011255,2004562,2013113,2345723,,632660,691439,784278,804402,936942,1099481,1171612,1305024,1506813,1537931
370242,"Photographic film """"incl. instant print film"""", sensitised, in rolls, unexposed, without perforations, ...""",245150,304706,333440,379123,326027,309947,352573,302842,307688,316672,,72860,339030,336136,344754,281019,288351,310870,279011,305137,335882,,417599,473530,514963,554952,483634,459775,520591,451655,456402,485466
854160,Mounted piezoelectric crystals,31318,29620,241992,132392,117701,88704,198181,301091,252284,315959,,285798,300746,299828,288285,416665,500978,551059,292290,316991,421496,,2690805,3015527,3298085,3083081,3801458,3532248,3351729,3197478,3393225,3567869
100119,Durum wheat (excluding seed for sowing),195005,182105,80536,131022,182999,289275,104505,27047,414775,311538,,197511,260640,321862,274569,123967,100676,131057,206914,220446,127108,,374816,475482,298829,531531,497314,506632,574754,573509,1189312,1474466
390110,"Polyethylene with a specific gravity of < 0,94, in primary forms",167174,188981,240443,222836,166412,221575,196529,352934,216833,311452,,2222693,2444689,2502822,2366159,2125517,2123271,2475760,2481652,2321387,3456243,,2247816,2662177,3321554,2864059,2514333,3021641,3501080,3488733,3361086,3947756
850440,Static converters,291603,293854,454670,396368,292962,271531,333575,271237,305288,304648,,3619333,3936061,4013838,4275739,3792855,3999761,4324540,4180497,3953291,4466967,,6267474,7495797,7393272,6591898,5919760,6179231,7292692,7106455,6965111,7355383
80251,"Fresh or dried pistachios, in shell",99259,69518,45432,39356,95258,175161,302520,478014,259860,296629,,893049,1053233,945966,714805,1033401,1352624,1437986,1749439,1409709,1656372,,133283,78877,63191,73578,116122,180460,349339,802115,656214,612128
253090,"Arsenic sulfides, alunite, pozzuolana, earth colours and other mineral substances, n.e.s.",1817,2214,2410,2211,3424,5169,53453,62713,121611,293277,,120260,121305,114576,104017,101395,171560,128836,96736,82385,93207,,198614,224286,241873,258643,314252,972865,1471611,1254701,852967,1531651
700319,"Cast glass and rolled glass, in non-wired sheets, not otherwise worked (excluding glass coloured ...""",50893,322754,415753,239639,401691,350663,450170,497135,351150,293120,,10904,10823,9732,10001,6101,8618,6027,6429,5026,5613,,352650,983229,1177160,1225609,1547875,2161010,2718513,2753456,3060706,2680504
852349,Optical media for the recording of sound or of other phenomena (excluding unrecorded and goods ...,622589,519650,524425,533771,559353,646676,650569,455252,364474,289008,,2948936,2704062,2309790,1963767,1658081,1509682,1415648,1281304,1087141,1148355,,2380095,1909006,1930221,1732912,1570356,2166631,2265721,2148425,2432635,1876872
440399,"Wood in the rough, whether or not stripped of bark or sapwood, or roughly squared (excluding ...""",94693,118133,169891,180326,232875,371639,442310,248228,222254,273127,,351341,369989,427317,466724,469141,488171,540026,418228,384224,482941,,2575022,3162036,5100933,3446764,3058031,1270508,1322798,897743,599850,661030
381519,"Supported catalysts, n.e.s. (excluding with precious metal, a precious-metal compound, nickel ...",249952,252084,231548,198565,212631,221497,277260,268345,353049,272470,,1687948,1566472,1623278,1821422,1516650,1619608,1853477,1890902,1432116,1510350,,548078,585106,564068,432283,404267,470140,533337,541975,650068,633801
40410,"Whey and modified whey, whether or not concentrated or containing added sugar or other sweetening ...",210156,267673,294039,181398,185727,280379,205408,116611,211997,272083,,670001,798975,813507,556109,486072,623842,528476,510005,581977,699065,,734220,834413,773398,510884,438967,655073,622146,598162,809749,941197
381121,Prepared additives for oil lubricants containing petroleum oil or bituminous mineral oil,188487,277319,242949,185546,207835,248539,271817,214401,231353,271193,,2362042,2434537,2295287,2110596,1901017,1896290,2049177,1846762,1778511,1956238,,799841,988658,939151,838446,919219,931101,1000484,1031154,973842,1118988
