Product code,Product label,India's imports from United States of America-Value in 2012,India's imports from United States of America-Value in 2013,India's imports from United States of America-Value in 2014,India's imports from United States of America-Value in 2015,India's imports from United States of America-Value in 2016,India's imports from United States of America-Value in 2017,India's imports from United States of America-Value in 2018,India's imports from United States of America-Value in 2019,India's imports from United States of America-Value in 2020,India's imports from United States of America-Value in 2021,United States of America's exports to world- ,United States of America's exports to world-Value in 2012,United States of America's exports to world-Value in 2013,United States of America's exports to world-Value in 2014,United States of America's exports to world-Value in 2015,United States of America's exports to world-Value in 2016,United States of America's exports to world-Value in 2017,United States of America's exports to world-Value in 2018,United States of America's exports to world-Value in 2019,United States of America's exports to world-Value in 2020,United States of America's exports to world-Value in 2021,India's imports from world- ,India's imports from world-Value in 2012,India's imports from world-Value in 2013,India's imports from world-Value in 2014,India's imports from world-Value in 2015,India's imports from world-Value in 2016,India's imports from world-Value in 2017,India's imports from world-Value in 2018,India's imports from world-Value in 2019,India's imports from world-Value in 2020,India's imports from world-Value in 2021
721632,"I sections of iron or non-alloy steel, not further worked than hot-rolled, hot-drawn or hot-extruded, ...",109,177,82,263,90,32,45,43,0,149,,312239,148175,87387,52190,36708,16344,20729,18341,21620,28817,,1083,6159,2344,2524,797,2242,2832,13868,3306,2179
481110,"Tarred, bituminised or asphalted paper and paperboard, in rolls or in square or rectangular ...",1516,1366,664,854,730,1520,1963,1247,262,149,,29091,20982,23089,19546,11999,12032,16092,10650,8881,12312,,4677,3359,2541,2306,1509,2537,2597,1702,450,312
846593,"Grinding, sanding or polishing machines for working wood, cork, bone, hard rubber, hard plastics ...",1785,292,154,105,48,291,97,319,293,148,,19937,16234,15525,12593,15249,19912,18138,12739,13610,17706,,13987,8434,11257,11105,8376,16655,15001,17076,13785,13121
810990,"Articles of zirconium, n.e.s.",97,96,523,461,53,48,293,67,97,147,,118609,126709,96002,109501,91816,101720,122854,89998,92495,102308,,504,530,934,1105,677,859,1454,1359,360,1906
291511,Formic acid,0,0,0,15,22,84,116,45,64,147,,3563,3087,2884,3011,5898,13669,11559,11589,12870,19662,,6457,6627,10730,9966,9199,11459,20139,11776,12199,28796
610910,"T-shirts, singlets and other vests of cotton, knitted or crocheted",326,262,439,408,304,243,256,555,209,147,,475995,465465,454987,425802,432707,457996,512762,634593,510791,740894,,16761,18121,24940,25865,30081,30969,42239,48327,40342,81924
392114,"Plates, sheets, film, foil and strip, of regenerated cellular cellulose, unworked or merely ...",8,6,0,5,47,18,9,3,17,146,,19693,21316,27461,27134,27122,20508,15323,15020,15045,15610,,1525,1431,1505,1592,2033,2124,4136,3471,3393,4632
870911,"Electrical vehicles not fitted with lifting or handling equipment, of the type used in factories, ...",75,60,168,67,20,88,47,71,0,145,,69470,64165,71992,74592,59662,52705,62569,46966,38906,47430,,305,1235,2925,1656,3031,3112,4525,2568,1767,1480
490810,"Transfers """"decalcomanias"""", vitrifiable""""",91,46,13,31,60,82,93,177,161,145,,10603,9364,8286,6109,6333,9590,10026,8453,8269,6117,,2396,2147,3089,1644,2014,2353,2805,2364,2191,2971
480640,"Glassine and other glazed transparent or translucent papers, in rolls of a width > 36 cm or ...",1038,1377,570,871,161,195,215,401,746,144,,34573,36746,39887,40197,35870,35187,44139,40171,32953,37415,,21575,23533,27878,39409,47720,54265,60556,62272,52276,73367
630590,"Sacks and bags, for the packing of goods, of textile materials (excluding man-made, cotton, ...",8,48,38,6,27,5,2,7,34,144,,5171,13565,6742,3344,4434,3123,9231,10644,10029,11829,,1272,713,698,360,506,523,1087,1005,799,1186
780600,"Articles of lead, n.e.s.",118,140,71,108,140,355,166,173,150,144,,54559,68986,78558,34862,20887,17289,23603,20962,18744,126697,,2381,2069,2354,1732,1857,2064,2904,2909,2260,2598
830810,"Hooks, eyes and eyelets, of base metal, of a kind used for clothing, footwear, awnings, handbags, ...",276,33,51,146,68,75,43,265,208,143,,25854,24473,24308,23909,22062,20076,20285,17839,10435,14906,,18254,17512,22947,25670,25189,29551,32664,36627,22220,32266
844312,"Offset printing machinery, sheet fed [office type], using sheets of a side <= 22 x 36 cm in ...",219,1263,9,44,49,30,582,446,165,143,,9130,4789,4727,6336,9269,8055,6417,4377,3126,3502,,13112,10150,11490,8083,7091,11298,8362,6923,2458,2890
850940,"Domestic food grinders and mixers and fruit or vegetable juice extractors, with self-contained ...",447,235,828,493,197,273,677,601,27,143,,292244,371022,384205,420169,369779,388005,393606,312444,312410,501289,,8817,9772,12423,13537,16430,20042,25515,20447,12643,31299
290372,Dichlorotrifluoroethanes,0,626,249,370,168,277,433,375,0,142,,7160,5573,11327,27344,16512,9572,6834,14691,3152,3031,,0,1105,1019,1227,2206,1766,719,741,133,318
282759,"Bromides and bromide oxides (excluding of sodium, potassium and mercury)",110,3930,2516,74,63,11,58,325,466,142,,29230,50777,53104,40985,16484,34208,26043,37333,62037,44861,,1989,6353,4681,3230,5465,4647,7503,4025,3636,2759
810820,Unwrought titanium; titanium powders,0,4,4,63,78,5,16,44,58,140,,86394,121311,179175,155839,180861,220485,253135,189725,112907,64493,,1405,7513,4532,3401,2244,4799,5081,3812,5270,6157
871200,"Bicycles and other cycles, incl. delivery tricycles, not motorised",62,129,17,12,114,37,35,62,76,139,,125124,125428,128555,104452,100204,88208,96741,102633,96314,116025,,41685,23189,31028,30920,37793,48404,54378,34868,28261,71525
640391,"Footwear with outer soles of rubber, plastics or composition leather, with uppers of leather, ...",28,29,47,35,9,153,161,75,81,139,,143025,155963,167859,150815,141638,125024,117511,117300,82119,80211,,1444,3955,5069,3399,3633,10590,14325,12808,6884,8449
262029,"Slag, ash and residues containing mainly lead (excluding leaded gasoline sludges and leaded ...",0,0,0,13,0,0,0,0,25,139,,0,616,753,946,608,761,1020,1436,1271,249,,0,0,0,13,0,0,0,0,275,2170
401700,"Hard rubber, e.g. ebonite, in all forms, incl. waste and scrap; articles of hard rubber, n.e.s.",3152,3244,2058,1889,664,297,360,105,70,139,,29074,19496,19149,14611,15877,12214,14839,14909,7880,6009,,6805,7001,4219,4185,3038,3458,4207,3055,3214,3409
843290,"Parts of agricultural, horticultural or forestry machinery for soil preparation or cultivation ...",857,392,281,101,549,192,200,317,209,138,,325000,350159,300417,253036,249845,283746,275636,249290,233694,335019,,21442,14681,12786,11178,13241,12074,17231,16754,11429,12867
731590,"Parts of skid chain, stud-link chain and other chains of heading 7315 (excluding articulated ...",462,696,191,248,123,123,158,386,23,137,,38402,42170,43216,32877,26742,30696,27163,25539,19582,26334,,7065,7705,7719,8802,6693,6855,12762,8671,5738,7892
490599,"Maps and hydrographic or similar charts of all kinds, incl. atlases, wall maps and topographical ...",155,10,73,201,111,377,128,250,179,137,,7565,7111,7481,7087,8197,7817,10823,12099,9995,11103,,2056,2521,5619,6269,6243,7209,3468,5629,2259,795
691200,"Tableware, kitchenware, other household articles and toilet articles, of ceramics other than ...",457,238,405,149,95,72,156,149,95,137,,76525,70761,79970,80272,73253,73892,73707,71689,69811,102398,,19107,21425,21666,24745,22545,20447,20278,16893,9512,15322
960990,"Pencils, pastels, drawing charcoals, writing or drawing chalks and tailors' chalks",329,73,52,100,21,111,152,52,93,136,,19555,18605,20567,18827,21654,19542,21996,19784,20588,19768,,10597,7938,10794,7570,5210,7338,8959,6821,4562,4359
293911,"Concentrates of poppy straw; buprenorphine """"INN"""", codeine, dihydrocodeine """"INN"""", ethylmorphine, ...""",2361,2289,567,1987,664,56,204,84,3,136,,34108,31990,22963,13114,7408,24134,24540,19632,12875,14864,,42990,30044,27797,32031,20393,16386,15804,13143,18340,21464
844811,"Doobies and jacquards; card reducing, copying, punching or assembling machines for use therewith",129,12,145,377,85,2,193,206,228,135,,448,892,697,1392,1244,2084,1650,1877,1574,3571,,10000,12723,15958,9411,12129,16390,24860,16561,4181,5932
900792,"Parts and accessories for cinematographic projectors, n.e.s.",1331,2220,560,500,597,490,1126,96,292,135,,28793,34577,22562,24272,20063,16877,12314,10405,3268,3286,,3244,4672,2392,2872,7515,6772,3209,1321,592,628
440290,"Wood charcoal, whether or not agglomerated (excl. of bamboo or shell or nut, charcoal used ...",0,0,0,0,0,0,0,0,0,135,,12924,15420,15988,12075,13636,12484,15096,17583,20445,25960,,545,3128,6909,7944,732,527,12410,4787,5511,5926
961620,Powder puffs and pads for the application of cosmetics or toilet preparations,61,31,2,50,26,12,12,152,31,134,,35253,29020,38990,45084,47662,50093,44134,39248,24592,31057,,6419,571,570,849,1017,1174,1320,1952,783,1330
621030,"Garments of the type described in heading 6202, rubberised or impregnated, coated, covered ...",0,1,0,22,14,4,8,0,0,134,,695,1589,1194,1116,2363,2294,2592,3966,3565,2853,,51,45,18,171,36,37,265,149,64009,752
846023,"Cylindrical grinding machines for finishing metal, numerically controlled (excl. gear finishing ...",0,0,0,0,0,372,115,154,401,133,,0,0,0,0,0,10728,17937,19094,13700,19847,,0,0,0,0,0,3324,14038,30662,17249,20952
701810,"Glass beads, imitation pearls, imitation precious or semi-precious stones and similar glass ...",932,56,19,164,456,421,37,253,30,133,,32895,28993,29944,24676,21587,22364,27707,30532,16712,18519,,86971,80074,62994,63422,89199,139691,147267,128251,68581,87113
950639,Golf equipment (excluding balls and complete clubs),115,113,99,77,110,155,137,216,79,133,,151759,138378,121461,103614,123949,139861,123618,152981,162280,241707,,657,570,593,518,586,798,1433,907,470,815
844849,"Parts and accessories of weaving machines """"looms"""" and their auxiliary machinery, n.e.s.""""",4212,404,287,96,277,126,323,435,166,133,,13864,11820,16796,11886,12297,10829,12440,11625,8139,17398,,56944,38980,37540,37115,52338,65884,58690,69206,29300,53533
811229,"Articles of chromium, n.e.s.",37,9,91,184,228,176,310,153,166,132,,5131,12116,9475,10869,7596,7724,7707,9152,5496,4155,,2259,828,1401,1457,868,1478,2692,1405,1177,1726
291529,Salts of acetic acid (excluding inorganic or organic compounds of mercury),818,2762,2598,2220,1176,3469,3231,1393,1145,132,,25894,22215,23349,18632,17109,18984,21340,19870,23596,25484,,48541,65556,70807,53118,56141,72611,107997,87376,67318,72348
292620,"1-Cyanoguanidine """"dicyandiamide""""""""",395,3,5,14,4,60,111,37,54,132,,7340,4206,4186,5145,5634,6792,7180,6278,3344,4422,,65414,46302,45265,44190,43185,49340,73926,58509,68404,112958
900710,Cinematographic cameras,0,911,480,1559,289,123,420,163,234,132,,26686,12921,12828,16374,20576,19458,20096,21890,15147,18640,,0,2283,2939,3594,6103,3340,3723,3489,885,1970
260400,Nickel ores and concentrates,723,0,0,0,0,0,0,0,0,132,,11045,5303,52582,352577,201768,241651,221961,177711,205540,249061,,13849,22587,34229,64363,13887,3001,2,3,87,219
382478,"Mixtures containing perfluorocarbons """"PFCs"""" or hydrofluorocarbons """"HFCs"""", but not containing ...""",157,635,180,129,42,789,268,71,140,131,,82086,79909,88263,58077,74022,80413,98736,84105,74791,64709,,3170,3633,5927,9013,14412,20244,26237,26414,22607,28006
810390,"Articles of tantalum, n.e.s.",13,30,226,58,13,27,135,48,118,131,,72284,48327,41871,36974,36455,56992,83202,87245,111297,117477,,311,338,602,465,509,812,390,380,700,973
640610,Uppers and parts thereof (excluding stiffeners and general parts made of asbestos),3764,1247,1195,2855,1340,590,1370,445,21,131,,44408,51485,28386,27984,25928,22747,17688,21360,14099,19774,,30459,25301,25337,27800,26250,20554,21882,23744,15044,24099
900691,"Parts and accessories for photographic cameras, n.e.s.",1065,120,67,177,281,126,163,180,43,130,,69429,50180,49234,50607,36670,29152,28232,23219,25234,19776,,7387,4578,2675,2825,7344,3441,3473,4173,4373,8141
900319,"Frames and mountings for spectacles, goggles or the like (excluding of plastics)",1053,965,160,161,55,13,93,137,88,130,,97620,104519,105791,95478,96871,102204,90024,90963,62853,95166,,32126,35000,36515,31022,26509,37022,47649,49812,31046,52510
844130,"Machines for making cartons, boxes, cases, tubes, drums or similar containers (other than by ...",34,78,246,255,0,13,1962,50,53,130,,72371,64984,74496,71295,92700,94750,67645,104063,57870,48673,,20448,20590,11864,26485,35215,38953,43376,43233,39635,52923
91012,"Ginger, crushed or ground",0,0,0,1,0,0,4,121,3,129,,1487,1272,1079,1259,1273,1868,2364,2142,2912,2606,,0,179,257,944,136,266,265,794,1519,1229
820810,"Knives and cutting blades, of base metal, for machines or for mechanical appliances, for m ...",589,142,161,128,30,266,331,123,154,129,,42517,39404,40292,31720,29653,31588,32008,28297,24125,30460,,3962,7566,5510,2122,1579,2262,3615,7912,6850,4094
291241,"Vanillin """"4-hydroxy-3-methoxybenzaldehyde""""""""",2594,2553,930,2361,2304,1230,894,338,51,129,,29234,29728,22365,33196,22419,20904,28429,25482,23028,18009,,15431,15451,17839,18655,12832,18406,23251,23147,23744,29528
711719,"Imitation jewellery, of base metal, whether or not plated with precious metal (excluding cuff ...",167,85,1904,311,1250,98,100,206,210,129,,186487,187322,244228,237249,187690,160463,157278,134600,86711,88626,,4139,6748,9048,6213,7373,7201,10159,6946,5715,9097
680919,"Boards, sheets, panels, tiles and similar articles, of plaster or compositions based on plaster ...",314,18,205,433,221,127,1193,70,179,129,,54366,52894,65641,73006,66560,70409,79410,72781,61733,79829,,11013,10237,12262,18617,18124,23659,34693,41924,16057,21496
283329,"Sulphates (excluding of sodium, magnesium, aluminium, nickel, copper, barium and mercury)",381,413,420,105,242,204,138,338,96,128,,16828,20754,26345,23740,24459,30149,37282,41173,38368,48148,,3283,5770,5759,5004,4036,3520,15587,7338,6823,6087
790390,"Zinc powders and flakes (excluding grains of zinc, and spangles of heading 8308, and zinc dust)",104,408,402,178,390,361,401,228,134,128,,6674,2758,7717,17010,20435,17149,28572,23487,26785,16168,,2434,2358,2364,3305,4274,4316,5748,5202,3202,5118
291300,"Halogenated, sulphonated, nitrated or nitrosated derivatives of cyclic polymers of aldehydes ...",87,39,8,10,15,11,12,15,48,128,,1075,2287,1289,2515,275,240,776,342,565,756,,10967,11613,13688,11764,15098,19701,29534,25491,28416,26006
730424,"Casing and tubing, seamless, of a kind used for drilling for oil or gas, of stainless steel",523,33,243,37,267,93,175,345,151,128,,76739,59038,64783,38061,30227,58290,43920,33601,39778,30116,,4723,2418,15925,2050,1282,2425,16587,13483,18596,2192
621600,"Gloves, mittens and mitts, of all types of textile materials (excluding knitted or crocheted ...",80,111,143,102,62,79,118,123,152,128,,37158,40957,42303,35187,30415,29856,32816,33475,27507,33346,,988,1457,1394,1489,1415,1981,2260,2715,2593,2403
821210,Non-electric razors of base metal,283,305,8,3,1,2,0,109,10,128,,85400,106702,102554,109917,86219,87888,91430,77027,75859,61480,,4346,6640,6355,5645,5541,7883,8831,6473,11087,10893
720221,"Ferro-silicon, containing by weight > 55% of silicon",377,0,0,0,4,194,288,0,222,128,,37379,23228,20467,17453,12783,22105,24079,15813,8592,14988,,144937,135435,132590,142279,155369,184768,249872,216754,181568,282970
282090,Manganese oxides (excluding manganese dioxide),105,83,52,175,50,132,98,135,94,127,,14776,16819,17969,13357,10627,12039,12167,10198,10801,11969,,2147,3515,4056,3891,3732,5045,7117,5689,6948,10495
401490,"Hygienic or pharmaceutical articles, incl. teats, of vulcanised rubber (excluding hard rubber), ...",936,1746,200,707,1781,833,893,1991,3518,127,,91169,83182,55805,38822,38543,37982,33281,31082,27429,24598,,14509,11120,5079,6011,5860,8251,15199,23028,19327,15938
550911,Single yarn containing >= 85% nylon or other polyamide staple fibres by weight (excluding sewing ...,0,0,0,0,0,0,9,4,217,125,,10512,9122,7256,7580,8571,12028,14443,9756,5505,3983,,40,68,184,235,239,307,880,866,1515,2031
284130,Sodium dichromate,112,0,58,0,1,1,143,29,143,125,,20142,27121,24415,0,0,0,0,0,0,0,,11922,15619,16445,11312,13676,20872,18677,15731,13757,17187
440729,"Tropical wood, sawn or chipped lengthwise, sliced or peeled, whether or not planed, sanded ...""",1934,373,2700,539,947,2209,1464,1452,159,125,,10134,14038,12111,9023,10142,7796,11012,12820,4571,7279,,55500,60329,71384,118725,109229,150631,146492,155379,117042,133892
281610,Hydroxide and peroxide of magnesium,78,97,109,88,143,130,134,76,165,125,,21120,19226,22838,19426,18339,23563,19166,17072,16591,16667,,942,1386,1359,633,910,2000,2269,1748,2186,2617
730629,"Casing and tubing of a kind used in drilling for oil or gas, welded, of flat-rolled products ...",608,1440,769,2308,550,70,268,144,238,125,,454268,432699,542268,296601,197140,327796,266779,189733,108248,154999,,25626,30870,10691,4097,7448,1133,2319,2128,3004,1076
741011,"Refined copper foil, not backed, of a thickness of <= 0,15 mm (excluding stamping foils of ...",83,401,51,24,62,190,161,130,68,125,,26862,26177,26941,28006,36676,41557,44801,59272,30561,43703,,13121,16445,11287,13799,11211,12825,14315,11592,8943,11201
51110,Bovine semen,0,58,45,235,1566,0,47,377,139,125,,131194,137623,165305,167305,156367,169997,190306,208468,251637,291613,,30,522,209,362,1679,387,64,377,150,133
250490,Natural graphite (excluding in powder or in flakes),242,433,395,274,173,245,292,228,91,124,,4213,2191,3951,5494,7247,5138,4044,1431,1473,1573,,2245,1869,2111,1614,1062,1301,1245,1213,826,1251
283327,Sulphate of barium,84,6,4,2,4,84,92,76,28,124,,2526,3731,3889,4057,5505,10446,7449,6805,7487,6928,,9744,9878,11569,10048,10675,13734,14048,14746,14699,21553
750210,"Nickel, not alloyed, unwrought",2667,194,15,332,168,27,5596,1903,424,124,,47766,43150,60144,51637,51920,34576,44815,43748,37998,54576,,656635,794294,1066266,1002876,399993,401770,515095,447864,409182,694157
340700,"Modelling pastes, incl. those put up for children's amusement; preparations known as dental ...""",567,335,491,715,721,533,708,1283,414,124,,62529,58338,66332,69836,62370,72926,77172,71168,60781,80334,,4728,4485,5386,5106,4761,7247,8651,9395,4766,8729
150890,"Groundnut oil and its fractions, whether or not refined (excluding chemically modified and ...",82,1,10,85,74,35,144,423,226,123,,8450,10190,8532,10320,8052,6515,7170,5499,6106,8570,,242,273,329,229,116,90,224,425,309,134
283524,Phosphates of potassium,29,4,11,10,22,32,91,260,441,123,,9005,7036,8600,9318,10408,13816,21785,18704,21139,25769,,1369,1069,2282,2372,2552,2037,1840,2843,2829,3796
292142,Aniline derivatives and their salts,282,133,768,10,51,309,321,28,104,123,,6322,7826,10698,5068,3940,6470,12527,12251,6265,5962,,57181,65872,66979,66588,54140,63610,85872,74122,78243,87942
845630,"Machine tools for working any material by removal of material, operated by electro-discharge ...",587,49,114,59,28,7,156,989,89,123,,46162,47372,59998,36565,32415,42278,34261,29683,25090,36279,,8412,9829,12673,16362,17679,22441,25526,24606,21236,22138
940370,"Furniture of plastics (excluding medical, dental, surgical or veterinary, and seats)",447,245,203,332,451,89,127,445,93,122,,132368,143901,144346,128398,120774,140064,137561,136834,122226,153575,,6925,7874,7679,8367,7407,7563,7705,8681,7616,9683
810790,"Articles of cadmium, n.e.s.",0,3,37,30,5,0,49,64,0,122,,1178,634,553,1239,928,719,344,376,492,745,,513,918,1189,1404,1898,1641,5011,4849,2122,1337
900580,"Monoculars, astronomical and other optical telescopes and other astronomical instruments (excluding ...",262,570,125,466,122,538,276,888,101,122,,75662,80701,62160,60837,52966,55437,53202,74773,49065,69758,,9667,2116,1239,1155,705,1240,1560,3456,1512,17961
950450,Video game consoles and machines (excluding operated by any means of payment),0,234,388,142,342,1109,205,118,205,122,,1517285,1465428,1416215,1174643,860900,1263023,1093324,855311,1001455,1174430,,0,17315,23862,20112,16234,22770,26514,23052,14684,34958
691190,"Household and toilet articles, of porcelain or china (excluding tableware and kitchenware, ...",142,3,23,22,19,8,8,33,225,122,,14709,16034,18409,18740,12947,10424,12494,11310,11133,34603,,4104,2735,2312,2930,2779,1493,1347,1473,747,1239
741539,"Screw hooks, screw rings and the like, threaded, of copper (excluding standard screws and bolts ...",108,54,44,149,81,141,143,74,65,122,,19410,19380,24917,25856,19608,21262,27006,22634,18096,20632,,5028,5901,5113,4018,4187,4761,5607,5046,5749,8864
853223,"Fixed electrical capacitors, ceramic dielectric, single layer (excluding power capacitors)",30,36,41,178,447,31,55,46,170,121,,90196,80195,104246,88807,79893,87429,93695,86738,67329,79511,,1835,3579,2616,5723,9094,7411,9976,15726,8964,11161
291632,Benzoyl peroxide and benzoyl chloride,54,5,169,0,0,0,5,71,28,121,,10425,11785,13408,14914,15797,14557,14248,14169,13964,10813,,4483,4014,5112,4839,4343,4524,4172,4871,4947,5446
851090,"Parts of electric shavers, hair clippers and hair-removing appliances, with self-contained ...",220,240,329,545,157,141,156,338,158,121,,47203,43023,43422,44170,40141,43137,42052,46791,47793,50433,,297,727,563,727,644,871,544,575,570,745
920120,Grand pianos,0,0,79,0,0,0,5,0,0,121,,16989,21129,19055,19208,15931,18765,16657,19935,21158,25254,,585,496,675,442,334,490,490,415,278,1060
901600,"Balances of a sensitivity of 50 mg or better, with or without weights",466,135,178,201,107,66,225,257,157,121,,15856,14580,15484,14973,15417,15478,16860,16336,15236,21094,,19933,19493,21053,24575,22548,23742,24301,20674,18405,28543
841810,"Combined refrigerator-freezers, with separate external doors or drawers, or combinations thereof",10999,1709,4271,949,315,150,225,124,113,121,,443441,421643,445490,297425,235496,224004,195900,176906,162594,164506,,96815,76995,103937,95930,113962,167029,140825,187278,151135,236858
210220,Inactive yeasts; other dead single-cell micro-organisms (excluding packaged as medicaments),58,76,2,11,65,20,99,105,129,121,,52592,56154,66919,61925,66413,76683,73535,76060,75189,79826,,365,437,971,796,1317,2341,2839,2160,2468,4734
845390,"Parts of machinery for preparing, tanning or working hides, skins or leather or for making ...",114,50,30,29,28,220,33,42,337,121,,5938,5908,5564,5221,4725,4761,5651,5842,4950,7625,,13970,11122,11834,11122,11878,8473,9583,10982,9094,16406
741521,"Washers, """"incl. spring washers and spring lock washers"""", of copper""""",20,34,33,8,23,25,31,46,50,120,,9368,9852,9790,9019,7989,10481,11324,10496,9143,10334,,394,539,499,457,383,511,864,525,453,1001
291611,Acrylic acid and its salts,414,279,248,316,380,1570,611,231,262,120,,64746,89825,89276,55602,35426,39012,42678,31930,28791,45054,,31231,31010,38709,27215,24008,36721,51533,57819,48585,94127
480256,"Uncoated paper and paperboard, of a kind used for writing, printing or other graphic purposes, ...",63,3,42,3,279,164,129,285,107,120,,349201,410608,389168,345535,342896,328994,320394,262659,161333,155559,,5678,4626,10896,11852,22190,61719,41244,42268,13482,2978
401190,"New pneumatic tyres, of rubber (excl. of a kind used on agricultural, forestry, construction, ...",0,0,0,0,0,227,172,134,38,120,,0,0,0,0,0,207887,234707,240888,156607,216819,,0,0,0,0,0,8487,6270,7497,7217,7406
591131,"Textile fabrics and felts, endless or fitted with linking devices, of a kind used in papermaking ...",228,141,268,218,109,161,222,130,236,119,,23394,22918,25010,21677,17108,15556,18548,19509,19457,16555,,3764,2536,2984,3216,2612,2659,3255,3973,2759,3642
283429,Nitrates (excluding of potassium and of mercury),332,60,79,119,63,171,299,228,158,118,,18117,17248,20930,22283,24346,30613,29535,26340,18343,22947,,3226,2760,2209,3497,2042,1738,2159,3777,2063,3012
290621,Benzyl alcohol,39,16,33,59,84,107,201,426,201,118,,5707,7487,7209,6579,6248,10378,10609,9527,10670,11052,,758,1726,2211,2331,1753,2235,2551,2471,2657,1790
621290,"Corsets, braces, garters, suspenders and similar articles and parts thereof, incl. parts of ...",34,15,24,4,44,1,3,3,151,118,,14321,18451,23180,26250,17829,13501,15664,14192,33088,62988,,792,774,1455,3439,4288,6171,14311,18074,6104,10246
690740,Finishing ceramics (excl. refractory),0,0,0,0,0,10,13,46,4,117,,0,0,0,0,0,12636,11810,13086,9455,8739,,0,0,0,0,0,11585,7906,4428,3925,2204
470693,"Semi-chemical pulp of fibrous cellulosic material (excluding that of bamboo, wood, cotton linters ...",34,33,23,15,49,58,122,154,94,117,,336,1464,2718,2789,2557,3273,6231,6539,7222,7315,,182,16570,9820,15,91,85,137,156,100,118
871499,"Parts and accessories, for bicycles, n.e.s.",2671,121,119,135,95,111,134,118,51,117,,109241,100059,120486,121040,93674,94283,79526,85650,81737,104282,,150623,93026,29479,35379,68516,57124,52354,33625,34916,52857
70320,"Garlic, fresh or chilled",0,0,0,0,0,0,0,0,49,116,,11955,15366,18800,16798,19460,20361,15491,15714,17853,18366,,52,0,52,1217,8,68,30,683,4239,1196
330730,Perfumed bath salts and other bath and shower preparations,101,117,17,86,139,106,28,257,209,116,,63728,58635,62087,51085,47973,60771,71546,70087,58689,53561,,10499,10034,7924,6364,8333,5016,2823,5983,2287,3007
240391,"Tobacco, """"homogenised"""" or """"reconstituted"""" from finely-chopped tobacco leaves, tobacco ...""",63,24,21,33,94,73,96,227,203,116,,56713,61724,55753,47974,34444,37967,38242,65145,62720,54330,,930,856,1460,2211,848,739,1176,2545,1586,609
441520,"Pallets, box pallets and other load boards, of wood; pallet collars of wood (excluding containers ...",119,42,41,298,139,30,59,173,86,115,,68707,84735,82335,88106,96099,85844,91982,111236,92283,93580,,6653,7834,8017,7618,7506,9685,10111,10919,7624,11608
940592,"Parts of lamps and lighting fittings, illuminated signs and nameplates and the like, of plastics, ...",513,307,368,109,59,108,177,93,27,115,,55896,60253,72998,86713,84070,91739,98546,99833,81548,85758,,1743,1807,3547,4502,5977,7882,4276,2906,2370,2304
130190,"Lac; natural gums, resins, gum-resins, balsams and other natural oleoresins (excluding gum ...",1815,1038,718,662,678,591,622,314,155,115,,21584,22595,22278,21784,19450,21795,20364,20357,24814,20107,,81041,83189,99555,103915,99711,141741,142800,163250,149916,155818
293979,"Vegetal alkaloids, natural or reproduced by synthesis, and their salts, ethers, esters and ...""",0,0,0,0,0,45,146,185,58,114,,0,0,0,0,0,3601,5515,7949,8817,15955,,0,0,0,0,0,2301,3346,5458,5453,7266
190490,"Cereals (excl. maize [corn]) in grain or flake form or other worked grains, pre-cooked or otherwise ...",51,153,173,182,103,133,144,123,145,114,,119014,123581,117597,110527,97280,96550,85651,74071,90287,80360,,508,502,435,384,235,366,493,424,657,2983
731414,"Woven cloth, incl. endless bands, of stainless steel wire (excluding woven products of metal ...",572,277,398,770,2147,2684,1947,2463,1675,114,,42672,31115,24218,26601,20189,35494,29032,34407,24313,26374,,7042,9412,10920,11221,13539,15827,17621,18059,12565,14416
820551,"Household hand tools, non-mechanical, with working parts of base metal, n.e.s.",249,177,97,112,94,95,85,82,58,114,,43156,40830,44827,39953,40926,37652,39309,32997,33035,44920,,4167,2005,1873,1949,2056,3047,3022,2537,2078,3040
940690,"Prefabricated buildings, whether or not complete or already assembled (excl. of wood, and modular ...",0,0,0,0,0,129,793,290,596,114,,0,0,0,0,0,430089,497874,435526,396583,462116,,0,0,0,0,0,14964,30166,26307,16277,25348
290331,"Ethylene dibromide """"ISO"""" """"1,2-dibromoethane""""""""",175,0,3,0,308,206,0,123,176,113,,3421,2079,537,4132,4256,3601,9016,5964,2430,2036,,1346,698,437,285,606,210,550,214,785,117
681410,"Plates, sheets and strips of agglomerated or reconstituted mica, whether or not on a support ...",155,137,199,32,2,25,210,134,156,113,,16176,15143,15638,16936,12891,11173,10349,16621,7998,10620,,5521,4723,5517,7283,7554,8792,8623,10114,9798,10077
80131,"Fresh or dried cashew nuts, in shell",822,0,0,0,0,0,69,64,196,112,,2175,3315,1804,1754,1697,2550,1333,693,678,1859,,924079,812491,1025634,1313862,1180853,1450605,1714075,1097656,1086928,1126253
851660,"Electric ovens, cookers, cooking plates and boiling rings, electric grillers and roasters, ...",2276,831,379,974,1057,224,351,347,528,112,,366411,376744,389316,381734,358465,354710,347183,343408,374533,422257,,121140,107891,70302,57575,51634,56921,77295,81131,78688,94821
911490,"Clock or watch parts, n.e.s.",101,0,8,2,3,29,4,13,21,112,,10694,8397,6552,8548,7748,6064,6098,6153,5900,6512,,6663,3290,3861,4506,5500,6606,9076,7989,4049,11200
