Product code,Product label,Russian Federation's imports from Singapore-Value in 2012,Russian Federation's imports from Singapore-Value in 2013,Russian Federation's imports from Singapore-Value in 2014,Russian Federation's imports from Singapore-Value in 2015,Russian Federation's imports from Singapore-Value in 2016,Russian Federation's imports from Singapore-Value in 2017,Russian Federation's imports from Singapore-Value in 2018,Russian Federation's imports from Singapore-Value in 2019,Russian Federation's imports from Singapore-Value in 2020,Russian Federation's imports from Singapore-Value in 2021,Singapore's exports to world- ,Singapore's exports to world-Value in 2012,Singapore's exports to world-Value in 2013,Singapore's exports to world-Value in 2014,Singapore's exports to world-Value in 2015,Singapore's exports to world-Value in 2016,Singapore's exports to world-Value in 2017,Singapore's exports to world-Value in 2018,Singapore's exports to world-Value in 2019,Singapore's exports to world-Value in 2020,Singapore's exports to world-Value in 2021,Russian Federation's imports from world- ,Russian Federation's imports from world-Value in 2012,Russian Federation's imports from world-Value in 2013,Russian Federation's imports from world-Value in 2014,Russian Federation's imports from world-Value in 2015,Russian Federation's imports from world-Value in 2016,Russian Federation's imports from world-Value in 2017,Russian Federation's imports from world-Value in 2018,Russian Federation's imports from world-Value in 2019,Russian Federation's imports from world-Value in 2020,Russian Federation's imports from world-Value in 2021
902750,"Instruments and apparatus for physical or chemical analysis, using UV, visible or IR optical ...",4504,11631,3582,1370,1507,917,1731,4692,12216,12220,,312865,403283,547263,508735,582981,678669,932011,1017620,1224953,1260138,,173560,188046,135100,77513,94640,111340,106476,137316,181903,224735
850610,Manganese dioxide cells and batteries (excluding spent),7235,8339,5905,5906,8155,14622,13624,11872,11395,11706,,235921,247093,286589,236512,251250,261562,315102,301816,308062,334925,,140451,149321,152548,97110,91696,105074,107912,98709,106232,114968
852351,"Solid-state, non-volatile data storage devices for recording data from an external source [flash ...",166,615,652,575,629,1511,3506,4369,11329,10998,,377016,629062,810467,1329472,1830931,2799697,2656865,1652974,2263685,2194265,,385933,197546,216708,125520,131172,254385,243924,259899,305566,425008
902780,"Instruments and apparatus for physical or chemical analysis, or for measuring or checking viscosity, ...",3503,3496,6872,4570,6653,6550,9699,11005,12216,10830,,674859,596636,529997,627422,767757,881844,1126884,1018223,1074423,1278693,,203211,184468,160703,99894,103221,142903,159038,182080,204682,221701
847989,"Machines and mechanical appliances, n.e.s.",714,4943,2425,926,1575,1835,3441,3317,25659,10182,,767901,757565,1164035,773613,641656,811243,792359,882291,931523,920757,,1072000,1495391,1096813,742760,788874,869978,960527,917448,992239,1208468
851762,"Machines for the reception, conversion and transmission or regeneration of voice, images or ...",11678,10745,10623,5771,5061,7590,8344,8945,8578,9220,,2731163,3067437,2833309,3046223,3312670,3716429,3883879,3614973,4557588,5152324,,1726928,1484456,1511162,1181750,1135517,1437891,1597161,1737558,2182477,2372652
902720,Chromatographs and electrophoresis instruments,466,1476,1121,912,2808,2885,3812,3712,4859,7291,,239045,230211,228740,249255,301119,347328,406423,453422,397632,494386,,47481,34809,30105,22523,41014,31932,38655,49849,53025,67133
392190,"Plates, sheets, film, foil and strip, of plastics, reinforced, laminated, supported or similarly ...",2455,5453,6670,5911,5126,6656,6178,5554,4261,6591,,155837,142310,134356,126819,116669,109178,105573,95238,79769,87363,,501166,511469,491675,393317,414689,477718,519196,494061,464094,563871
902150,Pacemakers for stimulating heart muscles (excluding parts and accessories),0,0,0,2133,2998,7008,10401,8936,8454,6342,,54300,60586,105521,218010,218893,212770,114934,112162,60386,139422,,27341,27130,25222,13067,13198,18194,26748,26102,19542,22594
902730,"Spectrometers, spectrophotometers and spectrographs using optical radiations, such as UV, visible, ...",1658,2346,1916,1097,2035,2589,4360,6098,4127,6325,,170957,240980,285965,319010,335336,336940,368783,368854,302178,338290,,114542,101779,71782,50248,46529,60991,66180,72615,72340,77140
847170,Storage units for automatic data-processing machines,27712,22468,14613,14170,12089,10176,14266,13482,8844,6046,,4094849,3636521,3309054,3154881,2481062,2432233,2074048,2061329,2052346,1990445,,596580,593139,1026854,983014,771191,1048070,1063429,1039635,1095164,1205837
854231,"Electronic integrated circuits as processors and controllers, whether or not combined with ...",62491,56994,39651,36448,6362,10671,8494,8052,8939,5966,,30265681,30754038,32528513,31067810,30028051,30717816,25520497,21203799,26221004,39605010,,242317,288088,546366,507806,424334,538515,587490,645350,730925,863073
901520,"Theodolites and tachymeters """"tacheometers""""""""",5419,5449,5587,1765,1877,3200,3498,4858,4022,5801,,6029,11572,34500,22236,45536,107324,130118,94552,106792,138060,,54413,27209,29424,14828,10460,14427,15401,15354,13477,19555
902190,"Articles and appliances, which are worn or carried, or implanted in the body, to compensate ...",407,4705,7070,6495,9655,8023,3228,4848,5538,5736,,406337,458246,349921,477364,388006,400468,427455,450497,332115,805684,,125932,165905,192646,146324,165464,207646,222311,238614,213387,251176
853890,"Parts suitable for use solely or principally with the apparatus of heading 8535, 8536 or 8537, ...",4566,3864,6407,4720,5120,7261,6797,7409,5236,5662,,1773695,874580,657865,588799,591230,640266,1124483,1353371,1125340,1734200,,270279,284821,257883,188819,209541,272197,293501,288842,297017,338597
901180,"Optical microscopes (excluding for photomicrography, cinephotomicrography or microprojection, ...",1390,1836,2316,1461,2064,1572,2109,5589,7174,4882,,21792,14752,18852,15853,19263,15711,18803,12881,10530,7878,,41818,39637,28117,21191,15942,17268,17745,33480,45630,37815
901812,Ultrasonic scanning apparatus,0,837,1330,799,542,2773,2669,2566,3642,4648,,28932,133737,35563,37004,51945,43290,51839,65485,72094,76225,,476607,278342,275019,208814,133270,141668,169422,222638,230611,280800
330790,"Depilatories and other perfumery, toilet or cosmetic preparations, n.e.s.",0,0,0,0,0,0,138,0,2563,4615,,68278,102055,186216,82478,84199,87200,99250,103625,107120,112384,,147504,173960,174416,119896,97865,112296,125532,133630,110410,120167
271019,"Medium oils and preparations, of petroleum or bituminous minerals, not containing biodiesel, ...",3117,2747,4270,7278,7110,6224,5984,3952,4405,4390,,48609846,46130341,42668050,27219489,23654667,31195996,33977162,29297643,17208867,25298192,,1554385,1232255,1050610,672940,660576,807935,836891,827896,934802,1296976
901110,Stereoscopic optical microscopes,231,250,277,555,2744,2090,3690,4443,3791,4034,,7082,8026,6050,7242,8466,15494,70569,83849,67858,131999,,37652,25696,22736,18351,18215,19721,30397,33117,32874,39416
852349,Optical media for the recording of sound or of other phenomena (excluding unrecorded and goods ...,5419,6971,6862,4076,4577,5273,6374,7091,3600,3923,,2120339,1402196,1259238,749895,603269,534616,514385,405454,371350,391294,,188876,265887,1202931,110435,68278,81199,81901,111011,119442,136679
900130,Contact lenses,734,641,637,306,326,624,703,1296,1437,3748,,438896,591776,527599,526355,589547,593365,580110,726015,737888,605398,,99788,112361,159236,83132,101710,136009,141138,133016,112755,148967
844399,"Parts and accessories of printers, copying machines and facsimile machines, n.e.s. (excluding ...",22717,17460,7395,4388,5179,5268,4947,4755,4012,3671,,6107660,5670055,4693435,4632247,3954257,4283840,4195562,3812250,4550108,6217790,,743222,753007,677047,333125,316777,370365,378282,369237,289450,362313
711299,"Waste and scrap of silver, incl. metal clad with silver, and other waste and scrap containing ...",0,0,0,0,0,0,0,0,0,3492,,56156,47735,60504,102352,83038,67556,57080,67903,154443,303534,,2481,1831,8305,3218,1718,17948,34226,116046,121075,100613
901890,"Instruments and appliances used in medical, surgical or veterinary sciences, n.e.s.",3246,3303,1694,792,1775,1781,2867,5027,3899,3310,,2141893,2119294,2055164,1596501,1516946,1802294,1608692,1782237,2016544,1899916,,1398525,1198787,1257837,732659,853792,900819,930321,1066345,1147334,1303655
902610,Instruments and apparatus for measuring or checking the flow or level of liquids (excluding ...,79,125,8,5,1725,3738,2563,5601,6290,3061,,58146,69961,74590,79204,79809,73041,84867,87308,72136,78727,,114642,115562,99517,72419,74906,84906,93084,93268,92617,92209
902140,Hearing aids (excluding parts and accessories),3238,4078,3789,2011,2227,4179,3606,1679,2166,2985,,344291,381128,349865,362369,366499,379201,490488,478396,444699,479390,,46310,48631,42981,25404,22022,41072,35229,32042,30167,35261
850110,"Motors of an output <= 37,5 W",1107,512,1065,1648,1141,1783,1723,2112,2065,2837,,244927,173914,142328,102476,91146,105116,197901,205000,176088,179713,,112636,124164,117488,78355,85275,111702,120971,127947,130258,164897
854239,"Electronic integrated circuits (excluding such as processors, controllers, memories and amplifiers)",4120,1822,1460,2652,3265,4152,5229,4193,2792,2767,,32593041,36923372,34592377,31382566,29461621,30799589,33383703,35198135,37437353,43377318,,144014,122988,131948,155067,307231,383420,508517,394866,387210,519791
390610,"Poly""""methyl methacrylate"""", in primary forms""""",14,1681,2980,2643,983,3218,956,2571,2800,2750,,201368,168820,217977,186765,171120,230470,239246,193549,167545,196849,,33568,42513,46743,26624,21280,29709,32304,26393,26185,31135
401699,"Articles of vulcanised rubber (excluding hard rubber), n.e.s.",110,245,269,197,246,562,666,824,1223,2607,,91973,101734,109978,112758,117863,125981,157491,140085,156095,201170,,258835,274460,252618,194783,228831,292373,313844,333212,329973,466818
843143,"Parts for boring or sinking machinery of subheading 8430.41 or 8430.49, n.e.s.",2454,1970,7879,5610,9163,4385,11540,2117,10949,2576,,4237094,4404537,3814484,3292943,2005376,1601263,1327192,1302815,1173732,921138,,345224,445062,427742,227810,144719,162250,199311,207201,203394,136646
390390,"Polymers of styrene, in primary forms (excluding polystyrene, styrene-acrylonitrile copolymers ...""",33,73,104,1139,1485,1420,1480,1411,1305,2576,,99280,172660,241806,200340,184616,198722,219519,187304,178868,230129,,45217,64445,66048,45936,53034,56069,64449,56730,46340,70460
382499,"Chemical products and preparations of the chemical or allied industries, incl. those consisting ...",0,0,0,0,0,2346,2047,1298,1771,2525,,0,0,0,0,0,0,803929,723571,629804,719664,,0,0,0,0,120,538344,594462,598317,598458,677353
151190,"Palm oil and its fractions, whether or not refined (excluding chemically modified and crude)",0,5,0,0,0,97,349,2353,1916,2244,,110422,95460,87667,56748,44887,49889,39844,32313,47163,83484,,751606,688792,640386,603750,646902,701646,748406,663053,793164,1271527
400219,"Styrene-butadiene rubber """"SBR""""; carboxylated styrene-butadiene rubber """"XSBR"""", in primary ...""",0,0,0,145,1057,2224,1763,1824,1738,2227,,30455,40504,108893,203465,256582,319909,307015,273446,239723,272571,,69035,72289,55152,49066,57199,70845,73611,74177,56295,82797
901850,"Ophthalmic instruments and appliances, n.e.s.",0,74,0,0,0,0,0,276,632,2187,,73828,70862,44066,57642,64922,93105,128253,186735,146990,249261,,114871,88137,89187,68891,76726,91076,113795,130760,101713,130168
830260,Automatic door closers of base metal,2480,2828,2312,1464,1607,2055,1656,2127,1435,2128,,73057,87000,107170,77651,71118,77267,103666,98657,91979,111956,,26253,26900,24240,14379,16291,22601,26383,31164,27373,32897
847160,"Input or output units for automatic data-processing machines, whether or not containing storage ...",1250,1803,926,847,481,401,131,404,374,2121,,240316,243102,218077,296655,268675,288372,351252,350851,323344,446836,,291313,235696,169720,120953,156273,202026,209840,229730,320286,348598
852580,"Television cameras, digital cameras and video camera recorders",10,68,758,102,114,226,493,1179,1394,2108,,1003207,963557,822841,699686,640315,685186,784790,668982,593216,748906,,1583592,1116715,721542,372438,354328,486739,499923,454418,463894,559165
848180,"Appliances for pipes, boiler shells, tanks, vats or the like (excluding pressure-reducing ...""",3293,1310,3807,2590,1589,1362,2856,3329,2459,2002,,461769,561893,704456,633105,581182,455565,563650,629936,687943,745516,,2512754,1830755,1675857,1102214,1206717,1374239,1492903,1765922,1724534,1938088
902139,Artificial parts of the body (excluding artificial teeth and dental fittings and artificial ...,582,1258,1392,1089,1278,1455,1962,2221,1648,1944,,170213,280538,346987,384206,479826,564080,768529,1070021,1402092,1193432,,189347,220493,160846,103761,106123,114620,151073,159313,110939,126081
850760,Lithium-ion accumulators (excluding spent),56,28,8,13,12,155,909,324,78,1905,,174389,226428,306796,363701,380092,567530,702980,801332,742839,871766,,51100,47176,52022,53706,69919,88450,122807,137185,158350,208905
732690,"Articles of iron or steel, n.e.s. (excluding cast articles or articles of iron or steel wire)",1706,2503,2607,3878,2029,2843,6448,3056,4725,1899,,198587,331173,311066,256872,241364,238426,291542,329090,295639,344763,,1206149,1256131,1286328,760066,798082,990657,1103367,1175011,1132987,1298789
901832,"Tubular metal needles and needles for sutures, used in medical, surgical, dental or veterinary ...",1880,465,2898,1005,1084,1702,1836,1946,1371,1882,,34852,43637,64784,87570,78265,75196,99596,110450,102205,104278,,33706,35097,37848,34533,37980,46634,51541,55668,57444,58293
400220,"Butadiene rubber """"BR"""", in primary forms or in plates, sheets or strip""""",0,0,0,0,0,0,0,0,0,1871,,53116,30689,59955,74088,115728,221622,207727,172374,127143,88178,,31014,33502,26425,20901,23846,39364,37135,32280,21233,34382
392690,"Articles of plastics and articles of other materials of heading 3901 to 3914, n.e.s (excluding ...",1211,846,983,520,680,1352,1070,849,1097,1788,,1010321,764070,758536,543104,529197,668938,742218,710316,680441,804828,,1012511,1061856,978112,634268,674112,828434,944700,1025419,1052490,1299675
290531,"Ethylene glycol """"ethanediol""""""""",143,193,371,414,48,33,0,0,0,1700,,1187813,1425163,1205404,944207,367723,754934,1000633,579260,568164,751971,,45147,43919,36612,17290,26457,45356,53403,44067,42032,85963
841350,"Reciprocating positive displacement pumps for liquids, power-driven (excluding those of subheading ...",1387,3217,2350,86,1269,40,573,24,12,1677,,48544,74464,86981,83119,95677,83589,104243,104668,82840,93315,,222742,264769,217202,155978,154091,230291,268084,235416,270818,272852
848640,Machines and apparatus specified in Note?9 C to chapter 84,1240,1987,1349,2336,245,1115,1183,2655,456,1610,,1190602,1017166,1512355,1221611,2048802,3261439,3247936,2803661,4145181,6673234,,17279,23104,23206,15673,8084,16099,11137,17875,5893,17948
841391,"Parts of pumps for liquids, n.e.s.",1778,1620,5359,5742,4882,4441,4340,3334,935,1574,,260201,262359,303427,270736,231235,216505,296580,293558,208370,222911,,198720,178784,162012,133373,124504,156158,168938,168501,176652,179090
902590,"Parts and accessories for hydrometers, areometers and similar floating instruments, thermometers, ...",546,1157,921,1458,1582,1375,1245,1675,2127,1459,,55635,51374,74976,55574,72298,52319,59644,58893,65910,53728,,28710,32578,31082,22120,22884,32843,37898,39111,40312,47452
847330,Parts and accessories of automatic data-processing machines or for other machines of heading ...,6795,7159,6495,3739,2588,4413,3585,3753,1692,1454,,8646666,6990269,6183039,4721034,4169649,4438718,3871354,4154481,4064225,3797731,,428226,387163,863091,1459175,533143,926459,923226,841538,1045051,1149251
853710,"Boards, cabinets and similar combinations of apparatus for electric control or the distribution ...",3846,5054,9518,3091,3237,3485,5130,2624,4064,1446,,814902,890079,1013168,972547,1107486,1177684,1412015,1196896,1061668,1172628,,1565747,1320488,1214654,845593,826990,1060669,1108917,1080740,1126440,1323395
847190,"Magnetic or optical readers, machines for transcribing data onto data media in coded form and ...",184,314,183,35,29,244,46,139,821,1398,,297584,296633,283890,275904,303253,318690,453953,308629,323635,293760,,53399,47643,41206,68201,95382,108115,122238,137764,100872,158558
151620,"Vegetable fats and oils and their fractions, partly or wholly hydrogenated, inter-esterified, ...",0,0,118,0,16,9,26,2274,1610,1327,,76429,72212,73299,55432,55549,54219,54649,40101,42801,57726,,103336,85684,94043,94793,71797,99386,77337,71566,62207,89931
300215,"Immunological products, put up in measured doses or in forms or packings for retail sale (excl. ...",0,0,0,0,0,6992,7409,9810,5372,1296,,0,0,0,0,0,0,605887,202018,475992,298545,,0,0,0,0,0,409155,433112,1174562,1088441,1497263
902620,Instruments and apparatus for measuring or checking pressure of liquids or gases (excluding ...,294,456,1360,1177,1424,1485,3927,1897,2443,1217,,193477,281985,286443,281891,307749,272787,279940,320421,249545,322887,,142163,178103,126155,90000,98491,117733,125391,121128,123819,143111
871499,"Parts and accessories, for bicycles, n.e.s.",613,1302,958,4,433,270,773,627,511,1184,,598455,573025,400469,330799,262363,278544,303087,275803,300802,474486,,33928,36427,34671,22545,19538,22837,27170,30932,20589,45891
340399,"Lubricant preparations, incl. cutting-oil preparations, bolt or nut release preparations, anti-rust ...",1060,1288,903,265,154,193,631,382,540,1132,,78480,75509,88666,90927,97905,111480,139333,137192,119255,129690,,253962,252923,224515,144319,153388,167453,175293,159060,148500,179695
730799,"Tube or pipe fittings, of iron or steel (excluding cast iron or stainless steel products; flanges; ...",3172,3592,2216,2560,5166,3944,7921,4303,2348,1130,,130439,132082,138217,131917,96159,72016,70162,94020,87325,108443,,118856,129238,136441,111910,92235,100563,118817,140159,121936,123447
854232,Electronic integrated circuits as memories,373,306,1689,1695,1278,4584,4279,1800,980,1116,,6121221,7887599,8885988,8811101,7726246,13654452,19637140,16602538,17741513,23117527,,44374,47203,52307,70219,197200,102083,139243,75104,86148,95506
901839,"Needles, catheters, cannulae and the like, used in medical, surgical, dental or veterinary ...",2949,7205,2624,2236,2798,3329,1044,1596,1472,1105,,579211,667658,660338,559988,498371,478746,500900,500150,424304,510761,,164877,191959,186534,167689,174269,196287,208207,225435,212670,211414
841319,"Pumps for liquids, fitted or designed to be fitted with a measuring device (excluding pumps ...",0,0,0,0,1205,14,0,1,0,1097,,41011,54606,40776,35300,34022,23751,29341,41362,29853,39313,,18297,22045,12804,54585,17763,19917,9725,5706,9799,8164
848330,"Bearing housings for machinery, not incorporating ball or roller bearings; plain shaft bearings ...",1091,852,2925,2703,1308,1480,1301,1967,1465,1090,,37564,47246,46882,39155,41017,46903,70661,73375,63081,78414,,76616,84685,90926,73656,86151,109385,126098,117394,122019,146952
854140,"Photosensitive semiconductor devices, incl. photovoltaic cells whether or not assembled in ...",381,148,607,2867,8363,13579,11679,13255,1796,1080,,1585091,1501935,1793650,2360783,2606582,2337707,1696560,1543001,1811221,2168139,,124442,158776,179789,183056,165981,207058,305233,350584,281014,280574
902790,"Microtomes; parts and accessories of instruments and apparatus for physical or chemical analysis, ...",31,212,523,745,1573,1915,2520,1959,1023,1018,,709858,692220,858308,831980,912917,1021138,1031339,1150354,1159582,1277402,,92642,105685,98905,80253,84089,105935,117477,136609,143611,154845
340319,"Lubricant preparations, incl. cutting-oil preparations, bolt or nut release preparations, anti-rust ...",2693,2859,3189,398,322,511,856,750,748,946,,52751,65127,102550,68691,78700,133748,286345,216559,217077,300547,,331337,334141,305684,205008,216672,253479,278885,262449,231168,272062
842230,"Machinery for filling, closing, sealing or labelling bottles, cans, boxes, bags or other containers; ...",0,360,0,0,0,6,0,109,668,906,,26662,15286,14916,19789,23204,18005,18523,22883,35290,41097,,415122,405066,402455,195130,202228,283156,286045,300668,239735,247559
903010,Instruments and apparatus for measuring or detecting ionising radiations,0,742,301,663,1092,1179,1074,2168,698,867,,45656,46217,39704,44247,30994,34642,38383,48290,41489,45915,,49727,61502,31172,30123,29039,25492,26922,29246,27651,23784
900290,"Lenses, prisms, mirrors and other optical elements, mounted, of any material, being parts of ...",405,351,370,210,139,502,749,916,667,807,,122175,208307,104512,140123,110816,139635,383811,220534,154203,460872,,8600,13066,11933,8136,7967,11857,14584,13404,21312,20148
901920,"Ozone therapy, oxygen therapy, aerosol therapy, artificial respiration or other therapeutic ...",7,451,570,193,42,120,207,273,1409,803,,17937,107873,408456,704900,782362,954820,1152932,1410871,1550530,1368611,,441272,282897,164197,112647,124328,126779,143836,129457,577935,245418
854370,"Electrical machines and apparatus, having individual functions, n.e.s. in chapter 85",27,19,124,55,217,415,1429,1025,250,687,,309353,381088,480270,414981,421264,437811,438998,449502,441121,787198,,286937,327849,203539,186185,334064,235268,335756,495427,502235,652772
151590,"Fixed vegetable fats and oils and their fractions, whether or not refined, but not chemically ...",0,0,0,0,12,0,960,1223,1486,674,,2095,2435,3147,1417,1190,2206,3555,10340,5383,3010,,9045,11727,19689,20789,29492,35859,42662,58066,48168,54889
401039,"Transmission belts or belting, of vulcanised rubber (excluding endless transmission belts ...""",43,28,50,72,11,18,358,609,507,670,,62604,70399,66667,59006,58989,56852,55812,52917,44912,50936,,42924,44426,43982,32401,40252,48904,53760,51235,45343,57790
390140,"Ethylene-alpha-olefins copolymers, having a specific gravity of < 0,94 , in primary forms",0,0,0,0,0,3727,2526,383,251,661,,0,0,0,0,0,0,1522626,2492969,2156549,2698206,,0,0,0,0,0,93486,159027,178351,153677,237914
380891,"Insecticides, put up in forms or packings for retail sale or as preparations or articles (excl. ...",0,0,0,0,0,75,134,245,118,613,,71572,78241,216846,248565,189109,361120,327171,333407,354659,404110,,101212,129492,126811,98294,137831,156287,174655,203992,215502,200851
820790,"Interchangeable tools for hand tools, whether or not power-operated, or for machine tools, ...",0,1,428,231,184,735,967,0,276,609,,642528,489376,238902,147159,127679,162325,171866,140981,128262,126322,,463115,278703,88648,62643,61865,81616,88745,97854,93085,117552
853669,Plugs and sockets for a voltage <= 1.000 V (excluding lamp holders),65,42,92,54,229,144,393,757,596,588,,310782,285843,243964,207569,206237,274411,373629,462001,551967,668321,,145090,152404,158988,117750,136364,190123,254062,265042,288952,361498
340213,"Non-ionic organic surface-active agents, whether or not put up for retail sale (excluding soap)",111,129,76,56,169,252,465,1088,922,576,,225687,187702,216291,182077,196950,248569,243531,225850,253263,308115,,84218,82998,82643,66127,87194,87750,101096,97733,105409,127288
391990,"Self-adhesive plates, sheets, film, foil, tape, strip and other flat shapes, of plastics, whether ...",217,237,148,178,25,115,208,298,293,569,,254169,409124,381737,297027,332537,343638,385225,398064,333946,359778,,289546,279366,298577,192830,223609,253969,299188,303930,318383,397163
842890,"Machinery for lifting, handling, loading or unloading, n.e.s.",221,148,363,550,27,150,33,62,214,537,,50154,73611,145912,90584,62102,103798,111769,83060,82852,88393,,423854,476018,488658,359935,207786,241633,227395,270828,286478,284616
850440,Static converters,559,374,520,381,625,697,556,580,609,526,,712137,698510,682372,770272,801162,770060,924430,858456,879673,989214,,1130659,1003220,833069,555480,648280,823539,923771,910749,919290,1127024
392329,"Sacks and bags, incl. cones, of plastics (excluding those of polymers of ethylene)",145,1,0,1,0,0,293,449,377,519,,35215,38696,48182,65270,42537,32760,35549,36666,35607,48327,,51450,61370,59327,40980,44524,46380,48692,46281,50454,61926
847720,Extruders for working rubber or plastics,249,0,0,0,0,0,0,0,0,519,,3156,2445,2593,3645,5129,2020,2988,1173,1293,1582,,242370,298059,188649,219229,121728,637454,351457,173423,192834,247970
330499,"Beauty or make-up preparations and preparations for the care of the skin (other than medicaments), ...",85,23,4,4,0,4,12,98,207,517,,1534744,1662253,1835497,1850084,2327913,3072705,4105742,4952439,5408677,5750576,,737826,813638,720589,501259,556509,682705,788707,855716,747692,964568
401032,"Endless transmission belts of trapezoidal cross-section """"V-belts"""", of vulcanised rubber, ...""",23,12,37,10,20,18,40,78,169,514,,1809,1801,3273,3289,3562,5290,6692,5577,5011,7228,,16176,15731,13707,12166,13212,14110,14967,12315,12054,15721
901590,"Parts and accessories for instruments and appliances used in geodesy, topography, photogrammetrical ...",103,519,258,290,390,498,204,382,171,512,,263709,288004,292060,219874,130788,89916,148186,142462,111282,112889,,94404,78534,73706,44244,37158,36817,26836,26716,50038,47780
841810,"Combined refrigerator-freezers, with separate external doors or drawers, or combinations thereof",0,0,0,0,82,613,184,1537,1416,510,,19848,20073,24715,10898,13398,8816,6766,2931,3173,4751,,564992,489134,454358,245036,249128,290616,326567,314345,355188,392994
902690,"Parts and accessories for instruments and apparatus for measuring or checking the flow, level, ...",54,52,106,94,161,235,462,697,396,508,,173439,141472,188382,187203,115976,77554,74996,83304,79793,69873,,53615,79141,46291,33809,36262,50410,54009,57245,57567,64809
381600,"Refractory cements, mortars, concretes and similar compositions, incl. dolomite ramming mix ...",0,0,0,0,0,0,1026,0,0,507,,2321,3877,1742,2024,2247,1843,1882,1851,2712,1839,,186722,195843,219040,159941,164467,190152,210228,210832,199707,215700
845611,"Machine tools for working any material by removal of material, operated by laser (excl. soldering ...",0,0,0,0,0,95,198,373,283,506,,0,0,0,0,0,0,72903,101636,135821,188062,,0,0,0,0,91,73801,87364,78005,106179,139597
381121,Prepared additives for oil lubricants containing petroleum oil or bituminous mineral oil,0,1672,1692,943,114,336,259,318,666,505,,1517479,1777313,1776415,1645454,1736316,1775192,1806480,1731068,1602328,1885961,,95145,113656,139185,148657,163676,185314,210471,216652,230262,265367
