Product code,Product label,Australia's imports from Singapore-Value in 2012,Australia's imports from Singapore-Value in 2013,Australia's imports from Singapore-Value in 2014,Australia's imports from Singapore-Value in 2015,Australia's imports from Singapore-Value in 2016,Australia's imports from Singapore-Value in 2017,Australia's imports from Singapore-Value in 2018,Australia's imports from Singapore-Value in 2019,Australia's imports from Singapore-Value in 2020,Australia's imports from Singapore-Value in 2021,Singapore's exports to world- ,Singapore's exports to world-Value in 2012,Singapore's exports to world-Value in 2013,Singapore's exports to world-Value in 2014,Singapore's exports to world-Value in 2015,Singapore's exports to world-Value in 2016,Singapore's exports to world-Value in 2017,Singapore's exports to world-Value in 2018,Singapore's exports to world-Value in 2019,Singapore's exports to world-Value in 2020,Singapore's exports to world-Value in 2021,Australia's imports from world- ,Australia's imports from world-Value in 2012,Australia's imports from world-Value in 2013,Australia's imports from world-Value in 2014,Australia's imports from world-Value in 2015,Australia's imports from world-Value in 2016,Australia's imports from world-Value in 2017,Australia's imports from world-Value in 2018,Australia's imports from world-Value in 2019,Australia's imports from world-Value in 2020,Australia's imports from world-Value in 2021
300490,"Medicaments consisting of mixed or unmixed products for therapeutic or prophylactic purposes, ...""",478925,303501,285353,30888,33548,61222,77713,73034,61191,68123,,4557270,4751321,5214978,4844907,3722797,3808153,4689753,4161462,4978025,5658604,,7022961,6092237,5517512,4450570,4706668,4337316,4291148,4342930,4624241,4680409
271320,Petroleum bitumen,188209,172582,156091,64605,27408,47120,76632,70497,51477,67616,,1218270,1262091,1463146,1012934,604003,831545,1060212,1004566,812933,1079778,,404522,496992,410666,254064,135064,269635,362786,338974,302806,386883
851762,"Machines for the reception, conversion and transmission or regeneration of voice, images or ...",50669,66254,48633,79358,51989,36981,37673,40447,43330,51357,,2731163,3067437,2833309,3046223,3312670,3716429,3883879,3614973,4557588,5152324,,2184258,2480088,2337434,2512110,2806665,2975447,3501969,3481121,3392145,3411434
847170,Storage units for automatic data-processing machines,127740,109668,116893,114908,93266,70608,52399,51246,66301,49982,,4094849,3636521,3309054,3154881,2481062,2432233,2074048,2061329,2052346,1990445,,1085792,970441,1009321,854690,755411,713774,706103,564673,602342,675856
180310,Cocoa paste (excluding defatted),1623,2258,975,796,1617,1328,1609,33746,40910,48714,,53417,50002,49363,48585,44038,41172,12164,15433,14315,22772,,24433,27882,36180,44589,39207,34336,31678,65693,72063,92079
630790,"Made-up articles of textile materials, incl. dress patterns, n.e.s.",2766,2342,2868,4144,2863,6225,5193,6408,11350,40654,,20913,36330,51125,45046,43638,60635,55490,59715,227055,223517,,183327,196891,218735,232560,239476,256294,278734,282997,1563043,506463
240220,"Cigarettes, containing tobacco",30060,27718,34432,75360,78349,67763,68439,49701,54042,37396,,759410,800408,919222,1163746,1147763,1046181,1055353,1061119,607482,619477,,174586,281156,437336,549229,592649,611377,647798,643376,446688,386280
902139,Artificial parts of the body (excluding artificial teeth and dental fittings and artificial ...,7638,6064,10602,6144,6725,10626,8937,10187,27352,31234,,170213,280538,346987,384206,479826,564080,768529,1070021,1402092,1193432,,348996,384655,342766,300219,290062,303054,295215,276456,275232,304366
901920,"Ozone therapy, oxygen therapy, aerosol therapy, artificial respiration or other therapeutic ...",3910,3703,6945,9101,9003,10487,20053,19377,22291,30790,,17937,107873,408456,704900,782362,954820,1152932,1410871,1550530,1368611,,117215,125639,173475,180741,172151,188162,191730,185979,332251,268072
902140,Hearing aids (excluding parts and accessories),29295,27228,17194,25437,22164,24791,25241,24302,24943,30023,,344291,381128,349865,362369,366499,379201,490488,478396,444699,479390,,86467,98969,70697,84408,90835,90630,94125,92130,91672,113048
180400,"Cocoa butter, fat and oil",20602,15057,30881,35780,34753,45330,43416,31881,33964,29455,,102552,115880,190527,166808,167678,151647,144861,149912,172643,145424,,49342,71232,110718,114415,100143,97398,100458,89253,110869,103270
481159,"Paper and paperboard, surface-coloured, surface-decorated or printed, coated, impregnated or ...",34,175,55,23431,22807,19074,19195,24555,25276,28264,,562932,549665,570765,590137,523488,440832,452669,451756,384941,432692,,31496,26651,26004,52346,79573,81447,79284,81565,84794,96634
180620,"Chocolate and other food preparations containing cocoa, in blocks, slabs or bars weighing > ...",19661,23121,25938,28321,27766,23987,24550,34703,26357,27569,,149757,197416,244102,197467,166763,179655,195146,212110,189548,224291,,35977,44244,50668,50888,45904,46517,41087,51226,40661,49634
711319,"Articles of jewellery and parts thereof, of precious metal other than silver, whether or not ...",20322,14919,15687,12457,26050,11801,24733,18098,15586,24999,,3163790,3370850,3275285,2767887,2864052,2201906,2349922,2435629,1734035,2867460,,649352,670282,680273,645972,678491,749131,778546,838346,726916,1063239
721710,"Wire of iron or non-alloy steel, in coils, not plated or coated, whether or not polished (excluding ...",2381,16857,18274,15180,15961,19224,22453,15294,12854,24053,,28986,26683,25582,18510,24448,29496,27365,20673,16912,29198,,27678,42635,38540,35948,37707,47688,57535,44700,40605,64077
290250,Styrene,22959,16461,18002,12602,10758,15144,14908,12675,9331,21718,,997485,1273444,861371,815638,599722,831982,842743,634560,390259,883314,,26970,35420,28620,22900,15401,21066,23043,17222,10242,23052
961900,"Sanitary towels (pads) and tampons, napkins and napkin liners for babies, and similar articles, ...",1071,7665,6587,3543,2946,8915,14194,19341,18653,21551,,35804,35103,36380,37069,40756,70058,56127,57055,57715,71094,,221808,228372,226964,216852,212758,220362,233594,319664,357815,375470
330290,"Mixtures of odoriferous substances and mixtures, incl. alcoholic solutions, based on one or ...",22336,20381,25223,19315,22139,21723,23757,20412,22468,21149,,618671,669395,723199,722300,758944,791311,904748,980628,1043623,1082842,,35593,31899,37470,31582,38485,38676,39735,34540,36280,40939
382200,"Diagnostic or laboratory reagents on a backing, prepared diagnostic or laboratory reagents ...",9212,10988,19196,18458,17409,18986,21514,16016,15173,20300,,493690,614305,795963,882156,1084522,1349477,1466013,1486820,1375164,1888105,,344077,349175,337007,336682,363437,388821,383844,396728,530759,807792
854140,"Photosensitive semiconductor devices, incl. photovoltaic cells whether or not assembled in ...",49664,27992,23165,18122,15257,32104,24828,23488,24251,19509,,1585091,1501935,1793650,2360783,2606582,2337707,1696560,1543001,1811221,2168139,,1014067,595557,643616,563170,466886,969348,1585756,1470018,1178581,1370466
850610,Manganese dioxide cells and batteries (excluding spent),8345,11223,11703,15713,16171,18010,21847,21885,21594,19317,,235921,247093,286589,236512,251250,261562,315102,301816,308062,334925,,65124,70880,68374,64466,53796,57036,68468,82206,92293,80644
340119,"Soap and organic surface-active products and preparations, in the form of bars, cakes, moulded ...",12,115,39,7,17,13716,15361,15510,14060,16933,,4988,3909,4614,4768,10911,27862,29580,28603,30045,34917,,10214,15362,19571,32689,40794,63489,70773,69564,113055,83193
902190,"Articles and appliances, which are worn or carried, or implanted in the body, to compensate ...",10144,12412,22027,13148,18967,13667,13758,14583,15844,16465,,406337,458246,349921,477364,388006,400468,427455,450497,332115,805684,,230852,228942,256896,243918,238744,263720,248460,248663,259472,330468
848180,"Appliances for pipes, boiler shells, tanks, vats or the like (excluding pressure-reducing ...""",47686,60673,63179,136109,9591,9798,18105,8921,10050,15311,,461769,561893,704456,633105,581182,455565,563650,629936,687943,745516,,1137469,1159139,1235749,1257267,930580,909625,998002,872768,886825,1146437
847989,"Machines and mechanical appliances, n.e.s.",36662,35009,34708,104893,13511,30075,14981,14609,16635,15001,,767901,757565,1164035,773613,641656,811243,792359,882291,931523,920757,,1122572,770085,824049,1294588,734904,684131,660518,695531,605930,859405
390230,"Propylene copolymers, in primary forms",15696,20235,20076,17171,9261,15233,10604,10604,10337,14427,,1728390,1797739,2083093,1732982,1634407,1766729,1858475,1663804,1392013,1885435,,53419,74345,136055,115638,104401,100719,94769,89336,84204,122479
293040,Methionine,82,808,2125,11351,8230,8370,3640,6590,9009,14414,,35598,92478,161854,0,0,0,0,0,0,0,,24386,19524,20706,27286,22584,18854,20378,17829,18539,30373
380891,"Insecticides, put up in forms or packings for retail sale or as preparations or articles (excl. ...",1,58,360,543,0,3863,5700,6259,5795,14345,,71572,78241,216846,248565,189109,361120,327171,333407,354659,404110,,100604,110543,113444,99586,135364,143879,102231,98983,115476,150569
321519,"Printing ink, whether or not concentrated or solid (excluding black ink)",3792,3977,4076,5418,8337,12710,14001,13108,10029,14262,,158912,168622,202205,199657,208658,231933,257575,270035,181042,182976,,135750,126053,126696,138953,177127,188124,176524,166025,147039,176905
853710,"Boards, cabinets and similar combinations of apparatus for electric control or the distribution ...",8402,18053,10352,6267,7454,6434,7515,7870,7770,14026,,814902,890079,1013168,972547,1107486,1177684,1412015,1196896,1061668,1172628,,457825,463563,462692,508964,449094,450725,486776,504438,486250,581294
190590,"Bread, pastry, cakes, biscuits and other bakers' wares, whether or not containing cocoa; communion ...",7443,7907,7925,8197,8640,9984,10724,11138,12560,13886,,37518,36910,34156,30879,26417,21652,24322,26440,26495,29740,,346797,377185,377569,352966,374198,410589,449415,488920,496921,564975
491199,"Printed matter, n.e.s.",19766,9022,6460,6930,2285,22698,22518,16621,12877,13506,,325659,193429,166479,213216,262705,423419,348221,212787,249856,191037,,65487,62750,69322,77184,72282,110853,93291,76869,79721,141114
901890,"Instruments and appliances used in medical, surgical or veterinary sciences, n.e.s.",47853,27872,23410,14132,17712,20418,31880,28062,13007,13298,,2141893,2119294,2055164,1596501,1516946,1802294,1608692,1782237,2016544,1899916,,1220020,1209999,1240623,1162391,1303647,1285841,1435003,1351207,1287124,1484058
852351,"Solid-state, non-volatile data storage devices for recording data from an external source [flash ...",2463,3070,3128,4124,8473,14992,7339,6883,12204,12799,,377016,629062,810467,1329472,1830931,2799697,2656865,1652974,2263685,2194265,,171850,235544,257563,259728,259796,287425,318134,275914,306811,344997
901831,"Syringes, with or without needles, used in medical, surgical, dental or veterinary sciences",7496,8015,8744,6993,6942,6539,5910,6059,9516,12526,,74845,80321,99951,82658,81813,69601,101089,142333,124159,148255,,50612,53144,59518,62256,62760,68126,67498,70687,69365,87568
490199,"Printed books, brochures and similar printed matter (excluding those in single sheets; dictionaries, ...",43617,21426,26305,22455,16583,15311,13227,15149,13740,12513,,472328,704269,743994,334830,250271,220836,235488,251406,197211,188797,,533864,432138,450689,406158,359205,343454,337313,322639,297445,338897
291532,Vinyl acetate,3344,3100,7719,6141,5327,6313,8383,5490,4388,12211,,177914,276634,571799,397845,323271,392320,505877,318903,299620,724457,,8300,7884,8250,6244,5327,6365,8442,5509,4404,12211
190230,"Pasta, cooked or otherwise prepared (excluding stuffed)",2520,3774,3476,3964,6745,12418,11687,12536,13906,11498,,39401,42860,49456,43543,44216,51050,51491,55875,60292,60654,,60416,68630,74741,69763,84383,117642,134972,141744,170865,159919
902780,"Instruments and apparatus for physical or chemical analysis, or for measuring or checking viscosity, ...",18842,7833,11592,16271,17018,11743,10012,9109,6882,11087,,674859,596636,529997,627422,767757,881844,1126884,1018223,1074423,1278693,,268451,189913,181199,168126,157333,140462,191867,195185,184028,258628
880330,"Parts of aeroplanes or helicopters, n.e.s. (excluding those for gliders)",0,0,0,5875,9857,8998,8156,6504,7895,10754,,5479015,6048253,5405262,5927719,6249812,6196489,6346641,6408468,4402411,3933248,,0,0,0,235693,661263,654823,667948,629710,500337,549099
210310,Soya sauce,9579,9250,9219,8536,8836,9198,10300,9161,10517,10031,,38400,41094,42857,41299,41943,43854,47658,50846,46287,56316,,28191,28075,29394,28623,30983,32897,35416,35785,39805,37076
490290,"Newspapers, journals and periodicals, whether or not illustrated or containing advertising ...",38386,34215,30411,23834,18725,15288,13878,10966,8677,9943,,35417,30615,30772,23758,21244,18333,18860,16132,7943,5707,,218262,220840,194446,161125,142180,130339,122967,106018,81516,96055
854239,"Electronic integrated circuits (excluding such as processors, controllers, memories and amplifiers)",16833,13022,11611,11846,11647,11972,7046,4176,5460,9810,,32593041,36923372,34592377,31382566,29461621,30799589,33383703,35198135,37437353,43377318,,105309,97517,123157,114131,139448,124493,179846,281534,204405,210604
890400,Tugs and pusher craft,57185,94822,33259,49952,49303,128860,10053,0,0,9789,,1517,11399,0,0,0,5593,81367,119842,1395,1816,,236229,287600,164091,114578,49304,161588,44267,145025,14715,67555
290711,"Phenol """"hydroxybenzene"""" and its salts""""",0,0,0,1879,6146,5680,10016,6313,4779,9781,,126802,83276,177231,94488,110157,116824,115859,95166,73476,120591,,0,0,0,9335,8115,8596,12764,8764,8713,12764
902750,"Instruments and apparatus for physical or chemical analysis, using UV, visible or IR optical ...",5955,3721,5384,3976,4183,3295,10866,11530,7258,8624,,312865,403283,547263,508735,582981,678669,932011,1017620,1224953,1260138,,82124,75551,87780,78547,68419,84825,100436,121866,125081,134939
901850,"Ophthalmic instruments and appliances, n.e.s.",681,710,142,101,512,1101,5555,6931,8473,8423,,73828,70862,44066,57642,64922,93105,128253,186735,146990,249261,,90524,82715,88476,83906,78928,76546,86767,91896,82894,98305
230990,Preparations of a kind used in animal feeding (excluding dog or cat food put up for retail ...,4729,4799,4801,5195,5471,4795,5528,7060,7492,8166,,218030,196879,192465,203374,231549,211485,227499,227483,282318,312376,,92952,94629,97188,103267,134361,153416,183278,184071,184981,171525
901819,"Electro-diagnostic apparatus, incl. apparatus for functional exploratory examination or for ...",3602,5613,6316,2238,6566,14030,7796,4791,5512,7789,,293562,195961,264468,319269,257690,285402,306525,296758,258609,268234,,140067,140633,166822,165836,172251,191272,203357,179761,237681,234930
710239,"Diamonds, worked, but not mounted or set (excluding industrial diamonds)",3577,1991,5400,2748,4592,3963,4182,7728,3588,7676,,476708,743324,735598,531913,521753,444772,480122,421189,138306,247192,,419480,441587,471332,415885,414607,433675,423995,415556,360735,499897
842911,"Self-propelled bulldozers and angledozers, track laying",1945,801,2381,1059,0,1170,635,1239,3641,7627,,20439,10178,3781,9568,12564,3817,8999,38679,17896,6372,,706292,132257,89033,107405,79225,157690,251976,307852,232694,311521
830260,Automatic door closers of base metal,5030,5715,5087,3617,4700,4809,5396,6938,5736,7420,,73057,87000,107170,77651,71118,77267,103666,98657,91979,111956,,26032,26687,25832,22844,22451,24803,24128,24298,24247,26488
850110,"Motors of an output <= 37,5 W",246,298,760,217,895,153,156,154,104,7351,,244927,173914,142328,102476,91146,105116,197901,205000,176088,179713,,59972,57017,68117,71961,56907,67856,65185,68923,70026,78961
847149,"Data-processing machines, automatic, presented in the form of systems """"comprising at least ...""",4966,4820,4736,1897,3779,1662,4025,3928,4753,6794,,282899,283079,222836,254915,269004,318555,333799,337372,266745,397937,,581568,478871,366199,372773,364097,364631,356627,153714,220859,218610
900130,Contact lenses,959,1442,1043,1896,4131,4104,5123,4128,6550,6729,,438896,591776,527599,526355,589547,593365,580110,726015,737888,605398,,47454,42219,41851,46365,52958,60442,67104,89062,89493,93599
710813,"Gold, incl. gold plated with platinum, in semi-manufactured forms, for non-monetary purposes",1655,7169,44710,12033,9189,7195,32,5,4229,6709,,9857804,13880349,10831876,595642,1147853,11303228,10974129,11453769,15672122,14047953,,1652741,1055002,788968,351409,1549353,1335559,1672353,28977,324238,261972
270750,"Aromatic hydrocarbon mixtures of which >= 65% by volume, incl. losses, distils at 250¡ÆC by ...",13829,7662,12094,6514,7448,5312,5504,3297,7691,6417,,184644,129300,346038,242509,393230,600176,257155,344478,941520,1563061,,33492,24810,41113,21963,23999,21738,23467,16229,22037,23340
180500,"Cocoa powder, not containing added sugar or other sweetening matter",29216,17807,10979,12838,14414,9624,7319,9950,7304,6361,,148568,122202,103694,87893,129585,127143,135069,100873,111930,128705,,66109,49806,36443,39371,46266,46751,39746,45081,42186,42951
854231,"Electronic integrated circuits as processors and controllers, whether or not combined with ...",12031,9335,4706,4649,3322,2913,4815,3958,2766,6177,,30265681,30754038,32528513,31067810,30028051,30717816,25520497,21203799,26221004,39605010,,249672,213338,212724,188075,193998,179618,173574,172257,186561,202983
847130,"Data-processing machines, automatic, portable, weighing <= 10 kg, consisting of at least a ...",21657,2523,3760,1962,1553,2394,3983,14912,12164,6136,,1910308,1569202,1400396,1352315,1299697,1210250,1294789,1296485,1458704,2188493,,3661976,3569841,3532124,3251748,2735680,3285651,3606050,3478510,3886596,4425549
382499,"Chemical products and preparations of the chemical or allied industries, incl. those consisting ...",0,0,0,0,0,3906,5321,5343,5234,6075,,0,0,0,0,0,0,803929,723571,629804,719664,,0,0,0,0,0,211404,238153,210891,232148,275400
291411,Acetone,6037,5836,6970,3243,2424,3169,1370,2039,3749,6048,,137771,129938,174782,93320,81976,121990,105797,71276,100365,147911,,8995,8508,9609,5575,4971,6015,6048,3562,5663,8877
481141,"Self-adhesive paper and paperboard, surface-coloured, surface-decorated or printed, in rolls ...",6072,7438,4011,5331,7347,5003,5048,6139,6226,5867,,47596,57074,46477,33397,39080,29840,18098,15666,14919,20505,,73120,62583,77181,74434,84854,101282,106952,102433,102335,115595
180632,"Chocolate and other preparations containing cocoa, in blocks, slabs or bars of <= 2 kg (excluding ...",378,514,496,623,654,572,366,1508,3395,5796,,11392,12198,14890,14136,16082,18448,24683,44758,54626,67658,,56832,64908,82239,90407,94392,96342,99633,112054,121689,118635
854370,"Electrical machines and apparatus, having individual functions, n.e.s. in chapter 85",7971,8158,6567,5255,4369,3517,3062,3032,3252,5654,,309353,381088,480270,414981,421264,437811,438998,449502,441121,787198,,575500,560789,578261,496729,517604,459998,421460,422166,378786,503888
852580,"Television cameras, digital cameras and video camera recorders",7785,7212,3234,2410,2857,1967,1023,2734,5041,5628,,1003207,963557,822841,699686,640315,685186,784790,668982,593216,748906,,731592,588100,576238,537141,501631,605791,726219,688206,630793,803323
391990,"Self-adhesive plates, sheets, film, foil, tape, strip and other flat shapes, of plastics, whether ...",1666,4927,8091,5043,4423,3682,5022,4385,5871,5626,,254169,409124,381737,297027,332537,343638,385225,398064,333946,359778,,171005,164677,187005,177621,184667,200042,201593,188252,189861,246253
853620,Automatic circuit breakers for a voltage <= 1.000 V,1971,2044,2038,1342,1622,1005,737,443,664,5617,,94361,219965,192845,102138,233500,127869,255638,155990,274560,315060,,140456,106182,101519,87791,92637,109105,119435,120215,120248,148440
843143,"Parts for boring or sinking machinery of subheading 8430.41 or 8430.49, n.e.s.",22119,15933,15824,8773,2618,1902,3713,4730,4398,5568,,4237094,4404537,3814484,3292943,2005376,1601263,1327192,1302815,1173732,921138,,316718,242430,217534,147998,113169,128769,165376,190561,191869,216834
170490,"Sugar confectionery not containing cocoa, incl. white chocolate (excl. chewing gum)",4615,5571,5116,4718,4435,5186,5974,5696,6282,5448,,59405,53316,35683,33562,35302,33586,41264,35351,30949,34933,,184186,202649,192152,178915,175389,183818,188404,182986,173682,214468
320990,"Paints and varnishes, incl. enamels and lacquers, based on synthetic or chemically modified ...",650,540,869,845,585,847,3029,2525,2741,5357,,65148,58877,57041,53841,49162,44463,46155,51234,57817,76426,,15608,16955,19511,16988,19076,18182,20998,20400,20729,25481
840999,"Parts suitable for use solely or principally with compression-ignition internal combustion ...""",7973,4495,7525,4358,3180,4393,3326,3610,4893,5348,,1021983,1046193,934111,732187,708167,681141,724113,704165,553718,637464,,249074,246107,257258,260900,238450,281389,296784,264586,268958,312668
847290,"Office machines, n.e.s.",1212,610,2436,89,156,311,56,73,2068,5261,,65979,42979,41181,30143,24894,18849,14519,16904,13937,39255,,91197,93716,115495,110305,82872,95177,62914,45201,51765,49686
852349,Optical media for the recording of sound or of other phenomena (excluding unrecorded and goods ...,206004,171555,140505,91208,53043,26391,23554,6843,3415,5197,,2120339,1402196,1259238,749895,603269,534616,514385,405454,371350,391294,,428981,361505,268472,206779,147314,104855,109963,68937,67140,71041
950440,Playing cards,59,294,509,454,196,5,785,5649,4079,5131,,10800,16077,21258,18948,9013,7519,25420,79059,46684,83789,,9473,9359,12613,13959,14602,14971,17948,17369,22351,49728
847990,"Parts of machines and mechanical appliances, n.e.s.",5499,11531,12286,23094,3922,6369,13287,3722,5151,5103,,1997311,1610502,1445709,1285253,1109209,1191414,1294312,1268687,1418656,1561857,,185349,170875,196473,176920,134282,142512,179080,181031,148300,183888
340319,"Lubricant preparations, incl. cutting-oil preparations, bolt or nut release preparations, anti-rust ...",6800,6487,6984,5558,4877,4582,4328,3570,3313,4987,,52751,65127,102550,68691,78700,133748,286345,216559,217077,300547,,40151,32075,34514,28498,22429,24479,25575,25004,26479,31181
850440,Static converters,10604,10569,5025,3589,3040,3793,3969,4554,6418,4884,,712137,698510,682372,770272,801162,770060,924430,858456,879673,989214,,827891,680313,685075,636871,613036,812419,940969,924643,1043855,1211751
330499,"Beauty or make-up preparations and preparations for the care of the skin (other than medicaments), ...",1873,2036,1357,1975,2790,2125,1851,781,2403,4801,,1534744,1662253,1835497,1850084,2327913,3072705,4105742,4952439,5408677,5750576,,392746,414714,444894,461474,464097,498852,637900,651889,602796,673292
903180,"Instruments, appliances and machines for measuring or checking, not elsewhere specified in ...",6799,6789,6391,10945,4359,2290,5490,6865,5086,4781,,314660,287104,358683,343200,376466,399329,544161,522767,526118,709619,,305217,280318,360676,322543,329914,265347,288698,307551,296332,328704
851770,"Parts of telephone sets, telephones for cellular networks or for other wireless networks and ...",8996,8179,4099,5017,4032,3909,1867,8295,6338,4768,,753114,642548,706084,839918,935758,1162994,2068109,2794303,2798570,2848315,,568712,495790,487413,491124,603764,569955,577289,497239,444519,1310912
902620,Instruments and apparatus for measuring or checking pressure of liquids or gases (excluding ...,3582,8978,2892,2308,1780,2270,2638,2461,3667,4630,,193477,281985,286443,281891,307749,272787,279940,320421,249545,322887,,80007,83686,79200,77682,66614,73537,86227,84549,81016,99960
390730,"Epoxide resins, in primary forms",2097,2117,2720,1750,1571,2198,3070,2060,3085,4571,,251141,256127,230329,190968,189535,202282,197379,168072,169837,228948,,43079,52817,53446,42944,35537,32116,42016,42808,37104,54278
902790,"Microtomes; parts and accessories of instruments and apparatus for physical or chemical analysis, ...",4010,4072,3866,4905,3383,4316,6239,6419,4457,4484,,709858,692220,858308,831980,912917,1021138,1031339,1150354,1159582,1277402,,189057,206072,205000,180775,144935,147345,159292,142213,139532,183501
151550,"Sesame oil and its fractions, whether or not refined, but not chemically modified",2082,2987,3282,2472,3442,2912,3976,3978,4422,4433,,12991,14621,16414,16189,18210,16529,17139,17163,17703,19580,,7391,8329,9941,8985,10418,10071,10954,12168,13558,13538
210390,Preparations for sauces and prepared sauces; mixed condiments and seasonings (excluding soya ...,3612,3578,3714,3634,3672,3889,5088,4370,4001,4430,,81663,85654,80622,88635,101913,90133,82510,79851,80267,95194,,260401,274297,273665,263140,271150,288362,315512,315532,348018,357483
151790,Edible mixtures or preparations of animal or vegetable fats or oils and edible fractions of ...,5767,7011,3447,3013,1640,1488,2193,2000,4068,4283,,70074,70335,72457,82210,74952,68454,75779,71922,68917,91074,,43514,31710,34990,38479,35065,36318,31539,31453,33732,40879
321511,"Black printing ink, whether or not concentrated or solid",2192,1931,1517,1797,2124,3153,4064,4077,3049,4217,,62716,70127,70336,67765,65842,81021,77345,79836,70766,91346,,49839,47404,43906,61836,81570,83336,79637,71314,68078,79074
390720,"Polyethers, in primary forms (excluding polyacetals and goods of 3002 10)",1106,6163,5873,3185,4185,4460,1714,2384,2346,4162,,630220,613107,803492,796154,601721,681188,800265,741482,772284,1148716,,58244,48183,51182,44803,36833,42932,44227,52196,59239,93924
732690,"Articles of iron or steel, n.e.s. (excluding cast articles or articles of iron or steel wire)",19605,19494,18381,20172,4503,5160,5814,5319,4084,3951,,198587,331173,311066,256872,241364,238426,291542,329090,295639,344763,,621085,664346,696161,619337,566386,558987,633708,588046,593315,728831
842139,Machinery and apparatus for filtering or purifying gases (excl. isotope separators and intake ...,816,812,795,475,889,8425,1277,1702,2320,3926,,51914,60579,58844,62315,82360,77787,89007,105026,107152,124682,,288257,624817,782802,489886,316352,212049,222121,258045,309833,343668
390190,"Polymers of ethylene, in primary forms (excluding polyethylene and ethylene-vinyl acetate  ...",0,11612,16693,11890,11447,1370,8605,5238,1278,3897,,1594304,2079675,3039479,2339474,2516037,2767380,1460500,82270,72863,87673,,0,62281,77015,68185,55045,32083,34380,31604,23922,25801
