Product code,Product label,United States of America's imports from Japan-Value in 2012,United States of America's imports from Japan-Value in 2013,United States of America's imports from Japan-Value in 2014,United States of America's imports from Japan-Value in 2015,United States of America's imports from Japan-Value in 2016,United States of America's imports from Japan-Value in 2017,United States of America's imports from Japan-Value in 2018,United States of America's imports from Japan-Value in 2019,United States of America's imports from Japan-Value in 2020,United States of America's imports from Japan-Value in 2021,Japan's exports to world- ,Japan's exports to world-Value in 2012,Japan's exports to world-Value in 2013,Japan's exports to world-Value in 2014,Japan's exports to world-Value in 2015,Japan's exports to world-Value in 2016,Japan's exports to world-Value in 2017,Japan's exports to world-Value in 2018,Japan's exports to world-Value in 2019,Japan's exports to world-Value in 2020,Japan's exports to world-Value in 2021,United States of America's imports from world- ,United States of America's imports from world-Value in 2012,United States of America's imports from world-Value in 2013,United States of America's imports from world-Value in 2014,United States of America's imports from world-Value in 2015,United States of America's imports from world-Value in 2016,United States of America's imports from world-Value in 2017,United States of America's imports from world-Value in 2018,United States of America's imports from world-Value in 2019,United States of America's imports from world-Value in 2020,United States of America's imports from world-Value in 2021
520420,"Cotton sewing thread, put up for retail sale",1669,925,934,871,816,648,942,630,637,813,,1631,826,1047,884,793,684,978,724,420,996,,5545,4896,4452,5429,3353,3609,5455,3889,5172,6081
853922,Filament lamps of a power <= 200 W and for a voltage > 100 V (excluding tungsten halogen filament ...,668,646,427,290,359,440,824,442,378,812,,2368,1389,1109,988,671,542,534,408,513,832,,400480,381737,269389,248015,229571,174168,145187,122388,127086,129921
490600,"Plans and drawings for architectural, engineering, industrial, commercial, topographical or ...",482,733,689,706,763,328,298,476,344,810,,24843,10843,5722,6930,4388,5170,3789,3703,4304,3147,,6087,5951,8992,7959,8651,6096,2483,14919,3190,2962
851529,"Machines for resistance welding of metals, neither fully nor partly automatic",1300,3942,2669,1055,5810,1272,1081,1269,728,810,,22896,8063,8056,8428,9077,5275,6720,5318,4591,6081,,23269,23690,29606,25352,29627,29886,24478,20769,23926,19655
722699,"Flat-rolled products of alloy steel other than stainless, of a width of < 600 mm, hot-rolled ...""",152,737,1203,165,584,542,699,1321,849,807,,45138,42448,51334,46944,41186,52946,56470,48983,43037,59961,,34267,37782,48841,43199,37779,38204,53579,57439,44176,53102
850410,Ballasts for discharge lamps or tubes,26085,19992,20394,12609,8350,12229,3034,2024,1308,807,,141579,135136,120869,61632,40397,23666,19145,13825,7644,7467,,920143,811120,696597,535429,453314,399931,352696,266874,223764,200148
401290,"Solid or cushion tyres, interchangeable tyre treads and tyre flaps, of rubber",1122,1160,1301,1412,832,650,832,726,632,806,,5730,5035,4355,3655,4123,4014,3661,3275,2209,2655,,353713,322773,340656,311869,291152,310198,334876,302672,243023,323433
845910,"Way-type unit head machines for drilling, boring, milling, threading or tapping metal",246,0,205,217,146,0,0,701,0,806,,7027,3148,1758,839,874,418,556,247,670,2992,,1128,1716,2735,1215,3136,2774,9239,8548,6526,8979
170410,"Chewing gum, whether or not sugar-coated",993,705,485,547,588,553,617,634,497,804,,8917,7690,8637,8523,8402,7058,6237,5746,5794,8758,,112596,118504,120497,114158,111378,117429,118955,118127,95324,108699
854089,"Electronic valves and tubes (excluding receiver or amplifier valves and tubes, microwave tubes, ...",1429,2051,1763,1684,2503,2114,1696,1356,482,802,,26823,26982,19632,12782,11058,7760,7143,4780,4024,4250,,28050,31394,33529,29061,27430,26936,33548,32101,30122,29601
293750,"Prostaglandins, thromboxanes and leukotrienes, their derivatives and structural analogues, ...",1881,2981,1026,1421,1208,749,597,573,567,800,,36694,27152,16561,21381,19765,30140,30774,35703,30814,23055,,18671,28595,33389,29075,21974,18797,26627,29247,28681,25039
870421,"Motor vehicles for the transport of goods, with only compression-ignition internal combustion ...""",301,118,706,4660,6427,12085,3925,1434,229,800,,1780379,1658510,1905092,1724152,1712004,1864177,1950214,1970692,1828092,2262500,,1352996,1763886,2113182,2271178,2424557,2533000,3873187,5491011,5786081,7744987
620443,Women's or girls' dresses of synthetic fibres (excluding knitted or crocheted and petticoats),674,622,594,950,1304,1416,1392,1708,1217,799,,5011,5130,5446,5823,7967,7695,8156,9000,9064,13570,,1332186,1330483,1384841,1413839,1333439,1336672,1254195,1224869,775327,902359
510990,"Yarn containing predominantly, but < 85% wool or fine animal hair by weight, put up for retail ...",1253,1039,826,926,846,871,636,719,560,797,,3111,2588,1982,2155,1807,1079,1122,1011,928,1168,,16984,15063,17165,18059,17002,16785,21734,16716,18713,21144
520912,"Woven fabrics of cotton, containing >= 85% cotton by weight and weighing > 200 g/m©÷, in three-thread ...",1209,1491,2192,1204,1637,931,509,208,280,795,,4887,5291,4869,4053,3582,3181,3599,3032,1993,1969,,13241,9552,10480,6223,6885,4941,4645,4065,3304,4698
850231,"Generating sets, wind-powered",74504,2156,118,111,80,26,4,26,84,795,,76598,2363,1669,2087,117,278,14826,13661,104297,753,,990533,14644,187680,234272,125367,211541,194579,111929,468084,189670
841919,"Instantaneous or storage water heaters, non-electric (excl. instantaneous gas water heaters, ...",279,2044,959,850,559,891,483,832,305,792,,1249,1373,964,1185,1039,1190,896,1359,859,1803,,385081,329920,412822,367981,369412,376884,438693,452397,425388,521730
760421,"Hollow profiles of aluminium alloys, n.e.s.",754,514,551,1019,4007,1988,4736,2298,1654,792,,7554,15656,7227,11380,21433,20661,24656,19417,19399,19148,,188800,196902,228238,269089,269611,334966,466372,371691,391383,704361
871310,"Carriages for disabled persons, not mechanically propelled",1508,1048,1104,1199,1254,1091,1412,1484,770,790,,1703,1213,1831,3296,1304,1285,1168,1185,720,689,,125137,126394,144123,154100,147394,178536,193084,183922,150543,188465
845620,"Machine tools for working any material by removal of material, operated by ultrasonic processes ...",81,188,1393,1176,213,840,950,448,526,789,,1546,5427,3794,2766,2889,2624,2179,4087,3371,2555,,6604,3351,6788,3434,4080,6229,5669,16412,30763,33214
761010,"Doors, windows and their frames and thresholds for door, of aluminium (excluding door furniture)",165,12,29,103,255,389,392,513,791,788,,20419,12089,7527,8050,14775,7613,4958,5200,3900,4485,,237617,291220,393459,486593,570038,623623,686353,821090,871337,1019454
140490,Vegetable products n.e.s,162,123,134,218,1036,756,411,347,295,785,,1858,1749,1712,1400,1460,1371,1794,1454,1272,1486,,64491,64989,74314,87008,103078,96110,87100,106776,152750,197467
30619,"Frozen crustaceans, even smoked, fit for human consumption, whether in shell or not, incl. ...",60,125,12,29,8,99,208,73,173,782,,354,196,277,270,156,59,234,197,242,108,,32962,35561,37412,22374,22571,32441,31142,35808,32396,35247
100620,Husked or brown rice,12,49,65,95,553,712,769,860,916,780,,956,2000,3104,3873,6408,8466,9529,10999,10442,12870,,66263,71706,81263,67305,53271,50170,53791,56814,64210,44336
491000,"Calendars of any kinds, printed, incl. calendars blocks",1534,1105,955,839,978,913,962,1031,741,780,,6268,5125,4879,4272,4286,4050,4156,3726,2717,2836,,147327,150751,148697,151870,148214,146893,156689,171720,157558,167608
340311,Textile lubricant preparations and preparations of a kind used for the oil or grease treatment ...,586,330,425,45,623,888,474,1205,393,778,,160528,164541,171582,154074,144411,143483,151178,151612,134283,191161,,3239,3250,3069,2805,3840,3590,3283,6337,4845,6379
610510,"Men's or boys' shirts of cotton, knitted or crocheted (excluding nightshirts, T-shirts, singlets ...",474,301,507,1042,1020,842,825,793,836,776,,13249,10082,10058,9064,9691,7491,7340,6454,6104,5647,,1370129,1364605,1340374,1302021,1167999,1131636,1121410,1104272,738273,746999
442010,"Statuettes and other ornaments, of wood (excluding wood marquetry and inlaid wood)",116,173,105,74,123,108,87,117,91,775,,2972,3183,2301,6726,3528,2535,5584,6651,5169,7706,,192926,203014,221139,278031,291453,309623,349386,376977,345282,515089
160419,"Prepared or preserved fish, whole or in pieces (excluding minced, merely smoked, and salmon, ...""",630,403,377,392,545,330,410,385,855,773,,5409,6453,5972,7054,8273,6582,7436,8598,7755,7461,,84584,78293,64884,61640,80707,109913,129758,110896,132086,125393
480990,"Transfer papers, incl. coated or impregnated paper for duplicator stencils or offset plates, ...",203,182,73,491,432,582,1153,1257,919,772,,8351,16090,15043,4720,4870,3449,5344,7139,5833,6578,,9387,7428,8706,10624,14595,18270,37918,28100,19219,25479
293625,"Vitamin B6 and its derivatives, used primarily as vitamins",728,921,958,953,965,382,367,458,509,770,,862,1103,988,1124,1221,840,848,765,940,1933,,37833,35217,33204,31980,44284,49320,62436,37853,43153,37561
732399,"Table, kitchen or other household articles, and parts thereof, of iron other than cast iron ...",418,3693,3234,5536,5389,2182,695,577,476,770,,10572,11842,9183,14575,15555,14626,13055,14903,15140,20449,,756165,794583,805623,913344,943263,1018829,1108402,1004281,1162190,1463822
901600,"Balances of a sensitivity of 50 mg or better, with or without weights",3759,3301,3096,3031,2529,1975,1881,1357,1662,770,,26326,22567,22829,18763,20037,20063,21529,21463,18222,20050,,55649,56688,55102,67714,66942,69982,76306,75589,84707,113687
870370,"Motor cars and other motor vehicles principally designed for the transport of <10 persons, ...",0,0,0,0,0,15,132,244,380,765,,0,0,0,0,0,0,14,17,7,0,,0,0,0,0,0,30028,3523,10777,3282,40170
381900,Hydraulic brake fluids and other prepared liquids for hydraulic transmission not containing ...,351,396,239,356,384,378,547,580,490,764,,28609,22185,21489,23038,24505,25471,27444,26884,19288,24370,,24661,32666,39011,37137,34916,33357,35749,34747,25781,38347
732190,"Parts of domestic appliances non-electrically heated of heading 7321, n.e.s.",1560,1821,1670,691,426,770,834,972,664,763,,36225,26216,21183,29393,17322,10858,9539,9713,10205,11562,,282504,316267,336323,330521,280627,286701,315272,260267,257828,375800
820160,"Hedge shears, two-handed pruning shears and similar two-handed shears, with working parts of ...",706,754,752,690,712,674,692,742,828,760,,3244,2392,2754,3078,3677,3821,3777,3844,3740,4214,,48415,47909,46141,49625,45171,50852,46953,45982,56233,56830
880310,"Propellers and rotors and parts thereof, for aircraft, n.e.s.",179,248,226,106,1130,5483,479,3821,450,758,,3125,1645,1884,2341,1893,6714,3058,15092,4425,9181,,228349,232352,231147,197416,238435,251228,273037,303253,306463,335078
640399,"Footwear with outer soles of rubber, plastics or composition leather, with uppers of leather ...",859,485,407,316,644,776,496,810,606,757,,8459,8940,8671,9041,9650,8629,8891,8787,8775,6743,,6607027,6889821,6721380,6596446,5634651,5267599,5425853,5451619,4027752,5187839
360300,Safety fuses; detonating fuses; percussion or detonating caps; igniters; electric detonators ...,8322,7740,5935,4897,5329,3698,2093,1379,916,757,,21463,11192,9076,7931,8216,5576,3950,831,6478,9325,,234333,240200,273970,253872,232456,258799,314126,306961,227422,287178
960329,"Shaving brushes, hair brushes, nail brushes, eyelash brushes and other brushes for use on the ...",563,504,732,413,489,697,728,748,665,755,,28250,24512,19405,19686,21469,18104,10740,11970,14863,15923,,143573,153861,157291,165086,166074,158210,182073,208937,169938,213914
281420,Ammonia in aqueous solution,2260,1635,1326,1333,1096,1256,1341,1474,1987,754,,6614,4680,3016,2442,3374,3680,3490,3899,4184,4035,,15741,15817,17589,14185,13262,10231,8899,7217,10564,14620
401692,"Erasers, of vulcanised rubber (excluding hard rubber), conditioned (excluding those simply ...",1346,1042,766,701,953,908,603,812,442,751,,1142,2077,1517,2081,2975,2660,2961,2336,1816,1743,,20010,16085,17568,18596,13427,12963,12420,12136,8848,9411
810990,"Articles of zirconium, n.e.s.",241,49,739,998,1070,2209,2887,2890,4121,750,,12712,6928,4766,3907,3053,3281,4277,5693,4416,16825,,58641,57813,58192,56468,67423,72277,67008,67522,64918,63696
841451,"Table, floor, wall, window, ceiling or roof fans, with a self-contained electric motor of an ...",673,959,893,780,897,805,866,785,489,740,,7317,7196,8901,12891,15279,17966,21152,19955,17147,23021,,1130331,1176419,1190098,1327486,1337192,1473026,1586659,1739114,2001364,2362547
852321,Cards incorporating a magnetic stripe for the recording of sound or of other phenomena,1460,174,105,20,246,67,129,268,77,739,,4309,2222,1488,938,3186,1316,855,436,269,419,,17193,30164,44226,57165,21390,23112,21225,16356,11083,10452
60390,"Dried, dyed, bleached, impregnated or otherwise prepared cut flowers and buds, of a kind suitable ...",133,142,109,59,11,2,41,12,193,738,,380,673,1789,2406,4052,4301,4086,2768,2251,2828,,8509,8747,7633,14453,12440,11106,15111,19270,20046,32832
81010,Fresh strawberries,0,0,0,22,30,73,73,216,633,735,,2275,2454,4113,7015,10587,16036,22925,19335,24644,37019,,359345,330125,389927,413300,559499,642573,609567,871269,849306,1085037
720299,"Ferro-alloys (excluding ferro-manganese, ferro-silicon, ferro-silico-manganese, ferro-chromium, ...",18310,10426,15080,8777,5405,8913,5358,1513,505,733,,21429,14718,17857,14068,8020,13964,9674,4200,8409,12196,,74287,63051,63986,50597,31355,39205,37986,40463,30487,43818
401519,"Gloves, mittens and mitts, of vulcanised rubber (excl. of a kind used for medical, surgical, ...",212,145,153,114,107,124,140,119,286,729,,2795,2279,2491,2381,3188,3479,3488,4417,5725,5056,,1854531,1815576,1749866,1892321,1743125,1979616,2270277,2367918,4197442,10351937
252330,Aluminous cement,269,220,180,136,193,170,374,287,466,720,,4447,3339,2944,2637,3024,3175,3043,2651,2913,3333,,21702,21441,30906,64655,63612,40479,44026,30747,33816,77098
210610,Protein concentrates and textured protein substances,238,244,579,464,402,356,360,514,451,715,,5084,5612,5078,3505,4267,3808,3785,3265,3884,5374,,32991,39231,38485,48771,60134,81128,85265,65110,189772,256080
900710,Cinematographic cameras,919,664,1077,433,750,320,95,74,60,714,,16,91,100,173,46,21,0,54,17,10,,5035,16587,28925,14087,25606,24229,16561,38996,5072,7035
640419,Footwear with outer soles of rubber or plastics and uppers of textile materials (excluding ...,176,303,258,412,397,335,1354,580,1155,712,,5884,4733,4985,7850,8184,11065,12537,10691,17967,31459,,2599981,2791374,3047083,3553827,3610570,4089532,4531945,4712490,3551474,5304701
844140,"Machines for moulding articles in paper pulp, paper or paperboard (excluding drying equipment)",25,0,725,0,11,561,866,446,738,711,,24134,15388,6447,7214,7833,5416,7224,5559,4084,5055,,10152,18280,8643,20327,18427,7079,12471,13790,26984,29459
620442,Women's or girls' dresses of cotton (excluding knitted or crocheted and petticoats),545,440,505,582,751,846,1039,950,653,711,,6656,5118,5499,5956,6890,5368,6669,7123,6470,11671,,607887,544762,509765,578370,562694,542309,552859,564967,479078,703264
790700,"Articles of zinc, n.e.s.",209,306,388,159,356,1291,695,1017,1121,709,,10272,9599,8353,8410,9555,11854,11389,10062,7346,7466,,200997,203143,205046,213688,215705,240618,255307,248040,222524,292073
940179,"Seats, with metal frames (excluding upholstered, swivel seats with variable height adjustments ...",253,861,310,872,873,515,1006,833,991,708,,2757,1866,3385,3876,4360,3868,4722,4724,4068,2882,,1986479,2165815,2278149,2423700,2321294,2571994,2789749,2382237,2596942,3540292
291613,Methacrylic acid and its salts,7880,9056,6565,2431,298,1712,361,390,303,705,,24572,25537,20252,15024,15128,24783,26514,15365,11776,12971,,33267,25881,21914,7972,2796,11539,9946,17322,6410,52375
200799,"Jams, jellies, marmalades, pur?es or pastes of fruit, obtained by cooking, whether or not containing ...",332,295,197,331,503,404,456,670,486,703,,909,894,920,1528,1986,1162,1510,1589,1898,3030,,201450,219200,240015,251170,269589,267538,303941,323697,383415,425895
900699,"Parts and accessories for photographic flashlights and flashlight apparatus, n.e.s.",371,530,604,515,442,793,707,803,474,703,,4380,2728,2096,1445,1548,1183,1332,1699,1303,1458,,27357,32579,35285,33245,35530,39024,43873,49236,55914,63421
480519,"Fluting paper, uncoated, in rolls of a width > 36 cm or in square or rectangular sheets with ...",0,1279,654,1666,1810,2406,1277,1844,1088,702,,765,33658,49213,49624,57054,94227,84545,47611,89358,135230,,74324,103983,116605,136031,132311,157005,162182,156143,123833,138617
750220,Unwrought nickel alloys,1553,1069,174,346,3904,4683,269,2794,546,702,,25237,21414,25434,23042,13340,13404,15442,17712,6474,20244,,239128,223466,223975,174521,116097,67263,72054,94412,55272,56466
841181,Gas turbines of a power <= 5.000 kW (excluding turbojets and turbopropellers),28,0,777,697,0,920,236,1106,300,700,,13830,2869,8837,5537,2177,11530,10177,13028,17712,19171,,298951,315478,402558,418478,449851,451377,320159,313791,303266,343828
790500,"Zinc plates, sheets, strip and foil",2360,1136,1478,2100,1725,1789,2555,1970,1762,698,,7024,3134,15118,19398,29580,46475,51521,50341,34736,65542,,13327,14478,16016,15310,12717,15408,17179,13569,12212,10479
200490,"Vegetables and mixtures of vegetables, prepared or preserved otherwise than by vinegar or acetic ...",656,616,551,515,664,1773,742,735,331,697,,2569,3198,3802,3625,4097,3854,4913,4879,3701,5621,,100201,100569,101360,112757,159586,206727,244068,252382,296675,356599
290950,"Ether-phenols, ether-alcohol-phenols and their halogenated, sulphonated, nitrated or nitrosated ...",1616,5173,3077,1374,1136,554,781,1066,1056,696,,15298,14653,12511,11478,14748,16145,15398,10684,9304,9076,,61518,63616,53839,44482,38361,36243,39101,34969,28174,35723
820820,"Knives and cutting blades, of base metal, for machines or for mechanical appliances, for w ...",5202,5430,2494,678,674,622,746,781,502,689,,25929,15767,13099,10099,8265,7817,8624,8350,7182,7182,,35001,37929,38511,40529,40619,46942,60752,52329,51262,65736
741521,"Washers, """"incl. spring washers and spring lock washers"""", of copper""""",2152,1832,1137,645,575,597,560,741,634,689,,2059,2573,2545,2659,2641,2544,3176,3052,2583,3102,,12036,10564,11633,9699,7062,7868,11060,10497,7694,11531
290531,"Ethylene glycol """"ethanediol""""""""",703,244,97,215,330,291,77,872,617,689,,216593,276540,221488,243594,160195,253042,230439,177334,115204,117117,,1056041,1024792,864575,753771,579445,663693,806884,417708,262196,245687
841520,"Air conditioning machines of a kind used for persons, in motor vehicles",2665,1284,1155,422,1146,922,1985,916,1793,688,,25839,28278,30419,23519,14594,20305,29307,42417,23111,27551,,153334,195138,261871,302083,304086,332550,367318,213690,284020,298288
854610,Electrical insulators of glass (excluding insulating fittings),594,1383,1024,1313,556,933,1215,855,688,687,,426,708,132,761,36,22,11,3,14,134,,27660,33705,33304,26503,32124,34256,34295,22734,30802,26920
230910,"Dog or cat food, put up for retail sale",0,0,559,77,112,172,162,428,533,687,,6986,6297,6558,9264,17474,24061,33718,32787,43729,54958,,735663,663765,689918,765332,779633,842945,985190,1027878,1231728,1534992
691390,"Statuettes and other ornamental ceramic articles, n.e.s. (excluding of porcelain or china)",872,493,616,527,378,381,546,597,454,683,,5733,4241,5980,7683,10971,6363,9754,8296,8337,13652,,334595,344452,350073,364348,336522,363097,428989,468194,438397,697112
903220,"Manostats (excluding taps, cocks and valves of heading 8481)",3138,4880,5962,3717,388,569,528,630,540,683,,58999,60160,56242,58811,69216,85860,91895,80123,76512,88194,,42651,36390,42926,41342,40671,52414,46088,42718,40368,52457
481039,"Kraft paper and paperboard, coated on one or both sides with kaolin or other inorganic substances, ...",1487,561,822,715,1161,586,396,635,781,682,,6564,5560,2426,2196,2100,5706,4742,3944,1956,2763,,126818,184612,195837,155439,167322,140698,155767,133348,145312,196686
30346,"Frozen Southern bluefin tunas """"Thunnus maccoyii""""""""",854,772,1291,13,6,131,737,643,484,682,,147,582,902,2525,1525,1790,2430,1410,78,827,,1217,1009,2104,1034,233,438,1335,1526,1027,746
320413,Basic synthetic organic dyes; preparations based on basic synthetic organic dyes of a kind ...,274,476,463,819,865,776,976,1602,1111,680,,13973,11904,12698,12349,12061,13603,13269,11133,8761,10695,,20574,21209,23319,25723,23542,26153,33360,30835,29528,40717
330730,Perfumed bath salts and other bath and shower preparations,281,1018,228,139,195,164,304,320,287,673,,3723,3413,3778,3107,4059,5063,10353,10573,11617,16051,,49329,44916,47144,59379,78155,109787,173545,114653,79600,103679
160416,"Prepared or preserved anchovies, whole or in pieces (excluding minced)",139,160,183,98,105,12,44,33,392,672,,1095,979,1166,1123,2032,2213,2518,2175,3143,5215,,32116,26816,29193,35262,30104,29659,32344,30541,30110,31900
820240,Chainsaw blades of base metal,1571,1237,1291,1100,1254,625,479,491,443,672,,1044,1136,1146,833,1070,1542,1880,1812,1537,2277,,66827,65070,83412,84859,86836,95247,69039,86519,106422,112480
282760,Iodides and iodide oxides (excluding inorganic or organic compounds of mercury),832,547,619,501,468,603,753,824,770,672,,39813,32445,34654,32117,41767,39169,43993,46221,48051,52379,,19549,14732,15295,13040,11602,12021,16035,16684,16821,25369
293420,"Heterocyclic compounds containing in the structure a benzothiazole ring-system, whether or ...",1200,5265,6122,3079,1750,797,804,657,573,668,,12568,13187,16234,9663,7515,7704,9961,9401,16153,16834,,241546,99652,124522,101313,84612,91689,112411,99193,65911,137966
761090,"Structures and parts of structures, of aluminium, n.e.s., and plates, rods, profiles, tubes ...",473,969,882,1168,1903,2154,1295,1922,1378,667,,16330,13430,16491,17281,15315,20418,16486,21124,20005,24393,,418464,443318,493023,654673,745174,774316,941194,910318,936820,1219039
400819,"Rods and profile shapes, of cellular rubber",995,1535,1966,1663,1028,1142,1397,897,624,663,,1105,2335,4820,5175,3934,4432,4017,4199,3378,3582,,29225,28072,31754,40723,35206,34135,33136,27405,23906,29911
401691,"Floor coverings and mats, of vulcanised rubber (excluding hard rubber), with chamfered sides, ...",2433,4656,6177,779,488,707,838,599,398,663,,2368,1399,1830,1572,1366,1872,2195,2241,1480,2139,,148083,158173,191037,224926,214076,227509,256653,239978,182986,243584
60290,"Live plants, incl. their roots, and mushroom spawn (excluding bulbs, tubers, tuberous roots, ...",915,611,521,672,407,530,588,356,417,662,,101055,95634,75864,60485,68590,107307,104405,76045,95604,53558,,263225,288990,320980,334709,354289,386878,423077,458901,487047,678575
520943,"Woven fabrics of cotton, containing >= 85% cotton by weight and weighing > 200 g/m©÷, in three-thread ...",537,274,547,555,428,373,442,376,296,660,,13545,5941,4715,5696,6088,4735,5414,5415,4006,6505,,2794,2646,3196,2714,3436,3794,3456,3753,3925,3384
370231,"Photographic film """"incl. instant print film"""", in rolls, sensitised, unexposed, without perforations, ...""",602,574,401,511,863,846,756,1080,362,658,,2336,2191,1312,1755,2043,1979,1428,2132,1320,2729,,646,623,424,605,920,964,802,1099,476,749
540411,Elastomeric monofilament of >= 67 decitex and with a cross sectional dimension of <= 1 mm,907,794,778,899,915,692,770,747,567,658,,2916,2766,1492,1286,1630,1430,1557,1280,2990,1171,,2349,1484,1087,1450,1439,1056,1467,2161,1694,2049
850980,"Electromechanical domestic appliances, with self-contained electric motor (excluding vacuum ...",637,403,1229,264,145,173,674,565,955,658,,42742,42346,42940,41990,70663,71693,61827,60137,61851,57577,,638806,756274,745777,937083,766066,778822,966724,1278998,1334675,1804296
482361,"Trays, dishes, plates, cups and the like, of bamboo paper or bamboo paperboard",1116,1217,1689,1071,1171,881,936,703,436,655,,0,0,0,0,0,0,3,11,3,0,,14735,10010,5689,4164,4029,4167,5745,6053,12320,15682
200551,"Shelled beans """"Vigna spp., Phaseolus spp."""", prepared or preserved otherwise than by vinegar ...""",330,391,324,263,387,389,357,437,1100,655,,792,1245,1255,1240,1395,1320,1536,1252,1284,1518,,46188,49413,50496,54632,57748,58174,62387,64086,96665,120704
854419,"Winding wire for electrical purposes, of material other than copper, insulated",396,282,462,426,561,390,436,504,354,654,,17997,15400,13641,9501,9295,9880,8869,9491,8211,7879,,51345,31849,32228,34456,47886,55406,53255,32652,20190,25800
340119,"Soap and organic surface-active products and preparations, in the form of bars, cakes, moulded ...",238,218,103,18,5,150,421,373,564,652,,11665,11053,14164,16546,19148,21158,22973,19524,20563,16750,,174943,197028,224456,201288,174157,178831,162269,177823,607809,302803
420232,"Wallets, purses, key-pouches, cigarette-cases, tobacco-pouches and similar articles carried ...",752,482,290,255,310,426,774,527,600,651,,2146,1612,1665,1989,2592,3145,3170,2852,2907,3337,,524652,537190,545175,592534,600366,636878,641586,553020,429801,603340
960990,"Pencils, pastels, drawing charcoals, writing or drawing chalks and tailors' chalks",395,427,336,452,472,506,440,448,466,651,,1939,2056,3203,2953,3250,2926,1693,1589,1629,3827,,100995,103795,115507,109788,115731,99348,93351,86109,92047,119057
730531,"Tubes and pipes having circular cross-sections and an external diameter of > 406,4 mm, of iron ...",561,740,550,74,846,864,3535,3006,428,650,,25606,29897,17150,12268,14435,34300,15581,15795,9252,12977,,43497,21512,37103,40917,67412,54092,74815,138676,60863,22648
190211,"Uncooked pasta, not stuffed or otherwise prepared, containing eggs",0,0,0,2,0,67,313,454,793,647,,787,919,515,377,405,777,1329,1742,1263,1463,,28578,27242,25864,27602,28669,30794,32881,38158,47674,42568
722011,"Flat-rolled products of stainless steel, of a width of < 600 mm, not further worked than hot-rolled, ...",445,202,215,218,200,140,13,89,109,645,,7043,5169,7328,8052,5982,6615,5939,6450,4513,5877,,7385,5553,5262,4192,2360,1999,2426,4167,3218,3515
281219,"Chlorides and chloride oxides (excl. carbonyl dichloride """"phosgene"""", phosphorus oxy-, tri- ...""",0,0,0,0,0,4674,4952,4596,557,644,,0,0,0,0,0,18138,19849,21677,24427,34433,,0,0,0,0,0,18232,18619,23707,17647,14198
847529,Machines for manufacturing or hot working glass or glassware (excl. machines for making optical ...,2256,1366,3398,1723,2007,2189,3847,434,768,644,,46726,17564,40411,24887,26864,34485,31056,24546,31653,58241,,28009,14403,33025,132627,53137,50644,60984,55483,56831,67765
901530,Levels,2950,1014,1117,1057,675,546,1169,875,702,644,,23591,11603,8027,6963,5816,6015,7054,7021,9807,14254,,19890,13495,23457,24129,26739,32764,28809,20980,20921,24511
901710,"Drafting tables and machines, whether or not automatic (excluding units for automatic data-processing ...",0,52,5,8,3,6,38,33,0,642,,124,117,322,81,82,437,106,272,98,21,,2278,2384,2707,3176,6005,5166,7259,5773,6265,4709
620640,"Women's or girls' blouses, shirts and shirt-blouses of man-made fibres (excluding knitted or ...",409,519,686,918,1212,1024,1188,1313,849,639,,5750,5596,6673,7462,8389,8845,9756,9997,9266,9523,,1050093,1320457,1246547,1416245,1531175,1472400,1462622,1320008,783174,733064
731021,"Cans of iron or steel, of a capacity of < 50 l, which are to be closed by soldering or crimping ...",180,446,264,463,471,536,840,764,761,638,,2013,1883,4994,10736,8445,8757,7912,8988,7953,8846,,84335,77761,74111,75779,66005,62732,93109,100533,108452,160031
284290,"Salts of inorganic acids or peroxoacids (excluding of oxometallic or peroxometallic acids, ...",2673,2622,1776,1449,1154,1518,2783,2777,767,637,,45341,44421,45350,35780,39361,44260,42162,43112,41408,48349,,47116,40537,36195,35106,27171,35799,36091,25434,23171,49330
330690,"Preparations for oral or dental hygiene, incl. denture fixative pastes and powders (excluding ...""",2171,461,596,855,901,889,753,913,568,637,,9968,9988,7960,10896,18852,18388,19979,21930,27549,30442,,109540,118605,108697,122373,122968,121708,157954,165577,138790,148983
730490,"Tubes, pipes and hollow profiles, seamless, of non-circular cross-section, of iron or steel ...",1133,1494,2076,2267,2350,1550,2511,439,219,636,,17089,15712,18858,16023,6993,7408,5997,4221,3500,4687,,40582,24401,28830,30935,27152,40460,28025,16187,7776,40282
291531,Ethyl acetate,0,123,63,107,194,73,84,106,93,635,,2280,166,155,180,226,279,290,204,201,217,,62594,56800,62722,57490,48815,45358,52298,41350,36088,63056
721650,"Sections of iron or non-alloy steel, not further worked than hot-rolled, hot-drawn or hot-extruded ...",7205,5396,4024,6376,2939,808,2516,1040,126,635,,33014,35637,29758,22359,18180,18592,14284,8374,7351,12101,,86834,85934,101719,106355,91154,87276,53082,58846,63506,88545
731290,"Plaited bands, slings and the like, of iron or steel (excluding electrically insulated products)",4566,2934,2499,1714,1648,1536,1647,1426,492,632,,2328,2594,2148,3952,2086,3199,3800,2854,2275,2631,,24103,21056,18528,22082,15754,21885,20637,24019,18618,27872
400231,"Isobutylene isoprene rubber """"IIR"""", in primary forms or in plates, sheets or strip""""",1856,1056,786,652,660,413,491,331,432,632,,57934,39397,29243,16524,23651,23615,20638,20115,16487,22120,,90319,86604,80643,66414,46266,53536,51961,50682,34555,31804
