Product code,Product label,Germany's imports from Japan-Value in 2012,Germany's imports from Japan-Value in 2013,Germany's imports from Japan-Value in 2014,Germany's imports from Japan-Value in 2015,Germany's imports from Japan-Value in 2016,Germany's imports from Japan-Value in 2017,Germany's imports from Japan-Value in 2018,Germany's imports from Japan-Value in 2019,Germany's imports from Japan-Value in 2020,Germany's imports from Japan-Value in 2021,Japan's exports to world- ,Japan's exports to world-Value in 2012,Japan's exports to world-Value in 2013,Japan's exports to world-Value in 2014,Japan's exports to world-Value in 2015,Japan's exports to world-Value in 2016,Japan's exports to world-Value in 2017,Japan's exports to world-Value in 2018,Japan's exports to world-Value in 2019,Japan's exports to world-Value in 2020,Japan's exports to world-Value in 2021,Germany's imports from world- ,Germany's imports from world-Value in 2012,Germany's imports from world-Value in 2013,Germany's imports from world-Value in 2014,Germany's imports from world-Value in 2015,Germany's imports from world-Value in 2016,Germany's imports from world-Value in 2017,Germany's imports from world-Value in 2018,Germany's imports from world-Value in 2019,Germany's imports from world-Value in 2020,Germany's imports from world-Value in 2021
847989,"Machines and mechanical appliances, n.e.s.",192531,148532,165110,128614,147572,144455,159473,188620,152491,191179,,6500233,4594694,4824130,4142174,4539473,5446369,5564167,5269198,4823279,5400940,,1662788,1807227,2164793,1924303,2207646,2434856,2912986,2923924,2939610,2932886
370790,"Preparation of chemicals for photographic uses, incl. unmixed products put up in measured portions ...",119439,180991,228586,161109,171640,216805,244508,235243,175811,189282,,2730626,2636017,2637034,2356921,2581946,2687816,2858834,2895876,2827755,3354856,,394123,427277,439043,367111,388365,487783,567062,536501,435888,439114
381800,"Chemical elements and compounds doped for use in electronics, in the form of discs, wafers, ...",129423,120755,142348,150142,238970,217525,169803,157988,138398,185893,,2996387,2580708,2730727,2605747,2634309,3084935,3926841,4019308,4033920,4585284,,546463,398522,484624,438894,565323,605353,593299,539449,499441,657015
842890,"Machinery for lifting, handling, loading or unloading, n.e.s.",28395,32171,40928,77568,137672,115657,133898,136033,143008,185406,,665223,622787,622790,584144,616594,733026,913331,884180,738666,617170,,458589,529626,606371,564083,699660,798180,934198,941829,896539,966930
854129,Transistors with a dissipation rate >= 1 W (excluding photosensitive transistors),99293,154739,208010,163999,167651,170312,157950,163499,147398,185004,,1248210,1049699,1142655,967931,1031667,1162131,1352380,1505529,1733593,2015537,,747196,920962,1156538,1175446,1374262,1664628,2000708,1903830,1592902,2005412
300214,"Immunological products, mixed, not put up in measured doses or in forms or packings for retail ...",0,0,0,0,0,24611,31243,73095,106493,182458,,0,0,0,0,0,63752,67853,105587,122667,282378,,0,0,0,0,0,8326241,8711940,6497640,8143472,7225254
850450,Inductors (excluding inductors for discharge lamps or tubes),68413,65804,66349,58939,84552,105037,121629,119190,150418,177357,,880772,871717,998639,1038191,1081067,1109622,1041731,1050110,1242910,1492318,,766327,793269,840558,813955,906787,1026799,1147057,1050874,1069809,1410952
842952,"Self-propelled mechanical shovels, excavators and shovel loaders, with a 360¡Æ revolving su ...",123849,76484,139263,129191,166574,216650,169095,209618,110211,173731,,8796642,6274793,6302923,5436446,5964075,6953668,7957695,7455007,5856728,8248127,,903894,791027,964588,885029,1047678,1153906,1263224,1457815,1241215,1591463
300215,"Immunological products, put up in measured doses or in forms or packings for retail sale (excl. ...",0,0,0,0,0,206485,380497,226344,250987,170856,,0,0,0,0,0,575071,643971,682523,1665821,1641918,,0,0,0,0,0,8713019,9600541,9996793,12039996,15918955
321590,"Ink, whether or not concentrated or solid (excluding printing ink)",267750,371370,230916,114510,98146,62355,127370,143799,150450,154894,,149856,107033,117206,110391,116940,112340,117018,132723,130495,142392,,1634465,2155295,2106438,1626445,967503,300689,1663618,1578921,1743261,1676487
870380,"Motor cars and other motor vehicles principally designed for the transport of <10 persons, ...",0,0,0,0,0,7720,7406,6748,120864,138362,,0,0,0,0,0,597792,386449,431470,759605,1018937,,0,0,0,0,0,619212,854430,1624813,4797368,8883204
848210,Ball bearings,187908,183507,187816,130735,133899,135691,141426,127637,100079,135966,,2099110,1806441,1940458,1660656,1631289,1840646,1948139,1787428,1449852,1999899,,1773505,1872224,1955058,1598489,1697111,1871586,2082437,1788617,1452975,1869050
850760,Lithium-ion accumulators (excluding spent),143779,122738,203062,264162,243470,289979,278736,197062,236371,134961,,2293524,2053191,2032530,2032883,2617327,2571627,2577621,2053783,2480619,3372165,,565425,676968,1031521,1313127,1614343,2247410,2857808,3707772,6406589,10321283
871494,"Brakes, incl. coaster braking hubs and hub brakes, and parts thereof, for cycles (excluding ...",37199,26921,39325,49890,54640,49071,63043,82132,90103,130317,,181565,136772,188469,227929,225673,200161,267331,350916,346812,500859,,130570,111433,134659,152191,142891,143470,173267,204176,230709,354805
852990,"Parts suitable for use solely or principally with flat panel display modules, transmission ...",190411,140805,156942,102023,121228,108881,85000,108194,141938,129741,,4816193,3780427,3010663,2841352,2682212,2419975,2109719,1958675,1660903,2028018,,3341195,3015265,3023479,2406466,2387952,2565931,2751037,2784816,3273111,3695646
848340,"Gears and gearing for machinery (excluding toothed wheels, chain sprockets and other transmission ...",171943,117573,120620,103634,134140,144224,136280,124556,101439,128084,,2545160,2262152,2166942,1905795,2021189,2226098,2368784,2058031,1765776,2269728,,1066738,1064023,1271401,1060275,1110505,1164641,1258881,1163018,1000362,1144991
848690,Parts and accessories for machines and apparatus of a kind used solely or principally for the ...,104767,84220,91150,77337,81162,83672,100167,94635,90759,126036,,3309305,2946655,3181004,3154275,4398921,5689336,5689802,5029592,6058813,6264001,,600200,542421,529211,436888,443716,535486,595028,561119,555299,737390
853222,"Fixed electrical capacitors, aluminium electrolytic (excluding power capacitors)",126863,122525,142611,115905,119888,120236,128239,121162,95009,122283,,1118375,993488,994584,926994,1012453,1099375,1170819,1003165,985966,1199299,,369155,394476,423054,401809,409344,452146,479362,424531,369905,499072
320730,"Liquid lustres and similar preparations of the kind used in the ceramic, enamelling or glass ...",57526,58507,56831,48118,41542,48153,56432,74487,88802,116128,,423393,390261,455898,432544,468622,537630,598077,508147,620415,818134,,116419,109813,106539,99935,109277,107337,103710,117190,129361,163234
840890,"Compression-ignition internal combustion piston engine """"diesel or semi-diesel engine"""" (excluding ...""",105155,70862,84683,74451,71858,85858,107149,112916,83516,113539,,2922154,2360659,2419739,1886539,2019132,2527459,3135938,2970964,2640170,3422000,,468804,653663,494855,383312,405481,507480,735869,534618,462751,661361
853669,Plugs and sockets for a voltage <= 1.000 V (excluding lamp holders),81692,89425,98242,88260,95277,110629,140259,112289,83814,107432,,248726,234827,237106,224509,225992,205239,210057,221546,317217,433729,,1637565,1991066,2118329,1984055,2111831,2451257,2705336,2480030,2406218,3037324
820900,"Plates, sticks, tips and the like for tools, unmounted, of sintered metal carbides or cermets",87302,90252,106469,89667,88030,83266,99341,92118,77632,106818,,752716,703374,767462,737215,736380,798627,915951,812166,701028,899920,,959964,946588,964815,776274,737064,788268,889213,788395,646757,861626
390690,"Acrylic polymers, in primary forms (excluding poly""""methyl methacrylate"""")""""",49710,31034,48451,42055,46053,55221,71345,48524,60623,104485,,1334105,1079156,1329377,1115588,1175851,1357817,1411780,1194129,1109108,1299094,,1031298,1048370,1142209,933959,913048,1000103,1097339,1035690,932582,1124222
840991,Parts suitable for use solely or principally with spark-ignition internal combustion piston ...,84454,76627,84995,73962,82415,93056,122698,96639,78086,103430,,6096273,5544151,5111633,4342886,4507919,4752871,4904977,4669664,3866279,4704867,,2868233,2885354,3266007,2860370,2816989,2924777,3136240,3030646,2642402,2942966
852349,Optical media for the recording of sound or of other phenomena (excluding unrecorded and goods ...,85239,107401,68268,43642,64694,57532,45415,33491,74221,102759,,637886,624121,610128,761993,635893,558760,553491,481080,471798,467150,,2278221,2134768,1912692,1720841,1665646,1552849,1447343,1320272,1180048,1103902
841490,"Parts of: air or vacuum pumps, air or other gas compressors, fans and ventilating or recycling ...",330053,248464,206767,102338,134179,147901,137140,110024,88069,102381,,1908268,1768968,1744892,1500562,1596589,1785867,1765344,1599953,1398596,1547836,,1261184,1454663,1314132,1021003,1031140,1083973,1098886,957068,849364,999027
871499,"Parts and accessories, for bicycles, n.e.s.",90517,64739,70489,94817,80890,74419,74278,69067,72104,100107,,590002,452138,517529,551456,546224,501110,510114,477873,485718,684426,,456514,434365,510311,526100,553356,554682,644508,672459,721821,1063543
853321,Fixed electrical resistors for a power handling capacity <= 20 W (excluding heating resistors),37685,38510,50335,49948,66803,89844,91567,85456,87188,100012,,526408,485338,478863,419912,443647,523219,579061,543514,572037,713937,,330871,380447,479640,512842,567043,673561,801514,692310,632150,833050
382499,"Chemical products and preparations of the chemical or allied industries, incl. those consisting ...",0,0,0,0,0,77358,86803,133169,91312,97703,,0,0,0,0,0,3630937,3907464,3602200,3593527,4523438,,0,0,0,0,0,2307677,2672478,2643249,2445858,2866757
854890,"Electrical parts of machinery or apparatus, not specified or included elsewhere in chapter ...",72267,88534,102516,100042,128318,135497,128579,116523,83849,97487,,1133968,966061,987447,900496,890253,924018,915927,890743,943304,1005687,,203353,242066,339640,331252,459417,559835,586173,583994,533870,571077
853641,Relays for a voltage <= 60 V,45104,39129,39080,38886,41742,42862,44193,56157,66426,97223,,732547,695276,705238,635821,689061,683599,703333,617621,578045,728105,,451063,428730,492727,407993,441124,477365,499906,451999,417124,571620
870840,"Gear boxes and parts thereof, for tractors, motor vehicles for the transport of ten or more ...",776435,581129,465027,574198,822586,697538,515731,251105,100552,96568,,18118224,16197600,15644451,13820476,16094029,18040484,18957882,16986979,14280563,17073295,,3788189,4076785,3987738,4136149,5082605,7112525,7609645,6397699,5156416,5495815
853650,Switches for a voltage <= 1.000 V (excluding relays and automatic circuit breakers),82601,72234,71430,64175,82071,91600,98636,81505,68288,91809,,1881928,1733711,1706274,1501360,1524229,1717858,1767450,1566577,1443922,1803101,,1798838,1858094,1913647,1736267,1795853,2036686,2218093,2139903,2009083,2391177
681510,"Articles of graphite or other carbon, incl. carbon fibres, for non-electrical purposes",62038,67920,56358,48810,56251,60798,62070,91856,108558,91029,,716501,676232,734773,749597,716141,677372,782599,830883,716679,790366,,403953,418461,515535,538935,540045,561644,719207,801993,586470,605398
851150,Generators of a kind used for internal combustion engines (excluding magneto dynamos and dual ...,144136,111110,117048,131699,156807,135868,122425,113102,74078,89138,,826905,728517,737042,707297,685352,564799,534467,455147,328033,427042,,729074,715398,725693,671212,699280,698442,777672,787839,715798,764011
845811,"Horizontal lathes, incl. turning centres, for removing metal, numerically controlled",163929,116984,140870,131557,127663,153060,163813,127899,62340,85902,,2039157,1712779,1751569,1528625,1330606,1489161,1711430,1675040,1021468,1251784,,496761,441900,471545,462539,409374,492856,603343,543438,281829,363662
854232,Electronic integrated circuits as memories,69248,73619,81240,48529,49252,88595,87901,71935,59559,85772,,9240760,9210557,8403707,8399015,9008034,9738748,11603779,11054866,12247102,14692935,,1093770,1127882,1230584,1110474,1049982,1504847,1969514,1435166,903952,1043284
903180,"Instruments, appliances and machines for measuring or checking, not elsewhere specified in ...",115700,103853,95055,74152,88197,92204,73852,71166,57083,85450,,2189262,1810572,1764678,1646656,1633985,1755841,1883089,1763290,1461943,1483485,,1662236,1762464,2076648,1921558,1940125,1639466,1841496,1822589,1589509,1797277
854370,"Electrical machines and apparatus, having individual functions, n.e.s. in chapter 85",167106,183715,174693,130391,103244,85077,109257,73288,79358,83596,,2245933,1810450,1640312,1594261,1729991,1898197,1871509,1702331,1779309,2102258,,1536216,1987472,2261777,1961432,2046728,1903369,1953181,1821686,1964773,2387555
392690,"Articles of plastics and articles of other materials of heading 3901 to 3914, n.e.s (excluding ...",91520,85263,74394,65832,69495,74261,75892,76968,73203,83237,,1961484,1761910,1728542,1603437,1699088,1845083,1993181,1991418,1938278,2167010,,3873706,4246750,4750670,4228530,4389335,4859562,5329085,5271580,5295664,6478434
871150,"Motorcycles, incl. mopeds, with reciprocating internal combustion piston engine of a cylinder ...",127419,127978,143103,71543,61917,73903,98300,72114,78912,82827,,1378136,1254760,1363998,1139419,1222540,1362544,1641240,1142389,964896,1323932,,390719,385382,423699,316012,371160,410314,505832,410809,441681,543697
880330,"Parts of aeroplanes or helicopters, n.e.s. (excluding those for gliders)",94145,91855,79432,97162,105264,82024,72814,80412,74805,80169,,3911542,4290059,5135990,5050134,4756115,4172000,3875794,4428643,2961241,1592560,,7374513,7355015,8033514,7543728,4722285,6846101,7908936,7007485,6464564,5419767
847950,"Industrial robots, n.e.s.",159943,137662,176942,180323,104663,128928,168695,87543,75063,80132,,1447595,1247689,1452403,1437388,1627572,2206593,1995792,1592161,1723293,2377328,,399807,394251,432433,425819,368661,484898,507437,423508,378566,432984
847990,"Parts of machines and mechanical appliances, n.e.s.",50411,53911,55734,50798,57026,60200,68841,77534,64262,79902,,1756674,1284145,1332438,1307005,1326474,1499871,1607811,1388143,1451393,1630782,,1363382,1308227,1397637,1295719,1383117,1440613,1747497,1663057,1608679,1874929
901839,"Needles, catheters, cannulae and the like, used in medical, surgical, dental or veterinary ...",56550,46220,57696,56299,46864,43225,51297,59065,63631,78806,,619166,591606,613398,644402,754267,890582,975634,1066728,921053,938664,,1692063,1884008,1997113,1892699,2044126,2180825,2267182,2156470,2352292,2635981
848180,"Appliances for pipes, boiler shells, tanks, vats or the like (excluding pressure-reducing ...""",48122,48699,54215,57158,59125,59942,75760,68863,74706,78587,,2200916,2011256,1855265,1701753,1866677,2023503,2114436,1915582,1837107,2134211,,2696167,2844598,2950591,2652187,2747627,3081619,3387189,3366262,3220989,3804947
401110,"New pneumatic tyres, of rubber, of a kind used for motor cars, incl. station wagons and racing ...",248006,190739,159374,111221,111973,114514,130054,102781,81822,78319,,3315846,2931950,2731860,2326533,2091920,1920482,1972977,1890080,1499539,1876580,,4889352,4830880,4779755,4053620,4260375,4408375,4677711,4227580,3799981,4324695
851762,"Machines for the reception, conversion and transmission or regeneration of voice, images or ...",56954,67712,101390,96577,115867,134366,125995,117140,85215,75721,,1505443,1338402,1311576,1355502,1259881,1254378,1159466,1113115,967188,913676,,5386454,5595147,6124938,6136354,7161202,8272652,9178153,9374267,9864831,10417147
871493,Hubs and free-wheel sprocket-wheels for cycles (excluding for motorcycles and coaster braking ...,36125,25692,24643,15863,40158,36315,43692,47485,57307,74724,,39553,42183,48735,51155,86447,85942,98241,109701,115582,160855,,97103,82929,90343,77672,102138,101094,117691,139041,159847,227986
870324,"Motor cars and other motor vehicles principally designed for the transport of persons, incl. ...",117117,99208,94189,101218,106745,105894,102276,84439,63222,70760,,28739068,26481116,24971924,23414386,21565608,20408888,21883156,18150073,14150839,15219267,,1648266,1591688,1654427,1642241,2399516,2383514,2428589,2915069,2642144,3306209
390469,"Fluoropolymers of vinyl chloride or of other halogenated olefins, in primary forms (excluding ...",33668,21695,32867,35858,34754,44881,54437,54462,46367,69903,,393128,360915,392861,367596,375492,403457,464855,491471,436789,568787,,224362,221376,225732,216557,220904,246386,265826,240816,224263,321373
850590,"Electromagnets and electromagnetic lifting heads, and their parts (excluding magnets for medical ...",25159,24541,25995,23157,25298,23816,26949,27936,38006,69084,,421395,442793,438464,412350,434770,422720,421254,413578,575291,486350,,312863,366485,363652,302184,313849,350548,362921,293650,280810,370752
902620,Instruments and apparatus for measuring or checking pressure of liquids or gases (excluding ...,38516,37552,46795,41963,45936,42121,56836,62024,63481,68003,,309266,263679,259236,240467,246698,269508,281460,261848,248376,289434,,711376,742411,848993,870110,941315,1079252,1230452,1275760,1131223,1303840
901812,Ultrasonic scanning apparatus,90493,90076,83380,59271,74563,68914,74096,73119,67628,67399,,544598,463656,455221,405147,406800,410020,444426,431254,353105,406893,,491042,486964,389770,319223,339370,334379,357831,354318,334621,361480
852351,"Solid-state, non-volatile data storage devices for recording data from an external source [flash ...",183718,234609,118712,34427,42377,70648,60189,73813,78087,67089,,271034,308468,277395,239410,236378,257303,319951,313137,298504,317258,,1023284,1094573,1148127,1090645,1230428,1362160,1201675,1210390,1191558,1352798
400299,"Synthetic rubber and factice derived from oils, in primary forms or in plates, sheets or strip ...""",34410,29197,33524,29492,44300,51825,56266,61336,59696,66948,,394399,407555,415400,369798,356914,379774,396989,362314,343977,404026,,170641,158976,179386,153429,172113,201758,204677,183152,164417,212530
845710,Machining centres for working metal,161540,124707,121938,119345,114012,122986,137903,121658,59803,66201,,5389541,3127131,4494546,3858334,2695200,3280042,3624641,2735020,1988187,2867455,,541435,502293,521481,464486,452099,478746,598459,508139,284701,300709
902780,"Instruments and apparatus for physical or chemical analysis, or for measuring or checking viscosity, ...",118855,105592,109402,94120,69008,138365,120215,93312,60393,65876,,1472076,1175996,1372359,1272754,1420905,1176281,1292773,1200384,1120076,1043198,,850580,825450,954039,876471,921636,1076778,975603,818627,993020,1149398
842129,Machinery and apparatus for filtering or purifying liquids (excluding such machinery and apparatus ...,58794,21651,30363,29297,34138,36097,42048,57521,78644,65847,,739589,658315,665862,587650,661889,681534,725789,726630,783582,845716,,441160,461516,538687,500560,474939,510161,563742,581815,680873,723356
854160,Mounted piezoelectric crystals,81698,56772,52901,40599,46224,54297,70571,64087,51206,65662,,1423340,1291407,1412354,1641288,2055093,1825089,1725086,1588377,1689049,1932560,,344120,306024,296694,254619,281058,287754,313978,270842,232657,291222
870850,"Drive-axles with differential, whether or not provided with other transmission components, ...",24832,25313,30982,45362,66158,60547,61914,67170,51351,64612,,2831930,2544339,2423037,2402248,2459926,2522416,2432565,2285643,2014140,2466271,,2213763,2164025,2161282,1834569,2097490,2412537,2651415,2525270,2112023,2545583
848220,"Tapered roller bearings, incl. cone and tapered roller assemblies",148775,124682,136806,102156,95266,89058,99759,81732,62496,64453,,774567,622392,656630,621702,601056,639108,651120,687548,555089,672942,,670733,686053,717712,580091,547713,578619,663022,617051,545922,638582
392099,"Plates, sheets, film, foil and strip, of non-cellular plastics, n.e.s., not reinforced, laminated, ...",27734,28655,22056,19763,24861,26583,29834,38998,47594,63149,,1883773,1795584,1832285,1609738,1743317,1861479,1969027,2080491,2374209,2611279,,284741,234827,208034,206712,256729,272419,297136,295099,283993,366752
901849,"Instruments and appliances used in dental sciences, n.e.s.",35395,40889,40281,39871,41950,43650,42851,20257,40481,60664,,217985,209451,213238,209480,215521,212811,230705,228812,197134,267374,,405899,446268,454820,450009,477978,551516,536022,463651,456417,665427
852329,Magnetic media for the recording of sound or of other phenomena (excluding cards incorporating ...,112315,105701,99096,73995,54915,76547,85890,80777,48110,59020,,1471752,1092078,1027407,849635,802979,830862,689281,584486,588175,701517,,238220,190539,205558,125638,154250,198539,215859,164861,83674,84716
