Product code,Product label,Russian Federation's imports from Japan-Value in 2012,Russian Federation's imports from Japan-Value in 2013,Russian Federation's imports from Japan-Value in 2014,Russian Federation's imports from Japan-Value in 2015,Russian Federation's imports from Japan-Value in 2016,Russian Federation's imports from Japan-Value in 2017,Russian Federation's imports from Japan-Value in 2018,Russian Federation's imports from Japan-Value in 2019,Russian Federation's imports from Japan-Value in 2020,Russian Federation's imports from Japan-Value in 2021,Japan's exports to world- ,Japan's exports to world-Value in 2012,Japan's exports to world-Value in 2013,Japan's exports to world-Value in 2014,Japan's exports to world-Value in 2015,Japan's exports to world-Value in 2016,Japan's exports to world-Value in 2017,Japan's exports to world-Value in 2018,Japan's exports to world-Value in 2019,Japan's exports to world-Value in 2020,Japan's exports to world-Value in 2021,Russian Federation's imports from world- ,Russian Federation's imports from world-Value in 2012,Russian Federation's imports from world-Value in 2013,Russian Federation's imports from world-Value in 2014,Russian Federation's imports from world-Value in 2015,Russian Federation's imports from world-Value in 2016,Russian Federation's imports from world-Value in 2017,Russian Federation's imports from world-Value in 2018,Russian Federation's imports from world-Value in 2019,Russian Federation's imports from world-Value in 2020,Russian Federation's imports from world-Value in 2021
401180,"New pneumatic tyres, of rubber, of a kind used on construction, mining or industrial handling ...",0,0,0,0,0,187777,223434,247618,168935,227272,,0,0,0,0,0,1629635,1882674,1967193,1559544,1897973,,0,0,0,0,1333,434101,539990,575481,446983,612909
901890,"Instruments and appliances used in medical, surgical or veterinary sciences, n.e.s.",133731,80893,72699,66749,65132,71036,105491,131751,150303,201963,,1230358,1229205,1169294,1157825,1148026,1167403,1276358,1300457,1362315,1457168,,1398525,1198787,1257837,732659,853792,900819,930321,1066345,1147334,1303655
842911,"Self-propelled bulldozers and angledozers, track laying",268086,162457,109568,72955,84688,75637,133406,161292,109696,200695,,1067181,842324,833700,649647,500393,709585,845630,823916,500430,1036618,,715198,407494,292094,132009,177120,296761,398011,325751,244119,507563
870880,"Suspension systems and parts thereof, incl. shock-absorbers, for tractors, motor vehicles for ...",173392,165655,127072,72152,105474,138391,150322,141950,112062,160366,,1319418,1226278,1181614,1027344,1136723,1170870,1150130,1045668,851262,1076245,,1162277,1203506,997392,544015,636303,862331,929662,885118,729110,1032844
870410,Dumpers for off-highway use,66092,34827,16529,2712,33133,56813,71067,93302,45715,146965,,1418554,695008,511596,452088,450137,765212,1060540,743852,440683,931122,,985456,636808,341613,276598,410774,845295,691100,422446,278410,810730
293499,"Nucleic acids and their salts, whether or not chemically defined; heterocyclic compounds (excl. ...""",70,58,40,112,439,589,9062,61020,93730,111031,,508279,493031,593425,561735,625905,853118,957574,1201807,1405589,1460695,,81534,76548,104669,96370,107440,197428,277023,384590,438824,570826
844399,"Parts and accessories of printers, copying machines and facsimile machines, n.e.s. (excluding ...",272944,297986,238170,112404,106259,114530,101300,104058,67518,89126,,11579087,10490187,9578395,8552058,8008284,8257570,8121314,7614422,6637433,7581707,,743222,753007,677047,333125,316777,370365,378282,369237,289450,362313
847989,"Machines and mechanical appliances, n.e.s.",39190,265348,44945,17583,25812,22588,25920,25487,27803,88749,,6500233,4594694,4824130,4142174,4539473,5446369,5564167,5269198,4823279,5400940,,1072000,1495391,1096813,742760,788874,869978,960527,917448,992239,1208468
851220,Electrical lighting or visual signalling equipment for motor vehicles (excluding lamps of heading ...,61582,64858,50625,36527,36152,58904,79335,80792,61468,86782,,672118,637423,609347,613445,800398,975239,986973,804725,640910,770093,,416908,460698,428027,262573,278336,407346,487118,491350,429384,603310
870870,"Road wheels and parts and accessories thereof, for tractors, motor vehicles for the transport ...",129320,115801,87596,69990,73853,91630,102174,87497,70489,84038,,532314,451756,363857,320972,349090,353204,393343,337873,273963,343880,,1268997,1262917,1057654,516159,555924,711455,853673,827839,673752,925705
401110,"New pneumatic tyres, of rubber, of a kind used for motor cars, incl. station wagons and racing ...",415782,318566,233429,126684,104640,116733,118136,109365,93399,80741,,3315846,2931950,2731860,2326533,2091920,1920482,1972977,1890080,1499539,1876580,,1424432,1241104,998431,487843,461238,654043,753904,779730,615632,762922
961900,"Sanitary towels (pads) and tampons, napkins and napkin liners for babies, and similar articles, ...",123305,158556,184135,133897,145564,111357,112746,98487,71039,79891,,639690,813899,1080019,1490632,1389371,1625049,1558009,1376531,1053109,856860,,805207,822015,816784,593866,547983,523266,492610,501759,415401,483688
870830,"Brakes and servo-brakes and their parts, for tractors, motor vehicles for the transport of ...",70590,71138,65699,41930,45794,59561,74653,75694,54933,77057,,2122377,1806264,1580917,1343001,1477026,1618298,1707286,1668870,1500359,1792014,,761389,833227,787442,522710,585744,704115,760171,761787,684660,909764
840721,Spark-ignition outboard motors for marine propulsion,123372,125412,97043,31409,33267,50790,60214,65203,45566,71985,,1603660,1558361,1620153,1482722,1685061,1750063,2032320,2059990,1660078,2352533,,170029,171324,137227,49504,51710,71262,86078,87220,66968,103811
870894,"Steering wheels, steering columns and steering boxes, and parts thereof, for tractors, motor ...",41251,54823,46165,30902,32501,48290,57255,63984,50306,69106,,1764231,1566885,1274852,1155987,1292475,1370770,1469745,1185311,873893,1084496,,576509,592261,521983,322509,337082,430182,506442,506960,437987,586125
300215,"Immunological products, put up in measured doses or in forms or packings for retail sale (excl. ...",0,0,0,0,0,9923,8645,27081,76826,62556,,0,0,0,0,0,575071,643971,682523,1665821,1641918,,0,0,0,0,0,409155,433112,1174562,1088441,1497263
300490,"Medicaments consisting of mixed or unmixed products for therapeutic or prophylactic purposes, ...""",24641,36630,30666,25892,38144,39802,51570,69639,34463,57296,,1420010,1364645,1333085,1868063,2221532,2483862,3323493,4209092,4223491,3815356,,7755747,8462338,7384591,4722999,5161127,6286657,5954256,7610252,5495105,7359024
870850,"Drive-axles with differential, whether or not provided with other transmission components, ...",57560,54432,49232,24361,19942,34808,44949,46056,31348,56270,,2831930,2544339,2423037,2402248,2459926,2522416,2432565,2285643,2014140,2466271,,701435,735007,602048,238559,287357,437578,515719,519442,489933,784472
870422,"Motor vehicles for the transport of goods, with only compression-ignition internal combustion ...""",80315,71217,77933,14589,11272,56346,20681,28913,21714,50573,,5701383,4870748,5314745,4947932,4597140,4215465,4191716,3951568,2912694,4615752,,501380,403285,244955,55339,75152,148686,93280,123264,96812,166931
732690,"Articles of iron or steel, n.e.s. (excluding cast articles or articles of iron or steel wire)",41641,39625,30779,24472,24811,35366,39789,41547,32018,49917,,917045,873654,870464,788880,866763,993941,1103469,1122376,1003965,1145074,,1206149,1256131,1286328,760066,798082,990657,1103367,1175011,1132987,1298789
271019,"Medium oils and preparations, of petroleum or bituminous minerals, not containing biodiesel, ...",39149,49909,48654,43674,51054,45771,43126,40099,34188,49837,,10748957,13262388,11429126,8131501,6527682,7194643,8637671,9427105,4684624,5619135,,1554385,1232255,1050610,672940,660576,807935,836891,827896,934802,1296976
851110,Sparking plugs of a kind used for spark-ignition or compression-ignition internal combustion ...,54379,65343,58554,31001,46405,58183,53173,49768,38935,49604,,835045,874688,912856,802384,808684,912496,950771,945738,848540,982988,,88314,94088,86529,53046,72627,92765,97642,105105,92207,133962
842720,"Self-propelled trucks fitted with lifting or handling equipment, non-powered by an electric ...",102412,78552,54170,26644,27988,37079,46396,34359,30290,49580,,1145208,864227,817410,672184,605145,611653,685968,569136,502193,656525,,445346,472981,348578,182102,206783,285719,346933,314906,283530,424993
853710,"Boards, cabinets and similar combinations of apparatus for electric control or the distribution ...",32961,43316,38528,29417,33976,54768,54394,48213,31978,48940,,3215557,2813145,2870431,2387025,2649395,3216581,3243433,2754691,2616653,3236128,,1565747,1320488,1214654,845593,826990,1060669,1108917,1080740,1126440,1323395
842951,Self-propelled front-end shovel loaders,86574,56935,30450,18007,19132,21519,26179,30164,25437,48580,,1214684,1151026,1273866,1031418,1307373,1393017,1533813,1448294,1443112,1909591,,943112,861261,515707,198607,201366,361566,395382,464870,353854,589047
902750,"Instruments and apparatus for physical or chemical analysis, using UV, visible or IR optical ...",22918,34310,23715,16039,15220,25678,20354,24649,34245,47322,,392208,377712,399045,386419,404554,493118,503166,582416,620509,621323,,173560,188046,135100,77513,94640,111340,106476,137316,181903,224735
401120,"New pneumatic tyres, of rubber, of a kind used for buses and lorries (excluding typres with ...",60243,54630,38223,30597,35667,32124,33223,40494,34060,46029,,1969246,1561710,1492776,1183827,996829,1050072,1007519,1059841,824855,1060445,,685127,729721,579732,348150,387078,474978,461550,489792,463458,576537
902212,Computer tomography apparatus,92585,41680,28616,20200,10245,11451,13424,30496,86273,45261,,513376,460138,444159,413337,446147,440578,464860,515202,608495,586665,,290476,182430,139317,65052,32419,50910,55992,113838,237958,157896
370790,"Preparation of chemicals for photographic uses, incl. unmixed products put up in measured portions ...",27781,37711,41159,41981,38940,44509,46706,50231,40144,44826,,2730626,2636017,2637034,2356921,2581946,2687816,2858834,2895876,2827755,3354856,,82098,88935,91322,98374,113916,154224,170450,183471,140661,158263
840991,Parts suitable for use solely or principally with spark-ignition internal combustion piston ...,20557,18985,14443,13988,24248,15979,16035,20022,30226,43612,,6096273,5544151,5111633,4342886,4507919,4752871,4904977,4669664,3866279,4704867,,187703,208224,181202,166972,193264,214908,268606,249588,225991,313721
870340,"Motor cars and other motor vehicles principally designed for the transport of <10 persons, ...",0,0,0,0,0,45972,21614,17914,19321,43551,,0,0,0,0,0,10710065,11071157,16315948,18239044,19084523,,0,0,0,0,0,48535,99497,166865,312997,934088
392690,"Articles of plastics and articles of other materials of heading 3901 to 3914, n.e.s (excluding ...",47759,49320,34200,22871,20463,27528,35368,38288,29631,39409,,1961484,1761910,1728542,1603437,1699088,1845083,1993181,1991418,1938278,2167010,,1012511,1061856,978112,634268,674112,828434,944700,1025419,1052490,1299675
851762,"Machines for the reception, conversion and transmission or regeneration of voice, images or ...",15290,17191,15690,6470,9553,23580,30559,9664,7488,39408,,1505443,1338402,1311576,1355502,1259881,1254378,1159466,1113115,967188,913676,,1726928,1484456,1511162,1181750,1135517,1437891,1597161,1737558,2182477,2372652
841989,"Machinery, plant or laboratory equipment, whether or not electrically heated, for the treatment ...",15245,23794,219460,91490,16437,44906,50463,5782,23358,39099,,462640,411693,426943,373182,368479,418942,538558,438731,430612,424454,,892280,1020445,1526101,1047293,754951,1533524,1040955,806862,1047636,1015774
401699,"Articles of vulcanised rubber (excluding hard rubber), n.e.s.",24747,23216,19019,13111,16447,20905,24609,26397,25803,38753,,932802,813518,774151,695708,748572,764688,780473,725024,615688,703444,,258835,274460,252618,194783,228831,292373,313844,333212,329973,466818
843149,"Parts of machinery of heading 8426, 8429 and 8430, n.e.s.",65415,46500,29526,19436,16116,21888,28237,30208,24456,38478,,2291970,1596532,1556977,1209474,1306332,1818446,2090725,1733903,1258041,1743400,,379930,435763,366723,263974,291199,369694,413684,456300,420114,556730
852580,"Television cameras, digital cameras and video camera recorders",284787,125207,75210,21414,21211,27349,29353,30858,26246,36181,,9331489,5891055,4547778,3646031,3566229,3433771,3239334,2727070,2395651,2639579,,1583592,1116715,721542,372438,354328,486739,499923,454418,463894,559165
852859,"Monitors, not incorporating television reception apparatus (excluding with cathode ray tube ...",11925,10667,4925,2844,2875,4046,9662,32851,34925,34106,,681416,587976,696714,688071,643433,596267,729133,824115,685472,799212,,336372,318803,391266,227724,318408,386637,481349,583941,540690,681595
840999,"Parts suitable for use solely or principally with compression-ignition internal combustion ...""",18614,20906,13509,14727,18126,28279,27831,27745,23060,33139,,2663463,2226729,1790278,1505854,1465354,1812839,2044114,1933217,1637909,2078857,,423510,407105,331655,242233,300232,406613,443941,402938,391173,514522
840890,"Compression-ignition internal combustion piston engine """"diesel or semi-diesel engine"""" (excluding ...""",15350,17678,13545,12040,13831,24203,22453,25916,18745,32627,,2922154,2360659,2419739,1886539,2019132,2527459,3135938,2970964,2640170,3422000,,114982,131423,124516,86922,125297,163726,149042,187617,224908,275147
890130,Refrigerated vessels (excluding tankers),2842,1000,1500,3751,14159,33968,6836,40884,22892,32066,,63,66994,97,485,179,132604,139239,124623,64099,158705,,18258,36356,6003,23579,21766,47960,12239,60063,29616,33173
840820,"Compression-ignition internal combustion piston engine """"diesel or semi-diesel engine"""", for ...""",32546,86754,98824,40665,18903,44967,39326,37316,16012,31364,,2358067,2048783,1590556,1145812,767685,898723,1121572,1029564,791919,755997,,898520,1008612,730248,309161,386733,624503,755369,683875,584304,930561
940190,"Parts of seats, n.e.s.",48023,52011,40623,20956,21147,28390,38375,35088,22490,30848,,1132891,890247,762662,618322,664992,662176,724444,662197,499170,586735,,357135,350344,303210,180006,213929,292213,364280,355491,298270,392665
841480,"Air pumps, air or other gas compressors and ventilating or recycling hoods incorporating a ...",18701,29297,67577,19536,50231,8081,9436,9684,30585,29202,,1287307,1196862,1302337,1115863,1134352,750793,766850,879532,982571,771766,,969108,1240185,1001635,565655,558342,604240,517620,551042,577094,655928
381512,"Supported catalysts with precious metal or a precious-metal compound as the active substance, ...",2316,2343,1189,3910,2557,4783,1545,1895,1432,29083,,598001,430873,433931,388800,385709,430269,526374,646933,960902,1457851,,155288,84821,109237,107246,61230,102898,193510,122249,134395,120753
870322,"Motor cars and other motor vehicles principally designed for the transport of persons, incl. ...",62021,59508,94329,12171,14563,19433,86348,71226,25221,28304,,8021167,6803802,4949131,4930431,6090438,4185856,7018835,5502329,2680999,2997833,,1330373,1273543,734585,165500,175336,309082,345580,471388,374100,836299
870810,"Bumpers and parts thereof for tractors, motor vehicles for the transport of ten or more persons, ...",46430,56778,49524,21949,15953,19821,23572,26170,20268,27795,,429090,415155,405203,360836,383520,384976,400468,396389,304394,366583,,310271,366979,310229,148741,136517,201116,220979,223670,181017,250679
550210,"Artificial filament tow as specified in Note 1 to chapter 55, of acetate",0,0,0,0,0,36668,37392,29746,26196,26131,,0,0,0,0,0,27467,402,17703,13290,1404,,0,0,0,0,0,90686,80966,79526,69909,71979
382200,"Diagnostic or laboratory reagents on a backing, prepared diagnostic or laboratory reagents ...",16436,25110,19798,12252,16569,11738,18404,22638,34810,25906,,517351,492151,493353,466962,564146,566371,637695,736285,729873,887484,,219140,271066,252721,163530,169401,212861,249431,296326,349344,405034
841330,"Fuel, lubricating or cooling medium pumps for internal combustion piston engine",27959,21035,14475,8945,11287,12044,14629,17911,17067,25239,,1209297,1106216,1117687,949523,924647,907735,831353,889335,941432,1059851,,190337,191378,177249,116707,144494,197082,212364,204929,189173,292720
210111,"Extracts, essences and concentrates, of coffee",747,796,6009,2115,1992,2062,1405,1603,25030,24720,,27873,33094,38764,33037,24990,21454,25613,33792,92222,94959,,422451,403446,404886,343546,392198,402304,350150,360071,358905,353267
902790,"Microtomes; parts and accessories of instruments and apparatus for physical or chemical analysis, ...",7506,12412,13633,10897,11101,15429,15931,18182,18795,24262,,1880549,1744325,1793243,1703795,1923727,2007127,2254335,2410488,2298719,2856208,,92642,105685,98905,80253,84089,105935,117477,136609,143611,154845
842123,Oil or petrol-filters for internal combustion engines,24989,21182,19800,14465,17035,22392,20705,20024,17799,24082,,339752,302108,275757,211731,204200,215969,223153,211334,179551,225690,,241554,251971,244924,189705,206322,246790,263503,263272,263695,339642
401693,"Gaskets, washers and other seals, of vulcanised rubber (excluding hard rubber and those of ...",24452,27385,23950,13620,13879,17887,17427,17369,15147,23734,,895461,786557,761090,677988,719596,768097,798462,745366,680453,834291,,270166,283543,270589,176468,188596,237472,262486,273319,247603,298335
890200,Fishing vessels; factory ships and other vessels for processing or preserving fishery products ...,1485,1325,1883,2224,6155,7868,15830,35738,37128,23476,,24275,9131,25077,20532,17615,24848,11817,23694,16336,15526,,20756,21448,41066,60552,89392,115760,35650,252177,184842,320602
870891,"Radiators and parts thereof, for tractors, motor vehicles for the transport of ten or more ...",22060,32877,31874,14533,11965,15382,18327,19792,16519,22677,,248705,231124,221853,190448,191356,198367,223346,201382,181173,248507,,238289,254019,208489,118644,118044,176549,189064,194359,166629,237610
330499,"Beauty or make-up preparations and preparations for the care of the skin (other than medicaments), ...",10134,11810,10417,7607,8489,11387,15289,21308,18531,22653,,1029267,917389,909272,1096436,1586677,2164437,3301627,3870775,4803433,5660184,,737826,813638,720589,501259,556509,682705,788707,855716,747692,964568
730424,"Casing and tubing, seamless, of a kind used for drilling for oil or gas, of stainless steel",31991,52099,16977,24977,16998,18423,22923,22700,32240,22383,,1325660,1134777,1071025,937111,573022,645319,737462,1216972,1131634,789119,,41469,67893,23242,27717,27117,32448,34602,25925,51771,26254
890190,Vessels for the transport of goods and vessels for the transport of both persons and goods ...,5066,15028,2829,559,1112,3841,10411,15605,5227,22009,,18304814,13017453,9998143,9208922,8237301,7591131,6354957,7474948,7305832,6858034,,293126,467909,229751,123043,351682,542725,862649,384581,222090,433812
731815,"Threaded screws and bolts, of iron or steel, whether or not with their nuts and washers (excl. ...",12167,15081,12954,8484,9618,14041,17286,17339,13276,21474,,1906997,1737528,1596214,1388781,1492724,1571814,1632706,1513264,1302542,1577118,,296623,315970,281369,186694,208888,275185,319352,322338,303937,396675
841590,"Parts of air conditioning machines, comprising a motor-driven fan and elements for changing ...",53197,59240,45661,18414,14752,22011,23999,20464,16147,21323,,1789735,1482786,1419222,1079961,1136668,1147645,1230727,1096496,883936,1010781,,403528,402748,381109,245548,231199,286606,278267,287468,273645,343809
841199,"Parts of gas turbines, n.e.s.",1169,51,134,12175,3,90,6033,23823,3292,20815,,1671296,1479186,1126880,1217212,1337906,1166024,1384250,1266756,1406211,1487130,,92909,202974,277550,247208,384561,286000,297006,255525,216179,237692
390690,"Acrylic polymers, in primary forms (excluding poly""""methyl methacrylate"""")""""",9136,17257,34752,36228,36567,28106,41094,24495,25746,20174,,1334105,1079156,1329377,1115588,1175851,1357817,1411780,1194129,1109108,1299094,,366570,398919,395603,308569,303430,355638,398475,411545,369354,446789
901812,Ultrasonic scanning apparatus,94627,42518,27533,12404,12216,11125,15002,20555,17353,19745,,544598,463656,455221,405147,406800,410020,444426,431254,353105,406893,,476607,278342,275019,208814,133270,141668,169422,222638,230611,280800
841430,Compressors for refrigerating equipment,21292,12280,12898,12147,9012,17373,19265,17840,13906,19602,,1788703,1583292,1408478,1183748,1268087,1274628,1395504,1311744,1266744,1803557,,387851,400229,344007,256549,280890,307081,326324,330602,306715,376414
392630,"Fittings for furniture, coachwork and the like, of plastics (excluding building components ...",17451,20043,18869,11506,12918,17010,19371,19856,15658,19390,,96341,78901,71582,61405,75964,124862,134689,125115,144869,159542,,155630,159263,151018,93928,100259,122023,136054,128977,107886,136445
841350,"Reciprocating positive displacement pumps for liquids, power-driven (excluding those of subheading ...",7998,13464,10825,7925,7794,9617,17386,14406,10126,19294,,523241,399758,422616,351561,407433,476230,568713,515408,494891,623968,,222742,264769,217202,155978,154091,230291,268084,235416,270818,272852
848120,Valves for oleohydraulic or pneumatic transmission,16738,14279,7759,3845,4819,9304,14282,13903,11147,19291,,1195586,1000749,1008659,772742,900738,1211678,1416645,1253438,1388817,1667659,,103993,102440,95979,62852,79297,115976,139829,150660,148104,204674
848210,Ball bearings,13828,14538,13495,10610,14429,18813,20305,21663,16766,18873,,2099110,1806441,1940458,1660656,1631289,1840646,1948139,1787428,1449852,1999899,,125746,133986,153755,108887,124572,171049,178381,195148,189661,231977
871150,"Motorcycles, incl. mopeds, with reciprocating internal combustion piston engine of a cylinder ...",24239,23970,19011,8457,4300,11484,13624,14461,14372,18486,,1378136,1254760,1363998,1139419,1222540,1362544,1641240,1142389,964896,1323932,,58967,67684,67320,33339,27137,46052,55096,62589,65982,92754
870790,"Bodies for tractors, motor vehicles for the transport of ten or more persons, motor vehicles ...",18712,11909,11374,8484,11006,26266,20624,20146,8853,18063,,120544,156713,246948,161345,186012,188424,258156,337649,222441,249079,,359749,318376,185317,65651,85014,179143,215375,176385,110978,122858
300640,Dental cements and other dental fillings; bone reconstruction cements,4437,5091,7851,8601,10110,12526,14067,14866,16345,17982,,160163,156147,137748,123851,148850,164255,189809,197786,163595,237653,,57803,63474,69739,58992,70637,87609,85022,90411,88467,106425
848390,"Toothed wheels, chain sprockets and other transmission elements presented separately; parts ...",9625,11527,6586,6330,9091,13085,19608,16684,12616,17207,,486461,416745,374041,323908,324666,368701,395022,364000,318425,426104,,143489,170063,146496,108062,129115,166091,194273,202550,186761,227129
900211,"Objective lenses for cameras, projectors or photographic enlargers or reducers",40307,23756,26800,13997,12916,15307,20479,17983,14233,16877,,1913724,1746010,1570909,1370836,1301618,1322710,1350612,1069275,811851,1185481,,73058,50392,47603,29060,23727,29207,38728,36744,29595,37622
830230,"Base metal mountings, fittings and similar articles suitable for motor vehicles (excluding ...",10419,10822,10344,6914,7821,10657,14845,14930,12614,16792,,156876,145058,148359,151514,188022,209455,205673,191479,170758,215548,,129668,144366,145180,92113,104077,145836,170848,174059,158350,209616
831110,"Coated electrodes of base metal, for electric arc-welding",3147,4065,5268,5250,10262,14924,14338,15417,13747,16722,,48596,55905,56893,46457,37424,30102,30412,34954,31213,37138,,44215,52723,72086,37971,44151,63967,68011,71060,69800,75989
841229,Hydraulic power engines and motors (excluding hydraulic turbines and water wheels of heading ...,5798,4982,4258,4529,3414,5539,11090,17899,13354,16609,,593855,360700,330433,238335,315402,445399,540128,523094,445175,508951,,159921,139634,127360,76372,78258,106201,107757,138363,116507,249204
842641,"Mobile cranes and works trucks fitted with a crane, self-propelled, on tyres (excluding wheel-mounted ...",31931,29394,30842,8584,17265,15203,5065,28826,19904,16528,,409534,599636,726222,651946,461946,451147,421070,513638,363309,416376,,97327,97140,95764,38274,35095,35359,33949,66343,97537,68430
293040,Methionine,2635,140,170,28,3,4,875,10837,12914,16399,,0,0,0,0,0,0,101886,21665,9733,16668,,47976,41589,46859,68291,54777,78283,61066,67141,76587,86227
853650,Switches for a voltage <= 1.000 V (excluding relays and automatic circuit breakers),14925,22354,18589,11269,9402,12276,14630,15448,12671,16370,,1881928,1733711,1706274,1501360,1524229,1717858,1767450,1566577,1443922,1803101,,241131,261575,238882,155641,165417,225781,268866,267663,257525,317602
902290,"X-ray generators other than X-ray tubes, high tension generators, control panels and desks, ...",10733,4455,1988,2636,2848,5690,9258,17077,18467,15974,,510828,536250,553434,491790,480205,548435,520464,473841,543088,588029,,111032,59773,50377,31892,33962,46118,75843,122119,133474,120569
842710,"Self-propelled trucks fitted with lifting or handling equipment, powered by an electric motor",16040,13745,12337,6843,9333,12775,14539,12134,10624,15859,,265245,216950,234873,235136,263066,266898,303357,273703,255687,319017,,179363,194798,164298,89270,143893,169280,199490,174627,188336,268412
848180,"Appliances for pipes, boiler shells, tanks, vats or the like (excluding pressure-reducing ...""",10117,12550,10321,7717,9425,11970,15175,15961,11376,15709,,2200916,2011256,1855265,1701753,1866677,2023503,2114436,1915582,1837107,2134211,,2512754,1830755,1675857,1102214,1206717,1374239,1492903,1765922,1724534,1938088
903180,"Instruments, appliances and machines for measuring or checking, not elsewhere specified in ...",20887,16925,17760,9276,11099,12435,14062,14001,11090,15642,,2189262,1810572,1764678,1646656,1633985,1755841,1883089,1763290,1461943,1483485,,545154,588914,354367,218815,202182,261789,284103,289546,290206,310839
840810,"Compression-ignition internal combustion piston engine """"diesel or semi-diesel engine"""", for ...""",224,506,186,451,1000,2767,3043,4370,5809,15549,,742123,671586,645247,456944,468801,469644,405005,446629,393097,391088,,89893,84824,64209,32773,48593,50036,72881,70151,48483,73525
845811,"Horizontal lathes, incl. turning centres, for removing metal, numerically controlled",42297,32766,25784,22209,19683,20812,14251,25295,14914,15142,,2039157,1712779,1751569,1528625,1330606,1489161,1711430,1675040,1021468,1251784,,203430,207046,187732,159687,128901,154607,157021,186329,175230,175402
