Product code,Product label,India's imports from Germany-Value in 2012,India's imports from Germany-Value in 2013,India's imports from Germany-Value in 2014,India's imports from Germany-Value in 2015,India's imports from Germany-Value in 2016,India's imports from Germany-Value in 2017,India's imports from Germany-Value in 2018,India's imports from Germany-Value in 2019,India's imports from Germany-Value in 2020,India's imports from Germany-Value in 2021,Germany's exports to world- ,Germany's exports to world-Value in 2012,Germany's exports to world-Value in 2013,Germany's exports to world-Value in 2014,Germany's exports to world-Value in 2015,Germany's exports to world-Value in 2016,Germany's exports to world-Value in 2017,Germany's exports to world-Value in 2018,Germany's exports to world-Value in 2019,Germany's exports to world-Value in 2020,Germany's exports to world-Value in 2021,India's imports from world- ,India's imports from world-Value in 2012,India's imports from world-Value in 2013,India's imports from world-Value in 2014,India's imports from world-Value in 2015,India's imports from world-Value in 2016,India's imports from world-Value in 2017,India's imports from world-Value in 2018,India's imports from world-Value in 2019,India's imports from world-Value in 2020,India's imports from world-Value in 2021
844190,"Parts of machinery for making up paper pulp, paper or paperboard, n.e.s.",2182,5369,4145,2712,2043,2917,2317,1540,1644,2972,,291849,298029,307628,269906,284721,290840,304939,316378,313268,308497,,18541,19776,17127,17666,17388,18631,20555,19889,16177,31202
846789,"Tools for working in the hand, hydraulic or with self-contained non-electric motor (excluding ...",2114,2325,2690,1871,2196,2281,2185,2401,2893,2968,,301124,339623,330710,289515,316826,328876,354173,330279,353280,429303,,32758,24239,26690,28751,40820,40574,63092,68022,55352,69671
722300,"Wire of stainless steel, in coils (excluding bars and rods)",1485,1156,1093,1112,1563,1614,3547,2548,1508,2963,,153092,160674,161653,133121,130304,156695,174654,162541,147173,193371,,38339,28987,27947,25875,25440,27245,32402,37351,25168,36253
560313,"Nonwovens, whether or not impregnated, coated, covered or laminated, n.e.s., of man-made filaments, ...",1412,2432,748,228,68,837,105,170,2301,2934,,470591,489137,491375,573677,575676,563502,527579,484952,461432,544447,,8977,10113,8858,7348,7359,10394,12729,14886,14069,22183
292250,"Amino-alcohol-phenols, amino-acid-phenols and other amino-compounds with oxygen function (excluding ...",6650,6866,3931,15162,2928,1681,856,1344,1101,2929,,200221,191925,148494,107511,101488,100479,108701,117510,136317,140061,,88722,107129,135119,100399,75471,61619,63480,61561,79599,98986
847420,Crushing or grinding machines for solid mineral substances,24991,9816,5053,10594,13443,11919,15372,5986,2318,2915,,707587,625032,557245,465252,386530,393264,519328,518652,381861,455425,,133758,84534,78070,66649,48328,49583,64834,55212,30365,26302
320990,"Paints and varnishes, incl. enamels and lacquers, based on synthetic or chemically modified ...",3783,3723,3539,2808,2275,2558,2709,2764,2029,2914,,534675,551916,612902,532592,462475,491932,579629,551621,505664,559084,,46913,35236,34673,29279,24780,28318,39727,29260,25802,35180
391110,"Petroleum resins, coumarone, indene or coumarone-indene resins and polyterpenes, in primary ...",598,467,997,1184,1739,1997,2876,1708,2289,2903,,89542,86261,93552,82722,78052,88061,84452,83491,90263,110295,,35688,30219,40537,49508,49160,53958,65603,65849,69577,101529
846040,"Honing or lapping machines, for working metals, metal carbides or cermets (excluding gear cutting, ...",2424,5820,1151,2209,1443,4442,6861,6348,1077,2883,,198345,157745,148176,126203,133938,159728,170052,136309,77716,63049,,20087,17119,17728,13381,12449,11370,31864,32137,15530,14588
853080,"Electrical signalling, safety or traffic control equipment (excluding that for railways or ...",1416,1232,4725,2465,2500,2831,2141,3315,2361,2882,,89158,90925,114436,94800,97231,102017,98935,96126,89608,93059,,10186,11864,15969,8572,8923,11763,12996,19252,12468,18730
293120,Tributyltin compounds,0,4,115,112,398,999,1135,885,214,2870,,12507,18379,18363,8036,22861,30086,34594,33951,7748,10335,,0,4,1887,162,466,1039,1334,3452,3464,5850
831120,"Cored wire of base metal, for electric arc-welding",2340,3207,3930,2148,2137,1508,2601,3514,2653,2867,,46166,48033,50163,42693,44140,46990,46375,51659,42774,56602,,26861,21082,24799,22926,20851,24249,33289,33404,25986,43629
841420,Hand-operated or foot-operated air pumps,1806,2041,1343,1338,1098,1082,1176,1002,2417,2865,,21894,24383,23765,20543,21677,20130,21860,19264,24503,27388,,16046,14995,14277,14638,13684,12940,15556,15135,19863,27882
481390,"Cigarette paper, whether or not cut to size (excluding in the form of booklets or tubes, and ...",304,320,283,182,189,273,2169,2334,2968,2858,,86878,80118,68494,53055,53474,56360,59187,60600,61407,70011,,12063,10867,10093,8567,8932,8268,11936,9491,10914,10516
721790,"Wire of iron or non-alloy steel, in coils, plated or coated (excluding plated or coated with ...",4852,4373,3474,3577,2624,3628,3912,3187,2040,2852,,34436,30348,31969,26700,24861,28057,42788,38560,29000,39381,,48703,38503,43504,43290,42331,39166,48526,32846,20253,21889
853321,Fixed electrical resistors for a power handling capacity <= 20 W (excluding heating resistors),540,414,387,377,508,884,1195,1866,1525,2850,,431423,491679,556234,565725,638096,727850,863825,785491,801695,1023554,,26168,14456,11970,14656,21425,27606,48889,45812,42907,57209
853340,"Electrical variable resistors, incl. rheostats and potentiometers (excluding wirewound variable ...",2518,2593,2492,3860,1619,1814,3573,9194,2619,2848,,274500,266414,249936,193529,199502,239336,288477,251490,219024,222220,,45142,41792,45797,48487,57115,76664,111209,117488,110243,134108
843131,"Parts of lifts, skip hoists or escalators, n.e.s.",2543,2857,1967,3844,4355,1078,4026,3545,3334,2843,,449161,474954,465702,371250,357683,365808,380357,359033,333769,381007,,66406,71185,65199,70304,66290,75200,115239,103011,79395,127430
960610,"Press-fasteners, snap-fasteners and press studs and parts therefor",3599,4165,4887,5292,6659,6403,6579,4179,2549,2842,,61536,61053,62156,51649,55076,53986,57407,52932,48610,56068,,28297,31135,32493,33388,37600,34842,33785,34092,29527,37222
390120,"Polyethylene with a specific gravity of >= 0,94, in primary forms",6775,3546,5154,3494,2739,4088,4041,1440,1499,2840,,1582582,1603254,1623479,1398775,1375557,1511401,1571850,1367820,1366456,1861663,,581015,548093,808620,766805,726117,707632,828138,599820,567047,880543
282110,Iron oxides and hydroxides,4614,5863,6181,6935,6825,8321,3917,2840,2742,2837,,0,0,0,0,0,0,0,0,0,0,,24911,27256,29219,30285,29825,32180,35572,31984,27300,32855
293329,"Heterocyclic compounds with nitrogen hetero-atom[s] only, containing an unfused imidazole ring, ...",2035,3068,2297,1742,1593,2632,2460,1469,1608,2822,,116081,110765,131026,118349,126250,123171,127265,125059,138634,171453,,55267,103676,121595,74596,69394,191900,99390,93110,105530,103056
320720,"Vitrifiable enamels and glazes, engobes """"slips"""" and similar preparations of the kind used ...""",230,414,596,589,576,439,898,972,1413,2821,,60160,63841,62499,55118,57819,69781,72227,69394,73485,99806,,4302,3543,3526,4508,4340,3696,4067,4793,4483,9655
871150,"Motorcycles, incl. mopeds, with reciprocating internal combustion piston engine of a cylinder ...",540,699,660,524,906,4430,6535,3336,2864,2820,,779079,880038,1231630,1131332,1102596,1312364,1300937,1338453,1393370,1616983,,12416,16288,18432,32148,33540,31754,33037,27680,11196,30359
940360,"Wooden furniture (excluding for offices, kitchens and bedrooms, and seats)",3587,2235,2500,2346,2199,3752,1627,2693,778,2817,,1428538,1416144,1504724,1358069,1359076,1342084,1338116,1342447,1297676,1571171,,149581,141971,128769,135769,124207,152429,170395,141968,64550,66417
293810,"Rutoside """"rutin"""" and its derivatives""""",1,1,1,1030,463,0,1691,870,5,2816,,10431,16573,12601,4131,6174,5398,3439,4086,3650,8739,,5438,9558,11789,9274,8103,5253,4510,3689,2081,4846
550390,"Synthetic staple fibres, not carded, combed or otherwise processed for spinning (excluding ...",103,210,35,1,6,10,860,927,1190,2815,,31026,64246,86454,77163,35232,46025,26827,50388,75116,67564,,6790,8461,6377,7586,8892,10038,12633,14861,15435,18780
750712,Tubes and pipes of nickel alloys,486,356,1118,179,183,647,212,362,3790,2812,,101455,116889,86693,85889,73107,71413,84130,107643,123435,127623,,8549,13160,7347,8795,15919,14532,28817,37653,33207,29202
850511,Permanent magnets of metal and articles intended to become permanent magnets after magnetization ...,2021,3362,2126,2151,3661,3764,6111,4014,2082,2805,,258282,215078,212552,195552,197018,213318,241114,207041,202345,241844,,76476,65452,57556,64488,58410,63284,76821,73444,73051,113311
844711,"Circular knitting machines, with cylinder diameter <= 165 mm",3439,6644,5957,11049,2808,3927,4472,2893,1101,2802,,14207,12570,13414,11330,14464,12052,9718,12631,10387,14853,,21546,27189,33798,42159,39643,47041,27240,17082,19493,24959
903210,Thermostats,1480,951,1528,1878,1164,1543,2184,2654,2293,2786,,482758,509088,510302,439547,441314,497914,565960,562834,564810,674297,,20101,20223,27101,24812,27988,31139,37306,40786,29088,36577
870530,Fire fighting vehicles (excluding vehicles for transporting persons),1008,3706,3460,371,1683,0,696,1984,30806,2767,,245073,177931,263090,271156,268029,240418,247806,221770,172648,192562,,9371,17442,15302,19317,32288,14025,3204,22311,32744,11529
320910,"Paints and varnishes, incl. enamels and lacquers, based on acrylic or vinyl polymers, dispersed ...",781,798,611,1151,1292,1279,1199,1246,1561,2764,,690657,679152,685760,610283,633343,755923,783152,751794,787987,863748,,10178,11889,12748,12571,14538,16295,16822,15581,15119,22553
844842,"Reeds for looms, healds and heald-frames",2318,1431,1403,1541,1138,1306,1942,1636,1055,2747,,35917,45805,0,0,0,0,0,0,0,0,,11325,10178,9248,7089,6667,7538,8390,9647,7710,11475
390390,"Polymers of styrene, in primary forms (excluding polystyrene, styrene-acrylonitrile copolymers ...""",2030,1902,3185,2577,1490,3425,2813,2351,3436,2743,,369192,365734,374119,293912,285576,367891,365650,315280,307916,448000,,54306,47645,53302,46732,42861,57829,56847,50936,47998,105092
852349,Optical media for the recording of sound or of other phenomena (excluding unrecorded and goods ...,0,1950,5529,5081,4465,7350,5480,4817,2394,2738,,3852074,3429230,3350282,2966853,2848278,2388328,2147991,1890758,1344266,1257610,,0,14235,15181,24475,13449,20992,27407,20403,18117,13263
850120,"Universal AC-DC motors of an output > 37,5 W",1395,2544,1863,1039,471,646,898,856,2308,2735,,68543,77686,104495,83545,90586,78619,66056,71935,69315,74564,,58044,73591,83820,91873,80847,74517,81979,74873,60993,84958
846299,"Presses, not hydraulic, for working metal (excluding forging, bending, folding, straightening ...",15503,23866,7672,2946,8421,8231,6020,6961,4198,2714,,286087,288107,226430,187995,311737,261045,181334,203114,194990,207677,,288326,153528,90576,82759,93607,133139,214497,176250,82029,87077
853641,Relays for a voltage <= 60 V,2990,3786,5856,5673,6432,4851,4528,4026,2665,2711,,479387,471887,539889,466568,470086,499916,528741,512357,449567,600458,,41418,42033,46361,54146,57287,68934,72305,62935,59785,83171
847410,"Sorting, screening, separating or washing machines for solid mineral substances, incl. those ...",9385,5072,980,2893,2718,2285,3931,2608,5209,2707,,235199,211650,204377,178192,183260,209677,232685,243297,177761,179640,,75731,35849,20580,15359,16804,20591,27218,46564,27626,36444
292249,"Amino-acids and their esters; salts thereof (excluding those with > one kind of oxygen function, ...""",19255,17158,19913,9332,7197,2681,689,963,3122,2697,,272313,293262,313229,276844,436671,278729,283621,264888,263487,299474,,82091,78766,110160,93257,84668,78938,116774,116463,115376,126327
731821,"Spring washers and other lock washers, of iron or steel",1661,1439,1453,1196,1575,1874,3171,2317,1893,2692,,173178,196381,213610,188249,202895,234246,260352,244864,223514,270256,,9065,7845,7352,6445,7283,9774,12390,9494,7803,11384
722850,"Bars and rods of alloy steel other than stainless, not further worked than cold-formed or cold-finished ...",888,1231,978,1861,2216,1413,2782,1732,2826,2681,,349601,343508,409672,311901,268604,331749,436593,372369,307745,433608,,27492,22859,16044,16499,20083,26390,40349,40915,23997,38261
851769,"Apparatus for the transmission or reception of voice, images or other data, incl. apparatus ...",21259,10487,8688,4849,6013,6619,9028,7436,3325,2669,,385188,387721,426189,367836,396377,489080,565598,607127,512172,558187,,966227,773666,885435,1057056,1262358,1368533,1044114,961005,489694,382505
820760,Interchangeable tools for boring or broaching,1713,1380,2414,2053,2284,2441,3314,2030,1780,2663,,160021,170547,176380,153319,153237,168106,185460,161183,132126,140389,,8206,11564,8444,10478,10697,10260,12291,10718,7917,10991
847190,"Magnetic or optical readers, machines for transcribing data onto data media in coded form and ...",2046,3425,2295,2217,1783,2847,2796,3329,2709,2656,,689284,704892,714472,636949,699927,831724,896476,888658,968495,1180097,,53156,71147,37364,38216,40411,41569,31864,62417,33481,31959
540710,"Woven fabrics of high-tenacity yarn, nylon, other polyamides or polyesters, incl. monofilament ...",1419,64,110,128,94,1207,596,73,409,2652,,244963,233686,242513,189466,171617,166041,174202,171718,139790,125680,,16213,13445,10995,10613,9914,10499,11096,14359,11501,17903
392112,"Plates, sheets, film, foil and strip, of cellular polymers of vinyl chloride, unworked or merely ...",87,16,56,229,129,189,152,145,709,2643,,265043,283288,313868,265458,282331,302595,322372,296002,255736,316926,,7048,7503,6715,7439,8087,12109,20549,29802,29755,61959
292090,"Esters of other inorganic acids of non-metals and their salts; their halogenated, sulphonated, ...""",1336,856,1008,1044,1353,1685,1480,1303,823,2642,,184870,225151,207516,190046,202124,173483,172576,172028,164703,215092,,67427,74205,107008,104177,66001,68797,90901,95047,95717,86406
381010,"Pickling preparations for metal surfaces; soldering, brazing or welding pastes and powders ...",2500,5361,6656,2662,3016,2615,2559,2299,2619,2632,,83747,85008,81148,59045,60358,74790,72365,69676,64878,78168,,18459,20063,21555,16042,17612,19095,24344,27099,30326,40458
853210,"Fixed capacitors designed for use in 50/60 Hz circuits and having a reactive power-handling ...""",1021,1384,759,1461,509,2764,1836,1586,1965,2620,,66324,74730,75648,64016,57671,60986,62756,42607,41504,47143,,13412,13150,16773,11203,15527,16810,30463,30760,25137,22519
290949,"Ether-alcohols and their halogenated, sulphonated, nitrated or nitrosated derivatives (excluding ...""",4615,3453,3466,2986,4970,5253,4805,1756,1420,2608,,361230,376916,405173,337673,318161,375030,443935,389469,360093,625304,,23599,24094,31966,31557,34091,32483,52860,54769,50813,74173
870590,Special purpose motor vehicles (other than those principally designed for the transport of ...,785,518,1200,4092,152,0,1156,1565,664,2597,,1089740,925718,970975,882990,923532,1123492,1119116,1258200,1227867,1267533,,9542,10522,10839,7853,15793,4319,7141,21293,35696,16298
390931,"Poly""""methylene phenyl isocyanate"""" """"crude MDI, polymeric MDI"""", in primary forms""""",0,0,0,0,0,4895,4750,2853,1915,2597,,0,0,0,0,0,920343,939714,704565,707538,1183556,,0,0,0,0,0,115331,230644,163329,134286,290918
800120,Unwrought tin alloys,1269,1346,1565,1099,768,1166,1519,1291,1062,2594,,28651,32449,34155,25961,20680,22086,20384,17221,14302,26787,,1892,2473,2136,1416,1188,1693,2405,1706,1831,3096
820590,Anvils; portable forges; hand- or pedal-operated grinding wheels with frameworks; sets of articles ...,671,1125,1465,573,683,664,899,2217,1178,2576,,33278,29483,25707,19520,17415,19276,20461,19385,14740,17653,,4403,7625,7747,9443,7486,7867,9188,13295,16580,10670
381400,"Organic composite solvents and thinners, n.e.s.; prepared paint or varnish removers (excluding ...",4360,1815,1959,2154,1995,2543,2809,2661,1931,2576,,256870,260020,302407,223553,233251,253211,280422,259747,237345,308129,,29661,25518,24665,19753,19568,25184,26018,31471,26308,40076
841899,"Parts of refrigerating or freezing equipment and heat pumps, n.e.s.",2399,3010,9140,1642,2323,1846,1598,2783,2138,2574,,420269,419822,452144,368914,386155,388632,422429,403105,402380,452222,,71971,69923,91291,83855,81869,95739,74422,85410,72133,80732
831130,"Coated rods and cored wire, of base metal, for soldering, brazing or welding by flame (excluding ...",4282,3842,4301,2425,3704,1716,2068,2497,2574,2573,,30070,30861,28488,20856,20030,25533,29552,25487,21861,32343,,24257,21005,21195,17927,14543,12729,14015,14860,10952,13202
702000,"Articles of glass, n.e.s.",3284,3701,3699,3414,2931,3328,3297,2677,1794,2571,,170213,203106,246321,216510,239208,298175,368179,542181,472335,513884,,20301,20720,23188,27179,25390,26694,25944,30771,31312,29122
291229,"Cyclic aldehydes, without other oxygen function (excluding benzaldehyde)",4910,4973,6581,5489,5522,3528,2825,2711,3845,2570,,55333,53989,56667,52585,46183,43233,43699,50211,45231,42047,,43901,51990,100422,56860,48398,49976,55166,60401,52955,66884
850790,"Plates, separators and other parts of electric accumulators, n.e.s.",2858,1750,1230,903,522,1089,1516,1699,1911,2565,,111009,108411,125171,111097,133716,162620,175574,226969,304694,376805,,107427,96730,116181,99110,127708,189743,254358,262033,232558,250504
846022,"Centreless grinding machines for finishing metal, numerically controlled (other than gear finishing ...",0,0,0,0,0,98,1449,345,3237,2551,,0,0,0,0,0,41813,71389,44294,18812,18914,,0,0,0,0,0,3586,7104,12351,8067,13086
491199,"Printed matter, n.e.s.",18965,14892,3000,2848,3173,2621,5731,5322,1976,2551,,382163,405049,433922,384825,380560,394090,420499,378735,314167,385215,,101448,120604,33512,35227,39514,70470,108295,111822,110492,91095
710813,"Gold, incl. gold plated with platinum, in semi-manufactured forms, for non-monetary purposes",127267,4248,5830,1172,1865,2607,4306,4009,3196,2547,,692048,616497,565127,478136,468393,436483,482957,542189,646526,916359,,3697739,3322588,604402,333142,140858,64329,117743,79336,103980,554419
481200,"Filter blocks, slabs and plates, of paper pulp",786,820,1123,1520,1637,1592,1671,1469,1343,2546,,56475,63682,69219,59549,59399,65471,73124,71620,70724,81952,,1281,3003,5347,6027,5891,6823,7971,7712,5895,6452
845430,Casting machines of a kind used in metallurgy or in metal foundries,13113,13665,10633,6246,4877,1399,1548,4741,1390,2543,,82920,98982,90066,80721,71949,89670,112016,95397,80001,81067,,187870,110135,118742,107438,77009,84532,127868,126809,67422,72446
846692,"Parts and accessories for machine tools for working wood, cork, bone, hard rubber, hard plastics ...",2258,1985,1147,2010,1349,1154,2064,2349,1262,2533,,280272,295169,308745,245242,255956,293647,325624,301583,280250,324675,,14221,13738,12324,18896,12779,11813,13689,9816,9501,12324
294190,"Antibiotics (excluding penicillins and their derivatives with a penicillanic acid structure, ...",12942,2797,1184,1749,1793,373,867,1211,2727,2523,,81797,96513,81107,66218,61766,55563,52833,50156,59847,54348,,432724,475980,493789,488941,446504,481297,562474,646877,801617,931107
401019,"Conveyor belts or belting, of vulcanised rubber (excluding reinforced only with metal or only ...",639,224,309,1199,932,567,710,733,2863,2514,,14218,14705,16667,18182,12399,14163,20219,20183,39631,46598,,7185,3763,4456,4184,3735,3319,4030,3958,5558,5045
845899,"Lathes, incl. turning centres, for removing metal, not numerically controlled (excluding horizontal ...",13978,11875,6948,5739,2691,3242,8777,5418,1311,2497,,18730,18543,13770,14344,9911,7689,6241,14108,8423,10232,,96380,52037,42348,33050,27893,35191,53192,38840,19054,25406
940320,"Metal furniture (excluding for offices, seats and medical, surgical, dental or veterinary  ...",4707,4455,5213,2198,3471,2699,3364,2045,3425,2495,,1349740,1425856,1466262,1271583,1323115,1421113,1522660,1495872,1392426,1735407,,57251,57385,54092,45682,52144,55077,62194,65629,49248,75294
290619,"Cyclanic, cyclenic or cycloterpenic alcohols and their halogenated, sulphonated, nitrated or ...",2375,2734,2581,2195,2873,3698,2337,2522,2630,2491,,41162,47454,44029,39710,38557,43077,47195,47625,60816,61481,,19432,20186,23397,23825,25615,27333,35543,34385,37576,40788
740313,"Copper, refined, in the form of billets",856,586,968,1382,1388,3192,4390,5497,2386,2487,,125091,130600,118143,81261,66906,86388,136682,178775,172228,320488,,8913,7792,6386,4624,4892,9021,9882,11223,9131,13177
550319,"Staple fibres of nylon or other polyamides, not carded, combed or otherwise processed for spinning ...",948,2233,2713,2036,2413,1753,1912,1407,1511,2485,,50630,53756,57524,40605,37877,44213,45170,39642,34298,40774,,11528,14900,16648,13922,10224,13188,17347,16239,11140,16246
220870,Liqueurs and cordials,11,8,190,468,625,1222,1377,1441,1046,2466,,497247,548720,523907,456016,458885,487820,525762,600149,421437,599074,,21435,20005,18555,16617,16551,10336,7304,8571,5806,6965
860800,"Railway or tramway track fixtures and fittings (excluding sleepers of wood, concrete or steel, ...",4399,2927,2777,4202,2689,6115,8034,3226,965,2464,,116698,123191,169361,130224,110201,91674,101375,128640,86712,99333,,9196,17975,7611,11975,14129,15616,16843,13025,11970,9245
282570,Molybdenum oxides and hydroxides,2353,1065,2126,662,321,59,35,1061,1502,2463,,0,0,5261,7482,8487,7098,8797,13244,8126,8522,,4075,2014,6205,4024,3264,4354,7590,12285,9273,18943
700711,"Toughened """"tempered"""" safety glass, of size and shape suitable for incorporation in motor ...""",1230,1961,2177,3049,2268,2788,3494,2958,1311,2458,,229371,266952,283067,246943,241076,258097,262698,231775,250688,286986,,9225,9146,10257,14674,12287,13140,15231,13414,9845,11506
902490,Parts and accessories for machines and appliances for testing the mechanical properties of ...,1378,2123,1901,1079,1469,2298,1850,1564,3200,2452,,95957,91675,91278,80319,82140,83907,93668,84860,74589,84067,,11021,9285,10664,9359,9013,9771,15017,10909,11119,12429
540331,"Yarn of viscose rayon filament, incl. monofilament of < 67 decitex, single, untwisted or with ...",2044,11816,3449,770,7,1220,79,801,21,2447,,0,0,0,0,0,0,0,0,0,0,,51527,107838,90002,46437,37434,49177,83333,124308,114706,215000
844332,"Machines which only perform one of the functions of printing, copying or facsimile transmission, ...",5022,596,1160,2036,388,1877,944,1795,772,2445,,1452085,1289023,1109594,914556,905670,988074,1124218,1038248,918084,1132228,,253993,210084,199308,209193,177031,216011,229301,202663,129001,194270
848060,"Moulds for mineral materials (excluding moulds of graphite or other carbons, ceramic or glass ...",708,1641,1004,575,482,670,1230,381,293,2440,,137135,137551,135704,103893,117032,112698,119288,118081,121819,139201,,40075,49612,73355,86887,51589,81610,130818,104734,59739,89533
722860,"Bars and rods of alloy steel other than stainless, cold-formed or cold-finished and further ...",17380,20518,18892,12621,3703,1331,1507,3921,2467,2440,,42427,42000,49141,38368,57588,65083,70515,59401,52152,70107,,68689,55095,60939,47770,31185,26492,30631,26796,19512,27389
846591,"Sawing machines for working wood, cork, bone, hard rubber, hard plastics or similar hard materials ...",339,319,1066,1141,430,282,1155,2316,1243,2439,,270881,278213,309942,261415,334011,362395,386367,342577,354637,452498,,4989,3988,6720,7017,4519,6498,8724,8436,7151,13038
381900,Hydraulic brake fluids and other prepared liquids for hydraulic transmission not containing ...,2566,3198,3791,3564,3099,3269,2484,1566,1180,2437,,168686,203048,207609,178306,193192,213992,239800,229401,200907,258266,,12216,10903,11763,15451,12764,11466,15274,14482,10314,12992
846510,"Machines for working wood, cork, bone, hard rubber, hard plastics or similar hard materials, ...",1034,1011,742,168,1269,1532,1873,2976,2244,2432,,676583,706254,764887,677799,724761,731225,652561,584665,549596,626139,,3662,2524,2988,1986,3271,3190,3320,6806,4555,4788
844120,"Machines for making bags, sacks or envelopes out of paper pulp, paper or paperboard (excluding ...",27,59,271,143,120,189,83,244,93,2430,,135680,131303,94556,118591,128902,133232,183308,111291,154820,209003,,3498,3299,2182,4343,3118,5437,5989,17281,9129,18328
900110,"Optical fibres, optical fibre bundles and cables (excluding made up of individually sheathed ...",2642,1931,2358,2640,2692,3236,1946,2269,1412,2427,,106406,101533,100016,99773,107952,121032,131845,121054,122236,165262,,44510,67246,53252,41625,37438,50443,148165,81723,55723,71225
851519,Brazing or soldering machines (excluding soldering irons and guns),1435,1926,3412,2036,1891,2772,2403,3385,1462,2420,,136798,137433,160692,133403,151416,191358,244387,219921,190544,258405,,6780,6413,13092,6607,8841,8384,10353,14853,7584,12976
730840,"Equipment for scaffolding, shuttering, propping or pit-propping (excluding composite sheetpiling ...",4141,3647,4786,4268,1798,3672,1952,4032,1215,2420,,813522,859939,893777,854694,822691,959143,1073423,928886,667299,1028740,,26968,17122,15240,11586,9695,11037,23304,34571,12707,17502
681599,"Articles of stone or of other mineral substances, n.e.s.",1424,1082,1318,955,3536,3322,2566,2078,1941,2419,,206532,209575,196404,153772,163821,173069,225144,203932,189598,217019,,9898,10211,9004,22429,156628,142544,179084,154339,79108,58897
350699,"Glues, prepared, and other prepared adhesives, n.e.s.",3874,4030,4496,4207,4597,4959,2863,2369,1708,2418,,84562,72973,65223,50859,48291,64176,69497,66949,64587,74469,,59471,66073,68383,70863,61585,71641,84867,93267,81008,108124
482110,"Paper or paperboard labels of all kinds, printed",4976,4666,3215,4203,2865,2556,3400,2668,2298,2404,,405589,401371,402612,352771,359184,370884,409687,394848,388501,421235,,74925,49548,49589,49997,51982,54027,59086,64756,50575,63651
721391,"Bars and rods, hot-rolled, in irregularly wound coils, of iron or non-alloy steel, of circular ...",2130,72,251,88,283,471,1205,1240,1089,2396,,1082187,905870,939982,682099,534313,636286,711040,591487,486993,855168,,24718,2506,7475,15906,7069,15630,35239,24040,8973,19406
860729,"Brakes (other than air brakes), and parts thereof, for railway or tramway locomotives or rolling ...",7731,3871,3220,1657,1881,2759,4235,3992,3872,2394,,47483,49656,37012,26448,27725,24543,29684,29662,32521,44420,,18960,11670,14892,8202,10633,10801,14848,13234,11774,8612
848110,Pressure-reducing valves,5712,2229,1466,1397,1752,1882,2077,3284,1720,2389,,317214,350384,379224,327578,355868,413208,440804,449009,411812,513528,,18969,15406,16971,10286,10421,15448,20167,23224,20110,30145
842430,"Steam or sand blasting machines and similar jet projecting machines, incl. water cleaning appliances ...",2080,5587,2195,2257,1761,2686,4035,3189,2404,2385,,831877,897396,857037,675406,697306,711287,806162,713611,709236,832592,,13589,12075,9849,8450,7266,11028,17976,25889,15637,19634
291539,"Esters of acetic acid (excluding ethyl, vinyl, n-butyl and dinoseb [ISO] acetates)",2377,2085,2156,3781,3253,2888,2249,2739,3315,2384,,125026,127485,121160,109426,104793,122149,129350,127937,132384,183950,,63053,62680,73995,74579,70441,65300,75601,79717,77731,101480
40410,"Whey and modified whey, whether or not concentrated or containing added sugar or other sweetening ...",122,120,1081,434,721,1757,1407,2226,1640,2379,,613179,665235,693438,464625,384801,476939,463053,485563,523771,647753,,16923,19641,26813,19698,17756,20952,12780,14317,22364,16604
560394,"Nonwovens, whether or not impregnated, coated, covered or laminated, n.e.s., weighing > than ...",1420,1595,2673,3320,3599,5811,3564,2600,1934,2373,,223982,248085,267469,215926,228409,260355,264654,262066,237730,286288,,34411,38304,43618,44637,43340,50940,55132,66107,36667,47123
852352,"Cards incorporating one or more electronic integrated circuits """"smart cards""""""""",5257,1779,728,666,2590,3811,4747,3058,1464,2373,,407228,389690,451914,362160,344299,262136,254773,223538,201199,263373,,273867,210501,179969,162560,176902,162503,110174,90477,60412,238012
847290,"Office machines, n.e.s.",15028,11392,15500,2672,897,678,7497,6094,3272,2369,,793899,779747,739002,644460,626284,674413,624261,546044,498696,608543,,95972,103779,161576,138486,96474,55676,46110,87050,60712,76112
846799,"Parts of pneumatic tools for working in the hand, hydraulic or with self-contained electric ...",2783,2354,3117,3141,3859,5384,3364,1822,1457,2366,,187000,195580,197137,170527,187445,204940,212522,191045,210984,237980,,24713,25124,27884,25003,24136,38634,45248,43018,40569,66387
761290,"Casks, drums, cans, boxes and similar containers, incl. rigid tubular containers, of aluminium, ...",1810,5114,2117,2402,1972,2040,2420,2764,1286,2364,,715956,709433,714753,637612,534087,511098,520760,510218,576158,592975,,25609,31022,25878,25696,27426,28737,29978,26430,22594,19582
850433,Transformers having a power handling capacity > 16 kVA but <= 500 kVA (excluding liquid dielectric ...,2438,1102,1253,867,1691,826,3650,5092,2604,2360,,58297,63545,60883,55379,51641,62473,55019,53087,44954,51091,,14626,6460,9572,11061,6038,9418,38682,12908,26670,18051
845929,"Drilling machines for working metal, not numerically controlled (excluding way-type unit head ...",883,9148,2323,634,4989,2199,1725,883,543,2360,,25961,28520,32330,30435,27632,28394,30083,38094,22623,24525,,80369,24357,26803,15984,20072,13533,15229,19921,8975,10116
730290,"Sleepers """"cross-ties"""", check-rails, rack rails, chairs, chair wedges, rail clips, bedplates ...""",617,219,425,844,151,166,418,492,46,2358,,80875,115131,80300,62928,59337,66433,68595,80804,69335,87005,,10984,6701,5892,3243,3166,3441,2999,3909,3440,6271
