Product code,Product label,"Korea, Republic of's imports from Russian Federation-Value in 2012","Korea, Republic of's imports from Russian Federation-Value in 2013","Korea, Republic of's imports from Russian Federation-Value in 2014","Korea, Republic of's imports from Russian Federation-Value in 2015","Korea, Republic of's imports from Russian Federation-Value in 2016","Korea, Republic of's imports from Russian Federation-Value in 2017","Korea, Republic of's imports from Russian Federation-Value in 2018","Korea, Republic of's imports from Russian Federation-Value in 2019","Korea, Republic of's imports from Russian Federation-Value in 2020","Korea, Republic of's imports from Russian Federation-Value in 2021",Russian Federation's exports to world- ,Russian Federation's exports to world-Value in 2012,Russian Federation's exports to world-Value in 2013,Russian Federation's exports to world-Value in 2014,Russian Federation's exports to world-Value in 2015,Russian Federation's exports to world-Value in 2016,Russian Federation's exports to world-Value in 2017,Russian Federation's exports to world-Value in 2018,Russian Federation's exports to world-Value in 2019,Russian Federation's exports to world-Value in 2020,Russian Federation's exports to world-Value in 2021,"Korea, Republic of's imports from world- ","Korea, Republic of's imports from world-Value in 2012","Korea, Republic of's imports from world-Value in 2013","Korea, Republic of's imports from world-Value in 2014","Korea, Republic of's imports from world-Value in 2015","Korea, Republic of's imports from world-Value in 2016","Korea, Republic of's imports from world-Value in 2017","Korea, Republic of's imports from world-Value in 2018","Korea, Republic of's imports from world-Value in 2019","Korea, Republic of's imports from world-Value in 2020","Korea, Republic of's imports from world-Value in 2021"
381900,Hydraulic brake fluids and other prepared liquids for hydraulic transmission not containing ...,0,0,0,0,15,0,161,75,182,214,,13782,14450,15134,18189,16402,17354,20400,28392,17725,27729,,4473,7579,9261,6106,6405,6182,7979,7791,7852,8342
721190,"Flat-rolled products of iron or non-alloy steel, of a width of < 600 mm, hot-rolled or cold-rolled ...""",0,0,0,0,0,0,0,14,0,212,,9960,10882,11167,7717,7796,10849,10378,13085,16590,25822,,18869,17468,14692,13941,9678,10866,10976,12320,13890,26487
200819,"Nuts and other seeds, incl. mixtures, prepared or preserved (excluding prepared or preserved ...",13,16,79,39,63,30,60,132,226,212,,50432,72097,93362,91766,82635,89309,96755,97570,129555,141181,,60320,87726,114479,94180,96655,102358,134757,133368,127361,143475
730729,"Tube or pipe fittings of stainless steel (excluding cast products, flanges, threaded elbows, ...",2,207,1,0,8,0,17,69,100,211,,3122,3418,4648,3877,4577,6439,7067,7290,5607,6789,,39170,48301,51389,46990,44281,60376,60493,61227,71407,80876
721070,"Flat products of iron or non-alloy steel, of a width of >= 600 mm, hot-rolled or cold-rolled ...""",242,190,193,89,72,128,222,221,151,211,,110147,147214,138321,105903,105678,148946,189513,215507,218783,255823,,161344,187313,281912,238970,222404,269308,305725,321942,361511,535490
210111,"Extracts, essences and concentrates, of coffee",0,0,0,20,0,36,1,31,0,210,,71291,116038,107031,117200,110337,133195,130443,107029,166528,210276,,104323,67245,43811,44798,44449,51341,52471,74399,86913,105548
903281,Hydraulic or pneumatic regulating or controlling instruments and apparatus (excluding manostats ...,344,0,837,1,50,0,11,290,120,208,,27118,34619,13589,20241,40771,60248,47891,28462,11101,12439,,39766,50376,48058,40858,32097,42336,32438,36103,50458,48462
810320,"Unwrought tantalum, incl. bars and rods of tantalum obtained simply by sintering; tantalum ...",0,0,0,0,0,0,0,0,88,208,,0,0,0,2456,3500,0,0,483,1061,2848,,744,1310,814,650,955,521,31,205,119,294
121221,"Seaweeds and other algae, fresh, chilled, frozen or dried, whether or not ground, fit for human ...",0,0,0,0,0,0,0,0,0,207,,840,1312,1334,1199,1539,797,931,1182,1769,3499,,22231,14833,22124,19609,15587,16938,27631,25701,23148,15026
440890,"Sheets for veneering, incl. those obtained by slicing laminated wood, for plywood or for other ...",181,292,70,241,51,25,0,0,2,205,,24278,20305,24558,28830,29850,39516,53835,63901,65507,84582,,66223,83036,83746,90482,76225,67320,60852,32999,34521,35362
854449,"Electric conductors, for a voltage <= 1.000 V, insulated, not fitted with connectors, n.e.s.",382,349,377,471,41,17,190,91,28,205,,230652,201830,187791,143149,110035,131192,167856,175109,161964,218641,,246821,259063,232829,240666,224707,201744,202556,203689,208149,246431
901590,"Parts and accessories for instruments and appliances used in geodesy, topography, photogrammetrical ...",0,0,0,0,0,0,17,157,212,204,,14565,27382,15842,12054,9955,18605,13567,9823,6700,8317,,13759,21759,9691,13552,12325,11786,14112,12012,12972,16322
440796,"Birch """"Betula spp."""", sawn or chipped lengthwise, sliced or peeled, whether or not planed, ...""",0,0,0,0,0,481,220,125,204,204,,0,0,0,0,5,107060,145534,140810,120336,163142,,0,0,0,0,0,2780,2479,2454,3242,2767
290559,"Halogenated, sulphonated, nitrated or nitrosated derivatives or acyclic alcohols (excluding ...""",0,0,0,19,9,72,93,43,168,202,,8330,1047,197,116,221,576,269,398,806,646,,2325,2702,4936,3511,2968,2067,3822,4123,2987,3977
160420,Prepared or preserved fish (excluding whole or in pieces),0,0,0,0,0,40,83,285,72,199,,17521,19803,15785,4971,6833,8927,8210,10494,19216,17336,,14862,16640,15754,17616,18738,23293,28762,29461,26367,29120
720925,"Flat-rolled products of iron or non-alloy steel, of a width of >= 600 mm, not in coils, simply ...""",0,0,0,0,0,0,0,0,1,199,,7939,7576,6992,5007,4794,8176,7868,7788,6660,9796,,2827,302,1335,52392,120822,6437,2204,632,313,1184
848180,"Appliances for pipes, boiler shells, tanks, vats or the like (excluding pressure-reducing ...""",1340,871,70,218,401,63,925,298,310,196,,297392,263364,208939,295630,191656,223606,248247,255264,257864,331816,,1507805,1904646,2119295,1758162,1499790,1603481,1579807,1588504,1520608,1686638
180690,"Chocolate and other preparations containing cocoa, in containers or immediate packings of <= ...",0,0,0,26,29,15,0,4,48,192,,309490,390427,372134,280682,318176,355581,423541,483185,495766,583473,,97611,106499,132899,140307,154934,140674,146231,147603,142266,144333
440139,"Sawdust and wood waste and scrap, agglomerated in logs or similar forms (excl. pellets and ...",62,5,5,277,445,14,0,23,78,191,,16645,20660,20848,15081,13795,14326,23084,25968,16936,24016,,17192,28257,24791,25692,33183,22434,29933,30485,39476,40306
841410,Vacuum pumps,346,125,416,23,0,635,49,65,1,189,,3958,6111,4841,4834,4015,6073,8432,8287,15191,7850,,187478,219858,195075,192726,246264,334474,286668,208868,244984,310558
30332,"Frozen plaice """"Pleuronectes platessa""""""""",724,312,128,376,245,2522,1507,307,88,182,,18864,10218,10973,7181,12210,19588,21407,22222,20396,12502,,1408,593,380,865,1173,3228,1892,1060,142,329
870840,"Gear boxes and parts thereof, for tractors, motor vehicles for the transport of ten or more ...",1,7,46,6,1,30,20,18,81,180,,44241,35026,26926,20802,19304,37230,48123,46396,46226,51930,,1056867,1026859,911524,868698,1073828,1034555,943320,967309,1066982,1145746
810295,"Molybdenum bars and rods (other than those obtained simply by sintering), profiles, plates, ...",40,225,74,108,96,177,148,118,272,179,,1206,1070,2350,915,404,261,156,105,169,114,,66169,57760,59324,63990,45489,37296,35027,26120,21998,33125
380190,"Preparations based on graphite or other carbon in the form of pastes, blocks, plates or other ...",30,0,18,153,258,344,684,63,707,178,,6816,3190,3597,4321,3401,5024,9559,15385,14903,16527,,12305,13179,16686,9969,10165,12481,13379,15532,13370,12714
285390,"Phosphides, whether or not chemically defined (excl. ferrophosphorus); inorganic compounds, ...",0,0,0,0,0,7,4,33,44,178,,0,0,0,0,13,2472,2790,2612,1510,3443,,0,0,0,0,0,720077,1812557,199921,65505,44974
441899,"Builders' joinery and carpentry, of wood (excl. of bamboo, windows, French windows and their ...",0,0,0,0,0,17,30,71,193,178,,0,0,0,0,139,128388,149961,169217,122850,258601,,0,0,0,0,0,10431,10283,11261,6442,8382
844399,"Parts and accessories of printers, copying machines and facsimile machines, n.e.s. (excluding ...",296,552,298,328,384,155,78,135,157,178,,7132,10958,6702,7450,7692,10156,7771,9729,11626,17050,,835340,782099,732172,673719,656310,655907,575178,523397,496425,560125
71239,"Dried mushrooms and truffles, whole, cut, sliced, broken or in powder, but not further prepared ...""",103,137,451,269,349,1061,507,641,457,177,,1117,1988,1635,1205,3396,3683,2548,836,2322,7593,,12949,12882,15589,15449,13369,14737,17285,16176,16636,16560
854140,"Photosensitive semiconductor devices, incl. photovoltaic cells whether or not assembled in ...",17,27,47,29,33,22,122,36,49,176,,16089,22406,25403,22198,20142,17266,28156,18739,56929,50886,,3031320,3301669,2891787,2649735,2479270,2856290,2714172,2982742,2936384,3511881
700721,"Laminated safety glass, of size and shape suitable for incorporation in motor vehicles, aircraft, ...",38,171,0,0,0,0,25,98,93,174,,10912,11845,14307,16331,41810,34468,44016,44320,38958,54165,,23656,25190,23442,23425,21998,26404,31865,25790,20763,34542
800110,"Unwrought tin, not alloyed",0,0,12,32,9,307,285,282,226,172,,5317,9722,6262,4217,4618,3984,38937,5907,8957,13323,,355335,341464,328117,240744,242660,269257,286042,234499,235640,443839
392690,"Articles of plastics and articles of other materials of heading 3901 to 3914, n.e.s (excluding ...",20,16,34,47,26,46,46,212,76,171,,61114,67872,73300,52916,61190,83933,89512,102076,112441,145589,,649506,780701,712734,729344,779323,993231,1084454,1079506,1226701,1569313
30572,"Fish heads, tails and maws, smoked, dried, salted or in brine",0,0,0,0,0,0,43,274,226,171,,371,675,591,746,510,558,587,501,383,285,,136,43,90,43,970,952,1485,1455,1161,1462
401110,"New pneumatic tyres, of rubber, of a kind used for motor cars, incl. station wagons and racing ...",1,18,11,20,18,10,159,52,161,170,,564935,701060,625518,635951,714789,745404,745368,706948,657023,796916,,309145,300657,295288,314428,369837,474772,536777,640203,668694,724447
50510,"Feathers used for stuffing and down, not further worked than cleaned, disinfected or treated ...",666,1424,182,251,268,53,152,796,142,170,,21304,33336,28665,15534,12036,17841,33407,40464,20309,31231,,132605,227733,213998,79850,38649,36683,43498,37564,40807,36501
902519,"Thermometers and pyrometers, not combined with other instruments (excluding liquid-filled thermometers ...",17,0,1,9,46,97,37,52,167,169,,8832,10926,9037,8607,7956,9295,9074,11528,10500,11558,,72772,65400,114193,126394,119293,134725,149470,158705,227738,235520
840999,"Parts suitable for use solely or principally with compression-ignition internal combustion ...""",47,2237,232,84,300,117,62,1384,68,165,,107573,96591,79329,64643,66667,94097,82632,87667,76672,97301,,1133849,935869,970136,701193,692404,653145,685971,646161,571648,628704
846390,"Machine tools for working metal, sintered metal carbides or cermets, without removing metal ...",0,0,0,0,0,0,2,0,0,164,,1749,1647,1524,417,708,617,665,249,543,208,,20217,20213,14308,21814,27890,27309,22322,14053,16054,28724
440929,"Wood, incl. strips and friezes for parquet flooring, not assembled, continuously shaped """"tongued, ...""",174,0,8,0,0,28,0,4,28,162,,10684,9275,9896,9974,5164,3833,5547,8230,10154,11601,,82831,79337,99730,108893,112389,92512,70599,54039,42257,37229
540219,"High-tenacity filament yarn of nylon or other polyamides (excluding sewing thread, yarn put ...",1508,1981,1921,1678,749,1006,1473,44,0,162,,21281,23322,22079,17927,17918,18837,20508,21233,21393,41732,,81126,76311,90346,83210,77800,80917,77069,86666,58488,89016
841899,"Parts of refrigerating or freezing equipment and heat pumps, n.e.s.",49,55,76,32,21,354,122,136,4,161,,6164,9769,5735,5256,7284,7616,7554,7816,12814,12196,,53252,51467,52682,53629,70279,77372,95349,132059,128722,141856
310520,"Mineral or chemical fertilisers containing the three fertilising elements nitrogen, phosphorus ...",509,3446,219,147,98,0,37,43,0,157,,1914115,1731844,1486658,1422234,1164687,1370599,1561903,1467433,1273758,2024941,,22266,27343,22354,22533,21464,21617,25086,27617,28129,36540
852990,"Parts suitable for use solely or principally with flat panel display modules, transmission ...",5023,7331,7661,7286,369,284,194,419,549,155,,223395,227480,246771,178115,219682,261211,182558,224371,183374,369122,,645810,674780,737450,733166,777728,1363169,2064663,4827993,3576043,3535942
841330,"Fuel, lubricating or cooling medium pumps for internal combustion piston engine",52,11,39,1,44,128,55,306,65,155,,64851,57509,47167,32458,41270,47906,48704,36241,33456,53384,,522055,560049,542691,475939,421454,332569,320254,321846,322255,408647
210690,"Food preparations, n.e.s.",73,27,111,90,72,201,153,123,204,154,,191834,235398,221161,148240,154980,205442,228428,263807,288181,386575,,692285,776249,901578,915080,1066766,1174692,1380331,1710688,1913551,2166919
851490,"Parts of electric industrial or laboratory furnaces and ovens, incl. of those functioning by ...",202,23,4,0,1,1,0,0,0,153,,6220,5408,6057,3310,2334,1444,4293,4109,2903,5050,,92370,61524,73745,49833,38267,51323,68652,70451,42984,49228
900220,"Filters, optical, being parts of or fittings for instruments, apparatus and appliances, framed ...",21,0,0,1,0,3,1,0,0,151,,785,764,439,342,231,414,371,999,1351,2181,,62830,78244,91694,76863,80552,128619,88129,90219,97080,170938
440797,"Poplar and aspen """"Populus spp."""", sawn or chipped lengthwise, sliced or peeled, whether or ...""",0,0,0,0,0,0,16,33,44,150,,0,0,0,0,62,10369,10878,11611,11743,24483,,0,0,0,0,0,1482,826,591,609,508
901890,"Instruments and appliances used in medical, surgical or veterinary sciences, n.e.s.",39,55,45,2087,90,74,56,72,1056,150,,31761,31855,30947,28518,30804,37282,35301,39015,43845,50194,,667477,706354,708093,713546,758898,799151,904505,973678,1017389,1105148
51191,"Products of fish or crustaceans, molluscs or other aquatic invertebrates; dead fish, crustaceans, ...",24,0,0,7,24,5,0,111,20,149,,12809,13889,13479,14966,18989,14333,12862,16241,15574,23150,,5341,7154,7123,5106,5885,5680,5591,7678,8388,9630
391732,"Flexible tubes, pipes and hoses of plastics, not reinforced or otherwise combined with other ...",31,66,114,96,136,171,148,79,138,149,,50565,55470,61464,51786,52201,55429,63895,70117,73317,82698,,22583,24600,23003,24354,26969,38008,39921,39299,46469,55423
870899,"Parts and accessories, for tractors, motor vehicles for the transport of ten or more persons, ...",122,182,280,1204,152,283,168,333,450,148,,146792,160839,189301,106356,109266,159848,125873,163569,134602,180323,,967225,872541,874491,851453,927204,871444,763414,694700,761928,835500
284690,"Compounds, inorganic or organic, of rare-earth metals, of yttrium or of scandium or of mixtures ...",46,52,43,31,21,41,32,49,489,148,,37142,17425,21303,13290,8407,10289,15068,14496,14372,20813,,46226,30197,25522,27043,30032,34270,41849,43175,33824,61175
902290,"X-ray generators other than X-ray tubes, high tension generators, control panels and desks, ...",52,42,43,9,391,254,114,28,23,147,,4376,3504,2603,4231,3852,3603,5280,4261,5245,6936,,116719,128918,144328,143122,147748,143343,152510,157410,157434,190196
681510,"Articles of graphite or other carbon, incl. carbon fibres, for non-electrical purposes",0,0,74,0,0,18,48,43,51,147,,4799,7014,9154,4774,11151,11247,17868,15793,19369,11983,,148865,152904,161135,186685,159133,185289,186960,206274,187661,197420
391810,"Floor coverings, whether or not self-adhesive, in rolls or in the form of tiles, and wall ...""",0,0,0,34,1,24,0,0,114,147,,81035,94335,88832,53240,56771,66399,68022,71139,76750,83893,,14841,23838,21324,22123,20598,27313,35899,42251,38103,45346
841520,"Air conditioning machines of a kind used for persons, in motor vehicles",0,0,0,0,0,1,0,139,202,145,,5637,4668,2469,1398,1933,2815,2431,2779,2179,3099,,2081,2926,2118,1519,2129,7923,7420,9744,9975,10583
903090,Parts and accessories for instruments and apparatus for measuring or checking electrical quantities ...,692,2298,2005,34,15,12,12,56,47,145,,5520,8915,6371,6232,5157,11601,8896,6033,5428,4730,,455595,416134,418351,464384,387847,455803,466003,554397,591007,642698
854150,"Semiconductor devices, n.e.s.",102,126,39,4,50,76,1038,45,117,142,,24833,20734,17984,14267,21360,24058,21236,22353,23860,28909,,141035,167248,245126,255473,291487,300609,325047,399112,395217,418026
902620,Instruments and apparatus for measuring or checking pressure of liquids or gases (excluding ...,111,88,65,11,18,3,35,65,260,142,,36453,34975,33304,27533,20878,36103,33212,35360,25550,29870,,239601,268056,327354,359857,384070,402545,428696,413428,424603,495840
30479,"Frozen fillets of fish of the families Bregmacerotidae, Euclichthyidae, Gadidae, Macrouridae, ...",0,0,14,0,0,0,8,101,58,141,,0,0,0,2,16,2,20,65,92,52,,1989,1164,2043,541,1539,1693,1318,743,266,651
853890,"Parts suitable for use solely or principally with the apparatus of heading 8535, 8536 or 8537, ...",80,90,107,165,45,244,148,235,110,139,,46138,55907,31036,33789,31931,27792,42835,55705,37046,68267,,1276587,1448386,1043619,1152056,1188150,1368965,1159705,1013000,937848,1005588
853949,Ultraviolet or infra-red lamps,46,77,0,67,30,66,75,74,99,134,,1836,2571,2018,1955,2375,2753,2884,2834,13774,3131,,124218,98906,86481,78961,64278,67266,74000,67707,62486,66904
851762,"Machines for the reception, conversion and transmission or regeneration of voice, images or ...",93,439,150,131,38,13,1007,192,196,133,,99894,90511,138919,49866,60082,124181,137971,181324,114701,150374,,1276377,1359908,1492284,1582914,1621283,1591728,1780113,2464127,2689883,3401458
902580,"Hydrometers, areometers and similar floating instruments, barometers, hygrometers and psychrometers, ...",0,0,17,1,17,0,36,20,8,133,,2585,4753,5923,4575,6519,4225,4348,6418,4194,4699,,39738,20779,26145,29535,30968,53927,55630,32780,38652,41954
851110,Sparking plugs of a kind used for spark-ignition or compression-ignition internal combustion ...,11,8,64,44,145,33,36,46,43,128,,22209,26418,35537,24572,21996,34837,36829,36460,43539,88246,,24515,27093,29758,21679,19063,18685,18895,19507,19078,22554
970300,"Original sculptures and statuary, in any material",71,50,2,0,6,16,3,41,48,127,,135,322,634,132,1692,140,625,368,119,2319,,61654,46873,52914,55532,63437,75035,90634,60409,51578,97799
321000,"Paints and varnishes, incl. enamels, lacquers and distempers (excluding those based on synthetic ...",0,1,3,0,1,0,0,1,11,126,,5241,3610,2730,2297,2220,2895,3016,3335,3056,4989,,19988,16030,11851,9983,8443,8562,8644,8270,7300,8810
841182,Gas turbines of a power > 5.000 kW (excluding turbojets and turbopropellers),0,598,952,0,0,1001,1008,0,0,123,,57099,46788,43365,49895,48311,79656,38308,72078,26574,44405,,194797,645208,235429,186011,122571,28036,139043,31220,128154,70291
381800,"Chemical elements and compounds doped for use in electronics, in the form of discs, wafers, ...",184,286,199,264,701,125,174,601,93,123,,6823,5827,11837,13147,18968,35542,84902,99144,60905,46279,,1573601,1347890,1260843,1303416,1475346,1806053,2566654,2282532,1978974,2315348
820790,"Interchangeable tools for hand tools, whether or not power-operated, or for machine tools, ...",2,65,0,4,4,1,0,1,0,121,,8721,7562,5781,3646,4508,5003,8124,7256,7358,8761,,56533,50018,54071,43506,33777,36450,37218,56571,32614,37376
852560,"Transmission apparatus for radio-broadcasting or television, incorporating reception apparatus",1,6,0,1,28,7,0,0,0,120,,14737,50458,27836,25554,16697,11846,14218,24900,15920,27665,,19759,19237,21269,29845,50042,16312,17366,10776,17688,14167
847790,Parts of machinery for working rubber or plastics or for the manufacture of products from these ...,0,10,6,8,2,113,12,3,2,120,,2089,1659,2584,2129,3083,2399,3345,1931,3377,4698,,113514,157853,116142,118291,117804,133116,147327,137867,158842,156888
901850,"Ophthalmic instruments and appliances, n.e.s.",3,29,45,28,44,6,59,109,148,119,,3896,2661,4595,2949,2497,3056,4422,4602,4886,5591,,70203,59990,71669,64059,70720,79219,100757,131703,122408,148757
290313,"Chloroform """"trichloromethane""""""""",0,0,0,0,0,0,0,3,1,115,,954,3116,3407,1996,2371,2191,1813,2484,1685,1643,,361,185,163,201,396,307,430,616,506,1248
903289,"Regulating or controlling instruments and apparatus (excluding hydraulic or pneumatic, manostats, ...",88,103,75,59,18,122,10,278,208,114,,138502,217230,181586,88415,147452,138340,105939,84346,77608,103717,,749531,869538,781838,840515,987611,1004182,1031941,942904,863550,965044
842490,"Parts of fire extinguishers, spray guns and similar appliances, steam or sand blasting machines ...",0,0,7,2,49,63,262,49,17,110,,1570,2919,2666,1751,2187,3156,3654,5223,4544,9529,,102508,110067,105429,108774,92589,112191,99456,99342,100283,102673
841221,"Hydraulic power engines and motors, linear acting """"cylinders""""""""",0,0,0,235,0,1452,23,751,371,109,,55237,60802,56247,52313,49540,55275,59459,74793,55816,75253,,77851,96092,94549,88285,81407,118935,114486,125384,92849,135224
854160,Mounted piezoelectric crystals,78,125,37,86,68,63,116,108,169,108,,2375,2655,2286,1207,1585,1461,1391,1422,1493,1824,,258181,265970,329468,390786,338661,299979,271509,211351,251905,464123
190590,"Bread, pastry, cakes, biscuits and other bakers' wares, whether or not containing cocoa; communion ...",0,2,0,0,47,18,46,5,38,108,,90538,123414,131106,112120,110017,129824,142032,169651,183486,243040,,195167,201473,209197,207891,231302,267760,269098,240650,248036,278508
480439,"Kraft paper and paperboard, uncoated, in rolls of a width > 36 cm or in square or rectangular ...",0,86,0,0,0,0,0,0,53,107,,270,215,521,7215,37456,42498,46246,39690,40857,66947,,22378,18829,19994,20695,20024,18833,32768,28243,20061,22198
680422,"Millstones, grindstones, grinding wheels and the like, without frameworks, for sharpening, ...",91,89,70,58,67,56,55,135,93,107,,36400,34021,28416,18911,20289,24744,27176,25682,24347,26403,,83958,77828,88516,81858,82918,86554,83874,77307,67942,89287
940540,"Electric lamps and lighting fittings, n.e.s.",9,8,1,23,2,1,26,201,116,107,,29596,34389,44206,30748,37084,38554,37130,43874,38224,47086,,143031,188948,264254,208521,184176,120652,102435,110498,112756,141214
901910,Mechano-therapy appliances; massage apparatus; psychological aptitude-testing apparatus,0,1,38,0,1,118,155,109,52,107,,3501,2434,2176,3233,3040,5078,5746,7152,11826,11318,,105025,123979,161696,223143,286903,396117,432778,430064,511210,588911
71333,"Dried, shelled kidney beans """"Phaseolus vulgaris"""", whether or not skinned or split""""",0,0,0,0,0,0,0,0,0,106,,565,749,601,461,722,565,643,1724,1878,1568,,6271,7478,8034,6807,8434,12584,9924,8308,8434,13164
902190,"Articles and appliances, which are worn or carried, or implanted in the body, to compensate ...",22,60,1,3,70,83,52,31,57,105,,692,2510,1300,1372,1833,4074,3526,2466,4725,5179,,277489,301672,319385,316827,324478,354515,372350,366889,374544,403667
190190,"Malt extract; food preparations of flour, groats, meal, starch or malt extract, not containing ...",0,0,6,8,6,5,0,18,39,104,,13820,21709,27195,19760,25788,30506,32231,38936,46080,58555,,40354,42802,52480,42311,40785,48478,50336,49049,63308,87750
854081,"Receiver or amplifier valves and tubes (excluding microwave tubes, photo-cathode tubes and ...",46,16,91,100,74,110,81,109,97,104,,11255,8415,9618,8386,7302,8024,8551,7816,8632,8233,,28041,19853,14016,7129,10991,13732,4150,1621,5364,10026
611420,"Special garments for professional, sporting or other purposes, n.e.s., of cotton, knitted or ...",18,5,13,11,55,65,57,104,162,103,,196,100,127,235,225,267,284,357,381,760,,52070,62178,53761,47802,48492,48899,46650,48553,51961,68366
392390,"Articles for the conveyance or packaging of goods, of plastics (excluding boxes, cases, crates ...",5,5,36,9,14,18,15,14,7,103,,6258,9484,10895,9824,14445,18426,26394,31952,31430,46056,,86608,85599,84811,81306,105493,131470,172326,181183,193750,226163
853180,Electric sound or visual signalling apparatus (excluding indicator panels with liquid crystal ...,0,0,31,160,12,24,48,91,53,102,,6930,8693,7508,10990,9667,6852,8594,6665,5107,7538,,153212,45206,60675,73903,71453,53200,68543,75176,59267,83769
940190,"Parts of seats, n.e.s.",1,0,8,13,0,7,18,51,40,100,,9363,12511,10023,8147,6415,15502,10702,10789,8011,13217,,296557,314218,354046,362826,344884,394134,387773,395135,421286,461511
721669,"Angles, shapes and sections, of iron or non-alloy steel, not further worked than cold-formed ...",0,0,0,0,0,0,45,23,0,97,,9367,8417,13566,8296,6344,4103,4370,3304,3120,7689,,2268,564,1156,2178,439,1328,999,1532,1855,2219
851629,Electric space-heating and soil-heating apparatus (excluding storage heating radiators),0,0,0,0,0,37,111,0,0,97,,6626,7487,8572,6546,7972,9653,12188,14034,14772,24754,,23045,24161,18139,25563,49072,53968,72359,47939,43805,67509
691490,"Ceramic articles, n.e.s. (excluding of porcelain or china)",0,0,0,0,0,0,1,0,97,95,,41363,16991,22338,13532,4179,11559,9627,12767,8735,14752,,48428,47686,44804,38321,34085,37831,40974,46405,60202,72876
321490,"Non-refractory surfacing preparations for facades, inside walls, floors, ceilings and the like",52,139,161,125,148,104,233,111,143,95,,12216,16697,16481,14899,20140,25267,26867,26962,27747,36003,,20434,19612,25780,24063,20205,21367,16721,15314,14092,15456
30791,"Live, fresh or chilled molluscs, even in shell (excl. oysters, scallops of the genera Pecten, ...""",22,0,0,0,6,0,0,0,0,95,,1165,1221,1251,1398,1304,1285,3124,2026,1679,2742,,4048,2874,3594,4036,3789,4299,2770,1972,869,761
846229,"Bending, folding, straightening or flattening machines for flat products (excl. numerically ...",0,44,0,44,0,7,6,152,0,95,,3843,4968,5964,4467,7733,4577,5513,6968,6912,6162,,25171,32698,23536,27611,25521,20820,25126,17419,19471,19646
340130,"Organic surface-active products and preparations for washing the skin, in the form of liquid ...",0,0,107,2,0,0,0,0,167,93,,26062,33563,33512,25150,25153,30809,31010,36646,44190,44817,,32933,40412,47970,54844,54414,58030,61366,60834,73247,91531
401693,"Gaskets, washers and other seals, of vulcanised rubber (excluding hard rubber and those of ...",24,13,30,22,23,23,73,189,76,93,,32953,41534,29429,20161,32143,33618,29682,37678,32089,39349,,144663,172426,193358,180071,175310,188913,194063,182752,177761,186482
901490,"Parts and accessories for compasses and other navigational instruments and appliances, n.e.s.",151,55,3,81,37,19,40,49,13,93,,42702,18852,27416,25774,15581,28728,22966,27676,29582,27336,,25323,34573,40037,43481,53661,28397,39820,28953,30644,36553
220300,Beer made from malt,86,75,43,40,31,17,99,75,414,92,,150869,151738,131083,104795,125520,129088,150646,147928,130500,160850,,73591,89663,111636,141771,181592,263092,309683,280881,226920,223100
294190,"Antibiotics (excluding penicillins and their derivatives with a penicillanic acid structure, ...",252,110,125,82,10,0,185,75,0,92,,3595,3615,3793,1729,3400,3176,2769,2995,11233,2599,,179971,162474,156785,147741,164132,158318,168145,157650,166327,126345
640391,"Footwear with outer soles of rubber, plastics or composition leather, with uppers of leather, ...",63,32,37,38,21,15,20,26,4,91,,12046,22185,38369,25878,26144,26946,41682,44770,31999,35130,,95786,105304,130396,96484,83281,82487,92277,97283,105589,146543
640420,Footwear with outer soles of leather or composition leather and uppers of textile materials ...,83,91,87,74,69,92,105,118,83,90,,3970,2972,4460,2699,1795,1932,2382,2600,1958,2632,,10146,12537,14567,14377,21165,30300,42593,43499,37432,38577
854442,"Electric conductors for a voltage <= 1.000 V, insulated, fitted with connectors, n.e.s.",9,1,33,46,178,592,121,347,71,90,,18264,23034,19401,20745,19719,27505,30943,30447,25411,29240,,462851,485522,527384,501366,527011,599601,580054,580515,650860,822950
400690,"Rods, bars, tubes, profiles and other forms of unvulcanised rubber, incl. mixed rubber, and ...",0,4,0,0,0,0,0,0,79,90,,2645,1993,711,657,1495,1515,904,1137,667,1271,,3345,3008,3966,2890,3080,3030,3220,2389,2383,2556
710391,"Rubies, sapphires and emeralds, worked, whether or not graded, but not strung, mounted or set, ...",7,49,42,13,24,15,32,24,26,89,,6,33,41,373,263,27,142,40,45,62,,1682,2103,1821,1140,633,931,1289,1217,1940,1949
701912,Rovings of glass fibres,0,0,0,7,23,0,0,0,0,88,,6960,7009,10604,8523,8052,9304,9694,8156,10260,11855,,38225,40295,45312,44262,53455,56465,55029,48636,40701,66120
848310,"Transmission shafts, incl. cam shafts and crank shafts, and cranks",21,16,10,14,827,10,10,21,31,88,,48011,35054,41507,53216,49695,31433,54795,62607,36733,34365,,165043,163219,177418,164644,155819,171365,196463,161699,166419,202527
848130,"Check """"non-return"""" valves for pipes, boiler shells, tanks, vats or the like""""",5,28,37,34,25,23,21,45,10,86,,10410,18085,9181,13996,10517,13221,16173,15316,19224,20557,,42883,49475,86747,69413,71307,57383,61384,64895,54036,66732
901580,"Instruments and appliances used in geodesy, topography, hydrography, oceanography, hydrology, ...""",1,152,6,30,0,27,72,80,315,86,,27512,39877,48592,24808,25270,16799,28496,25723,12852,14988,,42340,65470,53835,52546,50440,52342,53012,57672,66968,95445
