Product code,Product label,India's imports from Viet Nam-Value in 2012,India's imports from Viet Nam-Value in 2013,India's imports from Viet Nam-Value in 2014,India's imports from Viet Nam-Value in 2015,India's imports from Viet Nam-Value in 2016,India's imports from Viet Nam-Value in 2017,India's imports from Viet Nam-Value in 2018,India's imports from Viet Nam-Value in 2019,India's imports from Viet Nam-Value in 2020,India's imports from Viet Nam-Value in 2021,Viet Nam's exports to world- ,Viet Nam's exports to world-Value in 2012,Viet Nam's exports to world-Value in 2013,Viet Nam's exports to world-Value in 2014,Viet Nam's exports to world-Value in 2015,Viet Nam's exports to world-Value in 2016,Viet Nam's exports to world-Value in 2017,Viet Nam's exports to world-Value in 2018,Viet Nam's exports to world-Value in 2019,Viet Nam's exports to world-Value in 2020,Viet Nam's exports to world-Value in 2021,India's imports from world- ,India's imports from world-Value in 2012,India's imports from world-Value in 2013,India's imports from world-Value in 2014,India's imports from world-Value in 2015,India's imports from world-Value in 2016,India's imports from world-Value in 2017,India's imports from world-Value in 2018,India's imports from world-Value in 2019,India's imports from world-Value in 2020,India's imports from world-Value in 2021
80132,"Fresh or dried cashew nuts, shelled",11327,19707,3586,16140,27682,40121,32397,15196,20882,23301,,1443109,1596348,1930396,2315661,2732522,3385090,3128961,2941542,2843195,2912469,,13271,22592,3938,17356,28567,40849,39253,40423,24274,24260
590210,"Tyre cord fabric of high-tenacity yarn of nylon or other polyamides, whether or not dipped ...",367,161,176,135,684,4766,13498,16877,15698,23132,,72431,83398,101829,101702,101020,120614,147535,174729,130097,209090,,273757,232681,237733,181768,155309,185659,227308,184492,119326,250245
730810,"Bridges and bridge-sections, of iron or steel",0,0,0,0,0,0,0,0,11804,22812,,4011,4065,6347,12842,8978,9143,8460,2052,28240,24558,,6084,16508,8525,6675,7270,332,2383,838,20536,71701
90111,Coffee (excluding roasted and decaffeinated),67681,60621,86807,56584,67652,90495,96712,62678,32092,22559,,3507401,2513198,3267706,2341585,2967118,3007675,2811711,2135113,1886972,2233123,,124085,122709,135701,118639,111252,144094,133949,118389,107030,117100
390810,"Polyamides-6, -11, -12, -6,6, -6,9, -6,10 or -6,12, in primary forms",564,217,154,95,151,0,9,0,0,22411,,71742,51739,48780,57229,41348,53019,75479,68974,70556,129812,,146043,182400,206092,168050,187329,286376,388795,297241,288911,588852
721070,"Flat products of iron or non-alloy steel, of a width of >= 600 mm, hot-rolled or cold-rolled ...""",0,0,0,0,0,97121,814,9010,40972,21829,,169466,225599,210440,198126,132872,244247,166255,186345,294143,345302,,149904,160779,239198,307703,203604,427334,212963,231510,239198,293326
854442,"Electric conductors for a voltage <= 1.000 V, insulated, fitted with connectors, n.e.s.",118,68,330,2031,785,7133,18485,34308,33977,21348,,95075,93819,130558,195000,287157,390205,509215,1087127,1527410,2433154,,82911,69051,88805,109744,127973,179417,236611,239302,291711,367083
851220,Electrical lighting or visual signalling equipment for motor vehicles (excluding lamps of heading ...,39,8,2,64,121,10,10,3,3495,21291,,10461,8765,13344,14775,20131,27455,48196,63680,86590,188616,,66996,98371,122860,131901,125060,160640,171899,164854,152014,249503
821220,"Safety razor blades of base metal, incl. razor blade blanks in strips",22,0,19,3,8,12968,25833,17412,15014,20528,,181,18446,17457,18142,22262,40264,49392,55780,57370,72101,,33843,42521,42104,35004,34421,41151,45987,42134,31275,42125
121190,"Plants, parts of plants, incl. seeds and fruits, used primarily in perfumery, in pharmacy or ...",3946,5012,5191,5071,4339,6578,5985,8996,24977,19527,,6559,12340,13534,22234,17845,19430,23548,20029,46862,51334,,44532,54805,68500,69192,69660,60748,79168,81283,102162,106563
850490,"Parts of electrical transformers and inductors, n.e.s.",6362,6328,2569,32,39,151,236,12462,13189,19231,,292431,235488,302108,251972,297180,284693,328300,350318,349362,122260,,311326,359265,320498,302681,357858,423373,605372,599450,370243,467127
340220,"Surface-active preparations, washing preparations, auxiliary washing preparations and cleaning ...",28,0,2,3224,10870,1424,3,13,2185,18467,,116887,103132,94872,96968,105493,112249,105314,122499,161661,214471,,41140,31935,31431,37648,33910,12243,21415,26412,37133,40037
901390,"Parts and accessories for liquid crystal devices """"LCD"""", lasers and other appliances and ...""",260,794,78,0,252,1357,13988,991,53,18312,,38051,457,519,698,4234,22439,11842,4177,6106,193920,,63752,169321,132720,123672,85545,60312,125118,26766,8517,79974
901890,"Instruments and appliances used in medical, surgical or veterinary sciences, n.e.s.",2344,3014,3876,4989,6947,7745,7980,11359,14265,17830,,14708,18474,20499,29136,73829,165831,210419,249338,274310,792751,,510427,546320,565962,529590,563216,613606,710069,762177,676409,948806
540244,"Synthetic filament elastomeric yarn, single, untwisted or with a twist of <= 50 turns per metre ...",17112,22019,34508,47063,47591,61406,78619,81814,10754,17451,,138745,159222,253847,273367,280019,301222,371417,344818,287514,559587,,60982,65628,82966,98664,98142,113554,133841,135303,52784,104600
852721,"Radio-broadcast receivers not capable of operating without an external source of power, of ...",94,0,0,0,7895,18820,36751,34665,25270,16346,,1663,1579,315,49,10530,18590,35447,30112,9463,90437,,40427,49126,48255,116776,150825,144222,118334,105831,88575,102431
410711,"Full grains leather """"incl. parchment-dressed leather"""", unsplit, of the whole hides and skins ...""",12,32,760,376,244,7584,8121,6617,8555,15069,,0,0,0,48,42,4,50,5,3,19675,,6319,6324,7878,7812,7800,86483,90783,103878,71930,108889
390210,"Polypropylene, in primary forms",1694,0,0,16,18,22,2727,23316,2879,14774,,109841,139383,148046,80234,96446,125298,182111,294191,321011,435828,,538774,578755,693897,647332,575399,701202,801428,785900,567698,1127056
844332,"Machines which only perform one of the functions of printing, copying or facsimile transmission, ...",24619,17613,13351,18304,13435,14398,23996,11707,8492,14514,,1235520,1218803,1190505,1181063,1156814,1465910,1410023,1137962,953660,841020,,253993,210084,199308,209193,177031,216011,229301,202663,129001,194270
903180,"Instruments, appliances and machines for measuring or checking, not elsewhere specified in ...",272,52,146,186,57,417,396,1524,6249,14148,,11239,28446,56313,67277,47862,62857,54857,70286,127614,360555,,538722,493167,518370,520021,549866,598351,791610,881376,788337,816128
721934,"Flat-rolled products of stainless steel, of a width of >= 600 mm, not further worked than ...""",2077,1729,3114,993,164,149,539,0,2294,13873,,78595,82156,71413,74417,66918,77687,79771,76935,75113,125325,,72836,72926,86153,91374,85969,100093,100732,109304,66689,140107
721933,"Flat-rolled products of stainless steel, of a width of >= 600 mm, not further worked than ...""",2135,1743,2884,701,214,0,33,0,1713,13739,,38207,46010,41484,39582,36763,37891,65633,59768,47214,76529,,127574,109709,105120,141822,120351,138184,131815,156271,92335,196215
847989,"Machines and mechanical appliances, n.e.s.",2508,1022,2187,3233,3700,3818,7329,12606,21292,13646,,14988,21006,23651,37022,110253,57013,79892,61979,101406,179265,,884745,912343,750696,734773,748000,761348,1245827,1251942,1025424,1227482
901839,"Needles, catheters, cannulae and the like, used in medical, surgical, dental or veterinary ...",373,413,489,1724,357,659,4381,11545,7353,13316,,199298,212164,257796,242024,247526,210958,265381,329177,322101,356653,,185814,201367,209519,177466,180225,234638,280724,311030,204935,267801
81090,"Fresh tamarinds, cashew apples, jackfruit, lychees, sapodillo plums, passion fruit, carambola, ...""",0,0,305,2470,3122,3958,5070,8866,6890,13208,,391392,252146,322635,545706,1144740,1479306,1563283,1549394,1341076,722240,,3072,4973,6283,8379,8623,10511,13116,19537,12382,19732
251512,"Marble and travertine, merely cut, by sawing or otherwise, into blocks or slabs of a square ...",7891,18812,17301,10992,8813,9621,10020,11921,7988,13125,,3646,436,139,0,29,19,74,963,934,32206,,203498,225394,227169,294802,213633,248986,208319,208157,130415,223821
150710,"Crude soya-bean oil, whether or not degummed",0,5417,0,17752,0,0,0,0,0,12994,,96124,58837,108672,117143,15037,22625,28503,5706,13299,101400,,1379557,1192973,1984771,2698492,3012547,2747028,2273909,2209936,2774891,4127096
284920,"Carbides of silicon, whether or not chemically defined",0,2674,8416,10050,8813,8109,9294,7397,9486,12868,,86,6326,12889,15530,14491,14242,27208,27528,24621,30785,,30698,27208,37787,34929,35073,38306,52153,41656,37482,56647
961900,"Sanitary towels (pads) and tampons, napkins and napkin liners for babies, and similar articles, ...",0,252,855,294,341,162,329,599,3836,12475,,54582,66595,88406,98320,93570,103908,101209,92814,85304,67109,,0,48825,60718,45730,44901,49392,103784,66265,74517,123493
854140,"Photosensitive semiconductor devices, incl. photovoltaic cells whether or not assembled in ...",246,7,65,1086,2088,34346,56111,171696,25542,11869,,111706,135239,92150,551223,1617756,2325299,2000068,3507962,4460421,2997497,,871941,1069457,774775,2057994,3157081,4538222,2858611,2458558,1534176,4167365
392690,"Articles of plastics and articles of other materials of heading 3901 to 3914, n.e.s (excluding ...",3830,8082,10155,10855,6751,6386,6913,6627,5511,11847,,333801,355892,438673,486320,520451,562645,667630,750748,817782,1042662,,597151,606904,677041,725967,806235,799922,811688,815578,820315,1106804
780199,Unwrought lead (excluding refined lead and lead containing by weight antimony as the principal ...,603,661,10370,18039,34806,60003,63358,42799,44512,11748,,506,60,241,0,942,795,4223,2465,4236,34161,,188611,179199,222262,189358,227104,283816,326514,254036,242787,298312
853890,"Parts suitable for use solely or principally with the apparatus of heading 8535, 8536 or 8537, ...",2794,2057,1069,836,504,538,1492,1668,5569,11482,,20797,23981,28092,42701,56722,74493,87932,113406,173239,367913,,563658,527561,535942,539884,525590,580041,624511,595925,515484,715560
350691,Adhesives based on polymers of heading 3901 to 3913 or on rubber (excluding products suitable ...,16,3,97,1507,2033,2791,3538,2881,2954,11281,,23038,25480,33560,35239,32859,34980,42998,53598,48006,48802,,50423,54720,59154,63808,57449,73096,92494,97317,86744,136054
852872,"Reception apparatus for television, colour, whether or not incorporating radio-broadcast receivers ...",1260,5120,1820,15,3108,7892,246822,459446,174988,10885,,126561,237058,345204,603392,1207178,1736196,1511458,1604167,1981258,2604020,,630041,557898,734468,524001,531928,687949,944004,880639,332720,21757
722020,"Flat-rolled products of stainless steel, of a width of < 600 mm, not further worked than cold-rolled ...""",513,2609,425,380,120,176,5945,5505,4943,10553,,1492,7448,3116,1869,2600,9965,23294,24619,18466,25204,,84266,111300,145464,149443,113922,113976,150359,151254,92835,111545
91030,"Turmeric """"curcuma""""""""",969,2384,2233,2050,1684,3421,21635,15083,10075,10512,,1886,3047,3144,2905,2421,4501,22785,15608,10335,12394,,3702,9176,12571,20444,25957,27351,44682,34258,31229,31082
392030,"Plates, sheets, foil, film and strip, of non-cellular polymers of styrene, not reinforced, ...",56,0,0,3,84,809,1839,2327,5718,10495,,390,1176,4036,6076,11279,15968,5963,4139,10288,22869,,3639,3683,4431,6772,6917,10615,16234,17872,17113,29393
30462,"Frozen fillets of catfish """"Pangasius spp., Silurus spp., Clarias spp., Ictalurus spp.""""""""",0,1431,4570,5855,6161,13553,19136,16646,6860,10269,,1619728,1584158,1610008,1422509,1530189,1570980,1973718,1721349,1242897,1050681,,0,1431,4622,5855,6161,13553,19163,16686,6860,10269
270111,"Anthracite, whether or not pulverised, non-agglomerated",26863,13078,7419,8785,5502,18475,42180,17002,6431,9824,,1200860,902332,545621,180802,115861,243757,319758,168813,115581,292268,,156833,146659,164542,118291,104758,216803,278931,281001,233478,344678
680221,"Marble, travertine and alabaster articles thereof, simply cut or sawn, with a flat or even ...",6494,3804,1563,5207,12535,6891,6775,10730,5109,9627,,9483,11095,13234,18004,20200,20946,25603,27390,29064,30132,,143553,140490,145231,168609,168431,103382,84594,61207,21473,30913
850110,"Motors of an output <= 37,5 W",7974,8089,6694,8663,12315,12270,11928,22236,8625,9483,,600827,576224,588543,670788,615110,642320,593354,542132,466283,796356,,197555,191608,185978,179221,199424,214346,258986,249112,175913,254040
852852,Monitors capable of directly connecting to and designed for use with an automatic data processing ...,0,0,0,0,0,503,23,5396,4153,9475,,0,0,0,0,0,0,6745,33425,256531,1289749,,0,0,0,0,0,254707,357590,360163,296910,451604
851822,"Multiple loudspeakers, mounted in the same enclosure",2477,1992,59,282,159,340,173,143,1302,9388,,10918,6099,6337,9661,36093,90730,70840,113119,183245,844700,,33183,23138,23884,29043,33525,111313,159544,178875,114954,149441
