Product code,Product label,United States of America's imports from Saudi Arabia-Value in 2012,United States of America's imports from Saudi Arabia-Value in 2013,United States of America's imports from Saudi Arabia-Value in 2014,United States of America's imports from Saudi Arabia-Value in 2015,United States of America's imports from Saudi Arabia-Value in 2016,United States of America's imports from Saudi Arabia-Value in 2017,United States of America's imports from Saudi Arabia-Value in 2018,United States of America's imports from Saudi Arabia-Value in 2019,United States of America's imports from Saudi Arabia-Value in 2020,United States of America's imports from Saudi Arabia-Value in 2021,Saudi Arabia's exports to world- ,Saudi Arabia's exports to world-Value in 2012,Saudi Arabia's exports to world-Value in 2013,Saudi Arabia's exports to world-Value in 2014,Saudi Arabia's exports to world-Value in 2015,Saudi Arabia's exports to world-Value in 2016,Saudi Arabia's exports to world-Value in 2017,Saudi Arabia's exports to world-Value in 2018,Saudi Arabia's exports to world-Value in 2019,Saudi Arabia's exports to world-Value in 2020,Saudi Arabia's exports to world-Value in 2021,United States of America's imports from world- ,United States of America's imports from world-Value in 2012,United States of America's imports from world-Value in 2013,United States of America's imports from world-Value in 2014,United States of America's imports from world-Value in 2015,United States of America's imports from world-Value in 2016,United States of America's imports from world-Value in 2017,United States of America's imports from world-Value in 2018,United States of America's imports from world-Value in 2019,United States of America's imports from world-Value in 2020,United States of America's imports from world-Value in 2021
390120,"Polyethylene with a specific gravity of >= 0,94, in primary forms",2446,22,3098,57,53,5114,3659,1172,2063,9857,,4878602,5111909,6007595,4578761,4154336,4968889,5322149,4787167,3624256,4806767,,1367057,1480163,1569053,1507958,1444665,1391456,1517677,1462254,1280663,2152547
390230,"Propylene copolymers, in primary forms",1,0,336,654,2327,2076,2951,1686,1292,9674,,10008,7742,52902,40279,214167,240242,342847,250284,152168,418558,,177560,224229,290810,278876,368429,315057,517427,426948,307462,701216
290129,"Hydrocarbons, acyclic, unsaturated (excluding ethylene, propene """"propylene"""", butene """"butylene"""" ...""",9398,7225,30849,21756,26794,10606,13029,14736,5453,9433,,136590,144758,120046,80126,39860,12118,21666,17065,6505,11654,,550943,544213,508143,437953,396580,377863,372582,380254,287901,378506
271311,"Petroleum coke, non-calcined",0,0,0,0,0,0,0,0,0,8950,,0,0,0,0,0,0,0,0,0,0,,143589,182207,113899,111870,58280,109932,205372,61890,62833,210039
880330,"Parts of aeroplanes or helicopters, n.e.s. (excluding those for gliders)",933,292,231,607,687,3629,908,1122,542,8265,,420143,270843,251108,330561,340997,304376,541652,0,0,0,,12106270,13234073,15261785,14589061,14602368,14495816,17058732,18234050,12262392,10308209
721049,"Flat-rolled products of iron or non-alloy steel, of a width of >= 600 mm, hot-rolled or cold-rolled ...""",0,0,0,6324,0,2320,2762,4255,4122,8066,,18006,15288,18308,17786,24780,46307,30542,31129,27075,43872,,1343031,1346466,2156672,1943140,1594175,2038715,1829184,1358289,1048913,2433531
560312,"Nonwovens, whether or not impregnated, coated, covered or laminated, n.e.s., of man-made filaments, ...",64,285,2072,6290,7392,2310,5693,3513,12912,7632,,42422,43460,63380,51342,38357,37495,18714,22129,62172,64378,,297524,337309,350653,428627,394605,372041,428692,400813,589399,678456
390110,"Polyethylene with a specific gravity of < 0,94, in primary forms",10172,560,43,354,672,949,1591,2108,2131,7297,,3285565,4016457,4133526,3384236,3582379,3705728,5152007,4147191,3814703,5482878,,481727,621386,685661,593046,573625,645310,763774,688633,642424,1045047
711031,"Rhodium, unwrought or in powder form",0,0,0,0,0,0,0,0,0,6826,,0,0,0,0,0,0,0,0,0,0,,505420,342941,387089,331684,218714,380415,979368,1635004,4357402,9156283
842490,"Parts of fire extinguishers, spray guns and similar appliances, steam or sand blasting machines ...",320,364,54,608,1010,1626,1307,724,5275,5930,,1793,2577,2616,1807,2736,10492,3263,9565,11543,6194,,791862,823900,885485,856645,822520,932978,972481,908827,985766,1133633
850710,"Lead-acid accumulators of a kind used for starting piston engine """"starter batteries"""" (excluding ...""",7009,10856,2534,6780,18181,31801,3569,4222,1969,5567,,62240,43808,35480,51472,56753,62380,25581,27456,19274,30039,,551522,607294,687329,565184,767256,1433262,1384410,1473625,1570497,1822742
700529,"Float glass and surface ground and polished glass, in sheets, but not otherwise worked (excluding ...""",0,0,0,651,13057,2043,2795,4306,2805,5439,,26412,24445,21419,29519,38795,33440,31633,37548,34073,49536,,59536,55330,66147,101788,157501,117149,114859,97513,84968,86740
320611,Pigments and preparations based on titanium dioxide of a kind used for colouring any material ...,39,1355,0,2116,76,90,3281,12052,190,5286,,283101,271157,213820,156219,143230,196013,226415,187974,144394,238344,,541821,485511,481243,419752,405888,479498,568558,489410,574784,593417
390799,"Saturated polyesters in primary forms (excluding polycarbonates, alkyd resins, poly""""ethylene ...""",0,0,0,35,0,1084,31,3746,6717,5240,,91162,76932,45343,42285,48966,47000,19041,15627,11014,26403,,369526,350427,412201,432376,437298,498272,546718,481114,456116,644188
841391,"Parts of pumps for liquids, n.e.s.",13262,16550,15937,12955,10817,7859,15811,7793,2834,5227,,17230,25472,20120,25463,22848,20295,24080,12121,14574,23875,,2956423,2931006,3377183,2921602,2502555,2952816,3449786,3007590,2421994,3055653
841392,"Parts of liquid elevators, n.e.s.",0,0,0,0,0,0,0,0,6535,5121,,62,71,229,771,291,93,19,0,203,0,,7917,8721,8505,9263,12060,10109,22025,22330,18797,19652
290511,"Methanol """"methyl alcohol""""""""",4998,6853,0,5925,2661,9921,1965,3278,2515,4859,,1654758,1556920,1573416,1148504,778136,1077801,1444214,1200022,948943,1594151,,1708504,2000974,1833489,1191853,586199,864014,970922,773032,568195,930163
80410,Fresh or dried dates,495,1731,1093,1152,1716,2639,3752,2755,2954,3846,,74860,102943,129670,140135,141564,182379,201393,229833,245969,322840,,32540,36384,46348,60192,49707,49703,98908,67932,66250,84234
400220,"Butadiene rubber """"BR"""", in primary forms or in plates, sheets or strip""""",0,0,0,0,0,1441,1455,874,1752,3829,,0,0,42,0,12618,58585,58152,45690,50069,90567,,218172,118211,173565,127955,138388,159726,153787,135352,92858,120528
290516,"Octanol """"octyl alcohol"""" and isomers thereof""""",13805,13114,11689,5420,3897,4637,5473,3506,3553,3826,,18324,14530,9929,6540,6039,6915,3903,3384,2075,3491,,55547,62436,85829,46978,25533,51681,69419,62297,53037,120862
291612,Esters of acrylic acid,0,0,11389,4190,0,1328,1139,531,1776,3787,,0,703,4096,6428,5438,10407,60552,17152,9184,19317,,315946,269437,330031,246412,245910,277419,300276,250120,188098,369339
621010,"Garments made up of felt or nonwovens, whether or not impregnated, coated, covered or laminated ...",0,0,24,0,0,0,0,0,1655,3544,,11907,14007,11568,15628,14684,10526,13137,13583,11026,10075,,660818,692187,742375,815281,697820,696278,791734,842285,4679535,1582039
721070,"Flat products of iron or non-alloy steel, of a width of >= 600 mm, hot-rolled or cold-rolled ...""",0,0,0,0,0,0,429,423,826,3442,,29452,26324,19128,13310,6672,1787,2115,747,6736,23320,,427141,363503,535044,557062,402738,509806,498078,509062,621767,1228342
390740,"Polycarbonates, in primary forms",0,0,563,88,258,2858,81,197,26,3331,,450858,317261,430570,332849,278455,355918,484363,607111,486435,373282,,231605,216332,231178,264189,260440,412835,320203,372405,286338,557493
830249,"Base metal mountings, fittings and similar articles (excluding locks with keys, clasps and ...",0,138,310,208,223,210,62,191,129,3295,,387,442,389,870,877,2311,840,246,543,356,,420725,439253,490646,560235,576957,611787,673853,706389,563429,660090
750300,"Waste and scrap, of nickel (excluding ingots or other similar unwrought shapes, of remelted ...",16,0,197,608,41,343,6555,4314,1849,3282,,8029,37873,38098,21222,28019,35479,32119,43654,31093,57839,,211430,151509,219814,176309,146356,218800,324067,334128,183829,224587
722220,"Other bars and rods of stainless steel, not further worked than cold-formed or cold-finished",3127,3115,2018,2001,1479,2061,2428,3378,2614,3033,,1688,2481,1993,1826,1194,34,2669,3205,2820,2963,,429269,360318,419501,379608,251208,376580,371870,327834,237352,329217
570390,"Carpet tiles of vegetable textile materials or coarse animal hair, tufted """"needle punched"""", ...""",1815,1710,265,0,0,0,0,1,2828,2848,,703,575,119,64,34,241,50,536,2346,5,,100363,96879,119221,117866,115641,121488,142721,117961,122634,202762
292419,"Acyclic amides, incl. acyclic carbamates, and their derivatives, and salts thereof (excluding ...",2966,5563,6094,5908,5947,4428,2518,3158,3920,2734,,424,346,110,3025,123,15,101,15537,52620,128676,,191089,200133,198464,225262,248700,283836,291882,262074,249439,325296
841199,"Parts of gas turbines, n.e.s.",134,69,124,87,234,1731,81,1615,5268,2590,,74594,69257,110285,122630,197303,249664,342248,2433,3270,11666,,3632536,3296536,3166823,3226410,3303507,3010084,2183784,2451409,2160023,2404421
630532,"Flexible intermediate bulk containers, for the packing of goods, of synthetic or man-made textile ...",70,140,121,77,126,15,2334,225,606,2491,,0,0,0,2,23,104,168,0,309,27,,292637,323871,363514,371485,320229,373002,448730,423617,389670,518717
760200,"Waste and scrap, of aluminium (excluding slags, scale and the like from iron and steel production, ...",42281,11726,4086,10033,1102,17199,3273,16,0,2315,,144839,258097,293256,229055,246158,302291,276477,180266,161699,321928,,883358,814785,902227,781295,783307,1021284,1108319,805266,668995,1224520
392020,"Plates, sheets, film, foil and strip, of non-cellular polymers of ethylene, not reinforced, ...",1657,1826,1690,827,1859,3058,624,143,102,2262,,79788,84882,100163,113004,114711,120541,106831,84293,102322,194582,,757851,771258,851978,786515,809109,841040,895858,864718,847347,1150867
220299,"Non-alcoholic beverages (excl. water, fruit or vegetable juices, milk and beer)",0,0,0,0,0,952,1592,1428,2961,2145,,0,0,0,0,0,0,0,0,0,41082,,0,0,0,0,0,891560,830187,734345,841491,1059309
700991,"Glass mirrors, unframed (excluding rear-view mirrors for vehicles, optical mirrors, optically ...",0,0,0,0,15,0,64,414,630,1957,,7737,6191,1981,899,565,150,459,2555,6325,8004,,50551,64301,71912,78726,89279,103555,125988,112600,108914,124014
711319,"Articles of jewellery and parts thereof, of precious metal other than silver, whether or not ...",5,80,3,254,133,51,68,268,1109,1731,,591688,587450,491954,296199,277453,390843,332874,30930,148046,41544,,4854946,5233169,5555897,5897064,6999673,7455219,7063724,7289230,6349778,11852296
730419,"Line pipe of a kind used for oil or gas pipelines, seamless, of iron or steel (excluding products ...",10789,14026,5198,5826,193,2469,4781,12265,821,1693,,150907,91751,146079,123957,75329,110447,136696,25807,19853,32244,,814401,760235,705201,532017,234903,385654,503974,437011,283184,217471
854449,"Electric conductors, for a voltage <= 1.000 V, insulated, not fitted with connectors, n.e.s.",0,0,0,0,68,9,61,12,0,1522,,14702,1795,2287,4238,3066,4228,18591,34558,19985,21601,,1835061,1901314,2071137,1976924,1710318,1959227,2024794,1813816,1818761,2742792
841459,"Fans (excluding table, floor, wall, window, ceiling or roof fans, with a self-contained electric ...",65,22,12,60,11,40,18,708,424,1508,,10578,14949,9378,1550,515,774,2608,8975,2210,1172,,1347847,1417787,1609926,1741806,1774817,1996822,2280125,2258642,2190118,2716461
390140,"Ethylene-alpha-olefins copolymers, having a specific gravity of < 0,94 , in primary forms",0,0,0,0,0,20,5,5,0,1440,,0,0,0,0,0,0,0,0,0,394572,,0,0,0,0,0,1125075,2029626,1611280,1425050,2530938
903190,"Parts and accessories for instruments, appliances and machines for measuring and checking, ...",12,11,13,4,978,286,58,62,83,1436,,251,210,1201,2225,1819,1598,1475,0,0,24,,822878,814488,835874,858225,842719,938531,1090758,1132206,999299,1260783
290519,"Saturated monohydric acyclic alcohols (excluding methanol """"methyl alcohol"""", propan-1-ol ...""",2667,4338,2079,3457,4555,3238,2807,3093,2127,1353,,156979,181373,183713,137430,96833,132165,163384,190669,123413,187011,,87183,112252,134043,97739,105329,119230,134311,101027,86988,96745
190590,"Bread, pastry, cakes, biscuits and other bakers' wares, whether or not containing cocoa; communion ...",511,717,1040,739,869,764,843,756,1111,1192,,230285,274999,258062,271886,221945,214333,168876,186879,195749,217926,,1913946,2066602,2269150,2594704,2861883,3200404,3608843,3934369,4212368,5127185
841191,"Parts of turbojets or turbopropellers, n.e.s.",5,15,38,115,23496,43,10,107,416,1141,,811,6593,5626,33203,27960,14122,4604,0,0,0,,10363016,11273825,12132580,12584051,12180613,13619339,14280649,15566416,9390307,9624664
848180,"Appliances for pipes, boiler shells, tanks, vats or the like (excluding pressure-reducing ...""",87,43,113,275,195,188,172,81,73,1109,,10391,7260,14203,19095,19286,14422,27138,2220,2822,10026,,7395870,7677434,8555758,8339420,7847296,8460070,9479565,8649164,7521799,8918139
842139,Machinery and apparatus for filtering or purifying gases (excl. isotope separators and intake ...,2247,3885,133,0,0,122,65,29,1096,1100,,4497,1610,3152,2889,3246,5042,4084,3411,712,30,,2557520,2598887,2957942,2996345,2870512,3023144,3421054,3589182,4520463,5878978
700729,Laminated safety glass (excluding glass of size and shape suitable for incorporation in motor ...,0,0,0,0,0,48,184,60,102,1088,,641,148,124,863,675,342,175,124,148,137,,88534,88464,187860,161762,154741,145415,150304,152786,113015,136886
841582,"Air conditioning machines incorporating a refrigerating unit but without a valve for reversal ...""",7,0,25,199,87,35,8,7,0,1051,,3758,1997,1828,217,182,1561,630,401,927,1106,,855974,909079,1107338,1085945,1323707,1485913,1712671,1634281,1532282,1852542
382499,"Chemical products and preparations of the chemical or allied industries, incl. those consisting ...",0,0,0,0,0,0,10,78,722,1051,,0,0,0,0,0,0,0,0,0,23867,,0,0,0,0,0,2151486,2476311,2761180,4301611,4210082
903289,"Regulating or controlling instruments and apparatus (excluding hydraulic or pneumatic, manostats, ...",2218,290,330,143,233,108,368,522,1070,1030,,4338,2277,2929,2673,2860,1975,4015,122,1052,1,,3203060,3058806,3126714,3291640,3293448,3281867,3066592,2893120,2319289,2423402
490199,"Printed books, brochures and similar printed matter (excluding those in single sheets; dictionaries, ...",955,867,791,802,773,764,527,736,535,1004,,16565,21547,18218,20957,24705,17763,12735,14342,2737,3129,,1711855,1642303,1703657,1756421,1735773,1751454,1855097,1842341,1378891,1751794
330300,"Perfumes and toilet waters (excluding aftershave lotions, personal deodorants and hair lotions)",730,1359,615,1201,1235,1660,1804,3407,569,951,,25634,28747,30737,43093,63977,80973,85615,29633,19817,36105,,1961435,2085433,2193858,2092284,2099546,2369665,2523889,2472305,2139711,3091965
721240,"Flat-rolled products of iron or non-alloy steel, of a width of < 600 mm, hot-rolled or cold-rolled ...""",0,0,0,0,0,0,220,44,1542,938,,0,65,139,31,13,50,42,0,26,30,,53604,40151,50925,56832,58653,65466,64491,46145,71081,104513
843120,"Parts of fork-lift trucks and other works trucks fitted with lifting or handling equipment, ...",0,0,6,569,6,540,2286,414,582,797,,346,455,140,311,156,299,174,600,0,1,,958241,1045658,1180415,1148809,969831,1221980,1461013,1381658,1064969,1605508
841330,"Fuel, lubricating or cooling medium pumps for internal combustion piston engine",540,488,1000,1020,985,1061,364,437,630,796,,48,323,2150,1094,2232,1229,968,123,4,95,,2277082,2275206,2546174,2573871,2411992,2513070,2726134,2583055,2229814,2725240
262019,"Slag, ash and residues containing mainly zinc (excluding hard zinc spelter)",27,287,319,51,41,176,249,487,240,793,,101,14917,670,906,239,51,327,0,0,0,,22876,15936,13986,8819,6912,13368,9177,7201,7096,18441
381700,Mixed alkylbenzenes and mixed alkylnaphthalenes produced by the alkylation of benzene and naphthalene ...,558,835,1058,569,454,327,1026,182,3653,706,,275681,329007,331889,222795,202302,239543,247465,217414,272490,573373,,135041,123757,135318,118780,106869,101811,101093,81335,75914,104826
841590,"Parts of air conditioning machines, comprising a motor-driven fan and elements for changing ...",10,30,14,167,41,79,577,3568,100,700,,8795,9267,16749,14473,9634,26307,32057,23683,13272,11781,,2645987,3125309,4000769,3662237,3806395,4218522,4929398,5564660,5389714,7138651
160521,"Shrimps and prawns, prepared or preserved, not in airtight containers (excluding smoked)",0,0,0,0,0,0,0,1576,637,675,,0,0,0,0,1,0,0,0,0,0,,955679,1052792,1318650,1183356,1195675,1413796,1428190,1235941,1626018,1863887
850490,"Parts of electrical transformers and inductors, n.e.s.",25,5,0,0,0,3,0,52,2148,665,,2577,3753,516,4483,3780,3199,5567,329,170,27,,999210,991448,1005351,1086806,1190721,1199853,1280272,1335929,1439433,1688704
293359,"Heterocyclic compounds with nitrogen hetero-atom[s] only, containing a pyrimidine ring, whether ...""",1461,1951,1990,309,883,1314,859,504,667,641,,0,243,120,0,777,2031,3892,4875,2113,1605,,3648506,4438024,3905775,3511284,2480176,2886077,4849708,4594934,5067871,4336687
390610,"Poly""""methyl methacrylate"""", in primary forms""""",0,0,0,0,0,0,0,0,0,606,,76,705,208,0,58,7339,150922,152590,146977,235767,,51118,57616,55409,58687,46950,71404,66180,69008,65302,59700
293211,Tetrahydrofuran,1840,1431,91,1810,1824,235,395,538,99,576,,7652,3657,4340,9829,9899,17784,17521,11902,19373,26409,,19949,23938,21913,15400,12383,8984,12197,5376,3134,22788
290376,"Bromochlorodifluoromethane, bromotrifluoromethane and dibromotetrafluoroethanes",69,0,0,0,455,0,362,926,0,572,,0,0,0,0,280,0,827,1204,0,957,,804,1003,727,400,2683,3604,3133,4167,2593,2439
290290,"Cyclic hydrocarbons (excluding cyclanes, cyclenes, benzene, toluene, xylenes, styrene, ethylbenzene ...",0,0,0,0,84,66,1080,1386,1103,563,,49,70,7616,7256,9091,5105,10374,9953,4432,10026,,133974,120888,128178,106374,73991,70577,85098,72047,67579,113405
391732,"Flexible tubes, pipes and hoses of plastics, not reinforced or otherwise combined with other ...",0,4,23,3,0,0,1,210,660,545,,17120,23729,10649,8667,10416,11352,9997,7109,8187,5642,,344049,347439,362407,386600,362138,397883,438999,418812,406591,508253
281511,"Sodium hydroxide """"caustic soda"""" solid""""",0,0,0,0,0,0,87,236,41,516,,36220,33238,25248,18789,19489,29539,29145,25947,14712,20747,,25009,23653,26953,21695,21558,23193,35353,26863,18334,27986
392010,"Plates, sheets, film, foil and strip, of non-cellular polymers of ethylene, not reinforced, ...",1313,321,262,330,182,163,165,496,201,510,,115873,162878,142510,158465,206605,195776,226434,173908,184742,303841,,1206739,1278088,1356159,1370919,1365535,1538831,1703943,1619387,1704891,2176651
