Product code,Product label,Viet Nam's imports from China-Value in 2012,Viet Nam's imports from China-Value in 2013,Viet Nam's imports from China-Value in 2014,Viet Nam's imports from China-Value in 2015,Viet Nam's imports from China-Value in 2016,Viet Nam's imports from China-Value in 2017,Viet Nam's imports from China-Value in 2018,Viet Nam's imports from China-Value in 2019,Viet Nam's imports from China-Value in 2020,Viet Nam's imports from China-Value in 2021,China's exports to world- ,China's exports to world-Value in 2012,China's exports to world-Value in 2013,China's exports to world-Value in 2014,China's exports to world-Value in 2015,China's exports to world-Value in 2016,China's exports to world-Value in 2017,China's exports to world-Value in 2018,China's exports to world-Value in 2019,China's exports to world-Value in 2020,China's exports to world-Value in 2021,Viet Nam's imports from world- ,Viet Nam's imports from world-Value in 2012,Viet Nam's imports from world-Value in 2013,Viet Nam's imports from world-Value in 2014,Viet Nam's imports from world-Value in 2015,Viet Nam's imports from world-Value in 2016,Viet Nam's imports from world-Value in 2017,Viet Nam's imports from world-Value in 2018,Viet Nam's imports from world-Value in 2019,Viet Nam's imports from world-Value in 2020,Viet Nam's imports from world-Value in 2021
30579,"Fish fins and other edible fish offal, smoked, dried, salted or in brine (excluding heads, ...",0,0,0,0,0,30,54,6,54,,,1441,1489,2176,2090,2572,3063,3747,4931,5825,6654,,80,42,17,2048,2152,4178,4890,4547,3583,1680
30619,"Frozen crustaceans, even smoked, fit for human consumption, whether in shell or not, incl. ...",25,6,0,0,0,0,0,0,100,,,6933,13958,17587,14713,11879,11184,18440,7442,7016,9385,,1686,36,3,0,110,194,0,115,117,529
30627,"Shrimps and prawns, even smoked, whether in shell or not, live, fresh, chilled, dried, salted ...",0,0,68,79,0,0,0,0,0,,,75148,91817,103791,127700,145110,0,0,0,0,0,,9674,9453,17067,14558,14554,16301,0,0,0,
30732,"Mussels """"Mytilus spp., Perna spp."""", frozen, even in shell""""",0,0,0,0,0,0,39,122,169,,,0,0,0,0,0,6328,7179,7883,7328,7018,,0,0,0,0,0,0,995,2155,1306,783
30751,"Octopus """"Octopus spp."""", live, fresh or chilled""""",0,0,0,0,0,0,3,0,0,,,57938,61865,98451,84181,92750,99686,117870,112521,114909,109450,,0,4,0,0,1,193,25,0,79,
30789,"Smoked, frozen, dried, salted or in brine, abalone """"Haliotis spp."""", even in shell""""",0,0,4,3,4,16,0,0,0,,,77319,73878,114864,112018,74592,0,0,0,0,0,,0,30,288,165,649,238,0,0,0,
40310,"Yogurt, whether or not flavoured or containing added sugar or other sweetening matter, fruits, ...",0,0,0,0,0,0,48,1521,2525,,,234,68,38,84,164,46,769,3628,5457,5571,,6506,4899,7218,7193,7243,5964,4203,7019,7929,12694
40721,"Fresh eggs of domestic fowls, in shell (excluding fertilised for incubation)",0,0,0,0,0,0,0,0,0,,,111467,106455,121675,119721,117512,112846,109636,111637,104717,106695,,0,0,0,0,0,0,0,0,0,
40891,"Dried birds' eggs, not in shell, whether or not sweetened (excluding egg yolks)",100,44,0,232,0,0,0,0,0,,,8411,7555,7238,6365,4615,2459,966,808,771,851,,1280,1850,1705,1934,1814,2957,3353,3564,3143,4205
50800,"Coral and similar materials, shells of molluscs, crustaceans or echinoderms, cuttle-bone, powder ...",285,275,307,564,473,475,493,605,484,,,4711,5107,5385,7281,6670,5678,7883,10533,7963,7239,,5102,4571,5591,6028,5873,5669,4044,5943,5422,4289
60420,"Foliage, branches and other parts of plants, without flowers or flower buds, and grasses, mosses ...",6,0,0,0,0,0,0,35,78,,,32183,31451,31851,31002,35553,33425,36109,35780,34912,31504,,48,3,2,26,45,44,36,74,169,916
70190,Fresh or chilled potatoes (excluding seed),9536,11127,10325,9652,14029,18792,13957,18850,22367,,,131213,126645,270985,227406,226260,279997,259664,396697,287829,195684,,11367,12908,11256,10380,15287,21318,16476,21561,25788,124652
70529,Fresh or chilled chicory (excluding witloof chicory),0,0,0,20,1,13,40,168,54,,,22,23,41,65,93,156,197,238,147,233,,0,0,0,21,2,14,40,168,54,3
70610,Fresh or chilled carrots and turnips,8925,9312,9812,12469,13839,16834,15354,17353,19795,,,273686,287250,277967,322583,353483,364641,397172,368201,351395,372607,,8949,9341,9847,12538,13866,16896,15407,17436,19932,92807
70810,"Fresh or chilled peas """"Pisum sativum"""", shelled or unshelled""""",32,185,298,439,466,233,176,292,119,,,29230,34238,29924,31589,32851,23743,23291,26692,30316,20863,,32,209,301,468,467,234,176,292,119,4484
71021,"Shelled or unshelled peas """"Pisum sativum"""", uncooked or cooked by steaming or by boiling ...""",129,232,153,220,251,245,384,413,387,,,21663,19342,17892,16824,16291,19627,17930,16147,16905,11906,,231,424,353,432,424,531,676,702,633,459
71090,"Mixtures of vegetables, uncooked or cooked by steaming or by boiling in water, frozen",13,58,49,104,100,188,240,349,547,,,52618,55591,51675,47992,47929,48239,51989,53624,57638,52818,,28,58,59,110,109,232,346,394,577,750
71140,"Cucumbers and gherkins provisionally preserved, e.g. by sulphur dioxide gas, in brine, in sulphur ...",0,0,0,0,0,18,6,15,0,,,19316,17105,16070,15826,13724,13863,13335,11957,12622,11275,,4,13,123,8,13,20,186,360,12,124
71239,"Dried mushrooms and truffles, whole, cut, sliced, broken or in powder, but not further prepared ...""",3759,4156,7279,8315,8683,34525,136442,131299,19749,,,601975,1274011,1239074,1426061,1548249,2046405,2322693,1653725,1016268,833406,,3807,4209,7306,8344,8782,34646,136560,131661,20034,83481
71320,"Dried, shelled chickpeas """"garbanzos"""", whether or not skinned or split""""",0,0,0,0,0,0,0,0,3,,,11,7,21,12,11329,4180,429,174,108,78,,189,1117,76,22,14,58,87,84,188,486
71332,"Dried, shelled small red """"Adzuki"""" beans """"Phaseolus or Vigna angularis"""", whether or not ...""",267,172,120,101,187,71,218,566,517,,,58531,68071,80939,67025,69124,57959,53342,60659,64366,60888,,276,233,263,394,276,1772,1506,633,916,9688
71335,"Dried, shelled cow peas """"Vigna unguiculata"""", whether or not skinned or split""""",48,0,113,105,122,99,49,168,256,,,7264,7677,3362,1368,1846,1455,1259,1097,1036,1619,,48,0,113,127,6201,219,245,547,560,1010
71340,"Dried, shelled lentils, whether or not skinned or split",0,0,0,0,2,0,70,0,5,,,11277,12496,12233,14763,16639,11980,9828,6335,7565,4494,,7,0,5,7,81,38,140,81,139,374
80131,"Fresh or dried cashew nuts, in shell",0,0,448,0,0,0,61,0,0,,,1,976,922,3,74,40,0,5,3,2,,321547,589723,627454,1105038,1626834,2523137,1900260,1668415,1418765,363369
80212,"Fresh or dried almonds, shelled",51,166,103,70,109,126,96,216,236,,,528,2158,4319,3559,2047,1752,1194,2072,1893,1025,,969,1106,1569,3692,16208,28089,99311,91228,75453,88981
80410,Fresh or dried dates,0,0,0,0,0,0,0,0,0,,,34,44,0,11,56,180,0,50,29,11,,169,394,280,281,410,396,1010,1592,774,1638
80440,Fresh or dried avocados,0,0,0,0,0,0,0,0,0,,,0,1,0,0,0,0,2,29,84,49,,39,42,54,46,68,0,0,0,0,27
80620,Dried grapes,1167,1068,956,1466,1594,893,1075,1290,780,,,73901,83390,74344,56891,62244,29387,45736,74200,54596,37115,,4409,5651,4912,5784,5819,4950,9128,14527,9935,15269
80921,"Fresh sour cherries """"Prunus cerasus""""""""",0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,,1508,1772,3015,3344,3879,2982,5026,3227,1339,1571
81110,"Frozen strawberries, uncooked or cooked by steaming or boiling in water, whether or not sweetened",281,68,385,84,156,366,1057,872,574,,,170309,132578,107593,92788,107520,110103,102762,82137,78549,70858,,364,234,565,124,174,558,1237,2039,914,1220
81290,"Fruit and nuts, provisionally preserved, e.g. by sulphur dioxide gas, in brine, in sulphur ...",0,1,0,9,23,4,36,10,16,,,55589,59959,53667,40280,47495,55589,52347,47255,34439,37473,,4,3,0,9,26,89,36,17,85,46
81350,Mixtures of nuts or dried fruits,0,0,0,49,103,159,335,41,32,,,517,2157,1758,1546,887,1517,1117,1344,2828,7133,,184,26,20,117,219,320,417,133,183,233
90121,Roasted coffee (excluding decaffeinated),0,0,0,155,676,0,1,24,4,,,18199,22448,23335,47361,327137,313393,38237,19603,11484,11058,,879,923,1636,1576,2251,2625,2418,2510,1887,3800
90240,"Black fermented tea and partly fermented tea, whether or not flavoured, in immediate packings ...",114,1147,3448,2854,2503,20,4928,4020,3290,,,156227,172761,160108,181579,213988,227668,284371,376908,342936,451548,,1544,2517,4404,4330,3547,1861,7557,7454,6138,90559
90412,"Pepper of the genus Piper, crushed or ground",0,0,84,192,135,258,304,531,1800,,,11741,6257,4252,5251,8043,9358,10226,6748,8460,7383,,99,142,299,1172,1391,1270,656,723,2006,2007
90811,"Nutmeg, neither crushed nor ground",0,0,10,15,14,2,3,6,13,,,292,1077,803,1247,1229,1165,790,1055,1159,1086,,8956,9139,8413,8072,5653,9819,10472,10279,10695,17281
90822,"Mace, crushed or ground",0,0,4,0,0,0,0,0,0,,,0,0,0,0,0,2,0,0,0,0,,0,0,137,145,47,10,14,0,0,481
90831,"Cardamoms, neither crushed nor ground",0,2,4,7,11,0,1,2,1,,,0,0,0,4,33,5,0,2,33,63,,0,702,230,76,98,718,77,71,128,7506
90961,"Juniper berries and seeds of anise, badian, caraway or fennel, neither crushed nor ground",328,544,765,480,566,553,1181,714,717,,,18353,16900,18856,18892,19801,27518,48971,48438,62948,97514,,481,680,1109,952,816,764,1363,1348,1247,41092
91099,"Spices (excluding pepper of the genus Piper, fruit of the genus Capsicum or of the genus Pimenta, ...""",11,6,9,6,7,6,3,89,559,,,23543,20283,19186,24438,22102,31603,47773,61688,76754,89733,,171,294,321,583,102,241,217,534,936,2445
100111,Durum wheat seed for sowing,0,0,0,0,0,0,0,0,0,,,0,0,0,0,1,1,0,0,0,0,,120,0,0,0,0,0,0,0,0,
100620,Husked or brown rice,0,4,0,0,0,0,0,0,0,,,34251,169848,139324,123154,126134,121287,128467,118436,168867,168494,,9,6,51,4,316,78,106,154,439,240
110813,Potato starch,2,4,4,1,3,3,901,133,4,,,5273,3490,2824,751,656,1909,1861,5915,1961,1140,,4403,4347,4161,5279,7100,7619,9078,9756,12569,8291
110820,Inulin,0,0,0,0,0,0,0,0,6,,,205,489,825,1413,997,1595,3039,2406,7418,14221,,330,452,327,3234,4711,5092,3047,4874,4494,1656
120230,"Groundnut seed, for sowing",0,0,0,0,0,0,0,0,0,,,0,3,2,35,97,141,54,38,25,5,,0,0,0,0,0,0,0,0,0,605
120730,Castor oil seeds,0,0,0,0,0,0,0,0,0,,,84,49,8,107,29,13,136,13,7,38,,0,0,0,0,0,0,0,0,0,3475
120760,"Safflower """"Carthamus tinctorius"""" seeds""""",0,0,0,0,0,0,0,13,3,,,1349,121,23,114,133,6,18,700,256,42,,0,0,0,0,0,0,0,66,127,154
121300,"Cereal straw and husks, unprepared, whether or not chopped, ground, pressed or in the form ...",0,0,0,0,2,0,0,0,0,,,24289,20531,17133,12028,2771,3723,3080,3170,2958,2122,,56,50,65,30,38,22,15,14,8,119
130190,"Lac; natural gums, resins, gum-resins, balsams and other natural oleoresins (excluding gum ...",230,451,406,405,240,359,465,493,372,,,11223,13360,8083,4604,3959,4070,6252,7233,8503,8564,,3246,6266,5831,8777,12235,16759,25949,22270,16483,20628
130211,Opium,2,0,0,0,0,0,2,0,0,,,,,,,,,,,,,,7,25,0,1,0,9,2,16,1,54
130213,Extracts of hops,2,0,0,0,0,0,0,12,1765,,,34,500,1630,729,874,2282,4561,3141,2374,1869,,5114,5315,6178,9311,9463,12062,18347,18310,14780,12533
150710,"Crude soya-bean oil, whether or not degummed",0,0,0,1543,0,0,7679,724,81,,,28956,33099,2467,2507,4412,10985,27685,13188,15736,34862,,41243,70521,83310,117267,47371,33897,33531,38582,51705,62412
151521,Crude maize oil,0,0,0,0,0,0,0,0,0,,,1201,0,264,0,1,968,0,0,0,0,,0,0,0,0,15,0,0,0,23,152
151530,"Castor oil and fractions thereof, whether or not refined, but not chemically modified",12,9,10,11,15,21,10,15,33,,,91,103,123,189,142,160,152,164,1095,1762,,1077,1228,1270,1152,1285,1668,1743,1872,1568,2616
151790,Edible mixtures or preparations of animal or vegetable fats or oils and edible fractions of ...,24,44,91,154,296,411,391,606,642,,,20699,20913,22268,20920,23002,27558,25540,31130,31644,27494,,34762,28572,28204,24200,27723,32134,34578,32165,24425,62717
152190,"Beeswax, other insect waxes and spermaceti, whether or not refined or coloured",9,4,97,31,1,47,20,205,106,,,40690,50494,60205,64391,58216,54819,54072,47106,42186,40000,,446,446,404,497,193,359,492,581,343,462
160100,"Sausages and similar products, of meat, meat offal, blood or insects; food preparations based ...",0,0,0,0,0,0,0,0,0,,,195453,183527,200401,179214,149988,184227,139481,115134,84637,80871,,427,203,451,1322,801,591,1148,979,945,2821
160241,"Hams of swine and cuts thereof, prepared or preserved",0,0,0,0,0,0,0,1,3,,,12156,14147,11231,12214,10425,9841,11249,8427,3408,3577,,4,8,1,174,171,249,275,416,361,1993
160510,"Crab, prepared or preserved (excluding smoked)",0,0,0,0,0,0,29,1,0,,,780511,679247,705347,685640,686600,737038,699983,333833,292244,337949,,70,48,161,45,93,397,40,39,133,760
170290,"Sugars in solid form, incl. invert sugar and chemically pure maltose, and sugar and sugar syrup ...",8755,8924,12337,12934,13706,13891,14284,13632,15661,,,208711,226759,265564,236374,268800,280042,312606,329759,339714,333035,,21244,26226,28274,27193,36852,34121,33233,34248,35927,28830
170390,Beet molasses resulting from the extraction or refining of sugar,516,0,0,0,7,12,16,25,17,,,3628,1777,8627,10825,2676,12,14,18,21,23,,17328,5969,7479,11865,6804,10273,3400,7893,8091,11923
170410,"Chewing gum, whether or not sugar-coated",2563,1400,662,0,0,759,62,154,279,,,51041,71595,92890,86605,91693,88435,112654,77226,65665,69598,,24232,21327,16445,13603,12922,12687,10940,11889,10766,10835
180690,"Chocolate and other preparations containing cocoa, in containers or immediate packings of <= ...",1937,2274,2722,1970,2811,3832,5176,4603,2237,,,174861,212414,278431,288146,270485,221779,231287,226743,187051,247779,,4097,4853,5889,7168,8951,12292,18080,21456,19012,103421
190110,"Food preparations for infant use, put up for retail sale, of flour, groats, meal, starch or ...",0,55,196,119,34,54,13,200,27,,,3610,2993,6919,8437,32897,75966,296658,391771,178695,236088,,268890,273827,237101,230898,258559,290454,230119,271836,286014,304316
190510,Crispbread,0,0,0,0,0,0,0,0,0,,,0,0,21,4,0,0,0,0,0,5,,293,526,652,604,228,62,29,107,214,2506
200390,"Mushrooms and truffles, prepared or preserved otherwise than by vinegar or acetic acid (excluding ...""",149,79,123,953,773,1179,1160,1209,1914,,,116073,248727,212096,201539,303483,312298,375675,629587,660846,630133,,172,142,491,1136,869,1221,1194,1296,2040,143518
200591,"Bamboo shoots, prepared or preserved otherwise than by vinegar or acetic acid (excluding frozen)",0,80,17,92,128,176,236,206,523,,,240926,245675,242705,277615,303738,284633,294432,262741,215300,202200,,4,88,22,97,150,204,293,260,566,12583
200710,"Homogenised preparations of jams, jellies, marmalades, fruit or nut pur?es and nut pastes, ...",357,0,0,0,0,0,0,0,0,,,3996,4050,1255,1569,3321,5979,9666,7555,5021,3974,,1141,573,461,218,246,289,367,431,294,472
200939,"Single citrus fruit juice, unfermented, Brix value > 20 at 20¡ÆC, whether or not containing ...",1,0,0,0,0,0,0,0,1,,,394,783,1573,1654,798,1710,1695,1546,2073,1324,,340,215,394,426,582,767,247,323,329,205
200981,"Cranberry """"Vaccinium macrocarpon, Vaccinium oxycoccos, Vaccinium vitis-idaea"""" juice, unfermented, ...""",0,0,0,33,22,0,0,0,0,,,34,6,11,35,203,137,87,55,27,93,,332,65,64,322,361,240,210,467,414,462
210220,Inactive yeasts; other dead single-cell micro-organisms (excluding packaged as medicaments),784,486,490,2725,3860,4017,3084,3127,2806,,,13130,16427,24231,38993,37748,49023,56203,61763,71086,67054,,6285,7898,3960,3643,5580,5543,5722,5978,5910,11269
210410,Soups and broths and preparations therefor,3,1,1,0,1,2,3,36,106,,,67202,66510,73736,72641,74528,68249,69049,76521,79835,113251,,615,557,579,881,1329,1332,1879,1781,2020,6690
210690,"Food preparations, n.e.s.",14995,14682,16888,23112,20806,25045,26198,29131,32504,,,895935,1017101,1084649,1083912,1174307,1243794,1533543,1758847,1963451,2085147,,227800,369031,426041,476915,509664,526542,586243,798919,795842,949841
220300,Beer made from malt,3,4,5,43,141,23,49,146,556,,,141054,162886,177038,183272,192685,227599,252487,255317,242754,253613,,3377,3358,11684,7524,8194,11185,12614,15914,7135,25009
220510,"Vermouth and other wine of fresh grapes, flavoured with plants or aromatic substances, in containers ...",0,0,0,0,0,0,0,0,0,,,839,893,739,705,675,644,900,739,939,318,,159,118,28,15,38,2,51,28,1,761
230110,"Flours, meals and pellets, of meat or offal, unfit for human consumption; greaves",0,0,6,23,12,0,760,0,0,,,138,10,214,388,7,3562,5793,179,44,123,,203934,267427,264428,273332,246216,242169,328544,349234,379548,298877
230330,Brewing or distilling dregs and waste,273,0,86,0,0,0,220,201,308,,,12958,11230,6733,4124,2591,3662,1095,1280,4562,12202,,146839,128261,176657,148350,212040,142919,234197,303727,270206,392174
230641,"Oilcake and other solid residues, whether or not ground or in the form of pellets, resulting ...""",2286,1209,0,474,1592,0,0,0,0,,,21944,26349,14185,3026,31186,3864,4929,3786,4202,1971,,26500,34124,39043,30083,29518,25263,22270,13492,8887,18082
240399,"Chewing tobacco, snuff and other manufactured tobacco and manufactured tobacco substitutes, ...""",0,0,0,0,0,0,0,0,0,,,121,16700,11590,21574,16972,501,455,2179,3875,8479,,0,0,0,30,75,134,209,394,604,2108
250200,Unroasted iron pyrites,0,0,0,4,0,0,5,13,29,,,5109,4030,5394,5110,4463,4830,5894,8631,4432,4157,,0,0,6,16,0,0,6,13,38,136
250700,"Kaolin and other kaolinic clays, whether or not calcined",7832,7336,8629,10333,9688,10636,12420,12451,12375,,,117064,108370,120731,110780,113085,114517,114865,117426,141486,158721,,15806,14601,18156,19369,19730,22533,27072,26128,26480,36003
251010,"Natural calcium phosphates and natural aluminium calcium phosphates, natural and phosphatic ...",0,0,0,0,0,0,0,0,0,,,88039,51003,39531,25719,27489,45246,42322,33843,36741,36496,,2,139,2,0,110,74,4,104,70,
251020,"Natural calcium phosphates and natural aluminium calcium phosphates, natural and phosphatic ...",54,34,31,32,0,9,0,1,1,,,3510,9403,5616,5011,3895,0,0,34,976,971,,1587,932,567,575,458,490,304,227,266,77
251611,"Granite, crude or roughly trimmed (excluding already with the characteristics of setts, curbstones ...",0,0,27,3,1,15,142,224,274,,,23396,29984,26054,34029,21103,16861,24676,14929,19164,13069,,3,342,1262,2973,2462,882,808,229,274,4842
251749,"Granules, chippings and powder, whether or not heat-treated, of travertine, ecaussine, alabaster, ...",1446,2049,652,862,1826,2385,952,1612,846,,,35095,57686,75176,89126,78743,119906,105323,244768,303245,138880,,2538,2804,1292,1512,2523,3266,2286,2341,1460,487
252620,"Natural steatite and talc, crushed or powdered",3547,4117,3824,4428,4855,5182,5659,7182,8488,,,139343,126918,124268,114404,113665,131999,134377,134978,106667,123359,,5513,6525,7130,7607,8773,9213,10002,11729,12560,11476
252921,Fluorspar containing by weight <= 97% calcium fluoride,171,8,31,21,605,489,319,14,220,,,43950,45498,48122,40710,40250,42314,58091,56534,34635,61369,,176,64,399,40,666,594,875,1100,1052,2412
252930,"Leucite, nepheline and nepheline syenite",419,570,645,430,479,419,375,382,386,,,643,584,996,792,723,710,759,1088,1301,1360,,719,950,964,725,892,932,799,805,944,297
253010,"Vermiculite, perlite and chlorites, unexpanded",40,195,223,407,180,139,477,489,113,,,45041,44336,40359,34168,32579,29874,34067,29277,33260,34074,,333,244,275,2607,277,252,692,769,480,1908
253020,"Kieserite and epsomite """"natural magnesium sulphates""""""""",198,0,0,65,66,32,109,0,0,,,1508,948,1240,1207,354,408,362,437,267,315,,198,0,0,65,71,32,109,1,2,
