Product code,Product label,"China's imports from Korea, Republic of-Value in 2012","China's imports from Korea, Republic of-Value in 2013","China's imports from Korea, Republic of-Value in 2014","China's imports from Korea, Republic of-Value in 2015","China's imports from Korea, Republic of-Value in 2016","China's imports from Korea, Republic of-Value in 2017","China's imports from Korea, Republic of-Value in 2018","China's imports from Korea, Republic of-Value in 2019","China's imports from Korea, Republic of-Value in 2020","China's imports from Korea, Republic of-Value in 2021","Korea, Republic of's exports to world- ","Korea, Republic of's exports to world-Value in 2012","Korea, Republic of's exports to world-Value in 2013","Korea, Republic of's exports to world-Value in 2014","Korea, Republic of's exports to world-Value in 2015","Korea, Republic of's exports to world-Value in 2016","Korea, Republic of's exports to world-Value in 2017","Korea, Republic of's exports to world-Value in 2018","Korea, Republic of's exports to world-Value in 2019","Korea, Republic of's exports to world-Value in 2020","Korea, Republic of's exports to world-Value in 2021",China's imports from world- ,China's imports from world-Value in 2012,China's imports from world-Value in 2013,China's imports from world-Value in 2014,China's imports from world-Value in 2015,China's imports from world-Value in 2016,China's imports from world-Value in 2017,China's imports from world-Value in 2018,China's imports from world-Value in 2019,China's imports from world-Value in 2020,China's imports from world-Value in 2021
271019,"Medium oils and preparations, of petroleum or bituminous minerals, not containing biodiesel, ...",7779370,6473903,5304959,3031336,2464414,2997486,4136091,3698499,2025419,1871208,,43536414,39290957,37799193,22784332,18938588,25256941,34171305,29751793,17844010,26178125,,29566479,25827759,19555177,10372520,7651643,10310975,14230610,12799204,8312125,10342110
740311,"Copper, refined, in the form of cathodes and sections of cathodes",1240433,1030942,775081,878687,604504,764524,862786,935333,939481,1831449,,1352442,1321505,1324459,1565691,1242602,1413554,1511844,1503008,1576228,2997615,,27304515,23583058,25183254,20737772,17811085,20243992,24874257,21259050,28175550,28316717
848630,Machines and apparatus for the manufacture of flat panel displays,223981,829565,948670,1427086,1228510,2148376,3749708,2344149,2665415,1598935,,287409,965234,1022427,1438600,1438824,3147150,3837170,2515490,2693296,1822080,,1578152,2770054,3008783,4302325,4338556,7093798,10189648,7211531,7073919,5461035
853400,Printed circuits,2991038,3368564,2871159,2180268,1784466,2189053,1684643,1670416,1431525,1531779,,4278649,5181854,4698052,4335263,4385224,5524185,4995358,4797820,5031472,5789358,,14481734,13637752,13412127,12164822,10353976,11582045,12375242,11250354,10874504,11088530
900120,Sheets and plates of polarising material,1117209,906030,922300,849305,998541,1468468,1399395,1420974,1428354,1500590,,1800592,1618927,1660478,1536228,1307261,1625526,1962667,2112137,2472554,3048436,,4015328,3640077,3502426,3176892,3238061,4003754,4311661,4364699,4396621,4064636
700319,"Cast glass and rolled glass, in non-wired sheets, not otherwise worked (excluding glass coloured ...""",6435,26321,35500,247042,632699,1147239,1427684,1504300,1664034,1484290,,4718,84970,32280,157412,277935,338459,405127,461262,644859,560905,,352650,983229,1177160,1225609,1547875,2161010,2718513,2753456,3060706,2680504
847989,"Machines and mechanical appliances, n.e.s.",693657,976812,989050,1093651,1232153,1354297,1861353,1568243,1301803,1415276,,2885058,2913242,2735341,2971663,2873560,4006139,4403714,4265427,3103044,3450099,,6516450,6034424,6969823,6132252,6577054,8645564,9273758,8578715,8341837,8774627
284290,"Salts of inorganic acids or peroxoacids (excluding of oxometallic or peroxometallic acids, ...",3315,7146,10246,16587,55836,242342,565352,811193,919439,1388765,,11385,25525,48829,63886,72861,60588,32545,41680,42249,57947,,48644,58325,71779,95950,159376,328911,800689,1184027,1142359,1591032
290122,"Propene """"propylene""""""""",1536799,1616056,1818603,1017386,1137745,1404361,1604475,1389857,1068639,1331240,,1607519,1638088,1762084,977091,1203536,1511045,1763506,1479879,1165776,1677389,,2966220,3715618,4284386,2373721,2194272,2845268,3137777,2910650,2037391,2425454
382499,"Chemical products and preparations of the chemical or allied industries, incl. those consisting ...",0,0,0,0,0,922975,853327,856274,1055018,1329921,,0,0,0,0,0,901492,1028200,1077812,1085519,1381089,,0,0,0,0,0,6080289,6202408,5677307,6511671,7561917
290220,Benzene,276184,572228,314256,441457,462907,1190603,1013719,682554,500576,1271462,,1854307,1809398,2271028,1732735,1271975,2124295,2107909,1673215,1081893,2254945,,531825,1191650,765076,867079,996403,2098409,2191237,1215598,978566,2531846
901320,Lasers (excluding laser diodes),8885,8646,13396,15564,18008,306267,1491308,1605681,1872204,1230317,,71010,80718,96276,106319,93000,506577,1322420,1530765,2244195,3044214,,710767,764269,1052859,1132930,1302809,2093026,3361915,3232168,3644138,2982809
390330,"Acrylonitrile-butadiene-styrene copolymers """"ABS"""", in primary forms""""",1224783,1264832,1233681,1026818,936879,1153708,1245112,1022857,993814,1096404,,2544192,2677541,2557618,2133712,2072914,2684243,2793255,2244479,2051130,3011110,,3623543,3597079,3574745,2993537,2747397,3509133,3919850,3275260,3070582,3488535
271012,"Light oils and preparations, of petroleum or bituminous minerals which >= 90% by volume """"incl. ...""",1418128,1487036,1193695,1344896,1438817,1559598,1655450,1081184,739660,1067207,,11188536,11694588,11293259,7885765,6528666,8198633,10740635,9477784,5321034,10841241,,3363029,3759632,3740186,3994815,3477904,4161497,5834302,4271919,3480420,4812584
390210,"Polypropylene, in primary forms",1387971,1410127,1465491,1173987,1020433,1091087,1127314,981615,960518,998436,,1625108,1909446,2067064,1815847,1676346,2065274,2394340,2148725,1934103,2824435,,5801001,5595865,5821826,4439846,3523446,3843963,4191398,4044476,4542092,3707061
390130,"Ethylene-vinyl acetate copolymers, in primary forms",230764,198274,509766,521369,521367,592775,566557,561426,597344,947080,,530684,515584,1015185,909808,875794,1015860,1035588,1009699,995306,1738105,,1186041,942243,1349377,1395147,1395086,1568769,1560682,1685183,1623371,2497675
390120,"Polyethylene with a specific gravity of >= 0,94, in primary forms",965503,1067720,996453,770143,652821,770897,897592,879187,995858,946148,,1811107,2108145,1918122,1542558,1329777,1410476,1642782,1427928,1469242,1971253,,5515638,6920522,7056718,6462534,5995952,7543532,8825888,8276263,7947367,6790049
848690,Parts and accessories for machines and apparatus of a kind used solely or principally for the ...,133026,279137,272357,280531,316035,709091,816320,927655,1034362,917002,,636714,826821,888093,948984,1121445,1717185,1900887,1898887,2189649,2789135,,816067,1191557,1240300,1368265,1635505,2702801,3711484,4482745,6401428,6535759
290121,Ethylene,1098374,1313969,1083786,651487,659073,827178,924183,852062,543827,907618,,1238040,1417477,1065355,658029,749586,930524,1026259,950581,604458,1200919,,1794984,2267324,2197066,1624999,1757739,2531628,3302372,2384146,1450953,1997378
390740,"Polycarbonates, in primary forms",815506,867472,870395,855673,797899,872020,900811,629624,639157,875494,,1177209,1290492,1342616,1386987,1368123,1572327,1778793,1386634,1453770,2346756,,4118402,4046167,4339083,3967649,3517129,4051846,4546994,3873643,3630262,4322326
853690,"Electrical apparatus for switching electrical circuits, or for making connections to or in ...",619666,815040,903084,879435,927443,901166,871298,805054,826801,843944,,314995,462481,487807,562262,706465,719313,800974,853853,954038,1145050,,7993983,8363404,9062124,8814924,8865881,9736922,9979021,9280817,9453312,10092382
390140,"Ethylene-alpha-olefins copolymers, having a specific gravity of < 0,94 , in primary forms",0,0,0,0,0,269858,330000,421882,472496,802295,,0,0,0,0,0,241366,293091,403644,655606,1228972,,0,0,0,0,0,4057607,5792488,6136819,6240773,6517305
848640,Machines and apparatus specified in Note?9 C to chapter 84,219055,375180,426019,555944,464779,589872,1484834,960557,1037390,753418,,331266,524499,647403,871291,871736,1187286,1724458,1301317,1520465,1550502,,1444851,1449099,1889688,1927455,2250638,2907254,4647084,3445831,3755721,4921631
851762,"Machines for the reception, conversion and transmission or regeneration of voice, images or ...",44288,65641,55431,49717,47592,93790,70048,160577,396937,688612,,1119530,1008547,1182846,1366026,1031405,929446,969933,766826,923952,1003404,,4758702,5179842,5142229,5293867,4989382,5599475,6044007,6382310,6732181,8284432
271320,Petroleum bitumen,1045460,1347835,1592772,1248183,775605,1101969,1111402,952571,756387,660501,,1396932,1796318,1950126,1344636,811727,1328540,1388038,1268496,892827,898280,,1754336,2068538,2334216,1801917,1046245,1551844,1760840,1771551,1550278,1225631
392062,"Plates, sheets, film, foil and strip, of non-cellular poly""""ethylene terephthalate"""", not ...""",637422,748420,636709,512085,401546,393317,474317,522024,578458,658465,,733134,871884,785926,826434,821217,966088,1112527,1234654,1292991,1526255,,2947166,3005014,2999226,2517972,2049507,2063302,2249258,2222885,2319636,2461884
853224,"Fixed electrical capacitors, ceramic dielectric, multilayer (excluding power capacitors)",438699,520464,596328,491078,344222,427354,531735,391991,600367,644040,,713596,818509,802630,808049,703386,920309,1125920,1063452,1141967,1327971,,4876587,7405348,7103862,6922427,5318306,5661295,9220601,6811285,8174986,9188031
390690,"Acrylic polymers, in primary forms (excluding poly""""methyl methacrylate"""")""""",162791,227375,238845,227934,269795,424380,500677,448772,534983,632820,,764513,870300,941670,825936,884942,1122828,1319273,1376755,1366885,1727810,,1253808,1377812,1540799,1421770,1501820,1842857,2152071,1884594,1864167,2193347
850760,Lithium-ion accumulators (excluding spent),1575712,1335656,1233721,1041524,1002707,828158,957639,900716,887967,590594,,2064884,2265401,2268055,2030201,2328866,3518604,4391786,4679066,4878678,5759460,,3966493,3317538,3424427,3298475,3056859,3265916,3883051,3724483,3536501,3547695
901390,"Parts and accessories for liquid crystal devices """"LCD"""", lasers and other appliances and ...""",1515209,856484,699440,656420,610041,788740,822025,853551,714386,556950,,247555,325108,485527,413856,412563,462729,330619,145479,133631,122782,,4720963,4754512,4799526,5057281,4589634,4541360,4160539,3923837,3485319,2266795
854140,"Photosensitive semiconductor devices, incl. photovoltaic cells whether or not assembled in ...",1014412,1016714,838900,1351271,684045,846041,912501,558121,480019,556095,,3878801,3791162,3419963,3633217,4164387,4613563,4308266,3512325,3110876,3052481,,7865758,8994113,10402963,11853627,9185276,9271908,9195974,7158831,7246759,8442203
370790,"Preparation of chemicals for photographic uses, incl. unmixed products put up in measured portions ...",96055,103167,65403,52887,47947,55768,51872,48563,330686,548627,,236773,221260,312185,392342,476340,569724,618032,611837,637806,776846,,810132,787708,681342,569330,532688,576016,545980,551652,1351629,1902587
903149,"Optical instruments, appliances and machines for measuring or checking, not elsewhere specified ...",144473,325516,327675,415731,382314,669162,926777,535291,639986,545928,,210860,383261,351602,486302,594675,1087828,1231600,977954,964248,979336,,1633112,1761820,2358401,2418238,2566662,3492137,4123124,3128343,3515547,3553269
391990,"Self-adhesive plates, sheets, film, foil, tape, strip and other flat shapes, of plastics, whether ...",558890,785509,666424,636696,540706,529558,527921,516547,477778,530511,,1016266,1350777,1331234,1354668,1281547,1538186,1643208,1597441,1404023,1535604,,2395337,2696333,2579482,2411427,2243750,2368959,2452637,2409152,2452114,2625237
740400,"Waste and scrap, of copper (excluding ingots or other similar unwrought shapes, of remelted ...",216674,187398,185883,129789,121626,157258,196600,182004,96190,495759,,315155,212227,189907,158575,122360,116890,105226,119834,86278,156483,,14840883,13732988,10913497,8450144,6182737,9152484,9370722,7478913,4535923,11421536
760612,"Plates, sheets and strip, of aluminium alloys, of a thickness of > 0,2 mm, square or rectangular ...",381947,364591,382969,365214,187090,198796,253249,177186,291343,486881,,982862,1078578,1196127,1224170,977325,1253736,1502967,1525444,1473878,2036694,,1441081,1278902,1265156,1196210,873899,868970,941965,812184,910979,1077823
381800,"Chemical elements and compounds doped for use in electronics, in the form of discs, wafers, ...",167507,121869,119302,119011,144172,174718,285687,334316,388461,472861,,940083,853307,750715,647851,633800,691605,1297221,972899,922276,1071559,,1634701,1166212,1192619,1032086,1109251,1340573,1872720,2103836,2233424,2543258
870840,"Gear boxes and parts thereof, for tractors, motor vehicles for the transport of ten or more ...",1032767,1182860,1441360,1605452,2006371,1140202,874373,636777,454843,471617,,2528801,3011976,3395026,3625611,3990742,3425281,3484326,3060426,2524373,3102390,,9137229,10356311,11982248,9792059,11404481,12528979,13246706,10493568,10439470,11020251
700600,"Sheets or profiles of glass, whether or not having an absorbent, reflecting or non-reflecting ...",1271,15179,123500,125192,255460,288632,281713,269153,269206,424713,,177249,309339,395901,393637,472494,497857,548161,519117,485628,708008,,1349188,1079656,954562,860216,1165425,1173448,1080120,1006039,1098356,1260415
392010,"Plates, sheets, film, foil and strip, of non-cellular polymers of ethylene, not reinforced, ...",273364,329865,353663,370843,353155,388388,403159,459397,532994,420815,,196098,242158,261378,273294,238417,237559,222632,241459,237242,283707,,1086304,1122271,1150750,1107887,1052575,1110340,1205250,1244805,1294338,1164487
720917,"Flat-rolled products of iron or non-alloy steel, of a width of >= 600 mm, in coils, simply ...""",598710,578871,469867,317362,289767,372941,374507,358407,499802,411894,,2043101,1721115,1716186,1248093,1099807,1343917,1405054,1315438,1136114,1664499,,1142613,1013899,797693,562587,475409,534498,550136,483296,737459,594338
290723,"4,4'-Isopropylidenediphenol """"bisphenol A, diphenylolpropane"""" and its salts""""",148049,280583,250799,168185,113596,126937,226919,286099,252017,408290,,245800,437567,476025,329801,274546,362434,552867,421779,380831,774852,,902380,1020411,871606,627922,418177,536067,786094,745395,742454,1283830
390230,"Propylene copolymers, in primary forms",496112,525106,519059,371284,330568,334423,309905,344450,404052,397278,,1997618,2131515,2135821,1428090,1306919,1405622,1577092,1443996,1361393,2186111,,1914908,2280725,2356596,2002131,1876375,1999005,2104257,2119622,2199094,2051715
840810,"Compression-ignition internal combustion piston engine """"diesel or semi-diesel engine"""", for ...""",1047440,412078,554334,564729,309511,260686,211741,366940,389919,373176,,1413507,789294,881786,883667,547311,604476,391562,488512,491977,475805,,1685129,1146871,1340407,1069049,708227,578123,523261,690711,737229,648871
843149,"Parts of machinery of heading 8426, 8429 and 8430, n.e.s.",310375,292948,221576,101258,101828,280101,475721,382740,441725,352705,,1952554,1898654,1772824,1446687,1375704,1783597,2145463,1728189,1418992,1860518,,1519415,1139313,1034904,711998,730205,1102436,1427147,1198364,1238947,1300877
721049,"Flat-rolled products of iron or non-alloy steel, of a width of >= 600 mm, hot-rolled or cold-rolled ...""",378168,590588,770243,666929,715410,634571,547469,444900,377088,342246,,2330835,2300627,2603172,2135154,2208324,2617305,2856305,2624904,1956300,2693177,,1012862,1129310,1393005,1062654,1090707,1080467,983622,757082,659255,656656
854190,"Parts of diodes, transistors and similar semiconductor devices; photosensitive semiconductor ...",1782214,1712668,1103201,1003548,1167812,1106658,616239,440477,333039,338578,,512529,641987,540604,406861,331376,217971,139908,124756,143195,179060,,5785791,4868565,4530857,4169359,4079326,3993613,3490829,3422163,3273115,3374877
854449,"Electric conductors, for a voltage <= 1.000 V, insulated, not fitted with connectors, n.e.s.",428507,444959,473454,428586,394299,371115,382211,364278,351705,334324,,835448,776216,819580,761683,807437,735153,863103,831505,888394,985886,,1740278,1727108,1845543,1651903,1475613,1486954,1581197,1404124,1281860,1416917
340130,"Organic surface-active products and preparations for washing the skin, in the form of liquid ...",3253,5961,4376,10613,6453,22197,42605,65991,125581,328196,,10683,15792,26564,69448,96914,91035,125163,156107,242876,280209,,16322,22465,25439,38474,40172,103009,187412,300954,580862,1626320
853890,"Parts suitable for use solely or principally with the apparatus of heading 8535, 8536 or 8537, ...",301573,332517,331319,301346,296319,310920,365136,334374,282274,319662,,2616423,3621867,2762813,3361144,2855123,2750882,1692418,1304916,1255147,1421470,,3992538,3977812,4206885,3560272,3447573,3935676,4405664,3975503,3922347,4344953
854129,Transistors with a dissipation rate >= 1 W (excluding photosensitive transistors),97643,122029,254605,228682,229464,254002,270954,253074,280961,308321,,211342,314557,407910,372655,432831,495855,631745,663178,670712,737840,,3385736,5264662,5015931,4911059,4709921,4825179,5601842,5851489,6649241,7923929
350691,Adhesives based on polymers of heading 3901 to 3913 or on rubber (excluding products suitable ...,190604,232054,241077,246942,240625,240739,270109,347349,316226,304633,,234728,229006,234926,224928,242265,268094,308118,363387,455311,510542,,1533795,1514348,1550464,1489957,1529704,1761496,1803045,1780427,1779865,1825074
760120,Unwrought aluminium alloys,14383,6462,14106,6396,8559,16574,19815,29899,292327,297223,,123023,162265,189390,155082,189107,296174,519321,444537,629468,924222,,278899,247462,206327,160410,128586,156833,173291,368426,1879017,2253116
741011,"Refined copper foil, not backed, of a thickness of <= 0,15 mm (excluding stamping foils of ...",336672,271966,269620,245489,253375,284085,311011,277251,237103,294967,,215424,176475,206876,190095,200801,283052,350735,348657,416286,693931,,1657605,1527670,1344645,1093121,1147325,1482888,1494700,1312841,1355584,1902746
390730,"Epoxide resins, in primary forms",129764,138854,142927,125762,138231,162043,175438,202353,282734,294746,,557809,645485,683063,652505,614323,738539,885300,858517,847258,1641685,,863722,805945,889332,795172,776662,917179,989624,995154,1255093,1349355
740200,"Copper, unrefined; copper anodes for electrolytic refining",3488,9333,11674,16909,13718,20442,24467,14531,158469,281822,,4409,2879,11899,14063,14566,19911,27186,15283,191710,331315,,4174417,4562816,4035684,3028510,3450466,4815089,5867658,4551669,6279175,7620345
392690,"Articles of plastics and articles of other materials of heading 3901 to 3914, n.e.s (excluding ...",366953,401961,388092,388736,362465,326704,339196,333017,285852,277576,,832796,888855,918481,959415,1123760,1236304,1382329,1313597,1341814,1502732,,2656171,2774770,2926291,2894040,2970283,3264273,3560528,3611100,3583469,3916096
900190,"Lenses, prisms, mirrors and other optical elements, of any material, unmounted (excluding such ...",1042173,861871,854953,751739,530518,462768,429026,338891,276741,275858,,1557558,1420271,1400992,1203738,1354622,1722147,1554321,1461509,1153715,1018576,,3825307,3635110,3857336,3270407,2324439,2290467,2423039,2423090,2414153,2733830
900290,"Lenses, prisms, mirrors and other optical elements, mounted, of any material, being parts of ...",55191,75590,115053,122571,115891,132481,156102,217552,232996,270369,,225273,246907,213167,199882,149968,110629,73440,67833,58550,88824,,337144,541400,656002,745357,560036,756933,766790,896699,864318,936028
284190,"Salts of oxometallic or peroxometallic acids (excluding chromates, dichromates, peroxochromates, ...""",110370,177464,170913,185785,190942,278089,691848,437931,226398,263236,,231463,346500,405681,395449,422482,682901,910553,1958305,2428789,4423597,,132450,204594,201799,215148,232032,338719,836561,577089,361618,427480
847150,"Processing units for automatic data-processing machines, whether or not containing in the same ...",2462,6001,24650,12116,6865,11320,22617,63166,200186,255591,,82881,143492,167692,97544,100562,108476,141675,130795,121645,133747,,1919152,2362308,2826089,2456526,2506007,2346999,2444217,1828919,2005144,2855683
720851,"Flat-rolled products of iron or non-alloy steel, of a width >= 600 mm, not in coils, simply ...",262934,141636,141079,202257,271570,236863,304371,391253,384888,244265,,2082970,1467912,1840437,1368737,1161627,1571645,1565607,1633557,1483342,1767813,,788657,587890,646297,667000,702521,650454,904880,1045331,1148364,880278
390110,"Polyethylene with a specific gravity of < 0,94, in primary forms",233084,351557,385442,332154,276161,284371,328798,290960,244032,243730,,1140282,1389490,1561527,1328645,1225984,1175688,1166205,927288,705536,1130835,,2247816,2662177,3321554,2864059,2514333,3021641,3501080,3488733,3361086,3947756
320490,"Synthetic organic products of a kind used as luminophores, whether or not chemically defined",848,1498,3438,3956,16319,30258,85555,83232,110024,243487,,4510,6204,16898,13040,24394,58703,133772,158937,197938,268161,,35979,45890,76080,81902,109349,143516,247186,318230,272757,465081
741021,"Refined copper foil, backed, of a thickness """"excluding any backing"""" of <= 0,15 mm (excluding ...""",71826,73046,90950,92629,120498,160556,147013,173844,194253,242887,,181741,166510,182463,172840,199679,208791,267457,293895,331875,430623,,1330091,1262172,1303007,1124603,1073823,1234756,1245570,1359771,1451164,1495349
853710,"Boards, cabinets and similar combinations of apparatus for electric control or the distribution ...",156273,266467,234023,307130,379650,273259,377169,347443,317561,242758,,1242472,1806264,1303779,1292236,1428853,1352454,1551089,1548421,1351371,1368357,,3562317,3895334,4573370,4251295,4517629,4807920,5324795,5312209,6093482,5913440
842139,Machinery and apparatus for filtering or purifying gases (excl. isotope separators and intake ...,71551,212609,206155,158183,136978,131036,200745,470760,289371,239458,,247151,348023,374031,428747,386162,450917,573905,719146,802582,963507,,846546,1011798,1102923,893041,856455,956236,1223127,1774921,1408414,1402801
903190,"Parts and accessories for instruments, appliances and machines for measuring and checking, ...",77915,75350,119996,124080,108009,154605,224524,236234,219785,237891,,187055,202323,213912,310509,260362,397753,446911,553371,476466,547497,,875779,795317,1020636,1179868,1406029,1419561,1545549,1526990,1814203,1818707
903180,"Instruments, appliances and machines for measuring or checking, not elsewhere specified in ...",398497,417182,393222,396286,378467,390421,513285,436011,305740,230911,,678290,815548,927050,1038905,1093344,1446489,1244358,1173697,929527,1044775,,4033678,3944040,4618099,4262550,4669969,4605602,5670356,5734158,5685034,6431699
270730,"Xylol """"xylenes"""" containing > 50% of xylenes (excluding chemically defined)""""",279129,222357,436069,246006,60710,111999,121533,151289,195133,227733,,280677,277291,484961,378118,244943,302926,433305,450786,316620,457281,,574535,291469,910067,538571,251774,286463,427668,517816,552267,751414
400251,"Latex of acrylonitrile-butadiene rubber """"NBR""""""""",13758,15257,19426,17194,14128,37596,50064,54430,92487,225422,,274097,272674,286831,285088,339008,527946,656894,673643,909622,1404762,,57442,54328,58307,50834,42741,69564,81856,94120,131427,320971
999999,Commodities not elsewhere specified,1985199,145283,100046,268264,439084,308016,160622,44704,200523,211199,,67648,64113,57712,56571,58393,49796,49332,46840,37392,39332,,68769069,104735488,82763505,80518802,77492643,66855229,29854611,10614452,10906755,12196803
848180,"Appliances for pipes, boiler shells, tanks, vats or the like (excluding pressure-reducing ...""",143833,181742,160530,154681,141630,161253,220030,212116,189995,210633,,1456148,1299238,1159600,1331570,1192790,1039861,1135712,1099091,1021661,1043570,,3707456,4260444,4092613,3816719,3526460,3484867,4219117,4324619,4467964,4860809
291739,"Aromatic polycarboxylic acids, their anhydrides, halides, peroxides, peroxyacids and their ...",196940,184180,182229,214598,232981,334847,312688,206588,193835,209802,,423175,434038,530433,483878,576864,821158,691008,472341,423506,612358,,382233,421694,397276,400182,433627,651330,622543,431396,371600,359110
760719,"Aluminium foil, not backed, rolled and further worked, of a thickness of <= 2 mm (excluding ...",370702,321337,354338,324498,303867,331669,398729,352497,322749,205231,,82963,81879,93226,76174,77968,93121,109224,85167,73505,90191,,704424,647282,662207,552904,507331,529947,636204,550672,519023,479561
400219,"Styrene-butadiene rubber """"SBR""""; carboxylated styrene-butadiene rubber """"XSBR"""", in primary ...""",348948,278974,233244,172188,187564,215395,210143,207163,144291,201149,,1593944,1305139,1149742,823648,816556,1092688,1073273,921805,701536,1119266,,1161778,999794,890156,824974,836407,988862,853724,762674,660984,759918
