Product code,Product label,"Korea, Republic of's imports from Saudi Arabia-Value in 2012","Korea, Republic of's imports from Saudi Arabia-Value in 2013","Korea, Republic of's imports from Saudi Arabia-Value in 2014","Korea, Republic of's imports from Saudi Arabia-Value in 2015","Korea, Republic of's imports from Saudi Arabia-Value in 2016","Korea, Republic of's imports from Saudi Arabia-Value in 2017","Korea, Republic of's imports from Saudi Arabia-Value in 2018","Korea, Republic of's imports from Saudi Arabia-Value in 2019","Korea, Republic of's imports from Saudi Arabia-Value in 2020","Korea, Republic of's imports from Saudi Arabia-Value in 2021",Saudi Arabia's exports to world- ,Saudi Arabia's exports to world-Value in 2012,Saudi Arabia's exports to world-Value in 2013,Saudi Arabia's exports to world-Value in 2014,Saudi Arabia's exports to world-Value in 2015,Saudi Arabia's exports to world-Value in 2016,Saudi Arabia's exports to world-Value in 2017,Saudi Arabia's exports to world-Value in 2018,Saudi Arabia's exports to world-Value in 2019,Saudi Arabia's exports to world-Value in 2020,Saudi Arabia's exports to world-Value in 2021,"Korea, Republic of's imports from world- ","Korea, Republic of's imports from world-Value in 2012","Korea, Republic of's imports from world-Value in 2013","Korea, Republic of's imports from world-Value in 2014","Korea, Republic of's imports from world-Value in 2015","Korea, Republic of's imports from world-Value in 2016","Korea, Republic of's imports from world-Value in 2017","Korea, Republic of's imports from world-Value in 2018","Korea, Republic of's imports from world-Value in 2019","Korea, Republic of's imports from world-Value in 2020","Korea, Republic of's imports from world-Value in 2021"
250510,"Silica sands and quartz sands, whether or not coloured",182,140,458,724,811,918,1029,371,287,357,,23413,20191,13533,11979,22693,31833,39363,38634,32513,38293,,52997,47102,57222,53506,57067,57640,54432,56877,45905,46661
970300,"Original sculptures and statuary, in any material",16,0,3,0,0,0,0,0,0,344,,15921,3811,0,15,44,66253,27,0,0,0,,61654,46873,52914,55532,63437,75035,90634,60409,51578,97799
780191,"Unwrought lead, containing by weight antimony as the principal other element",3228,2251,3790,2520,3084,5463,8508,15016,335,335,,0,0,0,0,0,0,0,0,0,0,,40023,84405,95821,73288,49579,77487,67973,60894,43128,56604
290514,"Butanols (excluding butan-1-ol """"n-butyl alcohol"""")""""",0,0,0,0,189,294,457,445,340,293,,0,0,23906,4217,99803,121825,73917,90350,71976,143246,,13518,36798,58193,37545,42243,32116,43578,54349,69376,65571
740819,"Wire of refined copper, with a maximum cross-sectional dimension of <= 6 mm",0,0,0,0,0,0,0,0,0,184,,7807,4285,2958,3617,2781,3064,1904,1681,104,0,,22670,7141,6180,5050,8175,8083,4453,7371,7472,38945
251990,"Fused magnesia; dead-burned """"sintered"""" magnesia, whether or not containing small quantities ...""",0,0,0,0,0,0,0,38,67,162,,6598,6145,11628,14992,8358,16538,27477,17626,12315,19259,,99879,86317,88522,79956,69684,103957,105921,94882,66476,112264
540761,"Woven fabrics of yarn containing >= 85% by weight of non-textured polyester filaments, incl. ...",1,0,0,1,0,18,104,78,0,158,,88,0,27,26,14,390,485,9,0,46,,84287,85597,92755,72634,58422,53743,45718,55405,42627,45617
270799,"Oils and other products of the distillation of high temperature coal tars; similar products ...""",292,0,0,0,0,0,0,0,0,150,,3687,8163,24522,0,0,0,0,0,0,0,,408077,394804,397124,262944,221715,283930,302956,206978,78532,212073
851762,"Machines for the reception, conversion and transmission or regeneration of voice, images or ...",169,1,9,10,4,13,13,5,47,150,,3625,7399,10002,6269,7527,17123,19935,4,0,18,,1276377,1359908,1492284,1582914,1621283,1591728,1780113,2464127,2689883,3401458
848420,Mechanical seals,0,15,21,291,1,3,3,85,7,122,,1667,1223,452,605,1103,2284,1797,4479,2461,546,,41398,56155,58397,49227,57408,63699,88275,65369,53364,63500
262040,"Slag, as and residues containing mainly aluminium",48,32,65,57,78,28,64,3891,120,119,,0,0,1106,13679,110,85,0,0,0,0,,783,756,3277,3177,1838,1281,2104,6721,6493,9320
902214,"Apparatus based on the use of X-rays, for medical, surgical or veterinary uses (excluding for ...",0,0,0,0,9,0,0,0,0,111,,1198,130,208,721,542,37,391,0,0,62,,85997,71713,63727,68546,68490,68656,83297,80697,96892,86517
400219,"Styrene-butadiene rubber """"SBR""""; carboxylated styrene-butadiene rubber """"XSBR"""", in primary ...""",0,0,0,0,0,53,0,0,48,111,,0,0,418,2262,6566,7165,7414,3063,1507,1772,,190483,212502,181981,152700,128967,152661,130638,115681,78492,119175
560312,"Nonwovens, whether or not impregnated, coated, covered or laminated, n.e.s., of man-made filaments, ...",0,0,0,0,0,0,0,0,0,110,,42422,43460,63380,51342,38357,37495,18714,22129,62172,64378,,22892,27166,33195,36714,28192,35488,41807,44116,227022,81182
730120,"Angles, shapes and sections, of iron or steel, welded",0,0,0,0,0,0,0,724,0,109,,10053,6347,11430,9350,4895,15294,16546,11952,4158,5024,,32283,19663,21078,8886,7421,10447,14592,10574,7844,12877
80410,Fresh or dried dates,0,3,3,0,2,4,0,2,48,106,,74860,102943,129670,140135,141564,182379,201393,229833,245969,322840,,87,198,354,704,547,588,855,980,1099,1604
841510,"Window or wall air conditioning machines, self-contained or """"split-system""""""""",9,28,7,23,13,8,7,2,5,98,,173936,165998,185153,142602,113306,34069,33152,24700,26775,27789,,143600,161395,180633,167216,239053,331293,395326,314830,226354,316966
392190,"Plates, sheets, film, foil and strip, of plastics, reinforced, laminated, supported or similarly ...",148,768,157,90,2,0,0,59,0,88,,34100,52812,56574,52128,62401,52928,73947,89066,109736,125264,,322038,333148,319476,329270,354380,383524,375902,389682,409218,471108
831110,"Coated electrodes of base metal, for electric arc-welding",0,0,94,0,24,0,0,0,113,79,,235,962,132,619,585,563,855,160,310,619,,16864,18412,20972,14918,10305,10730,10054,10777,7570,7507
390799,"Saturated polyesters in primary forms (excluding polycarbonates, alkyd resins, poly""""ethylene ...""",0,3,5,2,365,60,1,69,562,77,,91162,76932,45343,42285,48966,47000,19041,15627,11014,26403,,277346,284713,289760,271182,274917,316500,326290,287027,253060,424586
901890,"Instruments and appliances used in medical, surgical or veterinary sciences, n.e.s.",1,30,2,6,491,16,88,48,105,74,,9445,5931,8610,18163,9236,11798,11761,613,683,975,,667477,706354,708093,713546,758898,799151,904505,973678,1017389,1105148
392010,"Plates, sheets, film, foil and strip, of non-cellular polymers of ethylene, not reinforced, ...",0,0,32,412,419,0,0,1,0,64,,115873,162878,142510,158465,206605,195776,226434,173908,184742,303841,,160493,170689,175273,186621,183739,202663,210163,223811,240142,259368
382499,"Chemical products and preparations of the chemical or allied industries, incl. those consisting ...",0,0,0,0,0,0,1,0,2,61,,0,0,0,0,0,0,0,0,0,23867,,0,0,0,0,0,1774696,1912108,1841465,1712523,1885858
401110,"New pneumatic tyres, of rubber, of a kind used for motor cars, incl. station wagons and racing ...",0,7,1,1,3,4,0,25,26,61,,7903,5172,5167,4190,9694,13125,5298,45,73,340,,309145,300657,295288,314428,369837,474772,536777,640203,668694,724447
730240,"Fish-plates and sole plates of iron or steel, for railways or tramways",0,0,0,0,0,0,0,0,0,61,,4230,5738,4932,2551,1461,725,772,795,236,30,,242,155,1835,227,360,792,2618,2334,1649,2132
854690,Electrical insulators (excluding those of glass or ceramics and insulating fittings),0,0,3,0,0,0,0,0,0,56,,53,30,92,17,131,72,34,0,166,211,,48257,40167,34861,32343,30580,30643,27430,20959,21852,22774
700320,"Cast glass and rolled glass, in wired sheets, whether or not with absorbent, reflecting or ...",42,62,21,0,0,101,19,61,60,54,,1332,13920,25051,2678,147,84,92,1075,1540,927,,281,117,109,169,99,130,111,122,177,209
760120,Unwrought aluminium alloys,124,1652,436,188,2402,2224,266,0,0,53,,202,2022,209196,335297,50692,210553,143005,127301,43837,92253,,1066883,939541,1091670,987994,823354,1012695,1018484,896695,664700,1049981
290519,"Saturated monohydric acyclic alcohols (excluding methanol """"methyl alcohol"""", propan-1-ol ...""",0,0,0,0,0,0,0,0,0,52,,156979,181373,183713,137430,96833,132165,163384,190669,123413,187011,,100701,122164,141445,104518,89339,108078,128382,116582,101115,190610
870899,"Parts and accessories, for tractors, motor vehicles for the transport of ten or more persons, ...",37,9,2,19,15,7,3,440,8,49,,38245,29656,199008,122213,32263,19831,18247,278,404,1199,,967225,872541,874491,851453,927204,871444,763414,694700,761928,835500
250300,"Sulphur of all kinds (excluding sublimed sulphur, precipitated sulphur and colloidal sulphur)",0,9,6,13,13,12,12,41,34,49,,27116,22901,23318,35898,16725,37260,64053,13694,20274,47261,,8556,3670,5272,3700,2123,1674,2821,2494,1821,8479
847330,Parts and accessories of automatic data-processing machines or for other machines of heading ...,44,52,53,7,21,116,104,1,5,48,,28752,41407,28202,40312,25691,8790,8515,0,143,1,,1837600,1868131,1923454,2344343,2676294,2989067,4678803,6033076,5096197,4885940
820790,"Interchangeable tools for hand tools, whether or not power-operated, or for machine tools, ...",1,1,8,9,19,2,140,9,8,46,,1587,3146,161,165,410,261,608,15,0,55,,56533,50018,54071,43506,33777,36450,37218,56571,32614,37376
901849,"Instruments and appliances used in dental sciences, n.e.s.",0,0,0,0,0,72,6,6,0,42,,337,716,344,1182,609,3229,1868,0,0,0,,55512,57919,63816,62348,64862,72286,74248,69142,65469,92858
820719,"Rock-drilling or earth-boring tools, interchangeable, and parts therefor, with working parts ...",0,0,0,0,7,0,0,0,2,40,,7971,19575,14461,15838,13801,34319,25225,19833,10392,21652,,26414,29668,29996,29948,25056,22024,26195,20841,20850,23910
392020,"Plates, sheets, film, foil and strip, of non-cellular polymers of ethylene, not reinforced, ...",0,0,0,0,0,0,0,0,0,40,,79788,84882,100163,113004,114711,120541,106831,84293,102322,194582,,116459,120825,94728,84073,91848,102543,106017,123685,158050,193126
290512,"Propan-1-ol """"propyl alcohol"""" and propan-2-ol """"isopropyl alcohol""""""""",0,0,0,0,0,0,0,0,0,38,,0,31,0,39,44,80,111,37,41,25,,15220,29139,42715,20974,11109,18658,28174,22271,17837,11773
700529,"Float glass and surface ground and polished glass, in sheets, but not otherwise worked (excluding ...""",6880,13539,23038,15547,5471,2342,39,0,0,36,,26412,24445,21419,29519,38795,33440,31633,37548,34073,49536,,195689,186537,150674,144195,83899,85276,118030,113905,128604,177942
701337,Drinking glasses (excluding glasses of glass ceramics or of lead crystal and stemware),18,0,0,0,0,18,17,32,35,35,,109,31,267,342,205,304,2156,2687,2554,1471,,15348,16511,18479,18323,18417,21273,25231,28406,30689,36336
291260,Paraformaldehyde,171,152,326,18,10,8,0,9,0,34,,4680,4029,3158,2066,3399,3970,3861,4792,4692,5445,,8849,10191,11675,10726,9159,10717,14357,14822,13490,23729
847740,Vacuum-moulding machines and other thermoforming machines for working rubber or plastics,0,0,0,0,0,0,150,0,33,33,,80,27,1110,2429,187,229,280,161,0,0,,6172,6722,7489,12446,12830,17563,17487,12072,11227,13886
330499,"Beauty or make-up preparations and preparations for the care of the skin (other than medicaments), ...",1,2,0,4,8,6,12,17,24,32,,5067,2239,2481,5481,4529,3571,3580,2481,1534,608,,756667,747164,807355,780363,767329,795165,831877,828528,727559,771944
851712,"Telephones for cellular networks """"mobile telephones"""" or for other wireless networks""""",669,2362,881,11,1491,13,28,7,16,32,,231939,569344,206611,84770,131032,149252,120702,186,0,0,,1035993,1038572,1763019,3067955,2885440,5000070,4316703,3778438,4103680,4953186
630900,"Worn clothing and clothing accessories, blankets and travelling rugs, household linen and articles ...",101,121,37,51,49,56,72,28,22,31,,,,,,,,,,,,,49792,35317,32478,30773,31003,29275,32067,35404,32072,29403
848180,"Appliances for pipes, boiler shells, tanks, vats or the like (excluding pressure-reducing ...""",46,6,13,13,7,2,248,166,350,28,,10391,7260,14203,19095,19286,14422,27138,2220,2822,10026,,1507805,1904646,2119295,1758162,1499790,1603481,1579807,1588504,1520608,1686638
903084,"Instruments and apparatus for measuring or checking electrical quantities, with recording device ...",0,13,3,1,0,0,0,0,0,22,,0,0,133,456,76,261,520,3,0,0,,65045,66278,85265,48887,33888,45964,30492,48388,28563,30842
840890,"Compression-ignition internal combustion piston engine """"diesel or semi-diesel engine"""" (excluding ...""",0,0,2,0,0,7,0,48,9,22,,902,465,2596,636,29,105,115,0,0,0,,524815,438991,452419,342167,384025,475096,504173,429016,323720,433170
721240,"Flat-rolled products of iron or non-alloy steel, of a width of < 600 mm, hot-rolled or cold-rolled ...""",0,0,0,0,0,6,0,0,0,20,,0,65,139,31,13,50,42,0,26,30,,23843,21408,24695,30117,38589,10725,7594,8000,10709,11445
731815,"Threaded screws and bolts, of iron or steel, whether or not with their nuts and washers (excl. ...",58,38,0,3,0,3,1,1,0,20,,7045,4536,2821,3391,3616,3666,7145,4662,1623,1249,,193611,249990,260742,323385,212495,231379,221293,230632,185623,237736
851761,"Base stations of apparatus for the transmission or reception of voice, images or other data",0,0,0,0,0,0,0,0,0,19,,42,98,0,1752,3446,649,582,0,0,0,,495450,210843,352354,119075,144624,158456,166698,682486,546092,474643
842199,"Parts of machinery and apparatus for filtering or purifying liquids or gases, n.e.s.",48,0,22,125,1,203,155,1,155,18,,1562,8586,1933,2952,42676,55987,5606,6366,9855,50044,,327790,339064,326855,314939,280835,323802,380356,422010,436598,476294
901819,"Electro-diagnostic apparatus, incl. apparatus for functional exploratory examination or for ...",6,45,21,0,2,20,1,1,1,18,,3332,4081,3662,4015,5729,2549,1115,0,56,0,,159216,164405,173481,174490,171451,127205,112839,122794,135549,159788
210390,Preparations for sauces and prepared sauces; mixed condiments and seasonings (excluding soya ...,0,1,0,0,0,0,0,0,0,17,,20241,20200,17292,16783,15663,17310,25696,25779,28777,24240,,171372,162441,171435,176356,178044,190659,216279,207115,218988,252438
847130,"Data-processing machines, automatic, portable, weighing <= 10 kg, consisting of at least a ...",36,440,188,23,51,3,6,2,3,16,,44066,34070,12808,33205,23211,7762,13026,7,0,23,,1811183,1791005,1848781,1706756,1852511,2314068,2390393,2705992,3470964,4365444
