Product code,Product label,Russian Federation's imports from China-Value in 2012,Russian Federation's imports from China-Value in 2013,Russian Federation's imports from China-Value in 2014,Russian Federation's imports from China-Value in 2015,Russian Federation's imports from China-Value in 2016,Russian Federation's imports from China-Value in 2017,Russian Federation's imports from China-Value in 2018,Russian Federation's imports from China-Value in 2019,Russian Federation's imports from China-Value in 2020,Russian Federation's imports from China-Value in 2021,China's exports to world- ,China's exports to world-Value in 2012,China's exports to world-Value in 2013,China's exports to world-Value in 2014,China's exports to world-Value in 2015,China's exports to world-Value in 2016,China's exports to world-Value in 2017,China's exports to world-Value in 2018,China's exports to world-Value in 2019,China's exports to world-Value in 2020,China's exports to world-Value in 2021,Russian Federation's imports from world- ,Russian Federation's imports from world-Value in 2012,Russian Federation's imports from world-Value in 2013,Russian Federation's imports from world-Value in 2014,Russian Federation's imports from world-Value in 2015,Russian Federation's imports from world-Value in 2016,Russian Federation's imports from world-Value in 2017,Russian Federation's imports from world-Value in 2018,Russian Federation's imports from world-Value in 2019,Russian Federation's imports from world-Value in 2020,Russian Federation's imports from world-Value in 2021
640419,Footwear with outer soles of rubber or plastics and uppers of textile materials (excluding ...,399038,463717,351000,256703,271816,362166,410625,437561,380946,519480,,7467435,8780149,10993331,12069145,11630416,12670263,12816140,12585823,9410316,11213156,,543310,635370,522683,403920,473508,606655,668330,754977,685183,844611
847170,Storage units for automatic data-processing machines,332059,285546,389110,237447,205331,313787,301375,330499,376575,478905,,18638870,16591268,16635339,14808304,16709092,18653486,17820524,17285611,17341219,16708192,,596580,593139,1026854,983014,771191,1048070,1063429,1039635,1095164,1205837
852859,"Monitors, not incorporating television reception apparatus (excluding with cathode ray tube ...",203783,181495,248703,161623,229884,267505,346549,402547,376397,456611,,4430820,5585418,7103636,7471870,8642170,5840526,4633399,5168215,4551795,4670042,,336372,318803,391266,227724,318408,386637,481349,583941,540690,681595
851830,"Headphones and earphones, whether or not combined with microphone, and sets consisting of a ...",124410,128427,102991,65075,98474,164400,277951,382965,502456,435616,,4209990,4147605,4196547,4129407,3607870,3311654,3405972,3448161,4291381,4349833,,142184,145592,122676,80102,123552,193854,316869,438927,567783,577946
940510,Chandeliers and other electric ceiling or wall lighting fittings (excluding for lighting public ...,206495,174638,168389,107395,97138,160764,233777,276282,273991,416749,,2858669,5125370,8141117,8673030,6789660,7002180,8134915,8834502,9886214,11751888,,359777,325944,296287,173460,156389,232003,301468,349323,351086,513460
850811,"Vacuum cleaners, incl. dry cleaners and wet vacuum cleaners, with self-contained electric motor, ...",37282,39547,38021,20306,32010,51515,79021,135722,250143,405753,,1951387,2171772,2666277,2969992,3008081,3606034,4307329,4400514,5740694,6151412,,93920,101268,92606,53954,70011,107057,140578,221118,333208,524663
841510,"Window or wall air conditioning machines, self-contained or """"split-system""""""""",447569,337700,281398,143527,221514,299019,295821,344323,272235,402911,,8202352,8378242,7865970,7509658,7809803,8828020,9653840,9320309,9457557,9707705,,578583,432556,384355,163216,243830,321504,321482,374929,295319,436366
854370,"Electrical machines and apparatus, having individual functions, n.e.s. in chapter 85",66882,68378,64852,91848,198980,87739,145850,246308,299076,400724,,7596082,7907194,6943312,7436946,7269948,8252622,9933134,11149256,13017151,16941781,,286937,327849,203539,186185,334064,235268,335756,495427,502235,652772
840734,"Spark-ignition reciprocating piston engine, of a kind used for vehicles of chapter 87, of a ...",360674,423021,465067,356230,370467,422867,443928,398629,343153,400424,,627386,625704,588862,954451,1000730,1218220,1567169,1295589,966468,1153086,,2139304,2363641,2027817,939908,819794,1071527,1193538,1288993,1130462,1311111
870323,"Motor cars and other motor vehicles principally designed for the transport of persons, incl. ...",75850,109663,108782,28280,9399,13723,48168,125630,180496,396470,,1692240,1669456,2108906,2006245,2899282,3555632,4064791,3161933,2789814,4045543,,10875766,8804018,6661388,2730303,2230445,2416823,2709405,3129962,1873246,2409822
847180,"Units for automatic data-processing machines (excluding processing units, input or output units ...",13189,15188,18641,30549,70037,248296,207988,175516,178949,393888,,4828383,4759168,4839917,4460400,4293589,5073460,6164928,5457612,6458197,7833031,,56927,58054,58422,73467,105331,299273,273920,244261,261154,470835
640299,Footwear with outer soles and uppers of rubber or plastics (excluding covering the ankle or ...,704226,747308,502824,307757,240361,319625,308771,322772,291467,393467,,14434322,17745974,21317092,19635870,17298639,17169304,15753113,16093709,12612203,15866804,,770769,833615,579896,361520,322039,420939,418613,451374,436805,555102
392690,"Articles of plastics and articles of other materials of heading 3901 to 3914, n.e.s (excluding ...",259128,246854,238105,144991,159063,191870,225311,247600,262146,377569,,7741569,9386622,10733540,10296608,10631943,10852859,12028108,13978499,17537513,20793443,,1012511,1061856,978112,634268,674112,828434,944700,1025419,1052490,1299675
852580,"Television cameras, digital cameras and video camera recorders",652777,419906,275766,177384,187578,259970,288918,268821,300710,373424,,12737641,15798153,11685040,11763605,9478875,9068147,10663587,9746299,10823861,11960916,,1583592,1116715,721542,372438,354328,486739,499923,454418,463894,559165
851770,"Parts of telephone sets, telephones for cellular networks or for other wireless networks and ...",196842,222502,262268,216807,284501,328016,368904,393819,383030,372268,,39594274,47116398,45105066,49585071,48463570,50776282,51951119,47859965,45200289,49192067,,535297,512266,558190,461801,622948,659727,641026,656415,659123,625816
640291,"Footwear covering the ankle, with outer soles and uppers of rubber or plastics (excluding waterproof ...",437397,481186,340129,197984,203943,274039,269745,228971,191148,364066,,968951,1538803,1958864,1825687,1864315,1942419,1991907,2062080,1576252,2162720,,473058,520750,379153,228244,242485,322983,320203,290813,248637,424617
846729,"Electromechanical tools for working in the hand, with self-contained electric motor (excluding ...",141357,146244,137145,74300,70677,125473,138781,149855,163399,360900,,2566292,2861814,3205783,3248723,3307515,3872095,4446105,4848296,5157063,6193252,,413313,287822,277247,133161,132334,232732,236494,219412,244290,490843
842952,"Self-propelled mechanical shovels, excavators and shovel loaders, with a 360¡Æ revolving su ...",153781,38499,57624,14166,25417,127059,165490,171234,158426,353608,,1603518,1313213,1128773,1226430,1096064,1427902,1940452,2230114,2277890,4485883,,1404925,1100755,683152,172006,231937,617193,679585,678692,547437,1100474
870870,"Road wheels and parts and accessories thereof, for tractors, motor vehicles for the transport ...",367850,377662,353416,169162,206861,270021,288077,264755,239341,350336,,4780978,5051339,5581220,5345770,5237552,5936798,6619744,5619383,4865230,6051097,,1268997,1262917,1057654,516159,555924,711455,853673,827839,673752,925705
842951,Self-propelled front-end shovel loaders,282226,310647,215399,67033,76046,164882,179816,222581,188867,350013,,1882870,1690603,1535146,1156458,944280,1531673,1795736,1635377,1505272,2185925,,943112,861261,515707,198607,201366,361566,395382,464870,353854,589047
870322,"Motor cars and other motor vehicles principally designed for the transport of persons, incl. ...",40500,55943,42065,11913,16938,34352,26163,104886,79675,330266,,2210824,2083681,1547389,1181562,1248714,2331269,2961803,3292704,3260786,6693807,,1330373,1273543,734585,165500,175336,309082,345580,471388,374100,836299
640391,"Footwear with outer soles of rubber, plastics or composition leather, with uppers of leather, ...",413479,389795,295390,172945,163084,291823,363491,302676,198440,329432,,1697574,2171214,2625637,2249412,1986384,1849221,1835616,1888075,1484672,1893786,,820042,853882,729371,434650,412817,654579,733557,647839,460812,661744
851679,"Electro-thermic appliances, for domestic use (excluding hairdressing appliances and hand dryers, ...",278945,568652,244977,132073,133895,202337,248616,243915,279193,328446,,2160919,2602288,3036269,3045641,2967053,3169547,3327498,3401464,4268167,4858388,,356582,671493,292321,156911,154449,227566,276552,267206,304955,361343
640399,"Footwear with outer soles of rubber, plastics or composition leather, with uppers of leather ...",468219,409128,328699,222276,172866,245014,303681,335438,267370,317766,,7565277,7978810,8266291,7109036,5688636,5784402,5823234,6116939,4995601,5615478,,1074167,1111252,941959,598017,588850,774268,885965,885950,749918,816707
999999,Commodities not elsewhere specified,2805,2479,6,120785,44538,51506,63771,87741,110525,312944,,1415651,1728194,2266660,2030505,5890469,6204774,5475592,11758017,24996302,34677941,,1417912,1700488,718674,4327079,6581104,8014821,7053690,6153790,9074291,13861409
870423,"Motor vehicles for the transport of goods, with only compression-ignition internal combustion ...""",415598,58606,105720,13289,17022,63935,79100,113814,100285,295379,,1924572,1707544,1776948,1541145,1214192,1490679,1196220,1414662,1188459,2231276,,1143294,704561,662802,280545,362201,708993,967144,1080975,619746,1035122
847160,"Input or output units for automatic data-processing machines, whether or not containing storage ...",220630,179496,131520,84995,116589,149922,163031,172912,236417,293475,,5962127,6100823,6817682,5860399,5483369,4937296,4872540,5062649,7400129,7723280,,291313,235696,169720,120953,156273,202026,209840,229730,320286,348598
870829,"Parts and accessories of bodies for tractors, motor vehicles for the transport of ten or more ...""",231145,237038,232218,106563,113901,134251,125035,123444,117057,282226,,2492965,2916435,3410655,3794378,4266506,4610793,5196888,5548671,6634993,8613104,,2411741,2548005,2141891,1105994,1077887,1575957,1820174,1705925,1617318,2290583
870830,"Brakes and servo-brakes and their parts, for tractors, motor vehicles for the transport of ...",120888,143201,141705,97733,140471,167550,179528,203277,190191,271725,,3733803,4246801,4794241,4704017,4680608,4957535,5633703,5476242,4943457,5645369,,761389,833227,787442,522710,585744,704115,760171,761787,684660,909764
940690,"Prefabricated buildings, whether or not complete or already assembled (excl. of wood, and modular ...",0,0,0,0,0,230145,18266,23025,9823,262825,,0,0,0,0,0,1438746,1514421,1610526,1663933,1821756,,0,0,0,0,24,343401,166576,71293,82926,313445
841370,"Centrifugal pumps, power-driven (excluding those of subheading 8413.11 and 8413.19, fuel, lubricating ...",155034,183482,194231,128056,164896,150721,153636,167320,167089,252677,,1670826,1903839,2116989,2098272,2211687,2293540,2663385,2960366,3340977,3911572,,1041080,1227805,1018169,625921,626080,705117,611561,661417,631998,788057
850940,"Domestic food grinders and mixers and fruit or vegetable juice extractors, with self-contained ...",163417,156031,137966,81936,85345,131699,172300,167519,186665,252279,,2093555,2577399,2858956,2735628,2585918,2668671,2740577,2883648,3840654,4614651,,429965,319759,235482,139595,150285,208937,245023,235978,246134,330791
854231,"Electronic integrated circuits as processors and controllers, whether or not combined with ...",18858,24517,121951,118173,38514,53137,106291,123497,161341,251578,,27056528,37458193,26922046,30661940,26760149,27198345,29567607,35800142,40205837,45624922,,242317,288088,546366,507806,424334,538515,587490,645350,730925,863073
732690,"Articles of iron or steel, n.e.s. (excluding cast articles or articles of iron or steel wire)",151495,157911,156488,97541,101463,131081,162536,238344,199713,251195,,4997600,5504037,5814012,5927523,5342813,5769067,6748713,6928980,7817290,10545923,,1206149,1256131,1286328,760066,798082,990657,1103367,1175011,1132987,1298789
853950,"Light-emitting diode """"LED"""" lamps""""",0,0,0,0,0,186776,224717,242161,187051,248528,,0,0,0,0,0,5239203,5707137,5421180,5810853,5455642,,0,0,0,0,2,202924,235502,246966,191341,253683
851660,"Electric ovens, cookers, cooking plates and boiling rings, electric grillers and roasters, ...",108063,84762,59495,33807,53483,79042,115252,125072,160888,245388,,3124717,3651434,3650517,3707855,3636944,4177659,4988896,5303948,6672479,7988031,,699162,599630,569396,327085,361735,413796,496478,503905,546594,681873
851761,"Base stations of apparatus for the transmission or reception of voice, images or other data",290326,243996,275152,767758,212547,188090,227550,347292,225701,244595,,3762326,3373442,3575420,4313685,3335834,3055033,2332563,2396464,2139775,1981289,,831871,751561,1257231,1194692,744479,820961,732933,575995,491922,571503
852852,Monitors capable of directly connecting to and designed for use with an automatic data processing ...,0,0,0,0,0,136448,136665,153112,198754,230573,,0,0,0,0,0,6602508,8972933,9095985,10075026,13088408,,0,0,0,0,727,154772,156318,171755,219466,265842
853710,"Boards, cabinets and similar combinations of apparatus for electric control or the distribution ...",114640,131090,181884,130935,128694,147481,182370,195025,201245,222837,,3853060,4537319,5152446,5692145,5829079,6422524,7901988,8317032,7717204,8719845,,1565747,1320488,1214654,845593,826990,1060669,1108917,1080740,1126440,1323395
870840,"Gear boxes and parts thereof, for tractors, motor vehicles for the transport of ten or more ...",76060,100690,78798,50761,45259,65712,66800,108532,92991,218506,,1290695,1846851,1915634,1651247,1500257,1659983,1898488,1605950,1612917,2145761,,1548756,1737908,1450673,785663,856412,1254878,1434571,1436325,1224702,1681148
420292,"Travelling-bags, insulated food or beverage bags, toilet bags, rucksacks, shopping-bags, map-cases, ...",202736,236316,202548,123418,109348,152749,194209,175083,152757,216281,,4237702,4544787,4367099,4868206,4300680,4906812,6078807,6563510,6140653,7670167,,269666,304542,267250,167139,156059,210848,257117,241415,210392,283308
847141,"Data-processing machines, automatic, comprising in the same housing at least a central processing ...",126275,108598,30511,39467,121560,203876,289756,218118,232812,213385,,4377850,4208729,3929256,2747799,2000406,1994444,2431804,2504558,2603626,3140525,,239173,206019,97581,81551,157163,257180,336938,257126,276547,262473
620193,"Men's or boys' anoraks, windcheaters, wind jackets and similar articles, of man-made fibres ...",216802,282976,289661,161844,162841,213085,237367,226646,164349,205422,,3949263,4507750,4781601,4095517,3878428,3891924,3877313,3565597,2560432,3266024,,336626,416185,420779,247252,250758,331832,383728,388811,314087,383951
870880,"Suspension systems and parts thereof, incl. shock-absorbers, for tractors, motor vehicles for ...",78453,103456,103437,76072,102131,145506,151236,156463,131159,203394,,1693712,1997952,2255950,2322029,2238083,2485261,2899178,2861009,2759104,3493036,,1162277,1203506,997392,544015,636303,862331,929662,885118,729110,1032844
390761,"Poly""""ethylene terephthalate"""", in primary forms, having a viscosity number of >= 78 ml/g""""",0,0,0,0,0,56251,131385,144731,96500,196692,,0,0,0,0,0,2087097,3301801,2941525,1734189,2474898,,0,0,0,0,227,103406,166313,167008,115586,239425
731814,"Self-tapping screws, of iron or steel (excl. wood screws)",83084,89776,83743,83015,86509,93668,112595,126049,102552,196202,,348803,364210,416815,427089,425504,477567,591894,631064,732712,1021428,,146211,162263,134549,125482,125452,140386,176895,190202,158858,262306
940540,"Electric lamps and lighting fittings, n.e.s.",147323,137776,145998,110938,104604,170652,167252,178048,165012,195078,,5971647,9088013,14459201,16910153,16975612,14130457,13688052,14851047,17393122,20490076,,259161,244608,227071,160171,157281,266279,267065,277832,229371,272221
291736,Terephthalic acid and its salts,0,2,20489,25482,30226,57088,127983,215399,150980,193277,,11546,130175,422428,425724,419014,336985,715562,517917,395795,1496520,,137717,157672,103144,105260,134160,156050,225428,311805,163633,216927
854140,"Photosensitive semiconductor devices, incl. photovoltaic cells whether or not assembled in ...",42861,61534,92177,95300,77964,107678,195253,256568,196386,191835,,17483233,15759176,19389065,22831268,16923149,16469237,18218687,23600450,23843115,29982563,,124442,158776,179789,183056,165981,207058,305233,350584,281014,280574
843149,"Parts of machinery of heading 8426, 8429 and 8430, n.e.s.",66466,76143,73121,55338,85460,100408,117089,137322,121739,190437,,3165429,3167006,3768226,3194536,3027450,3817871,4765701,4716730,4117092,5948796,,379930,435763,366723,263974,291199,369694,413684,456300,420114,556730
841480,"Air pumps, air or other gas compressors and ventilating or recycling hoods incorporating a ...",79941,89045,86860,58842,65953,89218,101083,103965,128722,185903,,1806191,2003402,2396602,2219635,2260832,2279699,2597969,2523684,2945617,3796323,,969108,1240185,1001635,565655,558342,604240,517620,551042,577094,655928
620293,"Women's or girls' anoraks, windcheaters, wind jackets and similar articles, of man-made fibres ...",179060,227505,238560,148581,151185,186036,210824,182880,154509,185690,,3731623,4764292,5455048,5049933,4361279,4758067,4816473,4053368,3121531,4099624,,252191,309947,321777,202398,212593,268796,314096,295216,259587,320135
721934,"Flat-rolled products of stainless steel, of a width of >= 600 mm, not further worked than ...""",8185,9105,16152,18334,33353,57443,84049,67282,70768,182640,,498958,630123,950579,620558,589709,720850,837981,776504,801397,1669255,,92295,100173,114135,86972,101719,130530,149057,121841,121998,242849
871200,"Bicycles and other cycles, incl. delivery tricycles, not motorised",82190,88961,80131,63153,53204,67042,82363,90537,101861,181311,,3196451,3189308,3580002,3515599,3142050,3145784,3284610,2880681,3690811,4694252,,107243,119906,114392,82521,68175,81903,105309,108639,124641,212497
854442,"Electric conductors for a voltage <= 1.000 V, insulated, fitted with connectors, n.e.s.",136369,125528,116676,71607,87875,112841,129982,130822,142374,181223,,7223812,8389753,10583329,9962815,10239145,10748180,10804906,10380145,11459565,13288557,,282204,274723,262296,171073,193847,250728,290181,300516,295348,366722
847989,"Machines and mechanical appliances, n.e.s.",121336,84550,107003,66318,65942,82579,114419,111574,208909,180008,,1337829,1455000,2018115,2087395,2593726,2852789,3558331,4244747,4846439,5219037,,1072000,1495391,1096813,742760,788874,869978,960527,917448,992239,1208468
844399,"Parts and accessories of printers, copying machines and facsimile machines, n.e.s. (excluding ...",283746,278960,243584,151850,136065,156738,178644,168903,147127,179052,,8058635,8158025,8286053,7670326,7080116,7010502,6813843,6433177,5529963,5721194,,743222,753007,677047,333125,316777,370365,378282,369237,289450,362313
681599,"Articles of stone or of other mineral substances, n.e.s.",158672,153671,156303,127574,131442,169076,243066,217261,154669,177306,,140428,155315,216494,227775,236042,257070,313204,345633,344302,348030,,188119,181947,186709,148080,160008,196446,276149,251348,202229,201523
850980,"Electromechanical domestic appliances, with self-contained electric motor (excluding vacuum ...",38457,51163,62962,54237,42293,51565,66225,74825,102745,177132,,1419181,1622243,1896284,2121148,2060136,2319401,2734145,3308388,5536011,6469567,,96077,121627,106595,80442,69102,85398,112622,132095,168888,255984
721070,"Flat products of iron or non-alloy steel, of a width of >= 600 mm, hot-rolled or cold-rolled ...""",468915,306763,320399,180391,182656,225706,136045,141687,78214,175847,,4352264,3691519,4796353,4295120,4056657,4498692,4949453,4844696,4644328,6366984,,1173796,1032167,881731,459244,386999,440578,359464,371042,284423,436446
611030,"Jerseys, pullovers, cardigans, waistcoats and similar articles, of man-made fibres, knitted ...",251089,314904,273705,156877,152656,195777,188070,177620,142122,173401,,9975364,10463319,11241038,10849559,9671340,9586244,10289138,10464396,8574587,10209982,,378562,454293,418649,260836,270079,351206,360219,356461,291810,355946
870850,"Drive-axles with differential, whether or not provided with other transmission components, ...",91518,77044,69869,22986,29240,43494,47332,60958,85271,168796,,767090,890640,1042677,1003805,915994,996703,1112936,1058545,1179694,1633933,,701435,735007,602048,238559,287357,437578,515719,519442,489933,784472
901890,"Instruments and appliances used in medical, surgical or veterinary sciences, n.e.s.",158739,158993,150901,110178,118888,137617,139384,152081,203927,167954,,1183259,1333426,1435886,1515831,1602703,1657805,1874187,2201100,2878857,2894121,,1398525,1198787,1257837,732659,853792,900819,930321,1066345,1147334,1303655
401110,"New pneumatic tyres, of rubber, of a kind used for motor cars, incl. station wagons and racing ...",106591,113689,106411,49977,48608,75224,118202,136520,128461,167234,,5878993,6183586,6055198,4905323,4624310,5031723,5430335,5571778,4867161,5552397,,1424432,1241104,998431,487843,461238,654043,753904,779730,615632,762922
293399,"Heterocyclic compounds with nitrogen hetero-atom[s] only (excluding those containing an unfused ...""",26770,29593,32844,32602,38293,52834,81369,77061,159285,166918,,1555146,1517164,1667295,1708063,1817218,1937334,2142233,2143647,2811820,3148085,,190782,199652,138541,163501,174649,270399,282320,276733,371648,445341
890190,Vessels for the transport of goods and vessels for the transport of both persons and goods ...,14937,14111,24201,22296,7713,28467,117460,126495,79986,166334,,27920681,18115196,15075442,16259137,12764839,11084017,11027529,10614970,11231193,11967389,,293126,467909,229751,123043,351682,542725,862649,384581,222090,433812
620213,"Women's or girls' overcoats, raincoats, car coats, capes, cloaks and similar articles, of man-made ...",105417,122444,127777,82560,85341,116693,155640,161491,122163,163134,,1326003,1446004,1521043,1329074,1177466,1391240,1837484,1824903,1292914,1523228,,148766,167681,173732,114747,121219,168320,226556,237882,183742,235554
841810,"Combined refrigerator-freezers, with separate external doors or drawers, or combinations thereof",120429,61143,80694,24111,27873,55240,77119,94831,118957,162324,,1881055,1944506,2132819,2015619,2175599,2731409,3198018,3464530,4437762,5280294,,564992,489134,454358,245036,249128,290616,326567,314345,355188,392994
854519,"Electrodes of graphite or other carbon, for electrical purposes (excluding those used for furnaces)",129572,103345,75365,93949,81490,105766,118235,90530,107436,160092,,805828,902880,670587,589901,503359,613246,853151,678660,795244,1253212,,139099,110868,78889,98685,83541,108158,124427,97371,109974,162645
950450,Video game consoles and machines (excluding operated by any means of payment),232280,164828,213980,122237,72565,150814,159884,190790,137247,158664,,7253069,6099963,5854739,8399952,9670460,11920953,11043000,9131034,9981580,13522404,,232948,166246,214807,123265,72982,154700,164309,197675,142341,169256
300190,"Dried glands and other organs for organo-therapeutic uses, whether or not powdered; heparin ...",11806,15246,12317,7466,7422,7100,12695,16967,70548,158647,,1021554,932127,892981,932821,835892,992068,1275967,1259428,1478452,1582830,,13330,16377,14054,8026,8182,7854,16551,27178,81000,197765
392620,Articles of apparel and clothing accessories produced by the stitching or sticking together ...,52064,53017,41192,25857,27433,33837,43238,44380,139155,158175,,2441153,2475238,2484049,2498666,2211797,2496904,2584765,2239346,6403687,5036812,,60582,61093,54185,32196,33895,43127,52351,54480,150636,173000
811100,"Manganese and articles thereof, n.e.s.; manganese waste and scrap (excluding ash and residues ...",20916,58229,54556,74380,60936,118360,139788,119274,95232,156035,,343215,574689,723791,592479,584538,847770,944222,786649,547718,1019652,,39419,71207,71016,88361,72320,130019,150986,126322,96543,162323
841590,"Parts of air conditioning machines, comprising a motor-driven fan and elements for changing ...",97444,94730,108892,76964,87607,105259,92625,103002,104511,155632,,2899566,2967844,3180240,3112882,3219509,4291359,5096367,5481871,5073228,6670989,,403528,402748,381109,245548,231199,286606,278267,287468,273645,343809
847149,"Data-processing machines, automatic, presented in the form of systems """"comprising at least ...""",35284,35964,94359,171446,78080,120248,171085,154455,149223,152599,,3886197,4964861,4439511,4105674,3527777,5155403,6087845,5126847,5141272,4708174,,177922,159690,222073,281823,181737,255905,283860,255879,249209,239868
950699,Articles and equipment for sport and outdoor games n.e.s; swimming and paddling pools,97089,87017,87863,53076,45075,58802,72273,87260,88746,152514,,1704783,1732340,2021068,2072321,1898923,1936471,2264520,2560532,2945103,4196586,,143298,132849,130699,78805,71429,92167,111215,129710,124387,196955
853400,Printed circuits,63897,55418,50983,41928,86639,112326,121803,104513,106239,151328,,13739259,13347306,13837881,14134098,12910074,13972709,15270708,14653143,15105857,18916641,,90418,78003,261268,66318,106674,136406,140624,125540,129976,177909
761699,"Articles of aluminium, n.e.s.",107735,97126,46526,20071,101863,127892,140213,148704,109298,151281,,2406901,2653768,2952151,2894655,2748207,2820025,3221520,3169550,3411107,4220350,,270044,259801,193154,120430,219561,261468,289757,296892,240584,310781
850760,Lithium-ion accumulators (excluding spent),19946,25229,31456,35334,49530,65754,89675,94081,103710,149223,,4464821,4707565,5475430,6493855,6814605,8035482,10821769,13031189,15941002,24963112,,51100,47176,52022,53706,69919,88450,122807,137185,158350,208905
293139,"Separate chemically defined organo-phosphorous derivatives, n.e.s.",0,0,0,0,0,745,1379,3658,31010,147084,,0,0,0,0,0,1626583,2130309,1811378,1710320,2864803,,0,0,0,0,0,1149,2275,6676,44316,183514
721933,"Flat-rolled products of stainless steel, of a width of >= 600 mm, not further worked than ...""",4401,3541,18144,23452,34512,64586,107531,60457,59260,146120,,533064,600140,1022880,655761,565386,712758,787281,645888,689255,1374192,,90508,92416,100032,83922,100034,156009,197300,146484,171260,252240
870899,"Parts and accessories, for tractors, motor vehicles for the transport of ten or more persons, ...",100051,106876,93717,48831,53087,63057,75244,84538,84062,145208,,3840141,4083632,4380924,3982888,3935376,4431499,5067627,5147457,5041408,6608520,,1129762,1232308,1103632,627279,762556,1080766,1173456,1122782,966021,1299081
