Product code,Product label,Australia's imports from Saudi Arabia-Value in 2012,Australia's imports from Saudi Arabia-Value in 2013,Australia's imports from Saudi Arabia-Value in 2014,Australia's imports from Saudi Arabia-Value in 2015,Australia's imports from Saudi Arabia-Value in 2016,Australia's imports from Saudi Arabia-Value in 2017,Australia's imports from Saudi Arabia-Value in 2018,Australia's imports from Saudi Arabia-Value in 2019,Australia's imports from Saudi Arabia-Value in 2020,Australia's imports from Saudi Arabia-Value in 2021,Saudi Arabia's exports to world- ,Saudi Arabia's exports to world-Value in 2012,Saudi Arabia's exports to world-Value in 2013,Saudi Arabia's exports to world-Value in 2014,Saudi Arabia's exports to world-Value in 2015,Saudi Arabia's exports to world-Value in 2016,Saudi Arabia's exports to world-Value in 2017,Saudi Arabia's exports to world-Value in 2018,Saudi Arabia's exports to world-Value in 2019,Saudi Arabia's exports to world-Value in 2020,Saudi Arabia's exports to world-Value in 2021,Australia's imports from world- ,Australia's imports from world-Value in 2012,Australia's imports from world-Value in 2013,Australia's imports from world-Value in 2014,Australia's imports from world-Value in 2015,Australia's imports from world-Value in 2016,Australia's imports from world-Value in 2017,Australia's imports from world-Value in 2018,Australia's imports from world-Value in 2019,Australia's imports from world-Value in 2020,Australia's imports from world-Value in 2021
290531,"Ethylene glycol """"ethanediol""""""""",0,0,0,19820,21468,39,39,0,161,2686,,3097186,1598386,1552961,1039576,337963,458026,1123883,1305779,907148,1431899,,0,6781,8067,28491,33020,11874,9946,7851,4826,10599
540234,Textured synthetic filament yarn of polypropylene (excluding sewing thread and yarn put up ...,574,408,496,399,536,646,15,1909,2319,2427,,48604,72441,60761,28056,14621,6398,2542,3460,1175,6885,,8389,11671,12064,12998,12228,11352,8803,8774,9971,12059
390110,"Polyethylene with a specific gravity of < 0,94, in primary forms",2970,2,213,766,1470,645,2569,602,2111,2309,,3285565,4016457,4133526,3384236,3582379,3705728,5152007,4147191,3814703,5482878,,63947,84162,98422,79581,74446,74198,85118,65197,62269,89015
290943,Monobutyl ethers of ethylene glycol or of diethylene glycol,0,0,0,0,0,353,1556,778,850,2284,,1458701,4173212,3580571,3002987,2234056,2897239,3513200,2807251,2110099,2926462,,6046,6691,6439,6766,6076,6550,6395,5533,5403,7685
392010,"Plates, sheets, film, foil and strip, of non-cellular polymers of ethylene, not reinforced, ...",1601,1494,2050,958,464,2025,2974,1283,1163,2264,,115873,162878,142510,158465,206605,195776,226434,173908,184742,303841,,256199,273363,275772,259440,265376,284486,307240,289410,298654,336859
292211,Monoethanolamine and its salts,0,0,0,123,241,487,1865,1385,1892,2139,,9870,23552,25388,18497,22325,61817,110472,144272,91912,110401,,0,2116,3556,2996,2751,2967,3641,3313,3603,3756
870410,Dumpers for off-highway use,0,0,0,0,0,1179,0,813,0,1984,,2028,3673,1986,2024,668,5862,1580,0,0,0,,2904685,729661,474436,301523,254991,372882,749700,798717,838024,929666
701090,"Carboys, bottles, flasks, jars, pots, phials and other containers, of glass, of a kind used ...",5314,9643,10143,6002,0,3,2119,2536,1312,1843,,49049,48280,41658,30133,22003,14736,35955,53891,46676,106712,,86092,108001,123679,144886,173859,167510,161750,131885,133870,136563
390740,"Polycarbonates, in primary forms",44,0,0,0,99,372,2552,88,484,1661,,450858,317261,430570,332849,278455,355918,484363,607111,486435,373282,,34414,2561,4943,26431,21850,22482,19247,14057,13838,21349
830990,"Stoppers, caps and lids, incl. screw caps and pouring stoppers, capsules for bottles, threaded ...",0,7015,11644,14761,17983,1655,1108,1757,1724,1640,,127700,126659,120038,156688,97071,84901,89714,77024,74660,130549,,66878,78302,88893,77372,76637,54757,56617,53422,54887,56012
850490,"Parts of electrical transformers and inductors, n.e.s.",0,0,0,8,0,0,0,317,1236,1588,,2577,3753,516,4483,3780,3199,5567,329,170,27,,39214,39299,31747,44715,32528,66641,39464,33182,45653,55715
700529,"Float glass and surface ground and polished glass, in sheets, but not otherwise worked (excluding ...""",144,43,18,0,10,46,1207,750,1954,1400,,26412,24445,21419,29519,38795,33440,31633,37548,34073,49536,,27985,26323,28517,27895,26125,27917,28648,25320,18751,28060
292910,Isocyanates,2,0,0,0,0,0,5868,5486,2660,1376,,49,138,207,17,21,309069,961009,257418,256115,150834,,36693,34687,32539,27991,25558,48468,49801,25737,22631,37394
293399,"Heterocyclic compounds with nitrogen hetero-atom[s] only (excluding those containing an unfused ...""",478,87,479,111,97,711,2131,1824,1154,1039,,3933,3637,4005,3006,1913,3148,706,423,2484,4208,,58671,52122,52990,64489,61666,81396,76252,54222,64681,102047
80410,Fresh or dried dates,131,72,171,224,240,366,468,286,557,969,,74860,102943,129670,140135,141564,182379,201393,229833,245969,322840,,12351,10710,13726,14852,13940,15029,14440,12293,14452,15556
700510,"Float glass and surface ground or polished glass, in sheets, having an absorbent, reflecting ...",6,0,0,0,0,33,174,98,194,733,,5357,9493,12192,23250,21066,26698,36069,31499,34938,31387,,4214,3030,3953,5833,8366,8401,9243,8972,9999,11459
890391,"Sailboats and yachts, with or without auxiliary motor, for pleasure or sports",164,64,0,0,0,0,0,0,0,731,,138,0,0,8,0,33,5,0,0,0,,66150,56206,55589,46509,42232,54252,54247,37276,33860,47119
290129,"Hydrocarbons, acyclic, unsaturated (excluding ethylene, propene """"propylene"""", butene """"butylene"""" ...""",0,0,104,0,196,88,0,0,0,622,,136590,144758,120046,80126,39860,12118,21666,17065,6505,11654,,16011,10322,27641,19003,16271,10654,10313,11427,10485,10622
852560,"Transmission apparatus for radio-broadcasting or television, incorporating reception apparatus",0,0,11,0,0,0,0,0,0,595,,1170,754,1553,1758,635,765,257,0,0,0,,231639,251923,172549,205200,127177,104537,115501,103248,98236,136207
540249,"Synthetic filament yarn, incl. synthetic monofilament of < 67 decitex, single, untwisted or ...",0,0,0,1301,1021,1311,891,576,686,557,,104,0,0,12,92,98,0,11,0,0,,1459,1756,2054,4034,4200,3181,4007,3384,3758,2721
400270,"Ethylene-propylene diene rubber """"EPDM"""", non-conjugated, in primary forms or in plates, sheets ...""",0,0,0,0,0,398,368,0,2,501,,55,410,1363,532,1944,17254,31066,53562,86123,249489,,11040,6416,6232,6320,4973,5511,5176,6781,7345,8832
820719,"Rock-drilling or earth-boring tools, interchangeable, and parts therefor, with working parts ...",1455,1270,2129,650,207,131,66,101,40,484,,7971,19575,14461,15838,13801,34319,25225,19833,10392,21652,,156852,102575,109136,82767,73544,82875,94546,103415,90819,126322
292212,Diethanolamine and its salts,0,0,0,0,0,72,763,163,84,419,,75692,89098,45069,27198,23569,132092,105958,104755,89899,103344,,2443,621,0,1891,1739,2248,2263,1735,1606,1957
701939,"Webs, mattresses, boards and similar nonwoven products, of glass fibres (excluding mats and ...""",15,0,0,0,70,141,186,45,132,363,,31,0,0,241,374,1332,873,234,166,116,,8873,6899,17824,25044,32622,29404,33100,32019,27450,24758
710691,"Silver, incl. silver plated with gold or platinum, unwrought (excluding silver in powder form)",0,0,0,0,0,0,0,0,1145,361,,336,1650,262,590,1283,107,185,541,1964,2076,,71133,77265,67364,38540,35759,25917,19609,32476,359278,241059
200899,"Fruit and other edible parts of plants, prepared or preserved, whether or not containing added ...",0,32,10,127,99,254,239,219,365,343,,360,33,0,81,2024,231,4,222,0,33,,50602,54329,55476,59829,55628,72020,68399,62028,67623,77860
482369,"Trays, dishes, plates, cups and the like, of paper or paperboard (excluding of bamboo paper ...",0,0,0,0,0,0,250,522,666,322,,5103,4971,6204,9836,10135,9793,11733,12251,17214,29044,,69984,75242,90693,85225,87642,91235,100667,101409,96550,124012
540490,"Strip and the like, e.g. artificial straw, of synthetic textile material, with an apparent ...",723,1644,444,83,93,226,239,601,95,318,,3091,5884,7577,17406,600,22,1242,1111,246,13564,,5499,6162,5111,5617,2805,4279,4913,5213,3753,4674
390330,"Acrylonitrile-butadiene-styrene copolymers """"ABS"""", in primary forms""""",0,0,0,0,0,0,124,220,88,310,,0,0,71,25,8335,85777,141469,121349,90281,252955,,26192,22160,21705,19918,16404,19988,20554,14593,11900,26055
220210,"Waters, incl. mineral and aerated, with added sugar, sweetener or flavour, for direct consumption ...",159,271,303,1485,263,168,91,131,216,272,,105014,103953,98138,89299,35221,67020,49938,72356,79727,80177,,201766,197046,217722,186081,188238,206222,216136,209842,208685,263448
340490,"Artificial waxes and prepared waxes (excluding poly""""oxyethylene"""" [polyethylene glycol] waxes)""""",226,443,568,668,416,638,597,888,662,239,,0,600,2096,2781,3938,5549,11308,11240,10822,13865,,13313,11793,12264,13889,17615,15136,16215,14690,15940,23103
842449,Agricultural or horticultural sprayers (excl. portable),0,0,0,0,0,519,402,511,1414,226,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,56786,62327,66532,63882,73801
290944,Monoalkylethers of ethylene glycol or of diethylene glycol (excluding monobutyl ethers),23,21,22,0,0,0,28,0,0,202,,265749,809,354545,299079,324370,508508,605763,111440,234,936,,2443,2653,2467,1719,1956,1589,1604,1456,1578,3047
292129,"Acyclic polyamines and their derivatives; salts thereof (excluding ethylenediamine and hexamethylenediamine, ...",183,102,0,406,56,184,95,357,192,200,,3659,842,28378,46624,57535,47278,56745,41519,10485,16958,,6531,6834,7241,5335,4054,5057,4980,4722,3816,5783
340420,"Poly""""oxyethylene"""" [polyethylene glycol] waxes""""",27,410,391,28,0,0,0,41,32,152,,1412,1782,914,893,4027,3901,1403,3491,1633,576,,1823,2360,2690,2311,1516,1570,1414,1500,1985,2163
320300,"Colouring matter of vegetable or animal origin, incl. dye extracts (excluding animal black), ...",0,1,0,1,2,0,2,2,6,151,,0,0,0,4,51,23,34,0,0,1,,16973,15952,17323,23910,17748,18910,19841,17839,21077,26631
760720,"Aluminium foil, backed, of a thickness (excluding any backing) of <= 0,2 mm (excluding stamping ...",61,133,165,130,149,170,201,163,283,148,,1702,3900,495,3366,20021,20380,53278,15368,10207,33225,,40508,41727,37938,38778,40459,42378,41034,39694,34576,45636
292215,Triethanolamine,0,0,0,0,0,43,167,140,67,133,,0,0,0,0,0,0,0,0,0,57982,,0,0,0,0,0,3422,4866,3199,2946,3593
40900,Natural honey,6,0,7,32,89,43,55,2,254,129,,35813,31336,35976,24219,25827,30188,14277,9938,13555,25046,,19073,20249,39609,55577,43837,45041,52521,36121,40101,34809
382499,"Chemical products and preparations of the chemical or allied industries, incl. those consisting ...",0,0,0,0,0,273,316,283,244,122,,0,0,0,0,0,0,0,0,0,23867,,0,0,0,0,0,211404,238153,210891,232148,275400
291512,Salts of formic acid,0,0,0,0,0,0,0,0,0,117,,2976,2837,3339,1901,1643,2331,4182,3200,972,2735,,890,1254,1132,1046,827,1869,1878,1444,9614,2468
382440,"Prepared additives for cements, mortars or concretes",0,0,0,0,0,0,0,41,114,105,,5141,16979,29250,24262,22966,24641,20575,14839,14467,24813,,21534,21896,25735,21006,16760,24579,27093,26705,21144,27563
151529,"Maize oil and fractions thereof, whether or not refined, but not chemically modified (excluding ...",57,72,21,41,53,23,140,97,86,104,,75257,82259,76112,75387,66771,58240,55782,56386,49305,45893,,4025,3461,3656,2707,2951,2319,1935,1272,1805,1409
390931,"Poly""""methylene phenyl isocyanate"""" """"crude MDI, polymeric MDI"""", in primary forms""""",0,0,0,0,0,245,2684,1858,1581,103,,0,0,0,0,0,0,0,0,0,331962,,0,0,0,0,0,5310,8826,10755,10563,18629
340130,"Organic surface-active products and preparations for washing the skin, in the form of liquid ...",0,0,1,0,0,0,383,217,984,100,,6507,8986,10853,10951,3413,2842,1773,14,78,810,,63416,68623,78748,81872,78953,84204,100414,84760,127894,98240
390720,"Polyethers, in primary forms (excluding polyacetals and goods of 3002 10)",0,0,0,48,20,133,46,0,276,98,,776,7608,4405,5232,5558,211029,605809,633743,489422,995149,,58244,48183,51182,44803,36833,42932,44227,52196,59239,93924
392590,"Building elements for the manufacture of floors, walls, partition walls, ceilings, roofs, etc., ...",0,0,0,0,0,0,0,0,0,95,,6161,8013,8013,10990,2002,1573,1227,576,631,1224,,38432,47886,55324,62341,68889,71395,74733,72803,76564,96608
903180,"Instruments, appliances and machines for measuring or checking, not elsewhere specified in ...",399,17,13,3,2,3,3,53,31,91,,1052,2694,5535,6737,5298,7257,4452,20,22,2,,305217,280318,360676,322543,329914,265347,288698,307551,296332,328704
842123,Oil or petrol-filters for internal combustion engines,38,14,22,30,35,38,35,64,83,86,,3685,4660,4634,4621,3279,3321,3487,2757,2393,1605,,127073,125819,132877,132603,125156,137292,144756,154518,162713,177696
81190,"Frozen fruit and nuts, uncooked or cooked by steaming or boiling in water, whether or not sweetened ...",0,0,0,0,0,0,0,0,18,85,,41,886,0,27,0,12,34,101,100,0,,51680,70712,83718,80966,95515,94758,100821,109923,125670,132629
220299,"Non-alcoholic beverages (excl. water, fruit or vegetable juices, milk and beer)",0,0,0,0,0,183,205,167,149,80,,0,0,0,0,0,0,0,0,0,41082,,0,0,0,0,0,32973,33124,38269,54652,101166
851690,"Parts of electric water heaters, immersion heaters, space-heating apparatus and soil-heating ...",0,0,0,0,0,0,0,0,9,79,,0,30,131,115,191,1418,2249,9,7,33,,21615,23152,21263,21305,32236,35954,29556,24406,26423,30959
392690,"Articles of plastics and articles of other materials of heading 3901 to 3914, n.e.s (excluding ...",128,48,8,1,4,6,0,75,0,76,,39834,34141,18350,14576,4337,4555,8376,4892,2773,4206,,657758,668580,685486,634586,625176,698755,786044,751248,903008,969416
730840,"Equipment for scaffolding, shuttering, propping or pit-propping (excluding composite sheetpiling ...",0,0,0,0,0,0,0,0,0,74,,2896,4446,4662,5852,10031,18507,22658,3969,5329,538,,84475,93776,86974,90830,120595,101810,96758,88490,62905,127731
330741,"""Agarbatti"""" and other odoriferous preparations which operate by burning""""",0,1,0,2,2,1,2,4,3,63,,4602,3123,2044,4002,5267,5645,3940,2650,5041,7527,,3018,2769,3470,2843,3131,3284,3470,3477,4243,6869
540239,"Textured synthetic filament yarn (excluding sewing thread, yarn put up for retail sale and ...",0,0,0,130,0,2,0,0,0,60,,438,422,826,266,424,161,5,294,722,259,,1481,1506,2341,1227,218,355,398,775,192,177
330300,"Perfumes and toilet waters (excluding aftershave lotions, personal deodorants and hair lotions)",28,8,29,6,11,8,6,4,5,59,,25634,28747,30737,43093,63977,80973,85615,29633,19817,36105,,336228,358294,314249,316233,288471,318263,335225,378207,306926,362742
293359,"Heterocyclic compounds with nitrogen hetero-atom[s] only, containing a pyrimidine ring, whether ...""",0,0,0,0,0,2,3,2,3,58,,0,243,120,0,777,2031,3892,4875,2113,1605,,146329,157087,112938,72471,33251,21330,29020,23690,20883,33706
680422,"Millstones, grindstones, grinding wheels and the like, without frameworks, for sharpening, ...",0,0,0,0,0,0,0,0,0,55,,0,0,61,361,289,866,1648,1191,700,1705,,31301,25523,27343,25401,24742,28494,30045,30673,28992,29320
490199,"Printed books, brochures and similar printed matter (excluding those in single sheets; dictionaries, ...",93,94,163,77,160,184,42,76,47,54,,16565,21547,18218,20957,24705,17763,12735,14342,2737,3129,,533864,432138,450689,406158,359205,343454,337313,322639,297445,338897
851671,"Electro-thermic coffee or tea makers, for domestic use",0,0,0,0,0,0,0,5,78,54,,149,112,1215,478,473,542,746,0,0,0,,154865,118868,107077,84872,94835,95615,103554,98567,128870,175000
290250,Styrene,0,0,0,1,0,0,25,56,46,52,,1774419,1755784,1987511,1355523,1287086,1313016,1242125,1499683,1112860,1418800,,26970,35420,28620,22900,15401,21066,23043,17222,10242,23052
210690,"Food preparations, n.e.s.",51,29,49,7,16,27,48,51,63,45,,7117,8703,8022,10108,8531,11114,19647,16531,19116,19447,,1210138,1265084,1224440,1193919,1206955,915116,1122181,1459633,1397965,1556710
842121,Machinery and apparatus for filtering or purifying water,0,0,0,0,0,58,238,240,206,42,,7592,4501,6051,6916,3486,7370,74891,82014,89434,94436,,175213,165424,146383,139243,117802,123443,149944,158531,186665,171685
391990,"Self-adhesive plates, sheets, film, foil, tape, strip and other flat shapes, of plastics, whether ...",0,0,0,0,0,0,0,0,0,42,,59619,67955,115258,68177,28957,26175,33015,36655,21423,14486,,171005,164677,187005,177621,184667,200042,201593,188252,189861,246253
847989,"Machines and mechanical appliances, n.e.s.",46,4,0,477,0,44,48,0,66,41,,6921,2751,6218,8243,6797,12924,6767,324,102,134,,1122572,770085,824049,1294588,734904,684131,660518,695531,605930,859405
820713,"Rock-drilling or earth-boring tools, interchangeable, with working parts of sintered metal ...",0,0,15,1,8,0,0,0,0,40,,0,0,86,55,338,321,222,892,364,304,,69742,64939,51894,44018,41567,49099,60055,60911,58646,63224
390190,"Polymers of ethylene, in primary forms (excluding polyethylene and ethylene-vinyl acetate  ...",0,0,0,0,0,0,306,25,25,40,,95263,170157,187334,164462,173721,697618,598741,395003,460186,507051,,0,62281,77015,68185,55045,32083,34380,31604,23922,25801
841229,Hydraulic power engines and motors (excluding hydraulic turbines and water wheels of heading ...,2,0,0,0,0,0,0,0,1,39,,579,3742,7092,4858,2832,4282,4235,207,0,146,,110663,84379,90475,72531,85952,79608,83666,88808,88277,82059
700600,"Sheets or profiles of glass, whether or not having an absorbent, reflecting or non-reflecting ...",11,24,25,11,12,21,42,23,24,37,,0,229,0,1,5,1,1095,0,814,795,,7366,7504,9514,10438,15447,16880,15999,9991,9756,11641
851150,Generators of a kind used for internal combustion engines (excluding magneto dynamos and dual ...,73,9,0,0,0,88,148,51,17,36,,6083,3160,1900,878,2866,3422,9806,68,1191,9,,80163,77176,78131,129637,98398,81100,65196,59314,57995,65385
680610,"Slag-wool, rock-wool and similar mineral wools, incl. intermixtures thereof, in bulk, sheets ...",0,0,0,0,0,0,12,45,7,35,,6326,6670,5452,6092,8350,12092,16299,20398,12616,16763,,6667,8668,9187,9588,9844,9784,9457,8077,7305,9611
40690,"Cheese (excluding fresh cheese, incl. whey cheese, curd, processed cheese, blue-veined cheese ...""",73,133,0,57,0,0,0,61,34,32,,255741,238480,252173,276324,171433,66490,76808,87048,86019,79861,,279422,284643,345297,293570,261912,354525,353203,343113,302052,326784
220190,"Ordinary natural water, not containing added sugar, other sweetening matter or flavoured; ice ...",7,0,1,0,0,0,0,6,0,32,,0,77,0,0,0,0,0,0,0,0,,1517,2680,4025,2296,2091,1627,2216,1816,1283,1867
290513,"Butan-1-ol """"n-butyl alcohol""""""""",0,7,0,0,10,54,64,31,17,31,,0,3126,13487,623,6036,13220,1844,740,553,11425,,5366,3931,3731,2439,1053,1623,2460,1441,1437,4511
190531,Sweet biscuits,45,66,20,20,93,23,33,50,38,31,,56722,56193,59132,63985,44760,47025,49306,54924,54068,50712,,115263,126073,116746,113273,103544,115764,126276,132289,138215,144496
271290,"Paraffin wax, microcrystalline petroleum wax, slack wax, ozokerite, lignite wax, peat wax, ...",180,37,0,0,0,0,31,167,0,31,,520037,291378,482876,31,3,0,11,0,0,0,,30233,27538,27924,19843,16027,18332,14804,12973,14588,18016
290514,"Butanols (excluding butan-1-ol """"n-butyl alcohol"""")""""",0,0,0,0,0,0,0,0,0,31,,0,0,23906,4217,99803,121825,73917,90350,71976,143246,,389,349,392,308,303,309,341,215,276,366
290949,"Ether-alcohols and their halogenated, sulphonated, nitrated or nitrosated derivatives (excluding ...""",14,19,0,45,0,0,28,116,21,28,,453866,17989,13630,12742,7354,20691,83402,38998,40930,66651,,11866,11079,11918,12074,11746,10972,12093,10717,12506,17719
871610,"Trailers and semi-trailers of the caravan type, for housing or camping",0,0,0,0,0,0,0,0,0,28,,1341,2174,1881,2775,1441,9279,3540,1474,586,2204,,35734,44702,45366,44672,49702,64694,85654,100362,108071,231844
210390,Preparations for sauces and prepared sauces; mixed condiments and seasonings (excluding soya ...,13,9,26,46,9,34,9,20,24,27,,20241,20200,17292,16783,15663,17310,25696,25779,28777,24240,,260401,274297,273665,263140,271150,288362,315512,315532,348018,357483
570500,"Carpets and other textile floor coverings, whether or not made up (excluding knotted, woven ...""",2,5,25,3,10,21,0,1,1,25,,23001,14287,11058,3440,6795,5616,4011,4274,3807,1917,,22693,27148,28840,30205,27436,26745,24122,23441,23312,28399
190590,"Bread, pastry, cakes, biscuits and other bakers' wares, whether or not containing cocoa; communion ...",33,43,32,25,32,36,64,28,27,24,,230285,274999,258062,271886,221945,214333,168876,186879,195749,217926,,346797,377185,377569,352966,374198,410589,449415,488920,496921,564975
711292,"Waste and scrap of platinum, incl. metal clad with platinum, and other waste and scrap containing ...",0,0,0,0,0,0,0,0,0,23,,0,0,59,0,0,0,186,0,0,0,,338,527,2090,1312,1252,2188,2584,3563,3581,4835
90121,Roasted coffee (excluding decaffeinated),0,1,11,1,3,0,3,12,7,22,,74,115,220,283,876,419,997,182,219,1793,,142376,195443,204852,183027,170447,180690,177664,159658,196475,162367
870893,"Clutches and parts thereof, for tractors, motor vehicles for the transport of ten or more persons, ...",0,0,0,0,0,0,0,2,0,20,,659,1004,617,325,625,84,407,0,0,0,,61463,64718,62444,61959,59129,64505,71919,62409,62350,75159
848049,"Moulds for metal or metal carbides (excluding moulds of graphite or other carbons, ceramic ...",0,0,0,0,0,0,0,0,0,20,,48,40,561,226,211,119,879,22,0,0,,2826,3287,3571,2647,2253,1802,1543,1789,1234,1795
870899,"Parts and accessories, for tractors, motor vehicles for the transport of ten or more persons, ...",0,3,0,0,0,0,12,0,141,20,,38245,29656,199008,122213,32263,19831,18247,278,404,1199,,732814,658707,572171,520313,469408,452920,453951,442165,387207,509404
940171,"Upholstered seats, with metal frames (excluding seats for aircraft or motor vehicles, swivel ...",0,1,3,0,1,2,2,4,8,19,,57,0,73,270,958,766,341,590,799,132,,156306,165630,166299,159521,168273,200467,235540,203913,202541,249725
200989,"Juice of fruit or vegetables, unfermented, whether or not containing added sugar or other sweetening ...",37,23,14,7,12,16,4,3,6,18,,37619,58284,74201,53497,46764,60983,71309,82938,114590,118025,,32089,34218,48889,47314,55147,56105,53265,49125,55492,67340
291413,"4-Methylpentan-2-one """"methyl isobutyl ketone""""""""",0,51,0,0,0,0,25,28,21,16,,0,0,0,0,0,0,0,0,0,0,,1614,1850,1553,946,1066,1036,887,589,511,1071
170490,"Sugar confectionery not containing cocoa, incl. white chocolate (excl. chewing gum)",19,75,47,54,43,37,74,19,9,15,,17978,24602,21470,24035,14794,18283,30790,31775,34240,27307,,184186,202649,192152,178915,175389,183818,188404,182986,173682,214468
730721,Flanges of stainless steel (excluding cast products),0,0,0,0,0,0,0,0,0,15,,12211,17468,13101,16209,33580,14074,2891,79,59,119,,22798,15072,18718,15533,12967,15316,18111,15139,13742,17079
570310,"Carpets and other floor coverings, of wool or fine animal hair, tufted """"needle punched"""", ...""",0,0,0,0,0,0,0,0,0,15,,0,0,72,0,4,10,21,9,34,0,,86736,95580,95769,85885,84313,81232,71514,57991,50286,46363
280920,"Phosphoric acid; polyphosphoric acids, whether or not chemically defined",0,0,0,0,0,0,0,0,0,14,,184,60,0,28,45,83,354,281,27,129,,17744,14668,15935,15006,14431,14894,18789,13891,15279,20978
200551,"Shelled beans """"Vigna spp., Phaseolus spp."""", prepared or preserved otherwise than by vinegar ...""",22,4,2,18,7,23,25,23,29,14,,0,66,0,118,277,705,762,3044,3190,754,,43475,46778,47333,42644,42494,42237,42286,41551,49906,44082
330610,"Dentifrices, incl. those used by dental practitioners",78,0,85,410,128,0,0,0,0,14,,27528,28870,24455,32081,31895,32172,22779,11726,17538,12024,,61085,65580,69058,68802,76869,72581,115076,95969,107900,102397
711319,"Articles of jewellery and parts thereof, of precious metal other than silver, whether or not ...",0,42,19,1,8,0,0,5,1,13,,591688,587450,491954,296199,277453,390843,332874,30930,148046,41544,,649352,670282,680273,645972,678491,749131,778546,838346,726916,1063239
999999,Commodities not elsewhere specified,20,2,9,0,96486,0,0,1,0,12,,58175,53598,44142,326278,238820,161601,231751376,202382227,131993296,206072415,,5954906,4754792,6393275,5498171,1962649,11296198,4467961,3187917,1689736,3441906
190532,Waffles and wafers,5,14,0,4,0,0,5,5,16,12,,336,67,874,1081,699,319,232,101,293,7330,,20236,30267,32594,41220,39724,45203,50064,64067,51031,56428
