Product code,Product label,"Russian Federation's imports from Korea, Republic of-Value in 2012","Russian Federation's imports from Korea, Republic of-Value in 2013","Russian Federation's imports from Korea, Republic of-Value in 2014","Russian Federation's imports from Korea, Republic of-Value in 2015","Russian Federation's imports from Korea, Republic of-Value in 2016","Russian Federation's imports from Korea, Republic of-Value in 2017","Russian Federation's imports from Korea, Republic of-Value in 2018","Russian Federation's imports from Korea, Republic of-Value in 2019","Russian Federation's imports from Korea, Republic of-Value in 2020","Russian Federation's imports from Korea, Republic of-Value in 2021","Korea, Republic of's exports to world- ","Korea, Republic of's exports to world-Value in 2012","Korea, Republic of's exports to world-Value in 2013","Korea, Republic of's exports to world-Value in 2014","Korea, Republic of's exports to world-Value in 2015","Korea, Republic of's exports to world-Value in 2016","Korea, Republic of's exports to world-Value in 2017","Korea, Republic of's exports to world-Value in 2018","Korea, Republic of's exports to world-Value in 2019","Korea, Republic of's exports to world-Value in 2020","Korea, Republic of's exports to world-Value in 2021",Russian Federation's imports from world- ,Russian Federation's imports from world-Value in 2012,Russian Federation's imports from world-Value in 2013,Russian Federation's imports from world-Value in 2014,Russian Federation's imports from world-Value in 2015,Russian Federation's imports from world-Value in 2016,Russian Federation's imports from world-Value in 2017,Russian Federation's imports from world-Value in 2018,Russian Federation's imports from world-Value in 2019,Russian Federation's imports from world-Value in 2020,Russian Federation's imports from world-Value in 2021
852851,Monitors of a kind solely or principally used in an automatic data-processing machine of heading ...,68,1112,69,129,5,0,0,0,0,0,,1231685,794868,889647,655510,653350,0,0,0,0,0,,87077,75154,94632,57528,66553,0,0,0,0,0
600199,"Pile fabrics, knitted or crocheted (excluding cotton or man-made fibres and """"long pile"""" ...""",0,0,0,0,0,3,11,0,0,0,,961,798,738,545,459,856,1575,2279,1321,3050,,1175,1948,995,313,1083,1492,1188,785,1011,1334
600390,"Knitted or crocheted fabrics of a width of <= 30 cm (excluding of cotton, man-made fibres, ...""",0,0,0,0,0,0,0,0,0,0,,57,189,172,216,110,134,34,20,40,60,,24,40,38,21,5,5,18,11,3,6
600521,"Unbleached or bleached cotton warp knit fabrics """"incl. those made on galloon knitting machines"""", ...""",0,0,0,0,0,0,0,0,0,0,,531,306,468,623,332,167,99,111,32,90,,4509,2713,4137,3437,3783,4290,5309,5554,4643,4164
590110,"Textile fabrics coated with gum or amylaceous substances, of a kind used for the outer covers ...",0,0,0,0,0,0,0,0,0,0,,2591,3179,2461,4440,3203,4225,1534,1478,1513,1647,,1320,749,589,328,281,340,383,473,368,416
600633,"Fabrics, knitted or crocheted, of synthetic fibres, of yarns of different colours, of a width ...""",16,35,96,80,12,28,74,155,79,0,,12792,11150,14364,11170,8998,13002,12595,11816,8518,9504,,9088,6719,2590,2404,4666,4999,6858,8495,12172,7733
610331,"Men's or boys' jackets and blazers of wool or fine animal hair, knitted or crocheted (excluding ...",0,0,1,1,0,0,0,0,0,0,,170,137,271,139,186,142,104,65,202,199,,1264,600,878,581,791,1128,1076,1238,1049,1572
610333,"Men's or boys' jackets and blazers of synthetic fibres, knitted or crocheted (excluding wind-jackets ...",1,0,0,1,1,0,0,0,0,0,,562,709,422,420,850,1090,1403,695,1123,1395,,3625,5262,4710,4044,2641,4413,3476,3706,2562,2819
610349,"Men's or boys' trousers, bib and brace overalls, breeches and shorts of textile materials, ...",0,0,0,4,2,1,1,0,0,0,,154,573,2200,28736,28915,34008,35835,64690,79118,72457,,306,301,543,585,645,1166,1385,2585,2000,3002
610423,"Women's or girls' ensembles of synthetic fibres, knitted or crocheted (excluding ski ensembles ...",18,14,11,1,0,1,0,1,0,0,,597,895,1306,1184,1110,1325,1555,1535,944,744,,11633,1775,1798,1036,773,1092,1767,1816,2064,1332
600535,"Warp knit fabrics of synthetic fibres, antimalarial, of a width of > 30 cm",0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,69002,63160,53125,40076,41594,,0,0,0,0,13,110,112,335,424,422
600610,"Fabrics, knitted or crocheted, of a width of > 30 cm, of wool or fine animal hair (excluding ...""",5,0,0,0,0,0,0,0,6,0,,2713,1675,2604,2956,1651,1393,1072,1374,887,1232,,900,1011,484,235,380,693,1051,1288,629,634
610722,"Men's or boys' nightshirts and pyjamas of man-made fibres, knitted or crocheted (excluding ...",1,5,0,0,0,0,2,0,0,0,,92,310,131,88,29,27,21,106,61,209,,506,259,323,128,296,377,403,314,365,645
610892,"Women's or girls' n?glig?s, bathrobes, dressing gowns, housejackets and similar articles of ...",101,54,9,0,0,0,0,0,0,0,,1831,2042,643,521,1112,2394,3285,1559,885,428,,11005,14884,13916,7968,9278,10688,12699,14951,10506,15842
611019,"Jerseys, pullovers, cardigans, waistcoats and similar articles, of fine animal hair, knitted ...""",0,0,0,0,0,0,0,0,0,0,,165,349,528,240,244,153,233,312,426,1095,,709,1271,1442,673,1023,1548,2261,1959,1376,2535
611231,"Men's or boys' swimwear of synthetic fibres, knitted or crocheted",0,0,1,0,0,117,0,0,0,0,,166,210,188,93,89,120,77,81,140,42,,8403,11866,10387,6769,6379,7622,7579,9007,7488,7206
611249,"Women's or girls' swimwear of textile materials, knitted or crocheted (excluding synthetic ...",0,0,0,0,0,0,0,0,0,0,,201,101,410,397,183,507,174,380,67,13,,285,368,209,64,201,214,374,276,112,168
611522,"Pantyhose and tights of synthetic fibres, knitted or crocheted, measuring per single yarn >= ...",31,23,15,0,0,3,1,0,0,0,,1368,1688,1318,872,1381,410,492,418,1828,1561,,63225,63512,54764,28565,36297,44385,43320,40629,30823,28825
620119,"Men's or boys' overcoats, raincoats, car coats, capes, cloaks and similar articles, of textile ...",4,0,1,0,5,0,0,0,0,0,,541,308,627,641,549,306,254,191,180,151,,1317,465,806,444,522,1367,1736,1064,848,1097
620191,"Men's or boys' anoraks, incl. ski jackets, windcheaters, wind-jackets and similar articles, ...",10,4,4,1,0,4,2,0,0,0,,413,397,481,303,451,288,687,698,434,675,,7506,7938,6539,4493,5429,7676,9817,8926,9570,11093
620349,"Men's or boys' trousers, bib and brace overalls, breeches and shorts of textile materials (excluding ...",5,7,0,4,3,0,2,0,0,0,,651,483,401,1140,839,565,1855,1427,1327,2457,,10700,10492,10441,8635,6872,10031,9719,11144,11452,13562
540774,"Woven fabrics of yarn containing >= 85% synthetic filament by weight, incl. monofilament of ...",0,0,0,1,0,0,0,0,0,0,,2644,1670,2355,1407,1418,2844,1328,474,374,295,,5128,2914,3444,1701,1034,375,398,397,164,331
540246,"Filament yarn of polyester, incl. monofilament of < 67 decitex, single, untwisted or with a ...",0,0,0,0,0,0,0,0,0,0,,16909,12894,15468,19022,17704,24591,28911,36396,25932,19014,,4,89,152,55,69,54,70,66,59,116
540310,High-tenacity yarn of viscose rayon filament (excluding sewing thread and yarn put up for retail ...,0,0,0,0,0,0,0,0,0,0,,128,202,140,73,58,55,25,21,8,6,,298,253,118,153,229,361,218,181,220,298
540332,"Yarn of viscose rayon filament, incl. monofilament of < 67 decitex, single, with a twist of ...",33,16,11,0,0,0,0,0,0,0,,1985,1923,1286,1139,1534,1295,227,29,7,45,,33,16,11,0,5,17,0,0,0,0
521111,"Plain woven fabrics of cotton, containing predominantly, but < 85% cotton by weight, mixed ...",0,0,0,0,0,0,0,0,0,0,,809,1439,215,145,285,145,276,295,55,53,,274,324,307,166,114,277,449,666,544,479
520859,"Woven fabrics of cotton, containing >= 85% cotton by weight and weighing <= 200 g/m©÷, printed ...",2,12,68,15,0,0,0,0,0,0,,10049,10823,9911,10537,8827,6981,6417,5103,6250,4593,,9199,7711,5060,2427,2849,5322,10846,7671,6748,12123
520929,"Woven fabrics of cotton, containing >= 85% cotton by weight and weighing > 200 g/m©÷, bleached ...",0,0,0,0,0,0,0,0,0,0,,844,617,865,803,289,159,275,504,282,214,,1107,669,495,446,487,375,550,180,329,403
521211,"Woven fabrics of cotton, containing predominantly, but < 85% cotton by weight, other than those ...",1,0,0,0,0,0,0,0,0,0,,515,1872,1496,1559,412,759,278,556,212,112,,23,24,27,60,193,366,322,112,85,302
521221,"Woven fabrics of cotton, containing predominantly, but < 85% cotton by weight, other than those ...",0,0,0,0,0,0,0,0,0,0,,33,202,32,38,37,35,101,8,84,47,,5,6,4,14,12,6,62,22,38,22
521222,"Woven fabrics of cotton, containing predominantly, but < 85% cotton by weight, other than those ...",0,0,0,0,0,0,0,0,0,0,,9539,9970,7577,7136,7299,9887,8761,8705,4188,3117,,1,1,15,1,62,84,91,9,13,11
530919,"Woven fabrics of flax, containing >= 85% flax by weight, dyed, made of yarn of different colours, ...",4,1,0,6,1,1,1,1,1,0,,1089,1577,1127,1922,1313,1229,2139,3138,1936,1992,,1149,1095,956,986,1307,1900,2768,4153,3954,5816
550991,"Yarn containing predominantly, but < 85% synthetic staple fibres by weight, mixed principally ...",0,0,0,0,0,0,0,0,0,0,,231,232,242,203,248,369,815,21,15,443,,60,74,111,112,727,195,614,279,398,1020
551020,"Yarn containing predominantly, but < 85% artificial staple fibres by weight, mixed principally ...",0,0,0,0,0,0,0,0,0,0,,1510,541,627,377,437,89,109,42,54,37,,6,33,59,18,29,395,501,713,1405,584
551120,"Yarn containing predominantly, but < 85% synthetic staple fibres by weight, put up for retail ...",0,0,0,0,0,0,0,0,0,0,,28,44,36,33,7,3,101,76,99,94,,6385,8347,6328,1725,1174,1464,2931,2857,2053,3469
551211,"Woven fabrics containing >= 85% polyester staple fibres by weight, unbleached or bleached",15,61,41,0,12,15,48,33,0,0,,4442,5125,6249,5723,4229,4921,3798,2236,4866,7099,,2333,3193,2188,1445,872,1219,2060,1627,2956,4549
551319,"Woven fabrics containing predominantly, but < 85% synthetic staple fibres by weight, mixed ...",0,0,0,0,0,0,0,0,0,0,,806,94,37,93,127,86,41,1,3,66,,160,422,8,40,51,113,304,143,101,73
551331,"Plain woven fabrics containing predominantly, but < 85% polyester staple fibres by weight, ...",0,0,0,0,0,0,0,0,0,0,,552,247,17,82,22,27,101,58,0,5,,94,43,66,82,11,51,89,58,13,28
551430,"Woven fabrics containing predominantly, but < 85% synthetic staple fibres by weight, mixed ...",0,2,0,0,0,0,0,1,0,0,,364,178,56,25,199,127,1068,994,787,2627,,3150,2018,1881,1794,1497,1106,1564,2241,2196,1749
551623,"Woven fabrics containing predominantly, but < 85% artificial staple fibres, mixed principally ...",0,0,0,2,0,37,0,0,11,0,,4887,4173,3512,4333,2816,1222,1067,930,429,315,,1017,437,422,264,484,643,518,322,684,222
580190,"Woven pile fabrics and chenille fabrics (excluding those of man-made fibres, wool or fine animal ...",6,0,0,0,0,0,1,2,0,0,,6186,9848,16206,21389,906,819,745,399,134,145,,261,125,319,125,181,235,592,339,234,871
580220,"Terry towelling and similar woven terry fabrics (excluding those of cotton, narrow woven fabrics ...",0,0,0,0,0,0,0,0,0,0,,482,380,467,573,254,426,467,275,607,541,,470,475,238,332,22,364,416,325,470,437
550120,"Filament tow as specified in Note 1 to chapter 55, of polyesters",0,0,0,0,0,0,0,0,0,0,,6297,8078,10073,14558,12290,11548,12598,14113,8808,8949,,56,69,264,168,150,886,828,724,719,698
550630,"Acrylic or modacrylic staple fibres, carded, combed or otherwise processed for spinning",0,0,0,0,2,2,0,0,0,0,,0,715,215,384,205,1,22,155,134,109,,134,377,249,725,388,238,996,659,705,1247
560729,"Twine, cordage, ropes and cables, of sisal or other textile fibres of the genus Agave, whether ...",0,0,0,0,0,0,0,0,0,0,,175,346,189,263,324,344,243,93,1546,1901,,144,320,361,309,455,323,356,309,286,194
570220,"Floor coverings of coconut fibres """"coir"""", woven, whether or not made up""""",0,0,0,0,0,0,0,0,0,0,,3,0,2,15,1,0,1,109,3,18,,763,875,583,475,319,436,518,428,147,281
570249,"Carpets and other floor coverings, of vegetable textile materials or coarse animal hair, woven, ...""",1,3,0,0,0,0,0,0,0,0,,23,7,13,17,153,247,215,62,14,1,,26157,2583,1679,1263,1721,2202,3146,3430,2097,2249
570291,"Carpets and other floor coverings, of wool or fine animal hair, woven, not tufted or flocked, ...",0,0,0,0,0,0,0,0,0,0,,0,0,60,51,0,0,3,2,0,0,,294,457,369,396,426,699,663,812,430,543
690790,"Unglazed ceramic flags and paving, hearth or wall tiles; unglazed ceramic mosaic cubes and ...",139,142,69,0,17,0,0,0,0,0,,81,53,188,140,151,0,0,0,0,0,,219087,272636,221781,100882,60645,448,0,0,0,0
690890,"Glazed ceramic flags and paving, hearth or wall tiles; glazed ceramic mosaic cubes and the ...",141,245,48,0,18,0,0,0,0,0,,1069,1143,1066,1308,2185,0,0,0,0,0,,439443,450202,445395,236020,234488,362,0,0,0,0
690911,"Ceramic wares for laboratory, chemical or other technical uses, of porcelain or china (excluding ...",0,1,0,0,0,0,0,0,0,0,,3645,2491,5188,5297,4738,7797,6951,9299,8702,15169,,751,630,1167,618,422,640,452,282,665,1070
691190,"Household and toilet articles, of porcelain or china (excluding tableware and kitchenware, ...",0,0,0,1,0,2,0,0,0,0,,894,1521,2240,945,931,1078,471,161,777,999,,1281,862,596,490,904,1365,1606,1254,1025,1427
721510,"Bars and rods, of non-alloy free-cutting steel, not further worked than cold-formed or col ...",0,0,0,0,0,0,0,0,2,0,,1623,2396,689,532,577,1604,3814,4394,5105,7714,,5023,6427,3777,2384,2287,3688,4382,4197,3016,5419
720838,"Flat-rolled products of iron or non-alloy steel, of a width of >= 600 mm, in coils, simply ...",0,0,0,0,0,0,0,0,0,0,,507521,478819,654131,591888,612425,543122,602472,568005,435751,881297,,64885,73550,46177,40265,42286,108289,165454,160620,116679,269930
720925,"Flat-rolled products of iron or non-alloy steel, of a width of >= 600 mm, not in coils, simply ...""",22,1,0,0,13,0,18,1,45,0,,2539,1413,2822,168,3388,3962,803,470,942,607,,543,825,892,649,118,653,215,1050,492,79
721891,"Semi-finished products of stainless steel, of rectangular """"other than square"""" cross-section""""",0,0,0,0,0,0,0,0,0,0,,255,5306,8099,9812,6114,35075,35943,710,586,26344,,10270,9674,8091,3998,3753,5882,8889,6762,8649,11132
721911,"Flat-rolled products of stainless steel, of a width of >= 600 mm, not further worked than hot-rolled, ...",0,0,0,0,0,0,0,0,0,0,,4079,7903,6575,11579,17788,16638,19622,11796,7534,8522,,114,177,378,549,426,639,1003,1026,225,455
722490,Semi-finished products of alloy steel other than stainless,31,0,0,0,0,0,0,0,0,0,,6922,8590,10854,647,2110,2096,5135,1345,14473,29788,,7573,7929,1839,1104,1244,611,1311,3667,5178,3211
722620,"Flat-rolled products of high-speed steel, of a width of <= 600 mm, hot-rolled or cold-rolled ...""",0,0,0,0,0,0,0,0,0,0,,32,78,147,100,447,278,20,80,6,7,,138,48,31,42,116,34,24,26,40,68
722100,"Bars and rods of stainless steel, hot-rolled, in irregularly wound coils",0,0,0,0,0,0,0,0,0,0,,138408,188993,197685,62145,97762,135467,175215,133364,111311,143652,,153,38,64,84,95,120,73,1839,3178,6787
722219,"Bars and rods of stainless steel, only hot-rolled, only hot-drawn or only extruded (excluding ...",2,0,2,0,0,0,0,0,1,0,,4168,3032,3248,3256,2891,7142,4737,3109,4861,11113,,1128,682,1021,621,570,585,772,897,399,599
730820,"Towers and lattice masts, of iron or steel",0,5,0,0,0,0,0,113,0,0,,8922,21795,18147,19149,22512,9619,5673,51686,75856,79009,,61557,38705,11841,3257,1436,7198,11779,18600,5257,9761
722710,"Bars and rods of high-speed steel, hot-rolled, in irregularly wound coils",0,0,0,0,0,0,0,0,0,0,,10,0,0,5,5,33,10,533,1161,1323,,0,0,0,0,0,0,0,0,0,0
620829,Women's or girls' nightdresses and pyjamas of textile materials (excluding cotton and man-made ...,0,0,0,0,0,0,0,0,0,0,,1,12,742,930,703,1330,1421,1409,1800,2219,,16127,1144,641,468,1404,2304,1393,2053,1638,2525
640220,"Footwear with outer soles and uppers of rubber or plastics, with upper straps or thongs assembled ...",0,0,0,0,0,0,0,0,0,0,,82,76,4,155,50,141,227,407,218,169,,5300,5324,4639,3476,2824,4148,4631,4480,3281,3393
640312,"Ski-boots, cross-country ski footwear and snowboard boots, with outer soles of rubber, plastics, ...",0,0,0,0,0,0,0,0,0,0,,183,45,112,0,0,0,9,5,1,2,,97,143,63,38,11,52,88,30,27,15
640351,"Footwear with outer soles and uppers of leather, covering the ankle (excluding incorporating ...",5,1,0,0,0,0,0,3,1,0,,236,253,1187,1722,857,1476,1103,1213,1516,1360,,37311,43432,43881,24959,22406,29937,28957,31374,25094,19964
620930,Babies' garments and clothing accessories of synthetic fibres (excluding knitted or crocheted ...,3,25,39,11,0,0,0,0,0,0,,29,376,633,566,505,983,1002,896,744,444,,27119,31737,39869,23325,22397,30554,29913,28749,24909,24262
621112,Women's or girls' swimwear (excluding knitted or crocheted),0,0,0,0,0,0,0,0,0,0,,1224,1333,1155,385,365,308,724,744,873,712,,1204,909,1164,522,570,1861,1279,1406,1047,1363
630120,"Blankets and travelling rugs of wool or fine animal hair (excluding electric, table covers, ...",1,0,0,0,0,0,9,0,0,0,,155,71,33,62,58,106,123,47,116,531,,10331,7655,6184,4980,3860,4045,4090,3622,3529,4457
630190,"Blankets and travelling rugs of textile materials (excluding of wool or fine animal hair, cotton ...",0,1,0,0,0,0,1,0,0,0,,845,2211,1414,3057,2203,2423,3392,1829,2970,5255,,35626,1865,1638,1986,1045,922,879,757,788,951
630251,Table linen of cotton (excluding knitted or crocheted),9,4,1,0,0,3,0,1,0,0,,28,5,145,98,44,253,139,52,92,16,,7973,6341,4628,4156,3938,4075,5467,4644,3306,4027
630291,"Toilet linen and kitchen linen of cotton (excluding of terry fabrics, floorcloths, polishing ...",0,2,8,20,3,0,17,0,1,0,,632,954,845,786,1337,1180,519,745,626,842,,19488,7306,9218,6335,5466,6328,6763,6750,6356,7718
630319,"Curtains, incl. drapes, and interior blinds, curtain or bed valances, knitted or crocheted ...",0,0,2,0,0,0,0,0,0,0,,656,269,1535,137,256,289,305,466,570,379,,368,249,1220,224,169,1531,148,313,181,115
630391,"Curtains, incl. drapes, and interior blinds, curtain or bed valances of cotton (excluding knitted ...",39,0,1,0,0,0,0,0,0,0,,0,14,8,5,147,53,76,17,5,17,,8718,7543,6495,4990,3668,3813,4843,4256,5161,3944
700220,"Rods of glass, unworked",0,0,0,0,0,0,0,0,0,0,,1751,2389,3818,5388,10652,7529,853,531,794,1470,,135,222,422,539,3562,6542,11108,10488,8487,8378
700319,"Cast glass and rolled glass, in non-wired sheets, not otherwise worked (excluding glass coloured ...""",1,0,0,0,0,0,0,0,0,0,,4718,84970,32280,157412,277935,338459,405127,461262,644859,560905,,6028,5285,3554,2091,1463,1719,1265,1875,1763,2548
700529,"Float glass and surface ground and polished glass, in sheets, but not otherwise worked (excluding ...""",6,2,8,1,0,1,0,0,1,0,,240013,180859,177482,179643,143408,113810,114135,110490,112647,133278,,63953,39139,25830,16195,23527,37068,28546,27310,28390,40280
701110,"Glass envelopes, incl. bulbs and tubes, open, and glass parts thereof, without fittings, for ...",0,0,0,0,0,0,0,1,2,0,,2743,1523,675,612,558,419,463,528,283,194,,1521,1771,1007,1636,2765,1655,1328,1985,1772,1145
701322,"Drinking glasses, stemware, of lead crystal",0,0,0,0,0,0,0,0,0,0,,95,154,180,106,77,45,40,11,0,1,,4452,4894,4229,1712,2357,1419,2210,2024,2494,3314
701610,"Glass cubes and other glass smallwares, whether or not on a backing, for mosaics or similar ...",6,0,0,0,0,0,4,0,0,0,,30,12,6,0,18,77,20,50,3,0,,19129,19753,17979,14953,10207,12329,12155,9711,8792,7949
701720,"Laboratory, hygienic or pharmaceutical glassware, whether or not graduated or calibrated, having ...",0,0,0,0,0,0,0,0,0,0,,2,18,47,136,13,23,31,31,37,814,,1803,2176,3189,1501,1854,2294,2954,3961,4155,5076
701820,Glass microspheres <= 1 mm in diameter,0,284,25,1,6,1,0,0,1,0,,5198,2409,3408,4071,2262,3387,4720,3690,2948,4788,,6189,6452,6708,3610,3264,6069,4877,4592,4144,4538
710812,"Gold, incl. gold plated with platinum, unwrought, for non-monetary purposes (excluding gold ...",0,0,0,0,0,0,0,0,0,0,,2517485,895436,682044,550281,571628,177046,208482,576257,782003,215089,,905,4910,110905,148806,11451,1931,9353,13012,20900,15771
711031,"Rhodium, unwrought or in powder form",0,0,0,0,0,0,0,0,0,0,,1977,7793,20661,18206,11614,950,4436,7852,115804,563984,,39,92,78,104,300,261,988,23632,6233,11118
711100,"Base metals, silver or gold, clad with platinum, not further worked than semi-manufactured",0,0,0,0,0,0,0,0,0,0,,383,816,1518,1507,589,915,526,841,886,291,,0,0,0,0,0,0,0,78,13,0
720120,"Non-alloy pig iron in pigs, blocks or other primary forms, containing by weight >= 0,5% phosphorus",0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,0,0,6,0,0,0,4,0,0,0
720249,"Ferro-chromium, containing by weight <= 4% of carbon",0,0,0,0,0,0,0,0,0,0,,335,480,1382,863,686,399,1094,430,297,3533,,342,278,789,434,8330,5390,5496,5887,6529,10215
720390,"Spongy ferrous products, obtained from molten pig iron by atomisation, iron of a purity of ...",0,0,0,0,0,0,0,0,0,0,,19,499,40,36,25,118,73,53,52,8,,43,2,1,10,3,12,15,1,28,82
720711,"Semi-finished products of iron or non-alloy steel containing, by weight, < 0,25% of carbon, ...",0,0,0,0,0,0,0,0,0,0,,245362,113464,112559,43605,20287,25450,41007,22864,78929,18912,,5602,7416,2212,914,381,23425,81912,154943,9462,2691
720810,"Flat-rolled products of iron or non-alloy steel, of a width of >= 600 mm, in coils, simply ...",0,0,0,0,0,0,0,0,0,0,,28783,46862,51041,29491,20777,22149,27110,29815,7704,1584,,0,1489,1712,590,546,1174,570,217,577,7092
320500,Colour lakes (other than Chinese or Japanese lacquer and paints); preparations based on colour ...,0,0,0,0,0,0,0,0,0,0,,25576,23324,25587,27163,19954,16820,8520,5353,3626,2951,,1136,768,753,879,1092,1097,1331,1550,1150,1552
320641,Ultramarine and preparations based thereon of a kind used for colouring any material or produce ...,0,2,0,0,0,0,0,0,0,0,,953,1134,1292,1477,2145,2120,1998,1830,1603,3052,,1878,2097,1593,1126,1922,2068,2075,2153,2253,2367
330190,"Extracted oleoresins; concentrates of essential oils in fats, fixed oils, waxes and the like, ...",0,0,0,0,0,0,0,0,0,0,,3680,5960,6658,5167,4032,3649,2699,1272,302,216,,6658,3937,5599,6351,6589,7057,7305,6610,8387,9153
370130,"Photographic plates and film in the flat, sensitised, unexposed, with any side > 255 mm",0,0,0,0,0,0,25,0,0,0,,15974,19405,18972,15872,16911,17231,21923,31862,31064,39506,,55400,55235,49222,30175,36514,41825,47419,38355,54253,78866
370243,"Photographic film """"incl. instant print film"""", sensitised, in rolls, unexposed, without perforations, ...""",0,0,0,0,0,0,0,0,0,0,,158,8,25,78,36,355,167,55,84,93,,1819,2256,3101,2217,1970,1408,1291,1368,828,866
370610,"Cinematographic film, exposed and developed, whether or not incorporating soundtrack or consisting ...",0,0,0,0,0,0,0,0,0,0,,105,15,0,1,5,1,0,0,0,0,,587,219,10,48,30,22,77,18,6,41
340420,"Poly""""oxyethylene"""" [polyethylene glycol] waxes""""",17,5,5,0,0,46,0,0,0,0,,65084,63319,81145,59427,60868,104381,123704,121853,122912,228293,,1057,1582,2274,2196,3182,2363,1241,1160,1252,1510
340520,"Polishes, creams and similar preparations, for the maintenance of wooden furniture, floors ...",0,0,0,0,0,0,0,0,0,0,,254,355,332,280,177,248,202,241,100,150,,4145,2766,1692,1349,1247,1562,2189,2241,2651,2850
381231,"Mixtures of oligomers of 2,2,4-trimethyl-1,2-dihydroquinoline """"TMQ""""""""",0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,27,1,0,3,272,,0,0,0,0,0,290,1118,1355,1291,2745
380850,Goods of heading 3808 containing one or more of the following substances: aldrin (ISO); binapacryl ...,0,0,0,0,0,0,0,0,0,0,,1384,1852,1379,2018,935,0,0,0,0,0,,399,585,600,362,378,0,0,0,0,0
380859,Goods of heading 3808 containing one or more of the following substances: alachlor (ISO); aldicarb ...,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,2003,1731,1341,1738,622,,0,0,0,0,0,616,841,526,556,429
380869,"Goods of heading 3808, containing alpha-cypermethrin """"ISO"""", bendiocarb """"ISO"""", bifenthrin ...""",0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,153,568,843
380893,"Herbicides, anti-sprouting products and plant-growth regulators, put up in forms or packings ...",0,0,0,0,0,0,0,0,0,0,,34923,31253,25987,22624,27154,27644,24636,21536,30878,37251,,210233,228936,249083,238324,343286,437667,332000,246972,228586,235240
390440,"Vinyl chloride copolymers, in primary forms (excluding vinyl chloride-vinyl acetate copolymers)",0,0,0,0,0,0,0,0,0,0,,6861,6584,6122,6011,5936,6530,6035,6198,6153,5408,,5425,4856,3829,2020,2484,2854,2867,2515,2020,2588
390519,"Poly""""vinyl acetate"""", in primary forms (excluding in aqueous dispersion)""""",0,0,0,4,5,1,0,0,0,0,,697,599,618,1160,1045,1606,1023,316,889,614,,1766,2571,3833,2791,2858,3084,3188,4292,3679,4541
382471,"Mixtures containing chlorofluorocarbons """"CFCs"""", whether or not containing hydrochlorofluorocarbons ...""",0,0,0,0,0,0,0,0,0,0,,6,27,24,82,75,125,46,85,298,135,,52,17,28,6,6,6,0,0,0,0
382490,"Chemical products and preparations of the chemical or allied industries, incl. those consisting ...",4220,5178,3234,2539,2714,17,0,0,0,0,,763421,859136,994492,899267,866559,0,0,0,0,0,,593967,645830,666560,447082,517800,303,0,0,0,0
382530,Clinical waste,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,14,34,1,1,0,,0,0,0,0,0,0,0,0,2,0
382561,"Wastes from chemical or allied industries, mainly containing organic constituents (excluding ...",0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,3,4,5,,0,0,0,0,0,0,0,0,3,0
293711,"Somatropin, its derivatives and structural analogues, used primarily as hormones",0,0,0,0,0,0,0,0,0,0,,706,1441,354,18,0,0,0,32,13,9,,1,45,0,0,1,19,122,24,25,68
300320,"Medicaments containing antibiotics, not in measured doses or put up for retail sale (excluding ...",0,0,0,0,0,0,0,0,0,0,,24606,21265,11364,3089,9050,18570,10367,12220,12936,12946,,5522,4544,20130,11797,13896,17417,19198,21359,20762,15258
300331,"Medicaments containing insulin, not in measured doses or put up for retail sale",0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,86255,91496,9617,10807,45233,48248,99109,33645,12815,4709
310229,Double salts and mixtures of ammonium sulphate and ammonium nitrate (excluding goods of this ...,0,0,0,0,0,0,0,0,0,0,,5240,3713,1156,2,182,1190,1813,1171,710,1798,,22,1,815,0,144,0,0,0,146,0
310230,"Ammonium nitrate, whether or not in aqueous solution (excluding that in pellet or similar forms, ...",0,0,0,0,0,0,0,0,0,0,,21932,21123,27108,33611,33026,37145,42877,42547,40719,43086,,157,198,602,118,102,905,283,577,3361,787
310310,"Superphosphates (excluding those in tablets or similar forms, or in packages with a gross weight ...",0,0,0,0,0,0,0,0,0,0,,0,5,0,0,0,0,0,0,0,0,,0,0,49,167,337,0,0,0,0,0
310420,"Potassium chloride for use as fertiliser (excluding that in tablets or similar forms, or in ...",0,0,0,0,0,0,0,0,0,0,,371,63,96,30,69,62,10299,25,38,1052,,2135,1745,11638,17631,15443,59466,30614,35516,16761,35667
310510,"Mineral or chemical fertilisers of animal or vegetable origin, in tablets or similar forms, ...",0,2,1,17,1,1,0,0,0,0,,1974,1792,2035,2137,1917,2450,1616,1295,995,1238,,2027,3186,3725,2535,2645,4417,5397,4019,6989,8857
310551,"Mineral or chemical fertilisers containing nitrates and phosphates (excluding ammonium dihydrogenorthophosphate ...""",0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,2,,522,154,423,201,82,141,137,235,387,1238
