Product code,Product label,"Viet Nam's imports from Korea, Republic of-Value in 2012","Viet Nam's imports from Korea, Republic of-Value in 2013","Viet Nam's imports from Korea, Republic of-Value in 2014","Viet Nam's imports from Korea, Republic of-Value in 2015","Viet Nam's imports from Korea, Republic of-Value in 2016","Viet Nam's imports from Korea, Republic of-Value in 2017","Viet Nam's imports from Korea, Republic of-Value in 2018","Viet Nam's imports from Korea, Republic of-Value in 2019","Viet Nam's imports from Korea, Republic of-Value in 2020","Viet Nam's imports from Korea, Republic of-Value in 2021","Korea, Republic of's exports to world- ","Korea, Republic of's exports to world-Value in 2012","Korea, Republic of's exports to world-Value in 2013","Korea, Republic of's exports to world-Value in 2014","Korea, Republic of's exports to world-Value in 2015","Korea, Republic of's exports to world-Value in 2016","Korea, Republic of's exports to world-Value in 2017","Korea, Republic of's exports to world-Value in 2018","Korea, Republic of's exports to world-Value in 2019","Korea, Republic of's exports to world-Value in 2020","Korea, Republic of's exports to world-Value in 2021",Viet Nam's imports from world- ,Viet Nam's imports from world-Value in 2012,Viet Nam's imports from world-Value in 2013,Viet Nam's imports from world-Value in 2014,Viet Nam's imports from world-Value in 2015,Viet Nam's imports from world-Value in 2016,Viet Nam's imports from world-Value in 2017,Viet Nam's imports from world-Value in 2018,Viet Nam's imports from world-Value in 2019,Viet Nam's imports from world-Value in 2020,Viet Nam's imports from world-Value in 2021
20752,"Frozen domestic geese, not cut in pieces",0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,4,39,3,5,18
20910,"Pig fat, free of lean meat, not rendered or otherwise extracted, fresh, chilled, frozen, salted, ...",0,0,0,0,0,0,0,0,0,,,0,0,1,0,0,0,8,2,8,0,,210,595,1071,1430,1422,1738,7249,8580,26680,10659
21093,"Meat and edible offal, salted, in brine, dried or smoked, and edible flours and meals of meat ...""",0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,25
30199,"Live fish (excluding ornamental fish, trout [Salmo trutta, Oncorhynchus mykiss, Oncorhynchus ...",0,0,0,0,0,578,1416,2458,2956,,,76640,74690,66683,61844,69252,69314,65074,56938,48618,58570,,342,372,1308,3819,8071,15971,16447,26033,29020,30359
30221,"Fresh or chilled lesser or Greenland halibut """"Reinhardtius hippoglossoides, Atlantic halibut ...""",0,0,0,0,0,0,0,0,0,,,1527,2287,2421,2742,3671,4765,4916,3796,2140,3153,,0,0,0,0,1,0,4,40,7,
30256,"Fresh or chilled blue whiting """"Micromesistius poutassou, Micromesistius australis""""""""",0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,2,0,0,0,0,0,0,7,0,
30285,"Fresh or chilled sea bream """"Sparidae""""""""",0,0,0,0,0,0,0,0,0,,,37,45,8,16,51,22,104,45,95,15,,0,0,0,1,17,24,39,51,46,
30314,"Frozen trout """"Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki, Oncorhynchus aguabonita, ...""",0,0,0,0,0,0,0,0,0,,,413,52,83,77,1108,22,181,80,65,80,,16212,18538,18879,20445,22446,23989,27907,42687,50934,43841
30331,"Frozen lesser or Greenland halibut """"Reinhardtius hippoglossoides"""", Atlantic halibut """"Hippoglossus ...""",112,0,0,0,0,0,0,0,0,,,5398,18994,11759,9453,8081,4753,3756,2018,855,5045,,112,169,0,1,8,2,9,998,2080,516
30341,"Frozen albacore or longfinned tunas """"Thunnus alalunga""""""""",37,281,147,484,86,0,0,94,264,,,5701,8400,4292,2664,3087,4475,2622,6903,3359,3007,,1196,3387,9365,25399,37983,34285,26342,42796,95873,46629
30343,"Frozen skipjack or stripe-bellied bonito """"Euthynnus -Katsuwonus- pelamis""""""""",2964,7724,6783,21220,12094,13256,32397,14029,8887,,,203881,168364,167528,142719,172954,178468,196295,167412,155778,120207,,54547,57306,61384,52466,32102,47281,70976,45843,29828,29200
30366,"Frozen hake """"Merluccius spp., Urophycis spp.""""""""",0,0,0,2,0,0,0,0,0,,,5826,6724,7121,11892,4027,3255,1988,6715,5355,4590,,0,0,74,2,21,3,152,235,1356,1086
30368,"Frozen blue whiting """"Micromesistius poutassou, Micromesistius australis""""""""",0,0,0,0,0,0,0,0,0,,,19,16,40,18,161,55,0,37,0,0,,185,76,0,31,63,35,0,43,357,
30431,"Fresh or chilled fillets of tilapia """"Oreochromis spp.""""""""",0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,,84,0,0,0,0,1,15,59,300,669
30441,"Fresh or chilled fillets of Pacific salmon """"Oncorhynchus nerka, Oncorhynchus gorbuscha, Oncorhynchus ...""",0,0,0,0,0,0,0,0,0,,,0,3,0,0,2,2,0,57,31,123,,6463,3524,1157,1508,991,364,9333,5090,3062,272
30443,"Fresh or chilled fillets of flat fish """"Pleuronectidae, Bothidae, Cynoglossidae, Soleidae, ...""",0,0,0,0,0,0,0,0,0,,,21,5,8,13,17,1,19,6,77,49,,53,2,10,0,0,19,1,8,0,
30455,"Fresh or chilled meat, whether or not minced, of toothfish """"Dissostichus spp."""" (excluding ...""",0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,
30485,"Frozen fillets of toothfish """"Dissostichus spp.""""""""",0,0,0,0,0,0,0,0,0,,,0,0,361,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,1,
30487,"Frozen fillets of tuna """"of the genus Thunnus"""", skipjack or stripe-bellied bonito """"Euthynnus ...""",8168,133,308,974,1598,404,31,1456,574,,,123190,185126,199200,197946,228321,261309,259197,238640,200901,273175,,8592,7103,14940,27432,18789,11748,8543,13566,8963,14857
30542,"Smoked herring """"Clupea harengus, Clupea pallasii"""", incl. fillets (excluding offal)""""",0,0,0,0,0,0,0,0,0,,,7,0,0,0,0,0,0,0,0,0,,4,0,0,0,0,0,0,0,0,
30549,"Smoked fish, incl. fillets (excluding offal, Pacific salmon, Atlantic salmon, Danube salmon, ...",0,0,0,0,0,0,0,0,0,,,370,280,455,590,403,1560,410,579,449,582,,5,0,0,0,1,9,4,0,15,10
30579,"Fish fins and other edible fish offal, smoked, dried, salted or in brine (excluding heads, ...",0,0,0,0,0,0,7,0,2,,,376,154,347,361,166,318,562,645,915,719,,80,42,17,2048,2152,4178,4890,4547,3583,1680
30619,"Frozen crustaceans, even smoked, fit for human consumption, whether in shell or not, incl. ...",0,0,0,0,0,0,0,0,0,,,65,137,76,24,76,251,219,313,379,375,,1686,36,3,0,110,194,0,115,117,529
30627,"Shrimps and prawns, even smoked, whether in shell or not, live, fresh, chilled, dried, salted ...",0,0,0,0,0,0,0,0,0,,,1732,1465,1304,1345,1181,0,0,0,0,0,,9674,9453,17067,14558,14554,16301,0,0,0,
30732,"Mussels """"Mytilus spp., Perna spp."""", frozen, even in shell""""",0,0,0,0,0,0,32,7,15,,,0,0,0,0,0,31,72,75,71,86,,0,0,0,0,0,0,995,2155,1306,783
30751,"Octopus """"Octopus spp."""", live, fresh or chilled""""",0,0,0,0,0,0,0,0,0,,,355,344,388,545,747,621,562,524,451,808,,0,4,0,0,1,193,25,0,79,
30789,"Smoked, frozen, dried, salted or in brine, abalone """"Haliotis spp."""", even in shell""""",0,0,0,0,11,18,0,0,0,,,3479,2861,1942,1712,2812,0,0,0,0,0,,0,30,288,165,649,238,0,0,0,
40310,"Yogurt, whether or not flavoured or containing added sugar or other sweetening matter, fruits, ...",1,19,32,33,33,19,0,75,124,,,7320,7345,7990,8608,9426,8055,7541,6916,6404,6274,,6506,4899,7218,7193,7243,5964,4203,7019,7929,12694
40721,"Fresh eggs of domestic fowls, in shell (excluding fertilised for incubation)",0,0,0,0,0,0,0,0,0,,,5,324,122,0,204,26,0,207,2839,159,,0,0,0,0,0,0,0,0,0,
40891,"Dried birds' eggs, not in shell, whether or not sweetened (excluding egg yolks)",0,0,0,0,0,0,0,0,0,,,1,4,2,3,3,33,15,33,39,60,,1280,1850,1705,1934,1814,2957,3353,3564,3143,4205
50800,"Coral and similar materials, shells of molluscs, crustaceans or echinoderms, cuttle-bone, powder ...",87,97,158,171,70,40,90,48,142,,,1969,1767,1559,1571,1308,1179,1279,1040,1119,726,,5102,4571,5591,6028,5873,5669,4044,5943,5422,4289
60420,"Foliage, branches and other parts of plants, without flowers or flower buds, and grasses, mosses ...",0,0,0,0,0,0,0,0,0,,,31,31,42,40,33,31,10,31,70,33,,48,3,2,26,45,44,36,74,169,916
70190,Fresh or chilled potatoes (excluding seed),0,0,0,0,12,0,0,0,0,,,276,269,833,381,278,1204,826,563,230,257,,11367,12908,11256,10380,15287,21318,16476,21561,25788,124652
70529,Fresh or chilled chicory (excluding witloof chicory),0,0,0,0,0,0,0,0,0,,,1,1,4,6,6,7,5,31,137,221,,0,0,0,21,2,14,40,168,54,3
70610,Fresh or chilled carrots and turnips,23,28,19,69,26,57,52,59,72,,,404,110,90,214,992,137,237,167,187,273,,8949,9341,9847,12538,13866,16896,15407,17436,19932,92807
70810,"Fresh or chilled peas """"Pisum sativum"""", shelled or unshelled""""",0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,1,3,1,0,0,,32,209,301,468,467,234,176,292,119,4484
71021,"Shelled or unshelled peas """"Pisum sativum"""", uncooked or cooked by steaming or by boiling ...""",0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,31,3,0,0,,231,424,353,432,424,531,676,702,633,459
71090,"Mixtures of vegetables, uncooked or cooked by steaming or by boiling in water, frozen",0,0,0,0,0,0,0,0,0,,,110,23,47,311,354,43,53,41,39,54,,28,58,59,110,109,232,346,394,577,750
71140,"Cucumbers and gherkins provisionally preserved, e.g. by sulphur dioxide gas, in brine, in sulphur ...",0,0,0,0,0,0,0,0,0,,,2,0,126,22,11,19,1,1,2,0,,4,13,123,8,13,20,186,360,12,124
71239,"Dried mushrooms and truffles, whole, cut, sliced, broken or in powder, but not further prepared ...""",5,0,5,0,10,1,16,44,40,,,3767,3416,1698,2285,2803,2067,1775,1650,1300,1364,,3807,4209,7306,8344,8782,34646,136560,131661,20034,83481
71320,"Dried, shelled chickpeas """"garbanzos"""", whether or not skinned or split""""",0,0,0,0,0,0,0,0,0,,,0,0,76,0,1,0,0,0,1,1,,189,1117,76,22,14,58,87,84,188,486
71332,"Dried, shelled small red """"Adzuki"""" beans """"Phaseolus or Vigna angularis"""", whether or not ...""",0,0,0,11,0,0,0,0,0,,,20,13,29,30,54,23,16,28,27,19,,276,233,263,394,276,1772,1506,633,916,9688
71335,"Dried, shelled cow peas """"Vigna unguiculata"""", whether or not skinned or split""""",0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,2,0,2,,48,0,113,127,6201,219,245,547,560,1010
71340,"Dried, shelled lentils, whether or not skinned or split",0,0,0,0,0,0,0,0,0,,,0,0,481,182,4,0,2,18,2,0,,7,0,5,7,81,38,140,81,139,374
80131,"Fresh or dried cashew nuts, in shell",0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,2,0,0,0,0,,321547,589723,627454,1105038,1626834,2523137,1900260,1668415,1418765,363369
80212,"Fresh or dried almonds, shelled",0,0,0,0,1,0,1,0,5,,,139,186,188,738,1813,416,522,375,210,725,,969,1106,1569,3692,16208,28089,99311,91228,75453,88981
80410,Fresh or dried dates,0,0,0,0,0,0,0,0,0,,,0,0,64,35,33,31,37,36,29,36,,169,394,280,281,410,396,1010,1592,774,1638
80440,Fresh or dried avocados,0,0,0,0,0,0,0,0,0,,,0,1,1,1,3,5,6,2,10,1,,39,42,54,46,68,0,0,0,0,27
80620,Dried grapes,0,0,0,0,0,0,0,0,0,,,19,80,36,16,39,48,96,28,34,26,,4409,5651,4912,5784,5819,4950,9128,14527,9935,15269
80921,"Fresh sour cherries """"Prunus cerasus""""""""",0,0,0,0,0,0,0,0,0,,,0,1,0,0,0,0,0,0,0,0,,1508,1772,3015,3344,3879,2982,5026,3227,1339,1571
81110,"Frozen strawberries, uncooked or cooked by steaming or boiling in water, whether or not sweetened",0,0,0,0,0,0,2,111,104,,,884,1237,1703,1035,1646,952,1541,1630,694,1094,,364,234,565,124,174,558,1237,2039,914,1220
81290,"Fruit and nuts, provisionally preserved, e.g. by sulphur dioxide gas, in brine, in sulphur ...",0,0,0,0,0,0,0,7,12,,,0,0,26,8,12,12,11,3,3,0,,4,3,0,9,26,89,36,17,85,46
81350,Mixtures of nuts or dried fruits,0,0,0,0,0,0,2,0,0,,,0,13,13,44,98,78,187,251,195,388,,184,26,20,117,219,320,417,133,183,233
90121,Roasted coffee (excluding decaffeinated),16,23,64,102,66,57,89,56,23,,,1352,1672,3339,3161,2429,2674,4034,2925,2639,3447,,879,923,1636,1576,2251,2625,2418,2510,1887,3800
90240,"Black fermented tea and partly fermented tea, whether or not flavoured, in immediate packings ...",0,0,0,0,0,0,1,4,1,,,1556,2625,2519,1207,1283,1375,1133,1140,1611,10000,,1544,2517,4404,4330,3547,1861,7557,7454,6138,90559
90412,"Pepper of the genus Piper, crushed or ground",4,6,6,68,21,32,41,71,53,,,94,128,225,271,246,297,521,510,745,972,,99,142,299,1172,1391,1270,656,723,2006,2007
90811,"Nutmeg, neither crushed nor ground",0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,,8956,9139,8413,8072,5653,9819,10472,10279,10695,17281
90822,"Mace, crushed or ground",0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,,0,0,137,145,47,10,14,0,0,481
90831,"Cardamoms, neither crushed nor ground",0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,,0,702,230,76,98,718,77,71,128,7506
90961,"Juniper berries and seeds of anise, badian, caraway or fennel, neither crushed nor ground",0,0,0,0,0,0,0,0,0,,,7,8,0,0,5,0,4,0,0,0,,481,680,1109,952,816,764,1363,1348,1247,41092
91099,"Spices (excluding pepper of the genus Piper, fruit of the genus Capsicum or of the genus Pimenta, ...""",0,0,0,0,0,0,4,0,0,,,116,156,109,125,81,32,127,29,101,151,,171,294,321,583,102,241,217,534,936,2445
100111,Durum wheat seed for sowing,0,0,0,0,0,0,0,0,0,,,0,2,0,0,0,1,1,0,0,0,,120,0,0,0,0,0,0,0,0,
100620,Husked or brown rice,0,0,0,0,3,0,0,0,1,,,329,244,333,475,383,264,287,310,668,645,,9,6,51,4,316,78,106,154,439,240
110813,Potato starch,0,0,0,0,0,0,0,0,7,,,8,52,105,168,226,167,122,190,426,751,,4403,4347,4161,5279,7100,7619,9078,9756,12569,8291
110820,Inulin,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,,330,452,327,3234,4711,5092,3047,4874,4494,1656
120230,"Groundnut seed, for sowing",0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,4,0,0,,0,0,0,0,0,0,0,0,0,605
120730,Castor oil seeds,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,3475
120760,"Safflower """"Carthamus tinctorius"""" seeds""""",0,0,0,0,0,0,0,0,0,,,4,2,0,3,0,5,0,0,0,4,,0,0,0,0,0,0,0,66,127,154
121300,"Cereal straw and husks, unprepared, whether or not chopped, ground, pressed or in the form ...",0,0,0,0,0,0,0,0,0,,,0,0,0,0,1,0,2,0,0,0,,56,50,65,30,38,22,15,14,8,119
130190,"Lac; natural gums, resins, gum-resins, balsams and other natural oleoresins (excluding gum ...",7,15,49,82,75,144,104,55,11,,,115,4,1,20,3,53,61,153,96,41,,3246,6266,5831,8777,12235,16759,25949,22270,16483,20628
130211,Opium,5,0,0,0,0,0,0,16,0,,,,,,,,,,,,,,7,25,0,1,0,9,2,16,1,54
130213,Extracts of hops,0,0,0,0,0,0,0,0,0,,,46,28,0,1,2,3,7,2,75,2,,5114,5315,6178,9311,9463,12062,18347,18310,14780,12533
150710,"Crude soya-bean oil, whether or not degummed",0,0,0,2,0,0,0,0,0,,,22674,5431,1892,285,61,6678,55,20,26,21,,41243,70521,83310,117267,47371,33897,33531,38582,51705,62412
151521,Crude maize oil,0,0,0,0,0,0,0,0,23,,,4653,1067,555,1736,8311,14320,10163,5064,8006,7952,,0,0,0,0,15,0,0,0,23,152
151530,"Castor oil and fractions thereof, whether or not refined, but not chemically modified",59,37,33,1,17,80,81,120,98,,,147,102,369,252,104,171,105,1042,147,260,,1077,1228,1270,1152,1285,1668,1743,1872,1568,2616
151790,Edible mixtures or preparations of animal or vegetable fats or oils and edible fractions of ...,3084,2901,1991,2080,2484,2689,3337,2802,3041,,,9687,9118,10628,11109,7439,17028,18540,9806,9724,11249,,34762,28572,28204,24200,27723,32134,34578,32165,24425,62717
152190,"Beeswax, other insect waxes and spermaceti, whether or not refined or coloured",15,12,30,14,6,9,6,1,2,,,13,20,25,617,368,692,357,280,236,366,,446,446,404,497,193,359,492,581,343,462
160100,"Sausages and similar products, of meat, meat offal, blood or insects; food preparations based ...",1,0,6,3,64,24,393,106,8,,,3591,4167,5764,6626,3497,3487,3778,4378,7348,11338,,427,203,451,1322,801,591,1148,979,945,2821
160241,"Hams of swine and cuts thereof, prepared or preserved",0,0,0,0,0,3,25,2,0,,,297,659,3153,1379,877,486,398,1253,2959,4701,,4,8,1,174,171,249,275,416,361,1993
160510,"Crab, prepared or preserved (excluding smoked)",13,13,13,41,49,52,0,27,86,,,58970,59911,56664,49677,53135,55069,47577,40921,28951,38733,,70,48,161,45,93,397,40,39,133,760
170290,"Sugars in solid form, incl. invert sugar and chemically pure maltose, and sugar and sugar syrup ...",81,1291,1808,1136,3573,2769,4030,4189,3749,,,34217,49865,71467,60950,52826,49633,59229,50695,47293,54007,,21244,26226,28274,27193,36852,34121,33233,34248,35927,28830
170390,Beet molasses resulting from the extraction or refining of sugar,5,13,16,64,57,5,0,0,0,,,8,9,3,237,267,2,50,0,0,0,,17328,5969,7479,11865,6804,10273,3400,7893,8091,11923
170410,"Chewing gum, whether or not sugar-coated",14,3,4,20,42,52,13,45,40,,,22125,19278,21178,17138,13907,11187,7363,6953,5614,4943,,24232,21327,16445,13603,12922,12687,10940,11889,10766,10835
180690,"Chocolate and other preparations containing cocoa, in containers or immediate packings of <= ...",145,174,241,313,289,412,436,469,757,,,8774,7647,8127,9809,9169,17603,16557,11095,11821,15494,,4097,4853,5889,7168,8951,12292,18080,21456,19012,103421
190110,"Food preparations for infant use, put up for retail sale, of flour, groats, meal, starch or ...",9082,6926,7202,10375,7178,6617,6715,10282,14807,,,71140,81811,104649,117923,125987,81595,104427,100415,95158,110771,,268890,273827,237101,230898,258559,290454,230119,271836,286014,304316
190510,Crispbread,0,0,0,0,0,5,0,19,15,,,0,3,0,0,1,21,40,58,196,113,,293,526,652,604,228,62,29,107,214,2506
200390,"Mushrooms and truffles, prepared or preserved otherwise than by vinegar or acetic acid (excluding ...""",2,5,2,1,2,2,2,1,18,,,491,30,5,188,51,167,102,234,237,204,,172,142,491,1136,869,1221,1194,1296,2040,143518
200591,"Bamboo shoots, prepared or preserved otherwise than by vinegar or acetic acid (excluding frozen)",0,1,0,1,0,0,1,0,0,,,5,1,2,6,2,7,8,5,4,2,,4,88,22,97,150,204,293,260,566,12583
200710,"Homogenised preparations of jams, jellies, marmalades, fruit or nut pur?es and nut pastes, ...",9,2,1,9,4,0,0,0,0,,,582,500,294,29,12,5,0,5,36,260,,1141,573,461,218,246,289,367,431,294,472
200939,"Single citrus fruit juice, unfermented, Brix value > 20 at 20¡ÆC, whether or not containing ...",0,0,0,0,39,6,7,17,40,,,3942,3767,3953,1888,2641,1896,3508,4316,4394,3297,,340,215,394,426,582,767,247,323,329,205
200981,"Cranberry """"Vaccinium macrocarpon, Vaccinium oxycoccos, Vaccinium vitis-idaea"""" juice, unfermented, ...""",3,9,0,11,0,0,0,59,86,,,9,6,2,53,0,0,0,6,2,40,,332,65,64,322,361,240,210,467,414,462
210220,Inactive yeasts; other dead single-cell micro-organisms (excluding packaged as medicaments),63,79,147,24,81,15,3,11,111,,,5540,6062,5906,5763,5924,9464,13706,16738,17967,15727,,6285,7898,3960,3643,5580,5543,5722,5978,5910,11269
210410,Soups and broths and preparations therefor,31,27,42,37,65,151,305,411,571,,,9162,7194,8019,7400,11183,16766,17335,17626,27922,33856,,615,557,579,881,1329,1332,1879,1781,2020,6690
210690,"Food preparations, n.e.s.",10003,13924,12804,15847,20284,18277,24237,29538,30081,,,491360,551106,590458,596362,667768,774033,842998,773316,581173,722695,,227800,369031,426041,476915,509664,526542,586243,798919,795842,949841
220300,Beer made from malt,0,13,12,36,80,29,40,27,0,,,67814,72254,73181,84454,90864,112446,154444,145936,68530,59980,,3377,3358,11684,7524,8194,11185,12614,15914,7135,25009
220510,"Vermouth and other wine of fresh grapes, flavoured with plants or aromatic substances, in containers ...",24,1,1,0,0,0,0,0,0,,,0,0,0,0,0,28,0,0,0,0,,159,118,28,15,38,2,51,28,1,761
230110,"Flours, meals and pellets, of meat or offal, unfit for human consumption; greaves",0,0,0,292,752,3310,4516,8573,6181,,,2,0,15,21,17,112,511,7925,5925,5179,,203934,267427,264428,273332,246216,242169,328544,349234,379548,298877
230330,Brewing or distilling dregs and waste,204,0,0,0,63,1,394,489,506,,,21,596,8,600,0,0,1412,6776,532,1059,,146839,128261,176657,148350,212040,142919,234197,303727,270206,392174
230641,"Oilcake and other solid residues, whether or not ground or in the form of pellets, resulting ...""",0,0,0,0,0,0,0,0,0,,,0,6009,0,0,0,0,0,0,0,0,,26500,34124,39043,30083,29518,25263,22270,13492,8887,18082
240399,"Chewing tobacco, snuff and other manufactured tobacco and manufactured tobacco substitutes, ...""",0,0,0,0,0,0,0,0,0,,,1745,1862,2793,3713,4819,10688,14189,37655,22305,29766,,0,0,0,30,75,134,209,394,604,2108
250200,Unroasted iron pyrites,0,0,0,0,0,0,0,0,0,,,18,85,5,7,0,0,9,0,21,0,,0,0,6,16,0,0,6,13,38,136
250700,"Kaolin and other kaolinic clays, whether or not calcined",61,21,51,39,54,28,102,110,129,,,1515,1516,2018,1622,1753,1573,3150,4032,1547,1756,,15806,14601,18156,19369,19730,22533,27072,26128,26480,36003
251010,"Natural calcium phosphates and natural aluminium calcium phosphates, natural and phosphatic ...",0,0,0,0,0,0,0,0,0,,,35,6,85,41,185,153,132,61,75,108,,2,139,2,0,110,74,4,104,70,
251020,"Natural calcium phosphates and natural aluminium calcium phosphates, natural and phosphatic ...",0,0,0,0,0,1,0,8,0,,,45,57,79,42,45,37,31,63,71,57,,1587,932,567,575,458,490,304,227,266,77
251611,"Granite, crude or roughly trimmed (excluding already with the characteristics of setts, curbstones ...",0,0,0,0,8,20,0,0,0,,,1,0,0,0,10,7,0,42,0,0,,3,342,1262,2973,2462,882,808,229,274,4842
251749,"Granules, chippings and powder, whether or not heat-treated, of travertine, ecaussine, alabaster, ...",243,242,280,272,250,354,345,351,154,,,8081,7844,9058,6650,8519,8959,9861,6653,3694,4157,,2538,2804,1292,1512,2523,3266,2286,2341,1460,487
252620,"Natural steatite and talc, crushed or powdered",261,210,389,319,320,416,721,895,897,,,5471,7090,10656,8773,9745,10646,13064,12567,14961,19233,,5513,6525,7130,7607,8773,9213,10002,11729,12560,11476
252921,Fluorspar containing by weight <= 97% calcium fluoride,0,0,0,0,0,0,0,0,0,,,2,0,50,42,1,0,1,296,85,146,,176,64,399,40,666,594,875,1100,1052,2412
252930,"Leucite, nepheline and nepheline syenite",0,0,2,0,0,2,0,4,0,,,2,4,0,0,0,4,1,8,2,7,,719,950,964,725,892,932,799,805,944,297
253010,"Vermiculite, perlite and chlorites, unexpanded",4,11,19,13,20,32,95,86,114,,,108,82,181,102,295,137,271,205,159,238,,333,244,275,2607,277,252,692,769,480,1908
253020,"Kieserite and epsomite """"natural magnesium sulphates""""""""",0,0,0,0,0,0,0,0,0,,,0,0,0,21,0,0,0,0,0,0,,198,0,0,65,71,32,109,1,2,
260300,Copper ores and concentrates,0,61,674,0,14,0,0,0,0,,,11807,11219,25950,93621,39093,118578,200008,260668,388022,1185736,,344,2045,3317,10745,15651,21681,4646,257,73,584
260800,Zinc ores and concentrates,0,0,0,0,0,0,0,0,0,,,14128,9404,10034,4781,7725,6893,29354,20412,19884,34683,,0,0,117,30,205,138,431,714,367,1314
262011,Hard zinc spelter,0,0,0,0,0,0,0,0,0,,,0,62,0,288,565,605,353,0,0,0,,0,0,11,1240,3760,4966,0,0,0,
