Product code,Product label,"Taipei, Chinese's imports from Germany-Value in 2012","Taipei, Chinese's imports from Germany-Value in 2013","Taipei, Chinese's imports from Germany-Value in 2014","Taipei, Chinese's imports from Germany-Value in 2015","Taipei, Chinese's imports from Germany-Value in 2016","Taipei, Chinese's imports from Germany-Value in 2017","Taipei, Chinese's imports from Germany-Value in 2018","Taipei, Chinese's imports from Germany-Value in 2019","Taipei, Chinese's imports from Germany-Value in 2020","Taipei, Chinese's imports from Germany-Value in 2021",Germany's exports to world- ,Germany's exports to world-Value in 2012,Germany's exports to world-Value in 2013,Germany's exports to world-Value in 2014,Germany's exports to world-Value in 2015,Germany's exports to world-Value in 2016,Germany's exports to world-Value in 2017,Germany's exports to world-Value in 2018,Germany's exports to world-Value in 2019,Germany's exports to world-Value in 2020,Germany's exports to world-Value in 2021,"Taipei, Chinese's imports from world- ","Taipei, Chinese's imports from world-Value in 2012","Taipei, Chinese's imports from world-Value in 2013","Taipei, Chinese's imports from world-Value in 2014","Taipei, Chinese's imports from world-Value in 2015","Taipei, Chinese's imports from world-Value in 2016","Taipei, Chinese's imports from world-Value in 2017","Taipei, Chinese's imports from world-Value in 2018","Taipei, Chinese's imports from world-Value in 2019","Taipei, Chinese's imports from world-Value in 2020","Taipei, Chinese's imports from world-Value in 2021"
300215,"Immunological products, put up in measured doses or in forms or packings for retail sale (excl. ...",0,0,0,0,0,162088,143237,152367,199321,260049,,0,0,0,0,0,17544825,21685506,20062331,22519737,26220126,,0,0,0,0,0,326029,471440,527447,657576,794203
903082,Instruments and apparatus for measuring or checking semiconductor wafers or devices,17331,12835,15626,16111,22747,23880,13801,22703,39276,184884,,97934,103206,98210,132842,165892,205179,224958,268419,242465,392610,,1639676,1504331,2483971,1541914,1629789,1535082,1848923,1851525,2137078,2463560
903090,Parts and accessories for instruments and apparatus for measuring or checking electrical quantities ...,26174,39036,57812,89529,142458,61002,150143,140799,113589,145017,,371093,322333,399624,349500,390948,440214,497360,512274,543202,696833,,577290,637429,744014,901109,1017849,1098679,1355096,1264550,1644104,1858594
848620,Machines and apparatus for the manufacture of semiconductor devices or of electronic integrated ...,155545,104785,109539,92478,73831,79735,103310,67888,108744,140918,,626399,531692,566662,713205,864070,1030976,981656,988164,802918,946812,,7405743,8746713,6652092,6991456,9557322,7544276,6453069,12659910,11121841,17009104
841182,Gas turbines of a power > 5.000 kW (excluding turbojets and turbopropellers),2,0,2,4857,39210,40675,41627,58256,63435,133115,,1209592,707507,592146,295148,979246,471058,461965,375144,320073,410468,,4146,2858,1799,4857,39210,105207,42078,58256,122603,202575
901320,Lasers (excluding laser diodes),11534,13914,17140,26519,33298,39905,58828,79587,86910,118384,,1207681,1283615,1452131,1301345,1443149,1942945,2152770,1795256,1741124,2155868,,85748,115403,152429,166409,148959,168736,220189,228038,253284,297651
903190,"Parts and accessories for instruments, appliances and machines for measuring and checking, ...",33287,31168,46450,42781,48993,59253,63001,69144,83609,111139,,1073181,1093286,1157116,1027358,1100560,1301532,1415430,1322991,1148597,1306197,,283774,373837,392409,312752,319181,435343,425133,388072,552145,662685
880240,"Aeroplanes and other powered aircraft of an of an unladen weight > 15.000 kg (excl. helicopters, ...",0,0,147483,123833,0,0,0,110999,57421,105193,,32850281,33237500,33037729,33305199,34396415,29668532,28754343,30848975,19958581,19441944,,512442,356952,1460406,1959960,1265843,1601586,1105064,726069,499460,652300
853710,"Boards, cabinets and similar combinations of apparatus for electric control or the distribution ...",96067,107814,118208,90914,89774,109922,132115,86649,65191,104247,,7990243,9061676,9923141,8417821,9146764,11015406,12558500,12746414,11555985,12500043,,711789,697247,787817,737454,696263,808606,913509,984843,948980,1271970
847989,"Machines and mechanical appliances, n.e.s.",84698,56207,90462,103232,138506,45909,69286,43794,91491,98860,,7312247,7307891,7783399,6907270,7232855,8794751,10076088,10270393,9051937,9663199,,761084,771724,693818,783284,754779,558366,695801,763934,835788,1051146
842139,Machinery and apparatus for filtering or purifying gases (excl. isotope separators and intake ...,14235,36884,22241,26026,69403,70552,69298,101283,87208,95291,,3483804,3623803,4637208,4534155,4300952,4228754,4549779,4930231,5384905,6640219,,134312,174847,170573,174290,298692,315337,388435,456309,469059,612572
382499,"Chemical products and preparations of the chemical or allied industries, incl. those consisting ...",0,0,0,0,0,81963,84040,87362,89572,93497,,0,0,0,0,0,4627693,5187104,4880465,4721959,5741167,,0,0,0,0,0,1471945,1612205,1497734,1545068,1825090
711419,"Articles of goldsmiths' or silversmiths' wares or parts thereof, of precious metal other than ...",19,7,2,5,25,12740,2070,142,42235,90688,,10618,23820,8764,6100,5980,8882,9426,5937,6911,8588,,8543,7731,5254,5248,4583,18241,16313,5772,84810,157498
381519,"Supported catalysts, n.e.s. (excluding with precious metal, a precious-metal compound, nickel ...",788,707,304,1178,2016,4408,16543,19669,61765,88658,,549167,587258,629566,561969,488881,493076,599065,613531,465839,476009,,29107,72941,51242,37310,65678,38417,81453,63801,98354,127157
890690,"Vessels, incl. lifeboats (excluding warships, rowing boats and other vessels of heading 8901 ...",8012,30936,34119,22285,16471,16203,21517,26182,53235,84205,,134617,48204,53998,170217,54060,127287,70107,81536,63846,84491,,472654,343568,351321,210916,167655,166453,225457,284133,268592,326754
870380,"Motor cars and other motor vehicles principally designed for the transport of <10 persons, ...",0,0,0,0,0,16,8,76,10202,80718,,0,0,0,0,0,1555181,1812016,3909260,8471752,15590982,,0,0,0,0,0,57393,35539,179638,322686,380001
870324,"Motor cars and other motor vehicles principally designed for the transport of persons, incl. ...",250013,233814,241867,204115,145731,103554,84522,61467,76651,80550,,25610269,24337337,23652624,20546139,12635772,11133488,11728888,9563592,7098435,8647351,,648715,565641,614389,501162,429405,337217,377831,401803,346192,338058
901890,"Instruments and appliances used in medical, surgical or veterinary sciences, n.e.s.",77187,87228,79154,85924,79206,77117,67094,62810,102174,73961,,5829686,6230328,6320987,5579614,5710546,6138894,6827514,6940280,7109715,7583085,,541174,555874,558768,597116,602689,680336,618867,668118,781299,689013
853720,"Boards, cabinets and similar combinations of apparatus for electric control or the distribution ...",31401,34272,12218,15183,18536,9177,26498,30186,64505,72782,,1172453,1457438,1253896,1118448,1309100,1156619,1111173,1106394,1089796,1074626,,37728,57752,23122,29498,42684,22391,36587,39660,85295,179693
999999,Commodities not elsewhere specified,44010,57345,50342,45351,58521,63352,75467,58865,83127,70242,,59373193,63816786,70174563,64670995,63831190,58021514,60664181,57559330,46910555,63274483,,2137731,3152091,4097793,4552289,3273929,3698539,3509151,3723829,3768943,4306975
854140,"Photosensitive semiconductor devices, incl. photovoltaic cells whether or not assembled in ...",14486,21447,43475,59612,79615,129794,71876,45646,61905,68711,,4697319,3603488,3156490,3150110,2832471,2731732,2644341,2469548,2423506,3037043,,1221393,1098751,1328129,1434975,1390726,1274702,989660,759028,809945,1008976
850131,"DC motors of an output > 37,5 W but <= 750 W and DC generators of an output <= 750 W (excl. ...",3223,4799,4838,4822,8954,17844,25810,54674,40790,68420,,894504,1001130,1054048,1148847,1417063,1579449,1746085,1648152,1599512,1821305,,65251,60086,144727,150147,128400,132801,159916,187526,174165,224216
848640,Machines and apparatus specified in Note?9 C to chapter 84,31815,17206,42800,31443,33141,9754,57846,107132,85222,65882,,234588,190848,278567,235361,223658,273739,304587,355295,359339,445051,,393805,336148,489137,232883,376987,449810,581634,470166,646759,788907
870332,"Motor cars and other motor vehicles principally designed for the transport of persons, incl. ...""",229217,249084,248067,208510,158992,196074,103369,72751,23988,64346,,47650950,49063225,50157240,45453245,45724081,45345893,38088559,30279577,21375051,17798560,,358846,395147,487131,554317,466197,473196,313253,196853,156243,202883
903149,"Optical instruments, appliances and machines for measuring or checking, not elsewhere specified ...",40231,38219,41858,33892,39677,43133,58255,52335,46824,60723,,1050855,1361363,1663802,1598136,1661849,1981361,2295686,2066286,1963166,2417381,,307231,307016,342303,395071,503199,380935,445694,608809,642266,1042846
850440,Static converters,25785,28820,34291,39784,33384,34800,91759,66389,53095,58244,,4802695,4763246,5047102,4487542,4594645,5280041,5800438,5957950,7087710,8578880,,844372,799085,849081,753315,797978,867324,981745,1148165,1341871,1644391
900219,"Objective lenses (excluding for cameras, projectors or photographic enlargers or reducers)",24494,31377,20335,43337,49877,63561,26576,40288,36771,56472,,796806,896413,943907,634507,734697,1226794,1439440,1558359,1564186,2016076,,105506,136992,117185,132293,138783,160851,142221,160583,179048,255523
848180,"Appliances for pipes, boiler shells, tanks, vats or the like (excluding pressure-reducing ...""",46916,60332,46544,44365,37136,40574,39761,40881,47100,56444,,5990272,6565035,6655664,5571034,5811769,6490038,7065364,7021880,6614272,7723233,,359349,402893,432865,408908,428953,444472,480203,486938,581197,702962
290519,"Saturated monohydric acyclic alcohols (excluding methanol """"methyl alcohol"""", propan-1-ol ...""",58541,43781,48082,31736,28533,36303,44125,32553,31763,55463,,0,0,0,0,0,0,0,0,0,0,,89136,70427,73994,55550,45229,53829,62253,52420,48650,77954
740319,"Copper, refined, unwrought (excluding copper in the form of billets, wire-bars, cathodes and ...",0,0,1995,3650,11022,12892,30350,36674,23164,53207,,191370,145673,67845,77245,79133,113691,113853,111353,100875,215250,,140172,170161,173290,123332,119558,152829,188962,148283,159678,234471
290930,"Aromatic ethers and their halogenated, sulphonated, nitrated or nitrosated derivatives",59,23,217419,468676,357324,343240,286047,108651,82935,51382,,563381,709059,683471,736624,562024,525216,478062,317690,254570,161336,,3333,2152,220545,472140,360898,347429,288213,164607,133032,154741
300431,"Medicaments containing insulin but not antibiotics, put up in measured doses """"incl. those ...""",16130,15103,19224,24308,23905,27156,25850,30389,37143,51212,,3817638,5197248,6382323,5427739,4062007,3715590,3208240,2985040,2837955,2670177,,43426,40846,57293,61785,60900,71270,77146,79370,101191,121285
903141,Optical instruments and appliances for inspecting semiconductor wafers or devices or for inspecting ...,12903,3641,6702,25511,15382,12758,19268,37149,27704,50108,,116279,101120,114263,141644,173180,161886,256836,189992,243778,229152,,594546,822646,541418,639030,792519,788195,680513,1160644,1406793,2047539
841191,"Parts of turbojets or turbopropellers, n.e.s.",153,198,325,329,3268,18640,61782,44733,50317,49560,,2359321,2395713,1890480,1809153,1971014,2741976,3826059,4741732,2508271,1666219,,118551,196292,226022,270985,458330,1002767,1451720,1471279,1252761,1382676
900290,"Lenses, prisms, mirrors and other optical elements, mounted, of any material, being parts of ...",18211,18650,18812,21715,18848,18053,19287,38085,28856,47484,,542394,619980,625666,417913,483095,363958,444835,397148,401832,506547,,133122,145195,150693,174655,175380,156800,153635,177532,175077,202241
870510,Crane lorries (excluding breakdown lorries),40292,18731,26404,16887,24442,16509,9244,12798,29477,47347,,2473420,2555178,2432857,2052684,1842465,1925006,2315144,2379957,1803546,2238850,,49882,24380,33324,25934,31486,25436,22603,26604,43775,61335
842199,"Parts of machinery and apparatus for filtering or purifying liquids or gases, n.e.s.",23039,21973,27881,26939,21307,32645,40319,37599,45154,43264,,2288782,2472761,2632794,2340476,2417329,3010211,3353027,3379445,3539851,3489957,,265125,250275,290492,281572,286083,287762,310081,309870,362811,426542
870899,"Parts and accessories, for tractors, motor vehicles for the transport of ten or more persons, ...",25101,31034,33424,31152,32917,34504,39106,37700,33695,41154,,7545250,8084557,8510030,7652388,8002705,8861842,9219583,7979540,6834006,8266138,,362973,351954,419583,381472,363104,350288,368013,387235,405845,481472
870333,"Motor cars and other motor vehicles principally designed for the transport of persons, incl. ...""",62132,88015,134751,138685,116361,84394,54410,22829,15038,40522,,12977982,13065520,14577321,14061821,12778631,11610819,9356232,6894640,4682836,3899235,,135173,163830,214347,237127,199458,161416,119674,70697,70929,97888
842129,Machinery and apparatus for filtering or purifying liquids (excluding such machinery and apparatus ...,7364,14960,19778,14777,4643,15901,40299,40658,32555,39919,,1689730,1802032,1991373,1706391,1774202,1684997,1921124,1808647,1811851,2115971,,87887,98083,155823,122425,131131,136206,207197,219328,259575,309894
382200,"Diagnostic or laboratory reagents on a backing, prepared diagnostic or laboratory reagents ...",23284,21939,22704,23617,25943,26279,23945,24075,27426,38389,,3935982,4153392,4193187,3837821,3954412,4270507,4410175,4269939,5482884,6479369,,194803,196899,192971,198299,208635,225983,233182,250997,270182,385778
880330,"Parts of aeroplanes or helicopters, n.e.s. (excluding those for gliders)",2988,3299,3278,6341,62070,71296,58920,64711,36470,38277,,8624166,8112839,8819635,8247703,8303002,9731028,9417833,9124472,6510750,5764908,,299582,315893,294812,301194,1961184,1754520,1666242,1771358,1036900,1079602
902780,"Instruments and apparatus for physical or chemical analysis, or for measuring or checking viscosity, ...",28058,26243,24792,22481,28467,20864,23395,21740,23029,38256,,1746298,1796959,1857020,1808605,1798759,2165995,2306754,2095726,2164421,2460191,,239529,219994,227381,224077,239684,239566,410225,326908,284277,310705
870120,Road tractors for semi-trailers,3871,4704,4220,2971,3545,3027,21475,33354,23108,37187,,5484051,5734134,5999904,5619042,5111936,4915364,5019935,4079114,2903529,3621432,,4071,4934,4489,3228,3545,3027,25349,38665,30036,51437
240120,"Tobacco, partly or wholly stemmed or stripped, otherwise unmanufactured",19,0,0,544,25411,35075,36182,30741,32005,36820,,313916,324234,362463,333713,356067,404994,364501,322420,237289,308145,,61918,52614,72660,42087,88312,98842,97221,91706,69880,98130
293369,"Heterocyclic compounds with nitrogen hetero-atom[s] only, containing an unfused triazine ring, ...",2172,2858,2099,1157,32172,32924,41598,55501,30058,35429,,231544,242103,258697,26,26,22,33,260372,211226,257874,,25856,24151,26534,22969,48567,48960,59788,75177,48942,68155
853890,"Parts suitable for use solely or principally with the apparatus of heading 8535, 8536 or 8537, ...",22028,26917,19904,22493,21679,24373,33997,26948,28482,35262,,5101781,5311843,5595013,4517879,4468555,5052566,5666797,5251280,4870119,5721908,,222782,231176,230784,218246,235783,258112,275203,251886,294264,438623
280461,"Silicon containing >= 99,99% by weight of silicon",126514,161244,171641,118261,139011,74543,83742,36411,29003,32370,,1662025,1399071,1494179,1144529,1063491,1120864,1065924,838104,817719,1548762,,835811,963243,1077596,883278,920976,852709,668181,306496,264073,415442
854370,"Electrical machines and apparatus, having individual functions, n.e.s. in chapter 85",7729,3611,4719,11304,14229,16799,19326,22871,20238,31563,,2689288,3070629,2974733,2617141,2705716,2936491,2964187,3032683,2943401,3452165,,195703,160797,138345,143285,143124,157904,168997,174720,329286,351094
901390,"Parts and accessories for liquid crystal devices """"LCD"""", lasers and other appliances and ...""",10218,12786,13687,12403,12614,14122,12207,12868,18898,31306,,374219,400240,377428,362957,391453,530860,595005,466824,419740,541913,,540761,579394,529818,433603,302574,255963,280990,314726,410953,475055
210690,"Food preparations, n.e.s.",8938,10613,10016,10732,11269,12128,15311,15991,20877,30221,,2872678,3190597,3368444,2907874,3095005,3374070,3669496,3724378,4054000,4574610,,487157,505972,534435,559427,586656,593092,669946,688011,674757,788143
847590,"Parts of machines for assembling electric or electronic lamps, tubes or valves or flashbulbs, ...",18756,36281,22989,34015,15305,15907,15570,10969,4597,29260,,221754,282304,366065,257584,218576,388986,380935,422683,574338,985174,,401559,310146,254619,429130,292367,273412,312997,338515,403368,1097867
293299,"Heterocyclic compounds with oxygen hetero-atom[s] only (excl. compounds containing unfused ...""",79,148,3506,5071,6579,7196,10811,13353,18657,28332,,293314,315381,405500,402327,454325,515499,618935,634611,364110,293612,,25092,41402,47195,45148,35181,35344,35338,35506,44289,53352
392690,"Articles of plastics and articles of other materials of heading 3901 to 3914, n.e.s (excluding ...",10949,10925,10922,12684,11320,12601,14376,14981,17296,26795,,6551278,7262543,7650645,6734572,7139189,7873496,8726515,8544417,8516227,10142339,,414725,391742,418926,393647,417498,460269,504051,533228,617853,747299
853650,Switches for a voltage <= 1.000 V (excluding relays and automatic circuit breakers),18652,15435,18919,14440,13039,12251,14247,16989,20503,25609,,3025871,3101081,3270567,2898360,3066857,3444496,3766010,3569750,3184877,3833527,,226714,229889,257585,233772,225581,247599,260865,245345,251518,328545
401110,"New pneumatic tyres, of rubber, of a kind used for motor cars, incl. station wagons and racing ...",10430,17831,19330,20021,21785,24371,18712,23268,21673,25590,,4561768,4722674,4487232,3968259,4038805,4262136,4313031,4096387,3407436,3877202,,163155,162771,184233,194762,198618,222860,218615,228126,227446,283689
390740,"Polycarbonates, in primary forms",4588,5839,3254,10420,22431,30024,32199,16715,11793,24328,,0,0,0,0,0,0,0,0,0,0,,528418,441591,453636,381288,327428,368121,402448,349540,299627,439332
300449,"Medicaments containing alkaloids or derivatives thereof, not containing hormones, steroids ...""",0,0,0,0,0,548,584,10592,16576,23922,,0,0,0,0,0,2171346,2469990,2554643,2337387,1630688,,0,0,0,0,0,7410,7053,19372,24898,32282
854420,"Coaxial cable and other coaxial electric conductors, insulated",4935,4818,5514,5819,7235,5573,9593,9576,9802,22589,,313864,287539,316584,256243,266509,299746,378762,350088,294220,338094,,35321,37473,44905,41590,43227,42938,42522,37457,41557,69708
846595,"Drilling or mortising machines for working wood, cork, bone, hard rubber, hard plastics or ...",4103,4451,3398,5850,4257,3492,2275,2866,3360,22221,,85604,131760,120236,70778,98288,134003,180774,199949,185316,172624,,13829,11177,17401,16816,16484,15664,10174,10682,13216,58835
854129,Transistors with a dissipation rate >= 1 W (excluding photosensitive transistors),23716,20535,12586,12645,18007,23166,27967,31329,20652,21406,,556276,715317,1053820,1191542,1362435,1696912,1938375,1986974,1914800,2291604,,641871,556525,541670,452998,495701,565369,682141,661718,757576,945366
440712,"Fir """"Abies spp."""" and spruce """"Picea spp."""" sawn or chipped lengthwise, sliced or peeled, ...""",0,0,0,0,0,757,2044,12106,13982,21232,,0,0,0,0,0,1143455,1406056,1348020,1661096,3063085,,0,0,0,0,0,29894,38030,71673,76222,149548
901813,Magnetic resonance imaging apparatus,6068,3283,13886,13525,7724,6873,7921,9061,12603,21172,,1468872,1401858,1429155,1432766,1520966,1480825,1634678,1753832,1596018,1788076,,14155,12408,18455,18522,16761,14576,17395,25010,28207,29036
480269,"Uncoated paper and paperboard, of a kind used for writing, printing or other graphic purposes, ...",39977,20962,29304,12338,19093,12765,3234,9632,4428,21109,,15926,17239,17809,16226,12965,10414,10793,8945,7146,6800,,59235,33749,41318,24505,26309,26364,11882,18494,13909,30942
730890,"Structures and parts of structures, of iron or steel, n.e.s. (excluding bridges and bridge-sections, ...",2457,1493,1515,1225,2028,3688,2059,80073,216326,20653,,2916628,3309171,3270553,2764012,2616991,2890761,3097105,2825444,2604640,3333192,,116131,82867,108466,84511,85484,74391,79787,212606,624318,297493
841410,Vacuum pumps,25071,20837,18160,15035,14079,17295,21307,16320,18679,20500,,952360,1014656,1030320,936812,913116,1011061,1150993,1043140,959652,1098934,,151218,150550,163401,159486,192489,208857,208037,250041,231085,317475
847982,"Mixing, kneading, crushing, grinding, screening, sifting, homogenising, emulsifying or stirring ...",7401,8698,8377,6416,9546,14305,12519,11670,11338,20298,,1245997,1170841,1171668,1058866,1045531,1207732,1363219,1468772,1423109,1581254,,39320,56822,42999,39297,46889,55421,63658,57220,52372,92380
852580,"Television cameras, digital cameras and video camera recorders",12383,15642,17882,13683,11090,14828,18753,17008,20469,19692,,2011527,1853929,1852722,1672880,1862679,2192568,2389897,2439264,2628930,3192060,,740392,717563,573757,444036,417550,392461,316977,315340,372202,451373
854442,"Electric conductors for a voltage <= 1.000 V, insulated, fitted with connectors, n.e.s.",11343,3762,4295,4364,4229,6337,14037,17201,10772,19579,,1646826,1689590,1792796,1655441,1785044,2117006,2489346,2389300,2378683,2886889,,282789,300739,311014,312689,325300,366238,422784,523459,593344,830682
847720,Extruders for working rubber or plastics,42672,6991,8110,6811,9658,11401,12817,6676,9834,19428,,766469,908578,817671,853290,673206,771306,790779,826403,987447,835317,,74394,24588,24442,26594,28940,28897,47604,30200,22639,37673
271019,"Medium oils and preparations, of petroleum or bituminous minerals, not containing biodiesel, ...",14006,16785,20476,16384,17683,15909,16958,17384,15988,19374,,11077530,11744069,11926461,7920472,6560835,6963156,8062675,7597789,5859272,8883211,,14342442,16269263,14498031,8859795,8035800,8966095,10061108,6832611,5516332,9518071
293190,Separate chemically defined organo-inorganic compounds (excluding organo-sulphur compounds ...,0,869,9240,6503,10492,10793,12944,15791,15103,19139,,817006,863511,830143,801678,845472,416497,539692,520202,523361,629159,,0,14966,163858,162636,157264,180905,187097,190474,214986,241428
848340,"Gears and gearing for machinery (excluding toothed wheels, chain sprockets and other transmission ...",26657,23478,23966,17020,20421,21824,38442,22880,10927,19119,,3915544,3669110,3943710,3184480,3251395,3397722,3770321,3535198,3292551,3727968,,158109,150011,156636,136604,130714,151635,198129,161293,128093,187706
290399,"Halogenated derivatives of aromatic hydrocarbons (excluding chlorobenzene, o-dichlorobenzene, ...""",0,0,20734,34122,28984,24632,29986,31528,35668,18850,,335451,265082,203708,167126,139946,126115,157826,129841,104425,78278,,0,519,26912,40369,36887,34062,44046,51705,64107,61311
848210,Ball bearings,22824,19217,25588,18279,10880,13658,16355,13844,13015,18826,,1605056,1717802,1731956,1479992,1516949,1728846,1869400,1691939,1569043,1922480,,266836,201379,220839,203774,161156,198691,225418,196365,191367,263033
391000,Silicones in primary forms,10033,14513,12741,12751,12268,13736,15145,13270,15549,18700,,0,0,0,0,0,0,0,0,0,0,,134442,149936,158370,149114,147131,177959,203671,142962,140807,211959
842211,Dishwashing machines of the household type,2302,4059,3890,4112,4672,5787,7454,7201,11002,18552,,868660,957320,930995,840384,874063,1019031,947654,948437,972449,997576,,7294,11097,8203,8971,9571,10817,13816,13768,17392,33762
853690,"Electrical apparatus for switching electrical circuits, or for making connections to or in ...",9946,10559,10967,8782,10244,11985,13424,12571,14319,17969,,3170477,3267671,3507859,3067575,3241037,3534498,3852301,3551559,3449936,4293770,,281712,244980,255228,208852,243617,293704,275182,302329,425686,476661
844851,"Sinkers, needles and other articles used in forming stitches, for machines of heading 8447",21840,22220,21076,23964,19618,17366,15547,14269,12970,17806,,0,0,0,39327,47086,51531,49424,35476,106,123,,24531,24752,23994,27318,26341,22641,21327,18004,15510,22004
902710,Gas or smoke analysis apparatus,6422,5579,8480,8532,6615,8825,9428,11813,12566,17804,,1257389,1462203,1545750,1529645,1689581,1998987,2182794,2024595,1817832,1958077,,57100,61582,64259,63855,73804,73317,87255,103724,112082,129458
842649,"Mobile cranes and works trucks fitted with a crane, self-propelled (excluding those on tyres ...",2113,11145,714,5089,775,49,0,2074,15521,17778,,621235,621075,759104,626581,498677,498779,422774,500719,401399,542687,,9156,19673,33609,19319,10819,4632,13070,23843,33143,40480
841381,"Pumps for liquids, power-driven (excluding those of subheading 8413.11 and 8413.19, fuel, lubricating ...",13880,11637,11433,8012,9310,9194,7626,13556,18936,17227,,201170,247096,274381,194931,230908,288825,357332,384175,360602,282751,,84007,93408,106838,106973,77189,79999,85011,76328,88282,100456
840690,"Parts of steam and other vapour turbines, n.e.s.",10102,4865,4196,4755,252,1910,1385,1243,2259,17019,,833819,664058,544458,544787,571293,499895,415162,320164,296662,257333,,84829,84100,135781,89106,135254,126584,16043,30229,59036,124400
870829,"Parts and accessories of bodies for tractors, motor vehicles for the transport of ten or more ...""",8863,9914,11676,12300,13935,15886,17827,14094,14749,16795,,9680822,10259773,11213682,9948801,10149820,11165473,12408173,11346405,9815105,10948189,,192871,170534,188435,181401,164024,185441,195478,192042,234018,266985
853941,Arc lamps,10647,11050,10909,10023,7955,9924,10876,10040,12654,16777,,451862,466683,493536,483763,444588,414731,357660,270133,203932,201351,,16557,16757,17387,16393,15194,17455,18166,18217,20650,30025
847990,"Parts of machines and mechanical appliances, n.e.s.",12802,8067,10695,12762,11585,13096,13561,12764,14275,16679,,2226026,2430342,2674994,2520445,2622734,3092941,3396078,3172933,3142723,3633360,,198300,148825,149564,138050,134849,134558,152863,145049,145722,159336
