Product code,Product label,Germany's imports from Russian Federation-Value in 2012,Germany's imports from Russian Federation-Value in 2013,Germany's imports from Russian Federation-Value in 2014,Germany's imports from Russian Federation-Value in 2015,Germany's imports from Russian Federation-Value in 2016,Germany's imports from Russian Federation-Value in 2017,Germany's imports from Russian Federation-Value in 2018,Germany's imports from Russian Federation-Value in 2019,Germany's imports from Russian Federation-Value in 2020,Germany's imports from Russian Federation-Value in 2021,Russian Federation's exports to world- ,Russian Federation's exports to world-Value in 2012,Russian Federation's exports to world-Value in 2013,Russian Federation's exports to world-Value in 2014,Russian Federation's exports to world-Value in 2015,Russian Federation's exports to world-Value in 2016,Russian Federation's exports to world-Value in 2017,Russian Federation's exports to world-Value in 2018,Russian Federation's exports to world-Value in 2019,Russian Federation's exports to world-Value in 2020,Russian Federation's exports to world-Value in 2021,Germany's imports from world- ,Germany's imports from world-Value in 2012,Germany's imports from world-Value in 2013,Germany's imports from world-Value in 2014,Germany's imports from world-Value in 2015,Germany's imports from world-Value in 2016,Germany's imports from world-Value in 2017,Germany's imports from world-Value in 2018,Germany's imports from world-Value in 2019,Germany's imports from world-Value in 2020,Germany's imports from world-Value in 2021
750210,"Nickel, not alloyed, unwrought",696714,410100,447049,272867,235802,320389,422632,433276,307016,438538,,3616122,3509001,3717120,2317412,1606591,1360799,1723263,1835907,1859215,787799,,1346046,1054048,1014543,718771,582402,693210,862324,832552,683485,997594
271012,"Light oils and preparations, of petroleum or bituminous minerals which >= 90% by volume """"incl. ...""",1744854,1710902,2168460,862420,672715,1010145,1271685,656029,275438,375992,,15377855,17638570,22212195,12524204,10759136,12909371,16750754,14160911,9954896,15688290,,8855070,8479512,8346132,5218218,4096770,5228695,6687141,5715520,3595136,7443292
720712,"Semi-finished products of iron or non-alloy steel containing, by weight, < 0,25% of carbon, ...""",27696,20479,59594,34373,11082,25361,58600,11958,0,368543,,5072629,4036196,4157145,2436313,2534118,3619482,4508846,3151507,2167396,6101816,,534514,308379,647875,513883,406958,701861,605790,245560,4880,452253
710812,"Gold, incl. gold plated with platinum, unwrought, for non-monetary purposes (excluding gold ...",0,68,1,94,0,0,0,0,10685,333194,,5122557,5572369,3119673,1382822,907369,2358865,696996,5740438,18535922,17362166,,4645856,4659023,3045488,3429044,4378231,4147006,3538856,3308204,6200531,8200355
999999,Commodities not elsewhere specified,199983,194278,208706,151613,201508,79103,173772,245185,166929,273786,,12711257,13208165,11646991,55364811,45239262,52887528,63746027,55265424,39315738,73343877,,44485345,48480497,52910593,48547234,58787320,63838719,67901512,66983664,54006475,82153740
440719,"Coniferous wood sawn or chipped lengthwise, sliced or peeled, whether or not planed, sanded ...""",0,0,0,0,0,95633,118513,125376,152490,218258,,0,0,0,0,57,404880,427936,466525,512885,695061,,0,0,0,0,0,154773,181518,183982,213421,309697
401110,"New pneumatic tyres, of rubber, of a kind used for motor cars, incl. station wagons and racing ...",104504,105620,94446,99386,162344,176172,176937,160348,137542,151236,,564935,701060,625518,635951,714789,745404,745368,706948,657023,796916,,4889352,4830880,4779755,4053620,4260375,4408375,4677711,4227580,3799981,4324695
441233,"Plywood consisting solely of sheets of wood <= 6 mm thick, with at least one outer ply of non-coniferous ...",0,0,0,0,0,108874,137886,117135,112698,149173,,0,0,0,0,593,1056107,1304947,1104328,1098211,1834822,,0,0,0,0,0,445245,502762,432072,404252,557464
440712,"Fir """"Abies spp."""" and spruce """"Picea spp."""" sawn or chipped lengthwise, sliced or peeled, ...""",0,0,0,0,0,58455,65451,61071,60835,130916,,0,0,0,0,109,1289655,1601758,1717598,1583551,2476603,,0,0,0,0,0,779540,907867,778276,798885,1351286
760612,"Plates, sheets and strip, of aluminium alloys, of a thickness of > 0,2 mm, square or rectangular ...",128326,145845,162788,146550,114133,117934,133012,128091,101650,125693,,214541,197878,224063,223240,240881,321640,366609,348983,323285,333393,,1987020,2050345,2392031,2622768,2470742,2853375,2934581,2526907,2135730,2924270
711031,"Rhodium, unwrought or in powder form",26933,10022,9844,2167,1176,5336,1914,3998,73972,120787,,96975,76372,105007,74249,60942,80381,131096,227995,671966,1124216,,218557,139090,181657,143259,114389,209729,487547,897941,2288392,5047940
30475,"Frozen fillets of Alaska pollack """"Theragra chalcogramma""""""""",31627,47301,23892,41170,39296,38691,74256,54787,70693,103801,,43270,64638,41218,68499,87966,54575,141058,135805,155832,247409,,558010,569128,513783,387228,370175,345885,391522,439045,475526,470222
270111,"Anthracite, whether or not pulverised, non-agglomerated",133302,78614,69150,47838,41755,41406,71568,95306,64976,95045,,1369956,1220723,1228624,1253846,839175,1613303,2397860,2354846,1639880,2068857,,219934,152975,149992,90415,79300,99324,130234,158487,107685,153027
280300,"Carbon (carbon blacks and other forms of carbon, n.e.s.)",74044,66200,90265,59124,52859,82564,119620,93105,65304,92440,,589257,610355,598875,359671,294265,465629,680663,688998,438106,677814,,398391,376585,364475,258821,210207,287983,382672,329988,244321,331159
760429,"Bars, rods and solid profiles, of aluminium alloys, n.e.s.",62747,63916,72056,57255,62886,78903,85633,58640,52433,83834,,167851,166096,189216,171278,168081,208751,226672,175969,175127,270646,,1436636,1342380,1411992,1286396,1228737,1429664,1596428,1393360,1278500,1825485
810890,"Articles of titanium, n.e.s.",242054,299086,297866,97870,95340,100176,115757,122671,93945,82484,,495953,483853,435303,427957,418712,477372,565026,585107,373539,275722,,673464,750198,722456,550898,604828,733008,675386,666776,464523,383838
722850,"Bars and rods of alloy steel other than stainless, not further worked than cold-formed or cold-finished ...",111857,111773,120441,76002,52638,54729,76758,48726,48341,80430,,210513,202726,188160,145946,108891,132119,177073,122106,82133,211129,,454402,461210,521288,412640,373041,428401,529274,408207,320595,492220
851110,Sparking plugs of a kind used for spark-ignition or compression-ignition internal combustion ...,17239,20920,24608,18434,17301,26728,28795,21140,32593,75589,,22209,26418,35537,24572,21996,34837,36829,36460,43539,88246,,298462,341023,419478,271960,277934,324616,327148,331059,408639,460445
390210,"Polypropylene, in primary forms",43,2908,2207,3398,4701,3937,4803,948,20353,72242,,90579,173613,262084,381032,323110,378023,378139,318244,616223,1050963,,1253908,1261298,1348947,1137936,1097047,1319952,1528802,1370842,1136170,1776845
271112,"Propane, liquefied",9725,31486,58501,32643,35123,52467,54965,42925,29007,62009,,1236623,1261054,1524087,685696,708063,1056284,1664644,1236085,777418,1008224,,897413,902688,599221,335420,307567,456600,537390,411786,349756,661040
740610,"Copper powders, of non-lamellar structure (excluding grains of copper)",61179,52673,47387,40334,37029,44683,50456,37899,33450,57784,,562826,70198,48777,41452,31491,37431,43593,32788,29773,52187,,92165,86990,80817,66708,60304,71074,76254,61857,52514,85400
442199,"Articles of wood, n.e.s.",0,0,0,0,0,30621,38015,40402,37390,55627,,0,0,0,0,118,40972,46766,53925,67447,79072,,0,0,0,0,0,671858,760982,751481,836405,1051554
270400,"Coke and semi-coke of coal, of lignite or of peat, whether or not agglomerated; retort carbon",57947,31637,31643,22359,10689,14734,25854,37485,15028,52402,,580023,506149,411748,348127,262101,592302,679152,651450,487977,1066614,,1073528,761559,657527,471439,349118,668525,745129,581407,384788,764005
284420,"Uranium enriched in U 235 and its compounds: plutonium and its compounds; alloys, dispersions, ...",95491,183971,181259,142526,114557,227323,220121,74667,72869,52097,,9,89,131,0,0,0,0,0,0,0,,690301,463800,444134,241246,237205,349124,390659,198803,149754,148019
721550,"Bars and rods, of iron or non-alloy steel, not further worked than cold-formed or cold-finished ...",70493,65915,63872,37467,30349,32252,35645,26107,19803,50458,,167061,165225,143913,86883,70022,76133,89093,70855,44533,146143,,243517,259029,280679,207318,193008,215322,277479,203916,161295,295808
230630,"Oilcake and other solid residues, whether or not ground or in the form of pellets, resulting ...",17790,7041,25691,16422,11022,15532,15656,32900,49739,50360,,376060,370300,373067,240999,234674,185755,225381,353395,362545,474055,,83959,89595,101068,78648,72036,96714,102839,115959,121424,133603
271114,"Ethylene, propylene, butylene and butadiene, liquefied (excluding ethylene of a purity of >= ...",0,9774,16030,23883,8554,38250,48007,65722,46244,49359,,0,3792,10047,27538,17487,39765,59746,42405,33871,39549,,700287,776600,804316,401885,263541,305010,476999,372852,293200,432272
281410,Anhydrous ammonia,30235,31288,0,2996,4348,3273,25619,22882,15047,49216,,1494197,1581047,1565281,1320495,828173,723498,1135309,1114020,839811,1668267,,239562,282863,373844,340870,176542,185542,195417,193508,144414,215172
220860,Vodka,24112,25886,31301,28072,27192,23038,31292,34297,32741,41515,,207573,234775,218338,116125,121598,135649,149888,161469,149333,167828,,135467,155925,148342,112478,122488,127620,125386,124003,110040,139858
400260,"Isoprene rubber """"IR"""", in primary forms or in plates, sheets or strip""""",81997,66590,57400,40037,32957,47635,39563,32440,29861,40860,,846420,707341,493631,366182,354651,492527,413715,385981,294818,449591,,100255,84495,72886,51147,46390,62978,55628,44892,39672,53420
283526,"Phosphates of calcium (excluding calcium hydrogenorthophosphate """"dicalcium phosphate"""")""""",11540,8911,8389,10716,10667,11836,11018,16881,22477,38327,,111125,122760,104800,118231,118098,120163,129837,141637,130528,200735,,112239,112688,99771,98653,83598,74483,84903,83531,83970,117605
760310,"Powders of aluminium, of non-lamellar structure (excluding pellets of aluminium)",29544,33652,36011,20409,25695,33507,38276,15762,25358,37154,,26236,35068,35587,26260,23432,28962,29685,22470,19676,37517,,79796,88175,86601,66325,67442,82957,94883,80353,68332,108052
720310,"Ferrous products obtained by direct reduction of iron ore, in lumps, pellets or similar forms",790,0,5215,6134,12184,56576,67854,60556,51911,35897,,739331,732955,690229,450170,377224,671557,1045856,1063136,925999,1591614,,50575,94234,83874,68743,48258,111701,117414,116259,100850,192169
722990,"Wire of alloy steel other than stainless, in coils (excluding bars and rods and wire of silico-manganese ...",0,0,0,0,0,0,1,65,13581,35738,,2406,2296,1947,1066,1246,15072,4063,4122,62365,135371,,253361,248879,257320,212461,204074,244002,296468,218920,191841,304497
711510,"Catalysts in the form of wire cloth or grill, of platinum",0,0,0,0,26028,8278,27915,14307,16508,34947,,8931,19561,41718,61523,216708,21413,27455,56106,58219,84124,,104430,88272,108628,48135,62814,40892,111182,104970,110937,108398
750220,Unwrought nickel alloys,53127,30876,29830,27009,17749,23572,24088,25407,22078,33069,,105025,117379,165535,104120,96808,22013,9812,4286,3291,8011,,314095,147608,199790,121716,118377,131925,149644,114570,83615,98589
310210,"Urea, whether or not in aqueous solution (excluding that in pellet or similar forms, or in ...",89758,89825,76637,68099,96483,61609,18884,20666,19260,32376,,1897755,1733434,1603325,1285054,1137202,1279917,1582445,1643184,1516685,2489986,,246088,227829,218319,197238,208971,153838,113512,99978,76820,129897
80290,"Nuts, fresh or dried, whether or not shelled or peeled (excluding coconuts, Brazil nuts, cashew ...",1091,618,966,1229,2793,3475,3965,6325,13740,32343,,21137,2039,8536,7652,8830,9104,9716,10551,18927,29623,,94767,124851,103865,142692,140135,146652,167826,178954,185809,227380
230400,"Oilcake and other solid residues, whether or not ground or in the form of pellets, resulting ...",0,6106,4409,3864,7131,15745,26251,23890,29913,32154,,16283,126540,315915,218087,201645,142158,206366,194504,235072,488248,,1681515,1614951,1429787,1233326,1160980,1061079,1045921,898791,784458,1016277
901320,Lasers (excluding laser diodes),34366,30997,3219,30070,67566,120496,76232,39739,13496,31451,,67350,54674,74995,106717,128800,311359,200993,159328,112973,136968,,404193,403200,475638,491921,529740,724417,747439,717165,716758,922714
290122,"Propene """"propylene""""""""",1840,0,3880,2646,3472,1082,5157,4631,10492,31162,,35764,26776,25803,44880,61760,116784,83104,64226,32712,147676,,1356185,1115740,1074463,813540,524401,731948,961241,936747,585180,889841
400220,"Butadiene rubber """"BR"""", in primary forms or in plates, sheets or strip""""",57941,29293,26766,13904,14201,23641,19510,18115,18990,30041,,669509,524494,367089,271067,273758,427968,411640,365357,241239,416811,,339588,260681,231293,175942,151504,212077,186644,184457,128978,183165
480419,"Kraftliner, uncoated, in rolls of a width > 36 cm (excluding unbleached and goods of heading ...",1225,399,1481,3035,19722,22629,27892,29503,27780,29610,,9360,6684,10282,13274,82794,98151,119857,98724,94415,121630,,211823,185594,224292,191638,222490,237030,283401,229460,229157,236666
120400,"Linseed, whether or not broken",19079,27713,11887,23052,24347,22500,22404,18432,24083,28392,,187364,170756,151839,136134,206182,189424,147334,219227,230375,442779,,111037,100512,105739,103970,85819,94569,89621,94154,102908,122766
441520,"Pallets, box pallets and other load boards, of wood; pallet collars of wood (excluding containers ...",1792,929,2178,4578,8304,8900,13811,10156,8443,28356,,5642,4158,6530,9901,14643,14884,18865,20401,17994,50458,,401340,433837,476060,420215,430945,472847,553203,480865,446187,785013
720421,"Waste and scrap of stainless steel (excluding radioactive, and waste and scrap of batteries ...",91783,22760,43497,38356,22444,24437,23461,22318,19668,28140,,122304,69617,99995,83102,89396,106888,121179,117222,139818,237501,,732896,460003,509693,359435,277182,340737,418369,335935,284550,531106
480411,"Unbleached kraftliner, uncoated, in rolls of a width > 36 cm",30260,25563,7600,8872,12704,2399,14483,11971,18793,27867,,146753,159012,112072,140877,142912,139586,190796,112788,196595,318775,,535207,607312,586548,495255,479747,504237,555340,427109,401427,548456
811221,Unwrought chromium; chromium powders,19605,19957,26581,26441,24679,38933,33687,31020,19616,27700,,153365,90189,126688,97200,111086,124887,181665,139123,101613,168113,,55985,50259,52655,53488,48867,66871,73851,57414,38966,51484
390810,"Polyamides-6, -11, -12, -6,6, -6,9, -6,10 or -6,12, in primary forms",33522,23467,21557,14206,13336,28230,32044,12025,11215,27309,,208308,231774,229989,147998,122860,188492,225612,161866,113259,216013,,1246118,1205846,1229917,967682,919225,1249275,1536775,1274251,963546,1569300
760511,"Wire of non-alloy aluminium, with a maximum cross-sectional dimension of > 7 mm (excluding ...",53693,73274,67913,50310,34454,26778,24838,25086,27106,26400,,205081,225562,260085,253360,267748,338997,228429,261459,308729,486633,,178860,173687,188342,176457,147568,122426,149863,138458,123380,143690
846729,"Electromechanical tools for working in the hand, with self-contained electric motor (excluding ...",28814,30903,26446,25177,20457,21953,26631,23353,20827,26337,,32878,35468,34761,26880,20635,22095,29657,31522,32603,46832,,758823,842502,845202,808864,869906,969016,983799,981662,1041054,1500321
720110,"Non-alloy pig iron in pigs, blocks or other primary forms, containing, by weight, <= 0,5% of ...",147309,100274,98600,100183,56321,31107,41276,31119,13122,25515,,1679985,1539575,1625894,1294129,1115729,1587963,2116325,1345114,1229130,1876974,,346590,259874,248080,233749,163961,169110,212109,178790,88847,175003
400239,"Halo-isobutene-isoprene rubber """"CIIR"""" or """"BIIR"""", in primary forms or in plates, sheets ...""",27034,23755,25290,12729,12229,22992,30079,30427,20470,25246,,387510,447064,407812,285777,253700,273524,323471,335486,245672,308217,,158756,159612,150214,102526,95316,96084,104958,100454,75006,92137
290511,"Methanol """"methyl alcohol""""""""",33874,27675,20787,12331,5672,19450,23016,14138,8668,24764,,421586,495075,563861,330499,251213,454549,601813,517511,378517,633207,,602246,668486,716233,441695,301956,499434,569539,413116,311027,586016
721499,"Bars and rods, of iron or non-alloy steel, only hot-rolled, only hot-drawn or only hot-extruded ...",25302,24023,23586,16096,18292,26312,46349,33162,17943,24673,,353094,303270,328742,238815,202115,319569,394395,309316,284882,336463,,478158,448248,469522,350213,296264,369034,455150,355262,285828,467983
470311,"Unbleached coniferous chemical wood pulp, soda or sulphate (excluding dissolving grades)",21705,25002,9939,10089,11848,18054,12420,9871,12655,24646,,193511,150212,170204,141157,147956,159841,292192,190753,152871,291830,,74799,94581,68630,51037,54744,62544,82494,66538,52606,79222
290241,O-Xylene,26749,37437,39877,24253,26920,7048,19353,8953,18829,23351,,61919,59726,65034,50669,60817,62017,104676,50713,41494,41034,,116941,131789,119900,81344,77595,91947,105689,116289,86921,112835
310530,"Diammonium hydrogenorthophosphate """"diammonium phosphate"""" (excluding that in tablets or similar ...""",33501,63907,17062,24544,19916,16025,16310,16242,17723,23248,,688411,436687,289127,479756,410886,341726,534065,544253,433349,665953,,168641,235071,134695,172808,133788,126542,102963,111271,104804,125344
230910,"Dog or cat food, put up for retail sale",0,1,0,1102,1301,326,4,2139,18470,22873,,74487,98488,101170,71322,81378,80175,87775,117492,167050,226963,,874602,1009176,1140934,1069147,1078529,1347890,1465347,1514738,1684578,1901600
760820,Tubes and pipes of aluminium alloys (excluding hollow profiles),7852,8051,6503,5133,6688,10607,14127,12095,11366,22773,,22283,16889,15872,16353,16719,23317,25701,24917,23614,32388,,286197,290168,278400,233091,228559,239094,258441,236113,206556,262843
400219,"Styrene-butadiene rubber """"SBR""""; carboxylated styrene-butadiene rubber """"XSBR"""", in primary ...""",17141,17671,10969,11936,11527,24656,17939,18997,15047,21936,,361703,288960,204116,192206,190659,288480,269376,239338,246581,441122,,449033,399299,375172,290964,282835,371101,372386,329199,257607,345036
870323,"Motor cars and other motor vehicles principally designed for the transport of persons, incl. ...",15364,10117,8780,11333,20361,27178,25743,19706,14081,21933,,832053,1276745,1250208,861189,748764,855734,910840,1091663,723844,1016416,,8869822,8494804,10377373,9689513,10859926,12806360,15507777,16039964,11635693,10001194
261690,Precious-metal ores and concentrates (excluding silver ores and oncentrates),195,404,904,1544,2433,1,0,0,0,21141,,504781,427725,491924,352492,480245,505470,602468,809195,755694,875515,,500516,463557,712015,617719,620802,721482,1047919,1507633,2342421,3170400
901390,"Parts and accessories for liquid crystal devices """"LCD"""", lasers and other appliances and ...""",16111,14523,11168,9296,7994,7751,9067,11153,14849,21106,,22818,31836,24343,76770,104626,152975,138106,93124,74629,112230,,132375,142504,125014,104257,112158,140606,191917,189011,161565,218222
843149,"Parts of machinery of heading 8426, 8429 and 8430, n.e.s.",643,2738,8160,7665,9118,14819,24830,19955,17344,21078,,102632,97122,85689,67315,87950,87390,139367,174122,163190,146510,,2032778,1851795,1903619,1603981,1591180,1830254,2248405,2228644,1825478,2379548
901380,"Liquid crystal devices, n.e.s. and other optical appliances and instruments not elsewhere specified ...",9451,8859,6380,11763,13384,14004,9223,8731,9043,20901,,27654,26399,21992,15960,22617,20933,16576,14776,13074,7065,,341745,204647,202146,186586,179826,204755,214820,189210,189643,224618
841221,"Hydraulic power engines and motors, linear acting """"cylinders""""""""",16427,13063,10326,9046,11247,17919,23017,25631,22162,20572,,55237,60802,56247,52313,49540,55275,59459,74793,55816,75253,,450229,421527,384917,356933,367637,418484,552162,517086,453709,510691
262030,"Slag, ash and residues containing mainly copper",9918,10585,11913,11401,6010,10137,8760,5715,4739,19610,,14385,12410,9012,10008,8586,9285,7149,6060,4534,9104,,123132,128175,120337,94298,87907,102356,104084,86139,81943,132359
711299,"Waste and scrap of silver, incl. metal clad with silver, and other waste and scrap containing ...",4674,10957,1780,3283,8399,12187,17301,2700,7974,19554,,805,7051,5643,9644,12800,3718,7344,7229,6989,4705,,919612,1421382,1427375,1267944,1278240,1630023,2001056,2011546,2876911,4412991
440910,"Coniferous wood, incl. strips and friezes for parquet flooring, not assembled, continuously ...""",3774,3842,4989,3872,5385,7553,6599,6949,12162,19287,,41232,53209,65608,48372,51266,67115,92640,99810,118979,213866,,103459,104643,109874,87096,92027,115508,129697,128937,191837,297356
392020,"Plates, sheets, film, foil and strip, of non-cellular polymers of ethylene, not reinforced, ...",18,57,603,806,1971,15705,20405,13683,12792,19148,,64833,77778,93714,102486,95279,107117,130433,127797,128141,200153,,733984,831760,867375,727122,655788,732660,776492,706039,715572,892271
940360,"Wooden furniture (excluding for offices, kitchens and bedrooms, and seats)",7104,6568,8632,4039,7452,11452,13659,13481,11703,18988,,82232,81368,90561,63561,73853,94470,107302,120425,124595,174345,,2129999,2145707,2347317,2076755,2056833,2035696,2156326,2130440,2291921,2603676
441239,"Plywood consisting solely of sheets of wood <= 6 mm thick (excluding of bamboo, plywood of ...",7791,7483,7575,18432,14256,14671,19302,12595,12755,18857,,32819,24978,22815,43582,34111,45158,45959,33356,40258,71656,,175596,191464,170881,166280,135943,141934,189054,144150,121576,178892
854511,"Electrodes of graphite or other carbon, for electric furnaces",11663,8852,4995,4348,3884,3990,28023,29652,14533,18614,,153130,116921,98666,93706,94498,137355,323458,219725,83477,119942,,115072,94010,94400,82600,71592,119273,295916,214986,111969,119031
151800,"Animal or vegetable fats and oils and their fractions, boiled, oxidised, dehydrated, sulphurised, ...",128,1549,6041,4279,4132,6497,7293,5435,10099,18550,,2054,4476,10254,6613,9925,19307,26076,34122,52627,99643,,326973,474909,381867,287758,393056,425305,497664,482652,648305,661343
120750,"Mustard seeds, whether or not broken",1110,2799,6175,10225,7227,10651,13055,10142,10508,18352,,9768,5819,9769,16807,13820,22409,35967,23063,39529,71399,,46509,51255,57183,52820,36402,41725,43019,43626,37998,48057
720291,Ferro-titanium and ferro-silico-titanium,11445,12152,14682,8308,3888,11785,9266,8774,6190,17826,,63784,39845,71672,54915,40880,47379,41842,47522,41849,75356,,50466,43687,52494,36965,29097,38359,39091,35360,24934,47739
780110,"Unwrought lead, refined",6954,12895,20019,12466,6886,4064,3760,3760,9171,17711,,136013,139532,142929,132624,187010,225828,190930,128327,143949,222785,,183747,214969,238860,195493,169249,258884,288660,237642,221989,269159
711011,"Platinum, unwrought or in powder form",36759,27333,48910,29838,44645,41957,22446,8968,16362,17615,,97445,61358,43627,207871,530403,699507,674251,612171,667869,704591,,1350811,1386746,1508805,1674044,1630425,1662178,1272478,1063182,1053132,1330161
30489,"Frozen fish fillets, n.e.s.",10491,19932,17255,15404,26312,27265,30903,24046,15762,17519,,31273,34347,35700,39843,41911,34496,48498,39218,32888,36969,,161005,180331,190393,160802,154990,150627,150297,146809,126305,110589
721049,"Flat-rolled products of iron or non-alloy steel, of a width of >= 600 mm, hot-rolled or cold-rolled ...""",854,0,0,8252,0,8200,11495,4829,7763,17169,,215572,285727,259545,215929,171510,399068,510607,472900,377707,893967,,2140193,2188405,2015066,1526561,1507039,2057841,2161006,1922775,1545959,2670822
270710,"Benzol """"benzene"""" containing > 50% of benzene (excluding chemically defined)""""",19560,24090,32743,25468,22118,30213,30608,18978,18191,16971,,30908,37681,41213,37402,41839,39390,47208,40571,36293,38153,,257729,294995,312609,252151,239278,215001,238778,175593,111034,256705
200819,"Nuts and other seeds, incl. mixtures, prepared or preserved (excluding prepared or preserved ...",9713,12621,13382,11978,12657,12502,13450,12328,16894,16925,,50432,72097,93362,91766,82635,89309,96755,97570,129555,141181,,451151,447873,595458,714510,537101,538524,499093,519292,601574,641411
440711,"Pine """"Pinus spp."""" sawn or chipped lengthwise, sliced or peeled, whether or not planed, sanded ...""",0,0,0,0,0,8285,5823,4624,6905,16835,,0,0,0,0,1410,2036261,2169531,2030060,1892960,2586755,,0,0,0,0,0,193017,208082,158124,150587,261147
720839,"Flat-rolled products of iron or non-alloy steel, of a width of >= 600 mm, in coils, simply ...",1580,1269,389,109,462,0,5151,66,2765,16718,,1513779,1339184,1419505,1144617,1303917,1773489,1867650,1289415,1387035,2807680,,171788,174497,130638,88078,79919,120246,118926,90318,68023,189725
720838,"Flat-rolled products of iron or non-alloy steel, of a width of >= 600 mm, in coils, simply ...",6116,8028,3873,3843,1825,1315,3454,2892,2133,15086,,312179,290351,341662,250639,333639,419739,502404,360216,325187,938643,,160044,145903,130175,64184,57689,62583,63909,47748,39247,111638
701990,"Glass fibres and articles thereof, n.e.s.",8708,11633,12216,7981,11783,12447,14343,12406,11007,14669,,16212,18073,21028,16526,20660,21671,28398,26515,26778,37449,,125351,136673,144181,126497,143985,159643,172975,168374,156826,203582
860699,Railway or tramway goods vans and wagons (excluding those specially designed for the transport ...,0,0,0,0,0,0,202,0,1506,14490,,99867,20498,31345,34967,17946,31388,62447,48594,56634,136198,,73477,92197,144703,114327,82326,168921,240210,293688,210342,250201
