Product code,Product label,Singapore's imports from Japan-Value in 2012,Singapore's imports from Japan-Value in 2013,Singapore's imports from Japan-Value in 2014,Singapore's imports from Japan-Value in 2015,Singapore's imports from Japan-Value in 2016,Singapore's imports from Japan-Value in 2017,Singapore's imports from Japan-Value in 2018,Singapore's imports from Japan-Value in 2019,Singapore's imports from Japan-Value in 2020,Singapore's imports from Japan-Value in 2021,Japan's exports to world- ,Japan's exports to world-Value in 2012,Japan's exports to world-Value in 2013,Japan's exports to world-Value in 2014,Japan's exports to world-Value in 2015,Japan's exports to world-Value in 2016,Japan's exports to world-Value in 2017,Japan's exports to world-Value in 2018,Japan's exports to world-Value in 2019,Japan's exports to world-Value in 2020,Japan's exports to world-Value in 2021,Singapore's imports from world- ,Singapore's imports from world-Value in 2012,Singapore's imports from world-Value in 2013,Singapore's imports from world-Value in 2014,Singapore's imports from world-Value in 2015,Singapore's imports from world-Value in 2016,Singapore's imports from world-Value in 2017,Singapore's imports from world-Value in 2018,Singapore's imports from world-Value in 2019,Singapore's imports from world-Value in 2020,Singapore's imports from world-Value in 2021
491199,"Printed matter, n.e.s.",3302,3907,3203,2120,1782,2537,2371,2022,1348,1615,,107868,94387,95374,94204,106254,99811,102589,93516,72980,91412,,85012,85504,74502,76302,92486,82310,92165,60621,66610,81031
691110,"Tableware and kitchenware, of porcelain or china (excluding ornamental articles, pots, jars, ...",1441,1316,1168,928,1154,1252,1350,1376,941,1615,,48719,40676,45779,51327,59188,60262,66827,65165,69928,95980,,20160,21386,22432,23102,16031,15894,17070,23974,11366,17412
844391,"Parts and accessories of printing machinery used for printing by means of plates, cylinders ...",5196,5248,3379,2249,2093,1533,1674,3510,961,1606,,81876,68819,60905,51692,43791,45396,51015,50393,48278,43067,,47980,65052,62391,58465,44666,39868,38705,39630,33449,49265
854420,"Coaxial cable and other coaxial electric conductors, insulated",2284,1909,2543,3090,982,2403,2307,1716,2764,1602,,43302,38096,37717,35069,35026,42609,52120,47760,49065,56529,,283806,264372,242166,190496,182953,172855,223843,145331,194284,120527
293499,"Nucleic acids and their salts, whether or not chemically defined; heterocyclic compounds (excl. ...""",2488,970,1401,1669,4067,5628,1485,6427,809,1593,,508279,493031,593425,561735,625905,853118,957574,1201807,1405589,1460695,,208124,213593,178603,266596,189082,250111,246274,194866,172646,182439
850720,Lead acid accumulators (excluding spent and starter batteries),1354,1798,3423,4008,3601,3511,1530,531,846,1587,,40468,32429,37921,40531,43060,39077,52508,41076,30869,37023,,84077,75604,82039,84253,76311,98133,76062,83236,78675,82789
482390,"Paper, paperboard, cellulose wadding and webs of cellulose fibres, in strips or rolls of a ...",8844,5345,1441,1876,2968,3096,1629,1108,1446,1586,,180210,160718,147372,137561,149944,165945,172171,162510,187267,208562,,75588,78124,68808,64979,63045,68051,74422,72404,55343,73207
848110,Pressure-reducing valves,2590,2474,3164,2548,2121,1472,3578,3158,1228,1585,,182806,148383,152670,131523,158152,126724,118665,110572,127857,172150,,58228,63433,67447,63335,58816,58824,62907,60735,55853,65915
848350,"Flywheels and pulleys, incl. pulley blocks",5112,3084,2719,1802,2738,2303,1858,1641,1054,1583,,560007,563144,483439,402263,403317,419043,422452,391532,327964,430937,,20161,29950,25016,21438,21939,22463,25999,27816,27457,33481
293339,"Heterocyclic compounds with nitrogen hetero-atom[s] only, containing an unfused pyridine ring, ...",1503,667,488,302,1189,1667,844,805,878,1579,,388283,361110,307873,273398,296108,307553,235407,286411,269518,296143,,47648,75409,244831,374116,225092,236403,300458,214737,227165,185926
853390,"Parts of electrical resistors, incl. rheostats and potentiometers, n.e.s.",2161,2034,873,1186,1143,668,228,182,287,1578,,107316,77940,70937,57287,63395,68293,79548,67855,72672,80324,,9971,10733,10181,56542,6252,6675,13567,7872,9353,19953
800300,"Tin bars, rods, profiles and wire, n.e.s.",792,326,77,105,811,1831,1285,835,1068,1577,,35269,29782,27233,18841,21065,22977,23514,21819,24121,31251,,262976,104521,213672,5210,5036,8356,7039,6801,6135,12413
722810,"Bars and rods of high-speed steel (excluding semi-finished products, flat-rolled products and ...",6138,4071,4017,3755,3158,3047,2842,4797,1722,1566,,46885,36819,45217,39601,37625,42391,46310,41730,36206,42262,,49900,59788,38445,31672,17541,7646,4585,8544,7585,10333
844230,"Machinery, apparatus and equipment for preparing or making printing blocks, plates, cylinders ...",916,4254,1794,608,659,513,235,334,24,1560,,44010,24806,24424,20188,24474,24792,24061,19089,20607,16377,,7535,9978,7767,3849,3547,5104,3474,3764,3774,2805
300510,"Adhesive dressings and other articles having an adhesive layer, impregnated or covered with ...",1585,1915,1209,788,962,1169,1861,1876,1903,1549,,276799,233976,163899,191185,216924,208301,218108,258594,298238,323557,,29449,30171,28782,26665,40087,38923,38460,45568,39434,52250
842839,"Continuous-action elevators and conveyors, for goods or materials (excluding those for underground ...",7957,1823,1964,1392,1140,1706,1919,2770,4075,1548,,264503,240553,232749,205787,199700,295666,218883,211807,200309,140512,,43419,29645,33625,60013,48551,59850,49200,39079,32434,41442
940320,"Metal furniture (excluding for offices, seats and medical, surgical, dental or veterinary  ...",1904,2395,924,6626,2317,1990,1513,1318,1132,1542,,26598,27342,23121,24361,28488,33498,30716,31438,30606,27859,,82153,99133,103802,103506,96243,112003,127811,112806,101820,142280
910299,"Pocket-watches and the like, incl. stop-watches, with hand or automatic winding (excluding ...",40,7,496,54,103,240,441,200,303,1537,,50,94,38,90,310,256,209,225,127,122,,5506,17864,16835,9802,6833,10518,7283,6509,5495,8274
121221,"Seaweeds and other algae, fresh, chilled, frozen or dried, whether or not ground, fit for human ...",893,860,976,899,1067,1017,1696,1768,1180,1529,,19334,17294,16586,14714,17373,19356,18645,19537,17912,19426,,4901,4247,4478,5614,6920,5796,7208,7292,7341,5151
750890,"Articles of nickel, n.e.s.",3834,3721,721,352,5480,1768,709,1042,564,1527,,44936,32085,32254,30861,30706,41791,60881,64971,59163,67114,,28060,30995,27576,29464,43864,123764,58952,54977,53336,269927
481890,"Paper, cellulose wadding or webs of cellulose fibres, of a kind used for household or sanitary ...",1263,1186,1021,1286,1127,1767,1802,1513,1484,1526,,27434,23536,30457,26415,25586,21071,23663,24562,22982,22144,,25522,20724,22255,16629,13886,11703,10944,8132,16591,8244
846610,"Tool holders, incl. tool holders for any type of tool for working in the hand, and self-opening ...",2735,1870,2194,1217,1805,1842,1375,1836,1418,1518,,281941,212396,243870,224616,194795,213346,241445,201784,168053,214898,,82692,82579,97570,65511,32286,73435,52234,40362,22610,30641
701790,"Laboratory, hygienic or pharmaceutical glassware, whether or not graduated or calibrated (excluding ...",171,208,142,221,191,662,1197,1977,2298,1505,,13025,17479,18425,19631,23535,25707,27744,29751,29122,35422,,16741,27241,34591,30835,26742,26036,25317,26613,21299,54332
901050,"Apparatus and equipment for photographic or cinematographic laboratories, n.e.s.; negatoscopes",3336,2226,3507,1372,1493,1231,3968,1493,3025,1505,,60090,109547,99579,84639,109210,155596,133035,143282,158887,203060,,6670,4793,6975,5875,5647,4681,5279,2990,4468,3620
853941,Arc lamps,734,861,1121,1405,1634,1324,1908,1862,1414,1500,,40084,33456,34860,18332,16340,20826,23704,24648,18643,20744,,10717,11408,14289,17987,18060,20569,19140,25440,37487,44457
871494,"Brakes, incl. coaster braking hubs and hub brakes, and parts thereof, for cycles (excluding ...",1673,672,614,446,36,183,478,372,415,1500,,181565,136772,188469,227929,225673,200161,267331,350916,346812,500859,,145772,139506,216493,204234,167867,164382,184037,210991,216883,258608
292159,"Aromatic polyamines and their derivatives; salts thereof (excluding o-phenylenediamine, m-phenylenediamine, ...",398,988,1332,907,941,857,1300,1130,1266,1495,,98114,105357,97037,91472,84788,93247,106217,109110,109080,141343,,757,7097,5358,1456,2993,1213,1627,1426,1607,1995
70690,"Fresh or chilled salad beetroot, salsify, celeriac, radishes and similar edible roots (excluding ...",571,408,591,575,645,700,896,915,1293,1492,,158,304,249,377,553,673,861,683,1500,2109,,7256,8626,8921,8338,8019,8030,9148,9649,11104,11705
420229,"Handbags, whether or not with shoulder strap, incl. those without handle, with outer surface ...",680,120,228,500,1021,688,1002,837,569,1489,,91,119,84,23,41,110,50,52,113,176,,74699,75443,106903,81107,57052,73531,84208,79766,39493,62378
