Product code,Product label,"Russian Federation's imports from Taipei, Chinese-Value in 2012","Russian Federation's imports from Taipei, Chinese-Value in 2013","Russian Federation's imports from Taipei, Chinese-Value in 2014","Russian Federation's imports from Taipei, Chinese-Value in 2015","Russian Federation's imports from Taipei, Chinese-Value in 2016","Russian Federation's imports from Taipei, Chinese-Value in 2017","Russian Federation's imports from Taipei, Chinese-Value in 2018","Russian Federation's imports from Taipei, Chinese-Value in 2019","Russian Federation's imports from Taipei, Chinese-Value in 2020","Russian Federation's imports from Taipei, Chinese-Value in 2021","Taipei, Chinese's exports to world- ","Taipei, Chinese's exports to world-Value in 2012","Taipei, Chinese's exports to world-Value in 2013","Taipei, Chinese's exports to world-Value in 2014","Taipei, Chinese's exports to world-Value in 2015","Taipei, Chinese's exports to world-Value in 2016","Taipei, Chinese's exports to world-Value in 2017","Taipei, Chinese's exports to world-Value in 2018","Taipei, Chinese's exports to world-Value in 2019","Taipei, Chinese's exports to world-Value in 2020","Taipei, Chinese's exports to world-Value in 2021",Russian Federation's imports from world- ,Russian Federation's imports from world-Value in 2012,Russian Federation's imports from world-Value in 2013,Russian Federation's imports from world-Value in 2014,Russian Federation's imports from world-Value in 2015,Russian Federation's imports from world-Value in 2016,Russian Federation's imports from world-Value in 2017,Russian Federation's imports from world-Value in 2018,Russian Federation's imports from world-Value in 2019,Russian Federation's imports from world-Value in 2020,Russian Federation's imports from world-Value in 2021
721990,"Flat-rolled products of stainless steel, of a width of >= 600 mm, hot-rolled or cold-rolled ...""",26144,25658,19008,11171,20550,21374,18581,13279,11112,10118,,42503,7138,8675,66083,7172,11557,12895,30205,38884,109016,,52184,51086,40783,22686,33298,37725,40028,31716,32134,47955
390319,"Polystyrene, in primary forms (excluding expansible)",10238,4974,1650,1289,2154,1912,1310,1670,769,9661,,843322,948253,788926,611486,554528,662434,731327,626813,498573,658596,,152555,142152,95020,54941,61322,59152,56955,60629,41067,88817
300490,"Medicaments consisting of mixed or unmixed products for therapeutic or prophylactic purposes, ...""",21,159,101,1144,251,135,2,61,758,9590,,199304,229668,259766,278320,329248,333554,318898,359081,407918,441803,,7755747,8462338,7384591,4722999,5161127,6286657,5954256,7610252,5495105,7359024
731822,Washers of iron or steel (excl. spring washers and other lock washers),1493,2136,1324,589,784,708,1573,1005,3483,8794,,85843,84071,89666,82412,77916,85858,94342,88206,86918,116739,,30126,32595,30416,22133,27107,34134,39127,41340,41349,59172
820420,"Interchangeable spanner sockets, with or without handles, of base metal",7578,10219,6719,4556,4702,7801,8852,8050,7205,8728,,327881,323604,320964,322141,308095,342262,357941,364866,344342,463853,,17553,20416,15495,9534,10960,16393,18997,20116,18182,21324
845891,"Lathes, incl. turning centres, for removing metal, numerically controlled (excluding horizontal ...",6439,4865,4891,4663,6378,5891,6336,13962,5246,8712,,353012,271423,264640,233574,161293,206403,214513,196364,147612,175057,,62859,82099,58565,46218,36355,43008,59442,63499,41097,52339
846711,"Tools for working in the hand, pneumatic, rotary type, incl. combined rotary-percussion",4897,4200,4141,2606,3870,6295,6895,7156,6229,8602,,156781,175064,194305,173206,177920,208860,206634,186712,177292,261523,,29520,21110,36772,11716,12508,19088,20726,21663,18347,26938
820790,"Interchangeable tools for hand tools, whether or not power-operated, or for machine tools, ...",5028,5916,6716,3773,4968,5660,7713,7072,6937,8594,,58707,71756,79531,76773,73637,93071,91341,103113,105084,121872,,463115,278703,88648,62643,61865,81616,88745,97854,93085,117552
852691,Radio navigational aid apparatus,22871,23074,16922,6287,7018,6964,6974,6825,7194,8512,,977150,867512,831132,815610,712901,452222,400274,503430,427124,554730,,301415,255864,199270,87782,98768,156384,184472,255080,189394,258375
731815,"Threaded screws and bolts, of iron or steel, whether or not with their nuts and washers (excl. ...",3930,5727,3418,3673,3442,5431,6802,7541,7076,8403,,1993113,2015107,2204364,2114206,1918616,2195880,2481850,2290296,2017628,2610363,,296623,315970,281369,186694,208888,275185,319352,322338,303937,396675
844332,"Machines which only perform one of the functions of printing, copying or facsimile transmission, ...",2290,2686,2479,3168,3386,5597,5843,6623,5855,8125,,68034,96704,128978,133654,107493,127067,134465,129892,108443,138806,,387572,363097,238750,140051,152170,200883,208840,228336,187051,235213
901910,Mechano-therapy appliances; massage apparatus; psychological aptitude-testing apparatus,7581,6464,7434,8961,6351,8005,6931,6150,5811,7966,,44703,38285,42152,43082,43645,46165,53384,52012,39178,38927,,171779,177629,170789,69050,64610,71365,87251,87303,90554,137304
390190,"Polymers of ethylene, in primary forms (excluding polyethylene and ethylene-vinyl acetate  ...",184,447,47,3341,1385,468,2232,2745,2745,7848,,33170,35353,38766,30043,30641,36949,54401,47316,45816,48466,,151619,234356,251321,231738,217787,163732,138370,121237,112107,123099
847989,"Machines and mechanical appliances, n.e.s.",3267,4641,4790,3411,4166,5050,5082,4267,4863,7704,,739621,639352,602997,561314,542396,699909,774121,678237,703675,767295,,1072000,1495391,1096813,742760,788874,869978,960527,917448,992239,1208468
852859,"Monitors, not incorporating television reception apparatus (excluding with cathode ray tube ...",8900,8449,6662,4655,5416,6021,11142,17162,8497,7533,,159376,147946,183559,187786,239679,224445,199214,253392,285399,290488,,336372,318803,391266,227724,318408,386637,481349,583941,540690,681595
852990,"Parts suitable for use solely or principally with flat panel display modules, transmission ...",102724,85691,40202,16076,7694,4897,6403,6281,5660,6738,,864143,835223,1417700,2707637,5765368,6929297,6391577,5195345,5348401,6922292,,2912436,2446726,2284525,1194760,1079819,1246931,1270646,1164447,1156000,1416360
870810,"Bumpers and parts thereof for tractors, motor vehicles for the transport of ten or more persons, ...",7258,9567,9557,6035,6557,8939,7244,7359,6275,6686,,268208,291787,322970,309414,308946,310223,300689,309149,252591,283313,,310271,366979,310229,148741,136517,201116,220979,223670,181017,250679
999999,Commodities not elsewhere specified,83,37,0,4587,1639,3842,4135,5144,4275,6650,,1514400,1538009,1602895,1664909,1644035,1760967,1743687,1770906,1878010,2040990,,1417912,1700488,718674,4327079,6581104,8014821,7053690,6153790,9074291,13861409
847141,"Data-processing machines, automatic, comprising in the same housing at least a central processing ...",9312,6068,5443,3515,5296,10746,9555,6535,6046,6631,,461438,465215,440137,411557,448797,485799,593358,686699,747143,922372,,239173,206019,97581,81551,157163,257180,336938,257126,276547,262473
550320,"Staple fibres of polyesters, not carded, combed or otherwise processed for spinning",16024,18186,14725,8996,6372,9098,11066,7111,5818,6578,,690982,624421,573205,450651,426362,457101,489054,363487,282928,322187,,164177,201005,177384,115853,116770,149380,179951,176051,136931,201174
847160,"Input or output units for automatic data-processing machines, whether or not containing storage ...",4209,3751,2939,2749,2805,3453,3684,3453,5905,6551,,281025,227343,297715,219616,436543,343800,389475,324308,328705,348602,,291313,235696,169720,120953,156273,202026,209840,229730,320286,348598
701919,"Glass fibre cakes """"textile cakes"""" and chopped glass fibre strands of a length >50mm""""",2895,3268,4101,4508,6111,5627,7017,6982,5566,6303,,125366,133905,161181,135293,134120,122609,135800,133087,108158,164701,,17767,22599,19713,19134,20519,18727,23488,22319,22769,23671
900490,"Spectacles, goggles and the like, corrective, protective or other (excluding spectacles for ...",4894,5301,3985,3456,4661,5883,5357,6144,6708,6287,,237842,250596,273934,277217,271873,293903,326993,313772,387316,378896,,58297,56416,51104,23546,28693,28749,27264,30547,40726,40620
390130,"Ethylene-vinyl acetate copolymers, in primary forms",4475,4258,1706,1104,1896,1294,4102,1361,723,6185,,496114,460509,478478,439890,467495,525085,638032,671596,569035,1143878,,45928,46758,51592,39662,53795,62028,79822,61859,55687,99994
847190,"Magnetic or optical readers, machines for transcribing data onto data media in coded form and ...",3204,2761,1700,1155,1701,5526,10932,5091,1978,6044,,175365,185827,205308,206566,219481,193835,207901,261571,283297,387201,,53399,47643,41206,68201,95382,108115,122238,137764,100872,158558
401699,"Articles of vulcanised rubber (excluding hard rubber), n.e.s.",2648,2759,2961,3221,3619,5247,5581,5376,5408,5953,,86133,83012,85910,79244,80325,92753,103138,97007,101911,132536,,258835,274460,252618,194783,228831,292373,313844,333212,329973,466818
847780,"Machinery for working rubber or plastics or for the manufacture of products from these materials, ...",4745,5650,5884,5805,4572,8956,8848,7883,6183,5908,,342119,378357,370282,321806,289041,363946,345960,302090,247846,254370,,201032,180227,136042,70905,69736,111863,124029,127899,111222,190708
870880,"Suspension systems and parts thereof, incl. shock-absorbers, for tractors, motor vehicles for ...",7066,8497,8866,5574,5736,6593,7758,5733,5348,5878,,77655,73034,84869,168309,173406,184227,204344,216930,226180,293960,,1162277,1203506,997392,544015,636303,862331,929662,885118,729110,1032844
851230,Electrical sound signalling equipment for cycles or motor vehicles,13268,12477,3818,1186,614,4107,9585,7241,7195,5874,,53829,54128,48341,32015,24351,25980,26427,28797,29555,33549,,80938,70555,36349,17352,22556,32968,42806,39229,32503,41750
870830,"Brakes and servo-brakes and their parts, for tractors, motor vehicles for the transport of ...",2313,1723,1663,1137,1329,1889,3119,3230,3431,5566,,90790,88565,90035,87890,92182,96229,109424,92567,83959,109822,,761389,833227,787442,522710,585744,704115,760171,761787,684660,909764
841932,"Dryers for wood, paper pulp, paper or paperboard",193,49,2792,1251,0,3688,62,2487,0,5564,,6986,3282,3102,3502,7642,4516,6083,6087,3532,5903,,65774,69093,42283,25836,37190,53933,34426,41162,49242,72799
846592,"Planing, milling or moulding -by cutting- machines, for working wood, cork, bone, hard rubber, ...",6540,5617,3773,2404,2305,3155,2583,2908,3529,5559,,55006,59275,64110,68202,70521,84813,89344,85038,100595,142581,,81131,71654,53422,25378,35778,42681,47725,42347,43706,52318
846150,"Sawing or cutting-off machines, for working metals, metal carbides or cermets (excluding machines ...",6998,7052,5703,3509,2697,4163,6203,5657,4643,5450,,188708,173341,174765,145062,137630,159073,161817,133192,93849,123013,,56954,56548,47525,17254,26185,34597,35113,39590,41225,45016
321210,Stamping foils of a kind used in the printing of book bindings or hatband leather,1046,813,777,1668,3170,3270,3435,3875,5265,5435,,83901,90513,88568,74475,82959,94186,105665,103512,105535,122537,,26657,24970,30172,26222,26101,28443,27045,29927,31332,38633
401693,"Gaskets, washers and other seals, of vulcanised rubber (excluding hard rubber and those of ...",1695,1593,1786,1481,2195,3067,3880,7650,6742,5143,,130150,134475,148159,148201,152556,187446,199931,198089,184592,260543,,270166,283543,270589,176468,188596,237472,262486,273319,247603,298335
731816,Nuts of iron or steel,2362,3339,2640,2095,2371,4422,5553,3583,3525,5070,,750988,781073,884545,830315,788460,895411,995556,897104,731365,1044051,,104464,112522,104091,62291,77028,101443,118693,120694,109905,144305
382200,"Diagnostic or laboratory reagents on a backing, prepared diagnostic or laboratory reagents ...",2758,2983,2768,2498,3258,3614,3907,4827,7675,5005,,247641,266003,254707,268779,283603,304119,341623,343411,418313,468743,,219140,271066,252721,163530,169401,212861,249431,296326,349344,405034
847720,Extruders for working rubber or plastics,14068,10761,8157,9078,5626,8881,5410,8015,4815,4990,,202074,176359,158427,99652,112702,119533,139832,105987,119267,121232,,242370,298059,188649,219229,121728,637454,351457,173423,192834,247970
820320,"Pliers, incl. cutting pliers, pincers and tweezers for non-medical use and similar hand tools, ...",3140,2985,2958,1960,2731,3746,3883,3947,3905,4971,,79436,77172,85115,86935,85724,92331,95659,93134,88333,114110,,34191,35038,33824,19815,23863,31911,35081,35358,35449,46504
846693,"Parts and accessories for machine tools for working metal by removing material, n.e.s.",2611,3732,4526,6158,9665,12781,12976,14786,6270,4772,,514232,452044,532513,498791,493698,622634,660335,514525,480911,711251,,47454,50517,52898,46256,55022,67318,82382,73865,56047,67225
853400,Printed circuits,1823,1110,2318,2584,5601,9927,6490,6170,3963,4751,,5949267,5778853,5802522,5464763,4921072,5544428,5599101,5289025,5636487,6625577,,90418,78003,261268,66318,106674,136406,140624,125540,129976,177909
852190,"Video recording or reproducing apparatus, whether or not incorporating a video tuner (excluding ...",6011,5242,2452,930,1361,850,1420,1650,2106,4710,,155402,131565,96310,65364,71485,52890,41064,38028,53660,44337,,206080,130362,501739,35275,38061,47393,53112,52694,49086,58247
291739,"Aromatic polycarboxylic acids, their anhydrides, halides, peroxides, peroxyacids and their ...",0,0,1936,2008,649,2232,2162,962,1285,4662,,26058,89119,206790,193013,220192,402100,284416,219076,214231,300303,,13424,22551,14198,14324,18412,30694,27907,15084,14278,25553
392049,"Plates, sheets, film, foil and strip, of non-cellular polymers of vinyl chloride, containing ...",3119,3925,2866,2706,1964,2608,2715,4104,3369,4536,,179339,183032,169616,151598,149616,146714,136086,116454,107169,125369,,187059,170344,160543,122885,132251,141868,156563,151478,148936,182806
852852,Monitors capable of directly connecting to and designed for use with an automatic data processing ...,0,0,0,0,0,3728,2826,4138,5473,4410,,0,0,0,0,0,166705,179197,271004,276183,320757,,0,0,0,0,727,154772,156318,171755,219466,265842
820730,"Interchangeable tools for pressing, stamping or punching",1472,1712,1567,2203,1509,1865,2170,2508,2710,4369,,143384,173897,183084,192105,155650,175212,171426,148433,146113,176310,,135741,246169,217293,225495,179780,114675,168946,156691,183130,199374
846591,"Sawing machines for working wood, cork, bone, hard rubber, hard plastics or similar hard materials ...",5137,5203,3368,2145,1411,2419,3020,3345,2470,4139,,153726,193326,237119,218368,232959,247525,222839,258973,386533,487520,,172474,121516,137986,57765,82133,109580,100216,90905,77355,139066
761699,"Articles of aluminium, n.e.s.",2434,2782,2609,2297,2056,2664,2666,3715,3360,4035,,516935,508673,521986,533062,532552,556875,610040,534698,532770,675830,,270044,259801,193154,120430,219561,261468,289757,296892,240584,310781
841459,"Fans (excluding table, floor, wall, window, ceiling or roof fans, with a self-contained electric ...",2493,1575,1287,1057,996,1351,1620,2322,3581,4024,,112585,123357,133136,133278,140093,195883,206801,224516,225676,271075,,316857,325763,262119,179784,192398,242034,250978,268349,248573,306854
901480,"Navigational instruments and apparatus (excluding for aeronautical or space navigation, compasses ...",1503,2796,2792,1077,1166,1301,1402,2001,3470,3986,,21641,35319,37069,16252,32123,52635,81638,121025,180625,276977,,31142,24848,28323,33672,15448,19242,26013,26138,22565,34746
842199,"Parts of machinery and apparatus for filtering or purifying liquids or gases, n.e.s.",4781,4056,3275,2858,2803,2901,3123,2827,3100,3798,,216335,227144,241447,251952,272256,277406,306310,302422,325471,404904,,220149,260617,283753,222101,246084,281702,303585,350246,328420,405179
853224,"Fixed electrical capacitors, ceramic dielectric, multilayer (excluding power capacitors)",2987,2493,1409,990,1689,2935,7667,5613,3807,3717,,508704,480007,496780,475843,699719,848591,1748228,1089036,1397759,1809868,,17252,18360,24137,23457,21231,35015,56777,45383,45463,54402
853310,"Fixed carbon resistors, composition or film types (excluding heating resistors)",1090,974,984,1619,1222,1579,2990,2198,2947,3673,,14518,13566,13911,13027,14206,20761,21156,6371,6643,9862,,6230,5652,6667,5927,7330,9437,14893,15252,14563,19646
853810,"Boards, panels, consoles, desks, cabinets and other bases for the goods of heading 8537, not ...",415,469,1352,1149,739,1448,2517,3226,2880,3644,,33487,32461,37548,44160,39182,39106,40046,26689,27063,28687,,138228,133220,119385,66521,65138,81099,74734,60923,41185,48036
390799,"Saturated polyesters in primary forms (excluding polycarbonates, alkyd resins, poly""""ethylene ...""",431,535,2354,2125,2143,2547,3258,2553,3673,3620,,730507,757341,708651,569498,545532,702827,788968,662091,627872,1225572,,129387,157961,175370,145498,182175,220830,232789,192250,196661,246413
940320,"Metal furniture (excluding for offices, seats and medical, surgical, dental or veterinary  ...",7543,9840,8530,3853,3671,5069,4681,4559,3752,3596,,433558,405139,479130,494004,475013,478394,494559,612697,676570,718752,,194107,225778,222489,118768,90530,122413,138293,156715,161531,217990
902110,Orthopaedic or fracture appliances,8092,6523,7253,6003,2888,2113,2548,2618,2025,3567,,23205,26072,26692,27753,31293,33671,36970,49184,39436,52736,,54576,57134,66875,56520,60172,83385,90560,98142,78132,101702
848071,Injection or compression-type moulds for rubber or plastics,2543,3101,5372,2267,1907,2608,3018,3955,3510,3559,,155040,144855,142269,135624,136639,145339,148171,144701,140387,127373,,205860,317671,292911,217017,184963,228418,255896,223209,226031,270729
848180,"Appliances for pipes, boiler shells, tanks, vats or the like (excluding pressure-reducing ...""",6250,4724,3515,3390,5251,3555,4114,4146,4024,3543,,619819,642772,692724,604955,581870,701415,796569,739363,758647,993001,,2512754,1830755,1675857,1102214,1206717,1374239,1492903,1765922,1724534,1938088
