Product code,Product label,Germany's imports from Viet Nam-Value in 2012,Germany's imports from Viet Nam-Value in 2013,Germany's imports from Viet Nam-Value in 2014,Germany's imports from Viet Nam-Value in 2015,Germany's imports from Viet Nam-Value in 2016,Germany's imports from Viet Nam-Value in 2017,Germany's imports from Viet Nam-Value in 2018,Germany's imports from Viet Nam-Value in 2019,Germany's imports from Viet Nam-Value in 2020,Germany's imports from Viet Nam-Value in 2021,Viet Nam's exports to world- ,Viet Nam's exports to world-Value in 2012,Viet Nam's exports to world-Value in 2013,Viet Nam's exports to world-Value in 2014,Viet Nam's exports to world-Value in 2015,Viet Nam's exports to world-Value in 2016,Viet Nam's exports to world-Value in 2017,Viet Nam's exports to world-Value in 2018,Viet Nam's exports to world-Value in 2019,Viet Nam's exports to world-Value in 2020,Viet Nam's exports to world-Value in 2021,Germany's imports from world- ,Germany's imports from world-Value in 2012,Germany's imports from world-Value in 2013,Germany's imports from world-Value in 2014,Germany's imports from world-Value in 2015,Germany's imports from world-Value in 2016,Germany's imports from world-Value in 2017,Germany's imports from world-Value in 2018,Germany's imports from world-Value in 2019,Germany's imports from world-Value in 2020,Germany's imports from world-Value in 2021
640391,"Footwear with outer soles of rubber, plastics or composition leather, with uppers of leather, ...",150463,182617,199258,154228,142432,139969,132522,131705,141133,149113,,562330,838610,1167426,1277542,1186342,1288475,1429324,1555263,1518887,2289217,,1376191,1632603,1783911,1363779,1327122,1334499,1384642,1474394,1429048,1581418
854231,"Electronic integrated circuits as processors and controllers, whether or not combined with ...",770,413,5399,23450,24034,72923,76723,99482,97612,136510,,1705350,1913693,1602284,3372170,4654262,6024347,7006900,10567498,13019564,31054183,,4900727,5121156,5584917,5472660,5996350,7615600,8595964,7964251,6601732,8068467
871160,"Motorcycles, incl. mopeds, and cycles fitted with an auxiliary motor, with electric motor for ...",0,0,0,0,0,63794,86091,87992,94219,116578,,0,0,0,0,0,0,39995,100228,115767,177867,,0,0,0,0,0,711587,1142274,1415501,1632248,1984101
620293,"Women's or girls' anoraks, windcheaters, wind jackets and similar articles, of man-made fibres ...",58577,64805,84785,87568,88611,101724,107799,110180,104245,116410,,301976,433030,568407,602096,629982,764681,1035278,1152580,923086,1434119,,841489,983858,1134228,963399,986333,1065001,1141787,1100003,1025149,1154479
392321,"Sacks and bags, incl. cones, of polymers of ethylene",94973,111345,107893,107109,100564,106425,117479,106536,105808,116120,,396946,449274,515122,516201,541101,637727,756788,792276,762485,904378,,706616,760023,781572,714855,724767,744562,815144,764556,736821,850839
620193,"Men's or boys' anoraks, windcheaters, wind jackets and similar articles, of man-made fibres ...",65559,83235,108125,87882,79178,89114,102010,93032,99753,98954,,480336,665758,790179,817012,859628,1058541,1435655,1510901,1233445,1792798,,559097,668387,763198,646656,684320,729724,783918,789439,754604,837698
852852,Monitors capable of directly connecting to and designed for use with an automatic data processing ...,0,0,0,0,0,28640,51263,65344,51193,97051,,0,0,0,0,0,0,6745,33425,256531,1289749,,0,0,0,0,0,1770473,1873425,1843675,2129341,2590622
30617,"Frozen shrimps and prawns, even smoked, whether in shell or not, incl. shrimps and prawns in ...",64310,58762,89342,67936,57728,62784,72420,63016,72520,94420,,1505834,1988909,2481753,1731416,1820293,2204604,1973110,1961743,1942353,2062075,,313341,333477,426829,345432,342488,394190,369011,328593,368614,375910
845210,Sewing machines of the household type,34017,45204,51011,52627,75209,72839,93303,79043,118695,84204,,67439,99967,185317,214827,234943,236343,284436,278848,362954,546895,,124608,134649,150196,152105,182473,174943,179067,155190,225495,212167
620343,"Men's or boys' trousers, bib and brace overalls, breeches and shorts of synthetic fibres (excluding ...",48600,59117,85984,71576,72363,69319,76748,73247,77793,80388,,480199,603948,780841,920727,950496,1097543,1306111,1343366,1196554,1507200,,458125,504202,591303,507438,577271,624344,693535,721253,694009,797439
844332,"Machines which only perform one of the functions of printing, copying or facsimile transmission, ...",260276,287200,138342,122033,98761,101431,113890,83972,75311,78814,,1235520,1218803,1190505,1181063,1156814,1465910,1410023,1137962,953660,841020,,1605637,1585542,1404047,1199905,1062890,1133790,1219176,1053254,960558,979320
901890,"Instruments and appliances used in medical, surgical or veterinary sciences, n.e.s.",24262,27375,35310,40922,47853,47119,61707,58546,64948,76525,,14708,18474,20499,29136,73829,165831,210419,249338,274310,792751,,3425792,3792639,3982430,3529437,3671361,3847111,4234192,4295513,4388997,4389275
400122,"Technically specified natural rubber """"TSNR""""""""",97223,77626,66455,51856,48574,76776,60622,48659,42808,74971,,2150309,2136805,1460779,885691,690450,695148,702879,714320,474692,722845,,656303,496688,536267,503270,391992,492985,403199,338592,289117,459950
902140,Hearing aids (excluding parts and accessories),507,454,591,1341,7710,26593,38626,69897,66280,74691,,45571,46707,49538,53764,55295,74438,95608,169961,155996,860999,,348920,492920,354693,409701,408390,401281,439392,472590,432941,512247
640291,"Footwear covering the ankle, with outer soles and uppers of rubber or plastics (excluding waterproof ...",85184,100657,120898,107112,106692,105523,91724,100630,81326,73421,,142916,196825,202833,211602,224089,204764,243357,275179,328643,524869,,547138,681027,831771,675337,641125,641031,660553,605969,548530,690189
852871,"Reception apparatus for television, whether or not incorporating radio-broadcast receivers ...",8243,9017,16390,25006,15137,2540,3090,1515,6093,72832,,121250,144765,105624,120562,210381,205941,245077,324260,733244,484201,,685108,525010,547694,649883,636685,822004,488018,347195,352989,371457
630790,"Made-up articles of textile materials, incl. dress patterns, n.e.s.",22968,30169,46147,42901,46750,51426,54670,61820,182248,72637,,258742,339419,475214,553920,526194,483546,546053,670926,1916873,818840,,733876,770840,873371,819972,875863,949062,1059378,1091123,8218406,2580739
940179,"Seats, with metal frames (excluding upholstered, swivel seats with variable height adjustments ...",29968,24869,37017,37288,33710,42085,41029,52201,50040,72326,,92555,102729,140381,137362,134464,173010,205835,246776,270132,557072,,444290,426161,482114,455670,466802,479991,468509,498720,522471,766630
620342,"Men's or boys' trousers, bib and brace overalls, breeches and shorts, of cotton (excluding ...",46526,56975,77179,63655,61741,66646,69629,70659,70888,70849,,495843,589240,619227,603436,658759,665475,727989,764007,604495,911005,,2897612,3116056,3110905,2794287,2937743,3034194,3110122,3006419,2760786,2945974
940360,"Wooden furniture (excluding for offices, kitchens and bedrooms, and seats)",71434,64626,65856,60892,53780,50226,50934,55660,59619,69566,,832872,912531,1170711,1337505,1360439,1533406,1700448,1960324,2307078,4244570,,2129999,2145707,2347317,2076755,2056833,2035696,2156326,2130440,2291921,2603676
850440,Static converters,17748,9118,21601,39244,40117,51572,52485,32535,44825,67486,,32006,95515,149927,356884,511639,537759,566389,820351,1185593,2117644,,3281335,3130175,3179091,2905834,3097075,3578715,4021724,4265351,5110295,6500425
610463,"Women's or girls' trousers, bib and brace overalls, breeches and shorts of synthetic fibres, ...",10179,19091,22413,29690,35770,41251,41535,47661,70116,67406,,226495,303976,444073,579426,657799,872311,945371,1049498,1196848,1543758,,240791,338389,468565,496174,513245,576013,676217,695111,779868,961093
851829,"Loudspeakers, without enclosure",3366,3256,2059,2288,26955,38545,42670,49149,39749,65368,,256128,284373,458970,482990,558091,685614,778495,801412,857683,887477,,318643,298005,296252,250578,283814,324171,339237,312111,256461,297863
610910,"T-shirts, singlets and other vests of cotton, knitted or crocheted",21754,20584,15509,15624,16907,20368,26566,40533,49745,65199,,751407,859329,911514,1067847,1142849,1076741,1245442,1386020,1303431,1486337,,2713275,2930153,3006643,2544102,2446091,2644625,2819703,2766579,2704202,3141903
950300,"Tricycles, scooters, pedal cars and similar wheeled toys; dolls' carriages; dolls; other toys; ...""",18576,24177,30026,25954,30046,36120,44910,56573,56863,61792,,212346,245370,354547,447721,600325,803578,875607,1018424,1054139,2439359,,2558835,2685958,2927524,2821532,2946468,3106506,3370358,3345220,3439434,4068071
610990,"T-shirts, singlets and other vests of textile materials, knitted or crocheted (excluding cotton)",29257,34312,39381,41960,49884,50614,65364,57323,56171,60809,,400673,539016,705758,803556,893999,1006157,1190022,1178020,1035429,880378,,1228834,1408451,1596584,1493379,1563012,1569638,1589196,1374135,1223194,1238978
852791,"Radio-broadcast receivers, for mains operation only, combined with sound recording or reproducing ...",2,0,5,11619,42856,52052,61488,67738,53328,59292,,0,0,3856,5341,4894,7367,7266,13809,39888,168486,,280229,309960,302510,247826,252221,271711,252868,256448,211179,230652
853710,"Boards, cabinets and similar combinations of apparatus for electric control or the distribution ...",14016,8508,7285,866,8207,18098,14009,12198,42742,58987,,85890,53663,59747,93997,439442,550943,627006,672783,715738,1281229,,3842113,4691157,5341384,4847051,5569694,6323418,7419554,7502001,7302620,8143768
950450,Video game consoles and machines (excluding operated by any means of payment),0,2,75,0,0,7,5,0,54202,58767,,0,0,0,5,119,3599,168,316465,954748,848716,,1612021,1168717,1296389,1473719,1107563,1965823,2263996,2160973,2241224,2692096
611020,"Jerseys, pullovers, cardigans, waistcoats and similar articles, of cotton, knitted or crocheted ...",14269,15213,11865,8749,10741,19267,23768,44554,46161,57369,,929238,1114763,1137552,1123399,1123636,1210243,1551356,1922061,1814401,2841275,,1782065,1993352,2057477,1731373,1803706,2037935,2054726,2030316,2053989,2617554
620463,"Women's or girls' trousers, bib and brace overalls, breeches and shorts of synthetic fibres ...",27667,32635,41574,44130,42810,48887,57541,61913,55453,55293,,382088,511757,665902,758807,777249,786293,895858,950698,864059,1002360,,394617,415271,469907,424604,431519,474530,578194,603080,524656,568224
940169,"Seats, with wooden frames (excluding upholstered)",51136,40236,46780,46252,39980,40666,40094,41748,40780,54286,,506386,527366,628024,679871,747747,800152,680272,749984,788230,696013,,222469,213120,228474,215721,214062,212054,217583,229981,233161,295531
871491,"Frames and forks, and parts thereof, for cycles, n.e.s. (excluding for motorcycles)",13549,11885,20473,22777,29449,25792,37964,38143,48707,54083,,60245,78253,88158,111119,129482,147254,219952,258678,270154,281732,,307861,292989,345593,390249,404244,371839,471542,519349,597600,910810
611030,"Jerseys, pullovers, cardigans, waistcoats and similar articles, of man-made fibres, knitted ...",21230,20367,28851,31276,31642,40620,42916,42594,51078,51606,,581468,692154,937915,1146904,1188910,1390720,1504113,1656412,1315052,1684502,,1750536,1984859,2140557,1912841,1959880,2148054,2264646,2100889,1989490,2190658
620520,"Men's or boys' shirts of cotton (excluding knitted or crocheted, nightshirts, singlets and ...",93171,100582,111604,99772,86468,85429,83067,87662,66070,50623,,330169,442998,563243,590874,623384,655973,730842,721440,514661,644468,,1164341,1192712,1203291,1058832,992882,962128,992982,908887,715525,622382
940320,"Metal furniture (excluding for offices, seats and medical, surgical, dental or veterinary  ...",16140,12304,18340,16691,17209,14455,17827,24621,32401,49407,,66908,88199,117584,151076,164064,182280,244778,401089,659403,1148407,,756871,800736,933423,876505,918207,989023,1115428,1147384,1229229,1620229
731814,"Self-tapping screws, of iron or steel (excl. wood screws)",18588,22266,31427,28292,35778,37683,45126,44668,42230,48130,,280,1078,21694,24447,25548,31392,32830,35705,38640,162769,,282085,294335,327618,290850,317244,383725,413688,400705,389884,482687
730820,"Towers and lattice masts, of iron or steel",16811,0,0,0,0,5207,8267,25,46815,47074,,18054,52968,42846,47730,127050,97259,193212,286782,212701,285526,,350925,315008,277600,231704,226861,258529,350191,282222,315541,299052
90411,"Pepper of the genus Piper, neither crushed nor ground",74563,96177,50620,72287,77655,56659,35284,32860,31759,45792,,687624,765277,1023290,1089612,1233929,961993,602448,566099,510855,580531,,176406,222592,208305,266242,238959,188275,109272,98232,86089,123658
621210,"Brassieres of all types of textile materials, whether or not elasticated, incl. knitted or ...",4556,6105,7662,15870,28778,36056,45170,41987,46079,43512,,137767,154428,183058,213233,363179,561480,690134,820477,721248,1132250,,585324,615576,707739,670762,716019,772924,822919,793509,758189,877250
847190,"Magnetic or optical readers, machines for transcribing data onto data media in coded form and ...",2883,7016,2205,10466,11186,28550,36153,36489,34609,43115,,254313,323449,410055,385145,467446,460632,400160,422751,463728,376070,,736928,675883,654148,501888,512276,590555,664024,585191,649555,721445
610510,"Men's or boys' shirts of cotton, knitted or crocheted (excluding nightshirts, T-shirts, singlets ...",11065,11583,15005,17433,20986,28630,32469,37394,36429,43010,,205804,263183,259334,254090,233070,280420,304908,299500,216726,444816,,494577,515888,533297,476254,450387,483711,519896,542874,459470,496751
721049,"Flat-rolled products of iron or non-alloy steel, of a width of >= 600 mm, hot-rolled or cold-rolled ...""",0,0,0,0,0,3135,28224,1949,1024,41225,,55150,61419,116925,135325,323575,476915,592544,470426,492149,1939934,,2140193,2188405,2015066,1526561,1507039,2057841,2161006,1922775,1545959,2670822
900211,"Objective lenses for cameras, projectors or photographic enlargers or reducers",3749,11983,34532,30856,32067,29007,34268,44598,39344,40964,,4,8724,35814,38771,32325,90935,43487,52730,45528,211833,,550369,511867,596666,509771,445234,499444,558577,583130,537511,627473
621050,"Women's or girls' garments of textile fabrics, rubberised or impregnated, coated, covered or ...",20560,21398,30027,24536,30305,37826,41090,43723,43175,40785,,107083,146831,193598,170287,194464,236278,266906,300511,365917,462490,,297878,334138,400174,327279,280134,296118,339406,359785,368620,388754
853669,Plugs and sockets for a voltage <= 1.000 V (excluding lamp holders),4373,8914,10637,10678,12624,17096,22013,25913,23745,37463,,25348,34490,44439,62083,74043,85238,116331,285593,417209,423936,,1637565,1991066,2118329,1984055,2111831,2451257,2705336,2480030,2406218,3037324
621040,"Men's or boys' garments of textile fabrics, rubberised or impregnated, coated, covered or laminated ...",27248,28990,40206,38367,41483,48460,48521,44201,37342,37150,,155231,215321,303777,271886,306041,350045,406276,455029,365156,593168,,311616,318797,368214,292269,270626,283973,325903,328726,304721,311427
852580,"Television cameras, digital cameras and video camera recorders",11933,984,5029,24644,46602,69705,57810,76131,59098,36497,,73245,110450,365356,871378,901312,1358865,2268382,1976684,2066189,2436098,,2893344,2471957,2244373,1996313,2177759,2380612,2491422,2546207,2648248,2872400
940171,"Upholstered seats, with metal frames (excluding seats for aircraft or motor vehicles, swivel ...",3445,6129,10283,14475,13700,12859,12802,14410,21304,36025,,1453,2257,9095,18627,38199,49909,65300,143094,297745,288101,,379745,378393,440523,409104,399658,438025,471778,481489,557190,765461
851770,"Parts of telephone sets, telephones for cellular networks or for other wireless networks and ...",6991,27840,23064,14325,20751,9624,11440,22498,38002,35839,,2341127,1762614,2073874,5016965,7210675,15847655,18126229,17517831,20864755,28074784,,1468282,1436564,1450053,1527710,1358589,1244008,1163487,910309,947521,919715
620213,"Women's or girls' overcoats, raincoats, car coats, capes, cloaks and similar articles, of man-made ...",17423,15082,18782,21699,22864,22455,31319,31546,34718,35635,,172156,230711,256082,272431,240510,224108,307959,305438,248543,322725,,355982,350195,401442,335046,377549,434301,497507,525258,523348,610819
852872,"Reception apparatus for television, colour, whether or not incorporating radio-broadcast receivers ...",5,0,1,0,133,6358,9799,12727,21782,34866,,126561,237058,345204,603392,1207178,1736196,1511458,1604167,1981258,2604020,,4715750,3884750,3786702,2900630,2710030,3037514,2940278,2750615,2887135,3448218
392620,Articles of apparel and clothing accessories produced by the stitching or sticking together ...,1247,2450,4247,5578,8691,11105,11806,9846,19142,34787,,92713,91590,96785,98058,106896,139836,157126,174099,198558,360932,,164234,152657,158346,143065,137489,146383,149892,138815,289207,334231
392690,"Articles of plastics and articles of other materials of heading 3901 to 3914, n.e.s (excluding ...",20671,23852,26213,35548,28960,26928,28787,30798,28391,34167,,333801,355892,438673,486320,520451,562645,667630,750748,817782,1042662,,3873706,4246750,4750670,4228530,4389335,4859562,5329085,5271580,5295664,6478434
850720,Lead acid accumulators (excluding spent and starter batteries),7206,6924,7977,11144,19360,22185,26354,31335,35789,33726,,312087,348723,433029,399594,413398,491690,621269,693858,747407,821922,,408962,398234,476697,435227,503560,525360,597982,555834,501199,669335
190230,"Pasta, cooked or otherwise prepared (excluding stuffed)",8186,3127,4884,22990,21420,21453,27122,28031,38313,33054,,133079,135445,126698,126975,115822,124366,140244,161116,210806,148574,,117451,123699,134877,144454,159691,166810,188338,191625,217355,241673
160529,"Shrimps and prawns, prepared or preserved, in airtight containers (excluding smoked)",10781,11518,16451,11048,12099,18040,24354,31318,30433,31297,,279081,402521,548767,392755,478550,734816,984914,927034,1177667,219747,,71496,72500,102477,98371,114186,132544,142336,150127,191654,193309
851981,"Sound recording or sound reproducing apparatus, using magnetic, optical or semiconductor media ...",5,20,143,4689,14447,15703,18436,17689,28221,30939,,1542,62,775,6674,8657,7385,6181,6558,14450,295049,,271550,223062,247077,249963,197212,209257,252064,213589,222223,195508
160521,"Shrimps and prawns, prepared or preserved, not in airtight containers (excluding smoked)",11876,19953,28838,39343,37111,39145,41621,32906,30890,30144,,374771,589144,791827,709501,733870,656514,434969,356845,382655,1251187,,141019,142233,134287,98114,96483,108473,141632,118667,119209,107559
851840,Audio-frequency electric amplifiers,2546,821,1677,6542,9144,9137,8963,9128,22460,29654,,6797,5100,5138,15057,34178,29828,32927,30489,30033,65755,,270136,291851,369347,353053,362222,374535,364433,315340,314140,355578
610462,"Women's or girls' trousers, bib and brace overalls, breeches and shorts of cotton, knitted ...",6609,4204,5381,6155,9538,10559,13840,15883,19087,28676,,233428,268366,326361,373028,409914,492649,554623,555469,607182,920050,,469857,563876,659873,608332,613326,695755,743787,776080,883798,1263366
731815,"Threaded screws and bolts, of iron or steel, whether or not with their nuts and washers (excl. ...",29417,38964,44814,43417,31019,30752,41327,33209,22892,28548,,109817,154611,169651,191168,177386,187553,300209,283671,275471,205822,,1584717,1638950,1777491,1689164,1673433,1834696,2041517,1820053,1550723,2017398
401511,"Surgical gloves, of vulcanised rubber (excluding fingerstalls)",76,1481,5944,7228,10895,10305,8398,14070,19321,28207,,438,65,433,4340,6439,6155,2484,3065,5533,65524,,335882,365143,349046,349614,359270,380102,426371,447629,754148,1530840
851830,"Headphones and earphones, whether or not combined with microphone, and sets consisting of a ...",1734,2655,3741,3593,4286,5179,9180,35198,29172,28034,,478825,636455,491207,653019,1275233,1805684,1648463,1825818,1152140,4975263,,495139,510831,559704,564388,572523,665803,819171,1075973,1596219,1661105
620433,"Women's or girls' jackets and blazers of synthetic fibres (excluding knitted or crocheted, ...",13478,18816,22118,25744,22188,22493,25753,24266,23833,27266,,168888,238533,309152,356634,313264,296287,366827,364778,304300,228666,,299579,261182,265212,240812,226044,230529,249047,244157,219738,235670
610230,"Women's or girls' overcoats, car coats, capes, cloaks, anoraks, incl. ski jackets, windcheaters, ...",17060,13458,20802,18368,21327,22393,27922,24655,25705,27019,,84507,114668,190777,233902,211848,215950,230301,237191,231313,347477,,205888,216105,264015,256586,270820,281081,337989,357140,338538,365459
620462,"Women's or girls' trousers, bib and brace overalls, breeches and shorts of cotton (excluding ...",22302,26004,35837,40060,40683,38092,35625,35368,33834,26716,,497669,612223,542727,555999,550068,576682,722688,810519,750026,986124,,1884206,2081144,2011325,1803400,1750860,1700237,1838639,1666075,1566568,1783882
401150,"New pneumatic tyres, of rubber, of a kind used for bicycles",868,905,938,9015,14106,18599,23674,14341,15486,26587,,21795,18756,22911,35815,42351,58876,65477,74367,82876,119394,,92655,99053,107719,111242,99982,99549,109003,85261,86253,134326
730890,"Structures and parts of structures, of iron or steel, n.e.s. (excluding bridges and bridge-sections, ...",106,93,63,114,337,309,395,1270,6321,26267,,113339,100629,146602,132861,190366,175026,194215,325913,324942,474381,,2222227,2318563,2420541,2130077,2247479,2454445,2543228,2325415,2341343,3115934
640219,Sports footwear with outer soles and uppers of rubber or plastics (excluding waterproof footwear ...,25970,29543,36072,39598,30559,36457,37803,29875,23662,25889,,387327,308198,356454,413631,467186,452746,466081,479822,298185,358438,,128678,134278,211829,244233,309959,312894,309738,289229,291922,305067
853650,Switches for a voltage <= 1.000 V (excluding relays and automatic circuit breakers),9093,13956,14413,15840,18170,18579,18196,21311,21832,25514,,69160,88401,119337,127227,135157,178192,96909,118585,149315,372509,,1798838,1858094,1913647,1736267,1795853,2036686,2218093,2139903,2009083,2391177
731812,Wood screws of iron or steel (excluding coach screws),17447,13941,18174,18530,18039,15385,15966,15257,23806,24397,,668,587,15001,18369,23626,26729,36316,35686,39927,132482,,96091,93327,105808,85656,88286,108631,132729,113788,125597,146183
442199,"Articles of wood, n.e.s.",0,0,0,0,0,15935,13720,17378,20093,23747,,0,0,0,0,0,0,98433,101804,125283,200425,,0,0,0,0,0,671858,760982,751481,836405,1051554
950631,"Golf clubs, complete",125,560,409,789,2181,2531,1911,737,702,23441,,44412,36877,43834,54010,46895,51750,55151,45045,63194,250558,,25221,23828,27698,25457,25125,24014,24811,26320,26229,99298
401120,"New pneumatic tyres, of rubber, of a kind used for buses and lorries (excluding typres with ...",31,0,2,0,0,85,1575,7916,12652,22589,,196260,187772,129197,62507,77375,143262,230957,389835,537846,881747,,1898346,1885591,1855499,1441380,1526551,1493230,1579414,1422724,1280673,1597917
620640,"Women's or girls' blouses, shirts and shirt-blouses of man-made fibres (excluding knitted or ...",3312,9228,16710,29017,27166,33904,42721,35339,25130,22202,,128318,204368,294337,336592,422030,448854,535967,461021,327096,298916,,441673,586740,767425,847236,878233,928664,983688,877437,667808,600685
854140,"Photosensitive semiconductor devices, incl. photovoltaic cells whether or not assembled in ...",34,7,8,1334,76678,248222,249521,86051,47084,21610,,111706,135239,92150,551223,1617756,2325299,2000068,3507962,4460421,2997497,,7292980,3752771,3153258,2759485,2598046,2779541,3048930,3056328,3117185,3915984
611241,"Women's or girls' swimwear of synthetic fibres, knitted or crocheted",2725,3185,4651,6447,3530,6932,16187,16345,21331,20958,,38937,67724,100315,114887,122192,142936,197237,279640,253154,388061,,200797,222727,232672,220271,230359,257589,301997,320455,260883,266753
854442,"Electric conductors for a voltage <= 1.000 V, insulated, fitted with connectors, n.e.s.",718,2178,2092,1730,3167,5197,6780,8542,15964,20112,,95075,93819,130558,195000,287157,390205,509215,1087127,1527410,2433154,,1958355,2146764,2236922,2119398,2247342,2598028,2634437,2413935,2417138,2936782
