Product code,Product label,"Taipei, Chinese's imports from Singapore-Value in 2012","Taipei, Chinese's imports from Singapore-Value in 2013","Taipei, Chinese's imports from Singapore-Value in 2014","Taipei, Chinese's imports from Singapore-Value in 2015","Taipei, Chinese's imports from Singapore-Value in 2016","Taipei, Chinese's imports from Singapore-Value in 2017","Taipei, Chinese's imports from Singapore-Value in 2018","Taipei, Chinese's imports from Singapore-Value in 2019","Taipei, Chinese's imports from Singapore-Value in 2020","Taipei, Chinese's imports from Singapore-Value in 2021",Singapore's exports to world- ,Singapore's exports to world-Value in 2012,Singapore's exports to world-Value in 2013,Singapore's exports to world-Value in 2014,Singapore's exports to world-Value in 2015,Singapore's exports to world-Value in 2016,Singapore's exports to world-Value in 2017,Singapore's exports to world-Value in 2018,Singapore's exports to world-Value in 2019,Singapore's exports to world-Value in 2020,Singapore's exports to world-Value in 2021,"Taipei, Chinese's imports from world- ","Taipei, Chinese's imports from world-Value in 2012","Taipei, Chinese's imports from world-Value in 2013","Taipei, Chinese's imports from world-Value in 2014","Taipei, Chinese's imports from world-Value in 2015","Taipei, Chinese's imports from world-Value in 2016","Taipei, Chinese's imports from world-Value in 2017","Taipei, Chinese's imports from world-Value in 2018","Taipei, Chinese's imports from world-Value in 2019","Taipei, Chinese's imports from world-Value in 2020","Taipei, Chinese's imports from world-Value in 2021"
851718,Telephone sets (excluding line telephone sets with cordless handsets and telephones for cellular ...,1790,1431,509,192,27,38,27,15,27,48,,252044,119431,113111,127408,99915,43112,32118,40068,39265,75758,,53895,45754,44471,43262,37204,38663,38751,40049,31480,32563
961900,"Sanitary towels (pads) and tampons, napkins and napkin liners for babies, and similar articles, ...",0,0,0,0,1292,1213,1089,1041,200,48,,35804,35103,36380,37069,40756,70058,56127,57055,57715,71094,,0,13772,146744,162273,162982,186117,190419,207516,211838,233451
732090,"Springs and leaves for springs, of iron or steel, incl. flat spiral springs (excluding helical ...",63,75,53,55,54,52,74,66,29,48,,25155,38541,34717,29544,25011,24426,28046,31024,25650,31279,,12876,12325,12847,12039,12203,14295,13801,13582,11995,18728
730799,"Tube or pipe fittings, of iron or steel (excluding cast iron or stainless steel products; flanges; ...",40,14,32,59,65,13,63,49,32,48,,130439,132082,138217,131917,96159,72016,70162,94020,87325,108443,,23817,24455,23599,20228,21664,23651,16510,17655,14986,18897
730793,"Butt welding fittings of iron or steel (excluding cast iron or stainless steel products, and ...",0,3,0,2,1,5,2,0,0,47,,9906,12836,13529,10687,8007,3839,5901,16638,20617,17590,,6285,6980,6468,6035,4649,4894,6562,7130,6335,13334
390330,"Acrylonitrile-butadiene-styrene copolymers """"ABS"""", in primary forms""""",2244,1125,679,349,228,127,133,153,356,46,,34960,32517,27063,19394,18165,54617,67504,67449,50618,56795,,37349,27297,31685,28220,15913,21898,22607,19253,18276,24474
850163,"AC generators """"alternators"""", of an output > 375 kVA but <= 750 kVA (excl. photovoltaic  ...""",30,0,0,7,11,24,27,0,0,46,,10030,11097,8103,5831,5946,2467,2257,2097,1070,864,,750,471,825,436,207,281,522,382,281,1059
847050,Cash registers incorporating a calculating device,45,120,185,476,282,180,204,121,167,46,,263236,203359,169918,148998,142665,145504,153958,136572,63557,52277,,33524,16496,21413,19998,19191,19168,16906,19362,16014,21170
190410,"Prepared foods obtained by swelling or roasting cereals or cereal products, e.g. corn flakes",3,5,51,25,3,2,9,4,36,46,,4444,4747,4041,3475,2273,2092,2828,3676,2715,3207,,9041,10462,9583,11694,13744,15033,17751,22839,26019,29094
441510,"Cases, boxes, crates, drums and similar packings, of wood; cable-drums of wood",0,16,19,9,25,1,4,32,45,46,,7407,4796,4769,3894,3171,3422,4063,3719,4147,4963,,1772,2220,1640,1949,2548,2925,4299,4857,5121,9429
842410,"Fire extinguishers, whether or not charged",2,3,0,0,3,2,0,0,33,45,,12986,20587,17808,15542,18956,15022,18158,21122,13656,13835,,8026,9223,10523,10038,8903,8822,10679,9598,11100,12724
850511,Permanent magnets of metal and articles intended to become permanent magnets after magnetization ...,3,2,4,9,18,22,15,20,14,45,,15816,18510,8393,8979,8102,5531,10578,13151,11308,13194,,63885,68562,72566,72842,73361,86596,90404,81526,72327,131521
841480,"Air pumps, air or other gas compressors and ventilating or recycling hoods incorporating a ...",1588,1101,1461,2547,739,36,633,1428,16,45,,216810,322374,384348,321902,163380,126648,194282,190273,205092,212858,,165561,151907,198733,149748,140218,119833,130850,135878,137491,180681
790700,"Articles of zinc, n.e.s.",20,20,0,0,0,0,4,18,63,44,,18887,19034,23064,20690,27731,23385,24277,30276,32553,43083,,4645,4193,4786,9189,6982,10676,14238,14868,15770,18195
850132,DC motors and DC generators of an output > 750 W but <= 75 kW (excl. photovoltaic generators),18,29,96,110,138,35,179,134,55,44,,13681,16117,8051,47564,42366,35448,45369,37819,31116,24567,,8837,9847,10363,9286,13878,14477,14567,10794,11872,15647
731210,"Stranded wire, ropes and cables, of iron or steel (excluding electrically insulated products ...",0,7,6,11,13,5,26,7,38,44,,82987,95175,70779,76997,38372,28652,47315,49133,35383,49190,,101224,89634,83613,80096,73803,82570,78938,79733,77487,81370
901410,Direction finding compasses,0,0,320,0,0,0,24,15,17,44,,7399,10478,9407,7705,5880,10790,3604,5201,7258,12366,,741,780,1978,1349,864,1734,1341,1642,1353,1353
283090,"Sulphides (excluding sodium); polysulphides, whether or not chemically defined (excluding inorganic ...",0,0,0,0,0,0,0,0,0,43,,1332,534,613,1135,259,149,601,649,760,1338,,2128,1948,1744,1641,1801,2478,2537,1869,2906,3522
291719,"Acyclic polycarboxylic acids, their anhydrides, halides, peroxides, peroxyacids and their halogenated, ...",0,0,0,0,0,22,84,82,104,43,,4682,5280,4207,3367,1918,1678,1820,1551,2170,841,,12375,13706,13744,11595,11220,15710,18716,24000,19847,25113
711320,"Articles of jewellery and parts thereof, of base metal clad with precious metal (excluding ...",83,15,26,22,23,57,52,59,10,43,,41285,31611,25149,5750,944,892,1561,1221,596,7753,,10024,24477,36918,32112,23577,26052,24876,21575,17496,20910
262011,Hard zinc spelter,0,0,0,0,0,0,0,135,0,43,,0,0,884,518,730,1158,1656,921,803,652,,0,0,0,137,1187,8179,8496,9887,7406,10785
293219,"Heterocyclic compounds with oxygen hetero-atom[s] only, containing an unfused furan ring, ...""",148,0,646,892,482,0,208,295,121,42,,381913,251097,160635,150577,44649,3010,2055,2122,2269,1996,,7303,5527,7191,7278,8925,6729,7235,7742,9414,6195
690919,"Ceramic wares for chemical or other technical uses (excluding of porcelain or china, articles ...",28,30,35,35,75,5,208,58,273,42,,9555,16596,21266,20475,17477,16053,18379,24382,10692,10088,,67941,63385,76602,72532,88262,121631,150827,132881,158878,188154
848079,Moulds for rubber or plastics (other than injection or compression types),7,31,5,0,49,3,21,15,16,42,,60675,54045,43186,42921,27580,25920,39119,35777,32988,31960,,36832,30610,36363,37003,29578,27845,28769,29001,21257,29358
731821,"Spring washers and other lock washers, of iron or steel",46,16,11,147,20,9,23,13,61,41,,1706,2571,2085,2157,2048,2775,4450,3118,2587,3221,,4091,3258,3736,3215,2779,4059,4625,3744,5311,8224
130219,"Vegetable saps and extracts (excluding liquorice, hops and opium)",72,80,20,46,37,38,17,9,11,40,,7122,6679,9295,13607,13970,16794,17652,19356,19082,28256,,22886,31914,32827,25535,28797,30419,33727,38959,43397,51298
481960,"Box files, letter trays, storage boxes and similar articles, of paperboard, of a kind used ...",0,12,24,25,42,9,22,27,30,40,,1357,1052,921,861,1105,2295,957,807,1170,1344,,1276,1366,1459,1596,1236,1218,1175,1128,1153,1365
850680,"Primary cells and primary batteries, electric (excluding spent, and those of silver oxide, ...",48,13,0,0,18,36,74,4,0,39,,51399,36229,26333,48945,46797,44999,27391,17188,10094,9697,,4059,2799,2991,2461,2054,1663,2758,1829,1325,894
721810,"Steel, stainless, in ingots and other primary forms (excluding waste and scrap in ingot form, ...",0,52,18,0,0,0,0,0,0,39,,2492,1058,907,561,613,377,187,1701,183,162,,753,1518,1328,1470,1166,1067,1835,1598,3443,3262
847439,"Machinery for mixing or kneading solid mineral substances, incl. those in powder or paste form ...",0,23,13,15,125,5,0,79,25,39,,7979,6564,20513,5823,13988,2735,9424,7561,3556,5990,,5453,3720,4474,2720,2283,1891,4006,6871,2906,2242
831110,"Coated electrodes of base metal, for electric arc-welding",75,110,93,42,72,33,41,33,69,39,,49874,42473,45989,35191,26014,24911,31974,19404,20046,22311,,1045,727,1640,4777,3340,759,685,1094,2720,3798
852321,Cards incorporating a magnetic stripe for the recording of sound or of other phenomena,48,146,27,240,91,117,88,4,0,38,,82279,53933,54873,25691,19177,13332,8421,5089,2286,2097,,1851,1652,1497,1770,2273,1562,1618,1209,517,773
852859,"Monitors, not incorporating television reception apparatus (excluding with cathode ray tube ...",87,19,20,33,9,7,46,33,12,38,,84695,95122,99654,71926,81617,84463,127958,363081,309471,264787,,287581,309493,291979,362080,385619,388378,413178,407238,445648,688947
811300,"Cermets and articles thereof, n.e.s.; waste and scrap of cermets (excluding ash and residues ...",37,0,0,0,0,0,0,0,0,38,,1051,2941,3597,843,2329,2702,5697,3905,3245,1803,,2837,1201,1646,1044,1310,2285,2812,2582,3528,4763
810890,"Articles of titanium, n.e.s.",59,5,4,95,108,58,196,189,206,38,,3530,6996,13069,10819,12053,16232,15749,23227,17313,13343,,131277,122455,145114,114793,112854,130979,148912,141309,155847,166173
841590,"Parts of air conditioning machines, comprising a motor-driven fan and elements for changing ...",99,183,54,44,48,40,26,35,3,38,,137699,157600,171145,101551,107201,115796,124559,131739,127541,147979,,85311,128024,219868,232992,208618,250047,316844,310748,377903,384512
220110,"Mineral waters and aerated waters, not containing added sugar, other sweetening matter or flavoured",0,0,0,0,2,7,24,41,16,37,,2127,1674,5393,2847,1275,986,697,886,234,365,,11160,12441,15263,17495,20055,21884,23346,21803,20982,23823
180632,"Chocolate and other preparations containing cocoa, in blocks, slabs or bars of <= 2 kg (excluding ...",69,63,209,0,0,14,94,21,47,37,,11392,12198,14890,14136,16082,18448,24683,44758,54626,67658,,26731,27277,30810,24514,22031,21887,23001,24420,23420,30123
854720,"Insulating fittings for electrical purposes, of plastics",129,90,54,51,36,32,55,17,41,36,,11642,13905,11293,11982,17601,16913,18708,30108,20111,25270,,16949,14350,15227,13303,15613,22439,21069,19914,23010,35948
820770,Interchangeable tools for milling,11,0,2,90,55,48,0,45,24,35,,6863,9602,37647,44696,37222,37190,39105,35841,21543,28464,,20934,19644,20247,19496,19603,21033,23713,21250,20553,22542
841290,"Parts of non-electrical engines and motors, n.e.s.",12,72,27,17,34,42,2,92,46,35,,158635,435685,373280,207781,190371,152332,148466,134696,127660,112756,,18112,10496,9157,8346,7914,11767,13157,17070,99922,37316
852329,Magnetic media for the recording of sound or of other phenomena (excluding cards incorporating ...,59,104,1436,239,106,44,235,262,62,35,,2228355,1641803,1743942,2099661,1880437,1643193,1845204,1775825,1908580,2167140,,14474,13659,21064,14680,23713,23019,11665,11673,4777,4721
920590,Wind musical instruments (excluding brass-wind instruments),2,0,0,0,12,14,45,0,17,35,,765,949,2004,2262,1243,1350,1790,1476,942,2091,,5070,4746,5863,4376,5571,5333,6699,6846,5892,7954
940310,Metal furniture for offices (excluding seats),157,7,30,34,0,0,4,24,160,35,,21393,25508,26715,20883,18504,16815,17621,13049,8004,12846,,5025,3348,3555,5795,4778,5567,7637,7060,5640,8615
890710,Inflatable rafts,12,12,10,0,0,0,0,5,27,34,,7553,10204,16717,13835,21053,9024,7097,7769,5361,5800,,863,891,916,922,973,1328,744,1107,1014,1043
842390,"Weighing machine weights of all kinds; parts of weighing machinery, n.e.s.",48,14,10,10,8,38,58,48,40,34,,30240,39283,30931,25557,30316,57634,41618,21292,15649,33129,,3297,3259,3658,3267,3308,4100,4547,3931,6243,9620
731600,"Anchors, grapnels and parts thereof, of iron or steel",0,0,0,0,3,7,2,180,0,34,,25256,29220,23133,14237,8591,13895,18837,9266,11024,7314,,326,763,1191,1522,905,1416,962,1176,880,832
720449,"Waste and scrap of iron or steel (excluding slag, scale and other waste of the production of ...",105,2678,206,0,62,92,52,22,9,33,,351739,362173,357668,241773,234765,341605,329562,258209,182086,420424,,1935893,1535189,1391430,742595,593286,682172,1146204,886035,853510,1251239
290539,"Diols (excluding ethylene glycol """"ethanediol"""" and propylene glycol """"propane-1,2-diol"""")""""",7363,5615,5066,1997,929,2434,1436,2554,1440,33,,39381,46546,51199,32687,28693,37243,37888,32207,19268,10416,,160765,142292,106345,72654,67666,115237,104716,86716,65863,111586
850720,Lead acid accumulators (excluding spent and starter batteries),110,76,106,199,94,141,20,30,31,33,,53161,53295,57135,59141,58746,60988,51445,41980,40091,45983,,57055,56975,62666,61263,63044,78919,79007,81773,78270,90599
481710,Envelopes of paper or paperboard (excluding letter cards),5,8,23,0,12,15,32,13,5,32,,6028,7383,7169,5938,5291,5647,7304,7795,8969,8073,,635,631,772,740,983,887,1008,999,853,1166
292129,"Acyclic polyamines and their derivatives; salts thereof (excluding ethylenediamine and hexamethylenediamine, ...",27,0,0,24,119,0,0,0,67,32,,28338,30258,32609,32494,30567,17769,22338,16674,10777,15630,,13260,14393,16448,15984,18841,19775,17533,17316,15334,23625
291815,Salts and esters of citric acid (excluding inorganic or organic compounds of mercury),21,33,8,0,0,0,2,6,5,31,,3774,4135,3770,3072,3327,2965,3074,3053,2296,3086,,4365,5369,4250,3011,3504,3871,4038,3825,4248,5379
850434,Transformers having a power handling capacity > 500 kVA (excluding liquid dielectric transformers),5,0,108,0,869,0,0,0,0,31,,19283,25476,11256,12319,16526,21011,17518,5435,6262,6364,,6120,5885,10016,5845,4089,8452,7802,16021,31245,28273
151620,"Vegetable fats and oils and their fractions, partly or wholly hydrogenated, inter-esterified, ...",92,294,339,203,3,139,1,0,16,31,,76429,72212,73299,55432,55549,54219,54649,40101,42801,57726,,10931,10104,12216,13149,12334,15688,15018,12754,13659,16013
680530,"Natural or artificial abrasive powder or grain, on a base of materials other than woven textile ...",533,686,833,176,189,145,107,48,47,31,,30573,37943,39810,27134,27637,28137,36349,33457,36011,42343,,14809,15883,18283,16263,19700,26935,29994,27683,22689,27904
30499,Frozen fish meat n.e.s. (excluding fillets),621,27,5,38,5,10,0,5,0,31,,244,129,69,209,364,514,842,1417,495,535,,65765,55766,57591,60872,56848,54744,70228,68882,70134,81234
340130,"Organic surface-active products and preparations for washing the skin, in the form of liquid ...",151,55,83,95,34,54,146,81,84,31,,10003,10925,15437,18839,45026,53703,58098,87276,92648,154840,,86727,90249,89031,86530,100596,102521,109817,104702,107746,118102
392330,"Carboys, bottles, flasks and similar articles for the conveyance or packaging of goods, of ...",223,158,0,2,13,14,16,15,7,31,,8052,10453,14642,12185,13768,10435,13278,12813,12838,31328,,28836,25424,27291,27690,30265,32935,38407,39668,42517,49355
730690,"Tubes, pipes and hollow profiles """"e.g., open seam, riveted or similarly closed"""", of iron ...""",4,0,0,0,6,0,0,3,0,31,,71214,69145,68996,48935,23428,28251,23537,21094,16886,19016,,10095,6940,9622,7495,7236,5055,4405,8315,7545,14430
340391,Textile lubricant preparations and preparations of a kind used for the oil or grease treatment ...,2,0,0,0,0,0,0,0,0,31,,5467,5656,3785,3638,4352,4212,3918,3141,3535,4133,,9057,14228,15233,15775,12688,14130,14605,12271,9873,13369
441019,"Waferboard and similar board, of wood, whether or not agglomerated with resins or other organic ...",0,0,0,0,0,0,0,0,0,31,,184,288,169,80,85,156,381,482,170,74,,1159,1002,1465,636,797,693,641,545,230,127
701399,"Glassware of a kind used for toilet, office, indoor decoration or similar purposes (excluding ...",1,0,0,43,39,2,5,22,172,30,,4372,27106,38314,34531,38309,33567,31031,27564,16286,17324,,7359,6961,6442,6741,6680,7041,6983,5615,7293,7961
843143,"Parts for boring or sinking machinery of subheading 8430.41 or 8430.49, n.e.s.",52,72,41,29,17,465,173,601,26,30,,4237094,4404537,3814484,3292943,2005376,1601263,1327192,1302815,1173732,921138,,2242,6463,6432,4826,2541,3503,5852,6905,6683,3297
847720,Extruders for working rubber or plastics,0,0,0,0,5,43,0,0,0,30,,3156,2445,2593,3645,5129,2020,2988,1173,1293,1582,,74394,24588,24442,26594,28940,28897,47604,30200,22639,37673
844790,"Machines for making gimped yarn, tulle, lace, embroidery, trimmings, braid or net and machines ...",0,0,0,0,0,0,0,0,0,30,,3486,4476,10583,6309,3398,4099,4183,4232,1494,4310,,5268,8377,13695,10513,13727,14576,4089,3527,5882,4052
722230,"Other bars and rods of stainless steel, cold-formed or cold-finished and further worked, or ...",4,7,23,4,61,61,4,9,18,30,,31718,31917,30917,27570,21738,22333,18592,22446,21711,28200,,28621,28947,30200,23511,18624,22615,24558,20924,21260,24509
730900,"Reservoirs, tanks, vats and similar containers, of iron or steel, for any material other than ...""",0,0,31,245,17,175,0,0,16,30,,20720,27989,22482,17082,15418,13013,11444,9573,14016,14202,,7555,5040,3788,4618,4819,7869,8082,4970,10268,13533
852852,Monitors capable of directly connecting to and designed for use with an automatic data processing ...,0,0,0,0,0,149,117,21,13,29,,0,0,0,0,0,0,173649,178010,129977,98156,,0,0,0,0,0,21479,18092,17268,22076,29506
480261,"Uncoated paper and paperboard, of a kind used for writing, printing or other graphic purposes, ...",0,0,0,0,0,0,0,0,0,29,,175,308,142,162,77,49,137,230,47,107,,16391,15854,16879,17871,26006,30711,50916,48432,46233,51713
320820,"Paints and varnishes, incl. enamels and lacquers, based on acrylic or vinyl polymers, dispersed ...",83,132,281,177,75,43,43,43,16,29,,42694,45939,43344,64537,32737,30281,25786,27651,28012,29169,,92282,76102,29075,27139,29728,41590,43374,40158,43179,44096
293410,"Heterocyclic compounds containing an unfused thiazole ring, whether or not hydrogenated, in ...",0,0,0,3,0,164,58,0,151,29,,14293,29849,19255,18975,9245,5417,7877,8693,9289,10603,,2193,2499,2691,2074,2435,3486,4285,6066,5026,4960
841229,Hydraulic power engines and motors (excluding hydraulic turbines and water wheels of heading ...,6,2,11,50,0,2,5,22,8,29,,40786,36612,54333,42981,38391,42014,40831,40056,27690,46741,,12721,12195,12357,9960,9119,11712,11672,9501,11257,13703
830249,"Base metal mountings, fittings and similar articles (excluding locks with keys, clasps and ...",23,33,47,51,40,43,24,73,90,28,,34701,35553,29188,33594,28793,26808,35195,32937,30075,42525,,12310,13303,13774,15842,14423,13109,14559,18086,16594,25877
830241,Base metal mountings and fittings suitable for buildings (excluding locks with keys and hinges),75,25,8,78,8,2,2,14,30,28,,22794,33490,26886,22731,21922,18092,21553,19102,20457,11758,,16146,15987,17801,17884,16965,17495,21293,26165,24494,37023
420330,"Belts and bandoliers, of leather or composition leather",11,2,9,0,0,3,0,4,22,28,,11420,17608,24188,21904,30496,36597,39527,40873,23812,25122,,14498,13850,14809,13594,18965,17691,18533,25193,26877,48909
847759,Machinery for moulding or otherwise forming products from rubber or plastics (excluding injection-moulding ...,0,0,0,3,9,0,296,0,366,27,,4075,5951,9751,5031,6407,4339,6265,5103,1345,4178,,4972,7556,20538,8638,11456,9377,10286,14638,12608,14474
711810,"Coin (excluding legal tender, gold coins, medals, jewellery made from coins, collectors' items ...",108,37,115,16,0,8,3,4,0,27,,3476,1876,60637,5372,8335,7545,22309,11037,13513,12038,,9437,16314,29762,24605,19374,405,479,24987,543,18980
481940,"Sacks and bags, incl. cones, of paper, paperboard, cellulose wadding or webs of cellulose fibres ...",6,7,33,17,45,17,43,58,20,27,,7490,8137,7084,7461,7657,8375,10366,11137,9578,10307,,12601,12822,13969,14335,15254,17120,17760,18848,20851,24995
293628,"Vitamin E and its derivatives, used primarily as vitamins",0,160,271,393,261,330,125,153,231,27,,85694,71129,55887,35639,41236,34641,35668,41039,43389,42351,,3895,4409,3237,3192,3655,3590,3592,3169,3866,4304
30359,"Frozen anchovies """"Engraulis spp."""", Indian mackerels """"Rastrelliger spp."""", seerfishes """"Scomberomorus ...""",0,0,0,0,0,0,6,39,122,27,,0,0,0,0,0,0,393,792,702,1065,,0,0,0,0,0,6452,21551,20052,17740,29838
630612,"Tarpaulins, awnings and sunblinds of synthetic fibres (excluding flat covers of light fabrics ...",0,0,0,1,2,0,0,13,0,26,,299,867,448,441,628,664,402,282,162,164,,219,389,656,1126,1109,1251,1087,1082,1327,2147
820790,"Interchangeable tools for hand tools, whether or not power-operated, or for machine tools, ...",202,266,252,305,152,70,76,32,39,26,,642528,489376,238902,147159,127679,162325,171866,140981,128262,126322,,17851,18780,19695,18658,22913,24670,20949,23106,23065,26999
282510,Hydrazine and hydroxylamine and their inorganic salts,0,0,0,0,4,0,8,16,20,26,,1610,869,571,588,495,625,634,624,531,970,,5098,4606,4652,3815,3206,3688,5006,6685,6321,6493
330190,"Extracted oleoresins; concentrates of essential oils in fats, fixed oils, waxes and the like, ...",33,74,42,46,72,47,62,52,57,26,,17704,10858,8297,6892,7696,16670,12781,12318,5392,7083,,3886,4043,5861,3071,2780,3687,3683,4127,4361,4524
853661,Lamp holders for a voltage <= 1.000 V,0,0,15,25,3,0,21,2,5,26,,2718,2519,3106,3701,3461,3890,4546,3669,2740,2113,,4254,3565,3322,3371,3293,2992,2928,2950,2993,3467
852692,Radio remote control apparatus,0,1,0,0,20,12,0,0,0,25,,12840,30142,30473,19022,7551,10799,10881,16615,14189,13821,,20661,17255,21936,20954,15783,19256,31008,44798,41215,43626
841899,"Parts of refrigerating or freezing equipment and heat pumps, n.e.s.",62,68,12,3,7,4,214,9,25,25,,95144,80856,89516,85860,96827,99289,87212,81165,76081,83576,,24252,27297,31293,26544,26873,25638,34793,30083,38718,41447
710510,"Dust and powder of diamonds, incl. synthetic diamonds",0,0,0,9,0,0,0,0,0,25,,286,1101,77,185,143,371,662,409,329,1031,,10131,13603,10727,10123,8983,9564,9377,5821,8249,9226
847350,"Parts and accessories equally suitable for use with two or more typewriters, word-processing ...",300,174,267,1050,94,73,21,19,2,25,,64430,38963,42366,49870,122634,38837,21698,14368,7773,11050,,61461,53482,58115,82315,337334,80456,82285,73664,43729,45234
521141,"Plain woven fabrics of cotton, containing predominantly, but < 85% cotton by weight, mixed ...",19,0,0,6,0,9,0,0,0,25,,9,29,2,3,26,6,2,2,0,8,,217,120,84,82,116,43,54,34,17,57
842310,"Personal weighing machines, incl. baby scales; household scales",0,0,8,0,0,0,0,4,7,25,,3909,5077,8396,5776,4641,3569,5021,6869,4725,5005,,3779,3380,3794,4432,4216,4041,4143,6928,5916,6001
852910,"Aerials and aerial reflectors of all kinds; parts suitable for use therewith, n.e.s.",36,69,27,148,45,174,40,89,157,25,,87850,53464,46445,44836,41122,56544,48441,47578,39053,52970,,59252,59187,106637,66510,68049,66591,60134,61257,73048,92271
903281,Hydraulic or pneumatic regulating or controlling instruments and apparatus (excluding manostats ...,45,251,238,15,73,311,85,103,143,25,,70047,103690,118155,84972,36325,13498,12082,11090,11502,9863,,9005,11399,12534,13712,10895,9772,9113,8354,8051,7520
340211,"Anionic organic surface-active agents, whether or not put up for retail sale (excluding soap)",34,52,27,48,28,33,50,28,23,24,,6362,8526,11119,9701,8919,7218,9525,9734,8144,11519,,25028,25575,34830,34993,45458,50328,69135,46844,62036,77691
853939,"Discharge lamps (excluding flourescent, hot cathode lamps, mercury or sodium vapour lamps, ...",33,85,22,27,61,23,124,30,30,24,,10996,14298,9058,8289,6849,6490,7101,6124,5239,5191,,27979,18349,15886,14385,19230,21899,23889,20072,14917,13462
210220,Inactive yeasts; other dead single-cell micro-organisms (excluding packaged as medicaments),0,26,18,35,38,46,12,31,23,24,,403,270,153,285,323,339,259,546,581,494,,6026,5374,8242,7261,7782,6789,7479,8050,10387,11700
850432,"Transformers, having a power handling capacity > 1 kVA but <= 16 kVA (excluding liquid dielectric ...",33,12,68,63,19,82,0,0,121,24,,12604,29236,8827,7523,4375,4810,6375,3641,3760,4194,,1862,1440,2050,1858,2898,1613,2256,2037,3320,3114
853921,Tungsten halogen filament lamps (excluding sealed beam lamp units),10,5,16,2,2,0,4,12,0,24,,10355,11465,14384,10942,10094,11341,10784,5659,9247,6906,,37171,37205,42741,39959,39133,39526,43402,36221,34763,47308
711311,"Articles of jewellery and parts thereof, of silver, whether or not plated or clad with other ...",0,2,6,3,5,6,10,0,8,24,,28917,20307,60702,71171,71009,45087,13315,15373,21839,15074,,21176,25814,45044,47413,45269,41538,37667,37423,37768,39415
853221,"Fixed electrical capacitors, tantalum (excluding power capacitors)",328,62,66,151,96,18,84,15,1,23,,39422,33302,23873,20149,23245,21728,60634,35280,36033,51257,,199157,137792,133542,144990,151854,177604,211083,163679,192501,277870
853223,"Fixed electrical capacitors, ceramic dielectric, single layer (excluding power capacitors)",15,6,41,152,51,39,52,19,24,23,,175009,167246,185291,62948,59016,66836,96627,64493,54658,47535,,12655,14564,11708,6678,6958,7854,10431,7489,7600,9584
844839,"Parts and accessories of machines of heading 8445, n.e.s.",384,13,197,358,670,947,588,614,296,23,,19612,25069,24391,16953,14631,22184,14666,18836,21988,28664,,21442,20721,21754,18001,18817,14647,13844,13829,8480,8759
842490,"Parts of fire extinguishers, spray guns and similar appliances, steam or sand blasting machines ...",210,67,39,54,68,95,159,95,23,23,,51843,65101,66560,57889,55560,45055,46067,43612,42194,48790,,35462,31624,28667,27683,26724,28211,29359,28380,28169,35593
400510,"Rubber, unvulcanised, compounded with carbon black or silica, in primary forms or in plates, ...",89,44,45,48,45,0,323,223,114,22,,7309,6321,14627,14737,17147,26093,18384,14095,16073,18204,,16440,2261,3408,4638,3994,2524,2807,3152,20768,13618
392640,"Statuettes and other ornamental articles, of plastics",38,33,10,2,13,20,20,24,0,22,,4812,3404,3285,2607,1551,3785,3555,1627,1652,2446,,13650,13839,17336,22075,17818,11983,9341,8950,11010,11935
940161,"Upholstered seats, with wooden frames (excluding convertible into beds)",52,1,27,0,22,42,117,42,10,22,,3263,7460,3723,3387,2805,2644,3664,2331,1435,1751,,37176,43973,44728,44745,45856,51199,57091,60465,57930,70062
330119,"Essential oils of citrus fruit, whether or not terpeneless, incl. concretes and absolutes (excluding ...",0,0,6,14,0,28,28,14,19,22,,1468,1220,1935,1896,2142,2717,4161,2774,2240,2838,,1336,1689,1204,1409,2049,2070,2220,1941,1547,1357
820420,"Interchangeable spanner sockets, with or without handles, of base metal",5,17,21,17,25,30,28,5,10,21,,1464,1698,2139,2589,3030,2708,2768,2468,1396,2240,,2978,3350,4040,2150,2338,2139,2813,3757,7306,8466
620343,"Men's or boys' trousers, bib and brace overalls, breeches and shorts of synthetic fibres (excluding ...",0,3,6,0,2,19,0,6,0,21,,8534,5841,6440,8137,6781,12299,11004,11137,10823,10800,,28817,26698,29444,35016,37584,39314,43942,47611,50907,53542
291811,"Lactic acid, its salts and esters (excluding inorganic or organic compounds of mercury)",0,0,0,0,0,4,36,29,29,21,,4120,2542,2286,2026,1154,1001,1377,1874,2016,1578,,5527,5394,5929,6972,7773,7534,6825,6214,7305,9853
721899,Semi-finished products of stainless steel (excluding of rectangular [other than square] cr ...,0,0,0,0,4,8,10,22,29,21,,4445,6810,10802,5874,4181,4645,7141,4858,3201,5491,,32330,43148,64834,31098,28006,49010,44569,25166,20244,66286
731010,"Tanks, casks, drums, cans, boxes and similar containers, of iron or steel, for any material, ...",0,4,22,0,25,21,7,7,1,21,,15102,10738,13054,16599,17436,17350,22323,23304,24836,24957,,12070,8853,9606,8081,7811,9497,8952,7714,9789,14423
711419,"Articles of goldsmiths' or silversmiths' wares or parts thereof, of precious metal other than ...",19,2,11,12,0,2,0,5,7,21,,334,976,2116,500,1103,629,3732,5114,1028,4397,,8543,7731,5254,5248,4583,18241,16313,5772,84810,157498
731990,"Knitting needles, bodkins, crochet hooks, embroidery stilettos and similar articles, for use ...",13,17,1,12,10,57,28,29,20,21,,6818,5961,6988,6112,5364,7201,5786,4456,2446,2563,,1161,622,563,625,413,599,553,615,598,656
