Product code,Product label,United States of America's imports from Russian Federation-Value in 2012,United States of America's imports from Russian Federation-Value in 2013,United States of America's imports from Russian Federation-Value in 2014,United States of America's imports from Russian Federation-Value in 2015,United States of America's imports from Russian Federation-Value in 2016,United States of America's imports from Russian Federation-Value in 2017,United States of America's imports from Russian Federation-Value in 2018,United States of America's imports from Russian Federation-Value in 2019,United States of America's imports from Russian Federation-Value in 2020,United States of America's imports from Russian Federation-Value in 2021,Russian Federation's exports to world- ,Russian Federation's exports to world-Value in 2012,Russian Federation's exports to world-Value in 2013,Russian Federation's exports to world-Value in 2014,Russian Federation's exports to world-Value in 2015,Russian Federation's exports to world-Value in 2016,Russian Federation's exports to world-Value in 2017,Russian Federation's exports to world-Value in 2018,Russian Federation's exports to world-Value in 2019,Russian Federation's exports to world-Value in 2020,Russian Federation's exports to world-Value in 2021,United States of America's imports from world- ,United States of America's imports from world-Value in 2012,United States of America's imports from world-Value in 2013,United States of America's imports from world-Value in 2014,United States of America's imports from world-Value in 2015,United States of America's imports from world-Value in 2016,United States of America's imports from world-Value in 2017,United States of America's imports from world-Value in 2018,United States of America's imports from world-Value in 2019,United States of America's imports from world-Value in 2020,United States of America's imports from world-Value in 2021
760120,Unwrought aluminium alloys,387448,360739,361865,462075,388583,509315,265544,310564,202274,460132,,1961162,2100064,2112002,2283458,2046337,2455331,2028781,1493269,1320676,2989431,,3908613,3581029,4414172,4473257,4139684,4973139,5754464,4976575,3369353,6323767
310210,"Urea, whether or not in aqueous solution (excluding that in pellet or similar forms, or in ...",227427,112755,162266,173474,31807,69146,145801,166904,152891,439065,,1897755,1733434,1603325,1285054,1137202,1279917,1582445,1643184,1516685,2489986,,3355213,2616918,2977335,2649994,1749174,1515984,1599322,1450606,1189482,2570329
310420,"Potassium chloride for use as fertiliser (excluding that in tablets or similar forms, or in ...",175148,234616,246879,297092,107777,164177,155742,200908,196919,397835,,3591204,2137881,2656594,2872015,1831783,2110631,2005024,2314287,1756407,3296125,,3528540,3445324,3030838,3330281,2098051,2553786,2786227,2893931,2562613,3893082
441233,"Plywood consisting solely of sheets of wood <= 6 mm thick, with at least one outer ply of non-coniferous ...",0,0,0,0,0,0,58648,188989,194503,369408,,0,0,0,0,593,1056107,1304947,1104328,1098211,1834822,,0,0,0,0,0,0,365774,1173905,1276894,1912624
310280,Mixtures of urea and ammonium nitrate in aqueous or ammoniacal solution (excluding those in ...,193066,352293,346200,282164,173577,160929,212205,286505,158881,283924,,349713,407876,399994,318753,257858,229527,345740,372543,198963,572791,,971013,1001322,861552,792263,500201,454012,471329,547182,384725,724794
710239,"Diamonds, worked, but not mounted or set (excluding industrial diamonds)",93143,118905,115935,86478,49875,46049,283756,292800,187794,268984,,885774,768000,689787,490580,482338,430209,564773,447757,332773,404345,,19657088,23009278,24611853,23603753,23532415,22072839,23802214,19826647,12204519,19726612
720221,"Ferro-silicon, containing by weight > 55% of silicon",139956,123570,130118,115571,59699,126323,160830,107946,89217,235156,,558901,509652,543939,475495,397874,320100,555232,445535,347713,624485,,309149,287203,352540,293896,243997,266164,310705,252127,231354,412326
930630,"Cartridges for smooth-barrelled shotguns, revolvers and pistols and cartridges for riveting ...",103650,132592,134208,105835,147304,115633,76130,53656,119921,169032,,2167,1605,3052,0,0,0,0,0,0,0,,434028,641400,691300,597462,716283,486294,427012,336713,568292,977283
841210,Reaction engines other than turbojets,76826,86956,107389,163819,167875,231255,227325,125019,1369,162657,,168052,139382,108646,212497,207894,291951,287967,185338,7630,183654,,95977,103500,176821,212015,209034,274940,280044,183974,58079,286675
710691,"Silver, incl. silver plated with gold or platinum, unwrought (excluding silver in powder form)",6015,9292,199,284,0,2731,1237,456,88405,143939,,991547,747245,472724,440855,267713,422034,457457,313715,419829,741962,,5626853,4562786,3505923,3501566,3935002,3297128,3040504,2993541,5021818,5581727
999999,Commodities not elsewhere specified,140134,177106,98081,295172,155479,221821,202986,243624,105416,132864,,12711257,13208165,11646991,55364811,45239262,52887528,63746027,55265424,39315738,73343877,,66845964,70909074,74146769,85172167,86433304,91009856,101589851,113637933,102515588,120573133
720249,"Ferro-chromium, containing by weight <= 4% of carbon",78837,77407,91091,86801,37520,47650,61092,40588,41240,122544,,486561,480822,518792,340417,332802,331420,284451,319935,171656,177759,,150847,147768,165081,154019,137868,142647,195410,129152,93361,226115
810890,"Articles of titanium, n.e.s.",130952,142959,109011,104400,113526,132445,129737,164718,115134,98443,,495953,483853,435303,427957,418712,477372,565026,585107,373539,275722,,290705,317108,317309,335166,345389,394659,388293,460321,355330,276395
711029,Palladium in semi-manufactured forms,92443,116030,133327,84590,136887,106550,92851,77089,67595,96129,,406,422,530,507,2066,3358,838,1050,283,674,,275555,349613,361804,229558,279245,322715,409388,578208,1074254,1232595
711590,"Articles of precious metal or of metal clad with precious metal, n.e.s.",158267,121662,157909,953,3,6242,19743,21789,65982,93438,,1105492,1114812,1397501,601041,27022,36658,39151,47077,51610,129737,,946814,1156877,1182236,1567258,1674670,741244,1032094,1610412,26319643,9785545
780110,"Unwrought lead, refined",8902,12419,41048,21059,24494,35972,17245,13052,22550,92344,,136013,139532,142929,132624,187010,225828,190930,128327,143949,222785,,351051,684476,927348,788788,818131,1220402,1017903,822909,589073,1098875
750210,"Nickel, not alloyed, unwrought",283774,142344,216498,110813,93279,122508,123664,150819,79385,84511,,3616122,3509001,3717120,2317412,1606591,1360799,1723263,1835907,1859215,787799,,2008369,1636856,2127944,1416173,983764,1271311,1495637,1285099,1189868,1393353
283526,"Phosphates of calcium (excluding calcium hydrogenorthophosphate """"dicalcium phosphate"""")""""",0,22545,18466,12806,13210,6753,28858,54332,46137,72993,,111125,122760,104800,118231,118098,120163,129837,141637,130528,200735,,55196,74931,86228,80617,99536,79885,94998,100340,112831,144164
740811,"Wire of refined copper, with a maximum cross-sectional dimension of > 6 mm",0,40547,0,0,0,0,0,0,0,72363,,2947786,2933818,2622852,1173813,784641,859113,1026846,843082,841937,1903280,,1050346,1046488,1045825,771962,707549,836964,1168946,1148502,974606,1796703
730429,"Casing and tubing, seamless, of iron or steel, of a kind used in drilling for oil or gas (excluding ...",72791,25005,57556,61550,44063,94657,170270,130389,18130,63258,,307653,263159,350028,179784,140729,225115,383649,362190,182354,258069,,2902155,2218627,2710108,1803297,757680,1767709,1976229,1364453,521615,1333258
760110,"Aluminium, not alloyed, unwrought",273255,72177,363220,193818,888489,1047657,579710,143956,44947,62464,,4372859,4032722,3139741,3646592,2941809,3009086,3319005,3147661,2898201,4003172,,2853105,2894340,2889434,2854853,4039318,5972398,4603766,3976626,3595704,5214799
722490,Semi-finished products of alloy steel other than stainless,7666,19643,28731,18980,20454,27078,29127,64471,98001,61794,,237170,271733,362186,250610,226572,360991,426203,280362,183412,597228,,228879,377815,794506,652163,614235,792797,1222071,1484204,800177,1436120
711011,"Platinum, unwrought or in powder form",19615,6055,28520,57249,20348,45635,53916,14173,52850,61257,,97445,61358,43627,207871,530403,699507,674251,612171,667869,704591,,1948596,1597384,1807582,1233836,1050490,1364892,1387315,907510,1133458,1866273
760511,"Wire of non-alloy aluminium, with a maximum cross-sectional dimension of > 7 mm (excluding ...",4351,26392,27801,11592,12646,37708,11629,46343,48100,60869,,205081,225562,260085,253360,267748,338997,228429,261459,308729,486633,,496116,412274,412866,362225,457199,632702,560747,478121,532438,716180
750300,"Waste and scrap, of nickel (excluding ingots or other similar unwrought shapes, of remelted ...",598,263,1420,810,2405,13193,27236,47363,30785,59108,,1042,782,2395,1385,775,715,1896,3849,4636,6410,,211430,151509,219814,176309,146356,218800,324067,334128,183829,224587
230400,"Oilcake and other solid residues, whether or not ground or in the form of pellets, resulting ...",0,0,0,0,0,0,0,0,0,57787,,16283,126540,315915,218087,201645,142158,206366,194504,235072,488248,,69797,90351,168927,150405,161665,158512,239439,314695,363941,434104
310540,"Ammonium dihydrogenorthophosphate """"monoammonium phosphate"""", whether or not mixed with diammonium ...""",89829,93660,134369,148904,134660,118907,271000,181027,65082,56895,,1005708,991777,897451,901347,680332,750366,966891,771406,682879,1562680,,289466,354640,479299,300203,334422,407460,770263,718003,365378,717176
720310,"Ferrous products obtained by direct reduction of iron ore, in lumps, pellets or similar forms",9820,12012,78937,5400,20160,33008,55124,22990,10703,55799,,739331,732955,690229,450170,377224,671557,1045856,1063136,925999,1591614,,1001118,825099,905636,520553,360040,604747,675962,620999,448170,865796
730629,"Casing and tubing of a kind used in drilling for oil or gas, welded, of flat-rolled products ...",29427,14627,8693,6380,856,16318,72059,61959,14959,53940,,20816,13828,8752,4791,945,22627,71688,40096,13765,62547,,1931581,1594666,1942875,923112,284701,1289984,952027,904872,369355,749277
270111,"Anthracite, whether or not pulverised, non-agglomerated",2948,0,0,0,913,4903,5466,13565,34697,51241,,1369956,1220723,1228624,1253846,839175,1613303,2397860,2354846,1639880,2068857,,40598,29450,22137,22441,10061,11824,21984,28671,46161,72201
441012,"Oriented strand board """"OSB"""", of wood""""",0,0,0,0,18,946,1361,0,1025,49246,,4210,2133,4552,8298,13859,25018,67446,61783,73538,220846,,793273,1126689,936332,947652,1236236,1458690,1653748,1091720,1745010,4096566
401110,"New pneumatic tyres, of rubber, of a kind used for motor cars, incl. station wagons and racing ...",44686,51436,68118,84423,64965,58326,60979,49590,42638,43421,,564935,701060,625518,635951,714789,745404,745368,706948,657023,796916,,7766860,8250764,8113907,8024235,7588516,7711584,8110683,8394340,7353764,8507632
440712,"Fir """"Abies spp."""" and spruce """"Picea spp."""" sawn or chipped lengthwise, sliced or peeled, ...""",0,0,0,0,0,0,4651,15510,25924,39893,,0,0,0,0,109,1289655,1601758,1717598,1583551,2476603,,0,0,0,0,0,0,130117,463179,901015,1387931
310230,"Ammonium nitrate, whether or not in aqueous solution (excluding that in pellet or similar forms, ...",3719,0,8,9619,3627,7046,38499,34403,17000,39242,,1000166,968532,962005,759377,589498,633164,686800,728568,625383,1171625,,256671,197059,185599,145110,88616,67313,116564,108825,55846,100162
400219,"Styrene-butadiene rubber """"SBR""""; carboxylated styrene-butadiene rubber """"XSBR"""", in primary ...""",7389,10927,15728,11638,16654,24569,19218,40057,20798,38661,,361703,288960,204116,192206,190659,288480,269376,239338,246581,441122,,736412,582416,678122,565037,555586,666939,694743,729910,521400,760821
880330,"Parts of aeroplanes or helicopters, n.e.s. (excluding those for gliders)",45723,75640,77116,79619,74454,74831,71820,99838,81106,38266,,8483,12451,16294,0,0,0,0,0,0,0,,12106270,13234073,15261785,14589061,14602368,14495816,17058732,18234050,12262392,10308209
854470,"Optical fibre cables made up of individually sheathed fibres, whether or not containing electric ...",836,796,920,656,562,1232,4686,8773,23719,36739,,5130,8126,8708,10500,18130,29505,44152,39775,51301,77913,,646718,762028,746777,829992,974439,1193721,1243796,1024786,1039288,1820168
30471,"Frozen fillets of cod """"Gadus morhua, Gadus ogac, Gadus macrocephalus""""""""",25929,36098,30356,31595,31306,29304,29488,24958,19810,34202,,55069,131231,204512,125135,112362,217009,138791,156507,175718,239473,,262533,267008,314667,342119,358408,402916,441856,425019,383401,415248
810520,Cobalt mattes and other intermediate products of cobalt metallurgy; unwrought cobalt; cobalt ...,27111,22732,27300,23812,15624,19043,36219,42253,23638,33893,,89892,83793,94085,75469,74662,61411,214612,109815,82064,74050,,291634,253534,305111,307335,298381,485024,657038,478798,296021,336729
280300,"Carbon (carbon blacks and other forms of carbon, n.e.s.)",9402,6218,25015,32951,16248,11684,11707,32715,23590,33190,,589257,610355,598875,359671,294265,465629,680663,688998,438106,677814,,299058,298340,358975,296270,225882,255339,283965,303707,241136,326784
720230,Ferro-silico-manganese,8813,0,668,54,21,23047,11764,177,11215,32849,,10647,2915,6838,4425,15695,63638,84551,50666,34513,123547,,448737,382339,528281,342248,223023,443447,542277,452394,295161,485917
210500,"Ice cream and other edible ice, whether or not containing cocoa",110,105,123,132,98,212,328,1767,8193,31766,,38387,41224,39611,30664,38186,48654,47124,53034,57014,85375,,71903,54927,55557,55227,65680,66903,86847,83905,139281,262423
760612,"Plates, sheets and strip, of aluminium alloys, of a thickness of > 0,2 mm, square or rectangular ...",38625,38506,35068,40926,34535,35526,55071,44299,54845,30912,,214541,197878,224063,223240,240881,321640,366609,348983,323285,333393,,1858098,1834661,2094562,2572792,2400085,3119456,3673993,3879448,2282682,3270843
740311,"Copper, refined, in the form of cathodes and sections of cathodes",0,1463,2846,1257,0,0,0,7,563,29186,,1851523,1554128,1896120,2816502,2357308,3418741,4042457,4031353,4529008,3693017,,4938343,5447509,4238172,3794402,3367855,4956746,4928905,4000546,4099974,8454893
811221,Unwrought chromium; chromium powders,10525,5566,2923,1944,4701,10034,16851,28536,22808,28900,,153365,90189,126688,97200,111086,124887,181665,139123,101613,168113,,45779,41361,62509,62243,55501,64068,100697,127283,80290,92534
720241,"Ferro-chromium, containing by weight > 4% of carbon",40930,19959,24832,34849,7218,57886,59593,18069,25560,27806,,231987,195518,156465,92892,73841,214726,162311,145025,138217,259542,,537256,480338,755501,453117,472011,898519,760381,467892,381423,633587
711041,"Iridium, osmium and ruthenium, unwrought or in powder form",0,59,639,72,57,1152,4244,415,7878,27358,,8702,6299,4069,3260,3708,10762,11183,8891,34462,45803,,74402,81382,53399,29615,35788,70616,169558,127778,185204,505170
880320,"Under-carriages and parts thereof, for aircraft, n.e.s.",48620,77669,97098,113508,109937,113456,79201,85644,58970,26865,,1368,725,7981,0,0,0,0,0,0,0,,1217946,1440768,1682427,1752845,1715584,1613558,1711835,1890459,1477437,1313729
284440,"Radioactive elements, isotopes and compounds, and alloys and dispersions, incl. cermets, ceramic ...",36235,34958,29260,17725,14937,12701,18561,21722,20603,25002,,67508,75885,74319,61855,73993,90828,83707,92427,78583,0,,287615,385555,502886,496745,559644,573840,586464,635815,607088,705068
854511,"Electrodes of graphite or other carbon, for electric furnaces",31877,23909,26519,28545,29905,24611,51148,30035,17157,24618,,153130,116921,98666,93706,94498,137355,323458,219725,83477,119942,,432780,255761,293925,240720,148019,235048,640860,487562,194296,214901
400260,"Isoprene rubber """"IR"""", in primary forms or in plates, sheets or strip""""",83313,65605,29901,63010,47529,63030,62983,32884,13948,24328,,846420,707341,493631,366182,354651,492527,413715,385981,294818,449591,,115128,90220,53678,77931,68857,81938,79151,47560,29837,46979
720211,"Ferro-manganese, containing by weight > 2% of carbon",0,0,0,0,1629,6522,28221,23101,23956,24165,,57801,62202,46643,10853,10162,34345,68867,75757,49568,80416,,330432,262399,250258,159450,94793,252428,333250,218513,119136,298503
400239,"Halo-isobutene-isoprene rubber """"CIIR"""" or """"BIIR"""", in primary forms or in plates, sheets ...""",22624,67537,76738,22507,20581,12153,15658,18967,13485,24102,,387510,447064,407812,285777,253700,273524,323471,335486,245672,308217,,184279,203739,190456,113464,92498,80779,86238,129089,102303,127968
120190,"Soya beans, whether or not broken (excluding seed for sowing)",0,39,299,3207,4850,958,2596,12492,40260,22525,,35134,26136,23671,118827,132722,167096,291406,276842,414955,402677,,246310,750715,1152202,486075,367356,389741,300485,237257,237143,381748
110900,"Wheat gluten, whether or not dried",10466,10780,8413,7320,15435,10709,11635,20863,13303,22480,,12481,13783,32401,44119,48778,40312,55710,52641,68419,77029,,271389,367624,386484,346299,372910,373391,422665,399058,327527,421340
760711,"Aluminium foil, not backed, rolled but not further worked, of a thickness of <= 0,2 mm (excluding ...",126,50,6081,23237,29772,43101,44784,62001,49304,22305,,92852,107435,102323,64266,42651,57712,46964,66643,59027,34823,,464996,481930,567681,600110,598375,673652,826561,817511,720318,916541
220860,Vodka,60586,29992,25671,22753,20186,18936,18279,22516,16076,21377,,207573,234775,218338,116125,121598,135649,149888,161469,149333,167828,,1885617,1794385,1647038,1619646,1638050,1470954,1557424,1490679,1374567,1456784
901390,"Parts and accessories for liquid crystal devices """"LCD"""", lasers and other appliances and ...""",5189,7201,5580,8742,14802,14529,17434,16711,13923,19896,,22818,31836,24343,76770,104626,152975,138106,93124,74629,112230,,365465,355195,339716,312486,308260,331487,360505,358872,332678,403966
441231,"Plywood consisting solely of sheets of wood <= 6 mm thick, with at least one outer ply of tropical ...",5499,6318,6296,9047,12162,12669,15932,18650,6075,18970,,0,34,32,46,1,93,151,28,52,9,,294628,286770,265684,325032,277895,305675,549240,367533,338502,657883
284590,"Non-radioactive isotopes; inorganic or organic compounds of such isotopes, whether or not ...""",15034,21244,12059,21046,19589,14520,14643,19906,22082,18898,,27579,34867,21230,0,0,0,0,0,0,0,,44627,49550,48856,72037,61945,61967,83747,115327,92885,103921
851110,Sparking plugs of a kind used for spark-ignition or compression-ignition internal combustion ...,1787,2798,2919,1306,1435,1965,1752,814,2428,18823,,22209,26418,35537,24572,21996,34837,36829,36460,43539,88246,,461840,503291,535755,502569,472683,486049,499229,503343,481127,567812
760429,"Bars, rods and solid profiles, of aluminium alloys, n.e.s.",23297,21119,26195,24137,15478,23705,26495,21090,15777,18675,,167851,166096,189216,171278,168081,208751,226672,175969,175127,270646,,379398,394678,442855,471909,487049,645366,675143,546479,533739,787316
283325,Sulphates of copper,7706,9132,11129,16411,8207,10429,6994,7575,14149,18542,,96625,92403,99765,91028,76877,71700,70987,73460,85869,127549,,94322,87551,99926,96392,82262,114551,96331,96021,97895,118959
720917,"Flat-rolled products of iron or non-alloy steel, of a width of >= 600 mm, in coils, simply ...""",0,0,19381,18114,0,92416,13381,6311,412,18332,,408910,394475,421005,297287,246907,406729,339030,214357,169202,335852,,223134,226806,454181,343425,325249,485744,393108,262691,179277,551080
841950,"Heat-exchange units (excluding instantaneous heaters, storage water heaters, boilers and equipment ...",29825,21442,29217,28956,23978,25000,32724,37526,22201,18248,,126217,184874,179258,272535,138222,419366,434933,309500,331547,289193,,772961,744698,893442,1169702,1234139,1340807,1347659,1441648,1128839,1232873
860719,"Axles, for electrical purposes, and wheels and parts thereof for railway or tramway locomotives ...",4593,2142,7630,38181,14514,28181,31398,17212,10309,18075,,261614,183909,151196,116195,101473,152038,162128,179145,165072,193258,,428484,439136,578571,791594,365673,340024,420112,395118,288373,288224
310530,"Diammonium hydrogenorthophosphate """"diammonium phosphate"""" (excluding that in tablets or similar ...""",24037,14130,20238,73851,57206,59810,121182,124477,52934,17928,,688411,436687,289127,479756,410886,341726,534065,544253,433349,665953,,52541,74640,232228,290471,212872,286029,491014,458326,309211,854859
720292,Ferro-vanadium,0,0,2290,2958,3869,19673,14270,5020,328,16955,,31517,30352,20244,14318,18192,35177,38068,31351,11161,29627,,107963,91040,99441,66408,47541,100692,264263,181139,56776,102008
810411,"Unwrought magnesium, containing >= 99,8% by weight of magnesium",2849,3868,8029,6260,5006,14600,9233,13302,18573,16616,,11155,7958,11530,9651,7496,14428,11742,13934,23524,24181,,71267,62448,66771,57246,49026,54008,47728,70006,73779,56257
310290,Mineral or chemical nitrogen fertilisers (excluding urea; ammonium sulphate; ammonium nitrate; ...,0,1125,3418,13443,10982,16204,33232,24425,27322,16523,,187,95,247,137,142,14,20,46,44,324,,35705,54209,51423,52788,63090,67825,86015,86933,89813,153411
940360,"Wooden furniture (excluding for offices, kitchens and bedrooms, and seats)",11341,10048,13544,8562,9296,11253,11709,8974,11935,15620,,82232,81368,90561,63561,73853,94470,107302,120425,124595,174345,,4883438,5141660,5528452,5974370,5961843,6402139,6911085,6541231,6729023,8589939
400231,"Isobutylene isoprene rubber """"IIR"""", in primary forms or in plates, sheets or strip""""",32450,38270,31558,33491,19117,29727,28402,31478,21337,14949,,309205,324501,262427,173365,179421,206957,232079,191589,181856,192882,,90319,86604,80643,66414,46266,53536,51961,50682,34555,31804
390461,"Polytetrafluoroethylene, in primary forms",10775,11347,12440,6100,6210,7413,24552,12498,12157,14399,,58103,51514,38289,24844,23323,46884,77619,36790,43414,64112,,166708,146626,176058,170575,158877,161211,201675,175706,134513,179494
401120,"New pneumatic tyres, of rubber, of a kind used for buses and lorries (excluding typres with ...",3,2,79,52,0,128,3568,16637,11920,14344,,360440,360951,304431,211402,265860,310215,349887,350536,329438,398638,,4318411,4170089,4568257,4410636,4164016,4311347,4747328,4792756,4467190,5807888
310221,"Ammonium sulphate (excluding that in pellet or similar forms, or in packages with a gross weight ...",686,0,0,0,1435,5903,8869,13507,13666,13646,,159063,122092,82882,77245,62832,62042,48370,47418,45955,80346,,74905,91428,128169,113426,98422,82657,81672,108533,178434,232304
440711,"Pine """"Pinus spp."""" sawn or chipped lengthwise, sliced or peeled, whether or not planed, sanded ...""",0,0,0,0,0,0,508,6032,5913,13156,,0,0,0,0,1410,2036261,2169531,2030060,1892960,2586755,,0,0,0,0,0,0,186427,650644,690625,910912
720916,"Flat-rolled products of iron or non-alloy steel, of a width of >= 600 mm, in coils, simply ...""",0,127,39499,32171,0,125709,46509,6279,3669,12743,,278831,345014,371772,246201,165280,280097,223353,168650,130408,206272,,426375,341323,818732,593868,466330,655027,521704,355929,216581,554660
293190,Separate chemically defined organo-inorganic compounds (excluding organo-sulphur compounds ...,11182,7059,9985,10029,8776,11912,11284,8501,10128,12615,,13855,12036,15028,12845,12854,18757,17989,16330,19322,22344,,797099,1167489,1029973,877336,865252,853694,923310,676815,517901,676448
400220,"Butadiene rubber """"BR"""", in primary forms or in plates, sheets or strip""""",511,3565,6042,5458,11567,23786,22656,18891,9841,12597,,669509,524494,367089,271067,273758,427968,411640,365357,241239,416811,,218172,118211,173565,127955,138388,159726,153787,135352,92858,120528
731210,"Stranded wire, ropes and cables, of iron or steel (excluding electrically insulated products ...",4,0,0,3,0,0,0,80,3590,12058,,60486,57665,52193,47760,49430,59676,73240,64160,61257,98405,,954118,966299,973011,910924,785569,845649,1027391,1032646,789734,1098773
260112,Agglomerated iron ores and concentrates (excluding roasted iron pyrites),0,0,10,0,0,6499,19063,52445,10793,11937,,1080827,976576,1000100,475786,436509,1134506,1288423,1564798,1213693,2304743,,642070,302091,599280,414808,187812,277224,328461,436539,599708,1108082
811292,"Unwrought niobium """"columbium"""", gallium, indium, vanadium and germanium; powders and waste ...""",3075,3009,1014,1576,2297,4787,6164,12642,16209,11862,,6739,9095,6736,6088,8973,15214,18894,23645,25304,23096,,287616,252769,290908,223366,207805,226112,247336,202915,140663,145300
281410,Anhydrous ammonia,341247,255130,116098,200227,19384,0,0,0,0,11750,,1494197,1581047,1565281,1320495,828173,723498,1135309,1114020,839811,1668267,,3780792,3547483,2777872,2564506,1567271,1174116,1038098,737800,678149,1398320
340420,"Poly""""oxyethylene"""" [polyethylene glycol] waxes""""",4,32,62,0,0,0,0,0,4017,11538,,15,20,13,4,47,566,3599,7643,20936,37425,,23649,25436,28627,32516,25728,20139,26577,31305,35941,40622
330749,"Preparations for perfuming or deodorising rooms, incl. odoriferous preparations used during ...",0,0,0,0,0,0,0,16,0,10578,,16147,19227,20828,18004,17149,21364,21425,24530,24545,44064,,255737,325367,292257,255658,268709,279015,324119,348032,371818,453638
250300,"Sulphur of all kinds (excluding sublimed sulphur, precipitated sulphur and colloidal sulphur)",0,0,0,13742,4556,19995,70795,37095,37846,10542,,569648,302989,445368,344985,196737,220520,330628,272465,160140,255140,,259932,228365,148248,159444,86297,118055,213919,139338,131161,306260
841191,"Parts of turbojets or turbopropellers, n.e.s.",99,89,41,170,343,400,932,5373,42426,10212,,217995,246093,199700,188259,165509,246139,306910,298518,214152,218295,,10363016,11273825,12132580,12584051,12180613,13619339,14280649,15566416,9390307,9624664
940390,"Parts of furniture, n.e.s. (excluding of seats and medical, surgical, dental or veterinary ...",2520,3529,2536,1568,1044,734,938,970,8949,10172,,53448,54976,67006,56477,57278,76104,90804,96978,97773,125625,,2244779,2349478,2612504,2859693,3229759,3503732,3904476,3397303,3478850,4157606
