Product code,Product label,"China's imports from Taipei, Chinese-Value in 2012","China's imports from Taipei, Chinese-Value in 2013","China's imports from Taipei, Chinese-Value in 2014","China's imports from Taipei, Chinese-Value in 2015","China's imports from Taipei, Chinese-Value in 2016","China's imports from Taipei, Chinese-Value in 2017","China's imports from Taipei, Chinese-Value in 2018","China's imports from Taipei, Chinese-Value in 2019","China's imports from Taipei, Chinese-Value in 2020","China's imports from Taipei, Chinese-Value in 2021","Taipei, Chinese's exports to world- ","Taipei, Chinese's exports to world-Value in 2012","Taipei, Chinese's exports to world-Value in 2013","Taipei, Chinese's exports to world-Value in 2014","Taipei, Chinese's exports to world-Value in 2015","Taipei, Chinese's exports to world-Value in 2016","Taipei, Chinese's exports to world-Value in 2017","Taipei, Chinese's exports to world-Value in 2018","Taipei, Chinese's exports to world-Value in 2019","Taipei, Chinese's exports to world-Value in 2020","Taipei, Chinese's exports to world-Value in 2021",China's imports from world- ,China's imports from world-Value in 2012,China's imports from world-Value in 2013,China's imports from world-Value in 2014,China's imports from world-Value in 2015,China's imports from world-Value in 2016,China's imports from world-Value in 2017,China's imports from world-Value in 2018,China's imports from world-Value in 2019,China's imports from world-Value in 2020,China's imports from world-Value in 2021
900190,"Lenses, prisms, mirrors and other optical elements, of any material, unmounted (excluding such ...",512051,540666,561738,489730,454319,425511,518512,583820,693606,795848,,317142,298085,283393,249296,245456,281647,280335,333351,329354,344633,,3825307,3635110,3857336,3270407,2324439,2290467,2423039,2423090,2414153,2733830
852990,"Parts suitable for use solely or principally with flat panel display modules, transmission ...",823177,835858,827626,659836,687467,678871,742347,588008,578610,775987,,864143,835223,1417700,2707637,5765368,6929297,6391577,5195345,5348401,6922292,,7188997,7260790,7870049,7166856,9078942,11988359,11936518,11351178,13855266,15791199
900120,Sheets and plates of polarising material,1425105,1206090,1123348,948334,824905,819641,832632,800962,859976,767729,,1674689,1651748,1542681,1189277,1050160,1069472,994311,979217,1135614,1368868,,4015328,3640077,3502426,3176892,3238061,4003754,4311661,4364699,4396621,4064636
741021,"Refined copper foil, backed, of a thickness """"excluding any backing"""" of <= 0,15 mm (excluding ...""",485267,508436,490363,432419,443716,580226,625984,704991,750036,736266,,698158,759133,765267,688115,730513,915211,941719,970107,1002505,1190522,,1330091,1262172,1303007,1124603,1073823,1234756,1245570,1359771,1451164,1495349
848620,Machines and apparatus for the manufacture of semiconductor devices or of electronic integrated ...,135097,97087,101269,79860,88618,186930,270404,265279,572537,733117,,290562,430447,247515,269806,369808,921011,888122,1068687,1106574,1998520,,2723618,2607613,4441029,4495484,5255877,6297901,11244936,10429743,13663292,19222066
390130,"Ethylene-vinyl acetate copolymers, in primary forms",354594,308244,331410,314545,318973,364107,400935,428759,395012,673422,,496114,460509,478478,439890,467495,525085,638032,671596,569035,1143878,,1186041,942243,1349377,1395147,1395086,1568769,1560682,1685183,1623371,2497675
290531,"Ethylene glycol """"ethanediol""""""""",1218554,1341582,1323757,1097735,821283,1162771,1182316,781026,590548,666261,,1257992,1395906,1389118,1099380,853967,1235503,1252756,832134,646016,889550,,8137964,8679601,7892120,7100661,4873893,7387208,9082380,5971806,4901069,5132104
847150,"Processing units for automatic data-processing machines, whether or not containing in the same ...",90547,85352,210123,144414,125953,262641,332493,311434,483904,586428,,141881,179445,250868,258541,355450,570170,1137932,3440803,4773131,4968172,,1919152,2362308,2826089,2456526,2506007,2346999,2444217,1828919,2005144,2855683
700600,"Sheets or profiles of glass, whether or not having an absorbent, reflecting or non-reflecting ...",713545,509499,492598,515771,630946,608392,562224,495720,608211,575745,,1016074,722179,639250,645228,767384,659378,644862,525836,654837,677563,,1349188,1079656,954562,860216,1165425,1173448,1080120,1006039,1098356,1260415
903180,"Instruments, appliances and machines for measuring or checking, not elsewhere specified in ...",99152,110910,153672,214790,320501,261020,438833,418533,439887,545487,,148099,146502,264539,285792,416033,345012,340500,313888,327199,483655,,4033678,3944040,4618099,4262550,4669969,4605602,5670356,5734158,5685034,6431699
382499,"Chemical products and preparations of the chemical or allied industries, incl. those consisting ...",0,0,0,0,0,629485,519087,356050,454224,544727,,0,0,0,0,0,852052,913075,768975,760682,996590,,0,0,0,0,0,6080289,6202408,5677307,6511671,7561917
852351,"Solid-state, non-volatile data storage devices for recording data from an external source [flash ...",978601,783107,768476,1198439,891453,634715,525260,547272,495547,525128,,4123894,4630283,5523050,4784327,4850499,5076171,6404239,7197136,8866269,10272270,,2256279,1658508,1766998,2281588,1844918,1598432,1545533,1478624,1566065,1653393
390730,"Epoxide resins, in primary forms",277410,271539,294636,247692,224094,284680,325332,345252,417733,511217,,596853,619474,632493,578825,464673,565145,677052,659126,681639,1141750,,863722,805945,889332,795172,776662,917179,989624,995154,1255093,1349355
853340,"Electrical variable resistors, incl. rheostats and potentiometers (excluding wirewound variable ...",59046,62325,66465,64418,64386,67124,72067,80501,230992,508365,,165393,175486,177095,160602,160605,198751,227368,209197,239100,319288,,687029,740985,783390,765315,791581,735143,800755,730237,1881955,1657394
740400,"Waste and scrap, of copper (excluding ingots or other similar unwrought shapes, of remelted ...",17598,25805,30504,26936,21160,46508,195715,296612,254815,495036,,228796,204116,206673,183478,176815,289144,364977,374996,409168,639946,,14840883,13732988,10913497,8450144,6182737,9152484,9370722,7478913,4535923,11421536
847989,"Machines and mechanical appliances, n.e.s.",360478,379475,406576,305479,291332,577135,595129,451924,489183,494472,,739621,639352,602997,561314,542396,699909,774121,678237,703675,767295,,6516450,6034424,6969823,6132252,6577054,8645564,9273758,8578715,8341837,8774627
848690,Parts and accessories for machines and apparatus of a kind used solely or principally for the ...,84978,118738,131851,96143,121216,288489,426088,417518,370469,486417,,375306,430743,538692,515211,750482,949003,1268345,1265667,1526325,1837047,,816067,1191557,1240300,1368265,1635505,2702801,3711484,4482745,6401428,6535759
381800,"Chemical elements and compounds doped for use in electronics, in the form of discs, wafers, ...",661724,507044,475212,349423,315088,388509,549693,559859,476176,474957,,998783,1087341,1290700,1284055,1147897,1145357,1278153,1142348,1175146,1475320,,1634701,1166212,1192619,1032086,1109251,1340573,1872720,2103836,2233424,2543258
290122,"Propene """"propylene""""""""",548447,662528,1017306,546684,490854,561841,563249,606024,228322,460003,,664645,683083,1071625,536890,505866,527121,601488,535840,286384,626105,,2966220,3715618,4284386,2373721,2194272,2845268,3137777,2910650,2037391,2425454
847160,"Input or output units for automatic data-processing machines, whether or not containing storage ...",284750,497018,768102,712488,227918,152935,150295,351035,385687,448662,,281025,227343,297715,219616,436543,343800,389475,324308,328705,348602,,3458143,3580545,3799404,3171868,1949690,1447311,977300,1083047,1087595,1111653
850450,Inductors (excluding inductors for discharge lamps or tubes),217224,491384,615267,258723,190642,172319,178147,145605,157631,447220,,335147,319361,344541,339672,444052,477623,506980,424934,503202,682403,,3109174,3782063,3578989,2973574,2817303,2727370,2719111,2752253,2709725,3580392
848640,Machines and apparatus specified in Note?9 C to chapter 84,100654,100381,130039,156900,270637,425722,625816,630251,347427,417565,,91680,67674,109506,110864,170699,199244,256569,288653,216093,310422,,1444851,1449099,1889688,1927455,2250638,2907254,4647084,3445831,3755721,4921631
853690,"Electrical apparatus for switching electrical circuits, or for making connections to or in ...",300969,305537,354185,358577,356429,394184,404761,370335,387304,413621,,1104126,1159443,1011837,860210,794455,850459,853745,760466,778119,1052646,,7993983,8363404,9062124,8814924,8865881,9736922,9979021,9280817,9453312,10092382
846693,"Parts and accessories for machine tools for working metal by removing material, n.e.s.",299666,290482,406256,304833,293582,347618,356724,251129,300248,410848,,514232,452044,532513,498791,493698,622634,660335,514525,480911,711251,,786759,635745,850927,666812,598480,777111,837044,643155,688776,890463
392690,"Articles of plastics and articles of other materials of heading 3901 to 3914, n.e.s (excluding ...",244042,237155,246499,263510,259909,309233,336688,337781,364771,409091,,1785749,1700538,1806996,1789111,1751079,1720636,1649266,1598660,1697659,1964061,,2656171,2774770,2926291,2894040,2970283,3264273,3560528,3611100,3583469,3916096
700319,"Cast glass and rolled glass, in non-wired sheets, not otherwise worked (excluding glass coloured ...""",87445,368614,178935,289082,169050,293170,453274,466548,557553,406955,,235511,243387,193412,134999,72496,106443,110159,114813,112346,68210,,352650,983229,1177160,1225609,1547875,2161010,2718513,2753456,3060706,2680504
854110,Diodes (excluding photosensitive or light emitting diodes),356703,322064,378654,352842,341871,364637,374018,310569,344399,403966,,1018627,1040065,1101594,1171704,1208012,1128489,1094323,939437,956400,1183139,,3126160,3577720,4110056,3735266,3297990,3411530,3590566,3319635,3504163,4038631
848340,"Gears and gearing for machinery (excluding toothed wheels, chain sprockets and other transmission ...",152076,164719,196891,197379,175830,268619,372911,222329,319947,401975,,644886,658172,801859,745274,721008,995402,1368697,964232,1067195,1554675,,1869321,1845157,2056694,1629064,1290542,1614968,1904928,1638931,1685094,1927473
390230,"Propylene copolymers, in primary forms",276977,478052,480914,384030,356882,392511,487996,489371,470877,401533,,527284,704901,660941,533674,555185,623538,824990,682972,634402,758684,,1914908,2280725,2356596,2002131,1876375,1999005,2104257,2119622,2199094,2051715
854129,Transistors with a dissipation rate >= 1 W (excluding photosensitive transistors),209720,823417,950915,807460,413106,215976,277435,259813,327629,395086,,678281,587778,557425,456122,517557,574098,732764,709532,826088,972120,,3385736,5264662,5015931,4911059,4709921,4825179,5601842,5851489,6649241,7923929
903149,"Optical instruments, appliances and machines for measuring or checking, not elsewhere specified ...",166236,155585,195987,209506,241460,353711,436579,341029,349566,364659,,206618,177641,212041,206424,260756,345070,432091,427962,451737,573588,,1633112,1761820,2358401,2418238,2566662,3492137,4123124,3128343,3515547,3553269
854370,"Electrical machines and apparatus, having individual functions, n.e.s. in chapter 85",111448,93225,111941,110065,202817,183792,256564,278322,326543,362905,,379132,430150,260133,251274,240047,276778,249114,520913,649506,781105,,2482504,2625751,2683377,2912175,2886407,3130372,3699086,4098481,4363790,4454481
390319,"Polystyrene, in primary forms (excluding expansible)",527867,575827,488512,395332,336528,413482,466935,402321,353950,358689,,843322,948253,788926,611486,554528,662434,731327,626813,498573,658596,,1538717,1619860,1386135,1037514,878994,1043406,1501183,1505407,1379893,1438685
848299,"Parts of ball or roller bearings (excluding balls, needles and rollers), n.e.s.",8168,8617,8705,7283,8734,19357,21351,20356,201159,351227,,24668,28027,38695,31783,29271,37088,38827,32884,52185,81664,,384501,340820,354077,325766,324577,382840,396272,339478,515082,740141
390210,"Polypropylene, in primary forms",512568,528793,415143,328460,315321,377045,404479,337476,342982,339167,,471204,529345,407049,338420,325454,464379,511973,424449,393424,627263,,5801001,5595865,5821826,4439846,3523446,3843963,4191398,4044476,4542092,3707061
392062,"Plates, sheets, film, foil and strip, of non-cellular poly""""ethylene terephthalate"""", not ...""",454628,512744,468530,413431,329016,289541,289955,259627,309467,335760,,433942,466125,523745,472854,434563,413794,469301,450234,530638,651557,,2947166,3005014,2999226,2517972,2049507,2063302,2249258,2222885,2319636,2461884
390690,"Acrylic polymers, in primary forms (excluding poly""""methyl methacrylate"""")""""",176713,204025,223084,226096,214493,250477,317160,261792,257869,334444,,361153,465208,477515,402084,397610,474919,584706,487987,469037,635745,,1253808,1377812,1540799,1421770,1501820,1842857,2152071,1884594,1864167,2193347
291532,Vinyl acetate,170634,205531,182471,148996,143097,170334,207801,170084,126983,316470,,273165,225493,287062,202066,224056,286052,304569,251818,172049,448268,,254379,270969,199803,149792,161200,193351,256882,193506,186642,410207
901390,"Parts and accessories for liquid crystal devices """"LCD"""", lasers and other appliances and ...""",1108283,1206882,1137987,701900,360869,445437,406830,312471,382045,311361,,7981666,7573265,7589954,5941277,3461828,1293314,872205,712543,826706,1168586,,4720963,4754512,4799526,5057281,4589634,4541360,4160539,3923837,3485319,2266795
390799,"Saturated polyesters in primary forms (excluding polycarbonates, alkyd resins, poly""""ethylene ...""",270936,256842,246219,207439,206210,237462,239878,210206,232965,305961,,730507,757341,708651,569498,545532,702827,788968,662091,627872,1225572,,1016176,1088835,1137909,1032536,1077166,1209575,1270069,1206478,1231414,1493885
390410,"Poly""""vinyl chloride"""", in primary forms, not mixed with any other substances""""",389320,330647,276305,217374,188457,251213,236376,189610,229989,301992,,695896,786401,748882,696248,760253,1074114,1161301,1143422,1077034,1742811,,1098826,996878,895326,754332,680548,867874,807264,681616,899797,645959
850440,Static converters,143897,190915,451175,182694,150681,195093,217204,216392,256332,292776,,962241,967063,986908,923664,907896,938815,964531,1088818,1299650,1667392,,6267474,7495797,7393272,6591898,5919760,6179231,7292692,7106455,6965111,7355383
290321,"Vinyl chloride """"chloroethylene""""""""",183971,167695,190270,134133,114543,157825,155817,202002,154381,286578,,283192,252978,282090,247519,182543,188929,223410,223109,206228,368801,,459868,559757,574242,499146,505302,553322,567431,650240,588802,974222
290250,Styrene,450706,833064,749754,467755,483162,289673,512725,370936,253926,284246,,487781,844053,860255,517667,516834,299671,683486,384721,316712,416289,,4823230,6356593,5943206,4162925,3642719,4016372,3963593,3313160,2089974,1846862
854160,Mounted piezoelectric crystals,342043,333512,306976,299953,400262,307312,255980,216688,267035,282235,,13764,13268,24165,210715,564346,615186,585002,536813,697109,982874,,2690805,3015527,3298085,3083081,3801458,3532248,3351729,3197478,3393225,3567869
392099,"Plates, sheets, film, foil and strip, of non-cellular plastics, n.e.s., not reinforced, laminated, ...",203929,193160,186914,177104,164639,202428,204464,207887,239996,274352,,311776,271380,289960,261373,230681,285064,274647,270546,288564,341648,,1092603,1023731,1050999,1022506,1136429,1408140,1484777,1478440,1725118,1901710
900290,"Lenses, prisms, mirrors and other optical elements, mounted, of any material, being parts of ...",109842,289158,323541,325603,159930,253308,265445,267561,292584,267819,,46277,55409,57736,63703,90558,120307,131151,149706,160294,216872,,337144,541400,656002,745357,560036,756933,766790,896699,864318,936028
271019,"Medium oils and preparations, of petroleum or bituminous minerals, not containing biodiesel, ...",863394,720228,760496,391483,319000,401197,410173,369953,239149,267517,,17857579,18440537,15792613,9032858,7623629,8398969,10883311,10339758,5106760,7813938,,29566479,25827759,19555177,10372520,7651643,10310975,14230610,12799204,8312125,10342110
853890,"Parts suitable for use solely or principally with the apparatus of heading 8535, 8536 or 8537, ...",243419,212984,225653,178951,151429,159670,164100,212163,204902,262985,,517672,487128,525803,481171,495108,555329,562050,517586,539640,746378,,3992538,3977812,4206885,3560272,3447573,3935676,4405664,3975503,3922347,4344953
290723,"4,4'-Isopropylidenediphenol """"bisphenol A, diphenylolpropane"""" and its salts""""",300255,262989,201615,138469,64183,57955,136183,129004,150204,262733,,593033,491992,464776,349534,235294,229918,376906,295305,328888,677461,,902380,1020411,871606,627922,418177,536067,786094,745395,742454,1283830
370790,"Preparation of chemicals for photographic uses, incl. unmixed products put up in measured portions ...",18247,19044,14285,12925,12388,12963,13491,13936,196424,251920,,115339,127017,126611,126477,159284,191403,227956,279775,298955,315644,,810132,787708,681342,569330,532688,576016,545980,551652,1351629,1902587
900130,Contact lenses,12879,17037,18154,31627,46576,66384,90779,116698,162717,237569,,145868,173814,208175,242644,291175,362901,434757,444454,433065,533878,,81047,107639,121937,148406,215360,257932,321589,372819,390667,542192
854890,"Electrical parts of machinery or apparatus, not specified or included elsewhere in chapter ...",196797,79772,113101,99716,159093,188842,159610,132581,233576,232130,,190720,172350,169012,140415,138060,214829,210454,246808,184136,210303,,1018900,1043019,1524682,1765424,1866501,1935373,1993298,1746832,2314474,2127138
391990,"Self-adhesive plates, sheets, film, foil, tape, strip and other flat shapes, of plastics, whether ...",333206,288286,268188,205030,173480,182262,182527,158897,194586,231197,,887332,848040,803322,645085,591482,819329,875504,806811,667260,797822,,2395337,2696333,2579482,2411427,2243750,2368959,2452637,2409152,2452114,2625237
390120,"Polyethylene with a specific gravity of >= 0,94, in primary forms",229453,359346,318957,300288,253823,313681,373203,328970,259541,224626,,354720,474114,462121,416679,382847,410909,466676,386535,323271,393006,,5515638,6920522,7056718,6462534,5995952,7543532,8825888,8276263,7947367,6790049
720918,"Flat-rolled products of iron or non-alloy steel, of a width of >= 600 mm, in coils, simply ...""",295216,295000,287762,213887,162602,199721,191381,181487,134841,223509,,590264,528697,497701,322607,295768,363918,419529,371684,304429,528891,,946345,998818,869041,573671,416674,459879,477277,408348,332047,409125
350691,Adhesives based on polymers of heading 3901 to 3913 or on rubber (excluding products suitable ...,195690,172874,154730,166493,145931,166296,224835,252882,213982,222523,,324277,260071,271671,298697,262544,291614,350131,343941,284164,316940,,1533795,1514348,1550464,1489957,1529704,1761496,1803045,1780427,1779865,1825074
853710,"Boards, cabinets and similar combinations of apparatus for electric control or the distribution ...",132040,125578,129476,110308,107800,125302,118470,116009,169253,221871,,298280,319418,395382,377346,382927,451170,497308,448487,531493,863044,,3562317,3895334,4573370,4251295,4517629,4807920,5324795,5312209,6093482,5913440
845710,Machining centres for working metal,489852,358250,407461,313699,289381,340202,361062,204579,208216,221816,,1403744,1107965,1264923,1111634,1062312,1205321,1369773,1006522,700861,936213,,5651613,3336471,4336823,3294273,2744382,3390849,3463781,2135017,1851027,2454233
903141,Optical instruments and appliances for inspecting semiconductor wafers or devices or for inspecting ...,27554,18573,52210,53875,39431,74530,137590,91489,92872,221532,,32861,54591,43287,42671,85813,128242,118484,133175,146970,166780,,217531,329305,466982,306939,528881,769869,1497979,1498531,1695266,2353835
390320,"Styrene-acrylonitrile copolymers """"SAN"""", in primary forms""""",116995,115534,138153,122400,129172,189460,192969,188835,157463,214927,,159572,167091,190357,150190,162630,235161,242144,217762,179951,290568,,388531,359085,402388,321613,311669,448034,467838,438653,384686,500475
390720,"Polyethers, in primary forms (excluding polyacetals and goods of 3002 10)",426984,471616,347460,216659,121922,162444,162895,127905,108849,210152,,519602,554170,562955,409610,283842,404686,442245,343369,285483,763253,,1319050,1343719,1295071,1184224,1086622,1276863,1555725,1391186,1363248,1774694
722519,"Flat-rolled products of silicon-electrical steel, of a width of >= 600 mm, non-grain-oriented",128619,155808,140714,89735,94240,138285,140500,110151,106375,196846,,347562,364944,365910,283981,220445,333304,353778,359479,346883,714314,,434319,424202,412519,289343,279391,346577,344946,269974,243856,378539
854390,"Parts of electrical machines and apparatus, having individual functions, n.e.s. in chapter ...",38364,39891,48730,58747,106113,136820,184875,246751,246382,195555,,200607,201088,297583,342548,196095,156182,155945,169137,161391,156829,,804164,1109172,1010917,1071523,941884,1057610,1037372,1310300,1230413,1141175
390950,"Polyurethanes, in primary forms",152285,171847,153088,134369,137447,149957,154743,179000,149022,194156,,281372,329858,342955,293817,283049,314838,339856,372364,326376,418481,,534085,591431,607566,532678,601581,725013,793541,742061,715553,826892
390390,"Polymers of styrene, in primary forms (excluding polystyrene, styrene-acrylonitrile copolymers ...""",54989,49775,55707,46878,57281,77294,92462,99333,99183,185659,,93160,84201,80190,60565,69357,83138,94893,106445,123271,277915,,662380,704283,723751,611312,633124,744452,919401,952369,927065,1172451
848210,Ball bearings,22461,21987,23969,22693,20193,26527,25772,20325,147133,184726,,114984,109877,116698,109438,108737,127964,134905,115776,110212,155585,,1263807,1280487,1435215,1297825,1293878,1528331,1553464,1435217,1557253,1970572
848390,"Toothed wheels, chain sprockets and other transmission elements presented separately; parts ...",91029,106631,121406,121371,127325,166886,182972,145946,167567,183293,,230641,230692,241457,232961,242379,316447,328582,285767,315530,396488,,1365572,1480859,1710839,1663726,1609576,1936635,2125510,1873849,1831663,2006271
870829,"Parts and accessories of bodies for tractors, motor vehicles for the transport of ten or more ...""",92494,78374,78526,91384,91692,91719,87388,78322,120659,179110,,720644,758417,801785,817373,857485,1000021,991660,959568,899743,1142917,,4231913,4629021,5239452,4637800,4618573,4488505,4916772,4665851,5202477,5847774
854290,"Parts of electronic integrated circuits, n.e.s.",117385,133458,161094,134911,132798,173841,214711,294785,191766,176565,,122519,95815,88066,73029,74504,82906,95115,78153,79419,104303,,816092,856242,908494,801580,687662,774668,855363,886703,809451,1459041
320611,Pigments and preparations based on titanium dioxide of a kind used for colouring any material ...,154263,125006,155841,141794,110727,151689,157367,134895,129507,162888,,190238,295074,296275,267257,232735,256280,223514,186410,186292,284548,,560872,550272,615343,536474,505433,608902,634916,527145,504335,567198
