Product code,Product label,"India's imports from Taipei, Chinese-Value in 2012","India's imports from Taipei, Chinese-Value in 2013","India's imports from Taipei, Chinese-Value in 2014","India's imports from Taipei, Chinese-Value in 2015","India's imports from Taipei, Chinese-Value in 2016","India's imports from Taipei, Chinese-Value in 2017","India's imports from Taipei, Chinese-Value in 2018","India's imports from Taipei, Chinese-Value in 2019","India's imports from Taipei, Chinese-Value in 2020","India's imports from Taipei, Chinese-Value in 2021","Taipei, Chinese's exports to world- ","Taipei, Chinese's exports to world-Value in 2012","Taipei, Chinese's exports to world-Value in 2013","Taipei, Chinese's exports to world-Value in 2014","Taipei, Chinese's exports to world-Value in 2015","Taipei, Chinese's exports to world-Value in 2016","Taipei, Chinese's exports to world-Value in 2017","Taipei, Chinese's exports to world-Value in 2018","Taipei, Chinese's exports to world-Value in 2019","Taipei, Chinese's exports to world-Value in 2020","Taipei, Chinese's exports to world-Value in 2021",India's imports from world- ,India's imports from world-Value in 2012,India's imports from world-Value in 2013,India's imports from world-Value in 2014,India's imports from world-Value in 2015,India's imports from world-Value in 2016,India's imports from world-Value in 2017,India's imports from world-Value in 2018,India's imports from world-Value in 2019,India's imports from world-Value in 2020,India's imports from world-Value in 2021
390799,"Saturated polyesters in primary forms (excluding polycarbonates, alkyd resins, poly""""ethylene ...""",22778,23971,25857,18278,16286,23493,36917,24648,18794,41013,,730507,757341,708651,569498,545532,702827,788968,662091,627872,1225572,,153563,162173,178761,165943,153996,215916,303466,250339,160275,263459
270750,"Aromatic hydrocarbon mixtures of which >= 65% by volume, incl. losses, distils at 250¡ÆC by ...",0,0,1117,1406,664,4542,1103,14700,9054,40171,,32310,36058,70842,35086,15919,40342,25420,119700,29684,27222,,99732,94962,91472,88910,68964,164257,336136,274592,167293,346919
291735,Phthalic anhydride,9214,13171,9467,2746,13691,15122,22990,22027,22280,38989,,114589,105013,101572,47737,71195,85960,96603,85228,86009,117777,,61701,75054,84085,64547,72804,111739,159032,156835,97146,154530
290539,"Diols (excluding ethylene glycol """"ethanediol"""" and propylene glycol """"propane-1,2-diol"""")""""",3813,5455,7012,5685,6437,10717,12820,13875,15417,37310,,122817,115486,135145,96239,129776,291098,292684,220037,186793,641058,,45361,45393,52986,44523,45998,66718,77378,61306,57820,133459
290230,Toluene,387,35,3314,94,0,880,1,2459,12387,35119,,22473,78099,287986,202452,141652,194316,215895,232861,152116,240161,,337112,384298,330781,248597,251008,297377,340235,306456,300460,451966
290512,"Propan-1-ol """"propyl alcohol"""" and propan-2-ol """"isopropyl alcohol""""""""",12874,9561,13982,16266,11400,17327,18570,12895,20874,32847,,106457,104545,107897,70570,62301,93075,106306,76381,105937,127615,,58112,79355,86305,69943,72405,108088,133060,125519,207070,170702
851769,"Apparatus for the transmission or reception of voice, images or other data, incl. apparatus ...",16443,21904,31004,33278,42678,46145,44919,30971,23208,32795,,446324,359699,354500,417322,469949,600185,575419,791730,757167,854973,,966227,773666,885435,1057056,1262358,1368533,1044114,961005,489694,382505
852580,"Television cameras, digital cameras and video camera recorders",20463,37959,43236,42778,52012,54860,100206,73081,36674,32228,,1778120,1928112,1437715,1350992,1177300,1124577,1147273,1123967,1055785,1268773,,584542,514576,533376,708808,620721,903858,1562320,2083423,1840909,1764570
853690,"Electrical apparatus for switching electrical circuits, or for making connections to or in ...",5302,5931,6128,7276,7266,8685,8182,5091,14640,31392,,1104126,1159443,1011837,860210,794455,850459,853745,760466,778119,1052646,,351880,330137,351340,369388,395489,466988,631099,606997,559724,807158
291714,Maleic anhydride,14070,24434,30084,22931,15241,17159,16625,14714,14250,30547,,58353,80564,92078,57333,45547,85433,95363,58824,60159,126580,,60902,65924,67434,50317,44352,58397,87591,69230,51918,129075
292610,Acrylonitrile,5150,6863,5338,634,7795,36549,13356,9616,12502,30347,,284611,304999,346356,245782,184071,235697,408299,326259,181032,336355,,153069,169137,207443,187301,157406,220081,361566,276654,194627,360323
291521,Acetic acid,14495,78332,68497,33174,10304,3508,5889,22754,45898,29957,,32464,128869,179170,120355,73566,97900,180095,106167,121149,272180,,311982,331761,383900,340012,258502,371628,655657,400545,332501,920941
852990,"Parts suitable for use solely or principally with flat panel display modules, transmission ...",15437,11187,9089,15753,12395,15467,5888,17076,9911,28962,,864143,835223,1417700,2707637,5765368,6929297,6391577,5195345,5348401,6922292,,981782,1033925,1071586,1092561,1291374,1401143,1218039,1407069,1675853,2808602
392099,"Plates, sheets, film, foil and strip, of non-cellular plastics, n.e.s., not reinforced, laminated, ...",2032,3277,4452,4258,5251,3878,3523,2389,13190,28133,,311776,271380,289960,261373,230681,285064,274647,270546,288564,341648,,88855,96405,103349,119175,142238,156743,436175,424663,356985,645457
390130,"Ethylene-vinyl acetate copolymers, in primary forms",35347,16260,5157,4308,7892,7537,7651,4160,5542,26888,,496114,460509,478478,439890,467495,525085,638032,671596,569035,1143878,,210479,192328,261318,236622,231915,262390,290678,296639,267626,456876
845710,Machining centres for working metal,27913,13913,19172,22081,23405,31584,47881,44347,16358,26562,,1403744,1107965,1264923,1111634,1062312,1205321,1369773,1006522,700861,936213,,352259,160722,235188,178380,188321,205632,465263,400961,243341,335291
847989,"Machines and mechanical appliances, n.e.s.",16118,22200,21078,23459,21063,21477,29568,28669,9694,24441,,739621,639352,602997,561314,542396,699909,774121,678237,703675,767295,,884745,912343,750696,734773,748000,761348,1245827,1251942,1025424,1227482
291739,"Aromatic polycarboxylic acids, their anhydrides, halides, peroxides, peroxyacids and their ...",3904,5372,17992,10416,17721,24505,11667,12922,14301,24286,,26058,89119,206790,193013,220192,402100,284416,219076,214231,300303,,109811,114074,108083,103667,159420,200857,161312,121766,88553,137072
293211,Tetrahydrofuran,18014,15215,20108,22068,16952,26370,19604,20406,17431,23783,,70895,109364,79742,65558,45265,55842,57683,33713,49836,168108,,61942,48228,57228,50098,38404,56382,47730,56566,52967,86628
380899,Rodenticides and other plant protection products put up for retail sale or as preparations ...,4993,10310,15711,10499,6855,15786,18927,16969,23339,22719,,8405,8928,11446,8678,1774,2010,1408,2089,4023,4824,,251262,270385,350181,254113,336863,522012,604098,588557,600595,639314
590210,"Tyre cord fabric of high-tenacity yarn of nylon or other polyamides, whether or not dipped ...",81015,75397,71733,57102,44368,41987,41384,31728,16364,21925,,205682,184031,173630,149607,127280,135112,125451,110080,82736,103132,,273757,232681,237733,181768,155309,185659,227308,184492,119326,250245
390769,"Poly""""ethylene terephthalate"""", in primary forms, having a viscosity number of < 78 ml/g""""",0,0,0,0,0,8431,10900,7325,17942,21853,,0,0,0,0,0,90238,236361,173312,102783,152105,,0,0,0,0,0,103733,230005,257506,105668,136176
390791,"Unsaturated polyallyl esters and other polyesters, in primary forms (excluding polycarbonates, ...""",14853,21499,17142,7853,9013,15938,14641,10536,13535,21426,,240546,268086,259614,233205,212142,208994,195199,159906,125667,182191,,78580,70015,59364,53354,53235,88166,83728,80916,70434,128961
291412,"Butanone """"methyl ethyl ketone""""""""",14138,20091,31269,16121,12216,22377,27221,3984,6183,21245,,51639,48265,75975,41954,35298,46400,57954,12054,22405,47173,,46139,35745,49448,39148,25989,43710,65331,28691,41972,54317
480640,"Glassine and other glazed transparent or translucent papers, in rolls of a width > 36 cm or ...",8358,9724,11838,13129,19553,22602,16732,27292,15714,21045,,75521,75409,87158,84365,89726,97635,110719,112440,108372,110190,,21575,23533,27878,39409,47720,54265,60556,62272,52276,73367
730810,"Bridges and bridge-sections, of iron or steel",274,0,0,0,0,6,0,0,0,20750,,1219,353,378,6147,548,503,400,1332,3439,10936,,6084,16508,8525,6675,7270,332,2383,838,20536,71701
848340,"Gears and gearing for machinery (excluding toothed wheels, chain sprockets and other transmission ...",5655,5444,6803,6739,7830,11619,21618,12984,10589,20325,,644886,658172,801859,745274,721008,995402,1368697,964232,1067195,1554675,,283843,296942,309257,301641,348193,289931,351326,354755,281125,438783
390730,"Epoxide resins, in primary forms",5267,8951,13248,17609,11133,10644,9172,9961,6059,19794,,596853,619474,632493,578825,464673,565145,677052,659126,681639,1141750,,141295,151663,142281,151041,153811,161077,158426,170822,132669,256375
290250,Styrene,322,4582,0,2,5,6,27919,8268,547,19287,,487781,844053,860255,517667,516834,299671,683486,384721,316712,416289,,875954,963685,1008246,757252,775823,937421,1158098,880635,558533,1065778
320730,"Liquid lustres and similar preparations of the kind used in the ceramic, enamelling or glass ...",0,0,3,15,0,485,3554,1481,12167,18544,,505237,271750,364732,421618,490521,353858,285847,239535,407712,462078,,1668,2898,1216,498,1931,15040,26022,36348,34771,45940
400219,"Styrene-butadiene rubber """"SBR""""; carboxylated styrene-butadiene rubber """"XSBR"""", in primary ...""",53755,24021,16409,12861,10450,12633,12925,14052,9467,17946,,666907,575487,461958,372638,353179,454553,502229,474447,386137,466602,,609597,463567,479076,271696,218916,270632,245438,178138,166532,352538
903040,"Instruments and apparatus for measuring or checking electrical quantities, specifically for ...",796,564,288,1612,1444,808,1256,8236,22022,17211,,39461,40729,46038,34488,42491,47984,43549,77980,155363,193563,,88871,98467,103189,157462,136884,139021,176180,211273,208179,225650
847780,"Machinery for working rubber or plastics or for the manufacture of products from these materials, ...",19030,25635,11906,19136,17225,31395,30593,24524,13413,16938,,342119,378357,370282,321806,289041,363946,345960,302090,247846,254370,,319922,269993,208166,238480,399724,393094,360176,605188,304235,544939
390761,"Poly""""ethylene terephthalate"""", in primary forms, having a viscosity number of >= 78 ml/g""""",0,0,0,0,0,4165,2062,4862,12323,16840,,0,0,0,0,0,830630,1190380,934595,752414,1035025,,0,0,0,0,0,28618,52954,124234,79186,84871
292690,"Nitrile-function compounds (excluding acrylonitrile, 1-cyanoguanidine """"dicyandiamide"""", fenproporex ...""",10775,13109,9916,12280,10226,9416,13775,12374,10487,16587,,31217,34960,39229,28226,19441,19804,27703,34480,39279,47842,,118183,100906,105696,108185,96212,103030,179167,248325,240946,262043
731814,"Self-tapping screws, of iron or steel (excl. wood screws)",2828,2385,3161,2968,2777,3216,6191,5469,9848,16454,,360438,396231,423370,427848,409830,477893,570533,537881,627725,857593,,9688,10699,11566,12359,15868,18675,26629,24567,28730,48771
291422,Cyclohexanone and methylcyclohexanones,6938,15252,14039,9199,6801,13067,6559,22182,1876,16442,,108436,96497,125176,54852,64236,138926,158945,90901,34651,84297,,32915,47681,43919,31155,26773,36725,42301,44189,28250,56679
854110,Diodes (excluding photosensitive or light emitting diodes),6315,5544,6107,7840,7470,11450,10564,8507,10229,16160,,1018627,1040065,1101594,1171704,1208012,1128489,1094323,939437,956400,1183139,,157422,154598,155914,150421,146710,171008,221852,219749,195673,276103
390529,"Vinyl acetate copolymers, in primary forms (excluding in aqueous dispersion)",8600,15658,9865,5977,10073,12112,3089,5481,2029,15837,,51277,55009,50714,38970,49304,46412,43227,47955,43992,63374,,69698,68658,72502,68454,78440,87924,91323,107223,91329,139725
600632,"Dyed fabrics, knitted or crocheted, of synthetic fibres, of a width of > 30 cm (excluding ...""",6389,9247,6305,5745,6558,11210,10894,9132,7161,15123,,885109,942681,942659,1032709,993683,964607,1022756,995000,727084,943776,,87929,90119,96110,127435,166284,215550,151279,202250,171332,274434
847710,Injection-moulding machines for working rubber or plastics,24671,25959,17407,20386,13154,20971,19662,17199,6334,14995,,379044,296127,323351,290872,264435,278752,262022,201257,162550,187107,,161240,122073,120374,132302,109698,147786,191354,203883,100572,156405
291529,Salts of acetic acid (excluding inorganic or organic compounds of mercury),1942,3250,5241,3558,4231,8880,12898,6112,3560,14832,,9970,8661,10546,8328,8738,15751,18170,9778,8179,27196,,48541,65556,70807,53118,56141,72611,107997,87376,67318,72348
722100,"Bars and rods of stainless steel, hot-rolled, in irregularly wound coils",18040,15663,15595,17788,19779,14847,13366,13764,9534,14809,,305098,244888,278891,292705,274164,372028,376517,299591,263824,345881,,47622,34351,48818,38753,38726,56122,78659,68142,34763,73282
845320,"Machinery for making or repairing footwear of hides, skins or leather (excluding sewing machines)",4802,8908,3589,5729,2242,4717,7060,3417,4845,14606,,31693,37096,52958,68435,60210,47087,49632,61398,33353,47137,,29146,36081,26634,37319,29062,33499,43950,36925,28842,56554
540219,"High-tenacity filament yarn of nylon or other polyamides (excluding sewing thread, yarn put ...",13598,9116,9146,6724,6783,5043,5485,5703,8083,14600,,59128,53202,76007,50948,45057,50954,71817,65272,56481,83112,,72621,61718,53129,46742,50640,59024,66967,63800,55857,96809
390690,"Acrylic polymers, in primary forms (excluding poly""""methyl methacrylate"""")""""",11163,11793,21085,11890,10654,9427,10535,9198,7393,14511,,361153,465208,477515,402084,397610,474919,584706,487987,469037,635745,,205341,221929,277161,347384,402068,445603,549815,518733,421953,618220
392690,"Articles of plastics and articles of other materials of heading 3901 to 3914, n.e.s (excluding ...",14169,12096,17994,14624,14152,13774,14629,20120,21957,14133,,1785749,1700538,1806996,1789111,1751079,1720636,1649266,1598660,1697659,1964061,,597151,606904,677041,725967,806235,799922,811688,815578,820315,1106804
847170,Storage units for automatic data-processing machines,34189,13018,18625,14874,10571,13522,12513,9247,11697,13754,,1670752,1217667,985511,998526,932257,772659,711907,645158,731405,824544,,1027955,891844,904549,849530,757925,817221,797113,796444,616218,767721
850440,Static converters,6339,6565,6052,8797,11240,12726,15699,17738,16207,13748,,962241,967063,986908,923664,907896,938815,964531,1088818,1299650,1667392,,715316,759076,754667,857308,888393,1147820,1111870,1110998,1074591,1543172
950691,"Articles and equipment for general physical exercise, gymnastics or athletics",8595,8109,4146,5250,3721,3892,14748,11159,8226,13618,,628745,683464,760144,755507,789698,840818,898391,1054564,1423233,2404380,,53143,46811,39389,42153,42362,48514,132562,132921,140829,177957
270730,"Xylol """"xylenes"""" containing > 50% of xylenes (excluding chemically defined)""""",0,0,0,0,0,7367,19853,14419,12627,13565,,67057,60600,228290,134771,118535,136813,194809,170890,158180,183618,,43932,17653,28400,28401,43336,75517,86960,89126,54867,42752
854140,"Photosensitive semiconductor devices, incl. photovoltaic cells whether or not assembled in ...",87152,52856,48718,53984,56687,97146,111857,25694,13128,13314,,5619155,5849332,6778516,5929628,5082893,4412014,3115613,2058540,1833356,2609199,,871941,1069457,774775,2057994,3157081,4538222,2858611,2458558,1534176,4167365
851290,"Parts of electrical lighting or signalling equipment, windscreen wipers, defrosters and demisters ...",450,529,2332,5766,11557,16439,15510,12411,16414,13196,,88794,85500,95165,113105,110557,115170,148867,166558,155238,214424,,34650,29725,34664,36012,49794,80722,130916,159431,166894,203523
390120,"Polyethylene with a specific gravity of >= 0,94, in primary forms",3753,2715,10060,14839,11836,4304,2166,3312,22148,13132,,354720,474114,462121,416679,382847,410909,466676,386535,323271,393006,,581015,548093,808620,766805,726117,707632,828138,599820,567047,880543
290321,"Vinyl chloride """"chloroethylene""""""""",14431,9198,11901,14896,0,0,5929,5959,20,13007,,283192,252978,282090,247519,182543,188929,223410,223109,206228,368801,,262569,322481,276830,266487,236494,360701,364386,393675,358636,759026
847160,"Input or output units for automatic data-processing machines, whether or not containing storage ...",3573,2754,16290,11408,4622,14869,9052,10225,6940,12873,,281025,227343,297715,219616,436543,343800,389475,324308,328705,348602,,267726,171433,158464,154994,154222,207738,221760,214334,210339,318399
731815,"Threaded screws and bolts, of iron or steel, whether or not with their nuts and washers (excl. ...",8834,11268,13974,15997,18843,23123,23314,19067,11516,12611,,1993113,2015107,2204364,2114206,1918616,2195880,2481850,2290296,2017628,2610363,,276712,265107,292263,322605,331395,386599,452759,402683,268405,369172
294200,"Separate chemically defined organic compounds, n.e.s.",14827,22409,10705,21662,14960,8505,9965,11914,23393,12545,,145954,32535,38892,45327,42822,44922,38800,42813,46448,56929,,1107565,1064120,866843,909951,587631,392481,409729,524443,498098,500769
120999,"Seeds, fruits and spores, for sowing (excluding leguminous vegetables and sweetcorn, coffee, ...",706,457,911,1016,1959,358,4091,8132,7255,12539,,12830,15128,15098,14111,15896,17322,17263,21063,20966,24235,,3876,5463,4828,9707,10557,7911,7432,14431,11727,16809
844332,"Machines which only perform one of the functions of printing, copying or facsimile transmission, ...",3600,2769,2980,3330,3359,5569,6899,7007,6331,12170,,68034,96704,128978,133654,107493,127067,134465,129892,108443,138806,,253993,210084,199308,209193,177031,216011,229301,202663,129001,194270
844712,"Circular knitting machines, with cylinder diameter > 165 mm",1209,4387,3134,5064,4647,12455,7501,3115,3812,12053,,86400,81274,73225,73615,98492,92873,75233,59020,39091,83715,,14058,27240,27768,48000,43022,66163,51440,39980,22868,60586
390950,"Polyurethanes, in primary forms",6112,12233,9335,10534,8639,9615,10081,8693,7190,11989,,281372,329858,342955,293817,283049,314838,339856,372364,326376,418481,,95722,147016,176316,207023,234312,309539,347708,300787,247301,365175
848071,Injection or compression-type moulds for rubber or plastics,11220,15909,14267,15583,16595,15807,20924,16937,11906,11582,,155040,144855,142269,135624,136639,145339,148171,144701,140387,127373,,154795,151597,200934,281406,194681,242176,238183,365509,288802,351008
842230,"Machinery for filling, closing, sealing or labelling bottles, cans, boxes, bags or other containers; ...",7135,5499,4530,5138,13150,11905,12983,12999,13270,11332,,144653,156763,132218,135863,129326,125436,148806,147149,134403,144238,,168780,148166,163021,175318,233468,218191,252660,214972,218990,196216
848210,Ball bearings,7596,9173,9714,9537,10159,11308,13854,11427,10533,11287,,114984,109877,116698,109438,108737,127964,134905,115776,110212,155585,,323007,315467,373636,343538,348071,373302,497812,434874,342969,532604
391990,"Self-adhesive plates, sheets, film, foil, tape, strip and other flat shapes, of plastics, whether ...",4690,5875,6136,7111,7056,10331,10796,9051,8218,11131,,887332,848040,803322,645085,591482,819329,875504,806811,667260,797822,,198573,189192,217392,230991,242830,310590,395754,429187,324462,433116
350691,Adhesives based on polymers of heading 3901 to 3913 or on rubber (excluding products suitable ...,4780,4533,5232,7939,7183,7346,8397,6876,5829,10734,,324277,260071,271671,298697,262544,291614,350131,343941,284164,316940,,50423,54720,59154,63808,57449,73096,92494,97317,86744,136054
853229,"Fixed electrical capacitors (excluding tantalum, aluminium electrolytic, ceramic, paper, plastic ...",5114,4184,3243,2763,2534,2975,2888,2496,7916,10714,,176815,150685,136841,121877,212026,224854,213266,114797,113396,130665,,190489,180596,168442,186715,195303,218894,381386,417234,371890,471604
854233,Electronic integrated circuits as amplifiers,338,82,696,490,292,333,267,342,290,10510,,18390,27267,33897,53224,139657,74392,95749,53158,68736,62659,,10217,9894,12371,13417,22673,27018,62694,39184,43956,126610
290315,"Ethylene dichloride """"ISO"""" """"1,2 dichloroethane""""""""",0,0,0,0,0,1037,2612,3596,0,10385,,27483,20177,20179,5688,4330,41052,33701,41817,20182,103243,,108454,137454,214005,155114,129322,163665,176199,261410,204355,422133
848079,Moulds for rubber or plastics (other than injection or compression types),11539,14333,17484,12067,15752,10855,11914,11985,7481,9922,,127308,132986,138172,140084,115009,114050,97483,99267,87737,86271,,173795,207916,196308,208129,214741,216179,246101,264349,219078,232545
842199,"Parts of machinery and apparatus for filtering or purifying liquids or gases, n.e.s.",3414,4077,4605,4881,5263,5430,3879,3969,5826,9834,,216335,227144,241447,251952,272256,277406,306310,302422,325471,404904,,266936,266532,283321,291406,263406,293538,342499,380919,407171,493393
850450,Inductors (excluding inductors for discharge lamps or tubes),2041,2335,2261,4112,3263,3222,4107,5724,7561,9778,,335147,319361,344541,339672,444052,477623,506980,424934,503202,682403,,137809,116414,125138,107219,100039,114779,178120,265456,229632,303978
382200,"Diagnostic or laboratory reagents on a backing, prepared diagnostic or laboratory reagents ...",4649,5348,4495,5141,4456,6160,6995,6456,8715,9445,,247641,266003,254707,268779,283603,304119,341623,343411,418313,468743,,270426,309640,310641,328710,354699,412469,460632,523497,828444,844654
280920,"Phosphoric acid; polyphosphoric acids, whether or not chemically defined",4526,7001,6776,7662,8431,8498,8530,6518,7828,9421,,17517,17652,18177,19700,22007,23785,24361,22997,25102,25159,,1731628,1358178,1246672,1574746,1621444,1670788,1869057,1931623,1550092,2332850
310430,"Potassium sulphate (excluding that in tablets or similar forms, or in packages with a gross ...",6811,4534,5680,7008,3680,3691,3936,4260,9411,9372,,68202,72244,75827,88749,75941,72856,76749,73952,73788,88668,,26451,30474,38286,44264,22127,31892,20728,29078,28185,30718
400299,"Synthetic rubber and factice derived from oils, in primary forms or in plates, sheets or strip ...""",1823,2760,1574,2573,4625,6345,7815,7288,4448,9253,,118531,104725,132688,106509,118895,153475,168583,135541,167538,276218,,30643,27681,26953,26375,28625,39016,48156,43206,38533,64809
