Product code,Product label,"India's imports from Korea, Republic of-Value in 2012","India's imports from Korea, Republic of-Value in 2013","India's imports from Korea, Republic of-Value in 2014","India's imports from Korea, Republic of-Value in 2015","India's imports from Korea, Republic of-Value in 2016","India's imports from Korea, Republic of-Value in 2017","India's imports from Korea, Republic of-Value in 2018","India's imports from Korea, Republic of-Value in 2019","India's imports from Korea, Republic of-Value in 2020","India's imports from Korea, Republic of-Value in 2021","Korea, Republic of's exports to world- ","Korea, Republic of's exports to world-Value in 2012","Korea, Republic of's exports to world-Value in 2013","Korea, Republic of's exports to world-Value in 2014","Korea, Republic of's exports to world-Value in 2015","Korea, Republic of's exports to world-Value in 2016","Korea, Republic of's exports to world-Value in 2017","Korea, Republic of's exports to world-Value in 2018","Korea, Republic of's exports to world-Value in 2019","Korea, Republic of's exports to world-Value in 2020","Korea, Republic of's exports to world-Value in 2021",India's imports from world- ,India's imports from world-Value in 2012,India's imports from world-Value in 2013,India's imports from world-Value in 2014,India's imports from world-Value in 2015,India's imports from world-Value in 2016,India's imports from world-Value in 2017,India's imports from world-Value in 2018,India's imports from world-Value in 2019,India's imports from world-Value in 2020,India's imports from world-Value in 2021
890800,Vessels and other floating structures for breaking up,81698,253234,102490,103962,164509,248414,315105,89750,90265,177925,,124,851,10,8,278,10527,4408,517,243,44,,557999,1290544,838716,661006,747286,798741,933106,598462,619231,825339
721070,"Flat products of iron or non-alloy steel, of a width of >= 600 mm, hot-rolled or cold-rolled ...""",99553,102441,115772,102295,107911,142998,137449,146377,118472,174882,,1428488,1432964,1401330,1170703,1192787,1410876,1481002,1500594,1382398,2278136,,149904,160779,239198,307703,203604,427334,212963,231510,239198,293326
390130,"Ethylene-vinyl acetate copolymers, in primary forms",63580,70663,188844,115787,93786,110753,114855,128585,109641,172283,,530684,515584,1015185,909808,875794,1015860,1035588,1009699,995306,1738105,,210479,192328,261318,236622,231915,262390,290678,296639,267626,456876
790111,"Unwrought zinc, not alloyed, containing by weight >= 99,99% of zinc",31540,34185,50571,91661,259820,226744,277043,144674,134208,168597,,715586,670287,602608,708825,765916,925159,1061079,881017,912974,773047,,84261,71268,185349,177891,435157,321820,391083,277200,219840,278765
390330,"Acrylonitrile-butadiene-styrene copolymers """"ABS"""", in primary forms""""",85587,120686,116514,124141,117825,150806,178010,152547,98245,168212,,2544192,2677541,2557618,2133712,2072914,2684243,2793255,2244479,2051130,3011110,,120961,147793,154514,159010,153765,197514,243996,196865,133202,293798
390740,"Polycarbonates, in primary forms",12105,23872,40065,48481,41308,51077,111399,98671,80154,166284,,1177209,1290492,1342616,1386987,1368123,1572327,1778793,1386634,1453770,2346756,,321011,305753,318601,310096,317578,352401,513877,409211,316744,566229
854231,"Electronic integrated circuits as processors and controllers, whether or not combined with ...",105898,57816,30651,36371,43276,65463,83747,98199,108347,163554,,21228826,20702672,18514980,19887934,17066083,21362697,22100868,20681846,23516687,30406085,,1228689,993623,719650,755501,757057,936996,3911540,5313237,4408979,7523575
290250,Styrene,220,0,0,0,0,0,90008,171093,71909,153953,,1794125,2138734,2263537,1317937,1312076,1540976,1099604,635004,541951,784469,,875954,963685,1008246,757252,775823,937421,1158098,880635,558533,1065778
270750,"Aromatic hydrocarbon mixtures of which >= 65% by volume, incl. losses, distils at 250¡ÆC by ...",10638,24927,28096,10983,10350,62005,57428,66050,90851,148569,,414970,494628,575686,339949,333169,486687,475078,403306,344316,432923,,99732,94962,91472,88910,68964,164257,336136,274592,167293,346919
870829,"Parts and accessories of bodies for tractors, motor vehicles for the transport of ten or more ...""",43394,65586,77710,64380,68981,39800,38842,87215,123654,138148,,2385971,2690380,3156626,3089487,3126722,2449816,2534142,2483725,2020393,2356796,,298407,350204,345120,354167,350982,368588,408515,427334,392587,516374
721049,"Flat-rolled products of iron or non-alloy steel, of a width of >= 600 mm, hot-rolled or cold-rolled ...""",100385,129038,139446,118519,148219,198664,226319,183711,101011,134972,,2330835,2300627,2603172,2135154,2208324,2617305,2856305,2624904,1956300,2693177,,339128,288504,253862,230651,221543,273377,334951,279896,171324,279555
720917,"Flat-rolled products of iron or non-alloy steel, of a width of >= 600 mm, in coils, simply ...""",276130,236632,295921,189986,134489,78238,139415,137505,80382,134590,,2043101,1721115,1716186,1248093,1099807,1343917,1405054,1315438,1136114,1664499,,431795,340268,401674,289679,187092,110574,203981,184796,88639,148143
720421,"Waste and scrap of stainless steel (excluding radioactive, and waste and scrap of batteries ...",39700,44314,54342,85116,59092,97745,69471,70247,53391,134161,,187184,128243,200260,164591,140297,184707,161799,144481,113438,256433,,1016273,1005074,1165424,999030,784529,1098887,1440194,1629945,1323777,2233494
722530,"Flat-rolled products of alloy steel other than stainless, of a width of >= 600 mm, not further ...",9150,18270,15430,34371,42757,45793,58204,69687,37299,127519,,226533,154742,182977,233857,187743,271739,236050,304689,218803,382767,,343855,208742,374501,461612,259003,252760,144020,227825,133863,232995
400219,"Styrene-butadiene rubber """"SBR""""; carboxylated styrene-butadiene rubber """"XSBR"""", in primary ...""",225850,245077,265070,152768,104617,120508,107206,66332,59745,126392,,1593944,1305139,1149742,823648,816556,1092688,1073273,921805,701536,1119266,,609597,463567,479076,271696,218916,270632,245438,178138,166532,352538
722550,"Flat-rolled products of alloy steel other than stainless, of a width of >= 600 mm, not further ...""",23888,29865,77703,75372,55509,63135,68748,88015,79519,125465,,82004,161667,347758,397748,434985,469656,512998,452613,386160,584871,,76525,76692,112440,106203,81658,115751,109159,135625,101225,186970
848071,Injection or compression-type moulds for rubber or plastics,58592,55358,89274,158892,69524,79167,89947,178480,119671,123138,,1246779,1353993,1548066,1293151,1261133,1293402,1243994,1267662,1301489,1075496,,154795,151597,200934,281406,194681,242176,238183,365509,288802,351008
290723,"4,4'-Isopropylidenediphenol """"bisphenol A, diphenylolpropane"""" and its salts""""",9524,24537,28936,37588,35222,54217,83312,55341,31389,119357,,245800,437567,476025,329801,274546,362434,552867,421779,380831,774852,,41958,46489,52472,53446,51813,77517,128659,96712,73953,237716
720851,"Flat-rolled products of iron or non-alloy steel, of a width >= 600 mm, not in coils, simply ...",114367,82306,63109,102236,48106,204849,155786,130605,125248,109816,,2082970,1467912,1840437,1368737,1161627,1571645,1565607,1633557,1483342,1767813,,618645,329710,205518,407111,307352,371428,256421,243502,268505,190231
290230,Toluene,172749,114046,25754,7479,12354,19976,10900,30262,73519,106592,,1330594,1251643,799563,281595,315366,239234,272862,297403,201543,194979,,337112,384298,330781,248597,251008,297377,340235,306456,300460,451966
760612,"Plates, sheets and strip, of aluminium alloys, of a thickness of > 0,2 mm, square or rectangular ...",25232,33511,56117,63748,46603,52853,71036,51487,41639,102194,,982862,1078578,1196127,1224170,977325,1253736,1502967,1525444,1473878,2036694,,113707,129977,173292,200324,169950,201932,277144,227806,184344,314541
390730,"Epoxide resins, in primary forms",12551,13114,18801,25771,27034,35544,43211,42547,37951,97591,,557809,645485,683063,652505,614323,738539,885300,858517,847258,1641685,,141295,151663,142281,151041,153811,161077,158426,170822,132669,256375
890120,Tankers,86137,12047,71540,34816,70322,168635,41755,0,0,95586,,11746548,9810025,11922246,12760740,16323137,13148739,10861150,12384947,10250231,9618424,,93129,149837,134020,293900,534854,427294,242529,278564,199387,517168
390210,"Polypropylene, in primary forms",71725,72026,52371,45722,38925,58638,73009,73416,54508,92965,,1625108,1909446,2067064,1815847,1676346,2065274,2394340,2148725,1934103,2824435,,538774,578755,693897,647332,575399,701202,801428,785900,567698,1127056
392690,"Articles of plastics and articles of other materials of heading 3901 to 3914, n.e.s (excluding ...",55025,74104,65017,76186,76053,77378,68938,73082,86981,87333,,832796,888855,918481,959415,1123760,1236304,1382329,1313597,1341814,1502732,,597151,606904,677041,725967,806235,799922,811688,815578,820315,1106804
720837,"Flat-rolled products of iron or non-alloy steel, of a width of >= 600 mm, in coils, simply ...",52227,38880,48487,122056,64907,102904,149328,200082,65255,86112,,355084,243613,393680,327746,268508,343604,544156,526920,319484,643965,,178485,104129,68675,161441,88750,123839,187077,240327,69957,87966
903289,"Regulating or controlling instruments and apparatus (excluding hydraulic or pneumatic, manostats, ...",56422,62464,58989,73355,77517,75215,86012,117643,87581,85499,,548847,595585,681978,607443,838276,736285,802075,725393,702728,697847,,349173,353781,396320,432806,477390,536364,599976,624635,553969,639599
848180,"Appliances for pipes, boiler shells, tanks, vats or the like (excluding pressure-reducing ...""",41077,26216,37901,44312,45412,54226,57106,66909,65126,85253,,1456148,1299238,1159600,1331570,1192790,1039861,1135712,1099091,1021661,1043570,,816935,693055,711071,806606,1772601,722631,888758,961255,838926,1088112
840991,Parts suitable for use solely or principally with spark-ignition internal combustion piston ...,24695,31630,23102,26889,32127,25235,42645,54292,63242,83347,,1118574,1341762,1389537,1309271,1217012,1197443,1272251,1294301,954459,1254926,,274908,282641,257044,253253,304993,356993,423263,375379,327949,453277
820730,"Interchangeable tools for pressing, stamping or punching",25406,87980,89279,102771,61699,87740,120720,162900,118668,83079,,771173,789785,959716,951945,924128,992845,1109868,1020994,1101072,833162,,62293,142564,157193,230014,156274,197897,177479,236064,208581,204161
780110,"Unwrought lead, refined",49307,42989,64805,63250,83718,113866,132197,101143,93486,83023,,293727,315241,463054,402045,606554,659255,688679,573551,510227,534747,,222773,231556,245014,207544,219009,287869,298050,202521,188689,149849
390720,"Polyethers, in primary forms (excluding polyacetals and goods of 3002 10)",47398,78537,68455,51699,41796,48698,60522,55635,46888,81876,,901491,990534,1078817,860635,740035,782301,917776,885612,878218,1432086,,315017,379719,435205,405705,355993,404005,504946,485633,439961,892896
390931,"Poly""""methylene phenyl isocyanate"""" """"crude MDI, polymeric MDI"""", in primary forms""""",0,0,0,0,0,50221,98277,63245,32632,81679,,0,0,0,0,0,499625,539537,329495,371822,749567,,0,0,0,0,0,115331,230644,163329,134286,290918
840999,"Parts suitable for use solely or principally with compression-ignition internal combustion ...""",24344,38085,60402,78065,66799,73505,59086,61020,64386,81516,,1059662,1118919,1348498,1436157,1405816,1409264,1525882,1892220,1621161,1569849,,666905,502532,547557,491303,537214,676930,810200,663963,513285,858365
851220,Electrical lighting or visual signalling equipment for motor vehicles (excluding lamps of heading ...,8229,9716,10689,9627,10609,6990,18767,37107,64211,80560,,421750,561811,694002,717219,891425,836472,797938,785935,739125,843531,,66996,98371,122860,131901,125060,160640,171899,164854,152014,249503
292610,Acrylonitrile,0,6618,41149,36553,24737,47066,69683,72443,39225,79795,,363472,527194,513837,290355,248049,378598,425984,375327,236819,514087,,153069,169137,207443,187301,157406,220081,361566,276654,194627,360323
382200,"Diagnostic or laboratory reagents on a backing, prepared diagnostic or laboratory reagents ...",7486,13961,11497,13150,12040,11064,13447,15235,176269,78822,,153117,183125,216800,230823,269492,404757,422980,253454,2173694,2046666,,270426,309640,310641,328710,354699,412469,460632,523497,828444,844654
847989,"Machines and mechanical appliances, n.e.s.",88230,89188,77163,39455,45553,67978,169474,132382,75321,77950,,2885058,2913242,2735341,2971663,2873560,4006139,4403714,4265427,3103044,3450099,,884745,912343,750696,734773,748000,761348,1245827,1251942,1025424,1227482
293371,"6-Hexanelactam """"epsilon-caprolactam""""""""",1246,114,0,0,21818,56158,55588,57762,28811,77785,,81727,315,226,6332,50935,96066,81023,68614,52746,78372,,32627,57280,70789,69945,69234,103955,142567,112932,63909,143538
390529,"Vinyl acetate copolymers, in primary forms (excluding in aqueous dispersion)",706,1161,2402,1336,416,1888,22,877,30015,77009,,930,2840,7437,835,286,91,175,4014,58789,141217,,69698,68658,72502,68454,78440,87924,91323,107223,91329,139725
382499,"Chemical products and preparations of the chemical or allied industries, incl. those consisting ...",0,0,0,0,0,23882,50133,45530,47581,76076,,0,0,0,0,0,901492,1028200,1077812,1085519,1381089,,0,0,0,0,0,473909,674567,580899,612358,886058
400220,"Butadiene rubber """"BR"""", in primary forms or in plates, sheets or strip""""",67722,96599,73898,36208,38285,87014,102099,77165,52046,75450,,1146813,767901,696827,540073,509032,738935,632987,526215,422476,657347,,219778,191099,149039,98531,114067,186667,202432,158625,125549,232944
720839,"Flat-rolled products of iron or non-alloy steel, of a width of >= 600 mm, in coils, simply ...",90894,41593,55923,141609,83587,123189,185837,130029,63935,74216,,1605855,1151003,1233228,1054998,919101,1004388,911510,993040,1256458,1294579,,416124,344466,322216,674522,309715,405180,448177,323940,93129,97863
851762,"Machines for the reception, conversion and transmission or regeneration of voice, images or ...",26096,52065,481068,236453,38647,356221,163905,28565,23478,73343,,1119530,1008547,1182846,1366026,1031405,929446,969933,766826,923952,1003404,,1052223,1420245,2215590,2567716,2395682,3560150,5718568,3465704,3369367,3872730
790112,"Unwrought zinc, not alloyed, containing by weight < 99,99% of zinc",17585,19231,32792,28938,27238,44745,67280,81190,66233,73002,,114110,131568,180545,161230,217237,268745,302319,272340,249618,426670,,80658,59282,79965,59320,71069,105036,107355,103000,79361,106459
292910,Isocyanates,86253,56966,57894,41365,56973,98480,90101,28715,26192,72805,,743174,721644,664782,514308,679108,1218596,1276642,620057,510184,795891,,384880,354657,330161,245907,228957,326297,359178,214088,172778,290614
903180,"Instruments, appliances and machines for measuring or checking, not elsewhere specified in ...",15909,20393,22744,21356,32802,35818,72110,91380,60244,72533,,678290,815548,927050,1038905,1093344,1446489,1244358,1173697,929527,1044775,,538722,493167,518370,520021,549866,598351,791610,881376,788337,816128
391239,"Cellulose ethers, in primary forms (excluding carboxymethylcellulose and its salts)",6241,9574,11380,18692,17788,23242,29609,33377,50281,70385,,205718,186063,217830,202465,209864,230391,254301,266416,298894,334185,,131955,148769,163086,185551,179090,173424,190606,190863,228299,277685
280700,Sulphuric acid; oleum,20336,10307,14022,26321,13680,12616,29319,40830,22843,70270,,127062,60575,30308,49447,19868,32095,73189,103693,34111,113422,,91842,38805,30139,71339,41087,30256,81209,110787,59586,189604
720270,Ferro-molybdenum,9425,12849,11784,10189,5389,18697,31560,33078,37363,69051,,100675,94873,153332,147246,142743,208885,407709,426948,290234,544896,,20427,15111,26126,11642,9098,21900,40818,41999,40903,74423
340420,"Poly""""oxyethylene"""" [polyethylene glycol] waxes""""",47,2,1713,2696,4008,13665,27594,36127,23937,68258,,65084,63319,81145,59427,60868,104381,123704,121853,122912,228293,,5418,9410,7831,6862,6641,19157,31514,40136,29084,72496
720916,"Flat-rolled products of iron or non-alloy steel, of a width of >= 600 mm, in coils, simply ...""",119209,115585,124788,105029,59764,34679,73118,74167,32250,66872,,933940,908591,913656,651859,557918,697633,843054,784791,698110,1159370,,213102,223038,219828,201116,114803,85540,101484,111997,41103,83998
291413,"4-Methylpentan-2-one """"methyl isobutyl ketone""""""""",3560,9663,10907,12326,8765,14775,27699,16539,15240,66751,,8370,61490,61330,42299,36192,50130,52321,28029,25876,85159,,34713,39964,40325,39312,24870,39589,50148,27472,28602,85505
722511,"Flat-rolled products of silicon-electrical steel, of a width of >= 600 mm, grain-oriented",74081,83643,110322,83624,67516,66471,54583,56089,38932,64693,,327575,318743,307834,335641,271682,290259,262717,270400,249019,262942,,362494,333287,433001,511903,483472,438595,494987,410721,246768,360404
790120,Unwrought zinc alloys,8369,24196,42350,39681,44576,75264,88885,60520,33819,63349,,165544,182457,214225,258574,283713,413500,461961,338479,277417,432195,,18576,32344,72873,66759,56413,88612,105935,74519,38994,70685
730890,"Structures and parts of structures, of iron or steel, n.e.s. (excluding bridges and bridge-sections, ...",23931,38008,12262,22153,3907,36666,23998,24482,9081,63077,,2468938,2071810,2485499,3061331,3455792,4517527,2061303,1142800,883912,1365602,,440765,341361,349315,287885,277610,357107,384366,390369,254456,370641
390810,"Polyamides-6, -11, -12, -6,6, -6,9, -6,10 or -6,12, in primary forms",14751,14952,16391,17716,21168,43405,70519,59371,35739,62913,,472579,484850,525331,478279,432140,514346,530911,358399,271406,401232,,146043,182400,206092,168050,187329,286376,388795,297241,288911,588852
853890,"Parts suitable for use solely or principally with the apparatus of heading 8535, 8536 or 8537, ...",24599,29452,35629,34092,33540,36205,49984,56446,45851,62436,,2616423,3621867,2762813,3361144,2855123,2750882,1692418,1304916,1255147,1421470,,563658,527561,535942,539884,525590,580041,624511,595925,515484,715560
853400,Printed circuits,7145,7579,8515,14529,53819,73239,70039,61893,56034,60310,,4278649,5181854,4698052,4335263,4385224,5524185,4995358,4797820,5031472,5789358,,363384,281885,227326,254830,352607,425485,628116,650890,623039,885774
291739,"Aromatic polycarboxylic acids, their anhydrides, halides, peroxides, peroxyacids and their ...",27179,28533,37500,49044,98807,128212,90478,52063,32871,59114,,423175,434038,530433,483878,576864,821158,691008,472341,423506,612358,,109811,114074,108083,103667,159420,200857,161312,121766,88553,137072
731815,"Threaded screws and bolts, of iron or steel, whether or not with their nuts and washers (excl. ...",36658,37113,35995,37845,36548,42691,43952,51388,47973,57505,,400672,423451,463762,476200,526050,506607,519346,510458,445507,517028,,276712,265107,292263,322605,331395,386599,452759,402683,268405,369172
840734,"Spark-ignition reciprocating piston engine, of a kind used for vehicles of chapter 87, of a ...",51753,29964,44617,71774,92960,48349,90742,159209,62657,57452,,1215760,814642,1015480,911048,969403,882393,859618,1092234,773247,909013,,111955,145116,229564,282060,308224,387344,458339,476908,273663,359264
853690,"Electrical apparatus for switching electrical circuits, or for making connections to or in ...",32328,32731,31831,50132,58770,70411,78386,78949,52911,56292,,314995,462481,487807,562262,706465,719313,800974,853853,954038,1145050,,351880,330137,351340,369388,395489,466988,631099,606997,559724,807158
740811,"Wire of refined copper, with a maximum cross-sectional dimension of > 6 mm",5599,22587,8517,834,670,2122,2763,16080,16589,54959,,363635,476925,429052,314784,292834,389629,435958,389346,334928,477868,,262600,449906,631844,504118,412943,462227,618925,506532,366552,438519
846630,"Dividing heads and other special attachments for machine tools, n.e.s.",24055,76444,69082,48609,37877,59813,90947,146179,72942,54799,,13111,16683,97524,66425,49106,44930,73730,97358,87132,45204,,101215,149671,131950,97027,113499,119088,189487,277251,153541,183073
841490,"Parts of: air or vacuum pumps, air or other gas compressors, fans and ventilating or recycling ...",32397,31455,24556,23835,28203,29197,36136,28932,29143,54494,,521107,599895,714239,702603,723253,832317,845530,826012,721836,847516,,544195,438451,405882,447648,347838,370620,415644,416230,365250,527903
732690,"Articles of iron or steel, n.e.s. (excluding cast articles or articles of iron or steel wire)",17696,16688,20243,16821,21988,37080,45063,59631,41849,54492,,1444558,1276695,1372296,1464900,1542442,1559537,1712212,1736164,1466954,1836637,,405083,436792,492907,551389,523383,549503,719176,787054,568643,699529
780199,Unwrought lead (excluding refined lead and lead containing by weight antimony as the principal ...,22462,23569,32122,29232,31240,43453,45371,40683,30996,51981,,106101,136740,119436,71786,129701,135394,133898,142033,114217,146461,,188611,179199,222262,189358,227104,283816,326514,254036,242787,298312
842952,"Self-propelled mechanical shovels, excavators and shovel loaders, with a 360¡Æ revolving su ...",58679,38407,40801,55336,40597,63275,69997,25359,43346,51179,,4228151,3359734,3359630,2389726,2131180,2792195,3235758,2575779,2264839,3198371,,72018,48616,75803,87385,88957,100390,105274,77705,111884,196869
851290,"Parts of electrical lighting or signalling equipment, windscreen wipers, defrosters and demisters ...",6627,6061,5383,4849,4888,4582,17791,51523,50463,50931,,285867,317538,391638,377323,332438,305842,373273,380505,345886,415766,,34650,29725,34664,36012,49794,80722,130916,159431,166894,203523
841229,Hydraulic power engines and motors (excluding hydraulic turbines and water wheels of heading ...,2519,4684,1565,958,2464,30359,48112,37561,22956,50500,,88058,90944,61173,52761,85143,226917,353903,311074,368134,380596,,76486,78866,70284,66433,83967,127506,180762,155731,111349,189623
730799,"Tube or pipe fittings, of iron or steel (excluding cast iron or stainless steel products; flanges; ...",13796,18299,28126,23636,18037,16270,18502,16598,14312,49797,,274675,254599,284019,233180,212805,233702,243740,224146,161382,188260,,113545,131978,129133,110874,99660,97272,108363,112884,76383,118819
390190,"Polymers of ethylene, in primary forms (excluding polyethylene and ethylene-vinyl acetate  ...",22256,16421,20599,21610,24375,28678,26180,39122,29630,48939,,247378,256248,200735,264418,310983,209550,230504,369849,203308,245283,,257428,315351,501098,481804,506216,559381,484140,361226,215028,296246
870893,"Clutches and parts thereof, for tractors, motor vehicles for the transport of ten or more persons, ...",25294,23800,21012,24679,25520,33472,36273,41272,40663,48541,,252509,329481,370319,374088,539436,513357,433566,445924,410949,476005,,86498,86576,85690,108193,114031,123866,133971,115691,105301,157256
280300,"Carbon (carbon blacks and other forms of carbon, n.e.s.)",27314,29768,34048,28733,22257,32848,69445,68239,45580,47895,,201770,216830,237042,190246,169219,209935,299200,295384,257344,363959,,194961,184768,191207,142167,115889,166775,379438,252524,153634,245693
901812,Ultrasonic scanning apparatus,16620,24150,21316,21503,21153,29152,33852,35721,27486,47667,,420978,457050,468139,462686,478375,615883,689581,666717,580119,696123,,92869,92318,99621,101334,107379,131406,162280,171780,141431,201606
842139,Machinery and apparatus for filtering or purifying gases (excl. isotope separators and intake ...,8269,10572,5153,5946,10933,7444,6407,22526,35590,46899,,247151,348023,374031,428747,386162,450917,573905,719146,802582,963507,,183573,203393,228981,202675,172170,234005,292354,309597,262070,378214
720827,"Flat-rolled products of iron or non-alloy steel, of a width of >= 600 mm, in coils, simply ...",42617,37950,43733,35937,25509,36846,54764,45776,36006,46063,,634009,562778,617699,502523,501312,581295,624550,595441,458110,654111,,66972,49526,57601,57329,39734,50184,66682,56927,39685,51058
391990,"Self-adhesive plates, sheets, film, foil, tape, strip and other flat shapes, of plastics, whether ...",13872,14136,19893,34459,43934,49081,46723,60825,43222,45749,,1016266,1350777,1331234,1354668,1281547,1538186,1643208,1597441,1404023,1535604,,198573,189192,217392,230991,242830,310590,395754,429187,324462,433116
270900,"Petroleum oils and oils obtained from bituminous minerals, crude",74675,0,0,110255,100403,132994,0,0,0,44396,,2,4,6,2,1,6,3,6,3,0,,148757013,148046659,135826203,72365746,60865954,82065030,115082789,101948597,64579748,106406787
291736,Terephthalic acid and its salts,328791,637543,478874,136368,53813,99162,98993,261348,45069,42273,,3515124,3143400,2413494,1479229,1076508,1260289,1438147,1485663,924931,960478,,696343,1035845,978076,619319,254961,284210,555711,655741,208264,1013340
481019,"Paper and paperboard used for writing, printing or other graphic purposes, not containing fibres ...",18171,19135,44986,51540,65525,83309,77542,84290,43380,41558,,1182100,1177544,1015781,882165,778027,731120,740000,665101,473295,499968,,147785,203830,260560,253781,310172,389886,338059,307777,132797,127771
854460,"Electric conductors, for a voltage > 1.000 V, insulated, n.e.s.",21720,30158,77165,90074,5219,25748,4605,9374,9158,40692,,751346,652252,924803,623394,512492,589470,710466,543640,594628,682593,,68953,99141,121878,129664,48008,68046,86000,89398,55124,93582
720219,"Ferro-manganese, containing by weight <= 2% carbon",13683,18159,27357,28722,19418,17068,26911,16966,16124,40331,,196937,150806,182343,190439,125494,246578,264920,186768,109365,307225,,39660,38611,74098,46870,40046,73754,54460,41259,32512,63181
940190,"Parts of seats, n.e.s.",4760,13207,3560,14173,22437,23650,22413,27082,43853,39296,,818046,874738,824525,739917,843934,850142,873080,798014,666175,750707,,90448,112107,134584,152982,147415,168116,204573,186051,149772,198305
292241,Lysine and its esters; salts thereof,5052,9786,12671,15780,15012,14021,14551,16043,19917,39039,,184359,178251,135621,121448,143372,154948,176481,141550,108742,171878,,63164,53887,67215,58931,52354,58805,66382,64356,57394,114639
