Product code,Product label,Russian Federation's imports from Australia-Value in 2012,Russian Federation's imports from Australia-Value in 2013,Russian Federation's imports from Australia-Value in 2014,Russian Federation's imports from Australia-Value in 2015,Russian Federation's imports from Australia-Value in 2016,Russian Federation's imports from Australia-Value in 2017,Russian Federation's imports from Australia-Value in 2018,Russian Federation's imports from Australia-Value in 2019,Russian Federation's imports from Australia-Value in 2020,Russian Federation's imports from Australia-Value in 2021,Australia's exports to world- ,Australia's exports to world-Value in 2012,Australia's exports to world-Value in 2013,Australia's exports to world-Value in 2014,Australia's exports to world-Value in 2015,Australia's exports to world-Value in 2016,Australia's exports to world-Value in 2017,Australia's exports to world-Value in 2018,Australia's exports to world-Value in 2019,Australia's exports to world-Value in 2020,Australia's exports to world-Value in 2021,Russian Federation's imports from world- ,Russian Federation's imports from world-Value in 2012,Russian Federation's imports from world-Value in 2013,Russian Federation's imports from world-Value in 2014,Russian Federation's imports from world-Value in 2015,Russian Federation's imports from world-Value in 2016,Russian Federation's imports from world-Value in 2017,Russian Federation's imports from world-Value in 2018,Russian Federation's imports from world-Value in 2019,Russian Federation's imports from world-Value in 2020,Russian Federation's imports from world-Value in 2021
902790,"Microtomes; parts and accessories of instruments and apparatus for physical or chemical analysis, ...",302,279,419,271,464,1091,653,810,809,960,,110535,100138,96419,69215,80039,116605,126853,125493,116585,135593,,92642,105685,98905,80253,84089,105935,117477,136609,143611,154845
843149,"Parts of machinery of heading 8426, 8429 and 8430, n.e.s.",769,805,663,332,568,554,1238,1292,1080,921,,421652,346215,248220,199992,174760,177433,192254,238045,210034,210759,,379930,435763,366723,263974,291199,369694,413684,456300,420114,556730
842490,"Parts of fire extinguishers, spray guns and similar appliances, steam or sand blasting machines ...",0,5,2,182,1367,2393,1382,1823,1395,873,,15808,12633,10997,10137,13911,18410,27526,22625,15298,23534,,71543,69206,57866,54800,75214,86402,99284,100543,103211,119700
854370,"Electrical machines and apparatus, having individual functions, n.e.s. in chapter 85",798,356,1594,111,76,146,178,357,131,862,,78002,89867,77526,64230,71781,48950,60633,59538,77217,69814,,286937,327849,203539,186185,334064,235268,335756,495427,502235,652772
870830,"Brakes and servo-brakes and their parts, for tractors, motor vehicles for the transport of ...",856,998,1648,961,966,811,1355,1033,760,847,,43863,38907,42260,32272,28870,33957,31278,36474,31150,44218,,761389,833227,787442,522710,585744,704115,760171,761787,684660,909764
220210,"Waters, incl. mineral and aerated, with added sugar, sweetener or flavour, for direct consumption ...",0,12,5,0,0,3,0,64,205,835,,48699,33879,26958,35630,48113,39213,37273,42149,53601,83003,,65354,90564,78670,44130,52699,64669,77512,96752,100928,146218
847759,Machinery for moulding or otherwise forming products from rubber or plastics (excluding injection-moulding ...,0,0,0,0,10,21,116,245,477,781,,3510,4060,4071,552,1186,947,1233,1462,802,1788,,81728,54959,36017,23402,31575,29503,45887,50972,44174,56588
851762,"Machines for the reception, conversion and transmission or regeneration of voice, images or ...",699,562,254,196,226,893,789,636,1137,778,,201524,243869,277718,284598,333847,400731,361114,384360,373396,439784,,1726928,1484456,1511162,1181750,1135517,1437891,1597161,1737558,2182477,2372652
851310,Portable electrical lamps designed to function by their own source of energy,1,0,0,0,0,743,237,687,104,767,,6721,4098,4640,3907,2512,4710,3330,3338,2006,2448,,81246,57388,32779,19637,21094,26983,29463,30240,28584,36468
841370,"Centrifugal pumps, power-driven (excluding those of subheading 8413.11 and 8413.19, fuel, lubricating ...",1833,690,1483,293,453,113,88,563,124,762,,29440,25826,24327,29944,41593,45138,39005,43815,38637,66835,,1041080,1227805,1018169,625921,626080,705117,611561,661417,631998,788057
382100,"Prepared culture media for the development or maintenance of micro-organisms incl. viruses ...""",990,1217,1136,1020,948,1007,834,736,601,729,,7086,3319,2032,3600,3962,2485,1926,2647,4653,8140,,15754,22942,24290,22825,25584,31948,38648,47298,72272,127324
870880,"Suspension systems and parts thereof, incl. shock-absorbers, for tractors, motor vehicles for ...",1183,1225,613,371,230,363,494,757,643,696,,31111,30598,30640,26111,21090,27107,27573,26194,22874,35002,,1162277,1203506,997392,544015,636303,862331,929662,885118,729110,1032844
843880,"Machinery for the industrial preparation or manufacture of food or drink, n.e.s.",0,0,0,0,0,0,0,0,1135,678,,27257,35327,33154,23649,23811,25448,37887,23247,19088,21401,,250089,258805,185450,164775,134496,124522,249267,212922,210164,199230
847490,"Parts of machinery for working mineral substances of heading 8474, n.e.s.",516,490,321,1349,167,733,315,1748,637,673,,232401,238165,150416,142787,132656,169730,169709,176805,138096,180596,,149740,201000,180305,127560,122020,131273,176779,237167,202751,231072
732020,"Helical springs, of iron or steel (excluding flat spiral springs, clock and watch springs, ...",1044,887,649,492,457,606,675,607,533,625,,4236,4401,4523,3127,2259,8750,19739,17221,12729,20234,,108060,115868,104639,60954,70123,89634,104904,112107,95733,117665
340220,"Surface-active preparations, washing preparations, auxiliary washing preparations and cleaning ...",733,626,674,445,434,610,731,782,695,613,,39299,26544,22411,25946,35116,35100,45254,45322,49079,47942,,302500,362866,399055,230006,201495,235721,276238,326898,335941,379396
121020,"Hop cones, ground, powdered or in the form of pellets; lupulin",0,0,0,40,109,282,387,216,401,604,,2275,4320,8767,11396,9966,18767,19831,19140,23839,25096,,20334,23626,23491,23415,34616,36836,38403,37883,40486,41755
702000,"Articles of glass, n.e.s.",152,122,268,154,249,364,531,613,546,597,,933,1002,993,625,1060,751,1140,860,581,1204,,39232,36890,53794,34782,31473,35764,41971,44593,46775,55104
843143,"Parts for boring or sinking machinery of subheading 8430.41 or 8430.49, n.e.s.",3062,2941,1941,562,519,1311,622,1044,204,585,,343683,232534,203953,140391,102710,106150,93457,101719,66144,0,,345224,445062,427742,227810,144719,162250,199311,207201,203394,136646
330610,"Dentifrices, incl. those used by dental practitioners",366,547,511,132,210,410,421,527,391,558,,3299,4967,4931,4315,5353,6235,9139,10285,11387,15216,,157853,137994,154145,115396,120097,138529,132057,141905,132668,159145
901831,"Syringes, with or without needles, used in medical, surgical, dental or veterinary sciences",21,91,180,107,147,71,369,574,634,554,,6675,8533,7315,4930,6884,6842,8193,2945,2635,4273,,90257,93313,90925,83675,90644,79358,109794,104265,111855,131107
330590,"Preparations for use on the hair (excluding shampoos, preparations for permanent waving or ...",27,65,26,50,75,306,277,585,279,540,,52774,45367,47847,44445,43881,53789,45278,48339,50876,70076,,264892,284174,294129,188043,199808,241166,264861,267529,253927,301182
852580,"Television cameras, digital cameras and video camera recorders",28,149,72,40,19,151,70,140,116,540,,78778,65146,92695,90795,100592,115855,136825,156142,89207,82424,,1583592,1116715,721542,372438,354328,486739,499923,454418,463894,559165
846031,"Sharpening """"tool or cutter grinding"""" machines, numerically controlled""""",407,1153,366,403,2992,522,3000,651,189,537,,15,18,435,4908,4494,9819,27884,4001,5834,15508,,11761,11513,9054,7545,15773,11497,14409,9633,10754,5624
852610,Radar apparatus,0,10,0,0,0,826,1264,702,1259,537,,10642,13828,23032,16307,18568,19450,18304,20404,25228,19464,,45373,54768,50944,38848,28973,34921,23413,38393,39047,50602
292019,"Thiophosphoric esters """"phosphorothioates"""" and their salts; their halogenated, sulphonated, ...""",0,0,0,0,0,252,1782,406,1051,513,,0,0,0,0,0,291,0,19,106,90,,3863,2161,1834,1242,532,1842,2224,899,1092,1310
870870,"Road wheels and parts and accessories thereof, for tractors, motor vehicles for the transport ...",34,268,395,327,144,20,53,109,83,506,,22014,27121,9397,7163,6965,8326,11118,23266,29314,21975,,1268997,1262917,1057654,516159,555924,711455,853673,827839,673752,925705
852692,Radio remote control apparatus,345,2100,125,815,441,2233,629,336,40,505,,15502,8413,5792,4976,7785,9763,10040,7881,8356,8035,,46045,57161,41250,22852,18599,26698,32618,32634,30879,42405
848190,"Parts of valves and similar articles for pipes, boiler shells, tanks, vats or the like, n.e.s.",56,41,7,42,18,66,60,64,272,491,,52314,56730,54145,47392,47835,60417,58332,60577,80915,66429,,116728,106307,114541,132734,104809,110778,122671,121156,117918,128043
852691,Radio navigational aid apparatus,2,0,38,0,14,0,30,0,1111,479,,38370,37812,34355,55122,54257,52207,69316,42839,31626,30965,,301415,255864,199270,87782,98768,156384,184472,255080,189394,258375
340130,"Organic surface-active products and preparations for washing the skin, in the form of liquid ...",31,36,25,28,25,44,110,275,278,477,,11906,11560,7899,16775,27956,41739,66968,76478,53801,80625,,107818,116813,119320,81024,88856,102131,111983,125191,118864,137929
851410,Resistance heated industrial or laboratory furnaces and ovens (excluding drying ovens),251,499,149,82,351,55,161,290,559,472,,1102,865,471,385,515,836,734,1002,1623,1920,,130571,132555,124449,194729,80585,85628,98604,100350,101878,94654
381090,"Fluxes and other auxiliary preparations for soldering, brazing or welding; preparations of ...",97,38,46,28,27,52,345,306,711,465,,3366,2220,2002,1280,1918,1837,1366,1035,862,2147,,37132,28813,23486,16695,10328,11523,12257,13173,12555,11445
847190,"Magnetic or optical readers, machines for transcribing data onto data media in coded form and ...",167,3,14,0,0,3,20,29,60,460,,52587,36572,27994,39455,40057,56786,59837,56748,57251,71005,,53399,47643,41206,68201,95382,108115,122238,137764,100872,158558
852329,Magnetic media for the recording of sound or of other phenomena (excluding cards incorporating ...,96,65,96,220,441,390,352,354,241,430,,18654,15014,13724,9196,16312,19232,12811,21543,16668,14737,,10705,964863,8319,5446,6364,7617,7470,8051,8470,8996
20442,"Frozen cuts of sheep, with bone in (excluding carcases and half-carcases)",9971,13178,10988,4842,3528,3072,3640,3474,2426,427,,625049,822870,1044738,759880,687072,995968,1177708,1418754,1208444,1518543,,22071,27897,29078,11703,10295,8417,10194,7850,3875,3106
350220,"Milk albumin """"lactalbumin"""", incl. concentrates of two or more whey proteins containing by ...""",0,0,0,0,0,1412,3092,2110,768,425,,29809,32570,25671,20173,26518,28254,45560,75921,62994,65359,,1242,3049,5233,6008,8631,13691,14102,15447,12854,13808
401699,"Articles of vulcanised rubber (excluding hard rubber), n.e.s.",846,1464,1243,1206,774,787,962,1117,985,415,,48419,44168,39345,33514,31255,27468,26935,28141,29308,34639,,258835,274460,252618,194783,228831,292373,313844,333212,329973,466818
847420,Crushing or grinding machines for solid mineral substances,135,128,60,79,126,252,80,448,611,408,,60648,35091,28345,20926,16859,16694,14019,19045,20331,21479,,590013,564099,405650,139495,159178,175875,163062,298902,152114,226834
720292,Ferro-vanadium,0,0,0,0,0,0,0,0,0,385,,1621,3579,8251,56,0,256,16,6,0,15,,2049,0,1865,2655,944,1563,6252,2512,3893,5159
390690,"Acrylic polymers, in primary forms (excluding poly""""methyl methacrylate"""")""""",16,1,30,12,54,108,68,33,49,381,,31543,32532,32062,20345,22962,26959,33464,26902,23115,32175,,366570,398919,395603,308569,303430,355638,398475,411545,369354,446789
730799,"Tube or pipe fittings, of iron or steel (excluding cast iron or stainless steel products; flanges; ...",359,198,241,191,98,230,393,288,203,376,,26343,24409,14762,20845,17048,13309,14348,16881,15943,19551,,118856,129238,136441,111910,92235,100563,118817,140159,121936,123447
842389,Weighing machinery of a maximum weighing capacity > 5.000 kg,109,0,0,0,0,175,0,39,0,360,,2061,4510,1690,1137,1122,1942,728,1230,1071,1457,,6676,9627,7571,5655,6086,7162,5185,8546,7424,8522
841231,"Pneumatic power engines and motors, linear-acting, """"cylinders""""""""",9,21,110,32,20,14,35,342,300,355,,1909,1697,2456,3175,5652,3768,4325,4051,2403,3706,,51393,59672,55728,45634,47869,56759,72222,83318,64739,76737
901580,"Instruments and appliances used in geodesy, topography, hydrography, oceanography, hydrology, ...""",0,2,40,279,117,379,151,354,1966,345,,59002,56767,79947,58407,47689,72412,78239,78570,52156,61975,,192653,226003,209353,120903,61791,73997,78627,114473,74133,80655
848180,"Appliances for pipes, boiler shells, tanks, vats or the like (excluding pressure-reducing ...""",428,2236,324,110,140,545,546,1038,492,334,,117382,136808,127267,130416,105893,100764,123663,117945,104405,130243,,2512754,1830755,1675857,1102214,1206717,1374239,1492903,1765922,1724534,1938088
961610,"Scent sprays and similar toilet sprays, and mounts and heads therefor",0,0,1,0,1,0,0,0,0,327,,700,986,1281,972,906,1284,1038,283,584,881,,25865,28294,23229,17953,18489,19109,17742,19443,29045,24058
901510,Rangefinders,163,177,374,0,0,256,0,0,258,325,,6091,5502,7406,6580,5758,6235,7399,6165,6746,7313,,17612,14047,18203,15447,13957,15830,14831,17397,18772,32021
820719,"Rock-drilling or earth-boring tools, interchangeable, and parts therefor, with working parts ...",765,385,585,347,761,406,592,433,602,323,,81110,78336,50894,25922,21223,24428,27674,23617,18228,11540,,255876,347093,120857,77312,68750,74013,77807,85362,57794,52352
901819,"Electro-diagnostic apparatus, incl. apparatus for functional exploratory examination or for ...",439,1243,167,176,98,108,17,166,284,310,,38195,29601,38554,33307,27492,29620,36081,36147,36110,47890,,196031,125536,69227,44686,71544,68245,51696,64899,173458,91545
10420,Live goats,0,0,0,0,0,0,5,73,0,305,,9859,8192,9428,7848,5951,2175,5766,4900,3629,3773,,0,292,373,594,935,296,2479,1986,2795,5044
851420,Furnaces and ovens functioning by induction or dielectric loss,19,162,0,0,0,0,257,168,33,301,,4314,3149,198,498,610,1197,2095,1411,2656,1304,,39940,42261,34922,13095,12923,15992,21492,22331,12323,34315
870829,"Parts and accessories of bodies for tractors, motor vehicles for the transport of ten or more ...""",2912,2760,1630,589,492,512,818,579,374,298,,76440,80434,92767,89018,68167,84413,100648,130104,118182,142297,,2411741,2548005,2141891,1105994,1077887,1575957,1820174,1705925,1617318,2290583
690320,"Retorts, crucibles, mufflers, nozzles, plugs, supports, cupels, tubes, pipes, sheaths, rods ...",709,749,393,193,69,34,93,156,486,291,,759,594,398,61,122,409,390,145,347,401,,89648,101326,92706,81521,73302,79663,83487,82350,72897,88059
842839,"Continuous-action elevators and conveyors, for goods or materials (excluding those for underground ...",68,68,514,0,0,47,0,0,194,287,,10443,9082,10048,7211,7421,7671,7519,8375,6625,6557,,234437,227966,192949,110211,123008,178769,206674,183448,212832,244559
920290,"Guitars, harps and other string musical instruments (excluding with keyboard and those played ...",0,0,0,0,0,0,0,173,375,280,,2156,3030,3358,3235,2603,2786,3295,3773,2569,4786,,17424,18392,14878,10999,8281,11255,16246,18371,22867,30240
841221,"Hydraulic power engines and motors, linear acting """"cylinders""""""""",555,1216,329,370,352,2308,618,526,161,280,,24591,18526,14493,15036,13222,18607,22693,26233,25372,25545,,210244,209285,194369,145632,168190,205927,244582,257220,246879,317292
741129,"Tubes and pipes of copper alloys (excluding copper-zinc base alloys """"brass"""", copper-nickel ...""",0,0,11,121,9,40,82,160,3,274,,13069,6328,5043,2836,1304,504,593,420,117,328,,2983,3362,3003,2497,2685,1378,1332,2216,1962,1897
842119,"Centrifuges, incl. centrifugal dryers (excluding isotope separators, cream separators and clothes ...",0,86,0,275,0,12,1278,234,142,272,,20361,23305,13305,7026,3071,4830,2957,5413,6642,3888,,109772,250599,120898,69670,76082,72865,70849,76173,80847,83765
701990,"Glass fibres and articles thereof, n.e.s.",2,4,0,0,0,46,0,199,26,272,,2992,1791,2329,2682,2226,3357,4387,4373,4529,8110,,32282,30734,31245,22089,18162,21345,25406,27715,31690,40942
900130,Contact lenses,339,245,302,108,148,327,199,190,166,262,,14556,9576,10173,11190,12882,14514,20940,30693,31047,37149,,99788,112361,159236,83132,101710,136009,141138,133016,112755,148967
902480,Machines and appliances for testing the mechanical properties of materials (excluding metals),235,0,237,39,0,134,0,0,91,257,,2927,3192,5047,4104,2047,3040,2368,2932,2079,3487,,35780,29032,29855,23761,24082,24119,26515,24413,25561,24938
903180,"Instruments, appliances and machines for measuring or checking, not elsewhere specified in ...",1064,40,152,186,310,99,579,957,70,255,,129564,84693,77128,65030,60306,61799,59463,63533,67960,68805,,545154,588914,354367,218815,202182,261789,284103,289546,290206,310839
690390,"Retorts, crucibles, mufflers, nozzles, plugs, supports, cupels, tubes, pipes, sheaths, rods ...",50,15,1,9,44,28,62,268,97,254,,7924,5030,3280,2757,3141,2977,4148,2938,3808,4059,,13230,12699,14439,10157,11427,13594,15916,15508,15158,17473
843680,"Agricultural, horticultural, forestry or bee-keeping machinery, n.e.s.",56,0,3,0,0,0,0,0,379,254,,3695,3515,3863,3382,12560,11925,3732,3437,3689,1789,,464333,322983,309993,189704,286981,466331,462828,488411,348843,358611
300450,"Medicaments containing provitamins, vitamins, incl. natural concentrates and derivatives thereof ...""",0,15,0,0,0,6,113,283,137,252,,80344,68248,83885,81713,92269,87099,124214,193357,231388,248698,,260309,291617,287778,203818,191652,299251,278500,323405,230279,327630
902820,"Liquid meters, incl. calibrating meters therefor",350,233,207,180,197,229,201,238,203,248,,313,994,823,542,766,296,462,701,317,1028,,43939,44574,34171,25681,31102,33716,33752,33913,31187,49016
731815,"Threaded screws and bolts, of iron or steel, whether or not with their nuts and washers (excl. ...",268,108,64,88,26,58,100,47,43,240,,38111,41685,38979,28726,30348,29809,38825,42449,37482,58289,,296623,315970,281369,186694,208888,275185,319352,322338,303937,396675
