Product code,Product label,United States of America's imports from China-Value in 2012,United States of America's imports from China-Value in 2013,United States of America's imports from China-Value in 2014,United States of America's imports from China-Value in 2015,United States of America's imports from China-Value in 2016,United States of America's imports from China-Value in 2017,United States of America's imports from China-Value in 2018,United States of America's imports from China-Value in 2019,United States of America's imports from China-Value in 2020,United States of America's imports from China-Value in 2021,China's exports to world- ,China's exports to world-Value in 2012,China's exports to world-Value in 2013,China's exports to world-Value in 2014,China's exports to world-Value in 2015,China's exports to world-Value in 2016,China's exports to world-Value in 2017,China's exports to world-Value in 2018,China's exports to world-Value in 2019,China's exports to world-Value in 2020,China's exports to world-Value in 2021,United States of America's imports from world- ,United States of America's imports from world-Value in 2012,United States of America's imports from world-Value in 2013,United States of America's imports from world-Value in 2014,United States of America's imports from world-Value in 2015,United States of America's imports from world-Value in 2016,United States of America's imports from world-Value in 2017,United States of America's imports from world-Value in 2018,United States of America's imports from world-Value in 2019,United States of America's imports from world-Value in 2020,United States of America's imports from world-Value in 2021
732393,"Table, kitchen or other household articles, and parts thereof, of stainless steel (excluding ...",710841,786143,822651,903763,1278405,1284071,1375448,1597467,1722883,2374511,,1821254,1878378,2684562,3505135,3021491,3543028,3796960,4630751,5693236,6936382,,1005775,1097927,1143925,1247429,1602274,1629894,1728733,1926427,2050064,2830053
848180,"Appliances for pipes, boiler shells, tanks, vats or the like (excluding pressure-reducing ...""",2000167,2081698,2286429,2251889,2063878,2314110,2981758,2283462,1949869,2339881,,8888454,9592473,10517991,10056454,9323523,9952676,11316574,11118347,11321173,13077664,,7395870,7677434,8555758,8339420,7847296,8460070,9479565,8649164,7521799,8918139
847160,"Input or output units for automatic data-processing machines, whether or not containing storage ...",1833647,2024158,1960090,1817605,1913615,1882624,2258718,1914198,2125917,2276812,,5962127,6100823,6817682,5860399,5483369,4937296,4872540,5062649,7400129,7723280,,2871361,2978136,2857405,2651440,2861888,2866618,3364602,3112556,3424658,4214164
853950,"Light-emitting diode """"LED"""" lamps""""",0,0,0,0,0,1546701,1858687,2011367,2041769,2271054,,0,0,0,0,0,5239203,5707137,5421180,5810853,5455642,,0,0,0,0,0,1639788,1977244,2165945,2161359,2433292
841451,"Table, floor, wall, window, ceiling or roof fans, with a self-contained electric motor of an ...",1094919,1135742,1141266,1274268,1271628,1383947,1494144,1636967,1887865,2208419,,2311870,2638833,2681229,2710552,2945953,3176418,3405356,3830810,4745042,5106706,,1130331,1176419,1190098,1327486,1337192,1473026,1586659,1739114,2001364,2362547
846729,"Electromechanical tools for working in the hand, with self-contained electric motor (excluding ...",1114960,1278405,1335352,1501144,1643663,1867328,2188857,2246220,2047567,2163345,,2566292,2861814,3205783,3248723,3307515,3872095,4446105,4848296,5157063,6193252,,1641548,1888372,1856553,2154808,2317615,2627223,3004850,3078044,3615891,4823187
940540,"Electric lamps and lighting fittings, n.e.s.",2187797,2545708,2631881,2751338,3089816,3266061,3412835,2360989,1922536,2147196,,5971647,9088013,14459201,16910153,16975612,14130457,13688052,14851047,17393122,20490076,,3012076,3452664,3702648,4000092,4368985,4580023,4756293,3744284,3401225,4119771
851679,"Electro-thermic appliances, for domestic use (excluding hairdressing appliances and hand dryers, ...",1035757,1071913,1065981,1238260,1205442,1222368,1432721,1719190,1600477,2133904,,2160919,2602288,3036269,3045641,2967053,3169547,3327498,3401464,4268167,4858388,,1167773,1216162,1260043,1509641,1444340,1466934,1629503,1896179,1823197,2380775
852872,"Reception apparatus for television, colour, whether or not incorporating radio-broadcast receivers ...",4318803,3044627,4301172,4450745,3431871,4132300,4746247,3442685,2435857,2065232,,12108645,11052503,13551801,12508589,12280973,13870741,14941793,12833637,13737789,15006764,,16785159,14531742,15631034,15988623,12684552,13314385,13287346,12610938,13298702,16272091
950699,Articles and equipment for sport and outdoor games n.e.s; swimming and paddling pools,1229879,1182294,1161763,1286278,1115806,1186617,1210106,1262649,1363304,2018091,,1704783,1732340,2021068,2072321,1898923,1936471,2264520,2560532,2945103,4196586,,1724216,1688343,1682272,1866089,1697709,1825677,1850978,1936650,2059625,2961010
901910,Mechano-therapy appliances; massage apparatus; psychological aptitude-testing apparatus,319728,369630,407844,505907,558464,677298,789615,985887,1335662,1975886,,1450414,1611931,1807659,2008137,2143103,2330223,2671160,3134289,4441323,5902201,,684614,775355,852151,960749,1033410,1196397,1350901,1657550,2038145,2884771
940360,"Wooden furniture (excluding for offices, kitchens and bedrooms, and seats)",2681805,2706151,2799615,2974628,2834958,3009644,3197883,2105897,1522524,1965349,,7149728,7386778,7904822,7283527,6655596,6909953,7282661,6593078,7227905,8887863,,4883438,5141660,5528452,5974370,5961843,6402139,6911085,6541231,6729023,8589939
870870,"Road wheels and parts and accessories thereof, for tractors, motor vehicles for the transport ...",1666135,1842199,2130487,2392403,2252677,2483285,2765209,2007997,1572601,1957728,,4780978,5051339,5581220,5345770,5237552,5936798,6619744,5619383,4865230,6051097,,3391108,3430562,3848080,4314409,4190768,4260337,4665225,4107986,3655401,4879561
870899,"Parts and accessories, for tractors, motor vehicles for the transport of ten or more persons, ...",1436844,1612108,1870675,2029662,1991275,2000608,2328692,1832506,1441798,1925568,,3840141,4083632,4380924,3982888,3935376,4431499,5067627,5147457,5041408,6608520,,13607533,13036713,13903620,14001343,13648346,13883643,14790810,14521749,12516795,15333184
850811,"Vacuum cleaners, incl. dry cleaners and wet vacuum cleaners, with self-contained electric motor, ...",1028506,1231885,1458249,1629418,1561761,1807256,2086931,1516011,1947547,1879096,,1951387,2171772,2666277,2969992,3008081,3606034,4307329,4400514,5740694,6151412,,1734172,1750321,1957761,2143225,1964387,2286153,2674023,2094497,2798545,3252952
732690,"Articles of iron or steel, n.e.s. (excluding cast articles or articles of iron or steel wire)",1117576,1093255,1239855,1341541,1340676,1513077,1909043,1628025,1407437,1821130,,4997600,5504037,5814012,5927523,5342813,5769067,6748713,6928980,7817290,10545923,,3332808,3290013,3638341,3719703,3683325,4023953,4671314,4708247,4263538,5445736
870829,"Parts and accessories of bodies for tractors, motor vehicles for the transport of ten or more ...""",936240,987390,1138408,1357069,1534637,1493085,1705478,1500815,1390544,1812953,,2492965,2916435,3410655,3794378,4266506,4610793,5196888,5548671,6634993,8613104,,10932350,11581587,12552830,14042270,14081944,13487610,14893148,14676483,13006933,16413178
854370,"Electrical machines and apparatus, having individual functions, n.e.s. in chapter 85",2197173,2056095,2402219,3023203,3350039,2749308,3021575,1547433,1284265,1749248,,7596082,7907194,6943312,7436946,7269948,8252622,9933134,11149256,13017151,16941781,,5347776,5555755,6159935,7233384,7382348,7548836,8099793,6751480,6499745,9420558
420292,"Travelling-bags, insulated food or beverage bags, toilet bags, rucksacks, shopping-bags, map-cases, ...",3294431,3293637,3241657,3352049,3073657,3174281,3372228,2356858,1434727,1733203,,4237702,4544787,4367099,4868206,4300680,4906812,6078807,6563510,6140653,7670167,,4041820,4113269,4137571,4388974,4139620,4388260,4719065,4241130,3373096,4218798
732111,"Appliances for baking, frying, grilling and cooking and plate warmers, for domestic use, of ...",947891,1075515,1031113,1140235,1121374,1321010,1293044,1071575,1359244,1716544,,1602860,1771798,1918008,2112288,2016064,2264803,2269552,2170738,2558157,3177621,,1421765,1632946,1659934,1845196,1897352,2164048,2234113,2065238,2452344,3041215
870830,"Brakes and servo-brakes and their parts, for tractors, motor vehicles for the transport of ...",1365867,1334814,1551134,1651455,1537748,1643392,1913964,1710206,1479924,1706636,,3733803,4246801,4794241,4704017,4680608,4957535,5633703,5476242,4943457,5645369,,4661595,4461382,5002067,5249856,5022201,5077587,5691761,5760291,5048217,6094784
850980,"Electromechanical domestic appliances, with self-contained electric motor (excluding vacuum ...",535432,647731,636076,811213,663750,700207,893679,1225887,1266425,1694445,,1419181,1622243,1896284,2121148,2060136,2319401,2734145,3308388,5536011,6469567,,638806,756274,745777,937083,766066,778822,966724,1278998,1334675,1804296
841590,"Parts of air conditioning machines, comprising a motor-driven fan and elements for changing ...",352144,427524,527617,600803,704230,865591,981698,1242532,1147057,1666456,,2899566,2967844,3180240,3112882,3219509,4291359,5096367,5481871,5073228,6670989,,2645987,3125309,4000769,3662237,3806395,4218522,4929398,5564660,5389714,7138651
854231,"Electronic integrated circuits as processors and controllers, whether or not combined with ...",803579,856209,779997,909498,1064542,1123230,1683605,993589,1297811,1659021,,27056528,37458193,26922046,30661940,26760149,27198345,29567607,35800142,40205837,45624922,,14982331,16865818,17807569,18228174,20936555,21096526,21617960,21568402,21399322,27551320
853710,"Boards, cabinets and similar combinations of apparatus for electric control or the distribution ...",1184487,1274485,1349673,1595549,1540624,1722278,2166348,2104890,1698240,1608356,,3853060,4537319,5152446,5692145,5829079,6422524,7901988,8317032,7717204,8719845,,7688047,8830544,9362125,9848385,10210049,10868594,12068896,12798787,12050623,13797558
851650,Microwave ovens,905804,988482,1053847,1145463,1157338,1148933,1222041,1192015,1457673,1532048,,2592491,2608542,2814976,2652527,2591062,2691222,2912495,2901640,3237544,3454359,,1130603,1200464,1241597,1351247,1371734,1360950,1417919,1403958,1633126,1696728
640391,"Footwear with outer soles of rubber, plastics or composition leather, with uppers of leather, ...",2637277,2555543,2902503,2906591,2360551,2027586,1893786,1917728,1338264,1527292,,1697574,2171214,2625637,2249412,1986384,1849221,1835616,1888075,1484672,1893786,,3639233,3838818,4436075,4714181,4185118,3702623,3767754,4118154,3239592,4149992
950590,"Festival, carnival or other entertainment articles, incl. conjuring tricks and novelty jokes, ...",825878,782870,848185,884172,921127,965235,1047363,1151139,1050784,1489346,,309929,353609,484637,823808,922320,1501000,1750389,1935221,2068007,3175602,,885946,843747,913421,961388,1004179,1044130,1133390,1246678,1153249,1609536
630140,"Blankets and travelling rugs of synthetic fibres (excluding electric, table covers, bedspreads ...",508067,608525,683189,754094,730819,796270,886819,1131259,1011736,1441190,,2496131,3006663,3534137,3159389,2949991,3230745,3228397,3258307,2791905,3334608,,540633,650429,730109,807137,781359,856873,933720,1188770,1077541,1564154
851770,"Parts of telephone sets, telephones for cellular networks or for other wireless networks and ...",2227080,2448816,2099796,1986700,1955821,2106696,2637240,2172445,1531487,1434903,,39594274,47116398,45105066,49585071,48463570,50776282,51951119,47859965,45200289,49192067,,5801012,5866897,5481360,5034372,5355597,4992703,5787983,4721195,4079556,4331619
611020,"Jerseys, pullovers, cardigans, waistcoats and similar articles, of cotton, knitted or crocheted ...",3173195,3411470,3217605,2969883,2426000,2275600,2345797,1987145,1030254,1412264,,7671264,7908818,7448637,6665769,5989301,5832056,5899829,6632268,6048759,7114401,,8327039,8652973,8432287,8115475,7097366,7088824,7638966,7895411,6332274,8705141
851660,"Electric ovens, cookers, cooking plates and boiling rings, electric grillers and roasters, ...",425808,500063,534785,632315,592721,757707,1084218,945427,1191986,1387869,,3124717,3651434,3650517,3707855,3636944,4177659,4988896,5303948,6672479,7988031,,929059,1033832,1053970,1136304,1195308,1425739,1832639,1701910,2031276,2560857
761510,"Table, kitchen or other household articles and parts thereof, and pot scourers and scouring ...",485717,543486,547326,618637,698217,714362,765081,817933,987792,1385269,,2047302,2386739,2382234,2324281,2265041,2416126,2553049,2681887,2950488,3687373,,863509,966297,912801,1038155,1123312,1152510,1170444,1203353,1460900,1948164
640399,"Footwear with outer soles of rubber, plastics or composition leather, with uppers of leather ...",4368204,4439677,3997304,3645350,2856472,2556606,2473216,2167549,1075880,1368764,,7565277,7978810,8266291,7109036,5688636,5784402,5823234,6116939,4995601,5615478,,6607027,6889821,6721380,6596446,5634651,5267599,5425853,5451619,4027752,5187839
852550,"Transmission apparatus for radio-broadcasting or television, not incorporating reception apparatus",1573826,1462394,1533402,2046488,1805195,2197458,2015390,1746333,1388258,1337842,,19335,22342,23496,23017,11931,12353,18910,10636,5163,4201,,2585481,2381165,2529647,2963750,2707122,3049891,2751855,2509070,2686670,2430431
611596,"Full-length or knee-length stockings, socks and other hosiery, incl. footwear without applied ...",709926,816446,835794,989794,919381,956603,1097807,1135265,995720,1318568,,2513220,2758419,2833355,2796566,2467214,2509607,2875854,2894931,2483060,2845203,,908586,1039594,1081710,1238506,1155154,1280435,1458387,1512251,1340736,1802721
940190,"Parts of seats, n.e.s.",1447246,1418947,1472585,1502760,1381558,1391887,1522124,1351389,988447,1299890,,2714795,2903727,3125439,3412388,3261425,3475570,3657292,3924449,3695546,4267996,,8535193,8930647,9886493,10591022,10700043,10027317,10346533,9981184,8022816,9332611
848190,"Parts of valves and similar articles for pipes, boiler shells, tanks, vats or the like, n.e.s.",1244565,1275646,1357812,1373368,1138170,1371998,1484277,1231618,966405,1262486,,3468722,3451974,3681212,3487191,3241605,3663610,4086193,3929862,3575852,4308513,,3836500,4033014,4323503,4043446,3254541,3590408,3890267,3618573,2966242,3551224
950490,"Tables for casino games, automatic bowling alley equipment, and other funfair, table or parlour ...",1018715,588951,580594,656716,735658,861914,966197,851861,934285,1257724,,1985279,1499474,1377446,1244301,1008557,1437851,1561616,1483361,1655633,1682090,,1568968,800930,742315,817695,910954,1059117,1214263,1089786,1184421,1574853
732399,"Table, kitchen or other household articles, and parts thereof, of iron other than cast iron ...",644331,686868,691452,792895,821433,891450,986188,887434,1006672,1248861,,2771115,2917987,2456251,2427209,1995898,2321589,2656488,2924882,3217088,3729023,,756165,794583,805623,913344,943263,1018829,1108402,1004281,1162190,1463822
870323,"Motor cars and other motor vehicles principally designed for the transport of persons, incl. ...",7707,2340,12436,102250,1075569,1526956,1960832,1570131,1200985,1247619,,1692240,1669456,2108906,2006245,2899282,3555632,4064791,3161933,2789814,4045543,,75908710,83857896,85074186,98665410,107652445,103279664,105579949,104823246,81634751,76361847
841810,"Combined refrigerator-freezers, with separate external doors or drawers, or combinations thereof",188290,412913,482290,519421,571532,677442,799617,489311,803534,1233014,,1881055,1944506,2132819,2015619,2175599,2731409,3198018,3464530,4437762,5280294,,3585729,4089354,4219589,4658825,4870651,5049949,5210950,5204113,5897353,7756268
611030,"Jerseys, pullovers, cardigans, waistcoats and similar articles, of man-made fibres, knitted ...",1701565,1703036,1841630,1866778,1769622,1703254,1759878,1667091,959199,1227051,,9975364,10463319,11241038,10849559,9671340,9586244,10289138,10464396,8574587,10209982,,4699304,4960627,5545121,6067666,6047349,6260576,6538079,6496059,4522550,5845168
940180,"Seats, n.e.s.",582526,699358,777485,846290,934164,1070792,993826,912887,946449,1205749,,881549,1113007,1093428,1186319,1142014,1333384,1403980,1547147,1699242,1970943,,734365,869940,966748,1056891,1157271,1300894,1223263,1133057,1155749,1523672
871200,"Bicycles and other cycles, incl. delivery tricycles, not motorised",1162978,1022158,1094032,1109100,973359,943461,1064358,678706,845099,1189751,,3196451,3189308,3580002,3515599,3142050,3145784,3284610,2880681,3690811,4694252,,1655041,1518500,1554409,1724091,1465926,1421465,1597787,1285776,1499491,2151938
846722,"Saws for working in the hand, with self-contained electric motor",396910,453733,477474,579873,602446,706437,769749,806200,936381,1187957,,846601,946205,1031801,1034071,1055394,1245397,1406991,1434619,1739843,2258355,,499522,547532,577093,683829,710763,828713,877066,917467,1117625,1500498
691200,"Tableware, kitchenware, other household articles and toilet articles, of ceramics other than ...",659189,705116,714170,805194,754939,772793,905483,927473,796803,1186882,,204761,221912,329625,418646,375646,434137,492723,477929,505401,593355,,840209,910483,934011,1023830,969819,980343,1107651,1129565,975192,1428130
841510,"Window or wall air conditioning machines, self-contained or """"split-system""""""""",1384472,1345451,1241541,1214287,1243938,1313441,1562297,1000872,940551,1172898,,8202352,8378242,7865970,7509658,7809803,8828020,9653840,9320309,9457557,9707705,,1502117,1448268,1356109,1377425,1431132,1477190,1724797,1155334,1280969,1728376
940390,"Parts of furniture, n.e.s. (excluding of seats and medical, surgical, dental or veterinary ...",833732,867291,949281,1111021,1346942,1516067,1812603,1214457,1004667,1163449,,4005506,4926929,3182446,3368106,3245963,3404739,3585459,4265374,4897572,5549422,,2244779,2349478,2612504,2859693,3229759,3503732,3904476,3397303,3478850,4157606
844399,"Parts and accessories of printers, copying machines and facsimile machines, n.e.s. (excluding ...",3452245,3841977,4012885,3633828,3295483,2950726,2720149,2142514,1119290,1151317,,8058635,8158025,8286053,7670326,7080116,7010502,6813843,6433177,5529963,5721194,,10904014,10755932,10292591,9783690,9229471,9104224,8864557,8429592,7371311,9321931
847141,"Data-processing machines, automatic, comprising in the same housing at least a central processing ...",1268999,973727,1462732,1439945,1092515,1092450,1051153,1327817,677030,1133811,,4377850,4208729,3929256,2747799,2000406,1994444,2431804,2504558,2603626,3140525,,2464074,1645212,1985326,1991890,1580405,1583599,1583052,2024588,1866041,2334796
851310,Portable electrical lamps designed to function by their own source of energy,523082,615029,574542,611747,713177,688342,773233,791819,805245,1128754,,2768805,2894154,2989492,3098781,3005289,2627449,2402917,2286549,2314705,2560732,,577307,665202,622054,660256,753227,727765,817572,826108,838502,1168572
851822,"Multiple loudspeakers, mounted in the same enclosure",710835,803576,884211,865155,746162,876970,877746,1046503,1232999,1126298,,1886654,2185587,2832404,3151895,3326634,4217067,3900892,3677174,3577111,3653005,,1105999,1232040,1432473,1510582,1346560,1259206,1175246,1388168,1865254,2350891
732119,"Appliances for baking, frying, grilling and cooking and plate warmers, for domestic use, of ...",188279,236237,248944,283686,314390,413753,460357,546134,804332,1102845,,435930,466510,519940,556962,463216,517218,553877,696595,838023,1105907,,198372,248193,262764,298030,329601,426454,474447,560180,848060,1197113
940171,"Upholstered seats, with metal frames (excluding seats for aircraft or motor vehicles, swivel ...",540522,592915,642009,788609,854506,983455,1008392,795373,830476,1099507,,5992403,5942871,5089381,4605664,3828044,3997680,4881497,5866976,7505435,8550096,,884314,963963,1073495,1277084,1391033,1490811,1528358,1385204,1291531,1680950
