Product code,Product label,Japan's imports from Viet Nam-Value in 2012,Japan's imports from Viet Nam-Value in 2013,Japan's imports from Viet Nam-Value in 2014,Japan's imports from Viet Nam-Value in 2015,Japan's imports from Viet Nam-Value in 2016,Japan's imports from Viet Nam-Value in 2017,Japan's imports from Viet Nam-Value in 2018,Japan's imports from Viet Nam-Value in 2019,Japan's imports from Viet Nam-Value in 2020,Japan's imports from Viet Nam-Value in 2021,Viet Nam's exports to world- ,Viet Nam's exports to world-Value in 2012,Viet Nam's exports to world-Value in 2013,Viet Nam's exports to world-Value in 2014,Viet Nam's exports to world-Value in 2015,Viet Nam's exports to world-Value in 2016,Viet Nam's exports to world-Value in 2017,Viet Nam's exports to world-Value in 2018,Viet Nam's exports to world-Value in 2019,Viet Nam's exports to world-Value in 2020,Viet Nam's exports to world-Value in 2021,Japan's imports from world- ,Japan's imports from world-Value in 2012,Japan's imports from world-Value in 2013,Japan's imports from world-Value in 2014,Japan's imports from world-Value in 2015,Japan's imports from world-Value in 2016,Japan's imports from world-Value in 2017,Japan's imports from world-Value in 2018,Japan's imports from world-Value in 2019,Japan's imports from world-Value in 2020,Japan's imports from world-Value in 2021
280530,"Rare-earth metals, scandium and yttrium, whether or not intermixed or interalloyed",128672,83414,139825,120875,113791,151842,159509,133917,104163,175864,,40387,120630,134330,119414,101195,137405,0,0,0,203657,,400724,201854,226348,216023,180832,230513,291798,254143,201202,313321
90111,Coffee (excluding roasted and decaffeinated),171882,169331,164985,155746,178627,198061,186186,141239,164047,175026,,3507401,2513198,3267706,2341585,2967118,3007675,2811711,2135113,1886972,2233123,,1583688,1479057,1332057,1476660,1310003,1318155,1146582,1139563,1052939,1183121
848180,"Appliances for pipes, boiler shells, tanks, vats or the like (excluding pressure-reducing ...""",308455,273569,316137,253364,279741,244577,245391,242294,214119,174156,,22737,74427,123512,182431,282148,337107,327203,299008,341481,563799,,1311666,1191276,1310950,1165468,1234664,1273221,1362874,1316040,1218919,1264669
392690,"Articles of plastics and articles of other materials of heading 3901 to 3914, n.e.s (excluding ...",58864,79867,101232,110643,121279,118586,137501,148339,156969,173209,,333801,355892,438673,486320,520451,562645,667630,750748,817782,1042662,,2254608,2177636,2259540,2113597,2267285,2371886,2570019,2538387,2639842,2908262
870895,"Safety airbags with inflator system and parts thereof, for tractors, motor vehicles for the ...",88859,96051,105035,110158,105012,143179,166051,191543,167248,170605,,177183,196092,186980,193131,174477,246406,289557,357912,308709,357333,,645764,631718,640337,624268,802892,935724,976961,802976,597462,612396
620193,"Men's or boys' anoraks, windcheaters, wind jackets and similar articles, of man-made fibres ...",67000,92128,79517,92164,110625,129618,209206,230815,197702,169517,,480336,665758,790179,817012,859628,1058541,1435655,1510901,1233445,1792798,,790932,825894,708413,679403,649650,666117,905562,929013,715054,713289
610990,"T-shirts, singlets and other vests of textile materials, knitted or crocheted (excluding cotton)",153509,142260,160334,203146,209647,239581,252948,290445,220156,157195,,400673,539016,705758,803556,893999,1006157,1190022,1178020,1035429,880378,,1152358,1197173,1111438,994987,1003564,1054992,1170958,1068940,926391,786017
853400,Printed circuits,105986,84340,117533,184234,205104,203080,160821,150747,143682,155042,,272144,344284,443344,533718,535173,639625,756251,1064644,1093481,1462489,,1165255,1223783,1339335,1414330,1451485,1443004,1268564,1227874,1219947,1477342
270900,"Petroleum oils and oils obtained from bituminous minerals, crude",3748972,2185786,1673119,640387,200874,349328,261341,242716,156147,150451,,8397950,7375358,7224230,3823780,2578325,3108577,2146666,1892580,1568351,1895860,,153107429,145720787,130657498,67369928,50863559,63771259,80676236,73085389,43509685,63136252
870840,"Gear boxes and parts thereof, for tractors, motor vehicles for the transport of ten or more ...",72468,179697,199625,189283,191497,195647,213212,159611,114748,143354,,241048,307860,380647,315208,345644,361079,376800,391886,369034,553537,,1063660,1283775,1260871,1084241,1046989,1240408,1259444,1043874,763506,994513
610463,"Women's or girls' trousers, bib and brace overalls, breeches and shorts of synthetic fibres, ...",12001,18179,20935,19948,64616,62785,65051,79692,111993,135945,,226495,303976,444073,579426,657799,872311,945371,1049498,1196848,1543758,,454452,443389,380794,374779,433518,443123,473536,476356,508089,614566
940190,"Parts of seats, n.e.s.",41095,32640,51638,60468,80666,85011,112676,140164,128499,133570,,130869,143016,165359,231403,204172,215179,300198,410920,408611,713865,,1041723,1028777,1159269,1207173,1263140,1314173,1403193,1405670,1099325,1157723
621133,"Men's or boys' tracksuits and other garments, n.e.s. of man-made fibres (excluding knitted ...",93970,70770,86888,93417,100517,116353,148011,158624,153802,126788,,111470,143007,168618,191661,197002,208931,274052,322436,314700,445791,,415210,327754,338506,314039,317528,331420,385610,425163,375888,336085
401519,"Gloves, mittens and mitts, of vulcanised rubber (excl. of a kind used for medical, surgical, ...",8398,10178,14321,16528,32803,32675,35794,37291,69510,124506,,55587,64492,80507,76792,91940,112668,143549,152867,311629,544399,,319765,316447,325293,344393,330222,380768,428232,438913,746155,1137631
392620,Articles of apparel and clothing accessories produced by the stitching or sticking together ...,18128,27364,33914,33044,36193,50538,65464,62773,110208,124333,,92713,91590,96785,98058,106896,139836,157126,174099,198558,360932,,401923,387446,389325,379023,370692,413383,429286,398636,782494,749748
940161,"Upholstered seats, with wooden frames (excluding convertible into beds)",53197,64360,76271,84654,98629,106940,108680,125938,124189,119772,,111926,153236,178537,188256,283180,431639,695244,1194169,1748997,4426010,,630220,649138,652575,591031,616879,624632,625761,653738,625107,629975
630790,"Made-up articles of textile materials, incl. dress patterns, n.e.s.",35079,48079,56074,65522,72778,74257,86672,93786,228706,115794,,258742,339419,475214,553920,526194,483546,546053,670926,1916873,818840,,1171477,1176189,1155233,1140050,1142144,1190942,1262952,1312969,5171399,2092684
761090,"Structures and parts of structures, of aluminium, n.e.s., and plates, rods, profiles, tubes ...",4701,7525,31805,63440,63340,73103,96292,108906,93003,108725,,21627,35319,62096,88612,105288,150928,185973,191712,194047,191358,,258518,350744,558415,580573,538462,524630,612326,679881,582171,651742
844399,"Parts and accessories of printers, copying machines and facsimile machines, n.e.s. (excluding ...",20211,18843,33461,45978,50619,59153,70383,86362,82072,107362,,191040,210187,225505,253116,297542,378785,442233,472092,421137,1749655,,2320136,2052980,1940604,1856325,1921760,1810461,1769064,1907965,1651923,1768570
940429,"Mattresses, fitted with springs or stuffed or internally filled with any material (excluding ...",2639,5217,17358,30625,38927,51288,66867,85145,95040,104102,,8353,14628,26286,43729,53802,72992,90305,200799,202027,116178,,108489,112141,120995,119436,128002,141657,159419,193595,193966,205684
270111,"Anthracite, whether or not pulverised, non-agglomerated",206797,161189,93615,65431,52944,104595,115374,60318,43348,103768,,1200860,902332,545621,180802,115861,243757,319758,168813,115581,292268,,1098690,815903,645464,599383,531374,919839,964964,851790,595922,910506
851680,Electric heating resistors (excluding those of agglomerated coal and graphite),34064,31032,29532,36280,44999,62395,65112,84726,87485,98501,,51486,67026,76361,76371,96993,124822,140678,168504,184996,274149,,161559,158890,161286,167649,170355,191073,203658,207741,192427,221479
721391,"Bars and rods, hot-rolled, in irregularly wound coils, of iron or non-alloy steel, of circular ...",0,0,0,0,0,0,32468,33085,30127,98185,,36695,29065,16634,25611,21528,126841,257222,177633,343884,592029,,176259,74102,57188,43388,30391,34276,141434,160929,128458,210809
621210,"Brassieres of all types of textile materials, whether or not elasticated, incl. knitted or ...",70307,70589,81656,73800,69304,66475,108491,97408,110203,94592,,137767,154428,183058,213233,363179,561480,690134,820477,721248,1132250,,623041,597912,553907,488311,542936,564544,568954,533719,526882,509390
844331,"Machines which perform two or more of the functions of printing, copying or facsimile transmission, ...",51753,56509,41825,58892,62812,64633,74243,95858,92990,94393,,889681,1067546,1022358,1053053,1088598,1374461,1772299,1904457,1985644,1816390,,2123383,1785553,1732634,1617918,1460115,1378741,1378152,1361830,1353510,1256813
850110,"Motors of an output <= 37,5 W",74996,54230,54110,58317,67323,70274,71881,83810,69477,93130,,600827,576224,588543,670788,615110,642320,593354,542132,466283,796356,,679754,591883,613727,574807,595441,616266,655680,636335,524206,652681
847330,Parts and accessories of automatic data-processing machines or for other machines of heading ...,5995,7474,9972,25942,42324,28335,35298,49877,54848,92828,,276348,318107,318241,480268,433810,498371,468664,1066567,3078781,9762658,,3081488,3005935,2751021,2259561,2266728,2661957,2790168,2895335,2213315,2400029
620520,"Men's or boys' shirts of cotton (excluding knitted or crocheted, nightshirts, singlets and ...",47958,48545,63590,54931,56904,70165,86597,94890,88631,85283,,330169,442998,563243,590874,623384,655973,730842,721440,514661,644468,,847079,830508,779735,693000,608760,543762,546808,514429,390899,337620
621040,"Men's or boys' garments of textile fabrics, rubberised or impregnated, coated, covered or laminated ...",32090,25431,27933,31739,49403,60679,69634,85054,91381,85274,,155231,215321,303777,271886,306041,350045,406276,455029,365156,593168,,214918,201293,176808,176555,185421,215488,202727,236924,222259,212331
390761,"Poly""""ethylene terephthalate"""", in primary forms, having a viscosity number of >= 78 ml/g""""",0,0,0,0,0,7040,23337,65559,51146,85159,,0,0,0,0,0,0,124946,376670,331449,477018,,0,0,0,0,0,886128,1093224,1033820,720806,854737
280470,Phosphorus,43845,43431,44891,49071,45897,54178,66246,68255,64151,85100,,136404,146871,204057,198045,208111,232313,279835,240149,249930,362794,,66387,59046,60142,59543,54471,59844,70610,72932,65799,85658
901890,"Instruments and appliances used in medical, surgical or veterinary sciences, n.e.s.",58666,52069,43055,40486,40078,61614,71760,82494,80678,84640,,14708,18474,20499,29136,73829,165831,210419,249338,274310,792751,,2110034,2229635,2074421,1994957,2127770,2170041,2486105,2725098,2459588,2560904
730890,"Structures and parts of structures, of iron or steel, n.e.s. (excluding bridges and bridge-sections, ...",13738,14216,22521,31887,35460,45201,77218,106747,86219,84228,,113339,100629,146602,132861,190366,175026,194215,325913,324942,474381,,1469824,1227824,1409305,1555610,1585927,1540189,1932721,1919583,1680532,1762624
854370,"Electrical machines and apparatus, having individual functions, n.e.s. in chapter 85",7750,8317,8268,8572,15055,15239,14555,29425,46239,83402,,13201,16236,25315,27380,38259,64876,129488,112917,237914,679531,,2401526,2030912,2222629,1977041,2075656,2282399,2197251,2296115,2172519,2206172
852580,"Television cameras, digital cameras and video camera recorders",33216,11062,22167,37952,64683,85939,91110,97690,70916,83350,,73245,110450,365356,871378,901312,1358865,2268382,1976684,2066189,2436098,,2081378,2069494,1808342,1625104,1542739,1893185,2191291,2427148,2266501,2449165
870894,"Steering wheels, steering columns and steering boxes, and parts thereof, for tractors, motor ...",31446,36888,40855,44667,50198,56900,64752,72623,74790,82869,,35639,39678,42788,46238,51310,59291,71427,94201,114821,140276,,379543,327888,323771,342713,398424,427344,446393,424859,332493,386667
620463,"Women's or girls' trousers, bib and brace overalls, breeches and shorts of synthetic fibres ...",37251,51141,52161,67696,77569,85582,87401,94975,97073,82465,,382088,511757,665902,758807,777249,786293,895858,950698,864059,1002360,,489916,496165,453628,546126,622354,640703,638527,587527,607488,570747
630532,"Flexible intermediate bulk containers, for the packing of goods, of synthetic or man-made textile ...",27767,40759,67187,61109,50571,51411,60079,69483,81272,80331,,96477,124666,167323,85004,173363,204366,240901,261614,308300,367000,,306107,334469,401945,361683,337458,332517,361881,377264,349982,363014
850152,"AC motors, multi-phase, of an output > 750 W but <= 75 kW",9147,18969,32285,57362,67723,75443,83662,83942,66343,76810,,59604,72067,83693,74668,60432,117246,81696,90657,120892,249713,,244114,232367,293022,296502,287997,326979,378202,359150,291805,363223
610343,"Men's or boys' trousers, bib and brace overalls, breeches and shorts of synthetic fibres, knitted ...",7639,7431,14026,16722,22538,35841,56503,65156,90955,75925,,95158,144621,195128,210012,293742,363440,482394,533015,520453,676470,,258554,236134,246702,244168,256251,293389,344262,333659,328560,402735
853690,"Electrical apparatus for switching electrical circuits, or for making connections to or in ...",77050,63829,66209,58179,59659,85487,78320,62232,61368,75847,,146007,179220,193582,157052,209496,279400,380219,373951,378850,414084,,1396428,1273626,1249269,1076277,1147913,1279935,1328725,1221377,1233406,1565776
720230,Ferro-silico-manganese,26282,33070,46391,44645,41225,61132,65649,61185,54116,74869,,40562,49863,87830,61902,69936,68829,82693,65911,58560,99952,,290227,302170,321251,234256,201595,297113,334808,294183,236199,350296
940350,Wooden furniture for bedrooms (excluding seats),41847,48670,58924,55276,63720,62293,70290,79899,86710,74424,,900200,1002600,1060964,1014195,1088113,1186412,1219627,1325972,1363822,2926426,,212449,212467,221082,196092,213714,202542,215066,228885,248244,248930
940490,"Articles of bedding and similar furnishing, fitted with springs or stuffed or internally filled ...""",41420,47384,48975,49105,44324,38990,47451,52671,65283,74393,,82137,78615,83514,65709,108001,156948,137338,131896,143733,175945,,1179825,1123176,1076047,956867,949991,1024703,1097901,1069019,1029613,1135718
621143,"Women's or girls' tracksuits and other garments, n.e.s. of man-made fibres (excluding knitted ...",40997,46329,54722,69877,74064,71364,93699,91409,85814,74274,,86491,116365,176843,239140,243318,261023,315781,369674,368945,450301,,416260,369718,349020,330482,364834,369718,382391,375943,326181,330951
854140,"Photosensitive semiconductor devices, incl. photovoltaic cells whether or not assembled in ...",4409,14053,15227,21259,38773,57376,42235,83067,85057,74153,,111706,135239,92150,551223,1617756,2325299,2000068,3507962,4460421,2997497,,3102976,7006545,8757444,6401137,4820917,3941670,3678500,3576346,3188082,3164423
854449,"Electric conductors, for a voltage <= 1.000 V, insulated, not fitted with connectors, n.e.s.",43665,50671,48293,48999,45694,56850,65025,57829,52685,72879,,214839,293188,371350,447719,571373,756802,848735,454469,382545,428138,,407118,407818,429129,400286,341104,376150,421747,399953,359650,469179
901839,"Needles, catheters, cannulae and the like, used in medical, surgical, dental or veterinary ...",83955,72177,73458,72103,61977,55454,64954,71541,80592,71799,,199298,212164,257796,242024,247526,210958,265381,329177,322101,356653,,2193933,1845814,1852868,1675224,1774224,1854349,2108403,2164806,2162757,2194172
851829,"Loudspeakers, without enclosure",7901,7021,14605,35641,45673,49472,65336,84830,65827,71140,,256128,284373,458970,482990,558091,685614,778495,801412,857683,887477,,436930,374015,378565,356227,367816,365926,392804,422254,356617,409961
620342,"Men's or boys' trousers, bib and brace overalls, breeches and shorts, of cotton (excluding ...",97485,106859,109240,114556,121889,109141,128519,115350,88285,68441,,495843,589240,619227,603436,658759,665475,727989,764007,604495,911005,,1035618,1098885,962452,955121,908388,816600,838977,801585,668878,644030
732690,"Articles of iron or steel, n.e.s. (excluding cast articles or articles of iron or steel wire)",25012,24258,36596,43377,44895,59691,75691,74114,65621,67900,,113554,117926,171068,200051,205184,224833,309133,407116,358747,464796,,1437041,1381266,1418670,1277753,1314115,1354087,1453391,1450096,1275415,1470911
611011,"Jerseys, pullovers, cardigans, waistcoats and similar articles, of wool, knitted or crocheted ...",14789,16978,23219,32067,46400,62758,102973,85822,88556,65967,,13652,21062,28868,41869,61438,80854,134394,119159,124563,155960,,562928,569632,524147,476492,425246,422517,467463,432112,345452,312232
392610,"Office or school supplies, of plastics, n.e.s.",47116,55117,67512,67533,68697,70260,75730,74882,71781,65011,,57002,66267,80706,70702,64821,80099,67715,63432,63600,90822,,238862,229434,237519,224804,219527,218007,228987,224853,206088,211745
700600,"Sheets or profiles of glass, whether or not having an absorbent, reflecting or non-reflecting ...",42158,73397,92776,97994,86395,81206,87264,81696,38139,62585,,16059,3050,5762,12456,13596,14204,14975,12943,10389,608592,,580348,541211,618862,526960,463206,416338,426610,361602,413085,477775
848190,"Parts of valves and similar articles for pipes, boiler shells, tanks, vats or the like, n.e.s.",16734,23728,27264,27277,33000,38934,46667,56359,46636,62531,,46877,60556,117921,167024,210710,256609,286748,306853,263449,218017,,562493,544971,603759,563126,589257,627001,708174,690403,627943,724600
871120,"Motorcycles, incl. mopeds, with reciprocating internal combustion piston engine of a cylinder ...",1295,25247,54102,56841,60444,37886,57599,48632,48211,60781,,176912,357886,459749,413158,484908,558125,574223,608731,695953,736919,,286555,311742,269947,239566,235168,224233,277300,266486,325497,438218
401693,"Gaskets, washers and other seals, of vulcanised rubber (excluding hard rubber and those of ...",11195,12648,16071,16568,33256,55390,61535,63064,51616,60309,,85592,103367,123579,137472,161972,182099,214506,217405,207785,266140,,323586,293878,300950,273870,297818,334500,356521,336414,287957,340204
850511,Permanent magnets of metal and articles intended to become permanent magnets after magnetization ...,2053,375,611,790,818,929,1083,991,20369,59528,,479,785,854,688,13843,57226,93104,103729,118939,226166,,455075,298707,326617,277373,290823,353121,378970,384306,368536,557222
853890,"Parts suitable for use solely or principally with the apparatus of heading 8535, 8536 or 8537, ...",30857,35619,41546,51194,50458,58147,61403,55903,47439,59419,,20797,23981,28092,42701,56722,74493,87932,113406,173239,367913,,825422,837260,963135,985885,1022785,1107300,1041308,940793,799536,918393
620530,"Men's or boys' shirts of man-made fibres (excluding knitted or crocheted, nightshirts, singlets ...",65529,56442,67433,70901,78609,77855,78464,86781,79671,58810,,122514,130434,153479,167488,182565,168057,192754,205416,175784,213354,,344250,289531,321119,277040,287732,293850,307648,337329,282434,257298
844332,"Machines which only perform one of the functions of printing, copying or facsimile transmission, ...",21365,28878,45214,55711,55757,66430,57998,68039,62704,58728,,1235520,1218803,1190505,1181063,1156814,1465910,1410023,1137962,953660,841020,,750774,651680,715366,576567,520151,537867,581364,620851,502954,470150
852990,"Parts suitable for use solely or principally with flat panel display modules, transmission ...",50073,34512,33567,28949,26932,19778,25339,65810,67444,57170,,95556,111020,271563,318329,356457,605328,2439625,2897438,5170175,13926661,,4378265,3400666,3081400,2773777,2785911,2796831,2817145,2973599,2625298,2772826
610610,"Women's or girls' blouses, shirts and shirt-blouses of cotton, knitted or crocheted (excluding ...",27246,32244,42241,42106,44375,40634,62800,65532,52150,56872,,78511,96213,89767,88959,68334,75024,101800,80571,76142,151004,,409552,373444,340517,293877,299948,278399,295654,314514,316198,361433
610520,"Men's or boys' shirts of man-made fibres, knitted or crocheted (excluding nightshirts, T-shirts, ...",14241,15436,20727,27791,50437,57248,72286,78586,74086,56804,,181742,201010,213094,248033,294697,358643,356338,385959,290231,417989,,253214,239780,228780,211787,229750,254806,271018,289976,268993,241747
711319,"Articles of jewellery and parts thereof, of precious metal other than silver, whether or not ...",35153,35928,35533,34551,38818,40775,43448,44904,48293,56364,,288182,158941,181883,175159,211487,190304,199262,343654,241814,276608,,1511187,1459375,1578643,1515090,1676967,1774606,1729387,1853572,1422936,1781292
560819,"Knotted netting of twine, cordage, ropes or cables, by the piece or metre; made-up nets, of ...",53638,50210,55927,53138,62430,65373,60357,66937,62956,53909,,62203,67248,75435,79666,82695,86131,95619,94164,80959,77251,,146627,127134,127335,122222,132096,125933,119072,123497,122976,116938
842139,Machinery and apparatus for filtering or purifying gases (excl. isotope separators and intake ...,287,530,1008,1397,1120,1346,1191,2128,20413,53841,,1700,1997,3511,3474,2383,5612,6033,29882,55161,91004,,568652,578451,544975,417620,412470,503041,647980,611097,717769,910278
610462,"Women's or girls' trousers, bib and brace overalls, breeches and shorts of cotton, knitted ...",17028,20531,20298,27441,15538,8548,23058,45843,44613,53822,,233428,268366,326361,373028,409914,492649,554623,555469,607182,920050,,228718,280207,249232,238998,215856,211905,226708,259242,214857,242917
