Product code,Product label,"Taipei, Chinese's imports from Japan-Value in 2012","Taipei, Chinese's imports from Japan-Value in 2013","Taipei, Chinese's imports from Japan-Value in 2014","Taipei, Chinese's imports from Japan-Value in 2015","Taipei, Chinese's imports from Japan-Value in 2016","Taipei, Chinese's imports from Japan-Value in 2017","Taipei, Chinese's imports from Japan-Value in 2018","Taipei, Chinese's imports from Japan-Value in 2019","Taipei, Chinese's imports from Japan-Value in 2020","Taipei, Chinese's imports from Japan-Value in 2021",Japan's exports to world- ,Japan's exports to world-Value in 2012,Japan's exports to world-Value in 2013,Japan's exports to world-Value in 2014,Japan's exports to world-Value in 2015,Japan's exports to world-Value in 2016,Japan's exports to world-Value in 2017,Japan's exports to world-Value in 2018,Japan's exports to world-Value in 2019,Japan's exports to world-Value in 2020,Japan's exports to world-Value in 2021,"Taipei, Chinese's imports from world- ","Taipei, Chinese's imports from world-Value in 2012","Taipei, Chinese's imports from world-Value in 2013","Taipei, Chinese's imports from world-Value in 2014","Taipei, Chinese's imports from world-Value in 2015","Taipei, Chinese's imports from world-Value in 2016","Taipei, Chinese's imports from world-Value in 2017","Taipei, Chinese's imports from world-Value in 2018","Taipei, Chinese's imports from world-Value in 2019","Taipei, Chinese's imports from world-Value in 2020","Taipei, Chinese's imports from world-Value in 2021"
853400,Printed circuits,370444,314209,368745,376213,395491,523002,527855,468180,609899,757069,,3374478,2632669,2447663,2232890,2292242,2583379,3107340,2763492,2798802,3041081,,1328828,1381011,1517079,1483156,1442312,1554941,1750855,1975409,2669488,3610051
853224,"Fixed electrical capacitors, ceramic dielectric, multilayer (excluding power capacitors)",119565,124958,130777,123111,152287,189007,271063,317331,478144,725956,,2823553,2603389,2703373,2801180,2805946,3206806,4040387,4315051,4679757,5595313,,382959,377491,391776,366541,545678,631315,930938,793066,1083012,1591232
903082,Instruments and apparatus for measuring or checking semiconductor wafers or devices,445459,455217,495209,300582,299340,470155,712500,435987,570362,614599,,701590,512970,694970,599068,641788,1043991,1498329,1126235,1440515,1728008,,1639676,1504331,2483971,1541914,1629789,1535082,1848923,1851525,2137078,2463560
720712,"Semi-finished products of iron or non-alloy steel containing, by weight, < 0,25% of carbon, ...""",1056114,915065,851710,481280,321930,565007,616580,469460,340786,548502,,2057692,1937663,1847033,1091705,944008,1122565,1087394,946217,924378,1213307,,1677059,1343947,1219211,760661,611150,1071855,1304057,932640,670012,1622477
870340,"Motor cars and other motor vehicles principally designed for the transport of <10 persons, ...",0,0,0,0,0,114323,182832,404060,557620,540272,,0,0,0,0,0,10710065,11071157,16315948,18239044,19084523,,0,0,0,0,0,118871,241582,608045,1214287,1457099
710812,"Gold, incl. gold plated with platinum, unwrought, for non-monetary purposes (excluding gold ...",68316,87932,173667,346912,129899,138718,127999,90824,93872,516493,,4344248,3349094,3182441,3943818,6386629,7368144,5225523,5353684,6976956,6011577,,714714,870063,899217,898025,671416,642346,772799,389164,775887,924304
903149,"Optical instruments, appliances and machines for measuring or checking, not elsewhere specified ...",92619,88159,98696,114289,168458,123877,101654,305682,309340,494032,,452079,389504,532670,487588,539551,877816,999730,852743,803364,1106011,,307231,307016,342303,395071,503199,380935,445694,608809,642266,1042846
900120,Sheets and plates of polarising material,670543,587034,687966,474547,474596,496866,408387,399772,422755,429768,,4273668,3769793,3411108,2747743,2573066,2853707,2816712,2638148,2403683,2447408,,1299427,1107950,1063830,737552,659015,717080,606379,542745,662814,656853
392073,"Plates, sheets, film, foil and strip, of non-cellular cellulose acetates, not reinforced, laminated, ...",906503,697992,631824,485769,494126,462859,494205,414863,428453,428761,,2013760,1448308,1346825,1041939,947194,900881,899737,811606,796374,868538,,917613,708402,642208,492447,499493,467653,509444,427453,455027,459298
848610,Machines and apparatus for the manufacture of boules or wafers,322232,230761,211173,151364,291462,271624,142490,237955,272636,422681,,915012,571242,648288,546658,774842,792380,898338,947973,917117,1340414,,533569,471444,337818,385440,500430,409034,370959,439162,429757,686272
853710,"Boards, cabinets and similar combinations of apparatus for electric control or the distribution ...",432973,367008,408316,367948,327080,382697,393927,290944,289328,406868,,3215557,2813145,2870431,2387025,2649395,3216581,3243433,2754691,2616653,3236128,,711789,697247,787817,737454,696263,808606,913509,984843,948980,1271970
847989,"Machines and mechanical appliances, n.e.s.",402339,325907,266415,355916,239160,243033,277727,361473,309172,399779,,6500233,4594694,4824130,4142174,4539473,5446369,5564167,5269198,4823279,5400940,,761084,771724,693818,783284,754779,558366,695801,763934,835788,1051146
903090,Parts and accessories for instruments and apparatus for measuring or checking electrical quantities ...,136467,140163,149396,162076,179084,235154,215288,249634,292845,350865,,1211158,871629,923983,996663,927046,1328902,1359412,1308664,1471363,1763480,,577290,637429,744014,901109,1017849,1098679,1355096,1264550,1644104,1858594
290243,P-Xylene,830151,820043,418286,379185,439924,515806,702657,761326,236586,341621,,4411749,4802057,2959557,2281518,2260060,2615482,3292385,3115071,1360557,1577062,,2046852,2007903,1389607,953011,920659,1142416,1728913,1609898,895212,1401277
391990,"Self-adhesive plates, sheets, film, foil, tape, strip and other flat shapes, of plastics, whether ...",258850,251459,255807,230806,233433,229053,246366,257498,314336,333335,,2192601,1962610,1980391,1776514,1852565,2184618,2066337,2018692,2362543,2756433,,454171,456457,437474,391665,383495,397859,413905,440198,496752,553421
392190,"Plates, sheets, film, foil and strip, of plastics, reinforced, laminated, supported or similarly ...",351154,349437,348126,277434,259952,283186,288729,274730,277519,298194,,1019586,960104,931655,911030,1045179,1095231,1207066,1232647,1237683,1390820,,541306,540589,533366,463085,424582,465969,508709,500298,506522,586349
710813,"Gold, incl. gold plated with platinum, in semi-manufactured forms, for non-monetary purposes",316446,197573,170467,137122,162465,168774,161693,180271,232876,294245,,1921294,1279150,1186511,961815,964088,1065141,1050982,1054340,1334483,1619299,,1416149,1053777,950788,756574,802082,819449,804913,861208,1202319,1299090
843139,"Parts of machinery of heading 8428, n.e.s.",86394,32070,19183,98649,113069,149964,75315,190743,231220,258475,,281522,289244,236132,267341,254828,310978,317889,354529,248470,323457,,106733,54171,46521,123309,132601,174672,101509,213826,264954,297244
999999,Commodities not elsewhere specified,148236,152270,160963,161136,161504,182478,189068,175876,198266,248141,,35510098,35791397,35844356,37085260,38221709,44060363,45598508,44943815,41066512,50409214,,2137731,3152091,4097793,4552289,3273929,3698539,3509151,3723829,3768943,4306975
870840,"Gear boxes and parts thereof, for tractors, motor vehicles for the transport of ten or more ...",366223,307113,307792,262651,224597,223892,201134,179340,191903,240143,,18118224,16197600,15644451,13820476,16094029,18040484,18957882,16986979,14280563,17073295,,477287,436555,496921,432332,390084,387112,349030,353747,365892,427279
720449,"Waste and scrap of iron or steel (excluding slag, scale and other waste of the production of ...",67832,103782,190661,228449,176236,107055,146655,169438,272001,234275,,3497083,3157732,2688540,1916036,1934304,2403099,2369709,1731332,1836892,2498227,,1935893,1535189,1391430,742595,593286,682172,1146204,886035,853510,1251239
300490,"Medicaments consisting of mixed or unmixed products for therapeutic or prophylactic purposes, ...""",109073,107566,118376,127485,119151,143852,170248,180469,211395,230402,,1420010,1364645,1333085,1868063,2221532,2483862,3323493,4209092,4223491,3815356,,1734434,1946118,1915615,1996596,2024074,2216463,2412718,2668381,2735461,2883589
270730,"Xylol """"xylenes"""" containing > 50% of xylenes (excluding chemically defined)""""",48402,47103,248169,102812,268846,281390,296862,278384,136376,230082,,590378,770510,1160577,878729,941511,1260618,1458573,1300333,821434,1075710,,1215122,906205,909342,439383,563724,541378,601664,514596,265590,426553
854160,Mounted piezoelectric crystals,8147,7010,11132,34337,88406,103706,99795,97299,127311,223550,,1423340,1291407,1412354,1641288,2055093,1825089,1725086,1588377,1689049,1932560,,35998,36273,45277,155201,361893,407451,384666,367122,477121,764748
845611,"Machine tools for working any material by removal of material, operated by laser (excl. soldering ...",0,0,0,0,0,154967,132368,111146,150228,217154,,0,0,0,0,0,781329,900494,636121,713890,1086804,,0,0,0,0,0,312002,379087,218140,248067,376197
854290,"Parts of electronic integrated circuits, n.e.s.",195873,190913,192001,140527,165430,160926,161954,140066,166827,210582,,2658241,2080385,1946253,1788021,1670657,1683931,1725125,1768258,2373182,3525895,,376930,376042,369143,285131,325494,346348,314039,276624,315407,435647
381512,"Supported catalysts with precious metal or a precious-metal compound as the active substance, ...",135562,101722,107505,59755,82264,98900,151055,109716,235324,205361,,598001,430873,433931,388800,385709,430269,526374,646933,960902,1457851,,274167,326945,301201,171115,220489,261670,285873,273659,419898,366470
741021,"Refined copper foil, backed, of a thickness """"excluding any backing"""" of <= 0,15 mm (excluding ...""",267030,226354,205518,154936,178350,187879,198373,185901,218341,202327,,612323,500375,496580,463490,456628,586050,575439,567556,646140,676419,,345304,308664,305648,257711,306371,331136,355941,348634,396531,408413
330499,"Beauty or make-up preparations and preparations for the care of the skin (other than medicaments), ...",238354,215949,199851,217269,247150,249874,295386,306329,223295,200708,,1029267,917389,909272,1096436,1586677,2164437,3301627,3870775,4803433,5660184,,602868,606523,624555,635325,773767,743211,867852,850633,719443,731481
280461,"Silicon containing >= 99,99% by weight of silicon",296224,256478,252330,220343,236015,219379,199994,167981,151437,196746,,616649,567418,520152,395392,429257,503006,454078,370929,348711,465987,,835811,963243,1077596,883278,920976,852709,668181,306496,264073,415442
854231,"Electronic integrated circuits as processors and controllers, whether or not combined with ...",113812,115760,62635,136435,131003,151831,120946,103229,153351,187238,,6300567,5070097,4928240,3922028,3839023,3956388,3488007,3137388,2773698,3354625,,2568572,2866098,3009120,2989741,3208129,3876774,4943731,7676826,9666271,12114421
842952,"Self-propelled mechanical shovels, excavators and shovel loaders, with a 360¡Æ revolving su ...",67008,82299,95288,95386,73780,85227,104009,122886,144418,181524,,8796642,6274793,6302923,5436446,5964075,6953668,7957695,7455007,5856728,8248127,,86104,98061,111050,106108,80933,98756,122727,142030,168008,213911
841199,"Parts of gas turbines, n.e.s.",109599,42054,63247,65337,246331,171628,188556,147294,132506,181040,,1671296,1479186,1126880,1217212,1337906,1166024,1384250,1266756,1406211,1487130,,172711,132163,260421,164186,355243,315353,355083,221602,227966,254823
850450,Inductors (excluding inductors for discharge lamps or tubes),55002,46563,43291,40285,106885,130835,113655,91380,133698,180940,,880772,871717,998639,1038191,1081067,1109622,1041731,1050110,1242910,1492318,,248514,280545,275409,271051,371190,410666,409274,372934,493981,694692
740319,"Copper, refined, unwrought (excluding copper in the form of billets, wire-bars, cathodes and ...",133446,165924,167796,116529,107217,137521,156204,111231,136354,180047,,188192,219735,220283,165314,154982,205054,228371,166309,219332,339277,,140172,170161,173290,123332,119558,152829,188962,148283,159678,234471
720720,"Semi-finished products of iron or non-alloy steel containing, by weight, >= 0,25% of carbon",161254,75345,10028,9548,14381,92893,214343,77208,155823,177407,,476115,437671,295698,256755,128569,285529,448652,247724,276142,480212,,377282,121099,244103,160584,202996,195943,306529,349966,368145,458437
720851,"Flat-rolled products of iron or non-alloy steel, of a width >= 600 mm, not in coils, simply ...",63276,79176,46789,37786,26410,50069,63740,79755,96609,171433,,2394879,1800837,1664899,1478428,1134363,937630,1598357,1511982,1235856,1871661,,171732,193137,214876,181371,76061,148309,155850,170663,275916,355787
710610,"Powder of silver, incl. silver plated with gold or platinum",281471,142541,222040,381628,465789,418963,259281,133287,153788,169506,,1031166,1024680,935067,795854,1168299,1137753,843826,914987,1285718,1631220,,467206,286900,374938,455008,610441,527506,339366,209544,302768,286326
903141,Optical instruments and appliances for inspecting semiconductor wafers or devices or for inspecting ...,185667,140416,74133,65606,78571,137148,122404,129492,142020,168886,,469768,457471,456332,441980,592313,668790,855127,1072940,1206440,1667727,,594546,822646,541418,639030,792519,788195,680513,1160644,1406793,2047539
854140,"Photosensitive semiconductor devices, incl. photovoltaic cells whether or not assembled in ...",540862,397369,367640,317907,257594,240156,173070,143127,139802,167123,,5832186,4725687,4535930,4031915,3912765,3882194,3955824,3532115,3441502,3822637,,1221393,1098751,1328129,1434975,1390726,1274702,989660,759028,809945,1008976
392099,"Plates, sheets, film, foil and strip, of non-cellular plastics, n.e.s., not reinforced, laminated, ...",198869,167187,167277,155834,136674,118186,121328,124941,140221,164068,,1883773,1795584,1832285,1609738,1743317,1861479,1969027,2080491,2374209,2611279,,258951,277254,283324,304567,247205,262360,255915,250421,297017,356334
848180,"Appliances for pipes, boiler shells, tanks, vats or the like (excluding pressure-reducing ...""",98356,107668,120908,104302,125011,132669,130789,130354,145799,163312,,2200916,2011256,1855265,1701753,1866677,2023503,2114436,1915582,1837107,2134211,,359349,402893,432865,408908,428953,444472,480203,486938,581197,702962
853669,Plugs and sockets for a voltage <= 1.000 V (excluding lamp holders),158438,139236,141915,106787,98953,104963,111790,114193,127316,158440,,248726,234827,237106,224509,225992,205239,210057,221546,317217,433729,,562323,559906,600972,556305,546918,585536,665410,724776,870753,1256270
392690,"Articles of plastics and articles of other materials of heading 3901 to 3914, n.e.s (excluding ...",130892,110304,118052,105061,122831,124928,129986,129169,150904,156816,,1961484,1761910,1728542,1603437,1699088,1845083,1993181,1991418,1938278,2167010,,414725,391742,418926,393647,417498,460269,504051,533228,617853,747299
841410,Vacuum pumps,55990,49111,54884,66370,80387,87952,73194,101029,97705,156615,,359737,347951,359568,374733,479002,641741,621730,523763,619261,773113,,151218,150550,163401,159486,192489,208857,208037,250041,231085,317475
320417,Synthetic organic pigments; preparations based on synthetic organic pigments of a kind used ...,121256,99756,155715,125451,143167,138344,165061,150693,153993,156276,,291506,215233,195163,213661,248809,266985,276722,249472,280772,326685,,189973,169826,224146,186236,205908,202204,255828,236644,233183,237508
847590,"Parts of machines for assembling electric or electronic lamps, tubes or valves or flashbulbs, ...",39086,60843,54832,62384,44636,56491,69924,85836,96836,149535,,466110,427904,410201,349824,539088,317841,459298,411279,330291,954961,,401559,310146,254619,429130,292367,273412,312997,338515,403368,1097867
720839,"Flat-rolled products of iron or non-alloy steel, of a width of >= 600 mm, in coils, simply ...",213592,240791,230586,164967,122610,159080,122407,85971,102430,146106,,3524202,3633297,3399559,3003043,2613537,3113681,2975280,2825628,3066288,4829165,,250888,259217,267559,191077,162814,180396,139422,233439,137072,204964
700490,"Sheets of glass, drawn or blown, but not otherwise worked (excluding glass coloured throughout ...""",31,15,127196,157923,109364,116061,113205,130474,157427,145600,,2356794,1487443,1043718,678380,578692,519523,527255,473315,441043,469352,,971,952,137849,185192,151904,183676,164172,151744,167949,147590
370199,"Photographic plates and film in the flat for monochrome photography, sensitised, unexposed, ...",175124,130987,106855,93175,102393,99067,111720,125461,123624,145504,,352657,298693,257821,251749,268725,261846,304930,331629,351667,375838,,211817,159918,143856,127461,142249,136674,151415,182215,197861,228045
370500,"Photographic plates and film, exposed and developed (excl. products made of paper, paperboard ...",0,0,0,0,59,123460,161702,143620,121478,141956,,0,0,0,0,0,368822,498124,457446,395735,399091,,0,0,0,0,85,297648,323415,301941,282233,314437
321410,"Glaziers' putty, grafting putty, resin cements, caulking compounds and other mastics; painters' ...",141903,121705,120686,110404,116095,104337,104797,99103,111101,141640,,246287,187511,197462,179920,209963,240171,250707,260538,262260,323642,,200316,179400,179167,165046,171295,169611,179910,173580,183091,238794
961900,"Sanitary towels (pads) and tampons, napkins and napkin liners for babies, and similar articles, ...",0,8409,80053,88453,87396,98390,100203,121045,128752,139062,,639690,813899,1080019,1490632,1389371,1625049,1558009,1376531,1053109,856860,,0,13772,146744,162273,162982,186117,190419,207516,211838,233451
340590,"Glass or metal polishes, whether or not in the form of paper, wadding, felt, nonwovens, cellular ...",192734,155882,135044,110525,106945,110834,104274,107547,130048,138758,,129797,107357,129132,119203,123397,137958,129776,115726,124293,132223,,301995,264810,259748,215584,177565,186612,175622,179841,224216,244778
392094,"Plates, sheets, film, foil and strip, of non-cellular phenolic resins, not reinforced, laminated, ...",19686,26051,42565,50079,62514,65136,80362,81938,112094,138300,,1792,1938,1400,1994,1759,1897,1810,1735,1765,2057,,20727,26941,43660,51519,65442,67263,82366,83908,113921,142692
860500,"Railway or tramway passenger coaches, luggage vans, post office coaches and other special purpose ...",0,29668,2855,16185,16071,0,0,1,0,136950,,58575,163529,12460,126149,396272,386321,439204,164796,86413,98573,,3,29668,2855,16185,16211,1415,114,1,117,136952
848640,Machines and apparatus specified in Note?9 C to chapter 84,90133,80174,168131,82371,102939,154694,209560,138079,182860,135091,,1154300,880532,941290,889524,1102677,1400828,1494680,1425698,1482298,1889755,,393805,336148,489137,232883,376987,449810,581634,470166,646759,788907
470710,"Recovered """"waste and scrap"""" paper or paperboard of unbleached kraft paper, corrugated paper ...""",47280,58273,59826,41233,39062,76842,36803,35931,46285,133951,,437839,425313,380891,323692,306746,363426,411718,229213,247627,349009,,160268,144916,140091,101475,118556,235941,193521,171880,176044,368529
870899,"Parts and accessories, for tractors, motor vehicles for the transport of ten or more persons, ...",181402,129665,123218,103906,95871,85579,99604,102382,109256,133172,,6733424,5642854,4629663,3630672,3480082,3690265,3753397,3516414,2845503,3460819,,362973,351954,419583,381472,363104,350288,368013,387235,405845,481472
850440,Static converters,110319,90501,92679,69738,80313,99548,97369,93931,115718,131672,,1906969,1973767,1958788,1727221,1825508,2025854,2230500,2399805,2451257,2824468,,844372,799085,849081,753315,797978,867324,981745,1148165,1341871,1644391
392069,"Plates, sheets, film, foil and strip, of non-cellular polyesters, not reinforced, laminated, ...",266215,263988,199494,141047,103999,109365,110141,102214,111534,130733,,113806,94462,68426,61832,68358,73683,81733,80978,100233,111076,,317815,316113,264992,208014,162265,163645,166418,151796,173042,223744
842129,Machinery and apparatus for filtering or purifying liquids (excluding such machinery and apparatus ...,36624,38926,40579,39116,54120,51177,87075,99834,119842,129033,,739589,658315,665862,587650,661889,681534,725789,726630,783582,845716,,87887,98083,155823,122425,131131,136206,207197,219328,259575,309894
702000,"Articles of glass, n.e.s.",32745,43277,61228,64219,83737,98278,125584,120592,125084,128836,,428724,328481,254026,264634,305036,356863,494855,515591,417058,462062,,106432,249140,417102,403940,340792,429011,411371,415510,550479,557067
842199,"Parts of machinery and apparatus for filtering or purifying liquids or gases, n.e.s.",76995,67532,72883,73505,71782,79460,83625,87857,109110,125198,,900159,805238,790649,665510,756285,732245,813511,817180,778914,885385,,265125,250275,290492,281572,286083,287762,310081,309870,362811,426542
741011,"Refined copper foil, not backed, of a thickness of <= 0,15 mm (excluding stamping foils of ...",64574,53751,52366,62329,58217,73999,99176,76517,95506,123380,,263440,232060,225155,246487,251768,310898,404155,368034,391490,512748,,134596,119920,112873,114746,108757,158123,187470,157998,205053,226318
390799,"Saturated polyesters in primary forms (excluding polycarbonates, alkyd resins, poly""""ethylene ...""",85628,86877,94012,68401,77079,89930,98103,75549,104576,122244,,632289,605009,563633,504768,541219,576286,590203,524130,532509,653723,,148846,148933,190904,139669,143122,158523,164100,138647,162698,214648
721049,"Flat-rolled products of iron or non-alloy steel, of a width of >= 600 mm, hot-rolled or cold-rolled ...""",97835,88102,83502,69018,57272,66138,71494,68751,95493,120959,,2515147,2108551,1694864,1213555,968021,999092,993493,824661,670959,1081887,,280525,284486,325918,237262,149002,153905,114802,119941,124581,169201
901390,"Parts and accessories for liquid crystal devices """"LCD"""", lasers and other appliances and ...""",169714,169159,216198,150564,124370,89798,89623,91275,101065,120632,,1130424,1027841,704108,531667,450421,451781,552749,486043,452013,440798,,540761,579394,529818,433603,302574,255963,280990,314726,410953,475055
741999,"Articles of copper, n.e.s.",6588,5454,14523,23625,21047,25403,45247,64430,84146,119837,,298654,255627,273169,197662,177301,195558,209269,154941,147593,222619,,55021,73192,123459,109339,83547,93471,109720,115136,142816,202174
320730,"Liquid lustres and similar preparations of the kind used in the ceramic, enamelling or glass ...",127694,85458,71343,59220,61770,64495,65067,47472,87022,118352,,423393,390261,455898,432544,468622,537630,598077,508147,620415,818134,,350883,320128,235551,147173,126596,122668,107729,91526,129375,174701
871499,"Parts and accessories, for bicycles, n.e.s.",181875,131160,142023,155336,135462,133509,139148,127741,102905,116073,,590002,452138,517529,551456,546224,501110,510114,477873,485718,684426,,358413,290586,306800,328275,279393,284574,275303,276079,272635,365263
901380,"Liquid crystal devices, n.e.s. and other optical appliances and instruments not elsewhere specified ...",98838,72735,118042,117174,49765,192816,167270,136867,108116,113468,,6423272,5381490,6484510,5112263,4091021,4879435,3522084,2758141,2616823,2552686,,609933,932701,1005308,878665,450307,493144,518692,485372,438637,551337
871494,"Brakes, incl. coaster braking hubs and hub brakes, and parts thereof, for cycles (excluding ...",46750,38957,53696,63944,59869,58378,80803,107545,104563,113099,,181565,136772,188469,227929,225673,200161,267331,350916,346812,500859,,102969,98714,111891,117417,99730,97652,124575,152287,155207,183926
293371,"6-Hexanelactam """"epsilon-caprolactam""""""""",199978,142529,163093,117600,64964,43257,69571,62049,78249,112162,,509133,402360,308635,207154,121356,155433,178516,142057,103426,153929,,1002083,1058203,999489,672647,356769,348247,435430,265108,220634,298510
290220,Benzene,128878,298219,243385,115864,108124,98065,121913,139728,79752,111580,,500459,962400,823722,414800,521235,593692,635777,364741,209506,314566,,720451,952451,961942,506270,505297,606567,655750,600353,443901,706968
290270,Cumene,158779,193108,91182,41306,35757,125704,69672,55467,42770,110163,,543118,653264,549709,405660,298381,431242,435989,243460,134027,292360,,171683,277483,91183,46364,39717,139992,96161,62072,78616,122389
845710,Machining centres for working metal,65639,50365,75006,78350,74700,61054,87057,107873,65854,107804,,5389541,3127131,4494546,3858334,2695200,3280042,3624641,2735020,1988187,2867455,,78882,74102,97635,89650,96643,83685,114831,139074,89640,127788
854190,"Parts of diodes, transistors and similar semiconductor devices; photosensitive semiconductor ...",116415,91378,106007,102781,107950,93051,77569,66738,96701,106875,,547925,490360,488902,493834,535828,527544,614850,623246,689877,887929,,244517,207848,225025,226731,206186,186760,168923,156383,220555,253037
720421,"Waste and scrap of stainless steel (excluding radioactive, and waste and scrap of batteries ...",20463,39055,13066,35771,18429,26091,34215,72053,77414,106319,,228696,209946,148417,188684,109312,169869,201460,245164,258062,382600,,558158,365433,373367,328791,244501,330681,351116,510852,321819,283811
720260,Ferro-nickel,196794,209041,222785,229723,138944,163876,183666,145925,99764,106280,,655729,548371,513228,422695,241624,264367,288926,349848,275340,328291,,409638,350979,402576,360855,274849,386952,459572,255047,194203,400634
840820,"Compression-ignition internal combustion piston engine """"diesel or semi-diesel engine"""", for ...""",120999,59378,57871,72090,64378,71898,108919,112424,89617,105176,,2358067,2048783,1590556,1145812,767685,898723,1121572,1029564,791919,755997,,200809,189451,228863,195581,169596,176053,214787,230514,196897,234502
392010,"Plates, sheets, film, foil and strip, of non-cellular polymers of ethylene, not reinforced, ...",138171,107824,89766,74423,84691,85856,89246,89388,92533,102099,,454578,453959,457127,388066,371887,375414,372983,347490,388970,466343,,230910,195707,186594,161635,143967,158409,157972,158174,162972,190501
853222,"Fixed electrical capacitors, aluminium electrolytic (excluding power capacitors)",101972,78961,63326,53484,69941,68230,68583,50883,54799,101558,,1118375,993488,994584,926994,1012453,1099375,1170819,1003165,985966,1199299,,240698,216902,189306,152831,195205,208220,242405,214539,241608,348491
391190,"Polysulphides, polysulphones and other polymers and prepolymers produced by chemical synthesis, ...",47853,42779,42789,39952,60501,86466,73990,73750,85545,101374,,511319,500521,532625,513638,560135,586307,644114,633498,595562,741814,,108258,116573,125260,125350,144168,187430,172706,155970,166248,208952
848340,"Gears and gearing for machinery (excluding toothed wheels, chain sprockets and other transmission ...",64938,67247,71909,67618,67943,81924,92462,77016,63496,100587,,2545160,2262152,2166942,1905795,2021189,2226098,2368784,2058031,1765776,2269728,,158109,150011,156636,136604,130714,151635,198129,161293,128093,187706
