Product code,Product label,Australia's imports from Germany-Value in 2012,Australia's imports from Germany-Value in 2013,Australia's imports from Germany-Value in 2014,Australia's imports from Germany-Value in 2015,Australia's imports from Germany-Value in 2016,Australia's imports from Germany-Value in 2017,Australia's imports from Germany-Value in 2018,Australia's imports from Germany-Value in 2019,Australia's imports from Germany-Value in 2020,Australia's imports from Germany-Value in 2021,Germany's exports to world- ,Germany's exports to world-Value in 2012,Germany's exports to world-Value in 2013,Germany's exports to world-Value in 2014,Germany's exports to world-Value in 2015,Germany's exports to world-Value in 2016,Germany's exports to world-Value in 2017,Germany's exports to world-Value in 2018,Germany's exports to world-Value in 2019,Germany's exports to world-Value in 2020,Germany's exports to world-Value in 2021,Australia's imports from world- ,Australia's imports from world-Value in 2012,Australia's imports from world-Value in 2013,Australia's imports from world-Value in 2014,Australia's imports from world-Value in 2015,Australia's imports from world-Value in 2016,Australia's imports from world-Value in 2017,Australia's imports from world-Value in 2018,Australia's imports from world-Value in 2019,Australia's imports from world-Value in 2020,Australia's imports from world-Value in 2021
870380,"Motor cars and other motor vehicles principally designed for the transport of <10 persons, ...",0,0,0,0,0,3969,3811,3810,28800,99776,,0,0,0,0,0,1555181,1812016,3909260,8471752,15590982,,0,0,0,0,0,104050,67204,221581,207546,735396
870421,"Motor vehicles for the transport of goods, with only compression-ignition internal combustion ...""",190999,146268,145286,140026,181439,201549,235366,224289,90300,87732,,5059142,5048035,5492246,5129583,5300825,5336353,6300901,5626323,5087578,5576063,,4428333,4210299,3779857,3796600,4193886,5090265,5428024,4578861,4071876,6109531
871000,"Tanks and other armoured fighting vehicles, motorised, whether or not fitted with weapons, ...",4855,1687,1950,2913,883,4741,4145,19950,100066,86895,,0,118,0,0,0,0,0,0,0,0,,47338,30765,26263,30457,100620,213561,249582,257877,162009,150735
870120,Road tractors for semi-trailers,0,0,0,14237,30963,93295,92063,86075,47769,81834,,5484051,5734134,5999904,5619042,5111936,4915364,5019935,4079114,2903529,3621432,,0,0,0,114873,202922,315736,337333,308088,214576,364977
842952,"Self-propelled mechanical shovels, excavators and shovel loaders, with a 360¡Æ revolving su ...",257353,70485,34006,20811,12585,26998,45480,75986,63627,77483,,1973945,1729291,1600563,1332114,1312213,1679643,2030369,1959109,1677392,1973543,,1546161,864751,483341,403544,484890,566962,870573,733245,665826,995128
853710,"Boards, cabinets and similar combinations of apparatus for electric control or the distribution ...",36657,45522,36525,33166,44963,36928,43091,43669,42480,75136,,7990243,9061676,9923141,8417821,9146764,11015406,12558500,12746414,11555985,12500043,,457825,463563,462692,508964,449094,450725,486776,504438,486250,581294
382200,"Diagnostic or laboratory reagents on a backing, prepared diagnostic or laboratory reagents ...",100333,91260,67048,59730,68132,66088,62588,58392,59281,72142,,3935982,4153392,4193187,3837821,3954412,4270507,4410175,4269939,5482884,6479369,,344077,349175,337007,336682,363437,388821,383844,396728,530759,807792
848340,"Gears and gearing for machinery (excluding toothed wheels, chain sprockets and other transmission ...",110013,52984,54483,51130,42141,47721,64418,71490,68462,69597,,3915544,3669110,3943710,3184480,3251395,3397722,3770321,3535198,3292551,3727968,,349950,246845,261246,216087,188372,235223,269604,301012,298007,301452
851660,"Electric ovens, cookers, cooking plates and boiling rings, electric grillers and roasters, ...",41505,40650,38914,40031,38692,53773,50334,53271,49812,66834,,1253644,1291905,1383567,1379782,1475173,1603846,1756062,1646672,1757182,2156046,,218180,222573,250574,228095,245585,272824,278671,252531,310737,371625
842890,"Machinery for lifting, handling, loading or unloading, n.e.s.",54760,34729,67084,36873,64173,60215,62234,51302,43114,66687,,1724864,1707466,1802102,1679380,1741801,2061877,2449036,2587402,2216741,2625141,,523212,438437,614809,487490,421221,458445,492625,482276,417356,586616
300212,Antisera and other blood fractions,0,0,0,0,0,31053,73557,64949,73851,66505,,0,0,0,0,0,5358113,5138299,5884279,6326943,7034236,,0,0,0,0,0,397028,599215,853088,773577,639814
300439,"Medicaments containing hormones or steroids used as hormones but not antibiotics, put up in ...""",26722,25896,21469,21550,23084,38798,57724,71244,65914,65840,,2194458,2636451,3071293,2332638,2404611,2209702,2594647,2724016,3572173,4638580,,349316,362691,273150,256041,229409,286603,297477,310506,312074,341137
871690,"Parts of trailers and semi-trailers and other vehicles not mechanically propelled, n.e.s.",40191,37786,53449,32588,41819,43890,48365,45744,43453,65685,,1636518,1719307,1883168,1588127,1609585,1822201,2000343,1862413,1751917,2261896,,217369,227573,251065,195534,205558,233432,257901,234638,227115,367325
210690,"Food preparations, n.e.s.",31110,30279,37593,30377,32455,22233,29074,37355,42814,64478,,2872678,3190597,3368444,2907874,3095005,3374070,3669496,3724378,4054000,4574610,,1210138,1265084,1224440,1193919,1206955,915116,1122181,1459633,1397965,1556710
843149,"Parts of machinery of heading 8426, 8429 and 8430, n.e.s.",115497,83788,67126,45734,32429,49112,66050,49164,80771,60200,,2500381,2260046,1977136,1519228,1418939,1743937,1991287,1782804,1523737,1966812,,1034461,804278,623953,541078,471323,644629,857601,829105,932388,941738
848180,"Appliances for pipes, boiler shells, tanks, vats or the like (excluding pressure-reducing ...""",80982,93409,70071,51918,50878,56256,58581,63803,56514,58094,,5990272,6565035,6655664,5571034,5811769,6490038,7065364,7021880,6614272,7723233,,1137469,1159139,1235749,1257267,930580,909625,998002,872768,886825,1146437
842211,Dishwashing machines of the household type,54695,46157,36324,26369,28652,33133,44490,42435,41543,52724,,868660,957320,930995,840384,874063,1019031,947654,948437,972449,997576,,177721,175720,174811,170137,176250,184841,188102,171919,199407,217517
440712,"Fir """"Abies spp."""" and spruce """"Picea spp."""" sawn or chipped lengthwise, sliced or peeled, ...""",0,0,0,0,0,1229,20561,6266,9496,51348,,0,0,0,0,0,1143455,1406056,1348020,1661096,3063085,,0,0,0,0,0,22736,51404,18462,34195,105934
870340,"Motor cars and other motor vehicles principally designed for the transport of <10 persons, ...",0,0,0,0,0,0,0,3074,18408,50950,,0,0,0,0,0,115924,1589419,3733425,8230172,20431992,,0,0,0,0,0,137831,284489,564837,1144747,1687075
903180,"Instruments, appliances and machines for measuring or checking, not elsewhere specified in ...",39001,43802,39702,30915,28888,33655,38905,39919,43475,47216,,4212927,4473189,4628144,4131641,4401058,4724450,5116357,4866369,4146474,4639761,,305217,280318,360676,322543,329914,265347,288698,307551,296332,328704
870332,"Motor cars and other motor vehicles principally designed for the transport of persons, incl. ...""",685702,600580,364323,308731,480217,397963,269896,172600,18466,46385,,47650950,49063225,50157240,45453245,45724081,45345893,38088559,30279577,21375051,17798560,,2753722,2499632,1841353,1627544,2006416,2261018,1700563,1266688,961949,1220860
180690,"Chocolate and other preparations containing cocoa, in containers or immediate packings of <= ...",26188,32587,38653,40363,32491,37807,38543,38768,37238,46275,,1766969,1928747,2166157,1869194,1971822,2079419,2210656,2148689,2140446,2321509,,268461,293872,298586,278763,264198,284800,274303,242460,223699,245160
901849,"Instruments and appliances used in dental sciences, n.e.s.",28043,28965,31109,28091,27195,27546,30679,29671,34407,43131,,1165210,1270662,1254423,1195720,1230919,1359035,1365302,1457622,1227895,1719792,,89083,91530,98168,98479,97989,107685,109669,107800,110644,147411
870899,"Parts and accessories, for tractors, motor vehicles for the transport of ten or more persons, ...",71072,53113,52127,43398,35401,40646,49592,39597,33274,42229,,7545250,8084557,8510030,7652388,8002705,8861842,9219583,7979540,6834006,8266138,,732814,658707,572171,520313,469408,452920,453951,442165,387207,509404
300220,Vaccines for human medicine,5017,3688,4357,4336,18088,15300,6024,7883,6888,41115,,1009501,854203,1080742,553335,506218,415229,651160,506121,565295,11667170,,370011,477343,358733,287861,263479,345883,288491,292520,289704,1761029
847910,"Machinery for public works, building or the like, n.e.s.",30617,27670,29119,9964,19331,30509,42097,18376,23184,40967,,1145008,1167097,1217106,1103635,1272259,1494437,1627233,1285822,1228499,1569693,,52372,50360,47380,26034,30644,60845,75509,48332,46440,71056
392690,"Articles of plastics and articles of other materials of heading 3901 to 3914, n.e.s (excluding ...",37263,35056,31480,27522,32147,32903,37266,34347,33764,39666,,6551278,7262543,7650645,6734572,7139189,7873496,8726515,8544417,8516227,10142339,,657758,668580,685486,634586,625176,698755,786044,751248,903008,969416
847150,"Processing units for automatic data-processing machines, whether or not containing in the same ...",17265,10953,12846,8192,7060,10950,12663,16245,26201,39263,,1874679,2002787,2214012,2112901,2112295,2774923,3298780,3196850,2755746,3255191,,810844,660883,727490,1046636,879162,1100551,1598805,1518830,1443748,1788608
845011,"Fully-automatic household or laundry-type washing machines, of a dry linen capacity <= 6 kg",23312,24598,26684,21914,23026,35866,33908,30452,39435,38469,,735341,656586,650088,564451,596048,638665,627420,601233,659176,656122,,298426,295589,274720,280982,267234,285575,253716,251417,289174,273672
871150,"Motorcycles, incl. mopeds, with reciprocating internal combustion piston engine of a cylinder ...",19501,20837,29359,28011,26872,31757,26915,24944,23841,37929,,779079,880038,1231630,1131332,1102596,1312364,1300937,1338453,1393370,1616983,,292913,274426,254647,233669,253568,236142,192050,169036,144521,245073
842129,Machinery and apparatus for filtering or purifying liquids (excluding such machinery and apparatus ...,25618,28006,33304,29287,24396,29052,31596,36944,32641,37699,,1689730,1802032,1991373,1706391,1774202,1684997,1921124,1808647,1811851,2115971,,214245,227649,407105,206828,184131,186614,204694,206086,225665,215334
848390,"Toothed wheels, chain sprockets and other transmission elements presented separately; parts ...",30067,24460,22244,19368,19989,25634,31506,34700,34043,36446,,2297793,2442716,2544166,2201917,2259670,2654945,3022856,2802575,2762321,3228857,,211136,156238,162031,154022,140691,160935,182517,194763,194975,210703
842940,Self-propelled tamping machines and roadrollers,12957,18964,8559,0,0,0,0,1018,18807,36232,,772442,711701,708049,647041,628390,693207,825378,790607,601967,798807,,65425,99843,75582,24969,23750,62226,115974,95511,74899,112979
842139,Machinery and apparatus for filtering or purifying gases (excl. isotope separators and intake ...,12153,19704,15563,13079,25984,18854,22929,31881,23590,34961,,3483804,3623803,4637208,4534155,4300952,4228754,4549779,4930231,5384905,6640219,,288257,624817,782802,489886,316352,212049,222121,258045,309833,343668
842649,"Mobile cranes and works trucks fitted with a crane, self-propelled (excluding those on tyres ...",55218,23651,30714,6387,5410,7376,10111,11158,19944,33544,,621235,621075,759104,626581,498677,498779,422774,500719,401399,542687,,173624,125731,79639,32026,17985,30244,32697,30466,45086,59567
840999,"Parts suitable for use solely or principally with compression-ignition internal combustion ...""",24519,33852,32199,32729,28441,31452,35229,28575,29956,33147,,8046666,8472289,8943564,7914681,7432974,7982530,8356466,7733645,6504443,7837467,,249074,246107,257258,260900,238450,281389,296784,264586,268958,312668
851762,"Machines for the reception, conversion and transmission or regeneration of voice, images or ...",54992,99061,98618,34131,33401,38996,56591,41124,35494,32405,,4130518,4291610,4905566,4667756,4681977,4863737,6033468,6286456,5890095,6291875,,2184258,2480088,2337434,2512110,2806665,2975447,3501969,3481121,3392145,3411434
711510,"Catalysts in the form of wire cloth or grill, of platinum",41319,42956,40002,19420,12698,6809,15217,11294,18354,32322,,460719,469252,371845,259734,259864,300492,332161,343590,337938,555067,,41319,48733,45873,25191,22439,21095,31231,24223,47000,59246
843340,"Straw or fodder balers, incl. pick-up balers",3089,7580,13197,15491,16847,19413,10330,19660,30475,31797,,233108,252660,257855,213934,194910,200205,236710,250978,273066,292404,,14029,24909,43604,42206,45373,57082,36795,55565,89231,91505
401110,"New pneumatic tyres, of rubber, of a kind used for motor cars, incl. station wagons and racing ...",21756,23562,29532,27686,30766,36431,35851,31636,27236,30823,,4561768,4722674,4487232,3968259,4038805,4262136,4313031,4096387,3407436,3877202,,1011586,883457,806778,722551,665474,708235,699593,675843,614135,817781
870830,"Brakes and servo-brakes and their parts, for tractors, motor vehicles for the transport of ...",27479,28914,29505,27224,28545,29962,33050,25164,24668,30689,,4327445,4702837,4772163,4241122,4443312,4714807,4888225,4584131,3821207,4750272,,238167,218290,215448,201230,201460,219053,218565,223409,214775,255547
841981,"Machinery, plant and equipment for making hot drinks or for cooking or heating food (excluding ...",28807,30627,24290,24386,22745,27546,33027,27450,25841,30569,,725180,799931,836115,756680,821407,1001579,1142606,1170713,856255,967238,,157434,168434,163419,184806,158333,168615,182234,169263,152953,214160
854370,"Electrical machines and apparatus, having individual functions, n.e.s. in chapter 85",30170,32544,30719,29291,20742,26334,26850,23116,21750,30312,,2689288,3070629,2974733,2617141,2705716,2936491,2964187,3032683,2943401,3452165,,575500,560789,578261,496729,517604,459998,421460,422166,378786,503888
300431,"Medicaments containing insulin but not antibiotics, put up in measured doses """"incl. those ...""",35645,49151,64806,44759,49505,47002,40779,41061,22802,30142,,3817638,5197248,6382323,5427739,4062007,3715590,3208240,2985040,2837955,2670177,,130028,151448,147928,105317,121967,127875,118849,120800,106249,103949
240220,"Cigarettes, containing tobacco",14550,3176,3159,2757,2332,10952,33759,42724,17964,29562,,4097213,3605228,3642504,3295678,3475528,3024715,2790157,2300822,1348897,1373593,,174586,281156,437336,549229,592649,611377,647798,643376,446688,386280
330499,"Beauty or make-up preparations and preparations for the care of the skin (other than medicaments), ...",17476,19234,22398,17307,18054,17603,23562,24965,27533,29552,,2030691,2095049,2138800,1933781,2062024,2302306,2683029,2690511,2517301,2869905,,392746,414714,444894,461474,464097,498852,637900,651889,602796,673292
180632,"Chocolate and other preparations containing cocoa, in blocks, slabs or bars of <= 2 kg (excluding ...",15382,14901,10877,14721,22370,26783,24537,29604,33767,29208,,969121,1066775,1171647,973241,932744,1038248,1097866,1311919,1321643,1411451,,56832,64908,82239,90407,94392,96342,99633,112054,121689,118635
870829,"Parts and accessories of bodies for tractors, motor vehicles for the transport of ten or more ...""",30142,30484,30503,28720,29459,30644,34916,32141,23638,28858,,9680822,10259773,11213682,9948801,10149820,11165473,12408173,11346405,9815105,10948189,,431270,411817,397157,384487,402916,411701,409605,392088,349927,477877
961900,"Sanitary towels (pads) and tampons, napkins and napkin liners for babies, and similar articles, ...",26598,27171,26317,24963,24662,27974,26695,24278,24758,28805,,1687130,1759723,1950065,1528391,1537046,1479550,1519151,1426671,1430901,1406588,,221808,228372,226964,216852,212758,220362,233594,319664,357815,375470
870333,"Motor cars and other motor vehicles principally designed for the transport of persons, incl. ...""",156765,167561,225455,223371,177210,85432,38792,21348,17321,28800,,12977982,13065520,14577321,14061821,12778631,11610819,9356232,6894640,4682836,3899235,,2508429,2624124,2621305,2603564,2500042,2363943,2387671,2107909,1927074,2450949
841350,"Reciprocating positive displacement pumps for liquids, power-driven (excluding those of subheading ...",43149,37879,26509,23983,18857,23929,26187,29123,33090,28698,,1935767,1830677,1785272,1505258,1531658,1777411,2130426,2208939,1920684,2315341,,163681,149337,147659,101713,93380,111603,124288,133483,131349,147266
293379,"Lactams (excluding 6-hexanelactam """"epsilon-caprolactam"""", clobazam """"INN"""", methyprylon """"INN"""", ...""",3133,5877,4199,9574,9569,4919,9519,15345,12206,28502,,113972,121783,125203,155143,92856,120421,165657,140743,158506,217609,,7311,8846,10219,14172,13313,8816,14817,19811,18053,37437
842290,"Parts of dishwashing machines, packing or wrapping machinery and other machinery and apparatus ...",17584,18965,13756,16344,12874,14543,16908,15684,12735,27980,,1513814,1611776,1626442,1430405,1518294,1542102,1731569,1631688,1597562,1577616,,56376,59117,53524,54288,48429,49235,60586,60124,53100,76906
842230,"Machinery for filling, closing, sealing or labelling bottles, cans, boxes, bags or other containers; ...",26661,50289,22106,32372,26211,38133,50747,21381,15587,27487,,2468700,2750730,2807023,2340382,2421551,2561532,2778098,2805770,2881011,3175385,,102547,130100,106080,117990,121583,136176,159815,121214,114793,152108
847490,"Parts of machinery for working mineral substances of heading 8474, n.e.s.",17213,22603,26759,14196,15197,15730,19909,13755,14920,27242,,948529,964658,1099667,791444,766612,831155,878166,805359,724996,789557,,365708,294328,291284,243469,251669,289573,341718,353586,361513,410951
841459,"Fans (excluding table, floor, wall, window, ceiling or roof fans, with a self-contained electric ...",23643,21139,25944,22171,22643,25582,39337,43538,30829,27180,,2027751,2266635,2382891,2115695,2170027,2394681,2731627,2669987,2471658,2793017,,105059,120653,128615,122326,118282,126965,171090,186868,163505,168255
902190,"Articles and appliances, which are worn or carried, or implanted in the body, to compensate ...",8750,9006,7755,8279,8540,12113,16040,16957,23276,26908,,1031619,1121340,1221317,1334097,1515009,1614196,1693273,1698227,1662461,2004474,,230852,228942,256896,243918,238744,263720,248460,248663,259472,330468
732690,"Articles of iron or steel, n.e.s. (excluding cast articles or articles of iron or steel wire)",27647,26967,27274,21105,20273,21796,25958,27948,25758,26876,,4523831,4725678,4958217,4244912,4208534,4695113,5194621,4866828,4528465,5435115,,621085,664346,696161,619337,566386,558987,633708,588046,593315,728831
902214,"Apparatus based on the use of X-rays, for medical, surgical or veterinary uses (excluding for ...",33509,26219,42124,43257,27339,22293,15965,22936,17592,26782,,1626216,1566830,1460174,1433659,1301712,1379285,1448120,1583752,1548865,1589593,,116772,100353,104424,112394,84943,93333,74017,101041,91307,116416
902290,"X-ray generators other than X-ray tubes, high tension generators, control panels and desks, ...",21894,21733,18500,16551,67970,18348,16096,14981,13771,26299,,1429092,1432593,1602854,1320673,1422548,1637643,1721561,1498954,1369560,1493193,,93161,71711,78692,73178,113625,59515,61170,67345,62070,80423
850213,"Generating sets with compression-ignition internal combustion piston engine """"diesel or semi-diesel ...""",9298,15869,3263,7823,12500,8830,21219,23912,13337,25709,,292076,292549,221321,247325,271901,181557,277875,395147,276120,237403,,163595,123903,181481,105241,64805,87105,110754,100852,82487,133212
902131,Artificial joints for orthopaedic purposes,13376,17235,18407,18765,29464,28633,23406,21075,20406,25621,,1001592,1188505,1455179,1300793,1262214,1193389,1153026,1023798,839988,1017176,,280043,276548,303156,305069,348923,341613,339690,289570,266111,335171
392190,"Plates, sheets, film, foil and strip, of plastics, reinforced, laminated, supported or similarly ...",13144,12631,14679,15715,16709,19590,20594,21488,21050,25321,,2029171,2153823,2251892,2066430,2026205,2119536,2269356,2081886,2001898,2416157,,179827,181727,195404,182552,168015,173539,177040,173629,168906,207515
848120,Valves for oleohydraulic or pneumatic transmission,3708,26377,6159,4142,4341,6429,10716,18444,22505,25272,,2519714,2654697,2845028,2427654,2538766,3117396,3583243,3331042,2941857,3762262,,36548,44647,21415,20131,20565,29293,43867,62263,80789,83857
902212,Computer tomography apparatus,18309,19005,14898,15637,24046,13792,20942,19022,18816,25218,,817535,864698,822400,859224,856609,923161,1084325,1330418,1416484,1697510,,93698,75669,61845,76557,67247,63452,78997,74595,77842,107825
300290,"Human blood; animal blood prepared for therapeutic, prophylactic or diagnostic uses",5286,2959,2237,4712,4514,8715,8725,9400,10272,25112,,450918,489118,484381,466006,498833,590180,701790,783285,877969,1211245,,97506,87006,84474,93014,115884,139780,150678,147794,161358,217702
870195,"Tractors, of an engine power > 130 kW (excl. those of heading 8709, pedestrian-controlled tractors, ...",0,0,0,0,0,12430,11546,12227,18700,25074,,0,0,0,0,0,1792860,1772866,2032397,2154803,2703757,,0,0,0,0,0,257451,254231,222144,244841,305169
903289,"Regulating or controlling instruments and apparatus (excluding hydraulic or pneumatic, manostats, ...",54729,40140,41016,25111,23237,21738,24285,25162,18755,25022,,2809647,2606223,2534640,2022669,2237156,3024833,3645761,4038592,2762815,2230881,,547299,371472,446423,300719,341776,312871,288988,269029,235776,259560
391990,"Self-adhesive plates, sheets, film, foil, tape, strip and other flat shapes, of plastics, whether ...",15820,18063,23285,24304,23724,24202,26148,18042,18757,24835,,1639292,1733816,1878398,1731924,1803687,1981517,2015238,1739114,1720954,2020785,,171005,164677,187005,177621,184667,200042,201593,188252,189861,246253
90121,Roasted coffee (excluding decaffeinated),28856,27404,32019,30282,23927,27530,24723,25122,29008,24120,,1104237,1148113,1258081,1173921,1239905,1441374,1439112,1388573,1558827,1746230,,142376,195443,204852,183027,170447,180690,177664,159658,196475,162367
853890,"Parts suitable for use solely or principally with the apparatus of heading 8535, 8536 or 8537, ...",14490,13814,15490,13608,11645,16162,18497,18400,19752,23874,,5101781,5311843,5595013,4517879,4468555,5052566,5666797,5251280,4870119,5721908,,138625,135098,131237,131128,114428,135017,151812,155740,145835,172557
852580,"Television cameras, digital cameras and video camera recorders",21240,18859,19406,16301,17834,16342,19659,18661,20482,23812,,2011527,1853929,1852722,1672880,1862679,2192568,2389897,2439264,2628930,3192060,,731592,588100,576238,537141,501631,605791,726219,688206,630793,803323
842199,"Parts of machinery and apparatus for filtering or purifying liquids or gases, n.e.s.",18097,17525,18900,16176,18042,16438,19963,21410,25150,23803,,2288782,2472761,2632794,2340476,2417329,3010211,3353027,3379445,3539851,3489957,,165663,168525,226762,134446,125342,132910,150770,150554,161986,178769
401699,"Articles of vulcanised rubber (excluding hard rubber), n.e.s.",19075,16852,20867,16492,15780,17762,18951,18829,18397,23129,,1884273,2077552,2202756,1839739,1884004,2069083,2228784,2162686,2092353,2389592,,190843,177499,190502,170606,166220,170834,173955,166955,175822,204146
847420,Crushing or grinding machines for solid mineral substances,47246,49179,23524,2667,5150,10891,14003,15428,18494,22970,,707587,625032,557245,465252,386530,393264,519328,518652,381861,455425,,252377,182311,127579,41429,47498,79422,123142,128902,113348,260545
271019,"Medium oils and preparations, of petroleum or bituminous minerals, not containing biodiesel, ...",10139,12302,11798,10097,15179,16586,16944,15510,17047,22966,,11077530,11744069,11926461,7920472,6560835,6963156,8062675,7597789,5859272,8883211,,13872317,15028313,14117914,10824976,8639235,11742237,15736148,14426915,9131905,15069781
300660,"Chemical contraceptive preparations based on hormones, prostaglandins, thromboxanes, leukotrienes, ...",56664,39901,33814,17752,20792,23698,31130,27697,27636,22885,,1047531,901430,921746,747948,752307,760248,722340,807970,768310,976542,,85478,63760,55247,36178,36420,40339,46974,42209,42607,36757
902139,Artificial parts of the body (excluding artificial teeth and dental fittings and artificial ...,22924,20895,26053,27531,29053,27838,27782,21325,19736,22740,,568443,550947,600164,584322,634568,592387,589685,614506,530339,690831,,348996,384655,342766,300219,290062,303054,295215,276456,275232,304366
382499,"Chemical products and preparations of the chemical or allied industries, incl. those consisting ...",0,0,0,0,0,29310,22642,19697,18797,22346,,0,0,0,0,0,4627693,5187104,4880465,4721959,5741167,,0,0,0,0,0,211404,238153,210891,232148,275400
841480,"Air pumps, air or other gas compressors and ventilating or recycling hoods incorporating a ...",76891,54965,57725,22133,32697,21343,26685,28399,18986,22278,,3742502,3952679,4149303,3260183,3167674,3232952,3652501,3207188,2978002,3163087,,831788,817137,731025,460515,494084,251071,273465,300333,241978,319897
842710,"Self-propelled trucks fitted with lifting or handling equipment, powered by an electric motor",35116,29417,23029,28320,21244,21428,27479,24105,15871,21392,,1775533,1928154,2079995,2022495,2171881,2565335,2898151,2865658,2449162,3017579,,168652,147363,139901,140915,133784,157710,186017,180108,143744,205977
300219,"Immunological products, n.e.s. (code possibly empty, preceding subheadings seem exhaustive)",0,0,0,0,0,25597,18335,24550,24473,21212,,0,0,0,0,0,1626,1035,1073,305,830,,0,0,0,0,0,71226,61098,94464,142815,144110
321410,"Glaziers' putty, grafting putty, resin cements, caulking compounds and other mastics; painters' ...",13135,15096,14558,13964,16148,17476,20078,18842,17525,21210,,1256530,1394216,1445933,1253783,1308066,1381601,1508194,1438501,1398807,1641694,,88101,88834,91836,100238,105276,109925,122826,118163,126642,141800
847990,"Parts of machines and mechanical appliances, n.e.s.",22679,21200,21868,16396,18086,31285,31447,25166,17484,21072,,2226026,2430342,2674994,2520445,2622734,3092941,3396078,3172933,3142723,3633360,,185349,170875,196473,176920,134282,142512,179080,181031,148300,183888
